Orthogroup	Bicyclus_anynana	Danaus_plexippus
OG0000585	Bany_14460-RA	DPOGS208448-PA
OG0000585	Bany_14464-RA	DPOGS208447-PA
OG0000586	Bany_13236-RA	DPOGS211360-PA
OG0000587	Bany_05384-RA	DPOGS211937-PA
OG0000587	Bany_05383-RA, Bany_13470-RA	DPOGS211936-PA
OG0000588	Bany_09007-RA	DPOGS206432-PA
OG0000588	Bany_09545-RA	DPOGS214731-PA
OG0000589	Bany_14490-RA	DPOGS208431-PA
OG0000590	Bany_00817-RA, Bany_12829-RA	DPOGS202837-PA
OG0000591	Bany_09574-RA	DPOGS214590-PA
OG0000591	Bany_09573-RA	DPOGS214591-PA
OG0000592	Bany_01245-RA	DPOGS201784-PA
OG0000592	Bany_07370-RA	DPOGS201384-PA
OG0000594	Bany_06815-RA	DPOGS212483-PA
OG0000594	Bany_06824-RA	DPOGS212244-PA
OG0000595	Bany_12889-RA	DPOGS210829-PA, DPOGS202606-PA
OG0000595	Bany_16761-RA	DPOGS213422-PA, DPOGS209701-PA, DPOGS214794-PA, DPOGS211710-PA
OG0000595	Bany_07447-RA	DPOGS208768-PA, DPOGS200666-PA
OG0000596	Bany_13283-RA, Bany_13284-RA	DPOGS206652-PA, DPOGS206651-PA
OG0000597	Bany_17583-RA	DPOGS216200-PA
OG0000597	Bany_17585-RA	DPOGS216201-PA
OG0000599	Bany_05473-RA	DPOGS215987-PA
OG0000599	Bany_05479-RA	DPOGS215986-PA
OG0000600	Bany_03816-RA	DPOGS211082-PA
OG0000600	Bany_03817-RA	DPOGS211080-PA
OG0000601	Bany_17993-RA, Bany_17996-RA	DPOGS206277-PA
OG0000602	Bany_01343-RA	DPOGS207060-PA
OG0000602	Bany_06233-RA	DPOGS205789-PA
OG0000603	Bany_12995-RA, Bany_12998-RA	DPOGS215119-PA
OG0000604	Bany_11532-RA	DPOGS206002-PA
OG0000605	Bany_02243-RA	DPOGS212664-PA, DPOGS201100-PA, DPOGS212663-PA
OG0000606	Bany_12091-RA	DPOGS202069-PA
OG0000606	Bany_12092-RA	DPOGS202068-PA
OG0000607	Bany_02286-RA, Bany_02287-RA	DPOGS209311-PA, DPOGS211843-PA
OG0000608	Bany_14658-RA	DPOGS200613-PA
OG0000608	Bany_14657-RA	DPOGS200614-PA, DPOGS200619-PA
OG0000609	Bany_08313-RA	DPOGS200367-PA
OG0000609	Bany_08318-RA	DPOGS215033-PA
OG0000610	Bany_15222-RA	DPOGS205604-PA
OG0000611	Bany_14003-RA, Bany_14004-RA	DPOGS200777-PA, DPOGS200776-PA
OG0000612	Bany_06318-RA	DPOGS201981-PA
OG0000612	Bany_06320-RA	DPOGS201980-PA
OG0000613	Bany_07005-RA, Bany_07006-RA	DPOGS216214-PA
OG0000614	Bany_06384-RA	DPOGS206250-PA
OG0000614	Bany_06383-RA	DPOGS206247-PA
OG0000615	Bany_01557-RA	DPOGS206995-PA
OG0000616	Bany_01674-RA	DPOGS200399-PA, DPOGS206859-PA
OG0000616	Bany_01673-RA	DPOGS206860-PA
OG0000617	Bany_12406-RA	DPOGS210221-PA
OG0000617	Bany_12407-RA	DPOGS210223-PA, DPOGS210225-PA, DPOGS210222-PA, DPOGS210226-PA, DPOGS210224-PA
OG0000618	Bany_03415-RA, Bany_03414-RA, Bany_03421-RA, Bany_03416-RA	DPOGS200170-PA
OG0000619	Bany_02618-RA	DPOGS207537-PA
OG0000620	Bany_00890-RA	DPOGS211442-PA, DPOGS211441-PA
OG0000620	Bany_00910-RA	DPOGS211444-PA
OG0000627	Bany_18183-RA	DPOGS200378-PA
OG0000627	Bany_08295-RA	DPOGS215071-PA, DPOGS200379-PA
OG0000629	Bany_01812-RA	DPOGS201916-PA
OG0000631	Bany_08664-RA	DPOGS216079-PA
OG0000632	Bany_13030-RA	DPOGS210391-PA
OG0000632	Bany_13029-RA	DPOGS210390-PA
OG0000633	Bany_08670-RA	DPOGS201187-PA
OG0000633	Bany_08675-RA	DPOGS201188-PA
OG0000634	Bany_11991-RA	DPOGS208633-PA
OG0000634	Bany_05881-RA	DPOGS212630-PA
OG0000635	Bany_04327-RA	DPOGS202958-PA
OG0000636	Bany_10642-RA	DPOGS208268-PA
OG0000636	Bany_10573-RA	DPOGS208236-PA
OG0000637	Bany_14291-RA, Bany_10504-RA	DPOGS201578-PA
OG0000638	Bany_14754-RA	DPOGS201032-PA
OG0000639	Bany_16484-RA, Bany_16486-RA	DPOGS216102-PA
OG0000640	Bany_00994-RA	DPOGS214408-PA
OG0000640	Bany_00993-RA	DPOGS214409-PA
OG0000641	Bany_06601-RA	DPOGS212445-PA, DPOGS212443-PA, DPOGS212442-PA, DPOGS212444-PA
OG0000642	Bany_13706-RA	DPOGS210313-PA
OG0000643	Bany_15550-RA	DPOGS203277-PA
OG0000644	Bany_17023-RA	DPOGS215167-PA
OG0000644	Bany_17037-RA	DPOGS215173-PA
OG0000645	Bany_17779-RA	DPOGS215551-PA
OG0000645	Bany_04710-RA	DPOGS210840-PA
OG0000646	Bany_04530-RA, Bany_17780-RA, Bany_15090-RA, Bany_15676-RA	DPOGS212239-PA, DPOGS200201-PA
OG0000647	Bany_13149-RA	DPOGS201828-PA
OG0000647	Bany_13148-RA	DPOGS201827-PA
OG0000648	Bany_14385-RA	DPOGS204670-PA
OG0000648	Bany_14383-RA	DPOGS209483-PA
OG0000649	Bany_07262-RA	DPOGS207158-PA
OG0000649	Bany_09501-RA	DPOGS202289-PA
OG0000650	Bany_06662-RA	DPOGS210203-PA
OG0000651	Bany_06663-RA	DPOGS210204-PA
OG0000652	Bany_09468-RA	DPOGS202275-PA
OG0000653	Bany_16223-RA	DPOGS203341-PA, DPOGS203342-PA, DPOGS213047-PA
OG0000654	Bany_09497-RA	DPOGS202294-PA
OG0000654	Bany_11601-RA	DPOGS206013-PA
OG0000655	Bany_00204-RA	DPOGS213151-PA
OG0000655	Bany_00203-RA	DPOGS213153-PA
OG0000656	Bany_02051-RA	DPOGS202553-PA
OG0000657	Bany_06704-RA	DPOGS206232-PA
OG0000657	Bany_06703-RA	DPOGS205583-PA
OG0000658	Bany_02807-RA	DPOGS212101-PA
OG0000659	Bany_06031-RA	DPOGS202345-PA
OG0000659	Bany_11068-RA, Bany_06032-RA	DPOGS213680-PA
OG0000661	Bany_02098-RA	DPOGS202712-PA
OG0000662	Bany_05009-RA, Bany_17888-RA	DPOGS209104-PA
OG0000662	Bany_17890-RA	DPOGS209103-PA
OG0000663	Bany_07482-RA	DPOGS201402-PA
OG0000663	Bany_12789-RA	DPOGS205211-PA
OG0000664	Bany_13817-RA	DPOGS213560-PA
OG0000664	Bany_13820-RA	DPOGS213559-PA
OG0000666	Bany_15034-RA	DPOGS202525-PA
OG0000667	Bany_02114-RA, Bany_02112-RA	DPOGS213482-PA
OG0000668	Bany_04568-RA	DPOGS215639-PA, DPOGS215638-PA
OG0000669	Bany_08830-RA	DPOGS206230-PA, DPOGS206228-PA, DPOGS206227-PA
OG0000670	Bany_08148-RA	DPOGS205914-PA
OG0000670	Bany_08149-RA	DPOGS205899-PA
OG0000671	Bany_17919-RA, Bany_17918-RA, Bany_17920-RA	DPOGS210274-PA
OG0000672	Bany_12031-RA, Bany_12034-RA, Bany_12032-RA	DPOGS201240-PA
OG0000673	Bany_15083-RA	DPOGS204830-PA
OG0000673	Bany_15154-RA	DPOGS209694-PA
OG0000674	Bany_16675-RA, Bany_16676-RA	DPOGS213249-PA
OG0000675	Bany_14529-RA	DPOGS215460-PA
OG0000675	Bany_14530-RA	DPOGS215487-PA
OG0000676	Bany_07396-RA	DPOGS209668-PA
OG0000677	Bany_15681-RA	DPOGS209151-PA
OG0000678	Bany_12993-RA	DPOGS211055-PA
OG0000679	Bany_14594-RA	DPOGS207389-PA
OG0000679	Bany_14595-RA	DPOGS207372-PA
OG0000680	Bany_06917-RA	DPOGS203584-PA
OG0000681	Bany_08253-RA	DPOGS209915-PA
OG0000682	Bany_13369-RA	DPOGS206588-PA
OG0000683	Bany_17644-RA, Bany_15799-RA, Bany_15908-RA, Bany_15800-RA	DPOGS207905-PA
OG0000684	Bany_08307-RA	DPOGS200272-PA
OG0000685	Bany_15200-RA, Bany_15199-RA	DPOGS205388-PA, DPOGS205387-PA
OG0000686	Bany_01378-RA, Bany_01379-RA	DPOGS207048-PA
OG0000686	Bany_01380-RA	DPOGS207047-PA
OG0000687	Bany_13451-RA	DPOGS206670-PA
OG0000687	Bany_01462-RA	DPOGS201804-PA
OG0000688	Bany_09079-RA	DPOGS207752-PA
OG0000689	Bany_06350-RA	DPOGS200478-PA
OG0000690	Bany_03980-RA	DPOGS214139-PA
OG0000690	Bany_03983-RA	DPOGS214140-PA
OG0000691	Bany_03987-RA	DPOGS214239-PA
OG0000691	Bany_03985-RA	DPOGS214241-PA
OG0000692	Bany_11705-RA, Bany_11706-RA	DPOGS202900-PA, DPOGS202901-PA
OG0000693	Bany_15305-RA	DPOGS209549-PA, DPOGS209548-PA
OG0000694	Bany_04161-RA	DPOGS201832-PA
OG0000694	Bany_14064-RA	DPOGS204855-PA
OG0000695	Bany_06382-RA	DPOGS206248-PA
OG0000697	Bany_01555-RA, Bany_01554-RA, Bany_01553-RA, Bany_01552-RA, Bany_01551-RA	DPOGS206979-PA
OG0000698	Bany_01563-RA	DPOGS206998-PA
OG0000698	Bany_01566-RA	DPOGS207000-PA
OG0000699	Bany_04901-RA, Bany_04900-RA	DPOGS201471-PA
OG0000700	Bany_07092-RA	DPOGS205504-PA
OG0000700	Bany_07093-RA	DPOGS205505-PA
OG0000701	Bany_02407-RA	DPOGS209320-PA
OG0000702	Bany_06415-RA, Bany_06414-RA	DPOGS202825-PA
OG0000703	Bany_11043-RA	DPOGS210729-PA, DPOGS210730-PA
OG0000704	Bany_03225-RA	DPOGS202128-PA
OG0000706	Bany_10434-RA	DPOGS205856-PA, DPOGS205853-PA
OG0000706	Bany_10433-RA	DPOGS205855-PA
OG0000707	Bany_06450-RA	DPOGS202790-PA
OG0000708	Bany_07750-RA, Bany_07754-RA, Bany_07752-RA	DPOGS203000-PA
OG0000710	Bany_00743-RA	DPOGS208697-PA
OG0000710	Bany_00742-RA	DPOGS208699-PA, DPOGS208698-PA
OG0000711	Bany_00778-RA	DPOGS208676-PA
OG0000711	Bany_00777-RA	DPOGS208677-PA
OG0000712	Bany_10539-RA	DPOGS205833-PA
OG0000713	Bany_00846-RA	DPOGS202399-PA, DPOGS202398-PA
OG0000728	Bany_18152-RA, Bany_01423-RA	DPOGS206908-PA
OG0000729	Bany_18188-RA	DPOGS201676-PA
OG0000729	Bany_08953-RA	DPOGS201675-PA
OG0000730	Bany_16903-RA, Bany_16772-RA, Bany_18133-RA, Bany_13966-RA, Bany_16311-RA, Bany_16309-RA, Bany_04602-RA, Bany_17509-RA	DPOGS201769-PA
OG0000730	Bany_18129-RA	DPOGS213712-PA
OG0000731	Bany_05177-RA, Bany_05179-RA, Bany_05181-RA	DPOGS215285-PA
OG0000732	Bany_05869-RA	DPOGS212608-PA
OG0000732	Bany_06314-RA	DPOGS201988-PA
OG0000733	Bany_01830-RA	DPOGS203534-PA
OG0000734	Bany_01502-RA, Bany_04601-RA, Bany_07438-RA, Bany_16310-RA, Bany_01501-RA, Bany_04309-RA, Bany_11065-RA, Bany_04914-RA, Bany_03261-RA, Bany_08774-RA, Bany_04915-RA	DPOGS208190-PA
OG0000735	Bany_16447-RA, Bany_16443-RA, Bany_16444-RA	DPOGS216115-PA
OG0000736	Bany_07177-RA	DPOGS206783-PA
OG0000736	Bany_06144-RA	DPOGS208479-PA
OG0000737	Bany_05872-RA	DPOGS212609-PA
OG0000737	Bany_05873-RA	DPOGS212610-PA
OG0000738	Bany_16048-RA, Bany_16438-RA	DPOGS215128-PA
OG0000740	Bany_12708-RA	DPOGS211997-PA
OG0000740	Bany_16463-RA	DPOGS205207-PA
OG0000741	Bany_07972-RA, Bany_07971-RA	DPOGS210820-PA
OG0000742	Bany_00974-RA, Bany_00976-RA	DPOGS214434-PA
OG0000743	Bany_16982-RA	DPOGS207356-PA
OG0000743	Bany_10848-RA	DPOGS210954-PA
OG0000744	Bany_14925-RA, Bany_15612-RA, Bany_14927-RA	DPOGS202140-PA
OG0000745	Bany_01888-RA, Bany_01889-RA	DPOGS213340-PA
OG0000746	Bany_01893-RA	DPOGS213398-PA
OG0000746	Bany_01892-RA	DPOGS213396-PA
OG0000746	Bany_01891-RA	DPOGS213397-PA
OG0000747	Bany_10639-RA	DPOGS208269-PA
OG0000748	Bany_05914-RA	DPOGS205112-PA
OG0000749	Bany_00046-RA	DPOGS208832-PA
OG0000750	Bany_15527-RA	DPOGS214519-PA
OG0000750	Bany_15525-RA	DPOGS214520-PA
OG0000751	Bany_09381-RA	DPOGS204147-PA
OG0000751	Bany_09379-RA, Bany_09380-RA	DPOGS204148-PA
OG0000752	Bany_12549-RA	DPOGS215004-PA, DPOGS215005-PA
OG0000753	Bany_13699-RA, Bany_13700-RA, Bany_13698-RA, Bany_11914-RA	DPOGS210385-PA
OG0000754	Bany_09963-RA	DPOGS210094-PA
OG0000754	Bany_09962-RA	DPOGS210095-PA
OG0000755	Bany_01012-RA	DPOGS211688-PA, DPOGS210764-PA, DPOGS210771-PA, DPOGS210772-PA, DPOGS210765-PA
OG0000756	Bany_14356-RA	DPOGS209513-PA, DPOGS209512-PA
OG0000757	Bany_16145-RA	DPOGS206207-PA
OG0000757	Bany_16146-RA	DPOGS200790-PA
OG0000758	Bany_11219-RA	DPOGS214360-PA
OG0000759	Bany_12606-RA	DPOGS201617-PA
OG0000760	Bany_02727-RA	DPOGS209637-PA, DPOGS209638-PA
OG0000761	Bany_11257-RA	DPOGS210414-PA
OG0000761	Bany_11258-RA	DPOGS210485-PA
OG0000762	Bany_11259-RA	DPOGS210415-PA, DPOGS209275-PA
OG0000764	Bany_11263-RA	DPOGS208394-PA
OG0000765	Bany_00128-RA	DPOGS215331-PA
OG0000765	Bany_00131-RA	DPOGS215336-PA
OG0000766	Bany_01976-RA, Bany_01975-RA	DPOGS214896-PA, DPOGS210776-PA
OG0000766	Bany_01974-RA	DPOGS210777-PA
OG0000767	Bany_05294-RA	DPOGS202660-PA
OG0000768	Bany_17045-RA, Bany_17047-RA	DPOGS215175-PA
OG0000769	Bany_17049-RA	DPOGS215224-PA
OG0000769	Bany_17051-RA	DPOGS215223-PA
OG0000770	Bany_16201-RA	DPOGS209428-PA
OG0000771	Bany_15597-RA	DPOGS205272-PA
OG0000771	Bany_12079-RA	DPOGS202919-PA
OG0000772	Bany_07319-RA	DPOGS200090-PA
OG0000772	Bany_04454-RA	DPOGS215733-PA
OG0000773	Bany_08779-RA	DPOGS206336-PA
OG0000774	Bany_16585-RA, Bany_16587-RA	DPOGS214009-PA
OG0000775	Bany_14992-RA	DPOGS214507-PA
OG0000775	Bany_14991-RA	DPOGS214506-PA
OG0000776	Bany_17068-RA, Bany_17069-RA	DPOGS215217-PA
OG0000777	Bany_04479-RA	DPOGS215683-PA
OG0000778	Bany_14425-RA	DPOGS215497-PA
OG0000779	Bany_12016-RA, Bany_05099-RA, Bany_16225-RA, Bany_16693-RA	DPOGS211280-PA
OG0000780	Bany_03601-RA, Bany_03599-RA	DPOGS211175-PA
OG0000781	Bany_00219-RA, Bany_00215-RA	DPOGS209603-PA
OG0000781	Bany_00218-RA	DPOGS213147-PA
OG0000782	Bany_11973-RA	DPOGS202608-PA
OG0000782	Bany_11975-RA	DPOGS202607-PA
OG0000783	Bany_10052-RA	DPOGS211447-PA
OG0000783	Bany_00908-RA	DPOGS211446-PA
OG0000784	Bany_12785-RA	DPOGS205224-PA
OG0000784	Bany_12784-RA	DPOGS205225-PA
OG0000785	Bany_15029-RA	DPOGS202524-PA
OG0000786	Bany_12800-RA, Bany_12940-RA, Bany_12922-RA, Bany_12953-RA, Bany_12955-RA, Bany_12954-RA	DPOGS207481-PA, DPOGS200457-PA
OG0000787	Bany_17930-RA, Bany_01148-RA, Bany_01149-RA	DPOGS212730-PA
OG0000788	Bany_01162-RA, Bany_01161-RA, Bany_01163-RA	DPOGS212771-PA
OG0000789	Bany_12816-RA	DPOGS205379-PA
OG0000790	Bany_09558-RA	DPOGS214621-PA
OG0000791	Bany_11387-RA, Bany_11388-RA	DPOGS214660-PA
OG0000791	Bany_11389-RA, Bany_11390-RA	DPOGS214659-PA
OG0000792	Bany_09560-RA	DPOGS200206-PA
OG0000792	Bany_07652-RA	DPOGS203917-PA
OG0000793	Bany_06146-RA, Bany_06145-RA	DPOGS208560-PA
OG0000794	Bany_15655-RA	DPOGS203173-PA
OG0000794	Bany_15651-RA, Bany_15650-RA	DPOGS203174-PA
OG0000795	Bany_08866-RA, Bany_08865-RA	DPOGS201678-PA
OG0000796	Bany_16672-RA	DPOGS213248-PA
OG0000796	Bany_16671-RA	DPOGS213247-PA
OG0000797	Bany_08199-RA	DPOGS203253-PA
OG0000798	Bany_14519-RA	DPOGS215484-PA
OG0000799	Bany_10137-RA	DPOGS215859-PA
OG0000799	Bany_10142-RA	DPOGS215855-PA
OG0000799	Bany_10140-RA	DPOGS215857-PA
OG0000800	Bany_01215-RA	DPOGS203095-PA, DPOGS205970-PA
OG0000801	Bany_16705-RA	DPOGS205971-PA
OG0000801	Bany_16706-RA, Bany_16703-RA	DPOGS201216-PA
OG0000803	Bany_17261-RA	DPOGS212015-PA
OG0000803	Bany_17250-RA	DPOGS200940-PA
OG0000804	Bany_08236-RA	DPOGS209265-PA
OG0000805	Bany_11526-RA	DPOGS200764-PA
OG0000805	Bany_11523-RA	DPOGS204644-PA
OG0000806	Bany_02239-RA, Bany_02240-RA	DPOGS201126-PA
OG0000807	Bany_09648-RA	DPOGS214639-PA
OG0000808	Bany_06927-RA	DPOGS203626-PA
OG0000809	Bany_13563-RA, Bany_03026-RA, Bany_13564-RA, Bany_13595-RA	DPOGS203479-PA
OG0000810	Bany_17280-RA	DPOGS205257-PA, DPOGS204587-PA
OG0000811	Bany_08986-RA, Bany_08988-RA	DPOGS203427-PA
OG0000812	Bany_17651-RA, Bany_04154-RA, Bany_04153-RA, Bany_17648-RA	DPOGS203737-PA
OG0000813	Bany_06285-RA, Bany_06286-RA, Bany_06284-RA	DPOGS214056-PA
OG0000814	Bany_08304-RA	DPOGS200268-PA
OG0000816	Bany_02305-RA, Bany_02314-RA, Bany_02309-RA, Bany_02313-RA, Bany_02310-RA, Bany_02316-RA	DPOGS206412-PA
OG0000817	Bany_06289-RA, Bany_06292-RA, Bany_06293-RA, Bany_06290-RA, Bany_06291-RA	DPOGS205648-PA
OG0000818	Bany_16789-RA	DPOGS207544-PA, DPOGS200525-PA
OG0000819	Bany_09713-RA	DPOGS202254-PA
OG0000820	Bany_16797-RA, Bany_16792-RA, Bany_16796-RA	DPOGS200570-PA
OG0000821	Bany_02319-RA	DPOGS206408-PA
OG0000821	Bany_02320-RA	DPOGS200881-PA, DPOGS206407-PA
OG0000822	Bany_05586-RA, Bany_05587-RA	DPOGS207465-PA
OG0000823	Bany_00497-RA	DPOGS204308-PA
OG0000824	Bany_07574-RA	DPOGS203321-PA
OG0000824	Bany_05092-RA	DPOGS201428-PA
OG0000825	Bany_14694-RA	DPOGS209744-PA
OG0000826	Bany_13437-RA	DPOGS206674-PA
OG0000827	Bany_02341-RA	DPOGS206581-PA
OG0000828	Bany_12206-RA	DPOGS208884-PA
OG0000829	Bany_09096-RA, Bany_09095-RA, Bany_09097-RA	DPOGS207819-PA
OG0000830	Bany_02362-RA	DPOGS208036-PA, DPOGS206419-PA
OG0000831	Bany_02369-RA	DPOGS209532-PA
OG0000832	Bany_17377-RA	DPOGS209056-PA
OG0000832	Bany_17375-RA	DPOGS209059-PA
OG0000833	Bany_00590-RA	DPOGS208075-PA, DPOGS208495-PA, DPOGS208076-PA
OG0000834	Bany_00615-RA	DPOGS204256-PA
OG0000834	Bany_00616-RA	DPOGS204258-PA
OG0000835	Bany_14093-RA	DPOGS211627-PA, DPOGS211626-PA
OG0000836	Bany_09830-RA	DPOGS212862-PA
OG0000836	Bany_09829-RA	DPOGS212863-PA
OG0000837	Bany_07069-RA	DPOGS202493-PA
OG0000838	Bany_08423-RA	DPOGS213305-PA
OG0000839	Bany_12285-RA	DPOGS208939-PA
OG0000840	Bany_04903-RA	DPOGS201474-PA
OG0000841	Bany_14147-RA	DPOGS213628-PA
OG0000842	Bany_12292-RA	DPOGS208927-PA
OG0000843	Bany_02431-RA	DPOGS210301-PA
OG0000844	Bany_14180-RA	DPOGS212385-PA
OG0000844	Bany_14185-RA	DPOGS212384-PA
OG0000845	Bany_01630-RA	DPOGS206959-PA
OG0000846	Bany_13573-RA	DPOGS211607-PA
OG0000847	Bany_00747-RA	DPOGS208744-PA
OG0000848	Bany_12401-RA	DPOGS210242-PA
OG0000849	Bany_04227-RA	DPOGS201853-PA
OG0000863	Bany_00183-RA	DPOGS208803-PA
OG0000863	Bany_08654-RA	DPOGS208806-PA
OG0000863	Bany_00185-RA	DPOGS208804-PA, DPOGS208805-PA
OG0000864	Bany_09913-RA, Bany_09911-RA, Bany_09912-RA	DPOGS205725-PA, DPOGS210043-PA
OG0000865	Bany_17700-RA, Bany_17697-RA	DPOGS210288-PA
OG0000865	Bany_13514-RA	DPOGS210289-PA
OG0000866	Bany_09343-RA	DPOGS214699-PA
OG0000867	Bany_13306-RA	DPOGS206641-PA
OG0000867	Bany_00012-RA	DPOGS206638-PA
OG0000868	Bany_08298-RA, Bany_14895-RA, Bany_08300-RA	DPOGS200263-PA
OG0000870	Bany_10567-RA	DPOGS208290-PA
OG0000871	Bany_00959-RA, Bany_00960-RA, Bany_00958-RA	DPOGS214422-PA
OG0000872	Bany_16473-RA, Bany_16475-RA	DPOGS216118-PA
OG0000873	Bany_07963-RA, Bany_07962-RA	DPOGS210817-PA
OG0000874	Bany_13655-RA	DPOGS210368-PA
OG0000874	Bany_13656-RA	DPOGS210369-PA
OG0000875	Bany_05224-RA, Bany_05225-RA	DPOGS204747-PA, DPOGS204748-PA
OG0000876	Bany_12884-RA, Bany_00149-RA, Bany_04558-RA, Bany_16088-RA, Bany_02189-RA, Bany_13309-RA	DPOGS206310-PA, DPOGS201390-PA
OG0000878	Bany_07211-RA, Bany_07213-RA	DPOGS206791-PA
OG0000880	Bany_10646-RA, Bany_10647-RA	DPOGS208272-PA
OG0000880	Bany_10644-RA	DPOGS208274-PA
OG0000881	Bany_00101-RA, Bany_16107-RA, Bany_16108-RA	DPOGS210653-PA
OG0000883	Bany_00757-RA, Bany_03292-RA, Bany_07224-RA, Bany_17804-RA, Bany_07336-RA, Bany_07298-RA	DPOGS208750-PA
OG0000884	Bany_16126-RA	DPOGS205039-PA
OG0000884	Bany_16125-RA	DPOGS205038-PA
OG0000885	Bany_04770-RA, Bany_04399-RA	DPOGS206403-PA
OG0000888	Bany_12571-RA, Bany_12574-RA	DPOGS201605-PA
OG0000889	Bany_01927-RA, Bany_01964-RA	DPOGS216175-PA
OG0000890	Bany_04683-RA, Bany_02106-RA, Bany_07024-RA, Bany_13847-RA, Bany_13533-RA, Bany_03828-RA, Bany_14756-RA, Bany_16762-RA, Bany_13721-RA, Bany_16891-RA, Bany_08344-RA, Bany_11492-RA	DPOGS202089-PA
OG0000891	Bany_13727-RA, Bany_13728-RA, Bany_13730-RA, Bany_08139-RA, Bany_13731-RA	DPOGS212941-PA
OG0000892	Bany_13729-RA, Bany_04603-RA	DPOGS203780-PA
OG0000893	Bany_04125-RA, Bany_12584-RA, Bany_12582-RA, Bany_12583-RA, Bany_12585-RA	DPOGS201606-PA
OG0000894	Bany_17480-RA	DPOGS216202-PA
OG0000895	Bany_11886-RA, Bany_11885-RA	DPOGS209835-PA
OG0000896	Bany_15573-RA, Bany_16623-RA	DPOGS213757-PA
OG0000897	Bany_09416-RA	DPOGS211299-PA
OG0000898	Bany_09425-RA, Bany_09424-RA	DPOGS211333-PA
OG0000899	Bany_06649-RA	DPOGS200219-PA
OG0000899	Bany_06648-RA	DPOGS210195-PA
OG0000900	Bany_00145-RA	DPOGS215296-PA
OG0000901	Bany_17052-RA	DPOGS215177-PA
OG0000902	Bany_02001-RA	DPOGS203551-PA, DPOGS204539-PA, DPOGS203553-PA, DPOGS203552-PA
OG0000903	Bany_09472-RA	DPOGS202279-PA, DPOGS202278-PA
OG0000904	Bany_09475-RA	DPOGS202308-PA
OG0000905	Bany_12680-RA	DPOGS201585-PA
OG0000905	Bany_12681-RA	DPOGS201586-PA
OG0000906	Bany_03573-RA	DPOGS201312-PA
OG0000907	Bany_06020-RA	DPOGS212607-PA, DPOGS212593-PA, DPOGS201059-PA
OG0000908	Bany_08486-RA	DPOGS202558-PA
OG0000908	Bany_02046-RA	DPOGS202557-PA
OG0000909	Bany_09509-RA	DPOGS210131-PA
OG0000910	Bany_16613-RA	DPOGS213780-PA
OG0000911	Bany_02821-RA	DPOGS212152-PA
OG0000912	Bany_15125-RA	DPOGS201074-PA
OG0000912	Bany_15003-RA	DPOGS204588-PA
OG0000913	Bany_09727-RA	DPOGS202261-PA
OG0000913	Bany_06728-RA	DPOGS206750-PA
OG0000915	Bany_02826-RA	DPOGS212109-PA
OG0000916	Bany_16288-RA	DPOGS200515-PA
OG0000918	Bany_04537-RA	DPOGS215762-PA
OG0000919	Bany_03640-RA, Bany_03641-RA	DPOGS211144-PA
OG0000920	Bany_13795-RA	DPOGS202870-PA
OG0000920	Bany_13796-RA	DPOGS213295-PA
OG0000921	Bany_15404-RA, Bany_17896-RA, Bany_15915-RA, Bany_08811-RA, Bany_06843-RA, Bany_06844-RA	DPOGS212511-PA
OG0000922	Bany_05372-RA	DPOGS205162-PA
OG0000923	Bany_16638-RA	DPOGS213769-PA
OG0000924	Bany_06781-RA, Bany_06783-RA	DPOGS205590-PA
OG0000924	Bany_06786-RA	DPOGS205582-PA
OG0000926	Bany_07357-RA	DPOGS200889-PA
OG0000927	Bany_08825-RA	DPOGS209762-PA
OG0000927	Bany_08829-RA	DPOGS209763-PA
OG0000928	Bany_11993-RA, Bany_11994-RA, Bany_11992-RA	DPOGS211291-PA
OG0000929	Bany_11998-RA, Bany_12002-RA	DPOGS211289-PA
OG0000930	Bany_12010-RA	DPOGS211285-PA
OG0000931	Bany_16668-RA, Bany_16666-RA	DPOGS216137-PA
OG0000932	Bany_04923-RA	DPOGS201928-PA
OG0000932	Bany_05399-RA	DPOGS201927-PA
OG0000932	Bany_04924-RA, Bany_04925-RA	DPOGS210343-PA
OG0000933	Bany_10107-RA	DPOGS215916-PA
OG0000934	Bany_06805-RA	DPOGS203637-PA, DPOGS203639-PA, DPOGS203640-PA, DPOGS203638-PA
OG0000935	Bany_08414-RA, Bany_03873-RA, Bany_13857-RA, Bany_11524-RA	DPOGS202489-PA
OG0000935	Bany_08413-RA	DPOGS214773-PA
OG0000936	Bany_17922-RA	DPOGS210273-PA
OG0000937	Bany_16389-RA	DPOGS212956-PA
OG0000938	Bany_15664-RA	DPOGS203206-PA, DPOGS203205-PA, DPOGS203204-PA
OG0000939	Bany_15668-RA, Bany_15667-RA	DPOGS203168-PA
OG0000940	Bany_13897-RA	DPOGS213597-PA
OG0000941	Bany_16421-RA, Bany_16423-RA	DPOGS214612-PA
OG0000942	Bany_06846-RA	DPOGS212513-PA, DPOGS212476-PA
OG0000943	Bany_17226-RA, Bany_17227-RA	DPOGS216147-PA
OG0000944	Bany_00336-RA	DPOGS204379-PA, DPOGS204380-PA
OG0000945	Bany_13301-RA	DPOGS206666-PA
OG0000945	Bany_04992-RA	DPOGS202226-PA
OG0000946	Bany_14543-RA	DPOGS216041-PA, DPOGS216040-PA
OG0000947	Bany_12935-RA	DPOGS200587-PA
OG0000947	Bany_12931-RA	DPOGS200586-PA
OG0000948	Bany_04641-RA	DPOGS201743-PA
