Orthogroup	Bicyclus_anynana	Junonia_coenia
OG0002092	Bany_02355-RA	JC_13648-RA
OG0002093	Bany_08373-RA	JC_03244-RA
OG0002094	Bany_15262-RA	JC_05704-RA
OG0002095	Bany_09073-RA	JC_07694-RA
OG0002096	Bany_01487-RA	JC_12026-RA
OG0002097	Bany_15270-RA	JC_05713-RA
OG0002098	Bany_05647-RA	JC_02942-RA
OG0002099	Bany_04834-RA	JC_01289-RA
OG0002100	Bany_11684-RA	JC_10408-RA
OG0002101	Bany_10343-RA, Bany_10341-RA	JC_04854-RA
OG0002102	Bany_00554-RA	JC_16172-RA, JC_00392-RA
OG0002103	Bany_11692-RA	JC_10401-RA, JC_10400-RA
OG0002104	Bany_06353-RA	JC_09352-RA
OG0002104	Bany_06354-RA	JC_09351-RA
OG0002105	Bany_08382-RA, Bany_08383-RA, Bany_08384-RA, Bany_08386-RA	JC_03236-RA
OG0002106	Bany_06358-RA, Bany_06356-RA, Bany_06357-RA	JC_09349-RA
OG0002107	Bany_03984-RA	JC_08410-RA
OG0002108	Bany_09786-RA	JC_12661-RA, JC_12660-RA, JC_12662-RA
OG0002109	Bany_13479-RA	JC_11130-RA
OG0002110	Bany_02365-RA	JC_13630-RA
OG0002111	Bany_04841-RA	JC_01293-RA
OG0002112	Bany_11704-RA	JC_10390-RA, JC_10389-RA
OG0002113	Bany_06360-RA	JC_09345-RA, JC_09344-RA, JC_09346-RA
OG0002114	Bany_15297-RA, Bany_12436-RA	JC_05767-RA, JC_05768-RA
OG0002115	Bany_14048-RA	JC_07090-RA
OG0002116	Bany_17361-RA	JC_13310-RA
OG0002117	Bany_10353-RA	JC_04847-RA, JC_04845-RA, JC_04846-RA
OG0002118	Bany_08392-RA	JC_03225-RA
OG0002119	Bany_10356-RA	JC_04839-RA
OG0002120	Bany_12238-RA	JC_08990-RA
OG0002121	Bany_01507-RA	JC_12042-RA
OG0002122	Bany_03168-RA	JC_04154-RA
OG0002123	Bany_07665-RA	JC_01867-RA
OG0002124	Bany_09125-RA, Bany_09124-RA	JC_07733-RA
OG0002125	Bany_12251-RA	JC_09000-RA
OG0002125	Bany_12250-RA	JC_08998-RA
OG0002126	Bany_03992-RA	JC_08405-RA, JC_08406-RA
OG0002127	Bany_08403-RA	JC_03215-RA, JC_03214-RA
OG0002128	Bany_07682-RA	JC_01856-RA
OG0002129	Bany_04006-RA, Bany_04005-RA	JC_08383-RA
OG0002130	Bany_07057-RA	JC_15385-RA
OG0002131	Bany_02389-RA	JC_13579-RA
OG0002132	Bany_15324-RA	JC_05797-RA
OG0002133	Bany_04885-RA	JC_01069-RA
OG0002134	Bany_12271-RA	JC_09025-RA
OG0002135	Bany_07686-RA	JC_01851-RA
OG0002136	Bany_05707-RA, Bany_05703-RA	JC_02881-RA
OG0002137	Bany_13507-RA	JC_11117-RA, JC_11116-RA
OG0002138	Bany_15343-RA	JC_05821-RA
OG0002139	Bany_07088-RA	JC_15465-RA
OG0002140	Bany_14150-RA	JC_06984-RA, JC_06986-RA
OG0002141	Bany_14153-RA	JC_07199-RA
OG0002142	Bany_12297-RA	JC_09053-RA
OG0002143	Bany_12298-RA	JC_09054-RA
OG0002144	Bany_12300-RA	JC_09055-RA
OG0002145	Bany_01584-RA	JC_11766-RA
OG0002146	Bany_03205-RA	JC_04186-RA
OG0002147	Bany_11026-RA	JC_06625-RA
OG0002148	Bany_00656-RA	JC_00262-RA
OG0002149	Bany_08447-RA	JC_03157-RA
OG0002150	Bany_08449-RA	JC_03154-RA
OG0002152	Bany_06425-RA	JC_09283-RA, JC_09282-RA
OG0002153	Bany_02422-RA	JC_13536-RA
OG0002154	Bany_15973-RA	JC_05128-RA
OG0002155	Bany_01612-RA	JC_11792-RA
OG0002156	Bany_10424-RA	JC_04959-RA, JC_04960-RA
OG0002157	Bany_07122-RA	JC_15395-RA, JC_15476-RA, JC_15394-RA, JC_15477-RA, JC_15496-RA
OG0002158	Bany_11811-RA	JC_10419-RA
OG0002159	Bany_13548-RA	JC_11061-RA
OG0002160	Bany_13550-RA	JC_11063-RA, JC_11064-RA, JC_11065-RA
OG0002161	Bany_09208-RA	JC_07809-RA
OG0002162	Bany_01619-RA	JC_05474-RA, JC_05473-RA, JC_05472-RA, JC_13800-RA, JC_13803-RA, JC_13804-RA, JC_13801-RA, JC_13802-RA, JC_13805-RA, JC_13806-RA
OG0002163	Bany_04935-RA	JC_00840-RA
OG0002165	Bany_00697-RA	JC_00218-RA
OG0002166	Bany_13562-RA	JC_11076-RA, JC_11078-RA
OG0002167	Bany_04100-RA	JC_08503-RA
OG0002167	Bany_04101-RA, Bany_04102-RA	JC_08504-RA
OG0002168	Bany_09221-RA	JC_07825-RA
OG0002169	Bany_11069-RA	JC_06592-RA
OG0002170	Bany_07744-RA	JC_01794-RA
OG0002171	Bany_09227-RA	JC_07832-RA
OG0002172	Bany_02452-RA	JC_13506-RA, JC_13507-RA
OG0002173	Bany_13579-RA	JC_11098-RA
OG0002174	Bany_08506-RA	JC_03094-RA
OG0002175	Bany_07146-RA	JC_15407-RA
OG0002176	Bany_09243-RA	JC_09950-RA, JC_12998-RA, JC_16283-RA, JC_14180-RA
OG0002177	Bany_14206-RA	JC_07241-RA, JC_07240-RA
OG0002178	Bany_04129-RA	JC_08519-RA
OG0002179	Bany_04130-RA	JC_08520-RA
OG0002180	Bany_03290-RA	JC_04361-RA
OG0002181	Bany_08537-RA, Bany_08542-RA	JC_03066-RA
OG0002182	Bany_13597-RA	JC_11271-RA
OG0002183	Bany_05776-RA	JC_02831-RA
OG0002184	Bany_08556-RA	JC_01916-RA, JC_03052-RA
OG0002185	Bany_05777-RA	JC_02830-RA
OG0002186	Bany_08564-RA	JC_03044-RA, JC_03042-RA, JC_03043-RA
OG0002187	Bany_05780-RA, Bany_05781-RA	JC_02827-RA
OG0002188	Bany_12389-RA	JC_09135-RA
OG0002188	Bany_12388-RA	JC_09134-RA
OG0002189	Bany_02497-RA	JC_13454-RA
OG0002190	Bany_02503-RA	JC_13448-RA
OG0002190	Bany_02502-RA	JC_13449-RA
OG0002191	Bany_09300-RA	JC_07892-RA
OG0002192	Bany_07799-RA	JC_01694-RA
OG0002192	Bany_07800-RA	JC_01691-RA, JC_01692-RA, JC_01693-RA
OG0002193	Bany_12403-RA	JC_09153-RA
OG0002194	Bany_09309-RA	JC_07902-RA
OG0002195	Bany_01713-RA	JC_11907-RA
OG0002196	Bany_03332-RA	JC_04327-RA
OG0002196	Bany_03331-RA	JC_04329-RA
OG0002197	Bany_00796-RA	JC_00113-RA, JC_00114-RA
OG0002198	Bany_00806-RA, Bany_00808-RA	JC_00106-RA
OG0002199	Bany_04181-RA	JC_08629-RA, JC_08632-RA, JC_08631-RA
OG0002200	Bany_00814-RA	JC_09807-RA
OG0002201	Bany_00816-RA	JC_00096-RA
OG0002202	Bany_12419-RA	JC_09164-RA, JC_09163-RA
OG0002203	Bany_07852-RA	JC_01680-RA
OG0002204	Bany_10530-RA, Bany_10529-RA	JC_05069-RA
OG0002205	Bany_05807-RA	JC_01654-RA
OG0002206	Bany_05809-RA	JC_02800-RA
OG0002207	Bany_05810-RA	JC_02796-RA, JC_02797-RA, JC_02798-RA
OG0002208	Bany_08634-RA	JC_02972-RA
OG0002209	Bany_00845-RA	JC_00069-RA, JC_00068-RA, JC_00067-RA
OG0002210	Bany_00849-RA	JC_00054-RA, JC_00056-RA, JC_00045-RA, JC_00061-RA, JC_00042-RA, JC_00055-RA
OG0002211	Bany_04233-RA	JC_08581-RA
OG0002212	Bany_01777-RA	JC_11613-RA
OG0002213	Bany_05827-RA	JC_02774-RA
OG0002214	Bany_05830-RA	JC_02771-RA
OG0002216	Bany_07864-RA	JC_01728-RA
OG0002217	Bany_04259-RA	JC_08559-RA
OG0002218	Bany_04264-RA	JC_08555-RA
OG0002219	Bany_02584-RA	JC_13366-RA, JC_13367-RA
OG0002220	Bany_02591-RA	JC_13357-RA
OG0002220	Bany_02593-RA	JC_13355-RA
OG0002221	Bany_05108-RA	JC_01001-RA
OG0002222	Bany_04274-RA	JC_08546-RA
OG0002222	Bany_04275-RA	JC_08545-RA
OG0002223	Bany_07881-RA	JC_01742-RA
OG0002223	Bany_07883-RA	JC_01745-RA
OG0002224	Bany_05121-RA	JC_01010-RA, JC_01012-RA, JC_01014-RA
OG0002225	Bany_00881-RA	JC_00001-RA
OG0002226	Bany_05133-RA	JC_01019-RA
OG0002227	Bany_05159-RA	JC_01117-RA
OG0002247	Bany_05396-RA, Bany_18161-RA	JC_02525-RA
OG0002250	Bany_15437-RA	JC_05600-RA
OG0002251	Bany_07924-RA	JC_03528-RA
OG0002251	Bany_07941-RA	JC_03527-RA
OG0002253	Bany_15438-RA	JC_05599-RA
OG0002254	Bany_14881-RA	JC_05679-RA
OG0002256	Bany_01814-RA	JC_14657-RA
OG0002257	Bany_08657-RA	JC_07357-RA
OG0002258	Bany_10545-RA	JC_06338-RA
OG0002259	Bany_07173-RA	JC_07974-RA, JC_07973-RA
OG0002260	Bany_09341-RA	JC_12826-RA, JC_12827-RA
OG0002261	Bany_00040-RA	JC_17046-RA, JC_17045-RA
OG0002262	Bany_15991-RA, Bany_12458-RA	JC_17120-RA
OG0002263	Bany_17544-RA	JC_15673-RA
OG0002264	Bany_07932-RA	JC_03517-RA
OG0002265	Bany_16943-RA	JC_13130-RA
OG0002266	Bany_00942-RA	JC_16188-RA
OG0002267	Bany_04317-RA	JC_01612-RA
OG0002268	Bany_08669-RA	JC_07344-RA
OG0002269	Bany_11145-RA	JC_10266-RA
OG0002270	Bany_17705-RA	JC_14983-RA
OG0002271	Bany_00015-RA, Bany_00017-RA	JC_00732-RA
OG0002272	Bany_11840-RA	JC_08666-RA
OG0002273	Bany_16052-RA, Bany_16053-RA	JC_16789-RA
OG0002274	Bany_05887-RA	JC_09729-RA
OG0002274	Bany_05886-RA	JC_09727-RA
OG0002275	Bany_01852-RA	JC_14627-RA
OG0002276	Bany_08879-RA, Bany_11149-RA	JC_07535-RA
OG0002277	Bany_00952-RA	JC_16220-RA
OG0002278	Bany_17409-RA	JC_15578-RA
OG0002279	Bany_07947-RA	JC_03532-RA
OG0002280	Bany_07948-RA	JC_03534-RA
OG0002281	Bany_07949-RA	JC_03533-RA
OG0002282	Bany_01859-RA	JC_14618-RA
OG0002283	Bany_12479-RA, Bany_12483-RA	JC_17170-RA
OG0002284	Bany_07950-RA	JC_03536-RA
OG0002285	Bany_12311-RA, Bany_12310-RA, Bany_04819-RA, Bany_12307-RA, Bany_12309-RA, Bany_12308-RA, Bany_09350-RA	JC_06030-RA
OG0002286	Bany_13043-RA	JC_11498-RA
OG0002287	Bany_17416-RA, Bany_17417-RA	JC_15566-RA
OG0002288	Bany_05894-RA	JC_09736-RA
OG0002289	Bany_06563-RA	JC_15218-RA
OG0002290	Bany_07199-RA	JC_01957-RA
OG0002291	Bany_13639-RA	JC_06706-RA
OG0002293	Bany_03484-RA	JC_07931-RA
OG0002294	Bany_01869-RA	JC_14607-RA
OG0002296	Bany_05205-RA	JC_02392-RA, JC_02394-RA
OG0002297	Bany_04337-RA	JC_01599-RA
OG0002298	Bany_17719-RA	JC_15049-RA
OG0002299	Bany_17722-RA, Bany_17724-RA	JC_15045-RA
OG0002300	Bany_00025-RA	JC_00723-RA
OG0002300	Bany_00024-RA	JC_00722-RA
OG0002301	Bany_16075-RA	JC_16694-RA
OG0002302	Bany_16077-RA	JC_16697-RA
OG0002303	Bany_12498-RA	JC_17164-RA
OG0002304	Bany_16081-RA	JC_16699-RA
OG0002304	Bany_16079-RA	JC_16700-RA
OG0002305	Bany_07204-RA, Bany_07203-RA	JC_02269-RA
OG0002306	Bany_05220-RA	JC_02379-RA
OG0002307	Bany_05221-RA	JC_02376-RA
OG0002308	Bany_09938-RA	JC_04449-RA
OG0002309	Bany_17728-RA	JC_11220-RA
OG0002310	Bany_00968-RA	JC_16239-RA
OG0002311	Bany_16082-RA, Bany_16083-RA	JC_16703-RA, JC_16701-RA
OG0002312	Bany_17429-RA	JC_15550-RA
OG0002313	Bany_17734-RA	JC_15040-RA, JC_15039-RA
OG0002314	Bany_08694-RA	JC_07303-RA
OG0002315	Bany_16494-RA	JC_14074-RA
OG0002316	Bany_01886-RA	JC_14586-RA
OG0002317	Bany_16092-RA	JC_16709-RA
OG0002318	Bany_16987-RA	JC_13008-RA
OG0002319	Bany_15277-RA, Bany_14926-RA	JC_05722-RA
OG0002320	Bany_08700-RA	JC_12157-RA
OG0002321	Bany_11168-RA	JC_10282-RA
OG0002323	Bany_16990-RA	JC_13004-RA
OG0002324	Bany_09944-RA	JC_04455-RA, JC_04456-RA
OG0002325	Bany_16099-RA	JC_16714-RA
OG0002325	Bany_16095-RA	JC_16712-RA
OG0002326	Bany_06581-RA	JC_15199-RA
OG0002326	Bany_06580-RA	JC_15200-RA
OG0002327	Bany_09946-RA	JC_04457-RA
OG0002328	Bany_00984-RA, Bany_12727-RA	JC_16201-RA
OG0002329	Bany_16995-RA	JC_12999-RA
OG0002330	Bany_00987-RA	JC_16205-RA
OG0002331	Bany_09948-RA	JC_04458-RA
OG0002332	Bany_13056-RA	JC_11507-RA
OG0002333	Bany_14322-RA	JC_10514-RA
OG0002334	Bany_06587-RA	JC_15188-RA
OG0002334	Bany_06588-RA	JC_15187-RA
OG0002335	Bany_04371-RA	JC_01589-RA, JC_01590-RA
OG0002336	Bany_00997-RA	JC_16213-RA
OG0002337	Bany_14323-RA, Bany_07007-RA, Bany_11985-RA	JC_08945-RA
OG0002338	Bany_05918-RA	JC_09759-RA
OG0002339	Bany_04381-RA	JC_01582-RA
OG0002340	Bany_05242-RA	JC_02355-RA
OG0002341	Bany_17002-RA	JC_12987-RA
OG0002342	Bany_12546-RA	JC_17101-RA
OG0002343	Bany_10652-RA	JC_06078-RA
OG0002344	Bany_17754-RA	JC_14893-RA
OG0002346	Bany_09386-RA	JC_12433-RA
OG0002347	Bany_03518-RA	JC_07966-RA
OG0002347	Bany_03519-RA	JC_07967-RA
OG0002348	Bany_17462-RA	JC_15587-RA
OG0002349	Bany_01909-RA, Bany_01912-RA	JC_14560-RA
OG0002350	Bany_09398-RA	JC_12422-RA
OG0002351	Bany_12558-RA	JC_17071-RA
OG0002352	Bany_17756-RA	JC_14891-RA
OG0002353	Bany_12561-RA	JC_17021-RA
OG0002354	Bany_07233-RA	JC_02259-RA
OG0002355	Bany_15539-RA	JC_05518-RA
OG0002356	Bany_16134-RA	JC_16578-RA, JC_16543-RA
OG0002357	Bany_16138-RA	JC_16566-RA
OG0002358	Bany_11879-RA	JC_08693-RA
OG0002359	Bany_04561-RA, Bany_03526-RA	JC_01416-RA
OG0002360	Bany_12575-RA, Bany_12576-RA	JC_17075-RA
OG0002361	Bany_04404-RA, Bany_04403-RA, Bany_04405-RA	JC_01559-RA
OG0002362	Bany_01932-RA	JC_14527-RA
OG0002363	Bany_13127-RA	JC_11423-RA
OG0002364	Bany_17018-RA	JC_12977-RA
OG0002365	Bany_16144-RA	JC_16626-RA
OG0002366	Bany_14963-RA	JC_05640-RA, JC_05639-RA
OG0002367	Bany_02703-RA	JC_03693-RA
OG0002368	Bany_11883-RA	JC_08695-RA
OG0002369	Bany_06616-RA	JC_15997-RA, JC_15996-RA
OG0002371	Bany_16527-RA	JC_14117-RA
OG0002371	Bany_16528-RA	JC_14118-RA
OG0002372	Bany_13142-RA	JC_11413-RA
OG0002373	Bany_02712-RA	JC_03702-RA
OG0002375	Bany_11221-RA	JC_10330-RA, JC_10329-RA
OG0002377	Bany_01031-RA	JC_16268-RA
OG0002378	Bany_17483-RA	JC_15628-RA
OG0002379	Bany_01032-RA	JC_16270-RA
OG0002379	Bany_01034-RA	JC_16271-RA
OG0002380	Bany_17612-RA, Bany_09983-RA	JC_15723-RA
OG0002381	Bany_17484-RA	JC_15626-RA, JC_15627-RA
OG0002383	Bany_00113-RA	JC_00801-RA
OG0002384	Bany_04430-RA	JC_01542-RA
OG0002385	Bany_14378-RA	JC_10580-RA
OG0002385	Bany_14377-RA	JC_10578-RA
OG0002386	Bany_08750-RA	JC_07410-RA
OG0002386	Bany_08748-RA	JC_07409-RA
OG0002387	Bany_13742-RA, Bany_13739-RA	JC_06826-RA
OG0002388	Bany_00120-RA, Bany_00116-RA	JC_00803-RA
OG0002389	Bany_01042-RA	JC_16282-RA, JC_16281-RA
OG0002390	Bany_03529-RA	JC_07971-RA
OG0002391	Bany_04438-RA	JC_01531-RA
OG0002392	Bany_09412-RA	JC_12411-RA
OG0002393	Bany_08762-RA	JC_07415-RA
OG0002394	Bany_13152-RA, Bany_13154-RA	JC_11401-RA
OG0002395	Bany_13746-RA, Bany_13883-RA	JC_06828-RA
OG0002397	Bany_05277-RA	JC_02326-RA
OG0002398	Bany_11906-RA	JC_08720-RA
OG0002398	Bany_11905-RA	JC_08719-RA
OG0002399	Bany_17868-RA, Bany_16546-RA, Bany_16547-RA	JC_14996-RA
OG0002400	Bany_01961-RA	JC_14503-RA
OG0002401	Bany_11265-RA	JC_10223-RA
OG0002402	Bany_12621-RA	JC_03937-RA
OG0002403	Bany_07263-RA	JC_02297-RA
OG0002404	Bany_08767-RA	JC_07421-RA
OG0002405	Bany_06644-RA	JC_16029-RA
OG0002406	Bany_07265-RA	JC_02296-RA
OG0002407	Bany_17793-RA	JC_14865-RA
OG0002408	Bany_06646-RA	JC_16033-RA
OG0002409	Bany_11278-RA	JC_10200-RA
OG0002409	Bany_11277-RA	JC_10201-RA
OG0002410	Bany_05291-RA	JC_02425-RA
OG0002411	Bany_09426-RA	JC_12400-RA
OG0002412	Bany_07268-RA	JC_02281-RA
OG0002413	Bany_09428-RA	JC_12396-RA, JC_12398-RA
OG0002414	Bany_00141-RA	JC_00825-RA
OG0002415	Bany_09437-RA	JC_12389-RA
OG0002416	Bany_17802-RA	JC_14903-RA, JC_14904-RA
OG0002417	Bany_09443-RA	JC_12384-RA
OG0002418	Bany_16200-RA	JC_16769-RA
OG0002419	Bany_01988-RA	JC_14474-RA
OG0002420	Bany_16564-RA	JC_14147-RA
OG0002421	Bany_05960-RA	JC_09799-RA
OG0002422	Bany_03562-RA	JC_08002-RA
OG0002423	Bany_00167-RA	JC_00808-RA
OG0002424	Bany_16578-RA	JC_14159-RA
OG0002424	Bany_16576-RA	JC_14158-RA
OG0002425	Bany_12652-RA	JC_17086-RA
OG0002426	Bany_04456-RA	JC_01515-RA
OG0002427	Bany_14408-RA, Bany_14407-RA	JC_10615-RA
OG0002428	Bany_05972-RA	JC_09804-RA
OG0002429	Bany_17056-RA	JC_12938-RA
OG0002429	Bany_17055-RA	JC_12939-RA
OG0002430	Bany_04459-RA, Bany_00876-RA	JC_01513-RA
OG0002431	Bany_04460-RA	JC_01512-RA
OG0002432	Bany_16205-RA	JC_16588-RA
OG0002433	Bany_02760-RA	JC_03739-RA
OG0002435	Bany_17824-RA, Bany_17825-RA	JC_14894-RA
OG0002436	Bany_10738-RA	JC_06179-RA, JC_06180-RA
OG0002437	Bany_00178-RA, Bany_00180-RA, Bany_00177-RA	JC_00710-RA
OG0002438	Bany_01068-RA	JC_16402-RA
OG0002439	Bany_01070-RA	JC_16400-RA
OG0002440	Bany_06666-RA	JC_16137-RA
OG0002442	Bany_16599-RA	JC_14030-RA
OG0002443	Bany_11929-RA, Bany_11930-RA	JC_08740-RA
OG0002444	Bany_10750-RA	JC_06194-RA, JC_06196-RA
OG0002445	Bany_16214-RA	JC_16683-RA
OG0002446	Bany_01075-RA	JC_16393-RA
OG0002447	Bany_17512-RA	JC_15607-RA
OG0002449	Bany_17082-RA	JC_12898-RA
OG0002450	Bany_11304-RA	JC_10175-RA
OG0002451	Bany_17086-RA	JC_12897-RA
OG0002452	Bany_04485-RA	JC_01498-RA
OG0002453	Bany_06693-RA	JC_16070-RA, JC_16071-RA
OG0002454	Bany_16228-RA	JC_15115-RA, JC_05647-RA
OG0002454	Bany_12731-RA	JC_10668-RA, JC_11099-RA
OG0002456	Bany_12691-RA	JC_17066-RA, JC_17065-RA
OG0002457	Bany_07285-RA	JC_01943-RA
OG0002458	Bany_17838-RA	JC_14843-RA
OG0002458	Bany_17839-RA	JC_14844-RA
OG0002459	Bany_11316-RA	JC_10163-RA
OG0002460	Bany_08095-RA	JC_03504-RA
OG0002462	Bany_16237-RA	JC_16661-RA
OG0002463	Bany_16607-RA	JC_14023-RA
OG0002464	Bany_14444-RA	JC_10726-RA
OG0002465	Bany_14445-RA	JC_10725-RA
OG0002466	Bany_11320-RA	JC_10159-RA
OG0002467	Bany_16245-RA	JC_16652-RA, JC_16651-RA
OG0002468	Bany_17525-RA	JC_15665-RA, JC_15698-RA
OG0002470	Bany_16249-RA	JC_16559-RA
OG0002471	Bany_13775-RA	JC_06854-RA
OG0002472	Bany_16252-RA	JC_16558-RA
OG0002473	Bany_17109-RA	JC_12882-RA
OG0002474	Bany_01629-RA, Bany_10785-RA	JC_11815-RA, JC_11816-RA
OG0002475	Bany_11947-RA	JC_08753-RA
OG0002477	Bany_11949-RA	JC_08754-RA
OG0002478	Bany_12896-RA, Bany_12898-RA, Bany_12715-RA	JC_17081-RA
OG0002480	Bany_08798-RA	JC_07483-RA
OG0002481	Bany_17853-RA, Bany_17855-RA, Bany_17852-RA	JC_14835-RA
OG0002482	Bany_08800-RA, Bany_08801-RA	JC_07480-RA, JC_07481-RA
OG0002483	Bany_09512-RA	JC_06547-RA, JC_12460-RA
OG0002484	Bany_17113-RA	JC_12876-RA
OG0002486	Bany_04155-RA, Bany_02060-RA	JC_14378-RA
OG0002487	Bany_03611-RA	JC_08048-RA
OG0002488	Bany_01107-RA	JC_16338-RA
OG0002489	Bany_10788-RA	JC_06352-RA
OG0002490	Bany_15008-RA	JC_06060-RA
OG0002491	Bany_11330-RA	JC_10149-RA
OG0002492	Bany_13206-RA, Bany_13205-RA	JC_11361-RA
OG0002493	Bany_02070-RA, Bany_02072-RA	JC_14369-RA
OG0002494	Bany_08172-RA, Bany_06721-RA	JC_16116-RA
OG0002495	Bany_04507-RA	JC_01472-RA
OG0002496	Bany_06722-RA	JC_16115-RA
OG0002497	Bany_10043-RA	JC_04546-RA
OG0002498	Bany_16278-RA	JC_16486-RA, JC_16485-RA
OG0002499	Bany_17871-RA	JC_14998-RA
OG0002500	Bany_02073-RA	JC_14366-RA
OG0002501	Bany_08110-RA, Bany_08111-RA	JC_03488-RA
OG0002502	Bany_07737-RA, Bany_04512-RA	JC_01465-RA
OG0002503	Bany_17123-RA	JC_12835-RA
OG0002504	Bany_15633-RA, Bany_15632-RA	JC_05441-RA
OG0002505	Bany_16285-RA	JC_16483-RA
OG0002506	Bany_11339-RA	JC_10143-RA
OG0002507	Bany_04521-RA	JC_01457-RA
OG0002508	Bany_08113-RA	JC_03485-RA
OG0002509	Bany_17125-RA	JC_12838-RA, JC_12837-RA
OG0002511	Bany_11965-RA, Bany_00695-RA	JC_10789-RA
OG0002511	Bany_14598-RA	JC_10788-RA
OG0002512	Bany_06044-RA	JC_09646-RA
OG0002513	Bany_17128-RA	JC_12845-RA
OG0002514	Bany_13219-RA	JC_11348-RA
OG0002515	Bany_08267-RA, Bany_02085-RA	JC_14359-RA
OG0002516	Bany_11343-RA	JC_10138-RA
OG0002517	Bany_06737-RA, Bany_06736-RA	JC_16081-RA
OG0002518	Bany_08808-RA	JC_07473-RA
OG0002519	Bany_00234-RA	JC_00657-RA
OG0002520	Bany_05356-RA, Bany_05357-RA	JC_02495-RA
OG0002521	Bany_17877-RA, Bany_17876-RA	JC_15004-RA
OG0002522	Bany_13791-RA	JC_06866-RA
OG0002523	Bany_10808-RA	JC_06381-RA, JC_06380-RA
OG0002524	Bany_17148-RA	JC_13114-RA
OG0002526	Bany_06069-RA	JC_09600-RA
OG0002527	Bany_17883-RA	JC_15012-RA
OG0002528	Bany_06766-RA	JC_16064-RA
OG0002529	Bany_17165-RA	JC_13097-RA
OG0002530	Bany_04544-RA	JC_01434-RA
OG0002531	Bany_12780-RA	JC_16885-RA
OG0002532	Bany_06076-RA	JC_09586-RA
OG0002533	Bany_03657-RA	JC_08097-RA
OG0002534	Bany_13807-RA, Bany_13805-RA	JC_06901-RA
OG0002535	Bany_11353-RA	JC_10131-RA
OG0002537	Bany_05381-RA	JC_02512-RA
OG0002538	Bany_13811-RA, Bany_13816-RA	JC_06893-RA
OG0002539	Bany_02111-RA	JC_14340-RA
OG0002540	Bany_11984-RA	JC_08946-RA
OG0002541	Bany_07341-RA	JC_01952-RA
OG0002542	Bany_16318-RA	JC_16500-RA
OG0002543	Bany_02863-RA	JC_03830-RA
OG0002544	Bany_09535-RA	JC_12779-RA, JC_12778-RA
OG0002545	Bany_03664-RA	JC_02433-RA
OG0002546	Bany_15039-RA	JC_06040-RA
OG0002547	Bany_02869-RA	JC_03838-RA
OG0002548	Bany_08141-RA	JC_03463-RA
OG0002549	Bany_17545-RA	JC_15672-RA
OG0002550	Bany_14485-RA	JC_10641-RA
OG0002550	Bany_14484-RA	JC_10640-RA
OG0002551	Bany_06107-RA	JC_09609-RA
OG0002553	Bany_01156-RA	JC_11711-RA, JC_11713-RA
OG0002554	Bany_16651-RA	JC_13978-RA
OG0002555	Bany_07352-RA, Bany_06830-RA	JC_09634-RA
OG0002557	Bany_00259-RA	JC_00635-RA
OG0002558	Bany_05070-RA, Bany_01160-RA	JC_00965-RA
OG0002559	Bany_03677-RA	JC_08116-RA
OG0002560	Bany_04578-RA, Bany_04577-RA	JC_01398-RA
OG0002561	Bany_08836-RA	JC_08168-RA, JC_02333-RA, JC_06831-RA, JC_16136-RA
OG0002562	Bany_11997-RA	JC_08931-RA
OG0002563	Bany_17898-RA	JC_15022-RA
OG0002564	Bany_17194-RA	JC_13068-RA
OG0002565	Bany_12820-RA	JC_16964-RA
OG0002566	Bany_14496-RA, Bany_14492-RA	JC_10648-RA
OG0002567	Bany_15056-RA	JC_06029-RA
OG0002568	Bany_09555-RA	JC_12755-RA
OG0002569	Bany_08844-RA	JC_07443-RA
OG0002570	Bany_02884-RA	JC_03850-RA
OG0002571	Bany_02886-RA	JC_03852-RA
OG0002572	Bany_13831-RA	JC_07194-RA
OG0002573	Bany_16357-RA, Bany_00525-RA	JC_16416-RA
OG0002574	Bany_00269-RA	JC_00628-RA
OG0002575	Bany_09561-RA	JC_12747-RA
OG0002576	Bany_03703-RA	JC_08144-RA
OG0002577	Bany_06138-RA, Bany_06137-RA	JC_09547-RA
OG0002578	Bany_05398-RA	JC_02527-RA
OG0002579	Bany_12845-RA	JC_16995-RA
OG0002580	Bany_15066-RA	JC_06020-RA, JC_06021-RA
OG0002581	Bany_02144-RA	JC_14319-RA
OG0002582	Bany_10106-RA	JC_04624-RA
OG0002583	Bany_06804-RA, Bany_06801-RA	JC_15937-RA
OG0002584	Bany_06151-RA	JC_09536-RA
OG0002585	Bany_00288-RA	JC_00616-RA
OG0002586	Bany_11408-RA	JC_10076-RA
OG0002587	Bany_09570-RA	JC_12735-RA
OG0002588	Bany_03713-RA	JC_08154-RA
OG0002589	Bany_17560-RA	JC_15656-RA
OG0002590	Bany_00326-RA, Bany_00295-RA	JC_00613-RA
OG0002591	Bany_12862-RA, Bany_12859-RA, Bany_12860-RA, Bany_12861-RA, Bany_12858-RA	JC_17005-RA
OG0002592	Bany_08180-RA, Bany_08181-RA	JC_03433-RA
OG0002593	Bany_02156-RA	JC_14247-RA
OG0002593	Bany_02157-RA	JC_14248-RA
OG0002594	Bany_08869-RA	JC_07526-RA
OG0002595	Bany_02893-RA	JC_03859-RA
OG0002596	Bany_03727-RA	JC_08165-RA
OG0002597	Bany_17209-RA	JC_13051-RA
OG0002598	Bany_06812-RA	JC_15904-RA
OG0002599	Bany_09578-RA	JC_12725-RA, JC_12727-RA
