Orthogroup	Bicyclus_anynana	Heliconius_erato_lativitta
OG0000825	Bany_14694-RA	HEL_013625-RA
OG0000826	Bany_13437-RA	HEL_012249-RA
OG0000827	Bany_02341-RA	HEL_006888-RA, HEL_006890-RA, HEL_006889-RA, HEL_006893-RA
OG0000829	Bany_09096-RA, Bany_09095-RA	HEL_012598-RA
OG0000829	Bany_09097-RA	HEL_012208-RA
OG0000830	Bany_02362-RA	HEL_006867-RA
OG0000831	Bany_02369-RA	HEL_006855-RA
OG0000832	Bany_17377-RA	HEL_013467-RA, HEL_013468-RA
OG0000832	Bany_17375-RA	HEL_013469-RA
OG0000833	Bany_00590-RA	HEL_001437-RA
OG0000834	Bany_00615-RA	HEL_001314-RA
OG0000835	Bany_14093-RA	HEL_000965-RA
OG0000836	Bany_09830-RA	HEL_003889-RA
OG0000836	Bany_09829-RA	HEL_003887-RA, HEL_003888-RA
OG0000837	Bany_07069-RA	HEL_005923-RA
OG0000838	Bany_08423-RA	HEL_007360-RA, HEL_007359-RA
OG0000839	Bany_12285-RA	HEL_010649-RA
OG0000840	Bany_04903-RA	HEL_006813-RA
OG0000841	Bany_14147-RA	HEL_000943-RA
OG0000842	Bany_12292-RA	HEL_010655-RA
OG0000844	Bany_14180-RA	HEL_009814-RA
OG0000844	Bany_14185-RA	HEL_009817-RA, HEL_009819-RA
OG0000845	Bany_01630-RA	HEL_008284-RA
OG0000846	Bany_13573-RA	HEL_008634-RA, HEL_008633-RA
OG0000847	Bany_00747-RA	HEL_001207-RA
OG0000848	Bany_12401-RA	HEL_010354-RA
OG0000864	Bany_09913-RA, Bany_09911-RA	HEL_007641-RA
OG0000865	Bany_17697-RA	HEL_009300-RA, HEL_009299-RA
OG0000866	Bany_09343-RA	HEL_005073-RA, HEL_005074-RA
OG0000867	Bany_13306-RA	HEL_012277-RA
OG0000867	Bany_00012-RA	HEL_012268-RA
OG0000868	Bany_08298-RA, Bany_14895-RA	HEL_007476-RA
OG0000868	Bany_08300-RA	HEL_007475-RA
OG0000869	Bany_15255-RA	HEL_007321-RA
OG0000870	Bany_10567-RA, Bany_10566-RA	HEL_011026-RA
OG0000871	Bany_00959-RA, Bany_00960-RA, Bany_00958-RA	HEL_012675-RA
OG0000873	Bany_07963-RA	HEL_009488-RA
OG0000873	Bany_07962-RA	HEL_009487-RA
OG0000874	Bany_13655-RA	HEL_000723-RA
OG0000875	Bany_05224-RA, Bany_05225-RA	HEL_003985-RA
OG0000878	Bany_07211-RA	HEL_009654-RA
OG0000881	Bany_00101-RA, Bany_16107-RA	HEL_011669-RA
OG0000883	Bany_00757-RA, Bany_03292-RA, Bany_07224-RA, Bany_17804-RA, Bany_07336-RA, Bany_07298-RA	HEL_001197-RA
OG0000884	Bany_16126-RA	HEL_011680-RA
OG0000885	Bany_04770-RA	HEL_002780-RA
OG0000888	Bany_12571-RA	HEL_004021-RA
OG0000889	Bany_01964-RA	HEL_005039-RA
OG0000891	Bany_13727-RA, Bany_13728-RA, Bany_13730-RA, Bany_08139-RA, Bany_13731-RA	HEL_000786-RA
OG0000892	Bany_13729-RA	HEL_002649-RA, HEL_002651-RA, HEL_002650-RA
OG0000893	Bany_04125-RA, Bany_12584-RA, Bany_12582-RA, Bany_12583-RA, Bany_12585-RA	HEL_004084-RA
OG0000894	Bany_17480-RA	HEL_004601-RA, HEL_004603-RA
OG0000895	Bany_11886-RA, Bany_11885-RA	HEL_007767-RA
OG0000896	Bany_15573-RA, Bany_16623-RA	HEL_000409-RA
OG0000897	Bany_09416-RA	HEL_003597-RA
OG0000898	Bany_09425-RA, Bany_09424-RA	HEL_003590-RA, HEL_003589-RA
OG0000899	Bany_06649-RA	HEL_011287-RA
OG0000899	Bany_06648-RA	HEL_011286-RA, HEL_011285-RA
OG0000900	Bany_00145-RA	HEL_008922-RA
OG0000901	Bany_17052-RA	HEL_002122-RA
OG0000902	Bany_02001-RA	HEL_004939-RA
OG0000903	Bany_09472-RA	HEL_013835-RA, HEL_013834-RA
OG0000904	Bany_09475-RA	HEL_013840-RA
OG0000905	Bany_12680-RA	HEL_004129-RA
OG0000906	Bany_03573-RA	HEL_002299-RA
OG0000907	Bany_06020-RA	HEL_008041-RA, HEL_007307-RA
OG0000908	Bany_08486-RA	HEL_004980-RA
OG0000908	Bany_02046-RA	HEL_004982-RA
OG0000909	Bany_09509-RA	HEL_014243-RA, HEL_014242-RA
OG0000910	Bany_16613-RA	HEL_000423-RA
OG0000911	Bany_02821-RA	HEL_009089-RA
OG0000912	Bany_15125-RA	HEL_011559-RA
OG0000912	Bany_15003-RA	HEL_009739-RA
OG0000913	Bany_06728-RA	HEL_011336-RA
OG0000915	Bany_02826-RA	HEL_009095-RA
OG0000916	Bany_16288-RA	HEL_013939-RA
OG0000917	Bany_02089-RA, Bany_05079-RA, Bany_11356-RA	HEL_013609-RA
OG0000918	Bany_04537-RA	HEL_002588-RA, HEL_002587-RA
OG0000921	Bany_06844-RA	HEL_000594-RA
OG0000923	Bany_16638-RA	HEL_000399-RA
OG0000923	Bany_16637-RA	HEL_000401-RA
OG0000924	Bany_06781-RA, Bany_06783-RA	HEL_000548-RA
OG0000926	Bany_07357-RA	HEL_012109-RA, HEL_012108-RA
OG0000927	Bany_08825-RA	HEL_010697-RA
OG0000928	Bany_11993-RA, Bany_11994-RA, Bany_11992-RA	HEL_006031-RA
OG0000929	Bany_11998-RA	HEL_006187-RA
OG0000930	Bany_12010-RA	HEL_006183-RA
OG0000931	Bany_16668-RA	HEL_000372-RA
OG0000931	Bany_16666-RA	HEL_000373-RA
OG0000932	Bany_04923-RA, Bany_05399-RA, Bany_04924-RA, Bany_04925-RA	HEL_002935-RA
OG0000933	Bany_10107-RA	HEL_013305-RA
OG0000934	Bany_06805-RA	HEL_000558-RA, HEL_000559-RA
OG0000935	Bany_08414-RA, Bany_03873-RA, Bany_13857-RA, Bany_11524-RA	HEL_007376-RA
OG0000935	Bany_08413-RA	HEL_007377-RA
OG0000936	Bany_17922-RA	HEL_009325-RA
OG0000937	Bany_16389-RA	HEL_013920-RA
OG0000938	Bany_15664-RA	HEL_013985-RA
OG0000939	Bany_15668-RA, Bany_15667-RA	HEL_013982-RA
OG0000941	Bany_16421-RA	HEL_012983-RA
OG0000941	Bany_16423-RA	HEL_012984-RA
OG0000942	Bany_06846-RA	HEL_000596-RA
OG0000944	Bany_00336-RA	HEL_001585-RA
OG0000945	Bany_13301-RA	HEL_012279-RA
OG0000945	Bany_04992-RA	HEL_006651-RA
OG0000946	Bany_14543-RA	HEL_005832-RA
OG0000947	Bany_12931-RA	HEL_013683-RA
OG0000948	Bany_04641-RA	HEL_002918-RA
OG0000949	Bany_04643-RA	HEL_002915-RA
OG0000950	Bany_08214-RA	HEL_010293-RA, HEL_010292-RA, HEL_010291-RA
OG0000951	Bany_15682-RA	HEL_005640-RA, HEL_005641-RA
OG0000952	Bany_08928-RA, Bany_08921-RA, Bany_08924-RA, Bany_08927-RA	HEL_012122-RA
OG0000953	Bany_13919-RA	HEL_000871-RA
OG0000954	Bany_00362-RA	HEL_001558-RA
OG0000955	Bany_10178-RA	HEL_010881-RA
OG0000955	Bany_10176-RA	HEL_010880-RA
OG0000956	Bany_02230-RA	HEL_004792-RA
OG0000957	Bany_09637-RA	HEL_013806-RA
OG0000957	Bany_09640-RA	HEL_013809-RA
OG0000958	Bany_13000-RA, Bany_13002-RA, Bany_13003-RA	HEL_013656-RA
OG0000959	Bany_17617-RA	HEL_004689-RA
OG0000959	Bany_17616-RA	HEL_004688-RA
OG0000960	Bany_13352-RA	HEL_012474-RA
OG0000961	Bany_06251-RA	HEL_007852-RA
OG0000962	Bany_02251-RA	HEL_004764-RA
OG0000964	Bany_01303-RA	HEL_014411-RA, HEL_009866-RA
OG0000965	Bany_18036-RA	HEL_009567-RA
OG0000966	Bany_01323-RA	HEL_014212-RA
OG0000967	Bany_18054-RA	HEL_009551-RA
OG0000967	Bany_18053-RA	HEL_009552-RA
OG0000968	Bany_06966-RA	HEL_006003-RA, HEL_006002-RA
OG0000969	Bany_18055-RA	HEL_009550-RA
OG0000970	Bany_12122-RA	HEL_006109-RA
OG0000970	Bany_12123-RA	HEL_006102-RA
OG0000971	Bany_11600-RA	HEL_012774-RA
OG0000972	Bany_09692-RA	HEL_003733-RA, HEL_003730-RA, HEL_003726-RA, HEL_003732-RA, HEL_003728-RA, HEL_003731-RA
OG0000973	Bany_02294-RA	HEL_006954-RA
OG0000974	Bany_08301-RA, Bany_08303-RA	HEL_007474-RA
OG0000975	Bany_09011-RA	HEL_010757-RA
OG0000977	Bany_15795-RA	HEL_005535-RA, HEL_005536-RA, HEL_005537-RA
OG0000978	Bany_06992-RA	HEL_005978-RA
OG0000979	Bany_09017-RA	HEL_010753-RA
OG0000980	Bany_18079-RA	HEL_009522-RA
OG0000981	Bany_01408-RA	HEL_009995-RA, HEL_009996-RA
OG0000982	Bany_03909-RA, Bany_03906-RA	HEL_003011-RA
OG0000983	Bany_15820-RA	HEL_005512-RA
OG0000984	Bany_01721-RA	HEL_008366-RA
OG0000984	Bany_09024-RA	HEL_008363-RA
OG0000985	Bany_15824-RA	HEL_005511-RA
OG0000986	Bany_14691-RA	HEL_013621-RA
OG0000987	Bany_07586-RA	HEL_014480-RA, HEL_014481-RA
OG0000988	Bany_03938-RA, Bany_03939-RA	HEL_003039-RA
OG0000989	Bany_09757-RA, Bany_09758-RA	HEL_003823-RA
OG0000990	Bany_07728-RA	HEL_007061-RA
OG0000990	Bany_09057-RA	HEL_012165-RA
OG0000991	Bany_18103-RA	HEL_011905-RA
OG0000992	Bany_01468-RA	HEL_013331-RA
OG0000992	Bany_01469-RA	HEL_013328-RA
OG0000993	Bany_17339-RA	HEL_012330-RA, HEL_012332-RA, HEL_012328-RA, HEL_012325-RA, HEL_012323-RA, HEL_012329-RA
OG0000994	Bany_16828-RA	HEL_000254-RA
OG0000994	Bany_16831-RA	HEL_000251-RA
OG0000995	Bany_14033-RA	HEL_001115-RA, HEL_001116-RA
OG0000996	Bany_05649-RA	HEL_014149-RA
OG0000997	Bany_10342-RA	HEL_000007-RA, HEL_000008-RA
OG0000998	Bany_11699-RA	HEL_008164-RA
OG0000999	Bany_16852-RA	HEL_000231-RA
OG0001000	Bany_15864-RA	HEL_005488-RA
OG0001001	Bany_09142-RA	HEL_012248-RA
OG0001001	Bany_09140-RA	HEL_012247-RA
OG0001002	Bany_01544-RA	HEL_013125-RA
OG0001002	Bany_01602-RA	HEL_014177-RA
OG0001003	Bany_07121-RA, Bany_07068-RA	HEL_005925-RA, HEL_005924-RA
OG0001004	Bany_04024-RA	HEL_003116-RA
OG0001005	Bany_12274-RA	HEL_010640-RA
OG0001005	Bany_12276-RA	HEL_010642-RA
OG0001006	Bany_14129-RA, Bany_14128-RA	HEL_001006-RA, HEL_001005-RA, HEL_001003-RA, HEL_001008-RA
OG0001008	Bany_06406-RA	HEL_009616-RA
OG0001009	Bany_13542-RA	HEL_008661-RA, HEL_008660-RA
OG0001010	Bany_08482-RA, Bany_08483-RA	HEL_011496-RA
OG0001011	Bany_14865-RA	HEL_012027-RA, HEL_012029-RA
OG0001012	Bany_10446-RA	HEL_000140-RA, HEL_000139-RA, HEL_000141-RA
OG0001013	Bany_04971-RA	HEL_006633-RA, HEL_006634-RA
OG0001014	Bany_12363-RA	HEL_010309-RA, HEL_011746-RA
OG0001015	Bany_01660-RA, Bany_01661-RA	HEL_008317-RA
OG0001016	Bany_12368-RA	HEL_010313-RA, HEL_010312-RA, HEL_010311-RA, HEL_010310-RA
OG0001017	Bany_04142-RA	HEL_003217-RA
OG0001017	Bany_04139-RA	HEL_003216-RA
OG0001018	Bany_12379-RA, Bany_12378-RA	HEL_010332-RA, HEL_010333-RA
OG0001019	Bany_11130-RA	HEL_013095-RA
OG0001019	Bany_11119-RA	HEL_013092-RA
OG0001020	Bany_08572-RA	HEL_011412-RA, HEL_011411-RA, HEL_011409-RA, HEL_011408-RA, HEL_011410-RA, HEL_011407-RA
OG0001021	Bany_09304-RA, Bany_09303-RA, Bany_09305-RA	HEL_011985-RA
OG0001023	Bany_04193-RA	HEL_003311-RA
OG0001024	Bany_00828-RA	HEL_013123-RA
OG0001025	Bany_02547-RA	HEL_008492-RA
OG0001026	Bany_08649-RA	HEL_012824-RA
OG0001028	Bany_03439-RA	HEL_011644-RA
OG0001029	Bany_04273-RA	HEL_003240-RA
OG0001030	Bany_04278-RA	HEL_003236-RA
OG0001032	Bany_05152-RA	HEL_006777-RA
OG0001032	Bany_05151-RA	HEL_006776-RA
OG0001042	Bany_06857-RA	HEL_000606-RA
OG0001043	Bany_14886-RA	HEL_007337-RA
OG0001044	Bany_16939-RA	HEL_001896-RA
OG0001046	Bany_07933-RA	HEL_009466-RA
OG0001046	Bany_07935-RA	HEL_009467-RA
OG0001047	Bany_10557-RA	HEL_011023-RA
OG0001048	Bany_16045-RA	HEL_013002-RA
OG0001049	Bany_00851-RA, Bany_03765-RA, Bany_03764-RA, Bany_16051-RA	HEL_013967-RA
OG0001050	Bany_17707-RA	HEL_009209-RA
OG0001051	Bany_14916-RA	HEL_013878-RA
OG0001052	Bany_06733-RA, Bany_06735-RA, Bany_14280-RA	HEL_011333-RA
OG0001053	Bany_04328-RA	HEL_006983-RA
OG0001053	Bany_04329-RA	HEL_006984-RA
OG0001054	Bany_03050-RA, Bany_16062-RA, Bany_07374-RA	HEL_013228-RA
OG0001055	Bany_00020-RA	HEL_001719-RA
OG0001057	Bany_16070-RA	HEL_013048-RA
OG0001059	Bany_16973-RA	HEL_002035-RA, HEL_002036-RA
OG0001060	Bany_17732-RA	HEL_009227-RA
OG0001060	Bany_17731-RA	HEL_009226-RA
OG0001061	Bany_07974-RA, Bany_07970-RA	HEL_009492-RA
OG0001062	Bany_16490-RA, Bany_16491-RA	HEL_000463-RA
OG0001063	Bany_17597-RA	HEL_004670-RA
OG0001065	Bany_14930-RA	HEL_013867-RA, HEL_013866-RA
OG0001066	Bany_06582-RA	HEL_002208-RA
OG0001067	Bany_16106-RA, Bany_17783-RA	HEL_011670-RA
OG0001068	Bany_02677-RA	HEL_010506-RA
OG0001068	Bany_02676-RA	HEL_010499-RA
OG0001069	Bany_00039-RA, Bany_00041-RA	HEL_001724-RA
OG0001070	Bany_13681-RA, Bany_13680-RA, Bany_13679-RA, Bany_13678-RA	HEL_000751-RA
OG0001072	Bany_14942-RA	HEL_007349-RA, HEL_007350-RA
OG0001073	Bany_03517-RA	HEL_002265-RA, HEL_002266-RA
OG0001074	Bany_17459-RA	HEL_005419-RA
OG0001074	Bany_17460-RA	HEL_005420-RA, HEL_005421-RA
OG0001076	Bany_12556-RA	HEL_004070-RA
OG0001077	Bany_12557-RA	HEL_004074-RA
OG0001079	Bany_11604-RA	HEL_002221-RA, HEL_002222-RA
OG0001082	Bany_02695-RA	HEL_010519-RA
OG0001083	Bany_13118-RA	HEL_009000-RA
OG0001084	Bany_01026-RA	HEL_013914-RA
OG0001084	Bany_01024-RA	HEL_013911-RA
OG0001085	Bany_16141-RA	HEL_011753-RA
OG0001086	Bany_17017-RA	HEL_002079-RA
OG0001087	Bany_04415-RA	HEL_012423-RA
OG0001089	Bany_02713-RA	HEL_010541-RA, HEL_010542-RA
OG0001090	Bany_13738-RA	HEL_000791-RA
OG0001091	Bany_03535-RA	HEL_002276-RA
OG0001092	Bany_15084-RA	HEL_011534-RA
OG0001093	Bany_08032-RA	HEL_010275-RA
OG0001094	Bany_14969-RA	HEL_009711-RA
OG0001094	Bany_14972-RA	HEL_009712-RA
OG0001095	Bany_11907-RA	HEL_007795-RA
OG0001096	Bany_17784-RA	HEL_011855-RA
OG0001096	Bany_17795-RA	HEL_011853-RA
OG0001097	Bany_12625-RA	HEL_004150-RA
OG0001098	Bany_14390-RA	HEL_005697-RA
OG0001099	Bany_17041-RA	HEL_002105-RA, HEL_002106-RA
OG0001101	Bany_06651-RA	HEL_011291-RA
OG0001101	Bany_06650-RA, Bany_06652-RA	HEL_011288-RA, HEL_011290-RA
OG0001102	Bany_09435-RA	HEL_003618-RA, HEL_003620-RA, HEL_003621-RA, HEL_003622-RA
OG0001103	Bany_10715-RA	HEL_011082-RA
OG0001104	Bany_12648-RA	HEL_004117-RA
OG0001105	Bany_05968-RA	HEL_010226-RA
OG0001106	Bany_16203-RA	HEL_011682-RA
OG0001107	Bany_01340-RA	HEL_009936-RA
OG0001108	Bany_16209-RA	HEL_011780-RA
OG0001109	Bany_08783-RA	HEL_003557-RA
OG0001110	Bany_15605-RA, Bany_14864-RA	HEL_012030-RA
OG0001111	Bany_11923-RA	HEL_006025-RA
OG0001112	Bany_01067-RA	HEL_010117-RA
OG0001114	Bany_05297-RA	HEL_008418-RA, HEL_008417-RA
OG0001115	Bany_17075-RA	HEL_002140-RA
OG0001116	Bany_02028-RA, Bany_02030-RA	HEL_004959-RA
OG0001118	Bany_10032-RA	HEL_007672-RA
OG0001119	Bany_08508-RA	HEL_011476-RA
OG0001119	Bany_11945-RA	HEL_011474-RA
OG0001120	Bany_09511-RA, Bany_09514-RA	HEL_014233-RA, HEL_014234-RA, HEL_014235-RA
OG0001121	Bany_17859-RA	HEL_009287-RA, HEL_009286-RA
OG0001122	Bany_16274-RA	HEL_013934-RA, HEL_013932-RA, HEL_013933-RA
OG0001123	Bany_13210-RA	HEL_011200-RA
OG0001123	Bany_13211-RA	HEL_011198-RA
OG0001124	Bany_13214-RA	HEL_011195-RA
OG0001124	Bany_13212-RA	HEL_011197-RA
OG0001125	Bany_03631-RA	HEL_002340-RA
OG0001125	Bany_03634-RA	HEL_002342-RA
OG0001126	Bany_00233-RA	HEL_001663-RA, HEL_001661-RA
OG0001127	Bany_04532-RA	HEL_002584-RA
OG0001128	Bany_08810-RA, Bany_08809-RA	HEL_003576-RA, HEL_003575-RA
OG0001129	Bany_14458-RA	HEL_005801-RA
OG0001130	Bany_17882-RA, Bany_17881-RA, Bany_17880-RA	HEL_009261-RA
OG0001131	Bany_17158-RA	HEL_001939-RA
OG0001132	Bany_10050-RA	HEL_007715-RA
OG0001133	Bany_02837-RA	HEL_009109-RA
OG0001134	Bany_03654-RA, Bany_03653-RA	HEL_002358-RA
OG0001136	Bany_14468-RA, Bany_14472-RA, Bany_14470-RA	HEL_005798-RA
OG0001137	Bany_02852-RA	HEL_009121-RA
OG0001139	Bany_10068-RA	HEL_013262-RA
OG0001140	Bany_17542-RA	HEL_004637-RA
OG0001144	Bany_10070-RA	HEL_013265-RA, HEL_013266-RA
OG0001145	Bany_17179-RA	HEL_001966-RA, HEL_001967-RA
OG0001146	Bany_12811-RA	HEL_013689-RA
OG0001148	Bany_08841-RA	HEL_010707-RA
OG0001149	Bany_08407-RA	HEL_009788-RA
OG0001149	Bany_13835-RA	HEL_009787-RA
OG0001151	Bany_10103-RA	HEL_013302-RA
OG0001152	Bany_05400-RA	HEL_008813-RA, HEL_008816-RA, HEL_008818-RA, HEL_008814-RA, HEL_008817-RA
OG0001153	Bany_02149-RA	HEL_004902-RA, HEL_004903-RA, HEL_004901-RA
OG0001154	Bany_09576-RA	HEL_005164-RA, HEL_005163-RA, HEL_005162-RA
OG0001156	Bany_07377-RA	HEL_009651-RA
OG0001157	Bany_02216-RA	HEL_004889-RA
OG0001158	Bany_09581-RA	HEL_005169-RA, HEL_005168-RA
OG0001160	Bany_02170-RA	HEL_004881-RA
OG0001160	Bany_02171-RA	HEL_004880-RA
OG0001161	Bany_16410-RA	HEL_012973-RA
OG0001162	Bany_11447-RA	HEL_006549-RA
OG0001162	Bany_11445-RA	HEL_006551-RA
OG0001163	Bany_02181-RA	HEL_004869-RA
OG0001163	Bany_02178-RA	HEL_004871-RA
OG0001164	Bany_02184-RA	HEL_004862-RA
OG0001165	Bany_03772-RA	HEL_002444-RA
OG0001167	Bany_05467-RA	HEL_008746-RA
OG0001168	Bany_09615-RA, Bany_09603-RA	HEL_005185-RA
OG0001169	Bany_06869-RA	HEL_000614-RA
OG0001170	Bany_10881-RA	HEL_004285-RA, HEL_004283-RA, HEL_004284-RA
OG0001171	Bany_15107-RA	HEL_011553-RA
OG0001171	Bany_15112-RA	HEL_011550-RA
OG0001172	Bany_17243-RA	HEL_001859-RA
OG0001173	Bany_17975-RA, Bany_17974-RA	HEL_011862-RA
OG0001174	Bany_13327-RA	HEL_008988-RA
OG0001175	Bany_09622-RA	HEL_005213-RA
OG0001176	Bany_10168-RA	HEL_010875-RA
OG0001177	Bany_03813-RA	HEL_002491-RA, HEL_002490-RA
OG0001178	Bany_17997-RA	HEL_011881-RA
OG0001178	Bany_17994-RA	HEL_011878-RA
OG0001179	Bany_12078-RA, Bany_12081-RA, Bany_12080-RA	HEL_006145-RA, HEL_006146-RA
OG0001180	Bany_04677-RA	HEL_001518-RA
OG0001181	Bany_02236-RA	HEL_004787-RA, HEL_004786-RA
OG0001182	Bany_06913-RA	HEL_007267-RA, HEL_007274-RA
OG0001183	Bany_15729-RA	HEL_005594-RA
OG0001185	Bany_07498-RA, Bany_07497-RA	HEL_010457-RA, HEL_010458-RA, HEL_010459-RA
OG0001186	Bany_04696-RA, Bany_04697-RA	HEL_002863-RA
OG0001186	Bany_04700-RA	HEL_002861-RA, HEL_002860-RA
OG0001187	Bany_15739-RA, Bany_15740-RA	HEL_005585-RA
OG0001187	Bany_15741-RA	HEL_005586-RA
OG0001188	Bany_13968-RA	HEL_001123-RA
OG0001189	Bany_14621-RA, Bany_14620-RA	HEL_005849-RA
OG0001190	Bany_12118-RA	HEL_012846-RA, HEL_012850-RA
OG0001191	Bany_01326-RA	HEL_014206-RA, HEL_014207-RA, HEL_014208-RA
OG0001192	Bany_00425-RA	HEL_001497-RA
OG0001193	Bany_17642-RA	HEL_004742-RA
OG0001194	Bany_17299-RA	HEL_001820-RA
OG0001194	Bany_17298-RA	HEL_001821-RA
OG0001197	Bany_04736-RA	HEL_002825-RA
OG0001198	Bany_14642-RA	HEL_012729-RA
OG0001200	Bany_15180-RA	HEL_014008-RA
OG0001201	Bany_04752-RA	HEL_002804-RA
OG0001203	Bany_16787-RA	HEL_000288-RA
OG0001205	Bany_13987-RA	HEL_001075-RA
OG0001206	Bany_03899-RA	HEL_003002-RA
OG0001208	Bany_05591-RA	HEL_004566-RA
OG0001209	Bany_04782-RA, Bany_04783-RA	HEL_002775-RA
OG0001210	Bany_08346-RA	HEL_007441-RA, HEL_007442-RA
OG0001211	Bany_09747-RA	HEL_003811-RA, HEL_003810-RA, HEL_003809-RA, HEL_003812-RA, HEL_003808-RA
OG0001212	Bany_09032-RA, Bany_09034-RA	HEL_010742-RA
OG0001213	Bany_08359-RA	HEL_007426-RA
OG0001214	Bany_17326-RA	HEL_012349-RA, HEL_012350-RA, HEL_012351-RA
OG0001215	Bany_18097-RA	HEL_009503-RA
OG0001217	Bany_07020-RA	HEL_002173-RA, HEL_002175-RA
OG0001218	Bany_09760-RA, Bany_09759-RA	HEL_003826-RA, HEL_003825-RA, HEL_003827-RA
OG0001219	Bany_00538-RA	HEL_001381-RA
OG0001220	Bany_01472-RA	HEL_013333-RA
OG0001221	Bany_13448-RA	HEL_012259-RA
OG0001222	Bany_15852-RA, Bany_15850-RA	HEL_005495-RA
OG0001223	Bany_00546-RA	HEL_001389-RA
OG0001224	Bany_11687-RA	HEL_008153-RA, HEL_008156-RA
OG0001225	Bany_11689-RA	HEL_008158-RA
OG0001226	Bany_00578-RA	HEL_001421-RA
OG0001226	Bany_00575-RA	HEL_001422-RA
OG0001227	Bany_09112-RA	HEL_012217-RA, HEL_012216-RA, HEL_012215-RA, HEL_012218-RA
OG0001228	Bany_09801-RA	HEL_003866-RA
OG0001229	Bany_11709-RA	HEL_008175-RA
OG0001230	Bany_16865-RA	HEL_000223-RA
OG0001231	Bany_08397-RA	HEL_007391-RA
OG0001232	Bany_14746-RA, Bany_14747-RA	HEL_013599-RA
OG0001233	Bany_16873-RA	HEL_000217-RA
OG0001234	Bany_03993-RA	HEL_003081-RA
OG0001235	Bany_14085-RA	HEL_000961-RA
OG0001235	Bany_14087-RA	HEL_000962-RA
OG0001236	Bany_14091-RA	HEL_000963-RA, HEL_000964-RA
OG0001237	Bany_00622-RA	HEL_001310-RA
OG0001238	Bany_02394-RA	HEL_014429-RA
OG0001239	Bany_02396-RA	HEL_014426-RA
OG0001240	Bany_04895-RA, Bany_04894-RA	HEL_006802-RA
OG0001241	Bany_00635-RA	HEL_001294-RA
OG0001242	Bany_04055-RA	HEL_003146-RA
OG0001243	Bany_01574-RA	HEL_013371-RA
OG0001244	Bany_14165-RA	HEL_009772-RA
OG0001244	Bany_14164-RA	HEL_009773-RA
OG0001245	Bany_15358-RA	HEL_007207-RA
OG0001246	Bany_09189-RA	HEL_012621-RA, HEL_012622-RA
OG0001247	Bany_02426-RA	HEL_012944-RA
OG0001248	Bany_11049-RA	HEL_012866-RA
OG0001249	Bany_11804-RA	HEL_008135-RA
OG0001250	Bany_10423-RA	HEL_000109-RA
OG0001251	Bany_09202-RA	HEL_012634-RA
OG0001252	Bany_14177-RA	HEL_004080-RA
OG0001253	Bany_04087-RA	HEL_003170-RA
OG0001254	Bany_11816-RA	HEL_008147-RA
OG0001255	Bany_07729-RA	HEL_007063-RA
OG0001256	Bany_06454-RA	HEL_006218-RA
OG0001256	Bany_06457-RA	HEL_006221-RA
OG0001259	Bany_04973-RA	HEL_006637-RA, HEL_006636-RA, HEL_006635-RA
OG0001260	Bany_01658-RA	HEL_008307-RA, HEL_008312-RA
OG0001261	Bany_06479-RA	HEL_006245-RA
OG0001262	Bany_05764-RA	HEL_004433-RA
OG0001263	Bany_08554-RA	HEL_011431-RA
OG0001263	Bany_08555-RA	HEL_011430-RA
OG0001264	Bany_02481-RA	HEL_008539-RA, HEL_008538-RA
OG0001265	Bany_00779-RA	HEL_001176-RA
OG0001265	Bany_00780-RA	HEL_001175-RA
OG0001266	Bany_02496-RA	HEL_008524-RA
OG0001267	Bany_02498-RA	HEL_008521-RA
OG0001268	Bany_00792-RA, Bany_00791-RA	HEL_001169-RA
OG0001270	Bany_00809-RA	HEL_001155-RA
OG0001271	Bany_08592-RA	HEL_012856-RA
OG0001272	Bany_02532-RA	HEL_008497-RA
OG0001273	Bany_05060-RA	HEL_006707-RA
OG0001273	Bany_05061-RA	HEL_006709-RA, HEL_006708-RA
OG0001274	Bany_00827-RA	HEL_001137-RA, HEL_001139-RA
OG0001275	Bany_02543-RA	HEL_008495-RA
OG0001276	Bany_04221-RA	HEL_003290-RA
OG0001277	Bany_01763-RA	HEL_008404-RA, HEL_008403-RA
OG0001278	Bany_05820-RA	HEL_004484-RA
OG0001279	Bany_07857-RA, Bany_07860-RA, Bany_07856-RA	HEL_007148-RA
OG0001280	Bany_01792-RA	HEL_008374-RA
OG0001282	Bany_02592-RA	HEL_008455-RA, HEL_008456-RA, HEL_008454-RA
OG0001283	Bany_02607-RA	HEL_008441-RA
OG0001283	Bany_02605-RA	HEL_008442-RA
OG0001284	Bany_02612-RA	HEL_008436-RA
OG0001285	Bany_07903-RA	HEL_007098-RA
OG0001301	Bany_16296-RA, Bany_16027-RA	HEL_013954-RA
OG0001302	Bany_12443-RA, Bany_12442-RA	HEL_004162-RA
OG0001303	Bany_13023-RA	HEL_008966-RA
OG0001303	Bany_13310-RA	HEL_008967-RA
OG0001304	Bany_13024-RA	HEL_008965-RA
OG0001305	Bany_09904-RA	HEL_007645-RA, HEL_007651-RA
OG0001306	Bany_15845-RA	HEL_005500-RA
OG0001307	Bany_10546-RA	HEL_011012-RA
OG0001308	Bany_16941-RA	HEL_001894-RA
OG0001309	Bany_09338-RA	HEL_005068-RA
OG0001310	Bany_12454-RA, Bany_06897-RA	HEL_004103-RA
OG0001311	Bany_08661-RA	HEL_003492-RA
