Orthogroup	Bicyclus_anynana	Vanessa_tameamea
OG0001645	Bany_02551-RA	XP_026491953.1
OG0001647	Bany_08624-RA	XP_026486662.1
OG0001648	Bany_02554-RA, Bany_02556-RA	XP_026491940.1, XP_026491941.1
OG0001649	Bany_05819-RA, Bany_05818-RA	XP_026491356.1
OG0001650	Bany_04234-RA	XP_026490538.1
OG0001651	Bany_01789-RA	XP_026501333.1
OG0001652	Bany_01794-RA	XP_026501288.1, XP_026501289.1
OG0001653	Bany_03430-RA	XP_026501446.1, XP_026501447.1
OG0001654	Bany_05167-RA, Bany_05166-RA, Bany_05168-RA	XP_026494710.1
OG0001669	Bany_16765-RA, Bany_18156-RA, Bany_18157-RA, Bany_10317-RA, Bany_09999-RA, Bany_05804-RA, Bany_12087-RA, Bany_07028-RA, Bany_17899-RA, Bany_15247-RA, Bany_02515-RA	XP_026492488.1
OG0001670	Bany_18177-RA	XP_026483575.1
OG0001671	Bany_17862-RA, Bany_18175-RA	XP_026492427.1
OG0001672	Bany_18142-RA	XP_026498434.1
OG0001673	Bany_02162-RA, Bany_18164-RA	XP_026499860.1
OG0001674	Bany_18140-RA, Bany_06772-RA, Bany_06774-RA	XP_026483785.1
OG0001675	Bany_13022-RA, Bany_13312-RA	XP_026498027.1
OG0001676	Bany_17690-RA	XP_026498702.1, XP_026498770.1
OG0001677	Bany_16928-RA, Bany_14907-RA	XP_026497303.1
OG0001678	Bany_00003-RA	XP_026484554.1
OG0001679	Bany_04295-RA, Bany_04297-RA	XP_026487098.1
OG0001680	Bany_14262-RA	XP_026501021.1
OG0001680	Bany_14263-RA	XP_026500973.1
OG0001681	Bany_12450-RA	XP_026486764.1
OG0001682	Bany_14890-RA	XP_026493095.1, XP_026493094.1
OG0001683	Bany_10547-RA	XP_026485420.1, XP_026485421.1
OG0001685	Bany_06549-RA	XP_026484025.1, XP_026484024.1
OG0001686	Bany_17698-RA, Bany_17696-RA	XP_026498748.1
OG0001687	Bany_10550-RA	XP_026485415.1, XP_026485416.1
OG0001688	Bany_14891-RA	XP_026493323.1
OG0001689	Bany_16086-RA, Bany_07180-RA	XP_026483164.1
OG0001690	Bany_09345-RA	XP_026491006.1
OG0001691	Bany_00938-RA	XP_026483496.1
OG0001692	Bany_00943-RA	XP_026483403.1
OG0001693	Bany_13031-RA, Bany_17085-RA, Bany_17084-RA	XP_026500238.1
OG0001695	Bany_08671-RA	XP_026492109.1
OG0001696	Bany_11147-RA, Bany_11148-RA	XP_026494005.1
OG0001697	Bany_07942-RA	XP_026499021.1, XP_026499023.1
OG0001698	Bany_05196-RA	XP_026491046.1
OG0001699	Bany_05198-RA	XP_026491241.1
OG0001700	Bany_16460-RA, Bany_16458-RA	XP_026494155.1
OG0001701	Bany_01853-RA	XP_026485244.1, XP_026498413.1
OG0001702	Bany_00955-RA	XP_026483394.1, XP_026483395.1
OG0001703	Bany_07194-RA, Bany_07196-RA	XP_026500295.1
OG0001704	Bany_00873-RA, Bany_00036-RA, Bany_16064-RA, Bany_00874-RA	XP_026483161.1
OG0001705	Bany_01868-RA	XP_026485229.1, XP_026485227.1, XP_026485230.1
OG0001706	Bany_12486-RA	XP_026498696.1
OG0001706	Bany_08429-RA	XP_026497225.1, XP_026497224.1
OG0001707	Bany_16065-RA, Bany_05334-RA	XP_026483102.1
OG0001709	Bany_14297-RA, Bany_14298-RA	XP_026500981.1
OG0001710	Bany_17720-RA	XP_026499448.1
OG0001711	Bany_17421-RA	XP_026485657.1, XP_026485656.1
OG0001713	Bany_06570-RA	XP_026484084.1, XP_026484083.1
OG0001714	Bany_17426-RA	XP_026501813.1, XP_026501811.1
OG0001715	Bany_09937-RA	XP_026490025.1
OG0001716	Bany_09939-RA	XP_026490121.1
OG0001717	Bany_15495-RA	XP_026496358.1
OG0001718	Bany_09353-RA	XP_026490993.1
OG0001719	Bany_16084-RA	XP_026483122.1, XP_026483123.1
OG0001720	Bany_11161-RA	XP_026495091.1
OG0001721	Bany_17435-RA	XP_026501823.1, XP_026501822.1
OG0001722	Bany_15501-RA	XP_026496423.1
OG0001723	Bany_15507-RA	XP_026496359.1
OG0001724	Bany_02669-RA	XP_026489951.1
OG0001725	Bany_01904-RA, Bany_01901-RA, Bany_01902-RA	XP_026499984.1
OG0001726	Bany_17444-RA	XP_026501693.1
OG0001726	Bany_17443-RA	XP_026501707.1
OG0001727	Bany_00998-RA	XP_026483571.1
OG0001728	Bany_15521-RA, Bany_15522-RA	XP_026496260.1
OG0001729	Bany_17447-RA	XP_026501708.1
OG0001730	Bany_01906-RA, Bany_01905-RA	XP_026499988.1
OG0001731	Bany_09371-RA	XP_026490966.1
OG0001733	Bany_07218-RA	XP_026500449.1
OG0001733	Bany_07222-RA	XP_026500484.1
OG0001734	Bany_17450-RA	XP_026501714.1
OG0001735	Bany_15523-RA	XP_026496268.1, XP_026496266.1
OG0001736	Bany_07991-RA	XP_026499007.1
OG0001737	Bany_02019-RA	XP_026497704.1
OG0001738	Bany_05239-RA	XP_026491353.1, XP_026491351.1, XP_026491352.1
OG0001739	Bany_09374-RA	XP_026491019.1
OG0001740	Bany_04382-RA	XP_026487047.1, XP_026487046.1
OG0001742	Bany_14326-RA	XP_026501005.1
OG0001743	Bany_14330-RA	XP_026501000.1
OG0001744	Bany_05925-RA	XP_026483100.1
OG0001745	Bany_17455-RA	XP_026501705.1, XP_026501704.1
OG0001746	Bany_06600-RA, Bany_02825-RA	XP_026501430.1
OG0001747	Bany_06603-RA, Bany_06602-RA	XP_026501509.1, XP_026501510.1
OG0001748	Bany_12550-RA	XP_026493653.1, XP_026493654.1, XP_026497993.1
OG0001749	Bany_11184-RA	XP_026490650.1, XP_026490640.1, XP_026490632.1
OG0001750	Bany_01007-RA	XP_026483484.1
OG0001751	Bany_16120-RA	XP_026492414.1, XP_026492415.1, XP_026493618.1, XP_026493616.1
OG0001752	Bany_10663-RA	XP_026500322.1, XP_026500323.1
OG0001753	Bany_04780-RA, Bany_08818-RA, Bany_14947-RA, Bany_01471-RA	XP_026493700.1
OG0001754	Bany_13110-RA	XP_026500900.1
OG0001755	Bany_17006-RA, Bany_17008-RA	XP_026500169.1
OG0001756	Bany_01016-RA	XP_026483344.1
OG0001757	Bany_11876-RA	XP_026496190.1
OG0001758	Bany_10671-RA	XP_026497208.1
OG0001759	Bany_08009-RA, Bany_08008-RA	XP_026488112.1
OG0001760	Bany_17758-RA	XP_026498794.1
OG0001761	Bany_10677-RA	XP_026497218.1
OG0001762	Bany_14355-RA	XP_026495995.1, XP_026495994.1
OG0001763	Bany_05934-RA	XP_026484067.1
OG0001764	Bany_01934-RA	XP_026490214.1
OG0001765	Bany_16521-RA	XP_026496108.1, XP_026496109.1
OG0001766	Bany_17019-RA, Bany_17020-RA	XP_026500160.1
OG0001767	Bany_13735-RA	XP_026494132.1
OG0001768	Bany_13137-RA	XP_026492951.1
OG0001769	Bany_11222-RA	XP_026495432.1
OG0001770	Bany_13145-RA	XP_026492952.1
OG0001771	Bany_12602-RA, Bany_07510-RA	XP_026500266.1
OG0001772	Bany_16163-RA	XP_026490671.1
OG0001773	Bany_07249-RA	XP_026500521.1
OG0001774	Bany_14371-RA	XP_026495812.1
OG0001775	Bany_01943-RA, Bany_01944-RA, Bany_01946-RA	XP_026490201.1, XP_026490202.1, XP_026490198.1
OG0001776	Bany_06629-RA, Bany_09070-RA	XP_026499616.1, XP_026499617.1
OG0001777	Bany_11892-RA	XP_026484243.1, XP_026484241.1, XP_026484242.1
OG0001778	Bany_01040-RA	XP_026483534.1, XP_026483535.1, XP_026483533.1
OG0001779	Bany_00114-RA	XP_026501208.1
OG0001780	Bany_11894-RA, Bany_11895-RA	XP_026484234.1
OG0001781	Bany_06632-RA	XP_026492505.1, XP_026492049.1, XP_026492050.1, XP_026492506.1
OG0001782	Bany_08754-RA, Bany_08756-RA	XP_026492378.1
OG0001783	Bany_11900-RA	XP_026484267.1
OG0001784	Bany_16173-RA	XP_026490684.1
OG0001785	Bany_10782-RA, Bany_10695-RA	XP_026497199.1
OG0001786	Bany_06635-RA	XP_026490651.1
OG0001787	Bany_17494-RA	XP_026492896.1
OG0001788	Bany_13747-RA	XP_026488903.1
OG0001789	Bany_01050-RA	XP_026483446.1
OG0001790	Bany_10700-RA	XP_026497204.1
OG0001791	Bany_09421-RA	XP_026489704.1
OG0001793	Bany_13162-RA	XP_026494576.1, XP_026494577.1
OG0001794	Bany_01968-RA	XP_026490226.1, XP_026490225.1
OG0001795	Bany_06645-RA	XP_026490641.1, XP_026490639.1, XP_026490642.1
OG0001796	Bany_10703-RA	XP_026498435.1
OG0001797	Bany_13166-RA	XP_026494660.1, XP_026494659.1, XP_026494661.1
OG0001798	Bany_11283-RA, Bany_11280-RA	XP_026493957.1
OG0001799	Bany_02756-RA	XP_026490017.1
OG0001800	Bany_11285-RA	XP_026494515.1
OG0001801	Bany_13178-RA	XP_026494593.1
OG0001802	Bany_11941-RA, Bany_11916-RA, Bany_11915-RA	XP_026484287.1
OG0001803	Bany_00156-RA	XP_026501227.1
OG0001804	Bany_16198-RA	XP_026490681.1
OG0001806	Bany_14398-RA	XP_026495846.1
OG0001807	Bany_16572-RA	XP_026497253.1, XP_026497252.1
OG0001808	Bany_09453-RA	XP_026489618.1
OG0001809	Bany_05973-RA	XP_026501644.1
OG0001810	Bany_16207-RA	XP_026486419.1
OG0001811	Bany_01997-RA	XP_026497702.1, XP_026497701.1
OG0001812	Bany_16589-RA	XP_026490330.1
OG0001813	Bany_11295-RA, Bany_11296-RA	XP_026494224.1
OG0001814	Bany_10004-RA	XP_026499460.1
OG0001815	Bany_11297-RA	XP_026494260.1
OG0001816	Bany_06005-RA	XP_026491714.1
OG0001817	Bany_14422-RA	XP_026496033.1
OG0001818	Bany_02767-RA	XP_026489897.1
OG0001819	Bany_09484-RA	XP_026494250.1
OG0001821	Bany_01080-RA	XP_026483392.1
OG0001822	Bany_15718-RA, Bany_12682-RA	XP_026489831.1
OG0001823	Bany_06694-RA, Bany_06695-RA	XP_026490584.1
OG0001824	Bany_14434-RA	XP_026495917.1
OG0001825	Bany_13195-RA	XP_026494581.1
OG0001826	Bany_04490-RA	XP_026486591.1
OG0001827	Bany_00248-RA	XP_026484441.1
OG0001828	Bany_06026-RA	XP_026485136.1
OG0001829	Bany_02787-RA	XP_026494830.1
OG0001830	Bany_00200-RA	XP_026484549.1, XP_026484550.1
OG0001833	Bany_01096-RA	XP_026483368.1
OG0001835	Bany_00208-RA	XP_026484544.1
OG0001836	Bany_17848-RA	XP_026498798.1
OG0001837	Bany_02479-RA, Bany_12883-RA, Bany_02056-RA	XP_026499843.1, XP_026497976.1
OG0001837	Bany_04165-RA	XP_026499744.1
OG0001839	Bany_04502-RA, Bany_04501-RA	XP_026486616.1
OG0001840	Bany_06708-RA	XP_026483674.1
OG0001841	Bany_02820-RA	XP_026494972.1
OG0001842	Bany_16616-RA	XP_026490356.1
OG0001843	Bany_02068-RA, Bany_02069-RA, Bany_02067-RA	XP_026499348.1
OG0001844	Bany_07739-RA, Bany_07314-RA	XP_026497341.1, XP_026497335.1
OG0001845	Bany_05350-RA	XP_026491309.1, XP_026491310.1
OG0001846	Bany_15625-RA	XP_026496353.1
OG0001847	Bany_16622-RA	XP_026490388.1
OG0001848	Bany_06726-RA	XP_026490634.1, XP_026490631.1, XP_026490633.1
OG0001849	Bany_05353-RA	XP_026491313.1
OG0001851	Bany_09527-RA	XP_026494285.1
OG0001852	Bany_17873-RA	XP_026490230.1
OG0001853	Bany_05354-RA	XP_026491307.1
OG0001854	Bany_11115-RA	XP_026498338.1
OG0001854	Bany_09528-RA	XP_026494283.1
OG0001855	Bany_15636-RA	XP_026496270.1
OG0001856	Bany_14454-RA	XP_026495694.1
OG0001857	Bany_04522-RA	XP_026497955.1, XP_026497954.1
OG0001859	Bany_04531-RA	XP_026497868.1
OG0001860	Bany_07327-RA	XP_026500511.1, XP_026500510.1
OG0001861	Bany_02093-RA	XP_026499395.1
OG0001862	Bany_06061-RA	XP_026500958.1
OG0001863	Bany_10048-RA	XP_026486359.1
OG0001866	Bany_03644-RA	XP_026488192.1, XP_026488201.1
OG0001867	Bany_13233-RA	XP_026494601.1
OG0001868	Bany_16634-RA, Bany_16632-RA, Bany_16633-RA	XP_026490377.1
OG0001869	Bany_10816-RA	XP_026485525.1
OG0001870	Bany_02836-RA	XP_026494833.1
OG0001871	Bany_02100-RA	XP_026499385.1, XP_026499386.1
OG0001872	Bany_02103-RA	XP_026499378.1
OG0001873	Bany_04548-RA	XP_026497836.1
OG0001874	Bany_08815-RA	XP_026492284.1
OG0001875	Bany_08817-RA, Bany_10259-RA	XP_026486116.1
OG0001876	Bany_00242-RA, Bany_14823-RA	XP_026484631.1
OG0001877	Bany_16306-RA	XP_026483153.1
OG0001878	Bany_04552-RA	XP_026497822.1, XP_026497819.1, XP_026497821.1, XP_026497820.1
OG0001879	Bany_02110-RA	XP_026499337.1
OG0001880	Bany_11982-RA	XP_026496915.1
OG0001881	Bany_11361-RA	XP_026491463.1, XP_026491470.1
OG0001882	Bany_08138-RA	XP_026488307.1
OG0001883	Bany_17543-RA	XP_026485597.1
OG0001884	Bany_06101-RA	XP_026483085.1, XP_026483095.1, XP_026483112.1, XP_026483104.1
OG0001885	Bany_15042-RA	XP_026493393.1
OG0001886	Bany_15044-RA	XP_026493392.1
OG0001887	Bany_16334-RA	XP_026486544.1
OG0001887	Bany_16337-RA, Bany_08224-RA	XP_026499486.1
OG0001889	Bany_07356-RA	XP_026496439.1, XP_026496436.1
OG0001890	Bany_08145-RA, Bany_08144-RA	XP_026488271.1
OG0001891	Bany_06793-RA	XP_026483744.1, XP_026483687.1, XP_026483686.1
OG0001892	Bany_01166-RA, Bany_01165-RA	XP_026489106.1
OG0001893	Bany_01167-RA	XP_026488874.1
OG0001894	Bany_02878-RA	XP_026494946.1, XP_026494948.1, XP_026494947.1
OG0001895	Bany_06118-RA	XP_026499664.1
OG0001896	Bany_12818-RA	XP_026489430.1
OG0001899	Bany_12005-RA	XP_026496699.1, XP_026496701.1, XP_026496700.1
OG0001900	Bany_15062-RA	XP_026493458.1
OG0001901	Bany_13834-RA	XP_026489204.1
OG0001902	Bany_03704-RA	XP_026488602.1
OG0001904	Bany_15064-RA	XP_026493278.1, XP_026493277.1
OG0001905	Bany_04593-RA, Bany_04592-RA	XP_026497937.1
OG0001907	Bany_09566-RA, Bany_09565-RA	XP_026490939.1
OG0001908	Bany_08859-RA, Bany_07560-RA	XP_026492162.1
OG0001909	Bany_17907-RA	XP_026492451.1
OG0001911	Bany_05406-RA	XP_026491740.1, XP_026491741.1, XP_026491742.1, XP_026491743.1
OG0001912	Bany_07365-RA	XP_026497818.1
OG0001914	Bany_09569-RA	XP_026490945.1
OG0001915	Bany_16376-RA	XP_026483172.1, XP_026483174.1, XP_026483173.1
OG0001916	Bany_03714-RA, Bany_03718-RA	XP_026500417.1
OG0001917	Bany_10113-RA	XP_026485763.1, XP_026485761.1
OG0001918	Bany_13856-RA	XP_026499135.1, XP_026499134.1
OG0001919	Bany_14499-RA	XP_026495607.1
OG0001920	Bany_00418-RA, Bany_08421-RA, Bany_17571-RA	XP_026485806.1, XP_026485798.1
OG0001921	Bany_13864-RA	XP_026499172.1, XP_026499137.1
OG0001922	Bany_17923-RA	XP_026492474.1, XP_026492473.1, XP_026492475.1
OG0001923	Bany_07376-RA	XP_026497858.1
OG0001925	Bany_03347-RA, Bany_17924-RA	XP_026501544.1
OG0001926	Bany_11525-RA, Bany_04606-RA	XP_026493213.1
OG0001927	Bany_16394-RA	XP_026483150.1
OG0001928	Bany_12024-RA	XP_026496919.1
OG0001929	Bany_07382-RA, Bany_07381-RA	XP_026497675.1
OG0001931	Bany_16397-RA	XP_026483097.1
OG0001932	Bany_08191-RA	XP_026488210.1
OG0001933	Bany_15661-RA	XP_026496271.1, XP_026496272.1
OG0001934	Bany_06162-RA	XP_026485039.1, XP_026485032.1
OG0001935	Bany_05433-RA	XP_026491574.1
OG0001936	Bany_02167-RA	XP_026499881.1, XP_026499880.1
OG0001937	Bany_06833-RA	XP_026483753.1
OG0001938	Bany_04609-RA	XP_026487826.1, XP_026487827.1
OG0001939	Bany_15082-RA	XP_026493389.1
OG0001940	Bany_16405-RA	XP_026483113.1, XP_026483114.1
OG0001941	Bany_04610-RA	XP_026487922.1
OG0001942	Bany_17934-RA, Bany_17937-RA	XP_026492432.1
OG0001943	Bany_08899-RA	XP_026499666.1, XP_026499665.1
OG0001944	Bany_06174-RA	XP_026483945.1, XP_026483937.1
OG0001945	Bany_12894-RA	XP_026494122.1
OG0001946	Bany_04616-RA	XP_026487887.1
OG0001947	Bany_04618-RA	XP_026487892.1
OG0001948	Bany_06179-RA, Bany_06181-RA, Bany_06182-RA	XP_026485357.1
OG0001949	Bany_08900-RA	XP_026499659.1
OG0001950	Bany_02174-RA	XP_026499876.1, XP_026499874.1
OG0001951	Bany_05448-RA	XP_026491465.1, XP_026491464.1
OG0001952	Bany_08201-RA, Bany_08202-RA, Bany_10515-RA	XP_026488295.1
OG0001953	Bany_06186-RA	XP_026500703.1, XP_026500714.1
OG0001954	Bany_03759-RA	XP_026487381.1, XP_026487382.1
OG0001955	Bany_06188-RA, Bany_17647-RA	XP_026500179.1
OG0001956	Bany_17222-RA	XP_026497557.1
OG0001957	Bany_03767-RA	XP_026487428.1
OG0001958	Bany_17581-RA	XP_026485757.1
OG0001959	Bany_12921-RA, Bany_07693-RA	XP_026490146.1, XP_026490154.1, XP_026490137.1
OG0001960	Bany_08288-RA, Bany_08287-RA, Bany_08208-RA	XP_026488367.1
OG0001961	Bany_06849-RA, Bany_03173-RA	XP_026483817.1
OG0001962	Bany_11458-RA	XP_026491750.1
OG0001963	Bany_15675-RA	XP_026496346.1, XP_026496347.1
OG0001964	Bany_13300-RA	XP_026493811.1
OG0001965	Bany_02187-RA	XP_026497607.1
OG0001966	Bany_16684-RA	XP_026498368.1
OG0001967	Bany_12058-RA, Bany_12062-RA	XP_026496838.1, XP_026496837.1
OG0001968	Bany_05468-RA	XP_026491286.1
OG0001969	Bany_03779-RA	XP_026487412.1, XP_026487413.1
OG0001970	Bany_05469-RA	XP_026491285.1
OG0001971	Bany_02197-RA	XP_026497656.1
OG0001972	Bany_11485-RA	XP_026492016.1
OG0001973	Bany_10877-RA	XP_026485329.1
OG0001974	Bany_13322-RA	XP_026498006.1
OG0001975	Bany_01230-RA	XP_026488987.1, XP_026488988.1
OG0001976	Bany_06204-RA	XP_026491825.1
OG0001977	Bany_08225-RA	XP_026488230.1
OG0001978	Bany_06881-RA	XP_026483738.1
OG0001979	Bany_16710-RA	XP_026501252.1
OG0001980	Bany_13926-RA	XP_026499109.1
OG0001981	Bany_02208-RA	XP_026497642.1
OG0001982	Bany_10169-RA	XP_026485890.1
OG0001983	Bany_15689-RA, Bany_15688-RA	XP_026496400.1
OG0001984	Bany_13935-RA	XP_026499096.1
OG0001985	Bany_02957-RA, Bany_07863-RA	XP_026494913.1
OG0001986	Bany_13938-RA	XP_026499085.1, XP_026499086.1, XP_026499084.1, XP_026499083.1
OG0001987	Bany_02218-RA	XP_026494467.1, XP_026494466.1
OG0001988	Bany_12077-RA	XP_026496803.1
OG0001989	Bany_12988-RA	XP_026496058.1
OG0001990	Bany_13948-RA	XP_026499073.1, XP_026499072.1
OG0001992	Bany_17262-RA	XP_026497272.1, XP_026497273.1
OG0001993	Bany_11515-RA	XP_026493902.1
OG0001994	Bany_12084-RA	XP_026496884.1
OG0001995	Bany_11517-RA, Bany_11518-RA	XP_026493629.1
OG0001996	Bany_02229-RA	XP_026492560.1, XP_026492559.1
OG0001997	Bany_08961-RA	XP_026499674.1
OG0001998	Bany_11519-RA	XP_026493640.1
OG0001999	Bany_02232-RA	XP_026494423.1
OG0002000	Bany_08246-RA	XP_026488253.1
OG0002001	Bany_06247-RA, Bany_07477-RA	XP_026489514.1
OG0002002	Bany_01275-RA	XP_026501360.1, XP_026501359.1
OG0002003	Bany_13350-RA	XP_026493959.1, XP_026493958.1
OG0002004	Bany_10200-RA	XP_026486177.1
OG0002005	Bany_08250-RA	XP_026488250.1
OG0002006	Bany_06246-RA	XP_026494623.1
OG0002007	Bany_13014-RA	XP_026498295.1
OG0002008	Bany_04684-RA	XP_026501045.1
OG0002009	Bany_14600-RA	XP_026495666.1, XP_026495667.1
OG0002010	Bany_09654-RA	XP_026489663.1
OG0002011	Bany_06258-RA	XP_026498694.1
OG0002012	Bany_13956-RA	XP_026486947.1
OG0002014	Bany_06930-RA	XP_026483645.1
OG0002015	Bany_16729-RA	XP_026483255.1
OG0002016	Bany_12106-RA	XP_026496643.1, XP_026496644.1, XP_026496645.1
OG0002017	Bany_15160-RA	XP_026493069.1
OG0002018	Bany_17629-RA, Bany_17630-RA	XP_026493045.1
OG0002019	Bany_18032-RA	XP_026494539.1
OG0002020	Bany_17287-RA, Bany_17286-RA	XP_026497507.1
OG0002021	Bany_00413-RA	XP_026484463.1, XP_026484464.1, XP_026484462.1
OG0002022	Bany_18038-RA	XP_026494516.1
OG0002024	Bany_08977-RA	XP_026492260.1
OG0002025	Bany_14623-RA	XP_026495957.1, XP_026495955.1
OG0002026	Bany_00416-RA	XP_026484358.1
OG0002027	Bany_05553-RA	XP_026491176.1
OG0002028	Bany_05555-RA	XP_026491085.1, XP_026491086.1
OG0002029	Bany_10921-RA	XP_026485504.1
OG0002030	Bany_11579-RA	XP_026490948.1, XP_026490940.1
OG0002031	Bany_00431-RA	XP_026484889.1
OG0002032	Bany_03057-RA	XP_026495223.1
OG0002034	Bany_10923-RA	XP_026485588.1, XP_026485589.1
OG0002035	Bany_12121-RA	XP_026496895.1
OG0002036	Bany_02271-RA	XP_026499974.1
OG0002037	Bany_16743-RA	XP_026483263.1
OG0002038	Bany_06273-RA	XP_026484512.1, XP_026484520.1
OG0002039	Bany_08290-RA	XP_026488366.1
OG0002040	Bany_11594-RA	XP_026492540.1
OG0002041	Bany_06277-RA	XP_026484474.1
OG0002042	Bany_12130-RA	XP_026496982.1
OG0002043	Bany_00446-RA	XP_026485020.1
OG0002044	Bany_04738-RA	XP_026492685.1
OG0002045	Bany_02292-RA	XP_026498141.1
OG0002046	Bany_04740-RA	XP_026492693.1
OG0002047	Bany_04741-RA	XP_026493765.1
OG0002048	Bany_15844-RA, Bany_15785-RA, Bany_15843-RA, Bany_15842-RA	XP_026498592.1, XP_026498591.1
OG0002049	Bany_03078-RA, Bany_03079-RA	XP_026495236.1
OG0002050	Bany_04754-RA	XP_026493662.1
OG0002051	Bany_07552-RA	XP_026500619.1, XP_026500618.1
OG0002052	Bany_03882-RA	XP_026487629.1, XP_026487631.1
OG0002053	Bany_06294-RA	XP_026495298.1
OG0002054	Bany_10282-RA	XP_026486297.1
OG0002055	Bany_03883-RA	XP_026496523.1
OG0002056	Bany_06296-RA, Bany_06298-RA	XP_026484790.1
OG0002057	Bany_06301-RA	XP_026484704.1
OG0002058	Bany_03885-RA	XP_026487641.1, XP_026487640.1
OG0002059	Bany_16790-RA	XP_026498291.1, XP_026498292.1, XP_026498293.1
OG0002060	Bany_04775-RA, Bany_04773-RA	XP_026493658.1
OG0002061	Bany_09714-RA	XP_026494240.1, XP_026494241.1
OG0002062	Bany_00479-RA	XP_026484958.1, XP_026484957.1
OG0002063	Bany_01395-RA	XP_026501344.1, XP_026501345.1
OG0002064	Bany_13419-RA	XP_026493896.1
OG0002065	Bany_03898-RA	XP_026487703.1
OG0002066	Bany_11618-RA	XP_026493110.1
OG0002067	Bany_02324-RA	XP_026488551.1
OG0002068	Bany_07569-RA	XP_026500534.1
OG0002069	Bany_05585-RA	XP_026491583.1
OG0002070	Bany_08337-RA	XP_026488490.1
OG0002071	Bany_13995-RA	XP_026486786.1
OG0002072	Bany_05590-RA	XP_026491788.1
OG0002073	Bany_00494-RA	XP_026485017.1
OG0002074	Bany_00847-RA, Bany_18085-RA	XP_026489600.1, XP_026489599.1
OG0002075	Bany_15223-RA	XP_026489539.1, XP_026489540.1
OG0002076	Bany_10951-RA	XP_026485386.1
OG0002077	Bany_10952-RA	XP_026492567.1, XP_026492561.1, XP_026492568.1, XP_026492563.1
OG0002079	Bany_09027-RA	XP_026492262.1
OG0002080	Bany_01439-RA, Bany_01438-RA	XP_026501301.1
OG0002081	Bany_11658-RA	XP_026495442.1
OG0002082	Bany_15830-RA	XP_026498659.1
OG0002083	Bany_07012-RA	XP_026483954.1
OG0002084	Bany_11661-RA, Bany_11662-RA	XP_026495475.1, XP_026495476.1
OG0002085	Bany_05624-RA	XP_026491652.1
OG0002086	Bany_17331-RA	XP_026497464.1
OG0002087	Bany_12178-RA	XP_026497006.1
OG0002088	Bany_02346-RA	XP_026492022.1
OG0002089	Bany_14722-RA	XP_026495937.1, XP_026495936.1
OG0002090	Bany_08368-RA	XP_026488289.1, XP_026488460.1
OG0002091	Bany_01479-RA	XP_026488938.1
OG0002092	Bany_02355-RA	XP_026492549.1, XP_026492543.1, XP_026492550.1, XP_026492553.1
OG0002093	Bany_08373-RA	XP_026488486.1
OG0002094	Bany_15262-RA	XP_026493546.1, XP_026493547.1
OG0002095	Bany_09073-RA	XP_026499657.1, XP_026499656.1
OG0002096	Bany_01487-RA	XP_026489023.1
OG0002098	Bany_05647-RA	XP_026491564.1, XP_026491563.1
OG0002099	Bany_04834-RA	XP_026493689.1, XP_026493691.1, XP_026493690.1
OG0002100	Bany_11684-RA	XP_026496511.1
OG0002101	Bany_10343-RA, Bany_10341-RA	XP_026486138.1
OG0002102	Bany_00553-RA	XP_026485012.1
OG0002103	Bany_11692-RA	XP_026496476.1, XP_026496477.1
OG0002104	Bany_06353-RA	XP_026500061.1
OG0002105	Bany_08382-RA, Bany_08383-RA, Bany_08384-RA, Bany_08386-RA	XP_026488392.1
OG0002106	Bany_06358-RA, Bany_06356-RA, Bany_06357-RA	XP_026501106.1
OG0002107	Bany_03984-RA	XP_026487418.1
OG0002108	Bany_09786-RA	XP_026498912.1
OG0002109	Bany_13479-RA	XP_026493923.1
OG0002110	Bany_02365-RA	XP_026500066.1
OG0002111	Bany_04841-RA	XP_026487859.1, XP_026487858.1
OG0002112	Bany_11704-RA	XP_026496509.1
OG0002113	Bany_06360-RA	XP_026496662.1
OG0002114	Bany_15297-RA, Bany_12436-RA	XP_026493329.1
OG0002115	Bany_14048-RA	XP_026486872.1
OG0002116	Bany_17361-RA	XP_026483179.1, XP_026483178.1, XP_026483180.1
OG0002118	Bany_08392-RA	XP_026488390.1
OG0002119	Bany_10356-RA	XP_026486022.1
OG0002120	Bany_12238-RA	XP_026496735.1
OG0002121	Bany_01507-RA	XP_026489029.1, XP_026489028.1
OG0002122	Bany_03168-RA	XP_026494871.1
OG0002123	Bany_07665-RA	XP_026499996.1
OG0002123	Bany_07667-RA	XP_026499527.1
OG0002124	Bany_09125-RA, Bany_09124-RA	XP_026499833.1, XP_026499832.1, XP_026499834.1
OG0002125	Bany_12251-RA, Bany_12250-RA	XP_026496779.1
OG0002126	Bany_03992-RA	XP_026487446.1
OG0002127	Bany_08403-RA	XP_026488501.1
OG0002128	Bany_07682-RA	XP_026499283.1
OG0002129	Bany_04005-RA	XP_026487552.1
OG0002130	Bany_07057-RA	XP_026483975.1, XP_026483974.1
OG0002131	Bany_02389-RA	XP_026497720.1, XP_026497730.1, XP_026497729.1
OG0002132	Bany_15324-RA	XP_026493317.1
OG0002133	Bany_04885-RA	XP_026496560.1
OG0002134	Bany_12271-RA	XP_026492838.1
OG0002135	Bany_07686-RA	XP_026489927.1, XP_026489937.1
OG0002136	Bany_05707-RA, Bany_05703-RA	XP_026491171.1
OG0002137	Bany_13507-RA	XP_026490301.1, XP_026490302.1
OG0002138	Bany_15343-RA	XP_026493236.1
