Orthogroup	Bicyclus_anynana	Vanessa_cardui
OG0000910	Bany_16613-RA	Vcard_DToL14029-RA
OG0000911	Bany_02821-RA	Vcard_DToL08886-RA
OG0000912	Bany_15125-RA	Vcard_DToL09848-RA
OG0000913	Bany_09727-RA	Vcard_DToL14539-RA
OG0000913	Bany_06728-RA	Vcard_DToL17652-RA
OG0000915	Bany_02826-RA	Vcard_DToL08880-RA
OG0000918	Bany_04537-RA	Vcard_DToL01036-RA
OG0000919	Bany_03640-RA	Vcard_DToL06133-RA
OG0000919	Bany_03641-RA	Vcard_DToL06132-RA
OG0000920	Bany_13795-RA	Vcard_DToL12340-RA
OG0000920	Bany_13796-RA	Vcard_DToL12339-RA
OG0000921	Bany_15404-RA, Bany_17896-RA, Bany_15915-RA, Bany_08811-RA, Bany_06843-RA	Vcard_DToL17469-RA
OG0000921	Bany_06844-RA	Vcard_DToL17470-RA
OG0000922	Bany_05372-RA	Vcard_DToL03498-RA
OG0000923	Bany_16638-RA	Vcard_DToL14004-RA
OG0000923	Bany_16637-RA	Vcard_DToL14005-RA, Vcard_DToL14007-RA
OG0000924	Bany_06781-RA, Bany_06783-RA	Vcard_DToL17564-RA
OG0000924	Bany_06786-RA	Vcard_DToL17563-RA
OG0000926	Bany_07357-RA	Vcard_DToL00343-RA
OG0000927	Bany_08825-RA	Vcard_DToL15346-RA, Vcard_DToL09544-RA
OG0000928	Bany_11993-RA, Bany_11994-RA, Bany_11992-RA	Vcard_DToL07242-RA
OG0000929	Bany_12002-RA	Vcard_DToL07248-RA
OG0000930	Bany_12010-RA	Vcard_DToL07253-RA
OG0000931	Bany_16668-RA	Vcard_DToL13973-RA
OG0000931	Bany_16666-RA	Vcard_DToL13975-RA
OG0000932	Bany_04923-RA	Vcard_DToL01478-RA
OG0000933	Bany_10107-RA	Vcard_DToL04968-RA
OG0000934	Bany_06805-RA	Vcard_DToL17546-RA
OG0000935	Bany_08414-RA, Bany_03873-RA, Bany_13857-RA, Bany_11524-RA, Bany_08413-RA	Vcard_DToL04503-RA
OG0000936	Bany_17922-RA	Vcard_DToL15999-RA
OG0000938	Bany_15664-RA	Vcard_DToL03219-RA
OG0000939	Bany_15668-RA, Bany_15667-RA	Vcard_DToL03222-RA, Vcard_DToL03223-RA
OG0000940	Bany_13897-RA	Vcard_DToL12251-RA
OG0000941	Bany_16421-RA	Vcard_DToL18611-RA
OG0000942	Bany_06846-RA	Vcard_DToL17476-RA
OG0000943	Bany_17226-RA, Bany_17227-RA	Vcard_DToL15173-RA
OG0000944	Bany_00336-RA	Vcard_DToL02057-RA
OG0000945	Bany_13301-RA	Vcard_DToL11108-RA
OG0000945	Bany_04992-RA	Vcard_DToL01665-RA
OG0000946	Bany_14543-RA	Vcard_DToL12823-RA
OG0000947	Bany_12935-RA	Vcard_DToL18094-RA
OG0000947	Bany_12931-RA	Vcard_DToL18091-RA
OG0000948	Bany_04641-RA	Vcard_DToL01501-RA
OG0000949	Bany_04643-RA	Vcard_DToL01505-RA
OG0000950	Bany_08214-RA	Vcard_DToL04263-RA, Vcard_DToL04261-RA
OG0000951	Bany_15682-RA	Vcard_DToL03249-RA, Vcard_DToL03246-RA, Vcard_DToL03247-RA
OG0000952	Bany_08928-RA, Bany_08921-RA	Vcard_DToL09370-RA
OG0000952	Bany_08924-RA	Vcard_DToL09377-RA
OG0000952	Bany_08927-RA	Vcard_DToL09376-RA
OG0000953	Bany_13919-RA	Vcard_DToL12282-RA
OG0000954	Bany_00362-RA	Vcard_DToL02084-RA
OG0000955	Bany_10178-RA, Bany_10176-RA	Vcard_DToL05045-RA
OG0000957	Bany_09637-RA	Vcard_DToL14773-RA
OG0000957	Bany_09640-RA	Vcard_DToL14770-RA
OG0000958	Bany_13000-RA, Bany_13002-RA, Bany_13003-RA	Vcard_DToL18204-RA
OG0000959	Bany_17616-RA	Vcard_DToL17014-RA
OG0000960	Bany_13352-RA	Vcard_DToL10973-RA, Vcard_DToL10974-RA, Vcard_DToL10975-RA
OG0000961	Bany_06251-RA	Vcard_DToL06674-RA, Vcard_DToL06675-RA
OG0000963	Bany_14613-RA	Vcard_DToL12795-RA
OG0000964	Bany_01303-RA	Vcard_DToL07838-RA
OG0000965	Bany_18036-RA	Vcard_DToL16255-RA
OG0000966	Bany_01323-RA	Vcard_DToL07851-RA
OG0000967	Bany_18054-RA	Vcard_DToL16237-RA
OG0000968	Bany_06966-RA	Vcard_DToL17309-RA
OG0000969	Bany_18055-RA	Vcard_DToL16235-RA
OG0000970	Bany_12122-RA	Vcard_DToL07349-RA
OG0000971	Bany_11599-RA, Bany_11598-RA	Vcard_DToL13199-RA
OG0000971	Bany_11600-RA	Vcard_DToL13200-RA
OG0000972	Bany_09692-RA	Vcard_DToL14497-RA
OG0000973	Bany_02294-RA	Vcard_DToL15508-RA
OG0000973	Bany_02296-RA	Vcard_DToL15509-RA, Vcard_DToL15511-RA
OG0000974	Bany_08301-RA, Bany_08303-RA	Vcard_DToL04364-RA
OG0000975	Bany_09011-RA	Vcard_DToL09463-RA
OG0000977	Bany_15795-RA	Vcard_DToL02961-RA
OG0000978	Bany_06992-RA	Vcard_DToL17289-RA
OG0000979	Bany_09017-RA, Bany_09016-RA	Vcard_DToL09468-RA
OG0000980	Bany_18079-RA	Vcard_DToL16208-RA
OG0000981	Bany_01408-RA	Vcard_DToL07983-RA, Vcard_DToL07982-RA, Vcard_DToL07981-RA
OG0000982	Bany_03906-RA	Vcard_DToL05840-RA
OG0000983	Bany_15820-RA	Vcard_DToL02989-RA
OG0000983	Bany_15817-RA, Bany_15818-RA	Vcard_DToL02988-RA
OG0000984	Bany_01721-RA	Vcard_DToL08053-RA
OG0000984	Bany_09024-RA	Vcard_DToL08054-RA
OG0000985	Bany_15824-RA	Vcard_DToL02991-RA
OG0000986	Bany_07725-RA	Vcard_DToL00598-RA
OG0000986	Bany_14691-RA	Vcard_DToL12663-RA
OG0000987	Bany_07586-RA	Vcard_DToL00459-RA, Vcard_DToL00461-RA
OG0000988	Bany_03938-RA	Vcard_DToL05808-RA
OG0000988	Bany_03939-RA	Vcard_DToL05809-RA
OG0000989	Bany_09757-RA, Bany_09758-RA	Vcard_DToL14421-RA
OG0000990	Bany_09057-RA	Vcard_DToL09318-RA
OG0000991	Bany_18103-RA	Vcard_DToL16172-RA, Vcard_DToL16173-RA
OG0000992	Bany_01468-RA	Vcard_DToL07782-RA
OG0000993	Bany_17339-RA	Vcard_DToL15424-RA
OG0000994	Bany_16828-RA	Vcard_DToL14254-RA
OG0000994	Bany_16831-RA	Vcard_DToL14256-RA
OG0000995	Bany_14033-RA	Vcard_DToL12035-RA
OG0000996	Bany_05649-RA	Vcard_DToL03984-RA, Vcard_DToL03983-RA, Vcard_DToL03982-RA, Vcard_DToL03980-RA
OG0000997	Bany_10342-RA	Vcard_DToL05428-RA, Vcard_DToL05429-RA
OG0000998	Bany_11698-RA	Vcard_DToL13749-RA
OG0000998	Bany_11699-RA	Vcard_DToL13747-RA, Vcard_DToL13748-RA
OG0000999	Bany_16852-RA	Vcard_DToL14275-RA
OG0001000	Bany_15864-RA	Vcard_DToL03022-RA
OG0001000	Bany_15865-RA	Vcard_DToL03024-RA
OG0001001	Bany_09140-RA	Vcard_DToL09234-RA
OG0001003	Bany_07121-RA, Bany_07068-RA	Vcard_DToL17206-RA
OG0001004	Bany_04025-RA	Vcard_DToL05705-RA
OG0001004	Bany_04024-RA	Vcard_DToL05706-RA
OG0001005	Bany_12274-RA, Bany_12276-RA	Vcard_DToL07512-RA
OG0001006	Bany_14129-RA, Bany_14128-RA	Vcard_DToL12095-RA
OG0001007	Bany_14811-RA, Bany_14827-RA, Bany_14812-RA	Vcard_DToL12540-RA
OG0001008	Bany_06406-RA	Vcard_DToL06654-RA
OG0001009	Bany_13543-RA	Vcard_DToL10865-RA
OG0001010	Bany_08482-RA, Bany_08483-RA	Vcard_DToL04584-RA
OG0001011	Bany_14865-RA	Vcard_DToL12520-RA
OG0001012	Bany_10446-RA	Vcard_DToL05274-RA
OG0001013	Bany_04970-RA	Vcard_DToL01696-RA
OG0001014	Bany_12363-RA	Vcard_DToL07594-RA
OG0001014	Bany_12362-RA	Vcard_DToL07593-RA
OG0001015	Bany_01660-RA, Bany_01661-RA	Vcard_DToL08130-RA, Vcard_DToL08129-RA
OG0001016	Bany_12368-RA	Vcard_DToL07596-RA, Vcard_DToL07595-RA
OG0001017	Bany_04142-RA, Bany_04139-RA	Vcard_DToL05602-RA
OG0001018	Bany_12379-RA, Bany_12378-RA	Vcard_DToL07609-RA
OG0001020	Bany_08572-RA	Vcard_DToL04677-RA, Vcard_DToL04678-RA
OG0001021	Bany_09304-RA, Bany_09303-RA, Bany_09305-RA	Vcard_DToL09073-RA
OG0001023	Bany_04193-RA	Vcard_DToL05483-RA
OG0001024	Bany_00828-RA	Vcard_DToL02640-RA
OG0001025	Bany_02547-RA	Vcard_DToL15824-RA
OG0001026	Bany_08649-RA	Vcard_DToL04726-RA
OG0001028	Bany_03443-RA, Bany_03442-RA, Bany_03441-RA	Vcard_DToL08417-RA
OG0001029	Bany_04273-RA	Vcard_DToL05571-RA, Vcard_DToL05570-RA
OG0001030	Bany_04278-RA	Vcard_DToL05579-RA, Vcard_DToL05581-RA
OG0001031	Bany_04287-RA	Vcard_DToL05591-RA
OG0001032	Bany_05152-RA	Vcard_DToL01399-RA
OG0001032	Bany_05151-RA	Vcard_DToL01397-RA
OG0001042	Bany_18151-RA, Bany_06856-RA	Vcard_DToL17488-RA
OG0001042	Bany_06857-RA	Vcard_DToL17489-RA
OG0001044	Bany_16939-RA	Vcard_DToL15293-RA
OG0001045	Bany_15450-RA	Vcard_DToL03292-RA
OG0001046	Bany_07933-RA	Vcard_DToL04003-RA
OG0001046	Bany_07935-RA	Vcard_DToL04004-RA
OG0001047	Bany_10557-RA	Vcard_DToL10622-RA
OG0001047	Bany_10558-RA	Vcard_DToL10621-RA, Vcard_DToL10623-RA
OG0001048	Bany_16045-RA	Vcard_DToL18622-RA
OG0001049	Bany_00851-RA, Bany_03765-RA, Bany_03764-RA, Bany_16051-RA	Vcard_DToL18691-RA
OG0001050	Bany_17707-RA	Vcard_DToL15889-RA
OG0001051	Bany_14922-RA, Bany_14916-RA, Bany_14921-RA	Vcard_DToL10008-RA
OG0001052	Bany_06733-RA, Bany_06735-RA, Bany_14280-RA	Vcard_DToL17645-RA, Vcard_DToL17646-RA
OG0001053	Bany_04328-RA	Vcard_DToL00821-RA
OG0001054	Bany_03050-RA, Bany_16062-RA, Bany_07374-RA	Vcard_DToL00322-RA
OG0001055	Bany_00020-RA	Vcard_DToL01860-RA
OG0001057	Bany_16070-RA	Vcard_DToL18704-RA
OG0001059	Bany_16973-RA	Vcard_DToL15156-RA
OG0001060	Bany_17731-RA	Vcard_DToL15906-RA
OG0001061	Bany_07974-RA, Bany_07970-RA	Vcard_DToL04052-RA
OG0001062	Bany_16490-RA, Bany_16491-RA	Vcard_DToL14084-RA
OG0001063	Bany_17597-RA	Vcard_DToL16995-RA
OG0001063	Bany_16983-RA	Vcard_DToL15144-RA
OG0001064	Bany_09523-RA	Vcard_DToL14632-RA
OG0001064	Bany_14315-RA	Vcard_DToL13086-RA
OG0001065	Bany_14930-RA	Vcard_DToL09998-RA
OG0001066	Bany_06582-RA	Vcard_DToL17380-RA
OG0001067	Bany_16106-RA, Bany_17783-RA	Vcard_DToL18731-RA
OG0001068	Bany_02677-RA, Bany_02676-RA	Vcard_DToL09036-RA
OG0001069	Bany_00039-RA	Vcard_DToL01848-RA
OG0001069	Bany_00041-RA	Vcard_DToL01847-RA
OG0001070	Bany_13681-RA	Vcard_DToL12429-RA
OG0001071	Bany_01000-RA	Vcard_DToL18517-RA, Vcard_DToL18519-RA
OG0001072	Bany_14942-RA	Vcard_DToL09987-RA
OG0001074	Bany_17459-RA, Bany_17460-RA	Vcard_DToL16842-RA
OG0001075	Bany_09396-RA	Vcard_DToL14653-RA
OG0001075	Bany_09394-RA	Vcard_DToL14651-RA
OG0001076	Bany_12556-RA	Vcard_DToL17845-RA, Vcard_DToL17844-RA
OG0001078	Bany_07227-RA	Vcard_DToL00037-RA
OG0001079	Bany_11604-RA	Vcard_DToL17394-RA
OG0001081	Bany_11200-RA, Bany_11206-RA	Vcard_DToL13660-RA
OG0001081	Bany_11192-RA	Vcard_DToL00872-RA
OG0001083	Bany_13117-RA, Bany_13118-RA	Vcard_DToL11277-RA
OG0001084	Bany_01026-RA	Vcard_DToL18451-RA
OG0001085	Bany_16143-RA	Vcard_DToL18806-RA
OG0001085	Bany_16141-RA	Vcard_DToL18808-RA
OG0001086	Bany_17017-RA	Vcard_DToL15097-RA
OG0001087	Bany_04415-RA	Vcard_DToL00885-RA
OG0001088	Bany_08023-RA, Bany_08026-RA, Bany_08025-RA	Vcard_DToL04118-RA
OG0001089	Bany_02713-RA	Vcard_DToL09001-RA
OG0001090	Bany_13738-RA	Vcard_DToL12382-RA
OG0001091	Bany_03535-RA	Vcard_DToL06248-RA, Vcard_DToL06246-RA
OG0001092	Bany_15084-RA, Bany_02724-RA	Vcard_DToL08992-RA
OG0001093	Bany_08032-RA	Vcard_DToL04111-RA
OG0001094	Bany_14972-RA	Vcard_DToL10019-RA
OG0001095	Bany_11907-RA	Vcard_DToL07092-RA, Vcard_DToL08043-RA
OG0001096	Bany_17784-RA, Bany_17795-RA	Vcard_DToL16124-RA
OG0001097	Bany_12625-RA	Vcard_DToL17919-RA
OG0001098	Bany_14390-RA	Vcard_DToL12985-RA
OG0001099	Bany_17041-RA	Vcard_DToL15120-RA, Vcard_DToL15119-RA
OG0001100	Bany_05736-RA, Bany_12684-RA, Bany_12683-RA, Bany_06176-RA, Bany_10956-RA, Bany_02749-RA	Vcard_DToL02906-RA, Vcard_DToL14205-RA
OG0001102	Bany_09435-RA	Vcard_DToL14702-RA
OG0001103	Bany_10715-RA	Vcard_DToL10762-RA
OG0001104	Bany_12648-RA	Vcard_DToL17931-RA, Vcard_DToL15371-RA
OG0001104	Bany_12649-RA	Vcard_DToL17933-RA
OG0001105	Bany_05968-RA	Vcard_DToL06429-RA
OG0001105	Bany_05965-RA	Vcard_DToL06428-RA
OG0001107	Bany_14409-RA	Vcard_DToL12966-RA
OG0001107	Bany_01340-RA	Vcard_DToL07890-RA
OG0001108	Bany_16209-RA	Vcard_DToL18829-RA, Vcard_DToL18830-RA
OG0001109	Bany_08783-RA	Vcard_DToL09599-RA
OG0001110	Bany_15605-RA, Bany_14864-RA	Vcard_DToL12523-RA
OG0001111	Bany_11923-RA	Vcard_DToL07075-RA
OG0001112	Bany_01067-RA	Vcard_DToL18308-RA
OG0001113	Bany_15025-RA, Bany_10172-RA, Bany_10008-RA	Vcard_DToL16535-RA
OG0001114	Bany_05297-RA	Vcard_DToL08265-RA
OG0001115	Bany_17075-RA	Vcard_DToL15031-RA
OG0001116	Bany_02028-RA, Bany_02030-RA	Vcard_DToL16553-RA
OG0001117	Bany_12874-RA	Vcard_DToL18161-RA
OG0001117	Bany_12703-RA	Vcard_DToL18160-RA
OG0001118	Bany_10032-RA	Vcard_DToL04886-RA
OG0001119	Bany_08508-RA	Vcard_DToL04612-RA
OG0001120	Bany_09511-RA, Bany_09514-RA	Vcard_DToL14620-RA
OG0001121	Bany_17860-RA, Bany_17858-RA	Vcard_DToL15968-RA
OG0001121	Bany_17859-RA	Vcard_DToL15967-RA
OG0001122	Bany_16274-RA	Vcard_DToL18562-RA
OG0001123	Bany_13210-RA	Vcard_DToL11204-RA
OG0001123	Bany_13211-RA	Vcard_DToL11203-RA
OG0001124	Bany_13212-RA	Vcard_DToL11201-RA
OG0001125	Bany_03634-RA	Vcard_DToL06139-RA
OG0001126	Bany_00233-RA	Vcard_DToL01948-RA
OG0001127	Bany_04532-RA	Vcard_DToL01028-RA
OG0001128	Bany_08809-RA	Vcard_DToL09564-RA, Vcard_DToL09559-RA
OG0001129	Bany_14458-RA	Vcard_DToL12861-RA
OG0001130	Bany_17882-RA, Bany_17881-RA, Bany_17880-RA	Vcard_DToL15943-RA
OG0001131	Bany_17158-RA	Vcard_DToL15259-RA
OG0001132	Bany_10050-RA	Vcard_DToL04923-RA
OG0001132	Bany_10053-RA	Vcard_DToL04926-RA
OG0001133	Bany_02837-RA	Vcard_DToL08868-RA
OG0001133	Bany_14521-RA	Vcard_DToL12928-RA
OG0001134	Bany_03654-RA	Vcard_DToL06107-RA
OG0001134	Bany_03653-RA	Vcard_DToL06108-RA
OG0001135	Bany_02107-RA	Vcard_DToL16469-RA
OG0001137	Bany_02853-RA	Vcard_DToL08858-RA
OG0001137	Bany_02852-RA	Vcard_DToL08859-RA
OG0001139	Bany_10067-RA	Vcard_DToL04940-RA
OG0001140	Bany_17542-RA	Vcard_DToL16959-RA
OG0001141	Bany_16646-RA	Vcard_DToL13994-RA
OG0001142	Bany_16323-RA, Bany_08294-RA	Vcard_DToL04354-RA
OG0001143	Bany_02870-RA	Vcard_DToL08840-RA
OG0001144	Bany_10070-RA	Vcard_DToL04942-RA
OG0001145	Bany_17179-RA	Vcard_DToL15238-RA
OG0001146	Bany_12811-RA	Vcard_DToL18101-RA
OG0001147	Bany_12821-RA	Vcard_DToL18147-RA
OG0001148	Bany_08842-RA	Vcard_DToL09533-RA
OG0001149	Bany_08407-RA	Vcard_DToL11923-RA
OG0001150	Bany_10098-RA	Vcard_DToL04955-RA
OG0001151	Bany_10103-RA	Vcard_DToL04964-RA
OG0001152	Bany_05400-RA	Vcard_DToL03523-RA
OG0001153	Bany_02149-RA	Vcard_DToL16428-RA
OG0001154	Bany_09576-RA	Vcard_DToL14841-RA
OG0001156	Bany_07377-RA	Vcard_DToL00319-RA
OG0001157	Bany_02216-RA	Vcard_DToL16411-RA
OG0001157	Bany_02160-RA	Vcard_DToL16412-RA, Vcard_DToL16413-RA
OG0001158	Bany_09581-RA	Vcard_DToL14834-RA, Vcard_DToL14833-RA
OG0001159	Bany_08886-RA, Bany_10897-RA	Vcard_DToL16861-RA, Vcard_DToL16594-RA, Vcard_DToL01306-RA, Vcard_DToL13633-RA, Vcard_DToL09819-RA
OG0001161	Bany_16409-RA	Vcard_DToL18600-RA
OG0001161	Bany_16410-RA	Vcard_DToL18601-RA
OG0001162	Bany_11447-RA	Vcard_DToL13333-RA
OG0001162	Bany_11451-RA, Bany_11445-RA	Vcard_DToL13329-RA
OG0001163	Bany_02178-RA	Vcard_DToL16395-RA
OG0001165	Bany_03772-RA	Vcard_DToL06007-RA
OG0001166	Bany_05465-RA	Vcard_DToL03612-RA
OG0001167	Bany_05467-RA	Vcard_DToL03614-RA
OG0001168	Bany_09615-RA, Bany_09603-RA	Vcard_DToL14813-RA
OG0001169	Bany_06868-RA, Bany_06867-RA	Vcard_DToL17499-RA
OG0001169	Bany_06869-RA	Vcard_DToL17501-RA
OG0001170	Bany_10881-RA	Vcard_DToL10497-RA, Vcard_DToL10496-RA
OG0001171	Bany_15112-RA	Vcard_DToL09859-RA
OG0001172	Bany_17243-RA	Vcard_DToL15330-RA
OG0001173	Bany_17975-RA, Bany_17974-RA	Vcard_DToL16136-RA, Vcard_DToL16137-RA
OG0001174	Bany_13327-RA	Vcard_DToL16514-RA, Vcard_DToL11289-RA
OG0001175	Bany_09620-RA	Vcard_DToL14796-RA
OG0001176	Bany_10168-RA	Vcard_DToL05038-RA
OG0001177	Bany_03813-RA	Vcard_DToL05956-RA
OG0001178	Bany_17997-RA	Vcard_DToL16156-RA
OG0001178	Bany_17994-RA	Vcard_DToL16157-RA
OG0001179	Bany_12080-RA	Vcard_DToL07308-RA
OG0001180	Bany_00395-RA	Vcard_DToL02129-RA
OG0001180	Bany_04677-RA	Vcard_DToL02130-RA
OG0001181	Bany_02236-RA	Vcard_DToL16327-RA
OG0001182	Bany_06913-RA	Vcard_DToL10139-RA
OG0001183	Bany_15729-RA	Vcard_DToL02875-RA
OG0001184	Bany_14611-RA	Vcard_DToL12793-RA
OG0001184	Bany_14609-RA	Vcard_DToL12792-RA
OG0001185	Bany_07498-RA	Vcard_DToL00412-RA
OG0001186	Bany_04700-RA	Vcard_DToL01569-RA
OG0001188	Bany_13968-RA	Vcard_DToL11966-RA
OG0001189	Bany_14621-RA, Bany_14620-RA	Vcard_DToL12802-RA
OG0001190	Bany_12118-RA	Vcard_DToL04711-RA
OG0001191	Bany_01326-RA	Vcard_DToL07856-RA
OG0001192	Bany_00425-RA	Vcard_DToL02165-RA
OG0001193	Bany_17642-RA	Vcard_DToL17076-RA
OG0001194	Bany_17299-RA	Vcard_DToL15377-RA
OG0001194	Bany_17298-RA	Vcard_DToL15376-RA
OG0001195	Bany_13425-RA	Vcard_DToL11061-RA
OG0001196	Bany_03067-RA, Bany_03069-RA	Vcard_DToL08632-RA
OG0001197	Bany_04736-RA	Vcard_DToL01614-RA
OG0001198	Bany_14642-RA	Vcard_DToL12721-RA
OG0001199	Bany_14645-RA	Vcard_DToL12718-RA
OG0001200	Bany_15180-RA	Vcard_DToL09806-RA, Vcard_DToL09808-RA
OG0001201	Bany_04752-RA	Vcard_DToL01282-RA
OG0001202	Bany_01493-RA	Vcard_DToL07801-RA
OG0001203	Bany_16786-RA	Vcard_DToL14211-RA
OG0001203	Bany_16787-RA	Vcard_DToL14212-RA
OG0001204	Bany_07001-RA	Vcard_DToL17302-RA
OG0001205	Bany_13987-RA	Vcard_DToL11990-RA
OG0001205	Bany_13988-RA	Vcard_DToL11991-RA
OG0001206	Bany_03899-RA	Vcard_DToL05849-RA
OG0001207	Bany_03104-RA	Vcard_DToL08580-RA
OG0001208	Bany_05591-RA	Vcard_DToL03727-RA
OG0001208	Bany_05596-RA	Vcard_DToL03726-RA
OG0001209	Bany_04782-RA	Vcard_DToL01249-RA
OG0001209	Bany_04783-RA	Vcard_DToL01248-RA
OG0001211	Bany_09747-RA	Vcard_DToL14431-RA, Vcard_DToL14432-RA
OG0001212	Bany_09032-RA	Vcard_DToL09489-RA
OG0001213	Bany_08359-RA	Vcard_DToL04413-RA
OG0001214	Bany_17326-RA	Vcard_DToL15415-RA, Vcard_DToL15414-RA
OG0001215	Bany_18097-RA	Vcard_DToL16181-RA
OG0001217	Bany_07020-RA	Vcard_DToL17326-RA, Vcard_DToL17327-RA
OG0001218	Bany_09760-RA, Bany_09759-RA	Vcard_DToL14419-RA
OG0001219	Bany_00539-RA	Vcard_DToL02308-RA
OG0001220	Bany_01472-RA	Vcard_DToL07784-RA
OG0001221	Bany_13448-RA	Vcard_DToL11086-RA
OG0001222	Bany_15852-RA, Bany_15850-RA	Vcard_DToL03015-RA, Vcard_DToL03014-RA
OG0001223	Bany_00546-RA	Vcard_DToL02301-RA, Vcard_DToL02300-RA
OG0001224	Bany_11687-RA	Vcard_DToL13762-RA
OG0001225	Bany_11689-RA	Vcard_DToL13755-RA
OG0001226	Bany_00578-RA	Vcard_DToL02259-RA
OG0001226	Bany_00575-RA	Vcard_DToL02268-RA
OG0001227	Bany_09112-RA	Vcard_DToL09272-RA, Vcard_DToL09271-RA
OG0001228	Bany_09795-RA	Vcard_DToL14378-RA
OG0001228	Bany_09801-RA	Vcard_DToL14377-RA, Vcard_DToL14375-RA
OG0001230	Bany_16865-RA	Vcard_DToL14284-RA
OG0001230	Bany_16866-RA	Vcard_DToL14291-RA
OG0001231	Bany_08397-RA	Vcard_DToL04475-RA
OG0001234	Bany_03993-RA	Vcard_DToL05742-RA
OG0001235	Bany_14085-RA	Vcard_DToL12155-RA
OG0001236	Bany_14091-RA	Vcard_DToL12145-RA, Vcard_DToL12142-RA
OG0001237	Bany_00622-RA	Vcard_DToL02401-RA
OG0001238	Bany_02394-RA	Vcard_DToL15616-RA
OG0001239	Bany_02396-RA	Vcard_DToL15613-RA
OG0001240	Bany_04895-RA	Vcard_DToL01438-RA
OG0001240	Bany_04894-RA	Vcard_DToL01440-RA
OG0001241	Bany_00635-RA	Vcard_DToL02421-RA
OG0001242	Bany_04055-RA	Vcard_DToL05667-RA
OG0001243	Bany_01574-RA	Vcard_DToL08219-RA
OG0001244	Bany_14165-RA	Vcard_DToL11910-RA
OG0001244	Bany_14164-RA	Vcard_DToL11911-RA
OG0001245	Bany_15358-RA	Vcard_DToL10064-RA, Vcard_DToL10065-RA
OG0001246	Bany_09189-RA	Vcard_DToL09195-RA, Vcard_DToL09192-RA, Vcard_DToL09193-RA
OG0001247	Bany_02426-RA	Vcard_DToL15695-RA
OG0001248	Bany_11049-RA	Vcard_DToL10304-RA, Vcard_DToL10305-RA
OG0001249	Bany_11804-RA	Vcard_DToL13785-RA
OG0001250	Bany_10423-RA	Vcard_DToL05310-RA
OG0001251	Bany_09202-RA	Vcard_DToL09179-RA
OG0001252	Bany_14177-RA	Vcard_DToL17850-RA
OG0001253	Bany_04087-RA	Vcard_DToL05643-RA
OG0001254	Bany_11816-RA	Vcard_DToL13769-RA, Vcard_DToL13770-RA
OG0001255	Bany_07729-RA	Vcard_DToL00604-RA
OG0001256	Bany_06454-RA	Vcard_DToL06973-RA
OG0001256	Bany_06457-RA	Vcard_DToL06976-RA
OG0001257	Bany_14868-RA, Bany_14876-RA	Vcard_DToL12519-RA
OG0001258	Bany_01649-RA	Vcard_DToL08143-RA
OG0001258	Bany_01650-RA	Vcard_DToL08142-RA
OG0001259	Bany_04973-RA	Vcard_DToL01693-RA
OG0001260	Bany_01658-RA	Vcard_DToL08132-RA, Vcard_DToL08131-RA
OG0001261	Bany_06479-RA	Vcard_DToL07006-RA, Vcard_DToL07007-RA
OG0001262	Bany_05764-RA	Vcard_DToL03885-RA
OG0001263	Bany_08554-RA	Vcard_DToL04653-RA
OG0001264	Bany_02481-RA	Vcard_DToL15768-RA
OG0001266	Bany_02496-RA	Vcard_DToL15784-RA
OG0001267	Bany_02498-RA	Vcard_DToL15787-RA
OG0001269	Bany_05044-RA	Vcard_DToL01303-RA
OG0001270	Bany_00809-RA	Vcard_DToL02619-RA, Vcard_DToL02621-RA
OG0001271	Bany_08592-RA	Vcard_DToL04704-RA, Vcard_DToL04702-RA
OG0001272	Bany_02532-RA	Vcard_DToL15815-RA
OG0001273	Bany_05060-RA	Vcard_DToL01317-RA
OG0001273	Bany_05061-RA	Vcard_DToL01318-RA
OG0001274	Bany_00827-RA	Vcard_DToL02638-RA
OG0001275	Bany_02543-RA	Vcard_DToL15821-RA
OG0001275	Bany_02541-RA	Vcard_DToL15819-RA
OG0001277	Bany_01763-RA	Vcard_DToL08011-RA, Vcard_DToL08012-RA
OG0001278	Bany_05820-RA	Vcard_DToL03937-RA
OG0001279	Bany_07860-RA, Bany_07856-RA	Vcard_DToL00624-RA
OG0001280	Bany_01792-RA	Vcard_DToL08039-RA
OG0001281	Bany_04258-RA	Vcard_DToL05559-RA
OG0001282	Bany_02592-RA	Vcard_DToL15863-RA
OG0001283	Bany_02607-RA	Vcard_DToL15878-RA
OG0001283	Bany_02605-RA	Vcard_DToL15881-RA
OG0001284	Bany_02612-RA	Vcard_DToL15874-RA
OG0001285	Bany_07903-RA	Vcard_DToL00671-RA
OG0001302	Bany_12443-RA	Vcard_DToL17905-RA
OG0001302	Bany_12442-RA	Vcard_DToL17907-RA
OG0001303	Bany_13023-RA, Bany_13310-RA	Vcard_DToL11306-RA
OG0001304	Bany_13024-RA	Vcard_DToL11307-RA
OG0001305	Bany_09904-RA	Vcard_DToL04869-RA
OG0001306	Bany_15845-RA, Bany_13025-RA	Vcard_DToL03008-RA
OG0001307	Bany_10546-RA	Vcard_DToL10610-RA
OG0001308	Bany_16941-RA	Vcard_DToL15295-RA
OG0001309	Bany_09338-RA	Vcard_DToL14944-RA
OG0001310	Bany_12454-RA, Bany_06897-RA	Vcard_DToL17892-RA
OG0001312	Bany_00930-RA	Vcard_DToL18492-RA
