Orthogroup	Bicyclus_anynana	Pararge_aegeria
OG0000832	Bany_17377-RA, Bany_17375-RA	XP_039760157.1
OG0000833	Bany_00590-RA	XP_039765487.1, XP_039765488.1, XP_039765486.1
OG0000834	Bany_00616-RA	XP_039765982.1, XP_039765981.1
OG0000835	Bany_14093-RA	XP_039755723.1, XP_039755663.1
OG0000836	Bany_09830-RA	XP_039757487.1
OG0000836	Bany_09829-RA	XP_039758165.1
OG0000837	Bany_07069-RA	XP_039761507.1
OG0000838	Bany_08423-RA	XP_039754443.1, XP_039754445.1, XP_039754444.1
OG0000839	Bany_12285-RA	XP_039749421.1, XP_039749422.1
OG0000840	Bany_04903-RA	XP_039755458.1, XP_039755447.1
OG0000842	Bany_12292-RA	XP_039749475.1
OG0000843	Bany_02431-RA	XP_039746038.1
OG0000844	Bany_14180-RA, Bany_14185-RA	XP_039755294.1
OG0000845	Bany_01630-RA	XP_039751822.1
OG0000846	Bany_13573-RA	XP_039756764.1, XP_039756762.1, XP_039756763.1
OG0000847	Bany_00747-RA	XP_039745545.1
OG0000848	Bany_12401-RA	XP_039750088.1, XP_039750089.1, XP_039750090.1
OG0000849	Bany_04227-RA	XP_039765036.1
OG0000863	Bany_00183-RA	XP_039765862.1
OG0000863	Bany_00184-RA	XP_039765802.1
OG0000863	Bany_00185-RA	XP_039765897.1
OG0000864	Bany_09912-RA	XP_039748517.1
OG0000865	Bany_17700-RA, Bany_17697-RA, Bany_13514-RA	XP_039760694.1
OG0000866	Bany_09343-RA	XP_039757751.1
OG0000867	Bany_13306-RA, Bany_00012-RA	XP_039757210.1
OG0000868	Bany_08298-RA, Bany_14895-RA, Bany_08300-RA	XP_039753935.1, XP_039753936.1
OG0000870	Bany_10567-RA, Bany_10566-RA	XP_039750711.1
OG0000871	Bany_00959-RA, Bany_00960-RA, Bany_00958-RA	XP_039752351.1
OG0000872	Bany_16473-RA, Bany_16475-RA	XP_039747527.1, XP_039747528.1
OG0000873	Bany_07963-RA	XP_039754002.1
OG0000874	Bany_13655-RA, Bany_13656-RA	XP_039755918.1
OG0000875	Bany_05224-RA, Bany_05225-RA	XP_039746223.1
OG0000876	Bany_12884-RA, Bany_00149-RA	XP_039763352.1
OG0000876	Bany_04558-RA, Bany_16088-RA	XP_039763792.1
OG0000877	Bany_04360-RA, Bany_04359-RA, Bany_04358-RA, Bany_04355-RA, Bany_04354-RA	XP_039757852.1
OG0000877	Bany_04398-RA	XP_039754349.1
OG0000878	Bany_07211-RA, Bany_07213-RA	XP_039763950.1
OG0000881	Bany_00101-RA, Bany_16107-RA, Bany_16108-RA	XP_039762797.1
OG0000882	Bany_08239-RA, Bany_08240-RA, Bany_12658-RA, Bany_12353-RA, Bany_14943-RA, Bany_13484-RA	XP_039749193.1, XP_039749917.1, XP_039764408.1
OG0000883	Bany_03292-RA	XP_039747189.1
OG0000883	Bany_07224-RA, Bany_17804-RA, Bany_07336-RA, Bany_07298-RA	XP_039765899.1
OG0000884	Bany_16126-RA, Bany_16125-RA	XP_039762577.1
OG0000885	Bany_04770-RA	XP_039754406.1
OG0000887	Bany_11607-RA, Bany_04401-RA, Bany_11608-RA, Bany_11609-RA	XP_039759612.1
OG0000888	Bany_12571-RA	XP_039761935.1
OG0000889	Bany_01964-RA	XP_039749769.1, XP_039749761.1, XP_039749752.1, XP_039749744.1
OG0000891	Bany_13728-RA, Bany_13730-RA, Bany_08139-RA, Bany_13731-RA	XP_039755852.1
OG0000892	Bany_13729-RA, Bany_04603-RA	XP_039760813.1
OG0000893	Bany_04125-RA, Bany_12584-RA, Bany_12582-RA, Bany_12583-RA, Bany_12585-RA	XP_039762281.1
OG0000894	Bany_17480-RA	XP_039761036.1, XP_039761038.1, XP_039761039.1
OG0000896	Bany_15573-RA, Bany_16623-RA	XP_039747916.1, XP_039747917.1
OG0000897	Bany_09416-RA	XP_039758044.1, XP_039758043.1, XP_039758046.1, XP_039758045.1
OG0000898	Bany_09425-RA	XP_039757697.1
OG0000898	Bany_09424-RA	XP_039757699.1
OG0000899	Bany_06649-RA, Bany_06648-RA	XP_039748257.1
OG0000901	Bany_17052-RA	XP_039760021.1
OG0000902	Bany_02001-RA	XP_039748935.1, XP_039748943.1
OG0000903	Bany_09472-RA	XP_039757917.1
OG0000904	Bany_09475-RA	XP_039757811.1
OG0000905	Bany_12680-RA, Bany_12681-RA	XP_039762341.1
OG0000906	Bany_03573-RA	XP_039764467.1
OG0000907	Bany_06020-RA	XP_039751282.1
OG0000908	Bany_02046-RA	XP_039765180.1, XP_039765172.1
OG0000910	Bany_16613-RA	XP_039748495.1, XP_039748497.1, XP_039748498.1, XP_039748494.1, XP_039748496.1
OG0000911	Bany_02821-RA	XP_039747075.1, XP_039747073.1, XP_039747076.1
OG0000912	Bany_15125-RA	XP_039758439.1
OG0000912	Bany_15003-RA	XP_039758736.1
OG0000913	Bany_09727-RA	XP_039758057.1
OG0000913	Bany_06728-RA	XP_039748315.1
OG0000914	Bany_02841-RA, Bany_12749-RA	XP_039762330.1
OG0000915	Bany_02826-RA	XP_039747444.1, XP_039747443.1
OG0000916	Bany_16288-RA	XP_039762723.1, XP_039762722.1, XP_039762718.1, XP_039762720.1, XP_039762719.1, XP_039762721.1
OG0000918	Bany_04537-RA	XP_039752843.1
OG0000919	Bany_03640-RA	XP_039764719.1
OG0000919	Bany_03641-RA	XP_039764474.1
OG0000920	Bany_13796-RA	XP_039755583.1
OG0000922	Bany_05372-RA	XP_039746342.1, XP_039746339.1, XP_039746337.1, XP_039746343.1, XP_039746341.1, XP_039746338.1
OG0000923	Bany_16638-RA	XP_039748490.1
OG0000924	Bany_06786-RA	XP_039748314.1
OG0000925	Bany_12899-RA, Bany_14814-RA	XP_039756338.1
OG0000925	Bany_09175-RA, Bany_11819-RA, Bany_12809-RA	XP_039762307.1
OG0000926	Bany_07357-RA	XP_039763677.1
OG0000927	Bany_08829-RA	XP_039753359.1
OG0000928	Bany_11993-RA, Bany_11994-RA, Bany_11992-RA	XP_039749720.1
OG0000929	Bany_11998-RA, Bany_12002-RA	XP_039749383.1
OG0000930	Bany_12010-RA	XP_039749982.1, XP_039749981.1
OG0000931	Bany_16668-RA, Bany_16666-RA	XP_039747690.1
OG0000932	Bany_04923-RA	XP_039758183.1
OG0000933	Bany_10107-RA	XP_039749007.1
OG0000934	Bany_06805-RA	XP_039747657.1
OG0000935	Bany_08414-RA, Bany_03873-RA, Bany_13857-RA, Bany_11524-RA	XP_039754245.1
OG0000936	Bany_17922-RA	XP_039760669.1, XP_039760666.1, XP_039760667.1
OG0000937	Bany_16389-RA	XP_039762996.1, XP_039762995.1
OG0000938	Bany_15664-RA	XP_039755001.1
OG0000939	Bany_15668-RA	XP_039754952.1
OG0000939	Bany_15667-RA	XP_039755097.1, XP_039755096.1
OG0000941	Bany_16421-RA, Bany_16423-RA	XP_039762616.1, XP_039762617.1
OG0000943	Bany_17226-RA	XP_039759980.1
OG0000943	Bany_17227-RA	XP_039760029.1, XP_039760028.1
OG0000944	Bany_00336-RA	XP_039745483.1
OG0000945	Bany_13301-RA	XP_039757000.1
OG0000945	Bany_04992-RA	XP_039759769.1
OG0000946	Bany_14543-RA	XP_039756123.1
OG0000947	Bany_12935-RA	XP_039761914.1
OG0000948	Bany_04641-RA	XP_039751852.1, XP_039751842.1, XP_039751859.1
OG0000949	Bany_04643-RA	XP_039753426.1, XP_039753436.1, XP_039753418.1
OG0000950	Bany_08214-RA	XP_039754253.1
OG0000951	Bany_15682-RA	XP_039755015.1, XP_039755018.1, XP_039755019.1
OG0000952	Bany_08928-RA, Bany_08921-RA, Bany_08924-RA, Bany_08927-RA, Bany_08923-RA	XP_039753430.1
OG0000953	Bany_13919-RA	XP_039755874.1, XP_039755873.1, XP_039755872.1, XP_039755871.1, XP_039755869.1
OG0000954	Bany_00362-RA	XP_039765977.1, XP_039765978.1, XP_039765975.1, XP_039765976.1
OG0000955	Bany_10178-RA	XP_039748524.1
OG0000955	Bany_10176-RA	XP_039749207.1
OG0000956	Bany_02231-RA	XP_039747292.1
OG0000956	Bany_02230-RA	XP_039746090.1
OG0000957	Bany_09637-RA, Bany_09640-RA	XP_039757546.1
OG0000958	Bany_13000-RA	XP_039762081.1
OG0000958	Bany_13002-RA, Bany_13003-RA	XP_039762079.1
OG0000959	Bany_17616-RA	XP_039761109.1
OG0000960	Bany_13352-RA	XP_039757024.1
OG0000961	Bany_06251-RA	XP_039750992.1
OG0000964	Bany_01303-RA	XP_039752798.1
OG0000965	Bany_18036-RA	XP_039760576.1, XP_039760577.1, XP_039760575.1
OG0000966	Bany_01323-RA	XP_039752654.1, XP_039752652.1, XP_039752653.1, XP_039752649.1, XP_039752650.1
OG0000967	Bany_18054-RA	XP_039760751.1
OG0000968	Bany_06966-RA	XP_039761590.1, XP_039761591.1
OG0000969	Bany_18055-RA	XP_039760701.1
OG0000970	Bany_12122-RA	XP_039749660.1
OG0000970	Bany_12123-RA	XP_039749932.1
OG0000971	Bany_11600-RA	XP_039759123.1
OG0000972	Bany_09692-RA	XP_039757820.1
OG0000973	Bany_02294-RA, Bany_02296-RA	XP_039747238.1
OG0000974	Bany_08301-RA, Bany_08303-RA	XP_039753931.1
OG0000975	Bany_09011-RA	XP_039753698.1, XP_039753697.1, XP_039753699.1
OG0000976	Bany_16770-RA	XP_039764267.1, XP_039750840.1
OG0000977	Bany_15795-RA	XP_039754600.1
OG0000978	Bany_06992-RA	XP_039761381.1
OG0000979	Bany_09017-RA, Bany_09016-RA	XP_039753658.1
OG0000980	Bany_18079-RA	XP_039760458.1, XP_039760456.1
OG0000981	Bany_01408-RA	XP_039751940.1, XP_039751939.1
OG0000982	Bany_03909-RA, Bany_03906-RA	XP_039763796.1
OG0000983	Bany_15820-RA, Bany_15817-RA, Bany_15818-RA, Bany_15819-RA	XP_039754900.1
OG0000984	Bany_01721-RA	XP_039751795.1
OG0000985	Bany_15824-RA	XP_039754859.1, XP_039754858.1, XP_039754860.1
OG0000986	Bany_07725-RA	XP_039764046.1
OG0000986	Bany_14691-RA	XP_039756710.1
OG0000987	Bany_07586-RA	XP_039764164.1
OG0000988	Bany_03938-RA	XP_039764869.1
OG0000988	Bany_03939-RA	XP_039764524.1
OG0000989	Bany_09757-RA, Bany_09758-RA	XP_039757481.1
OG0000990	Bany_07728-RA	XP_039763452.1
OG0000990	Bany_09057-RA	XP_039753201.1
OG0000991	Bany_18103-RA	XP_039760877.1, XP_039760876.1
OG0000992	Bany_01469-RA	XP_039751787.1
OG0000993	Bany_17339-RA	XP_039759828.1
OG0000994	Bany_16828-RA, Bany_16831-RA	XP_039748066.1
OG0000995	Bany_14033-RA	XP_039755582.1
OG0000996	Bany_05649-RA	XP_039746100.1
OG0000997	Bany_10342-RA	XP_039749043.1
OG0000998	Bany_11699-RA	XP_039758941.1
OG0000999	Bany_16852-RA	XP_039747732.1, XP_039747730.1, XP_039747731.1
OG0001000	Bany_15864-RA	XP_039754947.1
OG0001000	Bany_15865-RA	XP_039755208.1
OG0001002	Bany_01544-RA	XP_039752439.1
OG0001002	Bany_01602-RA	XP_039752527.1
OG0001003	Bany_07121-RA	XP_039761587.1
OG0001003	Bany_07068-RA	XP_039761794.1
OG0001004	Bany_04025-RA	XP_039765121.1
OG0001004	Bany_04024-RA	XP_039765120.1
OG0001005	Bany_12276-RA	XP_039749463.1, XP_039749462.1
OG0001006	Bany_14129-RA, Bany_14128-RA	XP_039755468.1
OG0001007	Bany_14811-RA, Bany_14827-RA, Bany_14812-RA	XP_039756579.1
OG0001008	Bany_06406-RA	XP_039751354.1
OG0001009	Bany_13543-RA	XP_039757155.1
OG0001010	Bany_08482-RA	XP_039754544.1
OG0001010	Bany_08483-RA	XP_039754528.1
OG0001011	Bany_14865-RA, Bany_14867-RA	XP_039756390.1, XP_039756389.1
OG0001012	Bany_10446-RA	XP_039748770.1, XP_039748767.1, XP_039748769.1, XP_039748768.1, XP_039748614.1
OG0001013	Bany_04971-RA, Bany_04970-RA	XP_039754576.1
OG0001014	Bany_12363-RA, Bany_12362-RA	XP_039749849.1
OG0001015	Bany_01660-RA, Bany_01661-RA	XP_039752473.1, XP_039752472.1
OG0001016	Bany_12368-RA	XP_039749964.1
OG0001017	Bany_04142-RA	XP_039765278.1
OG0001018	Bany_12379-RA, Bany_12378-RA	XP_039749580.1
OG0001019	Bany_11130-RA, Bany_11119-RA	XP_039750332.1
OG0001020	Bany_08572-RA	XP_039754363.1
OG0001021	Bany_09304-RA	XP_039753709.1
OG0001021	Bany_09305-RA	XP_039753654.1
OG0001022	Bany_02512-RA, Bany_02509-RA	XP_039746318.1
OG0001023	Bany_04193-RA	XP_039764934.1
OG0001024	Bany_00828-RA	XP_039745112.1
OG0001025	Bany_02547-RA	XP_039765210.1, XP_039765226.1, XP_039765234.1, XP_039765218.1
OG0001026	Bany_08649-RA	XP_039753766.1, XP_039753765.1
OG0001027	Bany_00856-RA	XP_039765336.1
OG0001028	Bany_03443-RA, Bany_03442-RA, Bany_03441-RA, Bany_03439-RA	XP_039746510.1
OG0001029	Bany_04273-RA	XP_039764574.1
OG0001030	Bany_04278-RA	XP_039764976.1
OG0001031	Bany_04287-RA	XP_039764781.1
OG0001032	Bany_05152-RA	XP_039751828.1
OG0001045	Bany_15450-RA	XP_039755141.1, XP_039755140.1
OG0001046	Bany_07933-RA, Bany_07935-RA	XP_039753862.1
OG0001047	Bany_10558-RA	XP_039750240.1
OG0001048	Bany_16045-RA	XP_039760757.1, XP_039760756.1, XP_039760755.1
OG0001049	Bany_00851-RA, Bany_03765-RA, Bany_03764-RA, Bany_16051-RA	XP_039762984.1
OG0001050	Bany_17708-RA, Bany_17709-RA	XP_039760815.1
OG0001051	Bany_14922-RA, Bany_14916-RA, Bany_14921-RA	XP_039758281.1
OG0001052	Bany_06733-RA, Bany_06735-RA, Bany_14280-RA	XP_039756632.1
OG0001053	Bany_04328-RA	XP_039761258.1
OG0001054	Bany_03050-RA, Bany_16062-RA, Bany_07374-RA	XP_039762574.1, XP_039762575.1, XP_039762573.1
OG0001055	Bany_00020-RA	XP_039765672.1, XP_039765671.1
OG0001057	Bany_16070-RA	XP_039762920.1, XP_039762755.1, XP_039762756.1, XP_039762754.1, XP_039762753.1
OG0001058	Bany_00970-RA, Bany_00964-RA	XP_039752794.1
OG0001059	Bany_16973-RA	XP_039759935.1
OG0001060	Bany_17731-RA	XP_039760730.1
OG0001061	Bany_07974-RA, Bany_07970-RA	XP_039754585.1
OG0001062	Bany_16491-RA	XP_039747777.1
OG0001063	Bany_17597-RA	XP_039761301.1
OG0001063	Bany_16983-RA	XP_039760352.1
OG0001064	Bany_09523-RA	XP_039757447.1
OG0001064	Bany_14315-RA	XP_039756272.1
OG0001065	Bany_14930-RA	XP_039758762.1, XP_039758761.1
OG0001066	Bany_06582-RA	XP_039761693.1, XP_039761691.1, XP_039761692.1
OG0001067	Bany_16106-RA, Bany_17783-RA	XP_039762796.1
OG0001068	Bany_02677-RA, Bany_02676-RA	XP_039747204.1
OG0001069	Bany_00039-RA, Bany_00041-RA	XP_039765699.1, XP_039765700.1
OG0001070	Bany_13681-RA	XP_039755926.1
OG0001071	Bany_01000-RA	XP_039752182.1
OG0001072	Bany_14942-RA	XP_039758857.1, XP_039758859.1
OG0001073	Bany_03517-RA	XP_039764886.1
OG0001074	Bany_17460-RA	XP_039761240.1, XP_039761242.1
OG0001075	Bany_09396-RA, Bany_09394-RA	XP_039757890.1
OG0001076	Bany_12556-RA	XP_039762226.1
OG0001077	Bany_12557-RA	XP_039762225.1
OG0001078	Bany_07227-RA	XP_039764179.1, XP_039764183.1, XP_039764206.1
OG0001079	Bany_06604-RA	XP_039761422.1
OG0001080	Bany_13711-RA	XP_039755845.1
OG0001080	Bany_13710-RA	XP_039755850.1
OG0001081	Bany_11200-RA, Bany_11206-RA	XP_039759426.1
OG0001083	Bany_13117-RA	XP_039757022.1
OG0001083	Bany_13118-RA	XP_039757400.1
OG0001084	Bany_01026-RA, Bany_01024-RA	XP_039752463.1
OG0001085	Bany_16141-RA	XP_039762739.1
OG0001086	Bany_17017-RA	XP_039760008.1
OG0001087	Bany_04415-RA	XP_039756229.1, XP_039756219.1, XP_039756237.1
OG0001088	Bany_08023-RA, Bany_08026-RA, Bany_08025-RA	XP_039754462.1
OG0001089	Bany_02713-RA	XP_039746900.1, XP_039746898.1
OG0001090	Bany_13738-RA	XP_039755358.1, XP_039755356.1, XP_039755355.1, XP_039755357.1
OG0001091	Bany_03535-RA	XP_039764844.1
OG0001092	Bany_15084-RA	XP_039758458.1
OG0001092	Bany_02724-RA	XP_039747273.1
OG0001093	Bany_08032-RA	XP_039754031.1, XP_039754030.1
OG0001094	Bany_14969-RA	XP_039758307.1
OG0001095	Bany_11907-RA	XP_039752090.1, XP_039764412.1, XP_039750717.1
OG0001096	Bany_17795-RA	XP_039760613.1
OG0001097	Bany_12625-RA	XP_039761870.1
OG0001098	Bany_14390-RA	XP_039756744.1, XP_039756743.1, XP_039756745.1
OG0001099	Bany_17041-RA	XP_039759895.1
OG0001101	Bany_06651-RA	XP_039747938.1
OG0001102	Bany_09435-RA	XP_039757678.1
OG0001103	Bany_10715-RA	XP_039750575.1, XP_039750572.1, XP_039750574.1, XP_039750576.1, XP_039750573.1
OG0001104	Bany_12648-RA, Bany_12649-RA	XP_039762278.1
OG0001105	Bany_05968-RA, Bany_05965-RA	XP_039751585.1
OG0001106	Bany_16203-RA	XP_039762714.1
OG0001107	Bany_01340-RA	XP_039752036.1
OG0001108	Bany_16209-RA	XP_039762913.1, XP_039762912.1
OG0001109	Bany_08783-RA	XP_039753372.1
OG0001110	Bany_15605-RA, Bany_14864-RA	XP_039756568.1, XP_039756567.1
OG0001111	Bany_11923-RA	XP_039749630.1, XP_039749631.1
OG0001112	Bany_01067-RA	XP_039752151.1
OG0001113	Bany_15025-RA, Bany_10172-RA, Bany_10008-RA	XP_039758083.1, XP_039763061.1, XP_039763053.1, XP_039761465.1, XP_039754610.1, XP_039756922.1, XP_039758154.1
OG0001114	Bany_05297-RA	XP_039745914.1
OG0001115	Bany_17075-RA	XP_039760170.1, XP_039760171.1, XP_039760172.1, XP_039760173.1
OG0001116	Bany_02029-RA, Bany_02028-RA, Bany_02030-RA	XP_039746563.1
OG0001117	Bany_12874-RA	XP_039761899.1
OG0001117	Bany_12703-RA	XP_039761898.1
OG0001118	Bany_10032-RA	XP_039749044.1
OG0001119	Bany_08508-RA	XP_039753822.1
OG0001119	Bany_11945-RA	XP_039754433.1
OG0001120	Bany_09511-RA	XP_039757913.1
OG0001121	Bany_17859-RA	XP_039760722.1
OG0001122	Bany_16274-RA	XP_039762675.1
OG0001123	Bany_13211-RA	XP_039757238.1
OG0001124	Bany_13214-RA	XP_039757382.1
OG0001125	Bany_03631-RA	XP_039764485.1
OG0001126	Bany_00233-RA	XP_039745464.1
OG0001127	Bany_04532-RA	XP_039759175.1
OG0001128	Bany_08810-RA	XP_039753249.1
OG0001129	Bany_14458-RA	XP_039756099.1, XP_039756101.1, XP_039756102.1
OG0001130	Bany_17882-RA, Bany_17881-RA, Bany_17880-RA	XP_039760462.1, XP_039760463.1
OG0001131	Bany_17158-RA	XP_039760017.1, XP_039760015.1, XP_039760016.1
OG0001132	Bany_10053-RA	XP_039749329.1
OG0001133	Bany_02837-RA	XP_039746564.1
OG0001134	Bany_03654-RA	XP_039765152.1
OG0001135	Bany_02107-RA	XP_039756801.1, XP_039764222.1, XP_039749030.1
OG0001136	Bany_14471-RA	XP_039756609.1
OG0001137	Bany_02853-RA, Bany_02852-RA	XP_039746792.1, XP_039746791.1
OG0001138	Bany_15033-RA	XP_039755268.1, XP_039758501.1
OG0001138	Bany_15065-RA	XP_039758814.1
OG0001139	Bany_10067-RA, Bany_10068-RA	XP_039748929.1
OG0001140	Bany_17542-RA	XP_039761374.1, XP_039761375.1, XP_039761373.1, XP_039761376.1
OG0001141	Bany_16646-RA	XP_039748474.1, XP_039748473.1
OG0001142	Bany_16323-RA, Bany_08294-RA	XP_039753991.1, XP_039753992.1, XP_039753988.1, XP_039753990.1, XP_039753989.1
OG0001144	Bany_10070-RA	XP_039748936.1, XP_039748933.1, XP_039748934.1, XP_039748932.1
OG0001145	Bany_17179-RA	XP_039759971.1
OG0001146	Bany_12811-RA	XP_039762186.1
OG0001147	Bany_12834-RA	XP_039762390.1
OG0001147	Bany_12821-RA	XP_039762264.1
OG0001148	Bany_08841-RA	XP_039753446.1
OG0001148	Bany_08842-RA	XP_039752859.1
OG0001149	Bany_13835-RA	XP_039755646.1
OG0001150	Bany_10098-RA	XP_039749202.1
OG0001151	Bany_10103-RA	XP_039748721.1, XP_039748720.1
OG0001152	Bany_05400-RA	XP_039745819.1
OG0001153	Bany_02149-RA	XP_039746385.1, XP_039746392.1
OG0001154	Bany_09576-RA	XP_039757866.1
OG0001155	Bany_13280-RA	XP_039764263.1, XP_039760617.1
OG0001156	Bany_07377-RA	XP_039763179.1
OG0001157	Bany_02216-RA, Bany_02160-RA	XP_039748687.1, XP_039748679.1
OG0001158	Bany_09581-RA	XP_039757715.1
OG0001159	Bany_08886-RA, Bany_10897-RA	XP_039756656.1, XP_039749236.1, XP_039757881.1
OG0001160	Bany_02171-RA	XP_039748368.1
OG0001161	Bany_16409-RA, Bany_16410-RA	XP_039762494.1
OG0001162	Bany_11451-RA, Bany_11445-RA	XP_039759069.1
OG0001163	Bany_02178-RA	XP_039764800.1
OG0001164	Bany_02184-RA	XP_039760263.1
OG0001165	Bany_03772-RA	XP_039764707.1, XP_039764711.1, XP_039764708.1, XP_039764710.1, XP_039764709.1
OG0001166	Bany_05465-RA	XP_039746170.1
OG0001167	Bany_05467-RA	XP_039746062.1
OG0001168	Bany_09615-RA, Bany_09603-RA	XP_039758149.1, XP_039758147.1, XP_039758159.1
OG0001169	Bany_06868-RA, Bany_06867-RA, Bany_06869-RA	XP_039748048.1
OG0001170	Bany_10881-RA	XP_039750305.1
OG0001171	Bany_15107-RA, Bany_15112-RA	XP_039758529.1
OG0001172	Bany_17243-RA	XP_039759726.1
OG0001173	Bany_17975-RA	XP_039760853.1
OG0001173	Bany_17974-RA	XP_039760698.1
OG0001174	Bany_13327-RA	XP_039756950.1
OG0001175	Bany_09620-RA, Bany_09622-RA	XP_039757468.1
OG0001176	Bany_10168-RA	XP_039749063.1, XP_039749042.1
OG0001177	Bany_03813-RA	XP_039764721.1, XP_039764724.1, XP_039764723.1
OG0001178	Bany_17997-RA	XP_039760855.1
OG0001178	Bany_17994-RA	XP_039760543.1
OG0001179	Bany_12078-RA, Bany_12081-RA	XP_039749545.1
OG0001180	Bany_00395-RA, Bany_04677-RA	XP_039765649.1
OG0001181	Bany_02236-RA	XP_039749252.1, XP_039749229.1, XP_039749245.1, XP_039749238.1, XP_039749232.1
OG0001182	Bany_06913-RA	XP_039747992.1, XP_039747993.1, XP_039747991.1, XP_039747994.1
OG0001183	Bany_15729-RA	XP_039755153.1, XP_039755150.1, XP_039755152.1, XP_039755151.1
OG0001184	Bany_14609-RA	XP_039756680.1
OG0001185	Bany_07497-RA	XP_039763470.1
OG0001186	Bany_04700-RA	XP_039757156.1
OG0001187	Bany_15739-RA, Bany_15740-RA	XP_039755226.1
OG0001188	Bany_13968-RA	XP_039755460.1, XP_039755459.1, XP_039755461.1
OG0001189	Bany_14621-RA	XP_039756674.1
OG0001189	Bany_14620-RA	XP_039756458.1
OG0001190	Bany_12118-RA	XP_039750038.1
OG0001190	Bany_08597-RA	XP_039754427.1
OG0001191	Bany_01326-RA	XP_039752261.1, XP_039752260.1
OG0001192	Bany_00425-RA	XP_039765376.1
OG0001193	Bany_17642-RA	XP_039761362.1
OG0001194	Bany_17299-RA, Bany_17298-RA	XP_039759801.1
OG0001195	Bany_13425-RA	XP_039757043.1
OG0001195	Bany_15169-RA	XP_039758831.1
OG0001196	Bany_03067-RA, Bany_03069-RA	XP_039746624.1, XP_039746626.1
OG0001197	Bany_04736-RA	XP_039760466.1, XP_039760475.1, XP_039760457.1, XP_039760448.1
OG0001198	Bany_14642-RA	XP_039756248.1
OG0001199	Bany_14645-RA	XP_039756292.1, XP_039756293.1
OG0001200	Bany_15180-RA	XP_039758516.1, XP_039758729.1
OG0001201	Bany_04752-RA	XP_039760768.1
OG0001202	Bany_01491-RA, Bany_07859-RA, Bany_13411-RA, Bany_17683-RA, Bany_17302-RA	XP_039752390.1
OG0001203	Bany_16786-RA, Bany_16787-RA	XP_039748184.1
OG0001204	Bany_07001-RA	XP_039761775.1
OG0001205	Bany_13988-RA	XP_039755861.1
OG0001206	Bany_03899-RA	XP_039764497.1
OG0001207	Bany_03104-RA	XP_039747396.1, XP_039747394.1, XP_039747398.1, XP_039747397.1
OG0001208	Bany_05591-RA, Bany_05596-RA	XP_039745569.1
OG0001209	Bany_04782-RA, Bany_04783-RA	XP_039752005.1
OG0001210	Bany_08346-RA	XP_039754540.1
OG0001211	Bany_09747-RA	XP_039757924.1
OG0001212	Bany_09032-RA	XP_039752865.1
OG0001212	Bany_09034-RA	XP_039752867.1
OG0001213	Bany_08359-RA	XP_039754088.1
OG0001214	Bany_17326-RA	XP_039759923.1
OG0001215	Bany_18097-RA	XP_039760558.1
OG0001216	Bany_09059-RA	XP_039752941.1, XP_039752942.1
OG0001217	Bany_07020-RA	XP_039761720.1
OG0001219	Bany_00539-RA	XP_039765520.1, XP_039765521.1
OG0001219	Bany_00538-RA	XP_039765519.1
OG0001220	Bany_01472-RA	XP_039752289.1, XP_039752288.1
OG0001221	Bany_13448-RA	XP_039756896.1, XP_039756894.1, XP_039756895.1, XP_039756897.1
OG0001222	Bany_15852-RA, Bany_15850-RA	XP_039755047.1, XP_039755048.1
OG0001223	Bany_00546-RA	XP_039745265.1, XP_039745268.1
OG0001224	Bany_11687-RA	XP_039759111.1, XP_039759110.1
OG0001225	Bany_11689-RA	XP_039758966.1
OG0001226	Bany_00578-RA, Bany_00575-RA	XP_039745451.1
OG0001227	Bany_09112-RA	XP_039753703.1
OG0001228	Bany_09795-RA, Bany_09801-RA	XP_039758035.1
OG0001229	Bany_11709-RA	XP_039759516.1
OG0001229	Bany_11711-RA, Bany_11710-RA	XP_039759517.1
OG0001230	Bany_16865-RA	XP_039748397.1
OG0001231	Bany_08397-RA	XP_039754571.1
OG0001232	Bany_14746-RA, Bany_14747-RA	XP_039756239.1
OG0001234	Bany_03993-RA	XP_039763237.1, XP_039763229.1, XP_039763246.1
OG0001235	Bany_14085-RA, Bany_14087-RA, Bany_14084-RA	XP_039755627.1
OG0001236	Bany_14091-RA	XP_039755518.1
OG0001237	Bany_00622-RA, Bany_00621-RA	XP_039745522.1
OG0001238	Bany_02394-RA	XP_039745650.1
OG0001239	Bany_02396-RA	XP_039756106.1
OG0001240	Bany_04893-RA, Bany_04895-RA, Bany_04894-RA	XP_039761637.1, XP_039761645.1
OG0001241	Bany_00635-RA	XP_039765932.1, XP_039765933.1, XP_039765931.1
OG0001242	Bany_04055-RA	XP_039765023.1, XP_039764508.1
OG0001243	Bany_01574-RA	XP_039752566.1, XP_039752568.1, XP_039752567.1, XP_039752565.1, XP_039752564.1
OG0001244	Bany_14164-RA	XP_039755786.1
OG0001245	Bany_15358-RA	XP_039758882.1, XP_039758790.1
OG0001246	Bany_09189-RA	XP_039753023.1
OG0001247	Bany_02426-RA	XP_039765291.1, XP_039765290.1
OG0001248	Bany_11049-RA	XP_039750865.1
OG0001249	Bany_11804-RA	XP_039759479.1, XP_039759480.1
OG0001249	Bany_11806-RA	XP_039759279.1, XP_039759278.1
OG0001250	Bany_10423-RA	XP_039748881.1, XP_039748880.1, XP_039748882.1, XP_039748879.1
OG0001251	Bany_09202-RA	XP_039753419.1
