Orthogroup	Bicyclus_anynana	Maniola_hyperantus
OG0002413	Bany_09428-RA	XP_034834096.1
OG0002414	Bany_00141-RA	XP_034841533.1
OG0002415	Bany_09437-RA	XP_034834249.1
OG0002416	Bany_17802-RA	XP_034837111.1
OG0002417	Bany_09443-RA	XP_034834116.1
OG0002418	Bany_16200-RA	XP_034839040.1
OG0002419	Bany_01988-RA	XP_034826478.1
OG0002420	Bany_16564-RA	XP_034836362.1
OG0002421	Bany_05960-RA	XP_034827354.1
OG0002422	Bany_03562-RA	XP_034824998.1
OG0002423	Bany_00167-RA	XP_034841555.1
OG0002425	Bany_12652-RA	XP_034837952.1
OG0002426	Bany_04456-RA	XP_034835417.1
OG0002427	Bany_14408-RA	XP_034834722.1, XP_034834721.1, XP_034834723.1
OG0002428	Bany_05972-RA	XP_034827346.1
OG0002429	Bany_17056-RA, Bany_17055-RA	XP_034836122.1
OG0002430	Bany_04459-RA, Bany_00876-RA	XP_034835456.1
OG0002431	Bany_04460-RA	XP_034837673.1
OG0002432	Bany_16205-RA	XP_034839044.1
OG0002433	Bany_02760-RA	XP_034840356.1
OG0002434	Bany_09457-RA	XP_034833740.1, XP_034833739.1
OG0002435	Bany_17824-RA, Bany_17825-RA	XP_034837192.1
OG0002436	Bany_10738-RA	XP_034828362.1
OG0002437	Bany_00177-RA	XP_034840894.1
OG0002438	Bany_01068-RA	XP_034828020.1, XP_034828021.1
OG0002439	Bany_01070-RA	XP_034828026.1
OG0002440	Bany_06666-RA	XP_034838563.1
OG0002441	Bany_01073-RA	XP_034827655.1
OG0002442	Bany_16599-RA	XP_034836411.1
OG0002443	Bany_11929-RA, Bany_11930-RA	XP_034830031.1
OG0002444	Bany_10750-RA	XP_034828720.1
OG0002445	Bany_16214-RA	XP_034838975.1
OG0002446	Bany_01075-RA	XP_034828153.1, XP_034828152.1
OG0002447	Bany_17512-RA	XP_034836788.1, XP_034836787.1
OG0002448	Bany_10764-RA	XP_034828482.1
OG0002449	Bany_17082-RA	XP_034836163.1, XP_034836162.1
OG0002450	Bany_11304-RA	XP_034835181.1
OG0002451	Bany_17086-RA	XP_034836137.1
OG0002452	Bany_04485-RA	XP_034835487.1
OG0002453	Bany_06693-RA	XP_034838391.1
OG0002455	Bany_05313-RA	XP_034825155.1
OG0002456	Bany_12691-RA	XP_034838139.1
OG0002457	Bany_07285-RA	XP_034839431.1
OG0002458	Bany_17838-RA, Bany_17839-RA	XP_034837185.1
OG0002459	Bany_11316-RA	XP_034835399.1
OG0002460	Bany_08095-RA	XP_034830733.1
OG0002461	Bany_11319-RA	XP_034835324.1
OG0002462	Bany_16238-RA, Bany_16237-RA	XP_034838910.1
OG0002463	Bany_16607-RA	XP_034836487.1
OG0002464	Bany_14444-RA	XP_034834337.1
OG0002465	Bany_14445-RA	XP_034834338.1
OG0002466	Bany_11320-RA	XP_034835527.1
OG0002467	Bany_16245-RA	XP_034838744.1
OG0002469	Bany_12706-RA	XP_034838248.1
OG0002470	Bany_16249-RA	XP_034839108.1
OG0002471	Bany_13775-RA	XP_034831264.1
OG0002472	Bany_16252-RA	XP_034838740.1
OG0002473	Bany_17109-RA	XP_034835769.1
OG0002475	Bany_11947-RA	XP_034829665.1
OG0002477	Bany_11949-RA	XP_034830125.1
OG0002478	Bany_12896-RA	XP_034837890.1
OG0002479	Bany_17850-RA	XP_034837353.1, XP_034837135.1
OG0002480	Bany_08798-RA	XP_034832244.1
OG0002481	Bany_17853-RA, Bany_17855-RA, Bany_17852-RA	XP_034837340.1
OG0002483	Bany_09512-RA	XP_034834044.1
OG0002484	Bany_17113-RA	XP_034835931.1
OG0002485	Bany_16260-RA	XP_034838893.1
OG0002486	Bany_04155-RA, Bany_02060-RA	XP_034825926.1
OG0002487	Bany_03611-RA	XP_034825947.1
OG0002488	Bany_01106-RA	XP_034827906.1
OG0002489	Bany_10788-RA	XP_034828510.1
OG0002490	Bany_15008-RA	XP_034833167.1
OG0002491	Bany_11330-RA	XP_034835393.1
OG0002492	Bany_13206-RA, Bany_13205-RA	XP_034832575.1, XP_034832572.1, XP_034832574.1
OG0002493	Bany_02070-RA, Bany_02072-RA	XP_034825922.1
OG0002494	Bany_08172-RA, Bany_06721-RA	XP_034838384.1
OG0002495	Bany_04507-RA	XP_034839217.1
OG0002496	Bany_06722-RA	XP_034838638.1
OG0002497	Bany_10043-RA	XP_034824333.1
OG0002498	Bany_16278-RA	XP_034839049.1
OG0002499	Bany_17870-RA, Bany_17871-RA	XP_034837385.1
OG0002500	Bany_02073-RA	XP_034825912.1
OG0002501	Bany_08110-RA, Bany_08111-RA	XP_034830564.1, XP_034830565.1
OG0002502	Bany_07737-RA, Bany_04512-RA	XP_034832553.1
OG0002503	Bany_17123-RA	XP_034835935.1
OG0002504	Bany_15632-RA	XP_034829103.1
OG0002505	Bany_16285-RA	XP_034838886.1
OG0002506	Bany_11339-RA	XP_034835614.1
OG0002507	Bany_04521-RA	XP_034831342.1
OG0002508	Bany_08113-RA	XP_034830556.1
OG0002509	Bany_17125-RA	XP_034835939.1, XP_034835742.1
OG0002510	Bany_16312-RA, Bany_16287-RA	XP_034838938.1, XP_034838940.1
OG0002511	Bany_11965-RA, Bany_00695-RA, Bany_14598-RA	XP_034834967.1
OG0002512	Bany_06044-RA	XP_034826869.1
OG0002513	Bany_17128-RA	XP_034835938.1, XP_034835937.1
OG0002514	Bany_13219-RA	XP_034832817.1
OG0002515	Bany_08267-RA, Bany_02085-RA	XP_034825924.1
OG0002516	Bany_11343-RA	XP_034835046.1
OG0002517	Bany_06737-RA, Bany_06736-RA	XP_034838496.1, XP_034838497.1
OG0002518	Bany_08807-RA, Bany_08808-RA	XP_034832296.1
OG0002519	Bany_00234-RA	XP_034841558.1
OG0002520	Bany_05357-RA	XP_034825706.1
OG0002521	Bany_17876-RA	XP_034837164.1
OG0002522	Bany_13791-RA	XP_034831646.1
OG0002523	Bany_10808-RA	XP_034828811.1
OG0002524	Bany_17148-RA	XP_034836065.1
OG0002525	Bany_03637-RA	XP_034828090.1
OG0002526	Bany_06069-RA	XP_034827237.1
OG0002527	Bany_17883-RA	XP_034837322.1
OG0002528	Bany_06766-RA	XP_034838685.1
OG0002529	Bany_17165-RA	XP_034836042.1
OG0002530	Bany_04544-RA	XP_034835155.1
OG0002531	Bany_12780-RA	XP_034837904.1
OG0002532	Bany_06076-RA	XP_034827006.1
OG0002533	Bany_03657-RA	XP_034824079.1, XP_034824072.1
OG0002534	Bany_13807-RA	XP_034831121.1
OG0002535	Bany_11353-RA	XP_034835531.1
OG0002536	Bany_17168-RA	XP_034836031.1
OG0002537	Bany_05381-RA	XP_034825460.1
OG0002538	Bany_13816-RA	XP_034831112.1
OG0002539	Bany_02111-RA	XP_034826276.1
OG0002540	Bany_11984-RA	XP_034830142.1
OG0002541	Bany_07341-RA	XP_034839758.1
OG0002542	Bany_16318-RA	XP_034838880.1
OG0002543	Bany_02863-RA	XP_034840136.1
OG0002544	Bany_09535-RA	XP_034833890.1
OG0002545	Bany_03664-RA	XP_034829177.1
OG0002546	Bany_15039-RA	XP_034833340.1, XP_034833338.1, XP_034833339.1
OG0002547	Bany_02869-RA	XP_034840685.1
OG0002548	Bany_08141-RA	XP_034830568.1
OG0002549	Bany_17545-RA	XP_034836812.1, XP_034836811.1
OG0002550	Bany_14484-RA	XP_034834462.1
OG0002551	Bany_06107-RA	XP_034826998.1, XP_034826999.1
OG0002552	Bany_00521-RA, Bany_12808-RA	XP_034841163.1
OG0002553	Bany_01156-RA	XP_034827487.1
OG0002554	Bany_16651-RA	XP_034836399.1
OG0002555	Bany_07352-RA, Bany_06830-RA	XP_034829767.1, XP_034839833.1
OG0002556	Bany_13828-RA	XP_034831364.1, XP_034831362.1, XP_034831363.1
OG0002557	Bany_00259-RA	XP_034841512.1
OG0002558	Bany_05070-RA, Bany_01160-RA	XP_034836989.1
OG0002559	Bany_03677-RA	XP_034839190.1, XP_034839122.1
OG0002560	Bany_04578-RA, Bany_04577-RA	XP_034835950.1, XP_034835942.1
OG0002561	Bany_08836-RA	XP_034837761.1
OG0002562	Bany_11997-RA	XP_034829742.1, XP_034829741.1
OG0002563	Bany_17898-RA	XP_034837252.1
OG0002564	Bany_17194-RA	XP_034835914.1
OG0002565	Bany_12820-RA	XP_034838330.1
OG0002566	Bany_14496-RA, Bany_14492-RA	XP_034834443.1
OG0002567	Bany_15056-RA	XP_034833509.1
OG0002568	Bany_09555-RA	XP_034833780.1
OG0002569	Bany_08844-RA	XP_034832454.1
OG0002570	Bany_02884-RA	XP_034840376.1
OG0002571	Bany_02886-RA	XP_034840078.1, XP_034840077.1
OG0002572	Bany_13831-RA	XP_034831355.1
OG0002573	Bany_16357-RA, Bany_00525-RA, Bany_16358-RA	XP_034838861.1
OG0002574	Bany_00269-RA	XP_034841496.1
OG0002575	Bany_09561-RA	XP_034834222.1
OG0002576	Bany_03703-RA	XP_034826677.1, XP_034826676.1
OG0002577	Bany_06138-RA, Bany_06137-RA	XP_034827059.1
OG0002578	Bany_05398-RA	XP_034825376.1
OG0002579	Bany_12845-RA	XP_034837901.1
OG0002580	Bany_15066-RA	XP_034833517.1
OG0002581	Bany_02144-RA	XP_034826140.1
OG0002582	Bany_10106-RA	XP_034824527.1, XP_034824528.1, XP_034824526.1
OG0002583	Bany_06804-RA, Bany_06801-RA	XP_034838565.1
OG0002584	Bany_06151-RA	XP_034827062.1
OG0002585	Bany_00288-RA	XP_034841493.1
OG0002586	Bany_11408-RA	XP_034835316.1
OG0002587	Bany_09570-RA	XP_034833808.1
OG0002588	Bany_03713-RA	XP_034826536.1, XP_034826544.1, XP_034826530.1
OG0002591	Bany_12862-RA, Bany_12859-RA, Bany_12860-RA, Bany_12861-RA, Bany_12858-RA	XP_034837913.1
OG0002592	Bany_08181-RA	XP_034830861.1
OG0002593	Bany_02156-RA, Bany_02157-RA	XP_034826292.1
OG0002594	Bany_08869-RA	XP_034832123.1
OG0002595	Bany_02893-RA	XP_034840659.1, XP_034840658.1
OG0002596	Bany_03729-RA	XP_034826759.1
OG0002597	Bany_17209-RA	XP_034836112.1
OG0002598	Bany_06812-RA	XP_034838604.1, XP_034838605.1
OG0002599	Bany_09578-RA	XP_034833955.1, XP_034834225.1
OG0002600	Bany_11429-RA	XP_034835431.1, XP_034835430.1
OG0002601	Bany_09583-RA	XP_034833953.1
OG0002602	Bany_06820-RA	XP_034838611.1, XP_034838609.1
OG0002603	Bany_08877-RA	XP_034832155.1
OG0002604	Bany_00307-RA	XP_034824012.1
OG0002605	Bany_02902-RA	XP_034840288.1, XP_034840289.1, XP_034840290.1, XP_034840287.1
OG0002606	Bany_16399-RA	XP_034838842.1
OG0002607	Bany_17578-RA	XP_034836909.1
OG0002608	Bany_16402-RA	XP_034838954.1
OG0002609	Bany_04168-RA, Bany_11435-RA, Bany_11433-RA	XP_034835414.1
OG0002610	Bany_14135-RA, Bany_15080-RA, Bany_13962-RA	XP_034831590.1
OG0002611	Bany_08897-RA	XP_034832366.1, XP_034832368.1, XP_034832369.1
OG0002612	Bany_01183-RA	XP_034828233.1
OG0002613	Bany_13889-RA, Bany_13882-RA	XP_034831201.1
OG0002614	Bany_08898-RA	XP_034832364.1, XP_034832363.1
OG0002615	Bany_15670-RA	XP_034829008.1
OG0002616	Bany_05438-RA	XP_034825555.1
OG0002617	Bany_08195-RA	XP_034830951.1
OG0002618	Bany_17940-RA	XP_034837106.1
OG0002619	Bany_05440-RA	XP_034825557.1
OG0002620	Bany_02913-RA	XP_034840759.1
OG0002621	Bany_09590-RA	XP_034837397.1
OG0002622	Bany_05445-RA	XP_034825055.1, XP_034825056.1
OG0002623	Bany_11444-RA	XP_034835550.1
OG0002624	Bany_00330-RA, Bany_00329-RA	XP_034840940.1
OG0002625	Bany_15674-RA	XP_034829186.1
OG0002626	Bany_11453-RA, Bany_11454-RA	XP_034835412.1
OG0002627	Bany_04629-RA	XP_034838924.1
OG0002628	Bany_00332-RA	XP_034840937.1
OG0002629	Bany_14532-RA	XP_034835011.1, XP_034835012.1
OG0002630	Bany_11459-RA	XP_034835373.1
OG0002631	Bany_02920-RA, Bany_02919-RA	XP_034840753.1
OG0002633	Bany_04636-RA, Bany_04638-RA	XP_034837791.1
OG0002634	Bany_16433-RA	XP_034838814.1
OG0002635	Bany_17589-RA	XP_034836950.1
OG0002636	Bany_03777-RA	XP_034826235.1
OG0002637	Bany_06198-RA	XP_034827322.1, XP_034827321.1
OG0002638	Bany_15677-RA	XP_034829190.1
OG0002639	Bany_06199-RA	XP_034827319.1
OG0002640	Bany_11470-RA	XP_034835356.1, XP_034835354.1
OG0002641	Bany_17590-RA	XP_034836967.1
OG0002642	Bany_07414-RA	XP_034839812.1, XP_034839813.1
OG0002643	Bany_11474-RA	XP_034835359.1, XP_034835360.1
OG0002644	Bany_01218-RA	XP_034828299.1
OG0002645	Bany_04649-RA	XP_034833481.1
OG0002646	Bany_13916-RA	XP_034831172.1
OG0002647	Bany_16695-RA	XP_034836313.1
OG0002648	Bany_14565-RA	XP_034834795.1
OG0002649	Bany_02929-RA	XP_034840606.1
OG0002650	Bany_04659-RA	XP_034834607.1
OG0002651	Bany_01223-RA	XP_034827532.1
OG0002652	Bany_06873-RA	XP_034838516.1
OG0002653	Bany_00358-RA	XP_034840942.1, XP_034840941.1
OG0002654	Bany_10879-RA	XP_034828710.1
OG0002655	Bany_00359-RA	XP_034840981.1
OG0002656	Bany_13321-RA	XP_034832731.1
OG0002657	Bany_13323-RA	XP_034832814.1
OG0002658	Bany_00365-RA, Bany_00364-RA	XP_034841456.1
OG0002659	Bany_11493-RA	XP_034835357.1
OG0002661	Bany_02205-RA	XP_034826662.1, XP_034826663.1
OG0002662	Bany_00366-RA	XP_034824093.1, XP_034824089.1, XP_034824092.1
OG0002663	Bany_06880-RA	XP_034838423.1
OG0002664	Bany_17976-RA	XP_034837444.1
OG0002665	Bany_03803-RA, Bany_03802-RA	XP_034827440.1
OG0002666	Bany_13924-RA	XP_034831059.1
OG0002667	Bany_17977-RA, Bany_05639-RA	XP_034837446.1
OG0002668	Bany_17244-RA, Bany_17245-RA	XP_034836217.1
OG0002669	Bany_14683-RA, Bany_08227-RA	XP_034830892.1
OG0002670	Bany_10503-RA	XP_034824361.1
OG0002671	Bany_10163-RA	XP_034824443.1
OG0002672	Bany_01236-RA	XP_034828310.1
OG0002673	Bany_15117-RA	XP_034833655.1
OG0002674	Bany_04670-RA	XP_034832404.1
OG0002675	Bany_12068-RA	XP_034829866.1, XP_034829865.1
OG0002676	Bany_04671-RA	XP_034832393.1
OG0002677	Bany_02950-RA	XP_034840611.1
OG0002678	Bany_11497-RA	XP_034835379.1
OG0002679	Bany_13937-RA, Bany_13936-RA	XP_034831046.1
OG0002680	Bany_00374-RA	XP_034841362.1
OG0002681	Bany_01247-RA, Bany_01252-RA	XP_034827560.1
OG0002682	Bany_11499-RA	XP_034835337.1
OG0002683	Bany_17983-RA	XP_034837173.1
OG0002684	Bany_10891-RA	XP_034828468.1, XP_034828469.1
OG0002685	Bany_06895-RA	XP_034838597.1, XP_034838427.1
OG0002686	Bany_01254-RA	XP_034827564.1
OG0002687	Bany_12075-RA	XP_034829871.1
OG0002688	Bany_13939-RA	XP_034831044.1
OG0002689	Bany_17254-RA	XP_034835954.1
OG0002690	Bany_10184-RA	XP_034824438.1
OG0002691	Bany_13945-RA	XP_034831057.1
OG0002692	Bany_09627-RA	XP_034834279.1
OG0002693	Bany_03822-RA	XP_034840574.1, XP_034828920.1
OG0002694	Bany_17258-RA	XP_034835985.1
OG0002695	Bany_02224-RA	XP_034826070.1
OG0002696	Bany_16721-RA	XP_034836588.1
OG0002697	Bany_07471-RA	XP_034839502.1
OG0002698	Bany_10189-RA	XP_034824968.1
OG0002699	Bany_17998-RA	XP_034837296.1
OG0002700	Bany_13953-RA	XP_034831419.1
OG0002701	Bany_15716-RA	XP_034829455.1
OG0002702	Bany_18001-RA	XP_034837081.1
OG0002703	Bany_07474-RA	XP_034839285.1, XP_034839284.1, XP_034839283.1
OG0002704	Bany_11521-RA	XP_034835029.1
OG0002705	Bany_17613-RA	XP_034836853.1
OG0002706	Bany_17614-RA	XP_034836819.1
OG0002707	Bany_06904-RA	XP_034838431.1
OG0002709	Bany_01293-RA	XP_034827950.1
OG0002710	Bany_00391-RA	XP_034841232.1
OG0002711	Bany_09647-RA	XP_034833895.1
OG0002712	Bany_11536-RA	XP_034835606.1
OG0002713	Bany_09649-RA	XP_034833904.1
OG0002714	Bany_18021-RA	XP_034837053.1
OG0002715	Bany_15725-RA	XP_034829345.1
OG0002716	Bany_13356-RA	XP_034832543.1
OG0002717	Bany_15726-RA	XP_034829366.1
OG0002718	Bany_00399-RA, Bany_00401-RA	XP_034841299.1
OG0002719	Bany_14603-RA	XP_034837839.1
OG0002720	Bany_07491-RA	XP_034839494.1
OG0002721	Bany_02246-RA	XP_034825856.1
OG0002722	Bany_03004-RA	XP_034840270.1
OG0002723	Bany_12094-RA	XP_034834380.1, XP_034829639.1, XP_034829634.1
OG0002724	Bany_15149-RA	XP_034833128.1
OG0002725	Bany_15731-RA	XP_034829347.1
OG0002726	Bany_09668-RA	XP_034834026.1
OG0002727	Bany_11557-RA	XP_034835233.1, XP_034835232.1
OG0002728	Bany_02257-RA	XP_034825870.1
OG0002729	Bany_15157-RA, Bany_15158-RA	XP_034833471.1
OG0002730	Bany_10216-RA	XP_034824818.1
OG0002731	Bany_18034-RA	XP_034837169.1
OG0002732	Bany_01313-RA, Bany_01318-RA	XP_034828002.1, XP_034828001.1
OG0002733	Bany_00408-RA	XP_034841166.1
OG0002734	Bany_06953-RA	XP_034837643.1
OG0002735	Bany_14619-RA	XP_034834373.1, XP_034834372.1
OG0002736	Bany_17631-RA, Bany_17632-RA, Bany_17633-RA	XP_034836824.1
OG0002737	Bany_07507-RA, Bany_07506-RA	XP_034839762.1
OG0002738	Bany_17635-RA, Bany_17634-RA	XP_034836702.1
OG0002739	Bany_18040-RA	XP_034837179.1
OG0002740	Bany_13377-RA, Bany_13378-RA	XP_034832533.1
OG0002741	Bany_03047-RA, Bany_03042-RA, Bany_03043-RA, Bany_03045-RA	XP_034840217.1
OG0002742	Bany_13380-RA	XP_034832547.1, XP_034832546.1
OG0002743	Bany_10227-RA	XP_034824812.1
OG0002744	Bany_13976-RA	XP_034831489.1
OG0002745	Bany_03855-RA	XP_034829513.1
OG0002746	Bany_03856-RA	XP_034824900.1
OG0002747	Bany_05554-RA	XP_034825669.1
OG0002748	Bany_14628-RA	XP_034834589.1
OG0002749	Bany_08272-RA	XP_034830385.1
OG0002750	Bany_07515-RA	XP_034839840.1, XP_034839839.1
OG0002751	Bany_05556-RA	XP_034825744.1
OG0002752	Bany_15751-RA, Bany_15750-RA	XP_034829439.1
OG0002753	Bany_04721-RA	XP_034837972.1
OG0002754	Bany_01342-RA	XP_034828251.1
OG0002755	Bany_13978-RA	XP_034831610.1
OG0002756	Bany_18052-RA	XP_034837277.1
OG0002757	Bany_10239-RA	XP_034824616.1, XP_034824617.1, XP_034824615.1
OG0002758	Bany_13981-RA	XP_034831608.1, XP_034831606.1
OG0002759	Bany_11583-RA	XP_034835113.1
OG0002760	Bany_07527-RA	XP_034839290.1
OG0002761	Bany_17296-RA	XP_034835791.1, XP_034835792.1
OG0002762	Bany_11585-RA	XP_034835589.1
OG0002763	Bany_15764-RA	XP_034829155.1
OG0002764	Bany_06272-RA	XP_034827379.1
OG0002765	Bany_10248-RA	XP_034824629.1, XP_034824627.1, XP_034824628.1
OG0002766	Bany_04729-RA, Bany_04728-RA, Bany_04727-RA	XP_034830759.1
OG0002767	Bany_11592-RA	XP_034835560.1
OG0002768	Bany_08989-RA	XP_034832323.1
OG0002769	Bany_09682-RA	XP_034833838.1
OG0002770	Bany_08990-RA	XP_034832327.1
OG0002771	Bany_00441-RA	XP_034823926.1
OG0002772	Bany_08991-RA	XP_034832328.1, XP_034832329.1
OG0002773	Bany_00442-RA	XP_034823923.1
OG0002774	Bany_12129-RA	XP_034829545.1
OG0002775	Bany_04732-RA	XP_034834420.1
OG0002776	Bany_06281-RA	XP_034827160.1
OG0002777	Bany_17654-RA	XP_034836741.1
OG0002778	Bany_07536-RA	XP_034839612.1
OG0002780	Bany_07538-RA	XP_034839384.1
OG0002782	Bany_15787-RA, Bany_15786-RA	XP_034828984.1
OG0002783	Bany_02297-RA	XP_034826652.1
OG0002784	Bany_10934-RA	XP_034828832.1
OG0002785	Bany_05568-RA	XP_034825754.1
OG0002786	Bany_07551-RA	XP_034839408.1
OG0002787	Bany_14755-RA, Bany_13391-RA	XP_034834988.1, XP_034834642.1
OG0002788	Bany_03082-RA	XP_034840073.1
OG0002789	Bany_01375-RA, Bany_01374-RA	XP_034827991.1
OG0002790	Bany_12140-RA	XP_034829882.1, XP_034829883.1
OG0002791	Bany_17305-RA	XP_034835836.1
OG0002792	Bany_13396-RA	XP_034832740.1
OG0002793	Bany_09699-RA	XP_034834039.1
OG0002794	Bany_05860-RA, Bany_13400-RA	XP_034832743.1
OG0002795	Bany_15205-RA	XP_034833630.1
OG0002796	Bany_10285-RA	XP_034824975.1
OG0002797	Bany_09702-RA	XP_034834202.1
OG0002798	Bany_07639-RA, Bany_10286-RA	XP_034839690.1
OG0002799	Bany_00468-RA	XP_034840819.1
OG0002800	Bany_06302-RA	XP_034827150.1
OG0002801	Bany_00471-RA	XP_034841257.1
OG0002802	Bany_06999-RA	XP_034837554.1
OG0002803	Bany_17308-RA	XP_034835846.1, XP_034835845.1
OG0002804	Bany_18071-RA	XP_034837283.1
OG0002805	Bany_11611-RA	XP_034835564.1
OG0002806	Bany_12145-RA	XP_034829879.1
OG0002807	Bany_13416-RA	XP_034833087.1
OG0002808	Bany_18073-RA	XP_034837360.1
OG0002809	Bany_10295-RA, Bany_10298-RA	XP_034824685.1
OG0002810	Bany_14669-RA	XP_034834341.1
OG0002811	Bany_03379-RA, Bany_01403-RA, Bany_01401-RA	XP_034839927.1
OG0002812	Bany_10300-RA	XP_034824663.1
OG0002813	Bany_14872-RA, Bany_16800-RA	XP_034836373.1
OG0002814	Bany_18077-RA	XP_034837362.1
OG0002815	Bany_05584-RA	XP_034825061.1
OG0002816	Bany_13992-RA	XP_034831631.1
OG0002817	Bany_03109-RA, Bany_14757-RA	XP_034834989.1
OG0002818	Bany_10309-RA	XP_034824684.1, XP_034824683.1
OG0002819	Bany_00492-RA	XP_034823928.1
OG0002820	Bany_10310-RA	XP_034824823.1, XP_034824693.1
OG0002821	Bany_15811-RA	XP_034829374.1, XP_034831598.1
OG0002822	Bany_15812-RA	XP_034829379.1, XP_034829380.1
OG0002823	Bany_02328-RA	XP_034826319.1
OG0002824	Bany_04788-RA	XP_034836502.1
OG0002825	Bany_06313-RA	XP_034827082.1, XP_034827084.1, XP_034827083.1
OG0002826	Bany_03111-RA	XP_034840364.1
OG0002827	Bany_10318-RA	XP_034824682.1, XP_034824681.1
OG0002828	Bany_07573-RA	XP_034839353.1
OG0002829	Bany_18090-RA, Bany_18089-RA	XP_034837321.1
OG0002830	Bany_09743-RA	XP_034833770.1
OG0002831	Bany_07582-RA	XP_034839480.1
OG0002832	Bany_03929-RA	XP_034829074.1
OG0002833	Bany_03931-RA	XP_034835903.1
OG0002834	Bany_01432-RA	XP_034828317.1
OG0002835	Bany_09030-RA	XP_034832124.1
OG0002836	Bany_01436-RA	XP_034827739.1, XP_034827738.1, XP_034827740.1
OG0002837	Bany_11652-RA	XP_034835570.1
OG0002838	Bany_05833-RA, Bany_09756-RA	XP_034825437.1
OG0002839	Bany_03945-RA, Bany_03943-RA	XP_034840337.1
OG0002840	Bany_09041-RA	XP_034832391.1, XP_034832390.1
OG0002841	Bany_03948-RA	XP_034825215.1
OG0002842	Bany_09046-RA	XP_034831997.1
OG0002843	Bany_12161-RA	XP_034829643.1
OG0002844	Bany_14710-RA, Bany_06439-RA	XP_034834552.1
OG0002845	Bany_16811-RA	XP_034836273.1
OG0002846	Bany_17328-RA	XP_034836020.1
OG0002847	Bany_16812-RA	XP_034836534.1
OG0002848	Bany_00534-RA, Bany_00537-RA	XP_034824166.1
OG0002849	Bany_10966-RA	XP_034828339.1
OG0002850	Bany_13438-RA	XP_034832874.1
OG0002851	Bany_12174-RA	XP_034829901.1
OG0002852	Bany_13441-RA	XP_034832904.1
OG0002853	Bany_14717-RA	XP_034834521.1
OG0002854	Bany_11669-RA	XP_034835494.1, XP_034835642.1
OG0002855	Bany_02339-RA	XP_034826201.1
OG0002856	Bany_15834-RA	XP_034829260.1
OG0002857	Bany_12180-RA	XP_034830065.1
OG0002858	Bany_09761-RA	XP_034833711.1
OG0002859	Bany_14720-RA	XP_034834554.1
OG0002860	Bany_15252-RA	XP_034833393.1
OG0002861	Bany_05628-RA	XP_034825599.1
OG0002862	Bany_18105-RA	XP_034837432.1
OG0002863	Bany_10969-RA, Bany_10970-RA	XP_034828341.1
OG0002864	Bany_05633-RA	XP_034825605.1
OG0002865	Bany_02350-RA	XP_034826262.1
OG0002866	Bany_05638-RA	XP_034835196.1
OG0002867	Bany_13459-RA	XP_034832829.1
OG0002868	Bany_17345-RA	XP_034835876.1
OG0002869	Bany_16836-RA	XP_034836270.1
OG0002870	Bany_17346-RA, Bany_17347-RA	XP_034836182.1
OG0002871	Bany_01489-RA, Bany_01490-RA	XP_034828060.1
OG0002872	Bany_08380-RA	XP_034830439.1
OG0002873	Bany_05659-RA	XP_034825723.1
OG0002874	Bany_12213-RA	XP_034829970.1
OG0002875	Bany_03973-RA	XP_034828167.1
OG0002876	Bany_09083-RA	XP_034832340.1
OG0002877	Bany_11691-RA	XP_034835467.1
OG0002878	Bany_13471-RA	XP_034832647.1, XP_034832646.1
OG0002879	Bany_09777-RA, Bany_09778-RA	XP_034834153.1
OG0002880	Bany_13474-RA, Bany_13472-RA	XP_034833097.1
OG0002881	Bany_13476-RA	XP_034833096.1
OG0002882	Bany_09788-RA	XP_034834155.1, XP_034833840.1
OG0002883	Bany_05675-RA	XP_034825718.1, XP_034825717.1, XP_034825719.1
OG0002884	Bany_15294-RA	XP_034833148.1
OG0002885	Bany_17360-RA	XP_034836194.1
OG0002886	Bany_06362-RA	XP_034826755.1
OG0002887	Bany_14050-RA	XP_034831081.1
OG0002888	Bany_15861-RA	XP_034840377.1
OG0002889	Bany_02370-RA	XP_034826571.1
OG0002890	Bany_08388-RA	XP_034830446.1, XP_034830448.1
OG0002891	Bany_10351-RA	XP_034824381.1
OG0002892	Bany_00579-RA	XP_034840817.1
OG0002893	Bany_07648-RA	XP_034839700.1
OG0002894	Bany_07041-RA	XP_034837700.1
OG0002895	Bany_13486-RA, Bany_11046-RA	XP_034828881.1
OG0002896	Bany_06367-RA, Bany_06369-RA	XP_034827091.1
OG0002897	Bany_15308-RA	XP_034833541.1
OG0002898	Bany_10358-RA	XP_034824190.1
OG0002899	Bany_16863-RA	XP_034836646.1
OG0002900	Bany_10361-RA	XP_034824929.1
OG0002901	Bany_10365-RA	XP_034824209.1
OG0002902	Bany_16869-RA	XP_034836654.1
OG0002903	Bany_07047-RA, Bany_07045-RA	XP_034837749.1
OG0002904	Bany_17386-RA	XP_034836027.1
OG0002905	Bany_10996-RA	XP_034828635.1, XP_034828634.1
OG0002907	Bany_09131-RA	XP_034831784.1
OG0002908	Bany_17388-RA	XP_034836028.1
OG0002909	Bany_09803-RA	XP_034833825.1
OG0002910	Bany_12254-RA	XP_034829759.1
OG0002911	Bany_09806-RA	XP_034833769.1
OG0002912	Bany_07673-RA	XP_034839134.1
OG0002913	Bany_08405-RA, Bany_08406-RA	XP_034830310.1
OG0002914	Bany_07675-RA	XP_034839141.1, XP_034839140.1
OG0002915	Bany_00611-RA	XP_034841454.1
