Orthogroup	Bicyclus_anynana	Heliconius_melpomene_melpomene
OG0001958	Bany_17581-RA	HMEL016327g1.t1
OG0001959	Bany_12921-RA, Bany_07693-RA	HMEL012089g1.t1
OG0001960	Bany_08287-RA, Bany_08208-RA	HMEL032775g1.t1
OG0001961	Bany_06849-RA	HMEL009328g1.t1
OG0001961	Bany_03173-RA	HMEL037414g1.t1
OG0001962	Bany_11458-RA	HMEL013414g1.t1
OG0001963	Bany_15675-RA	HMEL017513g1.t1, HMEL017517g1.t1
OG0001964	Bany_13300-RA	HMEL011141-RA
OG0001965	Bany_02187-RA	HMEL005669g1.t1
OG0001966	Bany_16685-RA, Bany_16684-RA	HMEL003054g1.t1
OG0001967	Bany_12058-RA, Bany_12062-RA	HMEL005351g1.t1
OG0001968	Bany_05468-RA	HMEL018043g1.t1
OG0001969	Bany_03779-RA	HMEL012457g1.t1
OG0001970	Bany_05469-RA	HMEL020917g1.t1
OG0001971	Bany_02197-RA	HMEL007961g1.t1
OG0001972	Bany_11485-RA	HMEL032578g1.t1
OG0001973	Bany_10877-RA	HMEL036095g1.t1
OG0001974	Bany_13322-RA	HMEL033647g1.t1
OG0001975	Bany_01230-RA	HMEL033191g1.t1
OG0001976	Bany_06204-RA	HMEL034805g1.t1, HMEL016101g1.t1
OG0001977	Bany_08225-RA	HMEL032824g1.t1, HMEL032797g1.t1
OG0001978	Bany_06883-RA	HMEL009356g1.t1
OG0001979	Bany_16710-RA	HMEL021151g1.t1, HMEL007544g1.t1, HMEL021576g1.t1
OG0001980	Bany_13926-RA	HMEL017906g1.t1
OG0001981	Bany_02208-RA	HMEL007526g1.t1
OG0001983	Bany_15689-RA, Bany_15688-RA	HMEL003068g1.t1
OG0001984	Bany_13935-RA	HMEL017910g1.t1
OG0001985	Bany_02957-RA, Bany_07863-RA	HMEL016154g1.t1
OG0001986	Bany_13938-RA	HMEL037547g1.t1
OG0001987	Bany_02218-RA	HMEL017974g1.t1, HMEL031552g1.t1, HMEL017975g1.t1
OG0001988	Bany_12077-RA	HMEL005364g1.t1
OG0001990	Bany_13948-RA	HMEL021710g1.t1
OG0001991	Bany_02972-RA	HMEL014070g1.t1
OG0001992	Bany_17262-RA	HMEL013594g1.t1
OG0001993	Bany_11515-RA	HMEL032570g1.t1
OG0001994	Bany_12084-RA	HMEL005368g1.t1, HMEL005367g1.t1
OG0001995	Bany_11517-RA, Bany_11518-RA	HMEL005529g1.t1
OG0001996	Bany_02229-RA	HMEL011003g1.t1
OG0001997	Bany_08961-RA	HMEL003590g1.t1
OG0001999	Bany_02232-RA	HMEL011006g1.t1
OG0002000	Bany_08246-RA, Bany_03110-RA	HMEL008264g1.t1
OG0002001	Bany_06247-RA, Bany_07477-RA	HMEL012854g1.t1
OG0002003	Bany_13350-RA	HMEL033494g1.t1
OG0002004	Bany_10200-RA, Bany_10198-RA	HMEL031911g1.t1
OG0002005	Bany_08250-RA	HMEL010583g1.t1
OG0002006	Bany_06246-RA	HMEL012212g1.t1, HMEL012211g1.t1
OG0002008	Bany_04684-RA	HMEL006931g1.t1, HMEL007805g1.t1
OG0002009	Bany_14600-RA	HMEL012240g1.t1
OG0002010	Bany_09654-RA	HMEL037951g1.t1
OG0002012	Bany_13956-RA	HMEL037706g1.t1
OG0002013	Bany_09659-RA	HMEL038023g1.t1
OG0002014	Bany_06930-RA	HMEL015879g1.t1
OG0002015	Bany_16729-RA	HMEL032149g1.t1
OG0002016	Bany_12106-RA	HMEL037031g1.t1
OG0002017	Bany_15160-RA	HMEL036515g1.t1
OG0002018	Bany_17630-RA	HMEL017112g1.t1
OG0002019	Bany_18032-RA, Bany_18031-RA	HMEL016868g1.t1
OG0002021	Bany_00413-RA	HMEL006268g1.t1
OG0002022	Bany_18038-RA	HMEL016873g1.t1
OG0002023	Bany_13375-RA	HMEL021562g1.t1
OG0002024	Bany_08977-RA	HMEL012675g1.t1
OG0002025	Bany_14623-RA	HMEL008945g1.t1
OG0002026	Bany_00416-RA	HMEL006266g1.t1
OG0002027	Bany_05553-RA	HMEL014853g1.t1
OG0002028	Bany_05555-RA	HMEL033820g1.t1
OG0002029	Bany_10921-RA	HMEL021227g1.t1
OG0002030	Bany_11579-RA	HMEL020272g1.t1, HMEL032634g1.t1
OG0002031	Bany_00431-RA	HMEL006254g1.t1
OG0002032	Bany_03057-RA, Bany_03054-RA	HMEL012124g1.t1
OG0002034	Bany_10923-RA	HMEL036076g1.t1
OG0002035	Bany_12121-RA	HMEL016779g1.t1
OG0002037	Bany_16744-RA	HMEL007173-RA
OG0002037	Bany_16743-RA	HMEL007174-RA
OG0002038	Bany_06273-RA	HMEL012870g1.t1
OG0002039	Bany_08290-RA	HMEL005388g1.t1
OG0002041	Bany_06277-RA	HMEL012865g1.t1
OG0002042	Bany_12130-RA	HMEL016787g1.t1
OG0002043	Bany_00446-RA	HMEL006241g1.t1
OG0002044	Bany_04738-RA	HMEL030832g1.t1
OG0002045	Bany_02292-RA	HMEL030680g1.t1
OG0002045	Bany_02291-RA	HMEL005868g1.t1
OG0002046	Bany_04740-RA	HMEL013335g1.t1
OG0002047	Bany_04741-RA	HMEL013334g1.t1
OG0002049	Bany_03078-RA	HMEL035893g1.t1
OG0002050	Bany_04756-RA	HMEL013326g1.t1
OG0002051	Bany_07552-RA	HMEL007271g1.t1
OG0002052	Bany_03882-RA	HMEL011633g1.t1
OG0002053	Bany_06294-RA	HMEL005616g1.t1
OG0002054	Bany_10282-RA	HMEL009730g1.t1
OG0002055	Bany_03883-RA	HMEL011631g1.t1
OG0002056	Bany_06296-RA, Bany_06298-RA	HMEL004981g1.t1
OG0002057	Bany_06301-RA	HMEL008270g1.t1
OG0002058	Bany_03885-RA	HMEL030284g1.t1
OG0002060	Bany_04775-RA	HMEL013312g1.t1
OG0002061	Bany_09714-RA	HMEL038050g1.t1
OG0002062	Bany_00479-RA	HMEL031067g1.t1
OG0002063	Bany_01395-RA	HMEL033282g1.t1
OG0002064	Bany_13419-RA	HMEL006571g1.t1
OG0002065	Bany_03898-RA	HMEL002293g1.t1
OG0002066	Bany_11618-RA	HMEL032592g1.t1
OG0002068	Bany_07569-RA	HMEL003963g1.t1
OG0002069	Bany_05585-RA	HMEL016682g1.t1
OG0002070	Bany_08337-RA	HMEL004550g1.t1
OG0002071	Bany_13995-RA	HMEL008260g1.t1
OG0002072	Bany_05590-RA	HMEL016685g1.t1
OG0002073	Bany_00494-RA	HMEL015157g1.t1
OG0002074	Bany_00847-RA, Bany_18085-RA	HMEL034653g1.t1
OG0002075	Bany_15223-RA	HMEL005005g1.t1
OG0002076	Bany_10951-RA	HMEL008042g1.t1
OG0002077	Bany_10952-RA	HMEL011513g1.t1
OG0002078	Bany_05599-RA	HMEL016690g1.t1
OG0002079	Bany_09027-RA	HMEL003482g1.t1, HMEL003481g1.t1
OG0002080	Bany_01439-RA, Bany_01438-RA	HMEL016095g1.t1
OG0002081	Bany_11658-RA	HMEL007605g1.t1
OG0002082	Bany_15830-RA	HMEL014936g1.t1
OG0002083	Bany_07012-RA	HMEL015005g1.t1
OG0002084	Bany_11661-RA, Bany_11662-RA	HMEL004540g1.t1
OG0002085	Bany_05624-RA	HMEL016705-RA
OG0002086	Bany_17331-RA	HMEL007020g1.t1
OG0002087	Bany_12178-RA	HMEL003891g1.t1
OG0002088	Bany_02344-RA	HMEL011840g1.t1
OG0002089	Bany_14722-RA	HMEL036803g1.t1
OG0002091	Bany_01479-RA	HMEL014358g1.t1
OG0002092	Bany_02355-RA	HMEL004372g1.t1
OG0002093	Bany_08373-RA	HMEL032747g1.t1
OG0002094	Bany_15262-RA	HMEL017805g1.t1, HMEL036372g1.t1
OG0002095	Bany_09073-RA	HMEL011964g1.t1
OG0002096	Bany_01487-RA	HMEL014363g1.t1
OG0002097	Bany_15270-RA	HMEL036368g1.t1
OG0002098	Bany_05647-RA	HMEL005887g1.t1
OG0002099	Bany_04834-RA	HMEL030804g1.t1
OG0002100	Bany_11684-RA	HMEL032330g1.t1
OG0002101	Bany_10343-RA, Bany_10341-RA	HMEL006685g1.t1
OG0002103	Bany_11692-RA	HMEL014250g1.t1, HMEL004897-RA
OG0002104	Bany_06353-RA	HMEL012803g1.t1
OG0002105	Bany_08382-RA, Bany_08383-RA, Bany_08384-RA, Bany_08386-RA	HMEL016726g1.t1
OG0002106	Bany_06358-RA, Bany_06356-RA	HMEL012804g1.t1
OG0002107	Bany_03984-RA	HMEL012833g1.t1
OG0002108	Bany_09786-RA	HMEL004952g1.t1
OG0002109	Bany_13479-RA	HMEL009393g1.t1
OG0002110	Bany_02365-RA	HMEL007597g1.t1
OG0002111	Bany_04841-RA	HMEL005949g1.t1
OG0002112	Bany_11704-RA	HMEL004687g1.t1, HMEL022313g1.t1, HMEL016292g1.t1
OG0002113	Bany_06360-RA	HMEL004387g1.t1
OG0002114	Bany_15297-RA, Bany_12436-RA	HMEL036347g1.t1
OG0002115	Bany_14048-RA	HMEL037643g1.t1, HMEL037644g1.t1, HMEL002409g1.t1
OG0002116	Bany_17361-RA	HMEL005276g1.t1
OG0002117	Bany_10353-RA	HMEL015651g1.t1
OG0002118	Bany_08392-RA	HMEL009851g1.t1
OG0002119	Bany_10356-RA	HMEL015647g1.t1, HMEL031979g1.t1
OG0002120	Bany_12238-RA	HMEL014671g1.t1
OG0002121	Bany_01507-RA	HMEL003153g1.t1
OG0002122	Bany_03168-RA	HMEL007697g1.t1
OG0002123	Bany_07665-RA	HMEL008048g1.t1
OG0002124	Bany_09125-RA, Bany_09124-RA	HMEL015301g1.t1
OG0002125	Bany_12251-RA, Bany_12250-RA	HMEL037068g1.t1
OG0002126	Bany_03992-RA	HMEL012836g1.t1
OG0002127	Bany_08403-RA	HMEL032735g1.t1
OG0002128	Bany_07682-RA	HMEL003979g1.t1
OG0002129	Bany_04006-RA	HMEL033019g1.t1
OG0002129	Bany_04005-RA	HMEL016407g1.t1
OG0002130	Bany_07057-RA	HMEL014993g1.t1
OG0002132	Bany_15324-RA	HMEL003676g1.t1
OG0002133	Bany_04885-RA	HMEL015948g1.t1
OG0002134	Bany_12271-RA	HMEL037079g1.t1
OG0002135	Bany_07686-RA, Bany_07687-RA	HMEL012100g1.t1
OG0002136	Bany_05707-RA, Bany_05703-RA	HMEL017704g1.t1
OG0002137	Bany_13507-RA	HMEL010590g1.t1
OG0002138	Bany_15343-RA	HMEL017420g1.t1
OG0002139	Bany_07088-RA	HMEL030034g1.t1
OG0002140	Bany_14150-RA	HMEL007789g1.t1
OG0002141	Bany_14153-RA	HMEL037722g1.t1
OG0002142	Bany_12297-RA	HMEL004758g1.t1
OG0002143	Bany_12298-RA	HMEL004757g1.t1
OG0002144	Bany_12300-RA	HMEL004756g1.t1
OG0002146	Bany_03206-RA	HMEL007761g1.t1
OG0002146	Bany_03205-RA	HMEL037777g1.t1
OG0002147	Bany_11026-RA	HMEL035959g1.t1, HMEL035958g1.t1
OG0002148	Bany_00656-RA	HMEL003317g1.t1
OG0002149	Bany_08447-RA	HMEL006365g1.t1
OG0002150	Bany_08449-RA	HMEL032713g1.t1, HMEL037780g1.t1
OG0002151	Bany_14830-RA	HMEL031986g1.t1, HMEL036294g1.t1, HMEL036849g1.t1, HMEL036663g1.t1, HMEL035317g1.t1, HMEL035593g1.t1, HMEL035927g1.t1, HMEL013520g1.t1, HMEL034375g1.t1, HMEL007308g1.t1
OG0002152	Bany_06425-RA	HMEL003642g1.t1
OG0002153	Bany_02422-RA	HMEL002896g1.t1
OG0002154	Bany_15973-RA	HMEL034210g1.t1
OG0002155	Bany_01612-RA	HMEL010625g1.t1
OG0002156	Bany_10424-RA	HMEL032028g1.t1
OG0002158	Bany_11811-RA	HMEL032326g1.t1
OG0002159	Bany_13548-RA, Bany_13547-RA	HMEL032990g1.t1
OG0002160	Bany_13550-RA	HMEL032989g1.t1
OG0002161	Bany_09208-RA	HMEL011476g1.t1
OG0002162	Bany_01619-RA	HMEL032104g1.t1
OG0002163	Bany_04935-RA	HMEL030968g1.t1
OG0002164	Bany_08481-RA	HMEL000055g1.t1
OG0002165	Bany_00697-RA	HMEL015269g1.t1
OG0002166	Bany_13562-RA	HMEL014304g1.t1
OG0002167	Bany_04100-RA, Bany_04101-RA, Bany_04102-RA	HMEL011434-RA
OG0002168	Bany_09221-RA	HMEL012626g1.t1
OG0002169	Bany_11067-RA	HMEL035968g1.t1
OG0002169	Bany_11069-RA	HMEL035969g1.t1
OG0002170	Bany_07744-RA	HMEL016641g1.t1
OG0002171	Bany_09227-RA	HMEL012634g1.t1
OG0002172	Bany_02452-RA	HMEL011115g1.t1
OG0002173	Bany_13579-RA	HMEL032980g1.t1
OG0002175	Bany_07146-RA	HMEL022585g1.t1
OG0002176	Bany_09243-RA	HMEL033973g1.t1, HMEL035397g1.t1, HMEL034174g1.t1
OG0002177	Bany_14206-RA	HMEL037751g1.t1
OG0002178	Bany_04129-RA	HMEL033078g1.t1
OG0002179	Bany_04130-RA	HMEL033079g1.t1
OG0002182	Bany_13597-RA	HMEL011150g1.t1
OG0002184	Bany_08556-RA	HMEL000003g1.t1
OG0002185	Bany_05777-RA	HMEL003098g1.t1
OG0002186	Bany_08564-RA	HMEL002012g1.t1
OG0002187	Bany_05782-RA	HMEL033764g1.t1
OG0002188	Bany_12389-RA, Bany_12388-RA	HMEL037148g1.t1
OG0002189	Bany_02497-RA	HMEL007380g1.t1
OG0002190	Bany_02503-RA, Bany_02502-RA	HMEL007376g1.t1
OG0002191	Bany_09300-RA	HMEL007291g1.t1
OG0002192	Bany_07800-RA	HMEL011042g1.t1
OG0002194	Bany_09309-RA	HMEL007296g1.t1
OG0002195	Bany_01713-RA	HMEL031146g1.t1, HMEL031147g1.t1, HMEL031141g1.t1, HMEL013278g1.t1
OG0002196	Bany_03331-RA	HMEL035286g1.t1
OG0002197	Bany_00796-RA	HMEL010893g1.t1
OG0002198	Bany_00806-RA, Bany_00808-RA	HMEL010885g1.t1
OG0002199	Bany_04181-RA	HMEL005344g1.t1, HMEL033145g1.t1
OG0002200	Bany_00814-RA	HMEL010880g1.t1
OG0002201	Bany_00816-RA	HMEL010878g1.t1
OG0002202	Bany_12419-RA	HMEL020446g1.t1
OG0002204	Bany_10530-RA, Bany_10529-RA	HMEL020781g1.t1
OG0002205	Bany_05807-RA	HMEL003136g1.t1, HMEL013531g1.t1
OG0002206	Bany_05809-RA	HMEL006211g1.t1
OG0002207	Bany_05810-RA	HMEL033781g1.t1
OG0002208	Bany_08634-RA	HMEL013114g1.t1
OG0002209	Bany_00845-RA	HMEL030996g1.t1
OG0002210	Bany_00849-RA	HMEL030994g1.t1
OG0002211	Bany_04233-RA	HMEL033124g1.t1
OG0002212	Bany_01777-RA	HMEL009606g1.t1
OG0002213	Bany_05827-RA	HMEL007106g1.t1
OG0002214	Bany_05830-RA	HMEL033791g1.t1
OG0002215	Bany_02563-RA	HMEL030586g1.t1
OG0002216	Bany_07864-RA	HMEL008790g1.t1
OG0002217	Bany_04259-RA	HMEL033114g1.t1
OG0002218	Bany_04264-RA	HMEL033112g1.t1
OG0002219	Bany_02584-RA	HMEL013670g1.t1
OG0002220	Bany_02593-RA	HMEL013657g1.t1
OG0002221	Bany_05108-RA	HMEL015485g1.t1
OG0002223	Bany_07881-RA	HMEL012071g1.t1
OG0002224	Bany_05121-RA	HMEL015505g1.t1
OG0002225	Bany_00881-RA	HMEL030982g1.t1
OG0002226	Bany_05133-RA	HMEL030896g1.t1
OG0002226	Bany_05131-RA	HMEL015990g1.t1
OG0002247	Bany_05396-RA, Bany_18161-RA	HMEL005164g1.t1
OG0002248	Bany_16696-RA, Bany_18180-RA	HMEL032182g1.t1
OG0002249	Bany_16029-RA, Bany_16294-RA	HMEL010744g1.t1
OG0002250	Bany_15437-RA	HMEL003243g1.t1
OG0002251	Bany_07924-RA, Bany_07941-RA	HMEL007830g1.t1
OG0002253	Bany_15438-RA	HMEL003244g1.t1
OG0002254	Bany_14881-RA	HMEL036379g1.t1
OG0002255	Bany_03454-RA	HMEL004332g1.t1
OG0002256	Bany_01814-RA	HMEL008586g1.t1
OG0002257	Bany_08657-RA	HMEL017124g1.t1
OG0002259	Bany_03532-RA, Bany_07173-RA	HMEL015824g1.t1
OG0002260	Bany_09341-RA	HMEL016499g1.t1, HMEL037812g1.t1
OG0002261	Bany_00040-RA	HMEL013218g1.t1
OG0002262	Bany_15991-RA, Bany_12458-RA	HMEL008108g1.t1
OG0002263	Bany_17544-RA, Bany_17405-RA	HMEL015851g1.t1
OG0002264	Bany_07932-RA	HMEL005024g1.t1
OG0002265	Bany_16943-RA	HMEL030379g1.t1
OG0002266	Bany_00942-RA	HMEL037762g1.t1, HMEL032424g1.t1, HMEL035402g1.t1
OG0002267	Bany_04317-RA	HMEL030693g1.t1
OG0002268	Bany_08669-RA	HMEL017134g1.t1
OG0002269	Bany_11145-RA	HMEL032410g1.t1
OG0002270	Bany_17705-RA	HMEL016966g1.t1
OG0002271	Bany_00015-RA, Bany_00017-RA	HMEL031240g1.t1
OG0002272	Bany_11840-RA	HMEL012153g1.t1
OG0002273	Bany_16052-RA, Bany_16053-RA	HMEL022594g1.t1
OG0002274	Bany_05886-RA	HMEL034895g1.t1
OG0002276	Bany_08879-RA, Bany_11149-RA	HMEL011943g1.t1
OG0002277	Bany_00952-RA	HMEL008227g1.t1
OG0002279	Bany_07947-RA	HMEL032884g1.t1, HMEL032885g1.t1
OG0002280	Bany_07948-RA	HMEL016064g1.t1, HMEL008749g1.t1
OG0002281	Bany_07949-RA	HMEL032888g1.t1
OG0002282	Bany_01859-RA	HMEL016384g1.t1
OG0002283	Bany_12479-RA, Bany_12483-RA	HMEL010165g1.t1
OG0002284	Bany_07950-RA	HMEL020190g1.t1
OG0002287	Bany_17416-RA	HMEL034420g1.t1
OG0002289	Bany_06563-RA	HMEL002604g1.t1
OG0002290	Bany_07199-RA	HMEL013405g1.t1
OG0002291	Bany_13639-RA	HMEL037459g1.t1
OG0002292	Bany_16961-RA	HMEL035521g1.t1, HMEL012086g1.t1, HMEL007477g1.t1
OG0002293	Bany_03484-RA	HMEL011608g1.t1
OG0002295	Bany_12487-RA	HMEL010153g1.t1
OG0002296	Bany_05205-RA	HMEL034000g1.t1
OG0002297	Bany_04337-RA	HMEL030699g1.t1
OG0002298	Bany_17719-RA	HMEL034558g1.t1
OG0002299	Bany_17722-RA	HMEL003233g1.t1
OG0002300	Bany_00025-RA, Bany_00024-RA	HMEL004914g1.t1
OG0002301	Bany_16075-RA	HMEL010819g1.t1
OG0002302	Bany_16077-RA	HMEL010818g1.t1
OG0002303	Bany_12498-RA	HMEL010163g1.t1
OG0002304	Bany_16079-RA	HMEL010817g1.t1
OG0002305	Bany_07204-RA	HMEL002096g1.t1
OG0002306	Bany_05220-RA	HMEL021856g1.t1
OG0002307	Bany_05221-RA	HMEL033992g1.t1
OG0002309	Bany_17728-RA, Bany_13401-RA	HMEL008839g1.t1
OG0002310	Bany_00968-RA	HMEL006484g1.t1
OG0002311	Bany_16082-RA, Bany_16083-RA	HMEL037248g1.t1
OG0002312	Bany_17429-RA	HMEL015561g1.t1
OG0002313	Bany_17734-RA	HMEL012018g1.t1
OG0002314	Bany_08694-RA	HMEL015903g1.t1
OG0002315	Bany_16494-RA	HMEL032253g1.t1
OG0002316	Bany_01886-RA	HMEL031452g1.t1
OG0002317	Bany_16091-RA	HMEL010813g1.t1
OG0002317	Bany_16092-RA	HMEL009525g1.t1
OG0002318	Bany_16987-RA	HMEL008860g1.t1
OG0002319	Bany_15277-RA, Bany_14926-RA	HMEL036364g1.t1
OG0002320	Bany_08700-RA	HMEL031472g1.t1, HMEL031481g1.t1, HMEL031479g1.t1, HMEL031473g1.t1
OG0002321	Bany_11168-RA	HMEL007937g1.t1
OG0002322	Bany_11169-RA	HMEL032402g1.t1
OG0002323	Bany_16990-RA	HMEL008862g1.t1
OG0002324	Bany_09944-RA	HMEL031784g1.t1
OG0002326	Bany_06581-RA, Bany_06580-RA	HMEL004276g1.t1
OG0002327	Bany_09946-RA	HMEL002983g1.t1
OG0002328	Bany_00984-RA, Bany_12727-RA	HMEL010610g1.t1
OG0002329	Bany_16995-RA	HMEL008868g1.t1
OG0002330	Bany_00987-RA	HMEL035410g1.t1
OG0002331	Bany_09948-RA	HMEL002982g1.t1
OG0002333	Bany_14322-RA	HMEL015999g1.t1
OG0002334	Bany_06588-RA	HMEL022587g1.t1
OG0002335	Bany_04372-RA, Bany_04371-RA	HMEL009011g1.t1
OG0002336	Bany_00997-RA	HMEL014573g1.t1, HMEL022221g1.t1, HMEL012880g1.t1
OG0002337	Bany_14323-RA, Bany_07007-RA, Bany_11985-RA	HMEL008977g1.t1
OG0002338	Bany_05918-RA	HMEL011814g1.t1
OG0002339	Bany_04381-RA	HMEL030711g1.t1
OG0002340	Bany_05242-RA	HMEL022206g1.t1
OG0002341	Bany_17002-RA	HMEL010768-RA
OG0002342	Bany_12546-RA	HMEL034028g1.t1
OG0002344	Bany_17754-RA	HMEL003523g1.t1
OG0002346	Bany_09386-RA	HMEL016482g1.t1
OG0002347	Bany_03518-RA, Bany_03519-RA	HMEL003506g1.t1
OG0002348	Bany_17462-RA	HMEL034438g1.t1
OG0002349	Bany_01909-RA, Bany_01912-RA	HMEL014490g1.t1
OG0002350	Bany_09398-RA	HMEL038058g1.t1
OG0002351	Bany_12558-RA	HMEL014811g1.t1
OG0002352	Bany_17756-RA, Bany_17755-RA	HMEL003917g1.t1
OG0002353	Bany_12561-RA	HMEL034088g1.t1
OG0002354	Bany_07233-RA	HMEL035668g1.t1
OG0002355	Bany_15539-RA	HMEL017841g1.t1
OG0002356	Bany_16134-RA	HMEL003810g1.t1
OG0002358	Bany_11879-RA	HMEL003926g1.t1
OG0002360	Bany_12575-RA	HMEL008101g1.t1
OG0002361	Bany_04404-RA, Bany_04403-RA, Bany_04405-RA	HMEL009633g1.t1
OG0002362	Bany_01932-RA	HMEL012753g1.t1
OG0002363	Bany_13127-RA	HMEL011800g1.t1
OG0002364	Bany_17018-RA	HMEL022641-RA, HMEL022628-RA
OG0002365	Bany_16144-RA	HMEL009560g1.t1
OG0002366	Bany_14963-RA	HMEL017923g1.t1
OG0002367	Bany_02703-RA	HMEL017022g1.t1
OG0002368	Bany_11883-RA	HMEL008412g1.t1
OG0002369	Bany_06616-RA	HMEL037342g1.t1
OG0002371	Bany_16527-RA	HMEL017670g1.t1
OG0002372	Bany_13142-RA	HMEL007888g1.t1
OG0002373	Bany_02712-RA	HMEL017034g1.t1
OG0002374	Bany_13141-RA	HMEL033658g1.t1
OG0002375	Bany_11221-RA	HMEL006361g1.t1
OG0002377	Bany_01031-RA	HMEL035361g1.t1
OG0002378	Bany_17483-RA	HMEL034456g1.t1
OG0002379	Bany_01032-RA	HMEL035360g1.t1
OG0002380	Bany_17612-RA, Bany_09983-RA	HMEL013924g1.t1
OG0002381	Bany_17484-RA	HMEL005842g1.t1
OG0002383	Bany_00113-RA	HMEL010021g1.t1
OG0002384	Bany_04430-RA	HMEL009647g1.t1
OG0002385	Bany_14377-RA	HMEL016265g1.t1
OG0002386	Bany_08748-RA	HMEL031523g1.t1
OG0002387	Bany_13742-RA, Bany_13739-RA	HMEL037490g1.t1
OG0002388	Bany_00120-RA, Bany_00116-RA	HMEL010017g1.t1
OG0002389	Bany_01042-RA	HMEL035354g1.t1
OG0002390	Bany_03529-RA	HMEL015826g1.t1
OG0002391	Bany_04438-RA	HMEL009652g1.t1
OG0002392	Bany_09412-RA	HMEL020079g1.t1, HMEL038001g1.t1, HMEL038000g1.t1
OG0002393	Bany_08762-RA	HMEL012591g1.t1
OG0002394	Bany_13152-RA, Bany_13154-RA	HMEL017534g1.t1
OG0002395	Bany_13746-RA, Bany_13883-RA	HMEL017797g1.t1
OG0002396	Bany_09419-RA	HMEL037998g1.t1
OG0002397	Bany_05277-RA	HMEL002225g1.t1
OG0002398	Bany_11905-RA	HMEL008987g1.t1
OG0002399	Bany_17868-RA, Bany_16546-RA, Bany_16547-RA	HMEL016957g1.t1
OG0002400	Bany_01961-RA	HMEL031408g1.t1
OG0002401	Bany_11265-RA	HMEL020811g1.t1
OG0002402	Bany_12621-RA	HMEL013239g1.t1
OG0002403	Bany_07263-RA	HMEL035834g1.t1
OG0002404	Bany_08767-RA	HMEL012587-RA
OG0002405	Bany_06644-RA	HMEL016133g1.t1
OG0002406	Bany_07265-RA	HMEL013047g1.t1
OG0002407	Bany_17790-RA, Bany_17789-RA, Bany_17793-RA	HMEL003436g1.t1
OG0002408	Bany_06646-RA	HMEL016136g1.t1
OG0002409	Bany_11278-RA	HMEL032448g1.t1
OG0002409	Bany_11277-RA	HMEL032447g1.t1
OG0002410	Bany_05291-RA	HMEL033952g1.t1
OG0002411	Bany_09426-RA	HMEL037992g1.t1
OG0002412	Bany_07268-RA	HMEL035803g1.t1
OG0002413	Bany_09428-RA	HMEL037985g1.t1
OG0002414	Bany_00141-RA	HMEL031259g1.t1
OG0002415	Bany_09437-RA	HMEL038031g1.t1, HMEL038032g1.t1
OG0002416	Bany_17802-RA	HMEL013960g1.t1
OG0002417	Bany_09443-RA	HMEL009905g1.t1
OG0002418	Bany_16200-RA	HMEL037258g1.t1
OG0002419	Bany_01988-RA	HMEL005535g1.t1
OG0002420	Bany_16564-RA	HMEL032270g1.t1
OG0002421	Bany_05960-RA	HMEL005329g1.t1
OG0002422	Bany_03562-RA	HMEL015802g1.t1
OG0002423	Bany_00167-RA	HMEL031264g1.t1, HMEL031267g1.t1
OG0002424	Bany_16578-RA, Bany_16576-RA	HMEL009454g1.t1
OG0002425	Bany_12652-RA	HMEL013248g1.t1
OG0002426	Bany_04456-RA	HMEL004065g1.t1
OG0002427	Bany_14408-RA, Bany_14407-RA	HMEL036626g1.t1
OG0002428	Bany_05972-RA	HMEL004501g1.t1
OG0002429	Bany_17056-RA, Bany_17055-RA	HMEL009258g1.t1
OG0002430	Bany_04459-RA, Bany_00876-RA	HMEL004069g1.t1
OG0002431	Bany_04460-RA	HMEL004070g1.t1
OG0002432	Bany_16205-RA	HMEL014409g1.t1
OG0002433	Bany_02760-RA	HMEL035017g1.t1
OG0002434	Bany_09457-RA	HMEL007646g1.t1
OG0002435	Bany_17824-RA, Bany_17825-RA	HMEL003521g1.t1
OG0002436	Bany_10738-RA	HMEL036247g1.t1
OG0002437	Bany_00178-RA, Bany_00180-RA, Bany_00177-RA	HMEL015097g1.t1
OG0002438	Bany_01068-RA	HMEL035345g1.t1
OG0002439	Bany_01070-RA	HMEL012322g1.t1, HMEL035344g1.t1
OG0002440	Bany_06666-RA	HMEL011161g1.t1
OG0002441	Bany_01073-RA	HMEL022157g1.t1
OG0002442	Bany_16599-RA	HMEL013913g1.t1
OG0002443	Bany_11929-RA, Bany_11930-RA	HMEL006762-RA, HMEL013859-RA
OG0002444	Bany_10750-RA	HMEL036256g1.t1
OG0002445	Bany_16214-RA	HMEL014417g1.t1
OG0002446	Bany_01075-RA	HMEL004695g1.t1, HMEL021546g1.t1
OG0002447	Bany_17512-RA	HMEL005852g1.t1
OG0002449	Bany_17082-RA	HMEL030490g1.t1
OG0002450	Bany_11304-RA	HMEL017820g1.t1
OG0002451	Bany_17086-RA	HMEL003867g1.t1
OG0002452	Bany_04485-RA	HMEL004081g1.t1
OG0002453	Bany_06693-RA	HMEL011192g1.t1
OG0002456	Bany_12691-RA	HMEL013216g1.t1
OG0002457	Bany_07285-RA	HMEL035770g1.t1
OG0002459	Bany_11316-RA	HMEL032470g1.t1
OG0002460	Bany_08095-RA	HMEL014181g1.t1
OG0002461	Bany_11319-RA	HMEL032473g1.t1
OG0002463	Bany_16607-RA	HMEL005076g1.t1
OG0002464	Bany_14444-RA	HMEL015051g1.t1, HMEL015049g1.t1
