Orthogroup	Vanessa_tameamea	Maniola_hyperantus
OG0002501	XP_026487161.1	XP_034830564.1, XP_034830565.1
OG0002502	XP_026497920.1	XP_034832553.1
OG0002503	XP_026500180.1	XP_034835935.1
OG0002504	XP_026496384.1	XP_034829103.1
OG0002505	XP_026486490.1	XP_034838886.1
OG0002506	XP_026491061.1	XP_034835614.1
OG0002507	XP_026497935.1	XP_034831342.1
OG0002508	XP_026487195.1	XP_034830556.1
OG0002509	XP_026500163.1	XP_034835939.1, XP_034835742.1
OG0002510	XP_026486485.1	XP_034838938.1, XP_034838940.1
OG0002511	XP_026495568.1	XP_034834967.1
OG0002512	XP_026501044.1	XP_034826869.1
OG0002513	XP_026500146.1	XP_034835938.1, XP_034835937.1
OG0002514	XP_026494624.1, XP_026494622.1, XP_026494625.1	XP_034832817.1
OG0002515	XP_026499364.1	XP_034825924.1
OG0002516	XP_026491168.1, XP_026491160.1	XP_034835046.1
OG0002517	XP_026490579.1	XP_034838496.1, XP_034838497.1
OG0002518	XP_026492248.1, XP_026492314.1	XP_034832296.1
OG0002519	XP_026484621.1	XP_034841558.1
OG0002520	XP_026491316.1	XP_034825706.1
OG0002521	XP_026490240.1	XP_034837164.1
OG0002522	XP_026499238.1	XP_034831646.1
OG0002523	XP_026485602.1	XP_034828811.1
OG0002524	XP_026497361.1	XP_034836065.1
OG0002526	XP_026500354.1	XP_034827237.1
OG0002527	XP_026501717.1	XP_034837322.1
OG0002528	XP_026490630.1	XP_034838685.1
OG0002529	XP_026497291.1	XP_034836042.1
OG0002530	XP_026497837.1	XP_034835155.1
OG0002531	XP_026489376.1	XP_034837904.1
OG0002532	XP_026488865.1	XP_034827006.1
OG0002533	XP_026487308.1, XP_026487310.1	XP_034824079.1, XP_034824072.1
OG0002534	XP_026499261.1	XP_034831121.1
OG0002535	XP_026492670.1	XP_034835531.1
OG0002537	XP_026491206.1, XP_026491028.1	XP_034825460.1
OG0002538	XP_026499225.1	XP_034831112.1
OG0002539	XP_026499394.1	XP_034826276.1
OG0002540	XP_026496909.1, XP_026496907.1, XP_026496908.1	XP_034830142.1
OG0002541	XP_026500289.1	XP_034839758.1
OG0002542	XP_026486546.1	XP_034838880.1
OG0002543	XP_026494836.1	XP_034840136.1
OG0002544	XP_026490952.1	XP_034833890.1
OG0002546	XP_026493064.1, XP_026493063.1	XP_034833340.1, XP_034833338.1, XP_034833339.1
OG0002547	XP_026495343.1	XP_034840685.1
OG0002548	XP_026488262.1, XP_026488261.1	XP_034830568.1
OG0002549	XP_026486830.1	XP_034836812.1, XP_034836811.1
OG0002550	XP_026495604.1	XP_034834462.1
OG0002551	XP_026483736.1, XP_026483727.1	XP_034826998.1, XP_034826999.1
OG0002552	XP_026484949.1	XP_034841163.1
OG0002553	XP_026488579.1	XP_034827487.1
OG0002554	XP_026491862.1	XP_034836399.1
OG0002555	XP_026500679.1	XP_034829767.1, XP_034839833.1
OG0002556	XP_026486851.1, XP_026486852.1, XP_026486850.1	XP_034831364.1, XP_034831362.1, XP_034831363.1
OG0002557	XP_026485131.1, XP_026485130.1	XP_034841512.1
OG0002558	XP_026497110.1	XP_034836989.1
OG0002559	XP_026487280.1	XP_034839190.1, XP_034839122.1
OG0002560	XP_026497859.1	XP_034835950.1, XP_034835942.1
OG0002562	XP_026496634.1	XP_034829742.1, XP_034829741.1
OG0002563	XP_026487152.1	XP_034837252.1
OG0002564	XP_026497552.1	XP_034835914.1
OG0002565	XP_026489431.1	XP_034838330.1
OG0002566	XP_026495543.1	XP_034834443.1
OG0002567	XP_026493463.1	XP_034833509.1
OG0002568	XP_026490995.1, XP_026490996.1	XP_034833780.1
OG0002569	XP_026492355.1	XP_034832454.1
OG0002570	XP_026495363.1, XP_026495362.1	XP_034840376.1
OG0002571	XP_026495367.1, XP_026495366.1	XP_034840078.1, XP_034840077.1
OG0002572	XP_026489203.1	XP_034831355.1
OG0002573	XP_026483149.1	XP_034838861.1
OG0002574	XP_026485091.1	XP_034841496.1
OG0002575	XP_026490969.1	XP_034834222.1
OG0002576	XP_026487824.1	XP_034826677.1, XP_034826676.1
OG0002577	XP_026500853.1	XP_034827059.1
OG0002578	XP_026491545.1, XP_026491544.1	XP_034825376.1
OG0002580	XP_026493275.1	XP_034833517.1
OG0002581	XP_026499399.1	XP_034826140.1
OG0002582	XP_026485775.1	XP_034824527.1, XP_034824528.1, XP_034824526.1
OG0002583	XP_026483881.1, XP_026483880.1	XP_034838565.1
OG0002584	XP_026501194.1	XP_034827062.1
OG0002585	XP_026484345.1	XP_034841493.1
OG0002586	XP_026492923.1	XP_034835316.1
OG0002587	XP_026490985.1	XP_034833808.1
OG0002588	XP_026500390.1	XP_034826536.1, XP_034826544.1, XP_034826530.1
OG0002589	XP_026485923.1	XP_034836775.1
OG0002590	XP_026484846.1	XP_034841482.1
OG0002591	XP_026489390.1	XP_034837913.1
OG0002592	XP_026488186.1	XP_034830861.1
OG0002593	XP_026499889.1	XP_034826292.1
OG0002594	XP_026492159.1	XP_034832123.1
OG0002595	XP_026494962.1, XP_026494960.1	XP_034840659.1, XP_034840658.1
OG0002596	XP_026500414.1	XP_034826759.1
OG0002597	XP_026497572.1, XP_026497571.1	XP_034836112.1
OG0002598	XP_026483771.1	XP_034838604.1, XP_034838605.1
OG0002599	XP_026500379.1	XP_034833955.1, XP_034834225.1
OG0002600	XP_026492453.1	XP_034835431.1, XP_034835430.1
OG0002601	XP_026500381.1	XP_034833953.1
OG0002602	XP_026483773.1	XP_034838611.1, XP_034838609.1
OG0002603	XP_026492331.1	XP_034832153.1, XP_034832154.1
OG0002604	XP_026484801.1	XP_034824012.1
OG0002605	XP_026494894.1	XP_034840288.1, XP_034840289.1, XP_034840290.1, XP_034840287.1
OG0002606	XP_026483132.1, XP_026483133.1, XP_026483130.1, XP_026483129.1, XP_026483131.1, XP_026483134.1	XP_034838842.1
OG0002607	XP_026485832.1	XP_034836909.1
OG0002608	XP_026483143.1	XP_034838954.1
OG0002609	XP_026493557.1	XP_034835414.1
OG0002610	XP_026486923.1	XP_034831590.1
OG0002611	XP_026499663.1	XP_034832366.1, XP_034832368.1, XP_034832369.1
OG0002612	XP_026483550.1	XP_034828233.1
OG0002613	XP_026499174.1	XP_034831201.1
OG0002614	XP_026499661.1	XP_034832364.1, XP_034832363.1
OG0002615	XP_026496370.1, XP_026496371.1	XP_034829008.1
OG0002616	XP_026491807.1, XP_026491808.1	XP_034825555.1
OG0002617	XP_026488316.1	XP_034830951.1
OG0002618	XP_026492471.1	XP_034837106.1
OG0002619	XP_026491473.1	XP_034825557.1
OG0002620	XP_026495263.1	XP_034840759.1
OG0002621	XP_026498738.1	XP_034837397.1
OG0002622	XP_026491472.1, XP_026491471.1	XP_034825055.1, XP_034825056.1
OG0002623	XP_026490679.1	XP_034835550.1
OG0002624	XP_026484779.1, XP_026484594.1	XP_034840940.1
OG0002625	XP_026496296.1, XP_026496297.1	XP_034829186.1
OG0002626	XP_026490541.1	XP_034835412.1
OG0002627	XP_026487908.1	XP_034838924.1
OG0002628	XP_026484405.1	XP_034840937.1
OG0002629	XP_026495491.1	XP_034835011.1, XP_034835012.1
OG0002630	XP_026492108.1	XP_034835373.1
OG0002632	XP_026492029.1	XP_034835365.1
OG0002633	XP_026487878.1	XP_034837791.1
OG0002635	XP_026486506.1	XP_034836950.1
OG0002636	XP_026487662.1	XP_034826235.1
OG0002637	XP_026484658.1, XP_026484649.1	XP_034827322.1, XP_034827321.1
OG0002638	XP_026496434.1	XP_034829190.1
OG0002639	XP_026484680.1, XP_026484671.1	XP_034827319.1
OG0002640	XP_026491951.1	XP_034835356.1, XP_034835354.1
OG0002641	XP_026486234.1	XP_034836967.1
OG0002642	XP_026497985.1	XP_034839812.1, XP_034839813.1
OG0002643	XP_026491974.1	XP_034835359.1, XP_034835360.1
OG0002644	XP_026483347.1	XP_034828299.1
OG0002645	XP_026494773.1	XP_034833481.1
OG0002646	XP_026499057.1	XP_034831172.1
OG0002647	XP_026496146.1	XP_034836313.1
OG0002648	XP_026495835.1, XP_026495836.1, XP_026495837.1	XP_034834795.1
OG0002649	XP_026495194.1	XP_034840606.1
OG0002650	XP_026494751.1	XP_034834607.1
OG0002651	XP_026488950.1	XP_034827532.1
OG0002652	XP_026483641.1	XP_034838516.1
OG0002653	XP_026484410.1	XP_034840942.1, XP_034840941.1
OG0002654	XP_026485466.1	XP_034828710.1
OG0002655	XP_026484395.1	XP_034840981.1
OG0002656	XP_026498038.1	XP_034832731.1
OG0002657	XP_026498025.1	XP_034832814.1
OG0002658	XP_026484390.1	XP_034841456.1
OG0002659	XP_026491860.1	XP_034835357.1
OG0002660	XP_026499640.1	XP_034832072.1
OG0002661	XP_026497648.1	XP_034826662.1, XP_034826663.1
OG0002662	XP_026484420.1	XP_034824093.1, XP_034824089.1, XP_034824092.1
OG0002663	XP_026483721.1, XP_026483722.1	XP_034838423.1
OG0002664	XP_026498745.1	XP_034837444.1
OG0002665	XP_026487400.1	XP_034827440.1
OG0002666	XP_026499306.1	XP_034831059.1
OG0002667	XP_026498741.1	XP_034837446.1
OG0002668	XP_026497332.1	XP_034836217.1
OG0002669	XP_026488257.1	XP_034830892.1
OG0002671	XP_026486093.1, XP_026486094.1	XP_034824443.1
OG0002672	XP_026488979.1, XP_026488978.1	XP_034828310.1
OG0002673	XP_026493177.1	XP_034833655.1
OG0002674	XP_026493646.1	XP_034832404.1
OG0002675	XP_026497000.1, XP_026497002.1	XP_034829866.1, XP_034829865.1
OG0002676	XP_026493645.1	XP_034832393.1
OG0002677	XP_026495293.1, XP_026495294.1, XP_026495292.1	XP_034840611.1
OG0002678	XP_026491810.1	XP_034835379.1
OG0002679	XP_026499078.1	XP_034831046.1
OG0002680	XP_026484387.1	XP_034841362.1
OG0002681	XP_026501298.1	XP_034827560.1
OG0002682	XP_026491179.1	XP_034835337.1
OG0002683	XP_026498705.1	XP_034837173.1
OG0002684	XP_026485459.1	XP_034828468.1, XP_034828469.1
OG0002685	XP_026483813.1	XP_034838597.1, XP_034838427.1
OG0002686	XP_026488598.1	XP_034827564.1
OG0002687	XP_026497033.1	XP_034829871.1
OG0002688	XP_026499046.1	XP_034831044.1
OG0002689	XP_026497475.1	XP_034835954.1
OG0002690	XP_026485780.1, XP_026485781.1	XP_034824438.1
OG0002691	XP_026499297.1	XP_034831057.1
OG0002692	XP_026489624.1, XP_026489623.1, XP_026489625.1	XP_034834279.1
OG0002693	XP_026487619.1	XP_034840574.1, XP_034828920.1
OG0002695	XP_026494434.1	XP_034826070.1
OG0002696	XP_026486388.1	XP_034836588.1
OG0002697	XP_026489725.1, XP_026489743.1, XP_026489733.1	XP_034839502.1
OG0002698	XP_026485899.1	XP_034824968.1
OG0002699	XP_026498732.1	XP_034837296.1
OG0002700	XP_026486855.1	XP_034831419.1
OG0002701	XP_026489844.1	XP_034829455.1
OG0002702	XP_026498752.1	XP_034837081.1
OG0002703	XP_026500471.1	XP_034839285.1, XP_034839284.1, XP_034839283.1
OG0002704	XP_026493613.1	XP_034835029.1
OG0002705	XP_026486754.1	XP_034836853.1
OG0002706	XP_026485207.1	XP_034836819.1
OG0002707	XP_026483715.1	XP_034838431.1
OG0002708	XP_026484433.1	XP_034841237.1
OG0002709	XP_026489108.1	XP_034827950.1
OG0002710	XP_026484882.1	XP_034841232.1
OG0002711	XP_026489734.1	XP_034833895.1
OG0002712	XP_026492429.1	XP_034835604.1, XP_034835606.1
OG0002713	XP_026489735.1	XP_034833904.1
OG0002714	XP_026494551.1	XP_034837053.1
OG0002715	XP_026489790.1	XP_034829345.1
OG0002716	XP_026493981.1	XP_034832543.1
OG0002717	XP_026489789.1	XP_034829366.1
OG0002718	XP_026484760.1	XP_034841299.1
OG0002719	XP_026501070.1	XP_034837839.1
OG0002720	XP_026500883.1	XP_034839494.1
OG0002721	XP_026494455.1, XP_026494457.1	XP_034825856.1
OG0002722	XP_026495034.1	XP_034840270.1
OG0002723	XP_026496826.1	XP_034834380.1, XP_034829639.1, XP_034829634.1
OG0002724	XP_026493101.1	XP_034833128.1
OG0002725	XP_026489800.1, XP_026489799.1	XP_034829347.1
OG0002726	XP_026494308.1	XP_034834026.1
OG0002727	XP_026492320.1	XP_034835233.1, XP_034835232.1
OG0002728	XP_026494465.1	XP_034825870.1
OG0002729	XP_026493077.1	XP_034833471.1
OG0002730	XP_026486357.1	XP_034824818.1
OG0002731	XP_026494552.1	XP_034837169.1
OG0002732	XP_026489093.1	XP_034828002.1, XP_034828001.1
OG0002734	XP_026484192.1	XP_034837643.1
OG0002735	XP_026495965.1	XP_034834373.1, XP_034834372.1
OG0002736	XP_026493051.1	XP_034836824.1
OG0002737	XP_026500789.1	XP_034839762.1
OG0002738	XP_026493044.1	XP_034836702.1
OG0002739	XP_026494521.1	XP_034837179.1
OG0002740	XP_026494022.1	XP_034832533.1
OG0002741	XP_026495059.1	XP_034840217.1
OG0002742	XP_026494003.1, XP_026494004.1	XP_034832547.1, XP_034832546.1
OG0002743	XP_026485847.1, XP_026485846.1	XP_034824812.1
OG0002744	XP_026486930.1, XP_026486932.1, XP_026486929.1	XP_034831489.1
OG0002745	XP_026487611.1	XP_034829513.1
OG0002746	XP_026487597.1, XP_026487596.1	XP_034824900.1
OG0002747	XP_026491084.1	XP_034825669.1
OG0002748	XP_026495653.1	XP_034834589.1
OG0002749	XP_026488276.1	XP_034830385.1
OG0002750	XP_026500272.1	XP_034839840.1, XP_034839839.1
OG0002751	XP_026491271.1	XP_034825744.1
OG0002752	XP_026498624.1	XP_034829439.1
OG0002753	XP_026492642.1	XP_034837972.1
OG0002754	XP_026488900.1	XP_034828251.1
OG0002755	XP_026486917.1	XP_034831610.1
OG0002756	XP_026494525.1	XP_034837277.1
OG0002757	XP_026486149.1	XP_034824616.1, XP_034824617.1, XP_034824615.1
OG0002758	XP_026486908.1	XP_034831608.1, XP_034831606.1
OG0002759	XP_026491147.1	XP_034835113.1
OG0002761	XP_026497506.1	XP_034835791.1, XP_034835792.1
OG0002762	XP_026492740.1	XP_034835589.1
OG0002763	XP_026499856.1	XP_034829155.1
OG0002764	XP_026488414.1	XP_034827379.1
OG0002765	XP_026485823.1	XP_034824629.1, XP_034824627.1, XP_034824628.1
OG0002766	XP_026492618.1	XP_034830759.1
OG0002767	XP_026493026.1	XP_034835560.1
OG0002768	XP_026492268.1	XP_034832323.1
OG0002769	XP_026494366.1	XP_034833838.1
OG0002770	XP_026492270.1, XP_026492269.1	XP_034832327.1
OG0002771	XP_026484799.1	XP_034823926.1
OG0002772	XP_026492372.1, XP_026492371.1	XP_034832328.1, XP_034832329.1
OG0002773	XP_026484806.1	XP_034823923.1
OG0002774	XP_026496980.1, XP_026496979.1, XP_026496978.1	XP_034829545.1
OG0002775	XP_026492708.1	XP_034834420.1
OG0002776	XP_026485264.1, XP_026485272.1, XP_026485279.1	XP_034827160.1
OG0002777	XP_026493612.1	XP_034836741.1
OG0002778	XP_026496689.1	XP_034839612.1
OG0002780	XP_026496142.1	XP_034839384.1
OG0002781	XP_026498613.1	XP_034829387.1
OG0002782	XP_026498619.1	XP_034828984.1
OG0002783	XP_026498116.1	XP_034826652.1
OG0002784	XP_026485614.1	XP_034828832.1
OG0002785	XP_026491197.1	XP_034825754.1
OG0002786	XP_026496532.1, XP_026496540.1	XP_034839408.1
OG0002788	XP_026495254.1	XP_034840072.1
OG0002788	XP_026495255.1	XP_034840073.1
OG0002789	XP_026488849.1	XP_034827991.1
OG0002790	XP_026497021.1	XP_034829882.1, XP_034829883.1
OG0002791	XP_026497346.1	XP_034835836.1
OG0002792	XP_026493881.1	XP_034832740.1
OG0002793	XP_026494325.1, XP_026494324.1	XP_034834039.1
OG0002794	XP_026493885.1	XP_034832743.1
OG0002795	XP_026498188.1	XP_034833630.1
OG0002796	XP_026485768.1	XP_034824975.1
OG0002796	XP_026485772.1	XP_034824980.1
OG0002797	XP_026494350.1	XP_034834202.1
OG0002798	XP_026499013.1	XP_034839690.1
OG0002799	XP_026485079.1	XP_034840819.1
OG0002800	XP_026484730.1	XP_034827150.1
OG0002801	XP_026484903.1	XP_034841257.1
OG0002802	XP_026484154.1	XP_034837554.1
OG0002803	XP_026497367.1, XP_026497368.1	XP_034835846.1, XP_034835845.1
OG0002804	XP_026489580.1	XP_034837283.1
OG0002806	XP_026496896.1	XP_034829879.1
OG0002807	XP_026493894.1	XP_034833087.1
OG0002808	XP_026489576.1	XP_034837360.1
OG0002809	XP_026485871.1	XP_034824685.1
OG0002810	XP_026495845.1	XP_034834341.1
OG0002811	XP_026501526.1	XP_034839927.1
OG0002812	XP_026485857.1, XP_026485858.1, XP_026485859.1	XP_034824663.1
OG0002813	XP_026498304.1, XP_026498303.1	XP_034836373.1
OG0002814	XP_026489595.1	XP_034837362.1
OG0002815	XP_026491582.1	XP_034825061.1
OG0002816	XP_026486785.1	XP_034831631.1
OG0002817	XP_026495623.1	XP_034834989.1
OG0002818	XP_026486320.1, XP_026486321.1	XP_034824684.1, XP_034824683.1
OG0002819	XP_026484914.1	XP_034823928.1
OG0002820	XP_026486317.1, XP_026486318.1	XP_034824823.1, XP_034824693.1
OG0002821	XP_026498597.1	XP_034829374.1, XP_034831598.1
OG0002822	XP_026498538.1	XP_034829379.1, XP_034829380.1
OG0002823	XP_026488558.1	XP_034826319.1
OG0002824	XP_026493683.1, XP_026493684.1	XP_034836502.1
OG0002825	XP_026495427.1	XP_034827082.1, XP_034827084.1, XP_034827083.1
OG0002826	XP_026495133.1, XP_026495134.1	XP_034840364.1
OG0002827	XP_026485774.1	XP_034824682.1, XP_034824681.1
OG0002828	XP_026500563.1	XP_034839353.1
OG0002829	XP_026489604.1	XP_034837321.1
OG0002830	XP_026494168.1	XP_034833770.1
OG0002831	XP_026500550.1	XP_034839480.1
OG0002832	XP_026487790.1	XP_034829074.1
OG0002833	XP_026487727.1	XP_034835903.1
OG0002834	XP_026501371.1	XP_034828317.1
OG0002835	XP_026492335.1	XP_034832124.1
OG0002836	XP_026501343.1	XP_034827739.1, XP_034827738.1, XP_034827740.1
OG0002837	XP_026495466.1	XP_034835570.1
OG0002838	XP_026491175.1	XP_034825437.1
OG0002839	XP_026487717.1	XP_034840337.1
OG0002840	XP_026499578.1	XP_034832391.1, XP_034832390.1
OG0002841	XP_026487777.1	XP_034825215.1
OG0002842	XP_026499568.1	XP_034831997.1
OG0002843	XP_026497012.1	XP_034829643.1
OG0002844	XP_026495614.1	XP_034834552.1
OG0002845	XP_026498309.1	XP_034836273.1
OG0002846	XP_026497424.1	XP_034836020.1
OG0002847	XP_026498314.1, XP_026498315.1, XP_026498313.1	XP_034836534.1
OG0002848	XP_026484940.1	XP_034824166.1
OG0002849	XP_026485529.1, XP_026485528.1	XP_034828339.1
OG0002850	XP_026493873.1	XP_034832874.1
OG0002851	XP_026496940.1	XP_034829901.1
OG0002852	XP_026493952.1	XP_034832904.1
OG0002853	XP_026495741.1	XP_034834521.1
OG0002854	XP_026495435.1	XP_034835494.1, XP_034835642.1
OG0002855	XP_026492037.1	XP_034826201.1
OG0002856	XP_026498678.1	XP_034829260.1
OG0002857	XP_026497004.1	XP_034830065.1
OG0002858	XP_026494164.1	XP_034833711.1
OG0002859	XP_026495944.1	XP_034834554.1
OG0002860	XP_026493550.1	XP_034833393.1
OG0002861	XP_026491640.1	XP_034825599.1
OG0002862	XP_026498775.1, XP_026498774.1	XP_034837432.1
OG0002863	XP_026485538.1	XP_034828341.1
OG0002864	XP_026491663.1	XP_034825605.1
OG0002865	XP_026492015.1	XP_034826262.1
OG0002866	XP_026486635.1, XP_026486636.1	XP_034835196.1
OG0002868	XP_026497385.1	XP_034835876.1
OG0002869	XP_026498279.1, XP_026498280.1	XP_034836270.1
OG0002870	XP_026497402.1	XP_034836182.1
OG0002871	XP_026489032.1	XP_034828060.1
OG0002872	XP_026488388.1	XP_034830439.1
OG0002873	XP_026491683.1	XP_034825723.1
OG0002874	XP_026496885.1	XP_034829970.1
OG0002875	XP_026487312.1	XP_034828167.1
OG0002876	XP_026499650.1	XP_034832340.1
OG0002877	XP_026496484.1, XP_026496485.1	XP_034835467.1
OG0002878	XP_026490303.1, XP_026490304.1	XP_034832647.1, XP_034832646.1
OG0002879	XP_026498946.1	XP_034834153.1
OG0002880	XP_026499844.1	XP_034833097.1
OG0002881	XP_026494028.1	XP_034833096.1
OG0002882	XP_026498920.1	XP_034834155.1, XP_034833840.1
OG0002883	XP_026491678.1	XP_034825718.1, XP_034825717.1, XP_034825719.1
OG0002884	XP_026493377.1	XP_034833148.1
OG0002885	XP_026483206.1	XP_034836194.1
OG0002886	XP_026486204.1	XP_034826755.1
OG0002887	XP_026486873.1	XP_034831081.1
OG0002888	XP_026487576.1	XP_034840377.1
OG0002889	XP_026486424.1, XP_026484875.1	XP_034826571.1
OG0002890	XP_026488244.1	XP_034830446.1
OG0002891	XP_026486040.1	XP_034824381.1
OG0002892	XP_026485162.1	XP_034840817.1
OG0002893	XP_026499926.1	XP_034839700.1
OG0002894	XP_026484072.1	XP_034837700.1
OG0002895	XP_026493020.1	XP_034828881.1
OG0002896	XP_026496548.1	XP_034827091.1
OG0002897	XP_026493290.1	XP_034833541.1
OG0002898	XP_026486083.1, XP_026486084.1	XP_034824190.1
OG0002899	XP_026498289.1	XP_034836646.1
OG0002900	XP_026485693.1	XP_034824929.1
OG0002901	XP_026485694.1	XP_034824209.1
OG0002902	XP_026498233.1, XP_026498234.1	XP_034836654.1
OG0002903	XP_026483935.1	XP_034837749.1
OG0002904	XP_026483200.1	XP_034836027.1
OG0002905	XP_026485318.1, XP_026485317.1	XP_034828635.1, XP_034828634.1
OG0002907	XP_026499768.1	XP_034831784.1
OG0002908	XP_026483201.1	XP_034836028.1
OG0002909	XP_026498932.1	XP_034833825.1
OG0002910	XP_026496679.1	XP_034829759.1
OG0002911	XP_026498929.1	XP_034833769.1
OG0002912	XP_026499346.1, XP_026499336.1	XP_034839134.1
OG0002913	XP_026488196.1, XP_026488197.1	XP_034830310.1
OG0002914	XP_026499367.1, XP_026499359.1	XP_034839141.1, XP_034839140.1
OG0002915	XP_026484473.1, XP_026484471.1	XP_034841454.1
OG0002916	XP_026494040.1, XP_026494041.1	XP_034832932.1, XP_034832933.1
OG0002917	XP_026498901.1	XP_034834176.1
OG0002918	XP_026496665.1	XP_034829776.1, XP_034829775.1
OG0002919	XP_026488280.1	XP_034830305.1
OG0002920	XP_026489043.1, XP_026489042.1	XP_034827693.1
OG0002921	XP_026495725.1	XP_034834601.1
OG0002922	XP_026498898.1	XP_034834087.1
OG0002923	XP_026484450.1	XP_034841288.1, XP_034841287.1, XP_034841286.1
OG0002924	XP_026486668.1	XP_034834002.1
OG0002925	XP_026487578.1	XP_034825622.1
OG0002926	XP_026496790.1	XP_034829768.1
OG0002927	XP_026496544.1	XP_034835061.1
OG0002928	XP_026499290.1	XP_034831221.1
OG0002929	XP_026491514.1, XP_026491516.1	XP_034825198.1
OG0002930	XP_026488422.1, XP_026488421.1	XP_034830348.1
OG0002931	XP_026493286.1	XP_034833567.1
OG0002932	XP_026500032.1	XP_034831238.1
OG0002933	XP_026500033.1	XP_034831225.1, XP_034831224.1, XP_034831226.1
OG0002934	XP_026486703.1	XP_034834173.1
OG0002935	XP_026492824.1	XP_034830041.1
OG0002936	XP_026495690.1	XP_034834888.1
OG0002937	XP_026496525.1	XP_034835476.1
OG0002938	XP_026485302.1, XP_026485303.1	XP_034828865.1
OG0002939	XP_026486080.1, XP_026486079.1	XP_034824941.1
OG0002940	XP_026501268.1	XP_034827102.1, XP_034827047.1
OG0002941	XP_026500044.1	XP_034834886.1
OG0002942	XP_026495749.1	XP_034827514.1
OG0002943	XP_026487801.1	XP_034840043.1
OG0002944	XP_026484588.1	XP_034841152.1
OG0002945	XP_026496598.1	XP_034831593.1, XP_034831588.1
OG0002946	XP_026497750.1	XP_034826360.1
OG0002947	XP_026488013.1	XP_034834885.1
OG0002948	XP_026486673.1	XP_034833966.1
OG0002949	XP_026486846.1	XP_034831336.1
OG0002950	XP_026486491.1	XP_034831887.1
OG0002951	XP_026487811.1	XP_034825503.1
OG0002952	XP_026493483.1	XP_034833443.1
OG0002953	XP_026497880.1	XP_034833242.1
OG0002954	XP_026485350.1	XP_034828730.1
OG0002955	XP_026499210.1	XP_034831037.1
OG0002956	XP_026501798.1, XP_026501799.1, XP_026501800.1	XP_034829405.1
OG0002957	XP_026488185.1	XP_034831906.1
OG0002958	XP_026487415.1	XP_034841421.1
OG0002959	XP_026484362.1	XP_034841469.1
OG0002960	XP_026494347.1	XP_034833871.1
OG0002961	XP_026484589.1	XP_034841472.1, XP_034841471.1
OG0002962	XP_026494392.1	XP_034833724.1
OG0002963	XP_026485144.1	XP_034841462.1
OG0002964	XP_026486575.1	XP_034832380.1
OG0002965	XP_026483582.1	XP_034827017.1
OG0002966	XP_026484269.1	XP_034827311.1
OG0002967	XP_026487520.1	XP_034841379.1
OG0002968	XP_026485326.1	XP_034828525.1
OG0002969	XP_026486289.1	XP_034824842.1, XP_034824841.1
OG0002970	XP_026489227.1, XP_026489228.1	XP_034831466.1, XP_034831464.1
OG0002971	XP_026484521.1	XP_034824125.1
OG0002972	XP_026489473.1	XP_034827204.1
OG0002973	XP_026490741.1	XP_034827612.1
OG0002974	XP_026484079.1	XP_034837783.1
OG0002975	XP_026483307.1	XP_034833111.1
OG0002976	XP_026496775.1	XP_034837787.1
OG0002977	XP_026501769.1, XP_026501768.1	XP_034837798.1
OG0002978	XP_026485760.1, XP_026485759.1	XP_034824858.1, XP_034824860.1
OG0002979	XP_026489442.1	XP_034827205.1
OG0002980	XP_026487367.1	XP_034840262.1, XP_034840253.1
OG0002981	XP_026497814.1	XP_034825800.1, XP_034825799.1
OG0002982	XP_026497054.1, XP_026497044.1	XP_034839570.1
OG0002983	XP_026485674.1, XP_026499542.1	XP_034831450.1
OG0002984	XP_026493315.1, XP_026493314.1	XP_034833548.1
OG0002985	XP_026497083.1	XP_034839512.1
OG0002986	XP_026497018.1, XP_026496991.1	XP_034839743.1
OG0002987	XP_026487564.1	XP_034826155.1
OG0002988	XP_026486531.1	XP_034831456.1
OG0002989	XP_026497725.1	XP_034826215.1
OG0002990	XP_026492863.1	XP_034829607.1, XP_034829608.1
OG0002991	XP_026484068.1	XP_034839917.1, XP_034837721.1
OG0002992	XP_026486535.1	XP_034831461.1, XP_034831462.1, XP_034831463.1
OG0002993	XP_026496460.1	XP_034835449.1
OG0002994	XP_026490318.1, XP_026490319.1	XP_034832946.1
OG0002995	XP_026496081.1	XP_034832491.1
OG0002996	XP_026484676.1	XP_034841378.1, XP_034841376.1, XP_034841377.1
OG0002997	XP_026484673.1	XP_034841372.1
OG0002998	XP_026492757.1	XP_034829642.1
OG0002999	XP_026501562.1	XP_034840801.1
OG0003000	XP_026484709.1	XP_034841420.1
OG0003002	XP_026491480.1	XP_034825457.1
OG0003003	XP_026496069.1	XP_034832477.1
OG0003004	XP_026500057.1	XP_034833987.1
OG0003005	XP_026489766.1	XP_034831481.1
OG0003006	XP_026484682.1	XP_034841386.1
OG0003007	XP_026492763.1	XP_034830168.1
OG0003008	XP_026496075.1	XP_034832492.1
OG0003009	XP_026488233.1	XP_034830794.1
OG0003010	XP_026486215.1	XP_034824653.1
OG0003011	XP_026489792.1	XP_034829066.1
OG0003012	XP_026492605.1, XP_026492606.1	XP_034838538.1
OG0003013	XP_026501204.1	XP_034828097.1
OG0003015	XP_026501737.1	XP_034837575.1
OG0003016	XP_026488170.1	XP_034832035.1
OG0003017	XP_026497172.1	XP_034839520.1
OG0003018	XP_026486257.1	XP_034824370.1
OG0003019	XP_026484655.1, XP_026484656.1	XP_034840888.1
OG0003020	XP_026501739.1	XP_034837548.1
