Orthogroup	Vanessa_tameamea	Danaus_plexippus
OG0001962	XP_026491750.1	DPOGS210465-PA
OG0001963	XP_026496346.1, XP_026496347.1	DPOGS209233-PA
OG0001964	XP_026493811.1	DPOGS206644-PA
OG0001965	XP_026497607.1	DPOGS204862-PA, DPOGS212232-PA
OG0001966	XP_026496100.1, XP_026498368.1	DPOGS213241-PA
OG0001967	XP_026496838.1, XP_026496837.1	DPOGS201227-PA, DPOGS201228-PA
OG0001968	XP_026491286.1	DPOGS215970-PA
OG0001969	XP_026487412.1, XP_026487413.1	DPOGS211206-PA
OG0001970	XP_026491285.1	DPOGS215971-PA
OG0001971	XP_026497656.1	DPOGS209877-PA, DPOGS212227-PA
OG0001972	XP_026492016.1	DPOGS210482-PA
OG0001973	XP_026485329.1	DPOGS211568-PA, DPOGS211567-PA, DPOGS211566-PA
OG0001974	XP_026498006.1	DPOGS210006-PA
OG0001975	XP_026488987.1, XP_026488988.1	DPOGS212759-PA
OG0001976	XP_026491825.1	DPOGS205797-PA
OG0001977	XP_026488230.1	DPOGS209262-PA
OG0001978	XP_026483738.1	DPOGS212078-PA
OG0001979	XP_026501252.1	DPOGS205975-PA
OG0001980	XP_026499109.1	DPOGS213546-PA
OG0001981	XP_026497642.1	DPOGS209872-PA
OG0001982	XP_026485890.1	DPOGS200936-PA
OG0001983	XP_026496400.1	DPOGS209186-PA
OG0001984	XP_026499096.1	DPOGS213549-PA
OG0001985	XP_026494913.1	DPOGS203044-PA
OG0001986	XP_026499085.1, XP_026499086.1, XP_026499084.1, XP_026499083.1	DPOGS213550-PA
OG0001987	XP_026494467.1, XP_026494466.1	DPOGS212661-PA
OG0001988	XP_026496803.1	DPOGS201043-PA, DPOGS201044-PA
OG0001989	XP_026496058.1, XP_026499761.1	DPOGS211056-PA
OG0001990	XP_026499073.1, XP_026499072.1	DPOGS213576-PA
OG0001991	XP_026495079.1	DPOGS206058-PA
OG0001992	XP_026497272.1, XP_026497273.1	DPOGS212017-PA
OG0001993	XP_026493902.1	DPOGS204573-PA
OG0001994	XP_026496884.1	DPOGS202074-PA
OG0001995	XP_026493629.1	DPOGS204572-PA
OG0001996	XP_026492560.1, XP_026492559.1, XP_026494431.1	DPOGS206710-PA
OG0001997	XP_026499674.1	DPOGS201669-PA
OG0001998	XP_026493640.1, XP_026493656.1	DPOGS204648-PA
OG0001999	XP_026494423.1	DPOGS209871-PA
OG0002000	XP_026488253.1	DPOGS209269-PA
OG0002001	XP_026489514.1	DPOGS205807-PA, DPOGS201082-PA, DPOGS201398-PA
OG0002002	XP_026501360.1, XP_026501359.1	DPOGS201780-PA, DPOGS201779-PA
OG0002003	XP_026493959.1, XP_026493958.1	DPOGS214042-PA
OG0002004	XP_026486177.1	DPOGS207940-PA
OG0002005	XP_026488250.1	DPOGS200534-PA
OG0002006	XP_026494623.1	DPOGS205806-PA
OG0002007	XP_026498295.1	DPOGS215113-PA
OG0002008	XP_026501045.1	DPOGS203845-PA, DPOGS203846-PA
OG0002009	XP_026495666.1, XP_026495667.1	DPOGS207385-PA
OG0002010	XP_026489663.1	DPOGS214636-PA
OG0002011	XP_026498694.1	DPOGS205814-PA
OG0002012	XP_026486947.1	DPOGS214815-PA
OG0002013	XP_026489607.1	DPOGS214634-PA
OG0002014	XP_026483645.1	DPOGS211678-PA
OG0002015	XP_026483255.1	DPOGS213314-PA
OG0002016	XP_026496643.1, XP_026496644.1, XP_026496645.1	DPOGS202061-PA
OG0002017	XP_026493069.1	DPOGS209704-PA
OG0002018	XP_026493045.1	DPOGS215290-PA
OG0002019	XP_026494539.1	DPOGS200545-PA
OG0002020	XP_026497507.1	DPOGS214510-PA, DPOGS212027-PA
OG0002021	XP_026484463.1, XP_026484464.1, XP_026484462.1	DPOGS204475-PA
OG0002022	XP_026494516.1	DPOGS200549-PA, DPOGS200548-PA
OG0002023	XP_026493828.1	DPOGS206593-PA
OG0002024	XP_026492260.1	DPOGS202730-PA
OG0002025	XP_026495957.1, XP_026495955.1	DPOGS216032-PA
OG0002026	XP_026484358.1	DPOGS204413-PA
OG0002027	XP_026491176.1	DPOGS207448-PA
OG0002028	XP_026491085.1, XP_026491086.1	DPOGS207447-PA
OG0002029	XP_026485504.1	DPOGS202605-PA
OG0002030	XP_026490948.1, XP_026490940.1	DPOGS210498-PA
OG0002031	XP_026484889.1	DPOGS204423-PA
OG0002032	XP_026495224.1, XP_026495223.1	DPOGS205069-PA
OG0002033	XP_026487589.1	DPOGS215836-PA
OG0002034	XP_026485588.1, XP_026485589.1	DPOGS202613-PA
OG0002035	XP_026496895.1	DPOGS208852-PA
OG0002036	XP_026499974.1	DPOGS202477-PA, DPOGS202476-PA
OG0002037	XP_026483263.1	DPOGS205436-PA, DPOGS205438-PA
OG0002038	XP_026484512.1, XP_026484520.1	DPOGS214072-PA
OG0002039	XP_026488366.1	DPOGS200382-PA
OG0002040	XP_026492540.1	DPOGS206003-PA, DPOGS206004-PA
OG0002041	XP_026484474.1	DPOGS214052-PA, DPOGS214053-PA
OG0002042	XP_026496982.1	DPOGS208996-PA, DPOGS200499-PA, DPOGS208995-PA
OG0002043	XP_026485020.1	DPOGS204457-PA
OG0002044	XP_026492685.1	DPOGS203674-PA
OG0002045	XP_026498141.1	DPOGS209323-PA
OG0002046	XP_026492693.1	DPOGS203822-PA
OG0002047	XP_026493765.1	DPOGS203821-PA
OG0002049	XP_026495236.1	DPOGS205091-PA
OG0002050	XP_026493662.1	DPOGS203682-PA
OG0002051	XP_026500619.1, XP_026500618.1	DPOGS203372-PA
OG0002052	XP_026487629.1, XP_026487631.1	DPOGS206544-PA
OG0002053	XP_026495298.1	DPOGS201983-PA
OG0002054	XP_026486297.1	DPOGS207550-PA
OG0002055	XP_026496523.1, XP_026487635.1, XP_026487634.1	DPOGS206538-PA
OG0002056	XP_026484790.1	DPOGS201992-PA
OG0002057	XP_026484704.1	DPOGS214066-PA
OG0002058	XP_026487641.1, XP_026487640.1	DPOGS206546-PA
OG0002059	XP_026498291.1, XP_026498292.1, XP_026498293.1	DPOGS200524-PA
OG0002060	XP_026493658.1	DPOGS203692-PA
OG0002061	XP_026494240.1, XP_026494241.1	DPOGS202327-PA
OG0002062	XP_026484958.1, XP_026484957.1	DPOGS204301-PA
OG0002063	XP_026501344.1, XP_026501345.1	DPOGS206896-PA
OG0002064	XP_026493896.1	DPOGS206684-PA
OG0002065	XP_026487703.1	DPOGS206551-PA
OG0002066	XP_026493110.1	DPOGS209400-PA, DPOGS209421-PA, DPOGS209420-PA, DPOGS209419-PA
OG0002067	XP_026488551.1	DPOGS201658-PA
OG0002068	XP_026500534.1	DPOGS203386-PA
OG0002069	XP_026491583.1	DPOGS207464-PA
OG0002070	XP_026488490.1	DPOGS205356-PA
OG0002071	XP_026486786.1	DPOGS207305-PA
OG0002072	XP_026491788.1	DPOGS207467-PA
OG0002073	XP_026485017.1	DPOGS204229-PA
OG0002074	XP_026489600.1, XP_026489599.1	DPOGS204065-PA
OG0002075	XP_026489539.1, XP_026489540.1	DPOGS205602-PA
OG0002076	XP_026485386.1	DPOGS211029-PA
OG0002077	XP_026492567.1, XP_026492561.1, XP_026492568.1, XP_026492563.1	DPOGS215130-PA
OG0002078	XP_026491598.1	DPOGS212207-PA
OG0002079	XP_026492262.1	DPOGS206441-PA
OG0002080	XP_026501301.1	DPOGS207025-PA
OG0002081	XP_026495442.1	DPOGS214357-PA
OG0002082	XP_026498659.1	DPOGS212289-PA
OG0002083	XP_026483954.1	DPOGS202495-PA
OG0002084	XP_026495475.1, XP_026495476.1	DPOGS214332-PA
OG0002085	XP_026491652.1	DPOGS211931-PA
OG0002086	XP_026497464.1	DPOGS214868-PA
OG0002087	XP_026497006.1	DPOGS208881-PA
OG0002088	XP_026492022.1	DPOGS206584-PA
OG0002089	XP_026495937.1, XP_026495936.1	DPOGS209720-PA
OG0002090	XP_026488289.1, XP_026488460.1	DPOGS203620-PA
OG0002091	XP_026488938.1	DPOGS206952-PA
OG0002092	XP_026492549.1, XP_026492543.1, XP_026492550.1, XP_026492553.1	DPOGS206586-PA
OG0002093	XP_026488486.1	DPOGS203622-PA
OG0002094	XP_026493546.1, XP_026493547.1	DPOGS208049-PA
OG0002095	XP_026499657.1, XP_026499656.1	DPOGS207810-PA
OG0002096	XP_026489023.1	DPOGS206950-PA
OG0002097	XP_026493429.1	DPOGS208019-PA
OG0002098	XP_026491564.1, XP_026491563.1	DPOGS215965-PA
OG0002099	XP_026493689.1, XP_026493691.1, XP_026493690.1	DPOGS203716-PA
OG0002100	XP_026496511.1	DPOGS202890-PA, DPOGS210531-PA, DPOGS202889-PA
OG0002101	XP_026486138.1	DPOGS207573-PA
OG0002102	XP_026485012.1	DPOGS208665-PA
OG0002103	XP_026496476.1, XP_026496477.1	DPOGS202907-PA
OG0002104	XP_026500061.1	DPOGS200481-PA
OG0002105	XP_026488392.1	DPOGS203593-PA
OG0002106	XP_026501106.1	DPOGS200482-PA
OG0002107	XP_026487418.1	DPOGS214243-PA, DPOGS214244-PA
OG0002108	XP_026498912.1	DPOGS204026-PA
OG0002109	XP_026493923.1	DPOGS207232-PA, DPOGS201772-PA
OG0002110	XP_026500066.1	DPOGS206415-PA
OG0002111	XP_026487859.1, XP_026487858.1	DPOGS203719-PA
OG0002112	XP_026496509.1	DPOGS202898-PA
OG0002113	XP_026496662.1	DPOGS200496-PA
OG0002114	XP_026493329.1	DPOGS209545-PA
OG0002115	XP_026486872.1	DPOGS207275-PA
OG0002116	XP_026483179.1, XP_026483178.1, XP_026483180.1	DPOGS209028-PA
OG0002117	XP_026486044.1	DPOGS202459-PA
OG0002118	XP_026488390.1	DPOGS213441-PA
OG0002119	XP_026486022.1	DPOGS202447-PA, DPOGS202448-PA
OG0002120	XP_026496735.1	DPOGS208908-PA
OG0002121	XP_026489029.1, XP_026489028.1	DPOGS206939-PA
OG0002122	XP_026494871.1	DPOGS212990-PA
OG0002123	XP_026499996.1, XP_026499527.1	DPOGS203914-PA
OG0002124	XP_026499833.1, XP_026499832.1, XP_026499834.1	DPOGS207730-PA
OG0002125	XP_026496779.1	DPOGS208900-PA
OG0002126	XP_026487446.1	DPOGS214236-PA
OG0002127	XP_026488501.1	DPOGS214696-PA
OG0002128	XP_026499283.1	DPOGS203908-PA
OG0002129	XP_026487552.1	DPOGS214148-PA
OG0002130	XP_026483975.1, XP_026483974.1	DPOGS205876-PA
OG0002132	XP_026493317.1	DPOGS200022-PA
OG0002133	XP_026496560.1	DPOGS201465-PA
OG0002134	XP_026492838.1	DPOGS208920-PA
OG0002135	XP_026489927.1, XP_026489937.1	DPOGS203937-PA
OG0002136	XP_026491171.1	DPOGS211911-PA
OG0002137	XP_026490301.1, XP_026490302.1	DPOGS205747-PA
OG0002138	XP_026493236.1	DPOGS205362-PA, DPOGS215408-PA
OG0002139	XP_026483926.1	DPOGS205535-PA
OG0002140	XP_026499117.1	DPOGS213625-PA
OG0002141	XP_026489210.1	DPOGS212314-PA
OG0002142	XP_026492815.1, XP_026492816.1, XP_026492814.1, XP_026492813.1	DPOGS208933-PA
OG0002143	XP_026492825.1	DPOGS213656-PA
OG0002144	XP_026492823.1, XP_026492822.1	DPOGS208930-PA
OG0002145	XP_026488073.1, XP_026488074.1	DPOGS206932-PA
OG0002146	XP_026494978.1	DPOGS202125-PA
OG0002147	XP_026485623.1	DPOGS210715-PA
OG0002148	XP_026484506.1	DPOGS204272-PA
OG0002149	XP_026490820.1	DPOGS200310-PA
OG0002150	XP_026490834.1	DPOGS200319-PA, DPOGS200320-PA
OG0002152	XP_026489517.1	DPOGS202817-PA
OG0002153	XP_026497805.1	DPOGS202360-PA, DPOGS211245-PA
OG0002154	XP_026488707.1	DPOGS209960-PA
OG0002155	XP_026490771.1	DPOGS207018-PA
OG0002156	XP_026485997.1	DPOGS205850-PA
OG0002157	XP_026483959.1	DPOGS202538-PA
OG0002158	XP_026496490.1	DPOGS202884-PA
OG0002159	XP_026490310.1	DPOGS203575-PA
OG0002159	XP_026490272.1	DPOGS203574-PA
OG0002160	XP_026490255.1	DPOGS203491-PA
OG0002161	XP_026496087.1, XP_026496086.1	DPOGS200872-PA
OG0002163	XP_026500053.1, XP_026500052.1	DPOGS210604-PA, DPOGS210603-PA
OG0002164	XP_026490802.1	DPOGS200337-PA
OG0002165	XP_026484695.1, XP_026484694.1, XP_026484696.1	DPOGS208717-PA
OG0002166	XP_026500025.1	DPOGS203580-PA
OG0002167	XP_026487660.1	DPOGS214089-PA
OG0002168	XP_026500782.1, XP_026496077.1	DPOGS200868-PA
OG0002169	XP_026493022.1, XP_026493021.1	DPOGS200207-PA
OG0002170	XP_026500638.1	DPOGS203312-PA
OG0002171	XP_026485222.1	DPOGS200865-PA
OG0002172	XP_026497795.1	DPOGS214919-PA
OG0002173	XP_026490259.1, XP_026490260.1, XP_026490261.1, XP_026490262.1	DPOGS211604-PA
OG0002174	XP_026490930.1	DPOGS200289-PA
OG0002175	XP_026501735.1	DPOGS207692-PA
OG0002177	XP_026499916.1	DPOGS212341-PA, DPOGS214682-PA
OG0002178	XP_026487505.1	DPOGS207637-PA
OG0002179	XP_026487493.1	DPOGS207627-PA
OG0002180	XP_026501654.1	DPOGS204761-PA
OG0002181	XP_026490794.1, XP_026490817.1	DPOGS200365-PA
OG0002182	XP_026493922.1	DPOGS206668-PA
OG0002183	XP_026491090.1, XP_026491089.1	DPOGS200730-PA
OG0002184	XP_026490856.1	DPOGS215068-PA
OG0002185	XP_026491702.1	DPOGS209337-PA, DPOGS209336-PA, DPOGS209335-PA
OG0002186	XP_026486999.1	DPOGS215064-PA
OG0002187	XP_026491388.1	DPOGS205681-PA, DPOGS209297-PA
OG0002188	XP_026489197.1	DPOGS210216-PA
OG0002189	XP_026491996.1	DPOGS213321-PA
OG0002190	XP_026491923.1	DPOGS200051-PA
OG0002191	XP_026483231.1	DPOGS205691-PA
OG0002192	XP_026500675.1	DPOGS203023-PA
OG0002193	XP_026489124.1, XP_026489125.1	DPOGS210241-PA
OG0002194	XP_026486494.1	DPOGS205714-PA
OG0002196	XP_026501530.1	DPOGS206717-PA, DPOGS206716-PA
OG0002197	XP_026485056.1	DPOGS202179-PA
OG0002198	XP_026484479.1	DPOGS202153-PA, DPOGS202152-PA, DPOGS202150-PA
OG0002199	XP_026490490.1	DPOGS201902-PA, DPOGS201904-PA, DPOGS201903-PA
OG0002200	XP_026484497.1	DPOGS202169-PA
OG0002201	XP_026484517.1, XP_026484516.1	DPOGS202168-PA
OG0002202	XP_026489155.1, XP_026500030.1	DPOGS210232-PA
OG0002203	XP_026497209.1, XP_026497203.1	DPOGS206125-PA
OG0002204	XP_026485830.1	DPOGS213659-PA, DPOGS213658-PA
OG0002205	XP_026500424.1	DPOGS203366-PA
OG0002206	XP_026491380.1	DPOGS205669-PA
OG0002207	XP_026491364.1	DPOGS205667-PA
OG0002208	XP_026486650.1, XP_026486651.1	DPOGS209383-PA
OG0002209	XP_026484453.1	DPOGS202418-PA
OG0002210	XP_026485052.1	DPOGS202419-PA
OG0002211	XP_026490544.1, XP_026490542.1, XP_026490543.1, XP_026490540.1	DPOGS201872-PA
OG0002212	XP_026501312.1	DPOGS206833-PA
OG0002213	XP_026491543.1	DPOGS205658-PA
OG0002214	XP_026491064.1	DPOGS205635-PA
OG0002215	XP_026491947.1	DPOGS215155-PA, DPOGS210169-PA
OG0002216	XP_026498353.1, XP_026498343.1	DPOGS208365-PA
OG0002217	XP_026490513.1	DPOGS201556-PA, DPOGS201557-PA
OG0002218	XP_026490498.1	DPOGS201569-PA
OG0002219	XP_026491969.1	DPOGS214826-PA
OG0002220	XP_026491891.1	DPOGS206519-PA
OG0002221	XP_026497073.1, XP_026497072.1	DPOGS201449-PA
OG0002222	XP_026488794.1	DPOGS211799-PA, DPOGS201574-PA
OG0002223	XP_026490426.1	DPOGS203283-PA
OG0002224	XP_026497064.1	DPOGS201501-PA
OG0002225	XP_026485104.1	DPOGS211461-PA
OG0002226	XP_026497162.1	DPOGS201519-PA
OG0002227	XP_026494733.1	DPOGS201741-PA
OG0002228	XP_026486271.1	DPOGS208611-PA
OG0002230	XP_026492009.1	DPOGS214829-PA, DPOGS214830-PA
OG0002231	XP_026488767.1	DPOGS214549-PA
OG0002232	XP_026498086.1	DPOGS215725-PA
OG0002233	XP_026493190.1	DPOGS215405-PA
OG0002234	XP_026492165.1	DPOGS201661-PA
OG0002235	XP_026488428.1	DPOGS213301-PA
OG0002247	XP_026491546.1	DPOGS211941-PA
OG0002248	XP_026496151.1	DPOGS213238-PA
OG0002249	XP_026486524.1, XP_026486525.1	DPOGS206021-PA
OG0002250	XP_026496247.1	DPOGS203226-PA, DPOGS203227-PA
OG0002251	XP_026499016.1	DPOGS210806-PA
OG0002253	XP_026496251.1	DPOGS203138-PA, DPOGS203139-PA
OG0002254	XP_026493398.1	DPOGS208033-PA
OG0002255	XP_026489247.1	DPOGS211050-PA
OG0002256	XP_026496916.1	DPOGS203536-PA
OG0002257	XP_026492137.1	DPOGS206296-PA
OG0002258	XP_026485654.1, XP_026485655.1	DPOGS208224-PA
OG0002259	XP_026489304.1	DPOGS210903-PA
OG0002260	XP_026490982.1	DPOGS214761-PA
OG0002261	XP_026486769.1	DPOGS211530-PA
OG0002262	XP_026498530.1	DPOGS201614-PA
OG0002263	XP_026486170.1	DPOGS208624-PA
OG0002264	XP_026499012.1	DPOGS210802-PA
OG0002265	XP_026497421.1	DPOGS212484-PA
OG0002266	XP_026483391.1	DPOGS200450-PA
OG0002267	XP_026487100.1	DPOGS202953-PA
OG0002268	XP_026492118.1, XP_026492117.1	DPOGS201182-PA
OG0002269	XP_026494030.1	DPOGS211777-PA
OG0002270	XP_026492418.1	DPOGS213227-PA
OG0002271	XP_026501210.1	DPOGS208789-PA
OG0002272	XP_026496164.1	DPOGS201224-PA
OG0002273	XP_026483106.1	DPOGS202396-PA
OG0002274	XP_026500922.1	DPOGS212588-PA
OG0002275	XP_026485242.1, XP_026498412.1	DPOGS213359-PA
OG0002276	XP_026492318.1	DPOGS206474-PA
OG0002277	XP_026483386.1	DPOGS214426-PA
OG0002278	XP_026492882.1	DPOGS213896-PA
OG0002278	XP_026492888.1	DPOGS213895-PA
OG0002279	XP_026499031.1	DPOGS210809-PA
OG0002280	XP_026499008.1	DPOGS210810-PA
OG0002281	XP_026499009.1	DPOGS210858-PA, DPOGS210857-PA
OG0002282	XP_026485258.1	DPOGS213354-PA
OG0002283	XP_026496447.1	DPOGS201595-PA
OG0002284	XP_026498958.1	DPOGS210812-PA
OG0002286	XP_026495486.1	DPOGS205464-PA
OG0002287	XP_026485660.1	DPOGS213903-PA
OG0002288	XP_026500921.1	DPOGS212635-PA
OG0002289	XP_026483888.1	DPOGS205146-PA
OG0002290	XP_026500296.1	DPOGS200907-PA
OG0002291	XP_026487287.1	DPOGS210336-PA
OG0002292	XP_026497422.1	DPOGS210151-PA
OG0002293	XP_026489331.1, XP_026489332.1	DPOGS210140-PA
OG0002294	XP_026485256.1	DPOGS213382-PA
OG0002295	XP_026483603.1	DPOGS204622-PA
OG0002296	XP_026491039.1	DPOGS204780-PA
OG0002297	XP_026487013.1	DPOGS202963-PA
OG0002298	XP_026499449.1	DPOGS208198-PA
OG0002299	XP_026499437.1	DPOGS208201-PA
OG0002300	XP_026501221.1	DPOGS208792-PA
OG0002301	XP_026483162.1	DPOGS207368-PA, DPOGS205041-PA
OG0002302	XP_026494077.1, XP_026494081.1	DPOGS209118-PA, DPOGS209117-PA
OG0002303	XP_026500932.1	DPOGS207912-PA
OG0002304	XP_026483166.1	DPOGS209115-PA
OG0002304	XP_026483079.1	DPOGS209114-PA
OG0002305	XP_026500490.1	DPOGS207178-PA
OG0002306	XP_026491144.1	DPOGS204746-PA
OG0002307	XP_026491145.1	DPOGS204776-PA
OG0002308	XP_026490026.1	DPOGS210104-PA
OG0002309	XP_026493884.1	DPOGS206604-PA
OG0002310	XP_026483472.1	DPOGS214391-PA
OG0002311	XP_026483069.1	DPOGS205014-PA
OG0002312	XP_026501820.1, XP_026501821.1	DPOGS213915-PA
OG0002313	XP_026499435.1, XP_026499434.1	DPOGS208205-PA
OG0002314	XP_026492207.1	DPOGS201201-PA, DPOGS207230-PA
OG0002315	XP_026490366.1	DPOGS216123-PA
OG0002316	XP_026489860.1	DPOGS213342-PA
OG0002317	XP_026483118.1	DPOGS209112-PA
OG0002318	XP_026500153.1	DPOGS207358-PA, DPOGS207357-PA
OG0002319	XP_026493141.1	DPOGS205964-PA, DPOGS208057-PA
OG0002321	XP_026495220.1, XP_026495228.1, XP_026495211.1	DPOGS211794-PA
OG0002322	XP_026495191.1	DPOGS211764-PA
OG0002323	XP_026500254.1	DPOGS207324-PA
OG0002324	XP_026490065.1, XP_026490066.1	DPOGS210103-PA
OG0002325	XP_026483099.1	DPOGS203887-PA
OG0002326	XP_026483938.1	DPOGS211813-PA
OG0002327	XP_026490043.1	DPOGS210060-PA
OG0002328	XP_026483337.1	DPOGS214414-PA
OG0002329	XP_026500222.1	DPOGS207362-PA
OG0002330	XP_026483334.1	DPOGS214402-PA
OG0002331	XP_026490049.1	DPOGS210061-PA
OG0002333	XP_026500968.1, XP_026500967.1	DPOGS205330-PA
OG0002334	XP_026484180.1	DPOGS211816-PA
OG0002335	XP_026487058.1	DPOGS206387-PA
OG0002336	XP_026483596.1	DPOGS214403-PA
OG0002337	XP_026496905.1	DPOGS204519-PA
OG0002338	XP_026489738.1	DPOGS205114-PA, DPOGS205923-PA
OG0002339	XP_026487035.1, XP_026487034.1	DPOGS206374-PA
OG0002340	XP_026491253.1, XP_026491254.1	DPOGS202677-PA, DPOGS202641-PA
OG0002341	XP_026500134.1	DPOGS200216-PA
OG0002342	XP_026494108.1, XP_026494107.1, XP_026494099.1, XP_026494100.1	DPOGS207911-PA
OG0002343	XP_026500362.1	DPOGS210538-PA
OG0002344	XP_026498827.1	DPOGS210284-PA
OG0002346	XP_026494275.1	DPOGS204146-PA
OG0002347	XP_026489324.1	DPOGS210900-PA
OG0002348	XP_026492921.1	DPOGS213651-PA
OG0002349	XP_026483221.1	DPOGS210177-PA
OG0002350	XP_026500944.1	DPOGS204203-PA
OG0002351	XP_026500009.1	DPOGS215029-PA
OG0002352	XP_026498808.1	DPOGS202585-PA
OG0002353	XP_026490696.1	DPOGS211524-PA
OG0002354	XP_026500480.1	DPOGS207171-PA
OG0002355	XP_026496304.1, XP_026496303.1	DPOGS214513-PA
OG0002356	XP_026500070.1	DPOGS204601-PA
OG0002357	XP_026498217.1	DPOGS211262-PA
OG0002358	XP_026484247.1	DPOGS209840-PA
OG0002360	XP_026499513.1	DPOGS214972-PA
OG0002361	XP_026498081.1	DPOGS215710-PA
OG0002362	XP_026490217.1	DPOGS210173-PA, DPOGS203944-PA
OG0002363	XP_026492965.1	DPOGS205491-PA
OG0002364	XP_026500156.1	DPOGS209776-PA
OG0002365	XP_026498216.1	DPOGS206213-PA
OG0002366	XP_026493403.1, XP_026498223.1	DPOGS206253-PA
OG0002367	XP_026489999.1	DPOGS209626-PA, DPOGS209627-PA
OG0002368	XP_026484281.1, XP_026484282.1, XP_026484283.1	DPOGS209838-PA
OG0002369	XP_026488752.1	DPOGS214557-PA
OG0002371	XP_026496147.1	DPOGS211546-PA
OG0002372	XP_026492940.1	DPOGS202721-PA
OG0002373	XP_026489978.1	DPOGS209633-PA
OG0002374	XP_026492939.1	DPOGS202707-PA
OG0002375	XP_026495453.1	DPOGS202868-PA, DPOGS214362-PA
OG0002376	XP_026489974.1	DPOGS209635-PA
OG0002377	XP_026483529.1	DPOGS200883-PA
OG0002378	XP_026486602.1	DPOGS216204-PA
OG0002379	XP_026483518.1	DPOGS203093-PA
OG0002380	XP_026486739.1, XP_026486740.1	DPOGS214490-PA
OG0002381	XP_026486716.1	DPOGS216187-PA
OG0002382	XP_026495808.1	DPOGS209488-PA, DPOGS209487-PA
OG0002383	XP_026501110.1, XP_026501111.1	DPOGS215326-PA
OG0002384	XP_026498103.1, XP_026498104.1	DPOGS215722-PA
OG0002385	XP_026495518.1	DPOGS209522-PA
OG0002386	XP_026492206.1	DPOGS206345-PA
OG0002387	XP_026488876.1	DPOGS212969-PA
OG0002388	XP_026501158.1	DPOGS215307-PA
OG0002389	XP_026483513.1	DPOGS211699-PA
OG0002390	XP_026489346.1	DPOGS210902-PA
OG0002391	XP_026498096.1, XP_026498097.1, XP_026498098.1	DPOGS215726-PA
OG0002392	XP_026489616.1	DPOGS204149-PA
OG0002393	XP_026492381.1	DPOGS206341-PA, DPOGS206342-PA
OG0002394	XP_026492968.1	DPOGS200222-PA
OG0002395	XP_026488839.1	DPOGS212970-PA
OG0002396	XP_026489730.1, XP_026489731.1, XP_026489732.1, XP_026489729.1	DPOGS211332-PA
OG0002397	XP_026500051.1, XP_026491773.1	DPOGS202655-PA
OG0002398	XP_026484300.1	DPOGS209800-PA
OG0002399	XP_026490235.1	DPOGS200797-PA
OG0002400	XP_026490173.1	DPOGS216160-PA
OG0002401	XP_026494179.1	DPOGS208416-PA
OG0002402	XP_026490705.1	DPOGS211505-PA
OG0002403	XP_026500470.1	DPOGS206799-PA
OG0002404	XP_026492292.1	DPOGS206339-PA
OG0002405	XP_026490652.1	DPOGS213891-PA
OG0002406	XP_026500450.1, XP_026500451.1	DPOGS207159-PA
OG0002407	XP_026498836.1	DPOGS215553-PA
OG0002408	XP_026490657.1	DPOGS214931-PA, DPOGS214932-PA
OG0002409	XP_026494188.1	DPOGS208402-PA
OG0002410	XP_026491167.1	DPOGS202659-PA
OG0002411	XP_026489645.1	DPOGS211293-PA, DPOGS211292-PA, DPOGS211242-PA
OG0002412	XP_026500519.1, XP_026500520.1	DPOGS206794-PA, DPOGS206795-PA
OG0002413	XP_026489617.1	DPOGS211232-PA
OG0002414	XP_026501125.1, XP_026501124.1, XP_026501123.1	DPOGS215341-PA, DPOGS215340-PA
OG0002415	XP_026489710.1	DPOGS208630-PA, DPOGS204159-PA
OG0002416	XP_026492492.1	DPOGS206192-PA
OG0002417	XP_026489711.1	DPOGS204197-PA
OG0002418	XP_026490680.1	DPOGS209433-PA
OG0002419	XP_026483291.1	DPOGS215529-PA
OG0002420	XP_026497244.1	DPOGS204636-PA
OG0002421	XP_026500911.1, XP_026500832.1	DPOGS209460-PA
OG0002422	XP_026487771.1	DPOGS200670-PA
OG0002423	XP_026501129.1	DPOGS203856-PA, DPOGS203857-PA
OG0002424	XP_026497241.1	DPOGS204642-PA
OG0002425	XP_026494126.1	DPOGS203882-PA
OG0002426	XP_026486618.1	DPOGS215689-PA
OG0002427	XP_026495534.1	DPOGS204697-PA
OG0002428	XP_026501585.1, XP_026501575.1, XP_026501565.1	DPOGS209445-PA
OG0002429	XP_026500085.1	DPOGS215221-PA
OG0002430	XP_026486590.1	DPOGS215736-PA, DPOGS215735-PA
OG0002431	XP_026486589.1	DPOGS215686-PA
OG0002432	XP_026496053.1	DPOGS204597-PA, DPOGS209938-PA
OG0002433	XP_026489987.1	DPOGS212181-PA
OG0002434	XP_026494205.1	DPOGS202269-PA
OG0002435	XP_026498819.1	DPOGS210285-PA
OG0002436	XP_026498507.1	DPOGS204134-PA
OG0002437	XP_026484807.1	DPOGS208802-PA
OG0002438	XP_026483405.1	DPOGS200468-PA
OG0002439	XP_026483417.1	DPOGS203188-PA
OG0002440	XP_026488754.1	DPOGS206764-PA
OG0002441	XP_026483383.1	DPOGS203186-PA
OG0002442	XP_026490337.1, XP_026490338.1, XP_026490336.1	DPOGS213789-PA
OG0002443	XP_026484273.1	DPOGS209813-PA
OG0002444	XP_026498480.1, XP_026498481.1	DPOGS204131-PA
OG0002445	XP_026484206.1	DPOGS200154-PA
OG0002446	XP_026483419.1	DPOGS203197-PA
