Orthogroup	Vanessa_tameamea	Vanessa_cardui
OG0000988	XP_026487736.1	Vcard_DToL05809-RA
OG0000989	XP_026494356.1, XP_026494354.1, XP_026494353.1, XP_026494352.1, XP_026494358.1, XP_026494355.1	Vcard_DToL14421-RA
OG0000990	XP_026499588.1	Vcard_DToL09318-RA
OG0000991	XP_026498764.1	Vcard_DToL16172-RA, Vcard_DToL16173-RA
OG0000992	XP_026489072.1	Vcard_DToL07782-RA
OG0000993	XP_026497379.1	Vcard_DToL15424-RA
OG0000994	XP_026498272.1	Vcard_DToL14254-RA, Vcard_DToL14256-RA
OG0000995	XP_026486912.1	Vcard_DToL12035-RA
OG0000996	XP_026491408.1	Vcard_DToL03983-RA, Vcard_DToL03982-RA
OG0000997	XP_026486017.1, XP_026486016.1	Vcard_DToL05428-RA, Vcard_DToL05429-RA
OG0000998	XP_026496472.1	Vcard_DToL13747-RA, Vcard_DToL13748-RA
OG0000999	XP_026498251.1, XP_026498250.1, XP_026498249.1	Vcard_DToL14275-RA
OG0001000	XP_026498583.1	Vcard_DToL03022-RA
OG0001000	XP_026498588.1	Vcard_DToL03024-RA
OG0001001	XP_026499824.1, XP_026499825.1, XP_026499827.1	Vcard_DToL09234-RA
OG0001003	XP_026483986.1	Vcard_DToL17206-RA
OG0001004	XP_026487653.1	Vcard_DToL05705-RA
OG0001004	XP_026487652.1	Vcard_DToL05706-RA
OG0001005	XP_026492829.1	Vcard_DToL07512-RA
OG0001006	XP_026486913.1, XP_026486821.1	Vcard_DToL12095-RA
OG0001007	XP_026488007.1	Vcard_DToL12540-RA
OG0001008	XP_026484221.1	Vcard_DToL06654-RA
OG0001008	XP_026484240.1	Vcard_DToL06653-RA
OG0001009	XP_026490305.1	Vcard_DToL10865-RA
OG0001010	XP_026490883.1	Vcard_DToL04584-RA
OG0001011	XP_026488031.1	Vcard_DToL12520-RA
OG0001013	XP_026492598.1, XP_026492597.1	Vcard_DToL01696-RA
OG0001014	XP_026489174.1	Vcard_DToL07594-RA
OG0001015	XP_026501411.1	Vcard_DToL08130-RA, Vcard_DToL08129-RA
OG0001016	XP_026489175.1	Vcard_DToL07596-RA, Vcard_DToL07595-RA
OG0001017	XP_026487494.1	Vcard_DToL05602-RA
OG0001018	XP_026489157.1	Vcard_DToL07609-RA
OG0001020	XP_026488129.1	Vcard_DToL04678-RA
OG0001021	XP_026486493.1	Vcard_DToL09073-RA
OG0001022	XP_026491877.1	Vcard_DToL15801-RA
OG0001023	XP_026490451.1	Vcard_DToL05483-RA
OG0001023	XP_026490452.1	Vcard_DToL05481-RA
OG0001024	XP_026484320.1	Vcard_DToL02640-RA
OG0001024	XP_026485047.1	Vcard_DToL02639-RA
OG0001025	XP_026491882.1	Vcard_DToL15824-RA
OG0001026	XP_026483235.1	Vcard_DToL04726-RA
OG0001028	XP_026501631.1	Vcard_DToL08417-RA
OG0001029	XP_026488775.1	Vcard_DToL05570-RA
OG0001030	XP_026488770.1	Vcard_DToL05579-RA
OG0001030	XP_026488797.1	Vcard_DToL05581-RA
OG0001031	XP_026488779.1	Vcard_DToL05591-RA
OG0001031	XP_026495585.1	Vcard_DToL12778-RA
OG0001032	XP_026496610.1	Vcard_DToL01399-RA, Vcard_DToL01397-RA
OG0001033	XP_026495647.1	Vcard_DToL15010-RA, Vcard_DToL15433-RA
OG0001036	XP_026490504.1, XP_026490459.1	Vcard_DToL05461-RA
OG0001037	XP_026501177.1	Vcard_DToL01822-RA
OG0001042	XP_026483670.1	Vcard_DToL17488-RA
OG0001043	XP_026493100.1	Vcard_DToL09971-RA
OG0001044	XP_026491428.1	Vcard_DToL03452-RA
OG0001046	XP_026499015.1	Vcard_DToL04003-RA, Vcard_DToL04004-RA
OG0001047	XP_026485367.1	Vcard_DToL10621-RA, Vcard_DToL10623-RA
OG0001048	XP_026492565.1, XP_026492569.1, XP_026492562.1, XP_026492566.1	Vcard_DToL18622-RA
OG0001049	XP_026483110.1	Vcard_DToL18691-RA
OG0001050	XP_026499428.1	Vcard_DToL15889-RA
OG0001051	XP_026493203.1	Vcard_DToL10008-RA
OG0001052	XP_026490604.1	Vcard_DToL17645-RA
OG0001052	XP_026490577.1	Vcard_DToL17646-RA
OG0001053	XP_026487078.1	Vcard_DToL00821-RA
OG0001054	XP_026497959.1, XP_026497951.1	Vcard_DToL00322-RA
OG0001055	XP_026501117.1, XP_026501116.1, XP_026501118.1	Vcard_DToL01860-RA
OG0001056	XP_026500031.1	Vcard_DToL09064-RA
OG0001057	XP_026483127.1	Vcard_DToL18704-RA
OG0001058	XP_026483527.1	Vcard_DToL18433-RA
OG0001059	XP_026500173.1	Vcard_DToL15156-RA
OG0001060	XP_026499433.1	Vcard_DToL15906-RA
OG0001061	XP_026498995.1	Vcard_DToL04054-RA, Vcard_DToL04052-RA
OG0001062	XP_026495784.1, XP_026493644.1, XP_026493794.1, XP_026493643.1, XP_026493795.1	Vcard_DToL14084-RA
OG0001063	XP_026500124.1	Vcard_DToL15144-RA
OG0001064	XP_026501024.1	Vcard_DToL13086-RA
OG0001065	XP_026493056.1	Vcard_DToL09996-RA
OG0001065	XP_026493054.1	Vcard_DToL09998-RA
OG0001066	XP_026483940.1	Vcard_DToL17380-RA
OG0001066	XP_026483939.1	Vcard_DToL17381-RA
OG0001067	XP_026494075.1, XP_026494074.1, XP_026494076.1, XP_026494080.1	Vcard_DToL18731-RA
OG0001068	XP_026489984.1	Vcard_DToL09036-RA
OG0001069	XP_026501233.1, XP_026501232.1	Vcard_DToL01847-RA
OG0001070	XP_026487281.1	Vcard_DToL12429-RA
OG0001071	XP_026483594.1	Vcard_DToL18517-RA, Vcard_DToL18519-RA
OG0001072	XP_026493245.1	Vcard_DToL09987-RA, Vcard_DToL09988-RA
OG0001073	XP_026489282.1	Vcard_DToL06262-RA
OG0001074	XP_026492928.1	Vcard_DToL16842-RA
OG0001075	XP_026494187.1	Vcard_DToL14653-RA
OG0001076	XP_026492878.1, XP_026492875.1, XP_026492869.1, XP_026492867.1	Vcard_DToL17845-RA
OG0001076	XP_026486434.1	Vcard_DToL17844-RA
OG0001078	XP_026500439.1	Vcard_DToL00037-RA
OG0001079	XP_026484060.1	Vcard_DToL17394-RA
OG0001081	XP_026486854.1	Vcard_DToL13660-RA
OG0001081	XP_026485266.1	Vcard_DToL00872-RA
OG0001083	XP_026492947.1	Vcard_DToL11277-RA
OG0001084	XP_026483526.1	Vcard_DToL18451-RA
OG0001085	XP_026498211.1	Vcard_DToL18808-RA
OG0001086	XP_026500157.1	Vcard_DToL15097-RA
OG0001087	XP_026498050.1	Vcard_DToL00885-RA
OG0001088	XP_026485267.1	Vcard_DToL04118-RA
OG0001089	XP_026489915.1	Vcard_DToL09001-RA
OG0001090	XP_026488866.1, XP_026488858.1, XP_026488850.1	Vcard_DToL12382-RA
OG0001091	XP_026489294.1	Vcard_DToL06248-RA, Vcard_DToL06246-RA
OG0001092	XP_026493543.1, XP_026493542.1, XP_026493545.1	Vcard_DToL08992-RA
OG0001093	XP_026493626.1, XP_026493627.1	Vcard_DToL04111-RA
OG0001095	XP_026484288.1	Vcard_DToL07092-RA
OG0001096	XP_026498724.1	Vcard_DToL16124-RA
OG0001097	XP_026490709.1	Vcard_DToL17919-RA
OG0001098	XP_026496027.1, XP_026496028.1	Vcard_DToL12985-RA
OG0001099	XP_026500118.1, XP_026500116.1, XP_026500117.1, XP_026500119.1	Vcard_DToL15119-RA
OG0001102	XP_026489636.1, XP_026489637.1	Vcard_DToL14702-RA
OG0001103	XP_026498438.1	Vcard_DToL10762-RA
OG0001104	XP_026490697.1	Vcard_DToL17933-RA
OG0001105	XP_026501711.1	Vcard_DToL06429-RA, Vcard_DToL06428-RA
OG0001107	XP_026488918.1	Vcard_DToL07890-RA
OG0001108	XP_026486417.1, XP_026486416.1	Vcard_DToL18829-RA, Vcard_DToL18830-RA
OG0001109	XP_026492290.1	Vcard_DToL09599-RA
OG0001110	XP_026488028.1	Vcard_DToL12523-RA
OG0001111	XP_026484260.1, XP_026484261.1, XP_026484259.1, XP_026484263.1	Vcard_DToL07075-RA
OG0001112	XP_026499269.1	Vcard_DToL00556-RA
OG0001112	XP_026483549.1	Vcard_DToL18308-RA
OG0001114	XP_026488582.1	Vcard_DToL08265-RA
OG0001115	XP_026500196.1, XP_026500197.1	Vcard_DToL15031-RA
OG0001116	XP_026497668.1, XP_026497669.1, XP_026497671.1, XP_026497670.1	Vcard_DToL16553-RA
OG0001117	XP_026489388.1	Vcard_DToL18161-RA
OG0001117	XP_026489399.1	Vcard_DToL18160-RA
OG0001118	XP_026490099.1	Vcard_DToL04887-RA, Vcard_DToL04886-RA
OG0001119	XP_026490933.1	Vcard_DToL04612-RA
OG0001120	XP_026494404.1	Vcard_DToL14620-RA
OG0001121	XP_026492435.1	Vcard_DToL15968-RA, Vcard_DToL15967-RA
OG0001122	XP_026500902.1	Vcard_DToL18562-RA
OG0001123	XP_026494636.1	Vcard_DToL11203-RA
OG0001124	XP_026494594.1	Vcard_DToL11201-RA
OG0001126	XP_026484584.1	Vcard_DToL01948-RA
OG0001127	XP_026497871.1	Vcard_DToL01027-RA
OG0001127	XP_026497870.1	Vcard_DToL01028-RA
OG0001129	XP_026495979.1, XP_026495978.1, XP_026495977.1	Vcard_DToL12861-RA
OG0001130	XP_026490228.1, XP_026490227.1	Vcard_DToL15943-RA
OG0001131	XP_026497372.1	Vcard_DToL15259-RA
OG0001132	XP_026485836.1, XP_026485835.1	Vcard_DToL04926-RA
OG0001133	XP_026489605.1, XP_026489606.1	Vcard_DToL08868-RA
OG0001133	XP_026495992.1	Vcard_DToL12928-RA
OG0001134	XP_026488363.1	Vcard_DToL06107-RA
OG0001135	XP_026499328.1, XP_026499329.1	Vcard_DToL16469-RA
OG0001137	XP_026495302.1, XP_026495303.1	Vcard_DToL08858-RA, Vcard_DToL08859-RA
OG0001139	XP_026486182.1, XP_026486180.1, XP_026486181.1	Vcard_DToL04940-RA
OG0001140	XP_026486148.1	Vcard_DToL16959-RA
OG0001141	XP_026491830.1	Vcard_DToL13994-RA
OG0001142	XP_026488303.1	Vcard_DToL04354-RA
OG0001143	XP_026495357.1	Vcard_DToL08839-RA
OG0001144	XP_026486183.1	Vcard_DToL04942-RA
OG0001145	XP_026497409.1, XP_026497410.1, XP_026497407.1, XP_026497408.1, XP_026497406.1	Vcard_DToL15238-RA
OG0001146	XP_026489273.1	Vcard_DToL18101-RA
OG0001146	XP_026489180.1	Vcard_DToL18104-RA
OG0001147	XP_026489391.1	Vcard_DToL18147-RA
OG0001148	XP_026492357.1	Vcard_DToL09533-RA
OG0001149	XP_026489221.1	Vcard_DToL11923-RA
OG0001150	XP_026485944.1	Vcard_DToL04956-RA
OG0001150	XP_026485935.1	Vcard_DToL04955-RA
OG0001151	XP_026485839.1, XP_026485920.1	Vcard_DToL04964-RA
OG0001152	XP_026491523.1	Vcard_DToL03523-RA
OG0001153	XP_026499405.1, XP_026499407.1	Vcard_DToL16428-RA
OG0001154	XP_026496833.1	Vcard_DToL14841-RA
OG0001156	XP_026498270.1, XP_026498247.1, XP_026498254.1, XP_026498262.1	Vcard_DToL00319-RA
OG0001157	XP_026499862.1	Vcard_DToL16412-RA, Vcard_DToL16413-RA
OG0001158	XP_026500384.1	Vcard_DToL14832-RA
OG0001159	XP_026498219.1, XP_026488604.1	Vcard_DToL01306-RA, Vcard_DToL13633-RA, Vcard_DToL09819-RA
OG0001161	XP_026487094.1	Vcard_DToL18601-RA
OG0001162	XP_026491627.1	Vcard_DToL13333-RA, Vcard_DToL13329-RA
OG0001163	XP_026499858.1, XP_026499857.1	Vcard_DToL16395-RA
OG0001164	XP_026499873.1	Vcard_DToL16392-RA
OG0001165	XP_026487684.1, XP_026487685.1	Vcard_DToL06007-RA
OG0001166	XP_026491724.1	Vcard_DToL03612-RA
OG0001166	XP_026491723.1	Vcard_DToL03607-RA
OG0001167	XP_026491295.1, XP_026491294.1, XP_026491293.1, XP_026491292.1, XP_026491290.1, XP_026491291.1	Vcard_DToL03614-RA
OG0001168	XP_026489722.1, XP_026489721.1	Vcard_DToL14813-RA
OG0001169	XP_026483801.1	Vcard_DToL17499-RA, Vcard_DToL17501-RA
OG0001170	XP_026485608.1	Vcard_DToL10496-RA
OG0001171	XP_026493160.1	Vcard_DToL09858-RA, Vcard_DToL09859-RA
OG0001172	XP_026499749.1	Vcard_DToL15334-RA
OG0001172	XP_026497328.1	Vcard_DToL15330-RA
OG0001173	XP_026498750.1	Vcard_DToL16136-RA, Vcard_DToL16137-RA
OG0001174	XP_026500012.1	Vcard_DToL16514-RA, Vcard_DToL11289-RA
OG0001174	XP_026496514.1	Vcard_DToL11288-RA
OG0001175	XP_026489699.1	Vcard_DToL14796-RA, Vcard_DToL14793-RA
OG0001176	XP_026486074.1	Vcard_DToL05038-RA
OG0001177	XP_026487391.1, XP_026487390.1, XP_026487389.1	Vcard_DToL05956-RA
OG0001178	XP_026498729.1	Vcard_DToL16157-RA
OG0001179	XP_026496872.1	Vcard_DToL07308-RA
OG0001180	XP_026484773.1	Vcard_DToL02129-RA
OG0001181	XP_026494449.1	Vcard_DToL16327-RA
OG0001182	XP_026493381.1	Vcard_DToL10139-RA
OG0001183	XP_026489806.1, XP_026489805.1	Vcard_DToL02875-RA
OG0001184	XP_026495772.1	Vcard_DToL12792-RA
OG0001185	XP_026500585.1	Vcard_DToL00410-RA, Vcard_DToL00411-RA, Vcard_DToL00412-RA
OG0001186	XP_026492663.1	Vcard_DToL01569-RA
OG0001188	XP_026486934.1, XP_026486933.1	Vcard_DToL11966-RA
OG0001189	XP_026495963.1, XP_026495962.1	Vcard_DToL12802-RA
OG0001190	XP_026497975.1	Vcard_DToL04711-RA
OG0001191	XP_026489077.1	Vcard_DToL07856-RA
OG0001192	XP_026484577.1	Vcard_DToL02165-RA
OG0001193	XP_026493047.1	Vcard_DToL17076-RA
OG0001193	XP_026493592.1	Vcard_DToL17075-RA, Vcard_DToL17074-RA
OG0001194	XP_026497493.1	Vcard_DToL15376-RA
OG0001195	XP_026493941.1	Vcard_DToL11061-RA
OG0001196	XP_026495256.1, XP_026495258.1, XP_026495259.1, XP_026495260.1	Vcard_DToL08632-RA
OG0001197	XP_026492701.1	Vcard_DToL01614-RA
OG0001198	XP_026495635.1	Vcard_DToL12721-RA
OG0001199	XP_026495527.1	Vcard_DToL12718-RA
OG0001200	XP_026498205.1	Vcard_DToL09806-RA
OG0001200	XP_026498204.1	Vcard_DToL09808-RA
OG0001201	XP_026493725.1, XP_026493724.1	Vcard_DToL01282-RA
OG0001202	XP_026489026.1	Vcard_DToL07801-RA
OG0001203	XP_026498256.1	Vcard_DToL14211-RA
OG0001203	XP_026498259.1	Vcard_DToL14212-RA
OG0001204	XP_026484152.1	Vcard_DToL17301-RA, Vcard_DToL17302-RA
OG0001205	XP_026486858.1	Vcard_DToL11990-RA, Vcard_DToL11991-RA
OG0001206	XP_026487555.1	Vcard_DToL05848-RA
OG0001207	XP_026495001.1	Vcard_DToL08580-RA, Vcard_DToL08579-RA
OG0001208	XP_026491065.1	Vcard_DToL03727-RA, Vcard_DToL03726-RA
OG0001209	XP_026493775.1	Vcard_DToL01249-RA
OG0001209	XP_026493771.1	Vcard_DToL01248-RA
OG0001210	XP_026488489.1	Vcard_DToL04398-RA
OG0001211	XP_026494396.1	Vcard_DToL14432-RA
OG0001212	XP_026492338.1	Vcard_DToL09489-RA
OG0001213	XP_026488462.1	Vcard_DToL04415-RA
OG0001213	XP_026488463.1	Vcard_DToL04413-RA
OG0001214	XP_026497454.1	Vcard_DToL15415-RA
OG0001214	XP_026497453.1	Vcard_DToL15414-RA
OG0001215	XP_026489557.1	Vcard_DToL16181-RA
OG0001216	XP_026499695.1	Vcard_DToL09315-RA
OG0001217	XP_026484063.1	Vcard_DToL17326-RA, Vcard_DToL17327-RA
OG0001218	XP_026494242.1, XP_026494165.1	Vcard_DToL14419-RA
OG0001220	XP_026488955.1, XP_026488956.1, XP_026488957.1	Vcard_DToL07784-RA
OG0001221	XP_026493855.1, XP_026493854.1, XP_026493853.1	Vcard_DToL11086-RA
OG0001222	XP_026498642.1, XP_026498643.1	Vcard_DToL03015-RA, Vcard_DToL03014-RA
OG0001223	XP_026484983.1	Vcard_DToL02301-RA
OG0001223	XP_026484985.1	Vcard_DToL02300-RA
OG0001224	XP_026496507.1	Vcard_DToL13762-RA
OG0001225	XP_026496479.1, XP_026496480.1	Vcard_DToL13757-RA
OG0001226	XP_026484874.1	Vcard_DToL02259-RA, Vcard_DToL02269-RA, Vcard_DToL02268-RA
OG0001227	XP_026499609.1	Vcard_DToL09271-RA
OG0001228	XP_026498889.1	Vcard_DToL14378-RA, Vcard_DToL14377-RA, Vcard_DToL14375-RA
OG0001230	XP_026498282.1	Vcard_DToL14284-RA
OG0001231	XP_026498688.1	Vcard_DToL04477-RA
OG0001231	XP_026483067.1	Vcard_DToL04475-RA
OG0001232	XP_026496014.1	Vcard_DToL12600-RA
OG0001233	XP_026498231.1	Vcard_DToL14296-RA, Vcard_DToL14295-RA
OG0001234	XP_026487472.1, XP_026487473.1, XP_026487471.1, XP_026487470.1	Vcard_DToL05742-RA
OG0001235	XP_026499143.1	Vcard_DToL12155-RA
OG0001236	XP_026499223.1	Vcard_DToL12145-RA, Vcard_DToL12142-RA
OG0001237	XP_026484890.1	Vcard_DToL02401-RA
OG0001239	XP_026497717.1, XP_026497716.1	Vcard_DToL15613-RA
OG0001240	XP_026496577.1	Vcard_DToL01438-RA, Vcard_DToL01440-RA
OG0001241	XP_026484610.1, XP_026484611.1	Vcard_DToL02421-RA
OG0001242	XP_026487512.1	Vcard_DToL05667-RA
OG0001243	XP_026488060.1, XP_026488059.1	Vcard_DToL08219-RA
OG0001244	XP_026489226.1	Vcard_DToL11911-RA
OG0001245	XP_026493362.1	Vcard_DToL10065-RA
OG0001246	XP_026486549.1	Vcard_DToL09195-RA
OG0001247	XP_026497810.1, XP_026497807.1, XP_026497812.1, XP_026497809.1, XP_026497808.1	Vcard_DToL15695-RA
OG0001248	XP_026492988.1	Vcard_DToL10304-RA, Vcard_DToL10305-RA
OG0001249	XP_026496492.1	Vcard_DToL13785-RA
OG0001250	XP_026486163.1, XP_026486160.1, XP_026486162.1	Vcard_DToL05310-RA
OG0001251	XP_026498520.1, XP_026497197.1	Vcard_DToL09179-RA
OG0001252	XP_026499508.1, XP_026499509.1	Vcard_DToL17850-RA
OG0001253	XP_026487818.1	Vcard_DToL05643-RA, Vcard_DToL05642-RA
OG0001254	XP_026496456.1, XP_026496457.1, XP_026496458.1	Vcard_DToL13769-RA
OG0001255	XP_026497323.1	Vcard_DToL00604-RA
OG0001256	XP_026489452.1	Vcard_DToL06976-RA
OG0001257	XP_026488036.1	Vcard_DToL12518-RA, Vcard_DToL12519-RA
OG0001258	XP_026494490.1	Vcard_DToL08143-RA
OG0001258	XP_026494491.1	Vcard_DToL08142-RA
OG0001259	XP_026492576.1	Vcard_DToL01693-RA
OG0001260	XP_026494508.1, XP_026494510.1, XP_026494507.1	Vcard_DToL08132-RA
OG0001260	XP_026494509.1	Vcard_DToL08131-RA
OG0001261	XP_026486442.1	Vcard_DToL07007-RA
OG0001262	XP_026491173.1, XP_026491174.1	Vcard_DToL03885-RA
OG0001263	XP_026490792.1	Vcard_DToL04653-RA
OG0001264	XP_026491982.1, XP_026491983.1, XP_026491984.1	Vcard_DToL15768-RA
OG0001266	XP_026492000.1, XP_026492002.1, XP_026491998.1, XP_026492001.1	Vcard_DToL15784-RA
OG0001267	XP_026491976.1	Vcard_DToL15787-RA
OG0001269	XP_026497128.1, XP_026497131.1, XP_026497129.1, XP_026497130.1	Vcard_DToL01304-RA
OG0001270	XP_026484478.1	Vcard_DToL02621-RA
OG0001271	XP_026485669.1	Vcard_DToL04704-RA, Vcard_DToL04702-RA
OG0001272	XP_026491935.1	Vcard_DToL15815-RA
OG0001273	XP_026497035.1	Vcard_DToL01317-RA, Vcard_DToL01318-RA
OG0001274	XP_026485035.1, XP_026485034.1	Vcard_DToL02638-RA
OG0001275	XP_026491955.1	Vcard_DToL15821-RA
OG0001276	XP_026490492.1	Vcard_DToL05509-RA
OG0001278	XP_026491373.1	Vcard_DToL03936-RA
OG0001278	XP_026491693.1	Vcard_DToL03937-RA
OG0001279	XP_026498441.1	Vcard_DToL00624-RA
OG0001280	XP_026501326.1, XP_026501325.1	Vcard_DToL08039-RA
OG0001281	XP_026490497.1	Vcard_DToL05558-RA
OG0001281	XP_026490512.1	Vcard_DToL05559-RA
OG0001282	XP_026491890.1	Vcard_DToL15863-RA
OG0001283	XP_026500075.1	Vcard_DToL15878-RA
OG0001284	XP_026500078.1	Vcard_DToL15874-RA
OG0001285	XP_026500742.1, XP_026500740.1	Vcard_DToL00671-RA
OG0001286	XP_026488676.1	Vcard_DToL02812-RA
OG0001286	XP_026488719.1	Vcard_DToL02814-RA, Vcard_DToL02813-RA
OG0001287	XP_026490669.1	Vcard_DToL18793-RA
OG0001291	XP_026491230.1, XP_026491232.1, XP_026491234.1, XP_026491231.1, XP_026491229.1, XP_026491233.1	Vcard_DToL03423-RA
OG0001302	XP_026486757.1	Vcard_DToL17905-RA
OG0001303	XP_026498020.1	Vcard_DToL11306-RA
OG0001304	XP_026498011.1	Vcard_DToL11307-RA
OG0001305	XP_026490029.1	Vcard_DToL04869-RA
OG0001306	XP_026498534.1	Vcard_DToL03008-RA
OG0001307	XP_026485315.1, XP_026485314.1	Vcard_DToL10610-RA
OG0001308	XP_026497471.1, XP_026497469.1, XP_026497472.1, XP_026497473.1	Vcard_DToL15295-RA
OG0001309	XP_026490981.1	Vcard_DToL14944-RA
OG0001310	XP_026486765.1	Vcard_DToL17892-RA
OG0001311	XP_026492051.1	Vcard_DToL09685-RA, Vcard_DToL09686-RA
OG0001312	XP_026483485.1, XP_026483486.1	Vcard_DToL18492-RA
OG0001315	XP_026492534.1, XP_026492533.1	Vcard_DToL14112-RA
OG0001316	XP_026497451.1	Vcard_DToL15303-RA, Vcard_DToL15302-RA
OG0001318	XP_026492433.1	Vcard_DToL15984-RA, Vcard_DToL15983-RA
OG0001319	XP_026496182.1, XP_026496181.1, XP_026496183.1	Vcard_DToL07164-RA
OG0001320	XP_026487303.1	Vcard_DToL12474-RA
OG0001321	XP_026483430.1	Vcard_DToL18342-RA
OG0001322	XP_026483378.1	Vcard_DToL18339-RA
OG0001323	XP_026496442.1	Vcard_DToL17809-RA
OG0001324	XP_026498028.1	Vcard_DToL11322-RA
OG0001325	XP_026500862.1, XP_026500859.1, XP_026500860.1	Vcard_DToL00125-RA
OG0001326	XP_026488535.1	Vcard_DToL03069-RA
OG0001327	XP_026499380.1	Vcard_DToL16482-RA
OG0001328	XP_026499411.1	Vcard_DToL16493-RA, Vcard_DToL16491-RA
OG0001330	XP_026499419.1, XP_026499418.1	Vcard_DToL15891-RA
OG0001331	XP_026500938.1	Vcard_DToL11328-RA, Vcard_DToL11331-RA, Vcard_DToL11332-RA
OG0001333	XP_026492523.1	Vcard_DToL14108-RA
OG0001334	XP_026485260.1	Vcard_DToL16731-RA
OG0001336	XP_026487261.1	Vcard_DToL12463-RA
OG0001337	XP_026483512.1	Vcard_DToL18436-RA
OG0001338	XP_026483820.1	Vcard_DToL17502-RA
OG0001339	XP_026492514.1	Vcard_DToL14093-RA
OG0001342	XP_026501819.1	Vcard_DToL16795-RA
OG0001343	XP_026500123.1	Vcard_DToL15147-RA, Vcard_DToL15148-RA
OG0001344	XP_026483336.1	Vcard_DToL18544-RA
OG0001345	XP_026501139.1	Vcard_DToL01877-RA
OG0001346	XP_026489325.1	Vcard_DToL06293-RA, Vcard_DToL06285-RA, Vcard_DToL06287-RA, Vcard_DToL06294-RA
OG0001347	XP_026487241.1	Vcard_DToL12436-RA, Vcard_DToL12437-RA
OG0001348	XP_026499431.1	Vcard_DToL15912-RA
OG0001349	XP_026499432.1	Vcard_DToL15914-RA, Vcard_DToL15913-RA
OG0001350	XP_026494530.1	Vcard_DToL16245-RA
OG0001352	XP_026490961.1	Vcard_DToL14918-RA
OG0001353	XP_026496067.1, XP_026496068.1	Vcard_DToL17826-RA
OG0001354	XP_026494114.1, XP_026494116.1, XP_026494106.1, XP_026494098.1	Vcard_DToL17835-RA
OG0001355	XP_026500378.1	Vcard_DToL14839-RA
OG0001356	XP_026495449.1	Vcard_DToL13707-RA
OG0001358	XP_026501160.1, XP_026501161.1	Vcard_DToL01810-RA
OG0001360	XP_026483342.1	Vcard_DToL18418-RA
OG0001361	XP_026488810.1, XP_026488807.1, XP_026488821.1, XP_026488818.1	Vcard_DToL03381-RA
OG0001362	XP_026496195.1	Vcard_DToL07142-RA, Vcard_DToL07139-RA, Vcard_DToL07140-RA
OG0001363	XP_026499746.1, XP_026496513.1	Vcard_DToL16511-RA, Vcard_DToL16513-RA
OG0001364	XP_026488756.1	Vcard_DToL17730-RA
OG0001365	XP_026490006.1	Vcard_DToL09017-RA, Vcard_DToL09016-RA
OG0001366	XP_026500479.1, XP_026500477.1	Vcard_DToL00065-RA
OG0001367	XP_026501085.1, XP_026501084.1	Vcard_DToL01789-RA
OG0001368	XP_026500493.1	Vcard_DToL00069-RA, Vcard_DToL00071-RA
OG0001369	XP_026490046.1	Vcard_DToL04802-RA
OG0001370	XP_026498809.1	Vcard_DToL16061-RA, Vcard_DToL16062-RA
OG0001371	XP_026484265.1	Vcard_DToL07120-RA, Vcard_DToL07123-RA
OG0001372	XP_026495799.1	Vcard_DToL13008-RA
OG0001373	XP_026484844.1	Vcard_DToL01897-RA
OG0001374	XP_026498072.1	Vcard_DToL00891-RA
OG0001375	XP_026501108.1	Vcard_DToL01782-RA
OG0001376	XP_026501187.1	Vcard_DToL01774-RA
OG0001376	XP_026487986.1	Vcard_DToL06191-RA
OG0001377	XP_026490169.1	Vcard_DToL13871-RA
OG0001378	XP_026499983.1	Vcard_DToL14185-RA
OG0001378	XP_026488038.1	Vcard_DToL14181-RA
OG0001379	XP_026501147.1	Vcard_DToL01766-RA
OG0001380	XP_026500498.1, XP_026500500.1	Vcard_DToL00015-RA
OG0001381	XP_026500010.1	Vcard_DToL17779-RA
OG0001382	XP_026496035.1	Vcard_DToL12993-RA
OG0001383	XP_026491034.1	Vcard_DToL03408-RA
OG0001383	XP_026494058.1	Vcard_DToL03406-RA
OG0001384	XP_026490674.1	Vcard_DToL18792-RA, Vcard_DToL18791-RA
OG0001385	XP_026484302.1	Vcard_DToL07096-RA, Vcard_DToL07094-RA
OG0001386	XP_026493637.1	Vcard_DToL04109-RA
OG0001387	XP_026489931.1, XP_026489929.1, XP_026489930.1	Vcard_DToL08983-RA
OG0001388	XP_026493628.1	Vcard_DToL04104-RA
OG0001390	XP_026489873.1	Vcard_DToL08973-RA
OG0001391	XP_026501310.1	Vcard_DToL06412-RA, Vcard_DToL06414-RA
OG0001392	XP_026483265.1, XP_026483266.1	Vcard_DToL16624-RA
OG0001393	XP_026499479.1	Vcard_DToL04779-RA
OG0001393	XP_026499471.1	Vcard_DToL04785-RA
OG0001394	XP_026496216.1	Vcard_DToL03172-RA
OG0001395	XP_026499543.1	Vcard_DToL13830-RA
OG0001396	XP_026490573.1, XP_026490574.1	Vcard_DToL17683-RA
OG0001397	XP_026498951.1	Vcard_DToL18760-RA
OG0001399	XP_026483441.1, XP_026483580.1	Vcard_DToL18314-RA
OG0001400	XP_026494291.1	Vcard_DToL14554-RA
OG0001401	XP_026498501.1	Vcard_DToL10749-RA
OG0001404	XP_026496274.1	Vcard_DToL03179-RA
OG0001405	XP_026498773.1	Vcard_DToL16111-RA
OG0001406	XP_026492204.1	Vcard_DToL09591-RA, Vcard_DToL09592-RA
OG0001407	XP_026483547.1	Vcard_DToL18304-RA
