Orthogroup	Vanessa_tameamea	Bicyclus_anynana
OG0001094	XP_026493451.1	Bany_14969-RA
OG0001095	XP_026484288.1	Bany_11907-RA
OG0001096	XP_026498724.1	Bany_17784-RA, Bany_17795-RA
OG0001097	XP_026490709.1	Bany_12625-RA
OG0001098	XP_026496027.1, XP_026496028.1	Bany_14390-RA
OG0001099	XP_026500118.1, XP_026500116.1, XP_026500117.1, XP_026500119.1	Bany_17041-RA
OG0001101	XP_026490575.1	Bany_06651-RA
OG0001102	XP_026489636.1, XP_026489637.1	Bany_09435-RA
OG0001103	XP_026498438.1	Bany_10715-RA
OG0001104	XP_026490697.1	Bany_12649-RA
OG0001105	XP_026501711.1	Bany_05968-RA, Bany_05965-RA
OG0001106	XP_026485679.1	Bany_16203-RA
OG0001107	XP_026488918.1	Bany_01340-RA
OG0001108	XP_026486417.1, XP_026486416.1	Bany_16209-RA
OG0001109	XP_026492290.1	Bany_08783-RA
OG0001110	XP_026488028.1	Bany_15605-RA, Bany_14864-RA
OG0001111	XP_026484260.1, XP_026484261.1, XP_026484259.1, XP_026484263.1	Bany_11923-RA
OG0001112	XP_026483549.1	Bany_01067-RA
OG0001114	XP_026488582.1	Bany_05297-RA
OG0001115	XP_026500196.1, XP_026500197.1	Bany_17075-RA
OG0001116	XP_026497668.1, XP_026497669.1, XP_026497671.1, XP_026497670.1	Bany_02029-RA, Bany_02028-RA, Bany_02030-RA
OG0001117	XP_026489388.1	Bany_12874-RA
OG0001117	XP_026489399.1	Bany_12703-RA
OG0001118	XP_026490099.1	Bany_10032-RA
OG0001119	XP_026490933.1	Bany_08508-RA
OG0001120	XP_026494404.1	Bany_09511-RA, Bany_09514-RA
OG0001121	XP_026492435.1	Bany_17860-RA, Bany_17858-RA, Bany_17859-RA
OG0001122	XP_026500902.1	Bany_16274-RA
OG0001123	XP_026494636.1	Bany_13211-RA
OG0001124	XP_026494594.1	Bany_13212-RA
OG0001125	XP_026487377.1	Bany_03631-RA
OG0001126	XP_026484584.1, XP_026485038.1	Bany_00233-RA
OG0001127	XP_026497870.1	Bany_04532-RA
OG0001128	XP_026492277.1	Bany_08810-RA
OG0001129	XP_026495979.1, XP_026495978.1, XP_026495977.1	Bany_14458-RA
OG0001130	XP_026490228.1, XP_026490227.1	Bany_17882-RA, Bany_17881-RA, Bany_17880-RA
OG0001131	XP_026497372.1	Bany_17158-RA
OG0001132	XP_026485836.1, XP_026485835.1	Bany_10053-RA
OG0001133	XP_026489605.1, XP_026489606.1	Bany_02837-RA
OG0001133	XP_026495992.1	Bany_14521-RA
OG0001134	XP_026488363.1	Bany_03654-RA
OG0001135	XP_026499328.1, XP_026499329.1	Bany_02107-RA
OG0001136	XP_026495548.1, XP_026495549.1	Bany_14471-RA
OG0001136	XP_026495547.1	Bany_14468-RA, Bany_14472-RA, Bany_14470-RA
OG0001137	XP_026495302.1, XP_026495303.1	Bany_02853-RA, Bany_02852-RA
OG0001138	XP_026493276.1	Bany_15033-RA
OG0001138	XP_026493430.1	Bany_15065-RA
OG0001139	XP_026486182.1, XP_026486180.1, XP_026486181.1	Bany_10067-RA, Bany_10068-RA
OG0001140	XP_026486148.1	Bany_17542-RA
OG0001141	XP_026491830.1	Bany_16646-RA
OG0001142	XP_026488303.1	Bany_16323-RA, Bany_08294-RA
OG0001144	XP_026486183.1	Bany_10070-RA
OG0001145	XP_026497409.1, XP_026497410.1, XP_026497407.1, XP_026497408.1, XP_026497406.1	Bany_17179-RA
OG0001146	XP_026489273.1	Bany_12811-RA
OG0001147	XP_026489423.1	Bany_12834-RA
OG0001147	XP_026489391.1	Bany_12821-RA
OG0001148	XP_026492254.1	Bany_08841-RA
OG0001148	XP_026492357.1	Bany_08842-RA
OG0001149	XP_026489221.1	Bany_08407-RA
OG0001149	XP_026489219.1	Bany_13835-RA
OG0001150	XP_026485935.1	Bany_10098-RA
OG0001151	XP_026485839.1	Bany_10103-RA
OG0001152	XP_026491523.1	Bany_05400-RA
OG0001153	XP_026499405.1, XP_026499407.1	Bany_02149-RA
OG0001154	XP_026499756.1, XP_026496833.1	Bany_09576-RA
OG0001155	XP_026497998.1	Bany_13280-RA
OG0001156	XP_026498270.1, XP_026498247.1, XP_026498254.1, XP_026498262.1	Bany_07377-RA
OG0001157	XP_026499862.1	Bany_02160-RA
OG0001159	XP_026492164.1, XP_026498219.1, XP_026488604.1	Bany_08886-RA, Bany_10897-RA
OG0001160	XP_026499869.1, XP_026499868.1	Bany_02171-RA
OG0001161	XP_026487094.1	Bany_16410-RA
OG0001162	XP_026491627.1	Bany_11447-RA, Bany_11451-RA, Bany_11445-RA
OG0001163	XP_026499858.1, XP_026499857.1	Bany_02178-RA
OG0001164	XP_026490727.1, XP_026498416.1	Bany_02184-RA
OG0001165	XP_026487684.1, XP_026487685.1	Bany_03772-RA
OG0001166	XP_026491724.1	Bany_05465-RA
OG0001167	XP_026491295.1, XP_026491294.1, XP_026491293.1, XP_026491292.1, XP_026491290.1, XP_026491291.1	Bany_05467-RA
OG0001168	XP_026489722.1, XP_026489721.1	Bany_09615-RA, Bany_09603-RA
OG0001169	XP_026483801.1	Bany_06868-RA, Bany_06867-RA, Bany_06869-RA
OG0001170	XP_026485608.1	Bany_10881-RA
OG0001171	XP_026493160.1	Bany_15107-RA, Bany_15112-RA
OG0001172	XP_026497328.1	Bany_17243-RA
OG0001173	XP_026498750.1	Bany_17975-RA, Bany_17974-RA
OG0001174	XP_026500012.1	Bany_13327-RA
OG0001175	XP_026489699.1	Bany_09620-RA, Bany_09622-RA
OG0001176	XP_026486074.1, XP_026486014.1	Bany_10168-RA
OG0001177	XP_026487391.1, XP_026487390.1, XP_026487389.1	Bany_03813-RA
OG0001178	XP_026498729.1	Bany_17994-RA
OG0001179	XP_026496872.1	Bany_12080-RA
OG0001180	XP_026484773.1	Bany_00395-RA
OG0001181	XP_026494449.1	Bany_02236-RA
OG0001182	XP_026493381.1	Bany_06913-RA
OG0001183	XP_026489806.1, XP_026489805.1	Bany_15729-RA
OG0001184	XP_026495772.1	Bany_14609-RA
OG0001185	XP_026500585.1	Bany_07498-RA, Bany_07497-RA
OG0001186	XP_026492663.1	Bany_04700-RA
OG0001188	XP_026486934.1, XP_026486933.1	Bany_13968-RA
OG0001189	XP_026495963.1, XP_026495962.1	Bany_14621-RA, Bany_14620-RA
OG0001190	XP_026497975.1	Bany_12118-RA
OG0001191	XP_026489077.1	Bany_01326-RA
OG0001192	XP_026484577.1	Bany_00425-RA
OG0001193	XP_026493047.1	Bany_17642-RA
OG0001194	XP_026497493.1	Bany_17298-RA
OG0001195	XP_026493941.1	Bany_13425-RA
OG0001195	XP_026485225.1	Bany_15169-RA
OG0001196	XP_026495256.1, XP_026495258.1, XP_026495259.1, XP_026495260.1	Bany_03067-RA, Bany_03069-RA
OG0001197	XP_026492701.1	Bany_04736-RA
OG0001198	XP_026495635.1	Bany_14642-RA
OG0001199	XP_026495527.1	Bany_14645-RA
OG0001200	XP_026498205.1, XP_026498204.1	Bany_15180-RA
OG0001201	XP_026493725.1, XP_026493724.1	Bany_04752-RA
OG0001202	XP_026489026.1	Bany_01493-RA, Bany_01491-RA, Bany_07859-RA, Bany_13411-RA, Bany_17683-RA, Bany_17302-RA
OG0001203	XP_026498256.1	Bany_16786-RA
OG0001203	XP_026498259.1	Bany_16787-RA
OG0001204	XP_026484152.1	Bany_07001-RA
OG0001205	XP_026486858.1	Bany_13987-RA, Bany_13988-RA
OG0001207	XP_026495001.1	Bany_03104-RA
OG0001208	XP_026491065.1	Bany_05591-RA, Bany_05596-RA
OG0001209	XP_026493775.1	Bany_04782-RA
OG0001209	XP_026493771.1	Bany_04783-RA
OG0001210	XP_026488465.1	Bany_08346-RA
OG0001211	XP_026494396.1	Bany_09747-RA
OG0001212	XP_026492338.1	Bany_09032-RA
OG0001212	XP_026492337.1	Bany_09034-RA
OG0001213	XP_026488463.1	Bany_08359-RA
OG0001214	XP_026497454.1, XP_026497453.1	Bany_17326-RA
OG0001215	XP_026489557.1	Bany_18097-RA
OG0001217	XP_026484063.1	Bany_07020-RA
OG0001218	XP_026494242.1	Bany_09760-RA
OG0001219	XP_026484901.1	Bany_00538-RA
OG0001220	XP_026488955.1, XP_026488956.1, XP_026488957.1	Bany_01472-RA
OG0001221	XP_026493855.1, XP_026493854.1, XP_026493853.1	Bany_13448-RA
OG0001222	XP_026498642.1, XP_026498643.1	Bany_15852-RA, Bany_15850-RA
OG0001223	XP_026484983.1, XP_026484985.1	Bany_00546-RA
OG0001224	XP_026496507.1	Bany_11687-RA
OG0001226	XP_026484874.1	Bany_00578-RA, Bany_00575-RA
OG0001227	XP_026499609.1	Bany_09112-RA
OG0001228	XP_026498889.1	Bany_09795-RA, Bany_09801-RA
OG0001229	XP_026495405.1	Bany_11709-RA
OG0001230	XP_026498282.1	Bany_16865-RA
OG0001231	XP_026483067.1	Bany_08397-RA
OG0001232	XP_026496016.1	Bany_14746-RA, Bany_14747-RA
OG0001233	XP_026498231.1	Bany_16873-RA
OG0001234	XP_026487472.1, XP_026487473.1, XP_026487471.1, XP_026487470.1	Bany_03993-RA
OG0001235	XP_026499143.1	Bany_14085-RA, Bany_14087-RA, Bany_14084-RA
OG0001236	XP_026499223.1	Bany_14091-RA
OG0001237	XP_026484890.1	Bany_00622-RA
OG0001239	XP_026497717.1, XP_026497716.1	Bany_02396-RA
OG0001240	XP_026496577.1	Bany_04893-RA, Bany_04895-RA, Bany_04894-RA
OG0001241	XP_026484610.1, XP_026484611.1	Bany_00635-RA
OG0001242	XP_026487512.1	Bany_04055-RA
OG0001243	XP_026488060.1, XP_026488059.1	Bany_01574-RA
OG0001244	XP_026489226.1	Bany_14164-RA
OG0001245	XP_026493362.1	Bany_15358-RA
OG0001246	XP_026486549.1	Bany_09189-RA
OG0001247	XP_026497810.1, XP_026497807.1, XP_026497812.1, XP_026497809.1, XP_026497808.1	Bany_02426-RA
OG0001248	XP_026492988.1	Bany_11049-RA
OG0001249	XP_026496492.1	Bany_11804-RA
OG0001250	XP_026486163.1, XP_026486160.1, XP_026486162.1	Bany_10423-RA
OG0001251	XP_026498520.1, XP_026497197.1, XP_026496088.1	Bany_09202-RA
OG0001252	XP_026499508.1, XP_026499509.1	Bany_14177-RA
OG0001253	XP_026487818.1	Bany_04087-RA
OG0001254	XP_026496456.1, XP_026496457.1, XP_026496458.1	Bany_11816-RA
OG0001255	XP_026497323.1	Bany_07729-RA
OG0001256	XP_026489452.1	Bany_06457-RA
OG0001257	XP_026488036.1	Bany_14868-RA, Bany_14876-RA
OG0001258	XP_026494490.1	Bany_01649-RA
OG0001258	XP_026494491.1	Bany_01650-RA
OG0001259	XP_026492576.1	Bany_04973-RA
OG0001260	XP_026494508.1, XP_026494510.1, XP_026494507.1, XP_026494509.1	Bany_01658-RA
OG0001261	XP_026486442.1	Bany_06479-RA
OG0001262	XP_026491173.1, XP_026491174.1	Bany_05764-RA
OG0001263	XP_026490792.1	Bany_08554-RA, Bany_08555-RA
OG0001264	XP_026491982.1, XP_026491983.1, XP_026491984.1	Bany_02481-RA
OG0001265	XP_026485044.1	Bany_00779-RA
OG0001266	XP_026492000.1, XP_026492002.1, XP_026491998.1, XP_026492001.1	Bany_02496-RA
OG0001267	XP_026491976.1	Bany_02498-RA
OG0001270	XP_026484478.1	Bany_00809-RA
OG0001271	XP_026485669.1	Bany_08592-RA
OG0001272	XP_026491935.1	Bany_02532-RA
OG0001273	XP_026497035.1	Bany_05060-RA, Bany_05061-RA
OG0001274	XP_026485035.1, XP_026485034.1	Bany_00827-RA
OG0001275	XP_026491955.1	Bany_02543-RA
OG0001277	XP_026501377.1	Bany_01762-RA
OG0001278	XP_026491692.1, XP_026491693.1	Bany_05820-RA
OG0001279	XP_026498441.1	Bany_07860-RA, Bany_07856-RA
OG0001280	XP_026501326.1, XP_026501325.1	Bany_01792-RA
OG0001281	XP_026490512.1	Bany_04258-RA
OG0001282	XP_026491890.1	Bany_02592-RA
OG0001283	XP_026500075.1	Bany_02607-RA
OG0001284	XP_026500078.1	Bany_02612-RA
OG0001285	XP_026500742.1, XP_026500740.1	Bany_07903-RA
OG0001301	XP_026486529.1	Bany_16296-RA, Bany_16027-RA
OG0001302	XP_026486757.1	Bany_12443-RA
OG0001303	XP_026498020.1	Bany_13023-RA
OG0001304	XP_026498011.1	Bany_13024-RA
OG0001305	XP_026490029.1	Bany_09904-RA
OG0001306	XP_026498534.1	Bany_15845-RA, Bany_13025-RA
OG0001307	XP_026485315.1, XP_026485314.1	Bany_10546-RA
OG0001308	XP_026497471.1, XP_026497469.1, XP_026497472.1, XP_026497473.1	Bany_16941-RA
OG0001309	XP_026490981.1	Bany_09338-RA
OG0001310	XP_026486765.1	Bany_12454-RA, Bany_06897-RA
OG0001312	XP_026483485.1, XP_026483486.1	Bany_00930-RA
OG0001315	XP_026492534.1, XP_026492533.1	Bany_16446-RA
OG0001318	XP_026492433.1	Bany_17701-RA
OG0001319	XP_026496182.1, XP_026496181.1, XP_026496183.1	Bany_11839-RA
OG0001320	XP_026487303.1	Bany_13624-RA, Bany_13627-RA
OG0001321	XP_026483430.1	Bany_00948-RA
OG0001323	XP_026496442.1	Bany_12469-RA
OG0001323	XP_026496443.1	Bany_12471-RA
OG0001324	XP_026498028.1	Bany_13035-RA
OG0001325	XP_026500862.1, XP_026500859.1, XP_026500860.1	Bany_07188-RA
OG0001326	XP_026488535.1	Bany_15474-RA
OG0001327	XP_026499380.1	Bany_02087-RA
OG0001328	XP_026499411.1	Bany_02086-RA, Bany_14914-RA
OG0001330	XP_026499419.1, XP_026499418.1	Bany_17712-RA, Bany_17713-RA
OG0001331	XP_026500938.1	Bany_13042-RA
OG0001333	XP_026492523.1	Bany_16469-RA
OG0001334	XP_026485260.1	Bany_01865-RA
OG0001336	XP_026487290.1	Bany_13640-RA
OG0001336	XP_026487261.1	Bany_13642-RA
OG0001337	XP_026483512.1	Bany_00961-RA
OG0001338	XP_026483820.1	Bany_06871-RA, Bany_08690-RA, Bany_12414-RA
OG0001342	XP_026501819.1	Bany_17432-RA, Bany_17434-RA
OG0001343	XP_026500123.1	Bany_16981-RA
OG0001344	XP_026483336.1	Bany_00980-RA, Bany_00981-RA, Bany_00979-RA
OG0001345	XP_026501139.1	Bany_00033-RA
OG0001346	XP_026489325.1	Bany_03497-RA
OG0001347	XP_026487241.1	Bany_13669-RA
OG0001348	XP_026499431.1	Bany_17738-RA, Bany_17737-RA
OG0001349	XP_026499432.1	Bany_17739-RA, Bany_17741-RA
OG0001350	XP_026494527.1	Bany_14934-RA
OG0001350	XP_026494530.1	Bany_18050-RA
OG0001352	XP_026490961.1	Bany_09361-RA
OG0001353	XP_026496068.1	Bany_12536-RA
OG0001354	XP_026494114.1, XP_026494116.1, XP_026494106.1, XP_026494098.1	Bany_12542-RA
OG0001355	XP_026500378.1	Bany_09384-RA, Bany_09577-RA
OG0001358	XP_026501160.1, XP_026501161.1	Bany_04668-RA
OG0001359	XP_026496134.1	Bany_16514-RA, Bany_16513-RA
OG0001360	XP_026483342.1	Bany_01014-RA
OG0001361	XP_026488810.1, XP_026488807.1, XP_026488821.1, XP_026488818.1	Bany_05249-RA
OG0001362	XP_026496195.1	Bany_11877-RA
OG0001363	XP_026499746.1, XP_026496513.1	Bany_01925-RA
OG0001363	XP_026486421.1	Bany_02058-RA
OG0001364	XP_026488756.1	Bany_06611-RA
OG0001365	XP_026490006.1	Bany_02698-RA
OG0001366	XP_026500479.1, XP_026500477.1	Bany_07238-RA
OG0001367	XP_026501085.1, XP_026501084.1	Bany_00087-RA, Bany_00088-RA, Bany_00089-RA
OG0001368	XP_026500493.1	Bany_07239-RA
OG0001369	XP_026490046.1	Bany_09978-RA
OG0001370	XP_026498809.1	Bany_17764-RA, Bany_17763-RA
OG0001371	XP_026484265.1	Bany_11884-RA
OG0001372	XP_026495799.1	Bany_14367-RA, Bany_14369-RA, Bany_14368-RA
OG0001373	XP_026484844.1	Bany_00195-RA
OG0001374	XP_026498072.1	Bany_04420-RA
OG0001375	XP_026501108.1	Bany_00103-RA
OG0001376	XP_026501187.1, XP_026487986.1	Bany_00109-RA
OG0001377	XP_026490169.1	Bany_16536-RA, Bany_16539-RA
OG0001378	XP_026499983.1	Bany_09410-RA
OG0001378	XP_026488038.1	Bany_16923-RA
OG0001379	XP_026501147.1	Bany_00118-RA, Bany_00121-RA
OG0001380	XP_026500498.1	Bany_07253-RA
OG0001380	XP_026500500.1	Bany_07254-RA
OG0001381	XP_026495930.1	Bany_12607-RA
OG0001382	XP_026496035.1	Bany_14382-RA
OG0001383	XP_026494058.1	Bany_05273-RA
OG0001384	XP_026490674.1	Bany_16175-RA
OG0001385	XP_026484302.1	Bany_11903-RA, Bany_11904-RA
OG0001386	XP_026493637.1	Bany_13504-RA
OG0001387	XP_026489931.1, XP_026489929.1, XP_026489930.1	Bany_02730-RA
OG0001388	XP_026493628.1	Bany_08040-RA, Bany_08043-RA
OG0001389	XP_026484291.1, XP_026484292.1, XP_026484293.1	Bany_11911-RA, Bany_11910-RA
OG0001390	XP_026489873.1	Bany_02741-RA
OG0001391	XP_026501310.1	Bany_05952-RA
OG0001392	XP_026483265.1, XP_026483266.1	Bany_01991-RA
OG0001393	XP_026499479.1, XP_026499471.1	Bany_10001-RA
OG0001394	XP_026496216.1	Bany_15594-RA, Bany_15593-RA, Bany_15590-RA
OG0001399	XP_026483441.1	Bany_01062-RA
OG0001400	XP_026494291.1	Bany_09461-RA
OG0001401	XP_026498501.1	Bany_10730-RA
OG0001402	XP_026494172.1	Bany_09680-RA
OG0001404	XP_026496274.1	Bany_15609-RA, Bany_15608-RA, Bany_15607-RA, Bany_15610-RA
OG0001405	XP_026498773.1	Bany_17830-RA
OG0001406	XP_026492204.1	Bany_08789-RA, Bany_08787-RA
OG0001408	XP_026486410.1	Bany_16230-RA
OG0001409	XP_026498953.1	Bany_08087-RA
OG0001411	XP_026498956.1, XP_026498954.1, XP_026498955.1	Bany_08092-RA, Bany_08088-RA, Bany_08090-RA
OG0001412	XP_026495658.1	Bany_14447-RA
OG0001413	XP_026500441.1, XP_026500432.1, XP_026500422.1	Bany_06029-RA
OG0001415	XP_026490122.1	Bany_10038-RA
OG0001416	XP_026501240.1	Bany_16264-RA
OG0001418	XP_026497912.1	Bany_04505-RA
OG0001419	XP_026497922.1	Bany_04508-RA
OG0001420	XP_026487872.1, XP_026487865.1	Bany_03630-RA
OG0001422	XP_026490363.1	Bany_16625-RA, Bany_16624-RA
OG0001423	XP_026485603.1	Bany_10809-RA
OG0001424	XP_026500442.1	Bany_07330-RA, Bany_07328-RA
OG0001426	XP_026498319.1	Bany_01140-RA
OG0001426	XP_026500133.1	Bany_01139-RA
OG0001427	XP_026500290.1	Bany_06074-RA
OG0001428	XP_026500310.1, XP_026500311.1, XP_026500312.1	Bany_07337-RA
OG0001429	XP_026491251.1	Bany_04801-RA, Bany_01635-RA, Bany_05379-RA
OG0001430	XP_026497290.1	Bany_17170-RA, Bany_17171-RA, Bany_17169-RA
OG0001431	XP_026483633.1, XP_026483637.1, XP_026483635.1, XP_026483634.1	Bany_06788-RA, Bany_06787-RA
OG0001432	XP_026500306.1, XP_026500307.1	Bany_07343-RA
OG0001433	XP_026497749.1	Bany_05525-RA, Bany_10066-RA, Bany_02393-RA
OG0001434	XP_026491379.1	Bany_07741-RA, Bany_11366-RA
OG0001435	XP_026494917.1, XP_026494916.1	Bany_02865-RA
OG0001436	XP_026483660.1	Bany_06791-RA
OG0001437	XP_026484373.1, XP_026484363.1	Bany_06103-RA
OG0001438	XP_026494987.1	Bany_02871-RA, Bany_03095-RA
OG0001439	XP_026486195.1	Bany_10073-RA
OG0001440	XP_026491008.1	Bany_09546-RA
OG0001441	XP_026488190.1, XP_026488189.1	Bany_02130-RA, Bany_02126-RA
OG0001442	XP_026492340.1	Bany_08840-RA
OG0001443	XP_026497872.1	Bany_04586-RA, Bany_04584-RA
OG0001445	XP_026489425.1	Bany_12843-RA, Bany_12842-RA
OG0001446	XP_026499141.1	Bany_13846-RA
OG0001447	XP_026486202.1, XP_026486203.1, XP_026486201.1, XP_026486206.1	Bany_10109-RA
OG0001448	XP_026497562.1	Bany_17202-RA
OG0001449	XP_026483204.1	Bany_06152-RA
OG0001450	XP_026493801.1	Bany_11411-RA
OG0001451	XP_026488205.1	Bany_08175-RA
OG0001451	XP_026488203.1	Bany_08174-RA
OG0001452	XP_026493544.1	Bany_11426-RA
OG0001453	XP_026489389.1	Bany_12866-RA
OG0001453	XP_026489368.1	Bany_12869-RA
OG0001454	XP_026497595.1	Bany_17215-RA, Bany_17216-RA
OG0001455	XP_026491445.1	Bany_05425-RA
OG0001456	XP_026499115.1	Bany_13874-RA
OG0001457	XP_026484568.1, XP_026484566.1, XP_026484567.1	Bany_00311-RA
OG0001458	XP_026499124.1	Bany_13875-RA
OG0001459	XP_026499155.1, XP_026499156.1, XP_026499154.1	Bany_13878-RA
OG0001460	XP_026498002.1	Bany_07391-RA
OG0001461	XP_026487095.1	Bany_16408-RA
OG0001463	XP_026495888.1	Bany_14515-RA
OG0001464	XP_026495267.1, XP_026495264.1, XP_026495266.1, XP_026495265.1	Bany_02914-RA
OG0001465	XP_026495641.1	Bany_14518-RA
OG0001466	XP_026487913.1, XP_026487914.1, XP_026487915.1, XP_026487916.1	Bany_04621-RA
OG0001467	XP_026483696.1	Bany_06840-RA
OG0001468	XP_026491839.1	Bany_16673-RA
OG0001469	XP_026495820.1	Bany_14525-RA
OG0001470	XP_026486942.1	Bany_13288-RA
OG0001471	XP_026491390.1, XP_026491391.1	Bany_05451-RA
OG0001472	XP_026496951.1, XP_026497714.1, XP_026496176.1	Bany_06189-RA
OG0001473	XP_026488630.1	Bany_12929-RA
OG0001474	XP_026483665.1, XP_026483664.1, XP_026483666.1	Bany_06861-RA
OG0001475	XP_026496104.1, XP_026496103.1, XP_026496105.1	Bany_16686-RA, Bany_11063-RA
OG0001476	XP_026483800.1, XP_026483799.1	Bany_06863-RA
OG0001479	XP_026494781.1	Bany_04651-RA
OG0001480	XP_026495826.1	Bany_14564-RA
OG0001481	XP_026489676.1	Bany_09610-RA
OG0001482	XP_026497641.1, XP_026497652.1	Bany_02196-RA
OG0001483	XP_026484399.1, XP_026484397.1, XP_026484398.1	Bany_00356-RA
OG0001484	XP_026498026.1	Bany_13320-RA
OG0001486	XP_026485427.1, XP_026485426.1	Bany_10894-RA
OG0001487	XP_026483216.1	Bany_06222-RA
OG0001488	XP_026498693.1	Bany_17992-RA
OG0001489	XP_026494441.1	Bany_02222-RA, Bany_02223-RA
OG0001490	XP_026486742.1, XP_026486744.1, XP_026486743.1	Bany_17611-RA
OG0001491	XP_026499924.1	Bany_14248-RA
OG0001492	XP_026489643.1, XP_026489634.1	Bany_07480-RA
OG0001493	XP_026489097.1, XP_026488993.1, XP_026488992.1, XP_026488862.1	Bany_01290-RA
OG0001494	XP_026495817.1	Bany_16726-RA
OG0001495	XP_026497317.1, XP_026497318.1	Bany_17276-RA
OG0001496	XP_026498334.1	Bany_13019-RA
OG0001497	XP_026483256.1, XP_026500425.1	Bany_16728-RA
OG0001498	XP_026486914.1	Bany_13964-RA
OG0001499	XP_026494309.1	Bany_09673-RA
OG0001500	XP_026493073.1	Bany_15155-RA, Bany_15156-RA
OG0001501	XP_026494472.1	Bany_02258-RA
OG0001502	XP_026501789.1, XP_026501788.1	Bany_08972-RA
OG0001503	XP_026488932.1, XP_026488931.1	Bany_01310-RA, Bany_01312-RA
OG0001504	XP_026483716.1	Bany_06947-RA
OG0001505	XP_026492726.1, XP_026492725.1	Bany_04706-RA
OG0001506	XP_026494310.1	Bany_09676-RA
OG0001507	XP_026497522.1	Bany_17285-RA
OG0001508	XP_026486344.1, XP_026486346.1, XP_026486345.1	Bany_10219-RA
OG0001509	XP_026492656.1	Bany_04711-RA
OG0001510	XP_026483293.1	Bany_02264-RA
OG0001511	XP_026492734.1, XP_026492735.1	Bany_04712-RA
OG0001512	XP_026488358.1, XP_026488357.1, XP_026488360.1, XP_026488359.1, XP_026488361.1	Bany_08280-RA
OG0001513	XP_026489567.1	Bany_11587-RA
OG0001513	XP_026489564.1	Bany_18069-RA
OG0001514	XP_026498635.1	Bany_15766-RA, Bany_15765-RA
OG0001515	XP_026492628.1	Bany_04730-RA, Bany_04731-RA
OG0001516	XP_026486832.1, XP_026486831.1	Bany_13982-RA
OG0001517	XP_026494174.1	Bany_09683-RA
OG0001518	XP_026486109.1, XP_026486108.1, XP_026486107.1, XP_026486106.1	Bany_10256-RA
OG0001519	XP_026498626.1	Bany_15769-RA
OG0001520	XP_026500927.1, XP_026488920.1	Bany_01357-RA
OG0001521	XP_026488912.1	Bany_01359-RA, Bany_01360-RA, Bany_01361-RA
OG0001522	XP_026487358.1, XP_026487357.1, XP_026487359.1	Bany_03875-RA
OG0001523	XP_026493739.1	Bany_04744-RA
OG0001524	XP_026494337.1	Bany_09696-RA
OG0001525	XP_026496694.1	Bany_12133-RA
OG0001526	XP_026498165.1	Bany_15188-RA
OG0001528	XP_026486152.1	Bany_10276-RA
OG0001529	XP_026497342.1, XP_026497344.1, XP_026497340.1, XP_026497343.1	Bany_17306-RA
OG0001530	XP_026484922.1, XP_026484921.1	Bany_00464-RA
OG0001531	XP_026493601.1	Bany_17673-RA
OG0001532	XP_026489010.1, XP_026489012.1, XP_026489013.1, XP_026489011.1	Bany_01383-RA
OG0001533	XP_026500602.1, XP_026500603.1	Bany_07559-RA
OG0001534	XP_026493897.1	Bany_13405-RA
OG0001535	XP_026493776.1	Bany_04769-RA
OG0001536	XP_026484740.1	Bany_06303-RA
OG0001537	XP_026500547.1	Bany_07562-RA
OG0001538	XP_026485764.1	Bany_10289-RA
OG0001539	XP_026484950.1	Bany_00475-RA
OG0001540	XP_026491318.1	Bany_05577-RA, Bany_05575-RA, Bany_05576-RA
OG0001541	XP_026488349.1	Bany_08330-RA
OG0001542	XP_026489598.1	Bany_18078-RA
OG0001543	XP_026501270.1	Bany_01407-RA
OG0001544	XP_026488298.1, XP_026488300.1, XP_026488297.1	Bany_08333-RA
OG0001546	XP_026486788.1	Bany_13991-RA
OG0001547	XP_026489570.1	Bany_18082-RA
OG0001548	XP_026497007.1	Bany_12151-RA
OG0001549	XP_026486240.1	Bany_10314-RA
OG0001550	XP_026500557.1, XP_026500556.1, XP_026500555.1	Bany_07576-RA
OG0001551	XP_026494372.1	Bany_09895-RA, Bany_09741-RA
OG0001552	XP_026484928.1	Bany_00513-RA
OG0001553	XP_026501346.1, XP_026501348.1, XP_026501347.1	Bany_01425-RA
OG0001554	XP_026495452.1	Bany_11644-RA, Bany_11646-RA
OG0001555	XP_026487711.1, XP_026487712.1	Bany_03932-RA
OG0001556	XP_026487709.1, XP_026487708.1, XP_026487706.1	Bany_03937-RA
OG0001557	XP_026492211.1	Bany_09035-RA
OG0001558	XP_026497429.1, XP_026497430.1	Bany_17323-RA
OG0001559	XP_026499579.1	Bany_09045-RA
OG0001560	XP_026486816.1	Bany_14025-RA
OG0001561	XP_026495277.1	Bany_03130-RA
OG0001562	XP_026499558.1	Bany_09061-RA
OG0001563	XP_026495774.1	Bany_14725-RA
OG0001564	XP_026498242.1	Bany_16825-RA, Bany_16824-RA
OG0001565	XP_026493299.1	Bany_15267-RA
OG0001566	XP_026489022.1, XP_026489021.1	Bany_01499-RA
OG0001567	XP_026485355.1	Bany_10976-RA
OG0001568	XP_026497754.1	Bany_02367-RA
OG0001569	XP_026486779.1	Bany_14045-RA
OG0001570	XP_026485516.1	Bany_10983-RA
OG0001572	XP_026486030.1, XP_026486031.1	Bany_10350-RA
OG0001573	XP_026498284.1	Bany_16862-RA, Bany_16855-RA, Bany_16859-RA
