Orthogroup	Vanessa_tameamea	Heliconius_melpomene_melpomene
OG0000582	XP_026496863.1, XP_026496862.1, XP_026496975.1	HMEL036979g1.t1
OG0000583	XP_026491506.1	HMEL009797g1.t1
OG0000583	XP_026490369.1	HMEL020648g1.t1
OG0000584	XP_026491334.1	HMEL033907g1.t1, HMEL012794g1.t1
OG0000585	XP_026495969.1	HMEL017888g1.t1
OG0000585	XP_026495967.1, XP_026495966.1, XP_026495970.1	HMEL036668g1.t1
OG0000586	XP_026494667.1, XP_026494666.1, XP_026494665.1	HMEL033576g1.t1
OG0000587	XP_026491413.1	HMEL033893g1.t1
OG0000587	XP_026495692.1	HMEL003527g1.t1
OG0000588	XP_026492191.1	HMEL012702g1.t1
OG0000588	XP_026491014.1	HMEL037851g1.t1
OG0000589	XP_026495822.1, XP_026495825.1, XP_026495823.1, XP_026495824.1	HMEL007217g1.t1
OG0000591	XP_026496848.1	HMEL037889g1.t1
OG0000591	XP_026496858.1	HMEL037888g1.t1
OG0000592	XP_026501339.1	HMEL008341g1.t1
OG0000592	XP_026498185.1	HMEL025043g1.t1
OG0000594	XP_026483748.1	HMEL007143g1.t1, HMEL009318g1.t1, HMEL007133g1.t1
OG0000595	XP_026496118.1	HMEL036046g1.t1, HMEL014282g1.t1
OG0000596	XP_026494015.1, XP_026493619.1, XP_026493622.1, XP_026493620.1, XP_026493621.1	HMEL011130g1.t1
OG0000599	XP_026491296.1	HMEL018039g1.t1
OG0000599	XP_026491321.1	HMEL018038g1.t1
OG0000600	XP_026487349.1	HMEL002212g1.t1
OG0000601	XP_026498779.1	HMEL013179g1.t1
OG0000601	XP_026498730.1	HMEL034642g1.t1
OG0000602	XP_026488911.1	HMEL033263g1.t1
OG0000602	XP_026483574.1	HMEL010460g1.t1
OG0000603	XP_026489758.1	HMEL007800-RA
OG0000603	XP_026494159.1, XP_026494153.1	HMEL007801-RA
OG0000604	XP_026493006.1	HMEL014614g1.t1
OG0000604	XP_026492417.1	HMEL032609g1.t1
OG0000605	XP_026494473.1	HMEL034054g1.t1, HMEL017970g1.t1, HMEL031331g1.t1
OG0000606	XP_026496829.1	HMEL004094g1.t1
OG0000606	XP_026496878.1	HMEL004097g1.t1
OG0000607	XP_026483507.1	HMEL013381g1.t1
OG0000607	XP_026500018.1	HMEL005882g1.t1
OG0000608	XP_026495763.1	HMEL014740g1.t1
OG0000608	XP_026495722.1	HMEL036747g1.t1
OG0000609	XP_026488405.1, XP_026488407.1	HMEL004965g1.t1
OG0000610	XP_026489535.1	HMEL036552g1.t1
OG0000611	XP_026486895.1	HMEL013489g1.t1, HMEL016300g1.t1, HMEL021999g1.t1, HMEL033108g1.t1
OG0000612	XP_026483388.1	HMEL034758g1.t1, HMEL002629g1.t1
OG0000613	XP_026484037.1	HMEL004362g1.t1
OG0000613	XP_026484184.1	HMEL030082g1.t1
OG0000614	XP_026496115.1	HMEL013417g1.t1
OG0000614	XP_026483690.1	HMEL004804g1.t1
OG0000615	XP_026486513.1	HMEL002115-RA
OG0000615	XP_026486511.1, XP_026486510.1, XP_026486512.1	HMEL002116-RA
OG0000616	XP_026498387.1, XP_026498385.1	HMEL006147g1.t1
OG0000617	XP_026489166.1	HMEL022073g1.t1
OG0000618	XP_026501428.1	HMEL035250g1.t1
OG0000620	XP_026484753.1	HMEL007456g1.t1
OG0000620	XP_026484605.1	HMEL007451g1.t1
OG0000621	XP_026486439.1, XP_026483165.1, XP_026499645.1	HMEL030557g1.t1
OG0000621	XP_026490365.1, XP_026490968.1	HMEL006412g1.t1, HMEL008136g1.t1
OG0000627	XP_026488445.1	HMEL005382g1.t1
OG0000629	XP_026496942.1	HMEL008583g1.t1
OG0000631	XP_026492129.1	HMEL017129-RA
OG0000631	XP_026492139.1	HMEL017131-RA, HMEL017130-RA
OG0000633	XP_026492102.1	HMEL017135g1.t1, HMEL017137g1.t1
OG0000634	XP_026498804.1	HMEL006027-RA, HMEL010692-RA
OG0000635	XP_026499317.1, XP_026497183.1	HMEL002842g1.t1
OG0000636	XP_026485520.1	HMEL002132g1.t1, HMEL008212g1.t1
OG0000637	XP_026483568.1, XP_026497401.1, XP_026486061.1	HMEL017300g1.t1
OG0000639	XP_026492520.1	HMEL032250g1.t1
OG0000640	XP_026483463.1	HMEL012878g1.t1
OG0000641	XP_026501432.1, XP_026501434.1	HMEL010952g1.t1
OG0000642	XP_026487296.1, XP_026487250.1	HMEL008712g1.t1
OG0000643	XP_026496236.1, XP_026496234.1, XP_026496233.1, XP_026496235.1	HMEL003631g1.t1
OG0000644	XP_026500185.1	HMEL030453g1.t1
OG0000645	XP_026498812.1	HMEL011617g1.t1
OG0000645	XP_026498959.1	HMEL021305g1.t1
OG0000647	XP_026492955.1, XP_026492954.1, XP_026492953.1, XP_026492956.1	HMEL017538g1.t1
OG0000648	XP_026495509.1, XP_026495510.1, XP_026495508.1	HMEL016261g1.t1
OG0000649	XP_026494229.1	HMEL013029g1.t1
OG0000650	XP_026500835.1	HMEL017927g1.t1
OG0000650	XP_026488749.1	HMEL009530g1.t1
OG0000651	XP_026488741.1	HMEL011158g1.t1, HMEL011156g1.t1
OG0000652	XP_026494191.1, XP_026494190.1	HMEL007631g1.t1
OG0000654	XP_026494183.1	HMEL020478g1.t1
OG0000654	XP_026492791.1	HMEL014607g1.t1
OG0000655	XP_026484539.1	HMEL031213g1.t1, HMEL010321g1.t1
OG0000656	XP_026490413.1	HMEL008850g1.t1
OG0000656	XP_026499867.1	HMEL016819g1.t1
OG0000657	XP_026483780.1	HMEL011235g1.t1
OG0000657	XP_026483829.1	HMEL011236g1.t1
OG0000658	XP_026494869.1, XP_026494868.1, XP_026494870.1	HMEL012543g1.t1
OG0000659	XP_026497155.1	HMEL010723g1.t1
OG0000661	XP_026499391.1, XP_026499392.1	HMEL004821g1.t1
OG0000662	XP_026501716.1	HMEL014464g1.t1
OG0000663	XP_026489693.1	HMEL012850g1.t1
OG0000663	XP_026488623.1	HMEL006470g1.t1
OG0000664	XP_026499227.1	HMEL037540g1.t1
OG0000666	XP_026493552.1, XP_026493553.1	HMEL036462g1.t1
OG0000667	XP_026499340.1, XP_026499342.1, XP_026499341.1	HMEL031377g1.t1
OG0000668	XP_026497950.1	HMEL030759g1.t1
OG0000668	XP_026497952.1	HMEL030760g1.t1
OG0000669	XP_026488721.1	HMEL037341g1.t1
OG0000670	XP_026488400.1	HMEL021430g1.t1
OG0000672	XP_026496754.1	HMEL003209g1.t1
OG0000673	XP_026493541.1	HMEL014393g1.t1
OG0000673	XP_026493138.1	HMEL009834g1.t1
OG0000674	XP_026491833.1, XP_026491834.1	HMEL032188g1.t1
OG0000675	XP_026495785.1	HMEL036633g1.t1
OG0000676	XP_026497759.1	HMEL008456g1.t1, HMEL035653g1.t1
OG0000676	XP_026497565.1	HMEL008457g1.t1
OG0000677	XP_026496409.1, XP_026496407.1	HMEL003257g1.t1
OG0000678	XP_026494088.1, XP_026494087.1, XP_026494085.1, XP_026494086.1, XP_026494095.1, XP_026494096.1, XP_026494091.1, XP_026494092.1	HMEL007798g1.t1
OG0000680	XP_026483861.1, XP_026483863.1, XP_026483860.1	HMEL037437g1.t1
OG0000682	XP_026493931.1	HMEL033500g1.t1
OG0000682	XP_026493932.1	HMEL021441g1.t1
OG0000683	XP_026498683.1	HMEL006746g1.t1, HMEL034271g1.t1, HMEL034272g1.t1, HMEL034273g1.t1
OG0000684	XP_026495881.1	HMEL032767g1.t1
OG0000684	XP_026495891.1	HMEL004960g1.t1
OG0000685	XP_026498190.1	HMEL017887g1.t1
OG0000686	XP_026489016.1	HMEL006871g1.t1
OG0000687	XP_026494011.1	HMEL012302g1.t1
OG0000687	XP_026488843.1	HMEL007045g1.t1
OG0000688	XP_026499554.1, XP_026499551.1, XP_026499550.1, XP_026499552.1, XP_026499556.1, XP_026499557.1, XP_026499555.1, XP_026499553.1	HMEL011968g1.t1
OG0000689	XP_026499914.1	HMEL006035g1.t1, HMEL006036g1.t1, HMEL034773g1.t1
OG0000690	XP_026487527.1	HMEL033034g1.t1
OG0000691	XP_026487452.1, XP_026487454.1, XP_026487453.1	HMEL033033g1.t1
OG0000692	XP_026496510.1	HMEL016293g1.t1
OG0000693	XP_026493419.1	HMEL036341g1.t1
OG0000693	XP_026493293.1	HMEL036342g1.t1
OG0000694	XP_026490548.1	HMEL012031g1.t1
OG0000694	XP_026486782.1	HMEL037627g1.t1
OG0000695	XP_026496326.1, XP_026496210.1	HMEL022516-RA, HMEL022599-RA, HMEL034728g1.t1, HMEL018115-RA
OG0000696	XP_026488570.1, XP_026488568.1, XP_026488571.1	HMEL033311g1.t1, HMEL033312g1.t1
OG0000697	XP_026488572.1, XP_026486509.1	HMEL002119g1.t1
OG0000698	XP_026488065.1	HMEL002110g1.t1
OG0000699	XP_026496583.1	HMEL015935g1.t1
OG0000701	XP_026497787.1	HMEL018102g1.t1, HMEL002910-RA, HMEL018101g1.t1
OG0000702	XP_026494323.1, XP_026484306.1	HMEL002663g1.t1
OG0000703	XP_026493029.1, XP_026493030.1, XP_026493027.1	HMEL035946g1.t1
OG0000704	XP_026494801.1	HMEL035233g1.t1
OG0000704	XP_026497546.1	HMEL014452g1.t1
OG0000706	XP_026485797.1, XP_026485799.1, XP_026485800.1	HMEL008552g1.t1
OG0000707	XP_026489463.1, XP_026489462.1	HMEL034711g1.t1, HMEL022510g1.t1
OG0000708	XP_026500707.1	HMEL011016g1.t1, HMEL013533g1.t1, HMEL035442g1.t1
OG0000710	XP_026485028.1	HMEL015234g1.t1
OG0000711	XP_026485043.1	HMEL004178g1.t1, HMEL013700g1.t1
OG0000712	XP_026486251.1	HMEL009929g1.t1, HMEL032081g1.t1
OG0000713	XP_026483464.1	HMEL030995g1.t1, HMEL004446g1.t1
OG0000714	XP_026483498.1, XP_026483499.1, XP_026483500.1	HMEL009131g1.t1
OG0000715	XP_026485649.1	HMEL036162g1.t1
OG0000728	XP_026501328.1, XP_026501327.1	HMEL009418g1.t1
OG0000729	XP_026499737.1	HMEL012950g1.t1
OG0000730	XP_026499900.1	HMEL033436g1.t1, HMEL030549g1.t1
OG0000731	XP_026499501.1	HMEL010143g1.t1
OG0000731	XP_026491059.1	HMEL017180g1.t1
OG0000732	XP_026500218.1	HMEL034861g1.t1
OG0000732	XP_026483421.1	HMEL034753g1.t1
OG0000735	XP_026492521.1	HMEL002196g1.t1
OG0000736	XP_026500788.1	HMEL013424g1.t1
OG0000736	XP_026501492.1	HMEL002188g1.t1
OG0000740	XP_026489379.1	HMEL013470g1.t1
OG0000741	XP_026498976.1, XP_026498979.1, XP_026498978.1	HMEL032897g1.t1
OG0000742	XP_026483331.1	HMEL020598g1.t1, HMEL006487g1.t1
OG0000743	XP_026500239.1	HMEL008859g1.t1
OG0000743	XP_026485587.1	HMEL036103g1.t1
OG0000745	XP_026499986.1	HMEL014509g1.t1
OG0000746	XP_026499992.1	HMEL014505g1.t1
OG0000747	XP_026485412.1	HMEL036194g1.t1, HMEL036196g1.t1
OG0000748	XP_026494850.1	HMEL014697g1.t1
OG0000749	XP_026501090.1	HMEL004187g1.t1
OG0000750	XP_026496292.1	HMEL004132g1.t1
OG0000752	XP_026485281.1, XP_026485280.1	HMEL014826g1.t1
OG0000753	XP_026487298.1	HMEL037480g1.t1
OG0000754	XP_026490078.1	HMEL015471g1.t1
OG0000754	XP_026490097.1	HMEL031776g1.t1
OG0000755	XP_026483467.1	HMEL014219g1.t1
OG0000756	XP_026495706.1	HMEL008220g1.t1
OG0000756	XP_026495999.1	HMEL016024g1.t1
OG0000757	XP_026498215.1, XP_026498218.1	HMEL009561g1.t1
OG0000758	XP_026495430.1	HMEL002952g1.t1, HMEL032371g1.t1
OG0000759	XP_026500955.1	HMEL010149g1.t1
OG0000760	XP_026489940.1	HMEL017041g1.t1
OG0000761	XP_026494728.1, XP_026494720.1	HMEL032444g1.t1
OG0000763	XP_026499485.1	HMEL004924g1.t1
OG0000764	XP_026494750.1	HMEL020810g1.t1
OG0000764	XP_026494600.1	HMEL003114-RA
OG0000765	XP_026501145.1	HMEL010010g1.t1
OG0000765	XP_026501144.1	HMEL031257g1.t1
OG0000767	XP_026491493.1	HMEL033930g1.t1
OG0000768	XP_026500107.1	HMEL030467g1.t1, HMEL004418g1.t1
OG0000769	XP_026500108.1	HMEL004422g1.t1
OG0000771	XP_026496493.1	HMEL017169g1.t1, HMEL014584g1.t1
OG0000772	XP_026500891.1	HMEL009813g1.t1
OG0000772	XP_026486582.1	HMEL004064g1.t1
OG0000773	XP_026492241.1	HMEL002717g1.t1
OG0000773	XP_026492146.1	HMEL002715g1.t1
OG0000774	XP_026490367.1	HMEL010717g1.t1, HMEL003853g1.t1, HMEL021935g1.t1
OG0000775	XP_026493248.1	HMEL036419g1.t1
OG0000776	XP_026500096.1	HMEL009268g1.t1
OG0000776	XP_026500136.1	HMEL009267g1.t1, HMEL022593g1.t1
OG0000777	XP_026486633.1, XP_026486634.1, XP_026486632.1	HMEL004079g1.t1
OG0000779	XP_026496774.1, XP_026498409.1	HMEL003217g1.t1
OG0000780	XP_026487146.1	HMEL030183g1.t1, HMEL030182g1.t1
OG0000781	XP_026484364.1	HMEL010335g1.t1
OG0000782	XP_026496929.1, XP_026496928.1	HMEL036966g1.t1
OG0000784	XP_026488616.1	HMEL007434g1.t1
OG0000785	XP_026493107.1	HMEL036461g1.t1
OG0000785	XP_026493108.1	HMEL007446g1.t1
OG0000787	XP_026487925.1, XP_026487926.1	HMEL013952g1.t1
OG0000788	XP_026488926.1	HMEL014157g1.t1
OG0000789	XP_026489402.1	HMEL013440g1.t1, HMEL034129g1.t1
OG0000790	XP_026491000.1	HMEL037875g1.t1
OG0000791	XP_026495524.1	HMEL032504g1.t1
OG0000792	XP_026493018.1	HMEL021754g1.t1
OG0000793	XP_026485323.1	HMEL003263g1.t1
OG0000794	XP_026496204.1	HMEL034332g1.t1
OG0000795	XP_026492166.1	HMEL011930-RA
OG0000796	XP_026491847.1	HMEL020265g1.t1
OG0000796	XP_026491849.1	HMEL017397g1.t1
OG0000797	XP_026488314.1	HMEL032799g1.t1, HMEL032801g1.t1, HMEL032800g1.t1
OG0000798	XP_026495744.1	HMEL003428g1.t1
OG0000799	XP_026485729.1	HMEL010102g1.t1
OG0000800	XP_026483351.1	HMEL014885g1.t1
OG0000800	XP_026501264.1	HMEL020068g1.t1
OG0000801	XP_026501261.1	HMEL032123g1.t1
OG0000803	XP_026497442.1	HMEL013593g1.t1
OG0000803	XP_026497476.1	HMEL003968g1.t1
OG0000804	XP_026488229.1, XP_026488228.1, XP_026488226.1, XP_026488225.1	HMEL022129g1.t1
OG0000805	XP_026493068.1	HMEL032574g1.t1
OG0000806	XP_026494482.1	HMEL031338g1.t1, HMEL007517g1.t1
OG0000807	XP_026489736.1	HMEL037948g1.t1, HMEL037947g1.t1
OG0000808	XP_026483805.1	HMEL015877g1.t1
OG0000809	XP_026490290.1	HMEL014305g1.t1
OG0000811	XP_026492222.1	HMEL012683g1.t1
OG0000811	XP_026492257.1	HMEL012686g1.t1
OG0000812	XP_026497230.1	HMEL034524g1.t1
OG0000813	XP_026485203.1	HMEL014653g1.t1
OG0000814	XP_026495869.1	HMEL010409g1.t1
OG0000818	XP_026498237.1	HMEL032108g1.t1
OG0000819	XP_026494178.1	HMEL005099g1.t1
OG0000821	XP_026488550.1	HMEL030665g1.t1
OG0000822	XP_026491577.1	HMEL016683g1.t1
OG0000823	XP_026484885.1	HMEL015156g1.t1, HMEL015155g1.t1, HMEL015154g1.t1
OG0000824	XP_026497160.1	HMEL009086g1.t1
OG0000825	XP_026495935.1, XP_026495934.1	HMEL036796g1.t1
OG0000826	XP_026493870.1, XP_026493871.1, XP_026493868.1, XP_026493869.1	HMEL012313g1.t1
OG0000827	XP_026492043.1	HMEL010778g1.t1
OG0000829	XP_026499602.1	HMEL031655g1.t1
OG0000830	XP_026500064.1, XP_026500065.1	HMEL007594g1.t1
OG0000831	XP_026495318.1	HMEL007728g1.t1
OG0000831	XP_026497775.1	HMEL006078g1.t1
OG0000832	XP_026483205.1	HMEL006100g1.t1, HMEL006102g1.t1
OG0000833	XP_026485159.1, XP_026485160.1	HMEL031108g1.t1
OG0000834	XP_026484820.1, XP_026484822.1, XP_026484824.1, XP_026484821.1	HMEL031060g1.t1
OG0000835	XP_026499166.1, XP_026499165.1	HMEL006301g1.t1, HMEL021443g1.t1
OG0000836	XP_026486685.1	HMEL008191g1.t1
OG0000838	XP_026488424.1, XP_026488425.1, XP_026488423.1	HMEL003723g1.t1, HMEL032726g1.t1
OG0000840	XP_026494765.1	HMEL015933g1.t1
OG0000841	XP_026499121.1, XP_026499120.1	HMEL006650g1.t1
OG0000842	XP_026492746.1	HMEL037092g1.t1
OG0000843	XP_026497801.1	HMEL002884g1.t1
OG0000844	XP_026486534.1	HMEL013943g1.t1
OG0000845	XP_026490731.1, XP_026490732.1	HMEL009232g1.t1
OG0000845	XP_026490728.1	HMEL014028g1.t1
OG0000846	XP_026490278.1, XP_026490276.1, XP_026490277.1	HMEL014312g1.t1
OG0000847	XP_026485029.1	HMEL031015g1.t1
OG0000848	XP_026489150.1	HMEL017753g1.t1, HMEL037151g1.t1
OG0000849	XP_026498695.1	HMEL033126g1.t1
OG0000850	XP_026491186.1	HMEL016675-RA, HMEL016674-RA, HMEL016673-RA
OG0000851	XP_026489395.1	HMEL013445g1.t1
OG0000855	XP_026488873.1, XP_026488872.1, XP_026488871.1	HMEL008319g1.t1, HMEL008317g1.t1
OG0000864	XP_026490153.1, XP_026490155.1	HMEL031801g1.t1
OG0000866	XP_026490971.1	HMEL037815g1.t1, HMEL037814g1.t1, HMEL003152g1.t1
OG0000867	XP_026493814.1	HMEL011145g1.t1, HMEL011147g1.t1
OG0000868	XP_026488402.1	HMEL032773g1.t1
OG0000870	XP_026485637.1, XP_026485638.1, XP_026485636.1, XP_026485639.1, XP_026485640.1	HMEL010391g1.t1
OG0000871	XP_026483326.1	HMEL010874-RA
OG0000872	XP_026492519.1	HMEL004857g1.t1
OG0000874	XP_026487278.1	HMEL013844g1.t1
OG0000878	XP_026500472.1	HMEL008470g1.t1, HMEL035656g1.t1
OG0000881	XP_026499415.1, XP_026496441.1	HMEL037252g1.t1
OG0000882	XP_026498749.1	HMEL038174g1.t1
OG0000883	XP_026485121.1	HMEL031013g1.t1
OG0000888	XP_026486548.1	HMEL010147g1.t1
OG0000889	XP_026490172.1	HMEL016555g1.t1
OG0000890	XP_026484227.1	HMEL034310g1.t1
OG0000891	XP_026494139.1	HMEL020745g1.t1
OG0000892	XP_026497910.1	HMEL030776g1.t1, HMEL008526g1.t1
OG0000893	XP_026499518.1, XP_026499519.1	HMEL008104g1.t1
OG0000894	XP_026486350.1, XP_026486364.1, XP_026486358.1	HMEL007355g1.t1
OG0000895	XP_026484276.1	HMEL008406g1.t1
OG0000895	XP_026484279.1	HMEL008407g1.t1
OG0000896	XP_026490386.1, XP_026490387.1	HMEL010466g1.t1
OG0000897	XP_026489744.1, XP_026489741.1, XP_026489742.1, XP_026489740.1	HMEL005290g1.t1
OG0000898	XP_026489644.1	HMEL007995g1.t1, HMEL037993g1.t1
OG0000899	XP_026490655.1	HMEL037353g1.t1
OG0000900	XP_026501092.1	HMEL008650g1.t1, HMEL031260g1.t1
OG0000901	XP_026500083.1	HMEL004423g1.t1
OG0000902	XP_026497664.1	HMEL031382g1.t1
OG0000903	XP_026494199.1	HMEL037953g1.t1
OG0000903	XP_026494180.1	HMEL014964g1.t1
OG0000905	XP_026499313.1, XP_026497227.1, XP_026498755.1	HMEL010959g1.t1
OG0000906	XP_026487189.1, XP_026487177.1	HMEL017258g1.t1
OG0000907	XP_026483184.1	HMEL020171g1.t1, HMEL034850g1.t1, HMEL022087g1.t1
OG0000908	XP_026490432.1, XP_026490430.1	HMEL013191g1.t1
OG0000909	XP_026494263.1	HMEL037980g1.t1
OG0000910	XP_026490352.1, XP_026490351.1	HMEL002264g1.t1
OG0000911	XP_026495027.1, XP_026495028.1, XP_026495026.1	HMEL035027g1.t1
OG0000912	XP_026493269.1	HMEL008391g1.t1
OG0000913	XP_026490567.1	HMEL011181g1.t1
OG0000916	XP_026485224.1	HMEL017620g1.t1
OG0000918	XP_026497892.1	HMEL014118g1.t1
OG0000919	XP_026487707.1	HMEL030196g1.t1
OG0000919	XP_026487523.1	HMEL030199g1.t1
OG0000920	XP_026499098.1	HMEL037529g1.t1
OG0000921	XP_026483739.1	HMEL009323g1.t1
OG0000922	XP_026491327.1	HMEL033904g1.t1
OG0000923	XP_026490325.1	HMEL032216g1.t1
OG0000924	XP_026483828.1	HMEL008503g1.t1
OG0000926	XP_026496366.1, XP_026496375.1	HMEL035786g1.t1, HMEL003970g1.t1, HMEL035785g1.t1
OG0000927	XP_026492249.1	HMEL011907g1.t1, HMEL031563g1.t1
OG0000928	XP_026496880.1	HMEL011873g1.t1
OG0000929	XP_026496624.1, XP_026496623.1	HMEL037054g1.t1
OG0000930	XP_026496992.1, XP_026496990.1, XP_026496989.1, XP_026496993.1	HMEL002658g1.t1
OG0000931	XP_026491846.1	HMEL032196g1.t1
OG0000933	XP_026485820.1	HMEL016930-RA
OG0000933	XP_026486200.1	HMEL005404g1.t1
OG0000934	XP_026483870.1	HMEL037403g1.t1
OG0000935	XP_026488456.1	HMEL010831g1.t1
OG0000936	XP_026492480.1, XP_026492476.1, XP_026492478.1, XP_026492477.1	HMEL008615g1.t1
OG0000937	XP_026483089.1, XP_026483087.1, XP_026483090.1, XP_026483091.1, XP_026483088.1	HMEL007184g1.t1
OG0000938	XP_026496369.1	HMEL034328g1.t1
OG0000939	XP_026496372.1	HMEL015746g1.t1
OG0000940	XP_026499264.1, XP_026499265.1	HMEL007898g1.t1
OG0000941	XP_026487080.1, XP_026489233.1, XP_026489234.1	HMEL037227g1.t1
OG0000942	XP_026483706.1	HMEL009325g1.t1
OG0000945	XP_026492590.1	HMEL009182g1.t1
OG0000946	XP_026496020.1	HMEL008925g1.t1
OG0000947	XP_026488632.1	HMEL034125g1.t1
OG0000948	XP_026494736.1, XP_026494737.1	HMEL006697g1.t1
OG0000949	XP_026494744.1, XP_026494743.1, XP_026494745.1	HMEL006699g1.t1
OG0000950	XP_026488394.1	HMEL010764g1.t1, HMEL013728g1.t1, HMEL002986g1.t1, HMEL032948g1.t1
OG0000951	XP_026496410.1	HMEL003256-RA
OG0000952	XP_026499679.1	HMEL017594g1.t1
OG0000953	XP_026499258.1, XP_026499257.1, XP_026499259.1	HMEL005483g1.t1
OG0000954	XP_026484425.1, XP_026484426.1	HMEL031158g1.t1
OG0000955	XP_026486361.1, XP_026486362.1	HMEL022201g1.t1, HMEL031903g1.t1
OG0000956	XP_026494424.1, XP_026494445.1	HMEL011005g1.t1
OG0000957	XP_026489677.1	HMEL037938g1.t1, HMEL037939g1.t1
OG0000958	XP_026494146.1	HMEL014235g1.t1, HMEL014233g1.t1
OG0000959	XP_026494071.1	HMEL013929g1.t1
OG0000960	XP_026494024.1	HMEL005074g1.t1
OG0000961	XP_026494738.1	HMEL011579g1.t1
OG0000964	XP_026489059.1, XP_026489055.1	HMEL033246g1.t1
OG0000965	XP_026494549.1, XP_026494547.1, XP_026494548.1, XP_026494545.1, XP_026494546.1	HMEL016872g1.t1
OG0000967	XP_026494532.1	HMEL016885g1.t1
OG0000967	XP_026494535.1	HMEL034665g1.t1
OG0000968	XP_026484203.1, XP_026484204.1, XP_026484202.1	HMEL015666g1.t1, HMEL015667g1.t1
OG0000969	XP_026494540.1	HMEL016887g1.t1, HMEL034663g1.t1
OG0000970	XP_026496871.1	HMEL016780g1.t1
OG0000971	XP_026491250.1	HMEL032606g1.t1, HMEL032607g1.t1, HMEL014608g1.t1
OG0000972	XP_026494316.1	HMEL010043g1.t1, HMEL038014g1.t1
OG0000973	XP_026497223.1, XP_026496440.1	HMEL018073g1.t1
OG0000973	XP_026498146.1	HMEL018076g1.t1
OG0000974	XP_026488468.1	HMEL002092g1.t1
OG0000975	XP_026492407.1, XP_026492406.1, XP_026492408.1	HMEL012706g1.t1
OG0000976	XP_026497878.1	HMEL021174g1.t1
OG0000977	XP_026498599.1, XP_026498605.1, XP_026498671.1	HMEL003600g1.t1, HMEL034177g1.t1
OG0000979	XP_026492200.1	HMEL022555-RA
OG0000980	XP_026489597.1	HMEL013123g1.t1
OG0000981	XP_026501272.1, XP_026501271.1	HMEL006851g1.t1, HMEL009408g1.t1
OG0000982	XP_026487749.1, XP_026487751.1, XP_026487752.1, XP_026487750.1	HMEL002304g1.t1
OG0000983	XP_026498606.1	HMEL014948g1.t1
OG0000984	XP_026483304.1, XP_026487103.1	HMEL013268g1.t1
OG0000985	XP_026498662.1, XP_026498664.1, XP_026498663.1	HMEL014945g1.t1
OG0000986	XP_026495796.1	HMEL017874g1.t1
OG0000987	XP_026500568.1, XP_026500567.1	HMEL008507g1.t1
OG0000988	XP_026487736.1	HMEL006811g1.t1
OG0000989	XP_026494356.1, XP_026494354.1, XP_026494353.1, XP_026494352.1, XP_026494358.1, XP_026494355.1	HMEL038122g1.t1
OG0000990	XP_026499588.1	HMEL017554g1.t1
OG0000991	XP_026498764.1	HMEL013152g1.t1
OG0000992	XP_026489072.1	HMEL033300g1.t1
OG0000993	XP_026497379.1	HMEL015016g1.t1
OG0000994	XP_026498272.1	HMEL014909g1.t1, HMEL032097g1.t1
OG0000995	XP_026486912.1	HMEL037688g1.t1
OG0000996	XP_026491408.1	HMEL033683g1.t1
OG0000998	XP_026496472.1	HMEL032336g1.t1
OG0000999	XP_026498251.1, XP_026498250.1, XP_026498249.1	HMEL015898g1.t1
OG0001000	XP_026498583.1, XP_026498588.1	HMEL006653g1.t1
OG0001001	XP_026499824.1, XP_026499825.1, XP_026499827.1	HMEL015313g1.t1
OG0001002	XP_026489110.1	HMEL002124g1.t1
OG0001003	XP_026483986.1	HMEL002972g1.t1
OG0001004	XP_026487652.1	HMEL011374g1.t1
OG0001005	XP_026492829.1	HMEL016067g1.t1, HMEL037083g1.t1, HMEL022300g1.t1
OG0001006	XP_026486821.1	HMEL037617g1.t1
OG0001007	XP_026488007.1	HMEL013723g1.t1, HMEL013790g1.t1
OG0001008	XP_026484221.1	HMEL002673g1.t1
OG0001008	XP_026484240.1	HMEL002670g1.t1
OG0001009	XP_026490305.1	HMEL032991g1.t1
OG0001010	XP_026490883.1	HMEL032688g1.t1
OG0001011	XP_026488031.1	HMEL036857g1.t1
OG0001013	XP_026492598.1, XP_026492597.1	HMEL009165g1.t1, HMEL010257g1.t1
OG0001014	XP_026489174.1	HMEL015565g1.t1
OG0001015	XP_026501411.1	HMEL004151g1.t1, HMEL014053g1.t1, HMEL033376g1.t1, HMEL033377g1.t1
OG0001016	XP_026489175.1	HMEL037132g1.t1, HMEL037131g1.t1
OG0001017	XP_026487494.1	HMEL033085g1.t1
OG0001018	XP_026489157.1	HMEL008033-RA, HMEL014654g1.t1
OG0001019	XP_026498327.1	HMEL036009g1.t1, HMEL036004g1.t1, HMEL021764g1.t1
OG0001020	XP_026488129.1	HMEL032670g1.t1
OG0001021	XP_026486493.1	HMEL007292g1.t1
OG0001022	XP_026491877.1	HMEL007369g1.t1
OG0001023	XP_026490451.1	HMEL014742g1.t1
OG0001024	XP_026484320.1	HMEL031000g1.t1
OG0001024	XP_026485047.1	HMEL003693g1.t1
OG0001025	XP_026491882.1	HMEL017351g1.t1
OG0001026	XP_026486639.1	HMEL013363g1.t1
OG0001027	XP_026485053.1	HMEL030991g1.t1, HMEL030992g1.t1
OG0001028	XP_026501631.1	HMEL035256g1.t1
OG0001030	XP_026488770.1	HMEL033105g1.t1
OG0001030	XP_026488797.1	HMEL016491g1.t1
OG0001031	XP_026488779.1	HMEL021033g1.t1
