Orthogroup	Vanessa_tameamea	Heliconius_erato_lativitta
OG0002123	XP_026499527.1	HEL_007020-RA
OG0002124	XP_026499833.1, XP_026499832.1, XP_026499834.1	HEL_012230-RA
OG0002125	XP_026496779.1	HEL_010610-RA, HEL_010609-RA
OG0002126	XP_026487446.1	HEL_003083-RA
OG0002127	XP_026488501.1	HEL_007387-RA, HEL_007388-RA
OG0002128	XP_026499283.1	HEL_007028-RA, HEL_007027-RA
OG0002129	XP_026487552.1	HEL_003069-RA
OG0002130	XP_026483975.1, XP_026483974.1	HEL_005944-RA
OG0002132	XP_026493317.1	HEL_007242-RA
OG0002133	XP_026496560.1	HEL_006797-RA, HEL_006794-RA, HEL_006795-RA
OG0002134	XP_026492838.1	HEL_010632-RA, HEL_010628-RA, HEL_010635-RA, HEL_010629-RA
OG0002135	XP_026489927.1, XP_026489937.1	HEL_007033-RA
OG0002136	XP_026491171.1	HEL_004406-RA
OG0002137	XP_026490301.1, XP_026490302.1	HEL_008603-RA
OG0002138	XP_026493236.1	HEL_007221-RA
OG0002139	XP_026483926.1	HEL_005904-RA
OG0002140	XP_026499117.1	HEL_000941-RA, HEL_000938-RA
OG0002141	XP_026489210.1	HEL_009782-RA, HEL_009784-RA, HEL_009783-RA, HEL_009785-RA
OG0002142	XP_026492815.1, XP_026492816.1, XP_026492814.1, XP_026492813.1	HEL_010657-RA
OG0002143	XP_026492825.1	HEL_010660-RA, HEL_010661-RA, HEL_010659-RA, HEL_010658-RA
OG0002144	XP_026492823.1, XP_026492822.1	HEL_010662-RA
OG0002145	XP_026488073.1, XP_026488074.1	HEL_013365-RA, HEL_013361-RA, HEL_013363-RA, HEL_013364-RA, HEL_013362-RA
OG0002146	XP_026494978.1	HEL_011589-RA
OG0002147	XP_026485623.1	HEL_014260-RA
OG0002148	XP_026484506.1	HEL_001281-RA, HEL_001285-RA, HEL_001286-RA, HEL_001288-RA
OG0002150	XP_026490834.1	HEL_013428-RA, HEL_014608-RA
OG0002152	XP_026489517.1	HEL_014128-RA, HEL_014129-RA
OG0002153	XP_026497805.1	HEL_012948-RA
OG0002155	XP_026490771.1	HEL_014190-RA, HEL_014189-RA
OG0002156	XP_026485997.1	HEL_000111-RA, HEL_000110-RA
OG0002157	XP_026483959.1	HEL_005929-RA
OG0002159	XP_026490310.1, XP_026490272.1	HEL_008657-RA, HEL_008656-RA
OG0002160	XP_026490255.1	HEL_008654-RA, HEL_008653-RA
OG0002161	XP_026496087.1, XP_026496086.1	HEL_011914-RA
OG0002164	XP_026490802.1	HEL_011500-RA, HEL_011497-RA, HEL_011502-RA
OG0002165	XP_026484695.1, XP_026484694.1, XP_026484696.1	HEL_001247-RA
OG0002166	XP_026500025.1	HEL_008641-RA
OG0002167	XP_026487660.1	HEL_003181-RA
OG0002168	XP_026500782.1, XP_026496077.1	HEL_011925-RA
OG0002170	XP_026500638.1	HEL_007081-RA
OG0002171	XP_026485222.1	HEL_011931-RA
OG0002172	XP_026497795.1	HEL_008571-RA
OG0002173	XP_026490259.1, XP_026490260.1, XP_026490261.1, XP_026490262.1	HEL_008623-RA
OG0002174	XP_026490930.1	HEL_011478-RA
OG0002177	XP_026499916.1	HEL_009837-RA, HEL_009836-RA
OG0002178	XP_026487505.1	HEL_003206-RA
OG0002179	XP_026487493.1	HEL_003207-RA
OG0002180	XP_026501654.1	HEL_010034-RA, HEL_010035-RA
OG0002181	XP_026490794.1, XP_026490817.1	HEL_011446-RA
OG0002182	XP_026493922.1	HEL_012267-RA
OG0002183	XP_026491090.1, XP_026491089.1	HEL_004440-RA
OG0002184	XP_026490856.1	HEL_011429-RA, HEL_011428-RA
OG0002185	XP_026491702.1	HEL_004445-RA, HEL_004444-RA
OG0002186	XP_026486999.1	HEL_011419-RA
OG0002187	XP_026491388.1	HEL_004449-RA
OG0002188	XP_026489197.1	HEL_010343-RA, HEL_010344-RA
OG0002189	XP_026491996.1	HEL_008523-RA
OG0002190	XP_026491923.1	HEL_008518-RA
OG0002191	XP_026483231.1	HEL_011984-RA
OG0002192	XP_026500675.1	HEL_010397-RA
OG0002193	XP_026489124.1, XP_026489125.1	HEL_010356-RA, HEL_010357-RA
OG0002194	XP_026486494.1	HEL_011992-RA, HEL_011991-RA
OG0002195	XP_026487140.1, XP_026487139.1	HEL_008355-RA
OG0002197	XP_026485056.1	HEL_001166-RA
OG0002201	XP_026484517.1, XP_026484516.1	HEL_001147-RA
OG0002202	XP_026500030.1	HEL_010372-RA
OG0002203	XP_026497209.1, XP_026497203.1	HEL_007147-RA
OG0002205	XP_026500424.1	HEL_010422-RA
OG0002206	XP_026491380.1	HEL_004469-RA
OG0002207	XP_026491364.1	HEL_004471-RA, HEL_004473-RA
OG0002208	XP_026486650.1, XP_026486651.1	HEL_012815-RA, HEL_012817-RA
OG0002211	XP_026490544.1, XP_026490542.1, XP_026490543.1, XP_026490540.1	HEL_003281-RA
OG0002212	XP_026501312.1	HEL_008389-RA
OG0002213	XP_026491543.1	HEL_004495-RA, HEL_004493-RA, HEL_004494-RA, HEL_004492-RA
OG0002214	XP_026491064.1	HEL_004499-RA, HEL_004497-RA, HEL_004498-RA
OG0002215	XP_026491947.1	HEL_008480-RA, HEL_008481-RA
OG0002216	XP_026498353.1, XP_026498343.1	HEL_007151-RA
OG0002217	XP_026490513.1	HEL_003252-RA, HEL_003253-RA
OG0002219	XP_026491969.1	HEL_008469-RA
OG0002220	XP_026491891.1	HEL_008453-RA
OG0002222	XP_026488794.1	HEL_003239-RA
OG0002224	XP_026497064.1	HEL_006753-RA
OG0002225	XP_026485104.1	HEL_013413-RA, HEL_013410-RA, HEL_013411-RA, HEL_013412-RA
OG0002226	XP_026497162.1	HEL_006762-RA
OG0002227	XP_026494733.1	HEL_002921-RA, HEL_002922-RA, HEL_002923-RA, HEL_002920-RA, HEL_002926-RA
OG0002228	XP_026486271.1	HEL_004650-RA
OG0002230	XP_026492009.1	HEL_008464-RA, HEL_008461-RA
OG0002231	XP_026488767.1	HEL_011265-RA, HEL_011264-RA
OG0002232	XP_026498086.1	HEL_012436-RA, HEL_012438-RA
OG0002233	XP_026493190.1	HEL_007226-RA
OG0002234	XP_026492165.1	HEL_010722-RA
OG0002235	XP_026488428.1	HEL_007365-RA, HEL_007368-RA
OG0002238	XP_026492479.1, XP_026492470.1, XP_026492463.1	HEL_006530-RA
OG0002240	XP_026501113.1	HEL_001772-RA, HEL_001769-RA, HEL_001768-RA, HEL_001770-RA, HEL_001771-RA
OG0002247	XP_026491546.1	HEL_008821-RA
OG0002248	XP_026496151.1	HEL_000343-RA
OG0002249	XP_026486524.1, XP_026486525.1	HEL_013956-RA
OG0002250	XP_026496247.1	HEL_005361-RA
OG0002251	XP_026499016.1	HEL_009472-RA
OG0002253	XP_026496251.1	HEL_005360-RA
OG0002254	XP_026493398.1	HEL_007346-RA, HEL_007345-RA
OG0002255	XP_026489247.1	HEL_002226-RA
OG0002256	XP_026496916.1	HEL_003424-RA
OG0002257	XP_026492137.1	HEL_003495-RA
OG0002258	XP_026485654.1, XP_026485655.1	HEL_011011-RA
OG0002259	XP_026489304.1	HEL_002275-RA
OG0002260	XP_026490982.1	HEL_005070-RA, HEL_005069-RA
OG0002261	XP_026486769.1	HEL_004169-RA
OG0002262	XP_026498530.1	HEL_004087-RA, HEL_004088-RA
OG0002263	XP_026486170.1	HEL_004635-RA
OG0002264	XP_026499012.1	HEL_009465-RA
OG0002265	XP_026497421.1	HEL_001893-RA
OG0002266	XP_026483391.1	HEL_012686-RA
OG0002267	XP_026487100.1	HEL_006975-RA
OG0002268	XP_026492118.1, XP_026492117.1	HEL_003481-RA
OG0002269	XP_026494030.1	HEL_014060-RA
OG0002270	XP_026492418.1	HEL_009290-RA, HEL_009291-RA
OG0002271	XP_026501210.1	HEL_001721-RA
OG0002273	XP_026483106.1	HEL_013029-RA
OG0002274	XP_026500922.1	HEL_010162-RA, HEL_010163-RA
OG0002275	XP_026485242.1, XP_026498412.1	HEL_003401-RA
OG0002276	XP_026492318.1	HEL_010737-RA
OG0002277	XP_026483386.1	HEL_012696-RA
OG0002278	XP_026492882.1, XP_026492888.1	HEL_005372-RA
OG0002279	XP_026499031.1	HEL_009478-RA, HEL_009477-RA
OG0002280	XP_026499008.1	HEL_009479-RA, HEL_008012-RA
OG0002281	XP_026499009.1	HEL_009480-RA
OG0002282	XP_026485258.1	HEL_003398-RA
OG0002283	XP_026496447.1	HEL_004037-RA, HEL_004036-RA
OG0002284	XP_026498958.1	HEL_009481-RA
OG0002286	XP_026495486.1	HEL_008943-RA, HEL_008945-RA, HEL_008944-RA
OG0002287	XP_026485660.1	HEL_005396-RA, HEL_005378-RA
OG0002289	XP_026483888.1	HEL_002192-RA
OG0002290	XP_026500296.1	HEL_012093-RA, HEL_012094-RA
OG0002291	XP_026487287.1	HEL_000710-RA, HEL_000709-RA, HEL_000712-RA
OG0002292	XP_026497422.1	HEL_001866-RA
OG0002293	XP_026489331.1, XP_026489332.1	HEL_002242-RA
OG0002294	XP_026485256.1	HEL_003387-RA
OG0002295	XP_026483603.1	HEL_004026-RA
OG0002296	XP_026491039.1	HEL_004000-RA, HEL_003999-RA
OG0002297	XP_026487013.1	HEL_006988-RA
OG0002298	XP_026499449.1	HEL_009218-RA
OG0002299	XP_026499437.1	HEL_009224-RA, HEL_009223-RA
OG0002300	XP_026501221.1	HEL_001715-RA
OG0002301	XP_026483162.1	HEL_013057-RA
OG0002302	XP_026494077.1, XP_026494081.1	HEL_013056-RA
OG0002303	XP_026500932.1	HEL_004034-RA
OG0002304	XP_026483079.1	HEL_013055-RA
OG0002306	XP_026491144.1	HEL_003987-RA
OG0002307	XP_026491145.1	HEL_003986-RA
OG0002308	XP_026490026.1	HEL_007623-RA, HEL_007622-RA, HEL_007617-RA
OG0002309	XP_026493884.1	HEL_013732-RA
OG0002310	XP_026483472.1	HEL_012662-RA
OG0002311	XP_026483069.1	HEL_013054-RA
OG0002312	XP_026501820.1, XP_026501821.1	HEL_005388-RA
OG0002313	XP_026499435.1, XP_026499434.1	HEL_009229-RA
OG0002314	XP_026492207.1	HEL_003449-RA
OG0002315	XP_026490366.1	HEL_000464-RA
OG0002316	XP_026489860.1	HEL_003373-RA
OG0002317	XP_026483118.1	HEL_011297-RA
OG0002318	XP_026500153.1	HEL_002048-RA
OG0002319	XP_026493141.1	HEL_007293-RA
OG0002321	XP_026495220.1, XP_026495228.1, XP_026495211.1	HEL_014460-RA
OG0002322	XP_026495191.1	HEL_014462-RA
OG0002323	XP_026500254.1	HEL_002051-RA
OG0002325	XP_026483099.1	HEL_011675-RA
OG0002326	XP_026483938.1	HEL_002207-RA
OG0002327	XP_026490043.1	HEL_007606-RA, HEL_007605-RA
OG0002328	XP_026483337.1	HEL_012652-RA
OG0002329	XP_026500222.1	HEL_002060-RA, HEL_002056-RA
OG0002330	XP_026483334.1	HEL_012647-RA
OG0002331	XP_026490049.1	HEL_007604-RA
OG0002333	XP_026500968.1, XP_026500967.1	HEL_012567-RA
OG0002334	XP_026484180.1	HEL_002214-RA
OG0002335	XP_026487058.1	HEL_012401-RA
OG0002336	XP_026483596.1	HEL_012640-RA
OG0002337	XP_026496905.1	HEL_007806-RA
OG0002338	XP_026489738.1	HEL_010193-RA
OG0002339	XP_026487035.1, XP_026487034.1	HEL_012406-RA
OG0002340	XP_026491253.1, XP_026491254.1	HEL_003974-RA
OG0002342	XP_026494108.1, XP_026494107.1, XP_026494099.1, XP_026494100.1	HEL_004069-RA
OG0002344	XP_026498827.1	HEL_013506-RA, HEL_013505-RA
OG0002346	XP_026494275.1	HEL_014590-RA
OG0002348	XP_026492921.1	HEL_005418-RA, HEL_005416-RA, HEL_005417-RA
OG0002349	XP_026483221.1	HEL_003351-RA
OG0002350	XP_026500944.1	HEL_003614-RA
OG0002351	XP_026500009.1	HEL_004076-RA
OG0002352	XP_026498808.1	HEL_013507-RA
OG0002354	XP_026500480.1	HEL_009661-RA, HEL_009660-RA
OG0002355	XP_026496304.1, XP_026496303.1	HEL_005260-RA
OG0002356	XP_026500070.1	HEL_011767-RA, HEL_011766-RA
OG0002358	XP_026484247.1	HEL_007777-RA, HEL_007779-RA, HEL_007778-RA
OG0002359	XP_026497884.1	HEL_002614-RA
OG0002360	XP_026499513.1	HEL_004082-RA
OG0002361	XP_026498081.1	HEL_012419-RA
OG0002362	XP_026490217.1	HEL_003326-RA
OG0002363	XP_026492965.1	HEL_009011-RA, HEL_009012-RA, HEL_009013-RA
OG0002364	XP_026500156.1	HEL_002078-RA
OG0002365	XP_026498216.1	HEL_011750-RA
OG0002366	XP_026493403.1, XP_026498223.1	HEL_009705-RA
OG0002367	XP_026489999.1	HEL_010526-RA, HEL_010525-RA
OG0002371	XP_026496147.1	HEL_000476-RA, HEL_000477-RA
OG0002372	XP_026492940.1	HEL_009027-RA
OG0002373	XP_026489978.1	HEL_010540-RA
OG0002374	XP_026492939.1	HEL_009031-RA, HEL_009028-RA, HEL_009029-RA, HEL_009030-RA
OG0002375	XP_026495453.1	HEL_008217-RA
OG0002377	XP_026483529.1	HEL_013884-RA, HEL_013883-RA
OG0002379	XP_026483518.1	HEL_010152-RA
OG0002380	XP_026486739.1, XP_026486740.1	HEL_004678-RA
OG0002381	XP_026486716.1	HEL_004598-RA
OG0002382	XP_026495808.1	HEL_005682-RA, HEL_005683-RA
OG0002383	XP_026501110.1, XP_026501111.1	HEL_001778-RA
OG0002384	XP_026498103.1, XP_026498104.1	HEL_012432-RA
OG0002386	XP_026492206.1	HEL_003537-RA, HEL_003536-RA
OG0002387	XP_026488876.1	HEL_000793-RA, HEL_000792-RA
OG0002388	XP_026501158.1	HEL_001786-RA, HEL_001787-RA
OG0002389	XP_026483513.1	HEL_010146-RA
OG0002390	XP_026489346.1	HEL_002273-RA
OG0002391	XP_026498096.1, XP_026498097.1, XP_026498098.1	HEL_012439-RA
OG0002392	XP_026489616.1	HEL_003601-RA, HEL_003600-RA
OG0002393	XP_026492381.1	HEL_003542-RA
OG0002395	XP_026488839.1	HEL_000795-RA
OG0002396	XP_026489730.1, XP_026489731.1, XP_026489732.1, XP_026489729.1	HEL_003596-RA
OG0002397	XP_026500051.1, XP_026491773.1	HEL_003953-RA
OG0002398	XP_026484300.1	HEL_007796-RA
OG0002399	XP_026490235.1	HEL_009278-RA
OG0002400	XP_026490173.1	HEL_003859-RA, HEL_005036-RA, HEL_005038-RA
OG0002402	XP_026490705.1	HEL_004145-RA
OG0002403	XP_026500470.1	HEL_013254-RA
OG0002404	XP_026492292.1	HEL_003546-RA, HEL_003545-RA
OG0002405	XP_026490652.1	HEL_011279-RA
OG0002406	XP_026500450.1, XP_026500451.1	HEL_013252-RA, HEL_013253-RA
OG0002407	XP_026498836.1	HEL_011821-RA
OG0002408	XP_026490657.1	HEL_011283-RA, HEL_011282-RA
OG0002409	XP_026494188.1	HEL_006397-RA
OG0002410	XP_026491167.1	HEL_003944-RA
OG0002411	XP_026489645.1	HEL_003588-RA
OG0002412	XP_026500519.1, XP_026500520.1	HEL_013235-RA
OG0002416	XP_026492492.1	HEL_009365-RA, HEL_009364-RA
OG0002417	XP_026489711.1	HEL_003627-RA
OG0002418	XP_026490680.1	HEL_011696-RA, HEL_011695-RA, HEL_011694-RA
OG0002419	XP_026483291.1	HEL_005061-RA
OG0002420	XP_026497244.1	HEL_000497-RA, HEL_000498-RA, HEL_000499-RA
OG0002421	XP_026500911.1, XP_026500832.1	HEL_010222-RA
OG0002422	XP_026487771.1	HEL_002290-RA, HEL_002287-RA, HEL_002288-RA
OG0002424	XP_026497241.1	HEL_000510-RA
OG0002425	XP_026494126.1	HEL_004136-RA
OG0002426	XP_026486618.1	HEL_002518-RA
OG0002428	XP_026501585.1, XP_026501575.1, XP_026501565.1	HEL_010230-RA
OG0002429	XP_026500085.1	HEL_002126-RA
OG0002430	XP_026486590.1	HEL_002521-RA
OG0002431	XP_026486589.1	HEL_002522-RA
OG0002432	XP_026496053.1	HEL_011774-RA
OG0002433	XP_026489987.1	HEL_009035-RA, HEL_009036-RA
OG0002434	XP_026494205.1	HEL_003680-RA, HEL_003685-RA
OG0002435	XP_026498819.1	HEL_013503-RA, HEL_013502-RA
OG0002437	XP_026484807.1	HEL_001708-RA
OG0002438	XP_026483405.1	HEL_010116-RA
OG0002439	XP_026483417.1	HEL_010114-RA
OG0002440	XP_026488754.1	HEL_011310-RA
OG0002442	XP_026490337.1, XP_026490338.1, XP_026490336.1	HEL_000430-RA
OG0002443	XP_026484273.1	HEL_006019-RA
OG0002444	XP_026498480.1, XP_026498481.1	HEL_011117-RA
OG0002446	XP_026483419.1	HEL_010109-RA
OG0002447	XP_026492906.1, XP_026492907.1	HEL_004589-RA
OG0002448	XP_026498491.1	HEL_011073-RA
OG0002449	XP_026500252.1, XP_026500253.1	HEL_002148-RA
OG0002450	XP_026492612.1, XP_026492619.1	HEL_006416-RA
OG0002451	XP_026500226.1	HEL_002150-RA
OG0002452	XP_026486621.1	HEL_002535-RA
OG0002453	XP_026490637.1	HEL_011344-RA
OG0002455	XP_026491082.1	HEL_014049-RA
OG0002456	XP_026486518.1	HEL_004171-RA
OG0002457	XP_026500852.1	HEL_012103-RA
OG0002458	XP_026498810.1	HEL_011839-RA
OG0002459	XP_026492508.1, XP_026492501.1	HEL_006426-RA
OG0002460	XP_026487157.1, XP_026487158.1, XP_026487159.1	HEL_009449-RA
OG0002461	XP_026492564.1, XP_026492556.1	HEL_006430-RA
OG0002462	XP_026498856.1, XP_026498857.1, XP_026498855.1	HEL_011800-RA
OG0002464	XP_026495987.1	HEL_005814-RA, HEL_005813-RA
OG0002465	XP_026495985.1	HEL_005809-RA, HEL_005810-RA, HEL_005811-RA
OG0002466	XP_026490494.1, XP_026490478.1, XP_026490488.1	HEL_006431-RA
OG0002467	XP_026498866.1	HEL_011808-RA
OG0002469	XP_026495727.1	HEL_004141-RA
OG0002470	XP_026498873.1	HEL_011813-RA, HEL_011814-RA, HEL_011815-RA
OG0002471	XP_026499307.1	HEL_000819-RA
OG0002472	XP_026498869.1	HEL_011816-RA
OG0002475	XP_026484230.1	HEL_007837-RA
OG0002476	XP_026487574.1	HEL_013216-RA
OG0002477	XP_026484231.1, XP_026484232.1	HEL_007836-RA
OG0002478	XP_026494125.1	HEL_004134-RA
OG0002479	XP_026498838.1	HEL_011827-RA, HEL_011826-RA
OG0002480	XP_026492246.1	HEL_003567-RA
OG0002481	XP_026498707.1	HEL_011846-RA
OG0002482	XP_026492303.1, XP_026492302.1	HEL_003570-RA
OG0002484	XP_026500209.1	HEL_002163-RA, HEL_002164-RA
OG0002485	XP_026501243.1	HEL_013937-RA
OG0002486	XP_026495829.1	HEL_004998-RA
OG0002487	XP_026488569.1	HEL_014373-RA, HEL_002328-RA
OG0002488	XP_026483560.1	HEL_010080-RA, HEL_010079-RA
OG0002489	XP_026485598.1	HEL_004368-RA, HEL_004367-RA
OG0002490	XP_026493320.1, XP_026493321.1	HEL_009748-RA, HEL_009747-RA
OG0002492	XP_026494644.1	HEL_011205-RA
OG0002493	XP_026499354.1	HEL_005007-RA
OG0002494	XP_026483628.1	HEL_011394-RA
OG0002495	XP_026497923.1	HEL_002563-RA
OG0002496	XP_026483626.1	HEL_011391-RA, HEL_011393-RA
OG0002497	XP_026490116.1	HEL_007707-RA
OG0002498	XP_026486539.1	HEL_013946-RA
OG0002499	XP_026490233.1	HEL_009276-RA
OG0002500	XP_026499338.1	HEL_005008-RA
OG0002502	XP_026497920.1	HEL_002569-RA
OG0002503	XP_026500180.1	HEL_014385-RA, HEL_014386-RA, HEL_014384-RA
OG0002504	XP_026496384.1	HEL_010825-RA
OG0002505	XP_026499325.1, XP_026486540.1, XP_026486490.1	HEL_013948-RA
OG0002506	XP_026491061.1	HEL_006448-RA, HEL_006447-RA
OG0002507	XP_026497935.1	HEL_002577-RA
OG0002508	XP_026487195.1	HEL_009427-RA, HEL_009428-RA
OG0002509	XP_026500163.1	HEL_014383-RA
OG0002510	XP_026486485.1	HEL_013940-RA
OG0002512	XP_026501044.1	HEL_008088-RA
OG0002513	XP_026500146.1	HEL_014381-RA
OG0002514	XP_026494624.1, XP_026494622.1, XP_026494625.1	HEL_011191-RA
OG0002515	XP_026499364.1	HEL_005016-RA
OG0002516	XP_026491168.1, XP_026491160.1	HEL_006452-RA
OG0002517	XP_026490579.1	HEL_011334-RA
OG0002518	XP_026492248.1	HEL_003574-RA
OG0002519	XP_026484621.1	HEL_001659-RA, HEL_001658-RA
OG0002520	XP_026491316.1	HEL_008863-RA, HEL_008862-RA
OG0002521	XP_026490240.1	HEL_009265-RA, HEL_009267-RA
OG0002522	XP_026499238.1	HEL_000827-RA
OG0002523	XP_026485602.1	HEL_004345-RA, HEL_004344-RA
OG0002524	XP_026497361.1	HEL_001928-RA
OG0002525	XP_026493687.1	HEL_002752-RA
OG0002526	XP_026500354.1	HEL_007988-RA
OG0002527	XP_026501717.1	HEL_009260-RA
OG0002528	XP_026490630.1	HEL_011349-RA
OG0002529	XP_026497291.1	HEL_001950-RA, HEL_001949-RA
OG0002530	XP_026497837.1	HEL_002592-RA, HEL_002593-RA
OG0002531	XP_026489376.1	HEL_014533-RA, HEL_014534-RA, HEL_014532-RA
OG0002532	XP_026488865.1	HEL_007995-RA, HEL_007996-RA, HEL_007998-RA
OG0002533	XP_026487308.1, XP_026487310.1	HEL_002361-RA
OG0002534	XP_026499261.1	HEL_000842-RA, HEL_000841-RA
OG0002535	XP_026492670.1	HEL_006458-RA
OG0002536	XP_026497282.1	HEL_001953-RA
OG0002537	XP_026491206.1, XP_026491028.1	HEL_008838-RA
OG0002538	XP_026499225.1	HEL_000851-RA
OG0002539	XP_026499394.1	HEL_004928-RA
OG0002540	XP_026496909.1, XP_026496907.1, XP_026496908.1	HEL_007807-RA
OG0002541	XP_026500289.1	HEL_012091-RA, HEL_012090-RA
OG0002542	XP_026486546.1	HEL_013964-RA
OG0002543	XP_026494836.1	HEL_009126-RA
OG0002544	XP_026490952.1	HEL_005109-RA
OG0002545	XP_026488532.1	HEL_002366-RA
OG0002547	XP_026495343.1	HEL_009137-RA
OG0002548	XP_026488262.1, XP_026488261.1	HEL_009413-RA
OG0002549	XP_026486830.1	HEL_004634-RA
OG0002550	XP_026495604.1	HEL_005791-RA
OG0002551	XP_026483736.1, XP_026483727.1	HEL_008025-RA
OG0002552	XP_026484949.1	HEL_001378-RA
OG0002553	XP_026488579.1	HEL_014403-RA
OG0002554	XP_026491862.1	HEL_000384-RA
OG0002555	XP_026500679.1	HEL_007959-RA
OG0002556	XP_026486851.1, XP_026486852.1, XP_026486850.1	HEL_009796-RA
OG0002557	XP_026485131.1, XP_026485130.1	HEL_001636-RA, HEL_001637-RA
OG0002558	XP_026497110.1	HEL_006716-RA
OG0002559	XP_026487280.1	HEL_002376-RA
OG0002560	XP_026497859.1	HEL_002626-RA
OG0002562	XP_026496634.1	HEL_006190-RA
OG0002563	XP_026487152.1	HEL_009244-RA
OG0002564	XP_026497552.1	HEL_001989-RA
OG0002565	XP_026489431.1	HEL_013702-RA
OG0002566	XP_026495543.1	HEL_005785-RA
OG0002567	XP_026493463.1	HEL_013779-RA
OG0002568	XP_026490995.1, XP_026490996.1	HEL_005129-RA
OG0002569	XP_026492355.1	HEL_010709-RA
OG0002570	XP_026495363.1, XP_026495362.1	HEL_009159-RA, HEL_009165-RA
OG0002571	XP_026495367.1, XP_026495366.1	HEL_009166-RA
OG0002574	XP_026485091.1	HEL_001630-RA, HEL_001632-RA
OG0002575	XP_026490969.1	HEL_005135-RA, HEL_005139-RA
OG0002576	XP_026487824.1	HEL_002395-RA
OG0002577	XP_026500853.1	HEL_007950-RA, HEL_007951-RA
OG0002578	XP_026491545.1, XP_026491544.1	HEL_008819-RA
OG0002580	XP_026493275.1	HEL_013791-RA
OG0002581	XP_026499399.1	HEL_004907-RA
OG0002582	XP_026485775.1	HEL_013304-RA
OG0002583	XP_026483881.1, XP_026483880.1	HEL_000557-RA
OG0002584	XP_026501194.1	HEL_007934-RA
OG0002585	XP_026484345.1	HEL_001617-RA
OG0002586	XP_026492923.1	HEL_006514-RA
OG0002587	XP_026490985.1	HEL_005155-RA, HEL_005147-RA
OG0002588	XP_026500390.1	HEL_002404-RA
OG0002590	XP_026484846.1	HEL_001615-RA
OG0002592	XP_026488186.1	HEL_009384-RA
OG0002593	XP_026499889.1	HEL_004895-RA
OG0002594	XP_026492159.1	HEL_010726-RA
OG0002595	XP_026494962.1, XP_026494960.1	HEL_009171-RA
OG0002596	XP_026500414.1	HEL_002412-RA
OG0002597	XP_026497572.1, XP_026497571.1	HEL_002003-RA
OG0002599	XP_026500379.1	HEL_005165-RA
OG0002600	XP_026492453.1	HEL_006529-RA
OG0002601	XP_026500381.1	HEL_005172-RA
OG0002602	XP_026483773.1	HEL_000577-RA
OG0002603	XP_026492331.1	HEL_010735-RA
OG0002604	XP_026484801.1	HEL_001604-RA, HEL_001606-RA, HEL_001605-RA
OG0002605	XP_026494894.1	HEL_009177-RA
OG0002606	XP_026483132.1, XP_026483133.1, XP_026483130.1, XP_026483129.1, XP_026483131.1, XP_026483134.1	HEL_013926-RA
OG0002607	XP_026485832.1	HEL_004608-RA
OG0002608	XP_026483143.1	HEL_013927-RA
OG0002609	XP_026493557.1	HEL_006533-RA
OG0002610	XP_026486923.1	HEL_001128-RA
OG0002611	XP_026499663.1	HEL_012138-RA
OG0002612	XP_026483550.1	HEL_010050-RA
OG0002614	XP_026499661.1	HEL_012137-RA
OG0002615	XP_026496370.1, XP_026496371.1	HEL_013979-RA
OG0002617	XP_026488316.1	HEL_009374-RA
OG0002618	XP_026492471.1	HEL_009339-RA
OG0002619	XP_026491473.1	HEL_008774-RA
OG0002620	XP_026495263.1	HEL_009185-RA
OG0002621	XP_026498738.1	HEL_011857-RA
OG0002622	XP_026491472.1, XP_026491471.1	HEL_008771-RA
OG0002623	XP_026490679.1	HEL_006548-RA
OG0002624	XP_026484779.1, XP_026484594.1	HEL_001589-RA
OG0002625	XP_026496296.1, XP_026496297.1	HEL_013975-RA
OG0002626	XP_026490541.1	HEL_006552-RA
OG0002627	XP_026487908.1	HEL_002684-RA
OG0002628	XP_026484405.1	HEL_001586-RA, HEL_001587-RA
OG0002629	XP_026495491.1	HEL_005742-RA
OG0002630	XP_026492108.1	HEL_009634-RA, HEL_006556-RA
OG0002632	XP_026492029.1	HEL_006557-RA
OG0002633	XP_026487878.1	HEL_002687-RA
OG0002634	XP_026489236.1	HEL_012989-RA, HEL_012990-RA
OG0002635	XP_026486506.1	HEL_004664-RA
OG0002636	XP_026487662.1	HEL_002448-RA
OG0002637	XP_026484658.1, XP_026484649.1	HEL_007895-RA
OG0002638	XP_026496434.1	HEL_013973-RA
OG0002639	XP_026484680.1, XP_026484671.1	HEL_007894-RA
OG0002640	XP_026491951.1	HEL_006567-RA
OG0002641	XP_026486234.1	HEL_004665-RA
OG0002642	XP_026497985.1	HEL_009628-RA
OG0002644	XP_026483347.1	HEL_010072-RA
OG0002645	XP_026494773.1	HEL_002905-RA, HEL_002906-RA
OG0002646	XP_026499057.1	HEL_000874-RA
OG0002647	XP_026496146.1	HEL_000344-RA, HEL_000345-RA
OG0002648	XP_026495835.1, XP_026495836.1, XP_026495837.1	HEL_012714-RA
OG0002650	XP_026494751.1	HEL_002898-RA, HEL_002899-RA
OG0002651	XP_026488950.1	HEL_013552-RA
OG0002652	XP_026483641.1	HEL_000616-RA
OG0002653	XP_026484410.1	HEL_001570-RA, HEL_001567-RA
OG0002654	XP_026485466.1	HEL_004286-RA
OG0002655	XP_026484395.1	HEL_001560-RA, HEL_001561-RA, HEL_001563-RA
OG0002656	XP_026498038.1	HEL_008979-RA
