Orthogroup	Junonia_coenia	Heliconius_melpomene_melpomene
OG0001615	JC_13513-RA, JC_13514-RA	HMEL010621g1.t1
OG0001616	JC_11030-RA	HMEL020101g1.t1, HMEL036871g1.t1
OG0001617	JC_09095-RA, JC_09096-RA	HMEL037119g1.t1
OG0001619	JC_09252-RA	HMEL003013g1.t1
OG0001620	JC_11093-RA	HMEL014313g1.t1
OG0001621	JC_07851-RA	HMEL003531g1.t1
OG0001622	JC_05743-RA	HMEL036356g1.t1
OG0001623	JC_00164-RA	HMEL015222g1.t1
OG0001624	JC_09203-RA	HMEL002679-RA
OG0001626	JC_08523-RA	HMEL006157g1.t1
OG0001627	JC_09199-RA, JC_09200-RA	HMEL002683g1.t1
OG0001628	JC_00881-RA	HMEL009179g1.t1
OG0001629	JC_00882-RA, JC_00883-RA	HMEL009180g1.t1
OG0001630	JC_03050-RA	HMEL002017g1.t1, HMEL032674g1.t1
OG0001631	JC_00890-RA	HMEL009186g1.t1, HMEL030947g1.t1
OG0001632	JC_13468-RA	HMEL003126g1.t1
OG0001634	JC_09188-RA	HMEL002697g1.t1
OG0001635	JC_07877-RA	HMEL014796g1.t1
OG0001637	JC_09147-RA, JC_09146-RA, JC_09144-RA, JC_09143-RA	HMEL017754-RA
OG0001638	JC_11905-RA	HMEL013281g1.t1
OG0001638	JC_11903-RA	HMEL033388g1.t1
OG0001639	JC_01700-RA	HMEL011045-RA
OG0001640	JC_09157-RA	HMEL037155g1.t1
OG0001641	JC_11649-RA	HMEL013273g1.t1
OG0001641	JC_11628-RA	HMEL033395g1.t1
OG0001642	JC_11634-RA	HMEL013264g1.t1
OG0001643	JC_00093-RA	HMEL031002g1.t1
OG0001644	JC_01678-RA	HMEL017948g1.t1
OG0001645	JC_13398-RA	HMEL017359g1.t1
OG0001647	JC_02961-RA	HMEL013105g1.t1
OG0001648	JC_13393-RA	HMEL030593g1.t1, HMEL030591g1.t1
OG0001650	JC_08580-RA	HMEL033123g1.t1
OG0001651	JC_11622-RA, JC_11621-RA	HMEL013258g1.t1
OG0001652	JC_11625-RA	HMEL013261g1.t1
OG0001653	JC_04245-RA	HMEL006882g1.t1
OG0001653	JC_04244-RA	HMEL021508g1.t1
OG0001654	JC_01111-RA	HMEL030865g1.t1
OG0001656	JC_14231-RA	HMEL007516g1.t1
OG0001656	JC_14233-RA	HMEL007518g1.t1
OG0001658	JC_14276-RA	HMEL033793g1.t1, HMEL031354g1.t1, HMEL003607g1.t1
OG0001659	JC_11999-RA, JC_07218-RA	HMEL013941g1.t1
OG0001660	JC_11968-RA	HMEL006855g1.t1
OG0001662	JC_14583-RA, JC_10787-RA, JC_11918-RA, JC_15183-RA, JC_11244-RA, JC_08349-RA, JC_02956-RA, JC_15326-RA, JC_12021-RA, JC_05960-RA	HMEL014508g1.t1
OG0001670	JC_16375-RA	HMEL015026g1.t1
OG0001672	JC_06135-RA	HMEL004018g1.t1
OG0001673	JC_14256-RA, JC_14255-RA	HMEL016816g1.t1
OG0001674	JC_15959-RA	HMEL011251g1.t1
OG0001675	JC_11472-RA, JC_11471-RA	HMEL033641g1.t1
OG0001676	JC_14829-RA	HMEL006197g1.t1
OG0001677	JC_13121-RA	HMEL009488g1.t1
OG0001678	JC_00695-RA, JC_00694-RA	HMEL015080g1.t1
OG0001679	JC_01605-RA	HMEL014875g1.t1
OG0001680	JC_10461-RA	HMEL010289g1.t1
OG0001681	JC_17049-RA	HMEL013221g1.t1
OG0001682	JC_05686-RA	HMEL036377g1.t1
OG0001683	JC_06333-RA	HMEL008376g1.t1
OG0001684	JC_06335-RA, JC_06336-RA	HMEL008377g1.t1
OG0001685	JC_15228-RA	HMEL014531g1.t1
OG0001686	JC_14834-RA	HMEL006188-RA
OG0001687	JC_06331-RA	HMEL008375g1.t1
OG0001688	JC_05687-RA	HMEL014602g1.t1, HMEL036376g1.t1
OG0001689	JC_16705-RA, JC_16706-RA	HMEL010809g1.t1
OG0001690	JC_12816-RA, JC_12815-RA, JC_12814-RA	HMEL007410g1.t1
OG0001691	JC_16179-RA	HMEL004470g1.t1
OG0001692	JC_16187-RA, JC_16184-RA	HMEL012787g1.t1
OG0001693	JC_07699-RA	HMEL003868g1.t1
OG0001695	JC_07342-RA	HMEL022579g1.t1, HMEL022656g1.t1
OG0001696	JC_10265-RA, JC_10264-RA	HMEL017653g1.t1
OG0001697	JC_03529-RA	HMEL007829g1.t1
OG0001698	JC_02411-RA	HMEL034009g1.t1
OG0001699	JC_02409-RA	HMEL034007g1.t1
OG0001701	JC_14626-RA	HMEL016388g1.t1
OG0001702	JC_16221-RA	HMEL004472g1.t1
OG0001703	JC_01962-RA	HMEL009821g1.t1, HMEL033426g1.t1
OG0001704	JC_16690-RA	HMEL022523g1.t1
OG0001705	JC_14608-RA	HMEL016375g1.t1
OG0001706	JC_17153-RA	HMEL010152g1.t1
OG0001708	JC_06299-RA	HMEL036199g1.t1
OG0001709	JC_10485-RA	HMEL002991g1.t1
OG0001710	JC_15047-RA	HMEL003059g1.t1, HMEL003231g1.t1
OG0001711	JC_15559-RA	HMEL006069g1.t1
OG0001713	JC_15209-RA	HMEL014145g1.t1
OG0001714	JC_15555-RA	HMEL006071g1.t1
OG0001715	JC_04448-RA	HMEL031787g1.t1
OG0001716	JC_04451-RA, JC_04450-RA	HMEL021844g1.t1
OG0001717	JC_05553-RA, JC_05554-RA	HMEL014765g1.t1
OG0001718	JC_12805-RA, JC_12806-RA	HMEL037832g1.t1
OG0001719	JC_16704-RA	HMEL010808g1.t1
OG0001720	JC_10279-RA	HMEL032403g1.t1
OG0001720	JC_10277-RA	HMEL032404g1.t1
OG0001721	JC_15546-RA	HMEL015557g1.t1
OG0001722	JC_05551-RA	HMEL014760g1.t1, HMEL034401g1.t1
OG0001723	JC_05538-RA, JC_05541-RA	HMEL010067g1.t1
OG0001724	JC_03658-RA	HMEL007249g1.t1
OG0001725	JC_14568-RA, JC_14569-RA	HMEL014498g1.t1
OG0001726	JC_15526-RA	HMEL004321g1.t1, HMEL015547g1.t1
OG0001727	JC_16152-RA	HMEL035386g1.t1
OG0001728	JC_05530-RA	HMEL004136g1.t1
OG0001731	JC_12788-RA, JC_12790-RA	HMEL012076g1.t1, HMEL037843g1.t1
OG0001732	JC_15182-RA, JC_15181-RA, JC_15185-RA	HMEL010942g1.t1
OG0001733	JC_02287-RA	HMEL013041g1.t1
OG0001734	JC_15519-RA, JC_15518-RA	HMEL034432g1.t1
OG0001735	JC_05528-RA	HMEL004134g1.t1
OG0001735	JC_05529-RA	HMEL002273g1.t1
OG0001736	JC_03567-RA	HMEL032918g1.t1
OG0001738	JC_02357-RA	HMEL014519-RA
OG0001739	JC_12785-RA	HMEL021960g1.t1, HMEL030447g1.t1, HMEL009803g1.t1, HMEL006003g1.t1
OG0001740	JC_01581-RA	HMEL030714g1.t1
OG0001742	JC_10521-RA, JC_10520-RA	HMEL016003g1.t1
OG0001743	JC_10522-RA	HMEL016005g1.t1
OG0001744	JC_09771-RA, JC_09772-RA, JC_09773-RA	HMEL011818g1.t1
OG0001745	JC_15516-RA	HMEL005250g1.t1
OG0001747	JC_04272-RA	HMEL035265g1.t1, HMEL035264g1.t1
OG0001749	JC_10298-RA	HMEL003458g1.t1
OG0001750	JC_16166-RA, JC_16165-RA	HMEL002059g1.t1
OG0001751	JC_16739-RA	HMEL010786g1.t1
OG0001752	JC_06089-RA	HMEL036277g1.t1
OG0001753	JC_01255-RA	HMEL013310g1.t1
OG0001754	JC_11442-RA, JC_11444-RA, JC_11443-RA, JC_11441-RA	HMEL008077g1.t1
OG0001755	JC_12984-RA, JC_12982-RA, JC_12983-RA	HMEL010773g1.t1
OG0001756	JC_16247-RA	HMEL005376g1.t1
OG0001757	JC_08688-RA	HMEL009003g1.t1
OG0001758	JC_06099-RA, JC_06100-RA	HMEL003474g1.t1
OG0001759	JC_03611-RA	HMEL032960g1.t1
OG0001760	JC_14884-RA	HMEL003915g1.t1
OG0001761	JC_06110-RA, JC_06111-RA	HMEL003470g1.t1
OG0001762	JC_10560-RA	HMEL016022g1.t1
OG0001763	JC_09776-RA	HMEL017603g1.t1
OG0001764	JC_14524-RA	HMEL031439g1.t1
OG0001765	JC_14113-RA	HMEL017672g1.t1
OG0001766	JC_12970-RA, JC_12969-RA	HMEL006916g1.t1
OG0001767	JC_06817-RA	HMEL020746g1.t1
OG0001768	JC_00171-RA, JC_11416-RA	HMEL007885g1.t1
OG0001769	JC_10331-RA	HMEL006360g1.t1
OG0001770	JC_11411-RA, JC_11410-RA	HMEL017542g1.t1
OG0001771	JC_02029-RA	HMEL017931g1.t1
OG0001772	JC_16763-RA, JC_16765-RA	HMEL004921g1.t1
OG0001773	JC_02304-RA	HMEL011562g1.t1
OG0001774	JC_10573-RA	HMEL016272g1.t1
OG0001775	JC_14518-RA	HMEL012737g1.t1
OG0001776	JC_07690-RA	HMEL011955g1.t1
OG0001777	JC_08702-RA	HMEL004347g1.t1
OG0001778	JC_16277-RA	HMEL020608g1.t1
OG0001779	JC_00802-RA	HMEL010020g1.t1
OG0001780	JC_08706-RA	HMEL004344g1.t1
OG0001781	JC_16017-RA	HMEL016120g1.t1
OG0001782	JC_07414-RA	HMEL012592g1.t1
OG0001784	JC_16641-RA	HMEL016081g1.t1
OG0001785	JC_06120-RA	HMEL017401g1.t1
OG0001786	JC_16018-RA	HMEL016123g1.t1
OG0001787	JC_15593-RA, JC_15592-RA	HMEL004589g1.t1
OG0001788	JC_06829-RA	HMEL037492g1.t1
OG0001789	JC_16287-RA	HMEL005467g1.t1
OG0001790	JC_06114-RA	HMEL017406g1.t1
OG0001791	JC_12403-RA	HMEL037996g1.t1
OG0001791	JC_12404-RA	HMEL002369g1.t1
OG0001792	JC_13422-RA, JC_14097-RA, JC_13502-RA, JC_14961-RA, JC_15649-RA, JC_05264-RA, JC_12873-RA, JC_10027-RA	HMEL033532g1.t1, HMEL035057g1.t1
OG0001793	JC_11387-RA	HMEL017524g1.t1
OG0001794	JC_14494-RA	HMEL016549g1.t1
OG0001795	JC_16032-RA	HMEL037352g1.t1
OG0001796	JC_06147-RA	HMEL017413g1.t1
OG0001797	JC_11385-RA	HMEL017521g1.t1
OG0001798	JC_10197-RA, JC_10198-RA	HMEL003392g1.t1
OG0001799	JC_03735-RA, JC_03734-RA	HMEL017062g1.t1
OG0001800	JC_10196-RA, JC_10195-RA	HMEL032450g1.t1
OG0001801	JC_11378-RA	HMEL017519g1.t1
OG0001802	JC_08726-RA	HMEL008995g1.t1
OG0001803	JC_00815-RA, JC_00814-RA	HMEL031263g1.t1
OG0001804	JC_16772-RA	HMEL015582g1.t1
OG0001805	JC_09790-RA	HMEL013378g1.t1
OG0001806	JC_10605-RA	HMEL008251g1.t1
OG0001807	JC_14154-RA, JC_14153-RA	HMEL032275g1.t1
OG0001808	JC_12373-RA	HMEL038026g1.t1, HMEL038025g1.t1
OG0001809	JC_09808-RA	HMEL034945g1.t1
OG0001810	JC_16595-RA	HMEL014411-RA
OG0001811	JC_14435-RA	HMEL004113g1.t1
OG0001812	JC_14038-RA	HMEL008452g1.t1, HMEL010716g1.t1
OG0001813	JC_10184-RA, JC_10183-RA	HMEL014216g1.t1
OG0001815	JC_10181-RA	HMEL032461g1.t1
OG0001816	JC_09690-RA	HMEL002475g1.t1
OG0001818	JC_03746-RA	HMEL012564g1.t1
OG0001819	JC_12494-RA	HMEL037957g1.t1
OG0001820	JC_09682-RA	HMEL030119g1.t1, HMEL003304g1.t1
OG0001821	JC_16390-RA, JC_16389-RA	HMEL021549g1.t1
OG0001822	JC_05357-RA	HMEL013710g1.t1
OG0001823	JC_16069-RA, JC_16068-RA	HMEL011193g1.t1
OG0001824	JC_10732-RA, JC_10733-RA	HMEL015044g1.t1
OG0001825	JC_11369-RA	HMEL011487g1.t1
OG0001826	JC_01493-RA	HMEL004083g1.t1
OG0001827	JC_00644-RA, JC_00645-RA	HMEL013579g1.t1
OG0001828	JC_09662-RA	HMEL017877g1.t1
OG0001829	JC_03768-RA	HMEL012550g1.t1
OG0001830	JC_00689-RA	HMEL010318g1.t1
OG0001831	JC_08018-RA, JC_08017-RA	HMEL017250g1.t1
OG0001833	JC_16347-RA, JC_16348-RA, JC_16346-RA, JC_16345-RA, JC_16344-RA	HMEL035332g1.t1
OG0001834	JC_15694-RA	HMEL034483g1.t1
OG0001835	JC_00682-RA	HMEL010326g1.t1
OG0001836	JC_14860-RA	HMEL006169g1.t1
OG0001838	JC_15978-RA	HMEL011232g1.t1
OG0001839	JC_01481-RA	HMEL016358g1.t1
OG0001840	JC_15980-RA, JC_15983-RA	HMEL011229g1.t1
OG0001841	JC_03789-RA	HMEL035026g1.t1
OG0001842	JC_14015-RA	HMEL007320g1.t1, HMEL002266g1.t1
OG0001843	JC_14371-RA, JC_14370-RA	HMEL008736g1.t1
OG0001844	JC_01810-RA	HMEL016624g1.t1
OG0001845	JC_02489-RA, JC_02488-RA	HMEL033919g1.t1
OG0001847	JC_14011-RA	HMEL009735g1.t1
OG0001849	JC_02491-RA	HMEL033917g1.t1, HMEL033911g1.t1
OG0001850	JC_16325-RA	HMEL035326g1.t1
OG0001852	JC_15001-RA	HMEL034591g1.t1
OG0001853	JC_02493-RA	HMEL033915g1.t1
OG0001855	JC_05438-RA	HMEL017486g1.t1
OG0001857	JC_01456-RA	HMEL014127g1.t1
OG0001858	JC_06067-RA	HMEL008380g1.t1
OG0001859	JC_01446-RA	HMEL014120g1.t1
OG0001860	JC_02277-RA	HMEL011796g1.t1
OG0001863	JC_04558-RA	HMEL031836g1.t1, HMEL004638g1.t1
OG0001864	JC_14352-RA	HMEL007886g1.t1
OG0001866	JC_08079-RA	HMEL036306g1.t1
OG0001867	JC_11335-RA	HMEL022616g1.t1, HMEL033578g1.t1
OG0001868	JC_14000-RA	HMEL011443g1.t1
OG0001869	JC_06387-RA	HMEL025054-RA
OG0001870	JC_03808-RA, JC_03807-RA	HMEL022556-RA
OG0001871	JC_14348-RA	HMEL004115g1.t1
OG0001872	JC_14347-RA	HMEL004116g1.t1
OG0001873	JC_01429-RA	HMEL014110g1.t1
OG0001874	JC_07464-RA, JC_07465-RA	HMEL011895g1.t1
OG0001875	JC_04798-RA	HMEL020214g1.t1, HMEL016918-RA
OG0001876	JC_00650-RA	HMEL022042g1.t1
OG0001877	JC_16453-RA, JC_16452-RA	HMEL014259g1.t1
OG0001878	JC_01425-RA	HMEL014104g1.t1
OG0001879	JC_14341-RA, JC_14343-RA	HMEL016858g1.t1
OG0001880	JC_08948-RA	HMEL015393g1.t1, HMEL008974g1.t1
OG0001882	JC_03467-RA, JC_03466-RA	HMEL032839g1.t1
OG0001883	JC_15674-RA	HMEL034474g1.t1
OG0001884	JC_09569-RA	HMEL008751g1.t1
OG0001885	JC_06038-RA	HMEL007435g1.t1
OG0001886	JC_06036-RA	HMEL007432g1.t1
OG0001888	JC_01411-RA	HMEL014094g1.t1
OG0001889	JC_01971-RA	HMEL035739g1.t1, HMEL035867g1.t1
OG0001890	JC_03460-RA	HMEL032831g1.t1
OG0001891	JC_15944-RA, JC_15945-RA	HMEL008498g1.t1
OG0001892	JC_12216-RA	HMEL014159g1.t1
OG0001894	JC_03846-RA	HMEL006224g1.t1
OG0001895	JC_09620-RA	HMEL034879g1.t1
OG0001896	JC_16962-RA	HMEL034130g1.t1
OG0001898	JC_08285-RA	HMEL011641g1.t1
OG0001899	JC_08925-RA	HMEL002657g1.t1
OG0001900	JC_06025-RA	HMEL036468g1.t1
OG0001901	JC_07196-RA	HMEL037724g1.t1
OG0001902	JC_08145-RA	HMEL030220g1.t1
OG0001904	JC_06023-RA	HMEL016507g1.t1
OG0001905	JC_01366-RA	HMEL008536g1.t1
OG0001906	JC_09191-RA, JC_09178-RA, JC_09190-RA	HMEL002699g1.t1
OG0001907	JC_12741-RA, JC_12742-RA	HMEL037881g1.t1
OG0001908	JC_07518-RA	HMEL011928g1.t1, HMEL012070g1.t1
OG0001909	JC_14969-RA	HMEL016977g1.t1
OG0001910	JC_15657-RA	HMEL015837g1.t1
OG0001910	JC_15659-RA	HMEL016314g1.t1
OG0001911	JC_02532-RA	HMEL033888g1.t1
OG0001913	JC_12738-RA	HMEL022637-RA
OG0001914	JC_12736-RA	HMEL037883g1.t1
OG0001915	JC_16433-RA	HMEL022597-RA
OG0001916	JC_08155-RA	HMEL012414g1.t1, HMEL031919g1.t1
OG0001917	JC_04633-RA	HMEL004896g1.t1
OG0001921	JC_06961-RA	HMEL013688g1.t1
OG0001922	JC_14944-RA	HMEL008613g1.t1
OG0001923	JC_01991-RA	HMEL035655g1.t1
OG0001924	JC_16899-RA	HMEL034145g1.t1
OG0001924	JC_16898-RA	HMEL034148g1.t1
OG0001925	JC_04314-RA	HMEL012056g1.t1
OG0001926	JC_09928-RA	HMEL032584g1.t1
OG0001927	JC_16422-RA	HMEL007179g1.t1
OG0001928	JC_08914-RA	HMEL003211g1.t1
OG0001929	JC_02000-RA	HMEL008464g1.t1
OG0001931	JC_16527-RA	HMEL010825g1.t1
OG0001932	JC_03423-RA	HMEL021393g1.t1
OG0001933	JC_05425-RA	HMEL034329g1.t1
OG0001934	JC_09532-RA	HMEL004304g1.t1
OG0001935	JC_02558-RA	HMEL033870g1.t1
OG0001935	JC_02559-RA	HMEL033869g1.t1
OG0001936	JC_14259-RA	HMEL016814g1.t1
OG0001937	JC_15922-RA, JC_15921-RA	HMEL037406g1.t1
OG0001938	JC_01350-RA	HMEL005815g1.t1
OG0001939	JC_06007-RA	HMEL014392g1.t1
OG0001940	JC_16525-RA, JC_16526-RA	HMEL037224g1.t1
OG0001942	JC_14929-RA, JC_14928-RA	HMEL010655g1.t1
OG0001943	JC_07647-RA	HMEL017580g1.t1
OG0001944	JC_09521-RA	HMEL004292g1.t1
OG0001945	JC_17079-RA	HMEL013245g1.t1
OG0001947	JC_01342-RA	HMEL030789g1.t1
OG0001947	JC_01343-RA	HMEL030788g1.t1
OG0001948	JC_09515-RA	HMEL034812g1.t1
OG0001950	JC_14267-RA	HMEL016806g1.t1
OG0001951	JC_02580-RA	HMEL004877g1.t1
OG0001952	JC_03410-RA	HMEL016732g1.t1
OG0001952	JC_03409-RA	HMEL022364g1.t1
OG0001953	JC_09512-RA, JC_09513-RA	HMEL008054-RA
OG0001954	JC_08191-RA	HMEL012441g1.t1
OG0001956	JC_13042-RA, JC_13039-RA	HMEL008474g1.t1
OG0001958	JC_15635-RA	HMEL016327g1.t1
OG0001959	JC_01847-RA	HMEL012089g1.t1
OG0001960	JC_03326-RA	HMEL032775g1.t1
OG0001961	JC_15872-RA	HMEL009328g1.t1
OG0001961	JC_15873-RA	HMEL037414g1.t1
OG0001962	JC_10032-RA	HMEL013414g1.t1
OG0001963	JC_05409-RA	HMEL017513g1.t1, HMEL017517g1.t1
OG0001964	JC_11278-RA	HMEL011141-RA
OG0001965	JC_14278-RA	HMEL005669g1.t1
OG0001966	JC_13943-RA, JC_13945-RA	HMEL003054g1.t1
OG0001967	JC_08894-RA	HMEL005351g1.t1
OG0001968	JC_02602-RA, JC_02603-RA	HMEL018043g1.t1
OG0001970	JC_02604-RA, JC_02605-RA	HMEL020917g1.t1
OG0001971	JC_14295-RA, JC_14293-RA	HMEL007961g1.t1
OG0001972	JC_09997-RA	HMEL032578g1.t1
OG0001974	JC_11465-RA	HMEL033647g1.t1
OG0001975	JC_12229-RA	HMEL033191g1.t1
OG0001976	JC_09490-RA	HMEL034805g1.t1, HMEL016101g1.t1
OG0001977	JC_03389-RA	HMEL032824g1.t1, HMEL032797g1.t1
OG0001978	JC_15853-RA, JC_15852-RA	HMEL009356g1.t1
OG0001979	JC_13878-RA	HMEL021151g1.t1, HMEL007544g1.t1
OG0001980	JC_06909-RA, JC_06908-RA	HMEL017906g1.t1
OG0001981	JC_14241-RA, JC_14240-RA	HMEL007526g1.t1
OG0001983	JC_05391-RA	HMEL003068g1.t1
OG0001984	JC_06872-RA	HMEL017910g1.t1
OG0001985	JC_03961-RA	HMEL016154g1.t1
OG0001986	JC_06874-RA	HMEL037547g1.t1
OG0001988	JC_08878-RA	HMEL005364g1.t1
OG0001989	JC_16847-RA	HMEL007794g1.t1
OG0001990	JC_06885-RA	HMEL021710g1.t1
OG0001991	JC_03972-RA, JC_03971-RA	HMEL014070g1.t1
OG0001992	JC_13185-RA	HMEL013594g1.t1
OG0001993	JC_09967-RA	HMEL005607g1.t1
OG0001993	JC_09965-RA	HMEL032570g1.t1
OG0001994	JC_08872-RA	HMEL005368g1.t1, HMEL005367g1.t1
OG0001995	JC_09961-RA	HMEL005529g1.t1
OG0001996	JC_14217-RA	HMEL011003g1.t1
OG0001997	JC_07597-RA, JC_07599-RA, JC_07598-RA	HMEL003590g1.t1
OG0001999	JC_14213-RA, JC_14214-RA	HMEL011006g1.t1
OG0002000	JC_03379-RA	HMEL008264g1.t1
OG0002001	JC_09457-RA	HMEL012854g1.t1
OG0002002	JC_11681-RA	HMEL008335g1.t1
OG0002003	JC_11172-RA	HMEL033494g1.t1
OG0002004	JC_04721-RA, JC_04723-RA	HMEL031911g1.t1
OG0002005	JC_03374-RA	HMEL010583g1.t1
OG0002006	JC_09460-RA, JC_09461-RA, JC_09459-RA	HMEL012212g1.t1, HMEL012211g1.t1
OG0002008	JC_01153-RA	HMEL006931g1.t1, HMEL007805g1.t1
OG0002009	JC_10785-RA, JC_10783-RA, JC_10784-RA	HMEL012240g1.t1
OG0002010	JC_12359-RA, JC_12360-RA	HMEL037951g1.t1
OG0002011	JC_09447-RA	HMEL011575g1.t1
OG0002012	JC_07177-RA	HMEL037706g1.t1
OG0002013	JC_12367-RA	HMEL038023g1.t1
OG0002014	JC_15808-RA, JC_15807-RA	HMEL015879g1.t1
OG0002015	JC_13905-RA	HMEL032149g1.t1
OG0002016	JC_08856-RA	HMEL037031g1.t1
OG0002017	JC_05943-RA	HMEL036515g1.t1
OG0002018	JC_15783-RA	HMEL017112g1.t1
OG0002019	JC_14686-RA, JC_14687-RA	HMEL016868g1.t1
OG0002021	JC_00515-RA	HMEL006268g1.t1
OG0002022	JC_14679-RA	HMEL016873g1.t1
OG0002023	JC_11197-RA, JC_11196-RA	HMEL021562g1.t1
OG0002024	JC_07589-RA	HMEL012675g1.t1
OG0002025	JC_10759-RA	HMEL008945g1.t1
OG0002026	JC_00512-RA	HMEL006266g1.t1
OG0002027	JC_02669-RA	HMEL014853g1.t1
OG0002028	JC_02671-RA	HMEL033820g1.t1
OG0002029	JC_06497-RA	HMEL021227g1.t1
OG0002030	JC_09837-RA	HMEL020272g1.t1, HMEL032634g1.t1
OG0002031	JC_00499-RA, JC_04734-RA	HMEL006254g1.t1
OG0002032	JC_04044-RA	HMEL012124g1.t1
OG0002033	JC_08276-RA	HMEL011647-RA
OG0002034	JC_06499-RA	HMEL036076g1.t1
OG0002035	JC_08842-RA	HMEL016779g1.t1
OG0002036	JC_14165-RA	HMEL031312g1.t1
OG0002038	JC_09432-RA	HMEL012870g1.t1
OG0002039	JC_03323-RA	HMEL005388g1.t1
OG0002040	JC_09891-RA	HMEL022231g1.t1
OG0002041	JC_09429-RA	HMEL012865g1.t1
OG0002042	JC_08833-RA	HMEL016787g1.t1
OG0002043	JC_00481-RA, JC_00482-RA, JC_00483-RA	HMEL006241g1.t1
OG0002044	JC_01214-RA	HMEL030832g1.t1
OG0002045	JC_13728-RA	HMEL030680g1.t1, HMEL005868g1.t1
OG0002046	JC_01215-RA	HMEL013335g1.t1
OG0002047	JC_01216-RA	HMEL013334g1.t1
OG0002049	JC_04076-RA	HMEL035893g1.t1
OG0002050	JC_01231-RA	HMEL013326g1.t1
OG0002051	JC_02131-RA	HMEL007271g1.t1
OG0002052	JC_08293-RA	HMEL011633g1.t1
OG0002053	JC_09413-RA	HMEL005616g1.t1
OG0002054	JC_04908-RA	HMEL009730g1.t1
OG0002055	JC_08296-RA	HMEL011631g1.t1
OG0002056	JC_09411-RA	HMEL004981g1.t1
OG0002057	JC_09408-RA	HMEL008270g1.t1
OG0002058	JC_08298-RA	HMEL030284g1.t1
OG0002060	JC_01250-RA	HMEL013312g1.t1
OG0002061	JC_12547-RA	HMEL038050g1.t1
OG0002062	JC_00322-RA	HMEL031067g1.t1
OG0002063	JC_11965-RA	HMEL033282g1.t1
OG0002064	JC_11235-RA	HMEL006571g1.t1
OG0002065	JC_08307-RA	HMEL002293g1.t1
OG0002066	JC_09916-RA	HMEL032592g1.t1
OG0002067	JC_13700-RA	HMEL006889g1.t1
OG0002068	JC_02147-RA	HMEL003963g1.t1
OG0002069	JC_02700-RA	HMEL016682g1.t1
OG0002070	JC_03277-RA	HMEL004550g1.t1
OG0002071	JC_07136-RA	HMEL008260g1.t1
OG0002071	JC_07135-RA	HMEL037658g1.t1
OG0002072	JC_02708-RA, JC_02710-RA	HMEL016685g1.t1
OG0002073	JC_00342-RA	HMEL015157g1.t1
OG0002074	JC_14748-RA	HMEL034653g1.t1
OG0002075	JC_05865-RA	HMEL005005g1.t1
OG0002077	JC_16445-RA	HMEL011513g1.t1
OG0002078	JC_02719-RA, JC_02718-RA	HMEL016690g1.t1
OG0002079	JC_07550-RA	HMEL003482g1.t1, HMEL003481g1.t1
OG0002080	JC_11997-RA	HMEL016095g1.t1
OG0002081	JC_10357-RA	HMEL007605g1.t1
OG0002082	JC_05244-RA	HMEL014936g1.t1
OG0002083	JC_15497-RA	HMEL015005g1.t1
OG0002084	JC_10361-RA	HMEL004540g1.t1
OG0002085	JC_02738-RA	HMEL016705-RA
OG0002086	JC_13267-RA, JC_05563-RA	HMEL007020g1.t1
OG0002087	JC_08788-RA	HMEL003891g1.t1
OG0002088	JC_13659-RA	HMEL011840g1.t1
OG0002091	JC_12019-RA	HMEL014358g1.t1
OG0002092	JC_13648-RA	HMEL004372g1.t1
OG0002093	JC_03243-RA, JC_03244-RA	HMEL032747g1.t1
OG0002094	JC_05704-RA	HMEL017805g1.t1, HMEL036372g1.t1
OG0002095	JC_07694-RA	HMEL011964g1.t1
OG0002096	JC_12026-RA	HMEL014363g1.t1
OG0002097	JC_05713-RA	HMEL036368g1.t1
OG0002098	JC_02942-RA	HMEL005887g1.t1
OG0002099	JC_01289-RA	HMEL030804g1.t1
OG0002101	JC_04854-RA	HMEL006685g1.t1
OG0002103	JC_10401-RA	HMEL014250g1.t1
OG0002103	JC_10400-RA	HMEL004897-RA
OG0002104	JC_09352-RA	HMEL012803g1.t1
OG0002105	JC_03236-RA	HMEL016726g1.t1
OG0002106	JC_09349-RA	HMEL012804g1.t1
OG0002107	JC_08410-RA	HMEL012833g1.t1
OG0002108	JC_12661-RA, JC_12660-RA, JC_12662-RA	HMEL004952g1.t1
OG0002109	JC_11130-RA, JC_11129-RA	HMEL009393g1.t1
OG0002110	JC_13630-RA	HMEL007597g1.t1
OG0002111	JC_01293-RA	HMEL005949g1.t1
OG0002112	JC_10390-RA	HMEL004687g1.t1, HMEL022313g1.t1
OG0002112	JC_10389-RA	HMEL016292g1.t1
OG0002113	JC_09345-RA, JC_09344-RA, JC_09346-RA	HMEL004387g1.t1
OG0002114	JC_05769-RA, JC_05767-RA, JC_05768-RA	HMEL036347g1.t1
OG0002115	JC_07090-RA	HMEL002409g1.t1
OG0002116	JC_13310-RA	HMEL005276g1.t1
OG0002117	JC_04847-RA, JC_04845-RA, JC_04846-RA	HMEL015651g1.t1
OG0002118	JC_03225-RA	HMEL009851g1.t1
OG0002119	JC_04839-RA	HMEL015647g1.t1
OG0002120	JC_08990-RA	HMEL014671g1.t1
OG0002121	JC_12042-RA	HMEL003153g1.t1
OG0002122	JC_04154-RA	HMEL007697g1.t1
OG0002123	JC_01867-RA	HMEL008048g1.t1
OG0002124	JC_07733-RA	HMEL015301g1.t1
