Orthogroup	Junonia_coenia	Maniola_hyperantus
OG0001267	JC_13453-RA	XP_034826392.1
OG0001268	JC_00119-RA, JC_00118-RA	XP_034824114.1
OG0001269	JC_00930-RA, JC_00931-RA	XP_034838229.1
OG0001270	JC_00104-RA, JC_00103-RA	XP_034823896.1
OG0001271	JC_03009-RA, JC_03013-RA, JC_03014-RA, JC_03012-RA	XP_034830324.1
OG0001272	JC_13421-RA	XP_034826041.1, XP_034826043.1, XP_034826042.1
OG0001273	JC_00953-RA	XP_034833728.1
OG0001274	JC_00087-RA	XP_034841034.1
OG0001275	JC_13407-RA	XP_034826623.1
OG0001276	JC_08593-RA	XP_034832997.1
OG0001278	JC_02783-RA	XP_034825137.1
OG0001279	JC_01683-RA	XP_034839309.1
OG0001280	JC_11623-RA	XP_034827668.1, XP_034827667.1
OG0001281	JC_08560-RA	XP_034837316.1, XP_034823897.1
OG0001282	JC_13356-RA	XP_034825907.1, XP_034825906.1
OG0001283	JC_13349-RA	XP_034826641.1
OG0001284	JC_13348-RA	XP_034825986.1
OG0001285	JC_01769-RA	XP_034839183.1, XP_034839180.1, XP_034839181.1, XP_034839182.1
OG0001286	JC_05147-RA	XP_034829144.1
OG0001287	JC_16638-RA, JC_16637-RA	XP_034838780.1
OG0001290	JC_08138-RA	XP_034840382.1, XP_034824747.1
OG0001291	JC_02318-RA	XP_034825351.1
OG0001292	JC_04605-RA, JC_04606-RA	XP_034824565.1
OG0001293	JC_06171-RA	XP_034828779.1, XP_034828780.1
OG0001300	JC_09938-RA, JC_15174-RA, JC_14087-RA, JC_03927-RA	XP_034837885.1
OG0001301	JC_16491-RA, JC_16492-RA, JC_16493-RA	XP_034838883.1
OG0001302	JC_17054-RA	XP_034838205.1
OG0001303	JC_11476-RA	XP_034832766.1
OG0001304	JC_11477-RA	XP_034832552.1
OG0001305	JC_04416-RA	XP_034824886.1, XP_034824887.1
OG0001306	JC_05232-RA	XP_034829014.1
OG0001307	JC_06337-RA	XP_034828698.1
OG0001308	JC_13129-RA	XP_034835917.1
OG0001310	JC_17044-RA	XP_034838269.1
OG0001311	JC_07353-RA	XP_034831927.1
OG0001312	JC_16174-RA, JC_16173-RA	XP_034828137.1
OG0001314	JC_12168-RA	XP_034832227.1, XP_034832783.1
OG0001315	JC_14046-RA	XP_034836482.1
OG0001318	JC_14970-RA, JC_14971-RA	XP_034837374.1, XP_034837375.1
OG0001319	JC_08668-RA	XP_034829763.1
OG0001320	JC_06696-RA	XP_034831208.1
OG0001321	JC_16214-RA	XP_034827752.1
OG0001322	JC_16216-RA	XP_034828119.1
OG0001324	JC_11487-RA	XP_034839153.1, XP_034833034.1
OG0001326	JC_05575-RA	XP_034829479.1
OG0001326	JC_05577-RA, JC_05576-RA	XP_034829480.1
OG0001327	JC_14357-RA, JC_14356-RA	XP_034825940.1
OG0001331	JC_11496-RA	XP_034832716.1
OG0001332	JC_02405-RA	XP_034825051.1
OG0001333	JC_14052-RA	XP_034836564.1
OG0001334	JC_14614-RA	XP_034826191.1
OG0001335	JC_07327-RA	XP_034832416.1
OG0001335	JC_07325-RA	XP_034832265.1
OG0001337	JC_16227-RA	XP_034827744.1
OG0001338	JC_15892-RA	XP_034838518.1, XP_034838520.1
OG0001339	JC_14061-RA	XP_034836583.1
OG0001341	JC_17161-RA	XP_034837819.1
OG0001342	JC_15547-RA	XP_034836699.1, XP_034836698.1
OG0001343	JC_13012-RA	XP_034835834.1
OG0001344	JC_16198-RA, JC_16197-RA	XP_034827757.1
OG0001345	JC_00712-RA	XP_034841253.1, XP_034841254.1, XP_034841255.1
OG0001346	JC_07946-RA, JC_07944-RA	XP_034827262.1
OG0001347	JC_06764-RA	XP_034831803.1, XP_034834941.1
OG0001347	JC_06765-RA	XP_034831406.1
OG0001348	JC_15034-RA, JC_15035-RA	XP_034837151.1
OG0001349	JC_15032-RA	XP_034837152.1
OG0001350	JC_14670-RA	XP_034837057.1, XP_034837059.1
OG0001352	JC_12799-RA	XP_034833865.1, XP_034833864.1
OG0001353	JC_17095-RA	XP_034838083.1
OG0001354	JC_17103-RA	XP_034838100.1
OG0001355	JC_12726-RA, JC_12728-RA, JC_12730-RA, JC_12729-RA	XP_034833929.1
OG0001356	JC_10364-RA, JC_10365-RA	XP_034835640.1
OG0001358	JC_00761-RA, JC_00760-RA	XP_034823935.1
OG0001359	JC_14111-RA	XP_034836349.1
OG0001360	JC_16243-RA, JC_16261-RA	XP_034827422.1
OG0001361	JC_02346-RA	XP_034825169.1
OG0001363	JC_14381-RA	XP_034826672.1
OG0001364	JC_15992-RA, JC_15991-RA	XP_034838374.1
OG0001365	JC_03688-RA	XP_034840691.1
OG0001366	JC_02257-RA	XP_034839249.1, XP_034839248.1
OG0001367	JC_00780-RA, JC_00778-RA	XP_034841202.1
OG0001368	JC_02255-RA, JC_02254-RA, JC_02256-RA	XP_034839243.1
OG0001369	JC_04492-RA, JC_04494-RA	XP_034824608.1
OG0001370	JC_14880-RA	XP_034837131.1
OG0001371	JC_08697-RA	XP_034830252.1
OG0001371	JC_08696-RA	XP_034830017.1
OG0001372	JC_10569-RA, JC_10571-RA, JC_10570-RA	XP_034834669.1
OG0001373	JC_00698-RA	XP_034841206.1
OG0001374	JC_01549-RA	XP_034830093.1, XP_034830078.1, XP_034830086.1
OG0001376	JC_00797-RA	XP_034840967.1
OG0001377	JC_14129-RA	XP_034836354.1
OG0001378	JC_13847-RA	XP_034836288.1
OG0001379	JC_17199-RA, JC_17198-RA	XP_034841161.1
OG0001380	JC_02303-RA	XP_034839242.1
OG0001381	JC_17136-RA	XP_034837833.1
OG0001382	JC_10585-RA	XP_034834693.1
OG0001383	JC_02328-RA, JC_02329-RA	XP_034825348.1
OG0001385	JC_08717-RA	XP_034830197.1
OG0001385	JC_08718-RA	XP_034830199.1
OG0001386	JC_03598-RA	XP_034830597.1
OG0001387	JC_03712-RA	XP_034840696.1, XP_034840695.1
OG0001388	JC_03594-RA, JC_03593-RA	XP_034830598.1
OG0001389	JC_08724-RA, JC_08723-RA	XP_034830022.1
OG0001390	JC_03722-RA	XP_034840316.1
OG0001391	JC_09793-RA, JC_09791-RA	XP_034826943.1
OG0001392	JC_14465-RA	XP_034826373.1, XP_034826374.1, XP_034826375.1
OG0001393	JC_04924-RA, JC_04527-RA, JC_04523-RA	XP_034824609.1
OG0001394	JC_05471-RA, JC_05475-RA	XP_034829243.1
OG0001395	JC_14160-RA	XP_034840436.1
OG0001396	JC_16042-RA	XP_034838464.1
OG0001397	JC_16762-RA	XP_034839043.1
OG0001398	JC_14897-RA	XP_034837202.1, XP_034837201.1, XP_034837204.1, XP_034837203.1
OG0001399	JC_16304-RA	XP_034827772.1
OG0001400	JC_12524-RA	XP_034833747.1, XP_034833746.1
OG0001401	JC_06187-RA	XP_034828694.1
OG0001402	JC_12244-RA	XP_034833834.1
OG0001405	JC_14838-RA	XP_034837292.1
OG0001406	JC_07508-RA, JC_07509-RA	XP_034831994.1
OG0001407	JC_16366-RA	XP_034827665.1
OG0001409	JC_03509-RA	XP_034830345.1
OG0001410	JC_12483-RA	XP_034834325.1
OG0001411	JC_03507-RA	XP_034830731.1, XP_034830732.1
OG0001412	JC_10722-RA	XP_034834436.1
OG0001412	JC_10721-RA	XP_034834429.1
OG0001413	JC_09659-RA	XP_034827042.1
OG0001414	JC_17083-RA	XP_034838246.1, XP_034838245.1
OG0001415	JC_04383-RA	XP_034824281.1
OG0001416	JC_16472-RA, JC_16469-RA	XP_034838894.1
OG0001417	JC_10152-RA, JC_10153-RA	XP_034835528.1
OG0001418	JC_01476-RA	XP_034839064.1, XP_034839056.1
OG0001419	JC_01471-RA	XP_034839160.1, XP_034839163.1
OG0001420	JC_08062-RA	XP_034825788.1, XP_034825790.1, XP_034825805.1, XP_034825797.1
OG0001421	JC_12853-RA	XP_034835893.1
OG0001422	JC_14008-RA	XP_034836329.1, XP_034836330.1
OG0001423	JC_06382-RA	XP_034828812.1
OG0001424	JC_02249-RA	XP_034839145.1
OG0001426	JC_12134-RA	XP_034827554.1
OG0001427	JC_09592-RA, JC_09591-RA, JC_09590-RA	XP_034827000.1
OG0001428	JC_02244-RA	XP_034839670.1
OG0001429	JC_02508-RA	XP_034825459.1
OG0001430	JC_13093-RA	XP_034836226.1, XP_034836040.1
OG0001431	JC_15950-RA	XP_034838371.1, XP_034838370.1
OG0001432	JC_01948-RA, JC_01949-RA	XP_034839655.1
OG0001433	JC_13570-RA, JC_13562-RA	XP_034826630.1
OG0001434	JC_10120-RA	XP_034835533.1
OG0001435	JC_03834-RA	XP_034840684.1
OG0001436	JC_15948-RA	XP_034838543.1
OG0001437	JC_09566-RA	XP_034826990.1
OG0001438	JC_04097-RA, JC_04095-RA, JC_04098-RA, JC_04099-RA	XP_034840044.1
OG0001439	JC_04581-RA	XP_034824573.1
OG0001440	JC_12763-RA	XP_034833783.1, XP_034833785.1, XP_034833784.1
OG0001441	JC_03432-RA	XP_034830862.1, XP_034830863.1
OG0001442	JC_07446-RA	XP_034832236.1, XP_034832451.1
OG0001443	JC_01375-RA, JC_01386-RA	XP_034837216.1
OG0001445	JC_16997-RA	XP_034838000.1, XP_034838038.1, XP_034838039.1
OG0001446	JC_06972-RA, JC_06973-RA	XP_034831613.1
OG0001447	JC_04628-RA	XP_034824520.1, XP_034824519.1
OG0001448	JC_13061-RA	XP_034836174.1, XP_034836175.1
OG0001449	JC_09535-RA	XP_034827271.1
OG0001450	JC_10074-RA	XP_034835313.1, XP_034835312.1
OG0001451	JC_03436-RA	XP_034830474.1, XP_034830836.1
OG0001452	JC_10059-RA, JC_10058-RA	XP_034835442.1
OG0001453	JC_16904-RA	XP_034837892.1
OG0001454	JC_13046-RA	XP_034835750.1
OG0001455	JC_02553-RA, JC_02552-RA	XP_034825687.1
OG0001456	JC_06950-RA, JC_06949-RA, JC_06948-RA	XP_034831248.1
OG0001457	JC_00602-RA	XP_034823961.1, XP_034823959.1
OG0001458	JC_06947-RA	XP_034831510.1, XP_034831511.1
OG0001459	JC_06944-RA	XP_034831514.1
OG0001460	JC_02010-RA	XP_034839202.1
OG0001461	JC_16506-RA, JC_16505-RA, JC_16504-RA	XP_034838838.1
OG0001462	JC_09519-RA	XP_034827297.1
OG0001463	JC_10676-RA, JC_10674-RA	XP_034834351.1
OG0001464	JC_03881-RA	XP_034840763.1
OG0001465	JC_10679-RA	XP_034834634.1
OG0001467	JC_15866-RA, JC_15869-RA, JC_15868-RA	XP_034838622.1
OG0001468	JC_13959-RA	XP_034836585.1
OG0001469	JC_10688-RA	XP_034834951.1
OG0001469	JC_10690-RA	XP_034834772.1
OG0001470	JC_07040-RA	XP_034831229.1
OG0001471	JC_02583-RA	XP_034825561.1, XP_034825162.1
OG0001472	JC_09506-RA	XP_034827326.1
OG0001473	JC_16931-RA, JC_16929-RA, JC_16930-RA	XP_034838054.1
OG0001474	JC_15883-RA	XP_034838462.1
OG0001475	JC_13942-RA	XP_034836500.1, XP_034836501.1
OG0001476	JC_15884-RA	XP_034838472.1, XP_034838473.1, XP_034838471.1
OG0001477	JC_13941-RA	XP_034836499.1
OG0001478	JC_04664-RA	XP_034824785.1, XP_034824315.1
OG0001479	JC_01131-RA	XP_034836093.1, XP_034836100.1, XP_034836077.1, XP_034836087.1
OG0001480	JC_10826-RA	XP_034834788.1
OG0001481	JC_12315-RA	XP_034834016.1
OG0001482	JC_14287-RA, JC_14288-RA	XP_034826122.1
OG0001483	JC_00567-RA	XP_034840929.1
OG0001484	JC_11468-RA	XP_034833039.1
OG0001486	JC_06467-RA	XP_034828447.1
OG0001487	JC_09482-RA	XP_034827344.1
OG0001487	JC_09481-RA	XP_034826881.1
OG0001488	JC_14801-RA	XP_034837408.1
OG0001489	JC_14226-RA, JC_03240-RA	XP_034826177.1, XP_034826176.1
OG0001490	JC_15721-RA	XP_034837028.1, XP_034837026.1
OG0001492	JC_02060-RA	XP_034839774.1, XP_034839775.1
OG0001494	JC_13899-RA, JC_13900-RA	XP_034836485.1
OG0001495	JC_13203-RA	XP_034835960.1, XP_034835959.1, XP_034835958.1
OG0001496	JC_16879-RA, JC_16876-RA	XP_034838057.1
OG0001497	JC_13903-RA	XP_034836301.1
OG0001499	JC_12253-RA, JC_12252-RA, JC_12251-RA	XP_034833714.1
OG0001500	JC_05946-RA, JC_05945-RA	XP_034833470.1, XP_034833469.1
OG0001502	JC_07592-RA	XP_034832320.1
OG0001503	JC_12114-RA	XP_034827811.1
OG0001504	JC_15823-RA	XP_034838360.1
OG0001505	JC_01179-RA	XP_034837992.1, XP_034837983.1
OG0001506	JC_12248-RA	XP_034834165.1
OG0001507	JC_13207-RA	XP_034836205.1
OG0001508	JC_04758-RA	XP_034824312.1, XP_034824313.1, XP_034824314.1
OG0001509	JC_01182-RA	XP_034833218.1, XP_034833184.1, XP_034833226.1, XP_034833205.1
OG0001511	JC_01183-RA	XP_034837822.1
OG0001512	JC_03334-RA	XP_034830691.1
OG0001513	JC_14719-RA	XP_034837159.1
OG0001514	JC_05308-RA, JC_05309-RA	XP_034829452.1
OG0001515	JC_01203-RA	XP_034830715.1
OG0001516	JC_07152-RA	XP_034831102.1, XP_034831103.1
OG0001517	JC_12605-RA	XP_034834079.1
OG0001519	JC_05305-RA	XP_034829297.1
OG0001520	JC_11924-RA	XP_034828265.1, XP_034838316.1
OG0001521	JC_11927-RA	XP_034828262.1, XP_034828259.1
OG0001522	JC_08287-RA	XP_034829363.1, XP_034829354.1, XP_034829368.1
OG0001523	JC_01217-RA	XP_034833123.1
OG0001524	JC_12565-RA	XP_034834134.1
OG0001526	JC_05905-RA, JC_05907-RA, JC_05909-RA, JC_05906-RA	XP_034833628.1
OG0001527	JC_13718-RA	XP_034826543.1, XP_034826542.1
OG0001528	JC_04916-RA, JC_04915-RA	XP_034824798.1
OG0001529	JC_13222-RA	XP_034836203.1
OG0001530	JC_00384-RA	XP_034841526.1
OG0001531	JC_15748-RA	XP_034836778.1
OG0001532	JC_11949-RA	XP_034827520.1
OG0001533	JC_02135-RA	XP_034839607.1
OG0001534	JC_11225-RA	XP_034832988.1
OG0001535	JC_01246-RA	XP_034836255.1
OG0001536	JC_09406-RA	XP_034827154.1
OG0001537	JC_02137-RA	XP_034839415.1
OG0001538	JC_04904-RA	XP_034824973.1
OG0001539	JC_00319-RA	XP_034841051.1
OG0001540	JC_02694-RA	XP_034825335.1, XP_034825332.1
OG0001541	JC_03281-RA	XP_034830485.1
OG0001542	JC_14737-RA, JC_14736-RA, JC_14735-RA	XP_034837423.1
OG0001543	JC_11971-RA	XP_034827828.1
OG0001544	JC_03279-RA	XP_034830487.1
OG0001545	JC_13676-RA, JC_13693-RA	XP_034826547.1
OG0001546	JC_07140-RA	XP_034831586.1, XP_034831585.1
OG0001547	JC_14744-RA	XP_034837415.1
OG0001548	JC_08810-RA	XP_034829918.1
OG0001549	JC_04879-RA, JC_04880-RA	XP_034839524.1, XP_034824824.1
OG0001550	JC_02154-RA	XP_034839471.1
OG0001551	JC_12280-RA	XP_034834195.1, XP_034834239.1
OG0001552	JC_00358-RA, JC_00359-RA, JC_00360-RA	XP_034841560.1
OG0001553	JC_11986-RA	XP_034827445.1
OG0001554	JC_10344-RA, JC_10348-RA	XP_034835499.1
OG0001555	JC_08335-RA	XP_034835795.1, XP_034835726.1
OG0001556	JC_08344-RA	XP_034835517.1
OG0001557	JC_07539-RA	XP_034832113.1, XP_034832114.1
OG0001558	JC_13260-RA	XP_034835793.1
OG0001559	JC_07666-RA	XP_034832012.1
OG0001559	JC_07665-RA	XP_034832009.1
OG0001560	JC_07112-RA	XP_034831156.1
OG0001561	JC_04130-RA	XP_034840029.1
OG0001562	JC_07683-RA	XP_034832402.1
OG0001563	JC_10933-RA	XP_034834544.1
OG0001564	JC_13756-RA, JC_13755-RA	XP_034836391.1
OG0001565	JC_00260-RA, JC_05711-RA	XP_034833399.1
OG0001566	JC_12036-RA, JC_12037-RA	XP_034827835.1, XP_034828294.1
OG0001567	JC_06671-RA	XP_034828855.1, XP_034828856.1, XP_034828485.1
OG0001568	JC_13626-RA	XP_034826570.1
OG0001569	JC_07093-RA	XP_034831185.1
OG0001570	JC_06664-RA	XP_034828365.1
OG0001571	JC_09341-RA	XP_034826725.1
OG0001572	JC_04852-RA	XP_034824377.1, XP_034824376.1, XP_034824375.1
OG0001573	JC_13789-RA, JC_13788-RA	XP_034836633.1
OG0001574	JC_04150-RA, JC_04151-RA, JC_04153-RA	XP_034840729.1
OG0001576	JC_03220-RA	XP_034830292.1
OG0001577	JC_00429-RA, JC_00428-RA, JC_00427-RA	XP_034841147.1
OG0001578	JC_01049-RA, JC_01050-RA	XP_034833589.1
OG0001579	JC_00435-RA	XP_034841127.1, XP_034841126.1, XP_034841125.1
OG0001580	JC_05805-RA	XP_034833565.1
OG0001581	JC_00310-RA	XP_034841270.1, XP_034841265.1
OG0001582	JC_00308-RA	XP_034841440.1, XP_034841438.1, XP_034841441.1
OG0001583	JC_15382-RA	XP_034837704.1
OG0001584	JC_00301-RA, JC_00302-RA, JC_00303-RA	XP_034841445.1
OG0001585	JC_01853-RA	XP_034839579.1
OG0001586	JC_15509-RA	XP_034837701.1, XP_034837702.1
OG0001587	JC_10452-RA	XP_034835471.1
OG0001588	JC_05794-RA	XP_034833568.1
OG0001589	JC_10972-RA	XP_034835009.1, XP_034834896.1
OG0001590	JC_12078-RA, JC_12079-RA, JC_12080-RA	XP_034827664.1
OG0001591	JC_11145-RA	XP_034832934.1
OG0001592	JC_06652-RA, JC_06650-RA	XP_034828640.1
OG0001593	JC_01070-RA	XP_034838767.1, XP_034838761.1, XP_034838772.1
OG0001594	JC_04815-RA	XP_034824934.1
OG0001595	JC_12576-RA	XP_034833978.1
OG0001597	JC_08454-RA, JC_08455-RA	XP_034827808.1
OG0001598	JC_03176-RA	XP_034830494.1
OG0001599	JC_01096-RA	XP_034830483.1, XP_034830490.1
OG0001600	JC_07776-RA	XP_034831886.1
OG0001601	JC_09039-RA, JC_09040-RA, JC_09041-RA	XP_034829937.1
OG0001602	JC_05831-RA, JC_05832-RA	XP_034833428.1
OG0001603	JC_16192-RA, JC_16195-RA, JC_16194-RA, JC_16196-RA	XP_034827756.1
OG0001604	JC_11772-RA	XP_034827610.1
OG0001605	JC_11779-RA	XP_034827624.1
OG0001607	JC_00240-RA	XP_034841410.1, XP_034841405.1, XP_034841404.1, XP_034841390.1
OG0001608	JC_07212-RA, JC_07211-RA	XP_034831483.1
OG0001610	JC_08490-RA	XP_034826073.1, XP_034826093.1, XP_034826082.1
OG0001612	JC_03126-RA, JC_03125-RA	XP_034830934.1
OG0001613	JC_03121-RA	XP_034830931.1
OG0001614	JC_15419-RA	XP_034837509.1
OG0001615	JC_13513-RA, JC_13514-RA	XP_034826213.1
OG0001616	JC_11030-RA	XP_034834386.1
OG0001617	JC_09095-RA, JC_09096-RA	XP_034830170.1, XP_034830171.1
OG0001619	JC_09252-RA	XP_034827388.1, XP_034827389.1
OG0001620	JC_11093-RA, JC_11092-RA	XP_034832856.1
OG0001621	JC_07851-RA	XP_034832040.1, XP_034832037.1, XP_034832038.1, XP_034832041.1, XP_034832039.1
OG0001622	JC_05743-RA	XP_034833384.1, XP_034833383.1
OG0001623	JC_00164-RA	XP_034841520.1
OG0001624	JC_09204-RA	XP_034827210.1
OG0001626	JC_08523-RA, JC_08524-RA	XP_034828626.1
OG0001627	JC_09199-RA, JC_09200-RA	XP_034827124.1
OG0001628	JC_15510-RA, JC_00880-RA	XP_034833855.1
OG0001629	JC_00882-RA	XP_034833360.1
OG0001630	JC_03050-RA	XP_034830329.1, XP_034830330.1
OG0001631	JC_00890-RA	XP_034838337.1
OG0001632	JC_13468-RA	XP_034826422.1
OG0001633	JC_00149-RA	XP_034841014.1
OG0001633	JC_00146-RA, JC_00132-RA	XP_034824134.1
OG0001634	JC_09188-RA	XP_034827115.1
OG0001635	JC_07877-RA	XP_034832029.1
OG0001636	JC_10949-RA	XP_034833788.1
OG0001637	JC_09147-RA, JC_09146-RA, JC_09144-RA, JC_09143-RA	XP_034829995.1
OG0001638	JC_11905-RA, JC_11903-RA	XP_034827880.1
OG0001639	JC_01700-RA, JC_01701-RA	XP_034839455.1
OG0001640	JC_09157-RA	XP_034830094.1, XP_034830095.1
OG0001641	JC_11649-RA	XP_034827971.1
OG0001642	JC_11634-RA	XP_034828028.1, XP_034828029.1, XP_034828030.1, XP_034828027.1
OG0001643	JC_00093-RA	XP_034841037.1, XP_034841036.1
OG0001644	JC_01678-RA	XP_034839395.1, XP_034839394.1
OG0001645	JC_13398-RA	XP_034826518.1, XP_034826517.1
OG0001647	JC_02963-RA	XP_034830671.1
OG0001648	JC_13393-RA	XP_034825892.1
OG0001649	JC_02784-RA, JC_02786-RA	XP_034825125.1
OG0001650	JC_08580-RA	XP_034826554.1, XP_034827461.1
OG0001651	JC_11622-RA, JC_11621-RA	XP_034827909.1
OG0001652	JC_11624-RA	XP_034827910.1
OG0001653	JC_04245-RA, JC_04244-RA	XP_034840524.1
OG0001654	JC_01111-RA	XP_034832925.1
OG0001656	JC_14231-RA	XP_034825992.1
OG0001657	JC_09689-RA, JC_09687-RA	XP_034827016.1, XP_034826799.1, XP_034826800.1
OG0001658	JC_14276-RA	XP_034826502.1
OG0001659	JC_11999-RA, JC_07218-RA	XP_034831452.1, XP_034831453.1, XP_034831454.1
OG0001660	JC_11968-RA	XP_034827409.1
OG0001670	JC_16374-RA, JC_16375-RA	XP_034827785.1
OG0001671	JC_14990-RA, JC_14992-RA	XP_034837383.1
OG0001672	JC_06135-RA	XP_034828905.1
OG0001673	JC_14256-RA, JC_14255-RA	XP_034826097.1
OG0001674	JC_15959-RA	XP_034838364.1
OG0001676	JC_14829-RA	XP_034837390.1
OG0001678	JC_00695-RA, JC_00694-RA	XP_034840868.1
OG0001679	JC_01604-RA, JC_01605-RA, JC_01606-RA	XP_034831977.1
OG0001680	JC_10461-RA	XP_034834917.1
OG0001681	JC_17049-RA	XP_034838211.1
OG0001682	JC_05686-RA	XP_034833191.1, XP_034833192.1
OG0001683	JC_06333-RA	XP_034828700.1
OG0001684	JC_06335-RA, JC_06336-RA	XP_034828706.1, XP_034828705.1
OG0001685	JC_15228-RA	XP_034837670.1, XP_034837669.1
OG0001686	JC_14834-RA	XP_034837092.1
OG0001687	JC_06331-RA	XP_034828898.1, XP_034828900.1
OG0001688	JC_05687-RA	XP_034833155.1
OG0001689	JC_16705-RA, JC_16706-RA	XP_034838805.1
OG0001690	JC_12816-RA, JC_12815-RA, JC_12814-RA	XP_034833930.1
OG0001691	JC_16179-RA, JC_16178-RA	XP_034827747.1
OG0001692	JC_16187-RA, JC_16184-RA	XP_034828127.1, XP_034828126.1
OG0001693	JC_07699-RA	XP_034835721.1
OG0001695	JC_07342-RA	XP_034832288.1
OG0001696	JC_10265-RA	XP_034835621.1
OG0001697	JC_03529-RA	XP_034830873.1, XP_034830872.1
OG0001698	JC_02411-RA	XP_034825048.1
OG0001699	JC_02408-RA, JC_02409-RA	XP_034825046.1, XP_034825047.1
OG0001701	JC_14626-RA	XP_034826435.1, XP_034826438.1, XP_034826198.1, XP_034826194.1
OG0001702	JC_16221-RA	XP_034828124.1
OG0001703	JC_01962-RA	XP_034839657.1
OG0001704	JC_16690-RA	XP_034839060.1
OG0001705	JC_14608-RA	XP_034826145.1
OG0001706	JC_17153-RA	XP_034838140.1
OG0001707	JC_16691-RA	XP_034839062.1
OG0001709	JC_10485-RA	XP_034834923.1
OG0001710	JC_15047-RA	XP_034837421.1
OG0001711	JC_15559-RA	XP_034836826.1
OG0001713	JC_15209-RA	XP_034837604.1
OG0001714	JC_15555-RA	XP_034836825.1
OG0001715	JC_04448-RA	XP_034824276.1
OG0001716	JC_04451-RA, JC_04450-RA	XP_034824600.1
OG0001717	JC_05554-RA	XP_034829122.1
OG0001718	JC_12806-RA	XP_034833763.1
OG0001719	JC_16704-RA	XP_034839032.1, XP_034839031.1
OG0001720	JC_10279-RA, JC_10277-RA	XP_034835134.1
OG0001721	JC_15546-RA	XP_034836904.1, XP_034836840.1
OG0001722	JC_05551-RA	XP_034829179.1, XP_034829472.1
OG0001723	JC_05538-RA, JC_05541-RA	XP_034829248.1
OG0001724	JC_03658-RA	XP_034840159.1, XP_034829492.1
OG0001726	JC_15526-RA	XP_034837018.1
OG0001727	JC_16152-RA	XP_034827979.1
OG0001728	JC_05530-RA	XP_034829369.1
OG0001729	JC_15521-RA	XP_034837003.1
OG0001730	JC_14564-RA, JC_14565-RA	XP_034826329.1, XP_034826454.1
OG0001731	JC_12788-RA	XP_034833854.1
OG0001732	JC_15182-RA, JC_15181-RA, JC_15185-RA	XP_034837598.1, XP_034837599.1
OG0001733	JC_02288-RA, JC_02287-RA	XP_034839270.1
OG0001734	JC_15518-RA	XP_034836906.1
OG0001735	JC_05529-RA	XP_034829468.1
OG0001736	JC_03567-RA	XP_034830476.1
OG0001737	JC_14414-RA	XP_034825946.1
OG0001738	JC_02357-RA	XP_034825642.1, XP_034825643.1
OG0001739	JC_12785-RA	XP_034834074.1
OG0001740	JC_01581-RA	XP_034837577.1, XP_034837584.1
OG0001742	JC_10521-RA, JC_10520-RA	XP_034834428.1
OG0001743	JC_10522-RA	XP_034834935.1
OG0001744	JC_09771-RA, JC_09772-RA, JC_09773-RA	XP_034826888.1
OG0001745	JC_15516-RA	XP_034836713.1
OG0001746	JC_04269-RA	XP_034840147.1, XP_034840146.1
OG0001747	JC_04272-RA	XP_034839932.1
OG0001749	JC_10298-RA	XP_034835263.1
OG0001750	JC_16165-RA	XP_034828140.1
OG0001751	JC_16739-RA	XP_034838968.1
OG0001752	JC_06089-RA	XP_034828345.1, XP_034828346.1
OG0001753	JC_01255-RA	XP_034836284.1
OG0001755	JC_12984-RA, JC_12982-RA, JC_12983-RA	XP_034835874.1
OG0001756	JC_16247-RA	XP_034827687.1
OG0001757	JC_08688-RA	XP_034829811.1
OG0001758	JC_06099-RA, JC_06100-RA	XP_034828413.1
OG0001759	JC_03611-RA	XP_034830885.1
OG0001760	JC_14884-RA	XP_034837187.1
OG0001761	JC_06110-RA, JC_06111-RA	XP_034828790.1
OG0001762	JC_10560-RA	XP_034834747.1
OG0001763	JC_09776-RA	XP_034826891.1
OG0001764	JC_14524-RA	XP_034826325.1
OG0001765	JC_14113-RA	XP_034836615.1, XP_034836614.1
OG0001767	JC_06817-RA	XP_034831377.1
OG0001768	JC_00171-RA, JC_11416-RA	XP_034832595.1
OG0001769	JC_10331-RA	XP_034835382.1
OG0001770	JC_11411-RA, JC_11410-RA	XP_034833055.1
OG0001771	JC_02029-RA	XP_034839761.1, XP_034824409.1
OG0001772	JC_16764-RA, JC_16763-RA, JC_16765-RA	XP_034839009.1
OG0001773	JC_02304-RA	XP_034839148.1
OG0001774	JC_10573-RA	XP_034834672.1
OG0001775	JC_14519-RA, JC_14518-RA	XP_034826347.1
OG0001776	JC_07690-RA	XP_034831703.1
OG0001777	JC_08702-RA	XP_034830193.1
OG0001778	JC_16277-RA	XP_034828086.1, XP_034828087.1
OG0001779	JC_00802-RA	XP_034840874.1
OG0001780	JC_08705-RA, JC_08706-RA	XP_034830192.1
OG0001781	JC_16017-RA	XP_034838697.1
OG0001782	JC_07414-RA	XP_034832253.1
OG0001783	JC_08710-RA	XP_034830181.1, XP_034830182.1
OG0001784	JC_16642-RA	XP_034838775.1
OG0001784	JC_16641-RA	XP_034838776.1
OG0001785	JC_06121-RA, JC_06120-RA	XP_034828924.1, XP_034828925.1
OG0001786	JC_16018-RA	XP_034838521.1
OG0001787	JC_15592-RA	XP_034836770.1
OG0001788	JC_06829-RA	XP_034831628.1
OG0001789	JC_16287-RA	XP_034827708.1
OG0001790	JC_06114-RA	XP_034828911.1
