Orthogroup	Junonia_coenia	Vanessa_tameamea
OG0001024	JC_00086-RA	XP_026485047.1
OG0001025	JC_13404-RA, JC_13402-RA, JC_13403-RA	XP_026491882.1
OG0001026	JC_02984-RA	XP_026483235.1
OG0001026	JC_02983-RA	XP_026486639.1
OG0001027	JC_16775-RA, JC_15481-RA, JC_03566-RA, JC_11702-RA, JC_00034-RA, JC_00028-RA, JC_00030-RA, JC_00032-RA, JC_00035-RA	XP_026485053.1
OG0001028	JC_04253-RA	XP_026501631.1
OG0001029	JC_08549-RA	XP_026488775.1
OG0001030	JC_08543-RA	XP_026488770.1
OG0001030	JC_08541-RA, JC_08542-RA	XP_026488797.1
OG0001031	JC_08536-RA	XP_026488779.1
OG0001031	JC_10791-RA	XP_026495585.1
OG0001032	JC_01040-RA, JC_01039-RA	XP_026496610.1
OG0001033	JC_08592-RA, JC_14729-RA, JC_16465-RA	XP_026495647.1
OG0001034	JC_15399-RA, JC_15401-RA	XP_026501778.1
OG0001035	JC_03627-RA, JC_03628-RA	XP_026488090.1
OG0001036	JC_08637-RA, JC_08636-RA, JC_08635-RA	XP_026490504.1, XP_026490459.1
OG0001037	JC_00755-RA	XP_026501177.1
OG0001042	JC_15877-RA	XP_026483670.1
OG0001043	JC_05684-RA	XP_026493100.1
OG0001044	JC_02460-RA	XP_026491428.1
OG0001045	JC_05593-RA	XP_026496414.1
OG0001046	JC_03518-RA, JC_03519-RA	XP_026499015.1
OG0001047	JC_06324-RA	XP_026485367.1
OG0001048	JC_16446-RA	XP_026492565.1, XP_026492569.1, XP_026492562.1, XP_026492566.1
OG0001049	JC_16790-RA	XP_026483110.1
OG0001050	JC_15059-RA, JC_15056-RA, JC_15060-RA	XP_026499428.1
OG0001051	JC_05651-RA	XP_026493203.1
OG0001052	JC_16083-RA	XP_026490604.1, XP_026490577.1
OG0001053	JC_01620-RA, JC_01622-RA, JC_01621-RA	XP_026487078.1
OG0001054	JC_01990-RA	XP_026497959.1, XP_026497951.1
OG0001055	JC_00726-RA	XP_026501117.1, XP_026501116.1, XP_026501118.1
OG0001056	JC_07905-RA	XP_026500031.1
OG0001057	JC_16692-RA	XP_026483127.1
OG0001058	JC_16232-RA	XP_026483527.1
OG0001059	JC_13023-RA, JC_13022-RA, JC_13021-RA	XP_026500173.1
OG0001060	JC_15044-RA	XP_026499433.1
OG0001061	JC_03552-RA, JC_03551-RA	XP_026498995.1
OG0001062	JC_14071-RA	XP_026495784.1
OG0001063	JC_13010-RA	XP_026500124.1
OG0001064	JC_10499-RA	XP_026501024.1
OG0001065	JC_05663-RA	XP_026493056.1
OG0001065	JC_05661-RA	XP_026493054.1
OG0001066	JC_15195-RA	XP_026483940.1
OG0001066	JC_15197-RA	XP_026483939.1
OG0001067	JC_16721-RA	XP_026494075.1, XP_026494074.1, XP_026494076.1, XP_026494080.1
OG0001068	JC_03666-RA, JC_03665-RA	XP_026489984.1
OG0001069	JC_00735-RA	XP_026501233.1, XP_026501232.1
OG0001070	JC_06773-RA	XP_026487281.1
OG0001071	JC_16156-RA	XP_026483594.1
OG0001072	JC_05668-RA, JC_05671-RA, JC_05670-RA	XP_026493245.1
OG0001073	JC_08532-RA	XP_026489282.1
OG0001074	JC_15586-RA	XP_026492928.1
OG0001075	JC_12426-RA	XP_026494187.1
OG0001076	JC_03083-RA	XP_026492878.1, XP_026492875.1, XP_026492869.1, XP_026492867.1, XP_026486434.1
OG0001077	JC_17069-RA	XP_026486438.1
OG0001077	JC_17068-RA	XP_026492870.1, XP_026492868.1, XP_026492877.1, XP_026492876.1
OG0001078	JC_02285-RA	XP_026500439.1
OG0001079	JC_15176-RA, JC_16563-RA, JC_15177-RA, JC_15175-RA	XP_026484060.1
OG0001080	JC_06801-RA	XP_026487222.1
OG0001080	JC_06800-RA	XP_026487226.1
OG0001081	JC_10315-RA	XP_026486854.1
OG0001081	JC_01560-RA	XP_026485266.1
OG0001082	JC_04963-RA	XP_026485996.1
OG0001083	JC_11429-RA	XP_026492947.1
OG0001083	JC_11430-RA	XP_026492948.1
OG0001084	JC_16259-RA, JC_16257-RA	XP_026483526.1
OG0001085	JC_16623-RA, JC_16621-RA	XP_026498211.1
OG0001086	JC_12975-RA, JC_12974-RA, JC_12973-RA	XP_026500157.1
OG0001087	JC_01553-RA	XP_026498050.1
OG0001088	JC_03629-RA	XP_026485267.1
OG0001089	JC_03703-RA	XP_026489917.1
OG0001090	JC_06822-RA	XP_026488866.1, XP_026488858.1, XP_026488850.1
OG0001091	JC_07978-RA, JC_07977-RA, JC_07976-RA	XP_026489294.1
OG0001092	JC_06006-RA	XP_026493543.1, XP_026493542.1, XP_026493545.1
OG0001094	JC_05633-RA	XP_026493451.1
OG0001096	JC_14825-RA, JC_14827-RA	XP_026498724.1
OG0001097	JC_03942-RA	XP_026490709.1
OG0001097	JC_03941-RA	XP_026490717.1
OG0001098	JC_10872-RA, JC_10595-RA	XP_026496028.1
OG0001099	JC_12950-RA	XP_026500118.1, XP_026500116.1, XP_026500117.1, XP_026500119.1
OG0001101	JC_16038-RA	XP_026490575.1
OG0001102	JC_12391-RA	XP_026489636.1, XP_026489637.1
OG0001103	JC_06167-RA	XP_026498438.1
OG0001104	JC_17032-RA	XP_026490697.1
OG0001105	JC_09802-RA, JC_09801-RA	XP_026501711.1
OG0001106	JC_16759-RA	XP_026485679.1
OG0001107	JC_11911-RA	XP_026488918.1
OG0001108	JC_16592-RA	XP_026486417.1, XP_026486416.1
OG0001109	JC_07431-RA, JC_07433-RA	XP_026492290.1
OG0001110	JC_11016-RA	XP_026488028.1
OG0001111	JC_08736-RA	XP_026484260.1, XP_026484261.1, XP_026484259.1, XP_026484263.1
OG0001112	JC_01855-RA	XP_026499269.1
OG0001112	JC_16403-RA	XP_026483549.1
OG0001114	JC_11578-RA, JC_11577-RA	XP_026488582.1
OG0001115	JC_12906-RA	XP_026500196.1, XP_026500197.1
OG0001116	JC_14410-RA	XP_026497668.1, XP_026497669.1, XP_026497671.1, XP_026497670.1
OG0001117	JC_16895-RA	XP_026489388.1
OG0001117	JC_16896-RA	XP_026489399.1
OG0001118	JC_04397-RA	XP_026490099.1
OG0001120	JC_12457-RA	XP_026494404.1
OG0001121	JC_14986-RA, JC_14987-RA	XP_026492435.1
OG0001122	JC_16464-RA	XP_026500902.1
OG0001123	JC_11357-RA	XP_026494636.1
OG0001124	JC_11356-RA	XP_026494594.1
OG0001125	JC_08066-RA	XP_026487377.1
OG0001126	JC_00659-RA	XP_026484584.1
OG0001126	JC_00658-RA	XP_026485038.1
OG0001127	JC_01444-RA	XP_026497871.1
OG0001127	JC_01445-RA	XP_026497870.1
OG0001128	JC_07470-RA	XP_026492277.1
OG0001129	JC_10713-RA	XP_026495979.1, XP_026495978.1, XP_026495977.1
OG0001130	JC_15008-RA	XP_026490228.1, XP_026490227.1
OG0001131	JC_13104-RA	XP_026497372.1
OG0001132	JC_04562-RA	XP_026485836.1, XP_026485835.1
OG0001133	JC_03810-RA	XP_026489605.1, XP_026489606.1
OG0001133	JC_10684-RA	XP_026495992.1
OG0001134	JC_08094-RA	XP_026488363.1
OG0001135	JC_14345-RA	XP_026499328.1, XP_026499329.1
OG0001136	JC_10634-RA	XP_026495548.1, XP_026495549.1
OG0001137	JC_03823-RA, JC_03822-RA	XP_026495302.1, XP_026495303.1
OG0001139	JC_04574-RA, JC_04573-RA, JC_04575-RA	XP_026486182.1, XP_026486180.1, XP_026486181.1
OG0001140	JC_15676-RA	XP_026486148.1
OG0001141	JC_13984-RA	XP_026491830.1
OG0001142	JC_03318-RA, JC_03317-RA	XP_026488303.1
OG0001143	JC_03840-RA	XP_026495357.1
OG0001144	JC_04576-RA, JC_02778-RA	XP_026486183.1
OG0001145	JC_13088-RA	XP_026497409.1, XP_026497410.1, XP_026497407.1, XP_026497408.1, XP_026497406.1
OG0001146	JC_16950-RA	XP_026489273.1
OG0001146	JC_16951-RA	XP_026489180.1
OG0001147	JC_17234-RA	XP_026489391.1
OG0001148	JC_07445-RA	XP_026492254.1
OG0001149	JC_07197-RA	XP_026489219.1
OG0001150	JC_04616-RA	XP_026485935.1
OG0001151	JC_04621-RA	XP_026485839.1, XP_026485920.1
OG0001152	JC_02528-RA	XP_026491523.1
OG0001153	JC_14315-RA	XP_026499405.1, XP_026499407.1
OG0001155	JC_09896-RA, JC_06742-RA, JC_09897-RA	XP_026497998.1
OG0001156	JC_01993-RA	XP_026498270.1, XP_026498247.1, XP_026498254.1, XP_026498262.1
OG0001157	JC_14253-RA	XP_026499862.1
OG0001158	JC_12720-RA	XP_026500384.1
OG0001160	JC_14263-RA	XP_026499869.1, XP_026499868.1
OG0001161	JC_16508-RA, JC_16507-RA, JC_16510-RA	XP_026487094.1
OG0001162	JC_10043-RA, JC_10039-RA	XP_026491627.1
OG0001163	JC_14269-RA	XP_026499858.1, XP_026499857.1
OG0001164	JC_14272-RA	XP_026498416.1
OG0001165	JC_08201-RA	XP_026487684.1, XP_026487685.1
OG0001166	JC_02598-RA	XP_026491724.1
OG0001166	JC_02595-RA	XP_026491723.1
OG0001167	JC_02601-RA	XP_026491295.1, XP_026491294.1, XP_026491293.1, XP_026491292.1, XP_026491290.1, XP_026491291.1
OG0001168	JC_12310-RA	XP_026489722.1, XP_026489721.1
OG0001169	JC_15889-RA, JC_15888-RA, JC_15891-RA	XP_026483801.1
OG0001170	JC_06449-RA	XP_026485608.1
OG0001171	JC_05982-RA, JC_05985-RA	XP_026493160.1
OG0001172	JC_13168-RA	XP_026499749.1
OG0001172	JC_13167-RA	XP_026497328.1
OG0001173	JC_14815-RA, JC_14814-RA	XP_026498750.1
OG0001174	JC_11457-RA	XP_026500012.1
OG0001174	JC_11456-RA	XP_026496514.1
OG0001175	JC_12324-RA, JC_12326-RA	XP_026489699.1
OG0001176	JC_04691-RA	XP_026486074.1
OG0001176	JC_04690-RA	XP_026486014.1
OG0001178	JC_14797-RA	XP_026498729.1
OG0001179	JC_08876-RA, JC_08875-RA	XP_026496872.1
OG0001180	JC_00530-RA	XP_026484773.1
OG0001181	JC_14207-RA	XP_026494449.1
OG0001182	JC_05753-RA	XP_026493381.1
OG0001183	JC_05343-RA	XP_026489806.1, XP_026489805.1
OG0001185	JC_02130-RA, JC_02129-RA	XP_026500585.1
OG0001186	JC_01173-RA	XP_026492663.1
OG0001188	JC_07164-RA	XP_026486934.1, XP_026486933.1
OG0001189	JC_10763-RA, JC_10764-RA	XP_026495963.1, XP_026495962.1
OG0001190	JC_03002-RA, JC_03003-RA	XP_026497975.1
OG0001191	JC_12127-RA, JC_12129-RA	XP_026489077.1
OG0001192	JC_00506-RA, JC_00505-RA	XP_026484577.1
OG0001193	JC_15774-RA	XP_026493592.1
OG0001195	JC_13833-RA, JC_05933-RA	XP_026493941.1, XP_026485225.1
OG0001196	JC_04059-RA	XP_026495256.1, XP_026495258.1, XP_026495259.1, XP_026495260.1
OG0001197	JC_01213-RA	XP_026492701.1
OG0001198	JC_10841-RA	XP_026495635.1
OG0001199	JC_10843-RA	XP_026495527.1
OG0001200	JC_05915-RA	XP_026498205.1
OG0001200	JC_05916-RA	XP_026498204.1
OG0001201	JC_01228-RA	XP_026493725.1, XP_026493724.1
OG0001202	JC_12032-RA, JC_12031-RA	XP_026489026.1
OG0001203	JC_13823-RA	XP_026498256.1, XP_026498259.1
OG0001204	JC_15313-RA, JC_15314-RA, JC_15315-RA	XP_026484152.1
OG0001205	JC_07143-RA, JC_07141-RA	XP_026486858.1
OG0001206	JC_08310-RA	XP_026487555.1
OG0001207	JC_04108-RA, JC_04109-RA	XP_026495001.1
OG0001208	JC_02712-RA, JC_02715-RA	XP_026491065.1
OG0001209	JC_01256-RA	XP_026493775.1
OG0001209	JC_01257-RA	XP_026493771.1
OG0001210	JC_03273-RA	XP_026488489.1
OG0001211	JC_12285-RA	XP_026494396.1
OG0001212	JC_07543-RA, JC_07542-RA	XP_026492337.1
OG0001213	JC_03260-RA	XP_026488462.1
OG0001213	JC_03261-RA	XP_026488463.1
OG0001214	JC_13262-RA	XP_026497453.1
OG0001215	JC_14765-RA	XP_026489557.1
OG0001216	JC_07681-RA	XP_026499693.1, XP_026499695.1
OG0001217	JC_15240-RA	XP_026484063.1
OG0001218	JC_12295-RA	XP_026494242.1
OG0001218	JC_12294-RA	XP_026494165.1
OG0001219	JC_00371-RA	XP_026484901.1
OG0001220	JC_12012-RA	XP_026488955.1, XP_026488956.1, XP_026488957.1
OG0001221	JC_11262-RA	XP_026493855.1, XP_026493854.1, XP_026493853.1
OG0001222	JC_05225-RA	XP_026498642.1, XP_026498643.1
OG0001223	JC_00378-RA	XP_026484983.1
OG0001223	JC_00380-RA	XP_026484985.1
OG0001224	JC_10407-RA	XP_026496507.1
OG0001225	JC_10404-RA	XP_026496479.1, XP_026496480.1
OG0001226	JC_00419-RA, JC_00413-RA	XP_026484874.1
OG0001227	JC_07718-RA	XP_026499609.1
OG0001228	JC_12648-RA, JC_12646-RA	XP_026498889.1
OG0001229	JC_10382-RA	XP_026495405.1
OG0001230	JC_13793-RA	XP_026498282.1
OG0001231	JC_03218-RA	XP_026498688.1
OG0001231	JC_03219-RA	XP_026483067.1
OG0001232	JC_10953-RA	XP_026496016.1
OG0001232	JC_10954-RA	XP_026496014.1
OG0001233	JC_13799-RA, JC_13798-RA, JC_13797-RA	XP_026498231.1
OG0001234	JC_08403-RA	XP_026487472.1, XP_026487473.1, XP_026487471.1, XP_026487470.1
OG0001235	JC_07013-RA, JC_07014-RA, JC_07012-RA	XP_026499143.1
OG0001236	JC_07022-RA, JC_07020-RA, JC_07021-RA, JC_07024-RA	XP_026499223.1
OG0001237	JC_00286-RA	XP_026484890.1
OG0001238	JC_13561-RA	XP_026497721.1
OG0001239	JC_13556-RA	XP_026497717.1, XP_026497716.1
OG0001240	JC_01075-RA, JC_01076-RA	XP_026496577.1
OG0001241	JC_00273-RA	XP_026484610.1, XP_026484611.1
OG0001242	JC_08470-RA, JC_08469-RA, JC_08468-RA, JC_08467-RA	XP_026487512.1
OG0001243	JC_11759-RA	XP_026488060.1, XP_026488059.1
OG0001244	JC_07207-RA	XP_026489226.1
OG0001245	JC_05840-RA	XP_026493362.1
OG0001246	JC_07792-RA	XP_026486549.1
OG0001247	JC_13533-RA	XP_026497810.1, XP_026497807.1, XP_026497812.1, XP_026497809.1, XP_026497808.1
OG0001248	JC_06598-RA, JC_06602-RA, JC_06601-RA, JC_06600-RA, JC_06599-RA	XP_026492988.1
OG0001249	JC_10425-RA	XP_026496492.1
OG0001250	JC_04958-RA	XP_026486163.1, XP_026486160.1, XP_026486162.1
OG0001251	JC_07803-RA	XP_026496088.1
OG0001252	JC_17076-RA	XP_026499508.1, XP_026499509.1
OG0001253	JC_08491-RA, JC_08492-RA	XP_026487818.1
OG0001254	JC_10411-RA	XP_026496456.1, XP_026496457.1, XP_026496458.1
OG0001255	JC_01811-RA	XP_026497323.1
OG0001256	JC_09235-RA	XP_026489452.1
OG0001257	JC_11012-RA, JC_11013-RA	XP_026488036.1
OG0001258	JC_11836-RA	XP_026494490.1, XP_026494491.1
OG0001260	JC_11841-RA	XP_026494509.1
OG0001261	JC_09211-RA	XP_026486442.1
OG0001262	JC_02836-RA	XP_026491173.1, XP_026491174.1
OG0001263	JC_03054-RA, JC_03053-RA	XP_026490792.1
OG0001264	JC_13467-RA	XP_026491982.1, XP_026491983.1, XP_026491984.1
OG0001265	JC_00126-RA	XP_026485044.1
OG0001266	JC_13456-RA, JC_13455-RA	XP_026492000.1, XP_026492002.1, XP_026491998.1, XP_026492001.1
OG0001267	JC_13453-RA	XP_026491976.1
OG0001269	JC_00931-RA	XP_026497128.1, XP_026497131.1, XP_026497129.1, XP_026497130.1
OG0001270	JC_00103-RA	XP_026484478.1
OG0001271	JC_03009-RA, JC_03013-RA, JC_03014-RA, JC_03012-RA	XP_026485669.1
OG0001272	JC_13421-RA	XP_026491935.1
OG0001273	JC_00953-RA	XP_026497035.1
OG0001274	JC_00087-RA	XP_026485035.1, XP_026485034.1
OG0001275	JC_13407-RA	XP_026491955.1
OG0001276	JC_08593-RA	XP_026490492.1
OG0001278	JC_02783-RA	XP_026491373.1
OG0001279	JC_01683-RA	XP_026498441.1
OG0001280	JC_11623-RA	XP_026501326.1, XP_026501325.1
OG0001281	JC_08560-RA	XP_026490497.1, XP_026490512.1
OG0001282	JC_13356-RA	XP_026491890.1
OG0001283	JC_13349-RA	XP_026500075.1
OG0001284	JC_13348-RA	XP_026500078.1
OG0001285	JC_01769-RA	XP_026500742.1, XP_026500740.1
OG0001286	JC_05147-RA	XP_026488676.1
OG0001286	JC_05148-RA, JC_05150-RA, JC_05149-RA	XP_026488719.1
OG0001287	JC_16637-RA	XP_026490669.1
OG0001291	JC_02318-RA	XP_026491230.1, XP_026491232.1, XP_026491234.1, XP_026491231.1, XP_026491229.1, XP_026491233.1
OG0001292	JC_04605-RA, JC_04606-RA	XP_026485929.1, XP_026485925.1
OG0001293	JC_06171-RA	XP_026498457.1
OG0001301	JC_16491-RA, JC_16492-RA, JC_16493-RA	XP_026486529.1
OG0001302	JC_17054-RA	XP_026486757.1
OG0001303	JC_11476-RA	XP_026498020.1
OG0001304	JC_11477-RA	XP_026498011.1
OG0001305	JC_04416-RA	XP_026490029.1
OG0001306	JC_05230-RA, JC_05232-RA, JC_05231-RA	XP_026498534.1
OG0001308	JC_13129-RA	XP_026497471.1, XP_026497469.1, XP_026497472.1, XP_026497473.1
OG0001310	JC_17043-RA, JC_17044-RA	XP_026486765.1
OG0001311	JC_07353-RA	XP_026492051.1
OG0001312	JC_16174-RA, JC_16173-RA	XP_026483485.1, XP_026483486.1
OG0001315	JC_14046-RA	XP_026492534.1, XP_026492533.1
OG0001316	JC_13134-RA	XP_026497451.1
OG0001318	JC_14970-RA, JC_14971-RA	XP_026492433.1
OG0001319	JC_08668-RA	XP_026496182.1, XP_026496181.1, XP_026496183.1
OG0001320	JC_06696-RA	XP_026487303.1
OG0001321	JC_16214-RA, JC_16215-RA	XP_026483430.1
OG0001322	JC_16216-RA	XP_026483378.1
OG0001323	JC_17178-RA	XP_026496442.1
OG0001324	JC_11487-RA	XP_026498028.1
OG0001325	JC_01899-RA	XP_026500862.1, XP_026500859.1, XP_026500860.1
OG0001326	JC_05577-RA, JC_05576-RA	XP_026488535.1
OG0001327	JC_14357-RA	XP_026499380.1
OG0001328	JC_14358-RA	XP_026499411.1
OG0001329	JC_06700-RA	XP_026499538.1
OG0001330	JC_15053-RA, JC_15054-RA	XP_026499419.1, XP_026499418.1
OG0001331	JC_11496-RA	XP_026500938.1
OG0001331	JC_11497-RA	XP_026495487.1
OG0001333	JC_14052-RA	XP_026492523.1
OG0001334	JC_14614-RA	XP_026485260.1
OG0001335	JC_07325-RA	XP_026492236.1
OG0001337	JC_16227-RA	XP_026483512.1
OG0001338	JC_15892-RA	XP_026483820.1
OG0001342	JC_15547-RA	XP_026501819.1
OG0001343	JC_13012-RA	XP_026500123.1
OG0001344	JC_16198-RA, JC_16197-RA	XP_026483336.1
OG0001345	JC_00712-RA	XP_026501139.1
OG0001346	JC_07946-RA, JC_07944-RA	XP_026489325.1
OG0001347	JC_06764-RA, JC_06765-RA	XP_026487241.1
OG0001348	JC_15034-RA, JC_15035-RA	XP_026499431.1
OG0001349	JC_15032-RA, JC_15033-RA	XP_026499432.1
OG0001350	JC_14670-RA	XP_026494527.1, XP_026494530.1
OG0001352	JC_12799-RA	XP_026490961.1
OG0001353	JC_17095-RA	XP_026496068.1
OG0001354	JC_17103-RA	XP_026494114.1, XP_026494116.1, XP_026494106.1, XP_026494098.1
OG0001355	JC_12726-RA, JC_12728-RA, JC_12730-RA, JC_12729-RA	XP_026500378.1
OG0001356	JC_10365-RA	XP_026495449.1
OG0001358	JC_00761-RA	XP_026501160.1, XP_026501161.1
OG0001359	JC_14111-RA	XP_026496134.1
OG0001360	JC_16261-RA	XP_026483342.1
OG0001361	JC_02346-RA	XP_026488810.1, XP_026488807.1, XP_026488821.1, XP_026488818.1
OG0001362	JC_08689-RA, JC_08690-RA	XP_026496195.1
OG0001363	JC_14381-RA	XP_026499746.1, XP_026496513.1, XP_026486421.1
OG0001364	JC_15991-RA	XP_026488756.1
OG0001365	JC_03687-RA, JC_03688-RA	XP_026490006.1
OG0001366	JC_02257-RA	XP_026500479.1, XP_026500477.1
OG0001367	JC_00777-RA, JC_00780-RA, JC_00778-RA	XP_026501085.1, XP_026501084.1
OG0001368	JC_02255-RA, JC_02254-RA, JC_02256-RA	XP_026500493.1
OG0001369	JC_04494-RA	XP_026490046.1
OG0001370	JC_14880-RA	XP_026498809.1
OG0001371	JC_08697-RA, JC_08696-RA	XP_026484265.1
OG0001372	JC_10569-RA, JC_10571-RA, JC_10570-RA	XP_026495799.1
OG0001373	JC_00698-RA	XP_026484844.1
OG0001374	JC_01549-RA	XP_026498072.1
OG0001375	JC_00793-RA	XP_026501108.1
OG0001376	JC_00797-RA	XP_026501187.1
OG0001376	JC_08023-RA	XP_026487986.1
OG0001377	JC_14129-RA	XP_026490169.1
OG0001378	JC_13847-RA	XP_026499983.1
OG0001379	JC_17199-RA, JC_17198-RA	XP_026501147.1
OG0001380	JC_02303-RA	XP_026500498.1
OG0001381	JC_17138-RA, JC_17139-RA	XP_026500010.1
OG0001381	JC_17136-RA	XP_026495930.1
OG0001382	JC_10585-RA	XP_026496035.1
OG0001383	JC_02328-RA	XP_026491034.1
OG0001383	JC_02329-RA	XP_026494058.1
OG0001384	JC_16640-RA	XP_026490674.1
OG0001385	JC_08717-RA, JC_08718-RA	XP_026484302.1
OG0001386	JC_03598-RA	XP_026493637.1
OG0001387	JC_03712-RA	XP_026489931.1, XP_026489929.1, XP_026489930.1
OG0001388	JC_03594-RA, JC_03593-RA	XP_026493628.1
OG0001389	JC_08724-RA, JC_08723-RA	XP_026484291.1, XP_026484292.1, XP_026484293.1
OG0001390	JC_03722-RA	XP_026489873.1
OG0001391	JC_09793-RA, JC_09791-RA	XP_026501310.1
OG0001392	JC_14465-RA	XP_026483265.1, XP_026483266.1
OG0001393	JC_04924-RA	XP_026499479.1
OG0001393	JC_04523-RA	XP_026499471.1
OG0001394	JC_05471-RA, JC_05475-RA	XP_026496216.1
OG0001395	JC_14160-RA	XP_026499543.1
OG0001396	JC_16042-RA	XP_026490573.1, XP_026490574.1
OG0001397	JC_17224-RA	XP_026498951.1
OG0001399	JC_16304-RA	XP_026483441.1
OG0001399	JC_16303-RA	XP_026483580.1
OG0001400	JC_12524-RA	XP_026494291.1
OG0001401	JC_06187-RA	XP_026498501.1
OG0001402	JC_12244-RA	XP_026494172.1
OG0001405	JC_14838-RA	XP_026498773.1
OG0001406	JC_07508-RA, JC_07509-RA	XP_026492204.1
OG0001407	JC_16365-RA	XP_026483547.1
OG0001408	JC_16671-RA	XP_026495804.1
OG0001409	JC_03509-RA	XP_026498953.1
OG0001410	JC_12483-RA	XP_026494212.1
OG0001411	JC_03507-RA	XP_026498956.1, XP_026498954.1, XP_026498955.1
OG0001412	JC_10722-RA	XP_026495658.1
OG0001413	JC_09659-RA	XP_026500441.1, XP_026500432.1, XP_026500422.1
OG0001414	JC_17083-RA	XP_026494123.1
OG0001415	JC_04383-RA	XP_026490122.1
OG0001416	JC_16472-RA, JC_16469-RA	XP_026483305.1
OG0001416	JC_16470-RA	XP_026501240.1
OG0001417	JC_10153-RA	XP_026492970.1
OG0001418	JC_01476-RA	XP_026497912.1
OG0001419	JC_01471-RA	XP_026497922.1
OG0001420	JC_08062-RA	XP_026487872.1, XP_026487865.1
OG0001421	JC_12853-RA	XP_026500098.1
OG0001422	JC_14008-RA	XP_026490363.1
OG0001423	JC_06382-RA	XP_026485603.1
OG0001424	JC_02249-RA, JC_02251-RA	XP_026500442.1
OG0001426	JC_12134-RA	XP_026498319.1, XP_026500133.1
OG0001427	JC_09592-RA, JC_09591-RA, JC_09590-RA	XP_026500290.1
OG0001428	JC_02244-RA	XP_026500310.1, XP_026500311.1, XP_026500312.1
OG0001429	JC_02508-RA	XP_026491251.1
OG0001430	JC_13093-RA	XP_026497290.1
OG0001431	JC_15950-RA	XP_026483633.1, XP_026483637.1, XP_026483635.1, XP_026483634.1
OG0001432	JC_01948-RA, JC_01949-RA	XP_026500306.1, XP_026500307.1
OG0001433	JC_13570-RA, JC_13562-RA	XP_026497749.1
OG0001434	JC_10120-RA	XP_026491379.1
OG0001435	JC_03834-RA	XP_026494917.1, XP_026494916.1
OG0001436	JC_15948-RA	XP_026483660.1
OG0001437	JC_09566-RA	XP_026484373.1, XP_026484363.1
OG0001438	JC_04097-RA, JC_04095-RA, JC_04098-RA	XP_026494987.1
OG0001439	JC_04581-RA	XP_026486195.1
OG0001440	JC_12763-RA	XP_026491008.1
OG0001441	JC_03432-RA	XP_026488190.1, XP_026488189.1
OG0001442	JC_07446-RA	XP_026492340.1
OG0001443	JC_01375-RA, JC_01386-RA	XP_026497872.1
OG0001445	JC_16997-RA	XP_026489425.1
OG0001446	JC_06972-RA, JC_06973-RA	XP_026499141.1
OG0001447	JC_04628-RA	XP_026486202.1, XP_026486203.1, XP_026486201.1, XP_026486206.1
OG0001448	JC_13061-RA	XP_026497562.1
OG0001449	JC_09535-RA	XP_026483204.1
OG0001450	JC_10074-RA	XP_026493801.1
OG0001451	JC_03436-RA	XP_026488205.1, XP_026488203.1
OG0001452	JC_10058-RA	XP_026493544.1
OG0001453	JC_16904-RA	XP_026489368.1
OG0001454	JC_13046-RA	XP_026497595.1
OG0001455	JC_02553-RA, JC_02552-RA	XP_026491445.1
OG0001456	JC_06948-RA	XP_026499115.1
OG0001457	JC_00602-RA	XP_026484568.1, XP_026484566.1, XP_026484567.1
OG0001458	JC_06947-RA	XP_026499124.1
OG0001459	JC_06944-RA	XP_026499155.1, XP_026499156.1, XP_026499154.1
OG0001460	JC_02010-RA	XP_026498002.1
OG0001461	JC_16506-RA, JC_16505-RA, JC_16504-RA	XP_026487095.1
OG0001462	JC_09519-RA	XP_026483899.1
OG0001463	JC_10674-RA	XP_026495888.1
OG0001464	JC_03881-RA	XP_026495267.1, XP_026495264.1, XP_026495266.1, XP_026495265.1
OG0001465	JC_10679-RA	XP_026495641.1
OG0001467	JC_15866-RA	XP_026483696.1
OG0001468	JC_13959-RA	XP_026491839.1
OG0001469	JC_10688-RA	XP_026495820.1
OG0001470	JC_07040-RA	XP_026486942.1
OG0001471	JC_02583-RA	XP_026491390.1, XP_026491391.1
OG0001472	JC_09506-RA	XP_026496951.1, XP_026497714.1, XP_026496176.1
OG0001473	JC_16929-RA, JC_16930-RA	XP_026488630.1
OG0001474	JC_15883-RA	XP_026483665.1, XP_026483664.1, XP_026483666.1
OG0001475	JC_13942-RA	XP_026496104.1, XP_026496103.1, XP_026496105.1
OG0001476	JC_15884-RA	XP_026483800.1, XP_026483799.1
OG0001478	JC_04664-RA	XP_026485906.1
OG0001479	JC_01131-RA	XP_026494781.1
OG0001480	JC_10826-RA	XP_026495826.1
OG0001481	JC_12315-RA	XP_026489676.1
OG0001482	JC_14287-RA	XP_026497641.1
OG0001482	JC_14288-RA	XP_026497652.1
OG0001483	JC_00567-RA	XP_026484399.1, XP_026484397.1, XP_026484398.1
OG0001484	JC_11468-RA	XP_026498026.1
OG0001486	JC_06467-RA	XP_026485427.1, XP_026485426.1
OG0001487	JC_09482-RA	XP_026483216.1
OG0001488	JC_14801-RA	XP_026498751.1
OG0001489	JC_14226-RA, JC_03240-RA	XP_026494441.1
OG0001490	JC_15721-RA	XP_026486742.1, XP_026486744.1, XP_026486743.1
OG0001492	JC_02060-RA	XP_026489643.1, XP_026489634.1
OG0001493	JC_11666-RA	XP_026488993.1, XP_026488992.1, XP_026488862.1
