Orthogroup	Junonia_coenia	Pararge_aegeria
OG0000956	JC_14216-RA	XP_039746090.1
OG0000957	JC_12338-RA, JC_12340-RA	XP_039757546.1
OG0000958	JC_16822-RA, JC_16826-RA	XP_039762081.1, XP_039762079.1
OG0000959	JC_15729-RA	XP_039761109.1
OG0000960	JC_11176-RA, JC_11175-RA	XP_039757024.1
OG0000961	JC_09451-RA	XP_039750992.1
OG0000964	JC_12158-RA, JC_12098-RA, JC_12130-RA	XP_039752798.1
OG0000965	JC_14680-RA	XP_039760576.1, XP_039760577.1, XP_039760575.1
OG0000966	JC_12124-RA, JC_12123-RA	XP_039752654.1, XP_039752652.1, XP_039752653.1, XP_039752649.1, XP_039752650.1
OG0000968	JC_15304-RA	XP_039761590.1, XP_039761591.1
OG0000969	JC_14709-RA, JC_14711-RA	XP_039760701.1
OG0000970	JC_08841-RA	XP_039749660.1
OG0000971	JC_09871-RA	XP_039759123.1
OG0000972	JC_12567-RA	XP_039757820.1
OG0000973	JC_13726-RA	XP_039747238.1
OG0000974	JC_03304-RA	XP_039753931.1
OG0000975	JC_07557-RA	XP_039753698.1, XP_039753697.1, XP_039753699.1
OG0000977	JC_05282-RA, JC_04591-RA, JC_05285-RA, JC_05287-RA	XP_039754600.1
OG0000978	JC_15344-RA	XP_039761381.1
OG0000979	JC_05033-RA, JC_07554-RA	XP_039753658.1
OG0000980	JC_14740-RA, JC_14739-RA, JC_14738-RA, JC_14741-RA	XP_039760458.1, XP_039760456.1
OG0000981	JC_11973-RA	XP_039751940.1, XP_039751939.1
OG0000982	JC_08317-RA	XP_039763796.1
OG0000983	JC_05254-RA, JC_05255-RA, JC_05253-RA	XP_039754900.1
OG0000984	JC_11637-RA	XP_039751795.1
OG0000985	JC_05252-RA	XP_039754859.1, XP_039754858.1, XP_039754860.1
OG0000986	JC_01817-RA	XP_039764046.1
OG0000986	JC_10896-RA	XP_039756710.1
OG0000987	JC_02160-RA	XP_039764164.1
OG0000988	JC_08341-RA	XP_039764869.1
OG0000989	JC_12292-RA	XP_039757481.1
OG0000990	JC_07678-RA	XP_039753201.1
OG0000991	JC_14778-RA, JC_14674-RA, JC_14777-RA	XP_039760877.1, XP_039760876.1
OG0000992	JC_12010-RA	XP_039751787.1
OG0000993	JC_13273-RA	XP_039759828.1
OG0000994	JC_13758-RA, JC_13760-RA	XP_039748066.1
OG0000995	JC_07108-RA	XP_039755582.1
OG0000996	JC_02940-RA	XP_039746100.1
OG0000997	JC_04855-RA, JC_09065-RA, JC_04856-RA	XP_039749043.1
OG0000998	JC_10395-RA	XP_039758941.1
OG0000999	JC_13784-RA	XP_039747732.1, XP_039747730.1, XP_039747731.1
OG0001000	JC_05220-RA	XP_039754947.1, XP_039755208.1
OG0001002	JC_12081-RA	XP_039752439.1
OG0001002	JC_11783-RA	XP_039752527.1
OG0001003	JC_15483-RA, JC_15475-RA, JC_15474-RA	XP_039761587.1, XP_039761794.1
OG0001004	JC_08434-RA	XP_039765121.1
OG0001004	JC_08433-RA, JC_08432-RA	XP_039765120.1
OG0001005	JC_09030-RA	XP_039749463.1, XP_039749462.1
OG0001007	JC_17241-RA, JC_11004-RA, JC_17240-RA, JC_11005-RA	XP_039756579.1
OG0001008	JC_09289-RA	XP_039751354.1, XP_039751456.1
OG0001009	JC_11058-RA	XP_039757155.1
OG0001010	JC_03115-RA, JC_03116-RA, JC_03117-RA, JC_03114-RA, JC_03113-RA	XP_039754544.1, XP_039754528.1
OG0001011	JC_11015-RA, JC_11014-RA	XP_039756390.1, XP_039756389.1
OG0001012	JC_04983-RA	XP_039748770.1, XP_039748767.1, XP_039748769.1, XP_039748768.1, XP_039748614.1
OG0001013	JC_00860-RA, JC_00859-RA	XP_039754576.1
OG0001014	JC_09107-RA, JC_09106-RA, JC_09105-RA	XP_039749849.1
OG0001015	JC_11842-RA	XP_039752473.1, XP_039752472.1
OG0001016	JC_09108-RA	XP_039749964.1
OG0001017	JC_08527-RA	XP_039765278.1
OG0001018	JC_09123-RA, JC_09124-RA	XP_039749580.1
OG0001019	JC_06551-RA, JC_06550-RA	XP_039750332.1
OG0001020	JC_03031-RA	XP_039754363.1
OG0001021	JC_07896-RA, JC_07895-RA	XP_039753709.1, XP_039753654.1
OG0001022	JC_13443-RA, JC_13442-RA, JC_13444-RA	XP_039746318.1
OG0001023	JC_08620-RA, JC_08614-RA	XP_039764934.1, XP_039764936.1
OG0001024	JC_00085-RA, JC_00084-RA	XP_039745112.1
OG0001025	JC_13404-RA, JC_13402-RA, JC_13403-RA	XP_039765210.1, XP_039765226.1, XP_039765234.1, XP_039765218.1
OG0001026	JC_02984-RA, JC_02983-RA	XP_039753766.1, XP_039753765.1
OG0001027	JC_16775-RA, JC_15481-RA, JC_03566-RA, JC_11702-RA, JC_00034-RA, JC_00028-RA, JC_00030-RA, JC_00032-RA, JC_00035-RA	XP_039765336.1
OG0001028	JC_04253-RA, JC_04252-RA	XP_039746510.1
OG0001029	JC_08547-RA, JC_08549-RA	XP_039764574.1
OG0001030	JC_08543-RA, JC_08541-RA, JC_08542-RA	XP_039764976.1
OG0001031	JC_08536-RA	XP_039764781.1
OG0001031	JC_10791-RA	XP_039756485.1
OG0001032	JC_01040-RA	XP_039751828.1
OG0001033	JC_14729-RA, JC_16465-RA	XP_039763046.1
OG0001034	JC_15399-RA, JC_15401-RA	XP_039761481.1
OG0001035	JC_03627-RA, JC_03628-RA	XP_039754056.1
OG0001036	JC_08637-RA, JC_08636-RA, JC_08635-RA	XP_039764632.1
OG0001037	JC_00755-RA	XP_039765799.1, XP_039765798.1
OG0001040	JC_17243-RA, JC_14453-RA, JC_17000-RA	XP_039762084.1, XP_039759190.1, XP_039764371.1, XP_039757730.1, XP_039759952.1, XP_039761846.1, XP_039751814.1, XP_039750694.1, XP_039751910.1, XP_039761942.1
OG0001041	JC_15068-RA, JC_15404-RA	XP_039763940.1
OG0001041	JC_11595-RA	XP_039763613.1
OG0001041	JC_09090-RA, JC_00928-RA	XP_039754637.1, XP_039755765.1, XP_039758822.1
OG0001043	JC_05684-RA	XP_039758475.1
OG0001044	JC_02460-RA	XP_039745995.1
OG0001045	JC_05593-RA, JC_05591-RA, JC_05590-RA	XP_039755141.1, XP_039755140.1
OG0001046	JC_03518-RA, JC_03519-RA	XP_039753862.1
OG0001047	JC_06324-RA	XP_039750240.1
OG0001048	JC_16446-RA	XP_039760757.1, XP_039760756.1, XP_039760755.1
OG0001049	JC_16790-RA	XP_039762984.1
OG0001050	JC_15059-RA, JC_15056-RA	XP_039760815.1
OG0001051	JC_05651-RA	XP_039758281.1
OG0001052	JC_16083-RA	XP_039756632.1
OG0001053	JC_01620-RA	XP_039761258.1
OG0001054	JC_01990-RA	XP_039762574.1, XP_039762575.1, XP_039762573.1
OG0001055	JC_00726-RA	XP_039765672.1, XP_039765671.1
OG0001056	JC_07905-RA	XP_039753665.1
OG0001057	JC_16692-RA	XP_039762920.1, XP_039762755.1, XP_039762756.1, XP_039762754.1, XP_039762753.1
OG0001058	JC_16233-RA	XP_039752794.1
OG0001059	JC_13023-RA, JC_13022-RA, JC_13021-RA	XP_039759935.1
OG0001060	JC_15044-RA	XP_039760730.1
OG0001061	JC_03552-RA, JC_03551-RA	XP_039754585.1
OG0001063	JC_15712-RA	XP_039761301.1
OG0001063	JC_13010-RA	XP_039760352.1
OG0001064	JC_10499-RA	XP_039756272.1
OG0001065	JC_05661-RA	XP_039758762.1, XP_039758761.1
OG0001066	JC_15195-RA	XP_039761693.1, XP_039761691.1, XP_039761692.1
OG0001067	JC_16721-RA	XP_039762796.1
OG0001068	JC_03666-RA, JC_03665-RA	XP_039747204.1
OG0001069	JC_00735-RA	XP_039765699.1, XP_039765700.1
OG0001070	JC_06773-RA	XP_039755926.1
OG0001071	JC_16156-RA	XP_039752182.1
OG0001072	JC_05668-RA, JC_05671-RA, JC_05670-RA	XP_039758857.1, XP_039758859.1
OG0001073	JC_07965-RA	XP_039764886.1
OG0001075	JC_12426-RA, JC_12429-RA	XP_039757890.1
OG0001076	JC_03083-RA	XP_039762226.1
OG0001077	JC_17068-RA	XP_039762225.1
OG0001080	JC_06801-RA	XP_039755845.1
OG0001080	JC_06800-RA	XP_039755850.1
OG0001081	JC_10315-RA	XP_039759426.1
OG0001083	JC_11429-RA	XP_039757400.1
OG0001084	JC_16259-RA, JC_16257-RA	XP_039752463.1
OG0001085	JC_16623-RA, JC_16621-RA	XP_039762739.1
OG0001086	JC_12975-RA, JC_12974-RA, JC_12973-RA	XP_039760008.1
OG0001087	JC_01553-RA	XP_039756229.1, XP_039756219.1, XP_039756237.1
OG0001088	JC_03629-RA	XP_039754462.1
OG0001089	JC_03703-RA	XP_039746900.1
OG0001090	JC_06822-RA	XP_039755358.1, XP_039755356.1, XP_039755355.1, XP_039755357.1
OG0001091	JC_07978-RA, JC_07977-RA, JC_07976-RA	XP_039764844.1
OG0001092	JC_06006-RA	XP_039758458.1
OG0001092	JC_03708-RA	XP_039747273.1
OG0001094	JC_05633-RA	XP_039758307.1
OG0001095	JC_08721-RA	XP_039752090.1, XP_039764412.1, XP_039750717.1
OG0001097	JC_03942-RA	XP_039761870.1
OG0001098	JC_10872-RA, JC_10595-RA	XP_039756744.1, XP_039756743.1, XP_039756745.1
OG0001099	JC_12950-RA	XP_039759895.1
OG0001101	JC_16038-RA	XP_039747938.1
OG0001102	JC_12391-RA	XP_039757678.1
OG0001103	JC_06167-RA	XP_039750575.1, XP_039750572.1, XP_039750574.1, XP_039750576.1, XP_039750573.1
OG0001104	JC_17031-RA, JC_17032-RA	XP_039762278.1
OG0001105	JC_09802-RA, JC_09801-RA	XP_039751585.1
OG0001106	JC_16759-RA	XP_039762714.1
OG0001107	JC_11911-RA	XP_039752036.1
OG0001108	JC_16592-RA	XP_039762913.1, XP_039762912.1
OG0001109	JC_07431-RA, JC_07433-RA	XP_039753372.1
OG0001110	JC_11016-RA	XP_039756568.1, XP_039756567.1
OG0001111	JC_08736-RA	XP_039749630.1, XP_039749631.1
OG0001112	JC_16403-RA	XP_039752151.1
OG0001114	JC_11578-RA, JC_11577-RA	XP_039745914.1
OG0001115	JC_12906-RA	XP_039760170.1, XP_039760171.1, XP_039760172.1, XP_039760173.1
OG0001116	JC_14410-RA	XP_039746563.1
OG0001117	JC_16895-RA	XP_039761899.1
OG0001117	JC_16896-RA	XP_039761898.1
OG0001118	JC_04397-RA	XP_039749044.1
OG0001120	JC_12457-RA	XP_039757913.1
OG0001121	JC_14987-RA	XP_039760722.1
OG0001122	JC_16464-RA	XP_039762675.1
OG0001123	JC_11357-RA	XP_039757238.1
OG0001124	JC_11353-RA	XP_039757382.1
OG0001125	JC_08066-RA	XP_039764485.1
OG0001126	JC_00659-RA, JC_00658-RA	XP_039745464.1
OG0001127	JC_01444-RA	XP_039755992.1
OG0001127	JC_01445-RA	XP_039759175.1
OG0001128	JC_07470-RA	XP_039753249.1
OG0001129	JC_10713-RA	XP_039756099.1, XP_039756101.1, XP_039756102.1
OG0001130	JC_15008-RA	XP_039760462.1, XP_039760463.1
OG0001131	JC_13104-RA	XP_039760017.1, XP_039760015.1, XP_039760016.1
OG0001132	JC_04562-RA	XP_039749329.1
OG0001133	JC_03810-RA	XP_039746564.1
OG0001134	JC_08094-RA	XP_039765152.1
OG0001135	JC_14345-RA	XP_039756801.1, XP_039764222.1, XP_039749030.1
OG0001136	JC_10634-RA	XP_039756609.1
OG0001137	JC_03823-RA, JC_03822-RA	XP_039746792.1, XP_039746791.1
OG0001139	JC_04574-RA, JC_04573-RA, JC_04575-RA	XP_039748929.1
OG0001140	JC_15676-RA	XP_039761374.1, XP_039761375.1, XP_039761373.1, XP_039761376.1
OG0001141	JC_13986-RA, JC_13984-RA	XP_039748474.1, XP_039748473.1
OG0001142	JC_03318-RA, JC_03317-RA	XP_039753991.1, XP_039753992.1, XP_039753988.1, XP_039753990.1, XP_039753989.1
OG0001143	JC_03840-RA	XP_039747359.1
OG0001144	JC_04576-RA, JC_02778-RA	XP_039748936.1, XP_039748933.1, XP_039748934.1, XP_039748932.1
OG0001145	JC_13088-RA	XP_039759971.1
OG0001146	JC_16950-RA	XP_039762186.1
OG0001147	JC_17234-RA	XP_039762264.1
OG0001148	JC_07445-RA	XP_039753446.1
OG0001149	JC_07197-RA	XP_039755646.1
OG0001150	JC_04616-RA	XP_039749202.1
OG0001151	JC_04621-RA	XP_039748721.1, XP_039748720.1
OG0001152	JC_02528-RA	XP_039745819.1
OG0001153	JC_14315-RA	XP_039746385.1, XP_039746392.1
OG0001154	JC_12731-RA	XP_039757866.1
OG0001155	JC_09896-RA, JC_06742-RA, JC_09897-RA	XP_039764263.1, XP_039760617.1
OG0001156	JC_01993-RA	XP_039763179.1
OG0001157	JC_14254-RA, JC_14253-RA	XP_039748687.1, XP_039748679.1
OG0001158	JC_12723-RA, JC_12720-RA	XP_039757715.1
OG0001160	JC_14263-RA	XP_039748368.1
OG0001161	JC_16508-RA, JC_16507-RA, JC_16510-RA	XP_039762494.1
OG0001162	JC_10039-RA	XP_039759069.1
OG0001163	JC_14269-RA	XP_039764800.1
OG0001164	JC_14272-RA	XP_039760263.1
OG0001165	JC_08201-RA	XP_039764707.1, XP_039764711.1, XP_039764708.1, XP_039764710.1, XP_039764709.1
OG0001166	JC_02598-RA	XP_039746170.1
OG0001166	JC_02595-RA	XP_039746026.1
OG0001167	JC_02601-RA	XP_039746062.1
OG0001168	JC_12310-RA	XP_039758149.1, XP_039758147.1, XP_039758159.1
OG0001169	JC_15889-RA, JC_15888-RA, JC_15891-RA	XP_039748048.1
OG0001170	JC_06446-RA, JC_06447-RA, JC_06449-RA	XP_039750305.1
OG0001171	JC_05982-RA, JC_05985-RA	XP_039758529.1
OG0001172	JC_13167-RA	XP_039759726.1
OG0001173	JC_14815-RA, JC_14814-RA	XP_039760853.1, XP_039760698.1
OG0001174	JC_11457-RA	XP_039756950.1
OG0001175	JC_12324-RA, JC_12326-RA	XP_039757468.1
OG0001178	JC_14797-RA	XP_039760543.1
OG0001180	JC_00530-RA, JC_17217-RA	XP_039765649.1
OG0001181	JC_14207-RA	XP_039749252.1, XP_039749229.1, XP_039749245.1, XP_039749238.1, XP_039749232.1
OG0001182	JC_05753-RA	XP_039747992.1, XP_039747993.1, XP_039747991.1, XP_039747994.1
OG0001183	JC_05343-RA	XP_039755153.1, XP_039755150.1, XP_039755152.1, XP_039755151.1
OG0001186	JC_01173-RA	XP_039757156.1
OG0001187	JC_05334-RA, JC_05336-RA, JC_05335-RA	XP_039755226.1
OG0001188	JC_07164-RA	XP_039755460.1, XP_039755459.1, XP_039755461.1
OG0001189	JC_10763-RA, JC_10764-RA	XP_039756674.1, XP_039756458.1
OG0001190	JC_03002-RA, JC_03003-RA	XP_039750038.1
OG0001191	JC_12127-RA, JC_12129-RA	XP_039752261.1, XP_039752260.1
OG0001192	JC_00506-RA, JC_00505-RA	XP_039765376.1
OG0001193	JC_15774-RA	XP_039761362.1
OG0001194	JC_13215-RA	XP_039759801.1
OG0001195	JC_13833-RA, JC_05933-RA	XP_039757043.1, XP_039758831.1
OG0001196	JC_04059-RA	XP_039746624.1, XP_039746626.1
OG0001197	JC_01213-RA	XP_039760466.1, XP_039760475.1, XP_039760457.1, XP_039760448.1
OG0001198	JC_10841-RA	XP_039756248.1
OG0001199	JC_10843-RA	XP_039756292.1, XP_039756293.1
OG0001200	JC_05915-RA	XP_039758516.1
OG0001200	JC_05916-RA	XP_039758729.1
OG0001201	JC_01228-RA	XP_039760768.1
OG0001202	JC_12031-RA	XP_039752390.1
OG0001203	JC_13823-RA	XP_039748184.1
OG0001204	JC_15314-RA, JC_15315-RA	XP_039761775.1
OG0001205	JC_07141-RA	XP_039755861.1
OG0001206	JC_08309-RA, JC_08310-RA	XP_039764497.1
OG0001207	JC_04108-RA	XP_039747396.1, XP_039747394.1, XP_039747398.1, XP_039747397.1
OG0001208	JC_02712-RA, JC_02715-RA	XP_039745569.1
OG0001209	JC_01256-RA, JC_01257-RA	XP_039752005.1
OG0001210	JC_03274-RA, JC_03273-RA	XP_039754540.1
OG0001211	JC_12285-RA	XP_039757924.1
OG0001212	JC_07543-RA, JC_07542-RA	XP_039752867.1
OG0001213	JC_03260-RA	XP_039754230.1
OG0001213	JC_03261-RA	XP_039754088.1
OG0001214	JC_13262-RA	XP_039759923.1
OG0001215	JC_14765-RA	XP_039760558.1
OG0001216	JC_07681-RA	XP_039752941.1, XP_039752942.1, XP_039752943.1
OG0001217	JC_15240-RA	XP_039761720.1
OG0001219	JC_00372-RA	XP_039765520.1, XP_039765521.1
OG0001219	JC_00371-RA	XP_039765519.1
OG0001220	JC_12012-RA	XP_039752289.1, XP_039752288.1
OG0001221	JC_11262-RA	XP_039756896.1, XP_039756894.1, XP_039756895.1, XP_039756897.1
OG0001222	JC_05225-RA	XP_039755047.1, XP_039755048.1
OG0001223	JC_00378-RA	XP_039745265.1
OG0001223	JC_00380-RA	XP_039745268.1
OG0001224	JC_10407-RA	XP_039759111.1, XP_039759110.1
OG0001225	JC_10404-RA, JC_10403-RA	XP_039758966.1
OG0001226	JC_00419-RA, JC_00413-RA	XP_039745451.1
OG0001227	JC_07717-RA, JC_07718-RA	XP_039753703.1
OG0001228	JC_12648-RA, JC_12646-RA	XP_039758035.1
OG0001229	JC_10382-RA	XP_039759516.1
OG0001229	JC_10381-RA	XP_039759517.1
OG0001230	JC_13793-RA	XP_039748397.1
OG0001231	JC_03219-RA	XP_039754571.1
OG0001232	JC_10953-RA	XP_039756239.1
OG0001232	JC_10954-RA	XP_039756158.1
OG0001233	JC_13797-RA	XP_039747865.1
OG0001234	JC_08403-RA	XP_039763237.1, XP_039763229.1, XP_039763246.1
OG0001235	JC_07013-RA, JC_07014-RA, JC_07012-RA	XP_039755627.1
OG0001236	JC_07022-RA, JC_07020-RA, JC_07021-RA, JC_07024-RA	XP_039755518.1
OG0001237	JC_00286-RA, JC_00287-RA	XP_039745522.1
OG0001238	JC_13559-RA, JC_13558-RA, JC_13560-RA, JC_13561-RA	XP_039745650.1
OG0001239	JC_13556-RA	XP_039756106.1
OG0001240	JC_01075-RA, JC_01076-RA	XP_039761637.1, XP_039761645.1
OG0001241	JC_00273-RA	XP_039765932.1, XP_039765933.1, XP_039765931.1
OG0001242	JC_08470-RA, JC_08469-RA, JC_08468-RA, JC_08467-RA	XP_039765023.1, XP_039764508.1
OG0001243	JC_11759-RA	XP_039752566.1, XP_039752568.1, XP_039752567.1, XP_039752565.1, XP_039752564.1
OG0001244	JC_07207-RA	XP_039755786.1
OG0001245	JC_05840-RA	XP_039758882.1, XP_039758790.1
OG0001246	JC_07792-RA, JC_07793-RA	XP_039753023.1
OG0001247	JC_13533-RA	XP_039765291.1, XP_039765290.1
OG0001248	JC_06598-RA, JC_06602-RA, JC_06601-RA, JC_06600-RA, JC_06599-RA	XP_039750865.1
OG0001249	JC_10425-RA	XP_039759479.1, XP_039759480.1
OG0001250	JC_04958-RA	XP_039748881.1, XP_039748880.1, XP_039748882.1, XP_039748879.1
OG0001251	JC_07803-RA	XP_039753419.1
OG0001252	JC_17076-RA	XP_039760674.1, XP_039760672.1, XP_039760670.1, XP_039760673.1, XP_039760671.1
OG0001253	JC_08492-RA	XP_039765005.1, XP_039765007.1, XP_039765006.1
OG0001254	JC_10411-RA, JC_10413-RA, JC_10414-RA	XP_039759700.1
OG0001255	JC_01811-RA	XP_039764212.1, XP_039764210.1, XP_039764209.1, XP_039764125.1, XP_039764211.1
OG0001256	JC_09235-RA	XP_039751510.1
OG0001257	JC_11013-RA	XP_039756440.1, XP_039756441.1, XP_039756439.1
OG0001258	JC_11836-RA	XP_039751812.1, XP_039752329.1
OG0001259	JC_00862-RA	XP_039755100.1
OG0001260	JC_11841-RA	XP_039752117.1
OG0001261	JC_09212-RA	XP_039751686.1
OG0001261	JC_09211-RA	XP_039751599.1
OG0001262	JC_02836-RA	XP_039745751.1, XP_039745753.1, XP_039745752.1
OG0001263	JC_03054-RA, JC_03053-RA	XP_039754448.1
OG0001264	JC_13467-RA	XP_039745121.1, XP_039745128.1
OG0001265	JC_00126-RA, JC_00125-RA, JC_00127-RA	XP_039765310.1
OG0001266	JC_13455-RA	XP_039758691.1
OG0001267	JC_13453-RA	XP_039749889.1
OG0001269	JC_00930-RA, JC_00931-RA	XP_039751731.1, XP_039751734.1
OG0001270	JC_00104-RA, JC_00103-RA	XP_039765549.1
OG0001271	JC_03009-RA, JC_03013-RA, JC_03014-RA, JC_03012-RA	XP_039753870.1
OG0001272	JC_13421-RA	XP_039748973.1, XP_039748965.1, XP_039748982.1, XP_039748956.1
OG0001273	JC_00953-RA	XP_039760790.1
OG0001274	JC_00087-RA	XP_039765381.1, XP_039765382.1, XP_039765383.1
OG0001275	JC_13407-RA	XP_039749416.1
OG0001276	JC_08593-RA	XP_039764526.1
OG0001278	JC_02783-RA	XP_039746076.1
OG0001279	JC_01683-RA	XP_039763979.1, XP_039764123.1, XP_039763960.1
OG0001280	JC_11623-RA	XP_039752478.1, XP_039752480.1, XP_039752481.1, XP_039752479.1
OG0001281	JC_08560-RA	XP_039764883.1, XP_039764521.1
OG0001282	JC_13356-RA	XP_039765967.1, XP_039765952.1
OG0001283	JC_13349-RA	XP_039748416.1
OG0001284	JC_13348-RA	XP_039750030.1
OG0001285	JC_01769-RA	XP_039763845.1, XP_039763844.1
OG0001286	JC_05147-RA	XP_039755132.1
OG0001287	JC_16638-RA, JC_16637-RA	XP_039763056.1, XP_039762837.1, XP_039764278.1, XP_039763058.1, XP_039764260.1, XP_039764251.1
OG0001289	JC_03576-RA	XP_039754073.1, XP_039754182.1, XP_039754181.1, XP_039754180.1, XP_039753961.1, XP_039754072.1, XP_039753962.1, XP_039754183.1, XP_039754074.1, XP_039754075.1
OG0001290	JC_08138-RA	XP_039755814.1, XP_039765281.1, XP_039762532.1, XP_039763642.1, XP_039763695.1
OG0001290	JC_14081-RA, JC_02959-RA	XP_039755212.1, XP_039763120.1
OG0001291	JC_02318-RA	XP_039745970.1, XP_039745971.1
OG0001293	JC_06171-RA	XP_039750857.1, XP_039750875.1
OG0001302	JC_17054-RA	XP_039762312.1, XP_039762311.1
OG0001303	JC_11476-RA	XP_039757077.1
OG0001304	JC_11477-RA	XP_039756811.1
OG0001305	JC_04416-RA	XP_039748578.1, XP_039748577.1
OG0001306	JC_05232-RA	XP_039755005.1
OG0001307	JC_06337-RA	XP_039750247.1, XP_039750248.1, XP_039750246.1
OG0001308	JC_13129-RA	XP_039760230.1, XP_039760231.1
OG0001310	JC_17043-RA, JC_17044-RA	XP_039762097.1, XP_039762096.1
OG0001311	JC_07353-RA	XP_039753048.1
OG0001312	JC_16174-RA, JC_16173-RA	XP_039752818.1, XP_039752819.1
OG0001314	JC_12168-RA	XP_039758661.1
OG0001315	JC_14046-RA	XP_039747968.1, XP_039747965.1, XP_039747967.1, XP_039747966.1
OG0001318	JC_14970-RA, JC_14971-RA	XP_039760692.1
OG0001319	JC_08668-RA	XP_039749732.1, XP_039749729.1, XP_039749731.1
OG0001320	JC_06696-RA	XP_039755284.1
OG0001321	JC_16214-RA, JC_16215-RA	XP_039752455.1
OG0001322	JC_16216-RA	XP_039752091.1
OG0001324	JC_11487-RA	XP_039757034.1
OG0001325	JC_01899-RA	XP_039764004.1
OG0001326	JC_05575-RA	XP_039754919.1
OG0001326	JC_05577-RA, JC_05576-RA	XP_039755244.1
OG0001327	JC_14357-RA, JC_14356-RA	XP_039746704.1
OG0001330	JC_15053-RA, JC_15054-RA	XP_039760453.1
OG0001331	JC_11496-RA, JC_11497-RA	XP_039756943.1
OG0001333	JC_14052-RA	XP_039748485.1
OG0001334	JC_14614-RA	XP_039749199.1
OG0001335	JC_07325-RA	XP_039752912.1
OG0001337	JC_16227-RA	XP_039751837.1
OG0001338	JC_15892-RA	XP_039747851.1
OG0001339	JC_14061-RA	XP_039748053.1
OG0001341	JC_17161-RA	XP_039762446.1
OG0001342	JC_15547-RA	XP_039761208.1, XP_039761293.1
OG0001343	JC_13012-RA	XP_039759743.1
OG0001344	JC_16198-RA, JC_16197-RA	XP_039752802.1
OG0001345	JC_00712-RA	XP_039765421.1, XP_039765420.1, XP_039765419.1
OG0001346	JC_07946-RA, JC_07944-RA	XP_039764683.1
OG0001347	JC_06765-RA	XP_039755741.1
OG0001349	JC_15032-RA	XP_039760519.1
OG0001350	JC_14670-RA	XP_039760580.1, XP_039760581.1
OG0001352	JC_12799-RA	XP_039758109.1, XP_039758111.1, XP_039758110.1, XP_039758108.1
OG0001353	JC_17095-RA	XP_039762354.1, XP_039762353.1, XP_039762352.1
OG0001354	JC_17103-RA	XP_039762402.1
OG0001355	JC_12726-RA, JC_12728-RA, JC_12730-RA, JC_12729-RA	XP_039757908.1, XP_039758027.1
OG0001356	JC_10364-RA, JC_10365-RA	XP_039759321.1
OG0001358	JC_00760-RA	XP_039765536.1
OG0001360	JC_16243-RA, JC_16261-RA	XP_039752039.1, XP_039752041.1, XP_039752040.1
OG0001361	JC_02346-RA	XP_039746214.1, XP_039746097.1
OG0001362	JC_08689-RA, JC_08690-RA	XP_039749828.1
OG0001363	JC_14381-RA	XP_039746017.1
OG0001364	JC_15992-RA, JC_15991-RA	XP_039748200.1
OG0001365	JC_03688-RA	XP_039746915.1, XP_039746914.1
OG0001366	JC_02257-RA	XP_039763630.1, XP_039763628.1, XP_039763629.1
OG0001367	JC_00777-RA, JC_00780-RA, JC_00778-RA	XP_039745181.1
OG0001368	JC_02255-RA, JC_02254-RA	XP_039763088.1
OG0001368	JC_02256-RA	XP_039763625.1
OG0001369	JC_04492-RA, JC_04494-RA	XP_039749141.1
OG0001370	JC_14880-RA	XP_039760702.1
OG0001371	JC_08697-RA	XP_039749891.1
OG0001372	JC_10569-RA, JC_10571-RA	XP_039756711.1
OG0001373	JC_00698-RA	XP_039745437.1
OG0001374	JC_01549-RA	XP_039754894.1, XP_039754886.1, XP_039754879.1
OG0001376	JC_00797-RA	XP_039765362.1
OG0001376	JC_08023-RA	XP_039762308.1, XP_039762309.1
OG0001377	JC_14129-RA	XP_039748165.1
OG0001378	JC_13847-RA	XP_039748265.1
OG0001379	JC_17199-RA, JC_17198-RA	XP_039745331.1, XP_039745330.1
OG0001380	JC_02303-RA	XP_039764219.1
OG0001381	JC_17136-RA	XP_039761973.1
OG0001382	JC_10585-RA	XP_039756130.1
OG0001383	JC_02328-RA, JC_02329-RA	XP_039745946.1
OG0001385	JC_08717-RA, JC_08718-RA	XP_039749675.1
OG0001386	JC_03598-RA	XP_039754451.1
OG0001387	JC_03712-RA	XP_039747348.1, XP_039747347.1
OG0001388	JC_03594-RA, JC_03593-RA	XP_039754429.1
OG0001389	JC_08724-RA	XP_039749903.1
OG0001389	JC_08723-RA	XP_039749902.1
OG0001390	JC_03722-RA	XP_039747415.1
OG0001391	JC_09791-RA	XP_039751294.1
OG0001392	JC_14465-RA	XP_039747512.1
OG0001393	JC_04924-RA, JC_04527-RA, JC_04523-RA	XP_039749067.1
OG0001394	JC_05471-RA	XP_039754943.1
OG0001395	JC_14160-RA	XP_039748324.1
OG0001396	JC_16042-RA	XP_039748191.1
OG0001397	JC_16762-RA	XP_039762864.1
OG0001398	JC_14897-RA	XP_039760531.1
OG0001399	JC_16304-RA	XP_039752126.1
OG0001399	JC_16303-RA	XP_039752009.1
OG0001400	JC_12524-RA	XP_039757805.1, XP_039757807.1, XP_039757808.1, XP_039757806.1
OG0001401	JC_06187-RA	XP_039750656.1
OG0001402	JC_12244-RA	XP_039758144.1
OG0001405	JC_14838-RA	XP_039760744.1
OG0001406	JC_07508-RA, JC_07509-RA	XP_039753546.1, XP_039753545.1
OG0001407	JC_16366-RA	XP_039752299.1
