Orthogroup	Junonia_coenia	Bicyclus_anynana
OG0001133	JC_03810-RA	Bany_02837-RA
OG0001133	JC_10684-RA	Bany_14521-RA
OG0001134	JC_08094-RA	Bany_03654-RA
OG0001134	JC_08092-RA	Bany_03653-RA
OG0001135	JC_14345-RA	Bany_02107-RA
OG0001136	JC_10634-RA	Bany_14471-RA
OG0001137	JC_03823-RA	Bany_02853-RA
OG0001137	JC_03822-RA	Bany_02852-RA
OG0001139	JC_04574-RA, JC_04573-RA	Bany_10067-RA
OG0001139	JC_04575-RA	Bany_10068-RA
OG0001140	JC_15676-RA	Bany_17542-RA
OG0001141	JC_13984-RA	Bany_16646-RA
OG0001142	JC_03318-RA, JC_03317-RA	Bany_16323-RA, Bany_08294-RA
OG0001144	JC_04576-RA, JC_02778-RA	Bany_10070-RA
OG0001145	JC_13088-RA	Bany_17179-RA
OG0001146	JC_16950-RA	Bany_12811-RA
OG0001147	JC_17234-RA	Bany_12821-RA
OG0001148	JC_07445-RA	Bany_08841-RA
OG0001149	JC_07197-RA	Bany_13835-RA
OG0001150	JC_04616-RA	Bany_10098-RA
OG0001151	JC_04621-RA	Bany_10103-RA
OG0001152	JC_02528-RA	Bany_05400-RA
OG0001153	JC_14315-RA	Bany_02149-RA
OG0001154	JC_12731-RA	Bany_09576-RA
OG0001155	JC_09896-RA, JC_06742-RA, JC_09897-RA	Bany_13280-RA
OG0001156	JC_01993-RA	Bany_07377-RA
OG0001157	JC_14254-RA	Bany_02216-RA
OG0001157	JC_14253-RA	Bany_02160-RA
OG0001158	JC_12723-RA	Bany_09581-RA
OG0001160	JC_14262-RA	Bany_02170-RA
OG0001160	JC_14263-RA	Bany_02171-RA
OG0001161	JC_16508-RA, JC_16507-RA, JC_16510-RA	Bany_16410-RA
OG0001162	JC_10043-RA	Bany_11447-RA
OG0001162	JC_10039-RA	Bany_11451-RA, Bany_11445-RA
OG0001163	JC_14269-RA	Bany_02178-RA
OG0001164	JC_14272-RA	Bany_02184-RA
OG0001165	JC_08201-RA	Bany_03772-RA
OG0001166	JC_02598-RA	Bany_05465-RA
OG0001167	JC_02601-RA	Bany_05467-RA
OG0001168	JC_12310-RA	Bany_09615-RA, Bany_09603-RA
OG0001169	JC_15889-RA	Bany_06868-RA
OG0001169	JC_15888-RA	Bany_06867-RA
OG0001169	JC_15891-RA	Bany_06869-RA
OG0001170	JC_06446-RA, JC_06447-RA, JC_06449-RA	Bany_10881-RA
OG0001171	JC_05985-RA	Bany_15112-RA
OG0001172	JC_13167-RA	Bany_17243-RA
OG0001173	JC_14815-RA, JC_14814-RA	Bany_17975-RA, Bany_17974-RA
OG0001174	JC_11457-RA	Bany_13327-RA
OG0001175	JC_12324-RA	Bany_09620-RA
OG0001175	JC_12326-RA	Bany_09622-RA
OG0001176	JC_04691-RA, JC_04690-RA	Bany_10168-RA
OG0001178	JC_14797-RA	Bany_17994-RA
OG0001179	JC_08876-RA	Bany_12080-RA
OG0001180	JC_00530-RA	Bany_00395-RA
OG0001180	JC_17217-RA	Bany_04677-RA
OG0001181	JC_14207-RA	Bany_02236-RA
OG0001182	JC_05753-RA	Bany_06913-RA
OG0001183	JC_05343-RA	Bany_15729-RA
OG0001184	JC_10779-RA	Bany_14611-RA
OG0001185	JC_02129-RA	Bany_07498-RA
OG0001186	JC_01172-RA	Bany_04696-RA, Bany_04697-RA
OG0001186	JC_01173-RA	Bany_04700-RA
OG0001187	JC_05334-RA, JC_05336-RA, JC_05335-RA	Bany_15739-RA, Bany_15740-RA
OG0001188	JC_07164-RA	Bany_13968-RA
OG0001189	JC_10763-RA, JC_10764-RA	Bany_14621-RA, Bany_14620-RA
OG0001190	JC_03002-RA, JC_03003-RA	Bany_12118-RA
OG0001191	JC_12127-RA, JC_12129-RA	Bany_01326-RA
OG0001192	JC_00506-RA, JC_00505-RA	Bany_00425-RA
OG0001194	JC_13215-RA	Bany_17299-RA
OG0001195	JC_13833-RA, JC_05933-RA	Bany_13425-RA, Bany_15169-RA
OG0001196	JC_04059-RA	Bany_03067-RA, Bany_03069-RA
OG0001197	JC_01213-RA	Bany_04736-RA
OG0001198	JC_10841-RA	Bany_14642-RA
OG0001199	JC_10843-RA	Bany_14645-RA
OG0001200	JC_05915-RA, JC_05916-RA	Bany_15180-RA
OG0001201	JC_01228-RA	Bany_04752-RA
OG0001202	JC_12032-RA	Bany_01493-RA
OG0001202	JC_12031-RA	Bany_01491-RA, Bany_07859-RA, Bany_13411-RA, Bany_17683-RA, Bany_17302-RA
OG0001203	JC_13823-RA	Bany_16786-RA, Bany_16787-RA
OG0001204	JC_15315-RA	Bany_07001-RA
OG0001205	JC_07143-RA	Bany_13987-RA
OG0001205	JC_07141-RA	Bany_13988-RA
OG0001206	JC_08309-RA	Bany_03899-RA
OG0001207	JC_04108-RA	Bany_03104-RA
OG0001208	JC_02712-RA	Bany_05591-RA
OG0001208	JC_02715-RA	Bany_05596-RA
OG0001209	JC_01256-RA	Bany_04782-RA
OG0001209	JC_01257-RA	Bany_04783-RA
OG0001211	JC_12285-RA	Bany_09747-RA
OG0001212	JC_07543-RA, JC_07542-RA	Bany_09034-RA
OG0001213	JC_03261-RA	Bany_08359-RA
OG0001214	JC_13262-RA	Bany_17326-RA
OG0001215	JC_14765-RA	Bany_18097-RA
OG0001215	JC_14764-RA	Bany_18096-RA
OG0001216	JC_07681-RA	Bany_09059-RA
OG0001217	JC_15240-RA	Bany_07020-RA
OG0001218	JC_12295-RA	Bany_09760-RA
OG0001218	JC_12296-RA	Bany_09759-RA
OG0001219	JC_00372-RA	Bany_00539-RA
OG0001219	JC_00371-RA	Bany_00538-RA
OG0001220	JC_12012-RA	Bany_01472-RA
OG0001221	JC_11262-RA	Bany_13448-RA
OG0001222	JC_05225-RA	Bany_15852-RA, Bany_15850-RA
OG0001223	JC_00378-RA, JC_00380-RA	Bany_00546-RA
OG0001224	JC_10407-RA	Bany_11687-RA
OG0001225	JC_10403-RA	Bany_11689-RA
OG0001226	JC_00419-RA	Bany_00578-RA
OG0001227	JC_07717-RA, JC_07718-RA	Bany_09112-RA
OG0001228	JC_12648-RA	Bany_09795-RA
OG0001228	JC_12646-RA	Bany_09801-RA
OG0001229	JC_10382-RA	Bany_11709-RA
OG0001229	JC_10381-RA	Bany_11710-RA
OG0001230	JC_13793-RA	Bany_16865-RA
OG0001230	JC_13794-RA	Bany_16866-RA
OG0001231	JC_03219-RA	Bany_08397-RA
OG0001232	JC_10953-RA	Bany_14746-RA, Bany_14747-RA
OG0001233	JC_13799-RA	Bany_16873-RA
OG0001234	JC_08403-RA	Bany_03993-RA
OG0001235	JC_07013-RA	Bany_14085-RA
OG0001235	JC_07014-RA	Bany_14087-RA
OG0001235	JC_07012-RA	Bany_14084-RA
OG0001236	JC_07022-RA, JC_07020-RA, JC_07021-RA, JC_07024-RA	Bany_14091-RA
OG0001237	JC_00286-RA	Bany_00622-RA
OG0001237	JC_00287-RA	Bany_00621-RA
OG0001238	JC_13560-RA	Bany_02394-RA
OG0001239	JC_13556-RA	Bany_02396-RA
OG0001240	JC_01075-RA	Bany_04893-RA
OG0001240	JC_01076-RA	Bany_04895-RA, Bany_04894-RA
OG0001241	JC_00273-RA	Bany_00635-RA
OG0001242	JC_08470-RA, JC_08469-RA, JC_08468-RA, JC_08467-RA	Bany_04055-RA
OG0001243	JC_11759-RA	Bany_01574-RA
OG0001244	JC_07208-RA	Bany_14165-RA
OG0001244	JC_07207-RA	Bany_14164-RA
OG0001245	JC_05840-RA	Bany_15358-RA
OG0001246	JC_07792-RA, JC_07793-RA	Bany_09189-RA
OG0001247	JC_13533-RA	Bany_02426-RA
OG0001248	JC_06598-RA, JC_06602-RA, JC_06601-RA, JC_06600-RA, JC_06599-RA	Bany_11049-RA
OG0001249	JC_10425-RA	Bany_11804-RA
OG0001250	JC_04958-RA	Bany_10423-RA
OG0001251	JC_07803-RA	Bany_09202-RA
OG0001252	JC_17076-RA	Bany_14177-RA
OG0001253	JC_08491-RA	Bany_04087-RA
OG0001254	JC_10411-RA, JC_10413-RA, JC_10414-RA	Bany_11816-RA
OG0001255	JC_01811-RA	Bany_07729-RA
OG0001256	JC_09238-RA	Bany_06454-RA
OG0001256	JC_09235-RA	Bany_06457-RA
OG0001257	JC_11013-RA	Bany_14868-RA, Bany_14876-RA
OG0001258	JC_11836-RA	Bany_01649-RA, Bany_01650-RA
OG0001259	JC_00862-RA	Bany_04973-RA
OG0001260	JC_11841-RA	Bany_01658-RA
OG0001261	JC_09212-RA, JC_09211-RA	Bany_06479-RA
OG0001262	JC_02836-RA	Bany_05764-RA
OG0001263	JC_03054-RA	Bany_08554-RA
OG0001263	JC_03053-RA	Bany_08555-RA
OG0001264	JC_13467-RA	Bany_02481-RA
OG0001265	JC_00126-RA	Bany_00779-RA
OG0001265	JC_00125-RA	Bany_00780-RA
OG0001266	JC_13455-RA	Bany_02496-RA
OG0001267	JC_13453-RA	Bany_02498-RA
OG0001268	JC_00119-RA, JC_00118-RA	Bany_00792-RA, Bany_00791-RA
OG0001269	JC_00930-RA	Bany_05044-RA
OG0001270	JC_00104-RA, JC_00103-RA	Bany_00809-RA
OG0001271	JC_03009-RA, JC_03013-RA, JC_03014-RA, JC_03012-RA	Bany_08592-RA
OG0001272	JC_13421-RA	Bany_02532-RA
OG0001273	JC_00953-RA	Bany_05060-RA
OG0001274	JC_00087-RA	Bany_00827-RA
OG0001275	JC_13407-RA	Bany_02543-RA
OG0001275	JC_13409-RA	Bany_02541-RA
OG0001276	JC_08591-RA	Bany_04221-RA
OG0001277	JC_11593-RA, JC_11596-RA	Bany_01763-RA
OG0001279	JC_01683-RA	Bany_07860-RA, Bany_07856-RA
OG0001280	JC_11623-RA	Bany_01792-RA
OG0001281	JC_08560-RA	Bany_04258-RA
OG0001282	JC_13356-RA	Bany_02592-RA
OG0001283	JC_13349-RA	Bany_02607-RA
OG0001283	JC_13350-RA	Bany_02605-RA
OG0001284	JC_13348-RA	Bany_02612-RA
OG0001285	JC_01769-RA	Bany_07903-RA
OG0001300	JC_13152-RA	Bany_14915-RA, Bany_15428-RA, Bany_07442-RA, Bany_15658-RA
OG0001301	JC_16491-RA, JC_16492-RA, JC_16493-RA	Bany_16296-RA, Bany_16027-RA
OG0001302	JC_17054-RA	Bany_12443-RA
OG0001303	JC_11476-RA	Bany_13023-RA
OG0001304	JC_11477-RA	Bany_13024-RA
OG0001305	JC_04416-RA	Bany_09904-RA
OG0001306	JC_05232-RA	Bany_15845-RA
OG0001306	JC_05231-RA	Bany_13025-RA
OG0001307	JC_06337-RA	Bany_10546-RA
OG0001308	JC_13129-RA	Bany_16941-RA
OG0001310	JC_17043-RA	Bany_12454-RA
OG0001310	JC_17044-RA	Bany_06897-RA
OG0001311	JC_07353-RA	Bany_08661-RA
OG0001312	JC_16174-RA, JC_16173-RA	Bany_00930-RA
OG0001314	JC_12168-RA	Bany_07931-RA, Bany_15191-RA, Bany_15190-RA, Bany_07929-RA, Bany_07930-RA, Bany_15192-RA
OG0001315	JC_14046-RA	Bany_16446-RA
OG0001318	JC_14970-RA, JC_14971-RA	Bany_17701-RA
OG0001319	JC_08668-RA	Bany_11839-RA
OG0001320	JC_06696-RA	Bany_13624-RA, Bany_13627-RA
OG0001321	JC_16214-RA, JC_16215-RA	Bany_00948-RA
OG0001323	JC_17178-RA	Bany_12469-RA
OG0001324	JC_11487-RA	Bany_13035-RA
OG0001325	JC_01899-RA	Bany_07188-RA
OG0001326	JC_05577-RA, JC_05576-RA	Bany_15474-RA
OG0001327	JC_14357-RA	Bany_02087-RA
OG0001327	JC_14356-RA	Bany_14913-RA
OG0001329	JC_06701-RA	Bany_13632-RA
OG0001330	JC_15054-RA	Bany_17712-RA
OG0001331	JC_11496-RA	Bany_13042-RA
OG0001332	JC_02364-RA	Bany_05199-RA, Bany_05230-RA
OG0001333	JC_14052-RA	Bany_16469-RA
OG0001334	JC_14615-RA	Bany_01864-RA
OG0001334	JC_14614-RA	Bany_01865-RA
OG0001335	JC_07327-RA	Bany_08685-RA
OG0001337	JC_16227-RA	Bany_00961-RA
OG0001338	JC_15892-RA	Bany_06871-RA, Bany_08690-RA, Bany_12414-RA
OG0001339	JC_14061-RA	Bany_16481-RA
OG0001339	JC_14059-RA	Bany_16480-RA
OG0001341	JC_17161-RA	Bany_12502-RA
OG0001342	JC_15547-RA	Bany_17432-RA, Bany_17434-RA
OG0001343	JC_13012-RA	Bany_16981-RA
OG0001344	JC_16198-RA	Bany_00981-RA
OG0001344	JC_16197-RA	Bany_00979-RA
OG0001345	JC_00712-RA	Bany_00033-RA
OG0001346	JC_07946-RA, JC_07944-RA	Bany_03497-RA
OG0001347	JC_06765-RA	Bany_13669-RA
OG0001348	JC_15035-RA	Bany_17737-RA
OG0001349	JC_15032-RA	Bany_17739-RA
OG0001349	JC_15033-RA	Bany_17741-RA
OG0001350	JC_14670-RA	Bany_14934-RA, Bany_18050-RA
OG0001352	JC_12799-RA	Bany_09361-RA
OG0001353	JC_17095-RA	Bany_12536-RA
OG0001354	JC_17103-RA	Bany_12542-RA
OG0001355	JC_12726-RA, JC_12728-RA, JC_12730-RA, JC_12729-RA	Bany_09384-RA, Bany_09577-RA
OG0001358	JC_00761-RA	Bany_04668-RA
OG0001358	JC_00760-RA	Bany_00068-RA
OG0001359	JC_14111-RA	Bany_16514-RA, Bany_16513-RA
OG0001360	JC_16243-RA, JC_16261-RA	Bany_01014-RA
OG0001361	JC_02346-RA	Bany_05249-RA
OG0001363	JC_14381-RA	Bany_01925-RA, Bany_02058-RA
OG0001364	JC_15991-RA	Bany_06611-RA
OG0001365	JC_03687-RA, JC_03688-RA	Bany_02698-RA
OG0001366	JC_02257-RA	Bany_07238-RA
OG0001367	JC_00777-RA	Bany_00088-RA
OG0001367	JC_00780-RA, JC_00778-RA	Bany_00089-RA
OG0001368	JC_02255-RA, JC_02254-RA, JC_02256-RA	Bany_07239-RA
OG0001369	JC_04492-RA	Bany_09977-RA
OG0001369	JC_04494-RA	Bany_09978-RA
OG0001370	JC_14880-RA	Bany_17764-RA, Bany_17763-RA
OG0001371	JC_08697-RA	Bany_11884-RA
OG0001372	JC_10571-RA	Bany_14367-RA, Bany_14369-RA
OG0001372	JC_10570-RA	Bany_14368-RA
OG0001373	JC_00698-RA	Bany_00195-RA
OG0001374	JC_01549-RA	Bany_04420-RA
OG0001375	JC_00793-RA	Bany_00103-RA
OG0001376	JC_00797-RA, JC_08023-RA	Bany_00109-RA
OG0001377	JC_14129-RA	Bany_16536-RA, Bany_16539-RA
OG0001378	JC_13847-RA	Bany_09410-RA
OG0001379	JC_17199-RA, JC_17198-RA	Bany_00118-RA, Bany_00121-RA
OG0001380	JC_02303-RA	Bany_07253-RA
OG0001381	JC_17136-RA	Bany_12607-RA
OG0001382	JC_10585-RA	Bany_14382-RA
OG0001383	JC_02329-RA	Bany_05273-RA
OG0001385	JC_08717-RA	Bany_11903-RA
OG0001385	JC_08718-RA	Bany_11904-RA
OG0001386	JC_03599-RA	Bany_08035-RA
OG0001386	JC_03598-RA	Bany_13504-RA
OG0001387	JC_03712-RA	Bany_02730-RA
OG0001388	JC_03594-RA	Bany_08040-RA
OG0001388	JC_03593-RA	Bany_08043-RA
OG0001389	JC_08724-RA	Bany_11911-RA
OG0001389	JC_08723-RA	Bany_11910-RA
OG0001390	JC_03723-RA	Bany_02742-RA
OG0001390	JC_03722-RA	Bany_02741-RA
OG0001391	JC_09791-RA	Bany_05952-RA
OG0001392	JC_14465-RA	Bany_01991-RA
OG0001393	JC_04924-RA, JC_04527-RA, JC_04523-RA	Bany_10001-RA
OG0001394	JC_05471-RA	Bany_15594-RA, Bany_15593-RA
OG0001394	JC_05475-RA	Bany_15590-RA
OG0001395	JC_17246-RA	Bany_16582-RA
OG0001397	JC_16762-RA	Bany_16204-RA
OG0001398	JC_14897-RA	Bany_17821-RA
OG0001399	JC_16304-RA	Bany_01062-RA
OG0001400	JC_12524-RA	Bany_09461-RA
OG0001401	JC_06187-RA	Bany_10730-RA
OG0001402	JC_12244-RA	Bany_09680-RA
OG0001405	JC_14838-RA	Bany_17830-RA
OG0001406	JC_07508-RA	Bany_08789-RA
OG0001406	JC_07509-RA	Bany_08787-RA
OG0001407	JC_16366-RA	Bany_01081-RA
OG0001409	JC_03509-RA	Bany_08087-RA
OG0001411	JC_03507-RA	Bany_08092-RA, Bany_08088-RA, Bany_08090-RA
OG0001412	JC_10722-RA, JC_10721-RA	Bany_14447-RA
OG0001413	JC_09659-RA	Bany_06029-RA
OG0001415	JC_04383-RA	Bany_10038-RA
OG0001416	JC_16470-RA	Bany_16264-RA
OG0001417	JC_10152-RA	Bany_11327-RA
OG0001418	JC_01476-RA	Bany_04505-RA
OG0001419	JC_01471-RA	Bany_04508-RA
OG0001420	JC_08062-RA	Bany_03630-RA
OG0001422	JC_14008-RA	Bany_16625-RA, Bany_16624-RA
OG0001423	JC_06382-RA	Bany_10809-RA
OG0001424	JC_02249-RA	Bany_07330-RA
OG0001424	JC_02251-RA	Bany_07328-RA
OG0001426	JC_12134-RA	Bany_01140-RA, Bany_01139-RA
OG0001427	JC_09592-RA, JC_09591-RA, JC_09590-RA	Bany_06074-RA
OG0001428	JC_02244-RA	Bany_07337-RA
OG0001429	JC_02508-RA	Bany_04801-RA, Bany_01635-RA, Bany_05379-RA
OG0001430	JC_13093-RA	Bany_17170-RA, Bany_17171-RA, Bany_17169-RA
OG0001431	JC_15950-RA	Bany_06788-RA, Bany_06787-RA
OG0001432	JC_01948-RA, JC_01949-RA	Bany_07343-RA
OG0001433	JC_13570-RA, JC_13562-RA	Bany_05525-RA, Bany_10066-RA, Bany_02393-RA
OG0001434	JC_10120-RA	Bany_07741-RA, Bany_11366-RA
OG0001435	JC_03834-RA	Bany_02865-RA
OG0001436	JC_15948-RA	Bany_06791-RA
OG0001437	JC_09566-RA	Bany_06103-RA
OG0001438	JC_04095-RA	Bany_02871-RA
OG0001439	JC_04581-RA	Bany_10073-RA
OG0001440	JC_12763-RA	Bany_09546-RA
OG0001441	JC_03432-RA	Bany_02130-RA, Bany_02126-RA
OG0001442	JC_07446-RA	Bany_08840-RA
OG0001443	JC_01375-RA	Bany_04586-RA
OG0001443	JC_01386-RA	Bany_04584-RA
OG0001445	JC_16997-RA	Bany_12843-RA, Bany_12842-RA
OG0001446	JC_06972-RA, JC_06973-RA	Bany_13846-RA
OG0001447	JC_04628-RA	Bany_10109-RA
OG0001448	JC_13061-RA	Bany_17202-RA
OG0001449	JC_09535-RA	Bany_06152-RA
OG0001450	JC_10074-RA	Bany_11411-RA
OG0001451	JC_03436-RA	Bany_08175-RA, Bany_08174-RA
OG0001452	JC_10059-RA	Bany_11425-RA
OG0001452	JC_10058-RA	Bany_11426-RA
OG0001453	JC_16904-RA	Bany_12869-RA
OG0001454	JC_13046-RA	Bany_17215-RA, Bany_17216-RA
OG0001455	JC_02553-RA, JC_02552-RA	Bany_05425-RA
OG0001456	JC_06950-RA, JC_06949-RA, JC_06948-RA	Bany_13874-RA
OG0001457	JC_00602-RA	Bany_00311-RA
OG0001458	JC_06947-RA	Bany_13875-RA
OG0001459	JC_06944-RA	Bany_13878-RA
OG0001460	JC_02010-RA	Bany_07390-RA, Bany_07391-RA
OG0001461	JC_16506-RA, JC_16505-RA, JC_16504-RA	Bany_16408-RA
OG0001462	JC_09519-RA	Bany_06178-RA, Bany_06177-RA
OG0001463	JC_10676-RA, JC_10674-RA	Bany_14515-RA
OG0001464	JC_03881-RA	Bany_02914-RA
OG0001465	JC_10679-RA	Bany_14518-RA
OG0001467	JC_15866-RA	Bany_06840-RA
OG0001467	JC_15869-RA, JC_15868-RA	Bany_06839-RA
OG0001468	JC_13959-RA	Bany_16673-RA
OG0001469	JC_10688-RA	Bany_14525-RA
OG0001469	JC_10690-RA	Bany_14527-RA
OG0001470	JC_07040-RA	Bany_13288-RA, Bany_13287-RA, Bany_14106-RA, Bany_13289-RA
OG0001471	JC_02583-RA	Bany_05451-RA
OG0001472	JC_09506-RA	Bany_06189-RA
OG0001473	JC_16931-RA, JC_16929-RA, JC_16930-RA	Bany_12929-RA
OG0001474	JC_15883-RA	Bany_06861-RA
OG0001475	JC_13942-RA	Bany_16686-RA, Bany_11063-RA
OG0001476	JC_15884-RA	Bany_06863-RA
OG0001477	JC_13941-RA	Bany_16690-RA
OG0001479	JC_01131-RA	Bany_04651-RA
OG0001480	JC_10826-RA	Bany_14564-RA
OG0001481	JC_12315-RA	Bany_09610-RA
OG0001481	JC_12316-RA	Bany_09611-RA
OG0001482	JC_14287-RA, JC_14288-RA	Bany_02196-RA
OG0001483	JC_00567-RA	Bany_00356-RA
OG0001484	JC_11468-RA	Bany_13320-RA
OG0001485	JC_04678-RA	Bany_10160-RA
OG0001486	JC_06468-RA, JC_06467-RA	Bany_10894-RA
OG0001487	JC_09482-RA, JC_09481-RA	Bany_06222-RA
OG0001489	JC_14226-RA, JC_03240-RA	Bany_02222-RA, Bany_02223-RA
OG0001490	JC_15721-RA	Bany_17611-RA
OG0001492	JC_02060-RA	Bany_07480-RA
OG0001493	JC_11666-RA	Bany_01290-RA
OG0001494	JC_13900-RA	Bany_16726-RA
OG0001495	JC_13203-RA	Bany_17276-RA
OG0001496	JC_16879-RA, JC_16876-RA	Bany_13019-RA
OG0001496	JC_16877-RA	Bany_13016-RA
OG0001497	JC_13903-RA	Bany_16728-RA
OG0001499	JC_12253-RA, JC_12252-RA	Bany_09673-RA
OG0001500	JC_05946-RA, JC_05945-RA	Bany_15155-RA, Bany_15156-RA
OG0001501	JC_14184-RA	Bany_02258-RA
OG0001502	JC_07592-RA	Bany_08972-RA
OG0001503	JC_12113-RA	Bany_01310-RA
OG0001503	JC_12114-RA	Bany_01312-RA
OG0001504	JC_15823-RA	Bany_06947-RA
OG0001505	JC_01179-RA	Bany_04706-RA
OG0001506	JC_12248-RA	Bany_09676-RA
OG0001507	JC_13207-RA	Bany_17285-RA
OG0001508	JC_04758-RA	Bany_10219-RA
OG0001509	JC_01182-RA	Bany_04711-RA
OG0001511	JC_01183-RA	Bany_04712-RA
OG0001512	JC_03334-RA	Bany_08280-RA
OG0001513	JC_14719-RA	Bany_18069-RA
OG0001514	JC_05308-RA	Bany_15766-RA
OG0001514	JC_05309-RA	Bany_15765-RA
OG0001515	JC_01206-RA	Bany_04730-RA
OG0001515	JC_01203-RA	Bany_04731-RA
OG0001516	JC_07152-RA	Bany_13982-RA
OG0001519	JC_05305-RA	Bany_15768-RA
OG0001519	JC_05304-RA	Bany_15769-RA
OG0001520	JC_11924-RA	Bany_01357-RA
OG0001521	JC_11927-RA	Bany_01359-RA, Bany_01360-RA, Bany_01361-RA
OG0001522	JC_08287-RA	Bany_03875-RA
OG0001523	JC_01217-RA	Bany_04744-RA
OG0001524	JC_12565-RA	Bany_09696-RA
OG0001526	JC_05905-RA, JC_05907-RA, JC_05909-RA, JC_05906-RA	Bany_15188-RA
OG0001527	JC_13718-RA	Bany_02299-RA
OG0001528	JC_04916-RA, JC_04915-RA	Bany_10276-RA
OG0001529	JC_13222-RA	Bany_17306-RA
OG0001530	JC_00383-RA	Bany_00464-RA
OG0001530	JC_00384-RA	Bany_00549-RA
OG0001531	JC_15748-RA	Bany_17673-RA
OG0001531	JC_15749-RA	Bany_17672-RA
OG0001532	JC_11949-RA	Bany_01383-RA
OG0001533	JC_02135-RA	Bany_07559-RA
OG0001534	JC_11225-RA	Bany_13405-RA
OG0001535	JC_01246-RA	Bany_04769-RA
OG0001536	JC_09406-RA	Bany_06303-RA
OG0001537	JC_02137-RA	Bany_07562-RA
OG0001538	JC_04902-RA	Bany_10289-RA
OG0001539	JC_00319-RA	Bany_00475-RA
OG0001540	JC_02694-RA	Bany_05577-RA, Bany_05575-RA, Bany_05576-RA
OG0001541	JC_03281-RA	Bany_08330-RA
OG0001542	JC_14737-RA, JC_14736-RA	Bany_18078-RA
OG0001543	JC_11971-RA	Bany_01407-RA
OG0001544	JC_03279-RA	Bany_08333-RA
OG0001545	JC_13676-RA, JC_13693-RA	Bany_02327-RA
OG0001545	JC_13696-RA, JC_13677-RA, JC_13692-RA	Bany_02326-RA
OG0001546	JC_07140-RA	Bany_13991-RA
OG0001547	JC_14744-RA	Bany_18082-RA
OG0001548	JC_08810-RA	Bany_12151-RA
OG0001548	JC_08812-RA	Bany_12150-RA
OG0001549	JC_04879-RA, JC_04880-RA	Bany_10314-RA
OG0001550	JC_02154-RA	Bany_07576-RA
OG0001551	JC_12280-RA	Bany_09895-RA, Bany_09741-RA
OG0001552	JC_00358-RA, JC_00359-RA, JC_00360-RA	Bany_00513-RA
OG0001553	JC_11986-RA	Bany_01425-RA
OG0001554	JC_10344-RA	Bany_11645-RA
OG0001554	JC_10348-RA	Bany_11646-RA
OG0001555	JC_08335-RA	Bany_03932-RA
OG0001556	JC_08344-RA	Bany_03937-RA
OG0001557	JC_07539-RA	Bany_09035-RA
OG0001558	JC_13260-RA	Bany_17323-RA
OG0001559	JC_07665-RA	Bany_09045-RA
OG0001560	JC_07111-RA	Bany_14026-RA
OG0001560	JC_07112-RA	Bany_14025-RA
OG0001561	JC_04130-RA	Bany_03130-RA
OG0001562	JC_07683-RA	Bany_09061-RA
OG0001562	JC_07686-RA	Bany_09063-RA
OG0001563	JC_10933-RA	Bany_14724-RA
OG0001564	JC_13756-RA	Bany_16825-RA
OG0001564	JC_13755-RA	Bany_16824-RA
OG0001565	JC_00260-RA, JC_05711-RA	Bany_15267-RA
OG0001566	JC_12036-RA, JC_12037-RA	Bany_01499-RA
OG0001567	JC_06671-RA	Bany_10976-RA
OG0001568	JC_13626-RA	Bany_02367-RA
OG0001570	JC_06665-RA	Bany_10982-RA
OG0001570	JC_06664-RA	Bany_10983-RA
OG0001571	JC_09341-RA	Bany_06363-RA
OG0001572	JC_04852-RA	Bany_10350-RA
OG0001573	JC_13789-RA	Bany_16862-RA
OG0001573	JC_13788-RA	Bany_16855-RA, Bany_16859-RA
OG0001574	JC_04150-RA	Bany_03167-RA
OG0001574	JC_04151-RA, JC_04153-RA	Bany_03161-RA
OG0001576	JC_03220-RA	Bany_08396-RA
OG0001577	JC_00428-RA, JC_00427-RA	Bany_00588-RA
OG0001578	JC_01050-RA	Bany_04863-RA
OG0001579	JC_00435-RA	Bany_00592-RA
OG0001580	JC_05805-RA	Bany_13494-RA, Bany_15332-RA
OG0001581	JC_00310-RA	Bany_00601-RA
OG0001582	JC_00308-RA	Bany_00603-RA
OG0001584	JC_00301-RA, JC_00302-RA, JC_00303-RA	Bany_00606-RA
OG0001585	JC_01854-RA, JC_01853-RA	Bany_07683-RA
OG0001586	JC_15509-RA	Bany_07060-RA
OG0001587	JC_10452-RA	Bany_11738-RA
OG0001588	JC_05795-RA, JC_05796-RA	Bany_15322-RA
OG0001589	JC_10972-RA	Bany_14778-RA, Bany_14802-RA, Bany_14777-RA
OG0001590	JC_12078-RA, JC_12079-RA, JC_12080-RA	Bany_01542-RA, Bany_01543-RA
OG0001591	JC_11145-RA	Bany_13499-RA, Bany_13498-RA
OG0001592	JC_06652-RA, JC_06650-RA	Bany_11001-RA
OG0001593	JC_01070-RA	Bany_04886-RA
OG0001594	JC_04815-RA	Bany_10384-RA
OG0001595	JC_12576-RA	Bany_09842-RA
OG0001597	JC_08454-RA, JC_08455-RA	Bany_04042-RA
OG0001598	JC_03174-RA, JC_03175-RA	Bany_08433-RA
OG0001598	JC_03176-RA	Bany_08432-RA
OG0001599	JC_01096-RA	Bany_04907-RA
OG0001600	JC_07776-RA	Bany_09167-RA
OG0001601	JC_09039-RA, JC_09040-RA, JC_09041-RA	Bany_12288-RA
OG0001602	JC_05831-RA, JC_05832-RA	Bany_15348-RA
