Orthogroup	Vanessa_cardui	Vanessa_tameamea
OG0002204	Vcard_DToL05201-RA, Vcard_DToL05200-RA	XP_026485830.1
OG0002205	Vcard_DToL00717-RA	XP_026500424.1
OG0002206	Vcard_DToL03923-RA	XP_026491380.1
OG0002207	Vcard_DToL03925-RA	XP_026491364.1
OG0002208	Vcard_DToL04732-RA	XP_026486650.1, XP_026486651.1
OG0002209	Vcard_DToL02660-RA	XP_026484453.1
OG0002211	Vcard_DToL05528-RA	XP_026490544.1, XP_026490542.1, XP_026490543.1, XP_026490540.1
OG0002212	Vcard_DToL08030-RA	XP_026501312.1
OG0002213	Vcard_DToL03949-RA	XP_026491543.1
OG0002214	Vcard_DToL03952-RA, Vcard_DToL03953-RA	XP_026491064.1
OG0002215	Vcard_DToL15838-RA, Vcard_DToL15836-RA, Vcard_DToL15837-RA	XP_026491947.1
OG0002216	Vcard_DToL00629-RA	XP_026498353.1, XP_026498343.1
OG0002217	Vcard_DToL05560-RA	XP_026490513.1
OG0002218	Vcard_DToL05563-RA	XP_026490498.1
OG0002219	Vcard_DToL15856-RA	XP_026491969.1
OG0002220	Vcard_DToL15864-RA	XP_026491891.1
OG0002221	Vcard_DToL01362-RA	XP_026497073.1, XP_026497072.1
OG0002222	Vcard_DToL05572-RA	XP_026488794.1
OG0002224	Vcard_DToL01373-RA	XP_026497064.1
OG0002225	Vcard_DToL02686-RA	XP_026485104.1
OG0002226	Vcard_DToL01382-RA	XP_026497162.1
OG0002227	Vcard_DToL01497-RA	XP_026494733.1
OG0002228	Vcard_DToL16976-RA	XP_026486271.1
OG0002230	Vcard_DToL15859-RA	XP_026492009.1
OG0002231	Vcard_DToL10445-RA	XP_026488767.1
OG0002232	Vcard_DToL00907-RA, Vcard_DToL00909-RA	XP_026498086.1
OG0002233	Vcard_DToL10085-RA	XP_026493190.1
OG0002234	Vcard_DToL09518-RA	XP_026492165.1
OG0002235	Vcard_DToL04513-RA	XP_026488428.1
OG0002240	Vcard_DToL01779-RA	XP_026501113.1
OG0002247	Vcard_DToL03517-RA, Vcard_DToL03518-RA	XP_026491546.1
OG0002248	Vcard_DToL13944-RA	XP_026496151.1
OG0002249	Vcard_DToL18585-RA	XP_026486524.1, XP_026486525.1
OG0002250	Vcard_DToL03304-RA, Vcard_DToL03303-RA	XP_026496247.1
OG0002251	Vcard_DToL04010-RA	XP_026499016.1
OG0002253	Vcard_DToL03302-RA	XP_026496251.1
OG0002255	Vcard_DToL06337-RA	XP_026489247.1
OG0002256	Vcard_DToL16767-RA	XP_026496916.1
OG0002257	Vcard_DToL09681-RA	XP_026492137.1
OG0002258	Vcard_DToL10608-RA	XP_026485654.1, XP_026485655.1
OG0002259	Vcard_DToL06251-RA	XP_026489304.1
OG0002261	Vcard_DToL17896-RA	XP_026486769.1
OG0002262	Vcard_DToL17860-RA	XP_026498530.1
OG0002263	Vcard_DToL16955-RA	XP_026486170.1
OG0002264	Vcard_DToL04001-RA	XP_026499012.1
OG0002265	Vcard_DToL15296-RA	XP_026497421.1
OG0002266	Vcard_DToL18349-RA	XP_026483391.1
OG0002267	Vcard_DToL00809-RA, Vcard_DToL00810-RA	XP_026487100.1
OG0002268	Vcard_DToL09695-RA	XP_026492118.1, XP_026492117.1
OG0002269	Vcard_DToL13596-RA	XP_026494030.1
OG0002270	Vcard_DToL15972-RA, Vcard_DToL15971-RA	XP_026492418.1
OG0002271	Vcard_DToL01853-RA	XP_026501210.1
OG0002272	Vcard_DToL07165-RA	XP_026496164.1
OG0002273	Vcard_DToL18692-RA	XP_026483106.1
OG0002275	Vcard_DToL16740-RA	XP_026485242.1, XP_026498412.1
OG0002276	Vcard_DToL09500-RA	XP_026492318.1
OG0002277	Vcard_DToL18335-RA	XP_026483386.1
OG0002278	Vcard_DToL16831-RA	XP_026492882.1
OG0002279	Vcard_DToL04015-RA	XP_026499031.1
OG0002280	Vcard_DToL04016-RA	XP_026499008.1
OG0002281	Vcard_DToL04017-RA	XP_026499009.1
OG0002282	Vcard_DToL16734-RA	XP_026485258.1
OG0002283	Vcard_DToL17801-RA	XP_026496447.1
OG0002284	Vcard_DToL04024-RA	XP_026498958.1
OG0002286	Vcard_DToL11333-RA	XP_026495486.1
OG0002287	Vcard_DToL16816-RA	XP_026485660.1
OG0002288	Vcard_DToL06362-RA	XP_026500921.1
OG0002289	Vcard_DToL17356-RA, Vcard_DToL00421-RA	XP_026483888.1
OG0002290	Vcard_DToL00167-RA	XP_026500296.1
OG0002291	Vcard_DToL12466-RA	XP_026487287.1
OG0002292	Vcard_DToL15320-RA	XP_026497422.1
OG0002293	Vcard_DToL06312-RA	XP_026489331.1, XP_026489332.1
OG0002294	Vcard_DToL16727-RA	XP_026485256.1
OG0002295	Vcard_DToL17786-RA	XP_026483603.1
OG0002296	Vcard_DToL03334-RA	XP_026491039.1
OG0002297	Vcard_DToL00829-RA, Vcard_DToL00827-RA	XP_026487013.1
OG0002298	Vcard_DToL15898-RA, Vcard_DToL15899-RA	XP_026499449.1
OG0002299	Vcard_DToL15903-RA	XP_026499437.1
OG0002300	Vcard_DToL01864-RA	XP_026501221.1
OG0002301	Vcard_DToL18707-RA	XP_026483162.1
OG0002302	Vcard_DToL18725-RA	XP_026494077.1, XP_026494081.1
OG0002303	Vcard_DToL17797-RA	XP_026500932.1
OG0002306	Vcard_DToL03349-RA	XP_026491144.1
OG0002307	Vcard_DToL03350-RA	XP_026491145.1
OG0002308	Vcard_DToL04844-RA	XP_026490026.1
OG0002309	Vcard_DToL11030-RA	XP_026493884.1
OG0002310	Vcard_DToL18427-RA	XP_026483472.1
OG0002311	Vcard_DToL18723-RA	XP_026483069.1
OG0002312	Vcard_DToL16797-RA	XP_026501820.1, XP_026501821.1
OG0002313	Vcard_DToL15909-RA	XP_026499435.1, XP_026499434.1
OG0002314	Vcard_DToL09730-RA	XP_026492207.1
OG0002315	Vcard_DToL14081-RA	XP_026490366.1
OG0002316	Vcard_DToL16713-RA	XP_026489860.1
OG0002317	Vcard_DToL18713-RA	XP_026483118.1
OG0002318	Vcard_DToL15141-RA	XP_026500153.1
OG0002319	Vcard_DToL10163-RA	XP_026493141.1
OG0002321	Vcard_DToL13625-RA	XP_026495220.1, XP_026495228.1, XP_026495211.1
OG0002322	Vcard_DToL13627-RA	XP_026495191.1
OG0002323	Vcard_DToL15138-RA	XP_026500254.1
OG0002324	Vcard_DToL04839-RA	XP_026490065.1, XP_026490066.1
OG0002325	Vcard_DToL18712-RA	XP_026483099.1
OG0002326	Vcard_DToL17377-RA	XP_026483938.1
OG0002327	Vcard_DToL04837-RA, Vcard_DToL04836-RA	XP_026490043.1
OG0002328	Vcard_DToL18541-RA	XP_026483337.1
OG0002329	Vcard_DToL15068-RA	XP_026500222.1
OG0002330	Vcard_DToL18536-RA	XP_026483334.1
OG0002331	Vcard_DToL04834-RA	XP_026490049.1
OG0002333	Vcard_DToL13074-RA	XP_026500968.1, XP_026500967.1
OG0002334	Vcard_DToL17385-RA	XP_026484180.1
OG0002335	Vcard_DToL00843-RA	XP_026487058.1
OG0002337	Vcard_DToL07226-RA	XP_026496905.1
OG0002338	Vcard_DToL06384-RA	XP_026489738.1
OG0002339	Vcard_DToL00851-RA	XP_026487035.1, XP_026487034.1
OG0002340	Vcard_DToL03369-RA	XP_026491253.1, XP_026491254.1
OG0002341	Vcard_DToL15080-RA	XP_026500134.1
OG0002343	Vcard_DToL10843-RA, Vcard_DToL10846-RA, Vcard_DToL10845-RA	XP_026500362.1
OG0002344	Vcard_DToL16052-RA	XP_026498827.1
OG0002346	Vcard_DToL17180-RA, Vcard_DToL14644-RA, Vcard_DToL17181-RA	XP_026494275.1
OG0002347	Vcard_DToL06260-RA, Vcard_DToL06257-RA	XP_026489324.1
OG0002348	Vcard_DToL16844-RA	XP_026492921.1
OG0002349	Vcard_DToL16694-RA	XP_026483221.1
OG0002350	Vcard_DToL14655-RA	XP_026500944.1
OG0002351	Vcard_DToL17847-RA	XP_026500009.1
OG0002352	Vcard_DToL16053-RA	XP_026498808.1
OG0002353	Vcard_DToL17915-RA	XP_026490696.1
OG0002354	Vcard_DToL00064-RA	XP_026500480.1
OG0002355	Vcard_DToL03127-RA	XP_026496304.1, XP_026496303.1
OG0002356	Vcard_DToL18815-RA	XP_026500070.1
OG0002357	Vcard_DToL18810-RA	XP_026498217.1
OG0002358	Vcard_DToL07136-RA	XP_026484247.1
OG0002359	Vcard_DToL01070-RA	XP_026497884.1
OG0002360	Vcard_DToL17852-RA, Vcard_DToL17851-RA	XP_026499513.1
OG0002361	Vcard_DToL00874-RA	XP_026498081.1
OG0002362	Vcard_DToL16668-RA	XP_026490217.1
OG0002363	Vcard_DToL11271-RA	XP_026492965.1
OG0002364	Vcard_DToL15096-RA	XP_026500156.1
OG0002365	Vcard_DToL18804-RA	XP_026498216.1
OG0002366	Vcard_DToL10015-RA	XP_026498223.1
OG0002367	Vcard_DToL09013-RA	XP_026489999.1
OG0002368	Vcard_DToL07128-RA	XP_026484281.1, XP_026484282.1, XP_026484283.1
OG0002369	Vcard_DToL17721-RA	XP_026488752.1
OG0002372	Vcard_DToL11259-RA, Vcard_DToL11258-RA	XP_026492940.1
OG0002373	Vcard_DToL09002-RA	XP_026489978.1
OG0002374	Vcard_DToL11257-RA	XP_026492939.1
OG0002375	Vcard_DToL13672-RA	XP_026495453.1
OG0002376	Vcard_DToL09000-RA	XP_026489974.1
OG0002377	Vcard_DToL18458-RA	XP_026483529.1
OG0002378	Vcard_DToL16887-RA	XP_026486602.1
OG0002379	Vcard_DToL18462-RA	XP_026483518.1
OG0002380	Vcard_DToL17004-RA	XP_026486739.1, XP_026486740.1
OG0002381	Vcard_DToL16885-RA	XP_026486716.1
OG0002382	Vcard_DToL13005-RA	XP_026495808.1
OG0002383	Vcard_DToL01771-RA	XP_026501110.1, XP_026501111.1
OG0002384	Vcard_DToL00899-RA	XP_026498103.1, XP_026498104.1
OG0002385	Vcard_DToL12998-RA, Vcard_DToL13001-RA	XP_026495518.1
OG0002387	Vcard_DToL12380-RA	XP_026488876.1
OG0002388	Vcard_DToL01768-RA	XP_026501158.1
OG0002389	Vcard_DToL18474-RA, Vcard_DToL18473-RA	XP_026483513.1
OG0002390	Vcard_DToL06255-RA, Vcard_DToL06254-RA	XP_026489346.1
OG0002391	Vcard_DToL00910-RA	XP_026498096.1, XP_026498097.1, XP_026498098.1
OG0002393	Vcard_DToL09611-RA	XP_026492381.1
OG0002395	Vcard_DToL12378-RA	XP_026488839.1
OG0002396	Vcard_DToL14680-RA	XP_026489730.1, XP_026489731.1, XP_026489732.1, XP_026489729.1
OG0002397	Vcard_DToL01717-RA	XP_026500051.1
OG0002397	Vcard_DToL03412-RA	XP_026491773.1
OG0002399	Vcard_DToL15958-RA	XP_026490235.1
OG0002400	Vcard_DToL16659-RA	XP_026490173.1
OG0002401	Vcard_DToL13543-RA	XP_026494179.1
OG0002402	Vcard_DToL17918-RA	XP_026490705.1
OG0002403	Vcard_DToL00024-RA	XP_026500470.1
OG0002404	Vcard_DToL09607-RA	XP_026492292.1
OG0002405	Vcard_DToL17693-RA	XP_026490652.1
OG0002406	Vcard_DToL00026-RA	XP_026500450.1, XP_026500451.1
OG0002407	Vcard_DToL16081-RA	XP_026498836.1
OG0002408	Vcard_DToL17691-RA	XP_026490657.1
OG0002410	Vcard_DToL03430-RA	XP_026491167.1
OG0002411	Vcard_DToL14689-RA	XP_026489645.1
OG0002412	Vcard_DToL00047-RA	XP_026500519.1, XP_026500520.1
OG0002413	Vcard_DToL14693-RA	XP_026489617.1
OG0002415	Vcard_DToL14705-RA	XP_026489710.1
OG0002416	Vcard_DToL16038-RA	XP_026492492.1
OG0002417	Vcard_DToL14711-RA	XP_026489711.1
OG0002418	Vcard_DToL18768-RA	XP_026490680.1
OG0002420	Vcard_DToL13844-RA	XP_026497244.1
OG0002421	Vcard_DToL06425-RA	XP_026500911.1, XP_026500832.1
OG0002422	Vcard_DToL06229-RA	XP_026487771.1
OG0002423	Vcard_DToL01728-RA	XP_026501129.1
OG0002424	Vcard_DToL13834-RA	XP_026497241.1
OG0002425	Vcard_DToL17975-RA, Vcard_DToL17976-RA	XP_026494126.1
OG0002426	Vcard_DToL00933-RA	XP_026486618.1
OG0002427	Vcard_DToL12970-RA	XP_026495534.1
OG0002428	Vcard_DToL06432-RA	XP_026501585.1, XP_026501575.1, XP_026501565.1
OG0002429	Vcard_DToL15134-RA	XP_026500085.1
OG0002430	Vcard_DToL00935-RA	XP_026486590.1
OG0002431	Vcard_DToL00936-RA	XP_026486589.1
OG0002432	Vcard_DToL18819-RA	XP_026496053.1
OG0002433	Vcard_DToL08952-RA, Vcard_DToL08953-RA	XP_026489987.1
OG0002434	Vcard_DToL14548-RA	XP_026494205.1
OG0002435	Vcard_DToL16050-RA	XP_026498819.1
OG0002436	Vcard_DToL10741-RA	XP_026498507.1
OG0002437	Vcard_DToL01879-RA	XP_026484807.1
OG0002438	Vcard_DToL18359-RA	XP_026483405.1
OG0002439	Vcard_DToL18362-RA, Vcard_DToL18361-RA	XP_026483417.1
OG0002441	Vcard_DToL18364-RA	XP_026483383.1
OG0002442	Vcard_DToL14052-RA	XP_026490337.1, XP_026490338.1, XP_026490336.1
OG0002443	Vcard_DToL07064-RA	XP_026484273.1
OG0002444	Vcard_DToL10730-RA	XP_026498480.1, XP_026498481.1
OG0002445	Vcard_DToL18833-RA	XP_026484206.1
OG0002446	Vcard_DToL18367-RA	XP_026483419.1
OG0002447	Vcard_DToL16868-RA	XP_026492906.1, XP_026492907.1
OG0002448	Vcard_DToL10716-RA	XP_026498491.1
OG0002449	Vcard_DToL15040-RA	XP_026500252.1, XP_026500253.1
OG0002450	Vcard_DToL13493-RA	XP_026492612.1, XP_026492619.1
OG0002451	Vcard_DToL15043-RA	XP_026500226.1
OG0002452	Vcard_DToL00956-RA, Vcard_DToL00954-RA	XP_026486621.1
OG0002453	Vcard_DToL17656-RA, Vcard_DToL17655-RA	XP_026490637.1
OG0002455	Vcard_DToL03445-RA	XP_026491082.1
OG0002456	Vcard_DToL17876-RA	XP_026498743.1
OG0002457	Vcard_DToL00159-RA	XP_026500852.1
OG0002458	Vcard_DToL16103-RA, Vcard_DToL16102-RA	XP_026498810.1
OG0002459	Vcard_DToL13480-RA	XP_026492508.1, XP_026492501.1
OG0002460	Vcard_DToL04144-RA	XP_026487157.1, XP_026487158.1, XP_026487159.1
OG0002461	Vcard_DToL13479-RA	XP_026492564.1, XP_026492556.1
OG0002462	Vcard_DToL18848-RA	XP_026498856.1, XP_026498857.1, XP_026498855.1
OG0002463	Vcard_DToL14044-RA	XP_026490375.1, XP_026490374.1, XP_026490373.1
OG0002464	Vcard_DToL12845-RA	XP_026495987.1
OG0002465	Vcard_DToL12846-RA	XP_026495985.1
OG0002466	Vcard_DToL13477-RA	XP_026490494.1, XP_026490478.1, XP_026490488.1
OG0002467	Vcard_DToL18853-RA, Vcard_DToL18851-RA	XP_026498866.1
OG0002469	Vcard_DToL17891-RA	XP_026495727.1
OG0002470	Vcard_DToL18856-RA	XP_026498873.1
OG0002471	Vcard_DToL12352-RA	XP_026499307.1
OG0002472	Vcard_DToL18858-RA	XP_026498869.1
OG0002475	Vcard_DToL07047-RA	XP_026484230.1
OG0002477	Vcard_DToL07046-RA	XP_026484231.1, XP_026484232.1
OG0002479	Vcard_DToL16087-RA	XP_026498838.1
OG0002481	Vcard_DToL16115-RA	XP_026498707.1
OG0002482	Vcard_DToL09577-RA	XP_026492303.1, XP_026492302.1
OG0002484	Vcard_DToL15060-RA, Vcard_DToL15059-RA	XP_026500209.1
OG0002485	Vcard_DToL18566-RA	XP_026501243.1
OG0002486	Vcard_DToL16510-RA	XP_026495829.1
OG0002487	Vcard_DToL06156-RA	XP_026488569.1
OG0002488	Vcard_DToL18408-RA	XP_026483560.1
OG0002489	Vcard_DToL10594-RA	XP_026485598.1
OG0002490	Vcard_DToL10240-RA	XP_026493320.1, XP_026493321.1
OG0002491	Vcard_DToL13463-RA	XP_026490986.1
OG0002492	Vcard_DToL11208-RA	XP_026494644.1
OG0002493	Vcard_DToL16503-RA	XP_026499354.1
OG0002494	Vcard_DToL17619-RA	XP_026483628.1
OG0002495	Vcard_DToL00998-RA	XP_026497923.1
OG0002496	Vcard_DToL17622-RA, Vcard_DToL17620-RA	XP_026483626.1
OG0002497	Vcard_DToL04910-RA, Vcard_DToL04907-RA	XP_026490116.1
OG0002498	Vcard_DToL18582-RA, Vcard_DToL18581-RA	XP_026486539.1
OG0002499	Vcard_DToL15956-RA	XP_026490233.1
OG0002500	Vcard_DToL16501-RA	XP_026499338.1
OG0002501	Vcard_DToL04163-RA	XP_026487161.1
OG0002502	Vcard_DToL01003-RA	XP_026497920.1
OG0002503	Vcard_DToL14956-RA	XP_026500180.1
OG0002504	Vcard_DToL03195-RA	XP_026496384.1
OG0002505	Vcard_DToL18579-RA	XP_026499325.1, XP_026486540.1, XP_026486490.1
OG0002506	Vcard_DToL13456-RA	XP_026491061.1
OG0002507	Vcard_DToL01015-RA, Vcard_DToL01014-RA	XP_026497935.1
OG0002508	Vcard_DToL04167-RA	XP_026487195.1
OG0002509	Vcard_DToL14957-RA	XP_026500163.1
OG0002510	Vcard_DToL18573-RA	XP_026486485.1
OG0002511	Vcard_DToL12779-RA, Vcard_DToL12780-RA	XP_026495568.1
OG0002512	Vcard_DToL06911-RA, Vcard_DToL06909-RA	XP_026501044.1
OG0002513	Vcard_DToL14960-RA	XP_026500146.1
OG0002514	Vcard_DToL11189-RA	XP_026494624.1, XP_026494622.1, XP_026494625.1
OG0002515	Vcard_DToL16489-RA, Vcard_DToL16490-RA	XP_026499364.1
OG0002516	Vcard_DToL13450-RA, Vcard_DToL13449-RA	XP_026491168.1, XP_026491160.1
OG0002517	Vcard_DToL17647-RA	XP_026490579.1
OG0002518	Vcard_DToL09566-RA	XP_026492248.1
OG0002519	Vcard_DToL01954-RA, Vcard_DToL01955-RA	XP_026484621.1
OG0002520	Vcard_DToL03478-RA	XP_026491316.1
OG0002521	Vcard_DToL15947-RA	XP_026490240.1
OG0002522	Vcard_DToL12343-RA	XP_026499238.1
OG0002523	Vcard_DToL10569-RA	XP_026485602.1
OG0002524	Vcard_DToL15269-RA	XP_026497361.1
OG0002525	Vcard_DToL01228-RA	XP_026493687.1
OG0002526	Vcard_DToL06605-RA	XP_026500354.1
OG0002528	Vcard_DToL17663-RA	XP_026490630.1
OG0002529	Vcard_DToL15252-RA	XP_026497291.1
OG0002530	Vcard_DToL01044-RA	XP_026497837.1
OG0002531	Vcard_DToL18171-RA	XP_026489376.1
OG0002532	Vcard_DToL06615-RA	XP_026488865.1
OG0002533	Vcard_DToL06103-RA	XP_026487308.1, XP_026487310.1
OG0002534	Vcard_DToL12331-RA	XP_026499261.1
OG0002535	Vcard_DToL13441-RA	XP_026492670.1
OG0002536	Vcard_DToL15249-RA	XP_026497282.1
OG0002537	Vcard_DToL03504-RA	XP_026491206.1
OG0002537	Vcard_DToL03503-RA	XP_026491028.1
OG0002538	Vcard_DToL12322-RA	XP_026499225.1
OG0002539	Vcard_DToL16464-RA	XP_026499394.1
OG0002540	Vcard_DToL07223-RA	XP_026496909.1, XP_026496907.1, XP_026496908.1
OG0002541	Vcard_DToL00176-RA	XP_026500289.1
OG0002542	Vcard_DToL18596-RA	XP_026486546.1
OG0002543	Vcard_DToL08847-RA, Vcard_DToL08850-RA	XP_026494836.1
OG0002544	Vcard_DToL14889-RA	XP_026490952.1
OG0002545	Vcard_DToL06099-RA	XP_026488532.1
OG0002546	Vcard_DToL09937-RA	XP_026493064.1, XP_026493063.1
OG0002547	Vcard_DToL08842-RA	XP_026495343.1
OG0002548	Vcard_DToL04188-RA	XP_026488262.1, XP_026488261.1
OG0002549	Vcard_DToL16954-RA	XP_026486830.1
OG0002550	Vcard_DToL12879-RA	XP_026495604.1
OG0002551	Vcard_DToL06591-RA	XP_026483736.1, XP_026483727.1
OG0002552	Vcard_DToL02313-RA, Vcard_DToL02314-RA	XP_026484949.1
OG0002553	Vcard_DToL08250-RA	XP_026488579.1
OG0002554	Vcard_DToL13988-RA	XP_026491862.1
OG0002555	Vcard_DToL06558-RA	XP_026500679.1
OG0002556	Vcard_DToL11938-RA	XP_026486851.1, XP_026486852.1, XP_026486850.1
OG0002557	Vcard_DToL01995-RA	XP_026485131.1, XP_026485130.1
OG0002558	Vcard_DToL01325-RA	XP_026497110.1
OG0002559	Vcard_DToL06085-RA	XP_026487280.1
OG0002560	Vcard_DToL01092-RA	XP_026497859.1
OG0002562	Vcard_DToL07245-RA	XP_026496634.1
OG0002563	Vcard_DToL15925-RA	XP_026487152.1
OG0002564	Vcard_DToL15213-RA	XP_026497552.1
OG0002565	Vcard_DToL18111-RA	XP_026489431.1
OG0002566	Vcard_DToL12892-RA, Vcard_DToL12889-RA	XP_026495543.1
OG0002567	Vcard_DToL09916-RA	XP_026493463.1
OG0002568	Vcard_DToL14869-RA	XP_026490995.1, XP_026490996.1
OG0002569	Vcard_DToL09531-RA	XP_026492355.1
OG0002570	Vcard_DToL08824-RA	XP_026495363.1, XP_026495362.1
OG0002571	Vcard_DToL08823-RA	XP_026495367.1, XP_026495366.1
OG0002574	Vcard_DToL02003-RA	XP_026485091.1
OG0002575	Vcard_DToL14858-RA	XP_026490969.1
OG0002576	Vcard_DToL06061-RA	XP_026487824.1
OG0002577	Vcard_DToL06552-RA	XP_026500853.1
OG0002578	Vcard_DToL03521-RA	XP_026491545.1, XP_026491544.1
OG0002580	Vcard_DToL09899-RA	XP_026493275.1
OG0002581	Vcard_DToL16434-RA	XP_026499399.1
OG0002582	Vcard_DToL04967-RA	XP_026485775.1
OG0002583	Vcard_DToL17547-RA	XP_026483881.1, XP_026483880.1
OG0002584	Vcard_DToL06536-RA	XP_026501194.1
OG0002585	Vcard_DToL02019-RA	XP_026484345.1
OG0002586	Vcard_DToL13383-RA	XP_026492923.1
OG0002587	Vcard_DToL14849-RA	XP_026490985.1
OG0002588	Vcard_DToL06052-RA	XP_026500390.1
OG0002589	Vcard_DToL16924-RA	XP_026485923.1
OG0002590	Vcard_DToL02022-RA	XP_026484846.1
OG0002592	Vcard_DToL04228-RA	XP_026488186.1
OG0002593	Vcard_DToL16419-RA	XP_026499889.1
OG0002594	Vcard_DToL09511-RA	XP_026492159.1
OG0002595	Vcard_DToL08818-RA	XP_026494962.1, XP_026494960.1
OG0002596	Vcard_DToL06039-RA, Vcard_DToL06040-RA	XP_026500414.1
OG0002597	Vcard_DToL15189-RA	XP_026497572.1, XP_026497571.1
OG0002598	Vcard_DToL17517-RA	XP_026483771.1
OG0002599	Vcard_DToL14838-RA	XP_026500379.1
OG0002600	Vcard_DToL13354-RA	XP_026492453.1
OG0002601	Vcard_DToL14831-RA	XP_026500381.1
OG0002602	Vcard_DToL17521-RA	XP_026483773.1
OG0002603	Vcard_DToL09501-RA	XP_026492331.1
OG0002604	Vcard_DToL02032-RA	XP_026484801.1
OG0002605	Vcard_DToL08810-RA	XP_026494894.1
OG0002607	Vcard_DToL16911-RA	XP_026485832.1
OG0002608	Vcard_DToL18657-RA	XP_026483143.1
OG0002610	Vcard_DToL11959-RA	XP_026486923.1
OG0002611	Vcard_DToL09348-RA	XP_026499663.1
OG0002612	Vcard_DToL18306-RA	XP_026483550.1
OG0002613	Vcard_DToL12247-RA	XP_026499174.1
OG0002614	Vcard_DToL09349-RA	XP_026499661.1
OG0002615	Vcard_DToL03226-RA	XP_026496370.1, XP_026496371.1
OG0002616	Vcard_DToL03571-RA	XP_026491807.1
OG0002616	Vcard_DToL03570-RA	XP_026491808.1
OG0002617	Vcard_DToL04243-RA	XP_026488316.1
OG0002618	Vcard_DToL16012-RA	XP_026492471.1
OG0002619	Vcard_DToL03576-RA	XP_026491473.1
OG0002620	Vcard_DToL08798-RA	XP_026495263.1
OG0002621	Vcard_DToL16125-RA	XP_026498738.1
OG0002622	Vcard_DToL03583-RA	XP_026491472.1, XP_026491471.1
OG0002623	Vcard_DToL13334-RA	XP_026490679.1
OG0002624	Vcard_DToL02050-RA	XP_026484779.1, XP_026484594.1
OG0002625	Vcard_DToL03231-RA	XP_026496296.1, XP_026496297.1
OG0002626	Vcard_DToL13327-RA	XP_026490541.1
OG0002627	Vcard_DToL01163-RA	XP_026487908.1
OG0002628	Vcard_DToL02053-RA	XP_026484405.1
OG0002630	Vcard_DToL13319-RA	XP_026492108.1
OG0002632	Vcard_DToL13318-RA	XP_026492029.1
OG0002633	Vcard_DToL01168-RA	XP_026487878.1
OG0002634	Vcard_DToL18614-RA	XP_026489236.1
OG0002636	Vcard_DToL06002-RA	XP_026487662.1
OG0002637	Vcard_DToL06492-RA	XP_026484658.1, XP_026484649.1
OG0002638	Vcard_DToL03234-RA	XP_026496434.1
OG0002639	Vcard_DToL06491-RA	XP_026484680.1, XP_026484671.1
OG0002640	Vcard_DToL13308-RA	XP_026491951.1
OG0002641	Vcard_DToL16989-RA	XP_026486234.1
OG0002642	Vcard_DToL00276-RA	XP_026497985.1
OG0002643	Vcard_DToL13302-RA	XP_026491974.1
OG0002644	Vcard_DToL18262-RA	XP_026483347.1
OG0002645	Vcard_DToL01517-RA	XP_026494773.1
OG0002646	Vcard_DToL12277-RA	XP_026499057.1
OG0002647	Vcard_DToL13946-RA	XP_026496146.1
OG0002648	Vcard_DToL12742-RA	XP_026495835.1, XP_026495836.1, XP_026495837.1
OG0002649	Vcard_DToL08766-RA	XP_026495194.1
OG0002650	Vcard_DToL01525-RA	XP_026494751.1
OG0002651	Vcard_DToL07702-RA	XP_026488950.1
OG0002652	Vcard_DToL17504-RA	XP_026483641.1
OG0002653	Vcard_DToL02079-RA	XP_026484410.1
OG0002654	Vcard_DToL10505-RA, Vcard_DToL10506-RA	XP_026485466.1
OG0002655	Vcard_DToL02081-RA	XP_026484395.1
OG0002656	Vcard_DToL11296-RA	XP_026498038.1
OG0002657	Vcard_DToL11292-RA	XP_026498025.1
OG0002658	Vcard_DToL02090-RA	XP_026484390.1
OG0002659	Vcard_DToL13272-RA	XP_026491860.1
OG0002660	Vcard_DToL09383-RA	XP_026499640.1
OG0002661	Vcard_DToL16360-RA	XP_026497648.1
OG0002663	Vcard_DToL17459-RA	XP_026483721.1, XP_026483722.1
OG0002664	Vcard_DToL16141-RA, Vcard_DToL16138-RA	XP_026498745.1
OG0002665	Vcard_DToL05967-RA	XP_026487400.1
OG0002666	Vcard_DToL12288-RA	XP_026499306.1
OG0002667	Vcard_DToL16142-RA	XP_026498741.1
OG0002668	Vcard_DToL15335-RA	XP_026497332.1
OG0002669	Vcard_DToL04279-RA	XP_026488257.1
OG0002671	Vcard_DToL05030-RA	XP_026486093.1, XP_026486094.1
OG0002672	Vcard_DToL07719-RA	XP_026488979.1, XP_026488978.1
OG0002673	Vcard_DToL09855-RA	XP_026493177.1
OG0002674	Vcard_DToL01534-RA	XP_026493646.1
OG0002675	Vcard_DToL07297-RA	XP_026497000.1, XP_026497002.1
OG0002676	Vcard_DToL01536-RA	XP_026493645.1
OG0002677	Vcard_DToL08752-RA	XP_026495293.1, XP_026495294.1, XP_026495292.1
OG0002678	Vcard_DToL13266-RA, Vcard_DToL13264-RA	XP_026491810.1
OG0002679	Vcard_DToL12300-RA	XP_026499078.1
OG0002680	Vcard_DToL02103-RA	XP_026484387.1
OG0002681	Vcard_DToL07671-RA, Vcard_DToL07928-RA	XP_026501298.1
OG0002682	Vcard_DToL13263-RA	XP_026491179.1
OG0002683	Vcard_DToL16146-RA	XP_026498705.1
OG0002684	Vcard_DToL10486-RA	XP_026485459.1
OG0002686	Vcard_DToL08264-RA	XP_026488598.1
OG0002687	Vcard_DToL07301-RA	XP_026497033.1
