Orthogroup	Vanessa_cardui	Pararge_aegeria
OG0001184	Vcard_DToL12792-RA	XP_039756680.1
OG0001186	Vcard_DToL01569-RA	XP_039757156.1
OG0001188	Vcard_DToL11966-RA	XP_039755460.1, XP_039755459.1, XP_039755461.1
OG0001189	Vcard_DToL12802-RA	XP_039756674.1, XP_039756458.1
OG0001190	Vcard_DToL04711-RA	XP_039750038.1
OG0001191	Vcard_DToL07856-RA	XP_039752261.1, XP_039752260.1
OG0001192	Vcard_DToL02165-RA	XP_039765376.1
OG0001193	Vcard_DToL17076-RA, Vcard_DToL17075-RA, Vcard_DToL17074-RA	XP_039761362.1
OG0001194	Vcard_DToL15377-RA, Vcard_DToL15376-RA	XP_039759801.1
OG0001195	Vcard_DToL11061-RA	XP_039757043.1
OG0001196	Vcard_DToL08632-RA	XP_039746624.1, XP_039746626.1
OG0001197	Vcard_DToL01614-RA	XP_039760466.1, XP_039760475.1, XP_039760457.1, XP_039760448.1
OG0001198	Vcard_DToL12721-RA	XP_039756248.1
OG0001199	Vcard_DToL12718-RA	XP_039756292.1, XP_039756293.1
OG0001200	Vcard_DToL09806-RA	XP_039758516.1
OG0001200	Vcard_DToL09808-RA	XP_039758729.1
OG0001201	Vcard_DToL01282-RA	XP_039760768.1
OG0001203	Vcard_DToL14211-RA, Vcard_DToL14212-RA	XP_039748184.1
OG0001204	Vcard_DToL17301-RA, Vcard_DToL17302-RA	XP_039761775.1
OG0001205	Vcard_DToL11991-RA	XP_039755861.1
OG0001206	Vcard_DToL05849-RA, Vcard_DToL05848-RA	XP_039764497.1
OG0001207	Vcard_DToL08580-RA	XP_039747396.1, XP_039747394.1, XP_039747398.1, XP_039747397.1
OG0001208	Vcard_DToL03727-RA, Vcard_DToL03726-RA	XP_039745569.1
OG0001209	Vcard_DToL01249-RA, Vcard_DToL01248-RA	XP_039752005.1
OG0001210	Vcard_DToL04398-RA	XP_039754540.1
OG0001211	Vcard_DToL14431-RA, Vcard_DToL14432-RA	XP_039757924.1
OG0001212	Vcard_DToL09489-RA	XP_039752865.1
OG0001213	Vcard_DToL04415-RA	XP_039754230.1
OG0001213	Vcard_DToL04413-RA	XP_039754088.1
OG0001214	Vcard_DToL15415-RA, Vcard_DToL15414-RA	XP_039759923.1
OG0001215	Vcard_DToL16181-RA	XP_039760558.1
OG0001216	Vcard_DToL09315-RA	XP_039752943.1
OG0001217	Vcard_DToL17327-RA	XP_039761720.1
OG0001219	Vcard_DToL02308-RA	XP_039765520.1, XP_039765521.1
OG0001220	Vcard_DToL07784-RA	XP_039752289.1, XP_039752288.1
OG0001221	Vcard_DToL11086-RA	XP_039756896.1, XP_039756894.1, XP_039756895.1, XP_039756897.1
OG0001222	Vcard_DToL03015-RA, Vcard_DToL03014-RA	XP_039755047.1, XP_039755048.1
OG0001223	Vcard_DToL02301-RA	XP_039745265.1
OG0001223	Vcard_DToL02300-RA	XP_039745268.1
OG0001224	Vcard_DToL13762-RA	XP_039759111.1, XP_039759110.1
OG0001225	Vcard_DToL13757-RA, Vcard_DToL13755-RA	XP_039758966.1
OG0001226	Vcard_DToL02259-RA, Vcard_DToL02269-RA, Vcard_DToL02268-RA	XP_039745451.1
OG0001227	Vcard_DToL09272-RA, Vcard_DToL09271-RA	XP_039753703.1
OG0001228	Vcard_DToL14378-RA, Vcard_DToL14377-RA, Vcard_DToL14375-RA	XP_039758035.1
OG0001230	Vcard_DToL14284-RA	XP_039748397.1
OG0001231	Vcard_DToL04475-RA	XP_039754571.1
OG0001232	Vcard_DToL12600-RA	XP_039756158.1
OG0001233	Vcard_DToL14295-RA	XP_039747865.1
OG0001234	Vcard_DToL05742-RA	XP_039763237.1, XP_039763229.1, XP_039763246.1
OG0001235	Vcard_DToL12155-RA	XP_039755627.1
OG0001236	Vcard_DToL12145-RA, Vcard_DToL12142-RA	XP_039755518.1
OG0001237	Vcard_DToL02401-RA	XP_039745522.1
OG0001238	Vcard_DToL15615-RA, Vcard_DToL15616-RA	XP_039745650.1
OG0001239	Vcard_DToL15613-RA	XP_039756106.1
OG0001240	Vcard_DToL01438-RA, Vcard_DToL01440-RA	XP_039761637.1, XP_039761645.1
OG0001241	Vcard_DToL02421-RA	XP_039765932.1, XP_039765933.1, XP_039765931.1
OG0001242	Vcard_DToL05667-RA	XP_039765023.1, XP_039764508.1
OG0001243	Vcard_DToL08219-RA	XP_039752566.1, XP_039752568.1, XP_039752567.1, XP_039752565.1, XP_039752564.1
OG0001244	Vcard_DToL11911-RA	XP_039755786.1
OG0001245	Vcard_DToL10064-RA	XP_039758882.1
OG0001245	Vcard_DToL10065-RA	XP_039758790.1
OG0001246	Vcard_DToL09195-RA, Vcard_DToL09192-RA, Vcard_DToL09193-RA	XP_039753023.1
OG0001247	Vcard_DToL15695-RA	XP_039765291.1, XP_039765290.1
OG0001248	Vcard_DToL10304-RA, Vcard_DToL10305-RA	XP_039750865.1
OG0001249	Vcard_DToL13785-RA	XP_039759479.1, XP_039759480.1
OG0001250	Vcard_DToL05310-RA	XP_039748881.1, XP_039748880.1, XP_039748882.1, XP_039748879.1
OG0001251	Vcard_DToL09179-RA	XP_039753419.1
OG0001252	Vcard_DToL17850-RA	XP_039760674.1, XP_039760672.1, XP_039760670.1, XP_039760673.1, XP_039760671.1
OG0001253	Vcard_DToL05642-RA	XP_039765005.1, XP_039765007.1, XP_039765006.1
OG0001254	Vcard_DToL13769-RA, Vcard_DToL13770-RA	XP_039759700.1
OG0001255	Vcard_DToL00604-RA	XP_039764212.1, XP_039764210.1, XP_039764209.1, XP_039764125.1, XP_039764211.1
OG0001256	Vcard_DToL06976-RA	XP_039751510.1
OG0001257	Vcard_DToL12519-RA	XP_039756440.1, XP_039756441.1, XP_039756439.1
OG0001258	Vcard_DToL08143-RA	XP_039751812.1
OG0001258	Vcard_DToL08142-RA	XP_039752329.1
OG0001260	Vcard_DToL08132-RA, Vcard_DToL08131-RA	XP_039752117.1
OG0001261	Vcard_DToL07006-RA	XP_039751686.1
OG0001261	Vcard_DToL07007-RA	XP_039751599.1
OG0001262	Vcard_DToL03885-RA	XP_039745751.1, XP_039745753.1, XP_039745752.1
OG0001263	Vcard_DToL04653-RA	XP_039754448.1
OG0001264	Vcard_DToL15768-RA	XP_039745121.1, XP_039745128.1
OG0001266	Vcard_DToL15784-RA	XP_039758691.1
OG0001267	Vcard_DToL15787-RA	XP_039749889.1
OG0001269	Vcard_DToL01303-RA, Vcard_DToL01304-RA	XP_039751731.1, XP_039751734.1
OG0001270	Vcard_DToL02619-RA, Vcard_DToL02621-RA	XP_039765549.1
OG0001271	Vcard_DToL04704-RA, Vcard_DToL04702-RA	XP_039753870.1
OG0001272	Vcard_DToL15815-RA	XP_039748973.1, XP_039748965.1, XP_039748982.1, XP_039748956.1
OG0001273	Vcard_DToL01317-RA	XP_039760790.1
OG0001274	Vcard_DToL02638-RA	XP_039765381.1, XP_039765382.1, XP_039765383.1
OG0001275	Vcard_DToL15821-RA	XP_039749416.1
OG0001276	Vcard_DToL05509-RA	XP_039764526.1
OG0001278	Vcard_DToL03936-RA	XP_039746076.1
OG0001279	Vcard_DToL00624-RA	XP_039763979.1, XP_039764123.1, XP_039763960.1
OG0001280	Vcard_DToL08039-RA	XP_039752478.1, XP_039752480.1, XP_039752481.1, XP_039752479.1
OG0001281	Vcard_DToL05558-RA	XP_039764883.1
OG0001281	Vcard_DToL05559-RA	XP_039764521.1
OG0001282	Vcard_DToL15863-RA	XP_039765967.1
OG0001283	Vcard_DToL15878-RA	XP_039748416.1
OG0001284	Vcard_DToL15874-RA	XP_039750030.1
OG0001285	Vcard_DToL00671-RA	XP_039763845.1, XP_039763844.1
OG0001286	Vcard_DToL02812-RA	XP_039755132.1
OG0001287	Vcard_DToL18793-RA	XP_039763056.1, XP_039762837.1, XP_039764278.1, XP_039763058.1, XP_039764260.1, XP_039764251.1
OG0001289	Vcard_DToL04086-RA	XP_039754073.1, XP_039754182.1, XP_039754181.1, XP_039754180.1, XP_039753961.1, XP_039754072.1, XP_039753962.1, XP_039754183.1, XP_039754074.1, XP_039754075.1
OG0001291	Vcard_DToL03423-RA	XP_039745970.1, XP_039745971.1
OG0001302	Vcard_DToL17905-RA, Vcard_DToL17907-RA	XP_039762312.1, XP_039762311.1
OG0001303	Vcard_DToL11306-RA	XP_039757077.1
OG0001304	Vcard_DToL11307-RA	XP_039756811.1
OG0001305	Vcard_DToL04869-RA	XP_039748578.1, XP_039748577.1
OG0001306	Vcard_DToL03008-RA	XP_039755005.1
OG0001307	Vcard_DToL10610-RA	XP_039750247.1, XP_039750248.1, XP_039750246.1
OG0001308	Vcard_DToL15295-RA	XP_039760230.1, XP_039760231.1
OG0001309	Vcard_DToL14944-RA	XP_039757523.1, XP_039757520.1, XP_039757525.1, XP_039757521.1, XP_039757519.1, XP_039757522.1
OG0001310	Vcard_DToL17892-RA	XP_039762097.1, XP_039762096.1
OG0001311	Vcard_DToL09685-RA, Vcard_DToL09686-RA	XP_039753048.1
OG0001312	Vcard_DToL18492-RA	XP_039752818.1, XP_039752819.1
OG0001315	Vcard_DToL14112-RA	XP_039747968.1, XP_039747965.1, XP_039747967.1, XP_039747966.1
OG0001316	Vcard_DToL15304-RA	XP_039760150.1
OG0001318	Vcard_DToL15984-RA, Vcard_DToL15983-RA	XP_039760692.1
OG0001319	Vcard_DToL07164-RA	XP_039749732.1, XP_039749729.1, XP_039749731.1
OG0001320	Vcard_DToL12474-RA	XP_039755284.1
OG0001321	Vcard_DToL18342-RA	XP_039752455.1
OG0001322	Vcard_DToL18340-RA, Vcard_DToL18338-RA, Vcard_DToL18339-RA	XP_039752091.1
OG0001324	Vcard_DToL11322-RA	XP_039757034.1
OG0001325	Vcard_DToL00125-RA	XP_039764004.1
OG0001326	Vcard_DToL03069-RA	XP_039754919.1, XP_039755244.1
OG0001327	Vcard_DToL16482-RA, Vcard_DToL16481-RA	XP_039746704.1
OG0001328	Vcard_DToL16493-RA	XP_039752499.1
OG0001330	Vcard_DToL15891-RA	XP_039760453.1
OG0001331	Vcard_DToL11328-RA, Vcard_DToL11331-RA, Vcard_DToL11332-RA	XP_039756943.1
OG0001333	Vcard_DToL14108-RA	XP_039748485.1
OG0001334	Vcard_DToL16731-RA	XP_039749199.1
OG0001336	Vcard_DToL12463-RA	XP_039755306.1
OG0001337	Vcard_DToL18436-RA	XP_039751837.1
OG0001338	Vcard_DToL17502-RA	XP_039747851.1
OG0001339	Vcard_DToL14092-RA	XP_039748053.1
OG0001341	Vcard_DToL17793-RA	XP_039762446.1
OG0001342	Vcard_DToL16795-RA	XP_039761208.1, XP_039761293.1
OG0001343	Vcard_DToL15147-RA	XP_039759743.1
OG0001344	Vcard_DToL18544-RA	XP_039752802.1
OG0001345	Vcard_DToL01877-RA	XP_039765421.1, XP_039765420.1, XP_039765419.1
OG0001346	Vcard_DToL06293-RA, Vcard_DToL06285-RA, Vcard_DToL06287-RA, Vcard_DToL06294-RA	XP_039764683.1
OG0001347	Vcard_DToL12437-RA	XP_039755741.1
OG0001349	Vcard_DToL15914-RA	XP_039760519.1
OG0001350	Vcard_DToL16245-RA	XP_039760581.1
OG0001352	Vcard_DToL14918-RA	XP_039758109.1, XP_039758111.1, XP_039758110.1, XP_039758108.1
OG0001353	Vcard_DToL17826-RA	XP_039762354.1, XP_039762353.1, XP_039762352.1
OG0001354	Vcard_DToL17835-RA	XP_039762402.1
OG0001355	Vcard_DToL14839-RA	XP_039757908.1, XP_039758027.1
OG0001356	Vcard_DToL13705-RA, Vcard_DToL13707-RA, Vcard_DToL13706-RA	XP_039759321.1
OG0001358	Vcard_DToL01811-RA	XP_039765536.1
OG0001359	Vcard_DToL09588-RA	XP_039753472.1
OG0001360	Vcard_DToL18419-RA, Vcard_DToL18418-RA	XP_039752039.1, XP_039752041.1, XP_039752040.1
OG0001361	Vcard_DToL03381-RA	XP_039746214.1, XP_039746097.1
OG0001362	Vcard_DToL07142-RA, Vcard_DToL07139-RA, Vcard_DToL07140-RA	XP_039749828.1
OG0001364	Vcard_DToL17729-RA, Vcard_DToL17730-RA	XP_039748200.1
OG0001365	Vcard_DToL09016-RA	XP_039746915.1, XP_039746914.1
OG0001366	Vcard_DToL00065-RA	XP_039763630.1, XP_039763628.1, XP_039763629.1
OG0001367	Vcard_DToL01789-RA	XP_039745181.1
OG0001368	Vcard_DToL00069-RA, Vcard_DToL00071-RA	XP_039763088.1
OG0001369	Vcard_DToL04804-RA, Vcard_DToL04802-RA	XP_039749141.1
OG0001370	Vcard_DToL16061-RA, Vcard_DToL16062-RA	XP_039760702.1
OG0001371	Vcard_DToL07120-RA	XP_039749891.1
OG0001373	Vcard_DToL01897-RA	XP_039745437.1
OG0001374	Vcard_DToL00891-RA	XP_039754894.1, XP_039754886.1, XP_039754879.1
OG0001376	Vcard_DToL01774-RA	XP_039765362.1
OG0001376	Vcard_DToL06191-RA	XP_039762308.1, XP_039762309.1
OG0001377	Vcard_DToL13871-RA	XP_039748165.1
OG0001378	Vcard_DToL14185-RA	XP_039748265.1
OG0001379	Vcard_DToL01766-RA	XP_039745331.1, XP_039745330.1
OG0001380	Vcard_DToL00015-RA	XP_039764219.1
OG0001382	Vcard_DToL12993-RA	XP_039756130.1
OG0001383	Vcard_DToL03408-RA, Vcard_DToL03406-RA	XP_039745946.1
OG0001384	Vcard_DToL18792-RA	XP_039764237.1, XP_039764269.1
OG0001385	Vcard_DToL07096-RA, Vcard_DToL07094-RA	XP_039749675.1
OG0001386	Vcard_DToL04109-RA	XP_039754451.1
OG0001387	Vcard_DToL08983-RA	XP_039747348.1, XP_039747347.1
OG0001388	Vcard_DToL04104-RA	XP_039754429.1
OG0001390	Vcard_DToL08973-RA	XP_039747415.1
OG0001391	Vcard_DToL06412-RA, Vcard_DToL06414-RA	XP_039751294.1
OG0001392	Vcard_DToL16624-RA	XP_039747512.1
OG0001393	Vcard_DToL04779-RA, Vcard_DToL04785-RA	XP_039749067.1
OG0001395	Vcard_DToL13830-RA	XP_039748324.1
OG0001396	Vcard_DToL17683-RA	XP_039748191.1
OG0001397	Vcard_DToL18760-RA	XP_039762864.1
OG0001398	Vcard_DToL16045-RA	XP_039760531.1
OG0001399	Vcard_DToL18314-RA	XP_039752126.1, XP_039752009.1
OG0001400	Vcard_DToL14554-RA	XP_039757805.1, XP_039757807.1, XP_039757808.1, XP_039757806.1
OG0001401	Vcard_DToL10749-RA	XP_039750656.1
OG0001404	Vcard_DToL03179-RA	XP_039754612.1
OG0001405	Vcard_DToL16111-RA	XP_039760744.1
OG0001406	Vcard_DToL09591-RA, Vcard_DToL09592-RA	XP_039753546.1, XP_039753545.1
OG0001407	Vcard_DToL18305-RA	XP_039752299.1
OG0001408	Vcard_DToL18842-RA, Vcard_DToL18843-RA, Vcard_DToL18841-RA	XP_039762587.1
OG0001409	Vcard_DToL03995-RA	XP_039764119.1, XP_039754175.1
OG0001410	Vcard_DToL14596-RA	XP_039757905.1
OG0001412	Vcard_DToL12849-RA, Vcard_DToL12850-RA	XP_039756667.1
OG0001413	Vcard_DToL06892-RA	XP_039751578.1
OG0001415	Vcard_DToL04894-RA, Vcard_DToL04893-RA	XP_039748916.1, XP_039748913.1
OG0001416	Vcard_DToL18567-RA	XP_039762472.1
OG0001417	Vcard_DToL13469-RA, Vcard_DToL13468-RA	XP_039759248.1
OG0001418	Vcard_DToL00996-RA	XP_039752660.1, XP_039752677.1, XP_039752651.1, XP_039752668.1
OG0001419	Vcard_DToL00999-RA	XP_039760343.1, XP_039760355.1, XP_039760337.1, XP_039760348.1
OG0001421	Vcard_DToL14969-RA	XP_039759878.1
OG0001422	Vcard_DToL14016-RA	XP_039748075.1
OG0001423	Vcard_DToL10568-RA	XP_039750623.1
OG0001424	Vcard_DToL00079-RA, Vcard_DToL00077-RA	XP_039763105.1, XP_039763106.1
OG0001426	Vcard_DToL07669-RA	XP_039751992.1
OG0001427	Vcard_DToL06613-RA	XP_039751573.1, XP_039751570.1, XP_039751571.1, XP_039751572.1
OG0001428	Vcard_DToL00085-RA	XP_039763658.1, XP_039763659.1, XP_039763657.1
OG0001429	Vcard_DToL03500-RA	XP_039745803.1
OG0001430	Vcard_DToL15247-RA	XP_039760340.1, XP_039760154.1
OG0001431	Vcard_DToL17562-RA	XP_039747954.1, XP_039747953.1
OG0001432	Vcard_DToL00179-RA	XP_039763710.1
OG0001433	Vcard_DToL15617-RA	XP_039747168.1
OG0001434	Vcard_DToL13431-RA	XP_039759142.1
OG0001435	Vcard_DToL08845-RA	XP_039747067.1, XP_039747066.1
OG0001436	Vcard_DToL17557-RA	XP_039747959.1
OG0001437	Vcard_DToL06635-RA	XP_039751175.1, XP_039751176.1
OG0001438	Vcard_DToL08591-RA	XP_039746690.1, XP_039747307.1
OG0001439	Vcard_DToL04947-RA	XP_039748591.1
OG0001440	Vcard_DToL14880-RA, Vcard_DToL14879-RA	XP_039757669.1
OG0001441	Vcard_DToL04229-RA	XP_039754472.1, XP_039754473.1
OG0001442	Vcard_DToL09536-RA, Vcard_DToL09535-RA	XP_039753712.1
OG0001443	Vcard_DToL01106-RA	XP_039759440.1
OG0001445	Vcard_DToL18139-RA	XP_039762254.1, XP_039762235.1, XP_039762236.1
OG0001446	Vcard_DToL12205-RA	XP_039755714.1
OG0001447	Vcard_DToL04970-RA	XP_039748741.1
OG0001448	Vcard_DToL15202-RA	XP_039759872.1, XP_039759873.1, XP_039759871.1
OG0001449	Vcard_DToL06535-RA	XP_039751646.1
OG0001450	Vcard_DToL13376-RA, Vcard_DToL13377-RA	XP_039759024.1
OG0001451	Vcard_DToL04223-RA	XP_039754035.1, XP_039754490.1
OG0001452	Vcard_DToL13362-RA	XP_039759586.1
OG0001453	Vcard_DToL18154-RA	XP_039762310.1
OG0001454	Vcard_DToL15185-RA	XP_039759817.1, XP_039759818.1
OG0001455	Vcard_DToL03551-RA, Vcard_DToL03554-RA	XP_039745573.1
OG0001456	Vcard_DToL12239-RA	XP_039755344.1
OG0001457	Vcard_DToL02036-RA	XP_039765366.1
OG0001458	Vcard_DToL12241-RA	XP_039755440.1, XP_039755441.1
OG0001459	Vcard_DToL12244-RA	XP_039755540.1, XP_039755539.1
OG0001460	Vcard_DToL00297-RA	XP_039764221.1, XP_039763384.1
OG0001462	Vcard_DToL06513-RA, Vcard_DToL06512-RA	XP_039751086.1
OG0001463	Vcard_DToL12915-RA, Vcard_DToL12916-RA, Vcard_DToL12914-RA	XP_039756040.1
OG0001464	Vcard_DToL08795-RA	XP_039746907.1, XP_039746906.1
OG0001465	Vcard_DToL12920-RA	XP_039756056.1
OG0001466	Vcard_DToL01151-RA	XP_039762168.1, XP_039762174.1
OG0001467	Vcard_DToL17466-RA, Vcard_DToL17465-RA	XP_039747645.1
OG0001468	Vcard_DToL13967-RA, Vcard_DToL13968-RA	XP_039747779.1
OG0001469	Vcard_DToL12933-RA, Vcard_DToL12934-RA	XP_039756746.1
OG0001470	Vcard_DToL12117-RA	XP_039755908.1
OG0001471	Vcard_DToL03590-RA	XP_039745928.1
OG0001472	Vcard_DToL06502-RA	XP_039751368.1, XP_039751369.1, XP_039751367.1
OG0001473	Vcard_DToL18090-RA, Vcard_DToL18089-RA	XP_039762035.1
OG0001474	Vcard_DToL17493-RA	XP_039748159.1, XP_039748160.1, XP_039748158.1
OG0001475	Vcard_DToL13950-RA	XP_039748208.1
OG0001476	Vcard_DToL17495-RA	XP_039747643.1, XP_039747642.1
OG0001479	Vcard_DToL01519-RA	XP_039752980.1, XP_039752971.1
OG0001480	Vcard_DToL12741-RA	XP_039756470.1
OG0001481	Vcard_DToL14805-RA	XP_039757783.1
OG0001482	Vcard_DToL16374-RA, Vcard_DToL16373-RA	XP_039750565.1
OG0001483	Vcard_DToL02077-RA, Vcard_DToL02075-RA	XP_039745039.1
OG0001484	Vcard_DToL11297-RA, Vcard_DToL11295-RA	XP_039756760.1
OG0001485	Vcard_DToL05028-RA	XP_039749054.1
OG0001486	Vcard_DToL10483-RA	XP_039750280.1
OG0001487	Vcard_DToL06866-RA	XP_039751182.1
OG0001487	Vcard_DToL06867-RA	XP_039751645.1
OG0001488	Vcard_DToL16150-RA	XP_039760557.1, XP_039760554.1, XP_039760553.1, XP_039760552.1
OG0001490	Vcard_DToL17003-RA	XP_039760957.1, XP_039760956.1
OG0001491	Vcard_DToL11830-RA	XP_039755780.1
OG0001491	Vcard_DToL08728-RA	XP_039746829.1
OG0001492	Vcard_DToL00233-RA	XP_039763807.1, XP_039763806.1, XP_039763805.1
OG0001494	Vcard_DToL14141-RA, Vcard_DToL14143-RA	XP_039747924.1
OG0001495	Vcard_DToL15360-RA	XP_039760300.1
OG0001498	Vcard_DToL11963-RA	XP_039755271.1
OG0001499	Vcard_DToL14467-RA	XP_039757438.1
OG0001500	Vcard_DToL09827-RA	XP_039758714.1
OG0001502	Vcard_DToL09420-RA, Vcard_DToL09421-RA	XP_039753113.1
OG0001503	Vcard_DToL07844-RA	XP_039752222.1
OG0001505	Vcard_DToL01576-RA	XP_039757966.1, XP_039757980.1, XP_039757972.1
OG0001506	Vcard_DToL14469-RA, Vcard_DToL14470-RA	XP_039758152.1
OG0001507	Vcard_DToL15368-RA, Vcard_DToL15367-RA	XP_039759792.1, XP_039759793.1, XP_039759794.1
OG0001508	Vcard_DToL05107-RA	XP_039749107.1, XP_039749108.1
OG0001509	Vcard_DToL01578-RA	XP_039757386.1
OG0001511	Vcard_DToL01580-RA, Vcard_DToL01581-RA	XP_039759240.1, XP_039759233.1
OG0001512	Vcard_DToL04336-RA	XP_039754261.1
OG0001513	Vcard_DToL16220-RA	XP_039760662.1
OG0001516	Vcard_DToL11984-RA	XP_039755265.1, XP_039755264.1
OG0001517	Vcard_DToL14479-RA, Vcard_DToL14481-RA	XP_039757452.1
OG0001518	Vcard_DToL05150-RA, Vcard_DToL05149-RA	XP_039749225.1
OG0001519	Vcard_DToL02942-RA	XP_039755028.1, XP_039755031.1
OG0001520	Vcard_DToL07900-RA, Vcard_DToL07899-RA	XP_039752217.1
OG0001521	Vcard_DToL07903-RA	XP_039752572.1, XP_039751967.1, XP_039752372.1
OG0001522	Vcard_DToL05882-RA	XP_039764189.1
OG0001523	Vcard_DToL01292-RA	XP_039753871.1, XP_039753880.1
OG0001524	Vcard_DToL14501-RA	XP_039757758.1
OG0001525	Vcard_DToL07364-RA	XP_039749832.1
OG0001526	Vcard_DToL09797-RA	XP_039758402.1, XP_039758403.1
OG0001528	Vcard_DToL05349-RA	XP_039749086.1
OG0001529	Vcard_DToL15383-RA	XP_039759892.1, XP_039759891.1
OG0001531	Vcard_DToL17044-RA	XP_039761092.1
OG0001532	Vcard_DToL07918-RA	XP_039752483.1, XP_039752484.1
OG0001534	Vcard_DToL11037-RA	XP_039756920.1
OG0001535	Vcard_DToL01261-RA	XP_039760193.1
OG0001536	Vcard_DToL06720-RA	XP_039751482.1
OG0001537	Vcard_DToL00424-RA	XP_039763556.1
OG0001538	Vcard_DToL05360-RA, Vcard_DToL05362-RA	XP_039748989.1
OG0001539	Vcard_DToL02363-RA	XP_039765800.1
OG0001541	Vcard_DToL04389-RA	XP_039754515.1
OG0001542	Vcard_DToL16209-RA	XP_039760399.1
OG0001543	Vcard_DToL07985-RA	XP_039752123.1
OG0001544	Vcard_DToL04391-RA	XP_039754257.1, XP_039754256.1, XP_039754258.1
OG0001546	Vcard_DToL11992-RA	XP_039755564.1
OG0001547	Vcard_DToL16203-RA, Vcard_DToL16204-RA	XP_039760657.1
OG0001548	Vcard_DToL07385-RA	XP_039749487.1
OG0001549	Vcard_DToL05390-RA	XP_039748777.1
OG0001550	Vcard_DToL00446-RA	XP_039764135.1, XP_039764133.1, XP_039764132.1
OG0001551	Vcard_DToL14439-RA	XP_039757810.1
OG0001552	Vcard_DToL02323-RA	XP_039765681.1
OG0001553	Vcard_DToL07965-RA	XP_039752172.1, XP_039752173.1
OG0001554	Vcard_DToL13687-RA, Vcard_DToL13688-RA	XP_039759155.1
OG0001555	Vcard_DToL05816-RA	XP_039764590.1, XP_039764589.1, XP_039764591.1
OG0001556	Vcard_DToL05804-RA	XP_039765115.1, XP_039765114.1, XP_039765113.1
OG0001557	Vcard_DToL09491-RA	XP_039752955.1
OG0001558	Vcard_DToL15411-RA	XP_039759940.1, XP_039759941.1, XP_039759939.1, XP_039759942.1
OG0001559	Vcard_DToL09331-RA	XP_039753034.1
OG0001560	Vcard_DToL12030-RA	XP_039755309.1
OG0001561	Vcard_DToL08543-RA	XP_039746748.1
OG0001561	Vcard_DToL08548-RA	XP_039746747.1
OG0001562	Vcard_DToL09310-RA	XP_039753735.1
OG0001563	Vcard_DToL12616-RA, Vcard_DToL12614-RA	XP_039756185.1
OG0001564	Vcard_DToL14249-RA	XP_039748058.1
OG0001565	Vcard_DToL10212-RA	XP_039758569.1
OG0001566	Vcard_DToL07805-RA	XP_039752429.1, XP_039752426.1, XP_039752428.1
OG0001567	Vcard_DToL10392-RA	XP_039750485.1, XP_039750483.1, XP_039750484.1
OG0001568	Vcard_DToL15592-RA	XP_039757390.1
OG0001570	Vcard_DToL10379-RA	XP_039750961.1, XP_039750960.1
OG0001572	Vcard_DToL05435-RA	XP_039748790.1, XP_039748788.1
OG0001573	Vcard_DToL14280-RA, Vcard_DToL14279-RA	XP_039747538.1
OG0001574	Vcard_DToL08517-RA, Vcard_DToL08516-RA	XP_039746777.1
OG0001575	Vcard_DToL15464-RA	XP_039759947.1
OG0001576	Vcard_DToL04470-RA	XP_039754559.1
OG0001577	Vcard_DToL02243-RA, Vcard_DToL02245-RA	XP_039765716.1
OG0001578	Vcard_DToL01409-RA	XP_039755377.1
OG0001579	Vcard_DToL02239-RA	XP_039765723.1, XP_039765722.1
OG0001580	Vcard_DToL10092-RA, Vcard_DToL10093-RA	XP_039758699.1
OG0001581	Vcard_DToL02373-RA	XP_039765478.1
OG0001582	Vcard_DToL02376-RA	XP_039765781.1
OG0001583	Vcard_DToL17235-RA	XP_039761620.1
OG0001584	Vcard_DToL02382-RA, Vcard_DToL02381-RA	XP_039745361.1
OG0001586	Vcard_DToL17223-RA	XP_039761614.1, XP_039761615.1, XP_039761616.1, XP_039761617.1
OG0001587	Vcard_DToL13816-RA	XP_039758938.1, XP_039758939.1
OG0001588	Vcard_DToL10102-RA	XP_039758799.1
OG0001591	Vcard_DToL10938-RA	XP_039757047.1
OG0001592	Vcard_DToL10362-RA, Vcard_DToL10359-RA, Vcard_DToL10360-RA, Vcard_DToL10361-RA	XP_039750463.1
OG0001593	Vcard_DToL01433-RA	XP_039752613.1
OG0001594	Vcard_DToL05174-RA, Vcard_DToL05175-RA	XP_039748597.1
OG0001595	Vcard_DToL14337-RA	XP_039757987.1, XP_039757984.1, XP_039757985.1, XP_039757986.1
OG0001597	Vcard_DToL05684-RA, Vcard_DToL05686-RA	XP_039765053.1
OG0001600	Vcard_DToL09212-RA	XP_039764307.1, XP_039763087.1, XP_039764328.1, XP_039752854.1
OG0001601	Vcard_DToL07526-RA, Vcard_DToL07527-RA	XP_039749451.1, XP_039749452.1
OG0001602	Vcard_DToL10072-RA, Vcard_DToL10071-RA	XP_039758235.1, XP_039758236.1
OG0001603	Vcard_DToL18545-RA, Vcard_DToL18549-RA	XP_039752017.1
OG0001604	Vcard_DToL08203-RA	XP_039752128.1, XP_039752130.1
OG0001604	Vcard_DToL08204-RA	XP_039752131.1
OG0001605	Vcard_DToL08193-RA	XP_039751954.1
OG0001607	Vcard_DToL02483-RA	XP_039765861.1, XP_039765559.1
OG0001608	Vcard_DToL11904-RA, Vcard_DToL11905-RA	XP_039755545.1
OG0001610	Vcard_DToL05644-RA	XP_039764742.1, XP_039764741.1, XP_039764743.1
