Orthogroup	Vanessa_cardui	Danaus_plexippus
OG0002158	Vcard_DToL13776-RA, Vcard_DToL13775-RA	DPOGS202884-PA
OG0002160	Vcard_DToL10869-RA	DPOGS203491-PA
OG0002161	Vcard_DToL09173-RA	DPOGS200872-PA
OG0002163	Vcard_DToL01725-RA	DPOGS210604-PA, DPOGS210603-PA
OG0002164	Vcard_DToL04583-RA, Vcard_DToL04581-RA	DPOGS200337-PA
OG0002165	Vcard_DToL02510-RA	DPOGS208717-PA
OG0002166	Vcard_DToL10879-RA	DPOGS203580-PA
OG0002166	Vcard_DToL10880-RA	DPOGS203581-PA
OG0002167	Vcard_DToL05631-RA	DPOGS214089-PA
OG0002168	Vcard_DToL09156-RA	DPOGS200868-PA
OG0002169	Vcard_DToL10296-RA, Vcard_DToL10295-RA	DPOGS200207-PA
OG0002170	Vcard_DToL00692-RA	DPOGS203312-PA
OG0002171	Vcard_DToL09148-RA, Vcard_DToL09149-RA	DPOGS200865-PA
OG0002172	Vcard_DToL15727-RA, Vcard_DToL15726-RA, Vcard_DToL15724-RA	DPOGS214919-PA
OG0002173	Vcard_DToL10892-RA	DPOGS211604-PA
OG0002174	Vcard_DToL04610-RA, Vcard_DToL04609-RA, Vcard_DToL04611-RA	DPOGS200289-PA
OG0002175	Vcard_DToL17100-RA	DPOGS207692-PA
OG0002177	Vcard_DToL11872-RA	DPOGS212341-PA, DPOGS214682-PA
OG0002178	Vcard_DToL05612-RA	DPOGS207637-PA
OG0002179	Vcard_DToL05611-RA, Vcard_DToL16691-RA	DPOGS207627-PA
OG0002180	Vcard_DToL08302-RA	DPOGS204761-PA
OG0002181	Vcard_DToL04637-RA	DPOGS200365-PA
OG0002182	Vcard_DToL11101-RA	DPOGS206668-PA
OG0002183	Vcard_DToL03896-RA	DPOGS200730-PA
OG0002184	Vcard_DToL04655-RA	DPOGS215068-PA
OG0002185	Vcard_DToL03897-RA	DPOGS209337-PA, DPOGS209336-PA, DPOGS209335-PA
OG0002186	Vcard_DToL04666-RA	DPOGS215064-PA
OG0002187	Vcard_DToL03902-RA	DPOGS205681-PA, DPOGS209297-PA
OG0002188	Vcard_DToL07623-RA	DPOGS210216-PA
OG0002189	Vcard_DToL15786-RA, Vcard_DToL15785-RA	DPOGS213321-PA
OG0002190	Vcard_DToL15793-RA, Vcard_DToL15792-RA	DPOGS200051-PA
OG0002191	Vcard_DToL09075-RA	DPOGS205691-PA
OG0002193	Vcard_DToL07635-RA	DPOGS210241-PA
OG0002194	Vcard_DToL09066-RA	DPOGS205714-PA
OG0002196	Vcard_DToL08339-RA	DPOGS206717-PA
OG0002196	Vcard_DToL08337-RA	DPOGS206716-PA
OG0002197	Vcard_DToL02605-RA	DPOGS202179-PA
OG0002198	Vcard_DToL02617-RA	DPOGS202153-PA, DPOGS202152-PA
OG0002200	Vcard_DToL02627-RA	DPOGS202169-PA
OG0002201	Vcard_DToL02628-RA	DPOGS202168-PA
OG0002202	Vcard_DToL07646-RA, Vcard_DToL07648-RA, Vcard_DToL07647-RA	DPOGS210232-PA
OG0002203	Vcard_DToL00621-RA, Vcard_DToL00620-RA	DPOGS206125-PA
OG0002204	Vcard_DToL05201-RA	DPOGS213659-PA
OG0002204	Vcard_DToL05200-RA	DPOGS213658-PA
OG0002205	Vcard_DToL00717-RA	DPOGS203366-PA
OG0002206	Vcard_DToL03923-RA	DPOGS205669-PA
OG0002207	Vcard_DToL03925-RA	DPOGS205667-PA
OG0002208	Vcard_DToL04732-RA	DPOGS209383-PA
OG0002209	Vcard_DToL02654-RA, Vcard_DToL02660-RA	DPOGS202418-PA
OG0002211	Vcard_DToL05528-RA	DPOGS201872-PA
OG0002212	Vcard_DToL08029-RA, Vcard_DToL08030-RA	DPOGS206833-PA
OG0002213	Vcard_DToL03949-RA	DPOGS205658-PA
OG0002214	Vcard_DToL03952-RA, Vcard_DToL03953-RA	DPOGS205635-PA
OG0002215	Vcard_DToL15838-RA, Vcard_DToL15836-RA, Vcard_DToL15837-RA	DPOGS215155-PA, DPOGS210169-PA
OG0002216	Vcard_DToL00629-RA	DPOGS208365-PA
OG0002217	Vcard_DToL05560-RA	DPOGS201556-PA, DPOGS201557-PA
OG0002218	Vcard_DToL05564-RA, Vcard_DToL05563-RA	DPOGS201569-PA
OG0002219	Vcard_DToL15856-RA	DPOGS214826-PA
OG0002220	Vcard_DToL15864-RA	DPOGS206519-PA
OG0002221	Vcard_DToL01388-RA, Vcard_DToL01361-RA, Vcard_DToL01362-RA	DPOGS201449-PA
OG0002222	Vcard_DToL05572-RA	DPOGS201574-PA
OG0002223	Vcard_DToL00649-RA	DPOGS203285-PA
OG0002224	Vcard_DToL01374-RA, Vcard_DToL01373-RA	DPOGS201501-PA
OG0002225	Vcard_DToL02686-RA	DPOGS211461-PA
OG0002226	Vcard_DToL01382-RA	DPOGS201519-PA
OG0002227	Vcard_DToL01497-RA	DPOGS201741-PA
OG0002228	Vcard_DToL16976-RA	DPOGS208611-PA
OG0002228	Vcard_DToL16939-RA	DPOGS208612-PA, DPOGS205424-PA
OG0002230	Vcard_DToL15859-RA	DPOGS214829-PA, DPOGS214830-PA
OG0002231	Vcard_DToL10445-RA	DPOGS214549-PA
OG0002232	Vcard_DToL00907-RA, Vcard_DToL00909-RA	DPOGS215725-PA
OG0002233	Vcard_DToL10086-RA, Vcard_DToL10085-RA	DPOGS215405-PA
OG0002234	Vcard_DToL09518-RA	DPOGS201661-PA
OG0002235	Vcard_DToL04513-RA	DPOGS213301-PA
OG0002236	Vcard_DToL09732-RA, Vcard_DToL09740-RA	DPOGS201169-PA
OG0002247	Vcard_DToL03517-RA, Vcard_DToL03518-RA	DPOGS211941-PA
OG0002248	Vcard_DToL13944-RA	DPOGS213238-PA
OG0002249	Vcard_DToL18585-RA	DPOGS206021-PA
OG0002250	Vcard_DToL03304-RA, Vcard_DToL03303-RA	DPOGS203226-PA, DPOGS203227-PA
OG0002251	Vcard_DToL04010-RA	DPOGS210806-PA
OG0002253	Vcard_DToL03302-RA	DPOGS203138-PA, DPOGS203139-PA
OG0002255	Vcard_DToL06338-RA, Vcard_DToL01075-RA, Vcard_DToL06336-RA, Vcard_DToL06337-RA	DPOGS211050-PA
OG0002256	Vcard_DToL16767-RA	DPOGS203536-PA
OG0002257	Vcard_DToL09681-RA	DPOGS206296-PA
OG0002258	Vcard_DToL10608-RA	DPOGS208224-PA
OG0002259	Vcard_DToL06251-RA	DPOGS210903-PA
OG0002261	Vcard_DToL17896-RA	DPOGS211530-PA
OG0002262	Vcard_DToL17860-RA	DPOGS201614-PA
OG0002263	Vcard_DToL16955-RA, Vcard_DToL16956-RA	DPOGS208624-PA
OG0002264	Vcard_DToL04001-RA	DPOGS210802-PA
OG0002265	Vcard_DToL15296-RA	DPOGS212484-PA
OG0002266	Vcard_DToL18349-RA	DPOGS200450-PA
OG0002267	Vcard_DToL00809-RA, Vcard_DToL00810-RA	DPOGS202953-PA
OG0002268	Vcard_DToL09695-RA	DPOGS201182-PA
OG0002269	Vcard_DToL13596-RA, Vcard_DToL13595-RA	DPOGS211777-PA
OG0002270	Vcard_DToL15972-RA, Vcard_DToL15971-RA	DPOGS213227-PA
OG0002271	Vcard_DToL01853-RA	DPOGS208789-PA
OG0002272	Vcard_DToL07165-RA, Vcard_DToL07166-RA	DPOGS201224-PA
OG0002273	Vcard_DToL18692-RA	DPOGS202396-PA
OG0002275	Vcard_DToL16740-RA	DPOGS213359-PA
OG0002276	Vcard_DToL09500-RA	DPOGS206474-PA
OG0002277	Vcard_DToL18335-RA	DPOGS214426-PA
OG0002278	Vcard_DToL16831-RA	DPOGS213896-PA
OG0002279	Vcard_DToL04015-RA	DPOGS210809-PA
OG0002280	Vcard_DToL04016-RA	DPOGS210810-PA
OG0002281	Vcard_DToL04017-RA	DPOGS210858-PA, DPOGS210857-PA
OG0002282	Vcard_DToL16737-RA, Vcard_DToL16734-RA	DPOGS213354-PA
OG0002283	Vcard_DToL17801-RA	DPOGS201595-PA
OG0002284	Vcard_DToL04024-RA, Vcard_DToL04020-RA, Vcard_DToL06181-RA	DPOGS210812-PA
OG0002286	Vcard_DToL11333-RA	DPOGS205464-PA
OG0002287	Vcard_DToL16816-RA	DPOGS213903-PA
OG0002288	Vcard_DToL06362-RA	DPOGS212635-PA
OG0002289	Vcard_DToL17356-RA, Vcard_DToL00421-RA	DPOGS205146-PA
OG0002290	Vcard_DToL00167-RA	DPOGS200907-PA
OG0002291	Vcard_DToL12466-RA	DPOGS210336-PA
OG0002292	Vcard_DToL15320-RA	DPOGS210151-PA
OG0002293	Vcard_DToL06312-RA	DPOGS210140-PA
OG0002294	Vcard_DToL16727-RA	DPOGS213382-PA
OG0002295	Vcard_DToL17786-RA, Vcard_DToL17784-RA, Vcard_DToL17785-RA	DPOGS204622-PA
OG0002296	Vcard_DToL03334-RA	DPOGS204780-PA
OG0002297	Vcard_DToL00829-RA, Vcard_DToL00827-RA	DPOGS202963-PA
OG0002298	Vcard_DToL15898-RA, Vcard_DToL15899-RA	DPOGS208198-PA
OG0002299	Vcard_DToL15903-RA	DPOGS208201-PA
OG0002300	Vcard_DToL01864-RA	DPOGS208792-PA
OG0002301	Vcard_DToL18707-RA	DPOGS207368-PA, DPOGS205041-PA
OG0002302	Vcard_DToL18725-RA	DPOGS209118-PA, DPOGS209117-PA
OG0002303	Vcard_DToL17797-RA	DPOGS207912-PA, DPOGS201593-PA
OG0002305	Vcard_DToL00058-RA	DPOGS207179-PA
OG0002306	Vcard_DToL03349-RA	DPOGS204746-PA
OG0002307	Vcard_DToL03350-RA	DPOGS204776-PA
OG0002308	Vcard_DToL04844-RA	DPOGS210104-PA
OG0002309	Vcard_DToL11030-RA	DPOGS206604-PA
OG0002310	Vcard_DToL18427-RA	DPOGS214391-PA
OG0002311	Vcard_DToL18723-RA	DPOGS205014-PA
OG0002312	Vcard_DToL16797-RA	DPOGS213915-PA
OG0002313	Vcard_DToL15909-RA	DPOGS208205-PA
OG0002314	Vcard_DToL09730-RA	DPOGS207230-PA
OG0002315	Vcard_DToL14082-RA, Vcard_DToL14081-RA	DPOGS216123-PA
OG0002316	Vcard_DToL16712-RA, Vcard_DToL16713-RA	DPOGS213342-PA
OG0002317	Vcard_DToL18713-RA	DPOGS209112-PA
OG0002318	Vcard_DToL15141-RA	DPOGS207358-PA, DPOGS207357-PA
OG0002319	Vcard_DToL10163-RA	DPOGS205964-PA, DPOGS208057-PA
OG0002321	Vcard_DToL13625-RA	DPOGS211794-PA
OG0002322	Vcard_DToL13628-RA, Vcard_DToL13627-RA	DPOGS211764-PA
OG0002323	Vcard_DToL15138-RA	DPOGS207324-PA
OG0002324	Vcard_DToL04839-RA	DPOGS210103-PA
OG0002325	Vcard_DToL18712-RA	DPOGS203887-PA
OG0002326	Vcard_DToL17377-RA	DPOGS211813-PA
OG0002327	Vcard_DToL04837-RA, Vcard_DToL04836-RA	DPOGS210060-PA
OG0002328	Vcard_DToL18541-RA	DPOGS214414-PA
OG0002329	Vcard_DToL15068-RA	DPOGS207362-PA
OG0002330	Vcard_DToL18536-RA	DPOGS214402-PA
OG0002331	Vcard_DToL04834-RA, Vcard_DToL04835-RA	DPOGS210061-PA
OG0002332	Vcard_DToL11346-RA, Vcard_DToL11345-RA, Vcard_DToL11284-RA	DPOGS204716-PA
OG0002333	Vcard_DToL13074-RA	DPOGS205330-PA
OG0002334	Vcard_DToL17385-RA	DPOGS211816-PA
OG0002335	Vcard_DToL00843-RA	DPOGS206387-PA
OG0002337	Vcard_DToL07226-RA	DPOGS204519-PA
OG0002338	Vcard_DToL06383-RA, Vcard_DToL06384-RA	DPOGS205114-PA, DPOGS205923-PA
OG0002339	Vcard_DToL00851-RA	DPOGS206374-PA
OG0002340	Vcard_DToL03369-RA	DPOGS202677-PA, DPOGS202641-PA
OG0002341	Vcard_DToL15080-RA	DPOGS200216-PA
OG0002343	Vcard_DToL10843-RA, Vcard_DToL10846-RA, Vcard_DToL10845-RA	DPOGS210538-PA
OG0002344	Vcard_DToL16052-RA	DPOGS210284-PA
OG0002346	Vcard_DToL17180-RA, Vcard_DToL14644-RA, Vcard_DToL17181-RA	DPOGS204146-PA
OG0002347	Vcard_DToL06260-RA, Vcard_DToL06257-RA	DPOGS210900-PA
OG0002348	Vcard_DToL16844-RA	DPOGS213651-PA
OG0002349	Vcard_DToL16694-RA	DPOGS210177-PA
OG0002350	Vcard_DToL14655-RA	DPOGS204203-PA
OG0002351	Vcard_DToL17848-RA, Vcard_DToL17847-RA	DPOGS215029-PA
OG0002352	Vcard_DToL16053-RA, Vcard_DToL16055-RA	DPOGS202585-PA
OG0002353	Vcard_DToL17915-RA	DPOGS211524-PA
OG0002354	Vcard_DToL00064-RA	DPOGS207171-PA
OG0002355	Vcard_DToL03127-RA	DPOGS214513-PA
OG0002356	Vcard_DToL18815-RA	DPOGS204601-PA
OG0002357	Vcard_DToL18810-RA	DPOGS211262-PA
OG0002358	Vcard_DToL07136-RA	DPOGS209840-PA
OG0002360	Vcard_DToL17852-RA, Vcard_DToL17851-RA	DPOGS214972-PA
OG0002361	Vcard_DToL00874-RA	DPOGS215710-PA
OG0002362	Vcard_DToL16668-RA	DPOGS210173-PA, DPOGS203944-PA
OG0002363	Vcard_DToL11271-RA	DPOGS205491-PA
OG0002364	Vcard_DToL15096-RA	DPOGS209776-PA
OG0002365	Vcard_DToL18804-RA	DPOGS206213-PA
OG0002366	Vcard_DToL10015-RA	DPOGS206253-PA
OG0002367	Vcard_DToL09013-RA	DPOGS209626-PA, DPOGS209627-PA
OG0002368	Vcard_DToL07128-RA	DPOGS209838-PA
OG0002369	Vcard_DToL17721-RA	DPOGS214557-PA
OG0002372	Vcard_DToL11259-RA, Vcard_DToL11258-RA	DPOGS202721-PA
OG0002373	Vcard_DToL09002-RA, Vcard_DToL09004-RA	DPOGS209633-PA
OG0002374	Vcard_DToL11257-RA	DPOGS202707-PA
OG0002375	Vcard_DToL13672-RA	DPOGS202868-PA, DPOGS214362-PA
OG0002376	Vcard_DToL09000-RA	DPOGS209635-PA
OG0002377	Vcard_DToL18458-RA	DPOGS200883-PA
OG0002378	Vcard_DToL16887-RA	DPOGS216204-PA, DPOGS216203-PA
OG0002379	Vcard_DToL18462-RA	DPOGS203093-PA
OG0002380	Vcard_DToL17004-RA	DPOGS214490-PA
OG0002381	Vcard_DToL16885-RA	DPOGS216187-PA
OG0002382	Vcard_DToL13005-RA	DPOGS209488-PA, DPOGS209487-PA
OG0002383	Vcard_DToL01771-RA	DPOGS215326-PA
OG0002384	Vcard_DToL00899-RA	DPOGS215722-PA
OG0002385	Vcard_DToL12998-RA, Vcard_DToL13001-RA	DPOGS209522-PA
OG0002387	Vcard_DToL12380-RA	DPOGS212969-PA
OG0002388	Vcard_DToL01768-RA	DPOGS215307-PA
OG0002389	Vcard_DToL18474-RA, Vcard_DToL18473-RA	DPOGS211699-PA
OG0002390	Vcard_DToL06255-RA, Vcard_DToL06254-RA	DPOGS210902-PA
OG0002391	Vcard_DToL00910-RA	DPOGS215726-PA
OG0002393	Vcard_DToL09611-RA	DPOGS206342-PA
OG0002394	Vcard_DToL11251-RA	DPOGS200222-PA
OG0002395	Vcard_DToL12378-RA	DPOGS212970-PA
OG0002396	Vcard_DToL14680-RA	DPOGS211332-PA
OG0002397	Vcard_DToL01717-RA, Vcard_DToL03412-RA	DPOGS202655-PA
OG0002398	Vcard_DToL07093-RA	DPOGS209800-PA
OG0002399	Vcard_DToL15958-RA	DPOGS200797-PA
OG0002400	Vcard_DToL16659-RA	DPOGS216160-PA
OG0002401	Vcard_DToL13544-RA	DPOGS208417-PA
OG0002401	Vcard_DToL13543-RA	DPOGS208416-PA
OG0002402	Vcard_DToL17918-RA	DPOGS211505-PA
OG0002403	Vcard_DToL00024-RA	DPOGS206799-PA
OG0002404	Vcard_DToL09607-RA	DPOGS206339-PA
OG0002405	Vcard_DToL17693-RA	DPOGS213891-PA
OG0002406	Vcard_DToL00026-RA	DPOGS207159-PA
OG0002407	Vcard_DToL16081-RA	DPOGS215553-PA
OG0002408	Vcard_DToL17691-RA	DPOGS214931-PA, DPOGS214932-PA
OG0002410	Vcard_DToL03430-RA	DPOGS202659-PA
OG0002411	Vcard_DToL14689-RA	DPOGS211293-PA, DPOGS211292-PA, DPOGS211242-PA
OG0002412	Vcard_DToL00047-RA	DPOGS206794-PA, DPOGS206795-PA
OG0002413	Vcard_DToL14693-RA, Vcard_DToL14692-RA	DPOGS211232-PA
OG0002415	Vcard_DToL14705-RA	DPOGS208630-PA, DPOGS204159-PA
OG0002416	Vcard_DToL16038-RA	DPOGS206192-PA
OG0002417	Vcard_DToL14711-RA	DPOGS204197-PA
OG0002418	Vcard_DToL18768-RA	DPOGS209433-PA
OG0002420	Vcard_DToL13844-RA	DPOGS204636-PA
OG0002421	Vcard_DToL06424-RA, Vcard_DToL06425-RA	DPOGS209460-PA
OG0002422	Vcard_DToL06229-RA	DPOGS200670-PA
OG0002423	Vcard_DToL01728-RA	DPOGS203856-PA
OG0002424	Vcard_DToL13834-RA	DPOGS204642-PA
OG0002425	Vcard_DToL17975-RA, Vcard_DToL17976-RA	DPOGS203882-PA
OG0002426	Vcard_DToL00933-RA	DPOGS215689-PA
OG0002427	Vcard_DToL12970-RA	DPOGS204697-PA
OG0002428	Vcard_DToL06432-RA	DPOGS209445-PA
OG0002429	Vcard_DToL15134-RA	DPOGS215221-PA
OG0002430	Vcard_DToL00935-RA	DPOGS215736-PA, DPOGS215735-PA
OG0002431	Vcard_DToL00936-RA	DPOGS215686-PA
OG0002432	Vcard_DToL18819-RA	DPOGS204597-PA, DPOGS209938-PA
OG0002433	Vcard_DToL08952-RA, Vcard_DToL08953-RA	DPOGS212181-PA
OG0002434	Vcard_DToL14548-RA	DPOGS202269-PA
OG0002435	Vcard_DToL16050-RA	DPOGS210285-PA
OG0002436	Vcard_DToL10741-RA	DPOGS204134-PA
OG0002437	Vcard_DToL01879-RA	DPOGS208802-PA
OG0002438	Vcard_DToL18359-RA	DPOGS200468-PA
OG0002439	Vcard_DToL18362-RA, Vcard_DToL18361-RA	DPOGS203188-PA
OG0002440	Vcard_DToL17755-RA	DPOGS206763-PA
OG0002441	Vcard_DToL18365-RA	DPOGS203185-PA
OG0002441	Vcard_DToL18364-RA	DPOGS203186-PA
OG0002442	Vcard_DToL14052-RA	DPOGS213789-PA
OG0002443	Vcard_DToL07064-RA	DPOGS209813-PA
OG0002444	Vcard_DToL10730-RA	DPOGS204131-PA
OG0002445	Vcard_DToL18833-RA	DPOGS200154-PA
OG0002445	Vcard_DToL18834-RA	DPOGS200153-PA
OG0002446	Vcard_DToL18367-RA	DPOGS203197-PA
OG0002447	Vcard_DToL16868-RA	DPOGS212010-PA
OG0002448	Vcard_DToL10716-RA	DPOGS204118-PA, DPOGS204119-PA, DPOGS200473-PA
OG0002449	Vcard_DToL15040-RA	DPOGS215211-PA
OG0002450	Vcard_DToL13493-RA	DPOGS202937-PA
OG0002451	Vcard_DToL15043-RA	DPOGS215209-PA, DPOGS204775-PA, DPOGS215210-PA
OG0002452	Vcard_DToL00956-RA, Vcard_DToL00954-RA	DPOGS215745-PA
OG0002453	Vcard_DToL17656-RA, Vcard_DToL17655-RA	DPOGS200006-PA
OG0002455	Vcard_DToL03445-RA, Vcard_DToL03443-RA	DPOGS202033-PA
OG0002456	Vcard_DToL17876-RA	DPOGS201600-PA
OG0002457	Vcard_DToL00159-RA	DPOGS200903-PA, DPOGS213775-PA
OG0002458	Vcard_DToL16103-RA, Vcard_DToL16102-RA	DPOGS207209-PA
OG0002459	Vcard_DToL13480-RA	DPOGS202931-PA
OG0002460	Vcard_DToL04144-RA	DPOGS210869-PA
OG0002461	Vcard_DToL13479-RA	DPOGS207536-PA, DPOGS211509-PA
OG0002462	Vcard_DToL18848-RA	DPOGS212904-PA
OG0002463	Vcard_DToL14044-RA	DPOGS213785-PA
OG0002464	Vcard_DToL12845-RA	DPOGS216049-PA
OG0002465	Vcard_DToL12846-RA	DPOGS216056-PA
OG0002466	Vcard_DToL13477-RA	DPOGS207535-PA
OG0002467	Vcard_DToL18853-RA, Vcard_DToL18851-RA	DPOGS206205-PA
OG0002468	Vcard_DToL16942-RA	DPOGS215446-PA
OG0002468	Vcard_DToL16977-RA	DPOGS208610-PA
OG0002469	Vcard_DToL17891-RA	DPOGS215000-PA, DPOGS214999-PA, DPOGS215003-PA
OG0002470	Vcard_DToL18856-RA	DPOGS200778-PA
OG0002471	Vcard_DToL12353-RA, Vcard_DToL12352-RA	DPOGS201937-PA
OG0002472	Vcard_DToL18858-RA	DPOGS200775-PA, DPOGS200774-PA
OG0002473	Vcard_DToL15055-RA	DPOGS205594-PA
OG0002475	Vcard_DToL07047-RA	DPOGS209003-PA
OG0002477	Vcard_DToL07046-RA	DPOGS209018-PA
OG0002479	Vcard_DToL16087-RA	DPOGS215556-PA
OG0002481	Vcard_DToL16115-RA	DPOGS207216-PA
OG0002482	Vcard_DToL09577-RA	DPOGS204934-PA
OG0002483	Vcard_DToL14614-RA	DPOGS211322-PA
OG0002484	Vcard_DToL15060-RA, Vcard_DToL15059-RA	DPOGS211708-PA
OG0002485	Vcard_DToL18566-RA	DPOGS209282-PA
OG0002486	Vcard_DToL16510-RA	DPOGS204523-PA
OG0002487	Vcard_DToL06156-RA	DPOGS211171-PA
OG0002488	Vcard_DToL18408-RA	DPOGS210773-PA
OG0002489	Vcard_DToL10594-RA	DPOGS210982-PA
OG0002490	Vcard_DToL10240-RA	DPOGS204591-PA
OG0002491	Vcard_DToL13461-RA, Vcard_DToL13463-RA	DPOGS207532-PA
OG0002493	Vcard_DToL16503-RA	DPOGS204527-PA
OG0002494	Vcard_DToL17619-RA	DPOGS209093-PA, DPOGS206215-PA
OG0002495	Vcard_DToL00998-RA	DPOGS215754-PA
OG0002496	Vcard_DToL17622-RA, Vcard_DToL17620-RA	DPOGS209095-PA
OG0002497	Vcard_DToL04910-RA, Vcard_DToL04907-RA	DPOGS203275-PA
OG0002498	Vcard_DToL18582-RA, Vcard_DToL18581-RA	DPOGS200508-PA
OG0002499	Vcard_DToL15956-RA	DPOGS200795-PA
OG0002500	Vcard_DToL16501-RA	DPOGS204555-PA
OG0002500	Vcard_DToL16497-RA	DPOGS204554-PA
OG0002501	Vcard_DToL04163-RA	DPOGS210875-PA
OG0002502	Vcard_DToL01003-RA	DPOGS215756-PA
OG0002503	Vcard_DToL14956-RA	DPOGS207672-PA
OG0002504	Vcard_DToL03195-RA	DPOGS205286-PA
OG0002505	Vcard_DToL18579-RA	DPOGS200510-PA
OG0002506	Vcard_DToL13456-RA	DPOGS207530-PA
OG0002507	Vcard_DToL01016-RA, Vcard_DToL01015-RA, Vcard_DToL01014-RA	DPOGS215661-PA
OG0002508	Vcard_DToL04167-RA	DPOGS210786-PA
OG0002509	Vcard_DToL14957-RA	DPOGS207674-PA
OG0002510	Vcard_DToL18573-RA	DPOGS200513-PA, DPOGS200514-PA
OG0002511	Vcard_DToL12779-RA, Vcard_DToL12780-RA	DPOGS207386-PA
OG0002512	Vcard_DToL06911-RA, Vcard_DToL06909-RA	DPOGS213676-PA
OG0002513	Vcard_DToL14960-RA	DPOGS207676-PA
OG0002514	Vcard_DToL11189-RA	DPOGS211366-PA
OG0002515	Vcard_DToL16489-RA, Vcard_DToL16490-RA	DPOGS204552-PA
OG0002516	Vcard_DToL13450-RA, Vcard_DToL13449-RA	DPOGS207509-PA
OG0002517	Vcard_DToL17647-RA	DPOGS206746-PA
OG0002518	Vcard_DToL09566-RA	DPOGS204938-PA
OG0002519	Vcard_DToL01954-RA, Vcard_DToL01955-RA	DPOGS213139-PA
OG0002520	Vcard_DToL03478-RA	DPOGS205178-PA
OG0002521	Vcard_DToL15947-RA	DPOGS200576-PA
OG0002522	Vcard_DToL12343-RA	DPOGS213718-PA
OG0002523	Vcard_DToL10569-RA	DPOGS210997-PA
OG0002524	Vcard_DToL15269-RA	DPOGS205000-PA
OG0002525	Vcard_DToL01228-RA	DPOGS203793-PA
OG0002526	Vcard_DToL06605-RA	DPOGS213664-PA
OG0002528	Vcard_DToL17662-RA, Vcard_DToL17663-RA	DPOGS201826-PA
OG0002529	Vcard_DToL15252-RA	DPOGS205009-PA
OG0002530	Vcard_DToL01044-RA	DPOGS215648-PA, DPOGS215649-PA
OG0002531	Vcard_DToL18171-RA	DPOGS205213-PA
OG0002532	Vcard_DToL06615-RA	DPOGS213660-PA
OG0002533	Vcard_DToL06103-RA	DPOGS211152-PA
OG0002534	Vcard_DToL12331-RA	DPOGS213569-PA
OG0002535	Vcard_DToL13441-RA	DPOGS207513-PA, DPOGS207512-PA
OG0002536	Vcard_DToL15248-RA, Vcard_DToL15249-RA	DPOGS205011-PA
OG0002537	Vcard_DToL03504-RA, Vcard_DToL03503-RA	DPOGS205157-PA
OG0002538	Vcard_DToL12322-RA	DPOGS211008-PA, DPOGS213573-PA
OG0002539	Vcard_DToL16464-RA	DPOGS213480-PA
OG0002540	Vcard_DToL07223-RA	DPOGS204514-PA
OG0002541	Vcard_DToL00176-RA	DPOGS200909-PA
OG0002542	Vcard_DToL18596-RA	DPOGS212947-PA
OG0002543	Vcard_DToL08847-RA, Vcard_DToL08850-RA	DPOGS212135-PA
OG0002544	Vcard_DToL14889-RA	DPOGS214715-PA
OG0002545	Vcard_DToL06099-RA	DPOGS201354-PA
OG0002547	Vcard_DToL08841-RA, Vcard_DToL08842-RA	DPOGS212131-PA
OG0002548	Vcard_DToL04188-RA	DPOGS205905-PA
OG0002549	Vcard_DToL16954-RA	DPOGS208588-PA
OG0002550	Vcard_DToL12879-RA	DPOGS208429-PA
OG0002551	Vcard_DToL06591-RA	DPOGS208498-PA
OG0002552	Vcard_DToL02313-RA, Vcard_DToL02314-RA	DPOGS204217-PA
OG0002553	Vcard_DToL08250-RA	DPOGS212766-PA
OG0002554	Vcard_DToL13988-RA	DPOGS216097-PA
OG0002555	Vcard_DToL06558-RA	DPOGS208486-PA
OG0002557	Vcard_DToL01995-RA	DPOGS213125-PA
OG0002558	Vcard_DToL01325-RA	DPOGS201417-PA
OG0002559	Vcard_DToL06085-RA	DPOGS201345-PA
OG0002560	Vcard_DToL01092-RA	DPOGS215780-PA
OG0002562	Vcard_DToL07245-RA	DPOGS211278-PA
OG0002563	Vcard_DToL15925-RA	DPOGS205366-PA
OG0002564	Vcard_DToL15213-RA	DPOGS202683-PA
OG0002565	Vcard_DToL18111-RA	DPOGS205381-PA, DPOGS207454-PA
OG0002566	Vcard_DToL12892-RA, Vcard_DToL12889-RA	DPOGS208437-PA
OG0002567	Vcard_DToL09915-RA, Vcard_DToL09916-RA	DPOGS202534-PA
OG0002568	Vcard_DToL14870-RA, Vcard_DToL14869-RA	DPOGS214724-PA
OG0002569	Vcard_DToL09531-RA	DPOGS209750-PA, DPOGS209749-PA
OG0002570	Vcard_DToL08824-RA	DPOGS208111-PA
OG0002571	Vcard_DToL08823-RA	DPOGS208131-PA
OG0002572	Vcard_DToL11932-RA	DPOGS214806-PA
OG0002574	Vcard_DToL02003-RA	DPOGS213079-PA, DPOGS213081-PA
OG0002575	Vcard_DToL14858-RA	DPOGS214599-PA
OG0002576	Vcard_DToL06061-RA	DPOGS201325-PA
OG0002577	Vcard_DToL06552-RA	DPOGS208483-PA
OG0002578	Vcard_DToL03521-RA	DPOGS211883-PA
OG0002579	Vcard_DToL18136-RA	DPOGS205190-PA, DPOGS205383-PA
OG0002580	Vcard_DToL09899-RA, Vcard_DToL09900-RA	DPOGS204820-PA
OG0002581	Vcard_DToL16434-RA	DPOGS213494-PA, DPOGS213465-PA, DPOGS213495-PA
OG0002582	Vcard_DToL04967-RA	DPOGS215877-PA
