Orthogroup	Vanessa_cardui	Heliconius_erato_lativitta
OG0001429	Vcard_DToL03500-RA	HEL_008843-RA
OG0001430	Vcard_DToL15247-RA	HEL_001956-RA
OG0001432	Vcard_DToL00179-RA	HEL_012088-RA
OG0001434	Vcard_DToL13431-RA	HEL_006475-RA, HEL_006473-RA, HEL_006470-RA
OG0001435	Vcard_DToL08845-RA	HEL_009131-RA, HEL_009130-RA
OG0001436	Vcard_DToL17556-RA	HEL_000551-RA
OG0001436	Vcard_DToL17557-RA	HEL_000552-RA
OG0001437	Vcard_DToL06635-RA	HEL_008017-RA
OG0001439	Vcard_DToL04947-RA	HEL_013272-RA
OG0001439	Vcard_DToL04952-RA	HEL_013276-RA
OG0001440	Vcard_DToL14880-RA, Vcard_DToL14879-RA	HEL_005120-RA
OG0001441	Vcard_DToL04229-RA	HEL_009383-RA
OG0001442	Vcard_DToL09536-RA	HEL_010705-RA
OG0001442	Vcard_DToL09535-RA	HEL_010706-RA
OG0001443	Vcard_DToL01109-RA	HEL_002631-RA
OG0001446	Vcard_DToL12205-RA	HEL_000927-RA, HEL_000928-RA, HEL_000926-RA, HEL_000925-RA
OG0001447	Vcard_DToL04970-RA	HEL_013306-RA
OG0001448	Vcard_DToL15202-RA	HEL_001994-RA
OG0001449	Vcard_DToL08688-RA, Vcard_DToL06535-RA	HEL_007933-RA
OG0001450	Vcard_DToL13376-RA	HEL_006516-RA
OG0001452	Vcard_DToL13362-RA	HEL_006522-RA
OG0001452	Vcard_DToL13359-RA	HEL_006527-RA
OG0001454	Vcard_DToL15183-RA	HEL_002007-RA
OG0001455	Vcard_DToL03551-RA	HEL_008788-RA
OG0001455	Vcard_DToL03554-RA	HEL_008787-RA
OG0001456	Vcard_DToL12239-RA	HEL_000902-RA
OG0001457	Vcard_DToL02036-RA	HEL_001601-RA, HEL_001600-RA
OG0001458	Vcard_DToL12241-RA	HEL_000900-RA, HEL_000901-RA
OG0001459	Vcard_DToL12244-RA	HEL_000898-RA, HEL_000896-RA
OG0001460	Vcard_DToL00297-RA	HEL_009642-RA
OG0001462	Vcard_DToL06513-RA	HEL_007914-RA, HEL_007913-RA, HEL_007915-RA
OG0001463	Vcard_DToL12915-RA, Vcard_DToL12916-RA	HEL_005764-RA
OG0001463	Vcard_DToL12914-RA	HEL_005765-RA
OG0001464	Vcard_DToL08795-RA	HEL_009186-RA
OG0001465	Vcard_DToL12919-RA	HEL_005756-RA, HEL_005757-RA
OG0001465	Vcard_DToL12920-RA	HEL_005761-RA
OG0001466	Vcard_DToL01151-RA	HEL_002675-RA
OG0001468	Vcard_DToL13967-RA	HEL_000365-RA, HEL_000366-RA, HEL_000368-RA
OG0001468	Vcard_DToL13968-RA	HEL_000364-RA
OG0001469	Vcard_DToL12933-RA, Vcard_DToL12934-RA	HEL_005747-RA
OG0001470	Vcard_DToL12117-RA	HEL_000985-RA
OG0001471	Vcard_DToL03591-RA	HEL_008765-RA
OG0001472	Vcard_DToL06502-RA	HEL_007903-RA
OG0001473	Vcard_DToL18090-RA	HEL_013682-RA
OG0001473	Vcard_DToL18089-RA	HEL_013681-RA
OG0001474	Vcard_DToL17493-RA	HEL_000610-RA
OG0001475	Vcard_DToL13950-RA	HEL_000353-RA
OG0001476	Vcard_DToL17495-RA	HEL_000611-RA
OG0001478	Vcard_DToL05012-RA	HEL_014444-RA
OG0001479	Vcard_DToL01519-RA	HEL_002904-RA
OG0001480	Vcard_DToL12741-RA	HEL_012715-RA
OG0001481	Vcard_DToL14805-RA	HEL_005200-RA
OG0001482	Vcard_DToL16374-RA, Vcard_DToL16373-RA	HEL_004846-RA
OG0001483	Vcard_DToL02077-RA	HEL_001571-RA
OG0001483	Vcard_DToL02075-RA	HEL_001572-RA
OG0001484	Vcard_DToL11297-RA	HEL_008975-RA, HEL_008973-RA
OG0001484	Vcard_DToL11295-RA	HEL_008974-RA
OG0001485	Vcard_DToL05028-RA	HEL_010869-RA
OG0001486	Vcard_DToL10483-RA	HEL_004269-RA, HEL_004271-RA, HEL_004270-RA
OG0001487	Vcard_DToL06867-RA	HEL_007877-RA
OG0001488	Vcard_DToL16150-RA	HEL_011876-RA
OG0001490	Vcard_DToL17003-RA	HEL_004677-RA
OG0001491	Vcard_DToL11830-RA	HEL_014607-RA
OG0001492	Vcard_DToL00233-RA	HEL_007176-RA
OG0001494	Vcard_DToL14141-RA, Vcard_DToL14143-RA	HEL_000321-RA
OG0001495	Vcard_DToL15360-RA	HEL_001834-RA, HEL_001833-RA
OG0001498	Vcard_DToL11963-RA	HEL_001126-RA
OG0001498	Vcard_DToL11964-RA, Vcard_DToL11962-RA	HEL_001125-RA
OG0001499	Vcard_DToL14467-RA	HEL_003765-RA, HEL_003767-RA, HEL_003763-RA
OG0001500	Vcard_DToL09827-RA	HEL_011583-RA
OG0001501	Vcard_DToL16298-RA	HEL_004757-RA
OG0001501	Vcard_DToL16296-RA	HEL_004755-RA
OG0001502	Vcard_DToL09420-RA, Vcard_DToL09421-RA	HEL_010783-RA
OG0001503	Vcard_DToL07844-RA	HEL_009875-RA
OG0001505	Vcard_DToL01576-RA	HEL_002856-RA
OG0001506	Vcard_DToL14469-RA	HEL_003751-RA, HEL_003756-RA
OG0001507	Vcard_DToL15368-RA	HEL_001828-RA
OG0001509	Vcard_DToL01578-RA	HEL_002854-RA
OG0001511	Vcard_DToL01581-RA	HEL_002851-RA, HEL_002853-RA
OG0001512	Vcard_DToL04336-RA	HEL_007499-RA
OG0001514	Vcard_DToL02938-RA	HEL_005562-RA
OG0001515	Vcard_DToL01607-RA, Vcard_DToL01605-RA	HEL_002832-RA
OG0001516	Vcard_DToL11984-RA	HEL_001066-RA, HEL_001069-RA
OG0001517	Vcard_DToL14477-RA	HEL_003741-RA
OG0001517	Vcard_DToL14479-RA, Vcard_DToL14481-RA	HEL_003740-RA
OG0001518	Vcard_DToL05149-RA	HEL_010961-RA
OG0001519	Vcard_DToL02942-RA	HEL_005558-RA
OG0001520	Vcard_DToL07899-RA	HEL_009957-RA, HEL_009956-RA
OG0001522	Vcard_DToL05882-RA	HEL_002982-RA
OG0001523	Vcard_DToL01292-RA	HEL_002812-RA
OG0001524	Vcard_DToL14501-RA	HEL_003722-RA, HEL_001151-RA, HEL_003723-RA
OG0001526	Vcard_DToL09797-RA	HEL_014016-RA
OG0001529	Vcard_DToL15383-RA	HEL_001817-RA
OG0001530	Vcard_DToL02295-RA	HEL_001393-RA
OG0001531	Vcard_DToL17044-RA	HEL_004711-RA
OG0001532	Vcard_DToL07918-RA	HEL_009972-RA
OG0001534	Vcard_DToL11037-RA	HEL_013741-RA, HEL_013740-RA
OG0001535	Vcard_DToL01261-RA	HEL_002783-RA, HEL_002787-RA, HEL_002785-RA, HEL_002784-RA, HEL_002782-RA
OG0001536	Vcard_DToL06720-RA	HEL_006279-RA, HEL_006282-RA, HEL_006278-RA, HEL_006280-RA, HEL_006283-RA
OG0001537	Vcard_DToL00424-RA	HEL_010467-RA
OG0001538	Vcard_DToL05360-RA, Vcard_DToL05362-RA, Vcard_DToL05359-RA	HEL_000055-RA
OG0001539	Vcard_DToL02363-RA	HEL_001339-RA, HEL_001336-RA, HEL_001338-RA, HEL_001337-RA, HEL_001335-RA
OG0001540	Vcard_DToL03711-RA	HEL_004582-RA
OG0001541	Vcard_DToL04389-RA	HEL_007451-RA
OG0001542	Vcard_DToL16209-RA	HEL_009523-RA
OG0001543	Vcard_DToL07984-RA	HEL_009993-RA
OG0001543	Vcard_DToL07985-RA	HEL_009994-RA
OG0001544	Vcard_DToL04391-RA	HEL_007449-RA
OG0001546	Vcard_DToL11992-RA	HEL_001077-RA, HEL_001078-RA, HEL_001076-RA
OG0001547	Vcard_DToL16203-RA	HEL_009519-RA
OG0001547	Vcard_DToL16204-RA	HEL_009520-RA
OG0001548	Vcard_DToL07385-RA	HEL_006084-RA
OG0001549	Vcard_DToL05390-RA	HEL_000033-RA
OG0001550	Vcard_DToL00446-RA	HEL_014472-RA
OG0001551	Vcard_DToL14439-RA	HEL_003799-RA, HEL_003800-RA, HEL_003796-RA
OG0001552	Vcard_DToL02323-RA	HEL_001374-RA, HEL_001371-RA
OG0001553	Vcard_DToL07965-RA	HEL_010008-RA, HEL_010007-RA
OG0001554	Vcard_DToL13688-RA	HEL_008204-RA
OG0001555	Vcard_DToL05816-RA	HEL_003034-RA
OG0001556	Vcard_DToL05804-RA	HEL_003040-RA
OG0001557	Vcard_DToL09491-RA	HEL_010741-RA
OG0001558	Vcard_DToL15411-RA	HEL_012354-RA
OG0001559	Vcard_DToL09331-RA	HEL_012154-RA
OG0001562	Vcard_DToL09312-RA	HEL_012174-RA
OG0001563	Vcard_DToL12616-RA	HEL_013654-RA
OG0001563	Vcard_DToL12614-RA	HEL_013655-RA
OG0001564	Vcard_DToL14249-RA	HEL_000259-RA
OG0001565	Vcard_DToL10212-RA	HEL_013183-RA
OG0001567	Vcard_DToL10392-RA	HEL_012394-RA
OG0001568	Vcard_DToL15592-RA	HEL_006859-RA
OG0001569	Vcard_DToL12053-RA, Vcard_DToL12050-RA	HEL_001039-RA
OG0001572	Vcard_DToL05435-RA	HEL_000003-RA
OG0001573	Vcard_DToL14279-RA	HEL_000226-RA
OG0001575	Vcard_DToL15465-RA	HEL_013470-RA
OG0001576	Vcard_DToL04467-RA	HEL_007398-RA
OG0001577	Vcard_DToL02243-RA	HEL_001435-RA
OG0001577	Vcard_DToL02245-RA	HEL_001433-RA
OG0001578	Vcard_DToL01409-RA	HEL_006781-RA
OG0001579	Vcard_DToL02239-RA	HEL_001439-RA
OG0001580	Vcard_DToL10092-RA	HEL_007234-RA
OG0001580	Vcard_DToL10093-RA	HEL_007235-RA
OG0001581	Vcard_DToL02374-RA	HEL_001326-RA, HEL_001325-RA
OG0001582	Vcard_DToL02376-RA	HEL_001322-RA
OG0001583	Vcard_DToL17235-RA	HEL_005948-RA
OG0001584	Vcard_DToL02382-RA	HEL_001318-RA
OG0001586	Vcard_DToL17223-RA	HEL_005940-RA
OG0001587	Vcard_DToL13816-RA	HEL_008106-RA, HEL_008105-RA, HEL_008104-RA
OG0001591	Vcard_DToL10939-RA	HEL_008579-RA
OG0001591	Vcard_DToL10938-RA	HEL_008580-RA
OG0001592	Vcard_DToL10362-RA, Vcard_DToL10359-RA, Vcard_DToL10360-RA, Vcard_DToL10361-RA	HEL_012379-RA
OG0001593	Vcard_DToL01433-RA	HEL_006799-RA, HEL_006798-RA
OG0001594	Vcard_DToL05174-RA	HEL_010979-RA, HEL_010981-RA, HEL_010980-RA
OG0001595	Vcard_DToL14337-RA	HEL_003898-RA
OG0001597	Vcard_DToL05684-RA	HEL_003132-RA
OG0001597	Vcard_DToL05686-RA	HEL_003131-RA
OG0001598	Vcard_DToL04528-RA	HEL_013435-RA
OG0001600	Vcard_DToL09212-RA	HEL_012602-RA
OG0001601	Vcard_DToL07526-RA, Vcard_DToL07527-RA	HEL_010651-RA
OG0001602	Vcard_DToL10072-RA, Vcard_DToL10071-RA	HEL_007214-RA
OG0001603	Vcard_DToL18545-RA, Vcard_DToL18549-RA	HEL_012657-RA
OG0001604	Vcard_DToL08204-RA	HEL_013355-RA
OG0001605	Vcard_DToL08193-RA	HEL_014173-RA
OG0001607	Vcard_DToL02483-RA	HEL_001265-RA
OG0001608	Vcard_DToL11904-RA	HEL_009768-RA, HEL_009767-RA
OG0001608	Vcard_DToL11905-RA	HEL_009769-RA
OG0001609	Vcard_DToL17130-RA	HEL_005883-RA
OG0001610	Vcard_DToL05644-RA	HEL_003169-RA
OG0001611	Vcard_DToL07575-RA	HEL_010686-RA
OG0001612	Vcard_DToL04574-RA	HEL_011513-RA, HEL_011512-RA
OG0001613	Vcard_DToL04580-RA	HEL_011503-RA
OG0001614	Vcard_DToL17111-RA, Vcard_DToL17113-RA, Vcard_DToL17112-RA	HEL_005870-RA
OG0001615	Vcard_DToL15714-RA	HEL_012930-RA
OG0001615	Vcard_DToL15712-RA	HEL_012931-RA
OG0001616	Vcard_DToL12507-RA	HEL_012050-RA
OG0001617	Vcard_DToL07583-RA	HEL_010298-RA
OG0001618	Vcard_DToL07584-RA	HEL_010300-RA
OG0001619	Vcard_DToL06963-RA	HEL_006209-RA, HEL_006210-RA
OG0001621	Vcard_DToL09129-RA	HEL_011945-RA
OG0001623	Vcard_DToL02567-RA	HEL_001204-RA, HEL_001203-RA
OG0001624	Vcard_DToL07013-RA	HEL_009605-RA, HEL_009606-RA, HEL_009604-RA
OG0001625	Vcard_DToL10265-RA	HEL_013076-RA
OG0001625	Vcard_DToL10264-RA	HEL_013077-RA
OG0001626	Vcard_DToL05607-RA	HEL_003211-RA
OG0001627	Vcard_DToL07015-RA	HEL_009601-RA
OG0001630	Vcard_DToL04657-RA	HEL_011426-RA, HEL_011427-RA
OG0001631	Vcard_DToL01660-RA	HEL_006654-RA
OG0001632	Vcard_DToL15767-RA	HEL_008540-RA
OG0001635	Vcard_DToL09096-RA	HEL_011969-RA
OG0001635	Vcard_DToL09094-RA	HEL_011970-RA
OG0001636	Vcard_DToL01627-RA	HEL_006681-RA
OG0001636	Vcard_DToL01628-RA, Vcard_DToL01626-RA	HEL_006680-RA
OG0001638	Vcard_DToL08067-RA	HEL_008351-RA
OG0001640	Vcard_DToL07641-RA	HEL_010362-RA
OG0001641	Vcard_DToL08059-RA	HEL_008357-RA
OG0001642	Vcard_DToL08049-RA	HEL_008368-RA
OG0001643	Vcard_DToL02634-RA	HEL_001144-RA
OG0001644	Vcard_DToL00619-RA	HEL_007146-RA
OG0001645	Vcard_DToL15830-RA	HEL_008487-RA
OG0001647	Vcard_DToL04748-RA	HEL_012805-RA
OG0001648	Vcard_DToL15834-RA	HEL_008486-RA, HEL_008484-RA
OG0001649	Vcard_DToL03935-RA	HEL_004482-RA, HEL_004483-RA
OG0001650	Vcard_DToL05529-RA	HEL_003280-RA, HEL_003279-RA
OG0001651	Vcard_DToL08038-RA	HEL_008375-RA
OG0001652	Vcard_DToL08041-RA, Vcard_DToL08040-RA	HEL_008373-RA
OG0001653	Vcard_DToL08426-RA	HEL_011637-RA
OG0001654	Vcard_DToL01486-RA	HEL_002930-RA
OG0001656	Vcard_DToL16353-RA	HEL_004827-RA
OG0001656	Vcard_DToL16354-RA	HEL_004829-RA
OG0001658	Vcard_DToL16388-RA, Vcard_DToL16387-RA	HEL_004857-RA, HEL_004858-RA, HEL_004856-RA
OG0001660	Vcard_DToL07988-RA	HEL_009987-RA, HEL_009988-RA, HEL_009989-RA, HEL_009991-RA, HEL_009990-RA
OG0001670	Vcard_DToL18280-RA	HEL_010056-RA
OG0001671	Vcard_DToL15965-RA, Vcard_DToL15964-RA	HEL_009284-RA
OG0001673	Vcard_DToL16408-RA	HEL_004888-RA
OG0001674	Vcard_DToL17574-RA	HEL_000541-RA
OG0001675	Vcard_DToL11304-RA	HEL_008968-RA
OG0001677	Vcard_DToL15280-RA	HEL_001914-RA
OG0001678	Vcard_DToL01906-RA, Vcard_DToL01905-RA	HEL_001696-RA, HEL_001695-RA
OG0001680	Vcard_DToL13126-RA	HEL_012506-RA
OG0001681	Vcard_DToL17899-RA	HEL_004168-RA
OG0001682	Vcard_DToL09969-RA	HEL_007333-RA
OG0001683	Vcard_DToL10614-RA	HEL_011014-RA
OG0001685	Vcard_DToL17339-RA	HEL_002184-RA
OG0001686	Vcard_DToL16117-RA	HEL_011848-RA
OG0001687	Vcard_DToL10615-RA	HEL_011015-RA
OG0001688	Vcard_DToL09966-RA	HEL_007330-RA
OG0001689	Vcard_DToL18718-RA, Vcard_DToL18716-RA	HEL_013050-RA
OG0001690	Vcard_DToL14933-RA	HEL_005081-RA, HEL_005075-RA
OG0001691	Vcard_DToL18483-RA	HEL_012681-RA
OG0001692	Vcard_DToL18348-RA	HEL_012687-RA
OG0001693	Vcard_DToL15042-RA	HEL_002149-RA
OG0001695	Vcard_DToL09701-RA	HEL_003478-RA, HEL_003476-RA
OG0001696	Vcard_DToL13592-RA	HEL_014059-RA
OG0001697	Vcard_DToL04011-RA	HEL_009473-RA
OG0001698	Vcard_DToL03314-RA	HEL_004014-RA
OG0001700	Vcard_DToL18210-RA	HEL_014530-RA
OG0001702	Vcard_DToL18333-RA	HEL_012678-RA
OG0001703	Vcard_DToL00164-RA	HEL_012097-RA
OG0001704	Vcard_DToL18701-RA	HEL_013045-RA
OG0001705	Vcard_DToL16729-RA	HEL_003388-RA
OG0001706	Vcard_DToL17783-RA	HEL_004025-RA
OG0001707	Vcard_DToL18702-RA	HEL_013046-RA
OG0001709	Vcard_DToL13102-RA	HEL_012527-RA, HEL_012530-RA, HEL_012529-RA
OG0001710	Vcard_DToL15901-RA	HEL_009221-RA
OG0001711	Vcard_DToL16806-RA	HEL_005384-RA
OG0001713	Vcard_DToL17367-RA	HEL_002199-RA
OG0001714	Vcard_DToL16802-RA	HEL_005386-RA
OG0001715	Vcard_DToL04845-RA	HEL_007618-RA, HEL_007619-RA, HEL_007625-RA, HEL_007621-RA
OG0001716	Vcard_DToL04843-RA	HEL_007615-RA, HEL_007624-RA, HEL_007616-RA
OG0001717	Vcard_DToL03088-RA	HEL_005314-RA
OG0001718	Vcard_DToL14925-RA	HEL_005086-RA
OG0001719	Vcard_DToL18721-RA	HEL_013049-RA
OG0001720	Vcard_DToL13621-RA	HEL_014453-RA
OG0001723	Vcard_DToL03100-RA	HEL_005292-RA, HEL_005295-RA, HEL_005294-RA
OG0001724	Vcard_DToL09045-RA	HEL_010490-RA, HEL_010492-RA, HEL_010491-RA
OG0001725	Vcard_DToL16699-RA	HEL_003356-RA
OG0001726	Vcard_DToL16787-RA	HEL_005402-RA
OG0001727	Vcard_DToL18524-RA	HEL_012638-RA
OG0001727	Vcard_DToL18522-RA	HEL_012637-RA
OG0001728	Vcard_DToL03110-RA	HEL_005277-RA
OG0001729	Vcard_DToL16783-RA	HEL_005405-RA
OG0001730	Vcard_DToL16698-RA	HEL_003354-RA
OG0001731	Vcard_DToL14907-RA	HEL_005100-RA
OG0001734	Vcard_DToL16780-RA	HEL_005407-RA
OG0001735	Vcard_DToL03112-RA	HEL_005255-RA
OG0001736	Vcard_DToL04073-RA	HEL_010250-RA, HEL_010247-RA, HEL_010248-RA, HEL_010246-RA
OG0001737	Vcard_DToL16562-RA	HEL_004957-RA
OG0001738	Vcard_DToL03366-RA	HEL_003977-RA
OG0001739	Vcard_DToL14898-RA	HEL_005102-RA
OG0001740	Vcard_DToL00853-RA	HEL_012407-RA
OG0001742	Vcard_DToL13071-RA	HEL_012569-RA
OG0001743	Vcard_DToL13066-RA, Vcard_DToL13069-RA	HEL_012570-RA
OG0001744	Vcard_DToL06392-RA, Vcard_DToL06394-RA	HEL_010197-RA
OG0001745	Vcard_DToL16776-RA	HEL_005411-RA
OG0001746	Vcard_DToL08393-RA	HEL_011656-RA
OG0001747	Vcard_DToL08388-RA	HEL_011658-RA
OG0001748	Vcard_DToL17838-RA	HEL_004064-RA
OG0001750	Vcard_DToL18509-RA	HEL_013887-RA, HEL_013889-RA
OG0001751	Vcard_DToL18742-RA	HEL_013062-RA
OG0001752	Vcard_DToL10827-RA	HEL_013202-RA
OG0001753	Vcard_DToL01250-RA	HEL_002776-RA
OG0001754	Vcard_DToL11281-RA	HEL_008995-RA
OG0001755	Vcard_DToL15086-RA	HEL_002069-RA
OG0001757	Vcard_DToL07143-RA	HEL_007782-RA
OG0001758	Vcard_DToL10815-RA	HEL_013192-RA
OG0001759	Vcard_DToL04126-RA	HEL_014342-RA
OG0001759	Vcard_DToL04128-RA	HEL_014341-RA
OG0001760	Vcard_DToL16059-RA	HEL_013512-RA, HEL_013511-RA, HEL_013510-RA, HEL_013513-RA
OG0001761	Vcard_DToL10807-RA	HEL_013188-RA
OG0001762	Vcard_DToL13016-RA	HEL_005667-RA
OG0001763	Vcard_DToL06397-RA	HEL_010200-RA
OG0001764	Vcard_DToL16669-RA	HEL_003324-RA
OG0001764	Vcard_DToL16670-RA	HEL_003325-RA
OG0001765	Vcard_DToL13890-RA	HEL_000473-RA
OG0001766	Vcard_DToL15098-RA, Vcard_DToL15099-RA	HEL_002086-RA
OG0001767	Vcard_DToL12388-RA	HEL_000787-RA
OG0001768	Vcard_DToL11262-RA	HEL_009022-RA
OG0001769	Vcard_DToL13673-RA	HEL_008216-RA
OG0001770	Vcard_DToL11255-RA	HEL_008887-RA, HEL_008888-RA, HEL_008889-RA
OG0001771	Vcard_DToL00188-RA	HEL_007131-RA, HEL_007130-RA
OG0001772	Vcard_DToL18778-RA	HEL_011738-RA, HEL_011737-RA
OG0001773	Vcard_DToL00014-RA	HEL_013231-RA
OG0001774	Vcard_DToL13007-RA	HEL_005680-RA
OG0001776	Vcard_DToL09301-RA	HEL_012185-RA
OG0001777	Vcard_DToL07112-RA	HEL_007762-RA
OG0001778	Vcard_DToL18470-RA	HEL_010148-RA
OG0001779	Vcard_DToL01769-RA	HEL_001784-RA, HEL_001782-RA, HEL_001781-RA, HEL_001785-RA
OG0001780	Vcard_DToL07106-RA	HEL_007760-RA
OG0001781	Vcard_DToL17706-RA	HEL_011269-RA
OG0001782	Vcard_DToL09613-RA	HEL_003541-RA
OG0001783	Vcard_DToL07103-RA	HEL_007801-RA
OG0001783	Vcard_DToL07100-RA	HEL_007800-RA
OG0001784	Vcard_DToL18787-RA	HEL_011723-RA
OG0001785	Vcard_DToL10797-RA	HEL_013167-RA
OG0001786	Vcard_DToL17704-RA	HEL_011272-RA
OG0001787	Vcard_DToL16855-RA	HEL_005427-RA
OG0001789	Vcard_DToL18479-RA, Vcard_DToL18480-RA	HEL_010141-RA
OG0001790	Vcard_DToL10803-RA	HEL_013163-RA, HEL_013164-RA
OG0001791	Vcard_DToL14683-RA	HEL_003593-RA, HEL_003592-RA
OG0001793	Vcard_DToL11236-RA	HEL_008867-RA
OG0001794	Vcard_DToL16651-RA	HEL_005045-RA
OG0001795	Vcard_DToL17692-RA	HEL_011281-RA, HEL_011280-RA
OG0001796	Vcard_DToL10778-RA	HEL_013159-RA
OG0001797	Vcard_DToL11232-RA	HEL_008864-RA
OG0001798	Vcard_DToL13516-RA	HEL_006400-RA
OG0001799	Vcard_DToL08959-RA	HEL_010572-RA
OG0001800	Vcard_DToL13514-RA	HEL_006401-RA
OG0001803	Vcard_DToL01737-RA	HEL_001801-RA
OG0001804	Vcard_DToL18769-RA	HEL_011698-RA, HEL_011699-RA
OG0001805	Vcard_DToL06411-RA	HEL_010215-RA
OG0001806	Vcard_DToL12976-RA	HEL_005709-RA
OG0001807	Vcard_DToL13837-RA	HEL_000506-RA, HEL_000507-RA
OG0001808	Vcard_DToL14726-RA	HEL_003653-RA, HEL_003652-RA
OG0001810	Vcard_DToL18822-RA	HEL_011777-RA
OG0001811	Vcard_DToL16588-RA	HEL_004937-RA
OG0001812	Vcard_DToL14062-RA	HEL_000437-RA
OG0001814	Vcard_DToL04775-RA	HEL_007563-RA
OG0001814	Vcard_DToL04774-RA	HEL_007562-RA
OG0001815	Vcard_DToL13498-RA	HEL_006412-RA
OG0001816	Vcard_DToL06470-RA	HEL_008051-RA, HEL_008052-RA
OG0001817	Vcard_DToL12953-RA	HEL_005727-RA
OG0001818	Vcard_DToL08943-RA	HEL_009044-RA
OG0001819	Vcard_DToL14587-RA	HEL_013850-RA, HEL_013849-RA, HEL_013846-RA
OG0001822	Vcard_DToL02861-RA	HEL_005609-RA
OG0001822	Vcard_DToL02862-RA	HEL_005608-RA
OG0001823	Vcard_DToL17659-RA, Vcard_DToL17657-RA	HEL_011345-RA
OG0001824	Vcard_DToL12836-RA	HEL_005818-RA
OG0001825	Vcard_DToL11218-RA	HEL_011221-RA, HEL_011219-RA, HEL_011217-RA
OG0001827	Vcard_DToL01982-RA, Vcard_DToL01981-RA	HEL_001643-RA
OG0001829	Vcard_DToL08917-RA	HEL_009062-RA
OG0001830	Vcard_DToL01911-RA	HEL_001688-RA
OG0001831	Vcard_DToL06198-RA, Vcard_DToL06200-RA	HEL_002305-RA
OG0001834	Vcard_DToL16975-RA	HEL_004648-RA
OG0001834	Vcard_DToL16974-RA	HEL_004647-RA
OG0001835	Vcard_DToL01916-RA	HEL_001683-RA
OG0001836	Vcard_DToL16090-RA	HEL_011829-RA, HEL_011830-RA
OG0001836	Vcard_DToL16088-RA	HEL_011828-RA
OG0001838	Vcard_DToL17595-RA	HEL_000523-RA
OG0001838	Vcard_DToL17596-RA	HEL_000522-RA
OG0001839	Vcard_DToL00986-RA	HEL_002555-RA
OG0001840	Vcard_DToL17598-RA	HEL_000516-RA
OG0001841	Vcard_DToL08888-RA	HEL_009088-RA, HEL_009086-RA, HEL_009087-RA
OG0001842	Vcard_DToL14026-RA	HEL_000420-RA, HEL_000421-RA, HEL_000419-RA
OG0001844	Vcard_DToL00605-RA	HEL_007064-RA
OG0001845	Vcard_DToL03467-RA	HEL_014027-RA
OG0001846	Vcard_DToL03190-RA	HEL_010834-RA, HEL_010830-RA, HEL_010833-RA, HEL_010832-RA, HEL_010836-RA
OG0001847	Vcard_DToL14018-RA	HEL_000411-RA, HEL_000413-RA, HEL_000412-RA, HEL_000410-RA
OG0001848	Vcard_DToL17653-RA	HEL_011342-RA
OG0001849	Vcard_DToL03471-RA, Vcard_DToL03470-RA	HEL_014025-RA
OG0001850	Vcard_DToL18392-RA	HEL_010087-RA
OG0001851	Vcard_DToL14638-RA	HEL_014222-RA
OG0001852	Vcard_DToL15952-RA	HEL_009269-RA, HEL_009274-RA, HEL_009273-RA
OG0001853	Vcard_DToL03472-RA	HEL_014020-RA, HEL_014024-RA, HEL_014019-RA, HEL_014022-RA
OG0001855	Vcard_DToL03200-RA	HEL_010819-RA, HEL_010822-RA, HEL_010821-RA, HEL_010820-RA
OG0001856	Vcard_DToL12857-RA	HEL_005802-RA
OG0001857	Vcard_DToL01017-RA	HEL_002578-RA
OG0001858	Vcard_DToL10233-RA, Vcard_DToL10232-RA	HEL_009757-RA
OG0001860	Vcard_DToL00051-RA	HEL_013238-RA
OG0001861	Vcard_DToL16480-RA	HEL_005021-RA
OG0001862	Vcard_DToL06598-RA	HEL_007979-RA
OG0001862	Vcard_DToL06597-RA	HEL_007978-RA
OG0001863	Vcard_DToL04921-RA	HEL_007714-RA
OG0001865	Vcard_DToL04172-RA	HEL_009425-RA
OG0001866	Vcard_DToL06127-RA	HEL_002349-RA
OG0001867	Vcard_DToL11171-RA	HEL_011173-RA
OG0001868	Vcard_DToL14010-RA	HEL_000405-RA
OG0001869	Vcard_DToL10562-RA	HEL_004334-RA
OG0001870	Vcard_DToL08871-RA	HEL_009107-RA, HEL_009106-RA
OG0001871	Vcard_DToL16471-RA	HEL_004935-RA
OG0001872	Vcard_DToL16470-RA	HEL_004934-RA
OG0001873	Vcard_DToL01047-RA	HEL_002599-RA, HEL_002597-RA, HEL_002598-RA, HEL_002601-RA
OG0001874	Vcard_DToL09551-RA, Vcard_DToL09552-RA	HEL_003582-RA
OG0001875	Vcard_DToL05153-RA	HEL_010964-RA
OG0001876	Vcard_DToL01970-RA	HEL_001652-RA
OG0001877	Vcard_DToL18661-RA, Vcard_DToL18659-RA	HEL_013930-RA
OG0001878	Vcard_DToL01053-RA	HEL_002605-RA
OG0001879	Vcard_DToL16465-RA	HEL_004930-RA, HEL_004929-RA
OG0001881	Vcard_DToL13435-RA	HEL_006463-RA
OG0001882	Vcard_DToL04184-RA	HEL_009415-RA
OG0001883	Vcard_DToL16957-RA	HEL_004636-RA
OG0001884	Vcard_DToL06633-RA	HEL_008014-RA
OG0001885	Vcard_DToL09932-RA	HEL_013770-RA
OG0001886	Vcard_DToL09925-RA	HEL_013774-RA
OG0001887	Vcard_DToL18590-RA	HEL_013960-RA
