Orthogroup	Vanessa_cardui	Heliconius_melpomene_melpomene
OG0001214	Vcard_DToL15414-RA	HMEL007613-RA
OG0001215	Vcard_DToL16181-RA	HMEL013143g1.t1
OG0001216	Vcard_DToL09315-RA	HMEL017551g1.t1
OG0001217	Vcard_DToL17326-RA, Vcard_DToL17327-RA	HMEL014545g1.t1
OG0001218	Vcard_DToL14419-RA	HMEL011614g1.t1
OG0001220	Vcard_DToL07784-RA	HMEL014351g1.t1
OG0001221	Vcard_DToL11086-RA	HMEL012304g1.t1
OG0001222	Vcard_DToL03015-RA, Vcard_DToL03014-RA	HMEL034254g1.t1
OG0001223	Vcard_DToL02301-RA	HMEL011728g1.t1
OG0001224	Vcard_DToL13760-RA, Vcard_DToL13762-RA	HMEL032331g1.t1
OG0001225	Vcard_DToL13757-RA, Vcard_DToL13755-RA	HMEL032332g1.t1
OG0001226	Vcard_DToL02268-RA	HMEL011755g1.t1
OG0001227	Vcard_DToL09271-RA	HMEL007389g1.t1
OG0001228	Vcard_DToL14378-RA, Vcard_DToL14377-RA, Vcard_DToL14375-RA	HMEL008168g1.t1
OG0001230	Vcard_DToL14291-RA	HMEL009971g1.t1, HMEL009969g1.t1
OG0001231	Vcard_DToL04476-RA, Vcard_DToL04477-RA, Vcard_DToL04475-RA	HMEL007767g1.t1
OG0001233	Vcard_DToL14296-RA	HMEL032083g1.t1
OG0001235	Vcard_DToL12155-RA	HMEL037594g1.t1
OG0001236	Vcard_DToL12145-RA, Vcard_DToL12142-RA	HMEL006300g1.t1
OG0001237	Vcard_DToL02401-RA	HMEL015193g1.t1
OG0001239	Vcard_DToL15613-RA	HMEL030640g1.t1
OG0001240	Vcard_DToL01438-RA, Vcard_DToL01440-RA	HMEL015940g1.t1
OG0001241	Vcard_DToL02422-RA	HMEL035848g1.t1
OG0001241	Vcard_DToL02421-RA	HMEL015203g1.t1
OG0001242	Vcard_DToL05669-RA, Vcard_DToL05667-RA	HMEL011401g1.t1
OG0001243	Vcard_DToL08219-RA	HMEL008671g1.t1
OG0001244	Vcard_DToL11911-RA	HMEL037718g1.t1
OG0001245	Vcard_DToL10064-RA	HMEL017434g1.t1, HMEL017435g1.t1
OG0001246	Vcard_DToL09195-RA	HMEL008434g1.t1
OG0001247	Vcard_DToL15695-RA	HMEL030630g1.t1
OG0001248	Vcard_DToL10305-RA	HMEL006430g1.t1
OG0001249	Vcard_DToL13785-RA	HMEL014583g1.t1
OG0001250	Vcard_DToL05310-RA	HMEL017389g1.t1
OG0001251	Vcard_DToL09179-RA	HMEL011480g1.t1
OG0001252	Vcard_DToL17850-RA	HMEL008098g1.t1
OG0001253	Vcard_DToL05643-RA, Vcard_DToL05642-RA	HMEL033069g1.t1
OG0001254	Vcard_DToL13770-RA	HMEL022040g1.t1
OG0001255	Vcard_DToL00604-RA	HMEL016623g1.t1
OG0001257	Vcard_DToL12518-RA	HMEL012721g1.t1
OG0001258	Vcard_DToL08143-RA	HMEL014046g1.t1
OG0001259	Vcard_DToL01693-RA	HMEL030952g1.t1
OG0001260	Vcard_DToL08132-RA, Vcard_DToL08131-RA	HMEL014052g1.t1
OG0001261	Vcard_DToL07006-RA	HMEL009298g1.t1
OG0001262	Vcard_DToL03885-RA	HMEL008961g1.t1
OG0001263	Vcard_DToL04653-RA	HMEL000006-RA
OG0001264	Vcard_DToL15768-RA	HMEL003125g1.t1
OG0001266	Vcard_DToL15784-RA	HMEL022606-RA
OG0001267	Vcard_DToL15787-RA	HMEL031716g1.t1, HMEL033291g1.t1, HMEL007379g1.t1
OG0001269	Vcard_DToL01303-RA, Vcard_DToL01304-RA	HMEL006982g1.t1
OG0001270	Vcard_DToL02621-RA	HMEL010884g1.t1
OG0001271	Vcard_DToL04704-RA	HMEL032664g1.t1
OG0001271	Vcard_DToL04702-RA	HMEL032666g1.t1
OG0001272	Vcard_DToL15815-RA	HMEL030599g1.t1
OG0001273	Vcard_DToL01317-RA	HMEL009056g1.t1
OG0001273	Vcard_DToL01318-RA	HMEL009058g1.t1
OG0001274	Vcard_DToL02638-RA	HMEL031001g1.t1
OG0001275	Vcard_DToL15821-RA	HMEL017342g1.t1
OG0001275	Vcard_DToL15819-RA	HMEL030598g1.t1
OG0001276	Vcard_DToL05509-RA	HMEL033131g1.t1
OG0001277	Vcard_DToL08011-RA	HMEL010274g1.t1
OG0001278	Vcard_DToL03936-RA, Vcard_DToL03937-RA	HMEL007099g1.t1
OG0001279	Vcard_DToL00624-RA	HMEL008795g1.t1
OG0001280	Vcard_DToL08039-RA	HMEL013260g1.t1
OG0001281	Vcard_DToL05558-RA, Vcard_DToL05559-RA	HMEL033115g1.t1
OG0001283	Vcard_DToL15878-RA	HMEL030577g1.t1
OG0001284	Vcard_DToL15874-RA	HMEL013626g1.t1
OG0001285	Vcard_DToL00671-RA	HMEL006372g1.t1
OG0001286	Vcard_DToL02812-RA	HMEL034214g1.t1
OG0001287	Vcard_DToL18793-RA	HMEL037279g1.t1
OG0001291	Vcard_DToL03423-RA	HMEL002231g1.t1
OG0001302	Vcard_DToL17905-RA	HMEL034092g1.t1
OG0001303	Vcard_DToL11306-RA	HMEL006753g1.t1, HMEL022133g1.t1
OG0001304	Vcard_DToL11307-RA	HMEL006754g1.t1
OG0001305	Vcard_DToL04869-RA	HMEL031807g1.t1, HMEL005061g1.t1
OG0001306	Vcard_DToL03008-RA	HMEL014928g1.t1
OG0001307	Vcard_DToL10610-RA	HMEL021108g1.t1
OG0001308	Vcard_DToL15295-RA	HMEL009501g1.t1
OG0001309	Vcard_DToL14944-RA	HMEL020285g1.t1
OG0001310	Vcard_DToL17892-RA	HMEL008123g1.t1
OG0001311	Vcard_DToL09685-RA, Vcard_DToL09686-RA	HMEL017127g1.t1
OG0001312	Vcard_DToL18492-RA	HMEL035396g1.t1
OG0001315	Vcard_DToL14112-RA	HMEL002195g1.t1
OG0001316	Vcard_DToL15304-RA, Vcard_DToL15303-RA, Vcard_DToL15302-RA	HMEL013537g1.t1
OG0001318	Vcard_DToL15984-RA, Vcard_DToL15983-RA	HMEL016976g1.t1
OG0001319	Vcard_DToL07164-RA	HMEL012154g1.t1
OG0001320	Vcard_DToL12474-RA	HMEL037453g1.t1
OG0001322	Vcard_DToL18340-RA	HMEL012792g1.t1
OG0001322	Vcard_DToL18338-RA	HMEL002147g1.t1
OG0001322	Vcard_DToL18339-RA	HMEL008225g1.t1
OG0001324	Vcard_DToL11322-RA	HMEL013004g1.t1
OG0001325	Vcard_DToL00125-RA	HMEL007717g1.t1
OG0001326	Vcard_DToL03069-RA	HMEL014787g1.t1
OG0001327	Vcard_DToL16482-RA	HMEL016574g1.t1
OG0001328	Vcard_DToL16493-RA, Vcard_DToL16491-RA	HMEL031400g1.t1
OG0001329	Vcard_DToL12470-RA	HMEL007255g1.t1
OG0001331	Vcard_DToL11328-RA, Vcard_DToL11331-RA, Vcard_DToL11332-RA	HMEL012998g1.t1
OG0001332	Vcard_DToL03321-RA, Vcard_DToL03320-RA	HMEL034004g1.t1
OG0001332	Vcard_DToL03360-RA	HMEL002937g1.t1
OG0001333	Vcard_DToL14108-RA	HMEL032244g1.t1, HMEL022262g1.t1, HMEL032243g1.t1
OG0001335	Vcard_DToL09719-RA	HMEL004741g1.t1
OG0001336	Vcard_DToL12463-RA	HMEL037460g1.t1
OG0001338	Vcard_DToL17502-RA	HMEL009345g1.t1
OG0001339	Vcard_DToL14093-RA, Vcard_DToL14092-RA, Vcard_DToL14094-RA	HMEL007407g1.t1
OG0001341	Vcard_DToL17793-RA	HMEL010160g1.t1
OG0001342	Vcard_DToL16795-RA	HMEL015559g1.t1
OG0001343	Vcard_DToL15148-RA	HMEL008858g1.t1
OG0001344	Vcard_DToL18544-RA	HMEL035408g1.t1
OG0001345	Vcard_DToL01877-RA	HMEL005557g1.t1
OG0001346	Vcard_DToL06293-RA, Vcard_DToL06285-RA, Vcard_DToL06287-RA, Vcard_DToL06294-RA	HMEL003956g1.t1
OG0001347	Vcard_DToL12436-RA	HMEL008905g1.t1
OG0001348	Vcard_DToL15912-RA	HMEL002359g1.t1
OG0001349	Vcard_DToL15914-RA, Vcard_DToL15913-RA	HMEL002358g1.t1
OG0001350	Vcard_DToL16245-RA	HMEL016880g1.t1
OG0001352	Vcard_DToL14918-RA	HMEL037839g1.t1
OG0001353	Vcard_DToL17826-RA	HMEL014831g1.t1
OG0001354	Vcard_DToL17835-RA	HMEL014819g1.t1
OG0001355	Vcard_DToL14839-RA	HMEL037893g1.t1
OG0001356	Vcard_DToL13705-RA, Vcard_DToL13707-RA, Vcard_DToL13706-RA	HMEL032358g1.t1
OG0001358	Vcard_DToL01811-RA	HMEL015426g1.t1
OG0001359	Vcard_DToL09588-RA	HMEL002590g1.t1
OG0001360	Vcard_DToL18419-RA, Vcard_DToL18418-RA	HMEL035367g1.t1
OG0001361	Vcard_DToL03381-RA	HMEL005612g1.t1, HMEL005611g1.t1
OG0001362	Vcard_DToL07142-RA, Vcard_DToL07139-RA	HMEL009004g1.t1
OG0001364	Vcard_DToL17729-RA	HMEL007653g1.t1
OG0001364	Vcard_DToL17730-RA	HMEL016062g1.t1
OG0001365	Vcard_DToL09016-RA	HMEL017017g1.t1
OG0001366	Vcard_DToL00065-RA	HMEL012190g1.t1
OG0001368	Vcard_DToL00069-RA, Vcard_DToL00071-RA	HMEL012191g1.t1
OG0001369	Vcard_DToL04802-RA	HMEL011789g1.t1
OG0001370	Vcard_DToL16061-RA	HMEL011628g1.t1
OG0001370	Vcard_DToL16062-RA	HMEL011625g1.t1
OG0001371	Vcard_DToL07120-RA	HMEL008408g1.t1
OG0001371	Vcard_DToL07123-RA	HMEL008410g1.t1
OG0001372	Vcard_DToL13008-RA	HMEL016273g1.t1
OG0001373	Vcard_DToL01897-RA	HMEL031223g1.t1
OG0001374	Vcard_DToL00891-RA	HMEL009642g1.t1
OG0001375	Vcard_DToL01782-RA	HMEL031254g1.t1
OG0001375	Vcard_DToL01780-RA	HMEL008282g1.t1
OG0001376	Vcard_DToL01774-RA	HMEL031273g1.t1
OG0001377	Vcard_DToL13871-RA	HMEL011336g1.t1, HMEL034081g1.t1, HMEL010557g1.t1
OG0001378	Vcard_DToL14185-RA	HMEL032110g1.t1
OG0001379	Vcard_DToL01766-RA	HMEL010016g1.t1
OG0001380	Vcard_DToL00015-RA	HMEL025047g1.t1
OG0001382	Vcard_DToL12993-RA	HMEL016262g1.t1
OG0001383	Vcard_DToL03406-RA	HMEL033959g1.t1
OG0001384	Vcard_DToL18792-RA, Vcard_DToL18791-RA	HMEL016082g1.t1
OG0001385	Vcard_DToL07096-RA, Vcard_DToL07094-RA	HMEL008986g1.t1
OG0001386	Vcard_DToL04109-RA	HMEL010446g1.t1
OG0001387	Vcard_DToL08983-RA	HMEL017044g1.t1
OG0001388	Vcard_DToL04103-RA	HMEL032929g1.t1
OG0001388	Vcard_DToL04104-RA	HMEL032930g1.t1
OG0001390	Vcard_DToL08971-RA	HMEL035008g1.t1
OG0001391	Vcard_DToL06412-RA, Vcard_DToL06414-RA	HMEL034938g1.t1
OG0001391	Vcard_DToL06413-RA	HMEL034936g1.t1
OG0001392	Vcard_DToL16624-RA	HMEL009623g1.t1
OG0001393	Vcard_DToL04779-RA, Vcard_DToL04785-RA	HMEL006999g1.t1
OG0001394	Vcard_DToL03172-RA	HMEL034371g1.t1
OG0001395	Vcard_DToL13829-RA	HMEL032288g1.t1
OG0001395	Vcard_DToL13830-RA	HMEL032287g1.t1
OG0001396	Vcard_DToL17683-RA	HMEL009522g1.t1
OG0001397	Vcard_DToL18760-RA	HMEL003408g1.t1
OG0001398	Vcard_DToL16045-RA	HMEL003515g1.t1, HMEL022565g1.t1
OG0001399	Vcard_DToL18314-RA	HMEL014564g1.t1
OG0001400	Vcard_DToL14554-RA	HMEL007642g1.t1
OG0001401	Vcard_DToL10749-RA	HMEL012924g1.t1
OG0001404	Vcard_DToL03179-RA	HMEL016225g1.t1, HMEL016224g1.t1
OG0001405	Vcard_DToL16111-RA	HMEL034631g1.t1
OG0001405	Vcard_DToL16112-RA	HMEL006183g1.t1
OG0001406	Vcard_DToL09592-RA	HMEL002726g1.t1
OG0001407	Vcard_DToL18305-RA, Vcard_DToL18304-RA	HMEL021313g1.t1
OG0001408	Vcard_DToL18841-RA	HMEL022657g1.t1
OG0001409	Vcard_DToL03995-RA	HMEL014177g1.t1, HMEL032874g1.t1
OG0001410	Vcard_DToL14596-RA	HMEL037963g1.t1
OG0001412	Vcard_DToL12849-RA, Vcard_DToL12850-RA	HMEL015054g1.t1
OG0001413	Vcard_DToL06892-RA	HMEL034885g1.t1, HMEL005064g1.t1, HMEL008596g1.t1
OG0001414	Vcard_DToL17974-RA	HMEL013249g1.t1
OG0001415	Vcard_DToL04893-RA	HMEL031826g1.t1
OG0001416	Vcard_DToL18567-RA	HMEL037192g1.t1
OG0001418	Vcard_DToL00996-RA	HMEL014142g1.t1
OG0001419	Vcard_DToL00999-RA	HMEL030737g1.t1
OG0001421	Vcard_DToL14969-RA	HMEL014898g1.t1
OG0001422	Vcard_DToL14016-RA	HMEL020501g1.t1, HMEL032224g1.t1
OG0001423	Vcard_DToL10568-RA	HMEL025049-RA
OG0001424	Vcard_DToL00077-RA	HMEL012199g1.t1
OG0001427	Vcard_DToL06613-RA	HMEL034838g1.t1
OG0001428	Vcard_DToL00085-RA	HMEL010553g1.t1
OG0001430	Vcard_DToL15247-RA	HMEL014632g1.t1
OG0001432	Vcard_DToL00179-RA	HMEL012734g1.t1
OG0001433	Vcard_DToL15617-RA	HMEL017163-RA
OG0001434	Vcard_DToL13431-RA, Vcard_DToL13429-RA	HMEL032488g1.t1
OG0001435	Vcard_DToL08845-RA	HMEL003817g1.t1, HMEL004985g1.t1
OG0001436	Vcard_DToL17557-RA	HMEL037395g1.t1
OG0001437	Vcard_DToL06635-RA	HMEL008753g1.t1
OG0001438	Vcard_DToL08591-RA	HMEL035164g1.t1
OG0001439	Vcard_DToL04947-RA	HMEL005738g1.t1
OG0001441	Vcard_DToL04229-RA	HMEL008703g1.t1
OG0001442	Vcard_DToL09536-RA	HMEL011914g1.t1
OG0001443	Vcard_DToL01106-RA	HMEL008542g1.t1
OG0001445	Vcard_DToL18139-RA	HMEL013447g1.t1
OG0001446	Vcard_DToL12205-RA	HMEL017847g1.t1
OG0001447	Vcard_DToL04970-RA	HMEL005406g1.t1
OG0001448	Vcard_DToL15202-RA	HMEL015712g1.t1
OG0001449	Vcard_DToL08688-RA	HMEL005769g1.t1
OG0001449	Vcard_DToL06535-RA	HMEL003260g1.t1
OG0001450	Vcard_DToL13377-RA	HMEL032514g1.t1
OG0001451	Vcard_DToL04223-RA	HMEL008707g1.t1
OG0001452	Vcard_DToL13362-RA, Vcard_DToL13359-RA	HMEL032521g1.t1
OG0001453	Vcard_DToL18154-RA	HMEL034143g1.t1
OG0001454	Vcard_DToL15183-RA	HMEL010049g1.t1
OG0001454	Vcard_DToL15185-RA	HMEL006651g1.t1
OG0001455	Vcard_DToL03551-RA	HMEL033872g1.t1
OG0001456	Vcard_DToL12239-RA	HMEL013679g1.t1
OG0001457	Vcard_DToL02036-RA	HMEL006548g1.t1
OG0001458	Vcard_DToL12241-RA	HMEL013678g1.t1, HMEL022148g1.t1
OG0001459	Vcard_DToL12244-RA	HMEL037574g1.t1
OG0001460	Vcard_DToL00296-RA, Vcard_DToL00295-RA, Vcard_DToL00297-RA	HMEL002157g1.t1
OG0001462	Vcard_DToL06513-RA	HMEL004290g1.t1
OG0001463	Vcard_DToL12915-RA, Vcard_DToL12916-RA	HMEL003422g1.t1
OG0001464	Vcard_DToL08795-RA	HMEL012285g1.t1
OG0001465	Vcard_DToL12920-RA	HMEL003427g1.t1
OG0001466	Vcard_DToL01151-RA	HMEL030790g1.t1
OG0001467	Vcard_DToL17466-RA, Vcard_DToL17465-RA	HMEL037412g1.t1
OG0001468	Vcard_DToL13967-RA	HMEL032190g1.t1
OG0001469	Vcard_DToL12933-RA	HMEL008349g1.t1
OG0001470	Vcard_DToL12117-RA	HMEL009954g1.t1
OG0001471	Vcard_DToL03591-RA	HMEL033860g1.t1
OG0001472	Vcard_DToL06502-RA	HMEL008055g1.t1
OG0001473	Vcard_DToL18090-RA, Vcard_DToL18089-RA	HMEL004569g1.t1
OG0001474	Vcard_DToL17493-RA	HMEL009339g1.t1
OG0001475	Vcard_DToL13950-RA	HMEL003053g1.t1
OG0001476	Vcard_DToL17495-RA	HMEL009340g1.t1
OG0001478	Vcard_DToL05012-RA	HMEL031891g1.t1
OG0001479	Vcard_DToL01519-RA	HMEL006707g1.t1
OG0001480	Vcard_DToL12741-RA	HMEL036724g1.t1
OG0001481	Vcard_DToL14805-RA	HMEL037917g1.t1, HMEL037918g1.t1
OG0001482	Vcard_DToL16374-RA, Vcard_DToL16373-RA	HMEL007963g1.t1
OG0001483	Vcard_DToL02077-RA, Vcard_DToL02075-RA	HMEL031152g1.t1
OG0001484	Vcard_DToL11297-RA, Vcard_DToL11295-RA	HMEL009872g1.t1
OG0001486	Vcard_DToL10483-RA	HMEL036085g1.t1
OG0001487	Vcard_DToL06866-RA, Vcard_DToL06867-RA	HMEL012051g1.t1
OG0001488	Vcard_DToL16150-RA	HMEL013180g1.t1
OG0001490	Vcard_DToL17003-RA	HMEL034496g1.t1
OG0001491	Vcard_DToL11830-RA	HMEL005299g1.t1
OG0001491	Vcard_DToL08728-RA	HMEL014064g1.t1
OG0001492	Vcard_DToL00233-RA	HMEL012851g1.t1
OG0001495	Vcard_DToL15360-RA	HMEL013609g1.t1
OG0001498	Vcard_DToL11963-RA	HMEL037702g1.t1
OG0001499	Vcard_DToL14467-RA	HMEL038091g1.t1
OG0001500	Vcard_DToL09827-RA	HMEL022328g1.t1, HMEL016306g1.t1
OG0001501	Vcard_DToL16298-RA	HMEL031326g1.t1, HMEL017983g1.t1
OG0001501	Vcard_DToL16296-RA	HMEL017985g1.t1
OG0001502	Vcard_DToL09421-RA	HMEL012673g1.t1
OG0001503	Vcard_DToL07844-RA	HMEL008312g1.t1
OG0001505	Vcard_DToL01576-RA	HMEL006947g1.t1
OG0001506	Vcard_DToL14469-RA	HMEL038105g1.t1
OG0001506	Vcard_DToL14470-RA	HMEL021832g1.t1
OG0001507	Vcard_DToL15368-RA	HMEL012974g1.t1
OG0001508	Vcard_DToL05107-RA	HMEL007006g1.t1
OG0001509	Vcard_DToL01578-RA	HMEL006950g1.t1
OG0001511	Vcard_DToL01580-RA, Vcard_DToL01581-RA	HMEL006952g1.t1
OG0001512	Vcard_DToL04336-RA	HMEL005396g1.t1
OG0001513	Vcard_DToL16220-RA	HMEL016898g1.t1
OG0001514	Vcard_DToL02938-RA	HMEL006490g1.t1
OG0001515	Vcard_DToL01607-RA, Vcard_DToL01605-RA	HMEL013345g1.t1
OG0001516	Vcard_DToL11984-RA	HMEL016503g1.t1
OG0001517	Vcard_DToL14477-RA	HMEL021872g1.t1
OG0001518	Vcard_DToL05149-RA	HMEL016921g1.t1
OG0001520	Vcard_DToL07900-RA	HMEL010501g1.t1
OG0001521	Vcard_DToL07903-RA	HMEL010499g1.t1
OG0001522	Vcard_DToL05882-RA	HMEL011639g1.t1
OG0001523	Vcard_DToL01292-RA	HMEL030831g1.t1
OG0001524	Vcard_DToL14501-RA	HMEL038009g1.t1
OG0001525	Vcard_DToL07366-RA, Vcard_DToL07365-RA	HMEL037020g1.t1
OG0001525	Vcard_DToL07364-RA	HMEL037021g1.t1
OG0001525	Vcard_DToL07367-RA	HMEL037019g1.t1
OG0001526	Vcard_DToL09797-RA	HMEL005553-RA
OG0001528	Vcard_DToL05349-RA	HMEL009102g1.t1
OG0001529	Vcard_DToL15383-RA	HMEL018069g1.t1
OG0001530	Vcard_DToL02295-RA	HMEL011731g1.t1
OG0001531	Vcard_DToL17044-RA	HMEL034512g1.t1
OG0001532	Vcard_DToL07918-RA	HMEL006869g1.t1
OG0001534	Vcard_DToL11036-RA	HMEL008843g1.t1
OG0001534	Vcard_DToL11037-RA	HMEL006579g1.t1
OG0001535	Vcard_DToL01261-RA	HMEL013314g1.t1
OG0001536	Vcard_DToL06720-RA	HMEL008272g1.t1
OG0001537	Vcard_DToL00424-RA	HMEL007281g1.t1
OG0001538	Vcard_DToL05360-RA, Vcard_DToL05362-RA	HMEL031995g1.t1
OG0001539	Vcard_DToL02363-RA	HMEL015171g1.t1
OG0001540	Vcard_DToL03711-RA	HMEL016677g1.t1
OG0001542	Vcard_DToL16209-RA	HMEL013122g1.t1
OG0001543	Vcard_DToL07985-RA	HMEL006852g1.t1
OG0001544	Vcard_DToL04391-RA	HMEL004553g1.t1
OG0001546	Vcard_DToL11992-RA	HMEL037654g1.t1, HMEL026005g1.t1
OG0001547	Vcard_DToL16203-RA, Vcard_DToL16204-RA	HMEL013125g1.t1
OG0001548	Vcard_DToL07385-RA	HMEL017106g1.t1
OG0001549	Vcard_DToL05390-RA	HMEL017139g1.t1
OG0001550	Vcard_DToL00446-RA	HMEL008814g1.t1
OG0001551	Vcard_DToL14439-RA	HMEL004996g1.t1
OG0001552	Vcard_DToL02323-RA	HMEL015141g1.t1
OG0001553	Vcard_DToL07965-RA	HMEL009421g1.t1
OG0001554	Vcard_DToL13688-RA	HMEL005016g1.t1
OG0001555	Vcard_DToL05816-RA	HMEL006816g1.t1
OG0001556	Vcard_DToL05804-RA	HMEL006808g1.t1
OG0001557	Vcard_DToL09491-RA	HMEL031578g1.t1
OG0001558	Vcard_DToL15411-RA	HMEL007616g1.t1
OG0001559	Vcard_DToL09331-RA	HMEL017564g1.t1
OG0001560	Vcard_DToL12030-RA	HMEL037679g1.t1
OG0001561	Vcard_DToL08548-RA	HMEL012293g1.t1
OG0001562	Vcard_DToL09312-RA	HMEL011949g1.t1
OG0001563	Vcard_DToL12616-RA	HMEL011363g1.t1
OG0001564	Vcard_DToL14249-RA	HMEL005447g1.t1
OG0001565	Vcard_DToL10212-RA	HMEL008155g1.t1, HMEL035719g1.t1, HMEL031255g1.t1, HMEL017808g1.t1
OG0001566	Vcard_DToL07805-RA	HMEL015459g1.t1
OG0001567	Vcard_DToL10392-RA	HMEL014556g1.t1
OG0001568	Vcard_DToL15592-RA	HMEL006080g1.t1
OG0001569	Vcard_DToL12053-RA, Vcard_DToL12050-RA	HMEL020641g1.t1
OG0001570	Vcard_DToL10379-RA	HMEL036038g1.t1
OG0001572	Vcard_DToL05435-RA	HMEL031983g1.t1
OG0001573	Vcard_DToL14279-RA	HMEL032085g1.t1
OG0001574	Vcard_DToL08517-RA	HMEL007698g1.t1
OG0001575	Vcard_DToL15464-RA	HMEL004647g1.t1
OG0001575	Vcard_DToL15465-RA	HMEL038217g1.t1
OG0001576	Vcard_DToL04467-RA	HMEL002079g1.t1
OG0001576	Vcard_DToL04466-RA	HMEL009852g1.t1
OG0001576	Vcard_DToL04470-RA	HMEL032738g1.t1
OG0001577	Vcard_DToL02245-RA	HMEL031107g1.t1
OG0001578	Vcard_DToL01406-RA, Vcard_DToL01409-RA	HMEL030889g1.t1
OG0001579	Vcard_DToL02239-RA	HMEL003344-RA
OG0001580	Vcard_DToL10092-RA	HMEL009715g1.t1
OG0001581	Vcard_DToL02374-RA, Vcard_DToL02373-RA	HMEL015180g1.t1
OG0001582	Vcard_DToL02376-RA	HMEL031064g1.t1
OG0001583	Vcard_DToL17236-RA	HMEL030054g1.t1
OG0001583	Vcard_DToL17235-RA	HMEL014990g1.t1
OG0001584	Vcard_DToL02382-RA	HMEL015185g1.t1
OG0001586	Vcard_DToL17223-RA	HMEL014998g1.t1
OG0001587	Vcard_DToL13816-RA	HMEL006750g1.t1, HMEL006749g1.t1
OG0001588	Vcard_DToL10102-RA	HMEL003677g1.t1
OG0001591	Vcard_DToL10939-RA	HMEL002752g1.t1
OG0001591	Vcard_DToL10938-RA	HMEL017468g1.t1
OG0001592	Vcard_DToL10362-RA, Vcard_DToL10359-RA, Vcard_DToL10360-RA, Vcard_DToL10361-RA	HMEL036027g1.t1
OG0001593	Vcard_DToL01433-RA	HMEL015947g1.t1
OG0001594	Vcard_DToL05174-RA	HMEL007749g1.t1
OG0001595	Vcard_DToL14337-RA	HMEL010115g1.t1
OG0001597	Vcard_DToL05686-RA	HMEL011387g1.t1
OG0001598	Vcard_DToL04528-RA	HMEL009428g1.t1
OG0001600	Vcard_DToL09212-RA	HMEL003438g1.t1
OG0001601	Vcard_DToL07526-RA, Vcard_DToL07527-RA	HMEL004766g1.t1
OG0001602	Vcard_DToL10072-RA, Vcard_DToL10071-RA	HMEL017425g1.t1
OG0001603	Vcard_DToL18545-RA, Vcard_DToL18549-RA	HMEL010618g1.t1
OG0001604	Vcard_DToL08203-RA, Vcard_DToL08204-RA, Vcard_DToL08202-RA	HMEL014373g1.t1
OG0001605	Vcard_DToL08193-RA	HMEL015465g1.t1
OG0001607	Vcard_DToL02483-RA	HMEL015290g1.t1
OG0001608	Vcard_DToL11904-RA	HMEL037712g1.t1
OG0001609	Vcard_DToL17130-RA	HMEL030026g1.t1
OG0001611	Vcard_DToL07575-RA	HMEL015997g1.t1
OG0001612	Vcard_DToL04572-RA, Vcard_DToL04574-RA	HMEL000061g1.t1
OG0001613	Vcard_DToL04580-RA	HMEL032689g1.t1
OG0001614	Vcard_DToL17111-RA, Vcard_DToL17113-RA, Vcard_DToL17112-RA	HMEL003784g1.t1
OG0001615	Vcard_DToL15714-RA, Vcard_DToL15712-RA	HMEL010621g1.t1
OG0001616	Vcard_DToL12507-RA	HMEL020101g1.t1, HMEL036871g1.t1
OG0001617	Vcard_DToL07583-RA	HMEL037119g1.t1
OG0001618	Vcard_DToL07584-RA	HMEL037120g1.t1
OG0001619	Vcard_DToL06963-RA	HMEL003013g1.t1, HMEL006294g1.t1, HMEL016620g1.t1
OG0001621	Vcard_DToL09129-RA	HMEL003531g1.t1
OG0001622	Vcard_DToL10149-RA	HMEL036356g1.t1
OG0001623	Vcard_DToL02567-RA	HMEL015222g1.t1
OG0001624	Vcard_DToL07013-RA	HMEL002679-RA
OG0001625	Vcard_DToL10265-RA	HMEL035985g1.t1
OG0001625	Vcard_DToL10264-RA	HMEL035986g1.t1
OG0001626	Vcard_DToL05607-RA	HMEL006157g1.t1
OG0001627	Vcard_DToL07015-RA	HMEL002683g1.t1
OG0001629	Vcard_DToL01668-RA	HMEL009180g1.t1
OG0001630	Vcard_DToL04657-RA	HMEL002017g1.t1, HMEL032674g1.t1
OG0001631	Vcard_DToL01660-RA	HMEL009186g1.t1
OG0001632	Vcard_DToL15767-RA	HMEL003126g1.t1
OG0001634	Vcard_DToL07035-RA	HMEL002697g1.t1
OG0001635	Vcard_DToL09096-RA	HMEL012324g1.t1
OG0001635	Vcard_DToL09094-RA	HMEL014796g1.t1
OG0001636	Vcard_DToL01627-RA	HMEL009211g1.t1
OG0001638	Vcard_DToL08065-RA	HMEL013281g1.t1
OG0001638	Vcard_DToL08067-RA	HMEL033388g1.t1
OG0001639	Vcard_DToL00770-RA	HMEL011045-RA
OG0001640	Vcard_DToL07641-RA	HMEL037155g1.t1
OG0001641	Vcard_DToL08059-RA	HMEL013273g1.t1
OG0001642	Vcard_DToL08049-RA	HMEL013264g1.t1
OG0001643	Vcard_DToL02634-RA	HMEL031002g1.t1
OG0001644	Vcard_DToL00619-RA	HMEL017948g1.t1
OG0001645	Vcard_DToL15830-RA	HMEL017359g1.t1
OG0001647	Vcard_DToL04748-RA	HMEL013105g1.t1
OG0001648	Vcard_DToL15834-RA	HMEL030593g1.t1, HMEL030591g1.t1
OG0001649	Vcard_DToL03935-RA	HMEL007097g1.t1
OG0001650	Vcard_DToL05529-RA	HMEL033123g1.t1
OG0001651	Vcard_DToL08038-RA	HMEL013258g1.t1
