Orthogroup	Vanessa_cardui	Maniola_hyperantus
OG0001942	Vcard_DToL16007-RA, Vcard_DToL16009-RA	XP_034837307.1
OG0001943	Vcard_DToL09350-RA	XP_034832092.1, XP_034832093.1
OG0001944	Vcard_DToL06516-RA	XP_034827299.1, XP_034827298.1
OG0001945	Vcard_DToL17971-RA	XP_034838338.1
OG0001946	Vcard_DToL01147-RA	XP_034830219.1
OG0001947	Vcard_DToL01148-RA	XP_034830375.1
OG0001948	Vcard_DToL06509-RA	XP_034826848.1, XP_034826847.1
OG0001949	Vcard_DToL09351-RA	XP_034832085.1, XP_034832086.1, XP_034832084.1
OG0001950	Vcard_DToL16399-RA	XP_034826107.1
OG0001951	Vcard_DToL03587-RA	XP_034825057.1
OG0001953	Vcard_DToL06506-RA	XP_034827332.1
OG0001954	Vcard_DToL06015-RA	XP_034826505.1, XP_034826510.1, XP_034826519.1
OG0001955	Vcard_DToL06503-RA	XP_034827325.1
OG0001956	Vcard_DToL15176-RA	XP_034836115.1
OG0001957	Vcard_DToL06010-RA	XP_034826655.1
OG0001958	Vcard_DToL16906-RA	XP_034836715.1
OG0001959	Vcard_DToL00567-RA, Vcard_DToL00566-RA	XP_034839578.1
OG0001960	Vcard_DToL04346-RA	XP_034830374.1
OG0001962	Vcard_DToL13320-RA, Vcard_DToL13322-RA	XP_034835330.1
OG0001963	Vcard_DToL03233-RA	XP_034829178.1
OG0001964	Vcard_DToL11110-RA	XP_034832624.1
OG0001965	Vcard_DToL16386-RA	XP_034826100.1
OG0001966	Vcard_DToL13951-RA	XP_034836494.1
OG0001967	Vcard_DToL07289-RA	XP_034830156.1
OG0001968	Vcard_DToL03616-RA	XP_034825271.1
OG0001969	Vcard_DToL05999-RA, Vcard_DToL05998-RA	XP_034826354.1
OG0001970	Vcard_DToL03617-RA	XP_034825288.1
OG0001971	Vcard_DToL16369-RA, Vcard_DToL16368-RA	XP_034826117.1
OG0001973	Vcard_DToL10509-RA	XP_034828711.1
OG0001974	Vcard_DToL11293-RA	XP_034832807.1
OG0001975	Vcard_DToL07722-RA	XP_034828315.1, XP_034828314.1
OG0001976	Vcard_DToL06483-RA, Vcard_DToL06479-RA	XP_034827185.1
OG0001977	Vcard_DToL04275-RA	XP_034830389.1
OG0001979	Vcard_DToL14164-RA	XP_034836446.1
OG0001980	Vcard_DToL12293-RA, Vcard_DToL12292-RA	XP_034831053.1
OG0001982	Vcard_DToL05040-RA, Vcard_DToL05039-RA	XP_034824444.1
OG0001983	Vcard_DToL03254-RA, Vcard_DToL03255-RA	XP_034829396.1, XP_034829397.1
OG0001984	Vcard_DToL12298-RA	XP_034831061.1, XP_034831062.1
OG0001985	Vcard_DToL08745-RA	XP_034840755.1
OG0001986	Vcard_DToL12302-RA	XP_034831065.1
OG0001987	Vcard_DToL16312-RA	XP_034826238.1
OG0001988	Vcard_DToL07303-RA	XP_034829648.1, XP_034829646.1, XP_034829647.1
OG0001989	Vcard_DToL18221-RA, Vcard_DToL18220-RA	XP_034837998.1
OG0001990	Vcard_DToL12316-RA	XP_034831193.1, XP_034831194.1
OG0001991	Vcard_DToL08735-RA	XP_034840511.1, XP_034840512.1, XP_034840513.1
OG0001992	Vcard_DToL15348-RA	XP_034835943.1
OG0001993	Vcard_DToL13247-RA, Vcard_DToL13245-RA	XP_034835300.1
OG0001994	Vcard_DToL07314-RA	XP_034836991.1, XP_034829649.1
OG0001995	Vcard_DToL13242-RA	XP_034835150.1, XP_034835151.1
OG0001996	Vcard_DToL16336-RA	XP_034826560.1
OG0001997	Vcard_DToL09415-RA	XP_034832311.1
OG0001998	Vcard_DToL13240-RA	XP_034835031.1
OG0001998	Vcard_DToL13241-RA	XP_034835556.1
OG0001999	Vcard_DToL16333-RA, Vcard_DToL16334-RA	XP_034826561.1
OG0002000	Vcard_DToL04289-RA	XP_034830264.1
OG0002001	Vcard_DToL00237-RA	XP_034839782.1
OG0002002	Vcard_DToL07937-RA	XP_034828208.1
OG0002003	Vcard_DToL10968-RA	XP_034832693.1, XP_034832694.1
OG0002004	Vcard_DToL05077-RA	XP_034824461.1
OG0002005	Vcard_DToL04298-RA, Vcard_DToL04296-RA	XP_034830288.1
OG0002007	Vcard_DToL18250-RA, Vcard_DToL18248-RA, Vcard_DToL18249-RA	XP_034838328.1
OG0002008	Vcard_DToL01547-RA	XP_034833284.1
OG0002009	Vcard_DToL12783-RA	XP_034834968.1
OG0002010	Vcard_DToL14744-RA, Vcard_DToL14743-RA	XP_034834245.1
OG0002011	Vcard_DToL06679-RA	XP_034827356.1
OG0002012	Vcard_DToL11949-RA, Vcard_DToL11952-RA	XP_034831299.1
OG0002013	Vcard_DToL14736-RA, Vcard_DToL14729-RA	XP_034833891.1
OG0002014	Vcard_DToL17422-RA, Vcard_DToL17423-RA	XP_034838547.1
OG0002015	Vcard_DToL14139-RA	XP_034836459.1
OG0002016	Vcard_DToL07329-RA	XP_034829796.1
OG0002018	Vcard_DToL17087-RA	XP_034836846.1
OG0002020	Vcard_DToL15369-RA	XP_034836208.1
OG0002021	Vcard_DToL02150-RA	XP_034824048.1
OG0002022	Vcard_DToL16253-RA	XP_034837045.1
OG0002023	Vcard_DToL10999-RA, Vcard_DToL10998-RA	XP_034832527.1, XP_034832528.1
OG0002025	Vcard_DToL12803-RA	XP_034834354.1
OG0002026	Vcard_DToL02155-RA, Vcard_DToL02153-RA, Vcard_DToL02154-RA	XP_034824045.1
OG0002027	Vcard_DToL03678-RA	XP_034825670.1
OG0002028	Vcard_DToL03682-RA	XP_034825674.1
OG0002030	Vcard_DToL13148-RA	XP_034835193.1
OG0002031	Vcard_DToL02171-RA	XP_034824052.1, XP_034824053.1
OG0002032	Vcard_DToL08649-RA, Vcard_DToL08651-RA, Vcard_DToL08653-RA	XP_034840233.1
OG0002033	Vcard_DToL05897-RA, Vcard_DToL05896-RA	XP_034829305.1
OG0002034	Vcard_DToL10448-RA	XP_034828737.1, XP_034828738.1
OG0002035	Vcard_DToL07347-RA	XP_034829684.1
OG0002036	Vcard_DToL16285-RA	XP_034826282.1, XP_034826533.1
OG0002037	Vcard_DToL14128-RA	XP_034836419.1
OG0002038	Vcard_DToL06696-RA	XP_034827178.1, XP_034827176.1
OG0002039	Vcard_DToL04348-RA	XP_034830999.1
OG0002040	Vcard_DToL13195-RA, Vcard_DToL13196-RA	XP_034835200.1
OG0002041	Vcard_DToL06699-RA	XP_034827146.1
OG0002042	Vcard_DToL07359-RA	XP_034830238.1
OG0002044	Vcard_DToL01617-RA	XP_034831250.1
OG0002045	Vcard_DToL15506-RA	XP_034825818.1
OG0002046	Vcard_DToL01619-RA	XP_034833690.1
OG0002047	Vcard_DToL01294-RA	XP_034838299.1
OG0002049	Vcard_DToL08618-RA, Vcard_DToL08620-RA	XP_034839652.1
OG0002050	Vcard_DToL01280-RA	XP_034838863.1
OG0002051	Vcard_DToL00415-RA, Vcard_DToL00414-RA	XP_034839608.1
OG0002052	Vcard_DToL05872-RA	XP_034829224.1
OG0002053	Vcard_DToL06711-RA	XP_034827077.1
OG0002054	Vcard_DToL05356-RA, Vcard_DToL05357-RA	XP_034824971.1
OG0002055	Vcard_DToL05869-RA	XP_034829280.1, XP_034829274.1
OG0002056	Vcard_DToL06714-RA	XP_034827182.1, XP_034827180.1
OG0002057	Vcard_DToL06717-RA	XP_034827142.1
OG0002058	Vcard_DToL05867-RA	XP_034840408.1, XP_034824495.1
OG0002059	Vcard_DToL14216-RA	XP_034836369.1
OG0002060	Vcard_DToL01254-RA, Vcard_DToL01256-RA	XP_034836274.1, XP_034836269.1
OG0002061	Vcard_DToL14526-RA	XP_034833949.1, XP_034833948.1, XP_034833947.1
OG0002062	Vcard_DToL02358-RA	XP_034841094.1
OG0002063	Vcard_DToL07994-RA	XP_034827983.1, XP_034827984.1
OG0002064	Vcard_DToL11049-RA	XP_034832772.1
OG0002065	Vcard_DToL05851-RA	XP_034827305.1
OG0002066	Vcard_DToL13218-RA	XP_034835183.1
OG0002067	Vcard_DToL15543-RA, Vcard_DToL15539-RA	XP_034825984.1
OG0002068	Vcard_DToL00437-RA	XP_034839380.1
OG0002069	Vcard_DToL03717-RA	XP_034825111.1, XP_034825110.1
OG0002070	Vcard_DToL04393-RA	XP_034830427.1
OG0002071	Vcard_DToL11997-RA, Vcard_DToL11998-RA	XP_034831632.1
OG0002072	Vcard_DToL03722-RA, Vcard_DToL03723-RA	XP_034825570.1
OG0002073	Vcard_DToL02342-RA	XP_034823930.1
OG0002074	Vcard_DToL16200-RA	XP_034837418.1
OG0002075	Vcard_DToL09768-RA	XP_034833363.1, XP_034833364.1
OG0002076	Vcard_DToL10417-RA	XP_034824267.1, XP_034828615.1
OG0002077	Vcard_DToL18621-RA	XP_034839077.1
OG0002078	Vcard_DToL03733-RA	XP_034825512.1
OG0002079	Vcard_DToL09481-RA	XP_034832138.1
OG0002080	Vcard_DToL07947-RA, Vcard_DToL07949-RA	XP_034828214.1
OG0002081	Vcard_DToL13698-RA	XP_034835190.1, XP_034835192.1, XP_034835191.1
OG0002082	Vcard_DToL02996-RA	XP_034829268.1
OG0002083	Vcard_DToL17210-RA	XP_034837756.1
OG0002084	Vcard_DToL13702-RA	XP_034835156.1
OG0002085	Vcard_DToL03756-RA	XP_034825246.1, XP_034825245.1, XP_034825247.1, XP_034825243.1
OG0002086	Vcard_DToL15417-RA	XP_034836018.1
OG0002087	Vcard_DToL07409-RA	XP_034829907.1, XP_034829905.1
OG0002088	Vcard_DToL15568-RA	XP_034826261.1
OG0002089	Vcard_DToL12620-RA, Vcard_DToL12618-RA	XP_034834522.1
OG0002090	Vcard_DToL04431-RA	XP_034830665.1
OG0002090	Vcard_DToL04432-RA	XP_034830812.1
OG0002091	Vcard_DToL07791-RA	XP_034827834.1
OG0002092	Vcard_DToL15580-RA	XP_034826249.1
OG0002093	Vcard_DToL04441-RA, Vcard_DToL04439-RA	XP_034830652.1
OG0002094	Vcard_DToL09948-RA	XP_034833394.1
OG0002095	Vcard_DToL09298-RA, Vcard_DToL09299-RA	XP_034831980.1, XP_034831979.1
OG0002096	Vcard_DToL07798-RA	XP_034828054.1, XP_034828056.1, XP_034828055.1
OG0002097	Vcard_DToL10206-RA, Vcard_DToL10208-RA	XP_034833594.1
OG0002098	Vcard_DToL03985-RA	XP_034825731.1, XP_034825730.1, XP_034825638.1
OG0002099	Vcard_DToL01211-RA, Vcard_DToL01210-RA	XP_034838782.1
OG0002100	Vcard_DToL13764-RA	XP_034835444.1
OG0002102	Vcard_DToL02291-RA	XP_034841530.1
OG0002104	Vcard_DToL06801-RA	XP_034826908.1
OG0002105	Vcard_DToL04451-RA	XP_034830549.1
OG0002106	Vcard_DToL06798-RA	XP_034826752.1
OG0002107	Vcard_DToL05736-RA, Vcard_DToL05735-RA	XP_034828234.1
OG0002108	Vcard_DToL14387-RA, Vcard_DToL14388-RA	XP_034834163.1
OG0002109	Vcard_DToL10922-RA	XP_034832923.1
OG0002111	Vcard_DToL01205-RA	XP_034830554.1
OG0002112	Vcard_DToL13739-RA	XP_034835635.1
OG0002113	Vcard_DToL06796-RA	XP_034827314.1
OG0002114	Vcard_DToL10135-RA	XP_034833217.1
OG0002115	Vcard_DToL12056-RA	XP_034831684.1
OG0002116	Vcard_DToL15456-RA	XP_034836195.1
OG0002117	Vcard_DToL05441-RA	XP_034824765.1
OG0002118	Vcard_DToL04461-RA, Vcard_DToL04460-RA	XP_034830302.1
OG0002119	Vcard_DToL05447-RA	XP_034824502.1
OG0002120	Vcard_DToL07470-RA, Vcard_DToL07469-RA, Vcard_DToL07468-RA	XP_034829978.1
OG0002122	Vcard_DToL08514-RA	XP_034840732.1, XP_034840734.1, XP_034840735.1, XP_034840736.1
OG0002123	Vcard_DToL00538-RA, Vcard_DToL00541-RA	XP_034839583.1
OG0002124	Vcard_DToL09252-RA	XP_034831732.1
OG0002126	Vcard_DToL05740-RA	XP_034828190.1, XP_034840163.1
OG0002127	Vcard_DToL04482-RA, Vcard_DToL04484-RA	XP_034830294.1
OG0002128	Vcard_DToL00553-RA, Vcard_DToL00554-RA, Vcard_DToL00555-RA	XP_034839581.1
OG0002129	Vcard_DToL05759-RA	XP_034828713.1
OG0002130	Vcard_DToL17232-RA	XP_034837752.1
OG0002131	Vcard_DToL15624-RA, Vcard_DToL15625-RA	XP_034826222.1, XP_034826221.1
OG0002132	Vcard_DToL10101-RA	XP_034833309.1, XP_034833308.1, XP_034833307.1, XP_034833310.1
OG0002133	Vcard_DToL01432-RA	XP_034832868.1, XP_034832876.1
OG0002134	Vcard_DToL07509-RA	XP_034830042.1
OG0002135	Vcard_DToL00561-RA	XP_034839128.1
OG0002136	Vcard_DToL03835-RA	XP_034825364.1, XP_034825363.1
OG0002137	Vcard_DToL10911-RA, Vcard_DToL10910-RA	XP_034832714.1
OG0002138	Vcard_DToL10076-RA	XP_034833556.1, XP_034833159.1
OG0002139	Vcard_DToL17161-RA	XP_034837557.1
OG0002140	Vcard_DToL12191-RA, Vcard_DToL12190-RA	XP_034831562.1
OG0002141	Vcard_DToL11921-RA	XP_034831354.1
OG0002142	Vcard_DToL07545-RA	XP_034829925.1
OG0002143	Vcard_DToL07546-RA	XP_034829941.1
OG0002144	Vcard_DToL07547-RA	XP_034829940.1
OG0002146	Vcard_DToL08479-RA	XP_034840116.1
OG0002147	Vcard_DToL10332-RA, Vcard_DToL10331-RA	XP_034828673.1
OG0002148	Vcard_DToL02435-RA	XP_034841470.1
OG0002149	Vcard_DToL04537-RA	XP_034830802.1
OG0002150	Vcard_DToL04542-RA	XP_034830422.1
OG0002152	Vcard_DToL06939-RA, Vcard_DToL06940-RA	XP_034827105.1
OG0002153	Vcard_DToL15690-RA	XP_034825793.1
OG0002155	Vcard_DToL08180-RA, Vcard_DToL08181-RA	XP_034827597.1
OG0002156	Vcard_DToL05308-RA, Vcard_DToL05309-RA	XP_034824269.1
OG0002157	Vcard_DToL17209-RA	XP_034837757.1
OG0002158	Vcard_DToL13776-RA, Vcard_DToL13775-RA	XP_034835446.1
OG0002160	Vcard_DToL10869-RA	XP_034827039.1
OG0002161	Vcard_DToL09173-RA	XP_034832498.1
OG0002163	Vcard_DToL01725-RA	XP_034830964.1
OG0002164	Vcard_DToL04583-RA, Vcard_DToL04581-RA	XP_034830510.1
OG0002165	Vcard_DToL02510-RA	XP_034841400.1, XP_034841401.1
OG0002166	Vcard_DToL10879-RA	XP_034833107.1
OG0002167	Vcard_DToL05631-RA	XP_034824299.1
OG0002168	Vcard_DToL09156-RA	XP_034832501.1
OG0002169	Vcard_DToL10296-RA	XP_034828628.1
OG0002170	Vcard_DToL00692-RA	XP_034839565.1
OG0002171	Vcard_DToL09149-RA	XP_034832016.1
OG0002172	Vcard_DToL15727-RA, Vcard_DToL15726-RA, Vcard_DToL15724-RA	XP_034826379.1
OG0002173	Vcard_DToL10892-RA	XP_034833102.1
OG0002174	Vcard_DToL04610-RA, Vcard_DToL04609-RA, Vcard_DToL04611-RA	XP_034830499.1
OG0002175	Vcard_DToL17100-RA	XP_034837490.1
OG0002177	Vcard_DToL11872-RA	XP_034831644.1
OG0002179	Vcard_DToL05611-RA, Vcard_DToL16691-RA	XP_034827850.1
OG0002181	Vcard_DToL04637-RA	XP_034830750.1
OG0002182	Vcard_DToL11101-RA	XP_034832634.1, XP_034832635.1
OG0002183	Vcard_DToL03896-RA	XP_034825177.1, XP_034825178.1, XP_034825180.1, XP_034825179.1
OG0002184	Vcard_DToL04655-RA	XP_034830890.1, XP_034830891.1
OG0002185	Vcard_DToL03897-RA	XP_034825010.1
OG0002186	Vcard_DToL04666-RA	XP_034830780.1
OG0002187	Vcard_DToL03902-RA	XP_034824993.1
OG0002188	Vcard_DToL07623-RA	XP_034829681.1
OG0002189	Vcard_DToL15786-RA	XP_034826396.1
OG0002190	Vcard_DToL15792-RA	XP_034826296.1
OG0002191	Vcard_DToL09075-RA	XP_034831842.1
OG0002193	Vcard_DToL07635-RA	XP_034829983.1
OG0002194	Vcard_DToL09066-RA	XP_034831755.1, XP_034831757.1, XP_034831756.1
OG0002195	Vcard_DToL08062-RA	XP_034828199.1
OG0002196	Vcard_DToL08339-RA, Vcard_DToL08337-RA	XP_034840151.1
OG0002197	Vcard_DToL02605-RA	XP_034823915.1, XP_034823916.1
OG0002200	Vcard_DToL02627-RA	XP_034841048.1
OG0002201	Vcard_DToL02628-RA	XP_034841041.1, XP_034841042.1, XP_034841043.1
OG0002203	Vcard_DToL00620-RA	XP_034839522.1
OG0002204	Vcard_DToL05201-RA	XP_034824434.1
OG0002205	Vcard_DToL00717-RA	XP_034825664.1, XP_034825663.1, XP_034825662.1
OG0002206	Vcard_DToL03923-RA	XP_034825297.1, XP_034825296.1, XP_034825298.1
OG0002207	Vcard_DToL03925-RA	XP_034825596.1
OG0002208	Vcard_DToL04732-RA	XP_034830674.1, XP_034830673.1
OG0002209	Vcard_DToL02654-RA, Vcard_DToL02660-RA	XP_034841013.1
OG0002211	Vcard_DToL05528-RA	XP_034826736.1
OG0002212	Vcard_DToL08029-RA, Vcard_DToL08030-RA	XP_034827894.1
OG0002213	Vcard_DToL03949-RA	XP_034825130.1
OG0002214	Vcard_DToL03952-RA, Vcard_DToL03953-RA	XP_034825156.1
OG0002215	Vcard_DToL15838-RA, Vcard_DToL15836-RA, Vcard_DToL15837-RA	XP_034826631.1
OG0002216	Vcard_DToL00629-RA	XP_034839198.1
OG0002217	Vcard_DToL05560-RA	XP_034824670.1
OG0002218	Vcard_DToL05563-RA	XP_034824415.1
OG0002219	Vcard_DToL15856-RA	XP_034826297.1
OG0002220	Vcard_DToL15864-RA	XP_034825909.1, XP_034825910.1
OG0002221	Vcard_DToL01388-RA, Vcard_DToL01361-RA, Vcard_DToL01362-RA	XP_034831820.1
OG0002222	Vcard_DToL05572-RA	XP_034828501.1
OG0002223	Vcard_DToL00649-RA	XP_034839236.1
OG0002224	Vcard_DToL01374-RA, Vcard_DToL01373-RA	XP_034836631.1
OG0002225	Vcard_DToL02686-RA	XP_034841070.1
OG0002226	Vcard_DToL01382-RA	XP_034836582.1
OG0002227	Vcard_DToL01497-RA	XP_034834289.1
OG0002228	Vcard_DToL16939-RA	XP_034836859.1
OG0002230	Vcard_DToL15859-RA	XP_034826184.1, XP_034826186.1
OG0002231	Vcard_DToL10445-RA	XP_034838460.1
OG0002233	Vcard_DToL10085-RA	XP_034833562.1
OG0002234	Vcard_DToL09518-RA	XP_034832146.1
OG0002235	Vcard_DToL04513-RA	XP_034830979.1, XP_034824722.1
OG0002240	Vcard_DToL01779-RA	XP_034841071.1
OG0002247	Vcard_DToL03518-RA	XP_034825378.1
OG0002248	Vcard_DToL13944-RA	XP_034836430.1
OG0002249	Vcard_DToL18585-RA	XP_034839119.1, XP_034839118.1
OG0002250	Vcard_DToL03304-RA, Vcard_DToL03303-RA	XP_034829507.1
OG0002251	Vcard_DToL04010-RA	XP_034830869.1
OG0002253	Vcard_DToL03302-RA	XP_034839918.1, XP_034828988.1
OG0002255	Vcard_DToL06338-RA, Vcard_DToL01075-RA, Vcard_DToL06336-RA, Vcard_DToL06337-RA	XP_034823922.1
OG0002256	Vcard_DToL16767-RA	XP_034826138.1, XP_034826137.1, XP_034826136.1
OG0002257	Vcard_DToL09681-RA	XP_034831878.1
OG0002258	Vcard_DToL10608-RA	XP_034828707.1, XP_034828708.1
OG0002259	Vcard_DToL06251-RA	XP_034841226.1
OG0002261	Vcard_DToL17896-RA	XP_034838268.1
OG0002262	Vcard_DToL17860-RA	XP_034838185.1
OG0002263	Vcard_DToL16955-RA	XP_034836802.1
OG0002264	Vcard_DToL04001-RA	XP_034830919.1
OG0002265	Vcard_DToL15296-RA	XP_034836104.1, XP_034836103.1, XP_034836105.1
OG0002266	Vcard_DToL18349-RA	XP_034827749.1
OG0002267	Vcard_DToL00809-RA	XP_034832145.1
OG0002268	Vcard_DToL09695-RA	XP_034832291.1, XP_034832292.1
OG0002269	Vcard_DToL13596-RA	XP_034835624.1
OG0002270	Vcard_DToL15972-RA, Vcard_DToL15971-RA	XP_034837378.1
OG0002271	Vcard_DToL01853-RA	XP_034823941.1, XP_034823942.1
OG0002272	Vcard_DToL07165-RA, Vcard_DToL07166-RA	XP_034839948.1, XP_034829553.1
OG0002273	Vcard_DToL18692-RA	XP_034838828.1
OG0002275	Vcard_DToL16740-RA	XP_034826434.1, XP_034826439.1, XP_034826437.1
OG0002276	Vcard_DToL09500-RA	XP_034832115.1
OG0002277	Vcard_DToL18335-RA	XP_034827754.1
OG0002278	Vcard_DToL16831-RA	XP_034836720.1
OG0002279	Vcard_DToL04015-RA	XP_034830452.1
OG0002280	Vcard_DToL04016-RA	XP_034830455.1
OG0002281	Vcard_DToL04017-RA	XP_034830461.1
OG0002282	Vcard_DToL16737-RA, Vcard_DToL16734-RA	XP_034826192.1, XP_034826193.1
OG0002283	Vcard_DToL17801-RA	XP_034837818.1
OG0002284	Vcard_DToL04024-RA	XP_034830450.1
OG0002286	Vcard_DToL11333-RA	XP_034832723.1, XP_034832724.1
OG0002287	Vcard_DToL16816-RA	XP_034836845.1
OG0002288	Vcard_DToL06362-RA	XP_034826812.1
OG0002289	Vcard_DToL17356-RA, Vcard_DToL00421-RA	XP_034837715.1
OG0002290	Vcard_DToL00167-RA	XP_034839325.1
OG0002291	Vcard_DToL12466-RA	XP_034831351.1
OG0002292	Vcard_DToL15320-RA	XP_034839604.1, XP_034839521.1
OG0002293	Vcard_DToL06312-RA	XP_034824279.1
OG0002294	Vcard_DToL16727-RA	XP_034825852.1
OG0002295	Vcard_DToL17786-RA, Vcard_DToL17784-RA, Vcard_DToL17785-RA	XP_034838192.1
OG0002296	Vcard_DToL03334-RA	XP_034825325.1
OG0002297	Vcard_DToL00829-RA, Vcard_DToL00827-RA	XP_034831010.1
OG0002298	Vcard_DToL15898-RA, Vcard_DToL15899-RA	XP_034837142.1
OG0002299	Vcard_DToL15903-RA	XP_034837420.1
OG0002300	Vcard_DToL01864-RA	XP_034840843.1
OG0002301	Vcard_DToL18707-RA	XP_034838804.1
OG0002302	Vcard_DToL18725-RA	XP_034839036.1
OG0002303	Vcard_DToL17797-RA	XP_034838177.1
OG0002306	Vcard_DToL03349-RA	XP_034825302.1
OG0002307	Vcard_DToL03350-RA	XP_034825528.1
OG0002308	Vcard_DToL04844-RA	XP_034824727.1
OG0002310	Vcard_DToL18427-RA	XP_034827965.1, XP_034827964.1
OG0002311	Vcard_DToL18723-RA	XP_034839029.1
OG0002312	Vcard_DToL16797-RA	XP_034836700.1, XP_034836701.1
OG0002313	Vcard_DToL15909-RA	XP_034837217.1
OG0002315	Vcard_DToL14081-RA	XP_034836560.1
OG0002316	Vcard_DToL16712-RA, Vcard_DToL16713-RA	XP_034826358.1
OG0002317	Vcard_DToL18713-RA	XP_034838807.1
OG0002318	Vcard_DToL15141-RA	XP_034836130.1
OG0002319	Vcard_DToL10163-RA	XP_034833395.1
OG0002321	Vcard_DToL13625-RA	XP_034835244.1
OG0002322	Vcard_DToL13627-RA	XP_034835508.1
OG0002323	Vcard_DToL15138-RA	XP_034836128.1
OG0002324	Vcard_DToL04839-RA	XP_034824647.1
OG0002325	Vcard_DToL18712-RA	XP_034838943.1
OG0002326	Vcard_DToL17377-RA	XP_034837719.1
OG0002327	Vcard_DToL04837-RA, Vcard_DToL04836-RA	XP_034824932.1
OG0002328	Vcard_DToL18541-RA	XP_034828288.1, XP_034828287.1
OG0002329	Vcard_DToL15068-RA	XP_034835858.1
OG0002330	Vcard_DToL18536-RA	XP_034827672.1
OG0002331	Vcard_DToL04834-RA, Vcard_DToL04835-RA	XP_034824725.1
OG0002332	Vcard_DToL11346-RA, Vcard_DToL11345-RA, Vcard_DToL11284-RA	XP_034832958.1, XP_034832959.1
OG0002333	Vcard_DToL13074-RA	XP_034834835.1
OG0002334	Vcard_DToL17385-RA	XP_034837724.1
OG0002335	Vcard_DToL00843-RA	XP_034837563.1
OG0002337	Vcard_DToL07226-RA	XP_034830141.1
OG0002338	Vcard_DToL06384-RA	XP_034826885.1
OG0002339	Vcard_DToL00851-RA	XP_034837430.1
OG0002340	Vcard_DToL03369-RA	XP_034825121.1
OG0002341	Vcard_DToL15080-RA	XP_034835765.1
OG0002343	Vcard_DToL10843-RA, Vcard_DToL10846-RA, Vcard_DToL10845-RA	XP_034828797.1
OG0002344	Vcard_DToL16052-RA	XP_034837206.1
OG0002346	Vcard_DToL17180-RA, Vcard_DToL14644-RA, Vcard_DToL17181-RA	XP_034834063.1
OG0002347	Vcard_DToL06260-RA, Vcard_DToL06257-RA	XP_034824920.1
OG0002348	Vcard_DToL16844-RA	XP_034836902.1
OG0002349	Vcard_DToL16694-RA	XP_034826332.1
OG0002350	Vcard_DToL14655-RA	XP_034834023.1, XP_034834024.1
OG0002351	Vcard_DToL17848-RA	XP_034838089.1
OG0002352	Vcard_DToL16053-RA, Vcard_DToL16055-RA	XP_034837200.1
OG0002353	Vcard_DToL17915-RA	XP_034837821.1, XP_034838230.1, XP_034838231.1, XP_034838232.1
OG0002355	Vcard_DToL03127-RA	XP_034828954.1
OG0002356	Vcard_DToL18815-RA	XP_034838991.1
OG0002357	Vcard_DToL18810-RA	XP_034838981.1
OG0002358	Vcard_DToL07136-RA	XP_034829899.1
OG0002359	Vcard_DToL01070-RA, Vcard_DToL01068-RA	XP_034838552.1, XP_034838558.1
OG0002360	Vcard_DToL17852-RA, Vcard_DToL17851-RA	XP_034838136.1
OG0002361	Vcard_DToL00874-RA	XP_034834776.1
OG0002362	Vcard_DToL16668-RA	XP_034826336.1, XP_034826335.1
OG0002363	Vcard_DToL11271-RA	XP_034833051.1
OG0002364	Vcard_DToL15096-RA	XP_034836073.1
OG0002365	Vcard_DToL18804-RA	XP_034839000.1, XP_034839001.1, XP_034838999.1
OG0002366	Vcard_DToL10015-RA	XP_034833315.1
OG0002367	Vcard_DToL09013-RA	XP_034840713.1
OG0002368	Vcard_DToL07128-RA	XP_034829617.1
OG0002369	Vcard_DToL17721-RA	XP_034838365.1
OG0002372	Vcard_DToL11259-RA	XP_034832589.1
OG0002373	Vcard_DToL09002-RA	XP_034840718.1
OG0002374	Vcard_DToL11257-RA	XP_034832588.1
OG0002375	Vcard_DToL13672-RA	XP_034835500.1
OG0002376	Vcard_DToL09000-RA	XP_034840716.1
OG0002377	Vcard_DToL18458-RA	XP_034827684.1, XP_034827683.1
OG0002378	Vcard_DToL16887-RA	XP_034836772.1
OG0002379	Vcard_DToL18462-RA	XP_034827770.1
OG0002380	Vcard_DToL17004-RA	XP_034837035.1
OG0002381	Vcard_DToL16885-RA	XP_034836795.1
OG0002382	Vcard_DToL13005-RA	XP_034834673.1
OG0002383	Vcard_DToL01771-RA	XP_034841065.1, XP_034841063.1
OG0002384	Vcard_DToL00899-RA	XP_034838130.1
OG0002385	Vcard_DToL12998-RA, Vcard_DToL13001-RA	XP_034834662.1
OG0002387	Vcard_DToL12380-RA	XP_034831100.1
OG0002388	Vcard_DToL01768-RA	XP_034841069.1
OG0002389	Vcard_DToL18474-RA, Vcard_DToL18473-RA	XP_034828083.1
OG0002390	Vcard_DToL06254-RA	XP_034825295.1
OG0002391	Vcard_DToL00910-RA	XP_034834925.1
OG0002393	Vcard_DToL09611-RA	XP_034832441.1
OG0002395	Vcard_DToL12378-RA	XP_034831625.1
OG0002396	Vcard_DToL14680-RA	XP_034833692.1
OG0002397	Vcard_DToL01717-RA, Vcard_DToL03412-RA	XP_034825347.1
OG0002399	Vcard_DToL15958-RA	XP_034837392.1
OG0002400	Vcard_DToL16659-RA	XP_034826021.1
OG0002401	Vcard_DToL13544-RA	XP_034835660.1
OG0002401	Vcard_DToL13543-RA	XP_034835652.1
OG0002402	Vcard_DToL17918-RA	XP_034838209.1
