Orthogroup	Heliconius_melpomene_melpomene	Vanessa_cardui
OG0001183	HMEL002563g1.t1	Vcard_DToL02875-RA
OG0001184	HMEL035756g1.t1	Vcard_DToL12792-RA
OG0001185	HMEL035460g1.t1	Vcard_DToL00410-RA, Vcard_DToL00411-RA, Vcard_DToL00412-RA
OG0001188	HMEL011054g1.t1	Vcard_DToL11966-RA
OG0001189	HMEL036689g1.t1	Vcard_DToL12802-RA
OG0001190	HMEL014022g1.t1	Vcard_DToL04711-RA
OG0001191	HMEL033208g1.t1	Vcard_DToL07856-RA
OG0001192	HMEL006260g1.t1	Vcard_DToL02165-RA
OG0001193	HMEL002965g1.t1	Vcard_DToL17075-RA, Vcard_DToL17074-RA
OG0001194	HMEL003708g1.t1	Vcard_DToL15377-RA
OG0001194	HMEL003706g1.t1	Vcard_DToL15376-RA
OG0001195	HMEL020198g1.t1	Vcard_DToL11061-RA
OG0001196	HMEL005744g1.t1	Vcard_DToL08632-RA
OG0001197	HMEL013338g1.t1	Vcard_DToL01614-RA
OG0001198	HMEL036737g1.t1, HMEL014730g1.t1	Vcard_DToL12721-RA
OG0001199	HMEL036739g1.t1	Vcard_DToL12716-RA, Vcard_DToL12718-RA, Vcard_DToL12715-RA
OG0001200	HMEL010538g1.t1	Vcard_DToL09806-RA, Vcard_DToL09808-RA
OG0001201	HMEL013327g1.t1	Vcard_DToL01282-RA
OG0001203	HMEL012888g1.t1	Vcard_DToL14211-RA
OG0001203	HMEL032109g1.t1	Vcard_DToL14212-RA
OG0001204	HMEL015674g1.t1	Vcard_DToL17302-RA
OG0001205	HMEL009804g1.t1	Vcard_DToL11990-RA
OG0001205	HMEL008255g1.t1	Vcard_DToL11991-RA
OG0001206	HMEL002294g1.t1	Vcard_DToL05849-RA
OG0001206	HMEL002295g1.t1	Vcard_DToL05848-RA
OG0001207	HMEL035167g1.t1	Vcard_DToL08579-RA
OG0001208	HMEL016688g1.t1	Vcard_DToL03726-RA
OG0001209	HMEL013308g1.t1	Vcard_DToL01248-RA
OG0001210	HMEL022028g1.t1	Vcard_DToL04398-RA
OG0001211	HMEL005001g1.t1	Vcard_DToL14432-RA
OG0001212	HMEL014000g1.t1	Vcard_DToL09489-RA
OG0001214	HMEL007613-RA	Vcard_DToL15414-RA
OG0001215	HMEL013143g1.t1	Vcard_DToL16181-RA
OG0001216	HMEL017551g1.t1	Vcard_DToL09315-RA
OG0001217	HMEL014545g1.t1	Vcard_DToL17326-RA, Vcard_DToL17327-RA
OG0001218	HMEL011614g1.t1	Vcard_DToL14419-RA
OG0001220	HMEL014351g1.t1	Vcard_DToL07784-RA
OG0001221	HMEL012304g1.t1	Vcard_DToL11086-RA
OG0001222	HMEL034254g1.t1	Vcard_DToL03015-RA, Vcard_DToL03014-RA
OG0001223	HMEL011728g1.t1	Vcard_DToL02301-RA
OG0001224	HMEL032331g1.t1	Vcard_DToL13760-RA, Vcard_DToL13762-RA
OG0001225	HMEL032332g1.t1	Vcard_DToL13757-RA, Vcard_DToL13755-RA
OG0001226	HMEL011755g1.t1	Vcard_DToL02268-RA
OG0001227	HMEL007389g1.t1	Vcard_DToL09271-RA
OG0001228	HMEL008168g1.t1	Vcard_DToL14378-RA, Vcard_DToL14377-RA, Vcard_DToL14375-RA
OG0001230	HMEL009971g1.t1, HMEL009969g1.t1	Vcard_DToL14291-RA
OG0001231	HMEL007767g1.t1	Vcard_DToL04476-RA, Vcard_DToL04477-RA, Vcard_DToL04475-RA
OG0001233	HMEL032083g1.t1	Vcard_DToL14296-RA
OG0001235	HMEL037594g1.t1	Vcard_DToL12155-RA
OG0001236	HMEL006300g1.t1	Vcard_DToL12145-RA, Vcard_DToL12142-RA
OG0001237	HMEL015193g1.t1	Vcard_DToL02401-RA
OG0001239	HMEL030640g1.t1	Vcard_DToL15613-RA
OG0001240	HMEL015940g1.t1	Vcard_DToL01438-RA, Vcard_DToL01440-RA
OG0001241	HMEL035848g1.t1	Vcard_DToL02422-RA
OG0001241	HMEL015203g1.t1	Vcard_DToL02421-RA
OG0001242	HMEL011401g1.t1	Vcard_DToL05669-RA, Vcard_DToL05667-RA
OG0001243	HMEL008671g1.t1	Vcard_DToL08219-RA
OG0001244	HMEL037718g1.t1	Vcard_DToL11911-RA
OG0001245	HMEL017434g1.t1, HMEL017435g1.t1	Vcard_DToL10064-RA
OG0001246	HMEL008434g1.t1	Vcard_DToL09195-RA
OG0001247	HMEL030630g1.t1	Vcard_DToL15695-RA
OG0001248	HMEL006430g1.t1	Vcard_DToL10305-RA
OG0001249	HMEL014583g1.t1	Vcard_DToL13785-RA
OG0001250	HMEL017389g1.t1	Vcard_DToL05310-RA
OG0001251	HMEL011480g1.t1	Vcard_DToL09179-RA
OG0001252	HMEL008098g1.t1	Vcard_DToL17850-RA
OG0001253	HMEL033069g1.t1	Vcard_DToL05643-RA, Vcard_DToL05642-RA
OG0001254	HMEL022040g1.t1	Vcard_DToL13770-RA
OG0001255	HMEL016623g1.t1	Vcard_DToL00604-RA
OG0001257	HMEL012721g1.t1	Vcard_DToL12518-RA
OG0001258	HMEL014046g1.t1	Vcard_DToL08143-RA
OG0001259	HMEL030952g1.t1	Vcard_DToL01693-RA
OG0001260	HMEL014052g1.t1	Vcard_DToL08132-RA, Vcard_DToL08131-RA
OG0001261	HMEL009298g1.t1	Vcard_DToL07006-RA
OG0001262	HMEL008961g1.t1	Vcard_DToL03885-RA
OG0001263	HMEL000006-RA	Vcard_DToL04653-RA
OG0001264	HMEL003125g1.t1	Vcard_DToL15768-RA
OG0001266	HMEL022606-RA	Vcard_DToL15784-RA
OG0001267	HMEL031716g1.t1, HMEL033291g1.t1, HMEL007379g1.t1	Vcard_DToL15787-RA
OG0001269	HMEL006982g1.t1	Vcard_DToL01303-RA, Vcard_DToL01304-RA
OG0001270	HMEL010884g1.t1	Vcard_DToL02621-RA
OG0001271	HMEL032664g1.t1	Vcard_DToL04704-RA
OG0001271	HMEL032666g1.t1	Vcard_DToL04702-RA
OG0001272	HMEL030599g1.t1	Vcard_DToL15815-RA
OG0001273	HMEL009056g1.t1	Vcard_DToL01317-RA
OG0001273	HMEL009058g1.t1	Vcard_DToL01318-RA
OG0001274	HMEL031001g1.t1	Vcard_DToL02638-RA
OG0001275	HMEL017342g1.t1	Vcard_DToL15821-RA
OG0001275	HMEL030598g1.t1	Vcard_DToL15819-RA
OG0001276	HMEL033131g1.t1	Vcard_DToL05509-RA
OG0001277	HMEL010274g1.t1	Vcard_DToL08011-RA
OG0001278	HMEL007099g1.t1	Vcard_DToL03936-RA, Vcard_DToL03937-RA
OG0001279	HMEL008795g1.t1	Vcard_DToL00624-RA
OG0001280	HMEL013260g1.t1	Vcard_DToL08039-RA
OG0001281	HMEL033115g1.t1	Vcard_DToL05558-RA, Vcard_DToL05559-RA
OG0001283	HMEL030577g1.t1	Vcard_DToL15878-RA
OG0001284	HMEL013626g1.t1	Vcard_DToL15874-RA
OG0001285	HMEL006372g1.t1	Vcard_DToL00671-RA
OG0001286	HMEL034214g1.t1	Vcard_DToL02812-RA
OG0001287	HMEL037279g1.t1	Vcard_DToL18793-RA
OG0001291	HMEL002231g1.t1	Vcard_DToL03423-RA
OG0001302	HMEL034092g1.t1	Vcard_DToL17905-RA
OG0001303	HMEL006753g1.t1, HMEL022133g1.t1	Vcard_DToL11306-RA
OG0001304	HMEL006754g1.t1	Vcard_DToL11307-RA
OG0001305	HMEL031807g1.t1, HMEL005061g1.t1	Vcard_DToL04869-RA
OG0001306	HMEL014928g1.t1	Vcard_DToL03008-RA
OG0001307	HMEL021108g1.t1	Vcard_DToL10610-RA
OG0001308	HMEL009501g1.t1	Vcard_DToL15295-RA
OG0001309	HMEL020285g1.t1	Vcard_DToL14944-RA
OG0001310	HMEL008123g1.t1	Vcard_DToL17892-RA
OG0001311	HMEL017127g1.t1	Vcard_DToL09685-RA, Vcard_DToL09686-RA
OG0001312	HMEL035396g1.t1	Vcard_DToL18492-RA
OG0001315	HMEL002195g1.t1	Vcard_DToL14112-RA
OG0001316	HMEL013537g1.t1	Vcard_DToL15304-RA, Vcard_DToL15303-RA, Vcard_DToL15302-RA
OG0001318	HMEL016976g1.t1	Vcard_DToL15984-RA, Vcard_DToL15983-RA
OG0001319	HMEL012154g1.t1	Vcard_DToL07164-RA
OG0001320	HMEL037453g1.t1	Vcard_DToL12474-RA
OG0001322	HMEL012792g1.t1	Vcard_DToL18340-RA
OG0001322	HMEL002147g1.t1	Vcard_DToL18338-RA
OG0001322	HMEL008225g1.t1	Vcard_DToL18339-RA
OG0001324	HMEL013004g1.t1	Vcard_DToL11322-RA
OG0001325	HMEL007717g1.t1	Vcard_DToL00125-RA
OG0001326	HMEL014787g1.t1	Vcard_DToL03069-RA
OG0001327	HMEL016574g1.t1	Vcard_DToL16482-RA
OG0001328	HMEL031400g1.t1	Vcard_DToL16493-RA, Vcard_DToL16491-RA
OG0001329	HMEL007255g1.t1	Vcard_DToL12470-RA
OG0001331	HMEL012998g1.t1	Vcard_DToL11328-RA, Vcard_DToL11331-RA, Vcard_DToL11332-RA
OG0001332	HMEL034004g1.t1	Vcard_DToL03321-RA, Vcard_DToL03320-RA
OG0001332	HMEL002937g1.t1	Vcard_DToL03360-RA
OG0001333	HMEL032244g1.t1, HMEL022262g1.t1, HMEL032243g1.t1	Vcard_DToL14108-RA
OG0001335	HMEL004741g1.t1	Vcard_DToL09719-RA
OG0001336	HMEL037460g1.t1	Vcard_DToL12463-RA
OG0001338	HMEL009345g1.t1	Vcard_DToL17502-RA
OG0001339	HMEL007407g1.t1	Vcard_DToL14093-RA, Vcard_DToL14092-RA, Vcard_DToL14094-RA
OG0001341	HMEL010160g1.t1	Vcard_DToL17793-RA
OG0001342	HMEL015559g1.t1	Vcard_DToL16795-RA
OG0001343	HMEL008858g1.t1	Vcard_DToL15148-RA
OG0001344	HMEL035408g1.t1	Vcard_DToL18544-RA
OG0001345	HMEL005557g1.t1	Vcard_DToL01877-RA
OG0001346	HMEL003956g1.t1	Vcard_DToL06293-RA, Vcard_DToL06285-RA, Vcard_DToL06287-RA, Vcard_DToL06294-RA
OG0001347	HMEL008905g1.t1	Vcard_DToL12436-RA
OG0001348	HMEL002359g1.t1	Vcard_DToL15912-RA
OG0001349	HMEL002358g1.t1	Vcard_DToL15914-RA, Vcard_DToL15913-RA
OG0001350	HMEL016880g1.t1	Vcard_DToL16245-RA
OG0001352	HMEL037839g1.t1	Vcard_DToL14918-RA
OG0001353	HMEL014831g1.t1	Vcard_DToL17826-RA
OG0001354	HMEL014819g1.t1	Vcard_DToL17835-RA
OG0001355	HMEL037893g1.t1	Vcard_DToL14839-RA
OG0001356	HMEL032358g1.t1	Vcard_DToL13705-RA, Vcard_DToL13707-RA, Vcard_DToL13706-RA
OG0001358	HMEL015426g1.t1	Vcard_DToL01811-RA
OG0001359	HMEL002590g1.t1	Vcard_DToL09588-RA
OG0001360	HMEL035367g1.t1	Vcard_DToL18419-RA, Vcard_DToL18418-RA
OG0001361	HMEL005612g1.t1, HMEL005611g1.t1	Vcard_DToL03381-RA
OG0001362	HMEL009004g1.t1	Vcard_DToL07142-RA, Vcard_DToL07139-RA
OG0001364	HMEL007653g1.t1	Vcard_DToL17729-RA
OG0001364	HMEL016062g1.t1	Vcard_DToL17730-RA
OG0001365	HMEL017017g1.t1	Vcard_DToL09016-RA
OG0001366	HMEL012190g1.t1	Vcard_DToL00065-RA
OG0001368	HMEL012191g1.t1	Vcard_DToL00069-RA, Vcard_DToL00071-RA
OG0001369	HMEL011789g1.t1	Vcard_DToL04802-RA
OG0001370	HMEL011628g1.t1	Vcard_DToL16061-RA
OG0001370	HMEL011625g1.t1	Vcard_DToL16062-RA
OG0001371	HMEL008408g1.t1	Vcard_DToL07120-RA
OG0001371	HMEL008410g1.t1	Vcard_DToL07123-RA
OG0001372	HMEL016273g1.t1	Vcard_DToL13008-RA
OG0001373	HMEL031223g1.t1	Vcard_DToL01897-RA
OG0001374	HMEL009642g1.t1	Vcard_DToL00891-RA
OG0001375	HMEL031254g1.t1	Vcard_DToL01782-RA
OG0001375	HMEL008282g1.t1	Vcard_DToL01780-RA
OG0001376	HMEL031273g1.t1	Vcard_DToL01774-RA
OG0001377	HMEL011336g1.t1, HMEL034081g1.t1, HMEL010557g1.t1	Vcard_DToL13871-RA
OG0001378	HMEL032110g1.t1	Vcard_DToL14185-RA
OG0001379	HMEL010016g1.t1	Vcard_DToL01766-RA
OG0001380	HMEL025047g1.t1	Vcard_DToL00015-RA
OG0001382	HMEL016262g1.t1	Vcard_DToL12993-RA
OG0001383	HMEL033959g1.t1	Vcard_DToL03406-RA
OG0001384	HMEL016082g1.t1	Vcard_DToL18792-RA, Vcard_DToL18791-RA
OG0001385	HMEL008986g1.t1	Vcard_DToL07096-RA, Vcard_DToL07094-RA
OG0001386	HMEL010446g1.t1	Vcard_DToL04109-RA
OG0001387	HMEL017044g1.t1	Vcard_DToL08983-RA
OG0001388	HMEL032929g1.t1	Vcard_DToL04103-RA
OG0001388	HMEL032930g1.t1	Vcard_DToL04104-RA
OG0001390	HMEL035008g1.t1	Vcard_DToL08971-RA
OG0001391	HMEL034938g1.t1	Vcard_DToL06412-RA, Vcard_DToL06414-RA
OG0001391	HMEL034936g1.t1	Vcard_DToL06413-RA
OG0001392	HMEL009623g1.t1	Vcard_DToL16624-RA
OG0001393	HMEL006999g1.t1	Vcard_DToL04779-RA, Vcard_DToL04785-RA
OG0001394	HMEL034371g1.t1	Vcard_DToL03172-RA
OG0001395	HMEL032288g1.t1	Vcard_DToL13829-RA
OG0001395	HMEL032287g1.t1	Vcard_DToL13830-RA
OG0001396	HMEL009522g1.t1	Vcard_DToL17683-RA
OG0001397	HMEL003408g1.t1	Vcard_DToL18760-RA
OG0001398	HMEL003515g1.t1, HMEL022565g1.t1	Vcard_DToL16045-RA
OG0001399	HMEL014564g1.t1	Vcard_DToL18314-RA
OG0001400	HMEL007642g1.t1	Vcard_DToL14554-RA
OG0001401	HMEL012924g1.t1	Vcard_DToL10749-RA
OG0001404	HMEL016225g1.t1, HMEL016224g1.t1	Vcard_DToL03179-RA
OG0001405	HMEL034631g1.t1	Vcard_DToL16111-RA
OG0001405	HMEL006183g1.t1	Vcard_DToL16112-RA
OG0001406	HMEL002726g1.t1	Vcard_DToL09592-RA
OG0001407	HMEL021313g1.t1	Vcard_DToL18305-RA, Vcard_DToL18304-RA
OG0001408	HMEL022657g1.t1	Vcard_DToL18841-RA
OG0001409	HMEL014177g1.t1, HMEL032874g1.t1	Vcard_DToL03995-RA
OG0001410	HMEL037963g1.t1	Vcard_DToL14596-RA
OG0001412	HMEL015054g1.t1	Vcard_DToL12849-RA, Vcard_DToL12850-RA
OG0001413	HMEL034885g1.t1, HMEL005064g1.t1, HMEL008596g1.t1	Vcard_DToL06892-RA
OG0001414	HMEL013249g1.t1	Vcard_DToL17974-RA
OG0001415	HMEL031826g1.t1	Vcard_DToL04893-RA
OG0001416	HMEL037192g1.t1	Vcard_DToL18567-RA
OG0001418	HMEL014142g1.t1	Vcard_DToL00996-RA
OG0001419	HMEL030737g1.t1	Vcard_DToL00999-RA
OG0001421	HMEL014898g1.t1	Vcard_DToL14969-RA
OG0001422	HMEL020501g1.t1, HMEL032224g1.t1	Vcard_DToL14016-RA
OG0001423	HMEL025049-RA	Vcard_DToL10568-RA
OG0001424	HMEL012199g1.t1	Vcard_DToL00077-RA
OG0001427	HMEL034838g1.t1	Vcard_DToL06613-RA
OG0001428	HMEL010553g1.t1	Vcard_DToL00085-RA
OG0001430	HMEL014632g1.t1	Vcard_DToL15247-RA
OG0001432	HMEL012734g1.t1	Vcard_DToL00179-RA
OG0001433	HMEL017163-RA	Vcard_DToL15617-RA
OG0001434	HMEL032488g1.t1	Vcard_DToL13431-RA, Vcard_DToL13429-RA
OG0001435	HMEL003817g1.t1, HMEL004985g1.t1	Vcard_DToL08845-RA
OG0001436	HMEL037395g1.t1	Vcard_DToL17557-RA
OG0001437	HMEL008753g1.t1	Vcard_DToL06635-RA
OG0001438	HMEL035164g1.t1	Vcard_DToL08591-RA
OG0001439	HMEL005738g1.t1	Vcard_DToL04947-RA
OG0001441	HMEL008703g1.t1	Vcard_DToL04229-RA
OG0001442	HMEL011914g1.t1	Vcard_DToL09536-RA
OG0001443	HMEL008542g1.t1	Vcard_DToL01106-RA
OG0001445	HMEL013447g1.t1	Vcard_DToL18139-RA
OG0001446	HMEL017847g1.t1	Vcard_DToL12205-RA
OG0001447	HMEL005406g1.t1	Vcard_DToL04970-RA
OG0001448	HMEL015712g1.t1	Vcard_DToL15202-RA
OG0001449	HMEL005769g1.t1	Vcard_DToL08688-RA
OG0001449	HMEL003260g1.t1	Vcard_DToL06535-RA
OG0001450	HMEL032514g1.t1	Vcard_DToL13377-RA
OG0001451	HMEL008707g1.t1	Vcard_DToL04223-RA
OG0001452	HMEL032521g1.t1	Vcard_DToL13362-RA, Vcard_DToL13359-RA
OG0001453	HMEL034143g1.t1	Vcard_DToL18154-RA
OG0001454	HMEL010049g1.t1	Vcard_DToL15183-RA
OG0001454	HMEL006651g1.t1	Vcard_DToL15185-RA
OG0001455	HMEL033872g1.t1	Vcard_DToL03551-RA
OG0001456	HMEL013679g1.t1	Vcard_DToL12239-RA
OG0001457	HMEL006548g1.t1	Vcard_DToL02036-RA
OG0001458	HMEL013678g1.t1, HMEL022148g1.t1	Vcard_DToL12241-RA
OG0001459	HMEL037574g1.t1	Vcard_DToL12244-RA
OG0001460	HMEL002157g1.t1	Vcard_DToL00296-RA, Vcard_DToL00295-RA, Vcard_DToL00297-RA
OG0001462	HMEL004290g1.t1	Vcard_DToL06513-RA
OG0001463	HMEL003422g1.t1	Vcard_DToL12915-RA, Vcard_DToL12916-RA
OG0001464	HMEL012285g1.t1	Vcard_DToL08795-RA
OG0001465	HMEL003427g1.t1	Vcard_DToL12920-RA
OG0001466	HMEL030790g1.t1	Vcard_DToL01151-RA
OG0001467	HMEL037412g1.t1	Vcard_DToL17466-RA, Vcard_DToL17465-RA
OG0001468	HMEL032190g1.t1	Vcard_DToL13967-RA
OG0001469	HMEL008349g1.t1	Vcard_DToL12933-RA
OG0001470	HMEL009954g1.t1	Vcard_DToL12117-RA
OG0001471	HMEL033860g1.t1	Vcard_DToL03591-RA
OG0001472	HMEL008055g1.t1	Vcard_DToL06502-RA
OG0001473	HMEL004569g1.t1	Vcard_DToL18090-RA, Vcard_DToL18089-RA
OG0001474	HMEL009339g1.t1	Vcard_DToL17493-RA
OG0001475	HMEL003053g1.t1	Vcard_DToL13950-RA
OG0001476	HMEL009340g1.t1	Vcard_DToL17495-RA
OG0001478	HMEL031891g1.t1	Vcard_DToL05012-RA
OG0001479	HMEL006707g1.t1	Vcard_DToL01519-RA
OG0001480	HMEL036724g1.t1	Vcard_DToL12741-RA
OG0001481	HMEL037917g1.t1, HMEL037918g1.t1	Vcard_DToL14805-RA
OG0001482	HMEL007963g1.t1	Vcard_DToL16374-RA, Vcard_DToL16373-RA
OG0001483	HMEL031152g1.t1	Vcard_DToL02077-RA, Vcard_DToL02075-RA
OG0001484	HMEL009872g1.t1	Vcard_DToL11297-RA, Vcard_DToL11295-RA
OG0001486	HMEL036085g1.t1	Vcard_DToL10483-RA
OG0001487	HMEL012051g1.t1	Vcard_DToL06866-RA, Vcard_DToL06867-RA
OG0001488	HMEL013180g1.t1	Vcard_DToL16150-RA
OG0001490	HMEL034496g1.t1	Vcard_DToL17003-RA
OG0001491	HMEL005299g1.t1	Vcard_DToL11830-RA
OG0001491	HMEL014064g1.t1	Vcard_DToL08728-RA
OG0001492	HMEL012851g1.t1	Vcard_DToL00233-RA
OG0001495	HMEL013609g1.t1	Vcard_DToL15360-RA
OG0001498	HMEL037702g1.t1	Vcard_DToL11963-RA
OG0001499	HMEL038091g1.t1	Vcard_DToL14467-RA
OG0001500	HMEL022328g1.t1, HMEL016306g1.t1	Vcard_DToL09827-RA
OG0001501	HMEL031326g1.t1, HMEL017983g1.t1	Vcard_DToL16298-RA
OG0001501	HMEL017985g1.t1	Vcard_DToL16296-RA
OG0001502	HMEL012673g1.t1	Vcard_DToL09421-RA
OG0001503	HMEL008312g1.t1	Vcard_DToL07844-RA
OG0001505	HMEL006947g1.t1	Vcard_DToL01576-RA
OG0001506	HMEL038105g1.t1	Vcard_DToL14469-RA
OG0001506	HMEL021832g1.t1	Vcard_DToL14470-RA
OG0001507	HMEL012974g1.t1	Vcard_DToL15368-RA
OG0001508	HMEL007006g1.t1	Vcard_DToL05107-RA
OG0001509	HMEL006950g1.t1	Vcard_DToL01578-RA
OG0001511	HMEL006952g1.t1	Vcard_DToL01580-RA, Vcard_DToL01581-RA
OG0001512	HMEL005396g1.t1	Vcard_DToL04336-RA
OG0001513	HMEL016898g1.t1	Vcard_DToL16220-RA
OG0001514	HMEL006490g1.t1	Vcard_DToL02938-RA
OG0001515	HMEL013345g1.t1	Vcard_DToL01607-RA, Vcard_DToL01605-RA
OG0001516	HMEL016503g1.t1	Vcard_DToL11984-RA
OG0001517	HMEL021872g1.t1	Vcard_DToL14477-RA
OG0001518	HMEL016921g1.t1	Vcard_DToL05149-RA
OG0001520	HMEL010501g1.t1	Vcard_DToL07900-RA
OG0001521	HMEL010499g1.t1	Vcard_DToL07903-RA
OG0001522	HMEL011639g1.t1	Vcard_DToL05882-RA
OG0001523	HMEL030831g1.t1	Vcard_DToL01292-RA
OG0001524	HMEL038009g1.t1	Vcard_DToL14501-RA
OG0001525	HMEL037020g1.t1	Vcard_DToL07366-RA, Vcard_DToL07365-RA
OG0001525	HMEL037021g1.t1	Vcard_DToL07364-RA
OG0001525	HMEL037019g1.t1	Vcard_DToL07367-RA
OG0001526	HMEL005553-RA	Vcard_DToL09797-RA
OG0001528	HMEL009102g1.t1	Vcard_DToL05349-RA
OG0001529	HMEL018069g1.t1	Vcard_DToL15383-RA
OG0001530	HMEL011731g1.t1	Vcard_DToL02295-RA
OG0001531	HMEL034512g1.t1	Vcard_DToL17044-RA
OG0001532	HMEL006869g1.t1	Vcard_DToL07918-RA
OG0001534	HMEL008843g1.t1	Vcard_DToL11036-RA
OG0001534	HMEL006579g1.t1	Vcard_DToL11037-RA
OG0001535	HMEL013314g1.t1	Vcard_DToL01261-RA
OG0001536	HMEL008272g1.t1	Vcard_DToL06720-RA
OG0001537	HMEL007281g1.t1	Vcard_DToL00424-RA
OG0001538	HMEL031995g1.t1	Vcard_DToL05360-RA, Vcard_DToL05362-RA
OG0001539	HMEL015171g1.t1	Vcard_DToL02363-RA
OG0001540	HMEL016677g1.t1	Vcard_DToL03711-RA
OG0001542	HMEL013122g1.t1	Vcard_DToL16209-RA
OG0001543	HMEL006852g1.t1	Vcard_DToL07985-RA
OG0001544	HMEL004553g1.t1	Vcard_DToL04391-RA
OG0001546	HMEL037654g1.t1, HMEL026005g1.t1	Vcard_DToL11992-RA
OG0001547	HMEL013125g1.t1	Vcard_DToL16203-RA, Vcard_DToL16204-RA
OG0001548	HMEL017106g1.t1	Vcard_DToL07385-RA
OG0001549	HMEL017139g1.t1	Vcard_DToL05390-RA
OG0001550	HMEL008814g1.t1	Vcard_DToL00446-RA
OG0001551	HMEL004996g1.t1	Vcard_DToL14439-RA
OG0001552	HMEL015141g1.t1	Vcard_DToL02323-RA
OG0001553	HMEL009421g1.t1	Vcard_DToL07965-RA
OG0001554	HMEL005016g1.t1	Vcard_DToL13688-RA
OG0001555	HMEL006816g1.t1	Vcard_DToL05816-RA
OG0001556	HMEL006808g1.t1	Vcard_DToL05804-RA
OG0001557	HMEL031578g1.t1	Vcard_DToL09491-RA
OG0001558	HMEL007616g1.t1	Vcard_DToL15411-RA
OG0001559	HMEL017564g1.t1	Vcard_DToL09331-RA
OG0001560	HMEL037679g1.t1	Vcard_DToL12030-RA
OG0001561	HMEL012293g1.t1	Vcard_DToL08548-RA
OG0001562	HMEL011949g1.t1	Vcard_DToL09312-RA
OG0001563	HMEL011363g1.t1	Vcard_DToL12616-RA
OG0001564	HMEL005447g1.t1	Vcard_DToL14249-RA
OG0001565	HMEL008155g1.t1, HMEL035719g1.t1, HMEL031255g1.t1, HMEL017808g1.t1	Vcard_DToL10212-RA
OG0001566	HMEL015459g1.t1	Vcard_DToL07805-RA
OG0001567	HMEL014556g1.t1	Vcard_DToL10392-RA
OG0001568	HMEL006080g1.t1	Vcard_DToL15592-RA
OG0001569	HMEL020641g1.t1	Vcard_DToL12053-RA, Vcard_DToL12050-RA
OG0001570	HMEL036038g1.t1	Vcard_DToL10379-RA
OG0001572	HMEL031983g1.t1	Vcard_DToL05435-RA
OG0001573	HMEL032085g1.t1	Vcard_DToL14279-RA
OG0001574	HMEL007698g1.t1	Vcard_DToL08517-RA
OG0001575	HMEL004647g1.t1	Vcard_DToL15464-RA
OG0001575	HMEL038217g1.t1	Vcard_DToL15465-RA
OG0001576	HMEL002079g1.t1	Vcard_DToL04467-RA
OG0001576	HMEL009852g1.t1	Vcard_DToL04466-RA
OG0001576	HMEL032738g1.t1	Vcard_DToL04470-RA
OG0001577	HMEL031107g1.t1	Vcard_DToL02245-RA
OG0001578	HMEL030889g1.t1	Vcard_DToL01406-RA, Vcard_DToL01409-RA
OG0001579	HMEL003344-RA	Vcard_DToL02239-RA
OG0001580	HMEL009715g1.t1	Vcard_DToL10092-RA
OG0001581	HMEL015180g1.t1	Vcard_DToL02374-RA, Vcard_DToL02373-RA
OG0001582	HMEL031064g1.t1	Vcard_DToL02376-RA
OG0001583	HMEL030054g1.t1	Vcard_DToL17236-RA
OG0001583	HMEL014990g1.t1	Vcard_DToL17235-RA
OG0001584	HMEL015185g1.t1	Vcard_DToL02382-RA
OG0001586	HMEL014998g1.t1	Vcard_DToL17223-RA
OG0001587	HMEL006750g1.t1, HMEL006749g1.t1	Vcard_DToL13816-RA
OG0001588	HMEL003677g1.t1	Vcard_DToL10102-RA
OG0001591	HMEL002752g1.t1	Vcard_DToL10939-RA
OG0001591	HMEL017468g1.t1	Vcard_DToL10938-RA
OG0001592	HMEL036027g1.t1	Vcard_DToL10362-RA, Vcard_DToL10359-RA, Vcard_DToL10360-RA, Vcard_DToL10361-RA
OG0001593	HMEL015947g1.t1	Vcard_DToL01433-RA
OG0001594	HMEL007749g1.t1	Vcard_DToL05174-RA
OG0001595	HMEL010115g1.t1	Vcard_DToL14337-RA
OG0001597	HMEL011387g1.t1	Vcard_DToL05686-RA
OG0001598	HMEL009428g1.t1	Vcard_DToL04528-RA
OG0001600	HMEL003438g1.t1	Vcard_DToL09212-RA
OG0001601	HMEL004766g1.t1	Vcard_DToL07526-RA, Vcard_DToL07527-RA
OG0001602	HMEL017425g1.t1	Vcard_DToL10072-RA, Vcard_DToL10071-RA
OG0001603	HMEL010618g1.t1	Vcard_DToL18545-RA, Vcard_DToL18549-RA
OG0001604	HMEL014373g1.t1	Vcard_DToL08203-RA, Vcard_DToL08204-RA, Vcard_DToL08202-RA
OG0001605	HMEL015465g1.t1	Vcard_DToL08193-RA
OG0001607	HMEL015290g1.t1	Vcard_DToL02483-RA
OG0001608	HMEL037712g1.t1	Vcard_DToL11904-RA
OG0001609	HMEL030026g1.t1	Vcard_DToL17130-RA
OG0001611	HMEL015997g1.t1	Vcard_DToL07575-RA
OG0001612	HMEL000061g1.t1	Vcard_DToL04572-RA, Vcard_DToL04574-RA
OG0001613	HMEL032689g1.t1	Vcard_DToL04580-RA
OG0001614	HMEL003784g1.t1	Vcard_DToL17111-RA, Vcard_DToL17113-RA, Vcard_DToL17112-RA
OG0001615	HMEL010621g1.t1	Vcard_DToL15714-RA, Vcard_DToL15712-RA
OG0001616	HMEL020101g1.t1, HMEL036871g1.t1	Vcard_DToL12507-RA
