Orthogroup	Heliconius_melpomene_melpomene	Vanessa_tameamea
OG0001986	HMEL037547g1.t1	XP_026499085.1, XP_026499086.1, XP_026499084.1, XP_026499083.1
OG0001987	HMEL017974g1.t1, HMEL031552g1.t1, HMEL017975g1.t1	XP_026494467.1, XP_026494466.1
OG0001988	HMEL005364g1.t1	XP_026496803.1
OG0001989	HMEL007794g1.t1	XP_026499761.1
OG0001990	HMEL021710g1.t1	XP_026499073.1, XP_026499072.1
OG0001991	HMEL014070g1.t1	XP_026495079.1
OG0001992	HMEL013594g1.t1	XP_026497272.1, XP_026497273.1
OG0001993	HMEL032570g1.t1	XP_026493902.1
OG0001994	HMEL005368g1.t1, HMEL005367g1.t1	XP_026496884.1
OG0001995	HMEL005529g1.t1	XP_026493629.1
OG0001996	HMEL011003g1.t1	XP_026492560.1, XP_026492559.1, XP_026494431.1
OG0001997	HMEL003590g1.t1	XP_026499674.1
OG0001999	HMEL011006g1.t1	XP_026494423.1
OG0002000	HMEL008264g1.t1	XP_026488253.1
OG0002001	HMEL012854g1.t1	XP_026489514.1
OG0002002	HMEL008335g1.t1	XP_026501360.1, XP_026501359.1
OG0002003	HMEL033494g1.t1	XP_026493959.1, XP_026493958.1
OG0002004	HMEL031911g1.t1	XP_026486177.1
OG0002005	HMEL010583g1.t1	XP_026488250.1
OG0002006	HMEL012212g1.t1, HMEL012211g1.t1	XP_026494623.1
OG0002008	HMEL006931g1.t1, HMEL007805g1.t1	XP_026501045.1
OG0002009	HMEL012240g1.t1	XP_026495666.1, XP_026495667.1
OG0002010	HMEL037951g1.t1	XP_026489663.1
OG0002011	HMEL011575g1.t1	XP_026498694.1
OG0002012	HMEL037706g1.t1	XP_026486947.1
OG0002013	HMEL038023g1.t1	XP_026489607.1
OG0002014	HMEL015879g1.t1	XP_026483645.1
OG0002015	HMEL032149g1.t1	XP_026483255.1
OG0002016	HMEL037031g1.t1	XP_026496643.1, XP_026496644.1, XP_026496645.1
OG0002017	HMEL036515g1.t1	XP_026493069.1
OG0002018	HMEL017112g1.t1	XP_026493045.1
OG0002019	HMEL016868g1.t1	XP_026494539.1
OG0002021	HMEL006268g1.t1	XP_026484463.1, XP_026484464.1, XP_026484462.1
OG0002022	HMEL016873g1.t1	XP_026494516.1
OG0002023	HMEL021562g1.t1	XP_026493828.1
OG0002024	HMEL012675g1.t1	XP_026492260.1
OG0002025	HMEL008945g1.t1	XP_026495957.1, XP_026495955.1
OG0002027	HMEL014853g1.t1	XP_026491176.1
OG0002028	HMEL033820g1.t1	XP_026491085.1, XP_026491086.1
OG0002029	HMEL036077g1.t1, HMEL021227g1.t1	XP_026485504.1
OG0002030	HMEL020272g1.t1, HMEL032634g1.t1	XP_026490948.1, XP_026490940.1
OG0002031	HMEL006254g1.t1	XP_026484889.1
OG0002032	HMEL012124g1.t1	XP_026495224.1, XP_026495223.1
OG0002033	HMEL011647-RA	XP_026487589.1
OG0002034	HMEL036076g1.t1	XP_026485588.1, XP_026485589.1
OG0002035	HMEL016779g1.t1	XP_026496895.1
OG0002036	HMEL031312g1.t1	XP_026499974.1
OG0002037	HMEL007174-RA	XP_026483263.1
OG0002038	HMEL012870g1.t1	XP_026484512.1, XP_026484520.1
OG0002039	HMEL005388g1.t1	XP_026488366.1
OG0002040	HMEL022231g1.t1	XP_026492540.1
OG0002041	HMEL012865g1.t1	XP_026484474.1
OG0002042	HMEL016787g1.t1	XP_026496982.1
OG0002043	HMEL006241g1.t1	XP_026485020.1
OG0002044	HMEL030832g1.t1	XP_026492685.1
OG0002045	HMEL030680g1.t1	XP_026498141.1
OG0002046	HMEL013335g1.t1	XP_026492693.1
OG0002047	HMEL013334g1.t1	XP_026493765.1
OG0002049	HMEL035893g1.t1	XP_026495236.1
OG0002051	HMEL007271g1.t1	XP_026500619.1, XP_026500618.1
OG0002052	HMEL011633g1.t1	XP_026487629.1, XP_026487631.1
OG0002053	HMEL005616g1.t1	XP_026495298.1
OG0002054	HMEL009730g1.t1	XP_026486297.1
OG0002055	HMEL011631g1.t1	XP_026496523.1, XP_026487635.1, XP_026487634.1
OG0002056	HMEL004981g1.t1	XP_026484790.1
OG0002057	HMEL008270g1.t1	XP_026484704.1
OG0002058	HMEL030284g1.t1	XP_026487641.1, XP_026487640.1
OG0002060	HMEL013312g1.t1	XP_026493658.1
OG0002061	HMEL038050g1.t1	XP_026494240.1, XP_026494241.1
OG0002062	HMEL031067g1.t1	XP_026484958.1, XP_026484957.1
OG0002063	HMEL033282g1.t1	XP_026501344.1, XP_026501345.1
OG0002064	HMEL006571g1.t1	XP_026493896.1
OG0002065	HMEL002293g1.t1	XP_026487703.1
OG0002066	HMEL032592g1.t1	XP_026493110.1
OG0002068	HMEL003963g1.t1	XP_026500534.1
OG0002069	HMEL016682g1.t1	XP_026491583.1
OG0002070	HMEL004550g1.t1	XP_026488490.1
OG0002071	HMEL008260g1.t1, HMEL037658g1.t1	XP_026486786.1
OG0002072	HMEL016685g1.t1	XP_026491788.1
OG0002073	HMEL015157g1.t1	XP_026485017.1
OG0002074	HMEL034653g1.t1	XP_026489600.1, XP_026489599.1
OG0002075	HMEL005005g1.t1	XP_026489539.1, XP_026489540.1
OG0002076	HMEL008042g1.t1	XP_026485386.1
OG0002077	HMEL011513g1.t1	XP_026492567.1, XP_026492561.1, XP_026492568.1, XP_026492563.1
OG0002078	HMEL016690g1.t1	XP_026491598.1
OG0002079	HMEL003482g1.t1, HMEL003481g1.t1	XP_026492262.1
OG0002080	HMEL016095g1.t1	XP_026501301.1
OG0002081	HMEL007605g1.t1	XP_026495442.1
OG0002082	HMEL014936g1.t1	XP_026498659.1
OG0002083	HMEL015005g1.t1	XP_026483954.1
OG0002084	HMEL004540g1.t1	XP_026495475.1, XP_026495476.1
OG0002085	HMEL016705-RA	XP_026491652.1
OG0002086	HMEL007020g1.t1	XP_026497464.1
OG0002087	HMEL003891g1.t1	XP_026497006.1
OG0002089	HMEL036803g1.t1	XP_026495937.1, XP_026495936.1
OG0002091	HMEL014358g1.t1	XP_026488938.1
OG0002092	HMEL004372g1.t1	XP_026492549.1, XP_026492543.1, XP_026492550.1, XP_026492553.1
OG0002093	HMEL032747g1.t1	XP_026488486.1
OG0002094	HMEL017805g1.t1, HMEL036372g1.t1	XP_026493546.1, XP_026493547.1
OG0002095	HMEL011964g1.t1	XP_026499657.1, XP_026499656.1
OG0002096	HMEL014363g1.t1	XP_026489023.1
OG0002098	HMEL005887g1.t1	XP_026491564.1, XP_026491563.1
OG0002099	HMEL030804g1.t1	XP_026493689.1, XP_026493691.1, XP_026493690.1
OG0002100	HMEL032330g1.t1	XP_026496511.1
OG0002101	HMEL006685g1.t1	XP_026486138.1
OG0002103	HMEL014250g1.t1, HMEL004897-RA	XP_026496476.1, XP_026496477.1
OG0002104	HMEL012803g1.t1	XP_026500061.1
OG0002105	HMEL016726g1.t1	XP_026488392.1
OG0002106	HMEL012804g1.t1	XP_026501106.1
OG0002107	HMEL012833g1.t1	XP_026487418.1
OG0002108	HMEL004952g1.t1	XP_026498912.1
OG0002109	HMEL009393g1.t1	XP_026493923.1
OG0002110	HMEL007597g1.t1	XP_026500066.1
OG0002111	HMEL005949g1.t1	XP_026487859.1, XP_026487858.1
OG0002112	HMEL004687g1.t1, HMEL022313g1.t1	XP_026496509.1
OG0002113	HMEL004387g1.t1, HMEL034775g1.t1	XP_026496662.1
OG0002114	HMEL036347g1.t1	XP_026493329.1
OG0002115	HMEL037643g1.t1, HMEL037644g1.t1, HMEL002409g1.t1	XP_026486872.1
OG0002116	HMEL005276g1.t1	XP_026483179.1, XP_026483178.1, XP_026483180.1
OG0002117	HMEL015651g1.t1	XP_026486044.1
OG0002118	HMEL009851g1.t1	XP_026488390.1
OG0002119	HMEL015647g1.t1, HMEL031979g1.t1	XP_026486022.1
OG0002120	HMEL014671g1.t1	XP_026496735.1
OG0002121	HMEL003153g1.t1	XP_026489029.1, XP_026489028.1
OG0002122	HMEL007697g1.t1	XP_026494871.1
OG0002123	HMEL008048g1.t1	XP_026499996.1
OG0002124	HMEL015301g1.t1	XP_026499833.1, XP_026499832.1, XP_026499834.1
OG0002125	HMEL037068g1.t1	XP_026496779.1
OG0002126	HMEL012836g1.t1	XP_026487446.1
OG0002127	HMEL032735g1.t1	XP_026488501.1
OG0002128	HMEL003979g1.t1	XP_026499283.1
OG0002129	HMEL016407g1.t1	XP_026487552.1
OG0002130	HMEL014993g1.t1	XP_026483975.1, XP_026483974.1
OG0002132	HMEL003676g1.t1	XP_026493317.1
OG0002133	HMEL015948g1.t1	XP_026496560.1
OG0002134	HMEL037079g1.t1	XP_026492838.1
OG0002135	HMEL012100g1.t1	XP_026489927.1, XP_026489937.1
OG0002136	HMEL017704g1.t1	XP_026491171.1
OG0002137	HMEL010590g1.t1	XP_026490301.1, XP_026490302.1
OG0002138	HMEL017420g1.t1	XP_026493236.1
OG0002139	HMEL030034g1.t1	XP_026483926.1
OG0002140	HMEL007789g1.t1	XP_026499117.1
OG0002141	HMEL037722g1.t1	XP_026489210.1
OG0002142	HMEL004758g1.t1	XP_026492815.1, XP_026492816.1, XP_026492814.1, XP_026492813.1
OG0002143	HMEL004757g1.t1	XP_026492825.1
OG0002144	HMEL004756g1.t1	XP_026492823.1, XP_026492822.1
OG0002146	HMEL007761g1.t1, HMEL037777g1.t1	XP_026494978.1
OG0002147	HMEL035958g1.t1	XP_026485623.1
OG0002148	HMEL003317g1.t1	XP_026484506.1
OG0002149	HMEL006365g1.t1	XP_026490820.1
OG0002150	HMEL032713g1.t1, HMEL037780g1.t1	XP_026490834.1
OG0002152	HMEL003642g1.t1	XP_026489517.1
OG0002153	HMEL002896g1.t1	XP_026497805.1
OG0002155	HMEL010625g1.t1	XP_026490771.1
OG0002156	HMEL032028g1.t1	XP_026485997.1
OG0002158	HMEL032326g1.t1	XP_026496490.1
OG0002159	HMEL032990g1.t1	XP_026490310.1, XP_026490272.1
OG0002160	HMEL032989g1.t1	XP_026490255.1
OG0002161	HMEL011476g1.t1	XP_026496087.1, XP_026496086.1
OG0002163	HMEL030968g1.t1	XP_026500053.1, XP_026500052.1
OG0002164	HMEL000055g1.t1	XP_026490802.1
OG0002165	HMEL015269g1.t1	XP_026484695.1, XP_026484694.1, XP_026484696.1
OG0002166	HMEL014304g1.t1	XP_026500025.1
OG0002167	HMEL011434-RA	XP_026487660.1
OG0002168	HMEL012626g1.t1	XP_026496077.1
OG0002169	HMEL035968g1.t1	XP_026493022.1
OG0002169	HMEL035969g1.t1	XP_026493021.1
OG0002170	HMEL016640g1.t1	XP_026500638.1
OG0002171	HMEL031696g1.t1, HMEL012634g1.t1	XP_026485222.1
OG0002172	HMEL011115g1.t1	XP_026497795.1
OG0002173	HMEL032980g1.t1	XP_026490259.1, XP_026490260.1, XP_026490261.1, XP_026490262.1
OG0002175	HMEL030018g1.t1	XP_026501735.1
OG0002177	HMEL037751g1.t1	XP_026499916.1
OG0002178	HMEL033078g1.t1	XP_026487505.1
OG0002179	HMEL033080g1.t1, HMEL033079g1.t1	XP_026487493.1
OG0002180	HMEL035297g1.t1	XP_026501654.1
OG0002181	HMEL000015g1.t1	XP_026490817.1
OG0002182	HMEL011150g1.t1	XP_026493922.1
OG0002184	HMEL000003g1.t1	XP_026490856.1
OG0002185	HMEL003098g1.t1	XP_026491702.1
OG0002186	HMEL002012g1.t1	XP_026486999.1
OG0002187	HMEL033764g1.t1	XP_026491388.1
OG0002188	HMEL037148g1.t1	XP_026489197.1
OG0002189	HMEL007380g1.t1	XP_026491996.1
OG0002190	HMEL007376g1.t1	XP_026491923.1
OG0002191	HMEL007291g1.t1	XP_026483231.1
OG0002192	HMEL011042g1.t1	XP_026500675.1
OG0002193	HMEL037152g1.t1	XP_026489124.1, XP_026489125.1
OG0002194	HMEL007296g1.t1	XP_026486494.1
OG0002195	HMEL031146g1.t1, HMEL031147g1.t1, HMEL031141g1.t1, HMEL013278g1.t1	XP_026487140.1, XP_026487139.1
OG0002196	HMEL035286g1.t1	XP_026501530.1
OG0002197	HMEL010893g1.t1	XP_026485056.1
OG0002198	HMEL010885g1.t1	XP_026484479.1
OG0002199	HMEL005344g1.t1, HMEL033145g1.t1	XP_026490490.1
OG0002201	HMEL010878g1.t1	XP_026484517.1, XP_026484516.1
OG0002202	HMEL020446g1.t1	XP_026500030.1
OG0002204	HMEL020781g1.t1, HMEL004352g1.t1	XP_026485830.1
OG0002205	HMEL003136g1.t1, HMEL013531g1.t1	XP_026500424.1
OG0002206	HMEL006211g1.t1	XP_026491380.1
OG0002207	HMEL033781g1.t1	XP_026491364.1
OG0002208	HMEL013114g1.t1	XP_026486650.1, XP_026486651.1
OG0002209	HMEL030996g1.t1	XP_026484453.1
OG0002210	HMEL030994g1.t1	XP_026485052.1
OG0002211	HMEL033124g1.t1	XP_026490544.1, XP_026490542.1, XP_026490543.1, XP_026490540.1
OG0002212	HMEL009606g1.t1	XP_026501312.1
OG0002213	HMEL007106g1.t1	XP_026491543.1
OG0002214	HMEL033791g1.t1	XP_026491064.1
OG0002215	HMEL030586g1.t1	XP_026491947.1
OG0002216	HMEL008790g1.t1	XP_026498353.1, XP_026498343.1
OG0002217	HMEL033114g1.t1, HMEL010908g1.t1	XP_026490513.1
OG0002218	HMEL033112g1.t1	XP_026490498.1
OG0002219	HMEL013670g1.t1	XP_026491969.1
OG0002220	HMEL013657g1.t1	XP_026491891.1
OG0002221	HMEL015485g1.t1	XP_026497073.1, XP_026497072.1
OG0002222	HMEL006321g1.t1	XP_026488794.1
OG0002223	HMEL012071g1.t1	XP_026490426.1
OG0002224	HMEL015505g1.t1	XP_026497064.1
OG0002225	HMEL030982g1.t1	XP_026485104.1
OG0002226	HMEL015990g1.t1	XP_026497162.1
OG0002230	HMEL030580g1.t1	XP_026492009.1
OG0002231	HMEL016116g1.t1	XP_026488767.1
OG0002232	HMEL009651g1.t1	XP_026498086.1
OG0002233	HMEL017417g1.t1	XP_026493190.1
OG0002234	HMEL031568g1.t1	XP_026492165.1
OG0002235	HMEL022056g1.t1, HMEL011883g1.t1	XP_026488428.1
OG0002238	HMEL032523g1.t1, HMEL004043g1.t1	XP_026492479.1, XP_026492470.1, XP_026492463.1
OG0002240	HMEL008281g1.t1	XP_026501113.1
OG0002247	HMEL005164g1.t1	XP_026491546.1
OG0002248	HMEL032181g1.t1, HMEL032182g1.t1	XP_026496151.1
OG0002249	HMEL010744g1.t1	XP_026486524.1, XP_026486525.1
OG0002250	HMEL003243g1.t1	XP_026496247.1
OG0002251	HMEL007830g1.t1	XP_026499016.1
OG0002253	HMEL003244g1.t1	XP_026496251.1
OG0002254	HMEL036379g1.t1	XP_026493398.1
OG0002255	HMEL004332g1.t1	XP_026489247.1
OG0002256	HMEL008586g1.t1	XP_026496916.1
OG0002257	HMEL017124g1.t1	XP_026492137.1
OG0002259	HMEL015824g1.t1	XP_026489304.1
OG0002260	HMEL016499g1.t1, HMEL037812g1.t1	XP_026490982.1
OG0002261	HMEL013218g1.t1	XP_026486769.1
OG0002262	HMEL008108g1.t1	XP_026498530.1
OG0002263	HMEL015851g1.t1	XP_026486170.1
OG0002264	HMEL032878g1.t1, HMEL005024g1.t1	XP_026499012.1
OG0002265	HMEL030379g1.t1	XP_026497421.1
OG0002266	HMEL037762g1.t1, HMEL032424g1.t1, HMEL035402g1.t1	XP_026483391.1
OG0002267	HMEL030693g1.t1	XP_026487100.1
OG0002268	HMEL017134g1.t1	XP_026492118.1, XP_026492117.1
OG0002269	HMEL032410g1.t1	XP_026494030.1
OG0002270	HMEL016966g1.t1	XP_026492418.1
OG0002271	HMEL031240g1.t1	XP_026501210.1
OG0002273	HMEL022594g1.t1	XP_026483106.1
OG0002274	HMEL034895g1.t1	XP_026500922.1
OG0002276	HMEL011943g1.t1	XP_026492318.1
OG0002277	HMEL008227g1.t1	XP_026483386.1
OG0002278	HMEL034416g1.t1	XP_026492888.1
OG0002279	HMEL032884g1.t1	XP_026499031.1
OG0002280	HMEL016064g1.t1, HMEL008749g1.t1	XP_026499008.1
OG0002281	HMEL032888g1.t1	XP_026499009.1
OG0002282	HMEL016384g1.t1	XP_026485258.1
OG0002283	HMEL010165g1.t1	XP_026496447.1
OG0002284	HMEL020190g1.t1	XP_026498958.1
OG0002287	HMEL034420g1.t1	XP_026485660.1
OG0002288	HMEL034893g1.t1	XP_026500921.1
OG0002289	HMEL002604g1.t1	XP_026483888.1
OG0002290	HMEL013405g1.t1	XP_026500296.1
OG0002291	HMEL037459g1.t1	XP_026487287.1
OG0002292	HMEL035521g1.t1, HMEL012086g1.t1, HMEL007477g1.t1	XP_026497422.1
OG0002293	HMEL011608g1.t1	XP_026489331.1, XP_026489332.1
OG0002294	HMEL016374g1.t1	XP_026485256.1
OG0002295	HMEL010153g1.t1	XP_026483603.1
OG0002296	HMEL034000g1.t1	XP_026491039.1
OG0002297	HMEL030699g1.t1	XP_026487013.1
OG0002298	HMEL034558g1.t1	XP_026499449.1
OG0002299	HMEL003233g1.t1	XP_026499437.1
OG0002300	HMEL004914g1.t1	XP_026501221.1
OG0002301	HMEL010819g1.t1	XP_026483162.1
OG0002302	HMEL010818g1.t1	XP_026494077.1, XP_026494081.1
OG0002303	HMEL010163g1.t1	XP_026500932.1
OG0002304	HMEL010817g1.t1	XP_026483079.1
OG0002305	HMEL002096g1.t1	XP_026500490.1
OG0002306	HMEL021856g1.t1, HMEL003467g1.t1, HMEL033996g1.t1	XP_026491144.1
OG0002307	HMEL033992g1.t1	XP_026491145.1
OG0002308	HMEL031786g1.t1	XP_026490026.1
OG0002309	HMEL008839g1.t1	XP_026493884.1
OG0002310	HMEL006484g1.t1	XP_026483472.1
OG0002311	HMEL037248g1.t1	XP_026483069.1
OG0002312	HMEL015561g1.t1	XP_026501820.1, XP_026501821.1
OG0002313	HMEL012018g1.t1	XP_026499435.1, XP_026499434.1
OG0002314	HMEL015903g1.t1	XP_026492207.1
OG0002315	HMEL032253g1.t1	XP_026490366.1
OG0002316	HMEL031452g1.t1	XP_026489860.1
OG0002317	HMEL009525g1.t1	XP_026483118.1
OG0002318	HMEL008860g1.t1	XP_026500153.1
OG0002319	HMEL036364g1.t1	XP_026493141.1
OG0002320	HMEL031472g1.t1	XP_026492230.1
OG0002320	HMEL031481g1.t1, HMEL031479g1.t1, HMEL031473g1.t1	XP_026489001.1
OG0002321	HMEL007937g1.t1	XP_026495220.1, XP_026495228.1, XP_026495211.1
OG0002322	HMEL032402g1.t1	XP_026495191.1
OG0002323	HMEL008862g1.t1	XP_026500254.1
OG0002324	HMEL031784g1.t1	XP_026490065.1, XP_026490066.1
OG0002326	HMEL004276g1.t1	XP_026483938.1
OG0002327	HMEL002983g1.t1	XP_026490043.1
OG0002328	HMEL010610g1.t1	XP_026483337.1
OG0002329	HMEL008868g1.t1	XP_026500222.1
OG0002330	HMEL035410g1.t1	XP_026483334.1
OG0002331	HMEL002982g1.t1	XP_026490049.1
OG0002333	HMEL015999g1.t1	XP_026500968.1, XP_026500967.1
OG0002334	HMEL022587g1.t1	XP_026484180.1
OG0002335	HMEL009011g1.t1	XP_026487058.1
OG0002336	HMEL022221g1.t1, HMEL012880g1.t1	XP_026483596.1
OG0002337	HMEL008977g1.t1	XP_026496905.1
OG0002338	HMEL011814g1.t1	XP_026489738.1
OG0002339	HMEL030711g1.t1	XP_026487035.1, XP_026487034.1
OG0002340	HMEL022206g1.t1	XP_026491253.1, XP_026491254.1
OG0002342	HMEL034028g1.t1	XP_026494108.1, XP_026494107.1, XP_026494099.1, XP_026494100.1
OG0002344	HMEL003523g1.t1	XP_026498827.1
OG0002346	HMEL016482g1.t1	XP_026494275.1
OG0002347	HMEL003506g1.t1	XP_026489324.1
OG0002348	HMEL034438g1.t1	XP_026492921.1
OG0002349	HMEL014490g1.t1	XP_026483221.1
OG0002350	HMEL038058g1.t1	XP_026500944.1
OG0002351	HMEL014811g1.t1	XP_026500009.1
OG0002352	HMEL003917g1.t1	XP_026498808.1
OG0002353	HMEL034088g1.t1	XP_026490696.1
OG0002354	HMEL035668g1.t1	XP_026500480.1
OG0002355	HMEL017841g1.t1	XP_026496304.1, XP_026496303.1
OG0002356	HMEL003810g1.t1	XP_026500070.1
OG0002358	HMEL003926g1.t1	XP_026484247.1
OG0002359	HMEL014098g1.t1	XP_026497884.1
OG0002360	HMEL008101g1.t1	XP_026499513.1
OG0002361	HMEL009633g1.t1	XP_026498081.1
OG0002362	HMEL012753g1.t1	XP_026490217.1
OG0002363	HMEL011800g1.t1	XP_026492965.1
OG0002364	HMEL022641-RA	XP_026500156.1
OG0002365	HMEL009560g1.t1	XP_026498216.1
OG0002366	HMEL017923g1.t1	XP_026493403.1, XP_026498223.1
OG0002367	HMEL017022g1.t1	XP_026489999.1
OG0002368	HMEL008412g1.t1	XP_026484281.1, XP_026484282.1, XP_026484283.1
OG0002369	HMEL037342g1.t1	XP_026488752.1
OG0002371	HMEL017670g1.t1	XP_026496147.1
OG0002372	HMEL007888g1.t1	XP_026492940.1
OG0002373	HMEL017034g1.t1	XP_026489978.1
OG0002374	HMEL033658g1.t1	XP_026492939.1
OG0002375	HMEL006361g1.t1	XP_026495453.1
OG0002377	HMEL035361g1.t1	XP_026483529.1
OG0002378	HMEL034456g1.t1	XP_026486602.1
OG0002379	HMEL035360g1.t1	XP_026483518.1
OG0002380	HMEL013924g1.t1	XP_026486739.1, XP_026486740.1
OG0002381	HMEL005842g1.t1	XP_026486716.1
OG0002382	HMEL016271g1.t1	XP_026495808.1
OG0002383	HMEL010021g1.t1	XP_026501110.1, XP_026501111.1
OG0002384	HMEL009647g1.t1	XP_026498103.1, XP_026498104.1
OG0002385	HMEL016265g1.t1	XP_026495518.1
OG0002386	HMEL031523g1.t1	XP_026492206.1
OG0002387	HMEL037490g1.t1	XP_026488876.1
OG0002388	HMEL010017g1.t1	XP_026501158.1
OG0002389	HMEL035354g1.t1	XP_026483513.1
OG0002390	HMEL015826g1.t1	XP_026489346.1
OG0002391	HMEL009652g1.t1	XP_026498096.1, XP_026498097.1, XP_026498098.1
OG0002392	HMEL020079g1.t1, HMEL038001g1.t1, HMEL038000g1.t1	XP_026489616.1
OG0002393	HMEL012591g1.t1	XP_026492381.1
OG0002394	HMEL017534g1.t1	XP_026492968.1
OG0002395	HMEL017797g1.t1, HMEL037491g1.t1	XP_026488839.1
OG0002396	HMEL037998g1.t1	XP_026489730.1, XP_026489731.1, XP_026489732.1, XP_026489729.1
OG0002397	HMEL002225g1.t1	XP_026500051.1, XP_026491773.1
OG0002398	HMEL008987g1.t1	XP_026484300.1
OG0002399	HMEL016957g1.t1	XP_026490235.1
OG0002400	HMEL031408g1.t1	XP_026490173.1
OG0002401	HMEL020811g1.t1	XP_026494179.1
OG0002402	HMEL013239g1.t1	XP_026490705.1
OG0002403	HMEL035834g1.t1	XP_026500470.1
OG0002404	HMEL004608g1.t1, HMEL012587-RA	XP_026492292.1
OG0002405	HMEL016133g1.t1	XP_026490652.1
OG0002406	HMEL013047g1.t1	XP_026500450.1, XP_026500451.1
OG0002407	HMEL003436g1.t1	XP_026498836.1
OG0002408	HMEL016136g1.t1	XP_026490657.1
OG0002409	HMEL032448g1.t1	XP_026494188.1
OG0002410	HMEL033952g1.t1	XP_026491167.1
OG0002411	HMEL037992g1.t1	XP_026489645.1
OG0002412	HMEL035803g1.t1	XP_026500519.1, XP_026500520.1
OG0002413	HMEL037985g1.t1	XP_026489617.1
OG0002414	HMEL031259g1.t1	XP_026501125.1, XP_026501124.1, XP_026501123.1
OG0002415	HMEL038031g1.t1, HMEL038032g1.t1	XP_026489710.1
OG0002416	HMEL013960g1.t1	XP_026492492.1
OG0002417	HMEL009905g1.t1	XP_026489711.1
OG0002418	HMEL037258g1.t1	XP_026490680.1
OG0002419	HMEL005535g1.t1	XP_026483291.1
OG0002420	HMEL032270g1.t1	XP_026497244.1
OG0002421	HMEL005329g1.t1	XP_026500911.1, XP_026500832.1
OG0002422	HMEL015802g1.t1	XP_026487771.1
OG0002423	HMEL031264g1.t1, HMEL031267g1.t1	XP_026501129.1
OG0002424	HMEL009454g1.t1	XP_026497241.1
OG0002425	HMEL013248g1.t1	XP_026494126.1
OG0002426	HMEL004065g1.t1	XP_026486618.1
OG0002427	HMEL036626g1.t1	XP_026495534.1
OG0002428	HMEL004501g1.t1	XP_026501585.1, XP_026501575.1, XP_026501565.1
OG0002429	HMEL009258g1.t1	XP_026500085.1
OG0002430	HMEL004069g1.t1	XP_026486590.1
OG0002431	HMEL004070g1.t1	XP_026486589.1
OG0002432	HMEL014409g1.t1	XP_026496053.1
OG0002433	HMEL035017g1.t1	XP_026489987.1
OG0002434	HMEL007646g1.t1	XP_026494205.1
OG0002435	HMEL003521g1.t1	XP_026498819.1
OG0002436	HMEL036247g1.t1	XP_026498507.1
OG0002437	HMEL015097g1.t1	XP_026484807.1
OG0002438	HMEL035345g1.t1	XP_026483405.1
OG0002439	HMEL012322g1.t1, HMEL035344g1.t1	XP_026483417.1
OG0002440	HMEL011161g1.t1	XP_026488754.1
OG0002441	HMEL022157g1.t1	XP_026483383.1
OG0002442	HMEL013913g1.t1	XP_026490337.1, XP_026490338.1, XP_026490336.1
OG0002443	HMEL006762-RA, HMEL013859-RA	XP_026484273.1
OG0002444	HMEL036256g1.t1	XP_026498480.1, XP_026498481.1
OG0002445	HMEL014417g1.t1	XP_026484206.1
OG0002446	HMEL004695g1.t1, HMEL021546g1.t1	XP_026483419.1
OG0002447	HMEL005852g1.t1	XP_026492906.1, XP_026492907.1
OG0002448	HMEL012901g1.t1	XP_026498491.1
OG0002449	HMEL030490g1.t1	XP_026500252.1, XP_026500253.1
OG0002450	HMEL017820g1.t1	XP_026492612.1, XP_026492619.1
OG0002451	HMEL003867g1.t1	XP_026500226.1
OG0002452	HMEL004081g1.t1	XP_026486621.1
OG0002453	HMEL011192g1.t1	XP_026490637.1
OG0002455	HMEL033927g1.t1	XP_026491082.1
OG0002456	HMEL013216g1.t1	XP_026498743.1, XP_026486518.1
OG0002457	HMEL035770g1.t1	XP_026500852.1
OG0002459	HMEL032470g1.t1	XP_026492508.1, XP_026492501.1
OG0002460	HMEL014181g1.t1	XP_026487157.1, XP_026487158.1, XP_026487159.1
OG0002461	HMEL032473g1.t1	XP_026492564.1, XP_026492556.1
OG0002463	HMEL005076g1.t1	XP_026490375.1, XP_026490374.1, XP_026490373.1
OG0002464	HMEL015051g1.t1, HMEL015049g1.t1	XP_026495987.1
OG0002465	HMEL015052g1.t1	XP_026495985.1
OG0002466	HMEL032474g1.t1	XP_026490494.1, XP_026490478.1, XP_026490488.1
OG0002467	HMEL022541g1.t1	XP_026498866.1
OG0002469	HMEL013243g1.t1	XP_026495727.1
OG0002470	HMEL022546g1.t1	XP_026498873.1
OG0002471	HMEL002313g1.t1	XP_026499307.1
OG0002472	HMEL014446g1.t1	XP_026498869.1
OG0002474	HMEL033367g1.t1	XP_026490759.1
OG0002475	HMEL002547g1.t1	XP_026484230.1
OG0002476	HMEL037210g1.t1, HMEL030839g1.t1, HMEL034063g1.t1	XP_026487574.1
OG0002476	HMEL004168g1.t1, HMEL033873g1.t1, HMEL037268g1.t1	XP_026488603.1
OG0002477	HMEL002546g1.t1	XP_026484231.1, XP_026484232.1
OG0002478	HMEL013251g1.t1	XP_026494125.1
OG0002479	HMEL006168g1.t1, HMEL034618g1.t1	XP_026498838.1
OG0002480	HMEL010525g1.t1	XP_026492246.1
OG0002481	HMEL006186g1.t1	XP_026498707.1
OG0002482	HMEL002550g1.t1	XP_026492303.1, XP_026492302.1
OG0002483	HMEL037978g1.t1	XP_026494399.1
OG0002484	HMEL009677g1.t1	XP_026500209.1
OG0002485	HMEL017618g1.t1	XP_026501243.1
