Orthogroup	Heliconius_melpomene_melpomene	Danaus_plexippus
OG0001943	HMEL017580g1.t1	DPOGS207785-PA
OG0001944	HMEL004292g1.t1	DPOGS208467-PA
OG0001945	HMEL013245g1.t1	DPOGS205229-PA
OG0001946	HMEL005809-RA	DPOGS215610-PA
OG0001947	HMEL030789g1.t1, HMEL030788g1.t1	DPOGS215801-PA
OG0001948	HMEL034812g1.t1	DPOGS208576-PA
OG0001949	HMEL017581g1.t1	DPOGS207782-PA
OG0001950	HMEL016806g1.t1	DPOGS213428-PA
OG0001951	HMEL004877g1.t1	DPOGS211857-PA
OG0001952	HMEL020790g1.t1, HMEL016732g1.t1, HMEL022364g1.t1	DPOGS203255-PA
OG0001953	HMEL008054-RA	DPOGS208463-PA
OG0001954	HMEL012441g1.t1	DPOGS211111-PA
OG0001956	HMEL008474g1.t1	DPOGS216145-PA
OG0001957	HMEL012446g1.t1	DPOGS211195-PA
OG0001958	HMEL016327g1.t1	DPOGS216199-PA
OG0001959	HMEL012089g1.t1	DPOGS203939-PA
OG0001960	HMEL032775g1.t1	DPOGS200259-PA
OG0001961	HMEL009328g1.t1, HMEL037414g1.t1	DPOGS212514-PA
OG0001962	HMEL013414g1.t1	DPOGS210465-PA
OG0001963	HMEL017513g1.t1, HMEL017517g1.t1	DPOGS209233-PA
OG0001964	HMEL011141-RA	DPOGS206644-PA
OG0001965	HMEL005669g1.t1	DPOGS212232-PA
OG0001966	HMEL003054g1.t1	DPOGS213241-PA
OG0001967	HMEL005351g1.t1	DPOGS201227-PA, DPOGS201228-PA
OG0001968	HMEL018043g1.t1	DPOGS215970-PA
OG0001969	HMEL012457g1.t1	DPOGS211206-PA
OG0001970	HMEL020917g1.t1	DPOGS215971-PA
OG0001971	HMEL007961g1.t1	DPOGS209877-PA, DPOGS212227-PA
OG0001972	HMEL032578g1.t1	DPOGS210482-PA
OG0001973	HMEL036095g1.t1	DPOGS211568-PA, DPOGS211567-PA
OG0001974	HMEL033647g1.t1	DPOGS210006-PA
OG0001975	HMEL033191g1.t1	DPOGS212759-PA
OG0001976	HMEL034805g1.t1, HMEL016101g1.t1	DPOGS205797-PA
OG0001977	HMEL032824g1.t1, HMEL032797g1.t1	DPOGS209262-PA
OG0001978	HMEL009356g1.t1	DPOGS212079-PA
OG0001979	HMEL021151g1.t1, HMEL007544g1.t1, HMEL021576g1.t1	DPOGS205975-PA
OG0001980	HMEL017906g1.t1	DPOGS213546-PA
OG0001981	HMEL007526g1.t1	DPOGS209872-PA
OG0001983	HMEL003068g1.t1	DPOGS209186-PA
OG0001984	HMEL017910g1.t1	DPOGS213549-PA
OG0001985	HMEL016154g1.t1	DPOGS203044-PA
OG0001986	HMEL037547g1.t1	DPOGS213550-PA
OG0001987	HMEL017974g1.t1, HMEL031552g1.t1, HMEL017975g1.t1	DPOGS212661-PA
OG0001988	HMEL005364g1.t1	DPOGS201043-PA, DPOGS201044-PA
OG0001989	HMEL007794g1.t1	DPOGS211056-PA
OG0001990	HMEL021710g1.t1	DPOGS213576-PA
OG0001991	HMEL014070g1.t1	DPOGS206058-PA
OG0001992	HMEL013594g1.t1	DPOGS215163-PA, DPOGS212017-PA
OG0001993	HMEL005607g1.t1, HMEL032570g1.t1	DPOGS204573-PA
OG0001994	HMEL005368g1.t1, HMEL005367g1.t1	DPOGS202074-PA
OG0001995	HMEL005529g1.t1	DPOGS204572-PA
OG0001996	HMEL011003g1.t1	DPOGS206710-PA
OG0001997	HMEL003590g1.t1	DPOGS201669-PA
OG0001999	HMEL011006g1.t1	DPOGS209871-PA
OG0002000	HMEL008264g1.t1	DPOGS209269-PA
OG0002001	HMEL012854g1.t1	DPOGS205807-PA, DPOGS201082-PA, DPOGS201398-PA
OG0002002	HMEL008335g1.t1	DPOGS201779-PA
OG0002003	HMEL033494g1.t1	DPOGS214042-PA
OG0002004	HMEL031911g1.t1	DPOGS207940-PA
OG0002005	HMEL009373g1.t1, HMEL010583g1.t1	DPOGS200534-PA
OG0002006	HMEL012212g1.t1, HMEL012211g1.t1	DPOGS205806-PA
OG0002008	HMEL006931g1.t1, HMEL007805g1.t1	DPOGS203845-PA, DPOGS203846-PA
OG0002009	HMEL012240g1.t1	DPOGS207385-PA
OG0002010	HMEL037951g1.t1	DPOGS214636-PA
OG0002011	HMEL011575g1.t1	DPOGS205814-PA
OG0002012	HMEL037706g1.t1	DPOGS214815-PA
OG0002013	HMEL038023g1.t1	DPOGS214634-PA, DPOGS214633-PA
OG0002014	HMEL015879g1.t1	DPOGS211678-PA
OG0002015	HMEL032149g1.t1	DPOGS213314-PA
OG0002016	HMEL037031g1.t1	DPOGS202061-PA
OG0002017	HMEL036515g1.t1	DPOGS209704-PA
OG0002018	HMEL017112g1.t1	DPOGS215290-PA
OG0002019	HMEL016868g1.t1	DPOGS200545-PA
OG0002021	HMEL006268g1.t1	DPOGS204475-PA
OG0002022	HMEL016873g1.t1	DPOGS200549-PA, DPOGS200548-PA
OG0002023	HMEL021562g1.t1	DPOGS206593-PA
OG0002024	HMEL012675g1.t1	DPOGS202730-PA
OG0002025	HMEL008945g1.t1	DPOGS216032-PA
OG0002026	HMEL006266g1.t1	DPOGS204413-PA
OG0002027	HMEL014853g1.t1	DPOGS207448-PA
OG0002028	HMEL033820g1.t1	DPOGS207447-PA
OG0002029	HMEL036077g1.t1, HMEL021227g1.t1	DPOGS202605-PA
OG0002030	HMEL020272g1.t1, HMEL032634g1.t1	DPOGS210498-PA
OG0002031	HMEL006254g1.t1	DPOGS204423-PA
OG0002032	HMEL012124g1.t1	DPOGS205069-PA
OG0002033	HMEL011647-RA	DPOGS215836-PA
OG0002034	HMEL036076g1.t1	DPOGS202613-PA
OG0002035	HMEL016779g1.t1	DPOGS208852-PA
OG0002036	HMEL031312g1.t1	DPOGS202477-PA
OG0002037	HMEL007173-RA	DPOGS205435-PA, DPOGS205437-PA
OG0002037	HMEL007174-RA	DPOGS205436-PA, DPOGS205438-PA
OG0002038	HMEL012870g1.t1	DPOGS214072-PA
OG0002039	HMEL005388g1.t1	DPOGS200382-PA
OG0002040	HMEL022231g1.t1	DPOGS206004-PA
OG0002041	HMEL012865g1.t1	DPOGS214052-PA, DPOGS214053-PA
OG0002042	HMEL016787g1.t1	DPOGS208996-PA
OG0002043	HMEL006241g1.t1	DPOGS204457-PA
OG0002044	HMEL030832g1.t1	DPOGS203674-PA
OG0002045	HMEL030680g1.t1	DPOGS209323-PA
OG0002045	HMEL005868g1.t1	DPOGS209322-PA
OG0002046	HMEL013335g1.t1	DPOGS203822-PA
OG0002047	HMEL013334g1.t1	DPOGS203821-PA
OG0002049	HMEL035893g1.t1	DPOGS205091-PA
OG0002050	HMEL013326g1.t1	DPOGS203683-PA
OG0002051	HMEL007271g1.t1	DPOGS203372-PA
OG0002052	HMEL011633g1.t1	DPOGS206544-PA
OG0002053	HMEL017952g1.t1	DPOGS201984-PA
OG0002053	HMEL005616g1.t1	DPOGS201983-PA
OG0002054	HMEL009730g1.t1	DPOGS207550-PA
OG0002055	HMEL011631g1.t1	DPOGS206538-PA
OG0002056	HMEL004981g1.t1	DPOGS201992-PA
OG0002057	HMEL008270g1.t1	DPOGS214066-PA
OG0002058	HMEL030284g1.t1	DPOGS206546-PA
OG0002060	HMEL013312g1.t1	DPOGS203692-PA
OG0002061	HMEL038050g1.t1	DPOGS202327-PA
OG0002062	HMEL031067g1.t1	DPOGS204301-PA
OG0002063	HMEL033282g1.t1	DPOGS206896-PA
OG0002064	HMEL006571g1.t1	DPOGS206684-PA
OG0002065	HMEL002293g1.t1	DPOGS206551-PA
OG0002066	HMEL032592g1.t1	DPOGS209400-PA, DPOGS209421-PA, DPOGS209420-PA, DPOGS209419-PA
OG0002067	HMEL006889g1.t1	DPOGS206430-PA
OG0002068	HMEL003963g1.t1	DPOGS203386-PA
OG0002069	HMEL016682g1.t1	DPOGS207464-PA
OG0002070	HMEL004550g1.t1	DPOGS205356-PA
OG0002071	HMEL008260g1.t1, HMEL037658g1.t1	DPOGS207305-PA
OG0002072	HMEL016685g1.t1	DPOGS207467-PA
OG0002073	HMEL015157g1.t1	DPOGS204229-PA
OG0002074	HMEL034653g1.t1	DPOGS204065-PA
OG0002075	HMEL005005g1.t1	DPOGS205602-PA
OG0002076	HMEL008042g1.t1	DPOGS211029-PA
OG0002077	HMEL011513g1.t1	DPOGS215130-PA
OG0002078	HMEL016690g1.t1	DPOGS212207-PA
OG0002079	HMEL003482g1.t1, HMEL003481g1.t1	DPOGS206441-PA
OG0002080	HMEL016095g1.t1	DPOGS207025-PA
OG0002081	HMEL007605g1.t1	DPOGS214357-PA
OG0002082	HMEL014936g1.t1	DPOGS212289-PA, DPOGS212288-PA
OG0002083	HMEL015005g1.t1	DPOGS202495-PA
OG0002084	HMEL004540g1.t1	DPOGS214332-PA
OG0002085	HMEL016705-RA	DPOGS211931-PA
OG0002086	HMEL007020g1.t1	DPOGS214868-PA, DPOGS214867-PA
OG0002087	HMEL003891g1.t1	DPOGS208881-PA
OG0002088	HMEL011840g1.t1	DPOGS206583-PA, DPOGS206582-PA
OG0002089	HMEL036803g1.t1	DPOGS209720-PA
OG0002091	HMEL014358g1.t1	DPOGS206952-PA
OG0002092	HMEL004372g1.t1	DPOGS206586-PA
OG0002093	HMEL032747g1.t1	DPOGS203622-PA
OG0002094	HMEL017805g1.t1, HMEL036372g1.t1	DPOGS208049-PA
OG0002095	HMEL011964g1.t1	DPOGS207810-PA
OG0002096	HMEL014363g1.t1	DPOGS206950-PA
OG0002097	HMEL036368g1.t1	DPOGS208019-PA
OG0002098	HMEL005887g1.t1	DPOGS215965-PA
OG0002099	HMEL030804g1.t1	DPOGS203716-PA
OG0002100	HMEL032330g1.t1	DPOGS202890-PA
OG0002101	HMEL006685g1.t1	DPOGS207573-PA
OG0002103	HMEL014250g1.t1, HMEL004897-RA	DPOGS202907-PA
OG0002104	HMEL012803g1.t1	DPOGS200481-PA
OG0002105	HMEL016726g1.t1	DPOGS203593-PA
OG0002106	HMEL012804g1.t1	DPOGS200482-PA
OG0002107	HMEL012833g1.t1	DPOGS214243-PA, DPOGS214244-PA
OG0002108	HMEL004952g1.t1	DPOGS204026-PA
OG0002109	HMEL009393g1.t1	DPOGS207232-PA, DPOGS201772-PA
OG0002110	HMEL007597g1.t1	DPOGS206415-PA
OG0002111	HMEL005949g1.t1	DPOGS203719-PA
OG0002112	HMEL004687g1.t1, HMEL022313g1.t1, HMEL016292g1.t1	DPOGS202898-PA
OG0002113	HMEL004387g1.t1, HMEL034775g1.t1	DPOGS200496-PA
OG0002114	HMEL036347g1.t1	DPOGS209545-PA
OG0002115	HMEL037643g1.t1, HMEL037644g1.t1, HMEL002409g1.t1	DPOGS207275-PA
OG0002116	HMEL005276g1.t1	DPOGS209028-PA
OG0002117	HMEL015651g1.t1	DPOGS202458-PA, DPOGS202459-PA
OG0002118	HMEL009851g1.t1	DPOGS213441-PA
OG0002119	HMEL015647g1.t1	DPOGS202447-PA
OG0002119	HMEL031979g1.t1	DPOGS202448-PA
OG0002120	HMEL014671g1.t1	DPOGS208908-PA
OG0002121	HMEL003153g1.t1	DPOGS206939-PA
OG0002122	HMEL007697g1.t1	DPOGS212990-PA
OG0002123	HMEL008048g1.t1	DPOGS203914-PA
OG0002124	HMEL015301g1.t1	DPOGS207730-PA
OG0002125	HMEL037068g1.t1	DPOGS208900-PA
OG0002126	HMEL012836g1.t1	DPOGS214236-PA
OG0002127	HMEL032735g1.t1	DPOGS214696-PA
OG0002128	HMEL003979g1.t1	DPOGS203908-PA
OG0002129	HMEL033019g1.t1, HMEL016407g1.t1	DPOGS214148-PA
OG0002130	HMEL014993g1.t1	DPOGS205876-PA
OG0002132	HMEL003676g1.t1	DPOGS200022-PA
OG0002133	HMEL015948g1.t1	DPOGS201465-PA
OG0002134	HMEL037079g1.t1	DPOGS208920-PA
OG0002135	HMEL012100g1.t1	DPOGS203937-PA
OG0002136	HMEL017704g1.t1	DPOGS211911-PA
OG0002137	HMEL010590g1.t1	DPOGS205747-PA
OG0002138	HMEL017420g1.t1	DPOGS205362-PA, DPOGS215408-PA
OG0002139	HMEL030034g1.t1	DPOGS205535-PA
OG0002140	HMEL007789g1.t1	DPOGS213625-PA
OG0002141	HMEL037722g1.t1	DPOGS212314-PA
OG0002142	HMEL004758g1.t1	DPOGS208933-PA
OG0002143	HMEL004757g1.t1	DPOGS213656-PA
OG0002144	HMEL004756g1.t1	DPOGS208930-PA
OG0002146	HMEL007761g1.t1, HMEL037777g1.t1	DPOGS202125-PA
OG0002147	HMEL035959g1.t1, HMEL035958g1.t1	DPOGS210715-PA
OG0002148	HMEL003317g1.t1	DPOGS204272-PA
OG0002149	HMEL006365g1.t1	DPOGS200310-PA
OG0002150	HMEL032713g1.t1, HMEL037780g1.t1	DPOGS200319-PA, DPOGS200320-PA
OG0002151	HMEL031986g1.t1, HMEL036294g1.t1, HMEL036849g1.t1, HMEL036663g1.t1, HMEL035317g1.t1, HMEL035593g1.t1, HMEL035927g1.t1, HMEL013520g1.t1, HMEL034375g1.t1, HMEL007308g1.t1	DPOGS201005-PA
OG0002152	HMEL003642g1.t1	DPOGS202817-PA
OG0002153	HMEL002896g1.t1	DPOGS202360-PA
OG0002154	HMEL003863g1.t1, HMEL034210g1.t1	DPOGS209960-PA
OG0002155	HMEL010625g1.t1	DPOGS207018-PA
OG0002156	HMEL032028g1.t1	DPOGS205850-PA
OG0002158	HMEL032326g1.t1	DPOGS202884-PA
OG0002159	HMEL032990g1.t1	DPOGS203575-PA, DPOGS203574-PA
OG0002160	HMEL032989g1.t1	DPOGS203491-PA
OG0002161	HMEL011476g1.t1	DPOGS200872-PA
OG0002163	HMEL030968g1.t1	DPOGS210604-PA, DPOGS210603-PA
OG0002164	HMEL000055g1.t1	DPOGS200337-PA
OG0002165	HMEL015269g1.t1	DPOGS208717-PA
OG0002166	HMEL014304g1.t1	DPOGS203580-PA
OG0002167	HMEL011434-RA	DPOGS214089-PA
OG0002168	HMEL031694g1.t1, HMEL012626g1.t1	DPOGS200868-PA
OG0002169	HMEL035968g1.t1, HMEL035969g1.t1	DPOGS200207-PA
OG0002170	HMEL016640g1.t1	DPOGS203312-PA
OG0002170	HMEL016641g1.t1	DPOGS203311-PA
OG0002171	HMEL031696g1.t1, HMEL012634g1.t1	DPOGS200865-PA
OG0002172	HMEL011115g1.t1	DPOGS214919-PA
OG0002173	HMEL032980g1.t1	DPOGS211604-PA
OG0002174	HMEL032681g1.t1	DPOGS200289-PA
OG0002175	HMEL022585g1.t1	DPOGS200474-PA, DPOGS208356-PA
OG0002175	HMEL030018g1.t1	DPOGS207692-PA
OG0002176	HMEL033973g1.t1, HMEL035397g1.t1, HMEL034174g1.t1	DPOGS214327-PA, DPOGS200748-PA
OG0002177	HMEL037751g1.t1	DPOGS212341-PA, DPOGS214682-PA
OG0002178	HMEL033078g1.t1	DPOGS207637-PA
OG0002179	HMEL033080g1.t1, HMEL033079g1.t1	DPOGS207627-PA
OG0002180	HMEL035297g1.t1	DPOGS204761-PA
OG0002181	HMEL000015g1.t1	DPOGS200365-PA
OG0002182	HMEL011150g1.t1	DPOGS206668-PA
OG0002184	HMEL000003g1.t1	DPOGS215068-PA
OG0002185	HMEL003098g1.t1	DPOGS209337-PA, DPOGS209336-PA, DPOGS209335-PA
OG0002186	HMEL002012g1.t1	DPOGS215064-PA
OG0002187	HMEL033764g1.t1	DPOGS205681-PA, DPOGS209297-PA
OG0002188	HMEL037148g1.t1	DPOGS210216-PA
OG0002189	HMEL007380g1.t1	DPOGS213321-PA
OG0002190	HMEL007376g1.t1	DPOGS200051-PA
OG0002191	HMEL007291g1.t1	DPOGS205691-PA
OG0002192	HMEL011042g1.t1	DPOGS203023-PA
OG0002193	HMEL037152g1.t1	DPOGS210241-PA
OG0002194	HMEL007296g1.t1	DPOGS205714-PA
OG0002196	HMEL035286g1.t1	DPOGS206716-PA
OG0002197	HMEL010893g1.t1	DPOGS202179-PA
OG0002198	HMEL010885g1.t1	DPOGS202153-PA, DPOGS202152-PA
OG0002199	HMEL005344g1.t1	DPOGS201902-PA
OG0002199	HMEL033145g1.t1	DPOGS201903-PA
OG0002200	HMEL010880g1.t1	DPOGS202541-PA
OG0002201	HMEL010878g1.t1	DPOGS202168-PA
OG0002202	HMEL020446g1.t1	DPOGS210232-PA
OG0002204	HMEL020781g1.t1	DPOGS213659-PA
OG0002204	HMEL004352g1.t1	DPOGS213658-PA
OG0002205	HMEL003136g1.t1, HMEL013531g1.t1	DPOGS203366-PA
OG0002206	HMEL006211g1.t1	DPOGS205669-PA
OG0002207	HMEL033781g1.t1	DPOGS205667-PA
OG0002208	HMEL013114g1.t1	DPOGS209383-PA
OG0002209	HMEL030996g1.t1	DPOGS202418-PA
OG0002210	HMEL030994g1.t1	DPOGS202419-PA
OG0002211	HMEL033124g1.t1	DPOGS201872-PA
OG0002212	HMEL009606g1.t1	DPOGS206833-PA
OG0002213	HMEL007106g1.t1	DPOGS205658-PA
OG0002214	HMEL033791g1.t1	DPOGS205635-PA
OG0002215	HMEL030586g1.t1	DPOGS215155-PA, DPOGS210169-PA
OG0002216	HMEL008790g1.t1	DPOGS208365-PA
OG0002217	HMEL033114g1.t1	DPOGS201556-PA
OG0002217	HMEL010908g1.t1	DPOGS201557-PA
OG0002218	HMEL033112g1.t1	DPOGS201569-PA
OG0002219	HMEL013670g1.t1	DPOGS214827-PA, DPOGS214826-PA
OG0002220	HMEL013657g1.t1	DPOGS206519-PA
OG0002221	HMEL015485g1.t1	DPOGS201449-PA
OG0002222	HMEL006321g1.t1	DPOGS201574-PA
OG0002223	HMEL012071g1.t1	DPOGS203283-PA
OG0002224	HMEL015505g1.t1	DPOGS201501-PA
OG0002225	HMEL030982g1.t1	DPOGS211461-PA
OG0002226	HMEL030896g1.t1	DPOGS201518-PA
OG0002226	HMEL015990g1.t1	DPOGS201519-PA
OG0002228	HMEL016592g1.t1	DPOGS208612-PA, DPOGS205424-PA
OG0002229	HMEL034154g1.t1, HMEL034037g1.t1, HMEL036286g1.t1	DPOGS215127-PA
OG0002230	HMEL030580g1.t1	DPOGS214829-PA, DPOGS214830-PA
OG0002231	HMEL016116g1.t1, HMEL017913g1.t1	DPOGS214549-PA
OG0002232	HMEL009651g1.t1	DPOGS215725-PA
OG0002233	HMEL017417g1.t1	DPOGS215405-PA
OG0002234	HMEL031568g1.t1	DPOGS201661-PA
OG0002235	HMEL022056g1.t1, HMEL011883g1.t1	DPOGS213301-PA
OG0002247	HMEL005164g1.t1	DPOGS211941-PA
OG0002248	HMEL032181g1.t1, HMEL032182g1.t1	DPOGS213238-PA
OG0002249	HMEL010744g1.t1	DPOGS206021-PA
OG0002250	HMEL003243g1.t1	DPOGS203226-PA, DPOGS203227-PA
OG0002251	HMEL007830g1.t1	DPOGS210806-PA
OG0002253	HMEL003244g1.t1	DPOGS203138-PA, DPOGS203139-PA
OG0002254	HMEL036379g1.t1	DPOGS208033-PA
OG0002255	HMEL004332g1.t1	DPOGS211050-PA
OG0002256	HMEL008586g1.t1	DPOGS203536-PA
OG0002257	HMEL017124g1.t1	DPOGS206296-PA
OG0002259	HMEL015824g1.t1	DPOGS210903-PA
OG0002260	HMEL016499g1.t1, HMEL037812g1.t1	DPOGS214761-PA
OG0002261	HMEL013218g1.t1	DPOGS211530-PA
OG0002262	HMEL008108g1.t1	DPOGS201614-PA
OG0002263	HMEL015851g1.t1	DPOGS208624-PA
OG0002264	HMEL032878g1.t1, HMEL005024g1.t1	DPOGS210802-PA
OG0002265	HMEL030379g1.t1	DPOGS212484-PA
OG0002266	HMEL037762g1.t1, HMEL032424g1.t1, HMEL035402g1.t1	DPOGS200450-PA
OG0002267	HMEL030693g1.t1	DPOGS202953-PA
OG0002268	HMEL017134g1.t1	DPOGS201182-PA
OG0002269	HMEL032410g1.t1, HMEL032408g1.t1	DPOGS211777-PA
OG0002270	HMEL016966g1.t1	DPOGS213227-PA
OG0002271	HMEL031240g1.t1	DPOGS208789-PA
OG0002272	HMEL012153g1.t1	DPOGS201224-PA
OG0002273	HMEL022594g1.t1	DPOGS202396-PA
OG0002274	HMEL034895g1.t1	DPOGS212588-PA
OG0002276	HMEL011943g1.t1	DPOGS206474-PA
OG0002277	HMEL035400g1.t1, HMEL008227g1.t1	DPOGS214426-PA
OG0002278	HMEL034416g1.t1	DPOGS213895-PA
OG0002279	HMEL032884g1.t1, HMEL032885g1.t1	DPOGS210809-PA
OG0002280	HMEL016064g1.t1, HMEL008749g1.t1	DPOGS210810-PA
OG0002281	HMEL032888g1.t1	DPOGS210858-PA, DPOGS210857-PA
OG0002282	HMEL016384g1.t1	DPOGS213354-PA
OG0002283	HMEL010165g1.t1	DPOGS201595-PA
OG0002284	HMEL020190g1.t1	DPOGS210812-PA
OG0002287	HMEL034420g1.t1	DPOGS213903-PA
OG0002288	HMEL034893g1.t1	DPOGS212635-PA
OG0002289	HMEL002604g1.t1	DPOGS205146-PA
OG0002290	HMEL013405g1.t1	DPOGS200907-PA
OG0002291	HMEL037459g1.t1	DPOGS210336-PA
OG0002292	HMEL035521g1.t1, HMEL012086g1.t1, HMEL007477g1.t1	DPOGS210151-PA
OG0002293	HMEL011608g1.t1	DPOGS210140-PA
OG0002294	HMEL016374g1.t1	DPOGS213382-PA
OG0002295	HMEL010153g1.t1	DPOGS204622-PA
OG0002296	HMEL034000g1.t1	DPOGS204780-PA
OG0002297	HMEL030699g1.t1	DPOGS202963-PA
OG0002298	HMEL034558g1.t1	DPOGS208198-PA
OG0002299	HMEL003233g1.t1	DPOGS208201-PA
OG0002300	HMEL004914g1.t1	DPOGS208792-PA
OG0002301	HMEL010819g1.t1	DPOGS207368-PA
OG0002302	HMEL010818g1.t1	DPOGS209118-PA, DPOGS209117-PA
OG0002303	HMEL010163g1.t1	DPOGS207912-PA
OG0002304	HMEL010817g1.t1	DPOGS209114-PA
OG0002305	HMEL002096g1.t1	DPOGS207178-PA
OG0002306	HMEL021856g1.t1, HMEL003467g1.t1, HMEL033996g1.t1	DPOGS204746-PA
OG0002307	HMEL033992g1.t1	DPOGS204776-PA
OG0002308	HMEL031786g1.t1	DPOGS210104-PA
OG0002309	HMEL008839g1.t1	DPOGS206604-PA
OG0002310	HMEL006484g1.t1	DPOGS214391-PA
OG0002311	HMEL037248g1.t1	DPOGS205014-PA
OG0002312	HMEL015561g1.t1	DPOGS213915-PA
OG0002313	HMEL012018g1.t1	DPOGS208205-PA
OG0002314	HMEL015903g1.t1	DPOGS201201-PA
OG0002315	HMEL032253g1.t1	DPOGS216123-PA
OG0002316	HMEL031452g1.t1	DPOGS213342-PA
OG0002317	HMEL010813g1.t1, HMEL009525g1.t1	DPOGS209112-PA
OG0002318	HMEL008860g1.t1	DPOGS207358-PA, DPOGS207357-PA
OG0002319	HMEL036364g1.t1	DPOGS205964-PA
OG0002321	HMEL007937g1.t1	DPOGS211794-PA
OG0002322	HMEL032402g1.t1	DPOGS211764-PA
OG0002323	HMEL008862g1.t1	DPOGS207324-PA
OG0002324	HMEL031784g1.t1	DPOGS210103-PA
OG0002326	HMEL004276g1.t1	DPOGS211813-PA
OG0002327	HMEL002983g1.t1	DPOGS210060-PA
OG0002328	HMEL010610g1.t1	DPOGS214414-PA
OG0002329	HMEL008868g1.t1	DPOGS207362-PA
OG0002330	HMEL035410g1.t1	DPOGS214402-PA
OG0002331	HMEL002982g1.t1	DPOGS210061-PA
OG0002333	HMEL015999g1.t1	DPOGS205330-PA
OG0002334	HMEL022587g1.t1	DPOGS211816-PA
OG0002335	HMEL009011g1.t1	DPOGS206387-PA
OG0002336	HMEL014573g1.t1, HMEL022221g1.t1, HMEL012880g1.t1	DPOGS214403-PA
OG0002337	HMEL008977g1.t1	DPOGS204519-PA
OG0002338	HMEL011814g1.t1	DPOGS205114-PA, DPOGS205923-PA
OG0002339	HMEL030711g1.t1	DPOGS206374-PA
OG0002340	HMEL022206g1.t1	DPOGS202677-PA, DPOGS202641-PA
OG0002341	HMEL010768-RA	DPOGS207321-PA
OG0002342	HMEL034028g1.t1	DPOGS207911-PA
OG0002344	HMEL003523g1.t1	DPOGS210284-PA
OG0002346	HMEL016482g1.t1	DPOGS204146-PA
OG0002347	HMEL003506g1.t1	DPOGS210900-PA
OG0002348	HMEL034438g1.t1	DPOGS213651-PA
OG0002349	HMEL014490g1.t1	DPOGS210177-PA
OG0002350	HMEL038058g1.t1	DPOGS204203-PA
OG0002351	HMEL014811g1.t1	DPOGS215029-PA
OG0002352	HMEL003917g1.t1	DPOGS202585-PA
OG0002353	HMEL034088g1.t1	DPOGS211524-PA
OG0002354	HMEL035668g1.t1	DPOGS207171-PA
OG0002355	HMEL017841g1.t1	DPOGS214513-PA
OG0002356	HMEL003810g1.t1	DPOGS204601-PA
OG0002358	HMEL003926g1.t1	DPOGS209840-PA
OG0002360	HMEL008101g1.t1	DPOGS214972-PA
OG0002361	HMEL009633g1.t1	DPOGS215710-PA
OG0002362	HMEL012753g1.t1	DPOGS210173-PA, DPOGS203944-PA
OG0002363	HMEL011800g1.t1	DPOGS205491-PA
OG0002364	HMEL022641-RA, HMEL022628-RA	DPOGS209776-PA
OG0002365	HMEL009560g1.t1	DPOGS206213-PA
OG0002366	HMEL017923g1.t1	DPOGS206253-PA
OG0002367	HMEL017022g1.t1	DPOGS209626-PA, DPOGS209627-PA
OG0002368	HMEL008412g1.t1	DPOGS209838-PA
OG0002369	HMEL037342g1.t1	DPOGS214557-PA
OG0002371	HMEL017670g1.t1	DPOGS211546-PA
OG0002372	HMEL007888g1.t1	DPOGS202721-PA
OG0002373	HMEL017034g1.t1	DPOGS209633-PA
OG0002374	HMEL033658g1.t1	DPOGS202707-PA
OG0002375	HMEL006361g1.t1	DPOGS202868-PA, DPOGS214362-PA
OG0002376	HMEL017036g1.t1	DPOGS209634-PA
OG0002377	HMEL035361g1.t1	DPOGS200883-PA
OG0002378	HMEL034456g1.t1	DPOGS216204-PA
OG0002378	HMEL036002g1.t1	DPOGS216203-PA
OG0002379	HMEL035360g1.t1	DPOGS203093-PA
OG0002380	HMEL013924g1.t1	DPOGS214490-PA
OG0002381	HMEL005842g1.t1	DPOGS216187-PA
OG0002382	HMEL016271g1.t1	DPOGS209488-PA
OG0002383	HMEL010021g1.t1	DPOGS215326-PA
OG0002384	HMEL009647g1.t1	DPOGS215722-PA
OG0002385	HMEL016265g1.t1	DPOGS209522-PA
OG0002386	HMEL031523g1.t1	DPOGS206345-PA
OG0002387	HMEL037490g1.t1	DPOGS212969-PA
OG0002388	HMEL010017g1.t1	DPOGS215307-PA
OG0002389	HMEL035354g1.t1	DPOGS211699-PA
OG0002390	HMEL015826g1.t1	DPOGS210902-PA
OG0002391	HMEL009652g1.t1	DPOGS215726-PA
OG0002392	HMEL020079g1.t1, HMEL038001g1.t1, HMEL038000g1.t1	DPOGS204149-PA
OG0002393	HMEL012591g1.t1	DPOGS206341-PA, DPOGS206342-PA
OG0002394	HMEL017534g1.t1	DPOGS200222-PA
OG0002395	HMEL017797g1.t1, HMEL037491g1.t1	DPOGS212970-PA
OG0002396	HMEL037998g1.t1	DPOGS211332-PA
OG0002397	HMEL002225g1.t1	DPOGS202655-PA
OG0002398	HMEL008987g1.t1	DPOGS209800-PA
OG0002399	HMEL016957g1.t1	DPOGS200797-PA
OG0002400	HMEL031408g1.t1	DPOGS216160-PA
OG0002401	HMEL020811g1.t1	DPOGS208416-PA
OG0002402	HMEL013239g1.t1	DPOGS211505-PA
OG0002403	HMEL035834g1.t1	DPOGS206799-PA
OG0002404	HMEL004608g1.t1, HMEL012587-RA	DPOGS206339-PA
OG0002405	HMEL016133g1.t1	DPOGS213891-PA
OG0002406	HMEL013047g1.t1	DPOGS207159-PA
