Orthogroup	Heliconius_melpomene_melpomene	Pararge_aegeria
OG0000847	HMEL015230g1.t1	XP_039745545.1
OG0000848	HMEL017753g1.t1, HMEL037151g1.t1	XP_039750088.1, XP_039750089.1, XP_039750090.1
OG0000849	HMEL033126g1.t1	XP_039765036.1
OG0000850	HMEL016675-RA, HMEL016674-RA, HMEL016673-RA	XP_039746319.1
OG0000851	HMEL013445g1.t1	XP_039762024.1
OG0000853	HMEL031132g1.t1, HMEL036660g1.t1, HMEL034300g1.t1, HMEL032221g1.t1, HMEL034228g1.t1, HMEL034469g1.t1, HMEL036257g1.t1, HMEL036696g1.t1, HMEL034227g1.t1, HMEL036697g1.t1, HMEL030011g1.t1, HMEL002859g1.t1	XP_039762011.1
OG0000854	HMEL034713g1.t1	XP_039751716.1
OG0000865	HMEL016974g1.t1	XP_039760694.1
OG0000866	HMEL037815g1.t1, HMEL037814g1.t1, HMEL003152g1.t1	XP_039757751.1
OG0000867	HMEL011145g1.t1, HMEL011147g1.t1	XP_039757210.1
OG0000868	HMEL032773g1.t1	XP_039753935.1, XP_039753936.1
OG0000870	HMEL010391g1.t1	XP_039750711.1
OG0000871	HMEL010874-RA	XP_039752351.1
OG0000872	HMEL004857g1.t1	XP_039747527.1, XP_039747528.1
OG0000874	HMEL013840g1.t1, HMEL013844g1.t1	XP_039755918.1
OG0000875	HMEL010457g1.t1	XP_039746436.1, XP_039746223.1
OG0000877	HMEL030709g1.t1, HMEL032195g1.t1, HMEL030719g1.t1	XP_039757852.1, XP_039754349.1
OG0000878	HMEL008470g1.t1, HMEL035656g1.t1	XP_039763950.1
OG0000881	HMEL037252g1.t1	XP_039762797.1
OG0000882	HMEL038174g1.t1, HMEL034732g1.t1	XP_039749193.1, XP_039749917.1, XP_039764408.1
OG0000883	HMEL031013g1.t1	XP_039747189.1, XP_039765899.1
OG0000884	HMEL003412g1.t1	XP_039762577.1
OG0000887	HMEL031549g1.t1, HMEL031548g1.t1	XP_039759612.1
OG0000888	HMEL010147g1.t1	XP_039761935.1
OG0000889	HMEL016555g1.t1	XP_039749769.1, XP_039749761.1, XP_039749752.1, XP_039749744.1
OG0000891	HMEL020745g1.t1	XP_039755852.1
OG0000892	HMEL030776g1.t1, HMEL008526g1.t1	XP_039760813.1
OG0000893	HMEL008104g1.t1	XP_039762281.1
OG0000894	HMEL007355g1.t1	XP_039761036.1, XP_039761038.1, XP_039761039.1
OG0000896	HMEL010466g1.t1	XP_039747916.1, XP_039747917.1
OG0000897	HMEL005290g1.t1	XP_039758044.1, XP_039758043.1, XP_039758046.1, XP_039758045.1
OG0000898	HMEL007995g1.t1, HMEL037993g1.t1	XP_039757697.1, XP_039757699.1
OG0000899	HMEL037353g1.t1	XP_039748257.1
OG0000900	HMEL008650g1.t1	XP_039765885.1
OG0000901	HMEL004423g1.t1, HMEL009253g1.t1	XP_039760021.1
OG0000902	HMEL031382g1.t1	XP_039748935.1, XP_039748943.1
OG0000903	HMEL037953g1.t1, HMEL014964g1.t1	XP_039757917.1
OG0000904	HMEL004726g1.t1, HMEL037886g1.t1, HMEL037885g1.t1	XP_039757811.1
OG0000905	HMEL010959g1.t1	XP_039762341.1
OG0000906	HMEL017258g1.t1	XP_039764466.1, XP_039764467.1
OG0000907	HMEL020171g1.t1, HMEL034850g1.t1, HMEL022087g1.t1	XP_039751282.1
OG0000908	HMEL013191g1.t1	XP_039765180.1, XP_039765172.1
OG0000909	HMEL037980g1.t1	XP_039757557.1
OG0000910	HMEL002264g1.t1	XP_039748495.1, XP_039748497.1, XP_039748498.1, XP_039748494.1, XP_039748496.1
OG0000911	HMEL035027g1.t1	XP_039747075.1, XP_039747073.1, XP_039747076.1
OG0000912	HMEL022314g1.t1	XP_039758439.1
OG0000912	HMEL008391g1.t1	XP_039758736.1
OG0000913	HMEL038044g1.t1	XP_039758057.1
OG0000913	HMEL011181g1.t1	XP_039748315.1
OG0000916	HMEL017620g1.t1	XP_039762723.1, XP_039762722.1, XP_039762718.1, XP_039762720.1, XP_039762719.1, XP_039762721.1
OG0000918	HMEL014118g1.t1	XP_039760158.1
OG0000919	HMEL030196g1.t1	XP_039764719.1
OG0000919	HMEL030199g1.t1	XP_039764474.1
OG0000920	HMEL037529g1.t1	XP_039755583.1
OG0000922	HMEL033904g1.t1	XP_039746342.1, XP_039746339.1, XP_039746337.1, XP_039746343.1, XP_039746341.1, XP_039746338.1
OG0000923	HMEL032216g1.t1	XP_039748490.1
OG0000925	HMEL038034g1.t1	XP_039764330.1, XP_039756338.1, XP_039762307.1
OG0000926	HMEL003970g1.t1, HMEL035785g1.t1	XP_039763677.1
OG0000927	HMEL031563g1.t1	XP_039753359.1
OG0000928	HMEL011873g1.t1	XP_039750149.1
OG0000929	HMEL037054g1.t1	XP_039749383.1
OG0000930	HMEL002658g1.t1	XP_039749982.1, XP_039749981.1
OG0000931	HMEL011806g1.t1, HMEL032196g1.t1	XP_039747690.1
OG0000933	HMEL016930-RA	XP_039748638.1
OG0000933	HMEL005404g1.t1	XP_039749007.1
OG0000934	HMEL037403g1.t1	XP_039747657.1
OG0000935	HMEL010831g1.t1	XP_039754245.1
OG0000936	HMEL008615g1.t1	XP_039760669.1, XP_039760666.1, XP_039760667.1
OG0000937	HMEL007184g1.t1	XP_039762996.1, XP_039762995.1
OG0000938	HMEL034328g1.t1	XP_039755001.1
OG0000939	HMEL015746g1.t1	XP_039754952.1, XP_039755097.1, XP_039755096.1
OG0000940	HMEL007898g1.t1	XP_039755921.1, XP_039755922.1
OG0000941	HMEL037227g1.t1	XP_039762616.1, XP_039762617.1
OG0000942	HMEL009325g1.t1	XP_039748456.1, XP_039748459.1, XP_039748458.1, XP_039748457.1
OG0000944	HMEL013074g1.t1	XP_039745480.1
OG0000945	HMEL009182g1.t1	XP_039759769.1
OG0000946	HMEL008925g1.t1	XP_039756123.1
OG0000947	HMEL034125g1.t1	XP_039761914.1
OG0000948	HMEL006697g1.t1	XP_039751852.1, XP_039751842.1, XP_039751859.1
OG0000949	HMEL006699g1.t1	XP_039753426.1, XP_039753436.1, XP_039753418.1
OG0000950	HMEL010764g1.t1, HMEL013728g1.t1, HMEL002986g1.t1, HMEL032948g1.t1	XP_039754253.1
OG0000951	HMEL003256-RA	XP_039755015.1, XP_039755018.1, XP_039755019.1
OG0000952	HMEL017594g1.t1	XP_039753430.1
OG0000953	HMEL005483g1.t1	XP_039755874.1, XP_039755873.1, XP_039755872.1, XP_039755871.1, XP_039755869.1
OG0000954	HMEL031158g1.t1	XP_039765977.1, XP_039765978.1, XP_039765975.1, XP_039765976.1
OG0000955	HMEL022201g1.t1	XP_039748524.1
OG0000955	HMEL031903g1.t1	XP_039749207.1
OG0000956	HMEL011005g1.t1	XP_039747292.1, XP_039746090.1
OG0000957	HMEL037938g1.t1, HMEL037939g1.t1	XP_039757546.1
OG0000958	HMEL014235g1.t1, HMEL014233g1.t1	XP_039762081.1, XP_039762079.1
OG0000959	HMEL013929g1.t1	XP_039761109.1
OG0000961	HMEL011579g1.t1	XP_039750992.1
OG0000964	HMEL008303g1.t1, HMEL033246g1.t1	XP_039752798.1
OG0000965	HMEL016872g1.t1	XP_039760576.1, XP_039760577.1, XP_039760575.1
OG0000967	HMEL016885g1.t1	XP_039760751.1
OG0000968	HMEL015666g1.t1, HMEL015667g1.t1	XP_039761590.1, XP_039761591.1
OG0000969	HMEL016887g1.t1	XP_039760701.1
OG0000970	HMEL016780g1.t1	XP_039749660.1
OG0000970	HMEL016790g1.t1	XP_039749932.1
OG0000971	HMEL032606g1.t1, HMEL032607g1.t1, HMEL014608g1.t1	XP_039759123.1
OG0000972	HMEL010043g1.t1, HMEL038014g1.t1	XP_039757820.1
OG0000973	HMEL018073g1.t1, HMEL018076g1.t1	XP_039747238.1
OG0000974	HMEL002092g1.t1	XP_039753931.1
OG0000975	HMEL012706g1.t1	XP_039753698.1, XP_039753697.1, XP_039753699.1
OG0000976	HMEL021174g1.t1	XP_039764267.1, XP_039750840.1
OG0000977	HMEL003600g1.t1, HMEL034177g1.t1	XP_039754600.1
OG0000979	HMEL022555-RA	XP_039753658.1
OG0000980	HMEL013123g1.t1	XP_039760458.1, XP_039760456.1
OG0000981	HMEL006851g1.t1, HMEL009408g1.t1	XP_039751940.1, XP_039751939.1
OG0000982	HMEL002304g1.t1	XP_039763796.1
OG0000983	HMEL014948g1.t1	XP_039754900.1
OG0000984	HMEL013268g1.t1	XP_039751795.1
OG0000985	HMEL014945g1.t1	XP_039754859.1, XP_039754858.1, XP_039754860.1
OG0000986	HMEL017874g1.t1	XP_039756710.1
OG0000987	HMEL005822g1.t1	XP_039764164.1
OG0000988	HMEL006811g1.t1	XP_039764524.1
OG0000989	HMEL038122g1.t1	XP_039757481.1
OG0000990	HMEL017554g1.t1	XP_039753201.1
OG0000991	HMEL013152g1.t1	XP_039760877.1, XP_039760876.1
OG0000993	HMEL015016g1.t1	XP_039759828.1
OG0000994	HMEL014909g1.t1, HMEL032097g1.t1	XP_039748066.1
OG0000995	HMEL037688g1.t1	XP_039755582.1
OG0000996	HMEL033682g1.t1	XP_039746100.1
OG0000998	HMEL032336g1.t1	XP_039758941.1
OG0000999	HMEL015898g1.t1	XP_039747732.1, XP_039747730.1, XP_039747731.1
OG0001000	HMEL006653g1.t1	XP_039754947.1, XP_039755208.1
OG0001002	HMEL002124g1.t1	XP_039752439.1
OG0001002	HMEL033345g1.t1	XP_039752527.1
OG0001003	HMEL002972g1.t1	XP_039761587.1, XP_039761794.1
OG0001004	HMEL011374g1.t1	XP_039765120.1
OG0001005	HMEL037083g1.t1, HMEL022300g1.t1	XP_039749463.1, XP_039749462.1
OG0001006	HMEL037617g1.t1	XP_039755468.1
OG0001007	HMEL013723g1.t1, HMEL013790g1.t1	XP_039756579.1
OG0001008	HMEL002673g1.t1	XP_039751354.1
OG0001008	HMEL002670g1.t1	XP_039751456.1
OG0001009	HMEL032991g1.t1	XP_039757155.1
OG0001010	HMEL032688g1.t1	XP_039754544.1, XP_039754528.1
OG0001011	HMEL036857g1.t1	XP_039756390.1, XP_039756389.1
OG0001012	HMEL032037g1.t1, HMEL016746g1.t1	XP_039748770.1, XP_039748767.1, XP_039748769.1, XP_039748768.1, XP_039748614.1
OG0001013	HMEL009165g1.t1, HMEL010257g1.t1	XP_039754576.1
OG0001014	HMEL015565g1.t1	XP_039749849.1
OG0001015	HMEL004151g1.t1, HMEL014053g1.t1, HMEL033376g1.t1, HMEL033377g1.t1	XP_039752473.1, XP_039752472.1
OG0001016	HMEL037132g1.t1, HMEL037131g1.t1	XP_039749964.1
OG0001017	HMEL033085g1.t1	XP_039765278.1
OG0001018	HMEL008033-RA, HMEL014654g1.t1, HMEL037139g1.t1	XP_039749580.1
OG0001019	HMEL036009g1.t1, HMEL036004g1.t1, HMEL021764g1.t1	XP_039750332.1
OG0001020	HMEL032670g1.t1	XP_039754363.1
OG0001021	HMEL007292g1.t1	XP_039753709.1, XP_039753654.1
OG0001023	HMEL014742g1.t1	XP_039764934.1
OG0001024	HMEL031000g1.t1	XP_039745112.1
OG0001025	HMEL017351g1.t1	XP_039765210.1, XP_039765226.1, XP_039765234.1, XP_039765218.1
OG0001026	HMEL013363g1.t1	XP_039753766.1, XP_039753765.1
OG0001027	HMEL030991g1.t1, HMEL030992g1.t1	XP_039765336.1
OG0001028	HMEL035256g1.t1, HMEL005713g1.t1	XP_039746510.1
OG0001029	HMEL002173g1.t1	XP_039764574.1
OG0001030	HMEL033105g1.t1, HMEL016491g1.t1	XP_039764976.1
OG0001031	HMEL021033g1.t1	XP_039764781.1
OG0001031	HMEL012241g1.t1	XP_039756485.1
OG0001032	HMEL015972g1.t1	XP_039751828.1
OG0001033	HMEL037024g1.t1, HMEL035600g1.t1, HMEL031595g1.t1, HMEL034479g1.t1, HMEL031231g1.t1, HMEL037247g1.t1	XP_039763046.1
OG0001034	HMEL011667g1.t1, HMEL032145g1.t1, HMEL007262g1.t1, HMEL035515g1.t1, HMEL034610g1.t1, HMEL038065g1.t1, HMEL030326g1.t1, HMEL031203g1.t1, HMEL031597g1.t1	XP_039761481.1
OG0001035	HMEL032146g1.t1, HMEL013743g1.t1, HMEL033248g1.t1, HMEL008304g1.t1	XP_039754056.1
OG0001036	HMEL033149g1.t1, HMEL013969g1.t1, HMEL033150g1.t1, HMEL013970g1.t1	XP_039764632.1
OG0001037	HMEL015432g1.t1	XP_039765799.1, XP_039765798.1
OG0001043	HMEL022528-RA	XP_039758475.1
OG0001044	HMEL033923g1.t1	XP_039745995.1
OG0001045	HMEL003250g1.t1, HMEL034411g1.t1	XP_039755141.1, XP_039755140.1
OG0001046	HMEL032879g1.t1, HMEL032880g1.t1	XP_039753862.1
OG0001047	HMEL036179g1.t1	XP_039750240.1
OG0001048	HMEL022544g1.t1	XP_039760757.1, XP_039760756.1, XP_039760755.1
OG0001049	HMEL010734g1.t1	XP_039762984.1
OG0001050	HMEL008688g1.t1	XP_039760815.1
OG0001051	HMEL036396g1.t1, HMEL005647g1.t1, HMEL021324g1.t1	XP_039758281.1
OG0001052	HMEL026002g1.t1, HMEL026001g1.t1	XP_039756632.1
OG0001054	HMEL025046g1.t1	XP_039762574.1, XP_039762575.1, XP_039762573.1
OG0001055	HMEL031236g1.t1	XP_039765672.1, XP_039765671.1
OG0001056	HMEL004721g1.t1	XP_039753665.1
OG0001057	HMEL022596g1.t1	XP_039762920.1, XP_039762755.1, XP_039762756.1, XP_039762754.1, XP_039762753.1
OG0001059	HMEL002210g1.t1, HMEL030429g1.t1	XP_039759935.1
OG0001060	HMEL003577g1.t1	XP_039760730.1
OG0001061	HMEL032900g1.t1, HMEL032899g1.t1, HMEL032898g1.t1	XP_039754585.1
OG0001062	HMEL008011g1.t1	XP_039747777.1
OG0001063	HMEL009224g1.t1	XP_039761301.1
OG0001064	HMEL037967g1.t1	XP_039757447.1
OG0001064	HMEL017078g1.t1	XP_039756272.1
OG0001065	HMEL036391g1.t1	XP_039758762.1, XP_039758761.1
OG0001066	HMEL004277g1.t1	XP_039761693.1, XP_039761691.1, XP_039761692.1
OG0001067	HMEL010794g1.t1	XP_039762796.1
OG0001068	HMEL003615g1.t1, HMEL007241g1.t1	XP_039747204.1
OG0001069	HMEL004190g1.t1	XP_039765699.1, XP_039765700.1
OG0001070	HMEL004443g1.t1	XP_039755926.1
OG0001071	HMEL014188g1.t1	XP_039752182.1
OG0001072	HMEL003110-RA	XP_039758857.1, XP_039758859.1
OG0001074	HMEL005255g1.t1, HMEL005256g1.t1	XP_039761240.1, XP_039761242.1
OG0001075	HMEL037991g1.t1, HMEL020324g1.t1	XP_039757890.1
OG0001076	HMEL014816g1.t1	XP_039762226.1
OG0001078	HMEL035816g1.t1, HMEL035809g1.t1	XP_039764179.1, XP_039764183.1, XP_039764206.1
OG0001079	HMEL004336g1.t1	XP_039761422.1
OG0001080	HMEL021096g1.t1	XP_039755845.1
OG0001080	HMEL037485g1.t1	XP_039755850.1
OG0001083	HMEL008071g1.t1	XP_039757400.1
OG0001084	HMEL035376g1.t1, HMEL006339g1.t1	XP_039752463.1
OG0001086	HMEL022538-RA, HMEL022619-RA	XP_039760008.1
OG0001087	HMEL009638g1.t1	XP_039756229.1, XP_039756219.1, XP_039756237.1
OG0001088	HMEL012370g1.t1	XP_039754462.1
OG0001089	HMEL017035g1.t1	XP_039746900.1, XP_039746898.1
OG0001091	HMEL030152g1.t1, HMEL030151g1.t1	XP_039764844.1
OG0001093	HMEL017781g1.t1	XP_039754031.1, XP_039754030.1
OG0001094	HMEL036407g1.t1	XP_039758307.1
OG0001095	HMEL013262g1.t1	XP_039752090.1, XP_039764412.1, XP_039750717.1
OG0001097	HMEL013235g1.t1	XP_039761870.1
OG0001098	HMEL016252g1.t1	XP_039756744.1, XP_039756743.1, XP_039756745.1
OG0001099	HMEL010279g1.t1	XP_039759895.1
OG0001101	HMEL009515g1.t1	XP_039747938.1
OG0001102	HMEL038062g1.t1, HMEL004119g1.t1	XP_039757678.1
OG0001103	HMEL012909g1.t1	XP_039750575.1, XP_039750572.1, XP_039750574.1, XP_039750576.1, XP_039750573.1
OG0001104	HMEL008134g1.t1	XP_039762278.1
OG0001105	HMEL004504g1.t1, HMEL005331g1.t1	XP_039751585.1
OG0001106	HMEL003410g1.t1	XP_039762714.1
OG0001107	HMEL010195g1.t1	XP_039752036.1
OG0001108	HMEL014413g1.t1	XP_039762913.1, XP_039762912.1
OG0001109	HMEL002721g1.t1, HMEL002724g1.t1	XP_039753372.1
OG0001110	HMEL022090g1.t1, HMEL036858g1.t1	XP_039756568.1, XP_039756567.1
OG0001111	HMEL011868g1.t1	XP_039749630.1, XP_039749631.1
OG0001112	HMEL010414g1.t1	XP_039752151.1
OG0001114	HMEL011675-RA, HMEL011676-RA, HMEL011677-RA	XP_039745914.1
OG0001115	HMEL030485g1.t1	XP_039760170.1, XP_039760171.1, XP_039760172.1, XP_039760173.1
OG0001116	HMEL013206g1.t1	XP_039746563.1
OG0001117	HMEL013458g1.t1	XP_039761899.1
OG0001118	HMEL031818g1.t1	XP_039749044.1
OG0001119	HMEL000037-RA	XP_039753822.1
OG0001119	HMEL013472g1.t1	XP_039754433.1
OG0001120	HMEL037977g1.t1	XP_039757913.1
OG0001121	HMEL016964g1.t1	XP_039760722.1
OG0001122	HMEL014256g1.t1	XP_039762675.1
OG0001123	HMEL002797g1.t1	XP_039757238.1
OG0001126	HMEL031207g1.t1	XP_039745464.1
OG0001128	HMEL003636g1.t1	XP_039753249.1
OG0001129	HMEL036672g1.t1	XP_039756099.1, XP_039756101.1, XP_039756102.1
OG0001130	HMEL016949g1.t1	XP_039760462.1, XP_039760463.1
OG0001131	HMEL009462g1.t1	XP_039760017.1, XP_039760015.1, XP_039760016.1
OG0001132	HMEL015354g1.t1	XP_039749329.1
OG0001133	HMEL036632g1.t1	XP_039746564.1
OG0001134	HMEL030205g1.t1	XP_039765152.1
OG0001135	HMEL031380g1.t1	XP_039756801.1, XP_039764222.1, XP_039749030.1
OG0001137	HMEL007733g1.t1	XP_039746792.1, XP_039746791.1
OG0001138	HMEL016506g1.t1, HMEL007444g1.t1	XP_039755268.1, XP_039758501.1
OG0001140	HMEL015853g1.t1	XP_039761374.1, XP_039761375.1, XP_039761373.1, XP_039761376.1
OG0001141	HMEL032209g1.t1, HMEL032208g1.t1	XP_039748474.1, XP_039748473.1
OG0001142	HMEL005383g1.t1	XP_039753991.1, XP_039753992.1, XP_039753988.1, XP_039753990.1, XP_039753989.1
OG0001143	HMEL003823g1.t1	XP_039747359.1
OG0001144	HMEL009039g1.t1	XP_039748936.1, XP_039748933.1, XP_039748934.1, XP_039748932.1
OG0001145	HMEL014644g1.t1	XP_039759971.1
OG0001146	HMEL005223g1.t1	XP_039762186.1
OG0001147	HMEL013450g1.t1	XP_039762390.1
OG0001147	HMEL013452g1.t1	XP_039762264.1
OG0001148	HMEL011915g1.t1	XP_039753446.1
OG0001149	HMEL013391g1.t1	XP_039755646.1
OG0001150	HMEL008645g1.t1	XP_039748559.1
OG0001150	HMEL031876g1.t1	XP_039749202.1
OG0001151	HMEL031870g1.t1	XP_039748720.1
OG0001152	HMEL021063g1.t1, HMEL005168g1.t1	XP_039745819.1
OG0001153	HMEL016829g1.t1	XP_039746385.1, XP_039746392.1
OG0001154	HMEL037902g1.t1, HMEL021017g1.t1, HMEL012181g1.t1	XP_039757866.1
OG0001155	HMEL009538g1.t1	XP_039764263.1, XP_039760617.1
OG0001156	HMEL008467g1.t1	XP_039763179.1
OG0001157	HMEL016817g1.t1	XP_039748687.1, XP_039748679.1
OG0001158	HMEL037897g1.t1	XP_039757715.1
OG0001160	HMEL016808g1.t1	XP_039748368.1
OG0001161	HMEL014274g1.t1	XP_039762494.1
OG0001163	HMEL016803g1.t1	XP_039764800.1
OG0001164	HMEL016800g1.t1	XP_039760263.1
OG0001165	HMEL012451g1.t1	XP_039764707.1, XP_039764711.1, XP_039764708.1, XP_039764710.1, XP_039764709.1
OG0001166	HMEL033853g1.t1	XP_039746170.1
OG0001166	HMEL018047g1.t1	XP_039746026.1
OG0001167	HMEL018044g1.t1	XP_039746062.1
OG0001168	HMEL009960g1.t1	XP_039758149.1, XP_039758147.1, XP_039758159.1
OG0001169	HMEL009343g1.t1	XP_039748048.1
OG0001170	HMEL022612g1.t1	XP_039750305.1
OG0001171	HMEL036491g1.t1	XP_039758529.1
OG0001172	HMEL007488g1.t1	XP_039759726.1
OG0001173	HMEL034637g1.t1	XP_039760853.1, XP_039760698.1
OG0001174	HMEL033651g1.t1	XP_039756950.1
OG0001175	HMEL037926g1.t1, HMEL037923g1.t1	XP_039757468.1
OG0001176	HMEL031902g1.t1	XP_039749063.1, XP_039749042.1
OG0001177	HMEL012494g1.t1	XP_039764721.1, XP_039764724.1, XP_039764723.1
OG0001178	HMEL013178g1.t1	XP_039760543.1
OG0001179	HMEL005366g1.t1	XP_039749545.1
OG0001180	HMEL015680g1.t1	XP_039765649.1
OG0001181	HMEL031340g1.t1	XP_039749252.1, XP_039749229.1, XP_039749245.1, XP_039749238.1, XP_039749232.1
OG0001183	HMEL002563g1.t1	XP_039755153.1, XP_039755150.1, XP_039755152.1, XP_039755151.1
OG0001184	HMEL035756g1.t1	XP_039756680.1
OG0001185	HMEL035460g1.t1	XP_039763470.1
OG0001187	HMEL002556-RA	XP_039755226.1
OG0001188	HMEL011054g1.t1	XP_039755460.1, XP_039755459.1, XP_039755461.1
OG0001189	HMEL036689g1.t1	XP_039756674.1, XP_039756458.1
OG0001190	HMEL014022g1.t1	XP_039750038.1
OG0001191	HMEL033208g1.t1	XP_039752261.1, XP_039752260.1
OG0001192	HMEL006260g1.t1	XP_039765376.1
OG0001193	HMEL002965g1.t1	XP_039761362.1
OG0001194	HMEL003708g1.t1, HMEL003706g1.t1	XP_039759801.1
OG0001195	HMEL020198g1.t1	XP_039757043.1, XP_039758831.1
OG0001196	HMEL005744g1.t1	XP_039746624.1, XP_039746626.1
OG0001197	HMEL013338g1.t1	XP_039760466.1, XP_039760475.1, XP_039760457.1, XP_039760448.1
OG0001199	HMEL036739g1.t1	XP_039756292.1, XP_039756293.1
OG0001200	HMEL010538g1.t1	XP_039758516.1, XP_039758729.1
OG0001201	HMEL013327g1.t1	XP_039760768.1
OG0001202	HMEL014366g1.t1	XP_039752390.1
OG0001203	HMEL012888g1.t1, HMEL032109g1.t1	XP_039748184.1
OG0001204	HMEL015674g1.t1	XP_039761775.1
OG0001205	HMEL008255g1.t1	XP_039755861.1
OG0001206	HMEL002294g1.t1, HMEL002295g1.t1	XP_039764497.1
OG0001208	HMEL016688g1.t1	XP_039745569.1
OG0001209	HMEL013308g1.t1	XP_039752005.1
OG0001210	HMEL022029g1.t1, HMEL022028g1.t1	XP_039754540.1
OG0001211	HMEL005001g1.t1	XP_039757924.1
OG0001212	HMEL014000g1.t1	XP_039752865.1, XP_039752867.1
OG0001214	HMEL007612g1.t1, HMEL007613-RA	XP_039759923.1
OG0001215	HMEL013143g1.t1	XP_039760558.1
OG0001216	HMEL017551g1.t1	XP_039752941.1, XP_039752942.1, XP_039752943.1
OG0001217	HMEL014545g1.t1	XP_039761720.1
OG0001219	HMEL004312g1.t1	XP_039765519.1
OG0001220	HMEL014351g1.t1	XP_039752289.1, XP_039752288.1
OG0001221	HMEL012304g1.t1	XP_039756896.1, XP_039756894.1, XP_039756895.1, XP_039756897.1
OG0001222	HMEL014925g1.t1, HMEL034254g1.t1	XP_039755047.1, XP_039755048.1
OG0001223	HMEL011728g1.t1	XP_039745265.1
OG0001224	HMEL032331g1.t1	XP_039759111.1, XP_039759110.1
OG0001225	HMEL032332g1.t1	XP_039758966.1
OG0001226	HMEL011755g1.t1	XP_039745451.1
OG0001227	HMEL007389g1.t1	XP_039753703.1
OG0001228	HMEL008168g1.t1	XP_039758035.1
OG0001229	HMEL004617g1.t1	XP_039759516.1
OG0001231	HMEL007767g1.t1	XP_039754571.1
OG0001232	HMEL021525g1.t1	XP_039756239.1
OG0001235	HMEL037594g1.t1	XP_039755627.1
OG0001236	HMEL006300g1.t1	XP_039755518.1
OG0001237	HMEL015193g1.t1	XP_039745522.1
OG0001238	HMEL017165g1.t1	XP_039745650.1
OG0001239	HMEL030640g1.t1	XP_039756106.1
OG0001240	HMEL015940g1.t1	XP_039761637.1, XP_039761645.1
OG0001241	HMEL015203g1.t1	XP_039765932.1, XP_039765933.1, XP_039765931.1
OG0001242	HMEL011401g1.t1	XP_039765023.1, XP_039764508.1
OG0001243	HMEL008671g1.t1	XP_039752566.1, XP_039752568.1, XP_039752567.1, XP_039752565.1, XP_039752564.1
OG0001244	HMEL037718g1.t1	XP_039755786.1
OG0001245	HMEL017434g1.t1, HMEL017435g1.t1	XP_039758882.1
OG0001246	HMEL008434g1.t1	XP_039753023.1
OG0001247	HMEL030630g1.t1	XP_039765291.1, XP_039765290.1
OG0001248	HMEL006430g1.t1	XP_039750865.1
OG0001249	HMEL014583g1.t1	XP_039759479.1, XP_039759480.1
OG0001250	HMEL017389g1.t1	XP_039748881.1, XP_039748880.1, XP_039748882.1, XP_039748879.1
OG0001251	HMEL011480g1.t1	XP_039753419.1
OG0001252	HMEL008098g1.t1	XP_039760674.1, XP_039760672.1, XP_039760670.1, XP_039760673.1, XP_039760671.1
OG0001253	HMEL033069g1.t1	XP_039765005.1, XP_039765007.1, XP_039765006.1
OG0001254	HMEL022040g1.t1	XP_039759700.1
OG0001255	HMEL016623g1.t1	XP_039764212.1, XP_039764210.1, XP_039764209.1, XP_039764125.1, XP_039764211.1
OG0001258	HMEL014046g1.t1	XP_039751812.1
OG0001259	HMEL030952g1.t1	XP_039755100.1
OG0001260	HMEL014052g1.t1	XP_039752117.1
OG0001261	HMEL009298g1.t1	XP_039751686.1
OG0001262	HMEL008961g1.t1	XP_039745751.1, XP_039745753.1, XP_039745752.1
OG0001263	HMEL000006-RA, HMEL000004-RA	XP_039754448.1
OG0001264	HMEL003125g1.t1	XP_039745121.1, XP_039745128.1
OG0001265	HMEL004177g1.t1	XP_039765310.1
OG0001266	HMEL022606-RA	XP_039758691.1
OG0001267	HMEL031716g1.t1, HMEL033291g1.t1, HMEL007379g1.t1	XP_039749889.1
OG0001269	HMEL006982g1.t1	XP_039751731.1, XP_039751734.1
OG0001270	HMEL010884g1.t1	XP_039765549.1
OG0001271	HMEL032664g1.t1, HMEL032666g1.t1	XP_039753870.1
OG0001272	HMEL030599g1.t1	XP_039748973.1, XP_039748965.1, XP_039748982.1, XP_039748956.1
OG0001273	HMEL009056g1.t1	XP_039760790.1
OG0001274	HMEL031001g1.t1	XP_039765381.1, XP_039765382.1, XP_039765383.1
OG0001275	HMEL017342g1.t1	XP_039749416.1
OG0001276	HMEL033131g1.t1	XP_039764526.1
OG0001277	HMEL009593g1.t1	XP_039752374.1
OG0001278	HMEL007099g1.t1	XP_039746076.1
OG0001279	HMEL008795g1.t1	XP_039763979.1, XP_039764123.1, XP_039763960.1
OG0001280	HMEL013260g1.t1	XP_039752478.1, XP_039752480.1, XP_039752481.1, XP_039752479.1
OG0001281	HMEL033115g1.t1	XP_039764883.1, XP_039764521.1
OG0001282	HMEL013658g1.t1	XP_039765952.1
OG0001283	HMEL030577g1.t1	XP_039748416.1
OG0001284	HMEL013626g1.t1	XP_039750030.1
OG0001285	HMEL006372g1.t1	XP_039763845.1, XP_039763844.1
OG0001286	HMEL034214g1.t1	XP_039755132.1
OG0001287	HMEL037279g1.t1	XP_039763056.1, XP_039762837.1, XP_039764278.1, XP_039763058.1, XP_039764260.1, XP_039764251.1
OG0001291	HMEL002231g1.t1	XP_039745970.1, XP_039745971.1
