Orthogroup	Heliconius_melpomene_melpomene	Maniola_hyperantus
OG0001859	HMEL014120g1.t1	XP_034830430.1
OG0001860	HMEL011796g1.t1	XP_034839264.1
OG0001861	HMEL016573g1.t1	XP_034825936.1, XP_034825939.1
OG0001862	HMEL016421g1.t1	XP_034826927.1
OG0001863	HMEL031836g1.t1, HMEL004638g1.t1	XP_034824942.1
OG0001864	HMEL007886g1.t1, HMEL031401g1.t1	XP_034826489.1
OG0001866	HMEL017203g1.t1, HMEL036306g1.t1	XP_034823968.1
OG0001867	HMEL033578g1.t1	XP_034832777.1
OG0001868	HMEL011443g1.t1	XP_034836668.1
OG0001869	HMEL025054-RA	XP_034828592.1
OG0001870	HMEL022556-RA	XP_034840563.1
OG0001871	HMEL004115g1.t1	XP_034826406.1, XP_034826407.1
OG0001874	HMEL011895g1.t1	XP_034832465.1
OG0001875	HMEL020214g1.t1, HMEL016918-RA	XP_034824804.1
OG0001876	HMEL022042g1.t1	XP_034840861.1
OG0001877	HMEL014259g1.t1	XP_034838738.1
OG0001878	HMEL014104g1.t1	XP_034834534.1
OG0001879	HMEL016858g1.t1	XP_034826498.1, XP_034826181.1
OG0001880	HMEL015393g1.t1, HMEL008974g1.t1	XP_034829532.1
OG0001881	HMEL005519g1.t1, HMEL005517g1.t1	XP_034835290.1, XP_034835289.1
OG0001882	HMEL032839g1.t1	XP_034830551.1
OG0001883	HMEL034474g1.t1	XP_034836798.1
OG0001884	HMEL008751g1.t1	XP_034826989.1
OG0001885	HMEL007435g1.t1	XP_034833372.1
OG0001886	HMEL007432g1.t1	XP_034833459.1
OG0001887	HMEL010739g1.t1	XP_034838967.1
OG0001888	HMEL014094g1.t1	XP_034832043.1
OG0001889	HMEL035739g1.t1, HMEL035867g1.t1	XP_034839828.1
OG0001890	HMEL032831g1.t1	XP_034830983.1
OG0001891	HMEL008498g1.t1	XP_034838373.1
OG0001893	HMEL014161g1.t1	XP_034827488.1
OG0001894	HMEL006224g1.t1	XP_034840190.1
OG0001895	HMEL034879g1.t1	XP_034827129.1
OG0001896	HMEL034130g1.t1	XP_034838329.1
OG0001897	HMEL003191g1.t1	XP_034825379.1, XP_034825380.1
OG0001898	HMEL011641g1.t1	XP_034831737.1
OG0001899	HMEL002657g1.t1	XP_034829690.1
OG0001900	HMEL036468g1.t1	XP_034833506.1
OG0001901	HMEL013392g1.t1, HMEL037724g1.t1	XP_034831357.1
OG0001902	HMEL030220g1.t1	XP_034827003.1
OG0001904	HMEL016507g1.t1	XP_034833522.1, XP_034833523.1
OG0001905	HMEL008536g1.t1	XP_034830829.1
OG0001906	HMEL002699g1.t1	XP_034827117.1, XP_034827118.1
OG0001907	HMEL037881g1.t1	XP_034833791.1
OG0001908	HMEL011928g1.t1, HMEL012070g1.t1	XP_034832112.1, XP_034839619.1
OG0001909	HMEL016977g1.t1	XP_034837324.1, XP_034837323.1
OG0001910	HMEL015837g1.t1, HMEL016314g1.t1	XP_034836876.1
OG0001911	HMEL033888g1.t1	XP_034825515.1
OG0001912	HMEL035794g1.t1	XP_034839541.1
OG0001913	HMEL022637-RA	XP_034833811.1
OG0001914	HMEL037883g1.t1	XP_034833795.1
OG0001915	HMEL022597-RA	XP_034838856.1
OG0001916	HMEL012414g1.t1, HMEL031919g1.t1	XP_034826666.1, XP_034826673.1
OG0001917	HMEL004896g1.t1	XP_034824535.1, XP_034824534.1
OG0001919	HMEL036657g1.t1	XP_034834330.1
OG0001921	HMEL013688g1.t1	XP_034831079.1, XP_034831556.1
OG0001922	HMEL008613g1.t1	XP_034837300.1
OG0001923	HMEL035655g1.t1	XP_034839677.1, XP_034839675.1, XP_034839676.1
OG0001925	HMEL012056g1.t1	XP_034839898.1, XP_034839905.1
OG0001926	HMEL032584g1.t1	XP_034835147.1, XP_034835146.1
OG0001927	HMEL007179g1.t1	XP_034838844.1
OG0001928	HMEL003211g1.t1	XP_034829823.1
OG0001931	HMEL010825g1.t1	XP_034839098.1
OG0001932	HMEL021393g1.t1	XP_034830968.1, XP_034830967.1
OG0001934	HMEL004304g1.t1	XP_034827259.1, XP_034827260.1
OG0001935	HMEL033870g1.t1, HMEL033869g1.t1	XP_034825476.1, XP_034825475.1
OG0001936	HMEL016814g1.t1	XP_034826105.1, XP_034826104.1
OG0001937	HMEL037406g1.t1	XP_034838693.1, XP_034838694.1
OG0001938	HMEL005815g1.t1	XP_034830201.1
OG0001939	HMEL014392g1.t1	XP_034833685.1
OG0001940	HMEL037224g1.t1	XP_034838955.1
OG0001941	HMEL005814g1.t1	XP_034830314.1, XP_034830298.1, XP_034830306.1
OG0001942	HMEL010655g1.t1	XP_034837307.1
OG0001943	HMEL017580g1.t1	XP_034832092.1, XP_034832093.1
OG0001944	HMEL004292g1.t1	XP_034827299.1, XP_034827298.1
OG0001945	HMEL013245g1.t1	XP_034838338.1
OG0001946	HMEL005809-RA	XP_034830219.1
OG0001947	HMEL030789g1.t1, HMEL030788g1.t1	XP_034830375.1
OG0001948	HMEL034812g1.t1	XP_034826848.1, XP_034826847.1
OG0001949	HMEL017581g1.t1	XP_034832085.1, XP_034832086.1, XP_034832084.1
OG0001950	HMEL016806g1.t1	XP_034826107.1
OG0001951	HMEL004877g1.t1	XP_034825057.1
OG0001952	HMEL022364g1.t1	XP_034830955.1
OG0001953	HMEL008054-RA	XP_034827332.1
OG0001954	HMEL012441g1.t1	XP_034826505.1, XP_034826510.1, XP_034826519.1
OG0001956	HMEL008474g1.t1	XP_034836115.1
OG0001957	HMEL012446g1.t1	XP_034826646.1
OG0001958	HMEL016327g1.t1	XP_034836715.1
OG0001959	HMEL012089g1.t1	XP_034839578.1
OG0001960	HMEL032775g1.t1	XP_034830374.1
OG0001961	HMEL037414g1.t1	XP_034838419.1
OG0001962	HMEL013414g1.t1	XP_034835330.1
OG0001963	HMEL017513g1.t1, HMEL017517g1.t1	XP_034829178.1
OG0001964	HMEL011141-RA	XP_034832624.1
OG0001965	HMEL005669g1.t1	XP_034826100.1
OG0001966	HMEL003054g1.t1	XP_034836494.1
OG0001967	HMEL005351g1.t1	XP_034830156.1
OG0001968	HMEL018043g1.t1	XP_034825271.1
OG0001969	HMEL012457g1.t1	XP_034826354.1
OG0001970	HMEL020917g1.t1	XP_034825288.1
OG0001971	HMEL007961g1.t1	XP_034826117.1
OG0001973	HMEL036095g1.t1	XP_034828711.1
OG0001974	HMEL033647g1.t1	XP_034832807.1
OG0001975	HMEL033191g1.t1	XP_034828315.1, XP_034828314.1
OG0001976	HMEL034805g1.t1, HMEL016101g1.t1	XP_034827185.1
OG0001977	HMEL032824g1.t1, HMEL032797g1.t1	XP_034830389.1
OG0001979	HMEL021151g1.t1, HMEL007544g1.t1, HMEL021576g1.t1	XP_034836446.1
OG0001980	HMEL017906g1.t1	XP_034831053.1
OG0001981	HMEL007526g1.t1	XP_034826204.1, XP_034826205.1, XP_034826206.1
OG0001983	HMEL003068g1.t1	XP_034829396.1, XP_034829397.1
OG0001984	HMEL017910g1.t1	XP_034831061.1, XP_034831062.1
OG0001985	HMEL016154g1.t1	XP_034840755.1
OG0001986	HMEL037547g1.t1	XP_034831065.1
OG0001987	HMEL017974g1.t1, HMEL031552g1.t1, HMEL017975g1.t1	XP_034826238.1
OG0001988	HMEL005364g1.t1	XP_034829648.1, XP_034829646.1, XP_034829647.1
OG0001989	HMEL007794g1.t1	XP_034837998.1
OG0001990	HMEL021710g1.t1	XP_034831193.1, XP_034831194.1
OG0001991	HMEL014070g1.t1	XP_034840511.1, XP_034840512.1, XP_034840513.1
OG0001992	HMEL013594g1.t1	XP_034835943.1
OG0001993	HMEL005607g1.t1, HMEL032570g1.t1	XP_034835300.1
OG0001994	HMEL005368g1.t1, HMEL005367g1.t1	XP_034836991.1, XP_034829649.1
OG0001995	HMEL005529g1.t1	XP_034835150.1, XP_034835151.1
OG0001996	HMEL011003g1.t1	XP_034826560.1
OG0001997	HMEL003590g1.t1	XP_034832311.1
OG0001999	HMEL011006g1.t1	XP_034826561.1
OG0002000	HMEL008264g1.t1	XP_034830264.1
OG0002001	HMEL012854g1.t1	XP_034839782.1
OG0002002	HMEL008335g1.t1	XP_034828208.1
OG0002003	HMEL033494g1.t1	XP_034832693.1, XP_034832694.1
OG0002004	HMEL031911g1.t1	XP_034824461.1
OG0002005	HMEL009373g1.t1, HMEL010583g1.t1	XP_034830288.1
OG0002006	HMEL012212g1.t1, HMEL012211g1.t1	XP_034827276.1, XP_034827072.1
OG0002008	HMEL006931g1.t1, HMEL007805g1.t1	XP_034833284.1
OG0002009	HMEL012240g1.t1	XP_034834968.1
OG0002010	HMEL037951g1.t1	XP_034834245.1
OG0002011	HMEL011575g1.t1	XP_034827356.1
OG0002012	HMEL037706g1.t1	XP_034831299.1
OG0002013	HMEL038023g1.t1	XP_034833891.1
OG0002014	HMEL015879g1.t1	XP_034838547.1
OG0002015	HMEL032149g1.t1	XP_034836459.1
OG0002016	HMEL037031g1.t1	XP_034829796.1
OG0002017	HMEL036515g1.t1	XP_034833314.1
OG0002018	HMEL017112g1.t1	XP_034836846.1
OG0002019	HMEL016868g1.t1	XP_034837171.1
OG0002021	HMEL006268g1.t1	XP_034824048.1
OG0002022	HMEL016873g1.t1	XP_034837045.1
OG0002023	HMEL021562g1.t1	XP_034832527.1, XP_034832528.1
OG0002024	HMEL012675g1.t1	XP_034832313.1
OG0002025	HMEL008945g1.t1	XP_034834354.1
OG0002026	HMEL006266g1.t1	XP_034824045.1
OG0002027	HMEL014853g1.t1	XP_034825670.1
OG0002028	HMEL033820g1.t1	XP_034825674.1
OG0002029	HMEL021227g1.t1	XP_034828732.1
OG0002030	HMEL020272g1.t1, HMEL032634g1.t1	XP_034835193.1
OG0002031	HMEL006254g1.t1	XP_034824052.1, XP_034824053.1
OG0002032	HMEL012124g1.t1	XP_034840233.1
OG0002033	HMEL011647-RA	XP_034829305.1
OG0002034	HMEL036076g1.t1	XP_034828737.1, XP_034828738.1
OG0002035	HMEL016779g1.t1	XP_034829684.1
OG0002036	HMEL031312g1.t1	XP_034826282.1
OG0002037	HMEL007173-RA	XP_034836419.1
OG0002038	HMEL012870g1.t1	XP_034827178.1, XP_034827176.1
OG0002039	HMEL005388g1.t1	XP_034830999.1
OG0002040	HMEL022231g1.t1	XP_034835200.1
OG0002041	HMEL012865g1.t1	XP_034827146.1
OG0002043	HMEL006241g1.t1	XP_034823921.1, XP_034823920.1
OG0002044	HMEL030832g1.t1	XP_034831250.1
OG0002045	HMEL030680g1.t1	XP_034825818.1
OG0002046	HMEL013335g1.t1	XP_034833690.1
OG0002047	HMEL013334g1.t1	XP_034838299.1
OG0002049	HMEL035893g1.t1	XP_034839652.1
OG0002051	HMEL007271g1.t1	XP_034839608.1
OG0002052	HMEL011633g1.t1	XP_034829224.1
OG0002053	HMEL005616g1.t1	XP_034827077.1
OG0002054	HMEL009730g1.t1	XP_034824971.1
OG0002055	HMEL011631g1.t1	XP_034829280.1, XP_034829274.1
OG0002056	HMEL004981g1.t1	XP_034827182.1, XP_034827180.1
OG0002057	HMEL008270g1.t1	XP_034827142.1
OG0002058	HMEL030284g1.t1	XP_034824495.1
OG0002060	HMEL013312g1.t1	XP_034836274.1, XP_034836269.1
OG0002061	HMEL038050g1.t1	XP_034833949.1, XP_034833948.1, XP_034833947.1
OG0002062	HMEL031067g1.t1	XP_034841094.1
OG0002063	HMEL033282g1.t1	XP_034827983.1, XP_034827984.1
OG0002064	HMEL006571g1.t1	XP_034832772.1
OG0002065	HMEL002293g1.t1	XP_034827305.1
OG0002066	HMEL032592g1.t1	XP_034835183.1
OG0002067	HMEL006889g1.t1	XP_034825984.1
OG0002068	HMEL003963g1.t1	XP_034839380.1
OG0002069	HMEL016682g1.t1	XP_034825111.1, XP_034825110.1
OG0002070	HMEL004550g1.t1	XP_034830427.1
OG0002071	HMEL008260g1.t1, HMEL037658g1.t1	XP_034831632.1
OG0002072	HMEL016685g1.t1	XP_034825570.1
OG0002073	HMEL015157g1.t1	XP_034823930.1
OG0002074	HMEL034653g1.t1	XP_034837418.1
OG0002075	HMEL005005g1.t1	XP_034833363.1, XP_034833364.1
OG0002076	HMEL008042g1.t1	XP_034824267.1, XP_034828615.1
OG0002077	HMEL011513g1.t1	XP_034839077.1
OG0002078	HMEL016690g1.t1	XP_034825512.1
OG0002079	HMEL003482g1.t1, HMEL003481g1.t1	XP_034832138.1
OG0002080	HMEL016095g1.t1	XP_034828214.1
OG0002081	HMEL007605g1.t1	XP_034835190.1, XP_034835192.1, XP_034835191.1
OG0002082	HMEL014936g1.t1	XP_034829268.1
OG0002083	HMEL015005g1.t1	XP_034837756.1
OG0002084	HMEL004540g1.t1	XP_034835156.1
OG0002085	HMEL016705-RA	XP_034825246.1, XP_034825245.1, XP_034825247.1, XP_034825243.1
OG0002086	HMEL007020g1.t1	XP_034836018.1
OG0002087	HMEL003891g1.t1	XP_034829907.1, XP_034829905.1
OG0002088	HMEL011840g1.t1	XP_034826261.1
OG0002089	HMEL036803g1.t1	XP_034834522.1
OG0002091	HMEL014358g1.t1	XP_034827834.1
OG0002092	HMEL004372g1.t1	XP_034826249.1
OG0002093	HMEL032747g1.t1	XP_034830652.1
OG0002094	HMEL017805g1.t1, HMEL036372g1.t1	XP_034833394.1
OG0002095	HMEL011964g1.t1	XP_034831980.1, XP_034831979.1
OG0002096	HMEL014363g1.t1	XP_034828054.1, XP_034828056.1, XP_034828055.1
OG0002097	HMEL036368g1.t1	XP_034833594.1
OG0002098	HMEL005887g1.t1	XP_034825731.1, XP_034825730.1, XP_034825638.1
OG0002099	HMEL030804g1.t1	XP_034838782.1
OG0002100	HMEL032330g1.t1	XP_034835444.1
OG0002101	HMEL006685g1.t1	XP_034824606.1
OG0002103	HMEL014250g1.t1, HMEL004897-RA	XP_034835447.1
OG0002104	HMEL012803g1.t1	XP_034826908.1
OG0002105	HMEL016726g1.t1	XP_034830549.1
OG0002106	HMEL012804g1.t1	XP_034826752.1
OG0002107	HMEL012833g1.t1	XP_034828234.1
OG0002108	HMEL004952g1.t1	XP_034834163.1
OG0002109	HMEL009393g1.t1	XP_034832923.1
OG0002110	HMEL007597g1.t1	XP_034826492.1
OG0002111	HMEL005949g1.t1	XP_034830554.1
OG0002112	HMEL004687g1.t1, HMEL022313g1.t1, HMEL016292g1.t1	XP_034835635.1
OG0002113	HMEL004387g1.t1, HMEL034775g1.t1	XP_034827314.1
OG0002114	HMEL036347g1.t1	XP_034833217.1
OG0002115	HMEL037643g1.t1, HMEL037644g1.t1, HMEL002409g1.t1	XP_034831684.1
OG0002116	HMEL005276g1.t1	XP_034836195.1
OG0002117	HMEL015651g1.t1	XP_034824765.1
OG0002118	HMEL009851g1.t1	XP_034830302.1
OG0002119	HMEL015647g1.t1, HMEL031979g1.t1	XP_034824502.1
OG0002120	HMEL014671g1.t1	XP_034829978.1
OG0002121	HMEL003153g1.t1	XP_034827938.1
OG0002122	HMEL007697g1.t1	XP_034840732.1, XP_034840734.1, XP_034840735.1, XP_034840736.1
OG0002123	HMEL008048g1.t1	XP_034839583.1
OG0002124	HMEL015301g1.t1	XP_034831732.1
OG0002125	HMEL037068g1.t1	XP_034829559.1
OG0002126	HMEL012836g1.t1	XP_034828190.1, XP_034840163.1
OG0002127	HMEL032735g1.t1	XP_034830294.1
OG0002128	HMEL003979g1.t1	XP_034839581.1
OG0002129	HMEL016407g1.t1	XP_034828713.1
OG0002130	HMEL014993g1.t1	XP_034837752.1
OG0002132	HMEL003676g1.t1	XP_034833309.1, XP_034833308.1, XP_034833307.1, XP_034833310.1
OG0002133	HMEL015948g1.t1	XP_034832868.1, XP_034832876.1
OG0002134	HMEL037079g1.t1	XP_034830042.1
OG0002135	HMEL012100g1.t1	XP_034839128.1
OG0002136	HMEL017704g1.t1	XP_034825364.1, XP_034825363.1
OG0002137	HMEL010590g1.t1	XP_034832714.1
OG0002138	HMEL017420g1.t1	XP_034833556.1, XP_034833159.1
OG0002139	HMEL030034g1.t1	XP_034837557.1
OG0002140	HMEL007789g1.t1	XP_034831562.1
OG0002141	HMEL037722g1.t1	XP_034831354.1
OG0002142	HMEL004758g1.t1	XP_034829925.1
OG0002143	HMEL004757g1.t1	XP_034829941.1
OG0002144	HMEL004756g1.t1	XP_034829940.1
OG0002146	HMEL037777g1.t1	XP_034840116.1
OG0002147	HMEL035959g1.t1, HMEL035958g1.t1	XP_034828673.1
OG0002148	HMEL003317g1.t1	XP_034841470.1
OG0002149	HMEL006365g1.t1	XP_034830802.1
OG0002150	HMEL032713g1.t1, HMEL037780g1.t1	XP_034830422.1
OG0002152	HMEL003642g1.t1	XP_034827105.1
OG0002153	HMEL002896g1.t1	XP_034825793.1
OG0002154	HMEL034210g1.t1	XP_034828930.1
OG0002155	HMEL010625g1.t1	XP_034827597.1
OG0002156	HMEL032028g1.t1	XP_034824269.1
OG0002158	HMEL032326g1.t1	XP_034835446.1
OG0002159	HMEL032990g1.t1	XP_034832609.1
OG0002160	HMEL032989g1.t1	XP_034827039.1
OG0002161	HMEL011476g1.t1	XP_034832498.1
OG0002163	HMEL030968g1.t1	XP_034830964.1
OG0002164	HMEL000055g1.t1	XP_034830510.1
OG0002165	HMEL015269g1.t1	XP_034841400.1, XP_034841401.1
OG0002166	HMEL014304g1.t1	XP_034833107.1
OG0002167	HMEL011434-RA	XP_034824299.1
OG0002168	HMEL031694g1.t1, HMEL012626g1.t1	XP_034832501.1
OG0002169	HMEL035968g1.t1	XP_034828628.1
OG0002170	HMEL016640g1.t1, HMEL016641g1.t1	XP_034839565.1
OG0002171	HMEL012634g1.t1	XP_034832016.1
OG0002172	HMEL011115g1.t1	XP_034826379.1
OG0002173	HMEL032980g1.t1	XP_034833102.1
OG0002174	HMEL032681g1.t1	XP_034830499.1
OG0002175	HMEL030018g1.t1	XP_034837490.1
OG0002177	HMEL037751g1.t1	XP_034831644.1
OG0002178	HMEL033078g1.t1	XP_034827879.1
OG0002179	HMEL033079g1.t1	XP_034827850.1
OG0002181	HMEL000015g1.t1	XP_034830750.1
OG0002182	HMEL011150g1.t1	XP_034832634.1, XP_034832635.1
OG0002184	HMEL000003g1.t1	XP_034830890.1, XP_034830891.1
OG0002185	HMEL003098g1.t1	XP_034825010.1
OG0002186	HMEL002012g1.t1	XP_034830780.1
OG0002187	HMEL033764g1.t1	XP_034824993.1
OG0002188	HMEL037148g1.t1	XP_034829681.1
OG0002189	HMEL007380g1.t1	XP_034826396.1
OG0002190	HMEL007376g1.t1	XP_034826296.1
OG0002191	HMEL007291g1.t1	XP_034831842.1, XP_034831833.1
OG0002192	HMEL011042g1.t1	XP_034839513.1
OG0002194	HMEL007296g1.t1	XP_034831755.1, XP_034831757.1, XP_034831756.1
OG0002195	HMEL031146g1.t1, HMEL031147g1.t1, HMEL031141g1.t1, HMEL013278g1.t1	XP_034828199.1
OG0002196	HMEL035286g1.t1	XP_034840151.1
OG0002197	HMEL010893g1.t1	XP_034823915.1, XP_034823916.1
OG0002199	HMEL005344g1.t1, HMEL033145g1.t1	XP_034831262.1
OG0002200	HMEL010880g1.t1	XP_034841048.1
OG0002201	HMEL010878g1.t1	XP_034841041.1, XP_034841042.1, XP_034841043.1
OG0002204	HMEL020781g1.t1	XP_034824434.1
OG0002205	HMEL003136g1.t1, HMEL013531g1.t1	XP_034825664.1, XP_034825663.1, XP_034825662.1
OG0002206	HMEL006211g1.t1	XP_034825297.1, XP_034825296.1, XP_034825298.1
OG0002207	HMEL033781g1.t1	XP_034825596.1
OG0002208	HMEL013114g1.t1	XP_034830674.1, XP_034830673.1
OG0002209	HMEL030996g1.t1	XP_034841013.1
OG0002210	HMEL030994g1.t1	XP_034841002.1
OG0002211	HMEL033124g1.t1	XP_034826736.1
OG0002212	HMEL009606g1.t1	XP_034827894.1
OG0002213	HMEL007106g1.t1	XP_034825130.1
OG0002214	HMEL033791g1.t1	XP_034825156.1
OG0002215	HMEL030586g1.t1	XP_034826631.1
OG0002216	HMEL008790g1.t1	XP_034839198.1
OG0002217	HMEL010908g1.t1	XP_034824670.1
OG0002218	HMEL033112g1.t1	XP_034824415.1
OG0002219	HMEL013670g1.t1	XP_034826297.1
OG0002220	HMEL013657g1.t1	XP_034825909.1, XP_034825910.1
OG0002221	HMEL015485g1.t1	XP_034831820.1
OG0002222	HMEL006321g1.t1	XP_034828501.1
OG0002223	HMEL012071g1.t1	XP_034839236.1
OG0002224	HMEL015505g1.t1	XP_034836631.1
OG0002225	HMEL030982g1.t1	XP_034841070.1
OG0002226	HMEL015990g1.t1	XP_034836582.1
OG0002228	HMEL016592g1.t1	XP_034836859.1
OG0002230	HMEL030580g1.t1	XP_034826184.1, XP_034826186.1
OG0002231	HMEL016116g1.t1, HMEL017913g1.t1	XP_034838460.1
OG0002233	HMEL017417g1.t1	XP_034833562.1
OG0002234	HMEL031568g1.t1	XP_034832146.1
OG0002235	HMEL022056g1.t1, HMEL011883g1.t1	XP_034830979.1, XP_034824722.1
OG0002238	HMEL032523g1.t1, HMEL004043g1.t1	XP_034835437.1
OG0002240	HMEL008281g1.t1	XP_034841071.1
OG0002247	HMEL005164g1.t1	XP_034825378.1
OG0002248	HMEL032181g1.t1, HMEL032182g1.t1	XP_034836430.1
OG0002249	HMEL010744g1.t1	XP_034839119.1, XP_034839118.1
OG0002250	HMEL003243g1.t1	XP_034829507.1
OG0002251	HMEL007830g1.t1	XP_034830869.1
OG0002253	HMEL003244g1.t1	XP_034839918.1, XP_034828988.1
OG0002254	HMEL036379g1.t1	XP_034833201.1
OG0002255	HMEL004332g1.t1	XP_034823922.1
OG0002256	HMEL008586g1.t1	XP_034826138.1, XP_034826137.1, XP_034826136.1
OG0002257	HMEL017124g1.t1	XP_034831878.1
OG0002259	HMEL015824g1.t1	XP_034841226.1
OG0002260	HMEL016499g1.t1, HMEL037812g1.t1	XP_034833716.1
OG0002261	HMEL013218g1.t1	XP_034838268.1
OG0002262	HMEL008108g1.t1	XP_034838185.1
OG0002263	HMEL015851g1.t1	XP_034836802.1
OG0002264	HMEL032878g1.t1, HMEL005024g1.t1	XP_034830919.1
OG0002265	HMEL030379g1.t1	XP_034836104.1, XP_034836103.1, XP_034836105.1
OG0002266	HMEL037762g1.t1, HMEL032424g1.t1, HMEL035402g1.t1	XP_034827749.1
OG0002267	HMEL030693g1.t1	XP_034832145.1
OG0002268	HMEL017134g1.t1	XP_034832291.1, XP_034832292.1
OG0002269	HMEL032410g1.t1	XP_034835624.1
OG0002270	HMEL016966g1.t1	XP_034837378.1
OG0002271	HMEL031240g1.t1	XP_034823941.1, XP_034823942.1
OG0002272	HMEL012153g1.t1	XP_034839948.1, XP_034829553.1
OG0002273	HMEL022594g1.t1	XP_034838828.1
OG0002274	HMEL034895g1.t1	XP_034826789.1
OG0002276	HMEL011943g1.t1	XP_034832115.1
OG0002277	HMEL035400g1.t1, HMEL008227g1.t1	XP_034827754.1
OG0002279	HMEL032884g1.t1, HMEL032885g1.t1	XP_034830452.1
OG0002280	HMEL016064g1.t1, HMEL008749g1.t1	XP_034830455.1
OG0002281	HMEL032888g1.t1	XP_034830461.1
OG0002282	HMEL016384g1.t1	XP_034826192.1, XP_034826193.1
OG0002283	HMEL010165g1.t1	XP_034837818.1
OG0002284	HMEL020190g1.t1	XP_034830450.1
OG0002287	HMEL034420g1.t1	XP_034836845.1
OG0002288	HMEL034893g1.t1	XP_034826812.1
OG0002289	HMEL002604g1.t1	XP_034837715.1
OG0002290	HMEL013405g1.t1	XP_034839325.1
OG0002291	HMEL037459g1.t1	XP_034831351.1
OG0002292	HMEL035521g1.t1, HMEL012086g1.t1, HMEL007477g1.t1	XP_034839604.1, XP_034839521.1
OG0002293	HMEL011608g1.t1	XP_034824279.1
OG0002294	HMEL016374g1.t1	XP_034825852.1
OG0002295	HMEL010153g1.t1	XP_034838192.1
OG0002296	HMEL034000g1.t1	XP_034825325.1
OG0002297	HMEL030699g1.t1	XP_034831010.1
OG0002298	HMEL034558g1.t1	XP_034837142.1
OG0002300	HMEL004914g1.t1	XP_034840843.1
OG0002301	HMEL010819g1.t1	XP_034838804.1
OG0002302	HMEL010818g1.t1	XP_034839036.1
OG0002303	HMEL010163g1.t1	XP_034838177.1
OG0002305	HMEL002096g1.t1	XP_034839429.1
OG0002306	HMEL021856g1.t1, HMEL003467g1.t1, HMEL033996g1.t1	XP_034825302.1
OG0002307	HMEL033992g1.t1	XP_034825528.1
OG0002308	HMEL031786g1.t1	XP_034824727.1
OG0002309	HMEL008839g1.t1	XP_034832982.1, XP_034832983.1
OG0002310	HMEL006484g1.t1	XP_034827965.1, XP_034827964.1
OG0002311	HMEL037248g1.t1	XP_034839029.1
OG0002312	HMEL015561g1.t1	XP_034836700.1, XP_034836701.1
OG0002313	HMEL012018g1.t1	XP_034837217.1
OG0002314	HMEL015903g1.t1	XP_034831921.1
OG0002315	HMEL032253g1.t1	XP_034836560.1
OG0002316	HMEL031452g1.t1	XP_034826358.1
OG0002317	HMEL010813g1.t1, HMEL009525g1.t1	XP_034838807.1
OG0002318	HMEL008860g1.t1	XP_034836130.1
OG0002319	HMEL036364g1.t1	XP_034833395.1
OG0002321	HMEL007937g1.t1	XP_034835244.1
OG0002322	HMEL032402g1.t1	XP_034835508.1
OG0002323	HMEL008862g1.t1	XP_034836128.1
OG0002324	HMEL031784g1.t1	XP_034824647.1
OG0002326	HMEL004276g1.t1	XP_034837719.1
OG0002327	HMEL002983g1.t1	XP_034824932.1
OG0002328	HMEL010610g1.t1	XP_034828288.1, XP_034828287.1
OG0002329	HMEL008868g1.t1	XP_034835858.1
OG0002330	HMEL035410g1.t1	XP_034827672.1
OG0002331	HMEL002982g1.t1	XP_034824725.1
OG0002333	HMEL015999g1.t1	XP_034834835.1
OG0002334	HMEL022587g1.t1	XP_034837724.1
OG0002335	HMEL009011g1.t1	XP_034837563.1
OG0002336	HMEL014573g1.t1, HMEL022221g1.t1, HMEL012880g1.t1	XP_034827762.1
OG0002337	HMEL008977g1.t1	XP_034830141.1
OG0002338	HMEL011814g1.t1	XP_034826885.1
OG0002339	HMEL030711g1.t1	XP_034837430.1
OG0002340	HMEL022206g1.t1	XP_034825121.1
OG0002341	HMEL010768-RA	XP_034835765.1
OG0002342	HMEL034028g1.t1	XP_034838102.1
OG0002344	HMEL003523g1.t1	XP_034837206.1
OG0002346	HMEL016482g1.t1	XP_034834063.1
OG0002347	HMEL003506g1.t1	XP_034824920.1
OG0002348	HMEL034438g1.t1	XP_034836902.1
OG0002349	HMEL014490g1.t1	XP_034826332.1
OG0002350	HMEL038058g1.t1	XP_034834023.1, XP_034834024.1
OG0002352	HMEL003917g1.t1	XP_034837200.1
OG0002353	HMEL034088g1.t1	XP_034837821.1, XP_034838230.1, XP_034838231.1, XP_034838232.1
OG0002354	HMEL035668g1.t1	XP_034839258.1
OG0002355	HMEL017841g1.t1	XP_034828954.1
OG0002356	HMEL003810g1.t1	XP_034838991.1
OG0002358	HMEL003926g1.t1	XP_034829899.1
OG0002359	HMEL014098g1.t1	XP_034838552.1, XP_034838558.1
OG0002360	HMEL008101g1.t1	XP_034838136.1
OG0002361	HMEL009633g1.t1	XP_034834776.1
OG0002362	HMEL012753g1.t1	XP_034826336.1, XP_034826335.1
OG0002363	HMEL011800g1.t1	XP_034833051.1
OG0002364	HMEL022641-RA, HMEL022628-RA	XP_034836073.1
OG0002365	HMEL009560g1.t1	XP_034839000.1, XP_034839001.1, XP_034838999.1
OG0002366	HMEL017923g1.t1	XP_034833315.1
OG0002367	HMEL017022g1.t1	XP_034840713.1
OG0002368	HMEL008412g1.t1	XP_034829617.1
OG0002369	HMEL037342g1.t1	XP_034838365.1
OG0002372	HMEL007888g1.t1	XP_034832589.1
OG0002373	HMEL017034g1.t1	XP_034840718.1
