Orthogroup	Pararge_aegeria	Heliconius_erato_lativitta
OG0002187	XP_039745846.1	HEL_004449-RA
OG0002188	XP_039749965.1	HEL_010343-RA, HEL_010344-RA
OG0002189	XP_039765303.1	HEL_008523-RA
OG0002190	XP_039750275.1	HEL_008518-RA
OG0002191	XP_039753407.1, XP_039753408.1	HEL_011984-RA
OG0002192	XP_039764052.1	HEL_010397-RA
OG0002193	XP_039749424.1, XP_039749423.1	HEL_010357-RA
OG0002194	XP_039753190.1	HEL_011992-RA, HEL_011991-RA
OG0002195	XP_039751782.1	HEL_008355-RA
OG0002197	XP_039765907.1, XP_039765906.1	HEL_001166-RA
OG0002200	XP_039765315.1, XP_039765313.1, XP_039765312.1	HEL_001149-RA
OG0002201	XP_039765316.1	HEL_001147-RA
OG0002202	XP_039749976.1	HEL_010372-RA
OG0002203	XP_039763719.1, XP_039763720.1	HEL_007147-RA
OG0002205	XP_039746242.1	HEL_010422-RA
OG0002206	XP_039746366.1, XP_039746365.1	HEL_004469-RA
OG0002207	XP_039746246.1	HEL_004471-RA, HEL_004473-RA
OG0002208	XP_039753854.1	HEL_012815-RA, HEL_012817-RA
OG0002209	XP_039765974.1	HEL_013108-RA
OG0002211	XP_039764704.1	HEL_003281-RA
OG0002212	XP_039751922.1	HEL_008389-RA
OG0002213	XP_039746083.1	HEL_004495-RA, HEL_004493-RA, HEL_004494-RA, HEL_004492-RA
OG0002214	XP_039746149.1	HEL_004499-RA, HEL_004497-RA, HEL_004498-RA
OG0002215	XP_039745498.1	HEL_008480-RA, HEL_008481-RA
OG0002216	XP_039763767.1, XP_039763766.1, XP_039763765.1	HEL_007151-RA
OG0002217	XP_039764694.1	HEL_003252-RA, HEL_003253-RA
OG0002219	XP_039765824.1, XP_039765833.1	HEL_008469-RA
OG0002220	XP_039765979.1	HEL_008453-RA
OG0002221	XP_039761198.1	HEL_006744-RA
OG0002222	XP_039763702.1	HEL_003239-RA
OG0002223	XP_039763548.1	HEL_007121-RA
OG0002224	XP_039757656.1	HEL_006753-RA
OG0002225	XP_039765680.1	HEL_013413-RA, HEL_013410-RA, HEL_013411-RA, HEL_013412-RA
OG0002226	XP_039757782.1	HEL_006762-RA
OG0002227	XP_039759999.1	HEL_002921-RA, HEL_002922-RA, HEL_002923-RA, HEL_002920-RA, HEL_002926-RA
OG0002228	XP_039761176.1	HEL_004649-RA
OG0002230	XP_039748528.1	HEL_008464-RA, HEL_008461-RA
OG0002231	XP_039748429.1	HEL_011265-RA, HEL_011264-RA
OG0002233	XP_039758442.1	HEL_007226-RA
OG0002234	XP_039753397.1, XP_039753394.1, XP_039753398.1, XP_039753395.1, XP_039753396.1	HEL_010722-RA
OG0002235	XP_039754141.1, XP_039754139.1	HEL_007365-RA, HEL_007368-RA
OG0002238	XP_039759360.1, XP_039759359.1, XP_039759362.1, XP_039759361.1	HEL_006530-RA
OG0002240	XP_039765352.1, XP_039765351.1	HEL_001772-RA, HEL_001769-RA, HEL_001768-RA, HEL_001770-RA, HEL_001771-RA
OG0002247	XP_039746322.1	HEL_008821-RA
OG0002249	XP_039762933.1	HEL_013956-RA
OG0002250	XP_039755256.1	HEL_005361-RA
OG0002253	XP_039754884.1	HEL_005360-RA
OG0002254	XP_039758755.1, XP_039758757.1, XP_039758754.1	HEL_007346-RA, HEL_007345-RA
OG0002255	XP_039764436.1	HEL_002226-RA
OG0002256	XP_039746474.1	HEL_003424-RA
OG0002257	XP_039753384.1	HEL_003495-RA
OG0002258	XP_039750528.1, XP_039750529.1	HEL_011011-RA
OG0002259	XP_039764827.1	HEL_002275-RA
OG0002260	XP_039757776.1	HEL_005070-RA, HEL_005069-RA
OG0002261	XP_039762056.1	HEL_004169-RA
OG0002262	XP_039762141.1	HEL_004087-RA, HEL_004088-RA
OG0002263	XP_039761013.1	HEL_004635-RA
OG0002265	XP_039760265.1	HEL_001893-RA
OG0002266	XP_039752030.1	HEL_012686-RA
OG0002268	XP_039753504.1	HEL_003481-RA
OG0002269	XP_039759491.1	HEL_014060-RA
OG0002270	XP_039760764.1	HEL_009290-RA, HEL_009291-RA
OG0002271	XP_039765843.1	HEL_001721-RA
OG0002272	XP_039749565.1	HEL_007742-RA
OG0002273	XP_039763006.1, XP_039763007.1	HEL_013029-RA
OG0002274	XP_039751499.1	HEL_010162-RA, HEL_010163-RA
OG0002275	XP_039749208.1	HEL_003401-RA
OG0002276	XP_039752835.1, XP_039752836.1	HEL_010737-RA
OG0002277	XP_039752018.1	HEL_012698-RA, HEL_012696-RA
OG0002278	XP_039760932.1	HEL_005372-RA
OG0002279	XP_039754176.1	HEL_009478-RA, HEL_009477-RA
OG0002280	XP_039753949.1	HEL_009479-RA, HEL_008012-RA
OG0002281	XP_039754437.1, XP_039754436.1	HEL_009480-RA
OG0002282	XP_039746305.1	HEL_003398-RA
OG0002283	XP_039762265.1	HEL_004037-RA, HEL_004036-RA
OG0002284	XP_039754434.1	HEL_009481-RA
OG0002286	XP_039757083.1	HEL_008943-RA, HEL_008945-RA, HEL_008944-RA
OG0002287	XP_039761091.1	HEL_005396-RA, HEL_005378-RA
OG0002289	XP_039761595.1, XP_039761596.1	HEL_002192-RA
OG0002290	XP_039763858.1	HEL_012093-RA
OG0002291	XP_039755559.1	HEL_000710-RA, HEL_000709-RA, HEL_000712-RA
OG0002292	XP_039759729.1	HEL_001866-RA
OG0002293	XP_039764878.1, XP_039764879.1	HEL_002242-RA
OG0002294	XP_039746948.1	HEL_003387-RA
OG0002295	XP_039762148.1	HEL_004026-RA
OG0002296	XP_039746295.1	HEL_004000-RA, HEL_003999-RA
OG0002297	XP_039753347.1	HEL_006988-RA
OG0002298	XP_039760381.1, XP_039760380.1	HEL_009218-RA
OG0002301	XP_039762925.1, XP_039762924.1	HEL_013057-RA
OG0002302	XP_039762919.1	HEL_013056-RA
OG0002303	XP_039762175.1	HEL_004034-RA
OG0002305	XP_039763488.1	HEL_009656-RA
OG0002306	XP_039746134.1	HEL_003987-RA
OG0002307	XP_039746130.1, XP_039763099.1, XP_039763937.1	HEL_003986-RA
OG0002308	XP_039749103.1	HEL_007623-RA, HEL_007622-RA
OG0002310	XP_039752302.1, XP_039752303.1	HEL_012662-RA
OG0002311	XP_039762589.1	HEL_013054-RA
OG0002312	XP_039761209.1	HEL_005388-RA
OG0002313	XP_039760870.1	HEL_009229-RA
OG0002314	XP_039753530.1	HEL_003449-RA
OG0002315	XP_039747727.1	HEL_000464-RA
OG0002316	XP_039746934.1	HEL_003373-RA
OG0002317	XP_039762505.1	HEL_011297-RA
OG0002318	XP_039759983.1, XP_039759984.1	HEL_002048-RA
OG0002319	XP_039758361.1	HEL_007293-RA
OG0002321	XP_039759220.1	HEL_014460-RA
OG0002322	XP_039759414.1, XP_039759413.1	HEL_014462-RA
OG0002323	XP_039760073.1	HEL_002051-RA
OG0002324	XP_039748538.1	HEL_007610-RA
OG0002325	XP_039762786.1	HEL_011675-RA
OG0002326	XP_039761815.1	HEL_002207-RA
OG0002327	XP_039748536.1	HEL_007606-RA
OG0002328	XP_039752059.1	HEL_012652-RA
OG0002329	XP_039760137.1, XP_039760138.1	HEL_002060-RA, HEL_002056-RA
OG0002330	XP_039751817.1, XP_039751818.1	HEL_012647-RA
OG0002331	XP_039749180.1	HEL_007604-RA
OG0002332	XP_039757278.1	HEL_008991-RA
OG0002333	XP_039756066.1, XP_039756065.1	HEL_012567-RA
OG0002334	XP_039761592.1	HEL_002214-RA
OG0002335	XP_039754116.1	HEL_012401-RA
OG0002336	XP_039752015.1	HEL_012639-RA, HEL_012640-RA
OG0002337	XP_039749914.1	HEL_007806-RA
OG0002338	XP_039751662.1	HEL_010193-RA
OG0002339	XP_039759260.1, XP_039759251.1	HEL_012406-RA
OG0002340	XP_039746230.1	HEL_003974-RA
OG0002341	XP_039759946.1	HEL_002067-RA, HEL_002064-RA
OG0002342	XP_039761979.1	HEL_004069-RA
OG0002344	XP_039760511.1, XP_039760510.1	HEL_013506-RA, HEL_013505-RA
OG0002346	XP_039757563.1	HEL_014590-RA
OG0002348	XP_039761237.1	HEL_005418-RA, HEL_005416-RA, HEL_005417-RA
OG0002349	XP_039764722.1, XP_039764731.1	HEL_003351-RA
OG0002350	XP_039757815.1, XP_039757817.1	HEL_003614-RA
OG0002351	XP_039762195.1	HEL_004076-RA
OG0002352	XP_039760689.1	HEL_013507-RA
OG0002354	XP_039764038.1	HEL_009660-RA
OG0002355	XP_039754765.1	HEL_005260-RA, HEL_005261-RA
OG0002356	XP_039762868.1	HEL_011767-RA, HEL_011766-RA
OG0002357	XP_039762706.1	HEL_011762-RA
OG0002358	XP_039749888.1	HEL_007777-RA, HEL_007779-RA, HEL_007778-RA
OG0002359	XP_039754868.1	HEL_002614-RA
OG0002360	XP_039761847.1	HEL_004082-RA
OG0002361	XP_039752398.1	HEL_012419-RA
OG0002362	XP_039747801.1	HEL_003326-RA
OG0002363	XP_039757270.1	HEL_009011-RA, HEL_009012-RA, HEL_009013-RA
OG0002364	XP_039760005.1, XP_039760004.1	HEL_002078-RA
OG0002365	XP_039762693.1	HEL_011750-RA
OG0002366	XP_039758731.1	HEL_009705-RA
OG0002367	XP_039747218.1	HEL_010526-RA, HEL_010525-RA
OG0002371	XP_039748360.1	HEL_000477-RA
OG0002372	XP_039757103.1	HEL_009027-RA
OG0002373	XP_039746902.1, XP_039746904.1	HEL_010540-RA
OG0002374	XP_039757071.1	HEL_009031-RA, HEL_009028-RA, HEL_009029-RA, HEL_009030-RA
OG0002375	XP_039759672.1	HEL_008217-RA
OG0002376	XP_039746787.1	HEL_010543-RA
OG0002377	XP_039752809.1	HEL_013884-RA, HEL_013883-RA
OG0002379	XP_039751960.1	HEL_010152-RA
OG0002381	XP_039760963.1	HEL_004599-RA, HEL_004598-RA
OG0002382	XP_039756749.1	HEL_005682-RA, HEL_005683-RA
OG0002383	XP_039765904.1	HEL_001778-RA
OG0002384	XP_039761968.1, XP_039761977.1	HEL_012432-RA
OG0002386	XP_039752840.1	HEL_003537-RA, HEL_003536-RA
OG0002387	XP_039755474.1	HEL_000793-RA, HEL_000792-RA
OG0002388	XP_039745474.1	HEL_001786-RA
OG0002389	XP_039752253.1	HEL_010146-RA
OG0002390	XP_039764631.1	HEL_002273-RA
OG0002391	XP_039758987.1	HEL_012439-RA
OG0002392	XP_039757892.1	HEL_003601-RA, HEL_003600-RA
OG0002393	XP_039752924.1, XP_039752926.1	HEL_003542-RA
OG0002394	XP_039757389.1	HEL_008876-RA, HEL_008877-RA
OG0002395	XP_039755430.1	HEL_000795-RA
OG0002396	XP_039758112.1	HEL_003596-RA
OG0002397	XP_039746241.1	HEL_003953-RA
OG0002398	XP_039749639.1	HEL_007796-RA
OG0002399	XP_039760582.1	HEL_009278-RA
OG0002400	XP_039748464.1	HEL_003859-RA, HEL_005036-RA, HEL_005038-RA
OG0002402	XP_039762190.1, XP_039762189.1, XP_039762192.1	HEL_004145-RA
OG0002403	XP_039763486.1, XP_039763487.1	HEL_013254-RA
OG0002404	XP_039753153.1	HEL_003546-RA, HEL_003545-RA
OG0002405	XP_039747956.1, XP_039747957.1	HEL_011279-RA
OG0002406	XP_039763986.1	HEL_013252-RA, HEL_013253-RA
OG0002407	XP_039760665.1	HEL_011821-RA
OG0002408	XP_039747769.1	HEL_011283-RA, HEL_011282-RA
OG0002409	XP_039759037.1	HEL_006397-RA
OG0002410	XP_039746468.1	HEL_003944-RA
OG0002411	XP_039757696.1	HEL_003588-RA
OG0002412	XP_039763501.1	HEL_013235-RA
OG0002416	XP_039760484.1	HEL_009365-RA, HEL_009364-RA
OG0002417	XP_039757796.1	HEL_003627-RA
OG0002418	XP_039762766.1	HEL_011696-RA, HEL_011695-RA, HEL_011694-RA
OG0002419	XP_039750498.1	HEL_005062-RA
OG0002419	XP_039747122.1	HEL_005061-RA
OG0002420	XP_039748423.1	HEL_000497-RA, HEL_000498-RA, HEL_000499-RA
OG0002421	XP_039751497.1	HEL_010222-RA
OG0002422	XP_039764461.1	HEL_002290-RA, HEL_002287-RA, HEL_002288-RA
OG0002424	XP_039747559.1	HEL_000510-RA
OG0002425	XP_039762003.1	HEL_004136-RA
OG0002426	XP_039761895.1, XP_039761901.1	HEL_002518-RA, HEL_002514-RA
OG0002428	XP_039751215.1	HEL_010230-RA
OG0002429	XP_039759852.1	HEL_002126-RA
OG0002430	XP_039756660.1	HEL_002521-RA
OG0002431	XP_039757840.1	HEL_002522-RA
OG0002432	XP_039763005.1	HEL_011774-RA
OG0002433	XP_039747014.1	HEL_009035-RA, HEL_009036-RA
OG0002434	XP_039757708.1, XP_039757707.1	HEL_003680-RA, HEL_003685-RA
OG0002435	XP_039760635.1	HEL_013503-RA, HEL_013502-RA
OG0002437	XP_039745484.1	HEL_001708-RA
OG0002438	XP_039752632.1, XP_039752633.1	HEL_010116-RA
OG0002439	XP_039752425.1	HEL_010114-RA
OG0002440	XP_039748006.1	HEL_011310-RA
OG0002442	XP_039748116.1	HEL_000430-RA
OG0002443	XP_039750057.1	HEL_006019-RA
OG0002444	XP_039750326.1	HEL_011117-RA
OG0002445	XP_039762839.1	HEL_011784-RA
OG0002446	XP_039752616.1	HEL_010109-RA
OG0002447	XP_039761077.1	HEL_004589-RA
OG0002449	XP_039760169.1	HEL_002148-RA
OG0002450	XP_039759493.1, XP_039759494.1	HEL_006416-RA
OG0002451	XP_039760106.1	HEL_002150-RA
OG0002452	XP_039753285.1	HEL_002535-RA
OG0002453	XP_039748212.1	HEL_011344-RA
OG0002455	XP_039745613.1	HEL_014049-RA, HEL_014051-RA
OG0002456	XP_039762215.1	HEL_004171-RA
OG0002457	XP_039764090.1, XP_039764089.1	HEL_012103-RA
OG0002458	XP_039760717.1	HEL_011839-RA
OG0002459	XP_039759488.1, XP_039759487.1	HEL_006426-RA
OG0002460	XP_039753892.1	HEL_009449-RA
OG0002462	XP_039762988.1	HEL_011800-RA
OG0002464	XP_039756670.1	HEL_005814-RA, HEL_005813-RA
OG0002465	XP_039756512.1	HEL_005809-RA, HEL_005810-RA, HEL_005811-RA
OG0002466	XP_039759461.1	HEL_006431-RA
OG0002467	XP_039762883.1	HEL_011808-RA
OG0002469	XP_039762329.1	HEL_004141-RA
OG0002470	XP_039762887.1	HEL_011813-RA, HEL_011814-RA, HEL_011815-RA
OG0002471	XP_039755390.1	HEL_000819-RA
OG0002472	XP_039762833.1	HEL_011816-RA
OG0002473	XP_039760142.1, XP_039760140.1, XP_039760143.1, XP_039760141.1	HEL_002160-RA
OG0002475	XP_039749753.1, XP_039749755.1, XP_039749754.1	HEL_007837-RA
OG0002477	XP_039749708.1	HEL_007836-RA
OG0002478	XP_039761986.1, XP_039762361.1	HEL_004134-RA
OG0002479	XP_039760644.1	HEL_011827-RA, HEL_011826-RA
OG0002480	XP_039753724.1	HEL_003567-RA
OG0002481	XP_039760506.1	HEL_011846-RA
OG0002482	XP_039753487.1	HEL_003570-RA
OG0002484	XP_039760147.1	HEL_002163-RA, HEL_002164-RA
OG0002485	XP_039762810.1, XP_039762814.1, XP_039762809.1, XP_039762811.1	HEL_013937-RA
OG0002486	XP_039749554.1	HEL_004997-RA
OG0002487	XP_039765099.1	HEL_014373-RA, HEL_002328-RA
OG0002488	XP_039752665.1	HEL_010080-RA, HEL_010079-RA
OG0002489	XP_039750830.1	HEL_004368-RA, HEL_004367-RA
OG0002490	XP_039758518.1	HEL_009748-RA, HEL_009747-RA
OG0002492	XP_039757235.1, XP_039757234.1	HEL_011205-RA
OG0002493	XP_039748311.1	HEL_005007-RA
OG0002495	XP_039758833.1, XP_039758828.1, XP_039758839.1	HEL_002563-RA
OG0002496	XP_039748189.1	HEL_011391-RA, HEL_011393-RA
OG0002498	XP_039762971.1	HEL_013946-RA
OG0002499	XP_039760778.1	HEL_009276-RA
OG0002500	XP_039748300.1	HEL_005008-RA
OG0002502	XP_039757117.1, XP_039757125.1	HEL_002569-RA
OG0002503	XP_039760254.1	HEL_014385-RA, HEL_014386-RA, HEL_014384-RA
OG0002504	XP_039754736.1, XP_039754732.1	HEL_010825-RA
OG0002505	XP_039762861.1	HEL_013948-RA
OG0002506	XP_039759194.1	HEL_006448-RA, HEL_006447-RA
OG0002507	XP_039754081.1	HEL_002577-RA
OG0002508	XP_039754480.1	HEL_009427-RA, HEL_009428-RA
OG0002509	XP_039759926.1	HEL_014383-RA
OG0002510	XP_039762917.1	HEL_013940-RA
OG0002512	XP_039751675.1	HEL_008088-RA
OG0002513	XP_039760046.1, XP_039760047.1	HEL_014381-RA
OG0002514	XP_039756797.1	HEL_011191-RA
OG0002515	XP_039746413.1	HEL_005016-RA
OG0002516	XP_039759003.1	HEL_006452-RA
OG0002517	XP_039748437.1	HEL_011334-RA
OG0002518	XP_039753556.1	HEL_003574-RA
OG0002519	XP_039745501.1	HEL_001659-RA, HEL_001658-RA
OG0002520	XP_039746334.1	HEL_008862-RA
OG0002521	XP_039760819.1	HEL_009265-RA, HEL_009267-RA
OG0002522	XP_039755498.1	HEL_000827-RA
OG0002523	XP_039750825.1	HEL_004345-RA, HEL_004344-RA
OG0002524	XP_039759918.1, XP_039759919.1, XP_039759917.1	HEL_001928-RA
OG0002525	XP_039761818.1	HEL_002752-RA
OG0002526	XP_039751333.1, XP_039751331.1, XP_039751013.1	HEL_007988-RA
OG0002527	XP_039760696.1	HEL_009260-RA
OG0002528	XP_039747709.1	HEL_011349-RA
OG0002529	XP_039759881.1	HEL_001950-RA, HEL_001949-RA
OG0002530	XP_039759741.1	HEL_002592-RA, HEL_002593-RA
OG0002531	XP_039761965.1	HEL_014533-RA, HEL_014534-RA, HEL_014532-RA
OG0002532	XP_039751519.1	HEL_007995-RA, HEL_007996-RA, HEL_007998-RA
OG0002533	XP_039763662.1	HEL_002361-RA
OG0002534	XP_039755335.1	HEL_000842-RA
OG0002535	XP_039763085.1, XP_039759485.1	HEL_006458-RA
OG0002536	XP_039759761.1	HEL_001953-RA
OG0002537	XP_039745798.1	HEL_008838-RA
OG0002538	XP_039755766.1	HEL_000851-RA
OG0002539	XP_039750475.1, XP_039750482.1, XP_039750466.1	HEL_004928-RA
OG0002540	XP_039749404.1	HEL_007807-RA
OG0002541	XP_039763689.1	HEL_012091-RA, HEL_012090-RA
OG0002542	XP_039762685.1	HEL_013964-RA
OG0002543	XP_039746658.1	HEL_009126-RA, HEL_009127-RA
OG0002544	XP_039757572.1	HEL_005108-RA, HEL_005109-RA
OG0002545	XP_039764960.1	HEL_002366-RA
OG0002547	XP_039747234.1	HEL_009137-RA
OG0002548	XP_039754144.1, XP_039754143.1	HEL_009413-RA
OG0002549	XP_039761334.1, XP_039761335.1	HEL_004634-RA
OG0002550	XP_039756531.1	HEL_005791-RA
OG0002551	XP_039751247.1	HEL_008025-RA
OG0002552	XP_039765527.1	HEL_001378-RA
OG0002553	XP_039752502.1	HEL_014403-RA
OG0002554	XP_039748173.1, XP_039748172.1, XP_039748175.1	HEL_000384-RA
OG0002555	XP_039763527.1	HEL_007959-RA
OG0002556	XP_039755480.1	HEL_009796-RA
OG0002557	XP_039765953.1	HEL_001636-RA, HEL_001637-RA
OG0002558	XP_039753138.1, XP_039753128.1	HEL_006716-RA
OG0002559	XP_039763456.1, XP_039763448.1	HEL_002376-RA
OG0002560	XP_039757632.1, XP_039757622.1	HEL_002626-RA
OG0002562	XP_039749991.1, XP_039749992.1	HEL_006190-RA
OG0002563	XP_039760832.1, XP_039760830.1, XP_039760833.1	HEL_009244-RA
OG0002564	XP_039760186.1	HEL_001989-RA
OG0002565	XP_039761929.1, XP_039761928.1	HEL_013702-RA
OG0002566	XP_039756335.1	HEL_005785-RA
OG0002567	XP_039758310.1	HEL_013778-RA, HEL_013779-RA
OG0002568	XP_039757604.1	HEL_005129-RA
OG0002569	XP_039752858.1, XP_039752857.1	HEL_010709-RA
OG0002570	XP_039747228.1	HEL_009159-RA, HEL_009165-RA
OG0002571	XP_039747229.1	HEL_009166-RA
OG0002574	XP_039765646.1	HEL_001630-RA, HEL_001632-RA
OG0002575	XP_039757667.1	HEL_005135-RA
OG0002576	XP_039765199.1, XP_039765200.1	HEL_002395-RA
OG0002577	XP_039751664.1	HEL_007950-RA, HEL_007951-RA
OG0002578	XP_039745818.1, XP_039745817.1	HEL_008819-RA
OG0002579	XP_039762425.1	HEL_013710-RA
OG0002580	XP_039758502.1	HEL_013791-RA
OG0002581	XP_039745509.1	HEL_004907-RA
OG0002582	XP_039748744.1	HEL_013304-RA
OG0002583	XP_039747672.1	HEL_000557-RA
OG0002584	XP_039751561.1	HEL_007937-RA, HEL_007936-RA, HEL_007934-RA
OG0002585	XP_039745320.1, XP_039765563.1, XP_039745477.1	HEL_001617-RA
OG0002586	XP_039759527.1, XP_039759528.1, XP_039759526.1	HEL_006514-RA
OG0002587	XP_039757733.1, XP_039757732.1	HEL_005155-RA, HEL_005147-RA
OG0002588	XP_039764859.1	HEL_002404-RA
OG0002589	XP_039761339.1, XP_039761340.1	HEL_004621-RA
OG0002590	XP_039745190.1	HEL_001615-RA
OG0002592	XP_039753950.1	HEL_009384-RA
OG0002593	XP_039750578.1	HEL_004895-RA
OG0002594	XP_039752931.1, XP_039752929.1, XP_039752930.1	HEL_010726-RA
OG0002595	XP_039747143.1	HEL_009171-RA
OG0002596	XP_039763574.1	HEL_002412-RA
OG0002597	XP_039759963.1	HEL_002003-RA
OG0002598	XP_039747805.1	HEL_000592-RA
OG0002600	XP_039759589.1, XP_039759431.1, XP_039759474.1, XP_039759588.1	HEL_006529-RA
OG0002601	XP_039758141.1, XP_039758140.1	HEL_005172-RA
OG0002602	XP_039747572.1	HEL_000577-RA
OG0002603	XP_039752839.1	HEL_010735-RA
OG0002604	XP_039765807.1	HEL_001604-RA, HEL_001606-RA, HEL_001605-RA
OG0002605	XP_039746612.1	HEL_009177-RA
OG0002607	XP_039761364.1	HEL_004608-RA
OG0002608	XP_039762580.1	HEL_013927-RA
OG0002609	XP_039759403.1	HEL_006533-RA
OG0002610	XP_039755649.1	HEL_001128-RA
OG0002611	XP_039753147.1	HEL_012138-RA
OG0002612	XP_039751769.1, XP_039751770.1	HEL_010050-RA
OG0002614	XP_039752829.1, XP_039752830.1	HEL_012137-RA
OG0002615	XP_039754762.1	HEL_013979-RA
OG0002617	XP_039754586.1	HEL_009374-RA
OG0002618	XP_039760721.1	HEL_009339-RA
OG0002619	XP_039746118.1	HEL_008774-RA
OG0002620	XP_039746749.1, XP_039746750.1, XP_039746751.1	HEL_009185-RA
OG0002621	XP_039760568.1, XP_039760569.1, XP_039760567.1	HEL_011857-RA
OG0002622	XP_039745763.1	HEL_008771-RA
OG0002623	XP_039759683.1	HEL_006546-RA, HEL_006548-RA
OG0002624	XP_039765794.1	HEL_001589-RA
OG0002625	XP_039754938.1	HEL_013975-RA
OG0002626	XP_039759072.1	HEL_006552-RA
OG0002627	XP_039753187.1	HEL_002684-RA
OG0002629	XP_039756030.1, XP_039756027.1, XP_039756028.1	HEL_005742-RA
OG0002630	XP_039759075.1	HEL_009634-RA
OG0002630	XP_039759276.1	HEL_006556-RA
OG0002632	XP_039759424.1	HEL_006557-RA
OG0002633	XP_039762040.1	HEL_002687-RA
OG0002634	XP_039762540.1	HEL_012988-RA
OG0002635	XP_039761350.1	HEL_004664-RA
OG0002636	XP_039764938.1	HEL_002448-RA
OG0002637	XP_039751649.1	HEL_007895-RA
OG0002638	XP_039755105.1	HEL_013973-RA
OG0002639	XP_039751186.1, XP_039751185.1	HEL_007894-RA
OG0002640	XP_039759172.1, XP_039759171.1	HEL_006567-RA
OG0002641	XP_039761357.1	HEL_004665-RA
OG0002642	XP_039763726.1	HEL_009628-RA
OG0002644	XP_039751874.1	HEL_010072-RA
OG0002645	XP_039752950.1	HEL_002905-RA, HEL_002906-RA
OG0002646	XP_039755420.1	HEL_000874-RA
OG0002647	XP_039748217.1, XP_039748216.1	HEL_000344-RA, HEL_000345-RA
OG0002648	XP_039756472.1	HEL_012714-RA
OG0002650	XP_039754587.1	HEL_002898-RA, HEL_002899-RA
OG0002651	XP_039752237.1	HEL_013552-RA
OG0002652	XP_039747850.1	HEL_000616-RA
OG0002653	XP_039765654.1, XP_039765655.1	HEL_001570-RA, HEL_001567-RA
OG0002654	XP_039750659.1	HEL_004286-RA
OG0002655	XP_039765466.1	HEL_001560-RA, HEL_001561-RA, HEL_001563-RA
OG0002656	XP_039757225.1	HEL_008982-RA, HEL_008980-RA, HEL_008979-RA
OG0002657	XP_039757183.1	HEL_008985-RA
OG0002658	XP_039765913.1	HEL_001554-RA, HEL_001555-RA
OG0002659	XP_039758985.1, XP_039758984.1, XP_039758983.1	HEL_006587-RA
OG0002660	XP_039753517.1	HEL_012117-RA
OG0002661	XP_039748209.1	HEL_004837-RA
OG0002662	XP_039745164.1, XP_039745163.1	HEL_001553-RA
OG0002664	XP_039760794.1	HEL_011864-RA, HEL_011863-RA
OG0002666	XP_039755485.1	HEL_000869-RA
OG0002667	XP_039760549.1	HEL_011865-RA
OG0002668	XP_039759925.1	HEL_001855-RA
OG0002669	XP_039753866.1	HEL_007553-RA, HEL_007552-RA
OG0002670	XP_039765206.1	HEL_002482-RA
OG0002671	XP_039749053.1, XP_039749052.1	HEL_010871-RA
OG0002672	XP_039751990.1	HEL_014549-RA
OG0002673	XP_039758287.1	HEL_011557-RA
OG0002674	XP_039761413.1	HEL_002891-RA, HEL_002890-RA
OG0002675	XP_039749371.1, XP_039749373.1	HEL_006154-RA
OG0002676	XP_039752995.1	HEL_002889-RA
OG0002677	XP_039747272.1	HEL_009200-RA
OG0002679	XP_039755589.1	HEL_000863-RA
OG0002681	XP_039751989.1	HEL_009917-RA
OG0002682	XP_039758977.1	HEL_006591-RA, HEL_006590-RA
OG0002683	XP_039760470.1	HEL_011870-RA
OG0002684	XP_039753438.1, XP_039750558.1	HEL_004273-RA
OG0002685	XP_039747848.1	HEL_000633-RA, HEL_000631-RA
OG0002686	XP_039752605.1	HEL_009921-RA, HEL_009922-RA, HEL_003629-RA
OG0002687	XP_039749963.1	HEL_006150-RA
OG0002689	XP_039760224.1	HEL_001852-RA
OG0002690	XP_039748599.1	HEL_010887-RA
OG0002691	XP_039755673.1	HEL_000859-RA
OG0002692	XP_039758116.1	HEL_005221-RA
OG0002693	XP_039763975.1	HEL_002501-RA, HEL_002502-RA
OG0002695	XP_039745784.1	HEL_004821-RA
OG0002696	XP_039748201.1	HEL_000317-RA
OG0002697	XP_039763328.1	HEL_007185-RA
OG0002698	XP_039748732.1	HEL_010889-RA, HEL_010892-RA
OG0002699	XP_039760859.1, XP_039760858.1	HEL_011882-RA
OG0002700	XP_039755570.1	HEL_009808-RA, HEL_009807-RA
OG0002701	XP_039754689.1	HEL_005610-RA, HEL_005611-RA
OG0002703	XP_039763879.1	HEL_013249-RA
OG0002704	XP_039759281.1	HEL_006606-RA, HEL_006605-RA
OG0002705	XP_039761192.1	HEL_004682-RA, HEL_004681-RA, HEL_004683-RA
OG0002706	XP_039761003.1	HEL_004685-RA
OG0002707	XP_039748218.1	HEL_000643-RA, HEL_000642-RA
OG0002709	XP_039752552.1, XP_039752553.1, XP_039752551.1	HEL_009859-RA
OG0002710	XP_039765489.1	HEL_001524-RA, HEL_001522-RA, HEL_001523-RA
OG0002711	XP_039757689.1	HEL_013816-RA, HEL_013818-RA
OG0002715	XP_039754898.1	HEL_005599-RA, HEL_005600-RA
OG0002716	XP_039757179.1, XP_039757177.1, XP_039757178.1	HEL_012478-RA
OG0002717	XP_039754899.1	HEL_005598-RA, HEL_005597-RA
OG0002718	XP_039745296.1	HEL_001517-RA
OG0002719	XP_039762406.1	HEL_004097-RA
OG0002720	XP_039763443.1	HEL_007169-RA
OG0002721	XP_039745288.1	HEL_004778-RA
