Orthogroup	Pararge_aegeria	Vanessa_tameamea
OG0001955	XP_039751696.1	XP_026500179.1
OG0001956	XP_039759788.1	XP_026497557.1
OG0001957	XP_039764701.1, XP_039764699.1	XP_026487428.1
OG0001958	XP_039761034.1, XP_039761033.1, XP_039761032.1	XP_026485757.1
OG0001960	XP_039754432.1	XP_026488367.1
OG0001961	XP_039748222.1	XP_026483817.1
OG0001962	XP_039759079.1	XP_026491750.1
OG0001963	XP_039754909.1	XP_026496346.1, XP_026496347.1
OG0001964	XP_039756842.1, XP_039756841.1	XP_026493811.1
OG0001965	XP_039745487.1	XP_026497607.1
OG0001966	XP_039747621.1	XP_026496100.1, XP_026498368.1
OG0001967	XP_039749600.1	XP_026496838.1, XP_026496837.1
OG0001968	XP_039746169.1	XP_026491286.1
OG0001969	XP_039763336.1	XP_026487412.1, XP_026487413.1
OG0001970	XP_039745651.1, XP_039745652.1, XP_039745649.1	XP_026491285.1
OG0001971	XP_039751023.1	XP_026497656.1
OG0001972	XP_039758989.1	XP_026492016.1
OG0001973	XP_039750592.1	XP_026485329.1
OG0001974	XP_039757318.1, XP_039757317.1, XP_039757319.1	XP_026498006.1
OG0001975	XP_039752681.1, XP_039752680.1	XP_026488987.1, XP_026488988.1
OG0001976	XP_039751394.1	XP_026491825.1
OG0001977	XP_039754215.1	XP_026488230.1
OG0001978	XP_039748037.1	XP_026483738.1
OG0001979	XP_039748146.1	XP_026501252.1
OG0001980	XP_039755961.1, XP_039755962.1	XP_026499109.1
OG0001981	XP_039750072.1, XP_039750064.1	XP_026497642.1
OG0001982	XP_039749206.1	XP_026485890.1
OG0001983	XP_039754630.1	XP_026496400.1
OG0001984	XP_039755590.1	XP_026499096.1
OG0001985	XP_039747193.1, XP_039747192.1, XP_039747194.1	XP_026494913.1
OG0001986	XP_039755510.1	XP_026499085.1, XP_026499086.1, XP_026499084.1, XP_026499083.1
OG0001987	XP_039750846.1	XP_026494467.1, XP_026494466.1
OG0001988	XP_039750159.1	XP_026496803.1
OG0001989	XP_039762342.1	XP_026496058.1, XP_026499761.1
OG0001990	XP_039755664.1, XP_039755665.1	XP_026499073.1, XP_026499072.1
OG0001992	XP_039759796.1	XP_026497272.1, XP_026497273.1
OG0001993	XP_039759667.1	XP_026493902.1
OG0001994	XP_039749550.1, XP_039749549.1	XP_026496884.1
OG0001995	XP_039759228.1	XP_026493629.1
OG0001996	XP_039748047.1	XP_026492560.1, XP_026492559.1
OG0001997	XP_039753563.1, XP_039753562.1	XP_026499674.1
OG0001998	XP_039759604.1	XP_026493640.1, XP_026493656.1
OG0001999	XP_039746125.1	XP_026494423.1
OG0002000	XP_039753740.1	XP_026488253.1
OG0002001	XP_039763779.1	XP_026489514.1
OG0002002	XP_039752796.1	XP_026501360.1, XP_026501359.1
OG0002003	XP_039756877.1, XP_039756876.1	XP_026493959.1, XP_026493958.1
OG0002004	XP_039748725.1	XP_026486177.1
OG0002005	XP_039753963.1	XP_026488250.1
OG0002006	XP_039751353.1	XP_026494623.1
OG0002007	XP_039762210.1, XP_039762209.1	XP_026498295.1
OG0002008	XP_039762010.1	XP_026501045.1
OG0002009	XP_039756728.1, XP_039756726.1	XP_026495666.1, XP_026495667.1
OG0002010	XP_039757864.1	XP_026489663.1
OG0002011	XP_039751110.1	XP_026498694.1
OG0002012	XP_039755970.1	XP_026486947.1
OG0002014	XP_039747601.1	XP_026483645.1
OG0002015	XP_039748071.1	XP_026483255.1
OG0002016	XP_039749419.1, XP_039749420.1	XP_026496643.1, XP_026496644.1, XP_026496645.1
OG0002017	XP_039758784.1, XP_039758782.1, XP_039758783.1	XP_026493069.1
OG0002018	XP_039761131.1	XP_026493045.1
OG0002019	XP_039760520.1	XP_026494539.1
OG0002020	XP_039759974.1	XP_026497507.1
OG0002021	XP_039745041.1	XP_026484463.1, XP_026484464.1, XP_026484462.1
OG0002022	XP_039760571.1, XP_039760570.1, XP_039760572.1	XP_026494516.1
OG0002024	XP_039752903.1	XP_026492260.1
OG0002025	XP_039756456.1, XP_039756454.1, XP_039756455.1	XP_026495957.1, XP_026495955.1
OG0002026	XP_039765497.1	XP_026484358.1
OG0002027	XP_039745843.1	XP_026491176.1
OG0002028	XP_039745756.1, XP_039745758.1, XP_039745757.1	XP_026491085.1, XP_026491086.1
OG0002029	XP_039750919.1	XP_026485504.1
OG0002030	XP_039759253.1, XP_039759252.1	XP_026490948.1, XP_026490940.1
OG0002031	XP_039745073.1	XP_026484889.1
OG0002032	XP_039746870.1	XP_026495224.1, XP_026495223.1
OG0002033	XP_039763912.1, XP_039763919.1, XP_039763904.1	XP_026487589.1
OG0002034	XP_039750888.1, XP_039750889.1	XP_026485588.1, XP_026485589.1
OG0002035	XP_039750155.1	XP_026496895.1
OG0002036	XP_039748752.1, XP_039748743.1, XP_039748734.1	XP_026499974.1
OG0002038	XP_039751612.1, XP_039751611.1	XP_026484512.1, XP_026484520.1
OG0002039	XP_039754218.1	XP_026488366.1
OG0002040	XP_039759203.1	XP_026492540.1
OG0002041	XP_039751488.1	XP_026484474.1
OG0002042	XP_039749519.1	XP_026496982.1
OG0002043	XP_039765815.1	XP_026485020.1
OG0002044	XP_039754529.1, XP_039754520.1	XP_026492685.1
OG0002045	XP_039749913.1	XP_026498141.1
OG0002046	XP_039760105.1	XP_026492693.1
OG0002047	XP_039754278.1	XP_026493765.1
OG0002048	XP_039760368.1	XP_026498592.1, XP_026498591.1
OG0002049	XP_039746547.1	XP_026495236.1
OG0002050	XP_039754048.1, XP_039754040.1	XP_026493662.1
OG0002051	XP_039763094.1, XP_039763093.1	XP_026500619.1, XP_026500618.1
OG0002052	XP_039762791.1	XP_026487629.1, XP_026487631.1
OG0002053	XP_039751359.1	XP_026495298.1
OG0002054	XP_039748759.1	XP_026486297.1
OG0002055	XP_039764716.1	XP_026496523.1
OG0002056	XP_039751041.1, XP_039751429.1	XP_026484790.1
OG0002057	XP_039751200.1, XP_039751201.1	XP_026484704.1
OG0002058	XP_039764788.1	XP_026487641.1, XP_026487640.1
OG0002059	XP_039748367.1, XP_039748365.1, XP_039748366.1	XP_026498291.1, XP_026498292.1, XP_026498293.1
OG0002060	XP_039755158.1	XP_026493658.1
OG0002061	XP_039758128.1	XP_026494240.1, XP_026494241.1
OG0002062	XP_039765616.1, XP_039765614.1, XP_039765615.1	XP_026484958.1, XP_026484957.1
OG0002063	XP_039752434.1, XP_039752433.1	XP_026501344.1, XP_026501345.1
OG0002064	XP_039757061.1	XP_026493896.1
OG0002065	XP_039764921.1	XP_026487703.1
OG0002066	XP_039759607.1	XP_026493110.1
OG0002067	XP_039745724.1	XP_026488551.1
OG0002068	XP_039763422.1	XP_026500534.1
OG0002069	XP_039745777.1, XP_039745778.1	XP_026491583.1
OG0002070	XP_039754422.1	XP_026488490.1
OG0002071	XP_039755450.1	XP_026486786.1
OG0002072	XP_039745892.1	XP_026491788.1
OG0002073	XP_039765703.1	XP_026485017.1
OG0002074	XP_039760490.1, XP_039760489.1	XP_026489600.1, XP_026489599.1
OG0002075	XP_039758512.1, XP_039758513.1	XP_026489539.1, XP_026489540.1
OG0002076	XP_039746346.1, XP_039750549.1, XP_039750550.1, XP_039750551.1	XP_026485386.1
OG0002077	XP_039762993.1	XP_026492567.1, XP_026492561.1, XP_026492568.1, XP_026492563.1
OG0002078	XP_039745824.1	XP_026491598.1
OG0002079	XP_039753139.1	XP_026492262.1
OG0002080	XP_039751947.1	XP_026501301.1
OG0002081	XP_039759200.1, XP_039759201.1	XP_026495442.1
OG0002082	XP_039754711.1, XP_039754710.1	XP_026498659.1
OG0002083	XP_039761488.1	XP_026483954.1
OG0002084	XP_039758935.1, XP_039758936.1	XP_026495475.1, XP_026495476.1
OG0002085	XP_039746470.1	XP_026491652.1
OG0002086	XP_039760114.1	XP_026497464.1
OG0002087	XP_039749470.1	XP_026497006.1
OG0002088	XP_039765878.1	XP_026492022.1
OG0002089	XP_039756163.1	XP_026495937.1, XP_026495936.1
OG0002090	XP_039754345.1	XP_026488289.1, XP_026488460.1
OG0002091	XP_039752101.1, XP_039752099.1, XP_039752100.1, XP_039752098.1	XP_026488938.1
OG0002092	XP_039762006.1	XP_026492549.1, XP_026492543.1, XP_026492550.1, XP_026492553.1
OG0002093	XP_039753827.1	XP_026488486.1
OG0002094	XP_039758222.1, XP_039758223.1	XP_026493546.1, XP_026493547.1
OG0002095	XP_039753197.1	XP_026499657.1, XP_026499656.1
OG0002096	XP_039752066.1, XP_039752064.1	XP_026489023.1
OG0002097	XP_039758347.1	XP_026493429.1
OG0002098	XP_039745845.1	XP_026491564.1, XP_026491563.1
OG0002099	XP_039761358.1	XP_026493689.1, XP_026493691.1, XP_026493690.1
OG0002100	XP_039759652.1, XP_039759653.1	XP_026496511.1
OG0002101	XP_039748964.1, XP_039748901.1	XP_026486138.1
OG0002102	XP_039765867.1	XP_026485012.1
OG0002103	XP_039759256.1	XP_026496476.1, XP_026496477.1
OG0002104	XP_039751502.1	XP_026500061.1
OG0002105	XP_039754154.1	XP_026488392.1
OG0002106	XP_039751504.1	XP_026501106.1
OG0002107	XP_039764863.1, XP_039764864.1	XP_026487418.1
OG0002108	XP_039757763.1	XP_026498912.1
OG0002109	XP_039756986.1	XP_026493923.1
OG0002110	XP_039751944.1	XP_026500066.1
OG0002111	XP_039753007.1, XP_039753014.1, XP_039753022.1	XP_026487859.1, XP_026487858.1
OG0002112	XP_039759411.1	XP_026496509.1
OG0002113	XP_039751494.1	XP_026496662.1
OG0002114	XP_039758342.1	XP_026493329.1
OG0002115	XP_039755327.1	XP_026486872.1
OG0002116	XP_039760030.1	XP_026483179.1, XP_026483178.1, XP_026483180.1
OG0002117	XP_039748695.1	XP_026486044.1
OG0002118	XP_039754128.1, XP_039754126.1, XP_039754084.1	XP_026488390.1
OG0002119	XP_039748852.1	XP_026486022.1
OG0002120	XP_039750014.1	XP_026496735.1
OG0002121	XP_039752554.1	XP_026489029.1, XP_026489028.1
OG0002122	XP_039747044.1, XP_039747045.1	XP_026494871.1
OG0002123	XP_039763688.1	XP_026499996.1, XP_026499527.1
OG0002124	XP_039753019.1	XP_026499833.1, XP_026499832.1, XP_026499834.1
OG0002125	XP_039749634.1	XP_026496779.1
OG0002126	XP_039764838.1	XP_026487446.1
OG0002127	XP_039754591.1	XP_026488501.1
OG0002128	XP_039763175.1	XP_026499283.1
OG0002129	XP_039763317.1	XP_026487552.1
OG0002130	XP_039761559.1, XP_039761558.1, XP_039761560.1	XP_026483975.1, XP_026483974.1
OG0002131	XP_039748108.1, XP_039748120.1, XP_039748128.1	XP_026497720.1, XP_026497730.1, XP_026497729.1
OG0002132	XP_039758568.1	XP_026493317.1
OG0002133	XP_039760631.1	XP_026496560.1
OG0002134	XP_039749594.1	XP_026492838.1
OG0002136	XP_039746314.1, XP_039746315.1	XP_026491171.1
OG0002137	XP_039756978.1	XP_026490301.1, XP_026490302.1
OG0002138	XP_039758697.1, XP_039758698.1	XP_026493236.1
OG0002139	XP_039761721.1, XP_039761725.1, XP_039761724.1, XP_039761723.1	XP_026483926.1
OG0002140	XP_039755639.1	XP_026499117.1
OG0002141	XP_039755678.1	XP_026489210.1
OG0002142	XP_039750177.1	XP_026492815.1, XP_026492816.1, XP_026492814.1, XP_026492813.1
OG0002143	XP_039749822.1	XP_026492825.1
OG0002144	XP_039749820.1, XP_039749821.1, XP_039749819.1	XP_026492823.1, XP_026492822.1
OG0002145	XP_039752510.1	XP_026488073.1, XP_026488074.1
OG0002146	XP_039747171.1, XP_039747172.1	XP_026494978.1
OG0002147	XP_039750923.1	XP_026485623.1
OG0002148	XP_039765919.1	XP_026484506.1
OG0002149	XP_039753815.1	XP_026490820.1
OG0002150	XP_039754283.1	XP_026490834.1
OG0002152	XP_039751192.1	XP_026489517.1
OG0002153	XP_039747409.1, XP_039747401.1, XP_039747391.1	XP_026497805.1
OG0002155	XP_039751845.1	XP_026490771.1
OG0002156	XP_039749082.1	XP_026485997.1
OG0002157	XP_039761503.1	XP_026483959.1
OG0002158	XP_039758959.1	XP_026496490.1
OG0002159	XP_039757339.1	XP_026490310.1, XP_026490272.1
OG0002160	XP_039757340.1	XP_026490255.1
OG0002161	XP_039753644.1, XP_039753645.1, XP_039753643.1	XP_026496087.1, XP_026496086.1
OG0002163	XP_039760077.1, XP_039760085.1, XP_039760093.1	XP_026500053.1, XP_026500052.1
OG0002164	XP_039754155.1	XP_026490802.1
OG0002165	XP_039745242.1	XP_026484695.1, XP_026484694.1, XP_026484696.1
OG0002166	XP_039757006.1	XP_026500025.1
OG0002167	XP_039765181.1	XP_026487660.1
OG0002168	XP_039752868.1, XP_039752869.1	XP_026496077.1
OG0002169	XP_039750562.1	XP_026493022.1
OG0002170	XP_039764141.1	XP_026500638.1
OG0002171	XP_039753279.1	XP_026485222.1
OG0002172	XP_039764865.1	XP_026497795.1
OG0002173	XP_039757310.1	XP_026490259.1, XP_026490260.1, XP_026490261.1, XP_026490262.1
OG0002174	XP_039753972.1	XP_026490930.1
OG0002175	XP_039761529.1	XP_026501735.1
OG0002177	XP_039755410.1	XP_026499916.1
OG0002178	XP_039764588.1	XP_026487505.1
OG0002179	XP_039764593.1, XP_039764592.1	XP_026487493.1
OG0002180	XP_039746722.1	XP_026501654.1
OG0002181	XP_039754361.1	XP_026490794.1, XP_026490817.1
OG0002182	XP_039757231.1, XP_039757232.1, XP_039757230.1	XP_026493922.1
OG0002183	XP_039745858.1	XP_026491090.1, XP_026491089.1
OG0002184	XP_039754578.1	XP_026490856.1
OG0002185	XP_039746140.1	XP_026491702.1
OG0002186	XP_039754193.1	XP_026486999.1
OG0002187	XP_039745846.1	XP_026491388.1
OG0002188	XP_039749965.1	XP_026489197.1
OG0002189	XP_039765303.1	XP_026491996.1
OG0002190	XP_039750275.1	XP_026491923.1
OG0002191	XP_039753407.1, XP_039753408.1	XP_026483231.1
OG0002192	XP_039764052.1	XP_026500675.1
OG0002193	XP_039749424.1, XP_039749423.1	XP_026489124.1, XP_026489125.1
OG0002194	XP_039753190.1	XP_026486494.1
OG0002195	XP_039751782.1	XP_026487140.1, XP_026487139.1
OG0002196	XP_039747127.1	XP_026501530.1
OG0002197	XP_039765907.1, XP_039765906.1	XP_026485056.1
OG0002198	XP_039745322.1	XP_026484479.1
OG0002199	XP_039764532.1	XP_026490490.1
OG0002200	XP_039765315.1, XP_039765313.1, XP_039765312.1	XP_026484497.1
OG0002201	XP_039765316.1	XP_026484517.1, XP_026484516.1
OG0002202	XP_039749976.1	XP_026489155.1, XP_026500030.1
OG0002203	XP_039763719.1, XP_039763720.1	XP_026497209.1, XP_026497203.1
OG0002204	XP_039749267.1	XP_026485830.1
OG0002205	XP_039746242.1	XP_026500424.1
OG0002206	XP_039746366.1, XP_039746365.1	XP_026491380.1
OG0002207	XP_039746246.1	XP_026491364.1
OG0002208	XP_039753854.1	XP_026486650.1, XP_026486651.1
OG0002209	XP_039765974.1	XP_026484453.1
OG0002210	XP_039765333.1	XP_026485052.1
OG0002211	XP_039764704.1	XP_026490544.1, XP_026490542.1, XP_026490543.1, XP_026490540.1
OG0002212	XP_039751922.1	XP_026501312.1
OG0002213	XP_039746083.1	XP_026491543.1
OG0002214	XP_039746149.1	XP_026491064.1
OG0002215	XP_039745498.1	XP_026491947.1
OG0002216	XP_039763767.1, XP_039763766.1, XP_039763765.1	XP_026498353.1, XP_026498343.1
OG0002217	XP_039764694.1	XP_026490513.1
OG0002218	XP_039764763.1	XP_026490498.1
OG0002219	XP_039765824.1, XP_039765833.1	XP_026491969.1
OG0002220	XP_039765979.1	XP_026491891.1
OG0002221	XP_039761198.1	XP_026497073.1, XP_026497072.1
OG0002222	XP_039763702.1	XP_026488794.1
OG0002223	XP_039763548.1	XP_026490426.1
OG0002224	XP_039757656.1	XP_026497064.1
OG0002225	XP_039765680.1	XP_026485104.1
OG0002226	XP_039757782.1	XP_026497162.1
OG0002227	XP_039759999.1	XP_026494733.1
OG0002230	XP_039748528.1	XP_026492009.1
OG0002231	XP_039748429.1	XP_026488767.1
OG0002232	XP_039760371.1	XP_026498086.1
OG0002233	XP_039758442.1	XP_026493190.1
OG0002234	XP_039753397.1, XP_039753394.1, XP_039753398.1, XP_039753395.1, XP_039753396.1	XP_026492165.1
OG0002235	XP_039754141.1, XP_039754139.1	XP_026488428.1
OG0002238	XP_039759360.1, XP_039759359.1, XP_039759362.1, XP_039759361.1	XP_026492479.1, XP_026492470.1, XP_026492463.1
OG0002240	XP_039765352.1, XP_039765351.1	XP_026501113.1
OG0002247	XP_039746322.1	XP_026491546.1
OG0002248	XP_039748106.1	XP_026496151.1
OG0002249	XP_039762933.1	XP_026486524.1, XP_026486525.1
OG0002250	XP_039755256.1	XP_026496247.1
OG0002251	XP_039754011.1	XP_026499016.1
OG0002253	XP_039754884.1	XP_026496251.1
OG0002254	XP_039758755.1, XP_039758757.1, XP_039758754.1	XP_026493398.1
OG0002255	XP_039764436.1	XP_026489247.1
OG0002256	XP_039746474.1	XP_026496916.1
OG0002257	XP_039753384.1	XP_026492137.1
OG0002258	XP_039750528.1, XP_039750529.1	XP_026485654.1, XP_026485655.1
OG0002259	XP_039764827.1	XP_026489304.1
OG0002260	XP_039757776.1	XP_026490982.1
OG0002261	XP_039762056.1	XP_026486769.1
OG0002262	XP_039762141.1	XP_026498530.1
OG0002263	XP_039761013.1	XP_026486170.1
OG0002264	XP_039754216.1	XP_026499012.1
OG0002265	XP_039760265.1	XP_026497421.1
OG0002266	XP_039752030.1	XP_026483391.1
OG0002267	XP_039756319.1	XP_026487100.1
OG0002268	XP_039753504.1	XP_026492118.1, XP_026492117.1
OG0002269	XP_039759491.1	XP_026494030.1
OG0002270	XP_039760764.1	XP_026492418.1
OG0002271	XP_039765843.1	XP_026501210.1
OG0002272	XP_039749565.1	XP_026496164.1
OG0002273	XP_039763006.1, XP_039763007.1	XP_026483106.1
OG0002274	XP_039751499.1	XP_026500922.1
OG0002275	XP_039749208.1	XP_026485242.1, XP_026498412.1
OG0002276	XP_039752835.1, XP_039752836.1	XP_026492318.1
OG0002277	XP_039752018.1	XP_026483386.1
OG0002278	XP_039760932.1	XP_026492882.1
OG0002279	XP_039754176.1	XP_026499031.1
OG0002280	XP_039753949.1	XP_026499008.1
OG0002281	XP_039754437.1, XP_039754436.1	XP_026499009.1
OG0002282	XP_039746305.1	XP_026485258.1
OG0002283	XP_039762265.1	XP_026496447.1
OG0002284	XP_039754434.1	XP_026498958.1
OG0002286	XP_039757083.1	XP_026495486.1
OG0002287	XP_039761091.1	XP_026485660.1
OG0002288	XP_039751598.1	XP_026500921.1
OG0002289	XP_039761595.1, XP_039761596.1	XP_026483888.1
OG0002290	XP_039763858.1	XP_026500296.1
OG0002291	XP_039755559.1	XP_026487287.1
OG0002292	XP_039759729.1	XP_026497422.1
OG0002293	XP_039764878.1, XP_039764879.1	XP_026489331.1, XP_026489332.1
OG0002294	XP_039746948.1	XP_026485256.1
OG0002295	XP_039762148.1	XP_026483603.1
OG0002296	XP_039746295.1	XP_026491039.1
OG0002297	XP_039753347.1	XP_026487013.1
OG0002298	XP_039760381.1, XP_039760380.1	XP_026499449.1
OG0002299	XP_039760743.1	XP_026499437.1
OG0002300	XP_039765581.1	XP_026501221.1
OG0002301	XP_039762925.1, XP_039762924.1	XP_026483162.1
OG0002302	XP_039762919.1	XP_026494077.1, XP_026494081.1
OG0002303	XP_039762175.1	XP_026500932.1
OG0002304	XP_039762504.1	XP_026483166.1
OG0002305	XP_039763488.1	XP_026500490.1
OG0002306	XP_039746134.1	XP_026491144.1
OG0002307	XP_039746130.1, XP_039763099.1, XP_039763937.1	XP_026491145.1
OG0002308	XP_039749103.1	XP_026490026.1
OG0002309	XP_039757070.1	XP_026493884.1
OG0002310	XP_039752302.1, XP_039752303.1	XP_026483472.1
OG0002311	XP_039762589.1	XP_026483069.1
OG0002312	XP_039761209.1	XP_026501820.1, XP_026501821.1
OG0002313	XP_039760870.1	XP_026499435.1, XP_026499434.1
OG0002314	XP_039753530.1	XP_026492207.1
OG0002315	XP_039747727.1	XP_026490366.1
OG0002316	XP_039746934.1	XP_026489860.1
OG0002317	XP_039762505.1	XP_026483118.1
OG0002318	XP_039759983.1, XP_039759984.1	XP_026500153.1
OG0002319	XP_039758361.1	XP_026493141.1
OG0002320	XP_039751537.1	XP_026492301.1, XP_026492288.1, XP_026492230.1, XP_026489001.1
OG0002321	XP_039759220.1	XP_026495220.1, XP_026495228.1, XP_026495211.1
OG0002322	XP_039759414.1, XP_039759413.1	XP_026495191.1
OG0002323	XP_039760073.1	XP_026500254.1
OG0002324	XP_039748538.1	XP_026490065.1, XP_026490066.1
OG0002325	XP_039762786.1	XP_026483099.1
OG0002326	XP_039761815.1	XP_026483938.1
OG0002327	XP_039748536.1	XP_026490043.1
OG0002328	XP_039752059.1	XP_026483337.1
OG0002329	XP_039760137.1, XP_039760138.1	XP_026500222.1
OG0002330	XP_039751817.1, XP_039751818.1	XP_026483334.1
OG0002333	XP_039756066.1, XP_039756065.1	XP_026500968.1, XP_026500967.1
OG0002334	XP_039761592.1	XP_026484180.1
OG0002335	XP_039754116.1	XP_026487058.1
OG0002336	XP_039752015.1	XP_026483596.1
OG0002337	XP_039749914.1	XP_026496905.1
OG0002338	XP_039751662.1	XP_026489738.1
OG0002339	XP_039759260.1, XP_039759251.1	XP_026487035.1, XP_026487034.1
OG0002340	XP_039746230.1	XP_026491253.1, XP_026491254.1
OG0002341	XP_039759946.1	XP_026500134.1
OG0002342	XP_039761979.1	XP_026494108.1, XP_026494107.1, XP_026494099.1, XP_026494100.1
OG0002343	XP_039750970.1	XP_026500362.1
OG0002344	XP_039760511.1, XP_039760510.1	XP_026498827.1
OG0002346	XP_039757563.1	XP_026494275.1
OG0002347	XP_039764689.1	XP_026489324.1
OG0002348	XP_039761237.1	XP_026492921.1
OG0002349	XP_039764722.1, XP_039764731.1	XP_026483221.1
OG0002350	XP_039757815.1, XP_039757817.1	XP_026500944.1
OG0002351	XP_039762195.1	XP_026500009.1
OG0002352	XP_039760689.1	XP_026498808.1
OG0002353	XP_039762346.1	XP_026490696.1
OG0002354	XP_039764038.1	XP_026500480.1
OG0002355	XP_039754765.1	XP_026496304.1, XP_026496303.1
OG0002356	XP_039762868.1	XP_026500070.1
OG0002357	XP_039762706.1	XP_026498217.1
OG0002358	XP_039749888.1	XP_026484247.1
OG0002359	XP_039754868.1	XP_026497884.1
OG0002360	XP_039761847.1	XP_026499513.1
OG0002361	XP_039752398.1	XP_026498081.1
OG0002362	XP_039747801.1	XP_026490217.1
OG0002363	XP_039757270.1	XP_026492965.1
OG0002364	XP_039760005.1, XP_039760004.1	XP_026500156.1
OG0002365	XP_039762693.1	XP_026498216.1
OG0002366	XP_039758731.1	XP_026493403.1, XP_026498223.1
OG0002367	XP_039747218.1	XP_026489999.1
OG0002368	XP_039749722.1, XP_039749723.1	XP_026484281.1, XP_026484282.1, XP_026484283.1
OG0002369	XP_039748348.1	XP_026488752.1
OG0002371	XP_039748360.1	XP_026496147.1
OG0002372	XP_039757103.1	XP_026492940.1
OG0002373	XP_039746902.1, XP_039746904.1	XP_026489978.1
OG0002374	XP_039757071.1	XP_026492939.1
OG0002375	XP_039759672.1	XP_026495453.1
OG0002376	XP_039746786.1	XP_026489974.1
OG0002377	XP_039752809.1	XP_026483529.1
OG0002378	XP_039761035.1	XP_026486602.1
OG0002379	XP_039751960.1	XP_026483518.1
OG0002380	XP_039761018.1	XP_026486739.1, XP_026486740.1
OG0002381	XP_039760963.1	XP_026486716.1
OG0002382	XP_039756749.1	XP_026495808.1
OG0002383	XP_039765904.1	XP_026501110.1, XP_026501111.1
OG0002384	XP_039761968.1, XP_039761977.1	XP_026498103.1, XP_026498104.1
OG0002385	XP_039756409.1	XP_026495518.1
OG0002386	XP_039752840.1	XP_026492206.1
OG0002387	XP_039755474.1	XP_026488876.1
OG0002388	XP_039745474.1	XP_026501158.1
OG0002389	XP_039752253.1	XP_026483513.1
OG0002390	XP_039764631.1	XP_026489346.1
OG0002391	XP_039758987.1	XP_026498096.1, XP_026498097.1, XP_026498098.1
OG0002392	XP_039757892.1	XP_026489616.1
OG0002393	XP_039752924.1, XP_039752926.1	XP_026492381.1
OG0002394	XP_039757389.1	XP_026492968.1
OG0002395	XP_039755430.1	XP_026488839.1
OG0002396	XP_039758112.1	XP_026489730.1, XP_026489731.1, XP_026489732.1, XP_026489729.1
OG0002397	XP_039746241.1	XP_026500051.1, XP_026491773.1
OG0002398	XP_039749639.1	XP_026484300.1
OG0002399	XP_039760582.1	XP_026490235.1
OG0002400	XP_039748464.1	XP_026490173.1
OG0002401	XP_039759092.1	XP_026494179.1
OG0002402	XP_039762190.1, XP_039762189.1, XP_039762192.1	XP_026490705.1
OG0002403	XP_039763486.1, XP_039763487.1	XP_026500470.1
OG0002404	XP_039753153.1	XP_026492292.1
OG0002405	XP_039747956.1, XP_039747957.1	XP_026490652.1
OG0002406	XP_039763986.1	XP_026500450.1, XP_026500451.1
OG0002407	XP_039760665.1	XP_026498836.1
OG0002408	XP_039747769.1	XP_026490657.1
OG0002409	XP_039759037.1	XP_026494188.1
OG0002410	XP_039746468.1	XP_026491167.1
OG0002411	XP_039757696.1	XP_026489645.1
OG0002412	XP_039763501.1	XP_026500519.1, XP_026500520.1
OG0002413	XP_039757770.1	XP_026489617.1
OG0002414	XP_039745221.1, XP_039745220.1	XP_026501125.1, XP_026501124.1, XP_026501123.1
OG0002415	XP_039757741.1, XP_039757801.1	XP_026489710.1
OG0002416	XP_039760484.1	XP_026492492.1
OG0002417	XP_039757796.1	XP_026489711.1
OG0002418	XP_039762766.1	XP_026490680.1
OG0002419	XP_039747122.1	XP_026483291.1
OG0002420	XP_039748423.1	XP_026497244.1
OG0002421	XP_039751497.1	XP_026500911.1, XP_026500832.1
OG0002422	XP_039764461.1	XP_026487771.1
OG0002423	XP_039745122.1	XP_026501129.1
OG0002424	XP_039747559.1	XP_026497241.1
OG0002425	XP_039762003.1	XP_026494126.1
OG0002426	XP_039761895.1, XP_039761901.1	XP_026486618.1
OG0002427	XP_039756230.1	XP_026495534.1
OG0002428	XP_039751215.1	XP_026501585.1, XP_026501575.1, XP_026501565.1
OG0002429	XP_039759852.1	XP_026500085.1
OG0002430	XP_039756660.1	XP_026486590.1
OG0002431	XP_039757840.1	XP_026486589.1
OG0002432	XP_039763005.1	XP_026496053.1
OG0002433	XP_039747014.1	XP_026489987.1
OG0002434	XP_039757708.1, XP_039757707.1	XP_026494205.1
OG0002435	XP_039760635.1	XP_026498819.1
OG0002436	XP_039750967.1	XP_026498507.1
OG0002437	XP_039745484.1	XP_026484807.1
OG0002438	XP_039752632.1, XP_039752633.1	XP_026483405.1
OG0002439	XP_039752425.1	XP_026483417.1
OG0002440	XP_039748006.1	XP_026488754.1
OG0002441	XP_039752771.1	XP_026483383.1
OG0002442	XP_039748116.1	XP_026490337.1, XP_026490338.1, XP_026490336.1
OG0002443	XP_039750057.1	XP_026484273.1
OG0002444	XP_039750326.1	XP_026498480.1, XP_026498481.1
OG0002445	XP_039762839.1	XP_026484206.1
OG0002446	XP_039752616.1	XP_026483419.1
OG0002447	XP_039761077.1	XP_026492906.1, XP_026492907.1
OG0002448	XP_039750724.1	XP_026498491.1
OG0002449	XP_039760169.1	XP_026500252.1, XP_026500253.1
OG0002450	XP_039759493.1, XP_039759494.1	XP_026492612.1, XP_026492619.1
OG0002451	XP_039760106.1	XP_026500226.1
OG0002452	XP_039753285.1	XP_026486621.1
OG0002453	XP_039748212.1	XP_026490637.1
OG0002454	XP_039745511.1, XP_039761872.1	XP_026500928.1
OG0002455	XP_039745613.1	XP_026491082.1
OG0002456	XP_039762215.1	XP_026498743.1, XP_026486518.1
