Orthogroup	Pararge_aegeria	Heliconius_melpomene_melpomene
OG0001411	XP_039753955.1	HMEL032872g1.t1
OG0001412	XP_039756667.1	HMEL015054g1.t1
OG0001413	XP_039751578.1	HMEL005064g1.t1, HMEL008596g1.t1
OG0001415	XP_039748916.1, XP_039748913.1	HMEL031826g1.t1
OG0001416	XP_039762472.1	HMEL037192g1.t1
OG0001417	XP_039759248.1	HMEL032477g1.t1
OG0001418	XP_039752660.1, XP_039752677.1, XP_039752651.1, XP_039752668.1	HMEL014142g1.t1
OG0001419	XP_039760343.1, XP_039760355.1, XP_039760337.1, XP_039760348.1	HMEL030737g1.t1
OG0001420	XP_039765082.1, XP_039765081.1	HMEL017215g1.t1
OG0001421	XP_039759878.1	HMEL014898g1.t1
OG0001422	XP_039748075.1	HMEL020501g1.t1, HMEL032224g1.t1
OG0001423	XP_039750623.1	HMEL025049-RA
OG0001424	XP_039763105.1, XP_039763106.1	HMEL012199g1.t1
OG0001427	XP_039751573.1, XP_039751570.1, XP_039751571.1, XP_039751572.1	HMEL034838g1.t1
OG0001428	XP_039763658.1, XP_039763659.1, XP_039763657.1	HMEL010553g1.t1
OG0001430	XP_039760154.1	HMEL014632g1.t1
OG0001432	XP_039763710.1	HMEL012734g1.t1, HMEL012221g1.t1
OG0001433	XP_039747168.1	HMEL017163-RA
OG0001434	XP_039759142.1	HMEL032488g1.t1
OG0001435	XP_039747067.1, XP_039747066.1	HMEL003817g1.t1, HMEL004985g1.t1
OG0001436	XP_039747959.1	HMEL037395g1.t1
OG0001437	XP_039751175.1, XP_039751176.1	HMEL008753g1.t1
OG0001438	XP_039746690.1, XP_039747307.1	HMEL035164g1.t1
OG0001439	XP_039748591.1	HMEL005738g1.t1
OG0001440	XP_039757669.1	HMEL008593g1.t1
OG0001441	XP_039754472.1, XP_039754473.1	HMEL008703g1.t1
OG0001442	XP_039753712.1	HMEL011914g1.t1
OG0001443	XP_039759440.1	HMEL008542g1.t1
OG0001445	XP_039762254.1, XP_039762235.1, XP_039762236.1	HMEL013447g1.t1
OG0001446	XP_039755714.1	HMEL017847g1.t1
OG0001447	XP_039748741.1	HMEL005406g1.t1
OG0001448	XP_039759872.1, XP_039759873.1, XP_039759871.1	HMEL015712g1.t1
OG0001449	XP_039751646.1	HMEL003260g1.t1
OG0001450	XP_039759024.1	HMEL032514g1.t1
OG0001451	XP_039754035.1	HMEL008707g1.t1
OG0001452	XP_039759586.1	HMEL032521g1.t1
OG0001453	XP_039762310.1, XP_039761905.1	HMEL034143g1.t1
OG0001454	XP_039759817.1, XP_039759818.1	HMEL006651g1.t1
OG0001455	XP_039745573.1	HMEL033872g1.t1
OG0001456	XP_039755344.1	HMEL013679g1.t1
OG0001457	XP_039765366.1	HMEL006548g1.t1
OG0001458	XP_039755440.1, XP_039755441.1	HMEL022148g1.t1
OG0001459	XP_039755540.1, XP_039755539.1	HMEL037574g1.t1
OG0001460	XP_039764221.1, XP_039763384.1	HMEL002157g1.t1
OG0001461	XP_039762603.1, XP_039762606.1, XP_039762605.1, XP_039762604.1	HMEL008842g1.t1
OG0001462	XP_039751086.1	HMEL004290g1.t1
OG0001463	XP_039756040.1	HMEL003422g1.t1
OG0001464	XP_039746907.1, XP_039746906.1	HMEL012285g1.t1
OG0001465	XP_039756056.1	HMEL003427g1.t1
OG0001466	XP_039762168.1, XP_039762174.1	HMEL030790g1.t1
OG0001467	XP_039747645.1	HMEL037412g1.t1
OG0001468	XP_039747779.1	HMEL032190g1.t1
OG0001469	XP_039756746.1	HMEL008349g1.t1
OG0001470	XP_039755908.1	HMEL009954g1.t1, HMEL005591g1.t1
OG0001472	XP_039751368.1, XP_039751369.1, XP_039751367.1	HMEL008055g1.t1
OG0001473	XP_039762035.1	HMEL004569g1.t1
OG0001474	XP_039748159.1, XP_039748160.1, XP_039748158.1	HMEL009339g1.t1
OG0001475	XP_039748208.1	HMEL003053g1.t1
OG0001476	XP_039747643.1, XP_039747642.1	HMEL009340g1.t1
OG0001477	XP_039747591.1	HMEL032186g1.t1, HMEL012582g1.t1, HMEL032185g1.t1
OG0001478	XP_039749155.1	HMEL031892g1.t1
OG0001479	XP_039752980.1, XP_039752971.1	HMEL006707g1.t1
OG0001480	XP_039756470.1	HMEL036724g1.t1
OG0001481	XP_039757783.1	HMEL037917g1.t1, HMEL037918g1.t1
OG0001482	XP_039750565.1	HMEL007963g1.t1
OG0001483	XP_039745039.1	HMEL031152g1.t1
OG0001484	XP_039756760.1	HMEL009872g1.t1
OG0001485	XP_039749054.1	HMEL002517g1.t1
OG0001486	XP_039750280.1	HMEL036085g1.t1
OG0001487	XP_039751182.1, XP_039751645.1	HMEL012051g1.t1
OG0001488	XP_039760557.1, XP_039760554.1, XP_039760553.1, XP_039760552.1	HMEL013180g1.t1
OG0001489	XP_039746201.1, XP_039750312.1	HMEL007510g1.t1
OG0001490	XP_039760957.1, XP_039760956.1	HMEL034496g1.t1
OG0001491	XP_039755780.1	HMEL005299g1.t1
OG0001491	XP_039746829.1	HMEL014064g1.t1
OG0001492	XP_039763807.1, XP_039763806.1, XP_039763805.1	HMEL012851g1.t1
OG0001494	XP_039747924.1	HMEL032144g1.t1
OG0001495	XP_039760300.1	HMEL013609g1.t1
OG0001496	XP_039762038.1, XP_039762039.1	HMEL014221g1.t1
OG0001497	XP_039747625.1	HMEL011823g1.t1
OG0001498	XP_039755271.1	HMEL037702g1.t1
OG0001499	XP_039757438.1	HMEL038091g1.t1
OG0001500	XP_039758714.1	HMEL022328g1.t1, HMEL016306g1.t1
OG0001502	XP_039753113.1	HMEL012673g1.t1
OG0001503	XP_039752222.1	HMEL008312g1.t1
OG0001504	XP_039747615.1	HMEL013747g1.t1
OG0001505	XP_039757966.1, XP_039757980.1, XP_039757972.1	HMEL006947g1.t1
OG0001506	XP_039758152.1	HMEL038105g1.t1, HMEL021832g1.t1
OG0001507	XP_039759792.1, XP_039759793.1, XP_039759794.1	HMEL012974g1.t1
OG0001508	XP_039749107.1, XP_039749108.1	HMEL007006g1.t1
OG0001509	XP_039757386.1	HMEL006950g1.t1
OG0001511	XP_039759240.1, XP_039759233.1	HMEL006952g1.t1
OG0001512	XP_039754261.1	HMEL005396g1.t1
OG0001513	XP_039760662.1	HMEL016898g1.t1
OG0001514	XP_039755054.1	HMEL006491g1.t1
OG0001515	XP_039754948.1	HMEL013345g1.t1
OG0001516	XP_039755265.1, XP_039755264.1	HMEL016503g1.t1
OG0001518	XP_039749225.1	HMEL016921g1.t1
OG0001519	XP_039755029.1	HMEL010966g1.t1
OG0001520	XP_039752217.1	HMEL010501g1.t1
OG0001521	XP_039752572.1, XP_039751967.1, XP_039752372.1	HMEL010499g1.t1
OG0001522	XP_039764189.1	HMEL011639g1.t1
OG0001523	XP_039753871.1, XP_039753880.1	HMEL030831g1.t1
OG0001524	XP_039757758.1	HMEL038009g1.t1
OG0001525	XP_039749832.1	HMEL037021g1.t1
OG0001526	XP_039758402.1, XP_039758403.1	HMEL005553-RA
OG0001528	XP_039749086.1	HMEL009102g1.t1, HMEL021756g1.t1, HMEL032000g1.t1
OG0001529	XP_039759892.1, XP_039759891.1	HMEL018069g1.t1
OG0001531	XP_039761092.1	HMEL034512g1.t1
OG0001532	XP_039752483.1, XP_039752484.1	HMEL006869g1.t1
OG0001533	XP_039764069.1	HMEL005226g1.t1, HMEL035035g1.t1, HMEL036595g1.t1, HMEL031211g1.t1, HMEL007277g1.t1
OG0001534	XP_039756920.1	HMEL006579g1.t1
OG0001535	XP_039760193.1	HMEL013314g1.t1
OG0001536	XP_039751482.1	HMEL008272g1.t1
OG0001537	XP_039750272.1	HMEL037456g1.t1
OG0001537	XP_039763556.1	HMEL007281g1.t1
OG0001538	XP_039748989.1	HMEL031995g1.t1
OG0001539	XP_039765800.1	HMEL015171g1.t1
OG0001540	XP_039745692.1	HMEL016677g1.t1
OG0001542	XP_039760399.1, XP_039760594.1	HMEL013122g1.t1
OG0001543	XP_039752123.1	HMEL006852g1.t1
OG0001544	XP_039754257.1, XP_039754256.1, XP_039754258.1	HMEL004553g1.t1
OG0001546	XP_039755564.1	HMEL037654g1.t1, HMEL026005g1.t1
OG0001547	XP_039760657.1	HMEL013125g1.t1
OG0001548	XP_039749487.1	HMEL017106g1.t1
OG0001549	XP_039748777.1	HMEL017139g1.t1, HMEL017140g1.t1
OG0001550	XP_039764135.1, XP_039764133.1, XP_039764132.1	HMEL008814g1.t1
OG0001551	XP_039757810.1	HMEL004996g1.t1
OG0001552	XP_039765681.1	HMEL015141g1.t1
OG0001553	XP_039752172.1, XP_039752173.1	HMEL009421g1.t1
OG0001554	XP_039759155.1	HMEL005016g1.t1
OG0001555	XP_039764590.1, XP_039764589.1, XP_039764591.1	HMEL006816g1.t1
OG0001556	XP_039765115.1, XP_039765114.1, XP_039765113.1	HMEL006808g1.t1
OG0001557	XP_039752955.1	HMEL031578g1.t1
OG0001558	XP_039759940.1, XP_039759941.1, XP_039759939.1, XP_039759942.1	HMEL007616g1.t1
OG0001559	XP_039753039.1, XP_039753034.1	HMEL017564g1.t1
OG0001560	XP_039755309.1	HMEL037679g1.t1
OG0001561	XP_039746747.1	HMEL012293g1.t1
OG0001563	XP_039756185.1	HMEL011363g1.t1
OG0001564	XP_039748058.1	HMEL005447g1.t1
OG0001565	XP_039758569.1	HMEL008155g1.t1, HMEL035719g1.t1, HMEL031255g1.t1, HMEL017808g1.t1
OG0001566	XP_039752429.1, XP_039752426.1, XP_039752428.1	HMEL015459g1.t1
OG0001567	XP_039750485.1, XP_039750483.1, XP_039750484.1	HMEL014556g1.t1
OG0001568	XP_039757390.1	HMEL006080g1.t1
OG0001569	XP_039755486.1	HMEL015765g1.t1
OG0001570	XP_039750961.1, XP_039750960.1	HMEL036038g1.t1
OG0001572	XP_039748790.1, XP_039748788.1	HMEL031983g1.t1
OG0001573	XP_039747538.1	HMEL032085g1.t1
OG0001574	XP_039746777.1	HMEL007698g1.t1
OG0001575	XP_039759947.1	HMEL004647g1.t1
OG0001576	XP_039754559.1	HMEL032738g1.t1
OG0001577	XP_039765716.1	HMEL031107g1.t1
OG0001578	XP_039755377.1	HMEL030889g1.t1
OG0001579	XP_039765723.1, XP_039765722.1	HMEL003344-RA
OG0001580	XP_039758699.1	HMEL009715g1.t1
OG0001581	XP_039765478.1	HMEL015180g1.t1
OG0001582	XP_039765781.1	HMEL031064g1.t1
OG0001583	XP_039761620.1	HMEL014990g1.t1
OG0001584	XP_039745361.1	HMEL015185g1.t1
OG0001585	XP_039763348.1	HMEL012101g1.t1
OG0001586	XP_039761614.1, XP_039761615.1, XP_039761616.1, XP_039761617.1	HMEL014998g1.t1
OG0001587	XP_039758938.1, XP_039758939.1	HMEL006750g1.t1, HMEL006749g1.t1
OG0001588	XP_039758799.1	HMEL003677g1.t1
OG0001589	XP_039756425.1	HMEL036820g1.t1
OG0001590	XP_039752580.1, XP_039752608.1	HMEL002125g1.t1
OG0001591	XP_039757047.1	HMEL017468g1.t1
OG0001592	XP_039750463.1	HMEL036027g1.t1
OG0001593	XP_039752613.1	HMEL015947g1.t1
OG0001594	XP_039748597.1	HMEL007749g1.t1
OG0001595	XP_039757987.1, XP_039757984.1, XP_039757985.1, XP_039757986.1	HMEL010115g1.t1
OG0001596	XP_039755687.1	HMEL037603g1.t1
OG0001596	XP_039755684.1	HMEL037602g1.t1
OG0001597	XP_039765053.1	HMEL011387g1.t1
OG0001598	XP_039754452.1	HMEL009428g1.t1
OG0001599	XP_039761439.1	HMEL015929g1.t1, HMEL035874g1.t1, HMEL037288g1.t1, HMEL035634g1.t1, HMEL030834g1.t1, HMEL021207g1.t1
OG0001600	XP_039764307.1, XP_039763087.1, XP_039764328.1, XP_039752854.1	HMEL003438g1.t1
OG0001601	XP_039749451.1, XP_039749452.1	HMEL004766g1.t1
OG0001602	XP_039758235.1, XP_039758236.1	HMEL017425g1.t1
OG0001603	XP_039752017.1	HMEL010618g1.t1
OG0001604	XP_039752128.1, XP_039752130.1, XP_039752131.1	HMEL014373g1.t1
OG0001605	XP_039751954.1	HMEL015465g1.t1
OG0001605	XP_039752195.1	HMEL033343g1.t1
OG0001607	XP_039765861.1, XP_039765559.1	HMEL015290g1.t1
OG0001608	XP_039755545.1	HMEL037712g1.t1
OG0001609	XP_039761575.1	HMEL030026g1.t1
OG0001611	XP_039749959.1, XP_039749960.1	HMEL015997g1.t1
OG0001612	XP_039754096.1	HMEL000061g1.t1
OG0001613	XP_039754356.1	HMEL000056g1.t1
OG0001614	XP_039761581.1	HMEL003784g1.t1
OG0001615	XP_039748653.1	HMEL010621g1.t1
OG0001616	XP_039756696.1	HMEL020101g1.t1, HMEL036871g1.t1
OG0001617	XP_039749569.1	HMEL037119g1.t1
OG0001618	XP_039749573.1, XP_039749572.1	HMEL037120g1.t1
OG0001619	XP_039751498.1	HMEL003013g1.t1, HMEL006294g1.t1, HMEL016620g1.t1
OG0001620	XP_039756794.1	HMEL014313g1.t1
OG0001621	XP_039752948.1	HMEL003531g1.t1
OG0001622	XP_039758579.1, XP_039758581.1	HMEL036356g1.t1
OG0001623	XP_039745442.1	HMEL015222g1.t1
OG0001625	XP_039750595.1	HMEL035985g1.t1, HMEL035986g1.t1
OG0001626	XP_039763113.1	HMEL006157g1.t1
OG0001627	XP_039751062.1	HMEL002683g1.t1
OG0001629	XP_039755588.1	HMEL009180g1.t1
OG0001630	XP_039753835.1, XP_039753836.1	HMEL002017g1.t1, HMEL032674g1.t1
OG0001631	XP_039753824.1	HMEL009186g1.t1
OG0001632	XP_039746478.1, XP_039746496.1, XP_039746487.1, XP_039746513.1, XP_039746505.1	HMEL003126g1.t1
OG0001634	XP_039751214.1	HMEL002697g1.t1
OG0001635	XP_039753684.1	HMEL012324g1.t1, HMEL014796g1.t1
OG0001637	XP_039749966.1	HMEL017754-RA
OG0001638	XP_039751932.1	HMEL013281g1.t1, HMEL033388g1.t1
OG0001640	XP_039749969.1, XP_039749970.1	HMEL037155g1.t1
OG0001641	XP_039752595.1	HMEL013273g1.t1
OG0001642	XP_039751879.1, XP_039751880.1	HMEL013264g1.t1
OG0001643	XP_039745253.1, XP_039745252.1, XP_039745251.1, XP_039745254.1	HMEL031002g1.t1
OG0001644	XP_039763781.1, XP_039763782.1, XP_039763783.1	HMEL017948g1.t1
OG0001645	XP_039764940.1, XP_039764950.1, XP_039764928.1, XP_039764918.1	HMEL017359g1.t1
OG0001648	XP_039752542.1	HMEL030593g1.t1, HMEL030591g1.t1
OG0001649	XP_039745589.1	HMEL007097g1.t1
OG0001650	XP_039765029.1	HMEL033123g1.t1
OG0001651	XP_039751919.1	HMEL013258g1.t1
OG0001652	XP_039764413.1	HMEL013261g1.t1
OG0001653	XP_039746980.1	HMEL006882g1.t1, HMEL021508g1.t1
OG0001656	XP_039745395.1	HMEL007516g1.t1
OG0001659	XP_039755619.1, XP_039755618.1	HMEL013941g1.t1
OG0001660	XP_039751979.1, XP_039751978.1	HMEL006855g1.t1
OG0001662	XP_039748898.1	HMEL014508g1.t1
OG0001670	XP_039752328.1	HMEL015026g1.t1
OG0001672	XP_039750874.1	HMEL004018g1.t1
OG0001673	XP_039750977.1	HMEL016816g1.t1
OG0001674	XP_039748470.1, XP_039748469.1	HMEL011251g1.t1
OG0001675	XP_039757112.1, XP_039757113.1	HMEL033641g1.t1
OG0001676	XP_039760651.1	HMEL006197g1.t1
OG0001677	XP_039760334.1	HMEL009488g1.t1
OG0001678	XP_039765920.1	HMEL015080g1.t1
OG0001680	XP_039756447.1	HMEL010289g1.t1
OG0001681	XP_039762345.1, XP_039762343.1, XP_039762344.1, XP_039761455.1	HMEL013221g1.t1
OG0001682	XP_039758468.1, XP_039758467.1	HMEL036377g1.t1
OG0001683	XP_039750302.1, XP_039750303.1, XP_039750304.1	HMEL008376g1.t1
OG0001684	XP_039750695.1, XP_039750693.1	HMEL008377g1.t1
OG0001685	XP_039761780.1, XP_039761781.1	HMEL014531g1.t1
OG0001686	XP_039760792.1	HMEL006188-RA
OG0001687	XP_039750239.1, XP_039750238.1	HMEL008375g1.t1
OG0001688	XP_039758774.1, XP_039758773.1	HMEL014602g1.t1, HMEL036376g1.t1
OG0001689	XP_039762773.1	HMEL010809g1.t1
OG0001690	XP_039758088.1	HMEL007410g1.t1
OG0001691	XP_039751825.1	HMEL004470g1.t1
OG0001692	XP_039752165.1, XP_039752166.1	HMEL012787g1.t1
OG0001693	XP_039760126.1, XP_039760125.1	HMEL003868g1.t1
OG0001694	XP_039761835.1	HMEL036695g1.t1
OG0001695	XP_039753720.1, XP_039753443.1	HMEL022656g1.t1
OG0001696	XP_039759693.1	HMEL017653g1.t1
OG0001697	XP_039754513.1, XP_039754514.1	HMEL007829g1.t1
OG0001698	XP_039745999.1, XP_039745998.1, XP_039745996.1, XP_039745997.1	HMEL034009g1.t1
OG0001699	XP_039745952.1, XP_039745950.1	HMEL034007g1.t1
OG0001700	XP_039762325.1	HMEL013466g1.t1, HMEL002734g1.t1
OG0001701	XP_039747919.1	HMEL016388g1.t1
OG0001702	XP_039752381.1, XP_039752383.1, XP_039752382.1	HMEL004472g1.t1
OG0001703	XP_039763276.1, XP_039763275.1	HMEL009821g1.t1, HMEL033426g1.t1
OG0001704	XP_039762961.1	HMEL022523g1.t1
OG0001705	XP_039748723.1	HMEL016375g1.t1
OG0001706	XP_039761971.1	HMEL010152g1.t1
OG0001707	XP_039762832.1	HMEL022501g1.t1
OG0001709	XP_039756000.1	HMEL002991g1.t1
OG0001710	XP_039760828.1	HMEL003059g1.t1
OG0001711	XP_039761122.1	HMEL006069g1.t1
OG0001713	XP_039761657.1, XP_039761655.1, XP_039761656.1	HMEL014145g1.t1
OG0001714	XP_039761023.1, XP_039761022.1	HMEL006071g1.t1
OG0001715	XP_039749102.1	HMEL031787g1.t1
OG0001716	XP_039749051.1	HMEL021844g1.t1
OG0001717	XP_039754843.1	HMEL014765g1.t1
OG0001718	XP_039757617.1	HMEL037832g1.t1
OG0001719	XP_039762639.1, XP_039762638.1	HMEL010808g1.t1
OG0001720	XP_039759108.1	HMEL032404g1.t1
OG0001721	XP_039761317.1, XP_039761326.1	HMEL015557g1.t1
OG0001722	XP_039755039.1	HMEL014760g1.t1
OG0001722	XP_039755239.1	HMEL034401g1.t1
OG0001723	XP_039754635.1	HMEL010067g1.t1
OG0001724	XP_039747334.1	HMEL007249g1.t1
OG0001725	XP_039765865.1	HMEL014498g1.t1
OG0001726	XP_039761235.1	HMEL015547g1.t1
OG0001727	XP_039751759.1	HMEL035386g1.t1
OG0001728	XP_039754993.1	HMEL004136g1.t1
OG0001731	XP_039757729.1	HMEL012076g1.t1, HMEL037843g1.t1
OG0001733	XP_039763212.1	HMEL013041g1.t1
OG0001734	XP_039761144.1	HMEL034432g1.t1
OG0001735	XP_039755235.1	HMEL002273g1.t1
OG0001736	XP_039754315.1	HMEL032918g1.t1
OG0001737	XP_039764465.1	HMEL013208g1.t1
OG0001738	XP_039746370.1	HMEL014519-RA
OG0001739	XP_039757445.1	HMEL021960g1.t1, HMEL030447g1.t1, HMEL009803g1.t1, HMEL006003g1.t1
OG0001740	XP_039759366.1, XP_039759375.1	HMEL030714g1.t1
OG0001742	XP_039756643.1, XP_039756200.1	HMEL016003g1.t1
OG0001743	XP_039756160.1	HMEL016005g1.t1
OG0001744	XP_039751503.1	HMEL011818g1.t1
OG0001745	XP_039761247.1, XP_039761249.1, XP_039761248.1	HMEL005250g1.t1
OG0001747	XP_039747052.1	HMEL035265g1.t1, HMEL035264g1.t1
OG0001748	XP_039762103.1	HMEL014822g1.t1
OG0001749	XP_039759533.1, XP_039759531.1, XP_039759532.1	HMEL003458g1.t1
OG0001750	XP_039752115.1	HMEL002059g1.t1
OG0001751	XP_039762970.1	HMEL010786g1.t1
OG0001752	XP_039750834.1, XP_039750835.1	HMEL036277g1.t1
OG0001753	XP_039756669.1	HMEL013310g1.t1
OG0001754	XP_039757401.1, XP_039757055.1	HMEL008077g1.t1
OG0001755	XP_039760272.1	HMEL010773g1.t1
OG0001756	XP_039752408.1	HMEL005376g1.t1
OG0001757	XP_039749447.1, XP_039749445.1	HMEL009003g1.t1
OG0001758	XP_039750251.1	HMEL003474g1.t1
OG0001759	XP_039753884.1	HMEL032960g1.t1
OG0001760	XP_039760607.1	HMEL003915g1.t1
OG0001761	XP_039750954.1, XP_039750956.1, XP_039750955.1	HMEL003470g1.t1
OG0001762	XP_039756754.1, XP_039756753.1	HMEL016022g1.t1
OG0001763	XP_039751523.1, XP_039751522.1, XP_039751525.1, XP_039751524.1	HMEL017603g1.t1
OG0001764	XP_039745557.1	HMEL031439g1.t1
OG0001765	XP_039747523.1, XP_039747522.1	HMEL017672g1.t1
OG0001766	XP_039760357.1	HMEL006916g1.t1
OG0001767	XP_039755340.1	HMEL020746g1.t1
OG0001768	XP_039757151.1	HMEL007885g1.t1
OG0001769	XP_039759016.1	HMEL006360g1.t1
OG0001770	XP_039756852.1	HMEL017542g1.t1
OG0001771	XP_039763978.1	HMEL017931g1.t1
OG0001772	XP_039762761.1	HMEL004921g1.t1
OG0001774	XP_039756058.1	HMEL016272g1.t1
OG0001775	XP_039745088.1	HMEL012737g1.t1
OG0001776	XP_039753160.1, XP_039753159.1	HMEL011955g1.t1
OG0001777	XP_039749665.1	HMEL004347g1.t1
OG0001778	XP_039752197.1	HMEL020608g1.t1
OG0001779	XP_039745429.1	HMEL010020g1.t1
OG0001780	XP_039749975.1	HMEL004344g1.t1
OG0001781	XP_039748358.1	HMEL016120g1.t1
OG0001782	XP_039752884.1, XP_039752883.1, XP_039752885.1	HMEL012592g1.t1
OG0001784	XP_039762914.1	HMEL016081g1.t1
OG0001785	XP_039750264.1	HMEL017401g1.t1
OG0001786	XP_039747903.1, XP_039747904.1, XP_039747902.1	HMEL016123g1.t1
OG0001787	XP_039761057.1	HMEL004589g1.t1
OG0001788	XP_039755586.1, XP_039755587.1	HMEL037492g1.t1
OG0001789	XP_039752045.1	HMEL005467g1.t1
OG0001790	XP_039750559.1	HMEL017406g1.t1
OG0001791	XP_039757818.1	HMEL037996g1.t1, HMEL002369g1.t1
OG0001793	XP_039757416.1, XP_039757415.1	HMEL017524g1.t1
OG0001794	XP_039765028.1, XP_039765046.1, XP_039765038.1	HMEL016549g1.t1
OG0001795	XP_039747760.1	HMEL037352g1.t1
OG0001796	XP_039750966.1, XP_039750469.1	HMEL017413g1.t1
OG0001797	XP_039757171.1, XP_039757173.1	HMEL017521g1.t1
OG0001798	XP_039758923.1	HMEL003392g1.t1
OG0001799	XP_039747141.1	HMEL017062g1.t1
OG0001800	XP_039759214.1	HMEL032450g1.t1
OG0001802	XP_039749904.1	HMEL008995g1.t1
OG0001803	XP_039745125.1	HMEL031263g1.t1
OG0001805	XP_039751564.1	HMEL013378g1.t1
OG0001806	XP_039756380.1, XP_039756379.1, XP_039756381.1	HMEL008251g1.t1
OG0001807	XP_039748104.1	HMEL032275g1.t1
OG0001808	XP_039757781.1	HMEL038026g1.t1, HMEL038025g1.t1
OG0001810	XP_039762548.1, XP_039762547.1	HMEL014411-RA
OG0001811	XP_039764876.1, XP_039764885.1	HMEL004113g1.t1
OG0001812	XP_039748089.1	HMEL008452g1.t1, HMEL010716g1.t1
OG0001813	XP_039759477.1	HMEL014216g1.t1
OG0001815	XP_039759243.1	HMEL032461g1.t1
OG0001816	XP_039751719.1	HMEL002475g1.t1
OG0001817	XP_039756178.1, XP_039756179.1, XP_039756180.1	HMEL036638g1.t1
OG0001818	XP_039747244.1	HMEL012564g1.t1
OG0001819	XP_039757639.1	HMEL037957g1.t1
OG0001820	XP_039751310.1	HMEL030119g1.t1, HMEL003304g1.t1
OG0001821	XP_039752187.1	HMEL021549g1.t1
OG0001822	XP_039754690.1	HMEL013710g1.t1
OG0001823	XP_039748260.1	HMEL011193g1.t1
OG0001824	XP_039756337.1	HMEL015044g1.t1
OG0001827	XP_039745475.1	HMEL013579g1.t1
OG0001828	XP_039751692.1	HMEL017877g1.t1
OG0001829	XP_039747297.1, XP_039747295.1, XP_039747296.1	HMEL012550g1.t1
OG0001830	XP_039745310.1, XP_039745309.1	HMEL010318g1.t1
OG0001831	XP_039765108.1	HMEL017250g1.t1
OG0001833	XP_039752723.1	HMEL035332g1.t1
OG0001834	XP_039761302.1	HMEL034483g1.t1
OG0001835	XP_039765482.1, XP_039765481.1	HMEL010326g1.t1
OG0001836	XP_039760593.1	HMEL006169g1.t1
OG0001837	XP_039754032.1, XP_039762734.1	HMEL036987g1.t1
OG0001838	XP_039747822.1	HMEL011232g1.t1
OG0001839	XP_039752754.1, XP_039752724.1	HMEL016358g1.t1
OG0001840	XP_039747925.1	HMEL011229g1.t1
OG0001841	XP_039747365.1	HMEL035026g1.t1
OG0001842	XP_039748229.1	HMEL007320g1.t1, HMEL002266g1.t1
OG0001843	XP_039761190.1	HMEL008736g1.t1
OG0001844	XP_039763876.1, XP_039763877.1	HMEL016624g1.t1
OG0001845	XP_039746016.1, XP_039746018.1	HMEL033919g1.t1
OG0001846	XP_039754830.1	HMEL017479-RA
OG0001847	XP_039747899.1	HMEL009735g1.t1
OG0001849	XP_039746011.1	HMEL033917g1.t1, HMEL033911g1.t1
OG0001850	XP_039752230.1	HMEL035326g1.t1
OG0001851	XP_039757855.1	HMEL016476g1.t1
OG0001852	XP_039760691.1	HMEL034591g1.t1
OG0001853	XP_039745881.1	HMEL033915g1.t1
OG0001855	XP_039754855.1	HMEL017486g1.t1
OG0001857	XP_039758313.1	HMEL014127g1.t1
OG0001858	XP_039758363.1	HMEL008380g1.t1
OG0001859	XP_039756539.1, XP_039756530.1, XP_039756547.1	HMEL014120g1.t1
OG0001860	XP_039763822.1	HMEL017740g1.t1, HMEL011796g1.t1
OG0001861	XP_039746695.1, XP_039746678.1, XP_039746688.1	HMEL016573g1.t1
OG0001862	XP_039751542.1	HMEL016421g1.t1
OG0001863	XP_039748573.1	HMEL031836g1.t1, HMEL004638g1.t1
OG0001864	XP_039751341.1	HMEL007886g1.t1, HMEL031401g1.t1
OG0001866	XP_039764793.1	HMEL017203g1.t1, HMEL036306g1.t1
OG0001867	XP_039757377.1	HMEL022616g1.t1, HMEL033578g1.t1
OG0001868	XP_039748102.1, XP_039748101.1	HMEL011443g1.t1
OG0001869	XP_039750903.1	HMEL025054-RA
OG0001870	XP_039747145.1	HMEL022556-RA
OG0001871	XP_039747949.1, XP_039747941.1	HMEL004115g1.t1
OG0001873	XP_039754308.1, XP_039754301.1	HMEL014110g1.t1
OG0001874	XP_039753173.1	HMEL011895g1.t1
OG0001875	XP_039748527.1, XP_039749226.1	HMEL020214g1.t1, HMEL016918-RA
OG0001876	XP_039765641.1	HMEL022042g1.t1
OG0001877	XP_039762661.1	HMEL014259g1.t1
OG0001878	XP_039756822.1	HMEL014104g1.t1
OG0001879	XP_039749804.1	HMEL016858g1.t1
OG0001880	XP_039749369.1	HMEL015393g1.t1, HMEL008974g1.t1
OG0001881	XP_039759444.1	HMEL005519g1.t1, HMEL005517g1.t1
OG0001882	XP_039753924.1	HMEL032839g1.t1
OG0001883	XP_039760926.1, XP_039760929.1, XP_039760927.1, XP_039760928.1	HMEL034474g1.t1
OG0001884	XP_039751020.1	HMEL008751g1.t1
OG0001885	XP_039758483.1, XP_039758484.1, XP_039758485.1, XP_039758486.1	HMEL007435g1.t1
OG0001887	XP_039762904.1	HMEL010739g1.t1
OG0001888	XP_039758893.1	HMEL014094g1.t1
OG0001889	XP_039763610.1, XP_039763611.1	HMEL035739g1.t1, HMEL035867g1.t1
OG0001890	XP_039753764.1, XP_039753763.1	HMEL032831g1.t1
OG0001891	XP_039747882.1	HMEL008498g1.t1
OG0001893	XP_039752689.1	HMEL014161g1.t1
