Orthogroup	Pararge_aegeria	Bicyclus_anynana
OG0001467	XP_039747645.1	Bany_06840-RA, Bany_06839-RA
OG0001468	XP_039747779.1	Bany_16673-RA
OG0001469	XP_039756746.1	Bany_14525-RA, Bany_14527-RA
OG0001470	XP_039755908.1	Bany_13288-RA, Bany_13287-RA, Bany_14106-RA, Bany_13289-RA
OG0001471	XP_039745928.1	Bany_05451-RA
OG0001472	XP_039751368.1, XP_039751369.1, XP_039751367.1	Bany_06189-RA
OG0001473	XP_039762035.1	Bany_12929-RA
OG0001474	XP_039748159.1, XP_039748160.1, XP_039748158.1	Bany_06861-RA
OG0001475	XP_039748208.1	Bany_16686-RA, Bany_11063-RA
OG0001476	XP_039747643.1, XP_039747642.1	Bany_06863-RA
OG0001477	XP_039747591.1	Bany_16690-RA
OG0001478	XP_039749155.1	Bany_10146-RA
OG0001479	XP_039752980.1, XP_039752971.1	Bany_04651-RA
OG0001480	XP_039756470.1	Bany_14564-RA
OG0001481	XP_039757783.1	Bany_09610-RA, Bany_09611-RA
OG0001482	XP_039750565.1	Bany_02196-RA
OG0001483	XP_039745039.1	Bany_00356-RA
OG0001484	XP_039756760.1	Bany_13320-RA
OG0001485	XP_039749054.1	Bany_10160-RA
OG0001486	XP_039750280.1	Bany_10894-RA
OG0001487	XP_039751182.1, XP_039751645.1	Bany_06222-RA
OG0001488	XP_039760557.1, XP_039760554.1, XP_039760553.1, XP_039760552.1	Bany_17992-RA
OG0001489	XP_039746201.1	Bany_02222-RA
OG0001489	XP_039750312.1	Bany_02223-RA
OG0001490	XP_039760957.1, XP_039760956.1	Bany_17611-RA
OG0001491	XP_039755780.1	Bany_14248-RA
OG0001491	XP_039746829.1	Bany_02981-RA
OG0001492	XP_039763807.1, XP_039763806.1, XP_039763805.1	Bany_07480-RA
OG0001493	XP_039752515.1, XP_039751976.1	Bany_01290-RA
OG0001494	XP_039747924.1	Bany_16726-RA
OG0001495	XP_039760300.1	Bany_17276-RA
OG0001496	XP_039762038.1	Bany_13019-RA
OG0001496	XP_039762039.1	Bany_13016-RA
OG0001497	XP_039747625.1	Bany_16728-RA
OG0001498	XP_039755271.1	Bany_13964-RA
OG0001499	XP_039757438.1	Bany_09673-RA
OG0001500	XP_039758714.1	Bany_15155-RA, Bany_15156-RA
OG0001502	XP_039753113.1	Bany_08972-RA
OG0001503	XP_039752222.1	Bany_01310-RA, Bany_01312-RA
OG0001504	XP_039747615.1	Bany_06947-RA
OG0001505	XP_039757966.1, XP_039757980.1, XP_039757972.1	Bany_04706-RA
OG0001506	XP_039758152.1	Bany_09676-RA
OG0001507	XP_039759792.1, XP_039759793.1, XP_039759794.1	Bany_17285-RA
OG0001508	XP_039749107.1, XP_039749108.1	Bany_10219-RA
OG0001509	XP_039757386.1	Bany_04711-RA
OG0001510	XP_039746645.1, XP_039755075.1, XP_039764233.1	Bany_02264-RA
OG0001511	XP_039759240.1, XP_039759233.1	Bany_04712-RA
OG0001512	XP_039754261.1	Bany_08280-RA
OG0001513	XP_039760662.1	Bany_18069-RA
OG0001514	XP_039755054.1	Bany_15765-RA
OG0001515	XP_039754948.1	Bany_04731-RA
OG0001516	XP_039755265.1, XP_039755264.1	Bany_13982-RA
OG0001517	XP_039757452.1	Bany_09683-RA
OG0001518	XP_039749225.1	Bany_10256-RA, Bany_10255-RA
OG0001519	XP_039755028.1, XP_039755031.1	Bany_15768-RA
OG0001519	XP_039755029.1	Bany_15769-RA
OG0001520	XP_039752217.1	Bany_01357-RA
OG0001521	XP_039751967.1	Bany_01359-RA
OG0001521	XP_039752372.1	Bany_01360-RA, Bany_01361-RA
OG0001522	XP_039764189.1	Bany_03875-RA
OG0001523	XP_039753871.1, XP_039753880.1	Bany_04744-RA
OG0001524	XP_039757758.1	Bany_09696-RA
OG0001525	XP_039749832.1	Bany_12133-RA
OG0001526	XP_039758402.1, XP_039758403.1	Bany_15188-RA
OG0001527	XP_039748701.1, XP_039749338.1	Bany_02299-RA
OG0001528	XP_039749086.1	Bany_10276-RA
OG0001529	XP_039759892.1, XP_039759891.1	Bany_17306-RA
OG0001530	XP_039765461.1	Bany_00549-RA
OG0001531	XP_039761092.1	Bany_17673-RA, Bany_17672-RA
OG0001532	XP_039752483.1, XP_039752484.1	Bany_01383-RA
OG0001533	XP_039764069.1	Bany_07559-RA
OG0001534	XP_039756920.1	Bany_13405-RA
OG0001535	XP_039760193.1	Bany_04769-RA
OG0001536	XP_039751482.1	Bany_06303-RA
OG0001537	XP_039763556.1	Bany_07562-RA
OG0001538	XP_039748989.1	Bany_10289-RA
OG0001539	XP_039765800.1	Bany_00475-RA
OG0001540	XP_039745692.1	Bany_05577-RA, Bany_05575-RA
OG0001541	XP_039754515.1	Bany_08330-RA
OG0001542	XP_039760399.1, XP_039760594.1	Bany_18078-RA
OG0001543	XP_039752123.1	Bany_01407-RA
OG0001544	XP_039754257.1, XP_039754256.1, XP_039754258.1	Bany_08333-RA
OG0001545	XP_039755016.1	Bany_02327-RA
OG0001546	XP_039755564.1	Bany_13991-RA
OG0001547	XP_039760657.1	Bany_18082-RA
OG0001548	XP_039749487.1	Bany_12151-RA
OG0001549	XP_039748777.1	Bany_10314-RA
OG0001550	XP_039764135.1, XP_039764133.1, XP_039764132.1	Bany_07576-RA
OG0001551	XP_039757810.1	Bany_09895-RA, Bany_09741-RA
OG0001552	XP_039765681.1	Bany_00513-RA
OG0001553	XP_039752172.1, XP_039752173.1	Bany_01425-RA
OG0001554	XP_039759155.1	Bany_11645-RA, Bany_11644-RA, Bany_11646-RA
OG0001555	XP_039764590.1, XP_039764589.1, XP_039764591.1	Bany_03932-RA
OG0001556	XP_039765115.1, XP_039765114.1, XP_039765113.1	Bany_03937-RA
OG0001557	XP_039752955.1	Bany_09035-RA
OG0001558	XP_039759940.1, XP_039759941.1, XP_039759939.1, XP_039759942.1	Bany_17323-RA
OG0001559	XP_039753034.1	Bany_09045-RA
OG0001560	XP_039755309.1	Bany_14025-RA
OG0001561	XP_039746748.1	Bany_03134-RA
OG0001561	XP_039746747.1	Bany_03130-RA
OG0001562	XP_039753735.1	Bany_09063-RA
OG0001563	XP_039756185.1	Bany_14724-RA, Bany_14725-RA
OG0001564	XP_039748058.1	Bany_16824-RA
OG0001565	XP_039758569.1	Bany_15267-RA
OG0001566	XP_039752429.1, XP_039752426.1, XP_039752428.1	Bany_01499-RA
OG0001567	XP_039750485.1, XP_039750483.1, XP_039750484.1	Bany_10976-RA
OG0001568	XP_039757390.1	Bany_02367-RA
OG0001569	XP_039755486.1	Bany_14045-RA
OG0001570	XP_039750961.1, XP_039750960.1	Bany_10983-RA
OG0001571	XP_039751606.1	Bany_06363-RA
OG0001572	XP_039748790.1, XP_039748788.1	Bany_10350-RA
OG0001573	XP_039747538.1	Bany_16862-RA, Bany_16855-RA, Bany_16859-RA
OG0001574	XP_039746777.1	Bany_03167-RA, Bany_03161-RA
OG0001575	XP_039759947.1	Bany_17373-RA
OG0001576	XP_039754559.1	Bany_08396-RA
OG0001577	XP_039765716.1	Bany_00588-RA
OG0001578	XP_039755377.1	Bany_04863-RA
OG0001579	XP_039765723.1, XP_039765722.1	Bany_00592-RA
OG0001580	XP_039758699.1	Bany_13494-RA, Bany_15332-RA
OG0001581	XP_039765478.1	Bany_00601-RA
OG0001582	XP_039765781.1	Bany_00603-RA
OG0001584	XP_039745361.1	Bany_00606-RA
OG0001585	XP_039763348.1	Bany_07683-RA
OG0001586	XP_039761614.1, XP_039761615.1, XP_039761616.1, XP_039761617.1	Bany_07060-RA
OG0001587	XP_039758938.1, XP_039758939.1	Bany_11738-RA
OG0001589	XP_039756425.1	Bany_14778-RA
OG0001589	XP_039756354.1	Bany_14802-RA, Bany_14777-RA
OG0001590	XP_039752580.1	Bany_01542-RA
OG0001590	XP_039752608.1	Bany_01543-RA
OG0001591	XP_039757047.1	Bany_13498-RA
OG0001592	XP_039750463.1	Bany_11001-RA
OG0001593	XP_039752613.1	Bany_04886-RA
OG0001594	XP_039748597.1	Bany_10384-RA
OG0001595	XP_039757987.1, XP_039757984.1, XP_039757985.1, XP_039757986.1	Bany_09842-RA
OG0001596	XP_039755687.1	Bany_14118-RA
OG0001597	XP_039765053.1	Bany_04042-RA
OG0001598	XP_039754452.1	Bany_08432-RA
OG0001599	XP_039761439.1	Bany_04907-RA
OG0001600	XP_039764307.1, XP_039763087.1, XP_039764328.1, XP_039752854.1	Bany_09167-RA
OG0001601	XP_039749451.1, XP_039749452.1	Bany_12288-RA
OG0001602	XP_039758235.1, XP_039758236.1	Bany_15348-RA
OG0001603	XP_039752017.1	Bany_09886-RA
OG0001604	XP_039752128.1, XP_039752130.1	Bany_01593-RA
OG0001605	XP_039751954.1	Bany_01598-RA
OG0001607	XP_039765559.1	Bany_00672-RA
OG0001608	XP_039755545.1	Bany_14168-RA
OG0001609	XP_039761575.1	Bany_07119-RA
OG0001610	XP_039764742.1, XP_039764741.1, XP_039764743.1	Bany_04086-RA
OG0001611	XP_039749959.1	Bany_12335-RA
OG0001611	XP_039749960.1	Bany_12337-RA
OG0001612	XP_039754096.1	Bany_08475-RA, Bany_08476-RA
OG0001613	XP_039754356.1	Bany_08480-RA
OG0001614	XP_039761581.1	Bany_07137-RA
OG0001615	XP_039748653.1	Bany_02441-RA
OG0001616	XP_039756696.1	Bany_14851-RA, Bany_14852-RA
OG0001617	XP_039749569.1	Bany_12348-RA
OG0001618	XP_039749573.1	Bany_12349-RA
OG0001618	XP_039749572.1	Bany_12350-RA
OG0001619	XP_039751498.1	Bany_06447-RA
OG0001620	XP_039756794.1	Bany_13575-RA
OG0001621	XP_039752948.1	Bany_09245-RA
OG0001622	XP_039758579.1, XP_039758581.1	Bany_15420-RA
OG0001623	XP_039745442.1	Bany_00751-RA
OG0001624	XP_039751064.1	Bany_06487-RA
OG0001625	XP_039750595.1	Bany_11098-RA, Bany_11099-RA
OG0001626	XP_039763113.1	Bany_04133-RA, Bany_04136-RA
OG0001627	XP_039751062.1	Bany_06493-RA, Bany_06543-RA, Bany_06492-RA, Bany_06491-RA
OG0001628	XP_039755112.1	Bany_04988-RA
OG0001629	XP_039755588.1	Bany_04989-RA
OG0001630	XP_039753835.1, XP_039753836.1	Bany_08557-RA
OG0001631	XP_039753824.1	Bany_04998-RA
OG0001632	XP_039746478.1, XP_039746496.1, XP_039746487.1, XP_039746513.1, XP_039746505.1	Bany_02480-RA
OG0001633	XP_039745126.1	Bany_00772-RA
OG0001634	XP_039751214.1	Bany_06515-RA
OG0001635	XP_039753684.1	Bany_09282-RA, Bany_09283-RA
OG0001636	XP_039757137.1	Bany_05025-RA
OG0001637	XP_039749966.1	Bany_12397-RA, Bany_12400-RA, Bany_12399-RA
OG0001638	XP_039751932.1	Bany_01709-RA, Bany_01707-RA
OG0001639	XP_039764054.1	Bany_07803-RA
OG0001640	XP_039749969.1, XP_039749970.1	Bany_12410-RA
OG0001641	XP_039752595.1	Bany_01717-RA
OG0001642	XP_039751879.1, XP_039751880.1	Bany_01723-RA
OG0001643	XP_039745253.1, XP_039745252.1, XP_039745251.1, XP_039745254.1	Bany_00822-RA
OG0001644	XP_039763781.1, XP_039763782.1, XP_039763783.1	Bany_07851-RA
OG0001645	XP_039764940.1, XP_039764950.1, XP_039764928.1, XP_039764918.1	Bany_02551-RA
OG0001646	XP_039756016.1, XP_039751100.1, XP_039763866.1, XP_039763083.1, XP_039764305.1, XP_039763080.1, XP_039764346.1, XP_039764274.1, XP_039764277.1, XP_039764275.1, XP_039764249.1, XP_039764342.1	Bany_05080-RA
OG0001647	XP_039753772.1	Bany_08624-RA
OG0001648	XP_039752542.1	Bany_02554-RA, Bany_02556-RA
OG0001649	XP_039745589.1	Bany_05819-RA, Bany_05818-RA
OG0001650	XP_039765029.1	Bany_04234-RA
OG0001651	XP_039751919.1	Bany_01789-RA
OG0001652	XP_039751865.1	Bany_01794-RA
OG0001653	XP_039746980.1	Bany_03430-RA, Bany_03429-RA
OG0001654	XP_039753908.1	Bany_05166-RA, Bany_05168-RA
OG0001670	XP_039752328.1	Bany_01190-RA, Bany_18177-RA
OG0001671	XP_039760873.1	Bany_17862-RA, Bany_18175-RA
OG0001672	XP_039750874.1	Bany_18142-RA
OG0001673	XP_039750977.1	Bany_02162-RA, Bany_18164-RA
OG0001674	XP_039748470.1, XP_039748469.1	Bany_18140-RA, Bany_06772-RA, Bany_06774-RA
OG0001675	XP_039757112.1, XP_039757113.1	Bany_13312-RA
OG0001676	XP_039760651.1	Bany_17690-RA
OG0001677	XP_039760334.1	Bany_16928-RA, Bany_14907-RA
OG0001678	XP_039765920.1	Bany_00003-RA
OG0001680	XP_039756447.1	Bany_14262-RA, Bany_14263-RA
OG0001681	XP_039762345.1, XP_039762343.1, XP_039762344.1, XP_039761455.1	Bany_12450-RA
OG0001682	XP_039758468.1, XP_039758467.1	Bany_14890-RA
OG0001683	XP_039750302.1, XP_039750303.1, XP_039750304.1	Bany_10547-RA
OG0001684	XP_039750695.1, XP_039750693.1	Bany_10548-RA
OG0001685	XP_039761780.1, XP_039761781.1	Bany_06549-RA
OG0001686	XP_039760792.1	Bany_17698-RA, Bany_17696-RA
OG0001687	XP_039750239.1, XP_039750238.1	Bany_10550-RA
OG0001688	XP_039758774.1, XP_039758773.1	Bany_14891-RA
OG0001689	XP_039762773.1	Bany_16086-RA, Bany_07180-RA
OG0001690	XP_039758088.1	Bany_09345-RA
OG0001691	XP_039751825.1	Bany_00938-RA
OG0001692	XP_039752165.1, XP_039752166.1	Bany_00943-RA
OG0001693	XP_039760126.1, XP_039760125.1	Bany_13031-RA, Bany_17085-RA, Bany_17084-RA
OG0001694	XP_039761835.1	Bany_16759-RA, Bany_14275-RA, Bany_17094-RA, Bany_02021-RA
OG0001695	XP_039753720.1, XP_039753443.1	Bany_08671-RA
OG0001696	XP_039759693.1	Bany_11147-RA
OG0001697	XP_039754513.1, XP_039754514.1	Bany_07942-RA
OG0001698	XP_039745999.1, XP_039745998.1, XP_039745996.1, XP_039745997.1	Bany_05196-RA
OG0001699	XP_039745952.1, XP_039745950.1	Bany_05198-RA
OG0001700	XP_039762325.1	Bany_16460-RA, Bany_16458-RA
OG0001701	XP_039747919.1	Bany_01853-RA
OG0001702	XP_039752381.1, XP_039752383.1, XP_039752382.1	Bany_00955-RA
OG0001703	XP_039763276.1, XP_039763275.1	Bany_07194-RA, Bany_07196-RA
OG0001704	XP_039762961.1	Bany_00873-RA, Bany_00036-RA, Bany_16064-RA, Bany_00874-RA
OG0001705	XP_039748723.1	Bany_01868-RA
OG0001706	XP_039761971.1	Bany_12486-RA
OG0001707	XP_039762832.1	Bany_16065-RA, Bany_05334-RA
OG0001708	XP_039750681.1, XP_039750683.1	Bany_10636-RA
OG0001709	XP_039756000.1	Bany_14297-RA
OG0001710	XP_039760828.1	Bany_17720-RA
OG0001711	XP_039761122.1	Bany_17421-RA
OG0001713	XP_039761657.1, XP_039761655.1, XP_039761656.1	Bany_06570-RA
OG0001714	XP_039761023.1, XP_039761022.1	Bany_17426-RA
OG0001715	XP_039749102.1	Bany_09937-RA
OG0001716	XP_039749051.1	Bany_09939-RA
OG0001717	XP_039754843.1	Bany_15495-RA
OG0001718	XP_039757617.1	Bany_09354-RA, Bany_09353-RA
OG0001719	XP_039762639.1, XP_039762638.1	Bany_16084-RA
OG0001720	XP_039759108.1	Bany_11161-RA
OG0001721	XP_039761326.1	Bany_17435-RA
OG0001722	XP_039755039.1, XP_039755239.1	Bany_15501-RA
OG0001723	XP_039754635.1	Bany_15507-RA
OG0001724	XP_039747334.1	Bany_02669-RA
OG0001725	XP_039765865.1	Bany_01904-RA, Bany_01901-RA, Bany_01902-RA
OG0001726	XP_039761235.1	Bany_17443-RA
OG0001727	XP_039751759.1	Bany_00998-RA
OG0001728	XP_039754993.1	Bany_15522-RA
OG0001729	XP_039761074.1	Bany_17447-RA
OG0001730	XP_039746873.1	Bany_01906-RA
OG0001730	XP_039749398.1	Bany_01905-RA
OG0001731	XP_039757729.1	Bany_09371-RA
OG0001733	XP_039763212.1	Bany_07218-RA, Bany_07222-RA
OG0001734	XP_039761144.1	Bany_17450-RA
OG0001735	XP_039755235.1	Bany_15523-RA
OG0001736	XP_039754315.1	Bany_07991-RA
OG0001737	XP_039764465.1	Bany_02019-RA
OG0001738	XP_039746370.1	Bany_05239-RA
OG0001739	XP_039757445.1	Bany_09374-RA
OG0001740	XP_039759366.1, XP_039759375.1	Bany_04382-RA
OG0001741	XP_039752297.1, XP_039752296.1	Bany_12668-RA, Bany_16883-RA, Bany_12911-RA, Bany_10728-RA, Bany_10726-RA, Bany_18049-RA, Bany_02131-RA, Bany_02133-RA, Bany_12544-RA
OG0001742	XP_039756643.1, XP_039756200.1	Bany_14326-RA
OG0001743	XP_039756160.1	Bany_14330-RA, Bany_14327-RA
OG0001744	XP_039751503.1	Bany_05925-RA
OG0001745	XP_039761247.1, XP_039761249.1, XP_039761248.1	Bany_17455-RA
OG0001746	XP_039747489.1, XP_039747490.1, XP_039747488.1	Bany_06600-RA, Bany_02825-RA
OG0001747	XP_039747052.1	Bany_06603-RA, Bany_06602-RA
OG0001748	XP_039762103.1	Bany_12550-RA
OG0001749	XP_039759533.1, XP_039759531.1, XP_039759532.1	Bany_11184-RA
OG0001750	XP_039752115.1	Bany_01007-RA
OG0001751	XP_039762970.1	Bany_16120-RA
OG0001752	XP_039750834.1, XP_039750835.1	Bany_10663-RA
OG0001753	XP_039756669.1	Bany_04780-RA, Bany_08818-RA, Bany_14947-RA, Bany_01471-RA
OG0001754	XP_039757401.1, XP_039757055.1	Bany_13110-RA
OG0001755	XP_039760272.1	Bany_17006-RA, Bany_17008-RA
OG0001756	XP_039752408.1	Bany_01016-RA
OG0001757	XP_039749447.1, XP_039749445.1	Bany_11876-RA
OG0001758	XP_039750251.1	Bany_10671-RA
OG0001759	XP_039753884.1	Bany_08009-RA, Bany_08008-RA
OG0001760	XP_039760607.1	Bany_17758-RA
OG0001761	XP_039750954.1, XP_039750956.1, XP_039750955.1	Bany_10677-RA
OG0001762	XP_039756754.1, XP_039756753.1	Bany_14355-RA
OG0001763	XP_039751523.1, XP_039751522.1, XP_039751525.1, XP_039751524.1	Bany_05934-RA
OG0001764	XP_039745557.1	Bany_01934-RA
OG0001765	XP_039747523.1, XP_039747522.1	Bany_16521-RA
OG0001766	XP_039760357.1	Bany_17020-RA
OG0001767	XP_039755340.1	Bany_13735-RA
OG0001768	XP_039757151.1	Bany_13137-RA
OG0001769	XP_039759016.1	Bany_11222-RA
OG0001770	XP_039756852.1	Bany_13145-RA
OG0001771	XP_039763978.1	Bany_12602-RA, Bany_07510-RA
OG0001772	XP_039762761.1	Bany_16163-RA
OG0001774	XP_039756058.1	Bany_14371-RA
OG0001775	XP_039745088.1	Bany_01943-RA, Bany_01944-RA, Bany_01946-RA
OG0001776	XP_039753160.1, XP_039753159.1	Bany_06629-RA, Bany_09070-RA
OG0001777	XP_039749665.1	Bany_11892-RA
OG0001778	XP_039752197.1	Bany_01040-RA
OG0001779	XP_039745429.1	Bany_00114-RA
OG0001780	XP_039749975.1	Bany_11894-RA, Bany_11895-RA
OG0001781	XP_039748358.1	Bany_06632-RA
OG0001782	XP_039752884.1, XP_039752883.1, XP_039752885.1	Bany_08754-RA, Bany_08756-RA
OG0001783	XP_039749924.1	Bany_11900-RA
OG0001784	XP_039762914.1	Bany_16173-RA
OG0001785	XP_039750264.1	Bany_10782-RA, Bany_10695-RA
OG0001786	XP_039747903.1, XP_039747904.1, XP_039747902.1	Bany_06635-RA
OG0001788	XP_039755586.1, XP_039755587.1	Bany_13747-RA
OG0001789	XP_039752045.1	Bany_01050-RA
OG0001790	XP_039750559.1	Bany_10700-RA
OG0001791	XP_039757818.1	Bany_09421-RA
OG0001793	XP_039757416.1, XP_039757415.1	Bany_13162-RA
OG0001794	XP_039765028.1, XP_039765046.1, XP_039765038.1	Bany_01968-RA
OG0001795	XP_039747760.1	Bany_06645-RA
OG0001796	XP_039750469.1	Bany_10703-RA
OG0001797	XP_039757171.1, XP_039757173.1	Bany_13166-RA
OG0001798	XP_039758923.1	Bany_11283-RA, Bany_11280-RA
OG0001799	XP_039747141.1	Bany_02756-RA, Bany_02755-RA
OG0001800	XP_039759214.1	Bany_11284-RA, Bany_11285-RA
OG0001801	XP_039756926.1	Bany_13178-RA
OG0001802	XP_039749904.1	Bany_11941-RA, Bany_11916-RA
OG0001803	XP_039745125.1	Bany_00155-RA, Bany_00156-RA
OG0001804	XP_039762585.1, XP_039762584.1	Bany_16198-RA
OG0001805	XP_039751564.1	Bany_05950-RA, Bany_05951-RA
OG0001806	XP_039756380.1, XP_039756379.1, XP_039756381.1	Bany_14398-RA
OG0001807	XP_039748104.1	Bany_16572-RA
OG0001808	XP_039757781.1	Bany_09453-RA
OG0001809	XP_039751654.1	Bany_05973-RA
OG0001810	XP_039762548.1, XP_039762547.1	Bany_16207-RA
OG0001811	XP_039764876.1, XP_039764885.1	Bany_01997-RA
OG0001812	XP_039748089.1	Bany_16589-RA
OG0001813	XP_039759477.1	Bany_11296-RA
OG0001814	XP_039749170.1	Bany_10006-RA, Bany_10004-RA
OG0001815	XP_039759243.1	Bany_11298-RA, Bany_11297-RA
OG0001816	XP_039751719.1	Bany_06005-RA
OG0001817	XP_039756178.1, XP_039756179.1, XP_039756180.1	Bany_14422-RA
OG0001819	XP_039757639.1	Bany_09484-RA
OG0001820	XP_039751310.1	Bany_06012-RA
OG0001821	XP_039752187.1	Bany_01080-RA
OG0001822	XP_039754690.1	Bany_12682-RA
OG0001823	XP_039748260.1	Bany_06695-RA
OG0001824	XP_039756337.1	Bany_14434-RA
OG0001825	XP_039757141.1	Bany_13195-RA
OG0001826	XP_039761466.1	Bany_04490-RA
OG0001827	XP_039745475.1	Bany_00248-RA
OG0001828	XP_039751692.1	Bany_06026-RA
OG0001829	XP_039747297.1, XP_039747295.1, XP_039747296.1	Bany_02787-RA
OG0001830	XP_039745310.1, XP_039745309.1	Bany_00200-RA
OG0001832	XP_039759559.1	Bany_01633-RA, Bany_13781-RA
OG0001833	XP_039752723.1	Bany_01096-RA
OG0001834	XP_039761302.1	Bany_17526-RA
OG0001835	XP_039765482.1, XP_039765481.1	Bany_00208-RA
OG0001836	XP_039760593.1	Bany_17848-RA
OG0001837	XP_039754032.1, XP_039762734.1	Bany_02479-RA, Bany_12883-RA, Bany_02056-RA
OG0001838	XP_039747822.1	Bany_00216-RA, Bany_06706-RA
OG0001839	XP_039752754.1	Bany_04502-RA
OG0001839	XP_039752724.1	Bany_04501-RA
OG0001840	XP_039747925.1	Bany_06708-RA
OG0001841	XP_039747365.1	Bany_02820-RA
OG0001842	XP_039748229.1	Bany_16616-RA
OG0001843	XP_039761190.1	Bany_02068-RA, Bany_02069-RA, Bany_02067-RA
OG0001844	XP_039763876.1, XP_039763877.1	Bany_07739-RA, Bany_07314-RA
OG0001845	XP_039746016.1, XP_039746018.1	Bany_05350-RA
OG0001846	XP_039754830.1	Bany_15625-RA
OG0001847	XP_039747899.1	Bany_16622-RA
OG0001848	XP_039748382.1, XP_039748381.1, XP_039748383.1	Bany_06726-RA
OG0001849	XP_039746011.1	Bany_05353-RA
OG0001851	XP_039757855.1	Bany_09527-RA
OG0001852	XP_039760691.1	Bany_17873-RA
OG0001853	XP_039745881.1	Bany_05354-RA
OG0001854	XP_039750333.1	Bany_11115-RA
OG0001854	XP_039757854.1	Bany_09528-RA
OG0001855	XP_039754855.1	Bany_15636-RA
OG0001856	XP_039756561.1, XP_039756562.1	Bany_14453-RA, Bany_14454-RA
OG0001857	XP_039758313.1	Bany_04522-RA
OG0001858	XP_039758363.1	Bany_15020-RA
OG0001859	XP_039756539.1, XP_039756530.1, XP_039756547.1	Bany_04531-RA
OG0001860	XP_039763822.1	Bany_07327-RA
OG0001861	XP_039746695.1, XP_039746678.1, XP_039746688.1	Bany_02093-RA
OG0001862	XP_039751542.1	Bany_06061-RA
OG0001863	XP_039748573.1	Bany_10048-RA
OG0001864	XP_039751341.1	Bany_02095-RA
OG0001866	XP_039764793.1	Bany_03644-RA
OG0001867	XP_039757377.1	Bany_13233-RA
OG0001868	XP_039748102.1, XP_039748101.1	Bany_16634-RA, Bany_16632-RA, Bany_16633-RA
OG0001869	XP_039750903.1	Bany_10815-RA, Bany_10816-RA
OG0001870	XP_039747145.1	Bany_02836-RA
OG0001871	XP_039747949.1, XP_039747941.1	Bany_02100-RA
OG0001872	XP_039747156.1	Bany_02101-RA
OG0001873	XP_039754308.1, XP_039754301.1	Bany_04548-RA
OG0001874	XP_039753173.1	Bany_08815-RA
OG0001875	XP_039748527.1	Bany_08817-RA
OG0001875	XP_039749226.1	Bany_10259-RA
OG0001876	XP_039765641.1	Bany_00242-RA, Bany_14823-RA
OG0001877	XP_039762661.1	Bany_16306-RA
OG0001878	XP_039756822.1	Bany_04552-RA
OG0001879	XP_039749804.1	Bany_02110-RA
OG0001880	XP_039749369.1	Bany_11982-RA
OG0001881	XP_039759444.1	Bany_11361-RA
OG0001882	XP_039753924.1	Bany_08138-RA
OG0001883	XP_039760926.1, XP_039760929.1, XP_039760927.1, XP_039760928.1	Bany_17543-RA
OG0001884	XP_039751020.1	Bany_06101-RA
OG0001885	XP_039758483.1, XP_039758484.1, XP_039758485.1, XP_039758486.1	Bany_15042-RA
OG0001886	XP_039758646.1	Bany_15047-RA
OG0001887	XP_039762904.1	Bany_16334-RA
OG0001888	XP_039758893.1	Bany_06210-RA, Bany_04567-RA
OG0001889	XP_039763610.1, XP_039763611.1	Bany_07356-RA
OG0001890	XP_039753764.1, XP_039753763.1	Bany_08145-RA, Bany_08144-RA
OG0001891	XP_039747882.1	Bany_06793-RA
OG0001892	XP_039751920.1	Bany_01166-RA
OG0001893	XP_039752689.1	Bany_01168-RA
OG0001894	XP_039747479.1	Bany_02878-RA
OG0001895	XP_039751016.1	Bany_06118-RA
OG0001896	XP_039761926.1, XP_039761927.1, XP_039761924.1	Bany_12818-RA
OG0001897	XP_039745709.1, XP_039745701.1	Bany_05390-RA
OG0001898	XP_039752987.1, XP_039752988.1	Bany_08845-RA
OG0001899	XP_039750142.1, XP_039750093.1	Bany_12005-RA
OG0001900	XP_039758479.1	Bany_15062-RA
OG0001901	XP_039755727.1	Bany_13834-RA
OG0001902	XP_039765197.1	Bany_03704-RA
OG0001903	XP_039756553.1	Bany_14497-RA
OG0001904	XP_039758203.1, XP_039758204.1	Bany_15064-RA
OG0001905	XP_039758139.1	Bany_04592-RA
OG0001906	XP_039751391.1	Bany_06519-RA, Bany_17904-RA
OG0001907	XP_039758039.1	Bany_09566-RA, Bany_09565-RA
OG0001908	XP_039753118.1	Bany_08859-RA
OG0001909	XP_039760492.1, XP_039760491.1	Bany_17907-RA
OG0001910	XP_039760922.1	Bany_17559-RA
OG0001911	XP_039745563.1	Bany_05406-RA
OG0001912	XP_039763537.1	Bany_07365-RA, Bany_07364-RA
OG0001913	XP_039758099.1	Bany_09567-RA
OG0001914	XP_039757657.1	Bany_09569-RA
OG0001915	XP_039762927.1	Bany_16376-RA
OG0001916	XP_039765066.1	Bany_03714-RA, Bany_03718-RA
OG0001917	XP_039748563.1, XP_039748562.1	Bany_10113-RA
OG0001918	XP_039755957.1, XP_039755956.1	Bany_13856-RA
OG0001919	XP_039756176.1	Bany_14499-RA
OG0001920	XP_039761093.1	Bany_00418-RA, Bany_08421-RA, Bany_17571-RA
OG0001921	XP_039755802.1	Bany_13864-RA
OG0001922	XP_039760807.1	Bany_17923-RA
OG0001923	XP_039763266.1, XP_039763267.1	Bany_07376-RA
OG0001924	XP_039762020.1	Bany_12871-RA
OG0001925	XP_039747405.1, XP_039747403.1, XP_039747404.1	Bany_03347-RA, Bany_17924-RA
