Orthogroup	Pararge_aegeria	Junonia_coenia
OG0001258	XP_039751812.1, XP_039752329.1	JC_11836-RA
OG0001259	XP_039755100.1	JC_00862-RA
OG0001260	XP_039752117.1	JC_11841-RA
OG0001261	XP_039751686.1	JC_09212-RA
OG0001261	XP_039751599.1	JC_09211-RA
OG0001262	XP_039745751.1, XP_039745753.1, XP_039745752.1	JC_02836-RA
OG0001263	XP_039754448.1	JC_03054-RA, JC_03053-RA
OG0001264	XP_039745121.1, XP_039745128.1	JC_13467-RA
OG0001265	XP_039765310.1	JC_00126-RA, JC_00125-RA, JC_00127-RA
OG0001266	XP_039758691.1	JC_13455-RA
OG0001267	XP_039749889.1	JC_13453-RA
OG0001269	XP_039751731.1, XP_039751734.1	JC_00930-RA, JC_00931-RA
OG0001270	XP_039765549.1	JC_00104-RA, JC_00103-RA
OG0001271	XP_039753870.1	JC_03009-RA, JC_03013-RA, JC_03014-RA, JC_03012-RA
OG0001272	XP_039748973.1, XP_039748965.1, XP_039748982.1, XP_039748956.1	JC_13421-RA
OG0001273	XP_039760790.1	JC_00953-RA
OG0001274	XP_039765381.1, XP_039765382.1, XP_039765383.1	JC_00087-RA
OG0001275	XP_039749416.1	JC_13407-RA
OG0001276	XP_039764526.1	JC_08593-RA
OG0001278	XP_039746076.1	JC_02783-RA
OG0001279	XP_039763979.1, XP_039764123.1, XP_039763960.1	JC_01683-RA
OG0001280	XP_039752478.1, XP_039752480.1, XP_039752481.1, XP_039752479.1	JC_11623-RA
OG0001281	XP_039764883.1, XP_039764521.1	JC_08560-RA
OG0001282	XP_039765967.1, XP_039765952.1	JC_13356-RA
OG0001283	XP_039748416.1	JC_13349-RA
OG0001284	XP_039750030.1	JC_13348-RA
OG0001285	XP_039763845.1, XP_039763844.1	JC_01769-RA
OG0001286	XP_039755132.1	JC_05147-RA
OG0001287	XP_039763056.1, XP_039762837.1, XP_039764278.1, XP_039763058.1, XP_039764260.1, XP_039764251.1	JC_16638-RA, JC_16637-RA
OG0001289	XP_039754073.1, XP_039754182.1, XP_039754181.1, XP_039754180.1, XP_039753961.1, XP_039754072.1, XP_039753962.1, XP_039754183.1, XP_039754074.1, XP_039754075.1	JC_03576-RA
OG0001290	XP_039755814.1, XP_039765281.1, XP_039762532.1, XP_039763642.1, XP_039763695.1	JC_08138-RA
OG0001290	XP_039755212.1, XP_039763120.1	JC_14081-RA, JC_02959-RA
OG0001291	XP_039745970.1, XP_039745971.1	JC_02318-RA
OG0001293	XP_039750857.1, XP_039750875.1	JC_06171-RA
OG0001302	XP_039762312.1, XP_039762311.1	JC_17054-RA
OG0001303	XP_039757077.1	JC_11476-RA
OG0001304	XP_039756811.1	JC_11477-RA
OG0001305	XP_039748578.1, XP_039748577.1	JC_04416-RA
OG0001306	XP_039755005.1	JC_05232-RA
OG0001307	XP_039750247.1, XP_039750248.1, XP_039750246.1	JC_06337-RA
OG0001308	XP_039760230.1, XP_039760231.1	JC_13129-RA
OG0001310	XP_039762097.1, XP_039762096.1	JC_17043-RA, JC_17044-RA
OG0001311	XP_039753048.1	JC_07353-RA
OG0001312	XP_039752818.1, XP_039752819.1	JC_16174-RA, JC_16173-RA
OG0001314	XP_039758661.1	JC_12168-RA
OG0001315	XP_039747968.1, XP_039747965.1, XP_039747967.1, XP_039747966.1	JC_14046-RA
OG0001318	XP_039760692.1	JC_14970-RA, JC_14971-RA
OG0001319	XP_039749732.1, XP_039749729.1, XP_039749731.1	JC_08668-RA
OG0001320	XP_039755284.1	JC_06696-RA
OG0001321	XP_039752455.1	JC_16214-RA, JC_16215-RA
OG0001322	XP_039752091.1	JC_16216-RA
OG0001324	XP_039757034.1	JC_11487-RA
OG0001325	XP_039764004.1	JC_01899-RA
OG0001326	XP_039754919.1	JC_05575-RA
OG0001326	XP_039755244.1	JC_05577-RA, JC_05576-RA
OG0001327	XP_039746704.1	JC_14357-RA, JC_14356-RA
OG0001330	XP_039760453.1	JC_15053-RA, JC_15054-RA
OG0001331	XP_039756943.1	JC_11496-RA, JC_11497-RA
OG0001333	XP_039748485.1	JC_14052-RA
OG0001334	XP_039749199.1	JC_14614-RA
OG0001335	XP_039752912.1	JC_07325-RA
OG0001337	XP_039751837.1	JC_16227-RA
OG0001338	XP_039747851.1	JC_15892-RA
OG0001339	XP_039748053.1	JC_14061-RA
OG0001341	XP_039762446.1	JC_17161-RA
OG0001342	XP_039761208.1, XP_039761293.1	JC_15547-RA
OG0001343	XP_039759743.1	JC_13012-RA
OG0001344	XP_039752802.1	JC_16198-RA, JC_16197-RA
OG0001345	XP_039765421.1, XP_039765420.1, XP_039765419.1	JC_00712-RA
OG0001346	XP_039764683.1	JC_07946-RA, JC_07944-RA
OG0001347	XP_039755741.1	JC_06765-RA
OG0001349	XP_039760519.1	JC_15032-RA
OG0001350	XP_039760580.1, XP_039760581.1	JC_14670-RA
OG0001352	XP_039758109.1, XP_039758111.1, XP_039758110.1, XP_039758108.1	JC_12799-RA
OG0001353	XP_039762354.1, XP_039762353.1, XP_039762352.1	JC_17095-RA
OG0001354	XP_039762402.1	JC_17103-RA
OG0001355	XP_039757908.1, XP_039758027.1	JC_12726-RA, JC_12728-RA, JC_12730-RA, JC_12729-RA
OG0001356	XP_039759321.1	JC_10364-RA, JC_10365-RA
OG0001358	XP_039765536.1	JC_00760-RA
OG0001360	XP_039752039.1, XP_039752041.1, XP_039752040.1	JC_16243-RA, JC_16261-RA
OG0001361	XP_039746214.1, XP_039746097.1	JC_02346-RA
OG0001362	XP_039749828.1	JC_08689-RA, JC_08690-RA
OG0001363	XP_039746017.1	JC_14381-RA
OG0001364	XP_039748200.1	JC_15992-RA, JC_15991-RA
OG0001365	XP_039746915.1, XP_039746914.1	JC_03688-RA
OG0001366	XP_039763630.1, XP_039763628.1, XP_039763629.1	JC_02257-RA
OG0001367	XP_039745181.1	JC_00777-RA, JC_00780-RA, JC_00778-RA
OG0001368	XP_039763088.1	JC_02255-RA, JC_02254-RA
OG0001368	XP_039763625.1	JC_02256-RA
OG0001369	XP_039749141.1	JC_04492-RA, JC_04494-RA
OG0001370	XP_039760702.1	JC_14880-RA
OG0001371	XP_039749891.1	JC_08697-RA
OG0001372	XP_039756711.1	JC_10569-RA, JC_10571-RA
OG0001373	XP_039745437.1	JC_00698-RA
OG0001374	XP_039754894.1, XP_039754886.1, XP_039754879.1	JC_01549-RA
OG0001376	XP_039765362.1	JC_00797-RA
OG0001376	XP_039762308.1, XP_039762309.1	JC_08023-RA
OG0001377	XP_039748165.1	JC_14129-RA
OG0001378	XP_039748265.1	JC_13847-RA
OG0001379	XP_039745331.1, XP_039745330.1	JC_17199-RA, JC_17198-RA
OG0001380	XP_039764219.1	JC_02303-RA
OG0001381	XP_039761973.1	JC_17136-RA
OG0001382	XP_039756130.1	JC_10585-RA
OG0001383	XP_039745946.1	JC_02328-RA, JC_02329-RA
OG0001385	XP_039749675.1	JC_08717-RA, JC_08718-RA
OG0001386	XP_039754451.1	JC_03598-RA
OG0001387	XP_039747348.1, XP_039747347.1	JC_03712-RA
OG0001388	XP_039754429.1	JC_03594-RA, JC_03593-RA
OG0001389	XP_039749903.1	JC_08724-RA
OG0001389	XP_039749902.1	JC_08723-RA
OG0001390	XP_039747415.1	JC_03722-RA
OG0001391	XP_039751294.1	JC_09791-RA
OG0001392	XP_039747512.1	JC_14465-RA
OG0001393	XP_039749067.1	JC_04924-RA, JC_04527-RA, JC_04523-RA
OG0001394	XP_039754943.1	JC_05471-RA
OG0001395	XP_039748324.1	JC_14160-RA
OG0001396	XP_039748191.1	JC_16042-RA
OG0001397	XP_039762864.1	JC_16762-RA
OG0001398	XP_039760531.1	JC_14897-RA
OG0001399	XP_039752126.1	JC_16304-RA
OG0001399	XP_039752009.1	JC_16303-RA
OG0001400	XP_039757805.1, XP_039757807.1, XP_039757808.1, XP_039757806.1	JC_12524-RA
OG0001401	XP_039750656.1	JC_06187-RA
OG0001402	XP_039758144.1	JC_12244-RA
OG0001405	XP_039760744.1	JC_14838-RA
OG0001406	XP_039753546.1, XP_039753545.1	JC_07508-RA, JC_07509-RA
OG0001407	XP_039752299.1	JC_16366-RA
OG0001408	XP_039762587.1	JC_16671-RA
OG0001409	XP_039764119.1, XP_039754175.1	JC_03509-RA
OG0001410	XP_039757905.1	JC_12483-RA
OG0001411	XP_039753955.1	JC_03507-RA
OG0001412	XP_039756667.1	JC_10722-RA, JC_10721-RA
OG0001413	XP_039751578.1	JC_09659-RA
OG0001415	XP_039748916.1, XP_039748913.1	JC_04383-RA
OG0001416	XP_039762472.1	JC_16470-RA
OG0001417	XP_039759248.1	JC_10152-RA, JC_10153-RA
OG0001418	XP_039752660.1, XP_039752677.1, XP_039752651.1, XP_039752668.1	JC_01476-RA
OG0001419	XP_039760343.1, XP_039760355.1, XP_039760337.1, XP_039760348.1	JC_01471-RA
OG0001420	XP_039765082.1, XP_039765081.1	JC_08062-RA
OG0001421	XP_039759878.1	JC_12853-RA
OG0001422	XP_039748075.1	JC_14008-RA
OG0001423	XP_039750623.1	JC_06382-RA
OG0001424	XP_039763105.1, XP_039763106.1	JC_02249-RA, JC_02251-RA
OG0001426	XP_039751992.1	JC_12134-RA
OG0001427	XP_039751573.1, XP_039751570.1, XP_039751571.1, XP_039751572.1	JC_09592-RA, JC_09591-RA, JC_09590-RA
OG0001428	XP_039763658.1, XP_039763659.1, XP_039763657.1	JC_02244-RA
OG0001429	XP_039745803.1	JC_02508-RA
OG0001430	XP_039760340.1, XP_039760154.1	JC_13093-RA
OG0001431	XP_039747954.1, XP_039747953.1	JC_15950-RA
OG0001432	XP_039763710.1	JC_01948-RA, JC_01949-RA
OG0001433	XP_039747168.1	JC_13570-RA, JC_13562-RA
OG0001434	XP_039759142.1	JC_10120-RA
OG0001435	XP_039747067.1, XP_039747066.1	JC_03834-RA
OG0001436	XP_039747959.1	JC_15948-RA
OG0001437	XP_039751175.1, XP_039751176.1	JC_09566-RA
OG0001438	XP_039746690.1	JC_04097-RA
OG0001438	XP_039747307.1	JC_04095-RA
OG0001439	XP_039748591.1	JC_04581-RA
OG0001440	XP_039757669.1	JC_12763-RA
OG0001441	XP_039754472.1, XP_039754473.1	JC_03432-RA
OG0001442	XP_039753712.1	JC_07446-RA
OG0001443	XP_039759440.1	JC_01386-RA
OG0001445	XP_039762254.1, XP_039762235.1, XP_039762236.1	JC_16997-RA
OG0001446	XP_039755714.1	JC_06972-RA, JC_06973-RA
OG0001447	XP_039748741.1	JC_04628-RA
OG0001448	XP_039759872.1, XP_039759873.1, XP_039759871.1	JC_13061-RA
OG0001449	XP_039751646.1	JC_09535-RA
OG0001450	XP_039759024.1	JC_10074-RA
OG0001451	XP_039754035.1, XP_039754490.1	JC_03436-RA
OG0001452	XP_039759586.1	JC_10059-RA
OG0001453	XP_039761905.1	JC_16904-RA
OG0001454	XP_039759817.1, XP_039759818.1	JC_13046-RA
OG0001455	XP_039745573.1	JC_02553-RA, JC_02552-RA
OG0001456	XP_039755344.1	JC_06950-RA, JC_06949-RA, JC_06948-RA
OG0001457	XP_039765366.1	JC_00602-RA
OG0001458	XP_039755440.1, XP_039755441.1	JC_06947-RA
OG0001459	XP_039755540.1, XP_039755539.1	JC_06944-RA
OG0001460	XP_039764221.1, XP_039763384.1	JC_02010-RA
OG0001461	XP_039762603.1, XP_039762606.1, XP_039762605.1, XP_039762604.1	JC_16506-RA, JC_16505-RA, JC_16504-RA
OG0001462	XP_039751086.1	JC_09519-RA
OG0001463	XP_039756040.1	JC_10676-RA, JC_10674-RA
OG0001464	XP_039746907.1, XP_039746906.1	JC_03881-RA
OG0001465	XP_039756056.1	JC_10679-RA
OG0001467	XP_039747645.1	JC_15866-RA, JC_15869-RA, JC_15868-RA
OG0001468	XP_039747779.1	JC_13959-RA
OG0001469	XP_039756746.1	JC_10688-RA, JC_10690-RA
OG0001470	XP_039755908.1	JC_07040-RA
OG0001471	XP_039745928.1	JC_02583-RA
OG0001472	XP_039751368.1, XP_039751369.1, XP_039751367.1	JC_09506-RA
OG0001473	XP_039762035.1	JC_16931-RA, JC_16929-RA, JC_16930-RA
OG0001474	XP_039748159.1, XP_039748160.1, XP_039748158.1	JC_15883-RA
OG0001475	XP_039748208.1	JC_13942-RA
OG0001476	XP_039747643.1, XP_039747642.1	JC_15884-RA
OG0001477	XP_039747591.1	JC_13941-RA
OG0001479	XP_039752980.1, XP_039752971.1	JC_01131-RA
OG0001480	XP_039756470.1	JC_10826-RA
OG0001481	XP_039757783.1	JC_12315-RA, JC_12316-RA
OG0001482	XP_039750565.1	JC_14287-RA, JC_14288-RA
OG0001483	XP_039745039.1	JC_00567-RA
OG0001484	XP_039756760.1	JC_11468-RA
OG0001485	XP_039749054.1	JC_04678-RA
OG0001486	XP_039750280.1	JC_06467-RA
OG0001487	XP_039751182.1	JC_09482-RA
OG0001487	XP_039751645.1	JC_09481-RA
OG0001488	XP_039760557.1, XP_039760554.1, XP_039760553.1, XP_039760552.1	JC_14801-RA
OG0001489	XP_039746201.1, XP_039750312.1	JC_14226-RA, JC_03240-RA
OG0001490	XP_039760957.1, XP_039760956.1	JC_15721-RA
OG0001492	XP_039763807.1, XP_039763806.1, XP_039763805.1	JC_02060-RA
OG0001493	XP_039751976.1	JC_11666-RA
OG0001494	XP_039747924.1	JC_13899-RA, JC_13900-RA
OG0001495	XP_039760300.1	JC_13203-RA
OG0001496	XP_039762038.1	JC_16879-RA, JC_16876-RA
OG0001496	XP_039762039.1	JC_16877-RA
OG0001497	XP_039747625.1	JC_13903-RA
OG0001499	XP_039757438.1	JC_12253-RA, JC_12252-RA
OG0001500	XP_039758714.1	JC_05946-RA, JC_05945-RA
OG0001502	XP_039753113.1	JC_07592-RA
OG0001503	XP_039752222.1	JC_12113-RA, JC_12114-RA
OG0001504	XP_039747615.1	JC_15823-RA
OG0001505	XP_039757966.1, XP_039757980.1, XP_039757972.1	JC_01179-RA
OG0001506	XP_039758152.1	JC_12248-RA
OG0001507	XP_039759792.1, XP_039759793.1, XP_039759794.1	JC_13207-RA
OG0001508	XP_039749107.1, XP_039749108.1	JC_04758-RA
OG0001509	XP_039757386.1	JC_01182-RA
OG0001511	XP_039759240.1, XP_039759233.1	JC_01183-RA
OG0001512	XP_039754261.1	JC_03334-RA
OG0001513	XP_039760662.1	JC_14719-RA
OG0001514	XP_039755054.1	JC_05309-RA
OG0001515	XP_039754948.1	JC_01203-RA
OG0001516	XP_039755265.1, XP_039755264.1	JC_07152-RA
OG0001519	XP_039755028.1, XP_039755031.1	JC_05305-RA
OG0001519	XP_039755029.1	JC_05304-RA
OG0001520	XP_039752217.1	JC_11924-RA
OG0001521	XP_039752572.1, XP_039751967.1, XP_039752372.1	JC_11927-RA
OG0001522	XP_039764189.1	JC_08287-RA
OG0001523	XP_039753871.1, XP_039753880.1	JC_01217-RA
OG0001524	XP_039757758.1	JC_12565-RA
OG0001526	XP_039758402.1, XP_039758403.1	JC_05905-RA, JC_05907-RA, JC_05909-RA, JC_05906-RA
OG0001527	XP_039748701.1, XP_039749338.1	JC_13718-RA
OG0001528	XP_039749086.1	JC_04916-RA, JC_04915-RA
OG0001529	XP_039759892.1, XP_039759891.1	JC_13222-RA
OG0001530	XP_039765461.1	JC_00384-RA
OG0001531	XP_039761092.1	JC_15748-RA, JC_15749-RA
OG0001532	XP_039752483.1, XP_039752484.1	JC_11949-RA
OG0001533	XP_039764069.1	JC_02135-RA
OG0001534	XP_039756920.1	JC_11225-RA
OG0001535	XP_039760193.1	JC_01246-RA
OG0001536	XP_039751482.1	JC_09406-RA
OG0001537	XP_039750272.1	JC_15505-RA
OG0001537	XP_039763556.1	JC_02137-RA
OG0001538	XP_039748989.1	JC_04902-RA
OG0001539	XP_039765800.1	JC_00319-RA
OG0001540	XP_039745692.1	JC_02694-RA
OG0001541	XP_039754515.1	JC_03281-RA
OG0001542	XP_039760399.1	JC_14737-RA, JC_14736-RA
OG0001543	XP_039752123.1	JC_11971-RA
OG0001544	XP_039754257.1, XP_039754256.1, XP_039754258.1	JC_03279-RA
OG0001545	XP_039755016.1	JC_13676-RA, JC_13693-RA
OG0001546	XP_039755564.1	JC_07140-RA
OG0001547	XP_039760657.1	JC_14744-RA
OG0001548	XP_039749487.1	JC_08810-RA
OG0001549	XP_039748777.1	JC_04879-RA, JC_04880-RA
OG0001550	XP_039764135.1, XP_039764133.1, XP_039764132.1	JC_02154-RA
OG0001551	XP_039757810.1	JC_12280-RA
OG0001552	XP_039765681.1	JC_00359-RA
OG0001553	XP_039752172.1, XP_039752173.1	JC_11986-RA
OG0001554	XP_039759155.1	JC_10344-RA, JC_10348-RA
OG0001555	XP_039764590.1, XP_039764589.1, XP_039764591.1	JC_08335-RA
OG0001556	XP_039765115.1, XP_039765114.1, XP_039765113.1	JC_08344-RA
OG0001557	XP_039752955.1	JC_07539-RA
OG0001558	XP_039759940.1, XP_039759941.1, XP_039759939.1, XP_039759942.1	JC_13260-RA
OG0001559	XP_039753039.1	JC_07666-RA
OG0001559	XP_039753034.1	JC_07665-RA
OG0001560	XP_039755309.1	JC_07112-RA
OG0001561	XP_039746747.1	JC_04130-RA
OG0001562	XP_039753735.1	JC_07686-RA
OG0001563	XP_039756185.1	JC_10933-RA
OG0001564	XP_039748058.1	JC_13755-RA
OG0001565	XP_039758569.1	JC_00260-RA, JC_05711-RA
OG0001566	XP_039752429.1, XP_039752426.1, XP_039752428.1	JC_12036-RA, JC_12037-RA
OG0001567	XP_039750485.1, XP_039750483.1, XP_039750484.1	JC_06671-RA
OG0001568	XP_039757390.1	JC_13626-RA
OG0001570	XP_039750961.1, XP_039750960.1	JC_06664-RA
OG0001571	XP_039751365.1, XP_039751606.1	JC_09341-RA
OG0001572	XP_039748790.1, XP_039748788.1	JC_04852-RA
OG0001573	XP_039747538.1	JC_13789-RA, JC_13788-RA
OG0001574	XP_039746777.1	JC_04150-RA, JC_04151-RA, JC_04153-RA
OG0001576	XP_039754559.1	JC_03220-RA
OG0001577	XP_039765716.1	JC_00429-RA, JC_00428-RA, JC_00427-RA
OG0001578	XP_039755377.1	JC_01050-RA
OG0001579	XP_039765723.1, XP_039765722.1	JC_00435-RA
OG0001580	XP_039758699.1	JC_05805-RA
OG0001581	XP_039765478.1	JC_00310-RA
OG0001582	XP_039765781.1	JC_00308-RA
OG0001583	XP_039761620.1	JC_15382-RA
OG0001584	XP_039745361.1	JC_00301-RA, JC_00302-RA, JC_00303-RA
OG0001585	XP_039763348.1	JC_01854-RA, JC_01853-RA
OG0001586	XP_039761614.1, XP_039761615.1, XP_039761616.1, XP_039761617.1	JC_15509-RA
OG0001587	XP_039758938.1, XP_039758939.1	JC_10452-RA
OG0001588	XP_039758799.1	JC_05794-RA
OG0001589	XP_039756425.1, XP_039756354.1	JC_10972-RA
OG0001590	XP_039752580.1, XP_039752608.1	JC_12078-RA, JC_12079-RA, JC_12080-RA
OG0001591	XP_039757047.1	JC_11145-RA
OG0001592	XP_039750463.1	JC_06652-RA
OG0001593	XP_039752613.1	JC_01070-RA
OG0001594	XP_039748597.1	JC_04815-RA
OG0001595	XP_039757987.1, XP_039757984.1, XP_039757985.1, XP_039757986.1	JC_12576-RA
OG0001596	XP_039755684.1	JC_07054-RA
OG0001597	XP_039765053.1	JC_08454-RA, JC_08455-RA
OG0001598	XP_039754452.1	JC_03176-RA
OG0001599	XP_039761439.1	JC_01096-RA
OG0001600	XP_039764307.1, XP_039763087.1, XP_039764328.1, XP_039752854.1	JC_07776-RA
OG0001601	XP_039749451.1, XP_039749452.1	JC_09039-RA, JC_09040-RA, JC_09041-RA
OG0001602	XP_039758235.1, XP_039758236.1	JC_05831-RA, JC_05832-RA
OG0001603	XP_039752017.1	JC_16192-RA, JC_16195-RA, JC_16194-RA, JC_16196-RA
OG0001604	XP_039752131.1	JC_11772-RA
OG0001605	XP_039751954.1	JC_11779-RA
OG0001607	XP_039765861.1, XP_039765559.1	JC_00240-RA
OG0001608	XP_039755545.1	JC_07212-RA, JC_07211-RA
OG0001610	XP_039764742.1, XP_039764741.1, XP_039764743.1	JC_08490-RA
OG0001611	XP_039749959.1	JC_09071-RA
OG0001612	XP_039754096.1	JC_03126-RA, JC_03125-RA
OG0001613	XP_039754356.1	JC_03121-RA
OG0001614	XP_039761581.1	JC_15419-RA
OG0001615	XP_039748653.1	JC_13514-RA
OG0001616	XP_039756696.1	JC_11030-RA, JC_11029-RA
OG0001617	XP_039749569.1	JC_09097-RA, JC_09095-RA, JC_09096-RA
OG0001619	XP_039751498.1	JC_09252-RA
OG0001620	XP_039756794.1	JC_11093-RA, JC_11092-RA
OG0001621	XP_039752948.1	JC_07851-RA
OG0001622	XP_039758579.1, XP_039758581.1	JC_05743-RA
OG0001623	XP_039745442.1	JC_00164-RA
OG0001624	XP_039751064.1	JC_09204-RA
OG0001626	XP_039763113.1	JC_08523-RA, JC_08524-RA
OG0001627	XP_039751062.1	JC_09199-RA, JC_09200-RA
OG0001628	XP_039755112.1	JC_15510-RA, JC_00880-RA
OG0001629	XP_039755588.1	JC_00882-RA
OG0001630	XP_039753835.1, XP_039753836.1	JC_03050-RA
OG0001631	XP_039753824.1	JC_00890-RA
OG0001632	XP_039746478.1, XP_039746496.1, XP_039746487.1, XP_039746513.1, XP_039746505.1	JC_13468-RA
OG0001633	XP_039745126.1	JC_00149-RA
OG0001633	XP_039765306.1	JC_00146-RA, JC_00132-RA
OG0001634	XP_039751214.1	JC_09188-RA
OG0001635	XP_039753684.1	JC_07877-RA
OG0001636	XP_039757137.1	JC_10949-RA
OG0001637	XP_039749966.1	JC_09147-RA, JC_09146-RA, JC_09144-RA, JC_09143-RA
OG0001638	XP_039751932.1	JC_11905-RA, JC_11903-RA
OG0001639	XP_039764054.1	JC_01701-RA
OG0001640	XP_039749969.1, XP_039749970.1	JC_09157-RA
OG0001641	XP_039752595.1	JC_11649-RA
OG0001642	XP_039751879.1, XP_039751880.1	JC_11634-RA
OG0001643	XP_039745253.1, XP_039745252.1, XP_039745251.1, XP_039745254.1	JC_00093-RA
OG0001644	XP_039763781.1, XP_039763782.1, XP_039763783.1	JC_01678-RA
OG0001645	XP_039764940.1, XP_039764950.1, XP_039764928.1, XP_039764918.1	JC_13398-RA
OG0001647	XP_039753772.1	JC_02963-RA
OG0001648	XP_039752542.1	JC_13393-RA
OG0001649	XP_039745589.1	JC_02784-RA, JC_02786-RA
OG0001650	XP_039765029.1	JC_08580-RA
OG0001651	XP_039751919.1	JC_11621-RA
OG0001652	XP_039764413.1	JC_11625-RA
OG0001652	XP_039751865.1	JC_11624-RA
OG0001653	XP_039746980.1	JC_04245-RA, JC_04244-RA
OG0001656	XP_039745395.1	JC_14231-RA
OG0001657	XP_039751356.1	JC_09689-RA, JC_09687-RA
OG0001659	XP_039755619.1, XP_039755618.1	JC_11999-RA, JC_07218-RA
OG0001660	XP_039751979.1, XP_039751978.1	JC_11968-RA
OG0001662	XP_039748898.1	JC_14583-RA, JC_10787-RA, JC_11918-RA, JC_15183-RA, JC_11244-RA, JC_08349-RA, JC_02956-RA, JC_15326-RA, JC_12021-RA, JC_05960-RA
OG0001670	XP_039752328.1	JC_16374-RA, JC_16375-RA
OG0001671	XP_039760873.1	JC_14990-RA, JC_14992-RA
OG0001672	XP_039750874.1	JC_06135-RA
OG0001673	XP_039750977.1	JC_14256-RA, JC_14255-RA
OG0001674	XP_039748470.1, XP_039748469.1	JC_15959-RA
OG0001676	XP_039760651.1	JC_14829-RA
OG0001677	XP_039760334.1	JC_13121-RA
OG0001678	XP_039765920.1	JC_00695-RA, JC_00694-RA
OG0001680	XP_039756447.1	JC_10461-RA
OG0001681	XP_039762345.1, XP_039762343.1, XP_039762344.1, XP_039761455.1	JC_17049-RA
OG0001682	XP_039758468.1, XP_039758467.1	JC_05686-RA
OG0001683	XP_039750302.1, XP_039750303.1, XP_039750304.1	JC_06333-RA
OG0001684	XP_039750695.1, XP_039750693.1	JC_06335-RA, JC_06336-RA
OG0001685	XP_039761780.1, XP_039761781.1	JC_15228-RA
OG0001686	XP_039760792.1	JC_14834-RA
OG0001687	XP_039750239.1, XP_039750238.1	JC_06331-RA
OG0001688	XP_039758774.1, XP_039758773.1	JC_05687-RA
OG0001689	XP_039762773.1	JC_16705-RA, JC_16706-RA
OG0001690	XP_039758088.1	JC_12816-RA, JC_12815-RA, JC_12814-RA
OG0001691	XP_039751825.1	JC_16179-RA, JC_16178-RA
OG0001692	XP_039752165.1, XP_039752166.1	JC_16187-RA, JC_16184-RA
OG0001693	XP_039760126.1, XP_039760125.1	JC_07699-RA
OG0001695	XP_039753720.1, XP_039753443.1	JC_07342-RA
OG0001696	XP_039759693.1	JC_10265-RA
OG0001697	XP_039754513.1, XP_039754514.1	JC_03529-RA
OG0001698	XP_039745999.1, XP_039745998.1, XP_039745996.1, XP_039745997.1	JC_02411-RA
OG0001699	XP_039745952.1, XP_039745950.1	JC_02408-RA, JC_02409-RA
OG0001701	XP_039747919.1	JC_14626-RA
OG0001702	XP_039752381.1, XP_039752383.1, XP_039752382.1	JC_16221-RA
OG0001703	XP_039763276.1, XP_039763275.1	JC_01962-RA
OG0001704	XP_039762961.1	JC_16690-RA
OG0001705	XP_039748723.1	JC_14608-RA
OG0001706	XP_039761971.1	JC_17153-RA
OG0001707	XP_039762832.1	JC_16691-RA
OG0001708	XP_039750681.1, XP_039750683.1	JC_06290-RA
OG0001709	XP_039756000.1	JC_10485-RA
OG0001710	XP_039760828.1	JC_15047-RA
OG0001711	XP_039761122.1	JC_15559-RA
OG0001713	XP_039761657.1, XP_039761655.1, XP_039761656.1	JC_15209-RA
OG0001714	XP_039761023.1, XP_039761022.1	JC_15555-RA
OG0001715	XP_039749102.1	JC_04448-RA
OG0001716	XP_039749051.1	JC_04451-RA, JC_04450-RA
OG0001718	XP_039757617.1	JC_12805-RA, JC_12806-RA
OG0001719	XP_039762639.1, XP_039762638.1	JC_16704-RA
OG0001720	XP_039759108.1	JC_10277-RA
OG0001721	XP_039761317.1, XP_039761326.1	JC_15546-RA
OG0001722	XP_039755039.1, XP_039755239.1	JC_05551-RA
OG0001723	XP_039754635.1	JC_05538-RA, JC_05541-RA
OG0001724	XP_039747334.1	JC_03658-RA
OG0001725	XP_039765865.1	JC_14568-RA, JC_14569-RA
OG0001726	XP_039761235.1	JC_15526-RA
OG0001727	XP_039751759.1	JC_16152-RA
OG0001728	XP_039754993.1	JC_05530-RA
OG0001729	XP_039761074.1	JC_15521-RA
OG0001730	XP_039746873.1, XP_039749398.1	JC_14564-RA, JC_14565-RA
OG0001731	XP_039757729.1	JC_12788-RA
OG0001733	XP_039763212.1	JC_02288-RA, JC_02287-RA
OG0001734	XP_039761144.1	JC_15518-RA
OG0001735	XP_039755235.1	JC_05529-RA
OG0001736	XP_039754315.1	JC_03567-RA
OG0001738	XP_039746370.1	JC_02357-RA
OG0001739	XP_039757445.1	JC_12785-RA
OG0001740	XP_039759366.1, XP_039759375.1	JC_01581-RA
OG0001742	XP_039756643.1, XP_039756200.1	JC_10521-RA, JC_10520-RA
OG0001743	XP_039756160.1	JC_10522-RA
OG0001744	XP_039751503.1	JC_09771-RA, JC_09772-RA, JC_09773-RA
OG0001745	XP_039761247.1, XP_039761249.1, XP_039761248.1	JC_15516-RA
OG0001746	XP_039747489.1, XP_039747490.1, XP_039747488.1	JC_04269-RA
OG0001747	XP_039747052.1	JC_04272-RA
OG0001748	XP_039762103.1	JC_17106-RA
OG0001749	XP_039759533.1, XP_039759531.1, XP_039759532.1	JC_10298-RA
OG0001750	XP_039752115.1	JC_16165-RA
OG0001751	XP_039762970.1	JC_16739-RA
OG0001752	XP_039750834.1, XP_039750835.1	JC_06089-RA
OG0001753	XP_039756669.1	JC_01255-RA
