Orthogroup	Pararge_aegeria	Vanessa_cardui
OG0001167	XP_039746062.1	Vcard_DToL03614-RA
OG0001168	XP_039758149.1, XP_039758147.1, XP_039758159.1	Vcard_DToL14813-RA
OG0001169	XP_039748048.1	Vcard_DToL17499-RA, Vcard_DToL17501-RA
OG0001170	XP_039750305.1	Vcard_DToL10497-RA, Vcard_DToL10496-RA
OG0001171	XP_039758529.1	Vcard_DToL09858-RA, Vcard_DToL09859-RA
OG0001172	XP_039759726.1	Vcard_DToL15330-RA
OG0001173	XP_039760853.1, XP_039760698.1	Vcard_DToL16136-RA, Vcard_DToL16137-RA
OG0001174	XP_039756950.1	Vcard_DToL11289-RA
OG0001175	XP_039757468.1	Vcard_DToL14796-RA, Vcard_DToL14793-RA
OG0001177	XP_039764721.1, XP_039764724.1, XP_039764723.1	Vcard_DToL05956-RA
OG0001178	XP_039760855.1	Vcard_DToL16156-RA
OG0001178	XP_039760543.1	Vcard_DToL16157-RA
OG0001180	XP_039765649.1	Vcard_DToL02129-RA, Vcard_DToL02130-RA
OG0001181	XP_039749252.1, XP_039749229.1, XP_039749245.1, XP_039749238.1, XP_039749232.1	Vcard_DToL16327-RA
OG0001182	XP_039747992.1, XP_039747993.1, XP_039747991.1, XP_039747994.1	Vcard_DToL10139-RA
OG0001183	XP_039755153.1, XP_039755150.1, XP_039755152.1, XP_039755151.1	Vcard_DToL02875-RA
OG0001184	XP_039756680.1	Vcard_DToL12792-RA
OG0001186	XP_039757156.1	Vcard_DToL01569-RA
OG0001188	XP_039755460.1, XP_039755459.1, XP_039755461.1	Vcard_DToL11966-RA
OG0001189	XP_039756674.1, XP_039756458.1	Vcard_DToL12802-RA
OG0001190	XP_039750038.1	Vcard_DToL04711-RA
OG0001191	XP_039752261.1, XP_039752260.1	Vcard_DToL07856-RA
OG0001192	XP_039765376.1	Vcard_DToL02165-RA
OG0001193	XP_039761362.1	Vcard_DToL17076-RA, Vcard_DToL17075-RA, Vcard_DToL17074-RA
OG0001194	XP_039759801.1	Vcard_DToL15377-RA, Vcard_DToL15376-RA
OG0001195	XP_039757043.1	Vcard_DToL11061-RA
OG0001196	XP_039746624.1, XP_039746626.1	Vcard_DToL08632-RA
OG0001197	XP_039760466.1, XP_039760475.1, XP_039760457.1, XP_039760448.1	Vcard_DToL01614-RA
OG0001198	XP_039756248.1	Vcard_DToL12721-RA
OG0001199	XP_039756292.1, XP_039756293.1	Vcard_DToL12718-RA
OG0001200	XP_039758516.1	Vcard_DToL09806-RA
OG0001200	XP_039758729.1	Vcard_DToL09808-RA
OG0001201	XP_039760768.1	Vcard_DToL01282-RA
OG0001203	XP_039748184.1	Vcard_DToL14211-RA, Vcard_DToL14212-RA
OG0001204	XP_039761775.1	Vcard_DToL17301-RA, Vcard_DToL17302-RA
OG0001205	XP_039755861.1	Vcard_DToL11991-RA
OG0001206	XP_039764497.1	Vcard_DToL05849-RA, Vcard_DToL05848-RA
OG0001207	XP_039747396.1, XP_039747394.1, XP_039747398.1, XP_039747397.1	Vcard_DToL08580-RA
OG0001208	XP_039745569.1	Vcard_DToL03727-RA, Vcard_DToL03726-RA
OG0001209	XP_039752005.1	Vcard_DToL01249-RA, Vcard_DToL01248-RA
OG0001210	XP_039754540.1	Vcard_DToL04398-RA
OG0001211	XP_039757924.1	Vcard_DToL14431-RA, Vcard_DToL14432-RA
OG0001212	XP_039752865.1	Vcard_DToL09489-RA
OG0001213	XP_039754230.1	Vcard_DToL04415-RA
OG0001213	XP_039754088.1	Vcard_DToL04413-RA
OG0001214	XP_039759923.1	Vcard_DToL15415-RA, Vcard_DToL15414-RA
OG0001215	XP_039760558.1	Vcard_DToL16181-RA
OG0001216	XP_039752943.1	Vcard_DToL09315-RA
OG0001217	XP_039761720.1	Vcard_DToL17327-RA
OG0001219	XP_039765520.1, XP_039765521.1	Vcard_DToL02308-RA
OG0001220	XP_039752289.1, XP_039752288.1	Vcard_DToL07784-RA
OG0001221	XP_039756896.1, XP_039756894.1, XP_039756895.1, XP_039756897.1	Vcard_DToL11086-RA
OG0001222	XP_039755047.1, XP_039755048.1	Vcard_DToL03015-RA, Vcard_DToL03014-RA
OG0001223	XP_039745265.1	Vcard_DToL02301-RA
OG0001223	XP_039745268.1	Vcard_DToL02300-RA
OG0001224	XP_039759111.1, XP_039759110.1	Vcard_DToL13762-RA
OG0001225	XP_039758966.1	Vcard_DToL13757-RA, Vcard_DToL13755-RA
OG0001226	XP_039745451.1	Vcard_DToL02259-RA, Vcard_DToL02269-RA, Vcard_DToL02268-RA
OG0001227	XP_039753703.1	Vcard_DToL09272-RA, Vcard_DToL09271-RA
OG0001228	XP_039758035.1	Vcard_DToL14378-RA, Vcard_DToL14377-RA, Vcard_DToL14375-RA
OG0001230	XP_039748397.1	Vcard_DToL14284-RA
OG0001231	XP_039754571.1	Vcard_DToL04475-RA
OG0001232	XP_039756158.1	Vcard_DToL12600-RA
OG0001233	XP_039747865.1	Vcard_DToL14295-RA
OG0001234	XP_039763237.1, XP_039763229.1, XP_039763246.1	Vcard_DToL05742-RA
OG0001235	XP_039755627.1	Vcard_DToL12155-RA
OG0001236	XP_039755518.1	Vcard_DToL12145-RA, Vcard_DToL12142-RA
OG0001237	XP_039745522.1	Vcard_DToL02401-RA
OG0001238	XP_039745650.1	Vcard_DToL15615-RA, Vcard_DToL15616-RA
OG0001239	XP_039756106.1	Vcard_DToL15613-RA
OG0001240	XP_039761637.1, XP_039761645.1	Vcard_DToL01438-RA, Vcard_DToL01440-RA
OG0001241	XP_039765932.1, XP_039765933.1, XP_039765931.1	Vcard_DToL02421-RA
OG0001242	XP_039765023.1, XP_039764508.1	Vcard_DToL05667-RA
OG0001243	XP_039752566.1, XP_039752568.1, XP_039752567.1, XP_039752565.1, XP_039752564.1	Vcard_DToL08219-RA
OG0001244	XP_039755786.1	Vcard_DToL11911-RA
OG0001245	XP_039758882.1	Vcard_DToL10064-RA
OG0001245	XP_039758790.1	Vcard_DToL10065-RA
OG0001246	XP_039753023.1	Vcard_DToL09195-RA, Vcard_DToL09192-RA, Vcard_DToL09193-RA
OG0001247	XP_039765291.1, XP_039765290.1	Vcard_DToL15695-RA
OG0001248	XP_039750865.1	Vcard_DToL10304-RA, Vcard_DToL10305-RA
OG0001249	XP_039759479.1, XP_039759480.1	Vcard_DToL13785-RA
OG0001250	XP_039748881.1, XP_039748880.1, XP_039748882.1, XP_039748879.1	Vcard_DToL05310-RA
OG0001251	XP_039753419.1	Vcard_DToL09179-RA
OG0001252	XP_039760674.1, XP_039760672.1, XP_039760670.1, XP_039760673.1, XP_039760671.1	Vcard_DToL17850-RA
OG0001253	XP_039765005.1, XP_039765007.1, XP_039765006.1	Vcard_DToL05642-RA
OG0001254	XP_039759700.1	Vcard_DToL13769-RA, Vcard_DToL13770-RA
OG0001255	XP_039764212.1, XP_039764210.1, XP_039764209.1, XP_039764125.1, XP_039764211.1	Vcard_DToL00604-RA
OG0001256	XP_039751510.1	Vcard_DToL06976-RA
OG0001257	XP_039756440.1, XP_039756441.1, XP_039756439.1	Vcard_DToL12519-RA
OG0001258	XP_039751812.1	Vcard_DToL08143-RA
OG0001258	XP_039752329.1	Vcard_DToL08142-RA
OG0001260	XP_039752117.1	Vcard_DToL08132-RA, Vcard_DToL08131-RA
OG0001261	XP_039751686.1	Vcard_DToL07006-RA
OG0001261	XP_039751599.1	Vcard_DToL07007-RA
OG0001262	XP_039745751.1, XP_039745753.1, XP_039745752.1	Vcard_DToL03885-RA
OG0001263	XP_039754448.1	Vcard_DToL04653-RA
OG0001264	XP_039745121.1, XP_039745128.1	Vcard_DToL15768-RA
OG0001266	XP_039758691.1	Vcard_DToL15784-RA
OG0001267	XP_039749889.1	Vcard_DToL15787-RA
OG0001269	XP_039751731.1, XP_039751734.1	Vcard_DToL01303-RA, Vcard_DToL01304-RA
OG0001270	XP_039765549.1	Vcard_DToL02619-RA, Vcard_DToL02621-RA
OG0001271	XP_039753870.1	Vcard_DToL04704-RA, Vcard_DToL04702-RA
OG0001272	XP_039748973.1, XP_039748965.1, XP_039748982.1, XP_039748956.1	Vcard_DToL15815-RA
OG0001273	XP_039760790.1	Vcard_DToL01317-RA
OG0001274	XP_039765381.1, XP_039765382.1, XP_039765383.1	Vcard_DToL02638-RA
OG0001275	XP_039749416.1	Vcard_DToL15821-RA
OG0001276	XP_039764526.1	Vcard_DToL05509-RA
OG0001278	XP_039746076.1	Vcard_DToL03936-RA
OG0001279	XP_039763979.1, XP_039764123.1, XP_039763960.1	Vcard_DToL00624-RA
OG0001280	XP_039752478.1, XP_039752480.1, XP_039752481.1, XP_039752479.1	Vcard_DToL08039-RA
OG0001281	XP_039764883.1	Vcard_DToL05558-RA
OG0001281	XP_039764521.1	Vcard_DToL05559-RA
OG0001282	XP_039765967.1	Vcard_DToL15863-RA
OG0001283	XP_039748416.1	Vcard_DToL15878-RA
OG0001284	XP_039750030.1	Vcard_DToL15874-RA
OG0001285	XP_039763845.1, XP_039763844.1	Vcard_DToL00671-RA
OG0001286	XP_039755132.1	Vcard_DToL02812-RA
OG0001287	XP_039763056.1, XP_039762837.1, XP_039764278.1, XP_039763058.1, XP_039764260.1, XP_039764251.1	Vcard_DToL18793-RA
OG0001289	XP_039754073.1, XP_039754182.1, XP_039754181.1, XP_039754180.1, XP_039753961.1, XP_039754072.1, XP_039753962.1, XP_039754183.1, XP_039754074.1, XP_039754075.1	Vcard_DToL04086-RA
OG0001291	XP_039745970.1, XP_039745971.1	Vcard_DToL03423-RA
OG0001302	XP_039762312.1, XP_039762311.1	Vcard_DToL17905-RA, Vcard_DToL17907-RA
OG0001303	XP_039757077.1	Vcard_DToL11306-RA
OG0001304	XP_039756811.1	Vcard_DToL11307-RA
OG0001305	XP_039748578.1, XP_039748577.1	Vcard_DToL04869-RA
OG0001306	XP_039755005.1	Vcard_DToL03008-RA
OG0001307	XP_039750247.1, XP_039750248.1, XP_039750246.1	Vcard_DToL10610-RA
OG0001308	XP_039760230.1, XP_039760231.1	Vcard_DToL15295-RA
OG0001309	XP_039757523.1, XP_039757520.1, XP_039757525.1, XP_039757521.1, XP_039757519.1, XP_039757522.1	Vcard_DToL14944-RA
OG0001310	XP_039762097.1, XP_039762096.1	Vcard_DToL17892-RA
OG0001311	XP_039753048.1	Vcard_DToL09685-RA, Vcard_DToL09686-RA
OG0001312	XP_039752818.1, XP_039752819.1	Vcard_DToL18492-RA
OG0001315	XP_039747968.1, XP_039747965.1, XP_039747967.1, XP_039747966.1	Vcard_DToL14112-RA
OG0001316	XP_039760150.1	Vcard_DToL15304-RA
OG0001318	XP_039760692.1	Vcard_DToL15984-RA, Vcard_DToL15983-RA
OG0001319	XP_039749732.1, XP_039749729.1, XP_039749731.1	Vcard_DToL07164-RA
OG0001320	XP_039755284.1	Vcard_DToL12474-RA
OG0001321	XP_039752455.1	Vcard_DToL18342-RA
OG0001322	XP_039752091.1	Vcard_DToL18340-RA, Vcard_DToL18338-RA, Vcard_DToL18339-RA
OG0001324	XP_039757034.1	Vcard_DToL11322-RA
OG0001325	XP_039764004.1	Vcard_DToL00125-RA
OG0001326	XP_039754919.1, XP_039755244.1	Vcard_DToL03069-RA
OG0001327	XP_039746704.1	Vcard_DToL16482-RA, Vcard_DToL16481-RA
OG0001328	XP_039752499.1	Vcard_DToL16493-RA
OG0001330	XP_039760453.1	Vcard_DToL15891-RA
OG0001331	XP_039756943.1	Vcard_DToL11328-RA, Vcard_DToL11331-RA, Vcard_DToL11332-RA
OG0001333	XP_039748485.1	Vcard_DToL14108-RA
OG0001334	XP_039749199.1	Vcard_DToL16731-RA
OG0001336	XP_039755306.1	Vcard_DToL12463-RA
OG0001337	XP_039751837.1	Vcard_DToL18436-RA
OG0001338	XP_039747851.1	Vcard_DToL17502-RA
OG0001339	XP_039748053.1	Vcard_DToL14092-RA
OG0001341	XP_039762446.1	Vcard_DToL17793-RA
OG0001342	XP_039761208.1, XP_039761293.1	Vcard_DToL16795-RA
OG0001343	XP_039759743.1	Vcard_DToL15147-RA
OG0001344	XP_039752802.1	Vcard_DToL18544-RA
OG0001345	XP_039765421.1, XP_039765420.1, XP_039765419.1	Vcard_DToL01877-RA
OG0001346	XP_039764683.1	Vcard_DToL06293-RA, Vcard_DToL06285-RA, Vcard_DToL06287-RA, Vcard_DToL06294-RA
OG0001347	XP_039755741.1	Vcard_DToL12437-RA
OG0001349	XP_039760519.1	Vcard_DToL15914-RA
OG0001350	XP_039760581.1	Vcard_DToL16245-RA
OG0001352	XP_039758109.1, XP_039758111.1, XP_039758110.1, XP_039758108.1	Vcard_DToL14918-RA
OG0001353	XP_039762354.1, XP_039762353.1, XP_039762352.1	Vcard_DToL17826-RA
OG0001354	XP_039762402.1	Vcard_DToL17835-RA
OG0001355	XP_039757908.1, XP_039758027.1	Vcard_DToL14839-RA
OG0001356	XP_039759321.1	Vcard_DToL13705-RA, Vcard_DToL13707-RA, Vcard_DToL13706-RA
OG0001358	XP_039765536.1	Vcard_DToL01811-RA
OG0001359	XP_039753472.1	Vcard_DToL09588-RA
OG0001360	XP_039752039.1, XP_039752041.1, XP_039752040.1	Vcard_DToL18419-RA, Vcard_DToL18418-RA
OG0001361	XP_039746214.1, XP_039746097.1	Vcard_DToL03381-RA
OG0001362	XP_039749828.1	Vcard_DToL07142-RA, Vcard_DToL07139-RA, Vcard_DToL07140-RA
OG0001364	XP_039748200.1	Vcard_DToL17729-RA, Vcard_DToL17730-RA
OG0001365	XP_039746915.1, XP_039746914.1	Vcard_DToL09016-RA
OG0001366	XP_039763630.1, XP_039763628.1, XP_039763629.1	Vcard_DToL00065-RA
OG0001367	XP_039745181.1	Vcard_DToL01789-RA
OG0001368	XP_039763088.1	Vcard_DToL00069-RA, Vcard_DToL00071-RA
OG0001369	XP_039749141.1	Vcard_DToL04804-RA, Vcard_DToL04802-RA
OG0001370	XP_039760702.1	Vcard_DToL16061-RA, Vcard_DToL16062-RA
OG0001371	XP_039749891.1	Vcard_DToL07120-RA
OG0001373	XP_039745437.1	Vcard_DToL01897-RA
OG0001374	XP_039754894.1, XP_039754886.1, XP_039754879.1	Vcard_DToL00891-RA
OG0001376	XP_039765362.1	Vcard_DToL01774-RA
OG0001376	XP_039762308.1, XP_039762309.1	Vcard_DToL06191-RA
OG0001377	XP_039748165.1	Vcard_DToL13871-RA
OG0001378	XP_039748265.1	Vcard_DToL14185-RA
OG0001379	XP_039745331.1, XP_039745330.1	Vcard_DToL01766-RA
OG0001380	XP_039764219.1	Vcard_DToL00015-RA
OG0001382	XP_039756130.1	Vcard_DToL12993-RA
OG0001383	XP_039745946.1	Vcard_DToL03408-RA, Vcard_DToL03406-RA
OG0001384	XP_039764237.1, XP_039764269.1	Vcard_DToL18792-RA
OG0001385	XP_039749675.1	Vcard_DToL07096-RA, Vcard_DToL07094-RA
OG0001386	XP_039754451.1	Vcard_DToL04109-RA
OG0001387	XP_039747348.1, XP_039747347.1	Vcard_DToL08983-RA
OG0001388	XP_039754429.1	Vcard_DToL04104-RA
OG0001390	XP_039747415.1	Vcard_DToL08973-RA
OG0001391	XP_039751294.1	Vcard_DToL06412-RA, Vcard_DToL06414-RA
OG0001392	XP_039747512.1	Vcard_DToL16624-RA
OG0001393	XP_039749067.1	Vcard_DToL04779-RA, Vcard_DToL04785-RA
OG0001395	XP_039748324.1	Vcard_DToL13830-RA
OG0001396	XP_039748191.1	Vcard_DToL17683-RA
OG0001397	XP_039762864.1	Vcard_DToL18760-RA
OG0001398	XP_039760531.1	Vcard_DToL16045-RA
OG0001399	XP_039752126.1, XP_039752009.1	Vcard_DToL18314-RA
OG0001400	XP_039757805.1, XP_039757807.1, XP_039757808.1, XP_039757806.1	Vcard_DToL14554-RA
OG0001401	XP_039750656.1	Vcard_DToL10749-RA
OG0001404	XP_039754612.1	Vcard_DToL03179-RA
OG0001405	XP_039760744.1	Vcard_DToL16111-RA
OG0001406	XP_039753546.1, XP_039753545.1	Vcard_DToL09591-RA, Vcard_DToL09592-RA
OG0001407	XP_039752299.1	Vcard_DToL18305-RA
OG0001408	XP_039762587.1	Vcard_DToL18842-RA, Vcard_DToL18843-RA, Vcard_DToL18841-RA
OG0001409	XP_039764119.1, XP_039754175.1	Vcard_DToL03995-RA
OG0001410	XP_039757905.1	Vcard_DToL14596-RA
OG0001412	XP_039756667.1	Vcard_DToL12849-RA, Vcard_DToL12850-RA
OG0001413	XP_039751578.1	Vcard_DToL06892-RA
OG0001415	XP_039748916.1, XP_039748913.1	Vcard_DToL04894-RA, Vcard_DToL04893-RA
OG0001416	XP_039762472.1	Vcard_DToL18567-RA
OG0001417	XP_039759248.1	Vcard_DToL13469-RA, Vcard_DToL13468-RA
OG0001418	XP_039752660.1, XP_039752677.1, XP_039752651.1, XP_039752668.1	Vcard_DToL00996-RA
OG0001419	XP_039760343.1, XP_039760355.1, XP_039760337.1, XP_039760348.1	Vcard_DToL00999-RA
OG0001421	XP_039759878.1	Vcard_DToL14969-RA
OG0001422	XP_039748075.1	Vcard_DToL14016-RA
OG0001423	XP_039750623.1	Vcard_DToL10568-RA
OG0001424	XP_039763105.1, XP_039763106.1	Vcard_DToL00079-RA, Vcard_DToL00077-RA
OG0001426	XP_039751992.1	Vcard_DToL07669-RA
OG0001427	XP_039751573.1, XP_039751570.1, XP_039751571.1, XP_039751572.1	Vcard_DToL06613-RA
OG0001428	XP_039763658.1, XP_039763659.1, XP_039763657.1	Vcard_DToL00085-RA
OG0001429	XP_039745803.1	Vcard_DToL03500-RA
OG0001430	XP_039760340.1, XP_039760154.1	Vcard_DToL15247-RA
OG0001431	XP_039747954.1, XP_039747953.1	Vcard_DToL17562-RA
OG0001432	XP_039763710.1	Vcard_DToL00179-RA
OG0001433	XP_039747168.1	Vcard_DToL15617-RA
OG0001434	XP_039759142.1	Vcard_DToL13431-RA
OG0001435	XP_039747067.1, XP_039747066.1	Vcard_DToL08845-RA
OG0001436	XP_039747959.1	Vcard_DToL17557-RA
OG0001437	XP_039751175.1, XP_039751176.1	Vcard_DToL06635-RA
OG0001438	XP_039746690.1, XP_039747307.1	Vcard_DToL08591-RA
OG0001439	XP_039748591.1	Vcard_DToL04947-RA
OG0001440	XP_039757669.1	Vcard_DToL14880-RA, Vcard_DToL14879-RA
OG0001441	XP_039754472.1, XP_039754473.1	Vcard_DToL04229-RA
OG0001442	XP_039753712.1	Vcard_DToL09536-RA, Vcard_DToL09535-RA
OG0001443	XP_039759440.1	Vcard_DToL01106-RA
OG0001445	XP_039762254.1, XP_039762235.1, XP_039762236.1	Vcard_DToL18139-RA
OG0001446	XP_039755714.1	Vcard_DToL12205-RA
OG0001447	XP_039748741.1	Vcard_DToL04970-RA
OG0001448	XP_039759872.1, XP_039759873.1, XP_039759871.1	Vcard_DToL15202-RA
OG0001449	XP_039751646.1	Vcard_DToL06535-RA
OG0001450	XP_039759024.1	Vcard_DToL13376-RA, Vcard_DToL13377-RA
OG0001451	XP_039754035.1, XP_039754490.1	Vcard_DToL04223-RA
OG0001452	XP_039759586.1	Vcard_DToL13362-RA
OG0001453	XP_039762310.1	Vcard_DToL18154-RA
OG0001454	XP_039759817.1, XP_039759818.1	Vcard_DToL15185-RA
OG0001455	XP_039745573.1	Vcard_DToL03551-RA, Vcard_DToL03554-RA
OG0001456	XP_039755344.1	Vcard_DToL12239-RA
OG0001457	XP_039765366.1	Vcard_DToL02036-RA
OG0001458	XP_039755440.1, XP_039755441.1	Vcard_DToL12241-RA
OG0001459	XP_039755540.1, XP_039755539.1	Vcard_DToL12244-RA
OG0001460	XP_039764221.1, XP_039763384.1	Vcard_DToL00297-RA
OG0001462	XP_039751086.1	Vcard_DToL06513-RA, Vcard_DToL06512-RA
OG0001463	XP_039756040.1	Vcard_DToL12915-RA, Vcard_DToL12916-RA, Vcard_DToL12914-RA
OG0001464	XP_039746907.1, XP_039746906.1	Vcard_DToL08795-RA
OG0001465	XP_039756056.1	Vcard_DToL12920-RA
OG0001466	XP_039762168.1, XP_039762174.1	Vcard_DToL01151-RA
OG0001467	XP_039747645.1	Vcard_DToL17466-RA, Vcard_DToL17465-RA
OG0001468	XP_039747779.1	Vcard_DToL13967-RA, Vcard_DToL13968-RA
OG0001469	XP_039756746.1	Vcard_DToL12933-RA, Vcard_DToL12934-RA
OG0001470	XP_039755908.1	Vcard_DToL12117-RA
OG0001471	XP_039745928.1	Vcard_DToL03590-RA
OG0001472	XP_039751368.1, XP_039751369.1, XP_039751367.1	Vcard_DToL06502-RA
OG0001473	XP_039762035.1	Vcard_DToL18090-RA, Vcard_DToL18089-RA
OG0001474	XP_039748159.1, XP_039748160.1, XP_039748158.1	Vcard_DToL17493-RA
OG0001475	XP_039748208.1	Vcard_DToL13950-RA
OG0001476	XP_039747643.1, XP_039747642.1	Vcard_DToL17495-RA
OG0001479	XP_039752980.1, XP_039752971.1	Vcard_DToL01519-RA
OG0001480	XP_039756470.1	Vcard_DToL12741-RA
OG0001481	XP_039757783.1	Vcard_DToL14805-RA
OG0001482	XP_039750565.1	Vcard_DToL16374-RA, Vcard_DToL16373-RA
OG0001483	XP_039745039.1	Vcard_DToL02077-RA, Vcard_DToL02075-RA
OG0001484	XP_039756760.1	Vcard_DToL11297-RA, Vcard_DToL11295-RA
OG0001485	XP_039749054.1	Vcard_DToL05028-RA
OG0001486	XP_039750280.1	Vcard_DToL10483-RA
OG0001487	XP_039751182.1	Vcard_DToL06866-RA
OG0001487	XP_039751645.1	Vcard_DToL06867-RA
OG0001488	XP_039760557.1, XP_039760554.1, XP_039760553.1, XP_039760552.1	Vcard_DToL16150-RA
OG0001490	XP_039760957.1, XP_039760956.1	Vcard_DToL17003-RA
OG0001491	XP_039755780.1	Vcard_DToL11830-RA
OG0001491	XP_039746829.1	Vcard_DToL08728-RA
OG0001492	XP_039763807.1, XP_039763806.1, XP_039763805.1	Vcard_DToL00233-RA
OG0001494	XP_039747924.1	Vcard_DToL14141-RA, Vcard_DToL14143-RA
OG0001495	XP_039760300.1	Vcard_DToL15360-RA
OG0001498	XP_039755271.1	Vcard_DToL11963-RA
OG0001499	XP_039757438.1	Vcard_DToL14467-RA
OG0001500	XP_039758714.1	Vcard_DToL09827-RA
OG0001502	XP_039753113.1	Vcard_DToL09420-RA, Vcard_DToL09421-RA
OG0001503	XP_039752222.1	Vcard_DToL07844-RA
OG0001505	XP_039757966.1, XP_039757980.1, XP_039757972.1	Vcard_DToL01576-RA
OG0001506	XP_039758152.1	Vcard_DToL14469-RA, Vcard_DToL14470-RA
OG0001507	XP_039759792.1, XP_039759793.1, XP_039759794.1	Vcard_DToL15368-RA, Vcard_DToL15367-RA
OG0001508	XP_039749107.1, XP_039749108.1	Vcard_DToL05107-RA
OG0001509	XP_039757386.1	Vcard_DToL01578-RA
OG0001511	XP_039759240.1, XP_039759233.1	Vcard_DToL01580-RA, Vcard_DToL01581-RA
OG0001512	XP_039754261.1	Vcard_DToL04336-RA
OG0001513	XP_039760662.1	Vcard_DToL16220-RA
OG0001516	XP_039755265.1, XP_039755264.1	Vcard_DToL11984-RA
OG0001517	XP_039757452.1	Vcard_DToL14479-RA, Vcard_DToL14481-RA
OG0001518	XP_039749225.1	Vcard_DToL05150-RA, Vcard_DToL05149-RA
OG0001519	XP_039755028.1, XP_039755031.1	Vcard_DToL02942-RA
OG0001520	XP_039752217.1	Vcard_DToL07900-RA, Vcard_DToL07899-RA
OG0001521	XP_039752572.1, XP_039751967.1, XP_039752372.1	Vcard_DToL07903-RA
OG0001522	XP_039764189.1	Vcard_DToL05882-RA
OG0001523	XP_039753871.1, XP_039753880.1	Vcard_DToL01292-RA
OG0001524	XP_039757758.1	Vcard_DToL14501-RA
OG0001525	XP_039749832.1	Vcard_DToL07364-RA
OG0001526	XP_039758402.1, XP_039758403.1	Vcard_DToL09797-RA
OG0001528	XP_039749086.1	Vcard_DToL05349-RA
OG0001529	XP_039759892.1, XP_039759891.1	Vcard_DToL15383-RA
OG0001531	XP_039761092.1	Vcard_DToL17044-RA
OG0001532	XP_039752483.1, XP_039752484.1	Vcard_DToL07918-RA
OG0001534	XP_039756920.1	Vcard_DToL11037-RA
OG0001535	XP_039760193.1	Vcard_DToL01261-RA
OG0001536	XP_039751482.1	Vcard_DToL06720-RA
OG0001537	XP_039763556.1	Vcard_DToL00424-RA
OG0001538	XP_039748989.1	Vcard_DToL05360-RA, Vcard_DToL05362-RA
OG0001539	XP_039765800.1	Vcard_DToL02363-RA
OG0001541	XP_039754515.1	Vcard_DToL04389-RA
OG0001542	XP_039760399.1	Vcard_DToL16209-RA
OG0001543	XP_039752123.1	Vcard_DToL07985-RA
OG0001544	XP_039754257.1, XP_039754256.1, XP_039754258.1	Vcard_DToL04391-RA
OG0001546	XP_039755564.1	Vcard_DToL11992-RA
OG0001547	XP_039760657.1	Vcard_DToL16203-RA, Vcard_DToL16204-RA
OG0001548	XP_039749487.1	Vcard_DToL07385-RA
OG0001549	XP_039748777.1	Vcard_DToL05390-RA
OG0001550	XP_039764135.1, XP_039764133.1, XP_039764132.1	Vcard_DToL00446-RA
OG0001551	XP_039757810.1	Vcard_DToL14439-RA
OG0001552	XP_039765681.1	Vcard_DToL02323-RA
OG0001553	XP_039752172.1, XP_039752173.1	Vcard_DToL07965-RA
OG0001554	XP_039759155.1	Vcard_DToL13687-RA, Vcard_DToL13688-RA
OG0001555	XP_039764590.1, XP_039764589.1, XP_039764591.1	Vcard_DToL05816-RA
OG0001556	XP_039765115.1, XP_039765114.1, XP_039765113.1	Vcard_DToL05804-RA
OG0001557	XP_039752955.1	Vcard_DToL09491-RA
OG0001558	XP_039759940.1, XP_039759941.1, XP_039759939.1, XP_039759942.1	Vcard_DToL15411-RA
OG0001559	XP_039753034.1	Vcard_DToL09331-RA
OG0001560	XP_039755309.1	Vcard_DToL12030-RA
OG0001561	XP_039746748.1	Vcard_DToL08543-RA
OG0001561	XP_039746747.1	Vcard_DToL08548-RA
OG0001562	XP_039753735.1	Vcard_DToL09310-RA
OG0001563	XP_039756185.1	Vcard_DToL12616-RA, Vcard_DToL12614-RA
OG0001564	XP_039748058.1	Vcard_DToL14249-RA
OG0001565	XP_039758569.1	Vcard_DToL10212-RA
OG0001566	XP_039752429.1, XP_039752426.1, XP_039752428.1	Vcard_DToL07805-RA
OG0001567	XP_039750485.1, XP_039750483.1, XP_039750484.1	Vcard_DToL10392-RA
OG0001568	XP_039757390.1	Vcard_DToL15592-RA
OG0001570	XP_039750961.1, XP_039750960.1	Vcard_DToL10379-RA
OG0001572	XP_039748790.1, XP_039748788.1	Vcard_DToL05435-RA
OG0001573	XP_039747538.1	Vcard_DToL14280-RA, Vcard_DToL14279-RA
OG0001574	XP_039746777.1	Vcard_DToL08517-RA, Vcard_DToL08516-RA
OG0001575	XP_039759947.1	Vcard_DToL15464-RA
OG0001576	XP_039754559.1	Vcard_DToL04470-RA
OG0001577	XP_039765716.1	Vcard_DToL02243-RA, Vcard_DToL02245-RA
OG0001578	XP_039755377.1	Vcard_DToL01409-RA
OG0001579	XP_039765723.1, XP_039765722.1	Vcard_DToL02239-RA
OG0001580	XP_039758699.1	Vcard_DToL10092-RA, Vcard_DToL10093-RA
OG0001581	XP_039765478.1	Vcard_DToL02373-RA
OG0001582	XP_039765781.1	Vcard_DToL02376-RA
OG0001583	XP_039761620.1	Vcard_DToL17235-RA
OG0001584	XP_039745361.1	Vcard_DToL02382-RA, Vcard_DToL02381-RA
OG0001586	XP_039761614.1, XP_039761615.1, XP_039761616.1, XP_039761617.1	Vcard_DToL17223-RA
OG0001587	XP_039758938.1, XP_039758939.1	Vcard_DToL13816-RA
OG0001588	XP_039758799.1	Vcard_DToL10102-RA
OG0001591	XP_039757047.1	Vcard_DToL10938-RA
