Orthogroup	Pararge_aegeria	Danaus_plexippus
OG0001834	XP_039761302.1	DPOGS208594-PA, DPOGS208593-PA
OG0001835	XP_039765482.1, XP_039765481.1	DPOGS213150-PA
OG0001836	XP_039760593.1	DPOGS215557-PA
OG0001838	XP_039747822.1	DPOGS206235-PA
OG0001839	XP_039752754.1, XP_039752724.1	DPOGS215674-PA
OG0001840	XP_039747925.1	DPOGS206222-PA
OG0001841	XP_039747365.1	DPOGS212153-PA
OG0001842	XP_039748229.1	DPOGS213754-PA
OG0001843	XP_039761190.1	DPOGS204556-PA
OG0001844	XP_039763876.1, XP_039763877.1	DPOGS203393-PA
OG0001845	XP_039746016.1, XP_039746018.1	DPOGS205172-PA
OG0001846	XP_039754830.1	DPOGS205293-PA
OG0001847	XP_039747899.1	DPOGS213756-PA
OG0001848	XP_039748382.1, XP_039748381.1, XP_039748383.1	DPOGS200007-PA
OG0001849	XP_039746011.1	DPOGS205176-PA
OG0001850	XP_039752230.1	DPOGS203450-PA
OG0001851	XP_039757855.1	DPOGS211301-PA
OG0001852	XP_039760691.1	DPOGS200794-PA
OG0001853	XP_039745881.1	DPOGS205170-PA
OG0001854	XP_039750333.1, XP_039757854.1	DPOGS211329-PA
OG0001855	XP_039754855.1	DPOGS205284-PA
OG0001856	XP_039756561.1, XP_039756562.1	DPOGS208453-PA
OG0001857	XP_039758313.1	DPOGS215759-PA
OG0001858	XP_039758363.1	DPOGS204567-PA
OG0001859	XP_039756539.1, XP_039756530.1, XP_039756547.1	DPOGS215657-PA
OG0001860	XP_039763822.1	DPOGS207149-PA
OG0001861	XP_039746695.1, XP_039746678.1, XP_039746688.1	DPOGS204538-PA, DPOGS204537-PA
OG0001862	XP_039751542.1	DPOGS213699-PA
OG0001863	XP_039748573.1	DPOGS203258-PA
OG0001864	XP_039751341.1	DPOGS202719-PA, DPOGS202563-PA, DPOGS202572-PA
OG0001865	XP_039754174.1	DPOGS205737-PA
OG0001866	XP_039764793.1	DPOGS211160-PA
OG0001867	XP_039757377.1	DPOGS211353-PA
OG0001868	XP_039748102.1, XP_039748101.1	DPOGS213764-PA
OG0001869	XP_039750903.1	DPOGS210965-PA, DPOGS210964-PA
OG0001870	XP_039747145.1	DPOGS212146-PA, DPOGS212115-PA
OG0001871	XP_039747949.1, XP_039747941.1	DPOGS202713-PA
OG0001872	XP_039747156.1	DPOGS202716-PA
OG0001873	XP_039754308.1, XP_039754301.1	DPOGS215646-PA
OG0001874	XP_039753173.1	DPOGS200703-PA
OG0001875	XP_039748527.1, XP_039749226.1	DPOGS215599-PA
OG0001876	XP_039765641.1	DPOGS213134-PA
OG0001877	XP_039762661.1	DPOGS212957-PA
OG0001878	XP_039756822.1	DPOGS215769-PA
OG0001879	XP_039749804.1	DPOGS213475-PA
OG0001880	XP_039749369.1	DPOGS205752-PA, DPOGS209001-PA, DPOGS209000-PA, DPOGS204517-PA
OG0001881	XP_039759444.1	DPOGS207524-PA
OG0001882	XP_039753924.1	DPOGS205910-PA
OG0001883	XP_039760926.1, XP_039760929.1, XP_039760927.1, XP_039760928.1	DPOGS208623-PA
OG0001884	XP_039751020.1	DPOGS208540-PA
OG0001885	XP_039758483.1, XP_039758484.1, XP_039758485.1, XP_039758486.1	DPOGS202529-PA
OG0001886	XP_039758646.1	DPOGS202503-PA
OG0001887	XP_039762904.1	DPOGS212944-PA
OG0001888	XP_039758893.1	DPOGS215776-PA
OG0001889	XP_039763610.1, XP_039763611.1	DPOGS200915-PA
OG0001890	XP_039753764.1, XP_039753763.1	DPOGS205913-PA
OG0001891	XP_039747882.1	DPOGS205592-PA
OG0001892	XP_039751920.1	DPOGS212772-PA
OG0001893	XP_039752689.1	DPOGS212774-PA
OG0001894	XP_039747479.1	DPOGS208134-PA
OG0001895	XP_039751016.1	DPOGS208548-PA
OG0001896	XP_039761926.1, XP_039761927.1, XP_039761924.1	DPOGS205373-PA, DPOGS213449-PA
OG0001897	XP_039745709.1, XP_039745701.1	DPOGS211891-PA
OG0001898	XP_039752987.1, XP_039752988.1	DPOGS215820-PA, DPOGS215819-PA
OG0001899	XP_039750142.1, XP_039750093.1	DPOGS211287-PA
OG0001900	XP_039758479.1	DPOGS204815-PA
OG0001901	XP_039755727.1	DPOGS212402-PA, DPOGS209853-PA, DPOGS214804-PA
OG0001902	XP_039765197.1	DPOGS201289-PA
OG0001903	XP_039756553.1	DPOGS208433-PA
OG0001904	XP_039758203.1, XP_039758204.1	DPOGS204819-PA
OG0001905	XP_039758139.1	DPOGS211983-PA
OG0001906	XP_039751391.1	DPOGS202762-PA
OG0001907	XP_039758039.1	DPOGS214624-PA
OG0001908	XP_039753118.1	DPOGS201680-PA
OG0001909	XP_039760492.1, XP_039760491.1	DPOGS210287-PA
OG0001910	XP_039760922.1	DPOGS215434-PA, DPOGS215435-PA
OG0001911	XP_039745563.1	DPOGS211943-PA
OG0001912	XP_039763537.1	DPOGS201365-PA, DPOGS201364-PA
OG0001913	XP_039758099.1	DPOGS214595-PA
OG0001913	XP_039758114.1	DPOGS214596-PA
OG0001914	XP_039757657.1	DPOGS214594-PA
OG0001915	XP_039762927.1	DPOGS202749-PA, DPOGS209861-PA, DPOGS204144-PA
OG0001916	XP_039765066.1	DPOGS211176-PA
OG0001917	XP_039748563.1, XP_039748562.1	DPOGS215874-PA
OG0001918	XP_039755957.1, XP_039755956.1	DPOGS213517-PA
OG0001919	XP_039756176.1	DPOGS215479-PA, DPOGS215478-PA
OG0001920	XP_039761093.1	DPOGS215442-PA
OG0001921	XP_039755802.1	DPOGS213613-PA
OG0001922	XP_039760807.1	DPOGS210272-PA
OG0001923	XP_039763266.1, XP_039763267.1	DPOGS201381-PA
OG0001924	XP_039761906.1	DPOGS205199-PA
OG0001924	XP_039762020.1	DPOGS205200-PA, DPOGS214448-PA, DPOGS205201-PA
OG0001925	XP_039747405.1, XP_039747403.1, XP_039747404.1	DPOGS212421-PA
OG0001926	XP_039759468.1	DPOGS200773-PA, DPOGS200772-PA
OG0001927	XP_039762972.1	DPOGS212072-PA, DPOGS204913-PA
OG0001928	XP_039749617.1	DPOGS201241-PA, DPOGS203582-PA
OG0001929	XP_039763929.1	DPOGS201379-PA
OG0001931	XP_039762775.1	DPOGS204917-PA
OG0001932	XP_039754521.1, XP_039754518.1, XP_039754519.1	DPOGS203250-PA
OG0001933	XP_039755110.1	DPOGS203202-PA
OG0001934	XP_039751121.1, XP_039751122.1	DPOGS208474-PA
OG0001935	XP_039746216.1	DPOGS211867-PA
OG0001936	XP_039745965.1, XP_039745973.1	DPOGS213413-PA
OG0001937	XP_039748432.1	DPOGS213854-PA
OG0001938	XP_039760981.1, XP_039760992.1	DPOGS215607-PA, DPOGS204651-PA
OG0001939	XP_039758621.1, XP_039758620.1, XP_039758619.1, XP_039758618.1	DPOGS204829-PA
OG0001940	XP_039762807.1	DPOGS214615-PA, DPOGS214616-PA
OG0001941	XP_039761006.1	DPOGS215804-PA
OG0001942	XP_039760818.1	DPOGS200232-PA
OG0001943	XP_039752833.1, XP_039752832.1	DPOGS207785-PA
OG0001944	XP_039751084.1, XP_039751085.1	DPOGS208467-PA
OG0001945	XP_039761992.1	DPOGS205230-PA, DPOGS205229-PA
OG0001946	XP_039756451.1	DPOGS215610-PA
OG0001947	XP_039754000.1	DPOGS215801-PA
OG0001948	XP_039751029.1	DPOGS208576-PA
OG0001949	XP_039753104.1	DPOGS207783-PA, DPOGS207782-PA
OG0001950	XP_039765677.1	DPOGS213428-PA
OG0001951	XP_039746361.1, XP_039746360.1, XP_039746362.1	DPOGS211857-PA
OG0001952	XP_039754152.1	DPOGS203255-PA
OG0001953	XP_039751730.1	DPOGS208463-PA
OG0001954	XP_039765175.1	DPOGS211111-PA
OG0001955	XP_039751696.1	DPOGS208462-PA
OG0001956	XP_039759788.1	DPOGS216145-PA
OG0001957	XP_039764700.1, XP_039764701.1, XP_039764699.1	DPOGS211195-PA
OG0001958	XP_039761034.1, XP_039761033.1, XP_039761032.1	DPOGS216199-PA
OG0001960	XP_039754432.1	DPOGS200259-PA
OG0001961	XP_039748222.1	DPOGS212514-PA
OG0001962	XP_039759079.1	DPOGS210465-PA
OG0001963	XP_039754909.1	DPOGS209233-PA
OG0001964	XP_039756842.1, XP_039756841.1	DPOGS206644-PA
OG0001965	XP_039745487.1	DPOGS204862-PA, DPOGS212232-PA
OG0001966	XP_039747621.1	DPOGS213241-PA
OG0001967	XP_039749600.1	DPOGS201227-PA
OG0001968	XP_039745654.1, XP_039746169.1	DPOGS215970-PA
OG0001969	XP_039763336.1	DPOGS211206-PA
OG0001970	XP_039745651.1, XP_039745652.1, XP_039745649.1	DPOGS215971-PA
OG0001971	XP_039751023.1	DPOGS209877-PA, DPOGS212227-PA
OG0001972	XP_039758989.1	DPOGS210482-PA
OG0001972	XP_039757132.1	DPOGS212883-PA
OG0001973	XP_039750592.1	DPOGS211568-PA, DPOGS211567-PA
OG0001974	XP_039757318.1, XP_039757317.1, XP_039757319.1	DPOGS210006-PA
OG0001975	XP_039752681.1, XP_039752680.1	DPOGS212759-PA
OG0001976	XP_039751394.1	DPOGS205797-PA
OG0001977	XP_039754215.1	DPOGS209262-PA
OG0001978	XP_039748037.1	DPOGS212078-PA
OG0001979	XP_039748146.1	DPOGS205975-PA
OG0001980	XP_039755961.1, XP_039755962.1	DPOGS213546-PA
OG0001981	XP_039750072.1, XP_039750064.1	DPOGS209872-PA
OG0001982	XP_039749206.1	DPOGS200936-PA
OG0001983	XP_039754630.1	DPOGS209186-PA
OG0001984	XP_039755590.1	DPOGS213549-PA
OG0001985	XP_039747193.1, XP_039747192.1, XP_039747194.1	DPOGS203044-PA
OG0001986	XP_039755510.1	DPOGS213550-PA
OG0001987	XP_039750846.1	DPOGS212661-PA
OG0001988	XP_039750159.1	DPOGS201043-PA, DPOGS201044-PA
OG0001989	XP_039762342.1	DPOGS211056-PA
OG0001990	XP_039755664.1, XP_039755665.1	DPOGS213576-PA
OG0001991	XP_039746684.1, XP_039746685.1	DPOGS206058-PA
OG0001992	XP_039759796.1	DPOGS215163-PA, DPOGS212017-PA
OG0001993	XP_039759667.1	DPOGS204573-PA
OG0001994	XP_039749550.1, XP_039749549.1	DPOGS202074-PA
OG0001995	XP_039759228.1	DPOGS204572-PA
OG0001996	XP_039748047.1	DPOGS206710-PA
OG0001997	XP_039753563.1, XP_039753562.1	DPOGS201669-PA
OG0001998	XP_039759604.1	DPOGS204648-PA
OG0001999	XP_039746125.1	DPOGS209871-PA
OG0002000	XP_039753740.1	DPOGS209269-PA
OG0002001	XP_039763779.1	DPOGS201082-PA
OG0002002	XP_039752796.1	DPOGS201780-PA, DPOGS201779-PA
OG0002003	XP_039756877.1, XP_039756876.1	DPOGS214042-PA
OG0002004	XP_039748725.1	DPOGS207940-PA
OG0002005	XP_039753963.1	DPOGS200534-PA
OG0002006	XP_039751353.1	DPOGS205806-PA
OG0002007	XP_039762210.1, XP_039762209.1	DPOGS215113-PA
OG0002008	XP_039762010.1	DPOGS203845-PA, DPOGS203846-PA
OG0002009	XP_039756728.1, XP_039756726.1	DPOGS207385-PA
OG0002010	XP_039757864.1	DPOGS214636-PA
OG0002011	XP_039751110.1	DPOGS205814-PA
OG0002012	XP_039755970.1	DPOGS214815-PA
OG0002013	XP_039757597.1	DPOGS214633-PA
OG0002014	XP_039747601.1	DPOGS211678-PA
OG0002015	XP_039748071.1	DPOGS213314-PA
OG0002016	XP_039749419.1, XP_039749420.1	DPOGS202061-PA
OG0002017	XP_039758784.1, XP_039758782.1, XP_039758783.1	DPOGS209704-PA
OG0002018	XP_039761131.1	DPOGS215290-PA
OG0002019	XP_039760520.1	DPOGS200545-PA
OG0002020	XP_039759974.1	DPOGS214510-PA
OG0002021	XP_039745041.1	DPOGS204475-PA
OG0002022	XP_039760571.1, XP_039760570.1, XP_039760572.1	DPOGS200549-PA, DPOGS200548-PA
OG0002023	XP_039756831.1, XP_039756832.1	DPOGS206593-PA
OG0002024	XP_039752903.1, XP_039752902.1	DPOGS202730-PA
OG0002025	XP_039756456.1, XP_039756454.1, XP_039756455.1	DPOGS216032-PA
OG0002026	XP_039765497.1	DPOGS204413-PA
OG0002027	XP_039745843.1	DPOGS207448-PA
OG0002028	XP_039745756.1, XP_039745758.1, XP_039745757.1	DPOGS207447-PA
OG0002029	XP_039750919.1	DPOGS202605-PA
OG0002030	XP_039759253.1, XP_039759252.1	DPOGS210498-PA
OG0002031	XP_039745073.1	DPOGS204423-PA
OG0002032	XP_039746870.1	DPOGS205069-PA
OG0002033	XP_039763912.1, XP_039763919.1, XP_039763904.1	DPOGS215836-PA
OG0002034	XP_039750888.1, XP_039750889.1	DPOGS202613-PA
OG0002035	XP_039750155.1	DPOGS208852-PA
OG0002036	XP_039748752.1, XP_039748743.1, XP_039748734.1	DPOGS202477-PA, DPOGS202476-PA
OG0002038	XP_039751612.1, XP_039751611.1	DPOGS214072-PA
OG0002039	XP_039754218.1	DPOGS200382-PA
OG0002040	XP_039759203.1	DPOGS206003-PA, DPOGS206004-PA
OG0002041	XP_039751488.1	DPOGS214052-PA, DPOGS214053-PA
OG0002042	XP_039749519.1	DPOGS200499-PA, DPOGS208995-PA
OG0002043	XP_039765815.1	DPOGS204457-PA
OG0002044	XP_039754529.1, XP_039754520.1	DPOGS203674-PA
OG0002045	XP_039749913.1	DPOGS209323-PA
OG0002046	XP_039760105.1	DPOGS203822-PA
OG0002047	XP_039754278.1	DPOGS203821-PA
OG0002049	XP_039746547.1	DPOGS205091-PA
OG0002050	XP_039754048.1, XP_039754040.1	DPOGS203682-PA
OG0002051	XP_039763094.1, XP_039763093.1	DPOGS203372-PA
OG0002052	XP_039762791.1	DPOGS206544-PA
OG0002053	XP_039751359.1	DPOGS201983-PA
OG0002054	XP_039748759.1	DPOGS207550-PA
OG0002055	XP_039764716.1	DPOGS206538-PA
OG0002056	XP_039751041.1, XP_039751429.1	DPOGS201992-PA
OG0002057	XP_039751200.1, XP_039751201.1	DPOGS214066-PA
OG0002058	XP_039764788.1	DPOGS206546-PA
OG0002059	XP_039748367.1, XP_039748365.1, XP_039748366.1	DPOGS200524-PA
OG0002060	XP_039755158.1	DPOGS203692-PA
OG0002061	XP_039758128.1	DPOGS202327-PA
OG0002062	XP_039765616.1, XP_039765614.1, XP_039765615.1	DPOGS204301-PA
OG0002063	XP_039752434.1, XP_039752433.1	DPOGS206896-PA
OG0002064	XP_039757061.1	DPOGS206684-PA
OG0002065	XP_039764921.1	DPOGS206551-PA
OG0002066	XP_039759607.1	DPOGS209400-PA, DPOGS209421-PA, DPOGS209420-PA, DPOGS209419-PA
OG0002067	XP_039745724.1	DPOGS201658-PA, DPOGS206430-PA
OG0002068	XP_039763422.1	DPOGS203386-PA
OG0002069	XP_039745777.1, XP_039745778.1	DPOGS207464-PA
OG0002070	XP_039754422.1	DPOGS205356-PA
OG0002071	XP_039755450.1	DPOGS207305-PA
OG0002072	XP_039745892.1	DPOGS207467-PA
OG0002073	XP_039765703.1	DPOGS204229-PA
OG0002074	XP_039760490.1, XP_039760489.1	DPOGS204065-PA
OG0002075	XP_039758512.1, XP_039758513.1	DPOGS205602-PA
OG0002076	XP_039746346.1, XP_039750549.1, XP_039750550.1, XP_039750551.1	DPOGS211029-PA
OG0002077	XP_039762993.1	DPOGS215130-PA
OG0002078	XP_039745824.1	DPOGS212207-PA
OG0002079	XP_039753139.1	DPOGS206441-PA
OG0002080	XP_039751947.1	DPOGS207025-PA
OG0002081	XP_039759200.1, XP_039759201.1	DPOGS214357-PA
OG0002082	XP_039754711.1, XP_039754710.1	DPOGS212289-PA
OG0002083	XP_039761488.1	DPOGS202495-PA
OG0002084	XP_039758935.1, XP_039758936.1	DPOGS214332-PA
OG0002085	XP_039746470.1	DPOGS211931-PA
OG0002086	XP_039760114.1	DPOGS214868-PA, DPOGS214867-PA
OG0002087	XP_039749470.1	DPOGS208881-PA
OG0002088	XP_039765878.1	DPOGS206584-PA, DPOGS206583-PA, DPOGS206582-PA
OG0002089	XP_039756163.1	DPOGS209720-PA
OG0002090	XP_039754345.1	DPOGS203620-PA
OG0002091	XP_039752101.1, XP_039752099.1, XP_039752100.1, XP_039752098.1	DPOGS206952-PA
OG0002092	XP_039762006.1	DPOGS206586-PA
OG0002093	XP_039753827.1	DPOGS203622-PA
OG0002094	XP_039758222.1, XP_039758223.1	DPOGS208049-PA
OG0002095	XP_039753197.1	DPOGS207810-PA
OG0002096	XP_039752066.1, XP_039752064.1	DPOGS206950-PA
OG0002097	XP_039758347.1	DPOGS208019-PA
OG0002098	XP_039745845.1	DPOGS215965-PA
OG0002099	XP_039761358.1	DPOGS203716-PA
OG0002100	XP_039759652.1, XP_039759653.1	DPOGS210531-PA, DPOGS202889-PA
OG0002101	XP_039748964.1, XP_039748901.1	DPOGS207573-PA
OG0002102	XP_039765867.1	DPOGS208665-PA
OG0002103	XP_039759256.1	DPOGS202907-PA
OG0002104	XP_039751502.1, XP_039751501.1	DPOGS200481-PA
OG0002105	XP_039754154.1	DPOGS203593-PA
OG0002106	XP_039751504.1	DPOGS200482-PA
OG0002107	XP_039764863.1, XP_039764864.1	DPOGS214243-PA, DPOGS214244-PA
OG0002108	XP_039757763.1	DPOGS204026-PA
OG0002109	XP_039756986.1	DPOGS207232-PA
OG0002110	XP_039751944.1	DPOGS206415-PA
OG0002111	XP_039753007.1, XP_039753014.1, XP_039753022.1	DPOGS203719-PA
OG0002112	XP_039759411.1	DPOGS202898-PA
OG0002113	XP_039751494.1	DPOGS200496-PA
OG0002114	XP_039758342.1	DPOGS209545-PA
OG0002115	XP_039755327.1	DPOGS207275-PA
OG0002116	XP_039760030.1	DPOGS209028-PA
OG0002117	XP_039748695.1	DPOGS202458-PA, DPOGS202459-PA
OG0002118	XP_039754128.1, XP_039754126.1, XP_039754084.1	DPOGS213441-PA
OG0002119	XP_039748852.1	DPOGS202447-PA, DPOGS202448-PA
OG0002120	XP_039750014.1	DPOGS208908-PA
OG0002121	XP_039752554.1	DPOGS206939-PA
OG0002122	XP_039747044.1, XP_039747045.1	DPOGS212990-PA
OG0002123	XP_039763688.1	DPOGS203914-PA
OG0002124	XP_039753019.1	DPOGS207730-PA
OG0002125	XP_039749634.1	DPOGS208900-PA
OG0002126	XP_039764838.1	DPOGS214236-PA
OG0002127	XP_039754591.1	DPOGS214696-PA
OG0002128	XP_039763175.1	DPOGS203908-PA
OG0002129	XP_039763317.1	DPOGS214148-PA
OG0002130	XP_039761559.1, XP_039761558.1, XP_039761560.1	DPOGS205876-PA
OG0002132	XP_039758568.1	DPOGS200022-PA
OG0002133	XP_039760631.1	DPOGS201465-PA
OG0002134	XP_039749594.1	DPOGS208920-PA
OG0002135	XP_039763386.1, XP_039764092.1	DPOGS203937-PA
OG0002136	XP_039746314.1, XP_039746315.1	DPOGS211911-PA
OG0002137	XP_039756978.1	DPOGS205747-PA
OG0002138	XP_039758697.1, XP_039758698.1	DPOGS205362-PA, DPOGS215408-PA
OG0002139	XP_039761721.1, XP_039761725.1, XP_039761724.1, XP_039761723.1	DPOGS205535-PA
OG0002140	XP_039755639.1	DPOGS213625-PA
OG0002141	XP_039755678.1	DPOGS212314-PA
OG0002142	XP_039750177.1	DPOGS208933-PA
OG0002143	XP_039749822.1	DPOGS213656-PA
OG0002144	XP_039749820.1, XP_039749821.1, XP_039749819.1	DPOGS208930-PA
OG0002145	XP_039752510.1	DPOGS206932-PA
OG0002146	XP_039747171.1, XP_039747172.1	DPOGS202125-PA
OG0002147	XP_039750923.1	DPOGS210715-PA
OG0002148	XP_039765919.1	DPOGS204272-PA
OG0002149	XP_039753815.1	DPOGS200310-PA
OG0002150	XP_039754283.1	DPOGS200319-PA, DPOGS200320-PA
OG0002152	XP_039751192.1	DPOGS202817-PA
OG0002153	XP_039747409.1, XP_039747401.1, XP_039747391.1	DPOGS202360-PA, DPOGS211245-PA
OG0002154	XP_039754989.1	DPOGS209960-PA
OG0002155	XP_039751845.1	DPOGS207018-PA
OG0002156	XP_039749082.1	DPOGS205850-PA
OG0002157	XP_039761503.1	DPOGS202538-PA
OG0002158	XP_039758959.1	DPOGS202884-PA
OG0002159	XP_039757339.1	DPOGS203575-PA, DPOGS203574-PA
OG0002160	XP_039757340.1	DPOGS203491-PA
OG0002161	XP_039753644.1, XP_039753645.1, XP_039753643.1	DPOGS200872-PA
OG0002163	XP_039760077.1, XP_039760085.1, XP_039760093.1	DPOGS210604-PA, DPOGS210603-PA
OG0002164	XP_039754155.1	DPOGS200337-PA
OG0002165	XP_039745242.1	DPOGS208717-PA
OG0002166	XP_039757006.1	DPOGS203580-PA
OG0002167	XP_039765181.1	DPOGS214089-PA
OG0002168	XP_039752868.1, XP_039752869.1	DPOGS200868-PA
OG0002169	XP_039750562.1	DPOGS200207-PA
OG0002170	XP_039764141.1	DPOGS203312-PA, DPOGS203311-PA
OG0002171	XP_039753279.1	DPOGS200865-PA
OG0002172	XP_039764865.1	DPOGS214919-PA
OG0002173	XP_039757310.1	DPOGS211604-PA
OG0002174	XP_039753972.1	DPOGS200289-PA
OG0002175	XP_039761529.1	DPOGS207692-PA
OG0002176	XP_039750828.1, XP_039762520.1	DPOGS214327-PA, DPOGS200748-PA
OG0002177	XP_039755410.1	DPOGS212341-PA, DPOGS214682-PA
OG0002178	XP_039764588.1	DPOGS207637-PA
OG0002179	XP_039764593.1, XP_039764592.1	DPOGS207627-PA
OG0002180	XP_039746722.1	DPOGS204761-PA
OG0002181	XP_039754361.1	DPOGS200365-PA
OG0002182	XP_039757231.1, XP_039757232.1, XP_039757230.1	DPOGS206668-PA
OG0002183	XP_039745858.1	DPOGS200730-PA
OG0002184	XP_039754578.1	DPOGS215068-PA
OG0002185	XP_039746140.1	DPOGS209337-PA, DPOGS209336-PA, DPOGS209335-PA
OG0002186	XP_039754193.1	DPOGS215064-PA
OG0002187	XP_039745846.1	DPOGS205681-PA, DPOGS209297-PA
OG0002188	XP_039749965.1	DPOGS210216-PA
OG0002189	XP_039765303.1	DPOGS213321-PA
OG0002190	XP_039750275.1	DPOGS200051-PA
OG0002191	XP_039753407.1, XP_039753408.1	DPOGS205691-PA
OG0002192	XP_039764052.1	DPOGS203023-PA
OG0002193	XP_039749424.1, XP_039749423.1	DPOGS210241-PA
OG0002194	XP_039753190.1	DPOGS205714-PA
OG0002196	XP_039747127.1	DPOGS206717-PA, DPOGS206716-PA
OG0002197	XP_039765907.1, XP_039765906.1	DPOGS202179-PA
OG0002198	XP_039745322.1	DPOGS202153-PA, DPOGS202152-PA, DPOGS202150-PA
OG0002199	XP_039764532.1	DPOGS201902-PA, DPOGS201904-PA, DPOGS201903-PA
OG0002200	XP_039765315.1, XP_039765313.1, XP_039765312.1	DPOGS202541-PA, DPOGS202169-PA
OG0002201	XP_039765316.1	DPOGS202168-PA
OG0002202	XP_039749976.1	DPOGS210232-PA
OG0002203	XP_039763719.1, XP_039763720.1	DPOGS206125-PA
OG0002204	XP_039749267.1	DPOGS213659-PA
OG0002205	XP_039746242.1	DPOGS203366-PA
OG0002206	XP_039746366.1, XP_039746365.1	DPOGS205669-PA
OG0002207	XP_039746246.1	DPOGS205667-PA
OG0002208	XP_039753854.1	DPOGS209383-PA
OG0002209	XP_039765974.1	DPOGS202418-PA
OG0002210	XP_039765333.1	DPOGS202419-PA
OG0002211	XP_039764704.1	DPOGS201872-PA
OG0002212	XP_039751922.1, XP_039751799.1	DPOGS206833-PA
OG0002213	XP_039746083.1	DPOGS205658-PA
OG0002214	XP_039746149.1	DPOGS205635-PA
OG0002215	XP_039745498.1	DPOGS215155-PA, DPOGS210169-PA
OG0002216	XP_039763767.1, XP_039763766.1, XP_039763765.1	DPOGS208365-PA
OG0002217	XP_039764694.1	DPOGS201556-PA, DPOGS201557-PA
OG0002218	XP_039764763.1	DPOGS201569-PA
OG0002219	XP_039765824.1, XP_039765833.1	DPOGS214827-PA, DPOGS214826-PA
OG0002220	XP_039765979.1	DPOGS206519-PA
OG0002221	XP_039761198.1	DPOGS201449-PA
OG0002222	XP_039763702.1	DPOGS211799-PA, DPOGS201574-PA
OG0002223	XP_039763548.1	DPOGS203283-PA, DPOGS203285-PA
OG0002224	XP_039757656.1	DPOGS201501-PA
OG0002225	XP_039765680.1	DPOGS211461-PA
OG0002226	XP_039757782.1	DPOGS201519-PA
OG0002227	XP_039759999.1	DPOGS201741-PA
OG0002228	XP_039761176.1	DPOGS208612-PA, DPOGS205424-PA
OG0002230	XP_039748528.1	DPOGS214829-PA, DPOGS214830-PA
OG0002231	XP_039748429.1	DPOGS214549-PA
OG0002232	XP_039760371.1	DPOGS215725-PA
OG0002233	XP_039758442.1	DPOGS215405-PA
OG0002234	XP_039753397.1, XP_039753394.1, XP_039753398.1, XP_039753395.1, XP_039753396.1	DPOGS201661-PA
OG0002235	XP_039754141.1, XP_039754139.1	DPOGS213301-PA
OG0002247	XP_039746322.1	DPOGS211941-PA
OG0002248	XP_039748106.1	DPOGS213238-PA
OG0002249	XP_039762933.1	DPOGS206021-PA
OG0002250	XP_039755256.1	DPOGS203226-PA, DPOGS203227-PA
OG0002251	XP_039754011.1	DPOGS210806-PA
OG0002253	XP_039754884.1	DPOGS203138-PA, DPOGS203139-PA
OG0002254	XP_039758755.1, XP_039758757.1, XP_039758754.1	DPOGS208033-PA
OG0002255	XP_039764436.1	DPOGS211050-PA
OG0002256	XP_039746474.1	DPOGS203536-PA
OG0002257	XP_039753384.1	DPOGS206296-PA
OG0002258	XP_039750528.1, XP_039750529.1	DPOGS208224-PA
OG0002259	XP_039764827.1	DPOGS210903-PA
OG0002260	XP_039757776.1	DPOGS214761-PA
OG0002261	XP_039762056.1	DPOGS211530-PA
OG0002262	XP_039762141.1	DPOGS201614-PA
OG0002263	XP_039761013.1	DPOGS208624-PA
OG0002264	XP_039754216.1	DPOGS210802-PA
OG0002265	XP_039760265.1	DPOGS212484-PA
OG0002266	XP_039752030.1	DPOGS200450-PA
OG0002267	XP_039756319.1	DPOGS202953-PA
OG0002268	XP_039753504.1	DPOGS201182-PA
OG0002269	XP_039759491.1	DPOGS211777-PA
OG0002270	XP_039760764.1	DPOGS213227-PA
OG0002271	XP_039765843.1	DPOGS208789-PA
OG0002272	XP_039749565.1	DPOGS201224-PA
OG0002273	XP_039763006.1, XP_039763007.1	DPOGS202396-PA
OG0002274	XP_039751499.1	DPOGS212588-PA
OG0002275	XP_039749208.1	DPOGS213359-PA
OG0002276	XP_039752835.1, XP_039752836.1	DPOGS206474-PA
OG0002277	XP_039752018.1	DPOGS214426-PA
OG0002278	XP_039760932.1	DPOGS213896-PA
OG0002279	XP_039754176.1	DPOGS210809-PA
OG0002280	XP_039753949.1	DPOGS210810-PA
OG0002281	XP_039754437.1, XP_039754436.1	DPOGS210858-PA, DPOGS210857-PA
OG0002282	XP_039746305.1	DPOGS213354-PA
OG0002283	XP_039762265.1	DPOGS201595-PA
OG0002284	XP_039754434.1	DPOGS210812-PA
OG0002286	XP_039757083.1	DPOGS205464-PA
OG0002287	XP_039761091.1	DPOGS213903-PA
OG0002288	XP_039751598.1	DPOGS212635-PA
OG0002289	XP_039761595.1, XP_039761596.1	DPOGS205146-PA
OG0002290	XP_039763858.1	DPOGS200907-PA
OG0002291	XP_039755559.1	DPOGS210336-PA
OG0002292	XP_039759729.1	DPOGS210151-PA
OG0002293	XP_039764878.1, XP_039764879.1	DPOGS210140-PA
OG0002294	XP_039746948.1	DPOGS213382-PA
OG0002295	XP_039762148.1	DPOGS204622-PA
OG0002296	XP_039746295.1	DPOGS204780-PA
OG0002297	XP_039753347.1	DPOGS202963-PA
OG0002298	XP_039760381.1, XP_039760380.1	DPOGS208198-PA
OG0002299	XP_039760743.1	DPOGS208201-PA
