Orthogroup	Heliconius_erato_lativitta	Maniola_hyperantus
OG0001465	HEL_005761-RA	XP_034834634.1
OG0001466	HEL_002675-RA	XP_034830130.1, XP_034830140.1
OG0001468	HEL_000365-RA, HEL_000366-RA, HEL_000368-RA, HEL_000364-RA	XP_034836585.1
OG0001469	HEL_005747-RA	XP_034834951.1, XP_034834772.1
OG0001471	HEL_008765-RA	XP_034825561.1
OG0001472	HEL_007903-RA	XP_034827326.1
OG0001473	HEL_013682-RA, HEL_013681-RA	XP_034838054.1
OG0001474	HEL_000610-RA	XP_034838462.1
OG0001475	HEL_000353-RA	XP_034836500.1, XP_034836501.1
OG0001476	HEL_000611-RA	XP_034838472.1, XP_034838473.1, XP_034838471.1
OG0001477	HEL_000348-RA, HEL_000349-RA, HEL_000350-RA, HEL_000352-RA, HEL_000351-RA	XP_034836499.1
OG0001478	HEL_014444-RA	XP_034824785.1, XP_034824315.1
OG0001478	HEL_014445-RA	XP_034824602.1
OG0001479	HEL_002904-RA	XP_034836093.1, XP_034836100.1, XP_034836077.1, XP_034836087.1
OG0001480	HEL_012715-RA	XP_034834788.1
OG0001482	HEL_004846-RA, HEL_004845-RA	XP_034826122.1
OG0001483	HEL_001571-RA, HEL_001572-RA	XP_034840929.1
OG0001484	HEL_008975-RA, HEL_008973-RA, HEL_008974-RA, HEL_008978-RA	XP_034833039.1
OG0001485	HEL_010869-RA	XP_034824467.1, XP_034824468.1
OG0001486	HEL_004271-RA, HEL_004270-RA	XP_034828447.1
OG0001487	HEL_007877-RA	XP_034826881.1
OG0001488	HEL_011876-RA	XP_034837408.1
OG0001489	HEL_004823-RA	XP_034826177.1, XP_034826176.1
OG0001490	HEL_004677-RA	XP_034837028.1, XP_034837026.1
OG0001492	HEL_007176-RA	XP_034839774.1, XP_034839775.1
OG0001494	HEL_000321-RA, HEL_000322-RA	XP_034836485.1
OG0001495	HEL_001834-RA, HEL_001833-RA	XP_034835960.1, XP_034835959.1, XP_034835958.1
OG0001496	HEL_013662-RA	XP_034838057.1
OG0001497	HEL_000326-RA	XP_034836301.1
OG0001497	HEL_000324-RA, HEL_000325-RA, HEL_000323-RA	XP_034836461.1
OG0001498	HEL_001126-RA	XP_034831589.1
OG0001499	HEL_003765-RA, HEL_003767-RA, HEL_003763-RA	XP_034833714.1
OG0001500	HEL_011583-RA	XP_034833470.1, XP_034833469.1
OG0001502	HEL_010783-RA	XP_034832320.1, XP_034832319.1
OG0001504	HEL_000684-RA	XP_034838360.1
OG0001505	HEL_002856-RA	XP_034837992.1, XP_034837983.1
OG0001506	HEL_003751-RA, HEL_003756-RA	XP_034834165.1
OG0001507	HEL_001828-RA	XP_034836205.1
OG0001509	HEL_002854-RA	XP_034833218.1, XP_034833184.1, XP_034833226.1, XP_034833205.1
OG0001511	HEL_002851-RA, HEL_002853-RA	XP_034837822.1
OG0001512	HEL_007499-RA	XP_034830691.1
OG0001514	HEL_005562-RA	XP_034829452.1
OG0001516	HEL_001066-RA, HEL_001069-RA	XP_034831102.1, XP_034831103.1
OG0001517	HEL_003741-RA, HEL_003740-RA	XP_034834079.1
OG0001518	HEL_010961-RA	XP_034824603.1
OG0001519	HEL_005558-RA	XP_034829297.1
OG0001520	HEL_009957-RA, HEL_009956-RA	XP_034838316.1
OG0001522	HEL_002982-RA	XP_034829363.1, XP_034829354.1, XP_034829368.1
OG0001523	HEL_002812-RA	XP_034833123.1
OG0001524	HEL_003722-RA, HEL_001151-RA, HEL_003723-RA	XP_034834134.1
OG0001526	HEL_014016-RA	XP_034833628.1
OG0001527	HEL_006945-RA	XP_034826543.1, XP_034826542.1
OG0001529	HEL_001817-RA	XP_034836203.1
OG0001531	HEL_004710-RA	XP_034836778.1
OG0001532	HEL_009972-RA	XP_034827520.1
OG0001533	HEL_010465-RA	XP_034839607.1
OG0001534	HEL_013741-RA, HEL_013740-RA	XP_034832988.1
OG0001535	HEL_002783-RA, HEL_002787-RA, HEL_002785-RA, HEL_002784-RA, HEL_002782-RA	XP_034836255.1
OG0001536	HEL_006279-RA, HEL_006282-RA, HEL_006278-RA, HEL_006280-RA, HEL_006283-RA	XP_034827154.1
OG0001537	HEL_010467-RA	XP_034839415.1
OG0001538	HEL_000055-RA	XP_034824973.1
OG0001539	HEL_001339-RA, HEL_001336-RA, HEL_001338-RA, HEL_001337-RA, HEL_001335-RA	XP_034841051.1
OG0001541	HEL_007451-RA	XP_034830485.1
OG0001542	HEL_009523-RA	XP_034837423.1
OG0001543	HEL_009994-RA	XP_034827828.1
OG0001544	HEL_007449-RA	XP_034830487.1
OG0001546	HEL_001077-RA, HEL_001078-RA, HEL_001076-RA	XP_034831586.1, XP_034831585.1
OG0001547	HEL_009519-RA, HEL_009520-RA	XP_034837415.1
OG0001548	HEL_006084-RA	XP_034829918.1
OG0001549	HEL_000033-RA, HEL_000032-RA	XP_034839524.1, XP_034824824.1
OG0001550	HEL_014472-RA	XP_034839471.1
OG0001551	HEL_003799-RA, HEL_003800-RA, HEL_003796-RA	XP_034834195.1, XP_034834239.1
OG0001552	HEL_001374-RA, HEL_001371-RA	XP_034841560.1
OG0001553	HEL_010008-RA, HEL_010007-RA	XP_034827445.1
OG0001554	HEL_008204-RA	XP_034835499.1
OG0001555	HEL_003034-RA	XP_034835795.1, XP_034835726.1
OG0001556	HEL_003040-RA	XP_034835517.1
OG0001557	HEL_010741-RA	XP_034832113.1, XP_034832114.1
OG0001558	HEL_012354-RA	XP_034835793.1
OG0001559	HEL_012154-RA	XP_034832012.1, XP_034832009.1
OG0001562	HEL_012174-RA	XP_034832402.1
OG0001563	HEL_013654-RA, HEL_013655-RA	XP_034834544.1
OG0001564	HEL_000258-RA, HEL_000259-RA	XP_034836391.1
OG0001565	HEL_013183-RA	XP_034833399.1
OG0001567	HEL_012394-RA	XP_034828855.1, XP_034828856.1, XP_034828485.1
OG0001568	HEL_006859-RA	XP_034826570.1
OG0001569	HEL_001039-RA	XP_034831185.1
OG0001571	HEL_006336-RA	XP_034826725.1
OG0001572	HEL_000003-RA	XP_034824377.1, XP_034824376.1, XP_034824375.1
OG0001573	HEL_000226-RA	XP_034836633.1
OG0001577	HEL_001435-RA, HEL_001433-RA	XP_034841147.1
OG0001578	HEL_006781-RA	XP_034833589.1
OG0001579	HEL_001439-RA	XP_034841127.1, XP_034841126.1, XP_034841125.1
OG0001580	HEL_007234-RA, HEL_007235-RA	XP_034833565.1
OG0001581	HEL_001326-RA, HEL_001325-RA	XP_034841270.1
OG0001582	HEL_001322-RA	XP_034841440.1, XP_034841438.1, XP_034841441.1
OG0001583	HEL_005948-RA	XP_034837704.1
OG0001584	HEL_001318-RA	XP_034841445.1
OG0001585	HEL_007032-RA	XP_034839579.1
OG0001585	HEL_007031-RA	XP_034839580.1
OG0001586	HEL_005940-RA	XP_034837701.1, XP_034837702.1
OG0001587	HEL_008106-RA, HEL_008105-RA, HEL_008104-RA	XP_034835471.1
OG0001589	HEL_013581-RA	XP_034835009.1, XP_034834896.1
OG0001591	HEL_008580-RA	XP_034832934.1
OG0001592	HEL_012379-RA	XP_034828640.1
OG0001593	HEL_006799-RA, HEL_006798-RA	XP_034838767.1, XP_034838761.1, XP_034838772.1
OG0001594	HEL_010979-RA, HEL_010981-RA, HEL_010980-RA	XP_034824934.1
OG0001595	HEL_003898-RA	XP_034833978.1
OG0001596	HEL_000992-RA, HEL_000991-RA	XP_034831566.1
OG0001597	HEL_003132-RA, HEL_003131-RA	XP_034827808.1
OG0001600	HEL_012602-RA	XP_034831886.1
OG0001601	HEL_010651-RA	XP_034829937.1
OG0001602	HEL_007214-RA	XP_034833428.1
OG0001603	HEL_012657-RA	XP_034827756.1
OG0001604	HEL_013355-RA	XP_034827610.1
OG0001605	HEL_014173-RA	XP_034827624.1
OG0001607	HEL_001265-RA	XP_034841410.1, XP_034841405.1, XP_034841404.1, XP_034841390.1
OG0001608	HEL_009768-RA, HEL_009767-RA, HEL_009769-RA	XP_034831483.1
OG0001609	HEL_005881-RA	XP_034837782.1
OG0001610	HEL_003169-RA	XP_034826073.1, XP_034826093.1, XP_034826082.1
OG0001611	HEL_010686-RA	XP_034829558.1
OG0001612	HEL_011513-RA, HEL_011512-RA	XP_034830934.1
OG0001614	HEL_005870-RA	XP_034837509.1
OG0001615	HEL_012930-RA, HEL_012931-RA	XP_034826213.1
OG0001616	HEL_012050-RA	XP_034834386.1
OG0001617	HEL_010298-RA	XP_034830170.1, XP_034830171.1
OG0001618	HEL_010300-RA	XP_034829898.1, XP_034829632.1
OG0001619	HEL_006209-RA, HEL_006210-RA	XP_034827388.1, XP_034827389.1
OG0001620	HEL_008628-RA, HEL_008627-RA, HEL_008629-RA, HEL_008626-RA	XP_034832856.1
OG0001621	HEL_011945-RA	XP_034832040.1, XP_034832037.1, XP_034832038.1, XP_034832041.1, XP_034832039.1
OG0001623	HEL_001204-RA, HEL_001203-RA	XP_034841520.1
OG0001624	HEL_009605-RA	XP_034827210.1
OG0001625	HEL_013077-RA	XP_034828486.1, XP_034828892.1
OG0001626	HEL_003211-RA	XP_034828626.1
OG0001627	HEL_009601-RA	XP_034827124.1
OG0001630	HEL_011426-RA, HEL_011427-RA	XP_034830329.1, XP_034830330.1
OG0001631	HEL_006654-RA	XP_034838337.1
OG0001632	HEL_008540-RA	XP_034826422.1
OG0001633	HEL_001184-RA	XP_034841014.1, XP_034824134.1
OG0001635	HEL_011969-RA, HEL_011970-RA	XP_034832029.1
OG0001636	HEL_006680-RA	XP_034833788.1
OG0001637	HEL_010353-RA	XP_034829995.1
OG0001638	HEL_008351-RA	XP_034827880.1
OG0001640	HEL_010362-RA	XP_034830094.1, XP_034830095.1
OG0001641	HEL_008357-RA	XP_034827971.1
OG0001642	HEL_008368-RA	XP_034828028.1, XP_034828029.1, XP_034828030.1, XP_034828027.1
OG0001643	HEL_001144-RA	XP_034841037.1, XP_034841036.1
OG0001644	HEL_007146-RA	XP_034839395.1, XP_034839394.1
OG0001645	HEL_008487-RA	XP_034826518.1, XP_034826517.1
OG0001647	HEL_012806-RA	XP_034830671.1
OG0001648	HEL_008486-RA, HEL_008484-RA	XP_034825892.1
OG0001649	HEL_004482-RA, HEL_004483-RA	XP_034825125.1
OG0001650	HEL_003280-RA, HEL_003279-RA	XP_034826554.1, XP_034827461.1
OG0001651	HEL_008375-RA, HEL_008378-RA	XP_034827909.1
OG0001652	HEL_008373-RA	XP_034827910.1
OG0001653	HEL_011637-RA	XP_034840524.1
OG0001654	HEL_002930-RA	XP_034832925.1
OG0001656	HEL_004827-RA	XP_034825992.1
OG0001658	HEL_004857-RA, HEL_004858-RA, HEL_004856-RA	XP_034826502.1
OG0001659	HEL_009811-RA, HEL_009812-RA	XP_034831452.1, XP_034831453.1, XP_034831454.1
OG0001660	HEL_009987-RA, HEL_009988-RA, HEL_009989-RA, HEL_009991-RA, HEL_009990-RA	XP_034827409.1
OG0001670	HEL_010056-RA	XP_034827785.1
OG0001671	HEL_009284-RA	XP_034837383.1
OG0001672	HEL_013180-RA, HEL_013178-RA	XP_034828905.1
OG0001673	HEL_004888-RA	XP_034826097.1
OG0001674	HEL_000541-RA	XP_034838364.1
OG0001675	HEL_008968-RA	XP_034833036.1
OG0001676	HEL_011852-RA	XP_034837390.1
OG0001677	HEL_001914-RA	XP_034836222.1
OG0001678	HEL_001696-RA, HEL_001695-RA	XP_034840868.1
OG0001679	HEL_006972-RA, HEL_006973-RA	XP_034831977.1
OG0001680	HEL_012506-RA	XP_034834917.1
OG0001681	HEL_004168-RA	XP_034838211.1
OG0001682	HEL_007333-RA	XP_034833191.1, XP_034833192.1
OG0001683	HEL_011014-RA	XP_034828700.1
OG0001684	HEL_011013-RA	XP_034828706.1, XP_034828705.1
OG0001685	HEL_002184-RA	XP_034837670.1, XP_034837669.1
OG0001686	HEL_011848-RA	XP_034837092.1
OG0001687	HEL_011015-RA	XP_034828898.1, XP_034828900.1
OG0001688	HEL_007330-RA	XP_034833155.1
OG0001689	HEL_013050-RA	XP_034838805.1
OG0001690	HEL_005081-RA, HEL_005075-RA	XP_034833930.1
OG0001691	HEL_012681-RA, HEL_012680-RA	XP_034827747.1
OG0001692	HEL_012687-RA	XP_034828127.1, XP_034828126.1
OG0001693	HEL_002149-RA	XP_034835721.1
OG0001695	HEL_003476-RA	XP_034832288.1
OG0001696	HEL_014059-RA	XP_034835621.1
OG0001697	HEL_009473-RA	XP_034830873.1, XP_034830872.1
OG0001698	HEL_004014-RA	XP_034825048.1
OG0001699	HEL_004012-RA, HEL_004013-RA	XP_034825046.1, XP_034825047.1
OG0001700	HEL_014530-RA	XP_034837867.1
OG0001702	HEL_012678-RA	XP_034828124.1
OG0001703	HEL_012097-RA	XP_034839657.1
OG0001704	HEL_013045-RA	XP_034839060.1
OG0001705	HEL_003388-RA	XP_034826145.1
OG0001706	HEL_004025-RA	XP_034838140.1
OG0001707	HEL_013047-RA, HEL_013046-RA	XP_034839062.1
OG0001709	HEL_012527-RA, HEL_012530-RA	XP_034834923.1
OG0001711	HEL_005384-RA	XP_034836826.1
OG0001713	HEL_002199-RA	XP_034837604.1
OG0001714	HEL_005386-RA	XP_034836825.1
OG0001715	HEL_007618-RA, HEL_007619-RA, HEL_007625-RA, HEL_007621-RA	XP_034824276.1
OG0001716	HEL_007615-RA, HEL_007624-RA, HEL_007616-RA	XP_034824600.1
OG0001717	HEL_005314-RA	XP_034829122.1
OG0001718	HEL_005086-RA	XP_034833763.1
OG0001719	HEL_013049-RA	XP_034839032.1, XP_034839031.1
OG0001720	HEL_014453-RA	XP_034835134.1
OG0001721	HEL_005392-RA	XP_034836904.1, XP_034836840.1
OG0001722	HEL_005307-RA	XP_034829179.1
OG0001723	HEL_005292-RA, HEL_005295-RA	XP_034829248.1
OG0001724	HEL_010490-RA, HEL_010492-RA, HEL_010491-RA	XP_034840159.1, XP_034829492.1
OG0001727	HEL_012638-RA	XP_034827979.1
OG0001728	HEL_005277-RA, HEL_005276-RA	XP_034829369.1
OG0001729	HEL_005405-RA	XP_034837003.1
OG0001730	HEL_003354-RA	XP_034826329.1, XP_034826454.1
OG0001732	HEL_002215-RA	XP_034837598.1, XP_034837599.1
OG0001734	HEL_005407-RA	XP_034836906.1
OG0001735	HEL_005255-RA	XP_034829468.1
OG0001736	HEL_010250-RA, HEL_010247-RA, HEL_010248-RA, HEL_010246-RA	XP_034830476.1
OG0001737	HEL_004957-RA	XP_034825946.1
OG0001738	HEL_003977-RA	XP_034825642.1, XP_034825643.1
OG0001739	HEL_005102-RA	XP_034834074.1
OG0001740	HEL_012407-RA	XP_034837577.1, XP_034837584.1
OG0001742	HEL_012568-RA, HEL_012569-RA	XP_034834428.1
OG0001743	HEL_012570-RA	XP_034834935.1
OG0001744	HEL_010197-RA	XP_034826888.1
OG0001745	HEL_005411-RA	XP_034836713.1
OG0001746	HEL_011656-RA	XP_034840147.1, XP_034840146.1
OG0001747	HEL_011658-RA	XP_034839932.1
OG0001750	HEL_013887-RA, HEL_013889-RA	XP_034828140.1
OG0001751	HEL_013062-RA	XP_034838968.1
OG0001752	HEL_013202-RA	XP_034828345.1, XP_034828346.1
OG0001753	HEL_002776-RA	XP_034836284.1
OG0001755	HEL_002069-RA	XP_034835874.1
OG0001756	HEL_013905-RA	XP_034827687.1
OG0001757	HEL_007782-RA	XP_034829811.1
OG0001758	HEL_013195-RA, HEL_013194-RA, HEL_013192-RA	XP_034828413.1
OG0001759	HEL_014342-RA	XP_034830885.1
OG0001760	HEL_013512-RA, HEL_013511-RA, HEL_013510-RA, HEL_013513-RA	XP_034837187.1
OG0001761	HEL_013188-RA	XP_034828790.1
OG0001762	HEL_005667-RA	XP_034834747.1
OG0001763	HEL_010200-RA	XP_034826891.1
OG0001764	HEL_003325-RA	XP_034826325.1
OG0001765	HEL_000473-RA	XP_034836615.1, XP_034836614.1
OG0001766	HEL_002086-RA	XP_034836240.1
OG0001768	HEL_009023-RA, HEL_009024-RA, HEL_009022-RA	XP_034832595.1
OG0001769	HEL_008216-RA	XP_034835382.1
OG0001770	HEL_008887-RA, HEL_008888-RA, HEL_008889-RA	XP_034833055.1
OG0001771	HEL_007131-RA, HEL_007130-RA	XP_034839761.1, XP_034824409.1
OG0001772	HEL_011738-RA, HEL_011737-RA	XP_034839009.1
OG0001773	HEL_013230-RA, HEL_013231-RA	XP_034839148.1
OG0001774	HEL_005680-RA	XP_034834672.1
OG0001776	HEL_012185-RA	XP_034831703.1
OG0001777	HEL_007762-RA	XP_034830193.1
OG0001778	HEL_010148-RA	XP_034828086.1, XP_034828087.1
OG0001779	HEL_001784-RA, HEL_001782-RA, HEL_001781-RA, HEL_001785-RA	XP_034840874.1
OG0001780	HEL_007760-RA	XP_034830192.1
OG0001781	HEL_011269-RA	XP_034838697.1
OG0001782	HEL_003541-RA	XP_034832253.1
OG0001783	HEL_007801-RA	XP_034830181.1
OG0001783	HEL_007800-RA	XP_034830182.1
OG0001784	HEL_011723-RA	XP_034838776.1
OG0001785	HEL_013167-RA	XP_034828924.1, XP_034828925.1
OG0001786	HEL_011272-RA	XP_034838521.1
OG0001788	HEL_000798-RA	XP_034831628.1
OG0001789	HEL_010141-RA	XP_034827708.1
OG0001790	HEL_013163-RA, HEL_013164-RA	XP_034828911.1
OG0001791	HEL_003593-RA, HEL_003592-RA	XP_034833693.1
OG0001793	HEL_008867-RA	XP_034832847.1, XP_034832846.1
OG0001794	HEL_005045-RA	XP_034826608.1
OG0001795	HEL_011281-RA, HEL_011280-RA	XP_034838718.1
OG0001796	HEL_013159-RA	XP_034828783.1, XP_034828912.1, XP_034828784.1
OG0001797	HEL_008864-RA	XP_034832604.1
OG0001798	HEL_006400-RA	XP_034835646.1
OG0001799	HEL_010572-RA	XP_034840329.1
OG0001801	HEL_011234-RA	XP_034832569.1
OG0001802	HEL_007791-RA	XP_034830023.1
OG0001803	HEL_001801-RA	XP_034840881.1
OG0001804	HEL_011698-RA, HEL_011699-RA	XP_034838905.1
OG0001805	HEL_010214-RA, HEL_010215-RA	XP_034826912.1
OG0001806	HEL_005709-RA	XP_034834686.1
OG0001807	HEL_000506-RA, HEL_000507-RA	XP_034836681.1
OG0001808	HEL_003653-RA, HEL_003652-RA, HEL_003657-RA	XP_034833893.1
OG0001810	HEL_011777-RA	XP_034838755.1
OG0001811	HEL_004937-RA	XP_034825842.1, XP_034825843.1
OG0001812	HEL_000437-RA	XP_034836604.1, XP_034836603.1, XP_034836602.1
OG0001814	HEL_007563-RA, HEL_007562-RA	XP_034824710.1
OG0001815	HEL_006412-RA	XP_034835205.1
OG0001816	HEL_008051-RA, HEL_008052-RA	XP_034826787.1
OG0001817	HEL_005727-RA	XP_034834708.1, XP_034834707.1
OG0001818	HEL_009044-RA	XP_034840445.1
OG0001819	HEL_013850-RA, HEL_013849-RA, HEL_013846-RA	XP_034834214.1
OG0001820	HEL_002236-RA, HEL_002235-RA, HEL_002233-RA, HEL_002237-RA	XP_034827031.1
OG0001821	HEL_010106-RA	XP_034828145.1
OG0001822	HEL_005608-RA	XP_034829303.1
OG0001823	HEL_011345-RA	XP_034838653.1
OG0001824	HEL_005818-RA	XP_034834580.1
OG0001825	HEL_011221-RA, HEL_011219-RA, HEL_011217-RA	XP_034833005.1
OG0001826	HEL_002544-RA	XP_034835557.1
OG0001827	HEL_001643-RA	XP_034841422.1
OG0001829	HEL_009062-RA	XP_034840362.1
OG0001830	HEL_001688-RA	XP_034841475.1
OG0001831	HEL_002305-RA	XP_034824696.1
OG0001833	HEL_010091-RA	XP_034828238.1
OG0001834	HEL_004648-RA	XP_034836948.1
OG0001835	HEL_001683-RA	XP_034824021.1, XP_034824022.1, XP_034824023.1
OG0001836	HEL_011829-RA, HEL_011830-RA, HEL_011828-RA	XP_034837134.1
OG0001838	HEL_000523-RA, HEL_000522-RA	XP_034838717.1
OG0001839	HEL_002555-RA	XP_034839135.1, XP_034839206.1
OG0001840	HEL_000516-RA, HEL_000515-RA	XP_034838409.1
OG0001841	HEL_009088-RA, HEL_009086-RA, HEL_009087-RA	XP_034839601.1, XP_034839595.1
OG0001842	HEL_000420-RA, HEL_000421-RA, HEL_000419-RA	XP_034836508.1
OG0001843	HEL_005003-RA	XP_034825913.1
OG0001844	HEL_007064-RA	XP_034834551.1
OG0001845	HEL_014027-RA	XP_034825086.1
OG0001846	HEL_010834-RA, HEL_010830-RA, HEL_010833-RA, HEL_010832-RA, HEL_010836-RA	XP_034829094.1
OG0001847	HEL_000411-RA, HEL_000413-RA, HEL_000412-RA, HEL_000410-RA	XP_034836333.1
OG0001848	HEL_011342-RA	XP_034838394.1
OG0001849	HEL_014025-RA	XP_034825449.1
OG0001850	HEL_010087-RA	XP_034827895.1
OG0001851	HEL_014224-RA, HEL_014223-RA	XP_034834127.1
OG0001852	HEL_009274-RA, HEL_009273-RA	XP_034837382.1
OG0001853	HEL_014020-RA, HEL_014024-RA, HEL_014019-RA, HEL_014022-RA	XP_034825067.1
OG0001855	HEL_010819-RA, HEL_010822-RA, HEL_010821-RA, HEL_010820-RA	XP_034829106.1
OG0001856	HEL_005802-RA	XP_034834903.1, XP_034834904.1
OG0001857	HEL_002578-RA	XP_034831331.1, XP_034831316.1, XP_034831324.1
OG0001858	HEL_009757-RA	XP_034833464.1, XP_034833465.1
OG0001860	HEL_013238-RA	XP_034839264.1
OG0001861	HEL_005021-RA	XP_034825936.1, XP_034825939.1
OG0001862	HEL_007978-RA	XP_034826927.1
OG0001863	HEL_007714-RA	XP_034824942.1
OG0001864	HEL_005024-RA	XP_034826489.1
OG0001865	HEL_009425-RA	XP_034830846.1
OG0001866	HEL_002349-RA	XP_034823968.1
OG0001868	HEL_000405-RA	XP_034836668.1
OG0001869	HEL_004334-RA	XP_034828592.1
OG0001870	HEL_009107-RA, HEL_009106-RA	XP_034840563.1
OG0001871	HEL_004935-RA	XP_034826406.1, XP_034826407.1
OG0001874	HEL_003582-RA, HEL_003581-RA	XP_034832465.1
OG0001875	HEL_010964-RA	XP_034824804.1
OG0001876	HEL_001652-RA	XP_034840861.1
OG0001877	HEL_013930-RA	XP_034838738.1
OG0001878	HEL_002605-RA	XP_034834534.1
OG0001879	HEL_004930-RA	XP_034826498.1
OG0001881	HEL_006466-RA, HEL_006463-RA	XP_034835290.1, XP_034835289.1
OG0001882	HEL_009415-RA	XP_034830551.1
OG0001883	HEL_004636-RA	XP_034836798.1
OG0001884	HEL_008014-RA	XP_034826989.1
OG0001885	HEL_013770-RA	XP_034833372.1
OG0001886	HEL_013774-RA	XP_034833459.1
OG0001887	HEL_013960-RA	XP_034838967.1
OG0001888	HEL_002618-RA, HEL_002617-RA	XP_034832043.1
OG0001889	HEL_012079-RA	XP_034839828.1
OG0001890	HEL_009409-RA	XP_034830983.1
OG0001891	HEL_000554-RA	XP_034838373.1
OG0001893	HEL_013533-RA, HEL_013534-RA	XP_034827488.1
OG0001894	HEL_009153-RA, HEL_009154-RA	XP_034840190.1
OG0001895	HEL_008099-RA, HEL_008100-RA	XP_034827129.1
OG0001896	HEL_013701-RA	XP_034838329.1
OG0001897	HEL_008828-RA	XP_034825379.1, XP_034825380.1
OG0001898	HEL_002980-RA	XP_034831737.1
OG0001899	HEL_006184-RA	XP_034829690.1
OG0001900	HEL_013787-RA, HEL_013786-RA	XP_034833506.1
OG0001901	HEL_009789-RA	XP_034831357.1
OG0001902	HEL_002397-RA, HEL_002396-RA	XP_034827003.1
OG0001903	HEL_005783-RA	XP_034834957.1
OG0001904	HEL_013788-RA	XP_034833522.1, XP_034833523.1
OG0001905	HEL_002639-RA	XP_034830829.1
OG0001906	HEL_009588-RA	XP_034827117.1, XP_034827118.1
OG0001907	HEL_005142-RA	XP_034833791.1
OG0001908	HEL_010721-RA	XP_034832112.1, XP_034839619.1
OG0001909	HEL_009307-RA	XP_034837324.1, XP_034837323.1
OG0001910	HEL_004620-RA	XP_034836876.1
OG0001911	HEL_008809-RA	XP_034825515.1
OG0001912	HEL_013219-RA, HEL_013218-RA	XP_034839541.1
OG0001913	HEL_005144-RA	XP_034833811.1
OG0001914	HEL_005146-RA, HEL_005150-RA, HEL_005152-RA, HEL_005149-RA	XP_034833795.1
OG0001915	HEL_013017-RA	XP_034838856.1
OG0001916	HEL_002405-RA	XP_034826666.1, XP_034826673.1
OG0001917	HEL_013314-RA	XP_034824535.1, XP_034824534.1
OG0001918	HEL_000919-RA	XP_034831026.1, XP_034831025.1, XP_034831027.1
OG0001919	HEL_005779-RA, HEL_005782-RA, HEL_005781-RA	XP_034834330.1
OG0001920	HEL_004627-RA	XP_034836878.1
OG0001921	HEL_000914-RA	XP_034831079.1
OG0001922	HEL_009327-RA, HEL_009326-RA	XP_034837300.1
OG0001923	HEL_009652-RA	XP_034839677.1, XP_034839675.1, XP_034839676.1
OG0001926	HEL_006608-RA	XP_034835147.1, XP_034835146.1
OG0001927	HEL_010380-RA, HEL_010381-RA	XP_034838844.1
OG0001928	HEL_006177-RA, HEL_006176-RA	XP_034829823.1
OG0001931	HEL_013925-RA	XP_034839098.1
OG0001932	HEL_009377-RA	XP_034830968.1, XP_034830967.1
OG0001933	HEL_013989-RA	XP_034829072.1
OG0001934	HEL_007929-RA	XP_034827259.1, XP_034827260.1
OG0001936	HEL_004886-RA	XP_034826105.1, XP_034826104.1
OG0001937	HEL_000568-RA	XP_034838693.1, XP_034838694.1
OG0001938	HEL_002656-RA	XP_034830201.1
OG0001939	HEL_011532-RA	XP_034833685.1
OG0001940	HEL_012967-RA	XP_034838955.1
OG0001941	HEL_002660-RA, HEL_002661-RA, HEL_002658-RA	XP_034830314.1, XP_034830298.1, XP_034830306.1
OG0001942	HEL_009337-RA	XP_034837307.1
OG0001943	HEL_012135-RA	XP_034832092.1, XP_034832093.1
OG0001944	HEL_007917-RA	XP_034827299.1, XP_034827298.1
OG0001945	HEL_004138-RA	XP_034838338.1
OG0001946	HEL_002666-RA, HEL_002669-RA, HEL_002668-RA, HEL_002667-RA	XP_034830219.1
OG0001947	HEL_002672-RA, HEL_002670-RA	XP_034830375.1
OG0001948	HEL_007910-RA	XP_034826848.1, XP_034826847.1
OG0001949	HEL_012134-RA	XP_034832085.1, XP_034832086.1, XP_034832084.1
OG0001950	HEL_004876-RA	XP_034826107.1
OG0001951	HEL_008768-RA	XP_034825057.1
OG0001954	HEL_002432-RA	XP_034826505.1, XP_034826510.1, XP_034826519.1
OG0001955	HEL_007905-RA	XP_034827325.1
OG0001957	HEL_002439-RA	XP_034826646.1
OG0001958	HEL_004607-RA, HEL_004606-RA	XP_034836715.1
OG0001959	HEL_007037-RA	XP_034839578.1
OG0001960	HEL_007487-RA	XP_034830374.1
OG0001961	HEL_000602-RA	XP_034838419.1
OG0001962	HEL_006555-RA	XP_034835330.1
OG0001963	HEL_013974-RA	XP_034829178.1
OG0001964	HEL_012283-RA, HEL_012284-RA, HEL_012285-RA	XP_034832624.1
OG0001965	HEL_004855-RA, HEL_004854-RA	XP_034826100.1
OG0001966	HEL_000354-RA	XP_034836494.1
OG0001967	HEL_006158-RA	XP_034830156.1
OG0001968	HEL_008744-RA	XP_034825271.1
OG0001969	HEL_002450-RA, HEL_002451-RA	XP_034826354.1
OG0001970	HEL_008743-RA	XP_034825288.1
OG0001971	HEL_004843-RA	XP_034826117.1
OG0001973	HEL_004290-RA, HEL_004291-RA	XP_034828711.1
OG0001974	HEL_008981-RA, HEL_008984-RA	XP_034832807.1
OG0001975	HEL_014552-RA	XP_034828315.1, XP_034828314.1
OG0001976	HEL_007890-RA, HEL_007889-RA	XP_034827185.1
OG0001977	HEL_007556-RA, HEL_007557-RA, HEL_007555-RA	XP_034830389.1
OG0001979	HEL_000309-RA, HEL_000310-RA	XP_034836446.1
OG0001980	HEL_000867-RA	XP_034831053.1
