Orthogroup	Heliconius_erato_lativitta	Pararge_aegeria
OG0001529	HEL_001817-RA	XP_039759892.1, XP_039759891.1
OG0001531	HEL_004710-RA, HEL_004711-RA	XP_039761092.1
OG0001532	HEL_009972-RA	XP_039752483.1, XP_039752484.1
OG0001533	HEL_010465-RA	XP_039764069.1
OG0001534	HEL_013741-RA, HEL_013740-RA	XP_039756920.1
OG0001535	HEL_002783-RA, HEL_002787-RA, HEL_002785-RA, HEL_002784-RA, HEL_002782-RA	XP_039760193.1
OG0001536	HEL_006279-RA, HEL_006282-RA, HEL_006278-RA, HEL_006280-RA, HEL_006283-RA	XP_039751482.1
OG0001537	HEL_010467-RA	XP_039750272.1, XP_039763556.1
OG0001538	HEL_000055-RA	XP_039748989.1
OG0001539	HEL_001339-RA, HEL_001336-RA, HEL_001338-RA, HEL_001337-RA, HEL_001335-RA	XP_039765800.1
OG0001541	HEL_007451-RA	XP_039754515.1
OG0001542	HEL_009523-RA	XP_039760399.1
OG0001543	HEL_009994-RA	XP_039752123.1
OG0001544	HEL_007449-RA	XP_039754257.1, XP_039754256.1, XP_039754258.1
OG0001546	HEL_001077-RA, HEL_001078-RA, HEL_001076-RA	XP_039755564.1
OG0001547	HEL_009519-RA, HEL_009520-RA	XP_039760657.1
OG0001548	HEL_006084-RA	XP_039749487.1
OG0001549	HEL_000033-RA, HEL_000032-RA	XP_039748777.1
OG0001550	HEL_014472-RA	XP_039764135.1, XP_039764133.1, XP_039764132.1
OG0001551	HEL_003799-RA, HEL_003800-RA, HEL_003796-RA	XP_039757810.1
OG0001552	HEL_001371-RA	XP_039765681.1
OG0001553	HEL_010008-RA, HEL_010007-RA	XP_039752172.1, XP_039752173.1
OG0001554	HEL_008204-RA	XP_039759155.1
OG0001555	HEL_003034-RA	XP_039764590.1, XP_039764589.1, XP_039764591.1
OG0001556	HEL_003040-RA	XP_039765115.1, XP_039765114.1, XP_039765113.1
OG0001557	HEL_010741-RA	XP_039752955.1
OG0001558	HEL_012354-RA	XP_039759940.1, XP_039759941.1, XP_039759939.1, XP_039759942.1
OG0001559	HEL_012154-RA	XP_039753039.1, XP_039753034.1
OG0001563	HEL_013654-RA, HEL_013655-RA	XP_039756185.1
OG0001564	HEL_000259-RA	XP_039748058.1
OG0001565	HEL_013183-RA	XP_039758569.1
OG0001567	HEL_012394-RA	XP_039750485.1, XP_039750483.1, XP_039750484.1
OG0001568	HEL_006859-RA	XP_039757390.1
OG0001571	HEL_006334-RA	XP_039751365.1
OG0001571	HEL_006336-RA	XP_039751606.1
OG0001572	HEL_000003-RA	XP_039748790.1, XP_039748788.1
OG0001573	HEL_000226-RA	XP_039747538.1
OG0001577	HEL_001435-RA, HEL_001433-RA	XP_039765716.1
OG0001578	HEL_006781-RA	XP_039755377.1
OG0001579	HEL_001439-RA	XP_039765723.1, XP_039765722.1
OG0001580	HEL_007234-RA, HEL_007235-RA	XP_039758699.1
OG0001582	HEL_001322-RA	XP_039765781.1
OG0001583	HEL_005948-RA	XP_039761620.1
OG0001584	HEL_001318-RA	XP_039745361.1
OG0001585	HEL_007030-RA, HEL_007032-RA, HEL_007031-RA	XP_039763348.1
OG0001586	HEL_005940-RA	XP_039761614.1, XP_039761615.1, XP_039761616.1, XP_039761617.1
OG0001587	HEL_008106-RA, HEL_008105-RA, HEL_008104-RA	XP_039758938.1, XP_039758939.1
OG0001589	HEL_013581-RA	XP_039756425.1, XP_039756354.1
OG0001591	HEL_008580-RA	XP_039757047.1
OG0001592	HEL_012379-RA	XP_039750463.1
OG0001593	HEL_006799-RA, HEL_006798-RA	XP_039752613.1
OG0001594	HEL_010979-RA, HEL_010981-RA, HEL_010980-RA	XP_039748597.1
OG0001595	HEL_003898-RA	XP_039757987.1, XP_039757984.1, XP_039757985.1, XP_039757986.1
OG0001596	HEL_000992-RA, HEL_000991-RA	XP_039755687.1
OG0001596	HEL_000990-RA	XP_039755684.1
OG0001597	HEL_003132-RA, HEL_003131-RA	XP_039765053.1
OG0001600	HEL_012602-RA	XP_039764307.1, XP_039763087.1, XP_039764328.1, XP_039752854.1
OG0001601	HEL_010651-RA	XP_039749451.1, XP_039749452.1
OG0001602	HEL_007214-RA	XP_039758235.1, XP_039758236.1
OG0001603	HEL_012657-RA	XP_039752017.1
OG0001604	HEL_013355-RA	XP_039752131.1
OG0001605	HEL_014173-RA	XP_039751954.1
OG0001607	HEL_001265-RA	XP_039765861.1, XP_039765559.1
OG0001608	HEL_009768-RA, HEL_009767-RA, HEL_009769-RA	XP_039755545.1
OG0001609	HEL_005881-RA	XP_039761575.1
OG0001610	HEL_003169-RA	XP_039764742.1, XP_039764741.1, XP_039764743.1
OG0001611	HEL_010686-RA	XP_039749959.1, XP_039749960.1
OG0001612	HEL_011513-RA, HEL_011512-RA	XP_039754096.1
OG0001614	HEL_005870-RA	XP_039761581.1
OG0001615	HEL_012931-RA	XP_039748653.1
OG0001616	HEL_012050-RA	XP_039756696.1
OG0001617	HEL_010299-RA, HEL_010298-RA	XP_039749569.1
OG0001618	HEL_010300-RA	XP_039749573.1, XP_039749572.1
OG0001619	HEL_006209-RA, HEL_006210-RA	XP_039751498.1
OG0001620	HEL_008628-RA, HEL_008627-RA, HEL_008629-RA, HEL_008626-RA	XP_039756794.1
OG0001621	HEL_011945-RA	XP_039752948.1
OG0001623	HEL_001204-RA, HEL_001203-RA	XP_039745442.1
OG0001624	HEL_009605-RA	XP_039751064.1
OG0001625	HEL_013076-RA, HEL_013077-RA	XP_039750595.1
OG0001626	HEL_003211-RA	XP_039763113.1
OG0001627	HEL_009601-RA	XP_039751062.1
OG0001630	HEL_011426-RA, HEL_011427-RA	XP_039753835.1, XP_039753836.1
OG0001631	HEL_006654-RA	XP_039753824.1
OG0001632	HEL_008540-RA	XP_039746478.1, XP_039746496.1, XP_039746487.1, XP_039746513.1, XP_039746505.1
OG0001633	HEL_001184-RA	XP_039745126.1, XP_039765306.1
OG0001635	HEL_011969-RA, HEL_011970-RA	XP_039753684.1
OG0001636	HEL_006680-RA	XP_039757137.1
OG0001637	HEL_010353-RA	XP_039749966.1
OG0001638	HEL_008351-RA	XP_039751932.1
OG0001640	HEL_010362-RA	XP_039749969.1, XP_039749970.1
OG0001641	HEL_008357-RA	XP_039752595.1
OG0001642	HEL_008368-RA	XP_039751879.1, XP_039751880.1
OG0001643	HEL_001144-RA	XP_039745253.1, XP_039745252.1, XP_039745251.1, XP_039745254.1
OG0001644	HEL_007146-RA	XP_039763781.1, XP_039763782.1, XP_039763783.1
OG0001645	HEL_008487-RA	XP_039764940.1, XP_039764950.1, XP_039764928.1, XP_039764918.1
OG0001647	HEL_012806-RA	XP_039753772.1
OG0001648	HEL_008486-RA, HEL_008484-RA	XP_039752542.1
OG0001649	HEL_004482-RA, HEL_004483-RA	XP_039745589.1
OG0001650	HEL_003280-RA, HEL_003279-RA	XP_039765029.1
OG0001651	HEL_008378-RA	XP_039751919.1
OG0001652	HEL_008373-RA	XP_039764413.1, XP_039751865.1
OG0001653	HEL_011637-RA	XP_039746980.1
OG0001654	HEL_002930-RA	XP_039753908.1
OG0001656	HEL_004827-RA	XP_039745395.1
OG0001659	HEL_009811-RA, HEL_009812-RA	XP_039755619.1, XP_039755618.1
OG0001660	HEL_009987-RA, HEL_009988-RA, HEL_009989-RA, HEL_009991-RA, HEL_009990-RA	XP_039751979.1, XP_039751978.1
OG0001662	HEL_003366-RA	XP_039748898.1
OG0001670	HEL_010056-RA	XP_039752328.1
OG0001671	HEL_009284-RA	XP_039760873.1
OG0001672	HEL_013180-RA, HEL_013178-RA	XP_039750874.1
OG0001673	HEL_004888-RA	XP_039750977.1
OG0001674	HEL_000541-RA	XP_039748470.1, XP_039748469.1
OG0001675	HEL_008968-RA	XP_039757112.1, XP_039757113.1
OG0001676	HEL_011852-RA	XP_039760651.1
OG0001677	HEL_001914-RA	XP_039760334.1
OG0001678	HEL_001696-RA, HEL_001695-RA	XP_039765920.1
OG0001680	HEL_012506-RA	XP_039756447.1
OG0001681	HEL_004168-RA	XP_039762345.1, XP_039762343.1, XP_039762344.1, XP_039761455.1
OG0001682	HEL_007333-RA	XP_039758468.1, XP_039758467.1
OG0001683	HEL_011014-RA	XP_039750302.1, XP_039750303.1, XP_039750304.1
OG0001684	HEL_011013-RA	XP_039750695.1, XP_039750693.1
OG0001685	HEL_002184-RA	XP_039761780.1, XP_039761781.1
OG0001686	HEL_011848-RA	XP_039760792.1
OG0001687	HEL_011015-RA	XP_039750239.1, XP_039750238.1
OG0001688	HEL_007330-RA	XP_039758774.1, XP_039758773.1
OG0001689	HEL_013050-RA	XP_039762773.1
OG0001690	HEL_005081-RA, HEL_005075-RA	XP_039758088.1
OG0001691	HEL_012681-RA, HEL_012680-RA	XP_039751825.1
OG0001692	HEL_012687-RA	XP_039752165.1, XP_039752166.1
OG0001693	HEL_002149-RA	XP_039760126.1, XP_039760125.1
OG0001695	HEL_003476-RA	XP_039753720.1, XP_039753443.1
OG0001696	HEL_014059-RA	XP_039759693.1
OG0001697	HEL_009473-RA	XP_039754513.1, XP_039754514.1
OG0001698	HEL_004014-RA	XP_039745999.1, XP_039745998.1, XP_039745996.1, XP_039745997.1
OG0001699	HEL_004012-RA, HEL_004013-RA	XP_039745952.1, XP_039745950.1
OG0001700	HEL_014530-RA	XP_039762325.1
OG0001702	HEL_012678-RA	XP_039752381.1, XP_039752383.1, XP_039752382.1
OG0001703	HEL_012097-RA	XP_039763276.1, XP_039763275.1
OG0001704	HEL_013045-RA	XP_039762961.1
OG0001705	HEL_003388-RA	XP_039748723.1
OG0001707	HEL_013047-RA, HEL_013046-RA	XP_039762832.1
OG0001709	HEL_012527-RA, HEL_012530-RA	XP_039756000.1
OG0001711	HEL_005384-RA	XP_039761122.1
OG0001713	HEL_002199-RA	XP_039761657.1, XP_039761655.1, XP_039761656.1
OG0001714	HEL_005386-RA	XP_039761023.1, XP_039761022.1
OG0001715	HEL_007618-RA, HEL_007619-RA, HEL_007625-RA, HEL_007621-RA	XP_039749102.1
OG0001716	HEL_007615-RA, HEL_007624-RA, HEL_007616-RA	XP_039749051.1
OG0001718	HEL_005087-RA, HEL_005086-RA	XP_039757617.1
OG0001719	HEL_013049-RA	XP_039762639.1, XP_039762638.1
OG0001721	HEL_005392-RA	XP_039761317.1, XP_039761326.1
OG0001722	HEL_005307-RA	XP_039755039.1
OG0001723	HEL_005292-RA, HEL_005295-RA	XP_039754635.1
OG0001724	HEL_010490-RA, HEL_010492-RA, HEL_010491-RA	XP_039747334.1
OG0001725	HEL_003356-RA	XP_039765865.1
OG0001727	HEL_012638-RA	XP_039751759.1
OG0001728	HEL_005276-RA	XP_039754993.1
OG0001729	HEL_005405-RA	XP_039761074.1
OG0001730	HEL_003354-RA	XP_039746873.1, XP_039749398.1
OG0001734	HEL_005407-RA	XP_039761144.1
OG0001735	HEL_005255-RA	XP_039755235.1
OG0001736	HEL_010250-RA, HEL_010247-RA, HEL_010248-RA, HEL_010246-RA	XP_039754315.1
OG0001737	HEL_004957-RA	XP_039764465.1
OG0001738	HEL_003977-RA	XP_039746370.1
OG0001739	HEL_005102-RA	XP_039757445.1
OG0001740	HEL_012407-RA	XP_039759366.1, XP_039759375.1
OG0001742	HEL_012568-RA, HEL_012569-RA	XP_039756643.1, XP_039756200.1
OG0001743	HEL_012570-RA	XP_039756160.1
OG0001744	HEL_010197-RA	XP_039751503.1
OG0001745	HEL_005411-RA	XP_039761247.1, XP_039761249.1, XP_039761248.1
OG0001746	HEL_011656-RA	XP_039747489.1, XP_039747490.1, XP_039747488.1
OG0001747	HEL_011658-RA	XP_039747052.1
OG0001748	HEL_004064-RA	XP_039762103.1
OG0001750	HEL_013887-RA, HEL_013889-RA	XP_039752115.1
OG0001751	HEL_013062-RA	XP_039762970.1
OG0001752	HEL_013202-RA	XP_039750834.1, XP_039750835.1
OG0001753	HEL_002776-RA	XP_039756669.1
OG0001754	HEL_008995-RA	XP_039757401.1, XP_039757055.1
OG0001755	HEL_002069-RA	XP_039760272.1
OG0001756	HEL_013905-RA	XP_039752408.1
OG0001757	HEL_007782-RA	XP_039749447.1, XP_039749445.1
OG0001758	HEL_013195-RA, HEL_013194-RA, HEL_013192-RA	XP_039750251.1
OG0001759	HEL_014342-RA, HEL_014341-RA	XP_039753884.1
OG0001760	HEL_013512-RA, HEL_013511-RA, HEL_013510-RA, HEL_013513-RA	XP_039760607.1
OG0001761	HEL_013188-RA	XP_039750954.1, XP_039750956.1, XP_039750955.1
OG0001762	HEL_005667-RA	XP_039756754.1, XP_039756753.1
OG0001763	HEL_010200-RA	XP_039751523.1, XP_039751522.1, XP_039751525.1, XP_039751524.1
OG0001764	HEL_003325-RA	XP_039745557.1
OG0001765	HEL_000473-RA	XP_039747523.1, XP_039747522.1
OG0001766	HEL_002086-RA	XP_039760357.1
OG0001768	HEL_009023-RA, HEL_009024-RA, HEL_009022-RA	XP_039757151.1
OG0001769	HEL_008216-RA	XP_039759016.1
OG0001770	HEL_008887-RA, HEL_008888-RA, HEL_008889-RA	XP_039756852.1
OG0001771	HEL_007131-RA, HEL_007130-RA	XP_039763978.1
OG0001772	HEL_011738-RA, HEL_011737-RA	XP_039762761.1
OG0001774	HEL_005680-RA	XP_039756058.1
OG0001776	HEL_012185-RA	XP_039753160.1, XP_039753159.1
OG0001777	HEL_007762-RA	XP_039749665.1
OG0001778	HEL_010148-RA	XP_039752197.1
OG0001779	HEL_001784-RA, HEL_001782-RA, HEL_001781-RA, HEL_001785-RA	XP_039745429.1
OG0001780	HEL_007760-RA	XP_039749975.1
OG0001781	HEL_011269-RA	XP_039748358.1
OG0001782	HEL_003541-RA	XP_039752884.1, XP_039752883.1, XP_039752885.1
OG0001783	HEL_007800-RA	XP_039749924.1
OG0001784	HEL_011723-RA	XP_039762914.1
OG0001785	HEL_013167-RA	XP_039750264.1
OG0001786	HEL_011272-RA	XP_039747903.1, XP_039747904.1, XP_039747902.1
OG0001788	HEL_000798-RA	XP_039755586.1, XP_039755587.1
OG0001789	HEL_010141-RA	XP_039752045.1
OG0001790	HEL_013163-RA, HEL_013164-RA	XP_039750559.1
OG0001791	HEL_003593-RA, HEL_003592-RA	XP_039757818.1
OG0001793	HEL_008867-RA	XP_039757416.1, XP_039757415.1
OG0001794	HEL_005045-RA	XP_039765028.1, XP_039765046.1, XP_039765038.1
OG0001795	HEL_011281-RA, HEL_011280-RA	XP_039747760.1
OG0001796	HEL_013159-RA	XP_039750966.1, XP_039750469.1
OG0001797	HEL_008864-RA	XP_039757171.1, XP_039757173.1
OG0001798	HEL_006400-RA	XP_039758923.1
OG0001799	HEL_010572-RA	XP_039747141.1
OG0001800	HEL_006401-RA	XP_039759214.1
OG0001802	HEL_007791-RA	XP_039749904.1
OG0001803	HEL_001801-RA	XP_039745125.1
OG0001805	HEL_010214-RA, HEL_010215-RA	XP_039751564.1
OG0001806	HEL_005709-RA	XP_039756380.1, XP_039756379.1, XP_039756381.1
OG0001807	HEL_000506-RA, HEL_000507-RA	XP_039748104.1
OG0001808	HEL_003653-RA, HEL_003652-RA, HEL_003657-RA	XP_039757781.1
OG0001810	HEL_011777-RA	XP_039762548.1, XP_039762547.1
OG0001811	HEL_004937-RA	XP_039764876.1, XP_039764885.1
OG0001812	HEL_000437-RA	XP_039748089.1
OG0001814	HEL_007563-RA, HEL_007562-RA	XP_039749170.1
OG0001815	HEL_006412-RA	XP_039759243.1
OG0001816	HEL_008051-RA, HEL_008052-RA	XP_039751719.1
OG0001817	HEL_005727-RA	XP_039756178.1, XP_039756179.1, XP_039756180.1
OG0001819	HEL_013850-RA, HEL_013849-RA, HEL_013846-RA	XP_039757639.1
OG0001820	HEL_002236-RA, HEL_002235-RA, HEL_002233-RA, HEL_002237-RA	XP_039751310.1
OG0001821	HEL_010106-RA	XP_039752187.1
OG0001822	HEL_005608-RA	XP_039754690.1
OG0001823	HEL_011345-RA	XP_039748260.1
OG0001824	HEL_005818-RA	XP_039756337.1
OG0001825	HEL_011217-RA	XP_039757141.1
OG0001826	HEL_002544-RA	XP_039761466.1
OG0001827	HEL_001643-RA	XP_039745475.1
OG0001829	HEL_009062-RA	XP_039747297.1, XP_039747295.1, XP_039747296.1
OG0001830	HEL_001688-RA	XP_039745310.1, XP_039745309.1
OG0001831	HEL_002305-RA	XP_039765108.1
OG0001833	HEL_010091-RA	XP_039752723.1
OG0001834	HEL_004648-RA, HEL_004647-RA	XP_039761302.1
OG0001835	HEL_001683-RA	XP_039765482.1, XP_039765481.1
OG0001836	HEL_011829-RA, HEL_011830-RA, HEL_011828-RA	XP_039760593.1
OG0001838	HEL_000523-RA, HEL_000522-RA	XP_039747822.1
OG0001839	HEL_002555-RA	XP_039752754.1, XP_039752724.1
OG0001840	HEL_000516-RA, HEL_000515-RA	XP_039747925.1
OG0001841	HEL_009088-RA, HEL_009086-RA, HEL_009087-RA	XP_039747365.1
OG0001842	HEL_000420-RA, HEL_000421-RA, HEL_000419-RA	XP_039748229.1
OG0001843	HEL_005003-RA	XP_039761190.1
OG0001844	HEL_007064-RA	XP_039763876.1, XP_039763877.1
OG0001845	HEL_014027-RA	XP_039746016.1, XP_039746018.1
OG0001846	HEL_010834-RA, HEL_010830-RA, HEL_010833-RA, HEL_010832-RA, HEL_010836-RA	XP_039754830.1
OG0001847	HEL_000411-RA, HEL_000413-RA, HEL_000412-RA, HEL_000410-RA	XP_039747899.1
OG0001848	HEL_011342-RA	XP_039748382.1, XP_039748381.1, XP_039748383.1
OG0001849	HEL_014025-RA	XP_039746011.1
OG0001850	HEL_010087-RA	XP_039752230.1
OG0001851	HEL_014222-RA, HEL_014224-RA, HEL_014223-RA	XP_039757855.1
OG0001852	HEL_009274-RA, HEL_009273-RA	XP_039760691.1
OG0001853	HEL_014020-RA, HEL_014024-RA, HEL_014019-RA, HEL_014022-RA	XP_039745881.1
OG0001855	HEL_010819-RA, HEL_010822-RA, HEL_010821-RA, HEL_010820-RA	XP_039754855.1
OG0001856	HEL_005802-RA	XP_039756561.1, XP_039756562.1
OG0001857	HEL_002578-RA	XP_039758313.1
OG0001858	HEL_009757-RA	XP_039758363.1
OG0001860	HEL_013239-RA, HEL_013238-RA	XP_039763822.1
OG0001861	HEL_005021-RA	XP_039746695.1, XP_039746678.1, XP_039746688.1
OG0001862	HEL_007978-RA	XP_039751542.1
OG0001863	HEL_007714-RA	XP_039748573.1
OG0001864	HEL_005024-RA	XP_039751341.1
OG0001865	HEL_009425-RA	XP_039754174.1
OG0001866	HEL_002349-RA	XP_039764793.1
OG0001867	HEL_011173-RA	XP_039757377.1
OG0001868	HEL_000405-RA	XP_039748102.1, XP_039748101.1
OG0001869	HEL_004334-RA	XP_039750903.1
OG0001870	HEL_009107-RA, HEL_009106-RA	XP_039747145.1
OG0001871	HEL_004935-RA	XP_039747949.1, XP_039747941.1
OG0001873	HEL_002599-RA, HEL_002597-RA, HEL_002598-RA, HEL_002601-RA	XP_039754308.1, XP_039754301.1
OG0001874	HEL_003582-RA, HEL_003581-RA	XP_039753173.1
OG0001875	HEL_010964-RA	XP_039748527.1, XP_039749226.1
OG0001876	HEL_001652-RA	XP_039765641.1
OG0001877	HEL_013930-RA	XP_039762661.1
OG0001878	HEL_002605-RA	XP_039756822.1
OG0001879	HEL_004930-RA	XP_039749804.1
OG0001881	HEL_006466-RA, HEL_006463-RA	XP_039759444.1
OG0001882	HEL_009415-RA	XP_039753924.1
OG0001883	HEL_004636-RA	XP_039760926.1, XP_039760929.1, XP_039760927.1, XP_039760928.1
OG0001884	HEL_008014-RA	XP_039751020.1
OG0001885	HEL_013770-RA	XP_039758483.1, XP_039758484.1, XP_039758485.1, XP_039758486.1
OG0001886	HEL_013774-RA	XP_039758646.1
OG0001887	HEL_013960-RA	XP_039762904.1
OG0001888	HEL_002618-RA, HEL_002617-RA	XP_039758893.1
OG0001889	HEL_012079-RA	XP_039763610.1, XP_039763611.1
OG0001890	HEL_009409-RA	XP_039753764.1, XP_039753763.1
OG0001891	HEL_000554-RA	XP_039747882.1
OG0001893	HEL_013534-RA	XP_039752689.1
OG0001894	HEL_009153-RA, HEL_009154-RA	XP_039747479.1
OG0001895	HEL_008099-RA, HEL_008100-RA	XP_039751016.1
OG0001896	HEL_013701-RA	XP_039761926.1, XP_039761927.1, XP_039761924.1
OG0001897	HEL_008828-RA	XP_039745709.1, XP_039745701.1
OG0001898	HEL_002980-RA	XP_039752987.1, XP_039752988.1
OG0001899	HEL_006184-RA	XP_039750142.1, XP_039750093.1
OG0001900	HEL_013787-RA, HEL_013786-RA	XP_039758479.1
OG0001901	HEL_009789-RA	XP_039755727.1
OG0001902	HEL_002396-RA	XP_039765197.1
OG0001903	HEL_005783-RA	XP_039756553.1
OG0001904	HEL_013788-RA	XP_039758203.1, XP_039758204.1
OG0001906	HEL_009588-RA	XP_039751391.1
OG0001907	HEL_005142-RA	XP_039758039.1
OG0001908	HEL_010721-RA	XP_039753118.1
OG0001909	HEL_009307-RA	XP_039760492.1, XP_039760491.1
OG0001910	HEL_004620-RA	XP_039760922.1
OG0001911	HEL_008809-RA	XP_039745563.1
OG0001912	HEL_013219-RA, HEL_013218-RA	XP_039763537.1
OG0001913	HEL_005144-RA	XP_039758099.1
OG0001913	HEL_005143-RA	XP_039758114.1
OG0001914	HEL_005146-RA, HEL_005150-RA, HEL_005152-RA, HEL_005149-RA	XP_039757657.1
OG0001915	HEL_013017-RA	XP_039762927.1
OG0001916	HEL_002405-RA	XP_039765066.1
OG0001917	HEL_013314-RA	XP_039748563.1, XP_039748562.1
OG0001918	HEL_000919-RA	XP_039755957.1, XP_039755956.1
OG0001919	HEL_005779-RA, HEL_005782-RA, HEL_005781-RA	XP_039756176.1
OG0001920	HEL_004627-RA	XP_039761093.1
OG0001921	HEL_000914-RA	XP_039755802.1
OG0001922	HEL_009327-RA, HEL_009326-RA	XP_039760807.1
OG0001923	HEL_009652-RA	XP_039763266.1, XP_039763267.1
OG0001926	HEL_006608-RA	XP_039759468.1
OG0001927	HEL_010380-RA, HEL_010381-RA	XP_039762972.1
OG0001928	HEL_006177-RA	XP_039749617.1
OG0001931	HEL_013925-RA	XP_039762775.1
OG0001932	HEL_009377-RA	XP_039754521.1, XP_039754518.1, XP_039754519.1
OG0001933	HEL_013989-RA	XP_039755110.1
OG0001934	HEL_007929-RA	XP_039751121.1, XP_039751122.1
OG0001936	HEL_004886-RA	XP_039745965.1, XP_039745973.1
OG0001937	HEL_000568-RA	XP_039748432.1
OG0001938	HEL_002656-RA	XP_039760981.1, XP_039760992.1
OG0001939	HEL_011532-RA	XP_039758621.1, XP_039758620.1, XP_039758619.1, XP_039758618.1
OG0001940	HEL_012967-RA	XP_039762807.1
OG0001941	HEL_002660-RA, HEL_002661-RA, HEL_002658-RA	XP_039761006.1
OG0001942	HEL_009337-RA	XP_039760818.1
OG0001943	HEL_012135-RA	XP_039752833.1, XP_039752832.1
OG0001944	HEL_007917-RA	XP_039751084.1, XP_039751085.1
OG0001945	HEL_004138-RA	XP_039761992.1
OG0001946	HEL_002666-RA	XP_039756451.1
OG0001947	HEL_002672-RA, HEL_002670-RA	XP_039754000.1
OG0001948	HEL_007910-RA	XP_039751029.1
OG0001949	HEL_012134-RA	XP_039753104.1
OG0001950	HEL_004876-RA	XP_039765677.1
OG0001951	HEL_008768-RA	XP_039746361.1, XP_039746360.1, XP_039746362.1
OG0001954	HEL_002432-RA	XP_039765175.1
OG0001955	HEL_007905-RA, HEL_007904-RA	XP_039751696.1
OG0001956	HEL_002011-RA	XP_039759788.1
OG0001957	HEL_002439-RA	XP_039764700.1
OG0001958	HEL_004607-RA, HEL_004606-RA	XP_039761034.1, XP_039761033.1, XP_039761032.1
OG0001960	HEL_007487-RA	XP_039754432.1
OG0001961	HEL_000601-RA, HEL_000602-RA	XP_039748222.1
OG0001962	HEL_006555-RA	XP_039759079.1
OG0001963	HEL_013974-RA	XP_039754909.1
OG0001964	HEL_012283-RA, HEL_012284-RA, HEL_012285-RA	XP_039756842.1, XP_039756841.1
OG0001965	HEL_004855-RA, HEL_004854-RA	XP_039745487.1
OG0001966	HEL_000354-RA	XP_039747621.1
OG0001967	HEL_006158-RA	XP_039749600.1
OG0001968	HEL_008744-RA	XP_039745654.1, XP_039746169.1
OG0001969	HEL_002450-RA, HEL_002451-RA	XP_039763336.1
OG0001970	HEL_008743-RA	XP_039745651.1, XP_039745652.1, XP_039745649.1
OG0001971	HEL_004843-RA	XP_039751023.1
OG0001972	HEL_006585-RA	XP_039758989.1
OG0001973	HEL_004290-RA	XP_039750592.1
OG0001974	HEL_008981-RA, HEL_008984-RA	XP_039757318.1, XP_039757317.1, XP_039757319.1
OG0001975	HEL_014552-RA	XP_039752681.1, XP_039752680.1
OG0001976	HEL_007890-RA, HEL_007889-RA	XP_039751394.1
OG0001977	HEL_007556-RA, HEL_007557-RA, HEL_007555-RA	XP_039754215.1
OG0001979	HEL_000309-RA, HEL_000310-RA	XP_039748146.1
OG0001980	HEL_000867-RA	XP_039755961.1, XP_039755962.1
OG0001982	HEL_010877-RA, HEL_010876-RA	XP_039749206.1
OG0001983	HEL_005635-RA	XP_039754630.1
OG0001985	HEL_009195-RA	XP_039747193.1, XP_039747192.1, XP_039747194.1
OG0001986	HEL_000862-RA	XP_039755510.1
OG0001987	HEL_004770-RA, HEL_004769-RA	XP_039750846.1
OG0001988	HEL_006148-RA	XP_039750159.1
OG0001989	HEL_004193-RA	XP_039762342.1
OG0001990	HEL_000856-RA	XP_039755664.1, XP_039755665.1
OG0001992	HEL_001847-RA	XP_039759796.1
OG0001993	HEL_006601-RA	XP_039759667.1
OG0001994	HEL_006144-RA	XP_039749550.1, XP_039749549.1
OG0001995	HEL_006602-RA, HEL_006603-RA	XP_039759228.1
OG0001996	HEL_004794-RA	XP_039748047.1
OG0001997	HEL_010786-RA	XP_039753563.1, XP_039753562.1
OG0001998	HEL_006604-RA	XP_039759604.1
OG0001999	HEL_004790-RA, HEL_004791-RA	XP_039746125.1
OG0002001	HEL_007179-RA	XP_039763779.1
OG0002002	HEL_009906-RA	XP_039752796.1
OG0002003	HEL_012473-RA	XP_039756877.1, XP_039756876.1
OG0002004	HEL_010901-RA	XP_039748725.1
OG0002005	HEL_007534-RA, HEL_007537-RA	XP_039753963.1
OG0002006	HEL_007858-RA	XP_039751353.1
OG0002007	HEL_013661-RA	XP_039762210.1, XP_039762209.1
OG0002008	HEL_002880-RA, HEL_002881-RA	XP_039762010.1
OG0002010	HEL_013830-RA, HEL_013829-RA	XP_039757864.1
OG0002011	HEL_007842-RA, HEL_007845-RA, HEL_007844-RA, HEL_007846-RA	XP_039751110.1
OG0002012	HEL_001134-RA	XP_039755970.1
OG0002013	HEL_003663-RA	XP_039757597.1
OG0002014	HEL_000668-RA, HEL_000667-RA	XP_039747601.1
OG0002015	HEL_000327-RA	XP_039748071.1
OG0002016	HEL_006125-RA	XP_039749419.1, XP_039749420.1
OG0002017	HEL_011588-RA, HEL_011587-RA, HEL_011586-RA	XP_039758784.1, XP_039758782.1, XP_039758783.1
OG0002018	HEL_004750-RA, HEL_005366-RA	XP_039761131.1
OG0002019	HEL_009574-RA, HEL_009575-RA	XP_039760520.1
OG0002020	HEL_001826-RA	XP_039759974.1
OG0002022	HEL_009566-RA	XP_039760571.1, XP_039760570.1, XP_039760572.1
OG0002024	HEL_010780-RA	XP_039752903.1
OG0002024	HEL_010781-RA	XP_039752902.1
OG0002025	HEL_005848-RA	XP_039756456.1, XP_039756454.1, XP_039756455.1
OG0002026	HEL_001502-RA, HEL_001503-RA	XP_039765497.1
OG0002027	HEL_008684-RA, HEL_008685-RA, HEL_008686-RA, HEL_013241-RA	XP_039745843.1
