Orthogroup	Heliconius_erato_lativitta	Vanessa_tameamea
OG0001513	HEL_009536-RA	XP_026489567.1
OG0001514	HEL_005562-RA	XP_026498635.1
OG0001515	HEL_002832-RA	XP_026492628.1
OG0001516	HEL_001066-RA, HEL_001069-RA	XP_026486832.1, XP_026486831.1
OG0001517	HEL_003741-RA, HEL_003740-RA	XP_026494174.1
OG0001522	HEL_002982-RA	XP_026487358.1, XP_026487357.1, XP_026487359.1
OG0001523	HEL_002812-RA	XP_026493739.1
OG0001524	HEL_003722-RA, HEL_001151-RA, HEL_003723-RA	XP_026494337.1
OG0001526	HEL_014016-RA	XP_026498165.1
OG0001529	HEL_001817-RA	XP_026497342.1, XP_026497344.1, XP_026497340.1, XP_026497343.1
OG0001530	HEL_001393-RA	XP_026484922.1, XP_026484921.1
OG0001531	HEL_004710-RA	XP_026493601.1
OG0001532	HEL_009972-RA	XP_026489010.1, XP_026489012.1, XP_026489013.1, XP_026489011.1
OG0001533	HEL_010465-RA	XP_026500602.1, XP_026500603.1
OG0001534	HEL_013741-RA, HEL_013740-RA	XP_026493897.1
OG0001535	HEL_002783-RA, HEL_002787-RA, HEL_002785-RA, HEL_002784-RA, HEL_002782-RA	XP_026493776.1
OG0001536	HEL_006279-RA, HEL_006282-RA, HEL_006278-RA, HEL_006280-RA, HEL_006283-RA	XP_026484740.1
OG0001537	HEL_010467-RA	XP_026497741.1, XP_026500547.1
OG0001538	HEL_000055-RA	XP_026485764.1
OG0001539	HEL_001339-RA, HEL_001336-RA, HEL_001338-RA, HEL_001337-RA, HEL_001335-RA	XP_026484950.1
OG0001540	HEL_004582-RA	XP_026491318.1
OG0001541	HEL_007451-RA	XP_026488349.1
OG0001542	HEL_009523-RA	XP_026489598.1
OG0001543	HEL_009994-RA	XP_026501270.1
OG0001544	HEL_007449-RA	XP_026488298.1, XP_026488300.1, XP_026488297.1
OG0001546	HEL_001077-RA, HEL_001078-RA, HEL_001076-RA	XP_026486788.1
OG0001547	HEL_009519-RA, HEL_009520-RA	XP_026489570.1
OG0001548	HEL_006084-RA	XP_026497007.1
OG0001549	HEL_000033-RA	XP_026486240.1
OG0001550	HEL_014472-RA	XP_026500557.1, XP_026500556.1, XP_026500555.1
OG0001551	HEL_003799-RA, HEL_003800-RA, HEL_003796-RA	XP_026494372.1
OG0001553	HEL_010008-RA, HEL_010007-RA	XP_026501346.1, XP_026501348.1, XP_026501347.1
OG0001554	HEL_008204-RA	XP_026495452.1
OG0001555	HEL_003034-RA	XP_026487711.1, XP_026487712.1
OG0001556	HEL_003040-RA	XP_026487709.1, XP_026487708.1, XP_026487706.1
OG0001557	HEL_010741-RA	XP_026492211.1
OG0001558	HEL_012354-RA	XP_026497429.1, XP_026497430.1
OG0001559	HEL_012154-RA	XP_026499583.1, XP_026499579.1
OG0001562	HEL_012174-RA	XP_026499558.1
OG0001563	HEL_013655-RA	XP_026495774.1
OG0001564	HEL_000258-RA, HEL_000259-RA	XP_026498242.1
OG0001565	HEL_013183-RA	XP_026493299.1
OG0001567	HEL_012394-RA	XP_026485355.1
OG0001568	HEL_006859-RA	XP_026497754.1
OG0001568	HEL_006860-RA, HEL_006861-RA	XP_026498871.1
OG0001569	HEL_001039-RA	XP_026486797.1
OG0001572	HEL_000003-RA	XP_026486030.1, XP_026486031.1
OG0001573	HEL_000226-RA	XP_026498284.1
OG0001576	HEL_007398-RA	XP_026488458.1
OG0001577	HEL_001433-RA	XP_026485161.1
OG0001578	HEL_006780-RA, HEL_006781-RA	XP_026496574.1
OG0001579	HEL_001439-RA	XP_026485077.1, XP_026485078.1
OG0001580	HEL_007234-RA	XP_026493169.1
OG0001581	HEL_001326-RA, HEL_001325-RA	XP_026484993.1
OG0001582	HEL_001322-RA	XP_026484932.1, XP_026484930.1, XP_026484931.1
OG0001583	HEL_005948-RA	XP_026483961.1
OG0001584	HEL_001318-RA	XP_026484727.1
OG0001585	HEL_007030-RA, HEL_007032-RA, HEL_007031-RA	XP_026490019.1, XP_026490021.1
OG0001586	HEL_005940-RA	XP_026484000.1
OG0001587	HEL_008106-RA, HEL_008105-RA, HEL_008104-RA	XP_026496528.1
OG0001589	HEL_013581-RA	XP_026495918.1
OG0001591	HEL_008579-RA, HEL_008580-RA	XP_026493956.1
OG0001592	HEL_012379-RA	XP_026485300.1
OG0001593	HEL_006799-RA, HEL_006798-RA	XP_026496620.1, XP_026496619.1
OG0001595	HEL_003898-RA	XP_026486677.1, XP_026486675.1
OG0001596	HEL_000992-RA, HEL_000991-RA	XP_026486843.1
OG0001596	HEL_000990-RA	XP_026486892.1
OG0001597	HEL_003131-RA	XP_026487546.1
OG0001598	HEL_013435-RA, HEL_013438-RA	XP_026488417.1
OG0001600	HEL_012602-RA	XP_026500937.1
OG0001601	HEL_010651-RA	XP_026492818.1
OG0001602	HEL_007214-RA	XP_026493519.1, XP_026493520.1
OG0001603	HEL_012657-RA	XP_026483598.1
OG0001604	HEL_013355-RA	XP_026488081.1
OG0001605	HEL_014173-RA	XP_026499765.1, XP_026499763.1
OG0001607	HEL_001265-RA	XP_026484793.1
OG0001608	HEL_009768-RA, HEL_009767-RA, HEL_009769-RA	XP_026489223.1
OG0001609	HEL_005883-RA, HEL_005881-RA	XP_026501757.1
OG0001610	HEL_003169-RA	XP_026487626.1, XP_026487627.1
OG0001611	HEL_010686-RA	XP_026492762.1
OG0001612	HEL_011513-RA, HEL_011512-RA	XP_026490876.1
OG0001613	HEL_011503-RA	XP_026490875.1
OG0001614	HEL_005870-RA	XP_026501748.1, XP_026501749.1, XP_026501747.1
OG0001615	HEL_012931-RA	XP_026497791.1
OG0001616	HEL_012050-RA	XP_026487977.1
OG0001618	HEL_010300-RA	XP_026492767.1, XP_026492769.1, XP_026492768.1
OG0001619	HEL_006209-RA, HEL_006210-RA	XP_026489522.1
OG0001620	HEL_008628-RA, HEL_008627-RA, HEL_008629-RA, HEL_008626-RA	XP_026490274.1
OG0001621	HEL_011945-RA	XP_026488147.1
OG0001623	HEL_001204-RA, HEL_001203-RA	XP_026485037.1
OG0001624	HEL_009605-RA, HEL_009606-RA, HEL_009604-RA	XP_026486458.1, XP_026486459.1
OG0001625	HEL_013076-RA, HEL_013077-RA	XP_026498357.1
OG0001627	HEL_009601-RA	XP_026486456.1
OG0001628	HEL_006650-RA	XP_026492572.1
OG0001630	HEL_011426-RA, HEL_011427-RA	XP_026490854.1
OG0001631	HEL_006654-RA	XP_026492578.1
OG0001632	HEL_008540-RA	XP_026491901.1
OG0001633	HEL_001184-RA	XP_026484626.1, XP_026484619.1
OG0001635	HEL_011969-RA, HEL_011970-RA	XP_026487218.1
OG0001636	HEL_006680-RA	XP_026492705.1
OG0001637	HEL_010353-RA	XP_026489178.1, XP_026489177.1
OG0001638	HEL_008351-RA	XP_026487129.1
OG0001640	HEL_010362-RA	XP_026489179.1
OG0001641	HEL_008357-RA	XP_026487142.1
OG0001642	HEL_008368-RA	XP_026501791.1
OG0001643	HEL_001144-RA	XP_026484515.1
OG0001644	HEL_007146-RA	XP_026497238.1, XP_026497246.1
OG0001645	HEL_008487-RA	XP_026491953.1
OG0001647	HEL_012806-RA	XP_026486662.1
OG0001648	HEL_008486-RA, HEL_008484-RA	XP_026491940.1, XP_026491941.1
OG0001649	HEL_004482-RA, HEL_004483-RA	XP_026491356.1
OG0001650	HEL_003280-RA, HEL_003279-RA	XP_026490538.1, XP_026490546.1, XP_026490547.1
OG0001651	HEL_008378-RA	XP_026501333.1
OG0001652	HEL_008373-RA	XP_026501288.1, XP_026501289.1
OG0001653	HEL_011637-RA	XP_026501446.1, XP_026501447.1
OG0001654	HEL_002930-RA	XP_026494710.1
OG0001656	HEL_004827-RA	XP_026494425.1
OG0001656	HEL_004829-RA	XP_026494432.1
OG0001658	HEL_004857-RA, HEL_004858-RA, HEL_004856-RA	XP_026497609.1, XP_026497611.1
OG0001660	HEL_009987-RA, HEL_009988-RA, HEL_009989-RA, HEL_009991-RA, HEL_009990-RA	XP_026501389.1
OG0001670	HEL_010056-RA	XP_026483575.1
OG0001671	HEL_009284-RA	XP_026492427.1
OG0001672	HEL_013180-RA, HEL_013178-RA	XP_026498434.1
OG0001673	HEL_004888-RA	XP_026499860.1
OG0001674	HEL_000541-RA	XP_026483785.1
OG0001675	HEL_008968-RA	XP_026498027.1
OG0001676	HEL_011852-RA	XP_026498770.1
OG0001677	HEL_001914-RA	XP_026497303.1
OG0001678	HEL_001696-RA, HEL_001695-RA	XP_026484554.1
OG0001679	HEL_006972-RA, HEL_006973-RA	XP_026487098.1
OG0001680	HEL_012506-RA	XP_026500973.1
OG0001681	HEL_004168-RA	XP_026486764.1
OG0001682	HEL_007333-RA	XP_026493095.1, XP_026493094.1
OG0001683	HEL_011014-RA	XP_026485420.1, XP_026485421.1
OG0001685	HEL_002184-RA	XP_026484025.1, XP_026484024.1
OG0001686	HEL_011848-RA	XP_026498748.1
OG0001687	HEL_011015-RA	XP_026485415.1, XP_026485416.1
OG0001688	HEL_007330-RA	XP_026493323.1
OG0001689	HEL_013050-RA	XP_026483164.1
OG0001690	HEL_005081-RA, HEL_005075-RA	XP_026491006.1
OG0001691	HEL_012681-RA	XP_026483496.1
OG0001692	HEL_012687-RA	XP_026483403.1
OG0001693	HEL_002149-RA	XP_026500238.1
OG0001695	HEL_003478-RA, HEL_003476-RA	XP_026492109.1
OG0001696	HEL_014059-RA	XP_026494005.1
OG0001697	HEL_009473-RA	XP_026499021.1, XP_026499023.1
OG0001698	HEL_004014-RA	XP_026491046.1
OG0001699	HEL_004012-RA, HEL_004013-RA	XP_026491241.1
OG0001700	HEL_014530-RA	XP_026494155.1
OG0001702	HEL_012678-RA	XP_026483394.1, XP_026483395.1
OG0001703	HEL_012097-RA	XP_026500295.1
OG0001704	HEL_013045-RA	XP_026483161.1
OG0001705	HEL_003388-RA	XP_026485229.1, XP_026485227.1, XP_026485230.1
OG0001706	HEL_004025-RA	XP_026497225.1, XP_026497224.1
OG0001707	HEL_013047-RA, HEL_013046-RA	XP_026483102.1
OG0001709	HEL_012527-RA, HEL_012530-RA, HEL_012529-RA	XP_026500981.1
OG0001711	HEL_005384-RA	XP_026485657.1, XP_026485656.1
OG0001713	HEL_002199-RA	XP_026484084.1, XP_026484083.1
OG0001714	HEL_005386-RA	XP_026501813.1, XP_026501811.1
OG0001715	HEL_007618-RA, HEL_007619-RA, HEL_007625-RA, HEL_007621-RA	XP_026490025.1
OG0001716	HEL_007615-RA, HEL_007624-RA, HEL_007616-RA	XP_026490121.1
OG0001718	HEL_005086-RA	XP_026490993.1
OG0001719	HEL_013049-RA	XP_026483122.1, XP_026483123.1
OG0001720	HEL_014453-RA	XP_026495091.1
OG0001721	HEL_005392-RA	XP_026501823.1, XP_026501822.1
OG0001723	HEL_005292-RA, HEL_005295-RA, HEL_005294-RA	XP_026496359.1
OG0001724	HEL_010490-RA, HEL_010492-RA, HEL_010491-RA	XP_026489951.1
OG0001725	HEL_003356-RA	XP_026499984.1
OG0001726	HEL_005402-RA	XP_026501693.1
OG0001727	HEL_012638-RA	XP_026483571.1
OG0001728	HEL_005277-RA, HEL_005276-RA	XP_026496260.1
OG0001729	HEL_005405-RA	XP_026501708.1
OG0001730	HEL_003354-RA	XP_026499988.1
OG0001731	HEL_005100-RA	XP_026490966.1
OG0001734	HEL_005406-RA, HEL_005407-RA	XP_026501714.1
OG0001735	HEL_005255-RA	XP_026496268.1, XP_026496266.1
OG0001736	HEL_010250-RA, HEL_010247-RA, HEL_010248-RA, HEL_010246-RA	XP_026499007.1
OG0001737	HEL_004957-RA	XP_026497704.1
OG0001738	HEL_003977-RA	XP_026491353.1, XP_026491351.1, XP_026491352.1
OG0001739	HEL_005102-RA	XP_026491019.1
OG0001740	HEL_012407-RA	XP_026487047.1, XP_026487046.1
OG0001742	HEL_012569-RA	XP_026501005.1
OG0001743	HEL_012570-RA	XP_026501000.1
OG0001744	HEL_010197-RA	XP_026483100.1
OG0001745	HEL_005411-RA	XP_026501705.1, XP_026501704.1
OG0001746	HEL_011656-RA	XP_026501430.1
OG0001747	HEL_011658-RA	XP_026501509.1, XP_026501510.1
OG0001748	HEL_004064-RA	XP_026493653.1, XP_026493654.1
OG0001750	HEL_013887-RA, HEL_013889-RA	XP_026483484.1
OG0001751	HEL_013062-RA	XP_026492414.1, XP_026492415.1, XP_026493618.1, XP_026493616.1
OG0001752	HEL_013202-RA	XP_026500322.1, XP_026500323.1
OG0001753	HEL_002776-RA	XP_026493700.1
OG0001754	HEL_008995-RA	XP_026500900.1
OG0001755	HEL_002069-RA	XP_026500169.1
OG0001756	HEL_013905-RA	XP_026483344.1
OG0001757	HEL_007782-RA	XP_026496190.1
OG0001758	HEL_013192-RA	XP_026497208.1
OG0001759	HEL_014342-RA, HEL_014341-RA	XP_026488112.1
OG0001760	HEL_013512-RA, HEL_013511-RA, HEL_013510-RA, HEL_013513-RA	XP_026498794.1
OG0001761	HEL_013188-RA	XP_026497218.1
OG0001762	HEL_005667-RA	XP_026495995.1, XP_026495994.1
OG0001763	HEL_010200-RA	XP_026484067.1
OG0001764	HEL_003325-RA	XP_026490214.1
OG0001765	HEL_000473-RA	XP_026496108.1, XP_026496109.1
OG0001766	HEL_002086-RA	XP_026500160.1
OG0001768	HEL_009022-RA	XP_026492951.1
OG0001769	HEL_008216-RA	XP_026495432.1
OG0001770	HEL_008887-RA, HEL_008888-RA, HEL_008889-RA	XP_026492952.1
OG0001771	HEL_007131-RA, HEL_007130-RA	XP_026500266.1
OG0001772	HEL_011738-RA	XP_026490671.1
OG0001773	HEL_013231-RA	XP_026500521.1
OG0001774	HEL_005680-RA	XP_026495812.1
OG0001776	HEL_012185-RA	XP_026499616.1, XP_026499617.1
OG0001777	HEL_007762-RA	XP_026484243.1, XP_026484241.1, XP_026484242.1
OG0001778	HEL_010148-RA	XP_026483534.1, XP_026483535.1, XP_026483533.1
OG0001779	HEL_001784-RA, HEL_001782-RA, HEL_001781-RA, HEL_001785-RA	XP_026501208.1
OG0001780	HEL_007760-RA	XP_026484234.1
OG0001781	HEL_011269-RA	XP_026492505.1, XP_026492049.1, XP_026492050.1, XP_026492506.1
OG0001782	HEL_003541-RA	XP_026492378.1
OG0001783	HEL_007801-RA, HEL_007800-RA	XP_026484267.1
OG0001784	HEL_011723-RA	XP_026490684.1
OG0001785	HEL_013167-RA	XP_026497199.1
OG0001786	HEL_011272-RA	XP_026490651.1
OG0001787	HEL_005427-RA	XP_026492896.1
OG0001788	HEL_000798-RA	XP_026488903.1
OG0001789	HEL_010141-RA	XP_026483446.1
OG0001791	HEL_003593-RA, HEL_003592-RA	XP_026489704.1
OG0001793	HEL_008867-RA	XP_026494576.1, XP_026494577.1
OG0001794	HEL_005045-RA	XP_026490226.1, XP_026490225.1
OG0001795	HEL_011281-RA, HEL_011280-RA	XP_026490641.1, XP_026490639.1, XP_026490642.1
OG0001796	HEL_013159-RA	XP_026498435.1
OG0001797	HEL_008864-RA	XP_026494660.1, XP_026494659.1, XP_026494661.1
OG0001798	HEL_006400-RA	XP_026493957.1
OG0001799	HEL_010572-RA	XP_026490017.1
OG0001802	HEL_007791-RA	XP_026484287.1
OG0001803	HEL_001801-RA	XP_026501227.1
OG0001805	HEL_010215-RA	XP_026501365.1
OG0001806	HEL_005709-RA	XP_026495846.1
OG0001807	HEL_000506-RA, HEL_000507-RA	XP_026497253.1, XP_026497252.1
OG0001808	HEL_003653-RA, HEL_003652-RA	XP_026489618.1
OG0001810	HEL_011777-RA	XP_026486419.1
OG0001811	HEL_004937-RA	XP_026497702.1, XP_026497701.1
OG0001812	HEL_000437-RA	XP_026490330.1
OG0001814	HEL_007562-RA	XP_026499460.1
OG0001815	HEL_006412-RA	XP_026494260.1
OG0001816	HEL_008051-RA, HEL_008052-RA	XP_026491714.1
OG0001817	HEL_005727-RA	XP_026496033.1
OG0001818	HEL_009044-RA	XP_026489897.1
OG0001819	HEL_013850-RA, HEL_013849-RA, HEL_013846-RA	XP_026494250.1
OG0001822	HEL_005609-RA, HEL_005608-RA	XP_026489831.1
OG0001823	HEL_011345-RA	XP_026490584.1
OG0001824	HEL_005818-RA	XP_026495707.1, XP_026495917.1
OG0001825	HEL_011221-RA, HEL_011219-RA, HEL_011217-RA	XP_026494581.1
OG0001826	HEL_002544-RA	XP_026486591.1
OG0001827	HEL_001643-RA	XP_026484441.1
OG0001829	HEL_009062-RA	XP_026494830.1
OG0001830	HEL_001688-RA	XP_026484549.1, XP_026484550.1
OG0001831	HEL_002305-RA	XP_026487501.1
OG0001833	HEL_010091-RA	XP_026483368.1
OG0001834	HEL_004647-RA	XP_026486556.1
OG0001835	HEL_001683-RA	XP_026484544.1
OG0001836	HEL_011829-RA, HEL_011830-RA, HEL_011828-RA	XP_026498798.1
OG0001838	HEL_000522-RA	XP_026483642.1
OG0001839	HEL_002555-RA	XP_026486616.1
OG0001840	HEL_000516-RA, HEL_000515-RA	XP_026483674.1
OG0001841	HEL_009088-RA, HEL_009086-RA, HEL_009087-RA	XP_026494972.1
OG0001842	HEL_000420-RA, HEL_000421-RA, HEL_000419-RA	XP_026490356.1
OG0001844	HEL_007064-RA	XP_026497341.1, XP_026497335.1
OG0001845	HEL_014027-RA	XP_026491309.1, XP_026491310.1
OG0001846	HEL_010834-RA, HEL_010830-RA, HEL_010833-RA, HEL_010832-RA, HEL_010836-RA	XP_026496353.1
OG0001847	HEL_000411-RA, HEL_000413-RA, HEL_000412-RA, HEL_000410-RA	XP_026490388.1
OG0001848	HEL_011342-RA	XP_026490634.1, XP_026490631.1, XP_026490633.1
OG0001849	HEL_014025-RA	XP_026491313.1
OG0001850	HEL_010087-RA	XP_026483470.1
OG0001851	HEL_014224-RA, HEL_014223-RA	XP_026494285.1
OG0001852	HEL_009269-RA, HEL_009274-RA, HEL_009273-RA	XP_026490230.1
OG0001853	HEL_014020-RA, HEL_014024-RA, HEL_014019-RA, HEL_014022-RA	XP_026491307.1
OG0001855	HEL_010819-RA, HEL_010822-RA, HEL_010821-RA, HEL_010820-RA	XP_026496270.1
OG0001857	HEL_002578-RA	XP_026497955.1, XP_026497954.1
OG0001858	HEL_009757-RA	XP_026493122.1, XP_026493123.1
OG0001860	HEL_013238-RA	XP_026500511.1, XP_026500510.1
OG0001861	HEL_005021-RA	XP_026499395.1
OG0001862	HEL_007978-RA	XP_026500958.1
OG0001864	HEL_005024-RA	XP_026499369.1
OG0001865	HEL_009425-RA	XP_026487199.1
OG0001866	HEL_002349-RA	XP_026488192.1, XP_026488201.1
OG0001867	HEL_011173-RA	XP_026494602.1
OG0001868	HEL_000405-RA	XP_026490377.1
OG0001869	HEL_004334-RA	XP_026485525.1
OG0001870	HEL_009107-RA, HEL_009106-RA	XP_026494833.1
OG0001871	HEL_004935-RA	XP_026499385.1, XP_026499386.1
OG0001872	HEL_004934-RA	XP_026499378.1
OG0001873	HEL_002599-RA, HEL_002597-RA, HEL_002598-RA, HEL_002601-RA	XP_026497836.1
OG0001874	HEL_003582-RA, HEL_003581-RA	XP_026492284.1
OG0001875	HEL_010964-RA	XP_026486116.1
OG0001876	HEL_001647-RA, HEL_001652-RA	XP_026484631.1
OG0001877	HEL_013930-RA	XP_026483153.1
OG0001878	HEL_002605-RA	XP_026497822.1, XP_026497819.1, XP_026497821.1, XP_026497820.1
OG0001879	HEL_004930-RA, HEL_004929-RA	XP_026499337.1
OG0001881	HEL_006466-RA, HEL_006463-RA	XP_026491463.1, XP_026491470.1
OG0001882	HEL_009415-RA	XP_026488307.1
OG0001883	HEL_004636-RA	XP_026485597.1
OG0001884	HEL_008014-RA	XP_026483085.1, XP_026483095.1, XP_026483112.1, XP_026483104.1
OG0001885	HEL_013770-RA	XP_026493393.1
OG0001887	HEL_013960-RA	XP_026486544.1
OG0001889	HEL_012079-RA	XP_026496439.1, XP_026496436.1
OG0001890	HEL_009409-RA	XP_026488271.1
OG0001891	HEL_000554-RA	XP_026483744.1, XP_026483687.1, XP_026483686.1
OG0001892	HEL_013532-RA	XP_026489106.1
OG0001894	HEL_009153-RA, HEL_009154-RA	XP_026494946.1, XP_026494948.1, XP_026494947.1
OG0001895	HEL_008099-RA	XP_026499664.1
OG0001896	HEL_013701-RA	XP_026489430.1
OG0001897	HEL_008828-RA	XP_026491152.1
OG0001898	HEL_002980-RA	XP_026487404.1
OG0001899	HEL_006184-RA	XP_026496699.1, XP_026496701.1, XP_026496700.1
OG0001900	HEL_013787-RA	XP_026493458.1
OG0001901	HEL_009789-RA	XP_026489204.1
OG0001902	HEL_002397-RA, HEL_002396-RA	XP_026488602.1
OG0001903	HEL_005783-RA	XP_026495851.1
OG0001904	HEL_013788-RA	XP_026493278.1, XP_026493277.1
OG0001905	HEL_002639-RA	XP_026497937.1
OG0001907	HEL_005142-RA	XP_026490939.1
OG0001908	HEL_010721-RA	XP_026492162.1
OG0001909	HEL_009307-RA	XP_026492451.1
OG0001911	HEL_008809-RA	XP_026491740.1, XP_026491741.1, XP_026491742.1, XP_026491743.1
OG0001912	HEL_013219-RA	XP_026497818.1
OG0001913	HEL_005143-RA	XP_026490943.1
OG0001914	HEL_005146-RA, HEL_005150-RA, HEL_005152-RA, HEL_005149-RA	XP_026490945.1
OG0001915	HEL_013017-RA	XP_026483172.1, XP_026483174.1, XP_026483173.1
OG0001916	HEL_002405-RA	XP_026500417.1
OG0001917	HEL_013314-RA	XP_026485763.1, XP_026485761.1
OG0001918	HEL_000919-RA	XP_026499135.1, XP_026499134.1
OG0001919	HEL_005779-RA, HEL_005782-RA, HEL_005781-RA	XP_026495607.1
OG0001920	HEL_004627-RA	XP_026485806.1, XP_026485798.1
OG0001921	HEL_000914-RA	XP_026499172.1
OG0001922	HEL_009327-RA, HEL_009326-RA	XP_026492474.1, XP_026492473.1, XP_026492475.1
OG0001923	HEL_009652-RA	XP_026497858.1
OG0001926	HEL_006608-RA	XP_026493213.1
OG0001927	HEL_010380-RA, HEL_010381-RA	XP_026483150.1
OG0001928	HEL_006177-RA, HEL_006176-RA	XP_026496919.1
OG0001929	HEL_009647-RA	XP_026497675.1
OG0001931	HEL_013925-RA	XP_026483097.1
OG0001932	HEL_009377-RA	XP_026488210.1
OG0001933	HEL_013989-RA	XP_026496271.1, XP_026496272.1
OG0001934	HEL_007929-RA	XP_026485039.1, XP_026485032.1
OG0001936	HEL_004886-RA	XP_026499881.1, XP_026499880.1
OG0001937	HEL_000568-RA, HEL_000567-RA	XP_026483753.1
OG0001938	HEL_002656-RA	XP_026487826.1, XP_026487827.1
OG0001939	HEL_011532-RA	XP_026493389.1
OG0001941	HEL_002660-RA, HEL_002661-RA, HEL_002658-RA	XP_026487922.1
OG0001942	HEL_009337-RA	XP_026492432.1
OG0001943	HEL_012135-RA	XP_026499666.1, XP_026499665.1
OG0001944	HEL_007917-RA	XP_026483945.1, XP_026483937.1
OG0001945	HEL_004138-RA	XP_026494122.1
OG0001946	HEL_002666-RA	XP_026487887.1
OG0001947	HEL_002672-RA, HEL_002670-RA	XP_026487892.1
OG0001948	HEL_007910-RA	XP_026485357.1
OG0001949	HEL_012134-RA	XP_026499659.1
OG0001950	HEL_004876-RA	XP_026499876.1, XP_026499874.1
OG0001951	HEL_008768-RA	XP_026491465.1, XP_026491464.1
OG0001954	HEL_002432-RA	XP_026487381.1, XP_026487382.1
OG0001955	HEL_007905-RA, HEL_007904-RA	XP_026500179.1
OG0001958	HEL_004607-RA, HEL_004606-RA	XP_026485757.1
OG0001959	HEL_007037-RA	XP_026490146.1, XP_026490154.1, XP_026490137.1
OG0001960	HEL_007487-RA	XP_026488367.1
OG0001961	HEL_000601-RA, HEL_000602-RA	XP_026483817.1
OG0001962	HEL_006555-RA	XP_026491750.1
OG0001963	HEL_013974-RA	XP_026496346.1, XP_026496347.1
OG0001964	HEL_012283-RA, HEL_012284-RA, HEL_012285-RA	XP_026493811.1
OG0001965	HEL_004855-RA, HEL_004854-RA	XP_026497607.1
OG0001966	HEL_000354-RA	XP_026498368.1
OG0001967	HEL_006158-RA	XP_026496838.1, XP_026496837.1
OG0001968	HEL_008744-RA	XP_026491286.1
OG0001969	HEL_002450-RA	XP_026487412.1, XP_026487413.1
OG0001970	HEL_008743-RA	XP_026491285.1
OG0001971	HEL_004843-RA	XP_026497656.1
OG0001972	HEL_006585-RA	XP_026492016.1
OG0001973	HEL_004290-RA, HEL_004291-RA	XP_026485329.1
OG0001974	HEL_008981-RA, HEL_008984-RA	XP_026498006.1
OG0001975	HEL_014552-RA	XP_026488987.1, XP_026488988.1
OG0001976	HEL_007889-RA	XP_026491825.1
OG0001977	HEL_007556-RA, HEL_007557-RA, HEL_007555-RA	XP_026488230.1
OG0001979	HEL_000309-RA, HEL_000310-RA	XP_026501252.1
OG0001980	HEL_000867-RA	XP_026499109.1
OG0001981	HEL_004831-RA	XP_026497642.1
OG0001982	HEL_010877-RA, HEL_010876-RA	XP_026485890.1
OG0001983	HEL_005635-RA	XP_026496400.1
OG0001985	HEL_009195-RA	XP_026494913.1
OG0001986	HEL_000862-RA	XP_026499085.1, XP_026499086.1, XP_026499084.1, XP_026499083.1
OG0001987	HEL_004770-RA, HEL_004769-RA	XP_026494467.1, XP_026494466.1
OG0001988	HEL_006148-RA	XP_026496803.1
OG0001989	HEL_004193-RA	XP_026499761.1
OG0001990	HEL_000856-RA	XP_026499073.1, XP_026499072.1
OG0001992	HEL_001847-RA	XP_026497272.1, XP_026497273.1
OG0001994	HEL_006144-RA	XP_026496884.1
OG0001995	HEL_006602-RA, HEL_006603-RA	XP_026493629.1
OG0001996	HEL_004794-RA	XP_026492560.1, XP_026492559.1
OG0001996	HEL_004793-RA	XP_026494431.1
OG0001997	HEL_010786-RA	XP_026499674.1
OG0001998	HEL_006604-RA	XP_026493640.1, XP_026493656.1
OG0001999	HEL_004790-RA, HEL_004791-RA	XP_026494423.1
OG0002001	HEL_007179-RA	XP_026489514.1
OG0002002	HEL_009906-RA	XP_026501360.1, XP_026501359.1
OG0002003	HEL_012473-RA	XP_026493959.1, XP_026493958.1
OG0002004	HEL_010901-RA	XP_026486177.1
OG0002005	HEL_007537-RA	XP_026488250.1
OG0002006	HEL_007858-RA	XP_026494623.1
OG0002007	HEL_013661-RA	XP_026498295.1
OG0002008	HEL_002880-RA, HEL_002881-RA	XP_026501045.1
OG0002010	HEL_013830-RA, HEL_013829-RA	XP_026489663.1
OG0002011	HEL_007842-RA, HEL_007845-RA, HEL_007844-RA, HEL_007846-RA	XP_026498694.1
OG0002012	HEL_001134-RA	XP_026486947.1
OG0002013	HEL_003666-RA	XP_026489607.1
OG0002014	HEL_000668-RA, HEL_000667-RA	XP_026483645.1
OG0002015	HEL_000327-RA	XP_026483255.1
OG0002016	HEL_006125-RA	XP_026496643.1, XP_026496644.1, XP_026496645.1
OG0002017	HEL_011588-RA, HEL_011587-RA, HEL_011586-RA	XP_026493069.1
OG0002018	HEL_004750-RA, HEL_005366-RA	XP_026493045.1
OG0002019	HEL_009574-RA, HEL_009575-RA	XP_026494539.1
OG0002020	HEL_001826-RA, HEL_001827-RA	XP_026497507.1
OG0002022	HEL_009566-RA	XP_026494516.1
OG0002024	HEL_010780-RA	XP_026492260.1
OG0002025	HEL_005848-RA	XP_026495957.1, XP_026495955.1
OG0002027	HEL_008684-RA, HEL_008685-RA, HEL_008686-RA, HEL_013241-RA	XP_026491176.1
OG0002028	HEL_008679-RA	XP_026491085.1, XP_026491086.1
OG0002029	HEL_004243-RA, HEL_004242-RA	XP_026485504.1
OG0002030	HEL_014108-RA	XP_026490948.1, XP_026490940.1
OG0002031	HEL_001489-RA	XP_026484889.1
OG0002033	HEL_002974-RA	XP_026487589.1
OG0002034	HEL_004238-RA	XP_026485588.1, XP_026485589.1
OG0002035	HEL_006111-RA	XP_026496895.1
