Orthogroup	Heliconius_erato_lativitta	Danaus_plexippus
OG0000900	HEL_008922-RA, HEL_001798-RA	DPOGS215296-PA
OG0000901	HEL_002121-RA, HEL_002119-RA	DPOGS215176-PA
OG0000901	HEL_002122-RA	DPOGS215177-PA
OG0000902	HEL_004939-RA	DPOGS203551-PA, DPOGS204539-PA, DPOGS203553-PA, DPOGS203552-PA
OG0000903	HEL_013835-RA	DPOGS202279-PA
OG0000903	HEL_013834-RA	DPOGS202278-PA
OG0000904	HEL_013840-RA	DPOGS202308-PA
OG0000904	HEL_005156-RA	DPOGS214593-PA
OG0000905	HEL_004129-RA	DPOGS201585-PA
OG0000906	HEL_002299-RA	DPOGS201312-PA, DPOGS201313-PA
OG0000907	HEL_008041-RA	DPOGS212593-PA
OG0000907	HEL_007307-RA	DPOGS201059-PA
OG0000908	HEL_004980-RA	DPOGS202558-PA
OG0000908	HEL_004982-RA	DPOGS202557-PA
OG0000909	HEL_014244-RA	DPOGS211320-PA
OG0000909	HEL_014243-RA, HEL_014242-RA	DPOGS210131-PA
OG0000910	HEL_000423-RA	DPOGS213780-PA
OG0000911	HEL_009089-RA	DPOGS212152-PA
OG0000912	HEL_011559-RA	DPOGS201074-PA
OG0000912	HEL_009739-RA	DPOGS204588-PA
OG0000913	HEL_011336-RA	DPOGS206750-PA
OG0000915	HEL_009095-RA	DPOGS212109-PA
OG0000916	HEL_013939-RA	DPOGS200515-PA
OG0000918	HEL_002588-RA, HEL_002587-RA	DPOGS215762-PA
OG0000920	HEL_000830-RA	DPOGS202871-PA
OG0000921	HEL_000594-RA	DPOGS212511-PA
OG0000923	HEL_000399-RA	DPOGS213769-PA
OG0000924	HEL_000548-RA	DPOGS205590-PA
OG0000926	HEL_012109-RA, HEL_012108-RA	DPOGS200889-PA
OG0000927	HEL_010697-RA	DPOGS209762-PA
OG0000928	HEL_006031-RA	DPOGS211291-PA
OG0000929	HEL_006188-RA, HEL_006187-RA	DPOGS211289-PA
OG0000930	HEL_006183-RA	DPOGS211285-PA
OG0000931	HEL_000372-RA, HEL_000373-RA	DPOGS216137-PA
OG0000932	HEL_002935-RA	DPOGS201928-PA, DPOGS201927-PA, DPOGS210343-PA
OG0000933	HEL_010952-RA, HEL_013305-RA	DPOGS215916-PA
OG0000934	HEL_000558-RA	DPOGS203637-PA
OG0000934	HEL_000559-RA	DPOGS203639-PA, DPOGS203640-PA, DPOGS203638-PA
OG0000935	HEL_007376-RA	DPOGS202489-PA
OG0000935	HEL_007377-RA	DPOGS214773-PA
OG0000936	HEL_009325-RA	DPOGS210273-PA
OG0000937	HEL_013920-RA	DPOGS212956-PA
OG0000938	HEL_013985-RA	DPOGS203206-PA, DPOGS203205-PA, DPOGS203204-PA
OG0000939	HEL_013982-RA	DPOGS203168-PA
OG0000940	HEL_000892-RA	DPOGS213596-PA
OG0000941	HEL_012983-RA, HEL_012984-RA	DPOGS214612-PA
OG0000942	HEL_000597-RA	DPOGS212477-PA
OG0000942	HEL_000596-RA	DPOGS212513-PA, DPOGS212476-PA
OG0000943	HEL_002012-RA	DPOGS216147-PA
OG0000944	HEL_001585-RA	DPOGS204379-PA, DPOGS204380-PA
OG0000945	HEL_012279-RA	DPOGS206666-PA
OG0000945	HEL_006651-RA	DPOGS202226-PA
OG0000946	HEL_005832-RA	DPOGS216041-PA, DPOGS216040-PA
OG0000947	HEL_013683-RA	DPOGS200586-PA
OG0000948	HEL_002918-RA, HEL_002917-RA	DPOGS201743-PA
OG0000949	HEL_002915-RA	DPOGS201744-PA
OG0000950	HEL_010293-RA, HEL_010292-RA, HEL_010291-RA	DPOGS209251-PA
OG0000951	HEL_005640-RA, HEL_005641-RA	DPOGS209191-PA
OG0000952	HEL_012122-RA	DPOGS204547-PA
OG0000953	HEL_000871-RA	DPOGS213542-PA
OG0000954	HEL_001558-RA	DPOGS204498-PA
OG0000955	HEL_010881-RA, HEL_010880-RA	DPOGS207958-PA
OG0000957	HEL_013806-RA	DPOGS214644-PA
OG0000957	HEL_013809-RA	DPOGS214643-PA
OG0000958	HEL_013656-RA	DPOGS215100-PA
OG0000959	HEL_004690-RA	DPOGS214482-PA
OG0000959	HEL_004689-RA	DPOGS202684-PA
OG0000959	HEL_004688-RA	DPOGS214481-PA
OG0000960	HEL_012474-RA	DPOGS214043-PA
OG0000961	HEL_007854-RA, HEL_007852-RA	DPOGS205809-PA
OG0000962	HEL_004764-RA	DPOGS201122-PA
OG0000964	HEL_014411-RA, HEL_009866-RA	DPOGS212717-PA
OG0000965	HEL_009567-RA	DPOGS200546-PA
OG0000966	HEL_014212-RA	DPOGS212740-PA
OG0000967	HEL_009551-RA	DPOGS201691-PA
OG0000967	HEL_009552-RA	DPOGS201707-PA
OG0000968	HEL_006003-RA, HEL_006002-RA	DPOGS201640-PA
OG0000969	HEL_009550-RA	DPOGS201692-PA
OG0000970	HEL_006109-RA	DPOGS208999-PA
OG0000970	HEL_006102-RA	DPOGS208854-PA
OG0000971	HEL_012774-RA	DPOGS206005-PA
OG0000972	HEL_003733-RA, HEL_003730-RA, HEL_003726-RA, HEL_003732-RA, HEL_003728-RA, HEL_003731-RA	DPOGS202337-PA
OG0000973	HEL_006954-RA	DPOGS209316-PA
OG0000974	HEL_007474-RA	DPOGS200265-PA, DPOGS200266-PA, DPOGS200264-PA, DPOGS200267-PA
OG0000975	HEL_010757-RA	DPOGS206433-PA
OG0000978	HEL_005978-RA	DPOGS211070-PA
OG0000979	HEL_010753-RA	DPOGS206438-PA
OG0000980	HEL_009522-RA	DPOGS206263-PA, DPOGS206262-PA
OG0000981	HEL_009995-RA, HEL_009996-RA	DPOGS207038-PA
OG0000982	HEL_003011-RA	DPOGS214188-PA
OG0000983	HEL_005512-RA	DPOGS212254-PA
OG0000984	HEL_008366-RA, HEL_008363-RA	DPOGS207110-PA
OG0000985	HEL_005511-RA	DPOGS212293-PA
OG0000986	HEL_013621-RA	DPOGS209746-PA
OG0000987	HEL_014480-RA	DPOGS212568-PA
OG0000987	HEL_014481-RA	DPOGS200078-PA
OG0000988	HEL_003039-RA	DPOGS214167-PA, DPOGS214168-PA
OG0000989	HEL_003823-RA	DPOGS204050-PA
OG0000990	HEL_007061-RA	DPOGS212563-PA
OG0000990	HEL_012165-RA	DPOGS207764-PA
OG0000991	HEL_011905-RA	DPOGS212185-PA
OG0000992	HEL_013331-RA	DPOGS207022-PA
OG0000992	HEL_013328-RA	DPOGS206956-PA
OG0000993	HEL_012330-RA, HEL_012332-RA, HEL_012328-RA, HEL_012325-RA, HEL_012323-RA, HEL_012329-RA	DPOGS214852-PA, DPOGS214853-PA
OG0000994	HEL_000254-RA	DPOGS207425-PA
OG0000994	HEL_000251-RA	DPOGS207424-PA
OG0000995	HEL_001115-RA, HEL_001116-RA	DPOGS207269-PA
OG0000996	HEL_014149-RA	DPOGS215963-PA
OG0000997	HEL_000007-RA, HEL_000008-RA	DPOGS207576-PA
OG0000998	HEL_008164-RA	DPOGS202904-PA
OG0000999	HEL_000231-RA	DPOGS205824-PA
OG0001000	HEL_005488-RA	DPOGS212269-PA
OG0001001	HEL_012248-RA	DPOGS207844-PA, DPOGS207721-PA
OG0001001	HEL_012247-RA	DPOGS207843-PA, DPOGS207842-PA
OG0001002	HEL_013125-RA	DPOGS206980-PA
OG0001002	HEL_014177-RA	DPOGS207013-PA
OG0001003	HEL_005925-RA, HEL_005924-RA	DPOGS202539-PA
OG0001004	HEL_003116-RA	DPOGS214127-PA
OG0001005	HEL_010640-RA, HEL_010642-RA	DPOGS208921-PA
OG0001006	HEL_001006-RA, HEL_001005-RA, HEL_001003-RA, HEL_001008-RA	DPOGS204901-PA
OG0001007	HEL_012007-RA	DPOGS201001-PA
OG0001008	HEL_009616-RA	DPOGS207655-PA, DPOGS207656-PA
OG0001009	HEL_008661-RA, HEL_008660-RA	DPOGS203572-PA
OG0001010	HEL_011496-RA	DPOGS200297-PA
OG0001011	HEL_012027-RA, HEL_012029-RA	DPOGS215243-PA
OG0001012	HEL_000140-RA, HEL_000139-RA, HEL_000141-RA	DPOGS209932-PA
OG0001013	HEL_006633-RA, HEL_006634-RA	DPOGS210620-PA
OG0001014	HEL_010309-RA, HEL_011746-RA	DPOGS205566-PA
OG0001015	HEL_008317-RA	DPOGS203466-PA
OG0001016	HEL_010313-RA, HEL_010312-RA, HEL_010311-RA	DPOGS205559-PA
OG0001016	HEL_010310-RA	DPOGS205558-PA
OG0001017	HEL_003217-RA	DPOGS211829-PA
OG0001017	HEL_003216-RA	DPOGS211830-PA, DPOGS207632-PA
OG0001018	HEL_010332-RA, HEL_010333-RA	DPOGS210251-PA, DPOGS210252-PA
OG0001019	HEL_013095-RA	DPOGS211471-PA
OG0001019	HEL_013092-RA	DPOGS211470-PA
OG0001020	HEL_011412-RA, HEL_011411-RA, HEL_011409-RA, HEL_011408-RA, HEL_011410-RA, HEL_011407-RA	DPOGS215043-PA
OG0001021	HEL_011985-RA	DPOGS205690-PA
OG0001022	HEL_008511-RA	DPOGS200046-PA, DPOGS212915-PA
OG0001023	HEL_003311-RA	DPOGS201891-PA
OG0001024	HEL_013123-RA	DPOGS202411-PA
OG0001025	HEL_008492-RA	DPOGS211727-PA
OG0001026	HEL_012824-RA	DPOGS209378-PA, DPOGS209379-PA
OG0001028	HEL_011644-RA	DPOGS200163-PA
OG0001029	HEL_003240-RA, HEL_003241-RA	DPOGS201549-PA
OG0001030	HEL_003236-RA	DPOGS211801-PA
OG0001032	HEL_006777-RA	DPOGS201506-PA
OG0001032	HEL_006776-RA	DPOGS201508-PA
OG0001035	HEL_010283-RA, HEL_014353-RA, HEL_014355-RA, HEL_010284-RA	DPOGS201137-PA
OG0001042	HEL_000606-RA	DPOGS212522-PA
OG0001043	HEL_007336-RA	DPOGS208040-PA
OG0001043	HEL_007337-RA	DPOGS208039-PA
OG0001044	HEL_014042-RA	DPOGS202045-PA
OG0001044	HEL_001896-RA	DPOGS204989-PA
OG0001045	HEL_005353-RA	DPOGS203231-PA
OG0001046	HEL_009466-RA, HEL_009467-RA	DPOGS210865-PA
OG0001047	HEL_011023-RA	DPOGS208294-PA
OG0001048	HEL_013002-RA	DPOGS215131-PA
OG0001049	HEL_013967-RA	DPOGS202395-PA, DPOGS214613-PA, DPOGS204904-PA
OG0001050	HEL_009209-RA	DPOGS208219-PA
OG0001051	HEL_013879-RA, HEL_013878-RA	DPOGS215281-PA
OG0001052	HEL_011333-RA	DPOGS206747-PA
OG0001053	HEL_006983-RA	DPOGS202946-PA
OG0001053	HEL_006984-RA	DPOGS202945-PA
OG0001054	HEL_013228-RA	DPOGS201383-PA
OG0001055	HEL_001719-RA	DPOGS208791-PA
OG0001056	HEL_011994-RA	DPOGS205719-PA
OG0001057	HEL_013048-RA	DPOGS205040-PA
OG0001058	HEL_012665-RA	DPOGS214396-PA
OG0001059	HEL_002035-RA, HEL_002036-RA	DPOGS207347-PA
OG0001060	HEL_009227-RA	DPOGS213265-PA
OG0001060	HEL_009226-RA	DPOGS208203-PA
OG0001061	HEL_009492-RA	DPOGS210821-PA
OG0001062	HEL_000463-RA	DPOGS216101-PA
OG0001063	HEL_004670-RA	DPOGS208601-PA
OG0001065	HEL_013867-RA, HEL_013866-RA	DPOGS202137-PA
OG0001066	HEL_002208-RA	DPOGS211827-PA
OG0001067	HEL_011670-RA	DPOGS210647-PA, DPOGS210646-PA
OG0001068	HEL_010504-RA, HEL_010506-RA, HEL_010499-RA	DPOGS209597-PA
OG0001069	HEL_001724-RA	DPOGS208787-PA
OG0001070	HEL_000751-RA	DPOGS210377-PA, DPOGS200015-PA
OG0001071	HEL_012635-RA	DPOGS211737-PA, DPOGS214407-PA
OG0001072	HEL_007349-RA, HEL_007350-RA	DPOGS202134-PA
OG0001073	HEL_002265-RA, HEL_002266-RA	DPOGS210925-PA
OG0001074	HEL_005419-RA, HEL_005420-RA, HEL_005421-RA	DPOGS213652-PA
OG0001076	HEL_004070-RA	DPOGS215027-PA
OG0001077	HEL_004075-RA, HEL_004074-RA	DPOGS214976-PA
OG0001078	HEL_013247-RA	DPOGS206801-PA
OG0001079	HEL_002221-RA, HEL_002222-RA	DPOGS211823-PA
OG0001082	HEL_010519-RA	DPOGS209589-PA
OG0001082	HEL_000129-RA	DPOGS215825-PA
OG0001083	HEL_009000-RA	DPOGS205457-PA
OG0001084	HEL_013914-RA	DPOGS205126-PA
OG0001084	HEL_013911-RA	DPOGS205125-PA
OG0001085	HEL_011753-RA	DPOGS201630-PA
OG0001086	HEL_002079-RA	DPOGS209772-PA, DPOGS209773-PA, DPOGS209771-PA
OG0001087	HEL_012423-RA	DPOGS215713-PA
OG0001089	HEL_010541-RA	DPOGS209582-PA
OG0001089	HEL_010542-RA	DPOGS209581-PA
OG0001090	HEL_000791-RA	DPOGS212968-PA
OG0001091	HEL_002277-RA, HEL_002276-RA	DPOGS210921-PA
OG0001092	HEL_011534-RA	DPOGS204831-PA
OG0001093	HEL_010275-RA	DPOGS201158-PA
OG0001094	HEL_009711-RA	DPOGS203130-PA
OG0001094	HEL_009712-RA	DPOGS203129-PA
OG0001095	HEL_007795-RA	DPOGS209824-PA, DPOGS209825-PA
OG0001096	HEL_011855-RA	DPOGS202083-PA
OG0001096	HEL_011853-RA	DPOGS206767-PA, DPOGS206766-PA
OG0001097	HEL_004150-RA	DPOGS211507-PA
OG0001097	HEL_004149-RA	DPOGS211506-PA
OG0001098	HEL_005697-RA	DPOGS204668-PA
OG0001099	HEL_002105-RA, HEL_002106-RA	DPOGS215226-PA
OG0001101	HEL_011291-RA	DPOGS210192-PA
OG0001101	HEL_011288-RA, HEL_011290-RA	DPOGS210193-PA
OG0001102	HEL_003618-RA, HEL_003620-RA, HEL_003621-RA, HEL_003622-RA	DPOGS204158-PA
OG0001103	HEL_011082-RA	DPOGS210578-PA
OG0001104	HEL_004117-RA	DPOGS203877-PA
OG0001105	HEL_010226-RA	DPOGS209463-PA
OG0001106	HEL_011682-RA, HEL_011683-RA	DPOGS205036-PA
OG0001107	HEL_009936-RA	DPOGS207062-PA
OG0001108	HEL_011780-RA	DPOGS212311-PA
OG0001109	HEL_003557-RA	DPOGS206332-PA
OG0001109	HEL_003559-RA	DPOGS215124-PA
OG0001110	HEL_012030-RA	DPOGS215276-PA
OG0001111	HEL_006025-RA	DPOGS209816-PA
OG0001112	HEL_007029-RA	DPOGS203907-PA
OG0001112	HEL_010117-RA	DPOGS200469-PA
OG0001114	HEL_008418-RA, HEL_008417-RA	DPOGS206820-PA, DPOGS200017-PA
OG0001116	HEL_004959-RA	DPOGS203543-PA
OG0001118	HEL_007674-RA, HEL_014138-RA, HEL_007672-RA	DPOGS210036-PA
OG0001119	HEL_011476-RA	DPOGS200349-PA
OG0001119	HEL_011474-RA	DPOGS200348-PA
OG0001120	HEL_014233-RA, HEL_014234-RA, HEL_014235-RA	DPOGS211323-PA, DPOGS211324-PA
OG0001121	HEL_009287-RA, HEL_009286-RA	DPOGS213232-PA
OG0001122	HEL_013934-RA, HEL_013932-RA, HEL_013933-RA	DPOGS200002-PA
OG0001123	HEL_011200-RA	DPOGS211336-PA
OG0001123	HEL_011198-RA	DPOGS211337-PA
OG0001124	HEL_011194-RA, HEL_011195-RA, HEL_011197-RA	DPOGS211368-PA
OG0001125	HEL_002340-RA	DPOGS211139-PA
OG0001125	HEL_002342-RA	DPOGS211141-PA
OG0001126	HEL_001663-RA	DPOGS213062-PA
OG0001126	HEL_001661-RA	DPOGS213063-PA
OG0001127	HEL_002584-RA	DPOGS215655-PA
OG0001128	HEL_003576-RA, HEL_003575-RA	DPOGS204939-PA, DPOGS204941-PA
OG0001129	HEL_005801-RA	DPOGS208450-PA
OG0001130	HEL_009261-RA	DPOGS200577-PA, DPOGS200578-PA
OG0001131	HEL_001939-RA	DPOGS205005-PA
OG0001132	HEL_007715-RA	DPOGS203271-PA
OG0001134	HEL_002358-RA	DPOGS211153-PA, DPOGS211154-PA
OG0001136	HEL_005798-RA	DPOGS208446-PA
OG0001137	HEL_009121-RA	DPOGS212139-PA
OG0001139	HEL_013262-RA	DPOGS215886-PA
OG0001140	HEL_004637-RA	DPOGS208589-PA
OG0001141	HEL_000394-RA, HEL_000391-RA	DPOGS216127-PA
OG0001143	HEL_009138-RA, HEL_009142-RA, HEL_009140-RA, HEL_009143-RA	DPOGS201951-PA
OG0001144	HEL_013265-RA, HEL_013266-RA	DPOGS215884-PA
OG0001145	HEL_001966-RA, HEL_001967-RA	DPOGS204689-PA
OG0001146	HEL_013691-RA, HEL_013689-RA	DPOGS215364-PA
OG0001148	HEL_010707-RA	DPOGS209752-PA
OG0001149	HEL_009788-RA	DPOGS212312-PA
OG0001149	HEL_009787-RA	DPOGS212313-PA
OG0001151	HEL_013302-RA	DPOGS215878-PA
OG0001152	HEL_008813-RA, HEL_008816-RA, HEL_008818-RA, HEL_008814-RA, HEL_008817-RA	DPOGS211882-PA
OG0001153	HEL_004902-RA, HEL_004903-RA, HEL_004901-RA	DPOGS213497-PA
OG0001154	HEL_005164-RA, HEL_005163-RA, HEL_005162-RA	DPOGS214588-PA
OG0001156	HEL_009651-RA	DPOGS201370-PA
OG0001157	HEL_004889-RA	DPOGS211742-PA
OG0001158	HEL_005169-RA, HEL_005168-RA, HEL_005171-RA	DPOGS204192-PA
OG0001160	HEL_004881-RA	DPOGS213416-PA
OG0001160	HEL_004880-RA	DPOGS213419-PA
OG0001161	HEL_012972-RA, HEL_012973-RA	DPOGS205016-PA
OG0001162	HEL_006549-RA, HEL_006551-RA	DPOGS210461-PA
OG0001163	HEL_004869-RA	DPOGS213423-PA
OG0001163	HEL_004871-RA	DPOGS213425-PA
OG0001164	HEL_004862-RA	DPOGS212235-PA
OG0001164	HEL_004863-RA	DPOGS212236-PA
OG0001165	HEL_002444-RA	DPOGS211197-PA
OG0001167	HEL_008746-RA	DPOGS215969-PA
OG0001168	HEL_005185-RA	DPOGS204172-PA
OG0001169	HEL_000614-RA	DPOGS212467-PA
OG0001170	HEL_004285-RA, HEL_004283-RA, HEL_004284-RA	DPOGS211593-PA
OG0001171	HEL_011553-RA, HEL_011550-RA	DPOGS205419-PA
OG0001172	HEL_001857-RA	DPOGS210784-PA
OG0001172	HEL_001859-RA	DPOGS200959-PA
OG0001173	HEL_011862-RA	DPOGS210021-PA
OG0001174	HEL_008988-RA	DPOGS210009-PA
OG0001175	HEL_005213-RA, HEL_005212-RA	DPOGS200190-PA
OG0001176	HEL_010875-RA	DPOGS200935-PA
OG0001177	HEL_002491-RA, HEL_002490-RA	DPOGS211224-PA
OG0001178	HEL_011881-RA, HEL_011878-RA	DPOGS206275-PA
OG0001179	HEL_006145-RA, HEL_006146-RA	DPOGS202073-PA, DPOGS202072-PA
OG0001180	HEL_001518-RA	DPOGS204479-PA
OG0001181	HEL_004787-RA, HEL_004786-RA	DPOGS201106-PA
OG0001182	HEL_007267-RA, HEL_007274-RA	DPOGS209558-PA
OG0001183	HEL_005594-RA	DPOGS203761-PA
OG0001185	HEL_010457-RA, HEL_010458-RA, HEL_010459-RA	DPOGS203332-PA
OG0001186	HEL_002863-RA, HEL_002861-RA, HEL_002860-RA	DPOGS203658-PA
OG0001187	HEL_005585-RA, HEL_005586-RA	DPOGS203755-PA, DPOGS214527-PA, DPOGS214526-PA
OG0001188	HEL_001123-RA	DPOGS206168-PA
OG0001189	HEL_005849-RA	DPOGS216078-PA
OG0001190	HEL_012846-RA, HEL_012850-RA	DPOGS209083-PA
OG0001191	HEL_014206-RA, HEL_014207-RA	DPOGS212725-PA
OG0001191	HEL_014208-RA	DPOGS212726-PA
OG0001192	HEL_001497-RA	DPOGS204418-PA, DPOGS204417-PA, DPOGS204419-PA, DPOGS204416-PA, DPOGS204415-PA
OG0001193	HEL_004742-RA, HEL_004741-RA, HEL_004740-RA	DPOGS203766-PA
OG0001194	HEL_001820-RA	DPOGS212031-PA
OG0001194	HEL_001821-RA	DPOGS212030-PA
OG0001197	HEL_002825-RA	DPOGS203673-PA
OG0001198	HEL_012729-RA, HEL_012726-RA, HEL_012730-RA, HEL_012727-RA	DPOGS200407-PA
OG0001199	HEL_012734-RA	DPOGS200445-PA
OG0001200	HEL_014008-RA	DPOGS215076-PA
OG0001201	HEL_002804-RA	DPOGS203816-PA
OG0001203	HEL_000288-RA	DPOGS200526-PA
OG0001204	HEL_012855-RA, HEL_005990-RA, HEL_005989-RA	DPOGS201656-PA
OG0001205	HEL_001075-RA	DPOGS207248-PA
OG0001206	HEL_003002-RA	DPOGS206532-PA
OG0001206	HEL_003003-RA	DPOGS206529-PA
OG0001208	HEL_004566-RA	DPOGS207466-PA
OG0001209	HEL_002775-RA	DPOGS203806-PA
OG0001210	HEL_007441-RA, HEL_007442-RA, HEL_007440-RA	DPOGS203610-PA
OG0001211	HEL_003811-RA, HEL_003810-RA, HEL_003809-RA, HEL_003812-RA, HEL_003808-RA	DPOGS202699-PA
OG0001212	HEL_010742-RA	DPOGS206476-PA
OG0001213	HEL_007426-RA	DPOGS203616-PA
OG0001214	HEL_012349-RA, HEL_012350-RA, HEL_012351-RA	DPOGS214841-PA
OG0001215	HEL_009503-RA	DPOGS204080-PA
OG0001216	HEL_012170-RA, HEL_012171-RA	DPOGS207804-PA
OG0001217	HEL_002171-RA, HEL_002173-RA, HEL_002175-RA	DPOGS212541-PA
OG0001219	HEL_001381-RA	DPOGS203067-PA
OG0001220	HEL_013333-RA	DPOGS206955-PA
OG0001221	HEL_012259-RA	DPOGS206629-PA
OG0001222	HEL_005495-RA	DPOGS212285-PA
OG0001223	HEL_001389-RA	DPOGS203072-PA
OG0001224	HEL_008155-RA, HEL_008153-RA, HEL_008156-RA	DPOGS202910-PA
OG0001225	HEL_008157-RA, HEL_008158-RA	DPOGS202909-PA
OG0001226	HEL_001421-RA, HEL_001422-RA	DPOGS208656-PA
OG0001227	HEL_012217-RA, HEL_012216-RA, HEL_012215-RA, HEL_012218-RA	DPOGS207739-PA
OG0001228	HEL_003866-RA	DPOGS212808-PA
OG0001229	HEL_008175-RA	DPOGS214343-PA
OG0001230	HEL_000223-RA	DPOGS205861-PA
OG0001231	HEL_007390-RA, HEL_007391-RA	DPOGS213440-PA
OG0001232	HEL_013599-RA	DPOGS200976-PA
OG0001233	HEL_000217-RA	DPOGS205817-PA
OG0001233	HEL_000218-RA	DPOGS205818-PA
OG0001234	HEL_003081-RA	DPOGS214233-PA
OG0001235	HEL_000961-RA, HEL_000962-RA	DPOGS211652-PA
OG0001236	HEL_000963-RA, HEL_000964-RA	DPOGS211656-PA
OG0001237	HEL_001310-RA	DPOGS204262-PA
OG0001238	HEL_014428-RA, HEL_014429-RA	DPOGS210302-PA
OG0001239	HEL_014426-RA	DPOGS202370-PA, DPOGS202371-PA, DPOGS211483-PA, DPOGS202369-PA
OG0001240	HEL_006802-RA	DPOGS201484-PA
OG0001241	HEL_001294-RA	DPOGS204268-PA
OG0001242	HEL_003146-RA	DPOGS214271-PA
OG0001243	HEL_013371-RA	DPOGS207002-PA
OG0001244	HEL_009772-RA	DPOGS212324-PA
OG0001244	HEL_009773-RA	DPOGS212326-PA
OG0001245	HEL_007207-RA	DPOGS215414-PA
OG0001246	HEL_012621-RA, HEL_012622-RA	DPOGS207861-PA
OG0001247	HEL_012944-RA	DPOGS202362-PA
OG0001248	HEL_012866-RA	DPOGS210726-PA
OG0001249	HEL_008135-RA	DPOGS202880-PA
OG0001250	HEL_000109-RA	DPOGS205830-PA
OG0001251	HEL_012634-RA	DPOGS200877-PA, DPOGS200876-PA
OG0001252	HEL_004080-RA	DPOGS215030-PA
OG0001253	HEL_003170-RA, HEL_003171-RA	DPOGS214288-PA
OG0001254	HEL_008147-RA	DPOGS202912-PA
OG0001255	HEL_007063-RA	DPOGS212571-PA
OG0001256	HEL_006218-RA, HEL_006220-RA, HEL_006221-RA	DPOGS202792-PA
OG0001257	HEL_012026-RA	DPOGS215277-PA
OG0001259	HEL_006637-RA, HEL_006636-RA	DPOGS210623-PA
OG0001259	HEL_006635-RA	DPOGS210622-PA
OG0001260	HEL_008307-RA, HEL_008312-RA	DPOGS207081-PA
OG0001261	HEL_006245-RA	DPOGS202780-PA, DPOGS202779-PA
OG0001262	HEL_004433-RA	DPOGS200725-PA
OG0001263	HEL_011431-RA	DPOGS215036-PA
OG0001263	HEL_011430-RA	DPOGS215037-PA
OG0001264	HEL_008539-RA, HEL_008538-RA	DPOGS211536-PA
OG0001265	HEL_001176-RA, HEL_001175-RA, HEL_001177-RA	DPOGS208675-PA
OG0001266	HEL_008529-RA, HEL_008524-RA	DPOGS211541-PA
OG0001267	HEL_008522-RA	DPOGS213328-PA
OG0001267	HEL_008521-RA	DPOGS213326-PA, DPOGS213327-PA
OG0001268	HEL_001169-RA	DPOGS202181-PA, DPOGS208670-PA, DPOGS202183-PA, DPOGS208762-PA, DPOGS208761-PA, DPOGS208669-PA
OG0001270	HEL_001155-RA	DPOGS202174-PA
OG0001270	HEL_001156-RA	DPOGS202175-PA
OG0001271	HEL_012856-RA	DPOGS209079-PA
OG0001272	HEL_008497-RA	DPOGS211717-PA
OG0001273	HEL_006707-RA, HEL_006709-RA, HEL_006708-RA	DPOGS201544-PA
OG0001274	HEL_001137-RA	DPOGS202163-PA
OG0001274	HEL_001139-RA	DPOGS202164-PA
OG0001275	HEL_008495-RA	DPOGS211731-PA
OG0001276	HEL_003292-RA, HEL_003290-RA, HEL_003291-RA	DPOGS201875-PA
OG0001277	HEL_008404-RA, HEL_008403-RA	DPOGS206826-PA
OG0001278	HEL_004484-RA	DPOGS205663-PA
OG0001279	HEL_007148-RA	DPOGS208384-PA
OG0001280	HEL_008374-RA	DPOGS207114-PA
OG0001281	HEL_003256-RA	DPOGS201568-PA
OG0001282	HEL_008456-RA	DPOGS206517-PA
OG0001282	HEL_008454-RA	DPOGS206518-PA
OG0001283	HEL_008441-RA	DPOGS212646-PA
OG0001283	HEL_008442-RA	DPOGS212645-PA
OG0001284	HEL_008436-RA	DPOGS212652-PA, DPOGS212650-PA, DPOGS212651-PA
OG0001285	HEL_007098-RA	DPOGS203298-PA
OG0001287	HEL_011720-RA	DPOGS208099-PA
OG0001291	HEL_003947-RA	DPOGS202658-PA
OG0001293	HEL_011086-RA, HEL_011087-RA, HEL_011085-RA	DPOGS210634-PA
OG0001301	HEL_013953-RA, HEL_013954-RA	DPOGS206161-PA
OG0001302	HEL_004162-RA	DPOGS207366-PA, DPOGS211500-PA
OG0001303	HEL_008966-RA	DPOGS210402-PA
OG0001303	HEL_008967-RA	DPOGS210001-PA
OG0001304	HEL_008964-RA	DPOGS210400-PA
OG0001304	HEL_008965-RA	DPOGS210401-PA
OG0001305	HEL_007645-RA, HEL_007651-RA	DPOGS210111-PA
OG0001306	HEL_005499-RA, HEL_005500-RA	DPOGS212266-PA
OG0001307	HEL_011012-RA	DPOGS208299-PA, DPOGS201736-PA
OG0001308	HEL_001894-RA	DPOGS204988-PA
OG0001309	HEL_005068-RA	DPOGS214763-PA
OG0001310	HEL_004103-RA	DPOGS211532-PA, DPOGS211531-PA
OG0001311	HEL_003491-RA, HEL_003490-RA, HEL_003489-RA, HEL_003492-RA	DPOGS206365-PA
OG0001312	HEL_012703-RA, HEL_012702-RA	DPOGS201954-PA
OG0001315	HEL_000449-RA	DPOGS216109-PA
OG0001316	HEL_001887-RA, HEL_001888-RA, HEL_001880-RA	DPOGS212487-PA
OG0001318	HEL_009306-RA, HEL_009304-RA	DPOGS210257-PA
OG0001319	HEL_007743-RA	DPOGS201225-PA
OG0001320	HEL_000697-RA	DPOGS210340-PA
OG0001320	HEL_000694-RA, HEL_000695-RA	DPOGS210341-PA
OG0001321	HEL_012693-RA, HEL_012694-RA	DPOGS214431-PA
OG0001322	HEL_012695-RA	DPOGS214430-PA
