Orthogroup	Heliconius_erato_lativitta	Heliconius_melpomene_melpomene
OG0000973	HEL_006954-RA	HMEL018073g1.t1
OG0000974	HEL_007474-RA	HMEL002092g1.t1
OG0000975	HEL_010757-RA	HMEL012706g1.t1
OG0000977	HEL_005535-RA, HEL_005536-RA, HEL_005537-RA	HMEL003600g1.t1, HMEL034177g1.t1
OG0000979	HEL_010753-RA	HMEL022555-RA
OG0000980	HEL_009522-RA	HMEL013123g1.t1
OG0000981	HEL_009995-RA	HMEL006851g1.t1
OG0000981	HEL_009996-RA	HMEL009408g1.t1
OG0000982	HEL_003011-RA	HMEL002304g1.t1
OG0000983	HEL_005512-RA	HMEL014948g1.t1
OG0000984	HEL_008366-RA, HEL_008363-RA	HMEL013268g1.t1
OG0000985	HEL_005511-RA	HMEL014945g1.t1
OG0000986	HEL_013621-RA	HMEL017874g1.t1
OG0000987	HEL_014480-RA	HMEL005822g1.t1
OG0000987	HEL_014481-RA	HMEL008507g1.t1
OG0000988	HEL_003039-RA	HMEL006811g1.t1
OG0000989	HEL_003823-RA	HMEL038122g1.t1
OG0000990	HEL_012165-RA	HMEL017554g1.t1
OG0000992	HEL_013331-RA	HMEL033300g1.t1
OG0000993	HEL_012330-RA, HEL_012332-RA, HEL_012328-RA, HEL_012325-RA, HEL_012323-RA, HEL_012329-RA	HMEL015016g1.t1
OG0000994	HEL_000254-RA	HMEL014909g1.t1
OG0000994	HEL_000251-RA	HMEL032097g1.t1
OG0000995	HEL_001115-RA, HEL_001116-RA	HMEL037688g1.t1
OG0000996	HEL_014149-RA	HMEL033683g1.t1
OG0000998	HEL_008164-RA	HMEL032336g1.t1
OG0000999	HEL_000231-RA	HMEL015898g1.t1
OG0001000	HEL_005488-RA	HMEL006653g1.t1
OG0001001	HEL_012248-RA, HEL_012247-RA	HMEL015313g1.t1
OG0001002	HEL_013125-RA	HMEL002124g1.t1
OG0001002	HEL_014177-RA	HMEL033345g1.t1
OG0001003	HEL_005925-RA, HEL_005924-RA	HMEL002972g1.t1
OG0001004	HEL_003116-RA	HMEL011374g1.t1
OG0001005	HEL_010640-RA	HMEL016067g1.t1
OG0001005	HEL_010642-RA	HMEL037083g1.t1, HMEL022300g1.t1
OG0001006	HEL_001006-RA, HEL_001005-RA, HEL_001003-RA, HEL_001008-RA	HMEL037617g1.t1
OG0001007	HEL_012007-RA	HMEL013723g1.t1
OG0001008	HEL_009616-RA	HMEL002673g1.t1, HMEL002670g1.t1
OG0001009	HEL_008661-RA, HEL_008660-RA	HMEL033449g1.t1
OG0001010	HEL_011496-RA	HMEL032688g1.t1
OG0001011	HEL_012027-RA, HEL_012029-RA	HMEL036857g1.t1
OG0001012	HEL_000140-RA	HMEL032037g1.t1
OG0001012	HEL_000139-RA, HEL_000141-RA	HMEL016746g1.t1
OG0001013	HEL_006633-RA, HEL_006634-RA	HMEL009165g1.t1
OG0001014	HEL_010309-RA, HEL_011746-RA	HMEL015565g1.t1
OG0001015	HEL_008317-RA	HMEL004151g1.t1, HMEL014053g1.t1, HMEL033376g1.t1, HMEL033377g1.t1
OG0001016	HEL_010313-RA, HEL_010312-RA, HEL_010311-RA	HMEL037132g1.t1
OG0001016	HEL_010310-RA	HMEL037131g1.t1
OG0001017	HEL_003217-RA	HMEL033085g1.t1
OG0001017	HEL_003216-RA	HMEL033088g1.t1
OG0001018	HEL_010332-RA	HMEL008033-RA
OG0001018	HEL_010333-RA	HMEL014654g1.t1
OG0001019	HEL_013095-RA	HMEL036009g1.t1, HMEL036004g1.t1
OG0001019	HEL_013092-RA	HMEL021764g1.t1
OG0001020	HEL_011412-RA, HEL_011411-RA, HEL_011409-RA, HEL_011408-RA, HEL_011410-RA, HEL_011407-RA	HMEL032670g1.t1
OG0001021	HEL_011985-RA	HMEL007292g1.t1
OG0001022	HEL_008511-RA	HMEL007369g1.t1
OG0001023	HEL_003311-RA	HMEL014742g1.t1
OG0001024	HEL_013123-RA	HMEL031000g1.t1
OG0001026	HEL_012824-RA	HMEL013363g1.t1
OG0001028	HEL_011644-RA	HMEL005713g1.t1
OG0001029	HEL_003240-RA	HMEL002173g1.t1
OG0001029	HEL_003241-RA	HMEL006322g1.t1
OG0001030	HEL_003236-RA	HMEL016491g1.t1
OG0001032	HEL_006777-RA, HEL_006776-RA	HMEL015972g1.t1
OG0001035	HEL_014353-RA, HEL_014355-RA	HMEL013743g1.t1
OG0001035	HEL_010284-RA	HMEL033248g1.t1, HMEL008304g1.t1
OG0001038	HEL_014085-RA, HEL_006519-RA, HEL_011601-RA, HEL_013526-RA, HEL_002134-RA, HEL_011604-RA, HEL_004373-RA, HEL_004372-RA, HEL_014086-RA, HEL_009933-RA, HEL_005559-RA, HEL_004371-RA, HEL_004984-RA	HMEL007711g1.t1, HMEL037270g1.t1
OG0001042	HEL_000606-RA	HMEL009335g1.t1
OG0001043	HEL_007336-RA	HMEL022528-RA
OG0001043	HEL_007337-RA	HMEL022550-RA, HMEL035504g1.t1
OG0001044	HEL_014042-RA	HMEL033923g1.t1
OG0001044	HEL_001896-RA	HMEL009499g1.t1
OG0001045	HEL_005353-RA	HMEL003250g1.t1
OG0001046	HEL_009466-RA	HMEL032879g1.t1
OG0001046	HEL_009467-RA	HMEL032880g1.t1
OG0001047	HEL_011023-RA	HMEL008369g1.t1
OG0001048	HEL_013002-RA	HMEL022544g1.t1
OG0001049	HEL_013967-RA	HMEL010734g1.t1
OG0001050	HEL_009209-RA	HMEL008688g1.t1
OG0001051	HEL_013879-RA	HMEL005647g1.t1
OG0001052	HEL_011333-RA	HMEL026002g1.t1, HMEL026001g1.t1
OG0001053	HEL_006984-RA	HMEL010898g1.t1
OG0001054	HEL_013228-RA	HMEL025046g1.t1
OG0001055	HEL_001719-RA	HMEL031236g1.t1
OG0001056	HEL_011994-RA	HMEL004721g1.t1
OG0001057	HEL_013048-RA	HMEL022596g1.t1
OG0001058	HEL_012664-RA	HMEL035405g1.t1
OG0001059	HEL_002035-RA	HMEL002210g1.t1
OG0001059	HEL_002036-RA	HMEL030429g1.t1
OG0001060	HEL_009227-RA	HMEL012020g1.t1
OG0001060	HEL_009226-RA	HMEL003577g1.t1
OG0001061	HEL_009492-RA	HMEL032899g1.t1, HMEL032898g1.t1
OG0001062	HEL_000463-RA	HMEL008011g1.t1
OG0001063	HEL_004670-RA	HMEL009224g1.t1
OG0001065	HEL_013867-RA, HEL_013866-RA	HMEL036391g1.t1
OG0001066	HEL_002208-RA	HMEL004277g1.t1
OG0001067	HEL_011670-RA	HMEL010794g1.t1
OG0001068	HEL_010506-RA	HMEL003615g1.t1
OG0001068	HEL_010499-RA	HMEL007241g1.t1
OG0001069	HEL_001724-RA	HMEL004190g1.t1
OG0001070	HEL_000751-RA	HMEL004443g1.t1
OG0001072	HEL_007349-RA, HEL_007350-RA	HMEL003110-RA
OG0001074	HEL_005420-RA	HMEL005255g1.t1
OG0001074	HEL_005421-RA	HMEL005256g1.t1
OG0001076	HEL_004070-RA	HMEL014816g1.t1
OG0001077	HEL_004075-RA	HMEL014812g1.t1
OG0001078	HEL_013247-RA	HMEL035808g1.t1, HMEL035815g1.t1
OG0001079	HEL_002221-RA, HEL_002222-RA	HMEL004336g1.t1
OG0001082	HEL_010519-RA	HMEL017016g1.t1
OG0001082	HEL_000129-RA	HMEL032034g1.t1
OG0001083	HEL_009000-RA	HMEL008071g1.t1
OG0001084	HEL_013914-RA	HMEL035376g1.t1
OG0001084	HEL_013911-RA	HMEL006339g1.t1
OG0001086	HEL_002079-RA	HMEL022619-RA
OG0001087	HEL_012423-RA	HMEL009638g1.t1
OG0001089	HEL_010541-RA, HEL_010542-RA	HMEL017035g1.t1
OG0001091	HEL_002277-RA	HMEL030152g1.t1
OG0001091	HEL_002276-RA	HMEL030151g1.t1
OG0001093	HEL_010275-RA	HMEL017781g1.t1
OG0001094	HEL_009711-RA	HMEL036407g1.t1
OG0001095	HEL_007795-RA	HMEL008988g1.t1
OG0001096	HEL_011855-RA	HMEL003150g1.t1
OG0001097	HEL_004150-RA	HMEL013235g1.t1
OG0001097	HEL_004149-RA	HMEL013236g1.t1
OG0001098	HEL_005697-RA	HMEL016252g1.t1
OG0001099	HEL_002105-RA, HEL_002106-RA	HMEL010279g1.t1
OG0001101	HEL_011291-RA	HMEL009515g1.t1
OG0001102	HEL_003618-RA, HEL_003620-RA, HEL_003621-RA, HEL_003622-RA	HMEL004119g1.t1
OG0001103	HEL_011082-RA	HMEL012909g1.t1
OG0001104	HEL_004117-RA	HMEL008134g1.t1
OG0001105	HEL_010226-RA	HMEL004504g1.t1
OG0001106	HEL_011682-RA	HMEL003410g1.t1
OG0001107	HEL_009936-RA	HMEL010195g1.t1
OG0001108	HEL_011780-RA	HMEL014413g1.t1
OG0001109	HEL_003557-RA	HMEL002721g1.t1
OG0001109	HEL_003559-RA	HMEL002724g1.t1
OG0001110	HEL_012030-RA	HMEL022090g1.t1, HMEL036858g1.t1
OG0001111	HEL_006025-RA	HMEL011868g1.t1
OG0001112	HEL_010117-RA	HMEL010414g1.t1
OG0001114	HEL_008418-RA	HMEL011675-RA
OG0001114	HEL_008417-RA	HMEL011676-RA, HMEL011677-RA
OG0001115	HEL_002140-RA	HMEL030485g1.t1
OG0001116	HEL_004959-RA	HMEL013206g1.t1
OG0001118	HEL_007674-RA	HMEL031819g1.t1
OG0001118	HEL_014138-RA	HMEL020594g1.t1
OG0001118	HEL_007672-RA	HMEL031818g1.t1
OG0001119	HEL_011476-RA	HMEL000037-RA
OG0001119	HEL_011474-RA	HMEL013472g1.t1
OG0001120	HEL_014233-RA, HEL_014234-RA, HEL_014235-RA	HMEL037977g1.t1
OG0001121	HEL_009287-RA, HEL_009286-RA	HMEL016964g1.t1
OG0001122	HEL_013934-RA, HEL_013932-RA, HEL_013933-RA	HMEL014256g1.t1
OG0001123	HEL_011200-RA	HMEL002799g1.t1
OG0001123	HEL_011198-RA	HMEL002797g1.t1
OG0001124	HEL_011197-RA	HMEL033585g1.t1
OG0001125	HEL_002342-RA	HMEL017211g1.t1
OG0001126	HEL_001663-RA	HMEL031207g1.t1
OG0001128	HEL_003576-RA, HEL_003575-RA	HMEL003636g1.t1
OG0001129	HEL_005801-RA	HMEL036672g1.t1
OG0001130	HEL_009261-RA	HMEL016949g1.t1
OG0001131	HEL_001939-RA	HMEL009462g1.t1
OG0001133	HEL_009109-RA	HMEL036632g1.t1
OG0001134	HEL_002358-RA	HMEL030205g1.t1, HMEL017192g1.t1
OG0001136	HEL_005798-RA	HMEL007844g1.t1
OG0001137	HEL_009121-RA	HMEL007733g1.t1
OG0001140	HEL_004637-RA	HMEL015853g1.t1
OG0001141	HEL_000394-RA, HEL_000391-RA	HMEL032209g1.t1
OG0001143	HEL_009138-RA, HEL_009142-RA, HEL_009140-RA, HEL_009143-RA	HMEL003823g1.t1
OG0001144	HEL_013265-RA, HEL_013266-RA	HMEL009039g1.t1
OG0001145	HEL_001966-RA, HEL_001967-RA	HMEL014644g1.t1
OG0001146	HEL_013689-RA	HMEL005223g1.t1
OG0001148	HEL_010707-RA	HMEL011915g1.t1
OG0001149	HEL_009788-RA	HMEL037723g1.t1
OG0001149	HEL_009787-RA	HMEL013391g1.t1
OG0001151	HEL_013302-RA	HMEL031870g1.t1, HMEL005400g1.t1
OG0001152	HEL_008813-RA, HEL_008816-RA, HEL_008818-RA, HEL_008814-RA, HEL_008817-RA	HMEL005168g1.t1
OG0001153	HEL_004902-RA, HEL_004903-RA, HEL_004901-RA	HMEL016829g1.t1
OG0001154	HEL_005163-RA	HMEL037902g1.t1
OG0001154	HEL_005162-RA	HMEL021017g1.t1, HMEL012181g1.t1
OG0001156	HEL_009651-RA	HMEL008467g1.t1
OG0001158	HEL_005169-RA, HEL_005168-RA, HEL_005171-RA	HMEL037897g1.t1
OG0001160	HEL_004881-RA	HMEL016809g1.t1
OG0001160	HEL_004880-RA	HMEL016808g1.t1
OG0001161	HEL_012972-RA, HEL_012973-RA	HMEL014274g1.t1
OG0001162	HEL_006549-RA	HMEL032534g1.t1
OG0001163	HEL_004869-RA	HMEL031357g1.t1
OG0001163	HEL_004871-RA	HMEL016803g1.t1
OG0001164	HEL_004862-RA	HMEL016800g1.t1
OG0001165	HEL_002444-RA	HMEL012451g1.t1
OG0001167	HEL_008746-RA	HMEL018044g1.t1
OG0001168	HEL_005185-RA	HMEL009960g1.t1
OG0001170	HEL_004285-RA, HEL_004283-RA, HEL_004284-RA	HMEL022612g1.t1
OG0001171	HEL_011550-RA	HMEL036491g1.t1
OG0001172	HEL_001859-RA	HMEL007488g1.t1
OG0001173	HEL_011862-RA	HMEL034637g1.t1
OG0001174	HEL_008988-RA	HMEL033651g1.t1
OG0001175	HEL_005213-RA	HMEL037926g1.t1
OG0001175	HEL_005212-RA	HMEL037923g1.t1
OG0001176	HEL_010875-RA	HMEL031902g1.t1
OG0001177	HEL_002491-RA, HEL_002490-RA	HMEL012494g1.t1
OG0001178	HEL_011878-RA	HMEL013178g1.t1
OG0001179	HEL_006145-RA, HEL_006146-RA	HMEL005366g1.t1
OG0001180	HEL_001518-RA	HMEL015680g1.t1
OG0001181	HEL_004787-RA, HEL_004786-RA	HMEL031340g1.t1
OG0001183	HEL_005594-RA	HMEL002563g1.t1
OG0001185	HEL_010457-RA, HEL_010458-RA, HEL_010459-RA	HMEL035460g1.t1
OG0001187	HEL_005585-RA	HMEL002556-RA
OG0001188	HEL_001123-RA	HMEL011054g1.t1
OG0001189	HEL_005849-RA	HMEL036689g1.t1
OG0001190	HEL_012846-RA, HEL_012850-RA	HMEL014022g1.t1
OG0001191	HEL_014206-RA, HEL_014207-RA, HEL_014208-RA	HMEL033208g1.t1
OG0001192	HEL_001497-RA	HMEL006260g1.t1
OG0001193	HEL_004741-RA, HEL_004740-RA	HMEL002965g1.t1
OG0001194	HEL_001820-RA	HMEL003708g1.t1
OG0001194	HEL_001821-RA	HMEL003706g1.t1
OG0001197	HEL_002825-RA	HMEL013338g1.t1
OG0001198	HEL_012729-RA	HMEL036737g1.t1
OG0001198	HEL_012726-RA, HEL_012730-RA, HEL_012727-RA	HMEL014730g1.t1
OG0001199	HEL_012734-RA	HMEL036739g1.t1
OG0001200	HEL_014008-RA	HMEL010538g1.t1
OG0001201	HEL_002804-RA	HMEL013327g1.t1
OG0001203	HEL_000288-RA	HMEL032109g1.t1
OG0001205	HEL_001075-RA	HMEL009804g1.t1
OG0001206	HEL_003002-RA	HMEL002294g1.t1
OG0001206	HEL_003003-RA	HMEL002295g1.t1
OG0001209	HEL_002775-RA	HMEL013308g1.t1
OG0001210	HEL_007441-RA, HEL_007442-RA	HMEL022029g1.t1
OG0001211	HEL_003810-RA, HEL_003809-RA, HEL_003812-RA, HEL_003808-RA	HMEL005001g1.t1
OG0001212	HEL_010742-RA	HMEL014000g1.t1
OG0001214	HEL_012349-RA, HEL_012350-RA	HMEL007612g1.t1
OG0001214	HEL_012351-RA	HMEL007613-RA
OG0001215	HEL_009503-RA	HMEL013143g1.t1
OG0001216	HEL_012170-RA, HEL_012171-RA	HMEL017551g1.t1
OG0001217	HEL_002173-RA, HEL_002175-RA	HMEL014545g1.t1
OG0001218	HEL_003826-RA, HEL_003825-RA, HEL_003827-RA	HMEL011614g1.t1
OG0001219	HEL_001381-RA	HMEL004312g1.t1
OG0001220	HEL_013333-RA	HMEL014351g1.t1
OG0001221	HEL_012259-RA	HMEL012304g1.t1
OG0001222	HEL_005495-RA	HMEL034254g1.t1
OG0001223	HEL_001389-RA	HMEL011728g1.t1
OG0001224	HEL_008155-RA, HEL_008153-RA, HEL_008156-RA	HMEL032331g1.t1
OG0001225	HEL_008157-RA, HEL_008158-RA	HMEL032332g1.t1
OG0001226	HEL_001422-RA	HMEL011755g1.t1
OG0001227	HEL_012218-RA	HMEL007389g1.t1
OG0001228	HEL_003866-RA	HMEL008168g1.t1
OG0001229	HEL_008175-RA	HMEL004617g1.t1
OG0001231	HEL_007390-RA, HEL_007391-RA	HMEL007767g1.t1
OG0001232	HEL_013599-RA	HMEL021525g1.t1
OG0001233	HEL_000217-RA	HMEL032083g1.t1
OG0001235	HEL_000961-RA, HEL_000962-RA	HMEL037594g1.t1
OG0001236	HEL_000963-RA, HEL_000964-RA	HMEL006300g1.t1
OG0001237	HEL_001310-RA	HMEL015193g1.t1
OG0001238	HEL_014428-RA	HMEL017165g1.t1
OG0001239	HEL_014426-RA	HMEL030640g1.t1
OG0001240	HEL_006802-RA	HMEL015940g1.t1
OG0001241	HEL_001294-RA	HMEL015203g1.t1
OG0001242	HEL_003146-RA	HMEL011401g1.t1
OG0001243	HEL_013371-RA	HMEL008671g1.t1
OG0001244	HEL_009773-RA	HMEL037718g1.t1
OG0001245	HEL_007207-RA	HMEL017434g1.t1, HMEL017435g1.t1
OG0001247	HEL_012944-RA	HMEL030630g1.t1
OG0001248	HEL_012866-RA	HMEL006430g1.t1
OG0001249	HEL_008135-RA	HMEL014583g1.t1
OG0001250	HEL_000109-RA	HMEL017389g1.t1
OG0001251	HEL_012634-RA	HMEL011480g1.t1
OG0001252	HEL_004080-RA	HMEL008098g1.t1
OG0001253	HEL_003170-RA, HEL_003171-RA	HMEL033069g1.t1
OG0001254	HEL_008147-RA	HMEL022040g1.t1
OG0001255	HEL_007063-RA	HMEL016623g1.t1
OG0001257	HEL_012026-RA	HMEL012721g1.t1
OG0001259	HEL_006637-RA, HEL_006636-RA, HEL_006635-RA	HMEL030952g1.t1
OG0001260	HEL_008307-RA, HEL_008312-RA	HMEL014052g1.t1
OG0001261	HEL_006245-RA	HMEL009298g1.t1
OG0001262	HEL_004433-RA	HMEL008961g1.t1
OG0001263	HEL_011431-RA	HMEL000006-RA
OG0001263	HEL_011430-RA	HMEL000004-RA
OG0001264	HEL_008539-RA, HEL_008538-RA	HMEL003125g1.t1
OG0001265	HEL_001177-RA	HMEL004177g1.t1
OG0001266	HEL_008529-RA, HEL_008524-RA	HMEL022606-RA
OG0001267	HEL_008521-RA	HMEL031716g1.t1, HMEL033291g1.t1, HMEL007379g1.t1
OG0001268	HEL_001169-RA	HMEL031006g1.t1, HMEL013431g1.t1
OG0001270	HEL_001155-RA	HMEL010884g1.t1
OG0001271	HEL_012856-RA	HMEL032666g1.t1
OG0001272	HEL_008497-RA	HMEL030599g1.t1
OG0001273	HEL_006707-RA	HMEL009056g1.t1
OG0001273	HEL_006709-RA, HEL_006708-RA	HMEL009058g1.t1
OG0001274	HEL_001137-RA, HEL_001139-RA	HMEL031001g1.t1
OG0001275	HEL_008495-RA	HMEL017342g1.t1
OG0001276	HEL_003292-RA	HMEL033131g1.t1
OG0001276	HEL_003290-RA	HMEL012847g1.t1
OG0001277	HEL_008404-RA	HMEL010274g1.t1
OG0001278	HEL_004484-RA	HMEL007099g1.t1
OG0001279	HEL_007148-RA	HMEL016479g1.t1, HMEL008795g1.t1
OG0001280	HEL_008374-RA	HMEL013260g1.t1
OG0001281	HEL_003256-RA	HMEL033115g1.t1
OG0001282	HEL_008454-RA	HMEL013658g1.t1
OG0001283	HEL_008441-RA	HMEL030577g1.t1
OG0001284	HEL_008436-RA	HMEL013626g1.t1
OG0001285	HEL_007098-RA	HMEL006372g1.t1
OG0001287	HEL_011720-RA	HMEL037279g1.t1
OG0001291	HEL_003947-RA	HMEL002231g1.t1
OG0001293	HEL_011086-RA	HMEL036239g1.t1
OG0001293	HEL_011087-RA, HEL_011085-RA	HMEL036240g1.t1
OG0001294	HEL_005538-RA, HEL_005539-RA	HMEL034284g1.t1, HMEL034278g1.t1, HMEL034280g1.t1, HMEL035871g1.t1, HMEL004233g1.t1, HMEL035872g1.t1, HMEL034282g1.t1, HMEL034281g1.t1, HMEL034277g1.t1, HMEL034279g1.t1, HMEL035870g1.t1, HMEL034283g1.t1
OG0001301	HEL_013953-RA	HMEL037207g1.t1
OG0001301	HEL_013954-RA	HMEL010746g1.t1
OG0001302	HEL_004162-RA	HMEL034092g1.t1
OG0001303	HEL_008966-RA	HMEL006753g1.t1
OG0001303	HEL_008967-RA	HMEL022133g1.t1
OG0001304	HEL_008965-RA	HMEL006754g1.t1
OG0001305	HEL_007645-RA, HEL_007651-RA	HMEL005061g1.t1
OG0001306	HEL_005499-RA	HMEL014928g1.t1
OG0001307	HEL_011012-RA	HMEL021108g1.t1
OG0001308	HEL_001894-RA	HMEL009501g1.t1
OG0001309	HEL_005068-RA	HMEL020285g1.t1
OG0001310	HEL_004103-RA	HMEL008123g1.t1
OG0001311	HEL_003491-RA, HEL_003490-RA, HEL_003489-RA, HEL_003492-RA	HMEL017127g1.t1
OG0001312	HEL_012702-RA	HMEL035396g1.t1
OG0001314	HEL_014201-RA, HEL_014202-RA	HMEL033207g1.t1
OG0001315	HEL_000449-RA	HMEL002195g1.t1
OG0001316	HEL_001887-RA, HEL_001888-RA, HEL_001880-RA	HMEL013537g1.t1
OG0001318	HEL_009306-RA, HEL_009304-RA	HMEL016976g1.t1
OG0001319	HEL_007743-RA	HMEL012154g1.t1
OG0001320	HEL_000697-RA, HEL_000694-RA, HEL_000695-RA	HMEL037453g1.t1
OG0001321	HEL_012693-RA	HMEL012791g1.t1
OG0001321	HEL_012694-RA	HMEL008224g1.t1, HMEL035401g1.t1
OG0001322	HEL_012695-RA	HMEL002147g1.t1
OG0001323	HEL_004047-RA	HMEL034033g1.t1
OG0001324	HEL_008952-RA	HMEL013004g1.t1
OG0001325	HEL_009693-RA	HMEL007717g1.t1
OG0001326	HEL_005337-RA	HMEL014787g1.t1
OG0001328	HEL_005019-RA	HMEL031400g1.t1
OG0001329	HEL_000703-RA, HEL_000702-RA, HEL_000701-RA, HEL_000700-RA, HEL_000704-RA, HEL_000705-RA	HMEL007255g1.t1
OG0001331	HEL_008949-RA	HMEL012998g1.t1
OG0001332	HEL_004010-RA	HMEL034004g1.t1
OG0001333	HEL_000452-RA	HMEL032244g1.t1
OG0001335	HEL_003461-RA	HMEL004743g1.t1
OG0001336	HEL_000714-RA	HMEL037460g1.t1
OG0001337	HEL_012667-RA, HEL_012673-RA	HMEL035404g1.t1
OG0001338	HEL_000615-RA	HMEL009345g1.t1
OG0001339	HEL_000457-RA	HMEL007407g1.t1
OG0001341	HEL_004031-RA	HMEL010160g1.t1
OG0001342	HEL_005390-RA	HMEL015559g1.t1
OG0001344	HEL_012656-RA, HEL_012655-RA	HMEL035408g1.t1
OG0001345	HEL_001710-RA	HMEL005557g1.t1
OG0001346	HEL_002250-RA	HMEL003956g1.t1
OG0001347	HEL_000739-RA	HMEL008905g1.t1
OG0001348	HEL_009232-RA, HEL_009234-RA	HMEL002359g1.t1
OG0001349	HEL_009236-RA	HMEL002358g1.t1
OG0001350	HEL_009559-RA	HMEL016880g1.t1
OG0001351	HEL_005400-RA, HEL_005399-RA	HMEL015549g1.t1
OG0001352	HEL_005091-RA	HMEL037839g1.t1
OG0001353	HEL_004056-RA	HMEL014831g1.t1
OG0001354	HEL_004067-RA	HMEL014819g1.t1
OG0001356	HEL_008191-RA, HEL_008190-RA	HMEL032358g1.t1
OG0001358	HEL_001749-RA	HMEL015426g1.t1
OG0001359	HEL_003563-RA	HMEL002590g1.t1
OG0001359	HEL_000471-RA	HMEL017678g1.t1
OG0001360	HEL_013893-RA	HMEL035367g1.t1
OG0001362	HEL_007781-RA	HMEL009004g1.t1
OG0001364	HEL_011253-RA	HMEL016062g1.t1
OG0001365	HEL_010521-RA	HMEL017017g1.t1
OG0001366	HEL_009662-RA	HMEL012190g1.t1
OG0001368	HEL_009663-RA	HMEL012191g1.t1
OG0001369	HEL_007576-RA	HMEL011789g1.t1
OG0001370	HEL_013517-RA	HMEL011628g1.t1
OG0001370	HEL_013518-RA	HMEL011625g1.t1
OG0001371	HEL_007769-RA	HMEL008408g1.t1, HMEL008410g1.t1
OG0001372	HEL_005679-RA	HMEL016273g1.t1
OG0001373	HEL_001700-RA	HMEL015084g1.t1
OG0001373	HEL_001699-RA	HMEL031223g1.t1
OG0001374	HEL_012428-RA	HMEL009642g1.t1
OG0001375	HEL_001767-RA	HMEL008282g1.t1
OG0001376	HEL_001776-RA	HMEL031273g1.t1
OG0001377	HEL_000488-RA	HMEL011336g1.t1
OG0001377	HEL_000489-RA	HMEL034081g1.t1, HMEL010557g1.t1
OG0001379	HEL_001788-RA	HMEL010016g1.t1
OG0001380	HEL_013229-RA	HMEL025047g1.t1
OG0001381	HEL_004022-RA	HMEL010148g1.t1
OG0001382	HEL_005691-RA	HMEL016262g1.t1
OG0001383	HEL_003956-RA, HEL_003957-RA	HMEL033959g1.t1
OG0001384	HEL_011721-RA, HEL_011722-RA	HMEL016082g1.t1
OG0001385	HEL_007797-RA	HMEL008986g1.t1
OG0001386	HEL_010273-RA	HMEL032932g1.t1
OG0001387	HEL_010554-RA	HMEL017044g1.t1
OG0001388	HEL_010270-RA	HMEL032929g1.t1
OG0001389	HEL_007793-RA	HMEL008991g1.t1
OG0001390	HEL_010564-RA	HMEL035008g1.t1
OG0001392	HEL_005065-RA	HMEL009623g1.t1
OG0001393	HEL_007565-RA	HMEL006999g1.t1
OG0001394	HEL_010851-RA	HMEL016218g1.t1, HMEL034371g1.t1
OG0001395	HEL_000511-RA	HMEL032287g1.t1
OG0001396	HEL_011296-RA	HMEL009522g1.t1
OG0001397	HEL_011684-RA, HEL_011685-RA	HMEL003408g1.t1
OG0001398	HEL_013498-RA	HMEL003515g1.t1
OG0001398	HEL_013497-RA	HMEL022565g1.t1
OG0001399	HEL_010123-RA	HMEL014564g1.t1
OG0001400	HEL_003675-RA	HMEL007642g1.t1
OG0001401	HEL_011100-RA, HEL_011101-RA, HEL_011103-RA, HEL_011102-RA, HEL_011104-RA	HMEL012924g1.t1
OG0001402	HEL_003556-RA	HMEL002720g1.t1
OG0001404	HEL_010843-RA	HMEL016225g1.t1
OG0001404	HEL_010844-RA	HMEL016224g1.t1
OG0001405	HEL_011844-RA	HMEL034631g1.t1, HMEL006183g1.t1
OG0001407	HEL_010105-RA, HEL_010104-RA	HMEL021313g1.t1
OG0001408	HEL_011792-RA	HMEL022657g1.t1
OG0001409	HEL_009453-RA, HEL_009455-RA, HEL_009452-RA	HMEL032874g1.t1
OG0001410	HEL_013861-RA	HMEL037963g1.t1
OG0001410	HEL_013860-RA	HMEL005584g1.t1
OG0001411	HEL_009451-RA	HMEL032872g1.t1
OG0001412	HEL_005806-RA	HMEL015054g1.t1
OG0001413	HEL_008075-RA	HMEL005064g1.t1, HMEL008596g1.t1
OG0001414	HEL_004135-RA	HMEL013249g1.t1
OG0001415	HEL_007697-RA	HMEL031826g1.t1
OG0001416	HEL_013938-RA	HMEL037194g1.t1
OG0001417	HEL_006435-RA, HEL_006872-RA	HMEL032477g1.t1
OG0001418	HEL_002561-RA	HMEL014142g1.t1
OG0001419	HEL_002565-RA	HMEL030737g1.t1
OG0001420	HEL_002339-RA	HMEL017215g1.t1
OG0001423	HEL_004339-RA, HEL_004338-RA, HEL_004340-RA, HEL_004343-RA, HEL_004341-RA	HMEL025049-RA
OG0001426	HEL_014219-RA	HMEL033252g1.t1
OG0001428	HEL_009669-RA	HMEL010553g1.t1
OG0001429	HEL_008842-RA	HMEL021822g1.t1
OG0001432	HEL_012088-RA	HMEL012734g1.t1
OG0001432	HEL_012089-RA	HMEL012221g1.t1
OG0001434	HEL_006475-RA, HEL_006473-RA, HEL_006470-RA	HMEL032488g1.t1
OG0001435	HEL_009131-RA	HMEL003817g1.t1
OG0001435	HEL_009130-RA	HMEL004985g1.t1
OG0001436	HEL_000552-RA	HMEL037395g1.t1
OG0001437	HEL_008018-RA, HEL_008019-RA, HEL_008017-RA	HMEL008753g1.t1
OG0001439	HEL_013272-RA	HMEL005738g1.t1
OG0001441	HEL_009383-RA	HMEL008703g1.t1
