Orthogroup	Heliconius_erato_lativitta	Junonia_coenia
OG0001443	HEL_002631-RA	JC_01375-RA
OG0001446	HEL_000927-RA, HEL_000928-RA, HEL_000926-RA	JC_06972-RA
OG0001446	HEL_000925-RA	JC_06973-RA
OG0001447	HEL_013306-RA	JC_04628-RA
OG0001448	HEL_001994-RA	JC_13061-RA
OG0001449	HEL_007933-RA	JC_09535-RA
OG0001452	HEL_006522-RA	JC_10059-RA
OG0001452	HEL_006527-RA	JC_10058-RA
OG0001455	HEL_008787-RA	JC_02553-RA, JC_02552-RA
OG0001456	HEL_000905-RA	JC_06950-RA
OG0001456	HEL_000903-RA	JC_06949-RA
OG0001456	HEL_000902-RA	JC_06948-RA
OG0001457	HEL_001601-RA, HEL_001600-RA	JC_00602-RA
OG0001458	HEL_000900-RA, HEL_000901-RA	JC_06947-RA
OG0001459	HEL_000898-RA, HEL_000896-RA	JC_06944-RA
OG0001460	HEL_009642-RA	JC_02010-RA
OG0001461	HEL_013738-RA	JC_16506-RA, JC_16505-RA, JC_16504-RA
OG0001462	HEL_007914-RA, HEL_007913-RA, HEL_007915-RA	JC_09519-RA
OG0001463	HEL_005764-RA	JC_10676-RA
OG0001463	HEL_005765-RA	JC_10674-RA
OG0001464	HEL_009186-RA	JC_03881-RA
OG0001465	HEL_005761-RA	JC_10679-RA
OG0001468	HEL_000364-RA	JC_13959-RA
OG0001469	HEL_005747-RA	JC_10688-RA, JC_10690-RA
OG0001470	HEL_000985-RA	JC_07040-RA
OG0001471	HEL_008765-RA	JC_02583-RA
OG0001472	HEL_007903-RA	JC_09506-RA
OG0001473	HEL_013682-RA	JC_16931-RA
OG0001473	HEL_013681-RA	JC_16929-RA, JC_16930-RA
OG0001474	HEL_000610-RA	JC_15883-RA
OG0001475	HEL_000353-RA	JC_13942-RA
OG0001476	HEL_000611-RA	JC_15884-RA
OG0001477	HEL_000348-RA, HEL_000349-RA, HEL_000350-RA, HEL_000352-RA, HEL_000351-RA	JC_13941-RA
OG0001478	HEL_014444-RA	JC_04664-RA
OG0001479	HEL_002904-RA	JC_01131-RA
OG0001480	HEL_012715-RA, HEL_012716-RA	JC_10826-RA
OG0001481	HEL_005200-RA	JC_12316-RA
OG0001482	HEL_004846-RA	JC_14287-RA, JC_14288-RA
OG0001483	HEL_001571-RA, HEL_001572-RA	JC_00567-RA
OG0001484	HEL_008975-RA, HEL_008973-RA, HEL_008974-RA	JC_11468-RA
OG0001485	HEL_010869-RA	JC_04678-RA
OG0001486	HEL_004269-RA	JC_06468-RA
OG0001486	HEL_004271-RA, HEL_004270-RA	JC_06467-RA
OG0001487	HEL_007877-RA	JC_09481-RA
OG0001488	HEL_011876-RA	JC_14801-RA
OG0001489	HEL_004823-RA	JC_14226-RA, JC_03240-RA
OG0001490	HEL_004677-RA	JC_15721-RA
OG0001492	HEL_007176-RA	JC_02060-RA
OG0001494	HEL_000321-RA	JC_13899-RA, JC_13900-RA
OG0001495	HEL_001834-RA, HEL_001833-RA	JC_13203-RA
OG0001496	HEL_013662-RA	JC_16879-RA, JC_16876-RA, JC_16877-RA
OG0001497	HEL_000326-RA	JC_13903-RA
OG0001498	HEL_001125-RA	JC_07167-RA
OG0001499	HEL_003765-RA	JC_12253-RA
OG0001499	HEL_003767-RA, HEL_003763-RA	JC_12252-RA
OG0001500	HEL_011583-RA	JC_05946-RA, JC_05945-RA
OG0001501	HEL_004755-RA	JC_14182-RA
OG0001502	HEL_010783-RA	JC_07592-RA
OG0001503	HEL_009875-RA	JC_12113-RA
OG0001504	HEL_000684-RA	JC_15823-RA
OG0001504	HEL_000683-RA	JC_15824-RA
OG0001505	HEL_002856-RA	JC_01179-RA
OG0001506	HEL_003751-RA, HEL_003756-RA	JC_12248-RA
OG0001509	HEL_002854-RA	JC_01182-RA
OG0001511	HEL_002851-RA, HEL_002853-RA	JC_01183-RA
OG0001512	HEL_007499-RA	JC_03334-RA
OG0001514	HEL_005562-RA	JC_05308-RA
OG0001515	HEL_002832-RA	JC_01204-RA, JC_01206-RA
OG0001516	HEL_001066-RA, HEL_001069-RA	JC_07152-RA
OG0001517	HEL_003741-RA	JC_12605-RA
OG0001519	HEL_005558-RA	JC_05305-RA
OG0001520	HEL_009957-RA, HEL_009956-RA	JC_11924-RA
OG0001522	HEL_002982-RA	JC_08287-RA
OG0001523	HEL_002812-RA	JC_01217-RA
OG0001524	HEL_003722-RA, HEL_001151-RA, HEL_003723-RA	JC_12565-RA
OG0001526	HEL_014016-RA	JC_05905-RA, JC_05907-RA, JC_05909-RA, JC_05906-RA
OG0001527	HEL_006945-RA	JC_13718-RA
OG0001529	HEL_001817-RA	JC_13222-RA
OG0001531	HEL_004710-RA	JC_15748-RA
OG0001531	HEL_004711-RA	JC_15749-RA
OG0001532	HEL_009972-RA	JC_11949-RA
OG0001533	HEL_010465-RA	JC_02135-RA
OG0001534	HEL_013741-RA, HEL_013740-RA	JC_11225-RA
OG0001535	HEL_002785-RA, HEL_002784-RA, HEL_002782-RA	JC_01246-RA
OG0001536	HEL_006279-RA, HEL_006282-RA, HEL_006278-RA, HEL_006280-RA, HEL_006283-RA	JC_09406-RA
OG0001537	HEL_010467-RA	JC_15505-RA, JC_02137-RA
OG0001538	HEL_000055-RA	JC_04902-RA, JC_04904-RA, JC_04903-RA
OG0001539	HEL_001339-RA, HEL_001336-RA, HEL_001338-RA, HEL_001337-RA, HEL_001335-RA	JC_00319-RA
OG0001540	HEL_004582-RA	JC_02694-RA
OG0001541	HEL_007451-RA	JC_03281-RA
OG0001541	HEL_007452-RA	JC_03282-RA
OG0001542	HEL_009523-RA	JC_14737-RA, JC_14736-RA
OG0001543	HEL_009993-RA	JC_11972-RA
OG0001543	HEL_009994-RA	JC_11971-RA
OG0001544	HEL_007449-RA	JC_03279-RA
OG0001545	HEL_006922-RA	JC_13696-RA, JC_13677-RA, JC_13692-RA
OG0001546	HEL_001077-RA, HEL_001078-RA, HEL_001076-RA	JC_07140-RA
OG0001547	HEL_009519-RA	JC_14744-RA
OG0001548	HEL_006084-RA	JC_08810-RA
OG0001548	HEL_006083-RA	JC_08812-RA
OG0001549	HEL_000033-RA	JC_04880-RA
OG0001550	HEL_014472-RA	JC_02154-RA
OG0001551	HEL_003799-RA, HEL_003800-RA, HEL_003796-RA	JC_12280-RA
OG0001552	HEL_001374-RA	JC_00358-RA
OG0001552	HEL_001371-RA	JC_00359-RA
OG0001553	HEL_010008-RA, HEL_010007-RA	JC_11986-RA
OG0001554	HEL_008204-RA	JC_10348-RA
OG0001555	HEL_003034-RA	JC_08335-RA
OG0001556	HEL_003040-RA	JC_08344-RA
OG0001557	HEL_010741-RA	JC_07539-RA
OG0001558	HEL_012354-RA	JC_13260-RA
OG0001559	HEL_012154-RA	JC_07666-RA, JC_07665-RA
OG0001560	HEL_001110-RA	JC_07111-RA
OG0001562	HEL_012174-RA	JC_07683-RA
OG0001563	HEL_013654-RA	JC_10933-RA
OG0001564	HEL_000258-RA	JC_13756-RA
OG0001564	HEL_000259-RA	JC_13755-RA
OG0001567	HEL_012394-RA	JC_06671-RA
OG0001568	HEL_006859-RA, HEL_006860-RA, HEL_006861-RA	JC_13626-RA
OG0001569	HEL_001039-RA	JC_07093-RA
OG0001570	HEL_012389-RA	JC_06665-RA
OG0001571	HEL_006334-RA, HEL_006335-RA, HEL_006338-RA, HEL_006340-RA, HEL_006339-RA, HEL_006336-RA	JC_09341-RA
OG0001572	HEL_000003-RA	JC_04852-RA
OG0001573	HEL_000226-RA	JC_13788-RA
OG0001577	HEL_001435-RA	JC_00429-RA
OG0001577	HEL_001433-RA	JC_00428-RA, JC_00427-RA
OG0001578	HEL_006781-RA	JC_01050-RA
OG0001579	HEL_001439-RA	JC_00435-RA
OG0001580	HEL_007235-RA	JC_05805-RA
OG0001581	HEL_001326-RA, HEL_001325-RA	JC_00310-RA
OG0001582	HEL_001322-RA	JC_00308-RA
OG0001583	HEL_005948-RA	JC_15382-RA
OG0001584	HEL_001318-RA	JC_00301-RA, JC_00302-RA
OG0001585	HEL_007030-RA	JC_01854-RA
OG0001585	HEL_007032-RA	JC_01853-RA
OG0001586	HEL_005940-RA	JC_15509-RA
OG0001587	HEL_008106-RA, HEL_008105-RA, HEL_008104-RA	JC_10452-RA
OG0001588	HEL_007243-RA	JC_05795-RA, JC_05796-RA
OG0001589	HEL_013581-RA	JC_10972-RA
OG0001591	HEL_008579-RA, HEL_008580-RA	JC_11145-RA
OG0001592	HEL_012379-RA	JC_06652-RA
OG0001593	HEL_006799-RA, HEL_006798-RA	JC_01070-RA
OG0001594	HEL_010979-RA, HEL_010981-RA, HEL_010980-RA	JC_04815-RA
OG0001595	HEL_003898-RA	JC_12576-RA
OG0001596	HEL_000990-RA	JC_07054-RA
OG0001597	HEL_003132-RA	JC_08454-RA, JC_08455-RA
OG0001598	HEL_013435-RA	JC_03174-RA
OG0001598	HEL_013438-RA	JC_03175-RA
OG0001600	HEL_012602-RA	JC_07776-RA
OG0001601	HEL_010651-RA	JC_09039-RA, JC_09040-RA, JC_09041-RA
OG0001602	HEL_007214-RA	JC_05831-RA, JC_05832-RA
OG0001603	HEL_012657-RA	JC_16192-RA, JC_16195-RA, JC_16194-RA, JC_16196-RA
OG0001604	HEL_013355-RA	JC_11772-RA
OG0001605	HEL_014173-RA	JC_11779-RA
OG0001607	HEL_001265-RA	JC_00240-RA
OG0001608	HEL_009768-RA, HEL_009767-RA	JC_07212-RA
OG0001608	HEL_009769-RA	JC_07211-RA
OG0001609	HEL_005883-RA	JC_15432-RA, JC_15433-RA
OG0001610	HEL_003169-RA	JC_08490-RA
OG0001611	HEL_010686-RA	JC_09071-RA
OG0001612	HEL_011513-RA, HEL_011512-RA	JC_03125-RA
OG0001613	HEL_011503-RA	JC_03119-RA
OG0001614	HEL_005870-RA	JC_15419-RA
OG0001615	HEL_012930-RA	JC_13513-RA
OG0001615	HEL_012931-RA	JC_13514-RA
OG0001616	HEL_012050-RA	JC_11030-RA
OG0001617	HEL_010299-RA	JC_09097-RA
OG0001617	HEL_010298-RA	JC_09096-RA
OG0001619	HEL_006209-RA	JC_09252-RA
OG0001620	HEL_008628-RA, HEL_008627-RA, HEL_008629-RA, HEL_008626-RA	JC_11093-RA
OG0001621	HEL_011945-RA	JC_07851-RA
OG0001623	HEL_001204-RA, HEL_001203-RA	JC_00164-RA
OG0001624	HEL_009605-RA	JC_09204-RA
OG0001624	HEL_009606-RA, HEL_009604-RA	JC_09203-RA
OG0001626	HEL_003211-RA	JC_08523-RA
OG0001627	HEL_009601-RA	JC_09200-RA
OG0001628	HEL_006650-RA	JC_00881-RA
OG0001630	HEL_011426-RA, HEL_011427-RA	JC_03050-RA
OG0001631	HEL_006654-RA	JC_00890-RA
OG0001632	HEL_008540-RA	JC_13468-RA
OG0001633	HEL_001184-RA	JC_00149-RA, JC_00146-RA, JC_00132-RA
OG0001635	HEL_011970-RA	JC_07877-RA
OG0001636	HEL_006680-RA	JC_10949-RA
OG0001637	HEL_010353-RA	JC_09147-RA, JC_09146-RA, JC_09144-RA, JC_09143-RA
OG0001638	HEL_008351-RA	JC_11903-RA
OG0001640	HEL_010362-RA	JC_09157-RA, JC_09158-RA
OG0001641	HEL_008357-RA	JC_11649-RA
OG0001641	HEL_008369-RA	JC_11628-RA
OG0001642	HEL_008368-RA	JC_11634-RA
OG0001643	HEL_001144-RA	JC_00093-RA
OG0001644	HEL_007146-RA	JC_01678-RA
OG0001645	HEL_008487-RA	JC_13398-RA
OG0001647	HEL_012805-RA	JC_02961-RA
OG0001647	HEL_012806-RA	JC_02963-RA
OG0001648	HEL_008486-RA, HEL_008484-RA	JC_13393-RA
OG0001650	HEL_003280-RA, HEL_003279-RA	JC_08580-RA
OG0001651	HEL_008375-RA	JC_11622-RA
OG0001651	HEL_008378-RA	JC_11621-RA
OG0001652	HEL_008373-RA	JC_11625-RA, JC_11624-RA
OG0001653	HEL_011637-RA	JC_04245-RA
OG0001656	HEL_004827-RA	JC_14231-RA
OG0001656	HEL_004829-RA	JC_14233-RA
OG0001658	HEL_004857-RA, HEL_004858-RA, HEL_004856-RA	JC_14276-RA
OG0001659	HEL_009811-RA, HEL_009812-RA	JC_11999-RA
OG0001660	HEL_009987-RA, HEL_009988-RA, HEL_009989-RA, HEL_009991-RA, HEL_009990-RA	JC_11968-RA
OG0001662	HEL_003366-RA	JC_14583-RA, JC_10787-RA, JC_11918-RA, JC_15183-RA, JC_11244-RA, JC_08349-RA, JC_02956-RA, JC_15326-RA, JC_12021-RA, JC_05960-RA
OG0001670	HEL_010056-RA	JC_16375-RA
OG0001671	HEL_009284-RA	JC_14989-RA, JC_14990-RA, JC_14992-RA
OG0001672	HEL_013180-RA, HEL_013178-RA	JC_06135-RA
OG0001673	HEL_004888-RA	JC_14256-RA
OG0001674	HEL_000541-RA	JC_15959-RA
OG0001675	HEL_008968-RA	JC_11472-RA, JC_11471-RA
OG0001676	HEL_011852-RA	JC_14829-RA
OG0001678	HEL_001696-RA, HEL_001695-RA	JC_00695-RA, JC_00694-RA
OG0001679	HEL_006972-RA	JC_01605-RA
OG0001679	HEL_006973-RA	JC_01606-RA
OG0001680	HEL_012506-RA	JC_10461-RA
OG0001681	HEL_004168-RA	JC_17049-RA
OG0001682	HEL_007333-RA	JC_05686-RA
OG0001683	HEL_011014-RA	JC_06333-RA
OG0001684	HEL_011013-RA	JC_06335-RA
OG0001685	HEL_002184-RA	JC_15228-RA
OG0001686	HEL_011848-RA	JC_14834-RA
OG0001687	HEL_011015-RA	JC_06331-RA
OG0001688	HEL_007330-RA	JC_05687-RA
OG0001689	HEL_013050-RA	JC_16705-RA, JC_16706-RA
OG0001690	HEL_005081-RA, HEL_005075-RA	JC_12816-RA, JC_12815-RA, JC_12814-RA
OG0001691	HEL_012681-RA	JC_16179-RA
OG0001691	HEL_012680-RA	JC_16178-RA
OG0001692	HEL_012687-RA	JC_16187-RA, JC_16184-RA
OG0001693	HEL_002149-RA	JC_07699-RA
OG0001695	HEL_003478-RA, HEL_003476-RA	JC_07342-RA
OG0001696	HEL_014059-RA	JC_10265-RA, JC_10264-RA
OG0001697	HEL_009473-RA	JC_03529-RA
OG0001698	HEL_004014-RA	JC_02411-RA
OG0001699	HEL_004012-RA, HEL_004013-RA	JC_02409-RA
OG0001702	HEL_012678-RA	JC_16221-RA
OG0001703	HEL_012097-RA	JC_01962-RA
OG0001704	HEL_013045-RA	JC_16690-RA
OG0001705	HEL_003388-RA	JC_14608-RA
OG0001707	HEL_013046-RA	JC_16691-RA
OG0001709	HEL_012527-RA, HEL_012530-RA, HEL_012529-RA	JC_10485-RA
OG0001710	HEL_009221-RA	JC_15047-RA
OG0001711	HEL_005384-RA	JC_15559-RA
OG0001713	HEL_002199-RA	JC_15209-RA
OG0001714	HEL_005386-RA	JC_15555-RA
OG0001715	HEL_007618-RA, HEL_007619-RA, HEL_007625-RA, HEL_007621-RA	JC_04448-RA
OG0001716	HEL_007615-RA, HEL_007624-RA	JC_04451-RA
OG0001716	HEL_007616-RA	JC_04450-RA
OG0001717	HEL_005314-RA	JC_05554-RA
OG0001718	HEL_005087-RA	JC_12805-RA
OG0001718	HEL_005086-RA	JC_12806-RA
OG0001719	HEL_013049-RA	JC_16704-RA
OG0001720	HEL_014453-RA	JC_10279-RA
OG0001721	HEL_005392-RA	JC_15546-RA
OG0001722	HEL_005307-RA	JC_05551-RA
OG0001723	HEL_005292-RA	JC_05538-RA
OG0001723	HEL_005295-RA	JC_05541-RA
OG0001724	HEL_010490-RA, HEL_010492-RA, HEL_010491-RA	JC_03658-RA
OG0001725	HEL_003356-RA	JC_14569-RA
OG0001726	HEL_005402-RA	JC_15526-RA
OG0001727	HEL_012638-RA	JC_16152-RA
OG0001728	HEL_005276-RA	JC_05530-RA
OG0001729	HEL_005405-RA	JC_15521-RA
OG0001729	HEL_005404-RA	JC_15522-RA
OG0001730	HEL_003354-RA	JC_14564-RA, JC_14565-RA
OG0001731	HEL_005100-RA	JC_12790-RA
OG0001732	HEL_002215-RA	JC_15182-RA
OG0001734	HEL_005406-RA	JC_15519-RA
OG0001734	HEL_005407-RA	JC_15518-RA
OG0001735	HEL_005255-RA	JC_05528-RA, JC_05529-RA
OG0001736	HEL_010250-RA, HEL_010247-RA, HEL_010248-RA, HEL_010246-RA	JC_03567-RA
OG0001737	HEL_004957-RA	JC_14414-RA
OG0001738	HEL_003977-RA	JC_02357-RA
OG0001739	HEL_005102-RA	JC_12785-RA
OG0001740	HEL_012407-RA	JC_01581-RA
OG0001742	HEL_012569-RA	JC_10521-RA
OG0001743	HEL_012570-RA	JC_10522-RA
OG0001744	HEL_010197-RA	JC_09771-RA, JC_09772-RA, JC_09773-RA
OG0001745	HEL_005411-RA	JC_15516-RA
OG0001746	HEL_011656-RA	JC_04269-RA
OG0001747	HEL_011658-RA	JC_04272-RA
OG0001748	HEL_004064-RA	JC_17106-RA
OG0001750	HEL_013887-RA, HEL_013889-RA	JC_16166-RA, JC_16165-RA
OG0001751	HEL_013062-RA	JC_16739-RA
OG0001752	HEL_013202-RA	JC_06089-RA
OG0001753	HEL_002776-RA	JC_01255-RA
OG0001754	HEL_008995-RA	JC_11442-RA, JC_11444-RA, JC_11443-RA, JC_11441-RA
OG0001755	HEL_002069-RA	JC_12984-RA, JC_12982-RA, JC_12983-RA
OG0001756	HEL_013905-RA	JC_16247-RA
OG0001757	HEL_007782-RA	JC_08688-RA
OG0001758	HEL_013195-RA, HEL_013194-RA	JC_06099-RA
OG0001758	HEL_013192-RA	JC_06100-RA
OG0001759	HEL_014342-RA	JC_03611-RA
OG0001760	HEL_013512-RA, HEL_013511-RA, HEL_013510-RA, HEL_013513-RA	JC_14884-RA
OG0001761	HEL_013188-RA	JC_06110-RA, JC_06111-RA
OG0001762	HEL_005667-RA	JC_10560-RA
OG0001763	HEL_010200-RA	JC_09776-RA
OG0001764	HEL_003324-RA	JC_14525-RA
OG0001764	HEL_003325-RA	JC_14524-RA
OG0001765	HEL_000473-RA	JC_14113-RA
OG0001766	HEL_002086-RA	JC_12970-RA, JC_12969-RA
OG0001767	HEL_000787-RA	JC_06817-RA
OG0001768	HEL_009023-RA, HEL_009024-RA	JC_00171-RA
OG0001768	HEL_009022-RA	JC_11416-RA
OG0001769	HEL_008216-RA, HEL_008215-RA	JC_10331-RA
OG0001770	HEL_008888-RA, HEL_008889-RA	JC_11410-RA
OG0001771	HEL_007131-RA, HEL_007130-RA	JC_02029-RA
OG0001772	HEL_011738-RA	JC_16763-RA
OG0001772	HEL_011737-RA	JC_16765-RA
OG0001773	HEL_013230-RA, HEL_013231-RA	JC_02304-RA
OG0001774	HEL_005680-RA	JC_10573-RA
OG0001776	HEL_012185-RA	JC_07690-RA
OG0001777	HEL_007762-RA	JC_08702-RA
OG0001778	HEL_010148-RA	JC_16277-RA
OG0001779	HEL_001784-RA, HEL_001782-RA, HEL_001781-RA, HEL_001785-RA	JC_00802-RA
OG0001780	HEL_007760-RA	JC_08706-RA
OG0001781	HEL_011269-RA	JC_16017-RA
OG0001782	HEL_003541-RA	JC_07414-RA
OG0001783	HEL_007801-RA, HEL_007800-RA	JC_08710-RA
OG0001784	HEL_011723-RA	JC_16641-RA
OG0001785	HEL_013167-RA	JC_06120-RA
OG0001786	HEL_011272-RA	JC_16018-RA
OG0001787	HEL_005427-RA	JC_15593-RA
OG0001788	HEL_000798-RA	JC_06829-RA
OG0001789	HEL_010141-RA	JC_16287-RA, JC_16288-RA
OG0001791	HEL_003593-RA, HEL_003592-RA	JC_12403-RA
OG0001793	HEL_008867-RA	JC_11387-RA
OG0001794	HEL_005045-RA	JC_14494-RA
OG0001795	HEL_011281-RA, HEL_011280-RA	JC_16032-RA
OG0001796	HEL_013159-RA	JC_06147-RA
OG0001797	HEL_008864-RA	JC_11385-RA
OG0001798	HEL_006400-RA	JC_10197-RA, JC_10198-RA
OG0001799	HEL_010572-RA	JC_03735-RA
OG0001800	HEL_006401-RA	JC_10196-RA
OG0001801	HEL_011234-RA	JC_11378-RA
OG0001801	HEL_011235-RA	JC_11379-RA
OG0001802	HEL_007791-RA	JC_08726-RA
OG0001803	HEL_001801-RA	JC_00814-RA
OG0001804	HEL_011698-RA, HEL_011699-RA	JC_16772-RA
OG0001805	HEL_010215-RA	JC_09790-RA
OG0001806	HEL_005709-RA	JC_10605-RA
OG0001807	HEL_000506-RA, HEL_000507-RA	JC_14154-RA, JC_14153-RA
OG0001808	HEL_003653-RA, HEL_003652-RA, HEL_003657-RA	JC_12373-RA
OG0001810	HEL_011777-RA	JC_16595-RA
OG0001811	HEL_004937-RA	JC_14435-RA
OG0001812	HEL_000437-RA	JC_14038-RA
OG0001814	HEL_007563-RA	JC_04532-RA
OG0001814	HEL_007562-RA	JC_04533-RA
OG0001815	HEL_006412-RA	JC_10181-RA
OG0001816	HEL_008051-RA, HEL_008052-RA	JC_09690-RA
OG0001818	HEL_009044-RA	JC_03747-RA
OG0001819	HEL_013850-RA, HEL_013849-RA, HEL_013846-RA	JC_12494-RA
OG0001820	HEL_002236-RA, HEL_002235-RA, HEL_002233-RA, HEL_002237-RA	JC_09682-RA
OG0001821	HEL_010106-RA	JC_16389-RA
OG0001822	HEL_005608-RA	JC_05357-RA
OG0001823	HEL_011345-RA	JC_16069-RA, JC_16068-RA
OG0001824	HEL_005818-RA	JC_10732-RA, JC_10733-RA
OG0001825	HEL_011221-RA, HEL_011219-RA	JC_11369-RA
OG0001826	HEL_002544-RA	JC_01495-RA
OG0001826	HEL_002545-RA	JC_01493-RA
OG0001827	HEL_001643-RA	JC_00644-RA, JC_00645-RA
OG0001829	HEL_009062-RA	JC_03768-RA
OG0001830	HEL_001688-RA	JC_00689-RA
OG0001831	HEL_002305-RA	JC_08018-RA, JC_08017-RA
OG0001833	HEL_010091-RA	JC_16347-RA, JC_16348-RA, JC_16346-RA, JC_16345-RA, JC_16344-RA
OG0001834	HEL_004648-RA	JC_15694-RA
OG0001835	HEL_001683-RA	JC_00682-RA
OG0001836	HEL_011829-RA, HEL_011830-RA, HEL_011828-RA	JC_14860-RA
OG0001838	HEL_000522-RA	JC_15978-RA
OG0001839	HEL_002555-RA	JC_01481-RA
OG0001840	HEL_000516-RA	JC_15980-RA
OG0001840	HEL_000515-RA	JC_15983-RA
OG0001841	HEL_009088-RA, HEL_009086-RA, HEL_009087-RA	JC_03789-RA
OG0001842	HEL_000420-RA, HEL_000421-RA, HEL_000419-RA	JC_14015-RA
OG0001843	HEL_005003-RA	JC_14370-RA
OG0001844	HEL_007064-RA	JC_01810-RA
OG0001845	HEL_014027-RA	JC_02489-RA
OG0001847	HEL_000411-RA, HEL_000413-RA, HEL_000412-RA, HEL_000410-RA	JC_14011-RA
OG0001848	HEL_011342-RA	JC_16073-RA
OG0001849	HEL_014025-RA	JC_02491-RA
OG0001850	HEL_010087-RA	JC_16325-RA, JC_16324-RA
OG0001851	HEL_014222-RA	JC_12443-RA, JC_12439-RA
OG0001852	HEL_009274-RA, HEL_009273-RA	JC_15001-RA
OG0001853	HEL_014020-RA, HEL_014024-RA, HEL_014019-RA, HEL_014022-RA	JC_02493-RA
OG0001855	HEL_010819-RA, HEL_010822-RA, HEL_010821-RA, HEL_010820-RA	JC_05438-RA
OG0001857	HEL_002578-RA	JC_01456-RA
OG0001858	HEL_009757-RA	JC_06067-RA
OG0001860	HEL_013238-RA	JC_02277-RA
OG0001863	HEL_007714-RA	JC_04558-RA
OG0001864	HEL_005024-RA	JC_14352-RA
OG0001865	HEL_009425-RA	JC_03482-RA
OG0001867	HEL_011173-RA	JC_11335-RA
OG0001868	HEL_000405-RA	JC_14000-RA
OG0001870	HEL_009107-RA, HEL_009106-RA	JC_03808-RA, JC_03807-RA
OG0001871	HEL_004935-RA	JC_14348-RA
OG0001872	HEL_004934-RA	JC_14347-RA
OG0001873	HEL_002599-RA, HEL_002597-RA, HEL_002598-RA, HEL_002601-RA	JC_01429-RA
OG0001874	HEL_003582-RA	JC_07464-RA
OG0001874	HEL_003581-RA	JC_07465-RA
OG0001875	HEL_010964-RA	JC_04798-RA
OG0001876	HEL_001652-RA	JC_00650-RA
OG0001877	HEL_013930-RA	JC_16453-RA, JC_16452-RA
OG0001878	HEL_002605-RA	JC_01425-RA
OG0001879	HEL_004930-RA	JC_14341-RA
OG0001882	HEL_009415-RA	JC_03466-RA
OG0001883	HEL_004636-RA	JC_15674-RA
OG0001884	HEL_008014-RA	JC_09569-RA
OG0001885	HEL_013770-RA	JC_06038-RA
OG0001886	HEL_013774-RA	JC_06036-RA
OG0001889	HEL_012079-RA	JC_01971-RA
OG0001890	HEL_009409-RA	JC_03460-RA
OG0001891	HEL_000554-RA	JC_15944-RA, JC_15945-RA
OG0001892	HEL_013532-RA	JC_12216-RA
OG0001893	HEL_013533-RA	JC_12213-RA
OG0001894	HEL_009154-RA	JC_03846-RA
OG0001895	HEL_008099-RA	JC_09621-RA
OG0001895	HEL_008100-RA	JC_09620-RA
OG0001896	HEL_013701-RA	JC_16962-RA
OG0001897	HEL_008828-RA	JC_02520-RA
OG0001898	HEL_002980-RA	JC_08285-RA
OG0001899	HEL_006184-RA	JC_08925-RA
OG0001900	HEL_013787-RA	JC_06025-RA
OG0001902	HEL_002397-RA	JC_08146-RA
OG0001902	HEL_002396-RA	JC_08145-RA
OG0001903	HEL_005783-RA	JC_10654-RA, JC_10655-RA, JC_10653-RA
OG0001904	HEL_013788-RA	JC_06023-RA
OG0001905	HEL_002639-RA	JC_01366-RA
OG0001906	HEL_009588-RA	JC_09191-RA, JC_09178-RA, JC_09190-RA
OG0001907	HEL_005142-RA	JC_12741-RA
OG0001908	HEL_010721-RA	JC_07518-RA
OG0001909	HEL_009307-RA	JC_14969-RA
OG0001910	HEL_004620-RA	JC_15657-RA
OG0001911	HEL_008809-RA	JC_02532-RA
OG0001912	HEL_013219-RA	JC_01979-RA
OG0001913	HEL_005144-RA	JC_12738-RA
OG0001913	HEL_005143-RA	JC_12739-RA
OG0001914	HEL_005146-RA, HEL_005150-RA, HEL_005152-RA, HEL_005149-RA	JC_12736-RA
OG0001915	HEL_013017-RA	JC_16433-RA
OG0001916	HEL_002405-RA	JC_08155-RA
OG0001917	HEL_013314-RA	JC_04633-RA
OG0001918	HEL_000919-RA	JC_06968-RA
OG0001919	HEL_005779-RA	JC_10657-RA
OG0001920	HEL_004627-RA	JC_15645-RA, JC_15644-RA
OG0001921	HEL_000914-RA	JC_06961-RA
OG0001922	HEL_009327-RA, HEL_009326-RA	JC_14944-RA
OG0001923	HEL_009652-RA	JC_01991-RA
OG0001926	HEL_006608-RA	JC_09928-RA
OG0001927	HEL_010380-RA, HEL_010381-RA	JC_16422-RA
OG0001928	HEL_006176-RA	JC_08914-RA
OG0001929	HEL_009647-RA	JC_02000-RA
OG0001931	HEL_013925-RA	JC_16527-RA
OG0001932	HEL_009377-RA	JC_03423-RA
OG0001933	HEL_013989-RA	JC_05422-RA, JC_05425-RA
OG0001934	HEL_007929-RA	JC_09532-RA
OG0001936	HEL_004886-RA	JC_14259-RA
OG0001937	HEL_000568-RA	JC_15922-RA
OG0001937	HEL_000567-RA	JC_15921-RA
OG0001938	HEL_002656-RA	JC_01350-RA
OG0001939	HEL_011532-RA	JC_06007-RA
OG0001940	HEL_012967-RA	JC_16526-RA
OG0001942	HEL_009337-RA	JC_14928-RA
OG0001943	HEL_012135-RA	JC_07647-RA
OG0001944	HEL_007917-RA	JC_09521-RA
OG0001945	HEL_004138-RA	JC_17079-RA
OG0001946	HEL_002666-RA	JC_01344-RA
OG0001947	HEL_002672-RA	JC_01342-RA
OG0001947	HEL_002670-RA	JC_01343-RA
OG0001948	HEL_007910-RA	JC_09515-RA
