Orthogroup	Maniola_hyperantus	Heliconius_melpomene_melpomene
OG0000672	XP_034829837.1, XP_034829836.1	HMEL003209g1.t1
OG0000673	XP_034833687.1	HMEL014393g1.t1
OG0000673	XP_034833472.1	HMEL009834g1.t1
OG0000674	XP_034836584.1, XP_034836318.1	HMEL032188g1.t1
OG0000675	XP_034834950.1	HMEL036633g1.t1
OG0000676	XP_034839216.1	HMEL008456g1.t1, HMEL035653g1.t1
OG0000677	XP_034829183.1	HMEL003257g1.t1
OG0000678	XP_034838348.1	HMEL007798g1.t1
OG0000679	XP_034834378.1	HMEL012244g1.t1
OG0000680	XP_034838731.1	HMEL037437g1.t1
OG0000681	XP_034830610.1	HMEL032819g1.t1, HMEL021719g1.t1
OG0000682	XP_034832534.1	HMEL033500g1.t1
OG0000682	XP_034832535.1	HMEL021441g1.t1
OG0000683	XP_034829136.1	HMEL006746g1.t1, HMEL034271g1.t1, HMEL034272g1.t1, HMEL034273g1.t1
OG0000684	XP_034830820.1	HMEL032767g1.t1, HMEL032768g1.t1, HMEL032769g1.t1, HMEL004960g1.t1
OG0000685	XP_034833165.1, XP_034833359.1, XP_034833358.1	HMEL017887g1.t1
OG0000686	XP_034827822.1, XP_034827823.1	HMEL006871g1.t1
OG0000687	XP_034832910.1	HMEL012302g1.t1
OG0000688	XP_034831821.1	HMEL011968g1.t1
OG0000689	XP_034827126.1	HMEL006035g1.t1, HMEL006036g1.t1, HMEL034773g1.t1
OG0000690	XP_034828203.1	HMEL033034g1.t1
OG0000691	XP_034828321.1	HMEL033032g1.t1
OG0000692	XP_034835273.1	HMEL015913g1.t1
OG0000692	XP_034835491.1	HMEL016293g1.t1
OG0000693	XP_034833578.1	HMEL036341g1.t1
OG0000693	XP_034833577.1	HMEL036340g1.t1
OG0000693	XP_034833579.1	HMEL036342g1.t1
OG0000694	XP_034825021.1	HMEL012031g1.t1
OG0000694	XP_034831576.1	HMEL037627g1.t1
OG0000695	XP_034827093.1	HMEL022516-RA, HMEL022599-RA, HMEL034728g1.t1, HMEL018115-RA
OG0000696	XP_034828157.1, XP_034828159.1, XP_034828158.1, XP_034828161.1, XP_034827838.1, XP_034828163.1, XP_034828162.1	HMEL033311g1.t1, HMEL033312g1.t1
OG0000697	XP_034828168.1	HMEL002119g1.t1
OG0000698	XP_034827591.1	HMEL033307g1.t1
OG0000699	XP_034833560.1	HMEL015935g1.t1
OG0000701	XP_034825962.1, XP_034825965.1	HMEL018102g1.t1, HMEL002910-RA, HMEL018101g1.t1
OG0000702	XP_034827228.1, XP_034827227.1, XP_034827226.1	HMEL002663g1.t1
OG0000703	XP_034828521.1	HMEL035946g1.t1
OG0000704	XP_034840110.1, XP_034840109.1	HMEL035233g1.t1
OG0000704	XP_034836168.1	HMEL014452g1.t1
OG0000706	XP_034824403.1	HMEL008552g1.t1
OG0000707	XP_034827112.1	HMEL034711g1.t1
OG0000708	XP_034839527.1	HMEL011016g1.t1
OG0000708	XP_034839525.1	HMEL013533g1.t1
OG0000711	XP_034824131.1	HMEL004178g1.t1, HMEL013700g1.t1
OG0000712	XP_034824265.1	HMEL009929g1.t1, HMEL032081g1.t1
OG0000713	XP_034840835.1	HMEL030995g1.t1, HMEL004446g1.t1
OG0000714	XP_034827698.1	HMEL009131g1.t1
OG0000715	XP_034828807.1	HMEL036162g1.t1
OG0000715	XP_034828497.1	HMEL036161g1.t1
OG0000728	XP_034827832.1, XP_034827831.1, XP_034827434.1, XP_034827830.1	HMEL009418g1.t1
OG0000729	XP_034832360.1	HMEL012950g1.t1
OG0000730	XP_034840342.1, XP_034833078.1	HMEL033436g1.t1, HMEL030549g1.t1
OG0000731	XP_034825226.1	HMEL010143g1.t1, HMEL017180g1.t1
OG0000732	XP_034826827.1	HMEL034861g1.t1
OG0000732	XP_034826760.1	HMEL034753g1.t1
OG0000733	XP_034826413.1	HMEL005760g1.t1
OG0000735	XP_034836558.1	HMEL002196g1.t1
OG0000736	XP_034839345.1	HMEL013424g1.t1
OG0000736	XP_034827266.1	HMEL002188g1.t1
OG0000740	XP_034838270.1	HMEL013470g1.t1
OG0000741	XP_034830464.1	HMEL032897g1.t1
OG0000742	XP_034827961.1	HMEL006487g1.t1
OG0000743	XP_034835923.1	HMEL008859g1.t1
OG0000743	XP_034828439.1	HMEL036103g1.t1
OG0000744	XP_034833505.1	HMEL009710g1.t1
OG0000745	XP_034826449.1, XP_034826340.1, XP_034826450.1	HMEL014509g1.t1
OG0000746	XP_034826323.1	HMEL014505g1.t1
OG0000747	XP_034828798.1	HMEL036194g1.t1, HMEL036196g1.t1
OG0000748	XP_034827278.1	HMEL034795g1.t1, HMEL012209g1.t1
OG0000748	XP_034826954.1	HMEL014697g1.t1
OG0000749	XP_034823938.1	HMEL004187g1.t1
OG0000750	XP_034828961.1	HMEL004132g1.t1
OG0000751	XP_034834069.1, XP_034824847.1	HMEL016481-RA
OG0000752	XP_034837808.1	HMEL014826g1.t1
OG0000753	XP_034831535.1	HMEL037480g1.t1
OG0000754	XP_034824640.1	HMEL015471g1.t1
OG0000755	XP_034827764.1	HMEL014219g1.t1
OG0000756	XP_034834939.1	HMEL016024g1.t1
OG0000757	XP_034838985.1, XP_034838785.1	HMEL009561g1.t1
OG0000758	XP_034835391.1	HMEL002952g1.t1, HMEL032371g1.t1
OG0000760	XP_034840710.1, XP_034840709.1	HMEL017041g1.t1
OG0000761	XP_034835692.1	HMEL032444g1.t1
OG0000761	XP_034835693.1	HMEL005594-RA
OG0000764	XP_034835520.1	HMEL020810g1.t1
OG0000764	XP_034835698.1, XP_034835699.1	HMEL003114-RA
OG0000765	XP_034841537.1	HMEL031257g1.t1
OG0000766	XP_034826477.1	HMEL016544g1.t1
OG0000768	XP_034836078.1, XP_034835712.1	HMEL030467g1.t1, HMEL004418g1.t1
OG0000769	XP_034836080.1	HMEL004422g1.t1
OG0000771	XP_034835042.1	HMEL017169g1.t1, HMEL014584g1.t1
OG0000772	XP_034835429.1	HMEL004064g1.t1
OG0000773	XP_034832106.1	HMEL002717g1.t1
OG0000773	XP_034832105.1	HMEL002715g1.t1
OG0000774	XP_034836605.1	HMEL010717g1.t1
OG0000775	XP_034833604.1	HMEL036419g1.t1
OG0000776	XP_034835719.1	HMEL009268g1.t1
OG0000776	XP_034835720.1	HMEL009267g1.t1, HMEL022593g1.t1
OG0000777	XP_034836231.1, XP_034836238.1, XP_034836245.1, XP_034836244.1	HMEL004079g1.t1
OG0000779	XP_034829835.1, XP_034829834.1	HMEL003217g1.t1
OG0000780	XP_034840869.1	HMEL030183g1.t1, HMEL030182g1.t1
OG0000781	XP_034840856.1	HMEL010335g1.t1
OG0000782	XP_034829914.1, XP_034829913.1	HMEL036966g1.t1
OG0000784	XP_034837953.1	HMEL006474g1.t1
OG0000784	XP_034831792.1	HMEL007434g1.t1
OG0000785	XP_034833160.1	HMEL036461g1.t1
OG0000787	XP_034827790.1, XP_034827791.1, XP_034827792.1	HMEL013952g1.t1
OG0000788	XP_034827476.1	HMEL014157g1.t1
OG0000789	XP_034838296.1	HMEL013440g1.t1
OG0000790	XP_034833778.1	HMEL037875g1.t1
OG0000791	XP_034835068.1	HMEL032504g1.t1
OG0000792	XP_034828884.1	HMEL021754g1.t1
OG0000793	XP_034827265.1	HMEL003263g1.t1
OG0000794	XP_034829073.1	HMEL034332g1.t1, HMEL034338g1.t1
OG0000795	XP_034832134.1, XP_034832135.1	HMEL011930-RA
OG0000796	XP_034836441.1	HMEL020265g1.t1, HMEL017397g1.t1
OG0000797	XP_034830965.1	HMEL032800g1.t1
OG0000799	XP_034824864.1	HMEL010102g1.t1
OG0000800	XP_034828302.1	HMEL014885g1.t1
OG0000800	XP_034836613.1	HMEL020068g1.t1
OG0000801	XP_034836609.1	HMEL032123g1.t1, HMEL032133g1.t1
OG0000802	XP_034835306.1	HMEL008148g1.t1, HMEL032555g1.t1, HMEL032553g1.t1
OG0000803	XP_034835981.1	HMEL013593g1.t1
OG0000803	XP_034835976.1	HMEL003968g1.t1
OG0000804	XP_034830858.1, XP_034830857.1, XP_034830856.1	HMEL022129g1.t1
OG0000805	XP_034835184.1	HMEL032574g1.t1
OG0000806	XP_034826527.1, XP_034825887.1, XP_034825888.1, XP_034825886.1, XP_034825884.1	HMEL031338g1.t1, HMEL007517g1.t1
OG0000807	XP_034833926.1, XP_034834244.1, XP_034833908.1	HMEL037948g1.t1
OG0000808	XP_034838453.1, XP_034838454.1, XP_034838452.1	HMEL015877g1.t1
OG0000809	XP_034833105.1	HMEL014305g1.t1
OG0000811	XP_034832226.1	HMEL012683g1.t1
OG0000812	XP_034836692.1	HMEL034524g1.t1, HMEL034731g1.t1, HMEL002968g1.t1
OG0000813	XP_034827169.1, XP_034827075.1	HMEL014653g1.t1
OG0000814	XP_034831013.1, XP_034830821.1, XP_034830822.1	HMEL010409g1.t1
OG0000817	XP_034840548.1	HMEL004213g1.t1
OG0000819	XP_034833938.1	HMEL005099g1.t1
OG0000821	XP_034826545.1	HMEL030665g1.t1
OG0000822	XP_034825104.1, XP_034825105.1	HMEL016683g1.t1
OG0000823	XP_034823931.1	HMEL015156g1.t1, HMEL015155g1.t1, HMEL015154g1.t1
OG0000824	XP_034839467.1	HMEL035472g1.t1
OG0000824	XP_034838393.1	HMEL009086g1.t1
OG0000825	XP_034834535.1, XP_034834533.1, XP_034834532.1, XP_034834536.1, XP_034834530.1, XP_034834531.1, XP_034834529.1	HMEL036796g1.t1
OG0000826	XP_034832878.1, XP_034832877.1	HMEL012313g1.t1
OG0000827	XP_034826253.1, XP_034826254.1, XP_034826255.1	HMEL010778g1.t1
OG0000829	XP_034832162.1	HMEL011976g1.t1, HMEL031655g1.t1
OG0000830	XP_034826497.1	HMEL007595g1.t1, HMEL030613g1.t1, HMEL007594g1.t1
OG0000831	XP_034840558.1	HMEL007728g1.t1
OG0000831	XP_034826595.1	HMEL006078g1.t1
OG0000832	XP_034836197.1	HMEL006100g1.t1, HMEL006102g1.t1
OG0000833	XP_034841112.1, XP_034841111.1	HMEL031108g1.t1
OG0000834	XP_034841289.1, XP_034841290.1	HMEL031060g1.t1
OG0000835	XP_034831227.1	HMEL006301g1.t1, HMEL021443g1.t1
OG0000836	XP_034833967.1	HMEL008191g1.t1
OG0000836	XP_034833974.1	HMEL008190g1.t1
OG0000838	XP_034830349.1	HMEL003723g1.t1, HMEL032726g1.t1
OG0000840	XP_034833534.1	HMEL015933g1.t1
OG0000841	XP_034831518.1, XP_034831519.1	HMEL006650g1.t1
OG0000842	XP_034830079.1	HMEL037092g1.t1
OG0000844	XP_034831480.1	HMEL013943g1.t1, HMEL037739g1.t1
OG0000845	XP_034828071.1	HMEL014028g1.t1
OG0000846	XP_034832862.1, XP_034832860.1, XP_034832861.1	HMEL014312g1.t1
OG0000847	XP_034824139.1	HMEL015230g1.t1
OG0000848	XP_034829994.1	HMEL017753g1.t1, HMEL037151g1.t1
OG0000849	XP_034833095.1	HMEL033126g1.t1
OG0000851	XP_034837895.1	HMEL013445g1.t1
OG0000853	XP_034828819.1, XP_034840438.1	HMEL031132g1.t1, HMEL036660g1.t1, HMEL034300g1.t1, HMEL032221g1.t1, HMEL034228g1.t1, HMEL034469g1.t1, HMEL036257g1.t1, HMEL036696g1.t1, HMEL034227g1.t1, HMEL036697g1.t1, HMEL030011g1.t1, HMEL002859g1.t1
OG0000859	XP_034833609.1	HMEL030779g1.t1, HMEL036766g1.t1
OG0000864	XP_034824923.1	HMEL031801g1.t1
OG0000865	XP_034837091.1	HMEL016974g1.t1
OG0000866	XP_034833717.1	HMEL011773g1.t1, HMEL037815g1.t1, HMEL037814g1.t1, HMEL003152g1.t1
OG0000867	XP_034832621.1	HMEL011145g1.t1, HMEL011147g1.t1
OG0000868	XP_034831011.1	HMEL032773g1.t1
OG0000870	XP_034828392.1	HMEL010391g1.t1
OG0000871	XP_034828106.1, XP_034828107.1	HMEL010874-RA
OG0000872	XP_034836579.1, XP_034836580.1	HMEL004857g1.t1
OG0000874	XP_034831295.1	HMEL013840g1.t1, HMEL013844g1.t1
OG0000875	XP_034825529.1, XP_034825374.1, XP_034825531.1, XP_034825532.1	HMEL010457g1.t1
OG0000877	XP_034832255.1, XP_034831810.1, XP_034832266.1, XP_034832276.1	HMEL030709g1.t1, HMEL032195g1.t1, HMEL030719g1.t1
OG0000878	XP_034839164.1	HMEL008470g1.t1
OG0000878	XP_034839166.1	HMEL035656g1.t1
OG0000883	XP_034841080.1	HMEL031013g1.t1
OG0000884	XP_034838978.1	HMEL003412g1.t1
OG0000885	XP_034837491.1	HMEL009029g1.t1
OG0000887	XP_034835566.1	HMEL031549g1.t1, HMEL031548g1.t1
OG0000888	XP_034837834.1	HMEL010147g1.t1
OG0000889	XP_034826013.1	HMEL016555g1.t1
OG0000891	XP_034831388.1	HMEL020745g1.t1
OG0000892	XP_034830237.1, XP_034830232.1	HMEL030776g1.t1, HMEL008526g1.t1
OG0000893	XP_034838129.1	HMEL008104g1.t1
OG0000894	XP_034836705.1, XP_034836704.1	HMEL007355g1.t1
OG0000895	XP_034830249.1	HMEL008406g1.t1
OG0000895	XP_034830251.1	HMEL008407g1.t1
OG0000896	XP_034836464.1, XP_034836466.1, XP_034836465.1, XP_034836467.1	HMEL010466g1.t1
OG0000897	XP_034833691.1	HMEL005290g1.t1
OG0000898	XP_034834104.1, XP_034834251.1	HMEL007995g1.t1, HMEL037993g1.t1
OG0000900	XP_034840878.1	HMEL008650g1.t1, HMEL031260g1.t1
OG0000901	XP_034836118.1	HMEL004423g1.t1, HMEL009253g1.t1
OG0000902	XP_034825841.1	HMEL031382g1.t1
OG0000903	XP_034834209.1	HMEL037953g1.t1, HMEL014964g1.t1
OG0000904	XP_034833796.1	HMEL004726g1.t1, HMEL037886g1.t1, HMEL037885g1.t1
OG0000905	XP_034838198.1	HMEL010959g1.t1
OG0000906	XP_034825114.1	HMEL017258g1.t1
OG0000907	XP_034826797.1	HMEL020171g1.t1, HMEL034850g1.t1, HMEL022087g1.t1
OG0000908	XP_034826302.1	HMEL013191g1.t1
OG0000909	XP_034834084.1	HMEL037980g1.t1
OG0000910	XP_034836512.1, XP_034836511.1	HMEL002264g1.t1
OG0000911	XP_034840499.1, XP_034840500.1, XP_034840498.1	HMEL035027g1.t1
OG0000912	XP_034833480.1	HMEL022314g1.t1
OG0000912	XP_034833487.1	HMEL008391g1.t1
OG0000913	XP_034838616.1	HMEL011181g1.t1
OG0000916	XP_034838888.1	HMEL017620g1.t1
OG0000917	XP_034839933.1, XP_034839891.1, XP_034839161.1	HMEL035866g1.t1, HMEL031525g1.t1, HMEL037339g1.t1, HMEL034078g1.t1, HMEL034614g1.t1, HMEL035306g1.t1, HMEL032407g1.t1, HMEL037340g1.t1
OG0000918	XP_034830585.1	HMEL014118g1.t1
OG0000919	XP_034828059.1, XP_034828051.1	HMEL030196g1.t1
OG0000919	XP_034828016.1	HMEL030199g1.t1
OG0000920	XP_034831649.1	HMEL037529g1.t1
OG0000921	XP_034838624.1	HMEL037413g1.t1, HMEL009323g1.t1
OG0000922	XP_034825465.1, XP_034825466.1, XP_034825467.1, XP_034825463.1	HMEL033904g1.t1
OG0000923	XP_034836664.1	HMEL032216g1.t1
OG0000924	XP_034838581.1	HMEL008503g1.t1
OG0000925	XP_034834881.1	HMEL038034g1.t1
OG0000926	XP_034839827.1	HMEL003970g1.t1, HMEL035785g1.t1
OG0000927	XP_034832239.1	HMEL011907g1.t1, HMEL031563g1.t1
OG0000928	XP_034830038.1	HMEL011873g1.t1
OG0000929	XP_034829687.1, XP_034829686.1	HMEL037054g1.t1
OG0000930	XP_034829717.1, XP_034829718.1	HMEL002658g1.t1
OG0000931	XP_034836549.1	HMEL011806g1.t1, HMEL032196g1.t1
OG0000933	XP_034824621.1	HMEL016930-RA
OG0000933	XP_034824517.1	HMEL005404g1.t1
OG0000934	XP_034838438.1	HMEL037403g1.t1
OG0000935	XP_034830295.1	HMEL010831g1.t1
OG0000936	XP_034837304.1, XP_034837303.1	HMEL008615g1.t1
OG0000937	XP_034839090.1, XP_034839089.1	HMEL007184g1.t1
OG0000938	XP_034829080.1	HMEL034328g1.t1
OG0000939	XP_034829090.1, XP_034829084.1	HMEL015746g1.t1
OG0000940	XP_034831674.1, XP_034831675.1	HMEL007898g1.t1
OG0000941	XP_034838739.1	HMEL037227g1.t1
OG0000942	XP_034838351.1	HMEL009325g1.t1
OG0000944	XP_034840841.1	HMEL013074g1.t1
OG0000946	XP_034834569.1	HMEL008925g1.t1
OG0000947	XP_034838298.1	HMEL034125g1.t1
OG0000948	XP_034834271.1	HMEL006697g1.t1
OG0000949	XP_034834332.1, XP_034834347.1, XP_034834328.1	HMEL006699g1.t1
OG0000950	XP_034830642.1	HMEL010764g1.t1, HMEL013728g1.t1, HMEL002986g1.t1, HMEL032948g1.t1
OG0000951	XP_034829181.1	HMEL003256-RA
OG0000952	XP_034831793.1	HMEL017594g1.t1
OG0000953	XP_034831667.1	HMEL005483g1.t1
OG0000954	XP_034841459.1, XP_034841461.1, XP_034841460.1	HMEL031158g1.t1
OG0000955	XP_034824788.1	HMEL022201g1.t1, HMEL031903g1.t1
OG0000956	XP_034826567.1, XP_034826566.1	HMEL011005g1.t1
OG0000957	XP_034834242.1	HMEL037938g1.t1, HMEL037939g1.t1
OG0000958	XP_034838093.1, XP_034838059.1	HMEL014235g1.t1, HMEL014233g1.t1
OG0000959	XP_034836814.1	HMEL013929g1.t1
OG0000960	XP_034833089.1	HMEL005074g1.t1
OG0000961	XP_034827243.1	HMEL011579g1.t1
OG0000964	XP_034827653.1, XP_034827652.1	HMEL008303g1.t1, HMEL033246g1.t1
OG0000965	XP_034837047.1	HMEL016872g1.t1
OG0000967	XP_034837273.1	HMEL016885g1.t1
OG0000967	XP_034837275.1	HMEL034665g1.t1
OG0000968	XP_034837637.1, XP_034837636.1	HMEL015666g1.t1, HMEL015667g1.t1
OG0000969	XP_034837266.1	HMEL016887g1.t1
OG0000970	XP_034830224.1	HMEL016780g1.t1
OG0000970	XP_034830225.1	HMEL016790g1.t1
OG0000971	XP_034835154.1	HMEL032606g1.t1, HMEL032607g1.t1, HMEL014608g1.t1
OG0000972	XP_034834062.1	HMEL010043g1.t1, HMEL038014g1.t1
OG0000973	XP_034826541.1	HMEL018073g1.t1, HMEL018076g1.t1
OG0000974	XP_034831007.1, XP_034831005.1, XP_034831006.1	HMEL002092g1.t1
OG0000975	XP_034832308.1, XP_034832309.1, XP_034832307.1	HMEL012706g1.t1
OG0000976	XP_034833881.1, XP_034836460.1, XP_034826691.1, XP_034836479.1, XP_034838509.1, XP_034837910.1, XP_034837909.1	HMEL021174g1.t1
OG0000978	XP_034837512.1	HMEL007396g1.t1
OG0000979	XP_034832304.1	HMEL022555-RA
OG0000980	XP_034837426.1, XP_034837427.1	HMEL013123g1.t1
OG0000981	XP_034827402.1	HMEL006851g1.t1, HMEL009408g1.t1
OG0000982	XP_034837930.1, XP_034840464.1	HMEL002304g1.t1
OG0000983	XP_034829124.1	HMEL014948g1.t1
OG0000984	XP_034827398.1	HMEL013268g1.t1
OG0000985	XP_034829006.1, XP_034829004.1, XP_034829005.1	HMEL014945g1.t1
OG0000986	XP_034834900.1	HMEL017874g1.t1
OG0000987	XP_034839600.1	HMEL005822g1.t1, HMEL008507g1.t1
OG0000988	XP_034836311.1	HMEL006811g1.t1
OG0000989	XP_034833762.1	HMEL038122g1.t1
OG0000990	XP_034832003.1	HMEL017554g1.t1
OG0000991	XP_034837231.1, XP_034837230.1, XP_034837229.1	HMEL013152g1.t1
OG0000992	XP_034828007.1	HMEL033300g1.t1
OG0000993	XP_034836179.1	HMEL015016g1.t1
OG0000994	XP_034836260.1	HMEL014909g1.t1
OG0000995	XP_034831087.1	HMEL037688g1.t1
OG0000996	XP_034825166.1, XP_034825639.1	HMEL033682g1.t1
OG0000998	XP_034835638.1	HMEL032336g1.t1
OG0000999	XP_034836630.1, XP_034836632.1, XP_034836629.1	HMEL015898g1.t1
OG0001000	XP_034829207.1, XP_034829200.1	HMEL006653g1.t1
OG0001001	XP_034831775.1	HMEL015313g1.t1
OG0001002	XP_034828169.1	HMEL002124g1.t1
OG0001002	XP_034827645.1	HMEL033345g1.t1
OG0001003	XP_034837759.1, XP_034837760.1	HMEL002972g1.t1
OG0001004	XP_034828972.1	HMEL011374g1.t1
OG0001005	XP_034829944.1	HMEL037083g1.t1, HMEL022300g1.t1
OG0001006	XP_034831334.1, XP_034831573.1	HMEL037617g1.t1
OG0001007	XP_034834875.1	HMEL013723g1.t1, HMEL013790g1.t1
OG0001008	XP_034827309.1	HMEL002673g1.t1
OG0001008	XP_034827224.1	HMEL002670g1.t1
OG0001009	XP_034833109.1	HMEL032991g1.t1
OG0001010	XP_034830795.1	HMEL032688g1.t1
OG0001011	XP_034834391.1	HMEL036857g1.t1
OG0001012	XP_034824854.1	HMEL032037g1.t1, HMEL016746g1.t1
OG0001013	XP_034831912.1	HMEL009165g1.t1
OG0001013	XP_034833911.1	HMEL010257g1.t1
OG0001014	XP_034830212.1	HMEL015565g1.t1
OG0001015	XP_034827878.1	HMEL004151g1.t1, HMEL014053g1.t1, HMEL033376g1.t1, HMEL033377g1.t1
OG0001016	XP_034830088.1	HMEL037132g1.t1, HMEL037131g1.t1
OG0001017	XP_034834212.1	HMEL033085g1.t1
OG0001017	XP_034834313.1	HMEL033088g1.t1
OG0001018	XP_034830090.1	HMEL008033-RA, HMEL014654g1.t1, HMEL037139g1.t1
OG0001019	XP_034828897.1	HMEL036004g1.t1
OG0001019	XP_034828896.1	HMEL021764g1.t1
OG0001020	XP_034830777.1	HMEL032670g1.t1
OG0001021	XP_034832023.1, XP_034832178.1, XP_034832177.1	HMEL007292g1.t1
OG0001022	XP_034826059.1	HMEL007369g1.t1
OG0001023	XP_034830297.1	HMEL014742g1.t1
OG0001024	XP_034841238.1	HMEL031000g1.t1
OG0001025	XP_034826525.1	HMEL017351g1.t1
OG0001026	XP_034830434.1, XP_034830432.1, XP_034830433.1	HMEL013363g1.t1
OG0001028	XP_034840201.1	HMEL035256g1.t1, HMEL005713g1.t1
OG0001029	XP_034828473.1	HMEL002173g1.t1
OG0001030	XP_034833508.1	HMEL033105g1.t1
OG0001030	XP_034828512.1	HMEL016491g1.t1
OG0001031	XP_034841110.1	HMEL021033g1.t1
OG0001031	XP_034834441.1, XP_034834440.1	HMEL012241g1.t1
OG0001032	XP_034836752.1, XP_034833598.1	HMEL015972g1.t1
OG0001033	XP_034838389.1	HMEL037024g1.t1, HMEL035600g1.t1, HMEL031595g1.t1, HMEL034479g1.t1, HMEL031231g1.t1, HMEL037247g1.t1
OG0001034	XP_034837776.1	HMEL011667g1.t1, HMEL032145g1.t1, HMEL007262g1.t1, HMEL035515g1.t1, HMEL034610g1.t1, HMEL038065g1.t1, HMEL030326g1.t1, HMEL031203g1.t1, HMEL031597g1.t1
OG0001035	XP_034830404.1, XP_034830403.1	HMEL032146g1.t1, HMEL013743g1.t1, HMEL033248g1.t1, HMEL008304g1.t1
OG0001036	XP_034830940.1, XP_034824888.1	HMEL033149g1.t1, HMEL013969g1.t1, HMEL033150g1.t1, HMEL013970g1.t1
OG0001037	XP_034824020.1, XP_034824017.1, XP_034824018.1	HMEL015432g1.t1
OG0001043	XP_034833199.1	HMEL022528-RA
OG0001043	XP_034833200.1	HMEL022550-RA, HMEL035504g1.t1
OG0001044	XP_034825764.1, XP_034825762.1	HMEL033923g1.t1
OG0001045	XP_034829503.1	HMEL003250g1.t1, HMEL034411g1.t1
OG0001046	XP_034830921.1	HMEL032879g1.t1, HMEL032880g1.t1
OG0001047	XP_034828374.1	HMEL036179g1.t1
OG0001048	XP_034838818.1	HMEL022544g1.t1
OG0001049	XP_034838826.1	HMEL010734g1.t1
OG0001050	XP_034837346.1	HMEL008688g1.t1
OG0001051	XP_034833265.1	HMEL036396g1.t1, HMEL005647g1.t1, HMEL021324g1.t1
OG0001052	XP_034834771.1	HMEL026002g1.t1, HMEL026001g1.t1
OG0001053	XP_034838494.1	HMEL010898g1.t1
OG0001054	XP_034839679.1	HMEL025046g1.t1
OG0001055	XP_034841008.1, XP_034841009.1, XP_034841007.1	HMEL031236g1.t1
OG0001056	XP_034839487.1	HMEL035765g1.t1
OG0001056	XP_034831990.1, XP_034832019.1	HMEL004721g1.t1
OG0001057	XP_034839035.1, XP_034839034.1	HMEL022596g1.t1
OG0001059	XP_034835825.1, XP_034835826.1	HMEL002210g1.t1, HMEL030429g1.t1
OG0001060	XP_034837215.1	HMEL003577g1.t1
OG0001061	XP_034830942.1	HMEL032900g1.t1, HMEL032899g1.t1, HMEL032898g1.t1
OG0001062	XP_034836574.1	HMEL008011g1.t1
OG0001064	XP_034834297.1	HMEL037967g1.t1
OG0001064	XP_034834861.1	HMEL017078g1.t1
OG0001065	XP_034833499.1	HMEL036391g1.t1
OG0001066	XP_034837801.1	HMEL004277g1.t1
OG0001067	XP_034838795.1	HMEL010794g1.t1
OG0001068	XP_034840209.1	HMEL007241g1.t1
OG0001069	XP_034823955.1, XP_034823956.1	HMEL004190g1.t1
OG0001070	XP_034831392.1, XP_034831531.1	HMEL004443g1.t1
OG0001071	XP_034827978.1	HMEL014188g1.t1
OG0001072	XP_034833223.1	HMEL003110-RA
OG0001074	XP_034837024.1	HMEL005255g1.t1, HMEL005256g1.t1
OG0001075	XP_034833848.1	HMEL037991g1.t1, HMEL020324g1.t1
OG0001076	XP_034837806.1	HMEL014816g1.t1
OG0001078	XP_034839274.1	HMEL035816g1.t1, HMEL035809g1.t1, HMEL035808g1.t1, HMEL035815g1.t1
OG0001079	XP_034837727.1	HMEL004336g1.t1
OG0001080	XP_034831414.1	HMEL021096g1.t1
OG0001080	XP_034831413.1	HMEL037485g1.t1
OG0001082	XP_034840692.1	HMEL017016g1.t1
OG0001082	XP_034840693.1	HMEL032034g1.t1
OG0001083	XP_034832655.1	HMEL008071g1.t1
OG0001084	XP_034827677.1	HMEL035376g1.t1, HMEL006339g1.t1
OG0001086	XP_034836239.1	HMEL022538-RA, HMEL022619-RA
OG0001087	XP_034832679.1, XP_034832673.1, XP_034832692.1, XP_034832685.1	HMEL009638g1.t1
OG0001088	XP_034830406.1	HMEL012370g1.t1
OG0001089	XP_034840700.1, XP_034840699.1	HMEL017035g1.t1
OG0001091	XP_034825289.1	HMEL030152g1.t1, HMEL030151g1.t1
OG0001093	XP_034830595.1, XP_034830594.1, XP_034830593.1, XP_034830877.1, XP_034830878.1	HMEL017781g1.t1
OG0001094	XP_034833234.1	HMEL036407g1.t1
OG0001095	XP_034830203.1	HMEL008988g1.t1, HMEL013262g1.t1
OG0001096	XP_034837370.1	HMEL003150g1.t1
OG0001097	XP_034838217.1	HMEL013235g1.t1
OG0001098	XP_034834741.1, XP_034834742.1	HMEL016252g1.t1
OG0001099	XP_034836243.1	HMEL010279g1.t1
OG0001100	XP_034839327.1	HMEL036654g1.t1
OG0001101	XP_034838468.1	HMEL009515g1.t1
OG0001102	XP_034834095.1	HMEL038062g1.t1, HMEL004119g1.t1
OG0001103	XP_034828547.1, XP_034828548.1	HMEL012909g1.t1
OG0001104	XP_034837928.1	HMEL008134g1.t1
OG0001105	XP_034827355.1	HMEL004504g1.t1, HMEL005331g1.t1
OG0001106	XP_034839047.1	HMEL003410g1.t1
OG0001107	XP_034828272.1	HMEL010195g1.t1
OG0001108	XP_034838964.1, XP_034838961.1, XP_034838962.1	HMEL014413g1.t1
OG0001109	XP_034832251.1	HMEL002721g1.t1
OG0001109	XP_034832250.1	HMEL002724g1.t1
OG0001110	XP_034834412.1, XP_034834406.1, XP_034834405.1	HMEL022090g1.t1, HMEL036858g1.t1
OG0001111	XP_034829845.1, XP_034829846.1	HMEL011868g1.t1
