Orthogroup	Maniola_hyperantus	Bicyclus_anynana
OG0000564	XP_034834698.1, XP_034834699.1	Bany_14352-RA, Bany_14354-RA
OG0000565	XP_034827092.1	Bany_03981-RA, Bany_05932-RA
OG0000566	XP_034829779.1	Bany_12259-RA
OG0000566	XP_034830184.1	Bany_11891-RA
OG0000568	XP_034836682.1	Bany_16540-RA
OG0000568	XP_034836355.1	Bany_16538-RA
OG0000569	XP_034830202.1	Bany_11901-RA
OG0000569	XP_034830588.1	Bany_08129-RA
OG0000570	XP_034836440.1	Bany_16550-RA, Bany_16548-RA
OG0000570	XP_034836675.1	Bany_16641-RA
OG0000571	XP_034828549.1	Bany_10714-RA
OG0000572	XP_034827700.1	Bany_01060-RA
OG0000573	XP_034840359.1	Bany_02763-RA
OG0000573	XP_034840202.1	Bany_02761-RA
OG0000574	XP_034825636.1	Bany_05655-RA
OG0000574	XP_034836656.1	Bany_16593-RA
OG0000575	XP_034838931.1	Bany_16212-RA
OG0000575	XP_034833810.1	Bany_09539-RA
OG0000576	XP_034830378.1	Bany_08064-RA
OG0000576	XP_034839461.1	Bany_07360-RA
OG0000578	XP_034829680.1	Bany_11940-RA, Bany_11939-RA
OG0000579	XP_034834652.1	Bany_14448-RA, Bany_14449-RA
OG0000580	XP_034840539.1	Bany_02798-RA
OG0000581	XP_034838474.1	Bany_06702-RA
OG0000582	XP_034830057.1, XP_034830056.1	Bany_11955-RA
OG0000583	XP_034825400.1	Bany_05494-RA
OG0000583	XP_034836412.1	Bany_16626-RA
OG0000584	XP_034825702.1	Bany_05362-RA, Bany_05365-RA, Bany_05366-RA, Bany_09755-RA, Bany_05364-RA
OG0000585	XP_034834466.1, XP_034834463.1, XP_034834465.1	Bany_14464-RA
OG0000587	XP_034825472.1	Bany_05384-RA
OG0000587	XP_034825469.1, XP_034825471.1	Bany_05383-RA, Bany_13470-RA
OG0000588	XP_034831813.1, XP_034831812.1	Bany_09007-RA
OG0000588	XP_034834008.1	Bany_09545-RA
OG0000589	XP_034834458.1, XP_034834457.1, XP_034834459.1	Bany_14490-RA
OG0000591	XP_034834224.1	Bany_09574-RA
OG0000591	XP_034834223.1	Bany_09573-RA
OG0000592	XP_034828207.1	Bany_01245-RA
OG0000592	XP_034839539.1	Bany_07370-RA
OG0000593	XP_034826945.1, XP_034837366.1, XP_034838204.1	Bany_06809-RA, Bany_15774-RA
OG0000594	XP_034838602.1	Bany_06815-RA, Bany_06824-RA
OG0000596	XP_034833077.1, XP_034832795.1, XP_034832796.1	Bany_13283-RA, Bany_13284-RA
OG0000597	XP_034836925.1	Bany_17583-RA
OG0000597	XP_034836926.1	Bany_17587-RA
OG0000599	XP_034825282.1	Bany_05473-RA
OG0000599	XP_034825285.1	Bany_05479-RA
OG0000600	XP_034828802.1	Bany_03816-RA
OG0000600	XP_034828835.1, XP_034828829.1	Bany_03817-RA
OG0000601	XP_034837109.1	Bany_17996-RA
OG0000602	XP_034828258.1	Bany_01343-RA
OG0000602	XP_034826906.1, XP_034826905.1	Bany_06233-RA
OG0000603	XP_034838004.1	Bany_12995-RA
OG0000604	XP_034835603.1	Bany_11532-RA
OG0000605	XP_034825859.1	Bany_02243-RA
OG0000606	XP_034829752.1	Bany_12091-RA
OG0000606	XP_034829893.1	Bany_12092-RA
OG0000607	XP_034826278.1	Bany_02286-RA
OG0000607	XP_034826539.1	Bany_02287-RA
OG0000608	XP_034834449.1	Bany_14658-RA
OG0000608	XP_034834455.1	Bany_14657-RA
OG0000609	XP_034830352.1	Bany_08313-RA
OG0000609	XP_034830354.1, XP_034830355.1	Bany_08318-RA
OG0000610	XP_034833361.1	Bany_15222-RA
OG0000611	XP_034831506.1	Bany_14003-RA
OG0000611	XP_034831507.1	Bany_14004-RA
OG0000612	XP_034826749.1	Bany_06318-RA
OG0000613	XP_034837733.1	Bany_07005-RA, Bany_07006-RA
OG0000614	XP_034826900.1	Bany_06384-RA
OG0000614	XP_034826878.1	Bany_06383-RA
OG0000615	XP_034827513.1	Bany_01557-RA
OG0000616	XP_034827730.1	Bany_01674-RA, Bany_01672-RA
OG0000616	XP_034827729.1	Bany_01673-RA
OG0000617	XP_034829677.1	Bany_12406-RA
OG0000617	XP_034829756.1	Bany_12407-RA
OG0000618	XP_034840414.1	Bany_03415-RA, Bany_03414-RA, Bany_03421-RA, Bany_03416-RA
OG0000620	XP_034841149.1	Bany_00890-RA
OG0000620	XP_034824036.1	Bany_00910-RA
OG0000627	XP_034830996.1	Bany_18183-RA
OG0000629	XP_034826075.1	Bany_01812-RA
OG0000633	XP_034832286.1	Bany_08674-RA, Bany_08670-RA
OG0000634	XP_034829755.1	Bany_11991-RA
OG0000634	XP_034826815.1	Bany_05881-RA
OG0000635	XP_034838469.1	Bany_04327-RA
OG0000636	XP_034828443.1	Bany_10642-RA
OG0000636	XP_034828799.1	Bany_10573-RA
OG0000637	XP_034838820.1	Bany_14291-RA
OG0000637	XP_034824585.1	Bany_10504-RA
OG0000639	XP_034836335.1	Bany_16484-RA
OG0000639	XP_034836567.1	Bany_16486-RA
OG0000640	XP_034827982.1	Bany_00994-RA
OG0000640	XP_034827438.1	Bany_00993-RA
OG0000641	XP_034840311.1, XP_034840312.1	Bany_06601-RA
OG0000642	XP_034831384.1, XP_034831381.1	Bany_13706-RA
OG0000643	XP_034828943.1	Bany_15550-RA
OG0000644	XP_034836072.1	Bany_17023-RA, Bany_17037-RA
OG0000645	XP_034837288.1	Bany_17779-RA
OG0000645	XP_034830853.1	Bany_04710-RA
OG0000647	XP_034832962.1, XP_034832964.1	Bany_13148-RA
OG0000648	XP_034834680.1, XP_034834681.1	Bany_14383-RA
OG0000649	XP_034839260.1	Bany_07262-RA
OG0000649	XP_034834316.1	Bany_09501-RA
OG0000650	XP_034838709.1	Bany_06662-RA
OG0000651	XP_034838407.1	Bany_06663-RA
OG0000652	XP_034833731.1, XP_034833732.1, XP_034833730.1	Bany_09468-RA
OG0000653	XP_034839016.1, XP_034838747.1, XP_034838748.1, XP_034838746.1	Bany_16223-RA
OG0000654	XP_034834215.1	Bany_09497-RA
OG0000654	XP_034835619.1	Bany_11601-RA
OG0000655	XP_034840855.1	Bany_00204-RA
OG0000655	XP_034841476.1	Bany_00203-RA
OG0000656	XP_034826671.1	Bany_02051-RA
OG0000657	XP_034838410.1	Bany_06704-RA
OG0000657	XP_034838411.1	Bany_06703-RA
OG0000658	XP_034840537.1, XP_034840538.1, XP_034840536.1, XP_034840535.1	Bany_02807-RA
OG0000659	XP_034827080.1	Bany_06031-RA
OG0000660	XP_034829209.1, XP_034829208.1	Bany_15623-RA
OG0000661	XP_034826409.1	Bany_02098-RA
OG0000662	XP_034837246.1	Bany_17890-RA
OG0000663	XP_034839624.1	Bany_07482-RA
OG0000663	XP_034838293.1	Bany_12789-RA
OG0000664	XP_034831116.1	Bany_13817-RA
OG0000666	XP_034833662.1, XP_034833661.1, XP_034833660.1, XP_034833663.1	Bany_15034-RA
OG0000667	XP_034825829.1, XP_034825828.1	Bany_02114-RA, Bany_02112-RA
OG0000668	XP_034834577.1, XP_034836017.1, XP_034836001.1, XP_034836009.1	Bany_04568-RA
OG0000669	XP_034831749.1	Bany_08830-RA
OG0000670	XP_034830336.1	Bany_08148-RA
OG0000670	XP_034830272.1	Bany_08149-RA
OG0000671	XP_034837107.1	Bany_17919-RA
OG0000671	XP_034837302.1, XP_034832798.1	Bany_17920-RA
OG0000672	XP_034829837.1	Bany_12031-RA, Bany_12034-RA
OG0000672	XP_034829836.1	Bany_12032-RA
OG0000673	XP_034833687.1	Bany_15083-RA
OG0000673	XP_034833472.1	Bany_15154-RA
OG0000674	XP_034836584.1, XP_034836318.1	Bany_16676-RA
OG0000675	XP_034835027.1	Bany_14529-RA
OG0000675	XP_034834950.1	Bany_14530-RA
OG0000677	XP_034829183.1	Bany_15681-RA
OG0000678	XP_034838348.1	Bany_12993-RA
OG0000679	XP_034834379.1	Bany_14594-RA
OG0000679	XP_034834378.1	Bany_14595-RA
OG0000680	XP_034838731.1	Bany_06917-RA
OG0000681	XP_034830610.1	Bany_08253-RA
OG0000682	XP_034832534.1	Bany_13369-RA
OG0000683	XP_034829136.1	Bany_17644-RA, Bany_15799-RA, Bany_15908-RA, Bany_15800-RA
OG0000684	XP_034830820.1	Bany_08307-RA
OG0000685	XP_034833165.1	Bany_15200-RA
OG0000685	XP_034833359.1, XP_034833358.1	Bany_15199-RA
OG0000686	XP_034827822.1	Bany_01378-RA, Bany_01379-RA
OG0000686	XP_034827823.1	Bany_01380-RA
OG0000687	XP_034832910.1	Bany_13451-RA
OG0000688	XP_034831821.1	Bany_09079-RA
OG0000689	XP_034827126.1	Bany_06350-RA
OG0000690	XP_034828203.1	Bany_03980-RA
OG0000690	XP_034828212.1	Bany_03983-RA
OG0000691	XP_034828321.1	Bany_03985-RA
OG0000692	XP_034835491.1	Bany_11705-RA
OG0000693	XP_034833578.1, XP_034833577.1, XP_034833579.1	Bany_15305-RA
OG0000694	XP_034825021.1	Bany_04161-RA
OG0000694	XP_034831576.1	Bany_14064-RA
OG0000695	XP_034827093.1	Bany_06382-RA
OG0000696	XP_034828157.1, XP_034828159.1, XP_034828158.1, XP_034828161.1, XP_034827838.1, XP_034828163.1, XP_034828162.1	Bany_01545-RA
OG0000697	XP_034828168.1	Bany_01551-RA
OG0000698	XP_034827591.1	Bany_01566-RA
OG0000699	XP_034833560.1	Bany_04901-RA
OG0000699	XP_034831600.1	Bany_04900-RA
OG0000700	XP_034837607.1	Bany_07093-RA
OG0000701	XP_034825962.1, XP_034825965.1	Bany_02407-RA
OG0000702	XP_034827228.1, XP_034827227.1, XP_034827226.1	Bany_06414-RA
OG0000703	XP_034828521.1	Bany_11043-RA
OG0000704	XP_034840110.1, XP_034840109.1	Bany_03225-RA
OG0000706	XP_034824403.1	Bany_10433-RA
OG0000707	XP_034827112.1	Bany_06450-RA
OG0000708	XP_034839527.1	Bany_07750-RA
OG0000708	XP_034839525.1	Bany_07754-RA
OG0000709	XP_034839598.1, XP_034833040.1, XP_034838827.1, XP_034828887.1, XP_034824176.1, XP_034829458.1, XP_034839597.1, XP_034830066.1, XP_034824797.1, XP_034831528.1, XP_034835496.1, XP_034825543.1, XP_034835495.1, XP_034830067.1, XP_034839599.1	Bany_16008-RA
OG0000710	XP_034840915.1	Bany_00742-RA
OG0000711	XP_034824131.1	Bany_00778-RA, Bany_00777-RA
OG0000712	XP_034824265.1	Bany_10539-RA
OG0000713	XP_034840835.1	Bany_00846-RA
OG0000728	XP_034827832.1, XP_034827831.1, XP_034827434.1, XP_034827830.1	Bany_18152-RA, Bany_01423-RA
OG0000729	XP_034832362.1	Bany_18188-RA
OG0000729	XP_034832360.1	Bany_08953-RA
OG0000730	XP_034840342.1, XP_034833078.1	Bany_16903-RA, Bany_16772-RA, Bany_18133-RA, Bany_13966-RA, Bany_16311-RA, Bany_16309-RA, Bany_04602-RA, Bany_17509-RA
OG0000731	XP_034825226.1	Bany_05177-RA, Bany_05179-RA, Bany_05181-RA
OG0000732	XP_034826827.1	Bany_05869-RA
OG0000732	XP_034826760.1	Bany_06314-RA
OG0000733	XP_034826413.1	Bany_01833-RA, Bany_01834-RA, Bany_01835-RA, Bany_01830-RA
OG0000734	XP_034834256.1, XP_034826606.1	Bany_11065-RA, Bany_04914-RA, Bany_03261-RA, Bany_08774-RA, Bany_04915-RA
OG0000736	XP_034839345.1	Bany_07177-RA
OG0000736	XP_034827266.1	Bany_06144-RA
OG0000737	XP_034826842.1	Bany_05873-RA
OG0000738	XP_034838815.1	Bany_16048-RA
OG0000740	XP_034838270.1	Bany_12708-RA, Bany_16463-RA
OG0000741	XP_034830464.1	Bany_07972-RA, Bany_07971-RA
OG0000742	XP_034827961.1	Bany_00976-RA
OG0000743	XP_034835923.1	Bany_16982-RA
OG0000743	XP_034828439.1	Bany_10848-RA
OG0000744	XP_034833505.1	Bany_14925-RA, Bany_15612-RA, Bany_14927-RA
OG0000745	XP_034826449.1	Bany_01888-RA
OG0000745	XP_034826340.1, XP_034826450.1	Bany_01889-RA
OG0000746	XP_034826323.1	Bany_01893-RA
OG0000748	XP_034826954.1	Bany_05914-RA
OG0000749	XP_034823938.1	Bany_00046-RA
OG0000750	XP_034828961.1	Bany_15528-RA, Bany_15525-RA
OG0000751	XP_034834066.1	Bany_09381-RA
OG0000751	XP_034834069.1, XP_034824847.1	Bany_09379-RA, Bany_09380-RA
OG0000752	XP_034837808.1	Bany_12549-RA
OG0000753	XP_034831535.1	Bany_13699-RA, Bany_13700-RA, Bany_13698-RA, Bany_11914-RA
OG0000754	XP_034824640.1	Bany_09963-RA
OG0000755	XP_034827764.1	Bany_01012-RA
OG0000756	XP_034834939.1	Bany_14356-RA
OG0000757	XP_034838985.1	Bany_16145-RA
OG0000757	XP_034838785.1	Bany_16146-RA
OG0000758	XP_034835391.1	Bany_11219-RA
OG0000760	XP_034840710.1, XP_034840709.1, XP_034840708.1	Bany_02727-RA
OG0000761	XP_034835692.1	Bany_11257-RA
OG0000761	XP_034835693.1	Bany_11258-RA
OG0000764	XP_034835698.1, XP_034835699.1	Bany_11263-RA
OG0000765	XP_034841537.1	Bany_00131-RA
OG0000766	XP_034826477.1	Bany_01974-RA
OG0000768	XP_034836078.1	Bany_17045-RA
OG0000768	XP_034835712.1	Bany_17047-RA
OG0000769	XP_034836080.1	Bany_17051-RA
OG0000770	XP_034839042.1	Bany_16201-RA
OG0000771	XP_034835042.1	Bany_12079-RA
OG0000772	XP_034835429.1	Bany_04454-RA
OG0000773	XP_034832106.1, XP_034832105.1	Bany_08779-RA
OG0000774	XP_034836605.1	Bany_16585-RA
OG0000775	XP_034833604.1	Bany_14992-RA
OG0000776	XP_034835719.1	Bany_17068-RA, Bany_17069-RA
OG0000777	XP_034836231.1, XP_034836238.1, XP_034836245.1, XP_034836244.1	Bany_04479-RA
OG0000778	XP_034834841.1	Bany_14425-RA
OG0000779	XP_034829835.1, XP_034829834.1	Bany_12016-RA
OG0000780	XP_034840869.1	Bany_03601-RA, Bany_03599-RA
OG0000781	XP_034840856.1	Bany_00219-RA, Bany_00215-RA, Bany_00218-RA
OG0000782	XP_034829914.1, XP_034829913.1	Bany_11973-RA
OG0000783	XP_034824081.1	Bany_10052-RA
OG0000783	XP_034824080.1	Bany_00908-RA
OG0000784	XP_034837953.1	Bany_12785-RA
OG0000784	XP_034831792.1	Bany_12784-RA
OG0000785	XP_034833160.1	Bany_15029-RA
OG0000787	XP_034827790.1, XP_034827791.1, XP_034827792.1	Bany_17930-RA, Bany_01148-RA, Bany_01149-RA
OG0000788	XP_034827476.1	Bany_01161-RA, Bany_01163-RA
OG0000790	XP_034833778.1	Bany_09558-RA
OG0000791	XP_034835068.1	Bany_11387-RA, Bany_11388-RA
OG0000792	XP_034828884.1	Bany_09560-RA
OG0000792	XP_034839588.1	Bany_07652-RA
OG0000793	XP_034827265.1	Bany_06146-RA, Bany_06145-RA
OG0000794	XP_034829073.1	Bany_15655-RA, Bany_15651-RA, Bany_15650-RA
OG0000795	XP_034832234.1	Bany_08866-RA
OG0000795	XP_034832134.1, XP_034832135.1	Bany_08865-RA
OG0000796	XP_034836441.1	Bany_16672-RA, Bany_16671-RA
OG0000797	XP_034830965.1	Bany_08199-RA
OG0000798	XP_034834825.1	Bany_14519-RA
OG0000799	XP_034824864.1	Bany_10137-RA
OG0000800	XP_034828302.1, XP_034836613.1	Bany_01215-RA
OG0000801	XP_034836609.1	Bany_16705-RA, Bany_16706-RA, Bany_16703-RA
OG0000802	XP_034835306.1	Bany_11504-RA, Bany_11503-RA
OG0000803	XP_034835981.1	Bany_17261-RA
OG0000803	XP_034835976.1	Bany_17250-RA
OG0000804	XP_034830858.1, XP_034830857.1, XP_034830856.1	Bany_08236-RA
OG0000805	XP_034835558.1	Bany_11526-RA
OG0000805	XP_034835184.1	Bany_11523-RA
OG0000806	XP_034826527.1	Bany_02239-RA
OG0000806	XP_034825887.1, XP_034825888.1, XP_034825886.1, XP_034825884.1	Bany_02240-RA
OG0000807	XP_034833926.1, XP_034834244.1	Bany_09648-RA
OG0000808	XP_034838453.1, XP_034838454.1, XP_034838452.1	Bany_06927-RA
OG0000809	XP_034833105.1	Bany_13563-RA, Bany_03026-RA, Bany_13564-RA, Bany_13595-RA
OG0000810	XP_034827071.1	Bany_17280-RA
OG0000811	XP_034832226.1	Bany_08986-RA
OG0000811	XP_034832228.1	Bany_08988-RA
OG0000812	XP_034836692.1	Bany_17651-RA, Bany_04154-RA, Bany_04153-RA, Bany_17648-RA
OG0000813	XP_034827075.1	Bany_06284-RA
OG0000814	XP_034830823.1, XP_034831013.1, XP_034830821.1, XP_034830822.1	Bany_08304-RA
OG0000815	XP_034831159.1, XP_034836396.1, XP_034838015.1, XP_034826147.1, XP_034837888.1	Bany_16763-RA
OG0000816	XP_034826241.1	Bany_02305-RA
OG0000817	XP_034827076.1	Bany_06289-RA, Bany_06292-RA, Bany_06293-RA, Bany_06290-RA, Bany_06291-RA
OG0000819	XP_034833941.1, XP_034833940.1, XP_034833938.1	Bany_09713-RA
OG0000820	XP_034836372.1	Bany_16797-RA, Bany_16792-RA, Bany_16796-RA
OG0000821	XP_034826545.1	Bany_02320-RA
OG0000822	XP_034825104.1, XP_034825105.1	Bany_05586-RA, Bany_05587-RA
OG0000823	XP_034823931.1	Bany_00497-RA
OG0000824	XP_034839467.1	Bany_07574-RA
OG0000824	XP_034838393.1	Bany_05092-RA
OG0000825	XP_034834535.1, XP_034834533.1, XP_034834532.1, XP_034834536.1, XP_034834530.1, XP_034834531.1, XP_034834529.1	Bany_14694-RA
OG0000826	XP_034832878.1, XP_034832877.1	Bany_13437-RA
OG0000827	XP_034826253.1, XP_034826254.1, XP_034826255.1	Bany_02341-RA
OG0000828	XP_034829518.1	Bany_12206-RA
OG0000829	XP_034832162.1	Bany_09096-RA, Bany_09095-RA, Bany_09097-RA
OG0000830	XP_034826497.1	Bany_02362-RA
OG0000831	XP_034826595.1	Bany_02369-RA
OG0000832	XP_034836197.1	Bany_17377-RA, Bany_17375-RA
OG0000833	XP_034841112.1, XP_034841111.1	Bany_00590-RA
OG0000834	XP_034841289.1, XP_034841290.1	Bany_00615-RA, Bany_00616-RA
OG0000835	XP_034831227.1	Bany_14093-RA
OG0000836	XP_034833967.1	Bany_09830-RA
OG0000836	XP_034833974.1	Bany_09829-RA
OG0000837	XP_034837471.1	Bany_07069-RA
OG0000838	XP_034830349.1	Bany_08423-RA
OG0000839	XP_034830076.1	Bany_12285-RA
OG0000840	XP_034833534.1, XP_034833544.1	Bany_04903-RA
OG0000843	XP_034825791.1	Bany_02431-RA
OG0000844	XP_034831480.1	Bany_14180-RA, Bany_14185-RA
OG0000845	XP_034828071.1	Bany_01630-RA
OG0000846	XP_034832862.1, XP_034832860.1, XP_034832861.1	Bany_13573-RA
OG0000847	XP_034824139.1	Bany_00747-RA
OG0000848	XP_034829994.1	Bany_12401-RA
OG0000849	XP_034833095.1	Bany_04227-RA
OG0000863	XP_034841227.1	Bany_00183-RA
OG0000863	XP_034841228.1	Bany_00184-RA
OG0000864	XP_034824923.1	Bany_09913-RA, Bany_09911-RA, Bany_09912-RA
OG0000865	XP_034837091.1	Bany_17700-RA, Bany_17697-RA, Bany_13514-RA
OG0000866	XP_034833717.1	Bany_09343-RA
OG0000867	XP_034832621.1	Bany_13306-RA, Bany_00012-RA
OG0000868	XP_034831011.1	Bany_08298-RA, Bany_14895-RA, Bany_08300-RA
OG0000870	XP_034828392.1	Bany_10567-RA, Bany_10566-RA
OG0000871	XP_034828106.1, XP_034828107.1	Bany_00959-RA, Bany_00960-RA, Bany_00958-RA
OG0000872	XP_034836579.1, XP_034836580.1	Bany_16473-RA, Bany_16475-RA
OG0000873	XP_034830463.1	Bany_07963-RA
OG0000874	XP_034831295.1	Bany_13655-RA, Bany_13656-RA
OG0000875	XP_034825531.1, XP_034825532.1	Bany_05224-RA, Bany_05225-RA
OG0000877	XP_034832255.1, XP_034831810.1, XP_034832266.1	Bany_04360-RA, Bany_04359-RA, Bany_04358-RA, Bany_04355-RA, Bany_04354-RA
OG0000877	XP_034832276.1	Bany_04398-RA
OG0000878	XP_034839164.1	Bany_07211-RA
OG0000878	XP_034839166.1	Bany_07213-RA
OG0000883	XP_034841080.1	Bany_07224-RA, Bany_17804-RA, Bany_07336-RA, Bany_07298-RA
OG0000884	XP_034838978.1	Bany_16126-RA, Bany_16125-RA
OG0000885	XP_034836356.1	Bany_04770-RA
OG0000885	XP_034837491.1	Bany_04399-RA
OG0000887	XP_034835566.1	Bany_11607-RA, Bany_04401-RA, Bany_11608-RA, Bany_11609-RA
OG0000888	XP_034837834.1	Bany_12571-RA
OG0000889	XP_034826013.1	Bany_01964-RA
OG0000891	XP_034831388.1	Bany_13728-RA, Bany_13730-RA, Bany_08139-RA, Bany_13731-RA
OG0000892	XP_034830237.1, XP_034830232.1	Bany_13729-RA, Bany_04603-RA
OG0000893	XP_034838129.1	Bany_04125-RA, Bany_12584-RA, Bany_12582-RA, Bany_12583-RA, Bany_12585-RA
OG0000894	XP_034836705.1, XP_034836704.1	Bany_17480-RA
OG0000895	XP_034830249.1	Bany_11886-RA, Bany_11885-RA
OG0000896	XP_034836464.1, XP_034836466.1, XP_034836465.1, XP_034836467.1	Bany_15573-RA, Bany_16623-RA
OG0000897	XP_034833691.1	Bany_09416-RA
OG0000898	XP_034834104.1	Bany_09425-RA
OG0000898	XP_034834251.1	Bany_09424-RA
OG0000899	XP_034838481.1	Bany_06649-RA
OG0000900	XP_034840878.1	Bany_00145-RA
OG0000901	XP_034836118.1	Bany_17052-RA
OG0000902	XP_034825841.1	Bany_02001-RA
OG0000903	XP_034834209.1	Bany_09472-RA
OG0000904	XP_034833796.1	Bany_09475-RA
OG0000905	XP_034838198.1	Bany_12680-RA, Bany_12681-RA
OG0000906	XP_034825114.1	Bany_03573-RA
OG0000907	XP_034826797.1	Bany_06020-RA
OG0000908	XP_034826302.1	Bany_02046-RA
OG0000909	XP_034834084.1	Bany_09509-RA
OG0000910	XP_034836512.1, XP_034836511.1	Bany_16613-RA
OG0000911	XP_034840499.1, XP_034840500.1, XP_034840498.1	Bany_02821-RA
OG0000912	XP_034833480.1	Bany_15125-RA
OG0000912	XP_034833487.1	Bany_15003-RA
OG0000913	XP_034838616.1	Bany_06728-RA
OG0000914	XP_034837946.1	Bany_02841-RA, Bany_12749-RA
OG0000915	XP_034840555.1, XP_034840556.1, XP_034840557.1, XP_034840554.1	Bany_02826-RA
OG0000916	XP_034838888.1	Bany_16288-RA
OG0000917	XP_034839933.1	Bany_02089-RA
OG0000917	XP_034839891.1, XP_034839161.1	Bany_05079-RA, Bany_11356-RA
OG0000918	XP_034838670.1	Bany_04537-RA
OG0000919	XP_034828059.1, XP_034828051.1	Bany_03640-RA
OG0000919	XP_034828016.1	Bany_03641-RA
OG0000920	XP_034831649.1	Bany_13796-RA
OG0000921	XP_034838624.1	Bany_15404-RA, Bany_17896-RA, Bany_15915-RA, Bany_08811-RA, Bany_06843-RA, Bany_06844-RA
OG0000922	XP_034825465.1, XP_034825466.1, XP_034825467.1, XP_034825463.1	Bany_05372-RA
OG0000923	XP_034836664.1	Bany_16638-RA
OG0000924	XP_034838581.1	Bany_06781-RA, Bany_06783-RA
OG0000924	XP_034838517.1	Bany_06786-RA
OG0000925	XP_034834881.1	Bany_12054-RA, Bany_12899-RA, Bany_14814-RA
OG0000926	XP_034839827.1	Bany_07357-RA
OG0000927	XP_034832239.1	Bany_08825-RA, Bany_08829-RA
OG0000928	XP_034829685.1	Bany_11993-RA, Bany_11994-RA, Bany_11992-RA
OG0000929	XP_034829687.1, XP_034829686.1	Bany_11998-RA, Bany_12002-RA
OG0000930	XP_034829717.1, XP_034829718.1	Bany_12010-RA
OG0000931	XP_034836549.1	Bany_16668-RA, Bany_16666-RA
OG0000932	XP_034835278.1	Bany_04923-RA
OG0000932	XP_034837843.1, XP_034830019.1	Bany_04924-RA, Bany_04925-RA
OG0000933	XP_034824517.1	Bany_10107-RA
OG0000934	XP_034838438.1	Bany_06805-RA
OG0000935	XP_034830295.1	Bany_08414-RA, Bany_03873-RA, Bany_13857-RA, Bany_11524-RA
OG0000936	XP_034837304.1, XP_034837303.1	Bany_17922-RA
OG0000937	XP_034839090.1, XP_034839089.1	Bany_16389-RA
OG0000938	XP_034829080.1	Bany_15664-RA
OG0000939	XP_034829090.1	Bany_15668-RA
OG0000939	XP_034829084.1	Bany_15667-RA
OG0000941	XP_034838739.1	Bany_16421-RA, Bany_16423-RA
OG0000943	XP_034835851.1	Bany_17227-RA
OG0000944	XP_034840834.1	Bany_00336-RA
OG0000945	XP_034832640.1	Bany_13301-RA
OG0000946	XP_034834569.1	Bany_14543-RA
OG0000947	XP_034838298.1	Bany_12935-RA
OG0000948	XP_034834271.1	Bany_04641-RA
OG0000949	XP_034834332.1, XP_034834347.1, XP_034834328.1	Bany_04643-RA
OG0000950	XP_034830642.1	Bany_08214-RA
OG0000951	XP_034829181.1	Bany_15682-RA
OG0000952	XP_034831793.1	Bany_08928-RA, Bany_08921-RA, Bany_08924-RA, Bany_08927-RA
OG0000953	XP_034831667.1	Bany_13919-RA
OG0000954	XP_034841459.1, XP_034841461.1, XP_034841460.1	Bany_00362-RA
OG0000955	XP_034824788.1	Bany_10178-RA, Bany_10176-RA
OG0000956	XP_034826567.1	Bany_02231-RA
OG0000956	XP_034826566.1	Bany_02230-RA
OG0000957	XP_034834242.1	Bany_09637-RA, Bany_09640-RA
OG0000958	XP_034838093.1	Bany_13000-RA
OG0000958	XP_034838059.1	Bany_13002-RA, Bany_13003-RA
OG0000959	XP_034836814.1	Bany_17616-RA
OG0000960	XP_034833089.1, XP_034832711.1	Bany_13352-RA
OG0000961	XP_034827243.1	Bany_06251-RA
OG0000962	XP_034826529.1	Bany_02252-RA
OG0000964	XP_034827653.1, XP_034827652.1	Bany_01303-RA
OG0000965	XP_034837047.1	Bany_18036-RA
OG0000966	XP_034827813.1	Bany_01323-RA
OG0000967	XP_034837273.1	Bany_18054-RA
OG0000967	XP_034837275.1	Bany_18053-RA
OG0000968	XP_034837637.1, XP_034837636.1	Bany_06966-RA
OG0000969	XP_034837266.1	Bany_18055-RA
OG0000970	XP_034830224.1	Bany_12122-RA
OG0000970	XP_034830225.1	Bany_12123-RA
OG0000971	XP_034835154.1	Bany_11600-RA
OG0000972	XP_034834062.1	Bany_09692-RA
OG0000973	XP_034826541.1	Bany_02294-RA, Bany_02296-RA
OG0000974	XP_034831007.1, XP_034831005.1, XP_034831006.1	Bany_08301-RA, Bany_08303-RA
OG0000975	XP_034832308.1, XP_034832309.1, XP_034832307.1	Bany_09011-RA
OG0000976	XP_034833881.1, XP_034836460.1, XP_034826691.1, XP_034836479.1, XP_034838509.1, XP_034837910.1, XP_034837909.1	Bany_16770-RA
OG0000978	XP_034837514.1, XP_034837516.1, XP_034837511.1, XP_034837510.1, XP_034837517.1	Bany_06992-RA
OG0000979	XP_034832304.1	Bany_09017-RA, Bany_09016-RA
OG0000980	XP_034837426.1, XP_034837427.1	Bany_18079-RA
OG0000981	XP_034827402.1	Bany_01408-RA
OG0000982	XP_034837930.1, XP_034840464.1	Bany_03909-RA, Bany_03906-RA
OG0000983	XP_034829124.1	Bany_15820-RA, Bany_15817-RA, Bany_15818-RA, Bany_15819-RA
OG0000984	XP_034827398.1	Bany_01721-RA, Bany_09024-RA
OG0000985	XP_034829006.1, XP_034829004.1, XP_034829005.1	Bany_15824-RA
OG0000986	XP_034839746.1	Bany_07725-RA
OG0000986	XP_034834900.1	Bany_14691-RA
OG0000987	XP_034839600.1	Bany_07586-RA
OG0000988	XP_034836480.1	Bany_03938-RA
