Orthogroup	Maniola_hyperantus	Danaus_plexippus
OG0002276	XP_034832115.1	DPOGS206474-PA
OG0002277	XP_034827754.1	DPOGS214426-PA
OG0002278	XP_034836720.1	DPOGS213896-PA
OG0002279	XP_034830452.1	DPOGS210809-PA
OG0002280	XP_034830455.1	DPOGS210810-PA
OG0002281	XP_034830461.1	DPOGS210858-PA, DPOGS210857-PA
OG0002282	XP_034826192.1, XP_034826193.1	DPOGS213354-PA
OG0002283	XP_034837818.1	DPOGS201595-PA
OG0002284	XP_034830450.1	DPOGS210812-PA
OG0002286	XP_034832723.1, XP_034832724.1	DPOGS205464-PA
OG0002287	XP_034836845.1	DPOGS213903-PA
OG0002288	XP_034826812.1	DPOGS212635-PA
OG0002289	XP_034837715.1	DPOGS205146-PA
OG0002290	XP_034839325.1	DPOGS200907-PA
OG0002291	XP_034831351.1	DPOGS210336-PA
OG0002292	XP_034839604.1, XP_034839521.1	DPOGS210151-PA
OG0002293	XP_034824279.1	DPOGS210140-PA
OG0002294	XP_034825852.1	DPOGS213382-PA
OG0002295	XP_034838192.1	DPOGS204622-PA
OG0002296	XP_034825325.1	DPOGS204780-PA
OG0002297	XP_034831010.1	DPOGS202963-PA
OG0002298	XP_034837142.1	DPOGS208198-PA
OG0002299	XP_034837420.1	DPOGS208201-PA
OG0002300	XP_034840843.1	DPOGS208792-PA
OG0002301	XP_034838804.1	DPOGS207368-PA, DPOGS205041-PA
OG0002302	XP_034839036.1	DPOGS209118-PA, DPOGS209117-PA
OG0002303	XP_034838177.1	DPOGS207912-PA
OG0002305	XP_034839429.1	DPOGS207178-PA
OG0002306	XP_034825302.1	DPOGS204746-PA
OG0002307	XP_034825528.1	DPOGS204776-PA
OG0002308	XP_034824727.1	DPOGS210104-PA
OG0002309	XP_034832982.1, XP_034832983.1	DPOGS206604-PA
OG0002310	XP_034827965.1, XP_034827964.1	DPOGS214391-PA
OG0002311	XP_034839029.1	DPOGS205014-PA
OG0002312	XP_034836700.1, XP_034836701.1	DPOGS213915-PA
OG0002313	XP_034837217.1	DPOGS208205-PA
OG0002314	XP_034831921.1	DPOGS201201-PA
OG0002315	XP_034836560.1	DPOGS216123-PA
OG0002316	XP_034826358.1	DPOGS213342-PA
OG0002317	XP_034838807.1	DPOGS209112-PA
OG0002318	XP_034836130.1	DPOGS207358-PA, DPOGS207357-PA
OG0002319	XP_034833395.1	DPOGS205964-PA, DPOGS208057-PA
OG0002321	XP_034835244.1	DPOGS211794-PA
OG0002322	XP_034835508.1	DPOGS211764-PA
OG0002323	XP_034836128.1	DPOGS207324-PA
OG0002324	XP_034824647.1	DPOGS210103-PA
OG0002325	XP_034838943.1	DPOGS203887-PA
OG0002326	XP_034837719.1	DPOGS211813-PA
OG0002327	XP_034824932.1	DPOGS210060-PA
OG0002328	XP_034828288.1, XP_034828287.1	DPOGS214414-PA
OG0002329	XP_034835858.1	DPOGS207362-PA
OG0002330	XP_034827672.1	DPOGS214402-PA
OG0002331	XP_034824725.1	DPOGS210061-PA
OG0002332	XP_034832958.1, XP_034832959.1	DPOGS204716-PA
OG0002333	XP_034834835.1	DPOGS205330-PA
OG0002334	XP_034837724.1	DPOGS211816-PA
OG0002335	XP_034837563.1	DPOGS206387-PA
OG0002336	XP_034827762.1	DPOGS214403-PA
OG0002337	XP_034830141.1	DPOGS204519-PA
OG0002338	XP_034826885.1	DPOGS205114-PA, DPOGS205923-PA
OG0002339	XP_034837430.1	DPOGS206374-PA
OG0002340	XP_034825121.1	DPOGS202677-PA, DPOGS202641-PA
OG0002341	XP_034835765.1	DPOGS207321-PA, DPOGS200216-PA
OG0002342	XP_034838102.1	DPOGS207911-PA
OG0002343	XP_034828797.1	DPOGS210538-PA
OG0002344	XP_034837206.1	DPOGS210284-PA
OG0002346	XP_034834063.1	DPOGS204146-PA
OG0002347	XP_034824920.1	DPOGS210900-PA
OG0002348	XP_034836902.1	DPOGS213651-PA
OG0002349	XP_034826332.1	DPOGS210177-PA
OG0002350	XP_034834023.1, XP_034834024.1	DPOGS204203-PA
OG0002351	XP_034838089.1	DPOGS215029-PA
OG0002352	XP_034837200.1	DPOGS202585-PA
OG0002353	XP_034837821.1, XP_034838230.1, XP_034838231.1, XP_034838232.1	DPOGS211524-PA
OG0002354	XP_034839258.1	DPOGS207171-PA
OG0002355	XP_034828954.1	DPOGS214513-PA
OG0002356	XP_034838991.1	DPOGS204601-PA
OG0002357	XP_034838981.1	DPOGS211263-PA, DPOGS206210-PA, DPOGS211262-PA
OG0002358	XP_034829899.1	DPOGS209840-PA
OG0002360	XP_034838136.1	DPOGS214972-PA
OG0002361	XP_034834776.1	DPOGS215710-PA
OG0002362	XP_034826336.1, XP_034826335.1	DPOGS210173-PA, DPOGS203944-PA
OG0002363	XP_034833051.1	DPOGS205491-PA
OG0002364	XP_034836073.1	DPOGS209776-PA
OG0002365	XP_034839000.1, XP_034839001.1, XP_034838999.1	DPOGS206213-PA
OG0002366	XP_034833315.1	DPOGS206253-PA
OG0002367	XP_034840713.1	DPOGS209626-PA, DPOGS209627-PA
OG0002368	XP_034829617.1	DPOGS209838-PA
OG0002369	XP_034838365.1	DPOGS214557-PA
OG0002371	XP_034836384.1	DPOGS211546-PA
OG0002372	XP_034832589.1	DPOGS202721-PA
OG0002373	XP_034840718.1	DPOGS209633-PA
OG0002374	XP_034832588.1	DPOGS202707-PA
OG0002375	XP_034835500.1	DPOGS202868-PA, DPOGS214362-PA
OG0002376	XP_034840716.1	DPOGS209635-PA
OG0002377	XP_034827684.1, XP_034827683.1	DPOGS200883-PA
OG0002378	XP_034836772.1	DPOGS216204-PA
OG0002379	XP_034827770.1	DPOGS203093-PA
OG0002380	XP_034837035.1	DPOGS214490-PA
OG0002381	XP_034836795.1	DPOGS216187-PA
OG0002382	XP_034834673.1	DPOGS209488-PA, DPOGS209487-PA
OG0002383	XP_034841065.1, XP_034841063.1	DPOGS215326-PA
OG0002384	XP_034838130.1	DPOGS215722-PA
OG0002385	XP_034834662.1	DPOGS209522-PA
OG0002386	XP_034831726.1	DPOGS206345-PA
OG0002387	XP_034831100.1	DPOGS212969-PA
OG0002388	XP_034841069.1	DPOGS215307-PA
OG0002389	XP_034828083.1	DPOGS211699-PA
OG0002390	XP_034825295.1	DPOGS210902-PA
OG0002391	XP_034834925.1	DPOGS215726-PA
OG0002392	XP_034833827.1	DPOGS204149-PA
OG0002393	XP_034832441.1	DPOGS206341-PA, DPOGS206342-PA
OG0002394	XP_034832686.1	DPOGS200222-PA
OG0002395	XP_034831625.1	DPOGS212970-PA
OG0002396	XP_034833692.1	DPOGS211332-PA
OG0002397	XP_034825347.1	DPOGS202655-PA
OG0002398	XP_034830187.1	DPOGS209800-PA
OG0002399	XP_034837392.1	DPOGS200797-PA
OG0002400	XP_034826021.1	DPOGS216160-PA
OG0002401	XP_034835660.1	DPOGS208417-PA
OG0002401	XP_034835652.1	DPOGS208416-PA
OG0002402	XP_034838209.1	DPOGS211505-PA
OG0002403	XP_034839262.1, XP_034839263.1	DPOGS206799-PA
OG0002404	XP_034832102.1	DPOGS206339-PA
OG0002405	XP_034838728.1, XP_034838727.1	DPOGS213891-PA
OG0002406	XP_034839151.1	DPOGS207159-PA
OG0002407	XP_034837349.1	DPOGS215553-PA
OG0002408	XP_034838482.1	DPOGS214931-PA, DPOGS214932-PA
OG0002409	XP_034835522.1	DPOGS208402-PA
OG0002410	XP_034825683.1	DPOGS202659-PA
OG0002411	XP_034834103.1	DPOGS211293-PA, DPOGS211292-PA, DPOGS211242-PA
OG0002412	XP_034839280.1	DPOGS206794-PA, DPOGS206795-PA
OG0002413	XP_034834096.1	DPOGS211232-PA
OG0002414	XP_034841533.1	DPOGS215341-PA, DPOGS215340-PA
OG0002415	XP_034834249.1	DPOGS208630-PA, DPOGS204159-PA
OG0002416	XP_034837111.1	DPOGS206192-PA
OG0002417	XP_034834116.1	DPOGS204197-PA
OG0002418	XP_034839040.1	DPOGS209433-PA
OG0002419	XP_034826479.1, XP_034826478.1	DPOGS215529-PA
OG0002420	XP_034836362.1	DPOGS204636-PA
OG0002421	XP_034827354.1	DPOGS209460-PA
OG0002422	XP_034824998.1	DPOGS200670-PA
OG0002423	XP_034841555.1	DPOGS203856-PA, DPOGS203857-PA
OG0002425	XP_034837952.1	DPOGS203882-PA
OG0002426	XP_034835417.1	DPOGS215689-PA
OG0002427	XP_034834722.1, XP_034834721.1, XP_034834723.1	DPOGS204697-PA
OG0002428	XP_034827346.1	DPOGS209445-PA
OG0002429	XP_034836122.1	DPOGS215221-PA
OG0002430	XP_034835456.1	DPOGS215736-PA, DPOGS215735-PA
OG0002431	XP_034837673.1	DPOGS215686-PA
OG0002432	XP_034839044.1	DPOGS204597-PA, DPOGS209938-PA
OG0002433	XP_034840356.1	DPOGS212181-PA
OG0002434	XP_034833740.1, XP_034833739.1	DPOGS202269-PA
OG0002435	XP_034837192.1	DPOGS210285-PA
OG0002436	XP_034828362.1	DPOGS204134-PA
OG0002437	XP_034840894.1	DPOGS208802-PA
OG0002438	XP_034828020.1, XP_034828021.1	DPOGS200468-PA
OG0002439	XP_034828026.1	DPOGS203188-PA
OG0002440	XP_034838563.1	DPOGS206764-PA
OG0002441	XP_034827655.1	DPOGS203186-PA
OG0002442	XP_034836411.1	DPOGS213789-PA
OG0002443	XP_034830031.1	DPOGS209813-PA
OG0002444	XP_034828720.1	DPOGS204131-PA
OG0002445	XP_034838975.1	DPOGS200154-PA, DPOGS200153-PA
OG0002446	XP_034828153.1, XP_034828152.1	DPOGS203197-PA
OG0002447	XP_034836788.1, XP_034836787.1	DPOGS212010-PA
OG0002448	XP_034828482.1	DPOGS204118-PA
OG0002449	XP_034836163.1, XP_034836162.1	DPOGS215211-PA
OG0002450	XP_034835181.1	DPOGS202937-PA
OG0002451	XP_034836137.1	DPOGS215209-PA, DPOGS204775-PA, DPOGS215210-PA
OG0002452	XP_034835487.1	DPOGS215745-PA
OG0002453	XP_034838391.1	DPOGS200006-PA
OG0002455	XP_034825155.1	DPOGS202033-PA
OG0002456	XP_034838139.1	DPOGS201600-PA
OG0002457	XP_034839431.1	DPOGS200903-PA, DPOGS213775-PA
OG0002458	XP_034837185.1	DPOGS207209-PA
OG0002459	XP_034835399.1	DPOGS202931-PA
OG0002460	XP_034830733.1	DPOGS210869-PA
OG0002461	XP_034835324.1	DPOGS207536-PA
OG0002462	XP_034838910.1	DPOGS212904-PA
OG0002463	XP_034836487.1	DPOGS213785-PA
OG0002464	XP_034834337.1	DPOGS216049-PA
OG0002465	XP_034834338.1	DPOGS216056-PA
OG0002466	XP_034835527.1	DPOGS207535-PA
OG0002467	XP_034838744.1	DPOGS206205-PA
OG0002469	XP_034838248.1	DPOGS215000-PA
OG0002470	XP_034839108.1	DPOGS200778-PA
OG0002471	XP_034831264.1	DPOGS201937-PA
OG0002472	XP_034838740.1	DPOGS200775-PA, DPOGS200774-PA
OG0002473	XP_034835769.1	DPOGS205594-PA
OG0002475	XP_034829665.1	DPOGS209003-PA
OG0002477	XP_034830125.1	DPOGS209018-PA
OG0002478	XP_034837890.1	DPOGS209338-PA
OG0002479	XP_034837353.1, XP_034837135.1	DPOGS215556-PA
OG0002480	XP_034832244.1	DPOGS202947-PA, DPOGS204945-PA, DPOGS203376-PA, DPOGS204944-PA
OG0002481	XP_034837340.1	DPOGS207216-PA
OG0002483	XP_034834044.1	DPOGS211310-PA
OG0002484	XP_034835931.1	DPOGS211708-PA
OG0002485	XP_034838893.1	DPOGS209282-PA
OG0002486	XP_034825926.1	DPOGS204523-PA
OG0002487	XP_034825947.1	DPOGS211171-PA
OG0002488	XP_034827906.1	DPOGS210773-PA
OG0002489	XP_034828510.1	DPOGS210982-PA
OG0002490	XP_034833167.1	DPOGS204591-PA
OG0002491	XP_034835393.1	DPOGS207532-PA
OG0002493	XP_034825922.1	DPOGS204527-PA, DPOGS204526-PA
OG0002494	XP_034838384.1	DPOGS206215-PA
OG0002495	XP_034839217.1	DPOGS215754-PA
OG0002496	XP_034838638.1	DPOGS209095-PA
OG0002497	XP_034824333.1	DPOGS203275-PA
OG0002498	XP_034839049.1	DPOGS200508-PA
OG0002499	XP_034837385.1	DPOGS200795-PA
OG0002500	XP_034825912.1	DPOGS204555-PA
OG0002501	XP_034830564.1, XP_034830565.1	DPOGS210875-PA
OG0002502	XP_034832553.1	DPOGS215756-PA
OG0002503	XP_034835935.1	DPOGS207672-PA
OG0002504	XP_034829103.1	DPOGS205286-PA
OG0002505	XP_034838886.1	DPOGS200510-PA
OG0002506	XP_034835614.1	DPOGS207530-PA
OG0002507	XP_034831342.1	DPOGS215661-PA
OG0002508	XP_034830556.1	DPOGS210786-PA
OG0002509	XP_034835939.1, XP_034835742.1	DPOGS207674-PA
OG0002510	XP_034838938.1, XP_034838940.1	DPOGS200513-PA, DPOGS200514-PA
OG0002511	XP_034834967.1	DPOGS207386-PA
OG0002512	XP_034826869.1	DPOGS213676-PA
OG0002513	XP_034835938.1, XP_034835937.1	DPOGS207676-PA
OG0002514	XP_034832817.1	DPOGS211366-PA
OG0002515	XP_034825924.1	DPOGS204552-PA
OG0002516	XP_034835046.1	DPOGS207509-PA
OG0002517	XP_034838496.1, XP_034838497.1	DPOGS206746-PA
OG0002518	XP_034832296.1	DPOGS204938-PA
OG0002519	XP_034841558.1	DPOGS213139-PA
OG0002520	XP_034825706.1	DPOGS205178-PA
OG0002521	XP_034837164.1	DPOGS200576-PA
OG0002522	XP_034831646.1	DPOGS213718-PA
OG0002523	XP_034828811.1	DPOGS210997-PA
OG0002524	XP_034836065.1	DPOGS205000-PA
OG0002525	XP_034828090.1	DPOGS211163-PA
OG0002526	XP_034827237.1	DPOGS213664-PA
OG0002527	XP_034837322.1	DPOGS200581-PA
OG0002528	XP_034838685.1	DPOGS201826-PA
OG0002529	XP_034836042.1	DPOGS205009-PA
OG0002530	XP_034835155.1	DPOGS215648-PA, DPOGS215649-PA
OG0002531	XP_034837904.1	DPOGS205213-PA
OG0002532	XP_034827006.1	DPOGS213660-PA
OG0002533	XP_034824079.1, XP_034824072.1	DPOGS211152-PA
OG0002534	XP_034831121.1	DPOGS213569-PA
OG0002535	XP_034835531.1	DPOGS207513-PA, DPOGS207512-PA
OG0002536	XP_034836031.1	DPOGS205011-PA
OG0002537	XP_034825460.1	DPOGS205157-PA
OG0002538	XP_034831112.1	DPOGS211008-PA, DPOGS213573-PA
OG0002539	XP_034826276.1	DPOGS213480-PA
OG0002540	XP_034830142.1	DPOGS204514-PA
OG0002541	XP_034839758.1	DPOGS200909-PA
OG0002542	XP_034838880.1	DPOGS212947-PA
OG0002543	XP_034840136.1	DPOGS212135-PA
OG0002544	XP_034833890.1	DPOGS214715-PA
OG0002545	XP_034829177.1	DPOGS201354-PA
OG0002547	XP_034840685.1	DPOGS212131-PA
OG0002548	XP_034830568.1	DPOGS205905-PA
OG0002549	XP_034836812.1, XP_034836811.1	DPOGS208588-PA
OG0002550	XP_034834462.1	DPOGS208429-PA
OG0002551	XP_034826998.1, XP_034826999.1	DPOGS208498-PA
OG0002552	XP_034841163.1	DPOGS204217-PA
OG0002553	XP_034827487.1	DPOGS212766-PA
OG0002554	XP_034836399.1	DPOGS216097-PA
OG0002555	XP_034829767.1, XP_034839833.1	DPOGS208486-PA
OG0002557	XP_034841512.1	DPOGS213125-PA
OG0002558	XP_034836989.1	DPOGS201417-PA
OG0002559	XP_034839190.1, XP_034839122.1	DPOGS201345-PA
OG0002560	XP_034835950.1, XP_034835942.1	DPOGS215780-PA
OG0002561	XP_034837761.1	DPOGS215288-PA
OG0002562	XP_034829742.1, XP_034829741.1	DPOGS211278-PA
OG0002563	XP_034837252.1	DPOGS205366-PA
OG0002564	XP_034835914.1	DPOGS202683-PA
OG0002565	XP_034838330.1	DPOGS205381-PA, DPOGS207454-PA
OG0002566	XP_034834443.1	DPOGS208437-PA
OG0002567	XP_034833509.1	DPOGS202534-PA
OG0002568	XP_034833780.1	DPOGS214724-PA
OG0002569	XP_034832454.1	DPOGS209750-PA, DPOGS209749-PA
OG0002570	XP_034840376.1	DPOGS208111-PA
OG0002571	XP_034840078.1, XP_034840077.1	DPOGS208131-PA
OG0002572	XP_034831355.1	DPOGS214805-PA, DPOGS214806-PA
OG0002573	XP_034838861.1	DPOGS215605-PA
OG0002574	XP_034841496.1	DPOGS213079-PA, DPOGS213081-PA
OG0002575	XP_034834222.1	DPOGS214599-PA
OG0002576	XP_034826677.1, XP_034826676.1	DPOGS201325-PA
OG0002577	XP_034827059.1	DPOGS208483-PA
OG0002578	XP_034825376.1	DPOGS211883-PA
OG0002579	XP_034837899.1, XP_034837901.1	DPOGS205190-PA, DPOGS205383-PA
OG0002580	XP_034833517.1	DPOGS204820-PA
OG0002581	XP_034826140.1	DPOGS213494-PA, DPOGS213465-PA, DPOGS213495-PA
OG0002582	XP_034824527.1, XP_034824528.1, XP_034824526.1	DPOGS215877-PA
OG0002583	XP_034838565.1	DPOGS203861-PA
OG0002584	XP_034827062.1	DPOGS208477-PA
OG0002585	XP_034841493.1	DPOGS213114-PA
OG0002586	XP_034835316.1	DPOGS215935-PA
OG0002587	XP_034833808.1	DPOGS214626-PA
OG0002588	XP_034826536.1, XP_034826544.1, XP_034826530.1	DPOGS201323-PA
OG0002589	XP_034836775.1	DPOGS208167-PA
OG0002590	XP_034841482.1	DPOGS213090-PA
OG0002591	XP_034837913.1	DPOGS205195-PA
OG0002592	XP_034830861.1	DPOGS203241-PA
OG0002593	XP_034826292.1	DPOGS209234-PA
OG0002594	XP_034832123.1	DPOGS201663-PA
OG0002595	XP_034840659.1, XP_034840658.1	DPOGS208129-PA
OG0002596	XP_034826759.1	DPOGS211120-PA
OG0002597	XP_034836112.1	DPOGS208173-PA, DPOGS208172-PA
OG0002598	XP_034838604.1, XP_034838605.1	DPOGS212510-PA, DPOGS205886-PA
OG0002599	XP_034833955.1, XP_034834225.1	DPOGS214628-PA
OG0002600	XP_034835431.1, XP_034835430.1	DPOGS210450-PA
OG0002601	XP_034833953.1	DPOGS204164-PA
OG0002602	XP_034838611.1, XP_034838609.1	DPOGS212241-PA, DPOGS212242-PA
OG0002603	XP_034832155.1, XP_034832153.1, XP_034832154.1	DPOGS206448-PA
OG0002604	XP_034824012.1	DPOGS213108-PA
OG0002605	XP_034840288.1, XP_034840289.1, XP_034840290.1, XP_034840287.1	DPOGS208122-PA
OG0002606	XP_034838842.1	DPOGS204909-PA
OG0002607	XP_034836909.1	DPOGS216191-PA
OG0002608	XP_034838954.1	DPOGS204919-PA
OG0002609	XP_034835414.1	DPOGS210447-PA, DPOGS210446-PA
OG0002610	XP_034831590.1	DPOGS214819-PA
OG0002611	XP_034832366.1, XP_034832368.1, XP_034832369.1	DPOGS207786-PA
OG0002612	XP_034828233.1	DPOGS203191-PA
OG0002613	XP_034831201.1	DPOGS213527-PA, DPOGS213528-PA
OG0002614	XP_034832364.1, XP_034832363.1	DPOGS207775-PA
OG0002615	XP_034829008.1	DPOGS209222-PA, DPOGS209223-PA
OG0002616	XP_034825555.1	DPOGS211961-PA, DPOGS211960-PA
OG0002617	XP_034830951.1	DPOGS203252-PA
OG0002618	XP_034837106.1	DPOGS200253-PA
OG0002619	XP_034825557.1	DPOGS211863-PA
OG0002620	XP_034840759.1	DPOGS213796-PA
OG0002621	XP_034837397.1	DPOGS202082-PA
OG0002622	XP_034825055.1, XP_034825056.1	DPOGS211967-PA
OG0002623	XP_034835550.1	DPOGS203076-PA, DPOGS210434-PA
OG0002624	XP_034840940.1	DPOGS204508-PA
OG0002625	XP_034829186.1	DPOGS209219-PA
OG0002626	XP_034835412.1	DPOGS210462-PA
OG0002627	XP_034838924.1	DPOGS215799-PA
OG0002628	XP_034840937.1	DPOGS204377-PA
OG0002629	XP_034835011.1, XP_034835012.1	DPOGS215489-PA
OG0002630	XP_034835373.1	DPOGS210467-PA
OG0002631	XP_034840753.1	DPOGS213814-PA, DPOGS213813-PA
OG0002632	XP_034835365.1	DPOGS210429-PA
OG0002633	XP_034837791.1	DPOGS215621-PA
OG0002634	XP_034838814.1	DPOGS214606-PA
OG0002635	XP_034836950.1	DPOGS208598-PA, DPOGS208597-PA
OG0002636	XP_034826235.1	DPOGS211202-PA, DPOGS211203-PA
OG0002637	XP_034827322.1, XP_034827321.1	DPOGS208581-PA
OG0002638	XP_034829190.1	DPOGS203135-PA
OG0002639	XP_034827319.1	DPOGS208457-PA
OG0002640	XP_034835356.1, XP_034835354.1	DPOGS210475-PA
OG0002641	XP_034836967.1	DPOGS208607-PA
OG0002642	XP_034839812.1, XP_034839813.1	DPOGS209683-PA
OG0002643	XP_034835359.1, XP_034835360.1	DPOGS210422-PA
OG0002644	XP_034828299.1	DPOGS203104-PA
OG0002645	XP_034833481.1	DPOGS201748-PA
OG0002646	XP_034831172.1	DPOGS213540-PA
OG0002647	XP_034836313.1	DPOGS213259-PA
OG0002648	XP_034834795.1	DPOGS200438-PA
OG0002649	XP_034840606.1	DPOGS213806-PA
OG0002650	XP_034834607.1	DPOGS201758-PA
OG0002651	XP_034827532.1	DPOGS212782-PA
OG0002652	XP_034838516.1	DPOGS212465-PA, DPOGS212464-PA
OG0002653	XP_034840942.1, XP_034840941.1	DPOGS204389-PA
OG0002654	XP_034828710.1	DPOGS211594-PA
OG0002655	XP_034840981.1	DPOGS204390-PA
OG0002656	XP_034832731.1	DPOGS210005-PA
OG0002657	XP_034832814.1	DPOGS210013-PA
OG0002658	XP_034841456.1	DPOGS204497-PA
OG0002659	XP_034835357.1	DPOGS209128-PA
OG0002660	XP_034832072.1	DPOGS206463-PA
OG0002661	XP_034826662.1, XP_034826663.1	DPOGS209874-PA
OG0002662	XP_034824093.1, XP_034824089.1, XP_034824092.1	DPOGS204393-PA
OG0002663	XP_034838423.1	DPOGS212061-PA, DPOGS212060-PA
OG0002664	XP_034837444.1	DPOGS210020-PA
OG0002665	XP_034827440.1	DPOGS211089-PA
OG0002666	XP_034831059.1	DPOGS213583-PA, DPOGS213582-PA
OG0002667	XP_034837446.1	DPOGS210028-PA, DPOGS213965-PA
OG0002668	XP_034836217.1	DPOGS200943-PA
OG0002669	XP_034830892.1	DPOGS209247-PA
OG0002670	XP_034824361.1	DPOGS202465-PA
OG0002671	XP_034824443.1	DPOGS200920-PA
OG0002672	XP_034828310.1	DPOGS212710-PA
OG0002673	XP_034833655.1	DPOGS205421-PA
OG0002674	XP_034832404.1	DPOGS203850-PA
OG0002675	XP_034829866.1, XP_034829865.1	DPOGS201261-PA
OG0002676	XP_034832393.1	DPOGS203649-PA
OG0002677	XP_034840611.1	DPOGS203051-PA
OG0002678	XP_034835379.1	DPOGS209214-PA
OG0002679	XP_034831046.1	DPOGS213579-PA
OG0002680	XP_034841362.1	DPOGS204494-PA
OG0002681	XP_034827560.1	DPOGS201816-PA
OG0002682	XP_034835337.1	DPOGS209131-PA
OG0002683	XP_034837173.1	DPOGS204802-PA
OG0002684	XP_034828468.1, XP_034828469.1	DPOGS211586-PA
OG0002685	XP_034838597.1, XP_034838427.1	DPOGS209122-PA
OG0002686	XP_034827564.1	DPOGS206871-PA
OG0002687	XP_034829871.1	DPOGS201041-PA, DPOGS201047-PA
OG0002688	XP_034831044.1	DPOGS213551-PA, DPOGS200521-PA
OG0002689	XP_034835954.1	DPOGS200963-PA
OG0002690	XP_034824438.1	DPOGS207951-PA
OG0002691	XP_034831057.1	DPOGS213577-PA
OG0002692	XP_034834279.1	DPOGS214568-PA
OG0002693	XP_034840574.1, XP_034828920.1	DPOGS211076-PA
OG0002694	XP_034835985.1	DPOGS212014-PA
OG0002694	XP_034835986.1	DPOGS212013-PA
OG0002695	XP_034826070.1	DPOGS212675-PA, DPOGS212676-PA
OG0002696	XP_034836588.1	DPOGS205980-PA
OG0002697	XP_034839502.1	DPOGS201392-PA
OG0002698	XP_034824968.1	DPOGS207947-PA
OG0002699	XP_034837296.1	DPOGS206278-PA
OG0002700	XP_034831419.1	DPOGS214796-PA
OG0002701	XP_034829455.1	DPOGS209172-PA
OG0002702	XP_034837081.1, XP_034837080.1	DPOGS206280-PA
OG0002703	XP_034839285.1, XP_034839284.1, XP_034839283.1	DPOGS206798-PA
OG0002704	XP_034835029.1	DPOGS204649-PA
OG0002705	XP_034836853.1	DPOGS214483-PA
OG0002706	XP_034836819.1	DPOGS214491-PA
OG0002707	XP_034838431.1	DPOGS201731-PA
OG0002708	XP_034841237.1	DPOGS204482-PA
OG0002709	XP_034827950.1	DPOGS212711-PA
OG0002710	XP_034841232.1	DPOGS204400-PA
OG0002711	XP_034833895.1	DPOGS214574-PA
OG0002712	XP_034835604.1, XP_034835606.1	DPOGS206016-PA
OG0002713	XP_034833904.1	DPOGS214638-PA
OG0002714	XP_034837053.1	DPOGS200561-PA
OG0002715	XP_034829345.1	DPOGS213728-PA
OG0002716	XP_034832543.1	DPOGS206705-PA
OG0002717	XP_034829366.1	DPOGS203760-PA, DPOGS213735-PA
OG0002718	XP_034841299.1	DPOGS204405-PA
OG0002719	XP_034837839.1	DPOGS201597-PA
OG0002720	XP_034839494.1	DPOGS203899-PA
OG0002721	XP_034825856.1	DPOGS212667-PA
OG0002722	XP_034840270.1	DPOGS206074-PA
OG0002723	XP_034834380.1, XP_034829639.1, XP_034829634.1	DPOGS202013-PA
OG0002724	XP_034833128.1	DPOGS209696-PA
OG0002725	XP_034829347.1	DPOGS203759-PA
OG0002726	XP_034834026.1	DPOGS214944-PA
OG0002727	XP_034835233.1, XP_034835232.1	DPOGS210490-PA
OG0002728	XP_034825870.1	DPOGS201118-PA
OG0002729	XP_034833471.1	DPOGS209703-PA
OG0002730	XP_034824818.1	DPOGS207975-PA
OG0002731	XP_034837169.1	DPOGS200552-PA
OG0002732	XP_034828002.1, XP_034828001.1	DPOGS212741-PA
OG0002733	XP_034841166.1	DPOGS204477-PA
OG0002734	XP_034837643.1	DPOGS201647-PA
OG0002735	XP_034834373.1, XP_034834372.1	DPOGS216029-PA
OG0002736	XP_034836824.1	DPOGS203741-PA
OG0002737	XP_034839762.1	DPOGS203984-PA
OG0002738	XP_034836702.1	DPOGS203740-PA
OG0002739	XP_034837055.1	DPOGS201686-PA
OG0002739	XP_034837179.1	DPOGS201685-PA
OG0002740	XP_034832533.1	DPOGS206594-PA
OG0002741	XP_034840217.1	DPOGS205074-PA
OG0002742	XP_034832547.1, XP_034832546.1	DPOGS206595-PA
OG0002744	XP_034831489.1	DPOGS207242-PA
OG0002745	XP_034829513.1	DPOGS215812-PA
OG0002746	XP_034824900.1	DPOGS215813-PA
OG0002747	XP_034825669.1	DPOGS207482-PA
OG0002748	XP_034834589.1	DPOGS216075-PA
OG0002749	XP_034830385.1	DPOGS204328-PA, DPOGS204329-PA
OG0002750	XP_034839840.1, XP_034839839.1	DPOGS203981-PA
OG0002751	XP_034825744.1	DPOGS207483-PA
OG0002752	XP_034829439.1	DPOGS203152-PA
OG0002753	XP_034837972.1	DPOGS203665-PA
OG0002754	XP_034828251.1	DPOGS207061-PA
OG0002755	XP_034831610.1	DPOGS207311-PA
OG0002756	XP_034837277.1	DPOGS201690-PA
OG0002757	XP_034824616.1, XP_034824617.1, XP_034824615.1	DPOGS207992-PA
OG0002758	XP_034831608.1, XP_034831606.1	DPOGS207309-PA
OG0002759	XP_034835113.1	DPOGS210502-PA
OG0002760	XP_034839290.1	DPOGS203958-PA
OG0002761	XP_034835791.1, XP_034835792.1	DPOGS212043-PA
OG0002762	XP_034835589.1	DPOGS210504-PA
OG0002763	XP_034829155.1	DPOGS203216-PA
OG0002764	XP_034827379.1	DPOGS214050-PA
OG0002765	XP_034824629.1, XP_034824627.1, XP_034824628.1	DPOGS215568-PA
OG0002766	XP_034830759.1	DPOGS203825-PA
