Orthogroup	Maniola_hyperantus	Junonia_coenia
OG0001476	XP_034838472.1, XP_034838473.1, XP_034838471.1	JC_15884-RA
OG0001477	XP_034836499.1	JC_13941-RA
OG0001478	XP_034824785.1, XP_034824315.1	JC_04664-RA
OG0001479	XP_034836093.1, XP_034836100.1, XP_034836077.1, XP_034836087.1	JC_01131-RA
OG0001480	XP_034834788.1	JC_10826-RA
OG0001481	XP_034834016.1	JC_12315-RA
OG0001482	XP_034826122.1	JC_14287-RA, JC_14288-RA
OG0001483	XP_034840929.1	JC_00567-RA
OG0001484	XP_034833039.1	JC_11468-RA
OG0001486	XP_034828447.1	JC_06467-RA
OG0001487	XP_034827344.1	JC_09482-RA
OG0001487	XP_034826881.1	JC_09481-RA
OG0001488	XP_034837408.1	JC_14801-RA
OG0001489	XP_034826177.1, XP_034826176.1	JC_14226-RA, JC_03240-RA
OG0001490	XP_034837028.1, XP_034837026.1	JC_15721-RA
OG0001492	XP_034839774.1, XP_034839775.1	JC_02060-RA
OG0001494	XP_034836485.1	JC_13899-RA, JC_13900-RA
OG0001495	XP_034835960.1, XP_034835959.1, XP_034835958.1	JC_13203-RA
OG0001496	XP_034838057.1	JC_16879-RA, JC_16876-RA
OG0001497	XP_034836301.1	JC_13903-RA
OG0001499	XP_034833714.1	JC_12253-RA, JC_12252-RA, JC_12251-RA
OG0001500	XP_034833470.1, XP_034833469.1	JC_05946-RA, JC_05945-RA
OG0001502	XP_034832320.1	JC_07592-RA
OG0001503	XP_034827811.1	JC_12114-RA
OG0001504	XP_034838360.1	JC_15823-RA
OG0001505	XP_034837992.1, XP_034837983.1	JC_01179-RA
OG0001506	XP_034834165.1	JC_12248-RA
OG0001507	XP_034836205.1	JC_13207-RA
OG0001508	XP_034824312.1, XP_034824313.1, XP_034824314.1	JC_04758-RA
OG0001509	XP_034833218.1, XP_034833184.1, XP_034833226.1, XP_034833205.1	JC_01182-RA
OG0001511	XP_034837822.1	JC_01183-RA
OG0001512	XP_034830691.1	JC_03334-RA
OG0001513	XP_034837159.1	JC_14719-RA
OG0001514	XP_034829452.1	JC_05308-RA, JC_05309-RA
OG0001515	XP_034830715.1	JC_01203-RA
OG0001516	XP_034831102.1, XP_034831103.1	JC_07152-RA
OG0001517	XP_034834079.1	JC_12605-RA
OG0001519	XP_034829297.1	JC_05305-RA
OG0001520	XP_034828265.1, XP_034838316.1	JC_11924-RA
OG0001521	XP_034828262.1, XP_034828259.1	JC_11927-RA
OG0001522	XP_034829363.1, XP_034829354.1, XP_034829368.1	JC_08287-RA
OG0001523	XP_034833123.1	JC_01217-RA
OG0001524	XP_034834134.1	JC_12565-RA
OG0001526	XP_034833628.1	JC_05905-RA, JC_05907-RA, JC_05909-RA, JC_05906-RA
OG0001527	XP_034826543.1, XP_034826542.1	JC_13718-RA
OG0001528	XP_034824798.1	JC_04916-RA, JC_04915-RA
OG0001529	XP_034836203.1	JC_13222-RA
OG0001530	XP_034841526.1	JC_00384-RA
OG0001531	XP_034836778.1	JC_15748-RA
OG0001532	XP_034827520.1	JC_11949-RA
OG0001533	XP_034839607.1	JC_02135-RA
OG0001534	XP_034832988.1	JC_11225-RA
OG0001535	XP_034836255.1	JC_01246-RA
OG0001536	XP_034827154.1	JC_09406-RA
OG0001537	XP_034839415.1	JC_02137-RA
OG0001538	XP_034824973.1	JC_04904-RA
OG0001539	XP_034841051.1	JC_00319-RA
OG0001540	XP_034825335.1, XP_034825332.1	JC_02694-RA
OG0001541	XP_034830485.1	JC_03281-RA
OG0001542	XP_034837423.1	JC_14737-RA, JC_14736-RA, JC_14735-RA
OG0001543	XP_034827828.1	JC_11971-RA
OG0001544	XP_034830487.1	JC_03279-RA
OG0001545	XP_034826547.1	JC_13676-RA, JC_13693-RA
OG0001546	XP_034831586.1, XP_034831585.1	JC_07140-RA
OG0001547	XP_034837415.1	JC_14744-RA
OG0001548	XP_034829918.1	JC_08810-RA
OG0001549	XP_034839524.1, XP_034824824.1	JC_04879-RA, JC_04880-RA
OG0001550	XP_034839471.1	JC_02154-RA
OG0001551	XP_034834195.1, XP_034834239.1	JC_12280-RA
OG0001552	XP_034841560.1	JC_00358-RA, JC_00359-RA, JC_00360-RA
OG0001553	XP_034827445.1	JC_11986-RA
OG0001554	XP_034835499.1	JC_10344-RA, JC_10348-RA
OG0001555	XP_034835795.1, XP_034835726.1	JC_08335-RA
OG0001556	XP_034835517.1	JC_08344-RA
OG0001557	XP_034832113.1, XP_034832114.1	JC_07539-RA
OG0001558	XP_034835793.1	JC_13260-RA
OG0001559	XP_034832012.1	JC_07666-RA
OG0001559	XP_034832009.1	JC_07665-RA
OG0001560	XP_034831156.1	JC_07112-RA
OG0001561	XP_034840029.1	JC_04130-RA
OG0001562	XP_034832402.1	JC_07683-RA
OG0001563	XP_034834544.1	JC_10933-RA
OG0001564	XP_034836391.1	JC_13756-RA, JC_13755-RA
OG0001565	XP_034833399.1	JC_00260-RA, JC_05711-RA
OG0001566	XP_034827835.1, XP_034828294.1	JC_12036-RA, JC_12037-RA
OG0001567	XP_034828855.1, XP_034828856.1, XP_034828485.1	JC_06671-RA
OG0001568	XP_034826570.1	JC_13626-RA
OG0001569	XP_034831185.1	JC_07093-RA
OG0001570	XP_034828365.1	JC_06664-RA
OG0001571	XP_034826725.1	JC_09341-RA
OG0001572	XP_034824377.1, XP_034824376.1, XP_034824375.1	JC_04852-RA
OG0001573	XP_034836633.1	JC_13789-RA, JC_13788-RA
OG0001574	XP_034840729.1	JC_04150-RA, JC_04151-RA, JC_04153-RA
OG0001576	XP_034830292.1	JC_03220-RA
OG0001577	XP_034841147.1	JC_00429-RA, JC_00428-RA, JC_00427-RA
OG0001578	XP_034833589.1	JC_01049-RA, JC_01050-RA
OG0001579	XP_034841127.1, XP_034841126.1, XP_034841125.1	JC_00435-RA
OG0001580	XP_034833565.1	JC_05805-RA
OG0001581	XP_034841270.1, XP_034841265.1	JC_00310-RA
OG0001582	XP_034841440.1, XP_034841438.1, XP_034841441.1	JC_00308-RA
OG0001583	XP_034837704.1	JC_15382-RA
OG0001584	XP_034841445.1	JC_00301-RA, JC_00302-RA, JC_00303-RA
OG0001585	XP_034839579.1	JC_01853-RA
OG0001586	XP_034837701.1, XP_034837702.1	JC_15509-RA
OG0001587	XP_034835471.1	JC_10452-RA
OG0001588	XP_034833568.1	JC_05794-RA
OG0001589	XP_034835009.1, XP_034834896.1	JC_10972-RA
OG0001590	XP_034827664.1	JC_12078-RA, JC_12079-RA, JC_12080-RA
OG0001591	XP_034832934.1	JC_11145-RA
OG0001592	XP_034828640.1	JC_06652-RA, JC_06650-RA
OG0001593	XP_034838767.1, XP_034838761.1, XP_034838772.1	JC_01070-RA
OG0001594	XP_034824934.1	JC_04815-RA
OG0001595	XP_034833978.1	JC_12576-RA
OG0001597	XP_034827808.1	JC_08454-RA, JC_08455-RA
OG0001598	XP_034830494.1	JC_03176-RA
OG0001599	XP_034830483.1, XP_034830490.1	JC_01096-RA
OG0001600	XP_034831886.1	JC_07776-RA
OG0001601	XP_034829937.1	JC_09039-RA, JC_09040-RA, JC_09041-RA
OG0001602	XP_034833428.1	JC_05831-RA, JC_05832-RA
OG0001603	XP_034827756.1	JC_16192-RA, JC_16195-RA, JC_16194-RA, JC_16196-RA
OG0001604	XP_034827610.1	JC_11772-RA
OG0001605	XP_034827624.1	JC_11779-RA
OG0001607	XP_034841410.1, XP_034841405.1, XP_034841404.1, XP_034841390.1	JC_00240-RA
OG0001608	XP_034831483.1	JC_07212-RA, JC_07211-RA
OG0001610	XP_034826073.1, XP_034826093.1, XP_034826082.1	JC_08490-RA
OG0001612	XP_034830934.1	JC_03126-RA, JC_03125-RA
OG0001613	XP_034830931.1	JC_03121-RA
OG0001614	XP_034837509.1	JC_15419-RA
OG0001615	XP_034826213.1	JC_13513-RA, JC_13514-RA
OG0001616	XP_034834386.1	JC_11030-RA
OG0001617	XP_034830170.1, XP_034830171.1	JC_09095-RA, JC_09096-RA
OG0001619	XP_034827388.1, XP_034827389.1	JC_09252-RA
OG0001620	XP_034832856.1	JC_11093-RA, JC_11092-RA
OG0001621	XP_034832040.1, XP_034832037.1, XP_034832038.1, XP_034832041.1, XP_034832039.1	JC_07851-RA
OG0001622	XP_034833384.1, XP_034833383.1	JC_05743-RA
OG0001623	XP_034841520.1	JC_00164-RA
OG0001624	XP_034827210.1	JC_09204-RA
OG0001626	XP_034828626.1	JC_08523-RA, JC_08524-RA
OG0001627	XP_034827124.1	JC_09199-RA, JC_09200-RA
OG0001628	XP_034833855.1	JC_15510-RA, JC_00880-RA
OG0001629	XP_034833360.1	JC_00882-RA
OG0001630	XP_034830329.1, XP_034830330.1	JC_03050-RA
OG0001631	XP_034838337.1	JC_00890-RA
OG0001632	XP_034826422.1	JC_13468-RA
OG0001633	XP_034841014.1	JC_00149-RA
OG0001633	XP_034824134.1	JC_00146-RA, JC_00132-RA
OG0001634	XP_034827115.1	JC_09188-RA
OG0001635	XP_034832029.1	JC_07877-RA
OG0001636	XP_034833788.1	JC_10949-RA
OG0001637	XP_034829995.1	JC_09147-RA, JC_09146-RA, JC_09144-RA, JC_09143-RA
OG0001638	XP_034827880.1	JC_11905-RA, JC_11903-RA
OG0001639	XP_034839455.1	JC_01700-RA, JC_01701-RA
OG0001640	XP_034830094.1, XP_034830095.1	JC_09157-RA
OG0001641	XP_034827971.1	JC_11649-RA
OG0001642	XP_034828028.1, XP_034828029.1, XP_034828030.1, XP_034828027.1	JC_11634-RA
OG0001643	XP_034841037.1, XP_034841036.1	JC_00093-RA
OG0001644	XP_034839395.1, XP_034839394.1	JC_01678-RA
OG0001645	XP_034826518.1, XP_034826517.1	JC_13398-RA
OG0001647	XP_034830671.1	JC_02963-RA
OG0001648	XP_034825892.1	JC_13393-RA
OG0001649	XP_034825125.1	JC_02784-RA, JC_02786-RA
OG0001650	XP_034826554.1, XP_034827461.1	JC_08580-RA
OG0001651	XP_034827909.1	JC_11622-RA, JC_11621-RA
OG0001652	XP_034827910.1	JC_11624-RA
OG0001653	XP_034840524.1	JC_04245-RA, JC_04244-RA
OG0001654	XP_034832925.1	JC_01111-RA
OG0001656	XP_034825992.1	JC_14231-RA
OG0001657	XP_034827016.1, XP_034826799.1, XP_034826800.1	JC_09689-RA, JC_09687-RA
OG0001658	XP_034826502.1	JC_14276-RA
OG0001659	XP_034831452.1, XP_034831453.1, XP_034831454.1	JC_11999-RA, JC_07218-RA
OG0001660	XP_034827409.1	JC_11968-RA
OG0001670	XP_034827785.1	JC_16374-RA, JC_16375-RA
OG0001671	XP_034837383.1	JC_14990-RA, JC_14992-RA
OG0001672	XP_034828905.1	JC_06135-RA
OG0001673	XP_034826097.1	JC_14256-RA, JC_14255-RA
OG0001674	XP_034838364.1	JC_15959-RA
OG0001676	XP_034837390.1	JC_14829-RA
OG0001678	XP_034840868.1	JC_00695-RA, JC_00694-RA
OG0001679	XP_034831977.1	JC_01604-RA, JC_01605-RA, JC_01606-RA
OG0001680	XP_034834917.1	JC_10461-RA
OG0001681	XP_034838211.1	JC_17049-RA
OG0001682	XP_034833191.1, XP_034833192.1	JC_05686-RA
OG0001683	XP_034828700.1	JC_06333-RA
OG0001684	XP_034828706.1, XP_034828705.1	JC_06335-RA, JC_06336-RA
OG0001685	XP_034837670.1, XP_034837669.1	JC_15228-RA
OG0001686	XP_034837092.1	JC_14834-RA
OG0001687	XP_034828898.1, XP_034828900.1	JC_06331-RA
OG0001688	XP_034833155.1	JC_05687-RA
OG0001689	XP_034838805.1	JC_16705-RA, JC_16706-RA
OG0001690	XP_034833930.1	JC_12816-RA, JC_12815-RA, JC_12814-RA
OG0001691	XP_034827747.1	JC_16179-RA, JC_16178-RA
OG0001692	XP_034828127.1, XP_034828126.1	JC_16187-RA, JC_16184-RA
OG0001693	XP_034835721.1	JC_07699-RA
OG0001695	XP_034832288.1	JC_07342-RA
OG0001696	XP_034835621.1	JC_10265-RA
OG0001697	XP_034830873.1, XP_034830872.1	JC_03529-RA
OG0001698	XP_034825048.1	JC_02411-RA
OG0001699	XP_034825046.1, XP_034825047.1	JC_02408-RA, JC_02409-RA
OG0001701	XP_034826435.1, XP_034826438.1, XP_034826198.1, XP_034826194.1	JC_14626-RA
OG0001702	XP_034828124.1	JC_16221-RA
OG0001703	XP_034839657.1	JC_01962-RA
OG0001704	XP_034839060.1	JC_16690-RA
OG0001705	XP_034826145.1	JC_14608-RA
OG0001706	XP_034838140.1	JC_17153-RA
OG0001707	XP_034839062.1	JC_16691-RA
OG0001709	XP_034834923.1	JC_10485-RA
OG0001710	XP_034837421.1	JC_15047-RA
OG0001711	XP_034836826.1	JC_15559-RA
OG0001713	XP_034837604.1	JC_15209-RA
OG0001714	XP_034836825.1	JC_15555-RA
OG0001715	XP_034824276.1	JC_04448-RA
OG0001716	XP_034824600.1	JC_04451-RA, JC_04450-RA
OG0001717	XP_034829122.1	JC_05554-RA
OG0001718	XP_034833763.1	JC_12806-RA
OG0001719	XP_034839032.1, XP_034839031.1	JC_16704-RA
OG0001720	XP_034835134.1	JC_10279-RA, JC_10277-RA
OG0001721	XP_034836904.1, XP_034836840.1	JC_15546-RA
OG0001722	XP_034829179.1, XP_034829472.1	JC_05551-RA
OG0001723	XP_034829248.1	JC_05538-RA, JC_05541-RA
OG0001724	XP_034840159.1, XP_034829492.1	JC_03658-RA
OG0001726	XP_034837018.1	JC_15526-RA
OG0001727	XP_034827979.1	JC_16152-RA
OG0001728	XP_034829369.1	JC_05530-RA
OG0001729	XP_034837003.1	JC_15521-RA
OG0001730	XP_034826329.1, XP_034826454.1	JC_14564-RA, JC_14565-RA
OG0001731	XP_034833854.1	JC_12788-RA
OG0001732	XP_034837598.1, XP_034837599.1	JC_15182-RA, JC_15181-RA, JC_15185-RA
OG0001733	XP_034839270.1	JC_02288-RA, JC_02287-RA
OG0001734	XP_034836906.1	JC_15518-RA
OG0001735	XP_034829468.1	JC_05529-RA
OG0001736	XP_034830476.1	JC_03567-RA
OG0001737	XP_034825946.1	JC_14414-RA
OG0001738	XP_034825642.1, XP_034825643.1	JC_02357-RA
OG0001739	XP_034834074.1	JC_12785-RA
OG0001740	XP_034837577.1, XP_034837584.1	JC_01581-RA
OG0001742	XP_034834428.1	JC_10521-RA, JC_10520-RA
OG0001743	XP_034834935.1	JC_10522-RA
OG0001744	XP_034826888.1	JC_09771-RA, JC_09772-RA, JC_09773-RA
OG0001745	XP_034836713.1	JC_15516-RA
OG0001746	XP_034840147.1, XP_034840146.1	JC_04269-RA
OG0001747	XP_034839932.1	JC_04272-RA
OG0001749	XP_034835263.1	JC_10298-RA
OG0001750	XP_034828140.1	JC_16165-RA
OG0001751	XP_034838968.1	JC_16739-RA
OG0001752	XP_034828345.1, XP_034828346.1	JC_06089-RA
OG0001753	XP_034836284.1	JC_01255-RA
OG0001755	XP_034835874.1	JC_12984-RA, JC_12982-RA, JC_12983-RA
OG0001756	XP_034827687.1	JC_16247-RA
OG0001757	XP_034829811.1	JC_08688-RA
OG0001758	XP_034828413.1	JC_06099-RA, JC_06100-RA
OG0001759	XP_034830885.1	JC_03611-RA
OG0001760	XP_034837187.1	JC_14884-RA
OG0001761	XP_034828790.1	JC_06110-RA, JC_06111-RA
OG0001762	XP_034834747.1	JC_10560-RA
OG0001763	XP_034826891.1	JC_09776-RA
OG0001764	XP_034826325.1	JC_14524-RA
OG0001765	XP_034836615.1, XP_034836614.1	JC_14113-RA
OG0001767	XP_034831377.1	JC_06817-RA
OG0001768	XP_034832595.1	JC_00171-RA, JC_11416-RA
OG0001769	XP_034835382.1	JC_10331-RA
OG0001770	XP_034833055.1	JC_11411-RA, JC_11410-RA
OG0001771	XP_034839761.1, XP_034824409.1	JC_02029-RA
OG0001772	XP_034839009.1	JC_16764-RA, JC_16763-RA, JC_16765-RA
OG0001773	XP_034839148.1	JC_02304-RA
OG0001774	XP_034834672.1	JC_10573-RA
OG0001775	XP_034826347.1	JC_14519-RA, JC_14518-RA
OG0001776	XP_034831703.1	JC_07690-RA
OG0001777	XP_034830193.1	JC_08702-RA
OG0001778	XP_034828086.1, XP_034828087.1	JC_16277-RA
OG0001779	XP_034840874.1	JC_00802-RA
OG0001780	XP_034830192.1	JC_08705-RA, JC_08706-RA
OG0001781	XP_034838697.1	JC_16017-RA
OG0001782	XP_034832253.1	JC_07414-RA
OG0001783	XP_034830181.1, XP_034830182.1	JC_08710-RA
OG0001784	XP_034838775.1	JC_16642-RA
OG0001784	XP_034838776.1	JC_16641-RA
OG0001785	XP_034828924.1, XP_034828925.1	JC_06121-RA, JC_06120-RA
OG0001786	XP_034838521.1	JC_16018-RA
OG0001787	XP_034836770.1	JC_15592-RA
OG0001788	XP_034831628.1	JC_06829-RA
OG0001789	XP_034827708.1	JC_16287-RA
OG0001790	XP_034828911.1	JC_06114-RA
OG0001791	XP_034833693.1	JC_12403-RA, JC_12404-RA
OG0001793	XP_034832847.1, XP_034832846.1	JC_11387-RA
OG0001794	XP_034826608.1	JC_14494-RA
OG0001795	XP_034838718.1	JC_16032-RA
OG0001796	XP_034828783.1, XP_034828912.1, XP_034828784.1	JC_06147-RA
OG0001797	XP_034832604.1	JC_11385-RA
OG0001798	XP_034835646.1	JC_10197-RA, JC_10198-RA
OG0001799	XP_034840329.1	JC_03735-RA
OG0001800	XP_034835679.1	JC_10195-RA
OG0001801	XP_034832569.1	JC_11378-RA
OG0001802	XP_034830023.1	JC_08726-RA
OG0001803	XP_034840881.1	JC_00815-RA, JC_00814-RA
OG0001804	XP_034838905.1	JC_16772-RA
OG0001805	XP_034826912.1	JC_09790-RA
OG0001806	XP_034834686.1	JC_10605-RA, JC_10607-RA
OG0001807	XP_034836681.1	JC_14154-RA, JC_14153-RA
OG0001808	XP_034833893.1	JC_12373-RA
OG0001809	XP_034826937.1	JC_09808-RA
OG0001810	XP_034838755.1	JC_16595-RA
OG0001811	XP_034825842.1, XP_034825843.1	JC_14435-RA
OG0001812	XP_034836604.1, XP_034836603.1, XP_034836602.1	JC_14038-RA
OG0001813	XP_034835178.1	JC_10183-RA
OG0001814	XP_034824710.1	JC_04532-RA, JC_04533-RA
OG0001815	XP_034835205.1	JC_10180-RA, JC_10181-RA
OG0001816	XP_034826787.1	JC_09690-RA
OG0001818	XP_034840445.1	JC_03746-RA, JC_03747-RA
OG0001819	XP_034834214.1	JC_12494-RA
OG0001820	XP_034827031.1	JC_09682-RA
OG0001821	XP_034828145.1	JC_16390-RA, JC_16389-RA
OG0001822	XP_034829303.1	JC_05357-RA
OG0001823	XP_034838653.1	JC_16068-RA
OG0001824	XP_034834580.1	JC_10733-RA
OG0001825	XP_034833005.1	JC_11369-RA
OG0001826	XP_034835557.1	JC_01495-RA
OG0001827	XP_034841422.1	JC_00644-RA
OG0001828	XP_034826829.1, XP_034826830.1, XP_034826832.1, XP_034826831.1, XP_034826828.1	JC_09662-RA
OG0001829	XP_034840362.1	JC_03768-RA
OG0001830	XP_034841475.1	JC_00689-RA
OG0001831	XP_034824696.1	JC_08018-RA, JC_08017-RA
OG0001832	XP_034830054.1	JC_14245-RA, JC_05222-RA, JC_11669-RA
OG0001833	XP_034828238.1	JC_16347-RA, JC_16348-RA, JC_16346-RA, JC_16345-RA, JC_16344-RA
OG0001834	XP_034836948.1	JC_15694-RA
OG0001835	XP_034824021.1, XP_034824022.1, XP_034824023.1	JC_00682-RA
OG0001836	XP_034837134.1	JC_14860-RA
OG0001838	XP_034838717.1	JC_15978-RA
OG0001839	XP_034839135.1, XP_034839206.1	JC_01481-RA
OG0001840	XP_034838409.1	JC_15982-RA, JC_15980-RA, JC_15983-RA
OG0001841	XP_034839601.1, XP_034839595.1	JC_03789-RA
OG0001842	XP_034836508.1	JC_14015-RA
OG0001843	XP_034825913.1	JC_14371-RA, JC_14370-RA
OG0001844	XP_034834551.1	JC_01810-RA
OG0001845	XP_034825086.1	JC_02489-RA, JC_02488-RA
OG0001847	XP_034836333.1	JC_14011-RA
OG0001848	XP_034838394.1	JC_16073-RA
OG0001849	XP_034825449.1	JC_02491-RA
OG0001850	XP_034827895.1	JC_16325-RA
OG0001852	XP_034837382.1	JC_15001-RA
OG0001853	XP_034825067.1	JC_02493-RA
OG0001854	XP_034828338.1	JC_06552-RA
OG0001854	XP_034834132.1	JC_12440-RA
OG0001855	XP_034829106.1	JC_05438-RA
OG0001856	XP_034834903.1, XP_034834904.1	JC_10716-RA
OG0001857	XP_034831331.1, XP_034831316.1, XP_034831324.1	JC_01456-RA
OG0001858	XP_034833464.1, XP_034833465.1	JC_06067-RA
OG0001859	XP_034830430.1	JC_01447-RA, JC_01448-RA, JC_01446-RA
OG0001860	XP_034839264.1	JC_02277-RA
OG0001863	XP_034824942.1	JC_04558-RA, JC_04556-RA
OG0001864	XP_034826489.1	JC_14352-RA
OG0001865	XP_034830846.1	JC_03482-RA
OG0001866	XP_034823968.1	JC_08079-RA
OG0001867	XP_034832777.1	JC_11335-RA
OG0001868	XP_034836668.1	JC_14000-RA
OG0001869	XP_034828592.1	JC_06387-RA
OG0001870	XP_034840563.1	JC_03808-RA, JC_03807-RA
OG0001871	XP_034826406.1, XP_034826407.1	JC_14348-RA
OG0001874	XP_034832465.1	JC_07464-RA, JC_07465-RA
OG0001875	XP_034824804.1	JC_04798-RA
OG0001876	XP_034840861.1	JC_00650-RA
OG0001877	XP_034838738.1	JC_16453-RA, JC_16452-RA
OG0001878	XP_034834534.1	JC_01425-RA
OG0001879	XP_034826498.1	JC_14341-RA
OG0001879	XP_034826181.1	JC_14343-RA
OG0001880	XP_034829532.1	JC_08948-RA
OG0001882	XP_034830551.1	JC_03467-RA, JC_03466-RA, JC_03465-RA
OG0001883	XP_034836798.1	JC_15674-RA
OG0001884	XP_034826989.1	JC_09569-RA
OG0001885	XP_034833372.1	JC_06038-RA
OG0001886	XP_034833459.1	JC_06036-RA
OG0001888	XP_034832043.1	JC_01411-RA
OG0001889	XP_034839828.1	JC_01971-RA
OG0001890	XP_034830983.1	JC_03460-RA
OG0001891	XP_034838373.1	JC_15944-RA, JC_15945-RA
OG0001892	XP_034827493.1	JC_12217-RA
OG0001893	XP_034827488.1	JC_12212-RA, JC_12213-RA
OG0001894	XP_034840190.1	JC_03846-RA
OG0001895	XP_034827129.1	JC_09621-RA, JC_09620-RA
OG0001896	XP_034838329.1	JC_16962-RA
OG0001897	XP_034825379.1, XP_034825380.1	JC_02520-RA
OG0001898	XP_034831737.1	JC_08285-RA
OG0001899	XP_034829690.1	JC_08925-RA
OG0001900	XP_034833506.1	JC_06025-RA
OG0001901	XP_034831357.1	JC_07196-RA
OG0001902	XP_034827003.1	JC_08146-RA, JC_08145-RA
OG0001903	XP_034834957.1	JC_10652-RA, JC_10654-RA, JC_10655-RA, JC_10653-RA
OG0001904	XP_034833522.1, XP_034833523.1	JC_06023-RA
OG0001905	XP_034830829.1	JC_01366-RA, JC_01368-RA, JC_01369-RA
OG0001906	XP_034827117.1, XP_034827118.1	JC_09191-RA, JC_09178-RA, JC_09190-RA
OG0001907	XP_034833791.1	JC_12741-RA, JC_12742-RA
OG0001908	XP_034832112.1, XP_034839619.1	JC_07518-RA
OG0001909	XP_034837324.1, XP_034837323.1	JC_14969-RA
OG0001910	XP_034836876.1	JC_15657-RA, JC_15659-RA
OG0001911	XP_034825515.1	JC_02532-RA
OG0001912	XP_034839541.1	JC_01979-RA
OG0001913	XP_034833811.1	JC_12738-RA
OG0001914	XP_034833795.1	JC_12736-RA
OG0001915	XP_034838856.1	JC_16433-RA
OG0001916	XP_034826666.1, XP_034826673.1	JC_08155-RA
OG0001917	XP_034824535.1, XP_034824534.1	JC_04633-RA
OG0001918	XP_034831026.1, XP_034831025.1, XP_034831027.1	JC_06968-RA
OG0001919	XP_034834330.1	JC_10657-RA
OG0001920	XP_034836878.1	JC_15645-RA, JC_15644-RA
OG0001921	XP_034831079.1	JC_06961-RA
OG0001922	XP_034837300.1	JC_14944-RA
OG0001923	XP_034839677.1, XP_034839675.1, XP_034839676.1	JC_01991-RA
OG0001925	XP_034839898.1, XP_034839905.1	JC_04314-RA
OG0001926	XP_034835147.1, XP_034835146.1	JC_09928-RA
OG0001927	XP_034838844.1	JC_16422-RA
OG0001928	XP_034829823.1	JC_08914-RA
OG0001929	XP_034839682.1	JC_01999-RA
OG0001931	XP_034839098.1	JC_16527-RA
OG0001932	XP_034830968.1, XP_034830967.1	JC_03423-RA
OG0001933	XP_034829072.1	JC_05422-RA
OG0001934	XP_034827259.1, XP_034827260.1	JC_09532-RA
OG0001935	XP_034825476.1, XP_034825475.1	JC_02558-RA, JC_02559-RA
OG0001936	XP_034826105.1, XP_034826104.1	JC_14259-RA
OG0001937	XP_034838693.1, XP_034838694.1	JC_15922-RA
OG0001938	XP_034830201.1	JC_01350-RA
OG0001939	XP_034833685.1	JC_06007-RA
OG0001940	XP_034838955.1	JC_16525-RA, JC_16526-RA
OG0001942	XP_034837307.1	JC_14929-RA, JC_14928-RA
OG0001943	XP_034832092.1, XP_034832093.1	JC_07647-RA
OG0001944	XP_034827299.1, XP_034827298.1	JC_09521-RA
OG0001945	XP_034838338.1	JC_17079-RA
OG0001946	XP_034830219.1	JC_01344-RA
OG0001947	XP_034830375.1	JC_01342-RA, JC_01343-RA
OG0001948	XP_034826848.1, XP_034826847.1	JC_09515-RA
OG0001949	XP_034832085.1, XP_034832086.1, XP_034832084.1	JC_07646-RA
OG0001950	XP_034826107.1	JC_14267-RA
OG0001951	XP_034825057.1	JC_02580-RA
OG0001952	XP_034830955.1	JC_03409-RA
OG0001953	XP_034827332.1	JC_09512-RA
OG0001954	XP_034826505.1, XP_034826510.1, XP_034826519.1	JC_08191-RA
OG0001955	XP_034827325.1	JC_10644-RA, JC_09511-RA
OG0001956	XP_034836115.1	JC_13039-RA
OG0001957	XP_034826655.1	JC_08196-RA
OG0001958	XP_034836715.1	JC_15635-RA
OG0001959	XP_034839578.1	JC_01847-RA
OG0001960	XP_034830374.1	JC_03325-RA, JC_03326-RA
OG0001961	XP_034838419.1	JC_15873-RA
OG0001962	XP_034835330.1	JC_10032-RA
OG0001963	XP_034829178.1	JC_05409-RA
OG0001964	XP_034832624.1	JC_11278-RA
OG0001965	XP_034826100.1	JC_14277-RA, JC_14278-RA
OG0001966	XP_034836494.1	JC_13943-RA, JC_13945-RA
OG0001967	XP_034830156.1	JC_08894-RA
OG0001968	XP_034825271.1	JC_02603-RA
OG0001969	XP_034826354.1	JC_08207-RA
OG0001970	XP_034825288.1	JC_02605-RA
OG0001971	XP_034826117.1	JC_14295-RA, JC_14293-RA
OG0001973	XP_034828711.1	JC_06440-RA
OG0001974	XP_034832807.1	JC_11465-RA
OG0001975	XP_034828315.1, XP_034828314.1	JC_12229-RA
OG0001976	XP_034827185.1	JC_09490-RA
OG0001977	XP_034830389.1	JC_03389-RA
OG0001978	XP_034838599.1	JC_15854-RA
OG0001979	XP_034836446.1	JC_13878-RA
OG0001980	XP_034831053.1	JC_06909-RA, JC_06908-RA
OG0001981	XP_034826204.1, XP_034826205.1, XP_034826206.1	JC_14240-RA
OG0001982	XP_034824444.1	JC_04693-RA, JC_04694-RA, JC_04692-RA
OG0001983	XP_034829396.1, XP_034829397.1	JC_05391-RA
OG0001984	XP_034831061.1, XP_034831062.1	JC_06872-RA
OG0001985	XP_034840755.1	JC_03961-RA
OG0001986	XP_034831065.1	JC_06874-RA
OG0001988	XP_034829648.1, XP_034829646.1, XP_034829647.1	JC_08878-RA
OG0001989	XP_034837998.1	JC_16849-RA, JC_16847-RA
OG0001990	XP_034831193.1, XP_034831194.1	JC_06885-RA
OG0001991	XP_034840511.1, XP_034840512.1, XP_034840513.1	JC_03972-RA, JC_03971-RA
OG0001992	XP_034835943.1	JC_13185-RA
