Orthogroup	Maniola_hyperantus	Heliconius_erato_lativitta
OG0000969	XP_034837266.1	HEL_009550-RA
OG0000970	XP_034830224.1	HEL_006109-RA
OG0000970	XP_034830225.1	HEL_006102-RA
OG0000971	XP_034835154.1	HEL_012774-RA
OG0000972	XP_034834062.1	HEL_003733-RA, HEL_003730-RA, HEL_003726-RA, HEL_003732-RA, HEL_003728-RA, HEL_003731-RA
OG0000973	XP_034826541.1	HEL_006954-RA
OG0000974	XP_034831007.1, XP_034831005.1, XP_034831006.1	HEL_007474-RA
OG0000975	XP_034832308.1, XP_034832309.1, XP_034832307.1	HEL_010757-RA
OG0000978	XP_034837514.1, XP_034837516.1, XP_034837511.1, XP_034837510.1, XP_034837517.1	HEL_005978-RA
OG0000979	XP_034832304.1	HEL_010753-RA
OG0000980	XP_034837426.1, XP_034837427.1	HEL_009522-RA
OG0000981	XP_034827402.1	HEL_009995-RA, HEL_009996-RA
OG0000982	XP_034837930.1, XP_034840464.1	HEL_003011-RA
OG0000983	XP_034829124.1	HEL_005512-RA
OG0000984	XP_034827398.1	HEL_008366-RA, HEL_008363-RA
OG0000985	XP_034829006.1, XP_034829004.1, XP_034829005.1	HEL_005511-RA
OG0000986	XP_034834900.1	HEL_013621-RA
OG0000987	XP_034839600.1	HEL_014480-RA, HEL_014481-RA
OG0000988	XP_034836480.1, XP_034836311.1	HEL_003039-RA
OG0000989	XP_034833762.1	HEL_003823-RA
OG0000990	XP_034839820.1	HEL_007061-RA
OG0000990	XP_034832003.1	HEL_012165-RA
OG0000991	XP_034837231.1, XP_034837230.1, XP_034837229.1	HEL_011905-RA
OG0000992	XP_034828007.1	HEL_013331-RA
OG0000992	XP_034828006.1	HEL_013328-RA
OG0000993	XP_034836179.1	HEL_012330-RA, HEL_012332-RA, HEL_012328-RA, HEL_012325-RA, HEL_012323-RA, HEL_012329-RA
OG0000994	XP_034836260.1	HEL_000254-RA
OG0000995	XP_034831087.1	HEL_001115-RA, HEL_001116-RA
OG0000997	XP_034824494.1, XP_034824492.1, XP_034824491.1	HEL_000007-RA, HEL_000008-RA
OG0000998	XP_034835638.1	HEL_008164-RA
OG0000999	XP_034836630.1, XP_034836632.1, XP_034836629.1	HEL_000231-RA
OG0001000	XP_034829207.1	HEL_005488-RA
OG0001001	XP_034831775.1	HEL_012248-RA
OG0001002	XP_034828169.1	HEL_013125-RA
OG0001002	XP_034827645.1	HEL_014177-RA
OG0001003	XP_034837759.1, XP_034837760.1	HEL_005925-RA, HEL_005924-RA
OG0001004	XP_034828972.1	HEL_003116-RA
OG0001005	XP_034829944.1	HEL_010642-RA
OG0001006	XP_034831334.1, XP_034831573.1	HEL_001006-RA, HEL_001005-RA, HEL_001003-RA, HEL_001008-RA
OG0001007	XP_034834875.1	HEL_012007-RA
OG0001008	XP_034827309.1, XP_034827224.1	HEL_009616-RA
OG0001010	XP_034830795.1	HEL_011496-RA
OG0001011	XP_034834391.1	HEL_012027-RA, HEL_012029-RA
OG0001012	XP_034824854.1	HEL_000140-RA, HEL_000139-RA, HEL_000141-RA
OG0001013	XP_034831912.1	HEL_006633-RA, HEL_006634-RA
OG0001015	XP_034827878.1	HEL_008317-RA
OG0001016	XP_034830088.1	HEL_010313-RA, HEL_010312-RA, HEL_010311-RA, HEL_010310-RA
OG0001017	XP_034834212.1	HEL_003217-RA
OG0001017	XP_034834313.1	HEL_003216-RA
OG0001018	XP_034830090.1	HEL_010332-RA, HEL_010333-RA
OG0001019	XP_034828897.1	HEL_013095-RA
OG0001019	XP_034828896.1	HEL_013092-RA
OG0001020	XP_034830777.1	HEL_011412-RA, HEL_011411-RA, HEL_011409-RA, HEL_011408-RA, HEL_011410-RA, HEL_011407-RA
OG0001021	XP_034832023.1, XP_034832178.1, XP_034832177.1	HEL_011985-RA
OG0001022	XP_034826059.1	HEL_008511-RA
OG0001023	XP_034830297.1	HEL_003311-RA
OG0001024	XP_034841238.1	HEL_013123-RA
OG0001025	XP_034826525.1	HEL_008492-RA
OG0001026	XP_034830434.1, XP_034830432.1, XP_034830433.1	HEL_012824-RA
OG0001028	XP_034840201.1	HEL_011644-RA
OG0001029	XP_034828473.1	HEL_003240-RA
OG0001030	XP_034828512.1	HEL_003236-RA
OG0001032	XP_034836752.1	HEL_006777-RA
OG0001032	XP_034833598.1	HEL_006776-RA
OG0001035	XP_034830404.1, XP_034830403.1	HEL_010283-RA, HEL_014353-RA, HEL_014355-RA, HEL_010284-RA
OG0001043	XP_034833199.1	HEL_007336-RA
OG0001043	XP_034833200.1	HEL_007337-RA
OG0001044	XP_034825764.1, XP_034825762.1	HEL_014042-RA
OG0001045	XP_034829503.1	HEL_005353-RA
OG0001046	XP_034830921.1	HEL_009466-RA, HEL_009467-RA
OG0001048	XP_034838818.1	HEL_013002-RA
OG0001049	XP_034838826.1	HEL_013967-RA
OG0001051	XP_034833265.1	HEL_013879-RA, HEL_013878-RA
OG0001052	XP_034834771.1	HEL_011333-RA
OG0001053	XP_034838494.1	HEL_006983-RA, HEL_006984-RA
OG0001054	XP_034839679.1	HEL_013228-RA
OG0001055	XP_034841008.1, XP_034841009.1, XP_034841007.1	HEL_001719-RA
OG0001056	XP_034831990.1, XP_034832019.1	HEL_011994-RA
OG0001057	XP_034839035.1, XP_034839034.1	HEL_013048-RA
OG0001059	XP_034835825.1, XP_034835826.1	HEL_002035-RA, HEL_002036-RA
OG0001060	XP_034837215.1	HEL_009226-RA
OG0001061	XP_034830942.1	HEL_009492-RA
OG0001062	XP_034836574.1	HEL_000463-RA
OG0001065	XP_034833499.1	HEL_013867-RA, HEL_013866-RA
OG0001066	XP_034837801.1	HEL_002208-RA
OG0001067	XP_034838795.1	HEL_011670-RA
OG0001068	XP_034840209.1	HEL_010499-RA
OG0001069	XP_034823955.1, XP_034823956.1	HEL_001724-RA
OG0001070	XP_034831392.1, XP_034831531.1	HEL_000751-RA
OG0001072	XP_034833223.1	HEL_007349-RA, HEL_007350-RA
OG0001073	XP_034841271.1, XP_034841258.1	HEL_002265-RA, HEL_002266-RA
OG0001074	XP_034837024.1	HEL_005420-RA, HEL_005421-RA
OG0001076	XP_034837806.1	HEL_004070-RA
OG0001077	XP_034837805.1	HEL_004074-RA
OG0001078	XP_034839274.1	HEL_013247-RA
OG0001079	XP_034837727.1	HEL_002221-RA, HEL_002222-RA
OG0001082	XP_034840692.1	HEL_010519-RA
OG0001082	XP_034840693.1	HEL_000129-RA
OG0001083	XP_034832655.1	HEL_009000-RA
OG0001084	XP_034827677.1	HEL_013914-RA, HEL_013911-RA
OG0001085	XP_034839008.1	HEL_011753-RA
OG0001086	XP_034836239.1	HEL_002079-RA
OG0001087	XP_034832679.1, XP_034832673.1, XP_034832692.1, XP_034832685.1	HEL_012423-RA
OG0001089	XP_034840700.1	HEL_010541-RA
OG0001089	XP_034840699.1	HEL_010542-RA
OG0001090	XP_034839154.1, XP_034831540.1	HEL_000791-RA
OG0001091	XP_034825289.1	HEL_002277-RA, HEL_002276-RA
OG0001092	XP_034833151.1	HEL_011534-RA
OG0001093	XP_034830595.1, XP_034830594.1, XP_034830593.1, XP_034830877.1, XP_034830878.1	HEL_010275-RA
OG0001094	XP_034833234.1	HEL_009711-RA
OG0001095	XP_034830203.1	HEL_007795-RA
OG0001096	XP_034837370.1	HEL_011855-RA, HEL_011853-RA
OG0001097	XP_034838217.1	HEL_004150-RA
OG0001098	XP_034834741.1, XP_034834742.1	HEL_005697-RA
OG0001099	XP_034836243.1	HEL_002105-RA, HEL_002106-RA
OG0001101	XP_034838468.1	HEL_011291-RA
OG0001102	XP_034834095.1	HEL_003618-RA, HEL_003620-RA, HEL_003621-RA, HEL_003622-RA
OG0001103	XP_034828547.1, XP_034828548.1	HEL_011082-RA
OG0001104	XP_034837928.1	HEL_004117-RA
OG0001105	XP_034827355.1	HEL_010226-RA
OG0001106	XP_034839047.1	HEL_011682-RA
OG0001107	XP_034828272.1	HEL_009936-RA
OG0001108	XP_034838964.1, XP_034838961.1, XP_034838962.1	HEL_011780-RA
OG0001109	XP_034832251.1	HEL_003557-RA
OG0001109	XP_034832250.1	HEL_003559-RA
OG0001110	XP_034834412.1, XP_034834406.1, XP_034834405.1	HEL_012030-RA
OG0001111	XP_034829845.1, XP_034829846.1	HEL_006025-RA
OG0001112	XP_034828018.1	HEL_010117-RA
OG0001114	XP_034825038.1	HEL_008418-RA, HEL_008417-RA
OG0001115	XP_034836146.1, XP_034836144.1, XP_034836145.1	HEL_002140-RA
OG0001116	XP_034825957.1	HEL_004959-RA
OG0001118	XP_034824743.1	HEL_007674-RA, HEL_014138-RA, HEL_007672-RA
OG0001119	XP_034830504.1	HEL_011476-RA
OG0001119	XP_034830792.1	HEL_011474-RA
OG0001120	XP_034834048.1, XP_034834047.1	HEL_014233-RA, HEL_014234-RA, HEL_014235-RA
OG0001121	XP_034837403.1	HEL_009287-RA, HEL_009286-RA
OG0001122	XP_034838901.1, XP_034838898.1, XP_034838899.1, XP_034838897.1	HEL_013934-RA, HEL_013932-RA, HEL_013933-RA
OG0001123	XP_034832680.1	HEL_011198-RA
OG0001124	XP_034833061.1	HEL_011195-RA
OG0001125	XP_034825746.1	HEL_002340-RA
OG0001126	XP_034840858.1	HEL_001663-RA
OG0001126	XP_034841559.1	HEL_001661-RA
OG0001127	XP_034834767.1	HEL_002584-RA
OG0001128	XP_034832467.1	HEL_003576-RA, HEL_003575-RA
OG0001129	XP_034834475.1, XP_034834474.1	HEL_005801-RA
OG0001130	XP_034837088.1	HEL_009261-RA
OG0001131	XP_034836038.1, XP_034836036.1, XP_034836035.1, XP_034836037.1	HEL_001939-RA
OG0001133	XP_034840559.1	HEL_009109-RA
OG0001134	XP_034829785.1	HEL_002358-RA
OG0001137	XP_034840540.1	HEL_009121-RA
OG0001139	XP_034824215.1, XP_034824214.1	HEL_013262-RA
OG0001140	XP_034836804.1, XP_034836805.1, XP_034836806.1	HEL_004637-RA
OG0001141	XP_034836663.1	HEL_000394-RA, HEL_000391-RA
OG0001143	XP_034840687.1	HEL_009138-RA, HEL_009142-RA, HEL_009140-RA, HEL_009143-RA
OG0001144	XP_034824512.1	HEL_013265-RA, HEL_013266-RA
OG0001145	XP_034835897.1	HEL_001966-RA, HEL_001967-RA
OG0001146	XP_034838301.1	HEL_013689-RA
OG0001148	XP_034832452.1	HEL_010707-RA
OG0001149	XP_034831368.1	HEL_009787-RA
OG0001151	XP_034824551.1, XP_034824549.1, XP_034824557.1	HEL_013302-RA
OG0001152	XP_034825389.1	HEL_008813-RA, HEL_008816-RA, HEL_008818-RA, HEL_008814-RA, HEL_008817-RA
OG0001153	XP_034826585.1, XP_034826584.1	HEL_004902-RA, HEL_004903-RA, HEL_004901-RA
OG0001154	XP_034833781.1	HEL_005162-RA
OG0001156	XP_034839671.1, XP_034839674.1, XP_034839673.1	HEL_009651-RA
OG0001157	XP_034826098.1	HEL_004889-RA
OG0001158	XP_034833960.1	HEL_005169-RA, HEL_005168-RA, HEL_005171-RA
OG0001160	XP_034826096.1	HEL_004880-RA
OG0001161	XP_034838809.1	HEL_012972-RA, HEL_012973-RA
OG0001162	XP_034835409.1	HEL_006549-RA, HEL_006551-RA
OG0001163	XP_034826095.1	HEL_004871-RA
OG0001164	XP_034826091.1, XP_034826090.1	HEL_004862-RA
OG0001165	XP_034826246.1	HEL_002444-RA
OG0001167	XP_034825281.1	HEL_008746-RA
OG0001168	XP_034834232.1, XP_034834014.1	HEL_005185-RA
OG0001169	XP_034838587.1	HEL_000614-RA
OG0001170	XP_034828867.1	HEL_004285-RA, HEL_004283-RA, HEL_004284-RA
OG0001171	XP_034833356.1	HEL_011553-RA, HEL_011550-RA
OG0001172	XP_034835945.1	HEL_001859-RA
OG0001173	XP_034837183.1, XP_034837184.1	HEL_011862-RA
OG0001174	XP_034833042.1	HEL_008988-RA
OG0001175	XP_034834051.1	HEL_005213-RA, HEL_005212-RA
OG0001176	XP_034824477.1, XP_034824482.1, XP_034824476.1	HEL_010875-RA
OG0001177	XP_034840319.1, XP_034840327.1	HEL_002491-RA, HEL_002490-RA
OG0001178	XP_034837108.1	HEL_011881-RA
OG0001178	XP_034837294.1	HEL_011878-RA
OG0001179	XP_034830210.1	HEL_006145-RA, HEL_006146-RA
OG0001180	XP_034841316.1, XP_034841315.1, XP_034841314.1	HEL_001518-RA
OG0001181	XP_034826072.1	HEL_004787-RA, HEL_004786-RA
OG0001182	XP_034833247.1, XP_034833246.1, XP_034833248.1	HEL_007267-RA, HEL_007274-RA
OG0001183	XP_034829358.1, XP_034829357.1	HEL_005594-RA
OG0001186	XP_034837832.1	HEL_002861-RA, HEL_002860-RA
OG0001187	XP_034829367.1	HEL_005585-RA
OG0001188	XP_034831673.1, XP_034831671.1, XP_034831672.1	HEL_001123-RA
OG0001189	XP_034834972.1, XP_034834364.1	HEL_005849-RA
OG0001190	XP_034830052.1	HEL_012846-RA, HEL_012850-RA
OG0001191	XP_034827993.1	HEL_014206-RA, HEL_014207-RA, HEL_014208-RA
OG0001192	XP_034824062.1	HEL_001497-RA
OG0001193	XP_034836714.1	HEL_004742-RA, HEL_004741-RA, HEL_004740-RA
OG0001194	XP_034835748.1	HEL_001820-RA, HEL_001821-RA
OG0001197	XP_034831272.1, XP_034831281.1, XP_034831263.1	HEL_002825-RA
OG0001198	XP_034834513.1	HEL_012729-RA
OG0001200	XP_034833497.1, XP_034833539.1	HEL_014008-RA
OG0001201	XP_034838882.1, XP_034838904.1, XP_034838913.1, XP_034838889.1, XP_034838896.1	HEL_002804-RA
OG0001204	XP_034837555.1	HEL_012855-RA, HEL_005990-RA, HEL_005989-RA
OG0001205	XP_034831170.1	HEL_001075-RA
OG0001206	XP_034840383.1	HEL_003002-RA, HEL_003003-RA
OG0001208	XP_034825505.1, XP_034825504.1	HEL_004566-RA
OG0001209	XP_034836432.1, XP_034836456.1	HEL_002775-RA
OG0001210	XP_034830819.1	HEL_007441-RA, HEL_007442-RA, HEL_007440-RA
OG0001211	XP_034834192.1	HEL_003811-RA, HEL_003810-RA, HEL_003809-RA, HEL_003812-RA, HEL_003808-RA
OG0001212	XP_034832142.1, XP_034832141.1	HEL_010742-RA
OG0001213	XP_034830818.1	HEL_007426-RA
OG0001214	XP_034835902.1	HEL_012349-RA, HEL_012350-RA, HEL_012351-RA
OG0001215	XP_034837439.1	HEL_009503-RA
OG0001216	XP_034832434.1	HEL_012171-RA
OG0001217	XP_034837706.1	HEL_002171-RA
OG0001217	XP_034837596.1	HEL_002173-RA, HEL_002175-RA
OG0001218	XP_034833710.1, XP_034834190.1	HEL_003826-RA, HEL_003825-RA, HEL_003827-RA
OG0001219	XP_034824167.1	HEL_001381-RA
OG0001220	XP_034828014.1, XP_034828013.1, XP_034828015.1	HEL_013333-RA
OG0001221	XP_034832905.1	HEL_012259-RA
OG0001222	XP_034829021.1	HEL_005495-RA
OG0001223	XP_034841159.1	HEL_001389-RA
OG0001224	XP_034835469.1	HEL_008153-RA, HEL_008156-RA
OG0001225	XP_034835451.1, XP_034835452.1	HEL_008157-RA, HEL_008158-RA
OG0001226	XP_034841118.1	HEL_001421-RA, HEL_001422-RA
OG0001227	XP_034832201.1	HEL_012217-RA, HEL_012216-RA, HEL_012215-RA, HEL_012218-RA
OG0001228	XP_034834276.1	HEL_003866-RA
OG0001229	XP_034835280.1	HEL_008175-RA
OG0001230	XP_034836277.1	HEL_000223-RA
OG0001231	XP_034830312.1	HEL_007390-RA, HEL_007391-RA
OG0001232	XP_034834376.1	HEL_013599-RA
OG0001233	XP_034836278.1	HEL_000217-RA, HEL_000218-RA
OG0001234	XP_034828410.1, XP_034828407.1	HEL_003081-RA
OG0001235	XP_034831031.1	HEL_000961-RA, HEL_000962-RA
OG0001236	XP_034831373.1	HEL_000963-RA, HEL_000964-RA
OG0001237	XP_034824160.1	HEL_001310-RA
OG0001238	XP_034826626.1	HEL_014428-RA, HEL_014429-RA
OG0001239	XP_034826592.1	HEL_014426-RA
OG0001241	XP_034824158.1	HEL_001294-RA
OG0001242	XP_034829134.1	HEL_003146-RA
OG0001243	XP_034827609.1	HEL_013371-RA
OG0001244	XP_034831455.1	HEL_009773-RA
OG0001245	XP_034833551.1, XP_034833158.1, XP_034833435.1	HEL_007207-RA
OG0001247	XP_034825795.1	HEL_012944-RA
OG0001248	XP_034828882.1	HEL_012866-RA
OG0001249	XP_034835488.1	HEL_008135-RA
OG0001250	XP_034824192.1	HEL_000109-RA
OG0001251	XP_034832481.1	HEL_012634-RA
OG0001252	XP_034834275.1	HEL_004080-RA
OG0001253	XP_034837110.1	HEL_003171-RA
OG0001254	XP_034835443.1	HEL_008147-RA
OG0001255	XP_034839819.1, XP_034839818.1	HEL_007063-RA
OG0001256	XP_034827381.1	HEL_006218-RA
OG0001257	XP_034834377.1	HEL_012026-RA
OG0001259	XP_034833898.1, XP_034831947.1	HEL_006637-RA, HEL_006636-RA
OG0001259	XP_034831888.1	HEL_006635-RA
OG0001260	XP_034827877.1	HEL_008307-RA, HEL_008312-RA
OG0001261	XP_034827114.1, XP_034826926.1	HEL_006245-RA
OG0001262	XP_034825170.1, XP_034825171.1, XP_034825172.1	HEL_004433-RA
OG0001263	XP_034830781.1	HEL_011431-RA, HEL_011430-RA
OG0001264	XP_034826427.1, XP_034826429.1	HEL_008539-RA, HEL_008538-RA
OG0001265	XP_034824128.1	HEL_001175-RA
OG0001265	XP_034824130.1	HEL_001177-RA
OG0001266	XP_034826395.1	HEL_008524-RA
OG0001267	XP_034826392.1	HEL_008521-RA
OG0001268	XP_034824114.1	HEL_001169-RA
OG0001270	XP_034823896.1	HEL_001155-RA
OG0001271	XP_034830324.1	HEL_012856-RA
OG0001272	XP_034826041.1, XP_034826043.1, XP_034826042.1	HEL_008497-RA
OG0001273	XP_034833728.1	HEL_006707-RA, HEL_006709-RA, HEL_006708-RA
OG0001274	XP_034841034.1	HEL_001137-RA, HEL_001139-RA
OG0001275	XP_034826623.1	HEL_008495-RA
OG0001276	XP_034832997.1	HEL_003292-RA
OG0001278	XP_034825138.1	HEL_004484-RA
OG0001279	XP_034839309.1	HEL_007148-RA
OG0001280	XP_034827668.1, XP_034827667.1	HEL_008374-RA
OG0001281	XP_034837316.1	HEL_003256-RA
OG0001282	XP_034825907.1	HEL_008455-RA, HEL_008456-RA
OG0001282	XP_034825906.1	HEL_008454-RA
OG0001283	XP_034826641.1	HEL_008441-RA
OG0001284	XP_034825986.1	HEL_008436-RA
OG0001285	XP_034839183.1, XP_034839180.1, XP_034839181.1, XP_034839182.1	HEL_007098-RA
OG0001287	XP_034838780.1	HEL_011720-RA
OG0001291	XP_034825351.1	HEL_003947-RA
OG0001293	XP_034828779.1, XP_034828780.1	HEL_011086-RA, HEL_011087-RA, HEL_011085-RA
OG0001301	XP_034838883.1	HEL_013954-RA
OG0001302	XP_034838205.1	HEL_004162-RA
OG0001303	XP_034832766.1	HEL_008966-RA
OG0001304	XP_034832552.1	HEL_008965-RA
OG0001305	XP_034824886.1, XP_034824887.1	HEL_007645-RA, HEL_007651-RA
OG0001306	XP_034829014.1	HEL_005500-RA
OG0001307	XP_034828698.1	HEL_011012-RA
OG0001308	XP_034835917.1	HEL_001894-RA
OG0001309	XP_034834270.1	HEL_005068-RA
OG0001310	XP_034838269.1	HEL_004103-RA
OG0001311	XP_034831927.1	HEL_003491-RA, HEL_003490-RA, HEL_003489-RA
OG0001312	XP_034828137.1	HEL_012703-RA, HEL_012702-RA
OG0001314	XP_034832227.1, XP_034832783.1	HEL_014201-RA, HEL_014202-RA
OG0001315	XP_034836482.1	HEL_000449-RA
OG0001316	XP_034835989.1	HEL_001887-RA
OG0001318	XP_034837374.1, XP_034837375.1	HEL_009306-RA, HEL_009304-RA
OG0001319	XP_034829763.1	HEL_007743-RA
OG0001320	XP_034831208.1	HEL_000697-RA, HEL_000694-RA, HEL_000695-RA
OG0001321	XP_034827752.1	HEL_012693-RA, HEL_012694-RA
OG0001322	XP_034828119.1	HEL_012695-RA
OG0001323	XP_034838138.1	HEL_004047-RA
OG0001324	XP_034839156.1, XP_034833035.1	HEL_008953-RA
OG0001324	XP_034839153.1, XP_034833034.1	HEL_008952-RA
OG0001325	XP_034839167.1, XP_034839170.1	HEL_009694-RA
OG0001326	XP_034829479.1, XP_034829480.1	HEL_005337-RA
OG0001327	XP_034825940.1	HEL_005020-RA
OG0001332	XP_034825051.1	HEL_004010-RA
OG0001333	XP_034836564.1	HEL_000452-RA
OG0001334	XP_034826191.1	HEL_003392-RA
OG0001335	XP_034832265.1	HEL_003461-RA
OG0001336	XP_034831438.1	HEL_000714-RA
OG0001337	XP_034827744.1	HEL_012667-RA, HEL_012673-RA
OG0001338	XP_034838518.1, XP_034838520.1	HEL_000615-RA
OG0001339	XP_034836583.1	HEL_000457-RA
OG0001341	XP_034837819.1	HEL_004031-RA
OG0001342	XP_034836699.1, XP_034836698.1	HEL_005390-RA
OG0001343	XP_034835834.1	HEL_002045-RA
OG0001344	XP_034827757.1	HEL_012656-RA, HEL_012655-RA
OG0001345	XP_034841253.1, XP_034841254.1, XP_034841255.1	HEL_001710-RA
OG0001346	XP_034827262.1	HEL_002250-RA
OG0001347	XP_034831803.1, XP_034834941.1	HEL_000739-RA
OG0001348	XP_034837151.1	HEL_009232-RA, HEL_009234-RA
OG0001350	XP_034837057.1, XP_034837059.1	HEL_009559-RA
OG0001352	XP_034833865.1, XP_034833864.1	HEL_005091-RA
OG0001353	XP_034838083.1	HEL_004056-RA
OG0001354	XP_034838100.1	HEL_004067-RA
OG0001356	XP_034835640.1	HEL_008191-RA, HEL_008190-RA
OG0001358	XP_034823935.1	HEL_001749-RA
OG0001359	XP_034836349.1	HEL_003563-RA, HEL_000471-RA
OG0001360	XP_034827422.1	HEL_013893-RA
OG0001364	XP_034838374.1	HEL_011253-RA
OG0001365	XP_034840691.1	HEL_010521-RA
OG0001366	XP_034839249.1, XP_034839248.1	HEL_009662-RA
OG0001368	XP_034839243.1	HEL_009663-RA
OG0001369	XP_034824608.1	HEL_007577-RA, HEL_007576-RA
OG0001370	XP_034837131.1	HEL_013517-RA, HEL_013518-RA
OG0001371	XP_034830252.1, XP_034830017.1	HEL_007769-RA
OG0001372	XP_034834669.1	HEL_005679-RA
OG0001373	XP_034841206.1	HEL_001700-RA, HEL_001699-RA
OG0001374	XP_034830093.1, XP_034830078.1, XP_034830086.1	HEL_012428-RA
OG0001376	XP_034840967.1	HEL_001776-RA
OG0001377	XP_034836354.1	HEL_000488-RA, HEL_000489-RA
OG0001379	XP_034841161.1	HEL_001788-RA
OG0001380	XP_034839256.1, XP_034839255.1	HEL_013229-RA
OG0001381	XP_034837833.1	HEL_004022-RA
OG0001382	XP_034834693.1	HEL_005691-RA
OG0001383	XP_034825348.1	HEL_003956-RA, HEL_003957-RA
OG0001384	XP_034838779.1	HEL_011721-RA
OG0001385	XP_034830197.1, XP_034830199.1	HEL_007797-RA
OG0001387	XP_034840696.1, XP_034840695.1	HEL_010554-RA
OG0001389	XP_034830022.1	HEL_007793-RA
OG0001392	XP_034826373.1, XP_034826374.1, XP_034826375.1	HEL_005065-RA
OG0001393	XP_034824609.1	HEL_007565-RA
OG0001394	XP_034829243.1	HEL_010851-RA
OG0001395	XP_034840436.1	HEL_000511-RA
OG0001396	XP_034838464.1	HEL_011296-RA
OG0001398	XP_034837202.1, XP_034837201.1, XP_034837204.1, XP_034837203.1	HEL_013498-RA, HEL_013497-RA
OG0001399	XP_034827772.1	HEL_010123-RA
OG0001400	XP_034833747.1, XP_034833746.1	HEL_003675-RA
OG0001401	XP_034828694.1	HEL_011100-RA, HEL_011101-RA, HEL_011103-RA, HEL_011102-RA, HEL_011104-RA
OG0001404	XP_034829463.1	HEL_010843-RA, HEL_010844-RA
OG0001405	XP_034837292.1	HEL_011844-RA
OG0001406	XP_034831994.1	HEL_003561-RA
OG0001407	XP_034827665.1	HEL_010105-RA
OG0001408	XP_034839011.1	HEL_011792-RA
OG0001409	XP_034830345.1	HEL_009453-RA, HEL_009455-RA, HEL_009452-RA
OG0001410	XP_034834325.1	HEL_013861-RA
OG0001411	XP_034830731.1, XP_034830732.1	HEL_009451-RA
OG0001412	XP_034834436.1, XP_034834429.1	HEL_005806-RA
OG0001413	XP_034827042.1	HEL_008075-RA
OG0001414	XP_034838246.1, XP_034838245.1	HEL_004135-RA
OG0001415	XP_034824281.1	HEL_007699-RA, HEL_007698-RA, HEL_007697-RA
OG0001416	XP_034838894.1	HEL_013938-RA
OG0001417	XP_034835528.1	HEL_006437-RA, HEL_006435-RA, HEL_006872-RA
OG0001418	XP_034839064.1, XP_034839056.1	HEL_002561-RA
OG0001419	XP_034839160.1, XP_034839163.1	HEL_002565-RA
OG0001420	XP_034825788.1, XP_034825790.1, XP_034825805.1, XP_034825797.1	HEL_002339-RA
OG0001423	XP_034828812.1	HEL_004339-RA, HEL_004338-RA, HEL_004340-RA, HEL_004343-RA, HEL_004341-RA
OG0001426	XP_034827554.1	HEL_014220-RA
OG0001428	XP_034839670.1	HEL_009669-RA
OG0001429	XP_034825459.1	HEL_008843-RA
OG0001430	XP_034836226.1	HEL_001956-RA
OG0001432	XP_034839655.1	HEL_012088-RA, HEL_012089-RA
OG0001434	XP_034835533.1	HEL_006475-RA, HEL_006473-RA, HEL_006470-RA
OG0001435	XP_034840684.1	HEL_009131-RA, HEL_009130-RA
OG0001436	XP_034838543.1	HEL_000552-RA
OG0001437	XP_034826990.1	HEL_008018-RA, HEL_008019-RA, HEL_008017-RA
OG0001439	XP_034824573.1	HEL_013272-RA
OG0001439	XP_034824751.1	HEL_013276-RA
OG0001440	XP_034833783.1, XP_034833785.1, XP_034833784.1	HEL_005120-RA
OG0001441	XP_034830862.1, XP_034830863.1	HEL_009383-RA
OG0001442	XP_034832448.1	HEL_010705-RA
OG0001442	XP_034832451.1	HEL_010706-RA
OG0001443	XP_034837216.1	HEL_002631-RA
OG0001446	XP_034831613.1	HEL_000927-RA, HEL_000928-RA, HEL_000926-RA, HEL_000925-RA
OG0001447	XP_034824520.1, XP_034824519.1	HEL_013306-RA
OG0001448	XP_034836174.1, XP_034836175.1	HEL_001994-RA, HEL_001993-RA
OG0001449	XP_034840267.1, XP_034827271.1	HEL_007933-RA
OG0001450	XP_034835092.1, XP_034835091.1	HEL_006516-RA
OG0001452	XP_034835442.1	HEL_006522-RA, HEL_006527-RA
OG0001455	XP_034825687.1	HEL_008788-RA, HEL_008787-RA
OG0001456	XP_034831248.1	HEL_000905-RA, HEL_000903-RA, HEL_000902-RA
OG0001457	XP_034823961.1, XP_034823959.1	HEL_001601-RA, HEL_001600-RA
OG0001458	XP_034831510.1, XP_034831511.1	HEL_000900-RA, HEL_000901-RA
OG0001459	XP_034831514.1	HEL_000898-RA, HEL_000896-RA
OG0001460	XP_034839202.1	HEL_009642-RA
OG0001461	XP_034838838.1	HEL_013738-RA
OG0001462	XP_034827297.1	HEL_007914-RA, HEL_007913-RA, HEL_007915-RA
OG0001463	XP_034834351.1	HEL_005764-RA, HEL_005765-RA
OG0001464	XP_034840763.1	HEL_009186-RA
OG0001465	XP_034834954.1	HEL_005756-RA, HEL_005757-RA
OG0001465	XP_034834634.1	HEL_005761-RA
OG0001466	XP_034830130.1, XP_034830140.1	HEL_002675-RA
OG0001468	XP_034836585.1	HEL_000365-RA, HEL_000366-RA, HEL_000368-RA, HEL_000364-RA
OG0001469	XP_034834951.1, XP_034834772.1	HEL_005747-RA
OG0001471	XP_034825561.1	HEL_008765-RA
OG0001472	XP_034827326.1	HEL_007903-RA
OG0001473	XP_034838054.1	HEL_013682-RA, HEL_013681-RA
OG0001474	XP_034838462.1	HEL_000610-RA
OG0001475	XP_034836500.1, XP_034836501.1	HEL_000353-RA
