Orthogroup	Maniola_hyperantus	Pararge_aegeria
OG0002102	XP_034841530.1	XP_039765867.1
OG0002103	XP_034835447.1	XP_039759256.1
OG0002104	XP_034826908.1	XP_039751502.1
OG0002105	XP_034830549.1	XP_039754154.1
OG0002106	XP_034826752.1	XP_039751504.1
OG0002107	XP_034828234.1	XP_039764863.1, XP_039764864.1
OG0002108	XP_034834163.1	XP_039757763.1
OG0002109	XP_034832923.1	XP_039756986.1
OG0002110	XP_034826492.1	XP_039751944.1
OG0002111	XP_034830554.1	XP_039753007.1, XP_039753014.1, XP_039753022.1
OG0002112	XP_034835635.1	XP_039759411.1
OG0002113	XP_034827314.1	XP_039751494.1
OG0002114	XP_034833217.1	XP_039758342.1
OG0002115	XP_034831684.1	XP_039755327.1
OG0002116	XP_034836195.1	XP_039760030.1
OG0002117	XP_034824765.1	XP_039748695.1
OG0002118	XP_034830302.1	XP_039754128.1, XP_039754126.1, XP_039754084.1
OG0002119	XP_034824502.1	XP_039748852.1
OG0002120	XP_034829978.1	XP_039750014.1
OG0002121	XP_034827938.1	XP_039752554.1
OG0002122	XP_034840732.1, XP_034840734.1, XP_034840735.1, XP_034840736.1	XP_039747044.1, XP_039747045.1
OG0002123	XP_034839583.1	XP_039763688.1
OG0002124	XP_034831732.1	XP_039753019.1
OG0002125	XP_034829559.1	XP_039749634.1
OG0002126	XP_034828190.1, XP_034840163.1	XP_039764838.1
OG0002127	XP_034830294.1	XP_039754591.1
OG0002128	XP_034839581.1	XP_039763175.1
OG0002129	XP_034828713.1	XP_039763317.1
OG0002130	XP_034837752.1	XP_039761559.1, XP_039761558.1, XP_039761560.1
OG0002131	XP_034826222.1, XP_034826221.1	XP_039748108.1, XP_039748120.1, XP_039748128.1
OG0002132	XP_034833309.1, XP_034833308.1, XP_034833307.1, XP_034833310.1	XP_039758568.1
OG0002133	XP_034832868.1, XP_034832876.1	XP_039760631.1
OG0002134	XP_034830042.1	XP_039749594.1
OG0002135	XP_034839128.1	XP_039763386.1, XP_039764092.1
OG0002136	XP_034825364.1, XP_034825363.1	XP_039746314.1, XP_039746315.1
OG0002137	XP_034832714.1	XP_039756978.1
OG0002138	XP_034833556.1, XP_034833159.1	XP_039758697.1, XP_039758698.1
OG0002139	XP_034837557.1	XP_039761721.1, XP_039761725.1, XP_039761724.1, XP_039761723.1
OG0002140	XP_034831562.1	XP_039755639.1
OG0002141	XP_034831354.1	XP_039755678.1
OG0002142	XP_034829925.1	XP_039750177.1
OG0002143	XP_034829941.1	XP_039749822.1
OG0002144	XP_034829940.1	XP_039749820.1, XP_039749821.1, XP_039749819.1
OG0002145	XP_034827606.1	XP_039752510.1
OG0002146	XP_034840116.1	XP_039747171.1, XP_039747172.1
OG0002147	XP_034828673.1	XP_039750923.1
OG0002148	XP_034841470.1	XP_039765919.1
OG0002149	XP_034830802.1	XP_039753815.1
OG0002150	XP_034830422.1	XP_039754283.1
OG0002152	XP_034827105.1	XP_039751192.1
OG0002153	XP_034825793.1	XP_039747409.1, XP_039747401.1, XP_039747391.1
OG0002154	XP_034828930.1	XP_039754989.1
OG0002155	XP_034827597.1	XP_039751845.1
OG0002156	XP_034824269.1	XP_039749082.1
OG0002157	XP_034837757.1	XP_039761503.1
OG0002158	XP_034835446.1	XP_039758959.1
OG0002159	XP_034832609.1	XP_039757339.1
OG0002160	XP_034827039.1	XP_039757340.1
OG0002161	XP_034832498.1	XP_039753644.1, XP_039753645.1, XP_039753643.1
OG0002163	XP_034830964.1	XP_039760077.1, XP_039760085.1, XP_039760093.1
OG0002164	XP_034830510.1	XP_039754155.1
OG0002165	XP_034841400.1, XP_034841401.1	XP_039745242.1
OG0002166	XP_034833107.1	XP_039757006.1
OG0002167	XP_034824299.1	XP_039765181.1
OG0002168	XP_034832501.1	XP_039752868.1, XP_039752869.1
OG0002169	XP_034828628.1	XP_039750562.1
OG0002170	XP_034839565.1	XP_039764141.1
OG0002171	XP_034832016.1	XP_039753279.1
OG0002172	XP_034826379.1	XP_039764865.1
OG0002173	XP_034833102.1	XP_039757310.1
OG0002174	XP_034830499.1	XP_039753972.1
OG0002175	XP_034837490.1	XP_039761529.1
OG0002177	XP_034831644.1	XP_039755410.1
OG0002178	XP_034827879.1	XP_039764588.1
OG0002179	XP_034827850.1	XP_039764593.1, XP_039764592.1
OG0002180	XP_034840424.1, XP_034840428.1	XP_039746722.1
OG0002181	XP_034830786.1, XP_034830750.1	XP_039754361.1
OG0002182	XP_034832634.1, XP_034832635.1	XP_039757231.1, XP_039757232.1, XP_039757230.1
OG0002183	XP_034825177.1, XP_034825178.1, XP_034825180.1, XP_034825179.1	XP_039745858.1
OG0002184	XP_034830890.1, XP_034830891.1	XP_039754578.1
OG0002185	XP_034825010.1	XP_039746140.1
OG0002186	XP_034830780.1	XP_039754193.1
OG0002187	XP_034824993.1	XP_039745846.1
OG0002188	XP_034829681.1	XP_039749965.1
OG0002189	XP_034826396.1	XP_039765303.1
OG0002190	XP_034826296.1	XP_039750275.1
OG0002191	XP_034831842.1, XP_034831833.1	XP_039753407.1, XP_039753408.1
OG0002192	XP_034839513.1	XP_039764052.1
OG0002193	XP_034829983.1	XP_039749424.1, XP_039749423.1
OG0002194	XP_034831755.1, XP_034831757.1, XP_034831756.1	XP_039753190.1
OG0002195	XP_034828199.1	XP_039751782.1
OG0002196	XP_034840151.1	XP_039747127.1
OG0002197	XP_034823915.1, XP_034823916.1	XP_039765907.1, XP_039765906.1
OG0002198	XP_034823908.1	XP_039745322.1
OG0002199	XP_034831262.1	XP_039764532.1
OG0002200	XP_034841048.1	XP_039765315.1, XP_039765313.1, XP_039765312.1
OG0002201	XP_034841041.1, XP_034841042.1, XP_034841043.1	XP_039765316.1
OG0002203	XP_034839397.1	XP_039763719.1, XP_039763720.1
OG0002204	XP_034824434.1	XP_039749267.1
OG0002205	XP_034825664.1, XP_034825663.1, XP_034825662.1	XP_039746242.1
OG0002206	XP_034825297.1, XP_034825296.1, XP_034825298.1	XP_039746366.1, XP_039746365.1
OG0002207	XP_034825596.1	XP_039746246.1
OG0002208	XP_034830674.1, XP_034830673.1	XP_039753854.1
OG0002209	XP_034841013.1	XP_039765974.1
OG0002210	XP_034841002.1	XP_039765333.1
OG0002211	XP_034826736.1	XP_039764704.1
OG0002212	XP_034827894.1	XP_039751922.1, XP_039751799.1
OG0002213	XP_034825130.1	XP_039746083.1
OG0002214	XP_034825156.1	XP_039746149.1
OG0002215	XP_034826631.1	XP_039745498.1
OG0002216	XP_034839198.1	XP_039763767.1, XP_039763766.1, XP_039763765.1
OG0002217	XP_034824670.1	XP_039764694.1
OG0002218	XP_034824415.1	XP_039764763.1
OG0002219	XP_034826297.1	XP_039765824.1, XP_039765833.1
OG0002220	XP_034825909.1, XP_034825910.1	XP_039765979.1
OG0002221	XP_034831820.1	XP_039761198.1
OG0002222	XP_034828501.1	XP_039763702.1
OG0002223	XP_034839236.1	XP_039763548.1
OG0002224	XP_034836631.1	XP_039757656.1
OG0002225	XP_034841070.1	XP_039765680.1
OG0002226	XP_034836582.1	XP_039757782.1
OG0002227	XP_034834289.1	XP_039759999.1
OG0002228	XP_034836859.1	XP_039761176.1
OG0002230	XP_034826184.1, XP_034826186.1	XP_039748528.1
OG0002231	XP_034838460.1	XP_039748429.1
OG0002232	XP_034834899.1	XP_039760371.1
OG0002233	XP_034833562.1	XP_039758442.1
OG0002234	XP_034832146.1	XP_039753397.1, XP_039753394.1, XP_039753398.1, XP_039753395.1, XP_039753396.1
OG0002235	XP_034830979.1, XP_034824722.1	XP_039754141.1, XP_039754139.1
OG0002238	XP_034835437.1	XP_039759360.1, XP_039759359.1, XP_039759362.1, XP_039759361.1
OG0002240	XP_034841071.1	XP_039765352.1, XP_039765351.1
OG0002244	XP_034837944.1, XP_034836645.1, XP_034828933.1, XP_034836476.1	XP_039761881.1, XP_039759627.1, XP_039758853.1, XP_039753352.1, XP_039759600.1, XP_039753356.1, XP_039751198.1, XP_039750741.1
OG0002247	XP_034825378.1	XP_039746322.1
OG0002248	XP_034836430.1	XP_039748106.1
OG0002249	XP_034839119.1, XP_034839118.1	XP_039762933.1
OG0002250	XP_034829507.1	XP_039755256.1
OG0002251	XP_034830869.1	XP_039754011.1
OG0002253	XP_034839918.1, XP_034828988.1	XP_039754884.1
OG0002254	XP_034833201.1	XP_039758755.1, XP_039758757.1, XP_039758754.1
OG0002255	XP_034823922.1	XP_039764436.1
OG0002256	XP_034826138.1, XP_034826137.1, XP_034826136.1	XP_039746474.1
OG0002257	XP_034831878.1	XP_039753384.1
OG0002258	XP_034828707.1, XP_034828708.1	XP_039750528.1, XP_039750529.1
OG0002259	XP_034841226.1	XP_039764827.1
OG0002260	XP_034833716.1	XP_039757776.1
OG0002261	XP_034838268.1	XP_039762056.1
OG0002262	XP_034838185.1	XP_039762141.1
OG0002263	XP_034836802.1	XP_039761013.1
OG0002264	XP_034830919.1	XP_039754216.1
OG0002265	XP_034836104.1, XP_034836103.1, XP_034836105.1	XP_039760265.1
OG0002266	XP_034827749.1	XP_039752030.1
OG0002267	XP_034832145.1	XP_039756319.1
OG0002268	XP_034832291.1, XP_034832292.1	XP_039753504.1
OG0002269	XP_034835624.1	XP_039759491.1
OG0002270	XP_034837378.1	XP_039760764.1
OG0002271	XP_034823941.1, XP_034823942.1	XP_039765843.1
OG0002272	XP_034839948.1, XP_034829553.1	XP_039749565.1
OG0002273	XP_034838828.1	XP_039763006.1, XP_039763007.1
OG0002274	XP_034826789.1	XP_039751499.1
OG0002275	XP_034826434.1, XP_034826439.1, XP_034826437.1	XP_039749208.1
OG0002276	XP_034832115.1	XP_039752835.1, XP_039752836.1
OG0002277	XP_034827754.1	XP_039752018.1
OG0002278	XP_034836720.1	XP_039760932.1
OG0002279	XP_034830452.1	XP_039754176.1
OG0002280	XP_034830455.1	XP_039753949.1
OG0002281	XP_034830461.1	XP_039754437.1, XP_039754436.1
OG0002282	XP_034826192.1, XP_034826193.1	XP_039746305.1
OG0002283	XP_034837818.1	XP_039762265.1
OG0002284	XP_034830450.1	XP_039754434.1
OG0002285	XP_034829948.1, XP_034830081.1	XP_039749953.1
OG0002286	XP_034832723.1, XP_034832724.1	XP_039757083.1
OG0002287	XP_034836845.1	XP_039761091.1
OG0002288	XP_034826812.1	XP_039751598.1
OG0002289	XP_034837715.1	XP_039761595.1, XP_039761596.1
OG0002290	XP_034839325.1	XP_039763858.1
OG0002291	XP_034831351.1	XP_039755559.1
OG0002292	XP_034839604.1, XP_034839521.1	XP_039759729.1
OG0002293	XP_034824279.1	XP_039764878.1, XP_039764879.1
OG0002294	XP_034825852.1	XP_039746948.1
OG0002295	XP_034838192.1	XP_039762148.1
OG0002296	XP_034825325.1	XP_039746295.1
OG0002297	XP_034831010.1	XP_039753347.1
OG0002298	XP_034837142.1	XP_039760381.1, XP_039760380.1
OG0002299	XP_034837420.1	XP_039760743.1
OG0002300	XP_034840843.1	XP_039765581.1
OG0002301	XP_034838804.1	XP_039762925.1, XP_039762924.1
OG0002302	XP_034839036.1	XP_039762919.1
OG0002303	XP_034838177.1	XP_039762175.1
OG0002305	XP_034839429.1	XP_039763488.1
OG0002306	XP_034825302.1	XP_039746134.1
OG0002307	XP_034825528.1	XP_039746130.1, XP_039763099.1, XP_039763937.1
OG0002308	XP_034824727.1	XP_039749103.1
OG0002309	XP_034832982.1, XP_034832983.1	XP_039757070.1
OG0002310	XP_034827965.1, XP_034827964.1	XP_039752302.1, XP_039752303.1
OG0002311	XP_034839029.1	XP_039762589.1
OG0002312	XP_034836700.1, XP_034836701.1	XP_039761209.1
OG0002313	XP_034837217.1	XP_039760870.1
OG0002314	XP_034831921.1	XP_039753530.1
OG0002315	XP_034836560.1	XP_039747727.1
OG0002316	XP_034826358.1	XP_039746934.1
OG0002317	XP_034838807.1	XP_039762505.1
OG0002318	XP_034836130.1	XP_039759983.1, XP_039759984.1
OG0002319	XP_034833395.1	XP_039758361.1
OG0002321	XP_034835244.1	XP_039759220.1
OG0002322	XP_034835508.1	XP_039759414.1, XP_039759413.1
OG0002323	XP_034836128.1	XP_039760073.1
OG0002324	XP_034824647.1	XP_039748538.1
OG0002325	XP_034838943.1	XP_039762786.1
OG0002326	XP_034837719.1	XP_039761815.1
OG0002327	XP_034824932.1	XP_039748536.1
OG0002328	XP_034828288.1, XP_034828287.1	XP_039752059.1
OG0002329	XP_034835858.1	XP_039760137.1, XP_039760138.1
OG0002330	XP_034827672.1	XP_039751817.1, XP_039751818.1
OG0002331	XP_034824725.1	XP_039749180.1
OG0002332	XP_034832958.1, XP_034832959.1	XP_039757278.1
OG0002333	XP_034834835.1	XP_039756066.1, XP_039756065.1
OG0002334	XP_034837724.1	XP_039761592.1
OG0002335	XP_034837563.1	XP_039754116.1
OG0002336	XP_034827762.1	XP_039752015.1
OG0002337	XP_034830141.1	XP_039749914.1
OG0002338	XP_034826885.1	XP_039751662.1
OG0002339	XP_034837430.1	XP_039759260.1, XP_039759251.1
OG0002340	XP_034825121.1	XP_039746230.1
OG0002341	XP_034835765.1	XP_039759946.1
OG0002342	XP_034838102.1	XP_039761979.1
OG0002343	XP_034828797.1	XP_039750970.1
OG0002344	XP_034837206.1	XP_039760511.1, XP_039760510.1
OG0002346	XP_034834063.1	XP_039757563.1
OG0002347	XP_034824920.1	XP_039764689.1
OG0002348	XP_034836902.1	XP_039761237.1
OG0002349	XP_034826332.1	XP_039764722.1, XP_039764731.1
OG0002350	XP_034834023.1, XP_034834024.1	XP_039757815.1, XP_039757817.1
OG0002352	XP_034837200.1	XP_039760689.1
OG0002353	XP_034837821.1, XP_034838230.1, XP_034838231.1, XP_034838232.1	XP_039762346.1
OG0002354	XP_034839258.1	XP_039764038.1
OG0002355	XP_034828954.1	XP_039754765.1
OG0002356	XP_034838991.1	XP_039762868.1
OG0002357	XP_034838981.1	XP_039762706.1
OG0002358	XP_034829899.1	XP_039749888.1
OG0002359	XP_034838552.1, XP_034838558.1	XP_039754868.1
OG0002360	XP_034838136.1	XP_039761847.1
OG0002361	XP_034834776.1	XP_039752398.1
OG0002362	XP_034826336.1, XP_034826335.1	XP_039747801.1
OG0002363	XP_034833051.1	XP_039757270.1
OG0002364	XP_034836073.1	XP_039760005.1, XP_039760004.1
OG0002365	XP_034839000.1, XP_034839001.1, XP_034838999.1	XP_039762693.1
OG0002366	XP_034833315.1	XP_039758731.1
OG0002367	XP_034840713.1	XP_039747218.1
OG0002368	XP_034829617.1	XP_039749722.1, XP_039749723.1
OG0002369	XP_034838365.1	XP_039748348.1
OG0002371	XP_034836384.1	XP_039748360.1
OG0002372	XP_034832589.1	XP_039757103.1
OG0002373	XP_034840718.1	XP_039746902.1, XP_039746904.1
OG0002374	XP_034832588.1	XP_039757071.1
OG0002375	XP_034835500.1	XP_039759672.1
OG0002376	XP_034840716.1	XP_039746786.1
OG0002377	XP_034827684.1, XP_034827683.1	XP_039752809.1
OG0002378	XP_034836772.1	XP_039761035.1
OG0002379	XP_034827770.1	XP_039751960.1
OG0002380	XP_034837035.1	XP_039761018.1
OG0002381	XP_034836795.1	XP_039760963.1
OG0002382	XP_034834673.1	XP_039756749.1
OG0002383	XP_034841065.1, XP_034841063.1	XP_039765904.1
OG0002384	XP_034838130.1	XP_039761968.1, XP_039761977.1
OG0002385	XP_034834662.1	XP_039756409.1
OG0002386	XP_034831726.1	XP_039752840.1
OG0002387	XP_034831100.1	XP_039755474.1
OG0002388	XP_034841069.1	XP_039745474.1
OG0002389	XP_034828083.1	XP_039752253.1
OG0002390	XP_034825295.1	XP_039764631.1
OG0002391	XP_034834925.1	XP_039758987.1
OG0002392	XP_034833827.1	XP_039757892.1
OG0002393	XP_034832441.1	XP_039752924.1, XP_039752926.1
OG0002394	XP_034832686.1	XP_039757389.1
OG0002395	XP_034831625.1	XP_039755430.1
OG0002396	XP_034833692.1	XP_039758112.1
OG0002397	XP_034825347.1	XP_039746241.1
OG0002398	XP_034830187.1	XP_039749639.1
OG0002399	XP_034837392.1	XP_039760582.1
OG0002400	XP_034826021.1	XP_039748464.1
OG0002401	XP_034835660.1, XP_034835652.1	XP_039759092.1
OG0002402	XP_034838209.1	XP_039762190.1, XP_039762189.1, XP_039762192.1
OG0002403	XP_034839262.1, XP_034839263.1	XP_039763486.1, XP_039763487.1
OG0002404	XP_034832102.1	XP_039753153.1
OG0002405	XP_034838728.1, XP_034838727.1	XP_039747956.1, XP_039747957.1
OG0002406	XP_034839151.1	XP_039763986.1
OG0002407	XP_034837349.1	XP_039760665.1
OG0002408	XP_034838482.1	XP_039747769.1
OG0002409	XP_034835522.1	XP_039759037.1
OG0002410	XP_034825683.1	XP_039746468.1
OG0002411	XP_034834103.1	XP_039757696.1
OG0002412	XP_034839280.1	XP_039763501.1
OG0002413	XP_034834096.1	XP_039757770.1
OG0002414	XP_034841533.1	XP_039745221.1, XP_039745220.1
OG0002415	XP_034834249.1	XP_039757741.1, XP_039757801.1
OG0002416	XP_034837111.1	XP_039760484.1
OG0002417	XP_034834116.1	XP_039757796.1
OG0002418	XP_034839040.1	XP_039762766.1
OG0002419	XP_034826479.1	XP_039750498.1
OG0002419	XP_034826478.1	XP_039747122.1
OG0002420	XP_034836362.1	XP_039748423.1
OG0002421	XP_034827354.1	XP_039751497.1
OG0002422	XP_034824998.1	XP_039764461.1
OG0002423	XP_034841555.1	XP_039745122.1
OG0002425	XP_034837952.1	XP_039762003.1
OG0002426	XP_034835417.1	XP_039761895.1, XP_039761901.1
OG0002427	XP_034834722.1, XP_034834721.1, XP_034834723.1	XP_039756230.1
OG0002428	XP_034827346.1	XP_039751215.1
OG0002429	XP_034836122.1	XP_039759852.1
OG0002430	XP_034835456.1	XP_039756660.1
OG0002431	XP_034837673.1	XP_039757840.1
OG0002432	XP_034839044.1	XP_039763005.1
OG0002433	XP_034840356.1	XP_039747014.1
OG0002434	XP_034833740.1, XP_034833739.1	XP_039757708.1, XP_039757707.1
OG0002435	XP_034837192.1	XP_039760635.1
OG0002436	XP_034828362.1	XP_039750967.1
OG0002437	XP_034840894.1	XP_039745484.1
OG0002438	XP_034828020.1, XP_034828021.1	XP_039752632.1, XP_039752633.1
OG0002439	XP_034828026.1	XP_039752425.1
OG0002440	XP_034838563.1	XP_039748006.1
OG0002441	XP_034827655.1	XP_039752771.1
OG0002442	XP_034836411.1	XP_039748116.1
OG0002443	XP_034830031.1	XP_039750057.1
OG0002444	XP_034828720.1	XP_039750326.1
OG0002445	XP_034838975.1	XP_039762839.1
OG0002446	XP_034828153.1, XP_034828152.1	XP_039752616.1
OG0002447	XP_034836788.1, XP_034836787.1	XP_039761077.1
OG0002448	XP_034828482.1	XP_039750724.1
OG0002449	XP_034836163.1, XP_034836162.1	XP_039760169.1
OG0002450	XP_034835181.1	XP_039759493.1, XP_039759494.1
OG0002451	XP_034836137.1	XP_039760106.1
OG0002452	XP_034835487.1	XP_039753285.1
OG0002453	XP_034838391.1	XP_039748212.1
OG0002455	XP_034825155.1	XP_039745613.1
OG0002456	XP_034838139.1	XP_039762215.1
OG0002457	XP_034839431.1	XP_039764090.1, XP_039764089.1
OG0002458	XP_034837185.1	XP_039760717.1
OG0002459	XP_034835399.1	XP_039759488.1, XP_039759487.1
OG0002460	XP_034830733.1	XP_039753892.1
OG0002461	XP_034835324.1	XP_039759315.1
OG0002462	XP_034838910.1	XP_039762988.1
OG0002463	XP_034836487.1	XP_039748412.1, XP_039748411.1
OG0002464	XP_034834337.1	XP_039756670.1
OG0002465	XP_034834338.1	XP_039756512.1
OG0002466	XP_034835527.1	XP_039759461.1
OG0002467	XP_034838744.1	XP_039762883.1
OG0002469	XP_034838248.1	XP_039762329.1
OG0002470	XP_034839108.1	XP_039762887.1
OG0002471	XP_034831264.1	XP_039755390.1
OG0002472	XP_034838740.1	XP_039762833.1
OG0002473	XP_034835769.1	XP_039760142.1, XP_039760140.1, XP_039760143.1, XP_039760141.1
OG0002475	XP_034829665.1	XP_039749753.1, XP_039749755.1, XP_039749754.1
OG0002477	XP_034830125.1	XP_039749708.1
OG0002478	XP_034837890.1	XP_039761986.1
OG0002479	XP_034837353.1, XP_034837135.1	XP_039760644.1
OG0002480	XP_034832244.1	XP_039753724.1
OG0002481	XP_034837340.1	XP_039760506.1
OG0002483	XP_034834044.1	XP_039757658.1
OG0002484	XP_034835931.1	XP_039760147.1
OG0002485	XP_034838893.1	XP_039762810.1, XP_039762814.1, XP_039762809.1, XP_039762811.1
OG0002486	XP_034825926.1	XP_039749554.1
OG0002487	XP_034825947.1	XP_039765099.1
OG0002488	XP_034827906.1	XP_039752665.1
OG0002489	XP_034828510.1	XP_039750830.1
OG0002490	XP_034833167.1	XP_039758518.1
OG0002491	XP_034835393.1	XP_039759530.1
OG0002492	XP_034832575.1, XP_034832572.1, XP_034832574.1	XP_039757235.1, XP_039757234.1
OG0002493	XP_034825922.1	XP_039748311.1
OG0002494	XP_034838384.1	XP_039748305.1
OG0002495	XP_034839217.1	XP_039758833.1, XP_039758828.1, XP_039758839.1
OG0002496	XP_034838638.1	XP_039748189.1
OG0002497	XP_034824333.1	XP_039749172.1
OG0002498	XP_034839049.1	XP_039762971.1
OG0002499	XP_034837385.1	XP_039760778.1
OG0002500	XP_034825912.1	XP_039748300.1
OG0002501	XP_034830564.1, XP_034830565.1	XP_039754511.1, XP_039754510.1
OG0002502	XP_034832553.1	XP_039757117.1, XP_039757125.1
OG0002503	XP_034835935.1	XP_039760254.1
OG0002504	XP_034829103.1	XP_039754732.1
OG0002505	XP_034838886.1	XP_039762861.1
OG0002506	XP_034835614.1	XP_039759194.1
OG0002507	XP_034831342.1	XP_039754081.1
OG0002508	XP_034830556.1	XP_039754480.1
OG0002509	XP_034835939.1, XP_034835742.1	XP_039759926.1
OG0002510	XP_034838938.1, XP_034838940.1	XP_039762917.1
OG0002511	XP_034834967.1	XP_039756314.1
OG0002512	XP_034826869.1	XP_039751675.1
OG0002513	XP_034835938.1, XP_034835937.1	XP_039760046.1, XP_039760047.1
OG0002514	XP_034832817.1	XP_039756797.1
OG0002515	XP_034825924.1	XP_039746413.1
OG0002516	XP_034835046.1	XP_039759003.1
OG0002517	XP_034838496.1, XP_034838497.1	XP_039748437.1
OG0002518	XP_034832296.1	XP_039753556.1
OG0002519	XP_034841558.1	XP_039745501.1
OG0002520	XP_034825706.1	XP_039746334.1
OG0002521	XP_034837164.1	XP_039760819.1
OG0002522	XP_034831646.1	XP_039755498.1
OG0002523	XP_034828811.1	XP_039750825.1
OG0002524	XP_034836065.1	XP_039759918.1, XP_039759919.1, XP_039759917.1
OG0002526	XP_034827237.1	XP_039751333.1, XP_039751331.1, XP_039751013.1
OG0002527	XP_034837322.1	XP_039760696.1
OG0002528	XP_034838685.1	XP_039747709.1
OG0002529	XP_034836042.1	XP_039759881.1
OG0002530	XP_034835155.1	XP_039759741.1
OG0002531	XP_034837904.1	XP_039761965.1
OG0002532	XP_034827006.1	XP_039751519.1
OG0002533	XP_034824079.1, XP_034824072.1	XP_039763662.1
OG0002534	XP_034831121.1	XP_039755335.1
OG0002535	XP_034835531.1	XP_039763085.1, XP_039759485.1
OG0002537	XP_034825460.1	XP_039745798.1
OG0002538	XP_034831112.1	XP_039755766.1
OG0002539	XP_034826276.1	XP_039750475.1, XP_039750482.1, XP_039750466.1
OG0002540	XP_034830142.1	XP_039749404.1
OG0002541	XP_034839758.1	XP_039763689.1
OG0002542	XP_034838880.1	XP_039762685.1
OG0002543	XP_034840136.1	XP_039746658.1
OG0002544	XP_034833890.1	XP_039757572.1
OG0002545	XP_034829177.1	XP_039764960.1
OG0002546	XP_034833340.1, XP_034833338.1, XP_034833339.1	XP_039758489.1, XP_039758490.1
OG0002547	XP_034840685.1	XP_039747234.1
OG0002548	XP_034830568.1	XP_039754144.1, XP_039754143.1
OG0002549	XP_034836812.1, XP_034836811.1	XP_039761334.1, XP_039761335.1
OG0002550	XP_034834462.1	XP_039756531.1
OG0002551	XP_034826998.1, XP_034826999.1	XP_039751247.1
OG0002552	XP_034841163.1	XP_039765527.1
OG0002553	XP_034827487.1	XP_039752502.1
OG0002554	XP_034836399.1	XP_039748173.1, XP_039748172.1, XP_039748175.1
OG0002555	XP_034829767.1, XP_034839833.1	XP_039763527.1
OG0002556	XP_034831364.1, XP_034831362.1, XP_034831363.1	XP_039755480.1
OG0002557	XP_034841512.1	XP_039765953.1
OG0002558	XP_034836989.1	XP_039753138.1, XP_039753128.1
OG0002559	XP_034839190.1, XP_034839122.1	XP_039763456.1, XP_039763448.1
OG0002560	XP_034835950.1, XP_034835942.1	XP_039757632.1, XP_039757622.1
OG0002561	XP_034837761.1	XP_039764500.1
OG0002562	XP_034829742.1, XP_034829741.1	XP_039749991.1, XP_039749992.1
OG0002563	XP_034837252.1	XP_039760832.1, XP_039760830.1, XP_039760833.1
OG0002564	XP_034835914.1	XP_039760186.1
OG0002565	XP_034838330.1	XP_039761929.1, XP_039761928.1
OG0002566	XP_034834443.1	XP_039756335.1
OG0002567	XP_034833509.1	XP_039758310.1
OG0002568	XP_034833780.1	XP_039757604.1
OG0002569	XP_034832454.1	XP_039752858.1, XP_039752857.1
OG0002570	XP_034840376.1	XP_039747228.1
OG0002571	XP_034840078.1, XP_034840077.1	XP_039747229.1
OG0002572	XP_034831355.1	XP_039755936.1
OG0002573	XP_034838861.1	XP_039762488.1, XP_039762484.1, XP_039762295.1, XP_039762485.1
OG0002574	XP_034841496.1	XP_039765646.1
OG0002575	XP_034834222.1	XP_039757667.1
OG0002576	XP_034826677.1, XP_034826676.1	XP_039765199.1, XP_039765200.1
OG0002577	XP_034827059.1	XP_039751664.1
OG0002578	XP_034825376.1	XP_039745818.1, XP_039745817.1
OG0002579	XP_034837901.1	XP_039762425.1
OG0002580	XP_034833517.1	XP_039758502.1
OG0002581	XP_034826140.1	XP_039745509.1
OG0002582	XP_034824527.1, XP_034824528.1, XP_034824526.1	XP_039748744.1
OG0002583	XP_034838565.1	XP_039747672.1
OG0002584	XP_034827062.1	XP_039751561.1
OG0002585	XP_034841493.1	XP_039745320.1, XP_039765563.1, XP_039745477.1
OG0002586	XP_034835316.1	XP_039759527.1, XP_039759528.1, XP_039759526.1
OG0002587	XP_034833808.1	XP_039757733.1, XP_039757732.1
OG0002588	XP_034826536.1, XP_034826544.1, XP_034826530.1	XP_039764859.1
OG0002589	XP_034836775.1	XP_039761339.1, XP_039761340.1
OG0002590	XP_034841482.1	XP_039745190.1
OG0002591	XP_034837913.1	XP_039762450.1
OG0002592	XP_034830861.1	XP_039753950.1
OG0002593	XP_034826292.1	XP_039750578.1
OG0002594	XP_034832123.1	XP_039752931.1, XP_039752929.1, XP_039752930.1
OG0002595	XP_034840659.1, XP_034840658.1	XP_039747143.1
OG0002596	XP_034826759.1	XP_039763574.1
OG0002597	XP_034836112.1	XP_039759963.1
OG0002598	XP_034838604.1, XP_034838605.1	XP_039747805.1
OG0002600	XP_034835431.1	XP_039759589.1, XP_039759431.1
OG0002600	XP_034835430.1	XP_039759474.1, XP_039759588.1
OG0002601	XP_034833953.1	XP_039758141.1, XP_039758140.1
OG0002602	XP_034838611.1, XP_034838609.1	XP_039747572.1
OG0002603	XP_034832155.1, XP_034832153.1, XP_034832154.1	XP_039752839.1
OG0002604	XP_034824012.1	XP_039765807.1
OG0002605	XP_034840288.1, XP_034840289.1, XP_034840290.1, XP_034840287.1	XP_039746612.1
OG0002607	XP_034836909.1	XP_039761364.1
OG0002608	XP_034838954.1	XP_039762580.1
OG0002609	XP_034835414.1	XP_039759403.1
OG0002610	XP_034831590.1	XP_039755649.1
OG0002611	XP_034832366.1, XP_034832368.1, XP_034832369.1	XP_039753147.1
OG0002612	XP_034828233.1	XP_039751769.1, XP_039751770.1
OG0002613	XP_034831201.1	XP_039755449.1
