Orthogroup	Danaus_plexippus	Maniola_hyperantus
OG0002521	DPOGS200576-PA	XP_034837164.1
OG0002522	DPOGS213718-PA	XP_034831646.1
OG0002523	DPOGS210997-PA	XP_034828811.1
OG0002524	DPOGS205000-PA	XP_034836065.1
OG0002525	DPOGS211163-PA	XP_034828090.1
OG0002526	DPOGS213664-PA	XP_034827237.1
OG0002527	DPOGS200581-PA	XP_034837322.1
OG0002528	DPOGS201826-PA	XP_034838685.1
OG0002529	DPOGS205009-PA	XP_034836042.1
OG0002530	DPOGS215648-PA, DPOGS215649-PA	XP_034835155.1
OG0002531	DPOGS205213-PA	XP_034837904.1
OG0002532	DPOGS213660-PA	XP_034827006.1
OG0002533	DPOGS211152-PA	XP_034824079.1, XP_034824072.1
OG0002534	DPOGS213569-PA	XP_034831121.1
OG0002535	DPOGS207513-PA, DPOGS207512-PA	XP_034835531.1
OG0002536	DPOGS205011-PA	XP_034836031.1
OG0002537	DPOGS205157-PA	XP_034825460.1
OG0002538	DPOGS211008-PA, DPOGS213573-PA	XP_034831112.1
OG0002539	DPOGS213480-PA	XP_034826276.1
OG0002540	DPOGS204514-PA	XP_034830142.1
OG0002541	DPOGS200909-PA	XP_034839758.1
OG0002542	DPOGS212947-PA	XP_034838880.1
OG0002543	DPOGS212135-PA	XP_034840136.1
OG0002544	DPOGS214715-PA	XP_034833890.1
OG0002545	DPOGS201354-PA	XP_034829177.1
OG0002547	DPOGS212131-PA	XP_034840685.1
OG0002548	DPOGS205905-PA	XP_034830568.1
OG0002549	DPOGS208588-PA	XP_034836812.1, XP_034836811.1
OG0002550	DPOGS208429-PA	XP_034834462.1
OG0002551	DPOGS208498-PA	XP_034826998.1, XP_034826999.1
OG0002552	DPOGS204217-PA	XP_034841163.1
OG0002553	DPOGS212766-PA	XP_034827487.1
OG0002554	DPOGS216097-PA	XP_034836399.1
OG0002555	DPOGS208486-PA	XP_034829767.1, XP_034839833.1
OG0002557	DPOGS213125-PA	XP_034841512.1
OG0002558	DPOGS201417-PA	XP_034836989.1
OG0002559	DPOGS201345-PA	XP_034839190.1, XP_034839122.1
OG0002560	DPOGS215780-PA	XP_034835950.1, XP_034835942.1
OG0002561	DPOGS215288-PA	XP_034837761.1
OG0002562	DPOGS211278-PA	XP_034829742.1, XP_034829741.1
OG0002563	DPOGS205366-PA	XP_034837252.1
OG0002564	DPOGS202683-PA	XP_034835914.1
OG0002565	DPOGS205381-PA, DPOGS207454-PA	XP_034838330.1
OG0002566	DPOGS208437-PA	XP_034834443.1
OG0002567	DPOGS202534-PA	XP_034833509.1
OG0002568	DPOGS214724-PA	XP_034833780.1
OG0002569	DPOGS209750-PA, DPOGS209749-PA	XP_034832454.1
OG0002570	DPOGS208111-PA	XP_034840376.1
OG0002571	DPOGS208131-PA	XP_034840078.1, XP_034840077.1
OG0002572	DPOGS214805-PA, DPOGS214806-PA	XP_034831355.1
OG0002573	DPOGS215605-PA	XP_034838861.1
OG0002574	DPOGS213079-PA, DPOGS213081-PA	XP_034841496.1
OG0002575	DPOGS214599-PA	XP_034834222.1
OG0002576	DPOGS201325-PA	XP_034826677.1, XP_034826676.1
OG0002577	DPOGS208483-PA	XP_034827059.1
OG0002578	DPOGS211883-PA	XP_034825376.1
OG0002579	DPOGS205190-PA, DPOGS205383-PA	XP_034837899.1, XP_034837901.1
OG0002580	DPOGS204820-PA	XP_034833517.1
OG0002581	DPOGS213494-PA, DPOGS213465-PA, DPOGS213495-PA	XP_034826140.1
OG0002582	DPOGS215877-PA	XP_034824527.1, XP_034824528.1, XP_034824526.1
OG0002583	DPOGS203861-PA	XP_034838565.1
OG0002584	DPOGS208477-PA	XP_034827062.1
OG0002585	DPOGS213114-PA	XP_034841493.1
OG0002586	DPOGS215935-PA	XP_034835316.1
OG0002587	DPOGS214626-PA	XP_034833808.1
OG0002588	DPOGS201323-PA	XP_034826536.1, XP_034826544.1, XP_034826530.1
OG0002589	DPOGS208167-PA	XP_034836775.1
OG0002590	DPOGS213090-PA	XP_034841482.1
OG0002591	DPOGS205195-PA	XP_034837913.1
OG0002592	DPOGS203241-PA	XP_034830861.1
OG0002593	DPOGS209234-PA	XP_034826292.1
OG0002594	DPOGS201663-PA	XP_034832123.1
OG0002595	DPOGS208129-PA	XP_034840659.1, XP_034840658.1
OG0002596	DPOGS211120-PA	XP_034826759.1
OG0002597	DPOGS208173-PA, DPOGS208172-PA	XP_034836112.1
OG0002598	DPOGS212510-PA, DPOGS205886-PA	XP_034838604.1, XP_034838605.1
OG0002599	DPOGS214628-PA	XP_034833955.1, XP_034834225.1
OG0002600	DPOGS210450-PA	XP_034835431.1, XP_034835430.1
OG0002601	DPOGS204164-PA	XP_034833953.1
OG0002602	DPOGS212241-PA, DPOGS212242-PA	XP_034838611.1, XP_034838609.1
OG0002603	DPOGS206448-PA	XP_034832155.1, XP_034832153.1, XP_034832154.1
OG0002604	DPOGS213108-PA	XP_034824012.1
OG0002605	DPOGS208122-PA	XP_034840288.1, XP_034840289.1, XP_034840290.1, XP_034840287.1
OG0002606	DPOGS204909-PA	XP_034838842.1
OG0002607	DPOGS216191-PA	XP_034836909.1
OG0002608	DPOGS204919-PA	XP_034838954.1
OG0002609	DPOGS210447-PA, DPOGS210446-PA	XP_034835414.1
OG0002610	DPOGS214819-PA	XP_034831590.1
OG0002611	DPOGS207786-PA	XP_034832366.1, XP_034832368.1, XP_034832369.1
OG0002612	DPOGS203191-PA	XP_034828233.1
OG0002613	DPOGS213527-PA, DPOGS213528-PA	XP_034831201.1
OG0002614	DPOGS207775-PA	XP_034832364.1, XP_034832363.1
OG0002615	DPOGS209222-PA, DPOGS209223-PA	XP_034829008.1
OG0002616	DPOGS211961-PA, DPOGS211960-PA	XP_034825555.1
OG0002617	DPOGS203252-PA	XP_034830951.1
OG0002618	DPOGS200253-PA	XP_034837106.1
OG0002619	DPOGS211863-PA	XP_034825557.1
OG0002620	DPOGS213796-PA	XP_034840759.1
OG0002621	DPOGS202082-PA	XP_034837397.1
OG0002622	DPOGS211967-PA	XP_034825055.1, XP_034825056.1
OG0002623	DPOGS203076-PA, DPOGS210434-PA	XP_034835550.1
OG0002624	DPOGS204508-PA	XP_034840940.1
OG0002625	DPOGS209219-PA	XP_034829186.1
OG0002626	DPOGS210462-PA	XP_034835412.1
OG0002627	DPOGS215799-PA	XP_034838924.1
OG0002628	DPOGS204377-PA	XP_034840937.1
OG0002629	DPOGS215489-PA	XP_034835011.1, XP_034835012.1
OG0002630	DPOGS210467-PA	XP_034835373.1
OG0002631	DPOGS213814-PA, DPOGS213813-PA	XP_034840753.1
OG0002632	DPOGS210429-PA	XP_034835365.1
OG0002633	DPOGS215621-PA	XP_034837791.1
OG0002634	DPOGS214606-PA	XP_034838814.1
OG0002635	DPOGS208598-PA, DPOGS208597-PA	XP_034836950.1
OG0002636	DPOGS211202-PA, DPOGS211203-PA	XP_034826235.1
OG0002637	DPOGS208581-PA	XP_034827322.1, XP_034827321.1
OG0002638	DPOGS203135-PA	XP_034829190.1
OG0002639	DPOGS208457-PA	XP_034827319.1
OG0002640	DPOGS210475-PA	XP_034835356.1, XP_034835354.1
OG0002641	DPOGS208607-PA	XP_034836967.1
OG0002642	DPOGS209683-PA	XP_034839812.1, XP_034839813.1
OG0002643	DPOGS210422-PA	XP_034835359.1, XP_034835360.1
OG0002644	DPOGS203104-PA	XP_034828299.1
OG0002645	DPOGS201748-PA	XP_034833481.1
OG0002646	DPOGS213540-PA	XP_034831172.1
OG0002647	DPOGS213259-PA	XP_034836313.1
OG0002648	DPOGS200438-PA	XP_034834795.1
OG0002649	DPOGS213806-PA	XP_034840606.1
OG0002650	DPOGS201758-PA	XP_034834607.1
OG0002651	DPOGS212782-PA	XP_034827532.1
OG0002652	DPOGS212465-PA, DPOGS212464-PA	XP_034838516.1
OG0002653	DPOGS204389-PA	XP_034840942.1, XP_034840941.1
OG0002654	DPOGS211594-PA	XP_034828710.1
OG0002655	DPOGS204390-PA	XP_034840981.1
OG0002656	DPOGS210005-PA	XP_034832731.1
OG0002657	DPOGS210013-PA	XP_034832814.1
OG0002658	DPOGS204497-PA	XP_034841456.1
OG0002659	DPOGS209128-PA	XP_034835357.1
OG0002660	DPOGS206463-PA	XP_034832072.1
OG0002661	DPOGS209874-PA	XP_034826662.1, XP_034826663.1
OG0002662	DPOGS204393-PA	XP_034824093.1, XP_034824089.1, XP_034824092.1
OG0002663	DPOGS212061-PA, DPOGS212060-PA	XP_034838423.1
OG0002664	DPOGS210020-PA	XP_034837444.1
OG0002665	DPOGS211089-PA	XP_034827440.1
OG0002666	DPOGS213583-PA, DPOGS213582-PA	XP_034831059.1
OG0002667	DPOGS210028-PA, DPOGS213965-PA	XP_034837446.1
OG0002668	DPOGS200943-PA	XP_034836217.1
OG0002669	DPOGS209247-PA	XP_034830892.1
OG0002670	DPOGS202465-PA	XP_034824361.1
OG0002671	DPOGS200920-PA	XP_034824443.1
OG0002672	DPOGS212710-PA	XP_034828310.1
OG0002673	DPOGS205421-PA	XP_034833655.1
OG0002674	DPOGS203850-PA	XP_034832404.1
OG0002675	DPOGS201261-PA	XP_034829866.1, XP_034829865.1
OG0002676	DPOGS203649-PA	XP_034832393.1
OG0002677	DPOGS203051-PA	XP_034840611.1
OG0002678	DPOGS209214-PA	XP_034835379.1
OG0002679	DPOGS213579-PA	XP_034831046.1
OG0002680	DPOGS204494-PA	XP_034841362.1
OG0002681	DPOGS201816-PA	XP_034827560.1
OG0002682	DPOGS209131-PA	XP_034835337.1
OG0002683	DPOGS204802-PA	XP_034837173.1
OG0002684	DPOGS211586-PA	XP_034828468.1, XP_034828469.1
OG0002685	DPOGS209122-PA	XP_034838597.1, XP_034838427.1
OG0002686	DPOGS206871-PA	XP_034827564.1
OG0002687	DPOGS201041-PA, DPOGS201047-PA	XP_034829871.1
OG0002688	DPOGS213551-PA, DPOGS200521-PA	XP_034831044.1
OG0002689	DPOGS200963-PA	XP_034835954.1
OG0002690	DPOGS207951-PA	XP_034824438.1
OG0002691	DPOGS213577-PA	XP_034831057.1
OG0002692	DPOGS214568-PA	XP_034834279.1
OG0002693	DPOGS211076-PA	XP_034840574.1, XP_034828920.1
OG0002694	DPOGS212014-PA	XP_034835985.1
OG0002694	DPOGS212013-PA	XP_034835986.1
OG0002695	DPOGS212675-PA, DPOGS212676-PA	XP_034826070.1
OG0002696	DPOGS205980-PA	XP_034836588.1
OG0002697	DPOGS201392-PA	XP_034839502.1
OG0002698	DPOGS207947-PA	XP_034824968.1
OG0002699	DPOGS206278-PA	XP_034837296.1
OG0002700	DPOGS214796-PA	XP_034831419.1
OG0002701	DPOGS209172-PA	XP_034829455.1
OG0002702	DPOGS206280-PA	XP_034837081.1, XP_034837080.1
OG0002703	DPOGS206798-PA	XP_034839285.1, XP_034839284.1, XP_034839283.1
OG0002704	DPOGS204649-PA	XP_034835029.1
OG0002705	DPOGS214483-PA	XP_034836853.1
OG0002706	DPOGS214491-PA	XP_034836819.1
OG0002707	DPOGS201731-PA	XP_034838431.1
OG0002708	DPOGS204482-PA	XP_034841237.1
OG0002709	DPOGS212711-PA	XP_034827950.1
OG0002710	DPOGS204400-PA	XP_034841232.1
OG0002711	DPOGS214574-PA	XP_034833895.1
OG0002712	DPOGS206016-PA	XP_034835604.1, XP_034835606.1
OG0002713	DPOGS214638-PA	XP_034833904.1
OG0002714	DPOGS200561-PA	XP_034837053.1
OG0002715	DPOGS213728-PA	XP_034829345.1
OG0002716	DPOGS206705-PA	XP_034832543.1
OG0002717	DPOGS203760-PA, DPOGS213735-PA	XP_034829366.1
OG0002718	DPOGS204405-PA	XP_034841299.1
OG0002719	DPOGS201597-PA	XP_034837839.1
OG0002720	DPOGS203899-PA	XP_034839494.1
OG0002721	DPOGS212667-PA	XP_034825856.1
OG0002722	DPOGS206074-PA	XP_034840270.1
OG0002723	DPOGS202013-PA	XP_034834380.1, XP_034829639.1, XP_034829634.1
OG0002724	DPOGS209696-PA	XP_034833128.1
OG0002725	DPOGS203759-PA	XP_034829347.1
OG0002726	DPOGS214944-PA	XP_034834026.1
OG0002727	DPOGS210490-PA	XP_034835233.1, XP_034835232.1
OG0002728	DPOGS201118-PA	XP_034825870.1
OG0002729	DPOGS209703-PA	XP_034833471.1
OG0002730	DPOGS207975-PA	XP_034824818.1
OG0002731	DPOGS200552-PA	XP_034837169.1
OG0002732	DPOGS212741-PA	XP_034828002.1, XP_034828001.1
OG0002733	DPOGS204477-PA	XP_034841166.1
OG0002734	DPOGS201647-PA	XP_034837643.1
OG0002735	DPOGS216029-PA	XP_034834373.1, XP_034834372.1
OG0002736	DPOGS203741-PA	XP_034836824.1
OG0002737	DPOGS203984-PA	XP_034839762.1
OG0002738	DPOGS203740-PA	XP_034836702.1
OG0002739	DPOGS201686-PA	XP_034837055.1
OG0002739	DPOGS201685-PA	XP_034837179.1
OG0002740	DPOGS206594-PA	XP_034832533.1
OG0002741	DPOGS205074-PA	XP_034840217.1
OG0002742	DPOGS206595-PA	XP_034832547.1, XP_034832546.1
OG0002744	DPOGS207242-PA	XP_034831489.1
OG0002745	DPOGS215812-PA	XP_034829513.1
OG0002746	DPOGS215813-PA	XP_034824900.1
OG0002747	DPOGS207482-PA	XP_034825669.1
OG0002748	DPOGS216075-PA	XP_034834589.1
OG0002749	DPOGS204328-PA, DPOGS204329-PA	XP_034830385.1
OG0002750	DPOGS203981-PA	XP_034839840.1, XP_034839839.1
OG0002751	DPOGS207483-PA	XP_034825744.1
OG0002752	DPOGS203152-PA	XP_034829439.1
OG0002753	DPOGS203665-PA	XP_034837972.1
OG0002754	DPOGS207061-PA	XP_034828251.1
OG0002755	DPOGS207311-PA	XP_034831610.1
OG0002756	DPOGS201690-PA	XP_034837277.1
OG0002757	DPOGS207992-PA	XP_034824616.1, XP_034824617.1, XP_034824615.1
OG0002758	DPOGS207309-PA	XP_034831608.1, XP_034831606.1
OG0002759	DPOGS210502-PA	XP_034835113.1
OG0002760	DPOGS203958-PA	XP_034839290.1
OG0002761	DPOGS212043-PA	XP_034835791.1, XP_034835792.1
OG0002762	DPOGS210504-PA	XP_034835589.1
OG0002763	DPOGS203216-PA	XP_034829155.1
OG0002764	DPOGS214050-PA	XP_034827379.1
OG0002765	DPOGS215568-PA	XP_034824629.1, XP_034824627.1, XP_034824628.1
OG0002766	DPOGS203825-PA	XP_034830759.1
OG0002767	DPOGS200771-PA	XP_034835560.1
OG0002768	DPOGS203428-PA	XP_034832323.1
OG0002769	DPOGS202239-PA	XP_034833838.1
OG0002770	DPOGS211254-PA, DPOGS203430-PA	XP_034832327.1
OG0002771	DPOGS204460-PA	XP_034823926.1
OG0002772	DPOGS211256-PA	XP_034832328.1, XP_034832329.1
OG0002773	DPOGS204427-PA, DPOGS204428-PA	XP_034823923.1
OG0002774	DPOGS208857-PA	XP_034829545.1
OG0002775	DPOGS203670-PA	XP_034834420.1
OG0002776	DPOGS214069-PA	XP_034827160.1
OG0002777	DPOGS203768-PA, DPOGS200386-PA, DPOGS200385-PA	XP_034836741.1
OG0002778	DPOGS203928-PA	XP_034839612.1
OG0002780	DPOGS203926-PA	XP_034839384.1
OG0002781	DPOGS203163-PA	XP_034829387.1
OG0002782	DPOGS203210-PA, DPOGS203209-PA	XP_034828984.1
OG0002783	DPOGS209318-PA	XP_034826652.1
OG0002784	DPOGS202600-PA	XP_034828832.1
OG0002785	DPOGS213270-PA	XP_034825754.1
OG0002786	DPOGS203967-PA	XP_034839408.1
OG0002787	DPOGS204736-PA	XP_034834988.1, XP_034834642.1
OG0002788	DPOGS205060-PA	XP_034840072.1
OG0002788	DPOGS205061-PA	XP_034840073.1
OG0002789	DPOGS206886-PA	XP_034827991.1
OG0002790	DPOGS208859-PA, DPOGS200126-PA	XP_034829882.1, XP_034829883.1
OG0002791	DPOGS212034-PA	XP_034835836.1
OG0002792	DPOGS206602-PA	XP_034832740.1
OG0002793	DPOGS202248-PA	XP_034834039.1
OG0002794	DPOGS206691-PA	XP_034832743.1
OG0002795	DPOGS201071-PA	XP_034833630.1
OG0002796	DPOGS207595-PA	XP_034824975.1, XP_034824980.1
OG0002797	DPOGS202332-PA	XP_034834202.1
OG0002798	DPOGS206049-PA	XP_034839690.1
OG0002799	DPOGS208081-PA	XP_034840819.1
OG0002800	DPOGS214065-PA	XP_034827150.1
OG0002801	DPOGS204244-PA	XP_034841257.1
OG0002802	DPOGS209669-PA	XP_034837554.1
OG0002803	DPOGS212036-PA	XP_034835846.1, XP_034835845.1
OG0002804	DPOGS206269-PA	XP_034837283.1
OG0002805	DPOGS209413-PA	XP_034835564.1
OG0002806	DPOGS208863-PA	XP_034829879.1
OG0002807	DPOGS206610-PA	XP_034833087.1
OG0002808	DPOGS206288-PA, DPOGS206287-PA, DPOGS206285-PA	XP_034837360.1
OG0002809	DPOGS207552-PA	XP_034824685.1
OG0002810	DPOGS200624-PA, DPOGS200623-PA	XP_034834341.1
OG0002811	DPOGS212436-PA	XP_034839927.1
OG0002812	DPOGS207589-PA	XP_034824663.1
OG0002813	DPOGS200573-PA	XP_034836373.1
OG0002814	DPOGS206264-PA	XP_034837362.1
OG0002815	DPOGS207469-PA	XP_034825061.1
OG0002816	DPOGS207251-PA	XP_034831631.1
OG0002817	DPOGS201030-PA	XP_034834989.1
OG0002818	DPOGS207585-PA	XP_034824684.1, XP_034824683.1
OG0002819	DPOGS204307-PA	XP_034823928.1
OG0002820	DPOGS207558-PA	XP_034824823.1, XP_034824693.1
OG0002821	DPOGS213736-PA, DPOGS212297-PA	XP_034829374.1, XP_034831598.1
OG0002822	DPOGS212250-PA, DPOGS212251-PA	XP_034829379.1, XP_034829380.1
OG0002823	DPOGS206573-PA	XP_034826319.1
OG0002824	DPOGS203696-PA	XP_034836502.1
OG0002825	DPOGS201987-PA	XP_034827082.1, XP_034827084.1, XP_034827083.1
OG0002826	DPOGS205042-PA	XP_034840364.1
OG0002827	DPOGS207561-PA	XP_034824682.1, XP_034824681.1
OG0002828	DPOGS203388-PA	XP_034839353.1
OG0002829	DPOGS204069-PA	XP_034837321.1
OG0002830	DPOGS202694-PA	XP_034833770.1
OG0002831	DPOGS212567-PA, DPOGS212566-PA	XP_034839480.1
OG0002832	DPOGS214204-PA	XP_034829074.1
OG0002833	DPOGS214172-PA	XP_034835903.1
OG0002834	DPOGS207029-PA	XP_034828317.1
OG0002835	DPOGS206444-PA	XP_034832124.1
OG0002836	DPOGS207026-PA	XP_034827739.1, XP_034827738.1, XP_034827740.1
OG0002837	DPOGS214316-PA	XP_034835570.1
OG0002838	DPOGS205636-PA	XP_034825437.1
OG0002839	DPOGS214165-PA	XP_034840337.1
OG0002840	DPOGS207792-PA	XP_034832391.1, XP_034832390.1
OG0002841	DPOGS214210-PA	XP_034825215.1
OG0002842	DPOGS207768-PA	XP_034831997.1
OG0002843	DPOGS208983-PA, DPOGS208982-PA	XP_034829643.1
OG0002844	DPOGS209716-PA	XP_034834552.1
OG0002845	DPOGS207398-PA	XP_034836273.1
OG0002846	DPOGS214844-PA	XP_034836020.1
OG0002847	DPOGS207434-PA	XP_034836534.1
OG0002848	DPOGS204216-PA	XP_034824166.1
OG0002849	DPOGS210669-PA	XP_034828339.1
OG0002850	DPOGS206623-PA	XP_034832874.1
OG0002851	DPOGS208978-PA	XP_034829901.1
OG0002852	DPOGS206672-PA	XP_034832904.1
OG0002853	DPOGS209718-PA	XP_034834521.1
OG0002854	DPOGS214354-PA	XP_034835494.1, XP_034835642.1
OG0002855	DPOGS206580-PA	XP_034826201.1
OG0002856	DPOGS212259-PA	XP_034829260.1
OG0002857	DPOGS208891-PA	XP_034830065.1
OG0002858	DPOGS204049-PA	XP_034833711.1
OG0002859	DPOGS209731-PA	XP_034834554.1
OG0002860	DPOGS208025-PA	XP_034833393.1
OG0002861	DPOGS205156-PA	XP_034825599.1
OG0002862	DPOGS212184-PA	XP_034837432.1
OG0002863	DPOGS210758-PA	XP_034828341.1
OG0002864	DPOGS212213-PA	XP_034825605.1
OG0002865	DPOGS206561-PA, DPOGS206562-PA	XP_034826262.1
OG0002866	DPOGS214309-PA	XP_034835196.1
OG0002867	DPOGS202629-PA	XP_034832829.1
OG0002868	DPOGS214857-PA	XP_034835876.1
OG0002869	DPOGS207406-PA	XP_034836270.1
OG0002870	DPOGS214855-PA	XP_034836182.1
OG0002871	DPOGS206949-PA	XP_034828060.1
OG0002872	DPOGS203594-PA, DPOGS203596-PA	XP_034830439.1
OG0002873	DPOGS216019-PA	XP_034825723.1
OG0002874	DPOGS208947-PA	XP_034829970.1
OG0002875	DPOGS214248-PA	XP_034828167.1
OG0002876	DPOGS207815-PA	XP_034832340.1
OG0002877	DPOGS202894-PA	XP_034835467.1
OG0002878	DPOGS205750-PA	XP_034832647.1, XP_034832646.1
OG0002879	DPOGS204023-PA	XP_034834153.1
OG0002880	DPOGS205746-PA	XP_034833097.1
OG0002881	DPOGS201771-PA	XP_034833096.1
OG0002882	DPOGS204028-PA	XP_034834155.1, XP_034833840.1
OG0002883	DPOGS215955-PA	XP_034825718.1, XP_034825717.1, XP_034825719.1
OG0002884	DPOGS209542-PA	XP_034833148.1
OG0002885	DPOGS209027-PA	XP_034836194.1
OG0002886	DPOGS200484-PA	XP_034826755.1
OG0002887	DPOGS207276-PA	XP_034831081.1
OG0002888	DPOGS214289-PA	XP_034840377.1
OG0002889	DPOGS205718-PA	XP_034826571.1
OG0002890	DPOGS213434-PA	XP_034830446.1, XP_034830448.1
OG0002891	DPOGS202456-PA	XP_034824381.1
OG0002892	DPOGS208646-PA	XP_034840817.1
OG0002893	DPOGS206127-PA	XP_034839700.1
OG0002894	DPOGS202420-PA	XP_034837700.1
OG0002895	DPOGS210728-PA	XP_034828881.1
OG0002896	DPOGS200494-PA	XP_034827091.1
OG0002897	DPOGS209553-PA	XP_034833541.1
OG0002898	DPOGS202462-PA	XP_034824190.1
OG0002899	DPOGS205859-PA	XP_034836646.1
OG0002900	DPOGS207598-PA, DPOGS212641-PA	XP_034824929.1
OG0002901	DPOGS207547-PA	XP_034824209.1
OG0002902	DPOGS205819-PA	XP_034836654.1
OG0002903	DPOGS211989-PA, DPOGS205921-PA	XP_034837749.1
OG0002904	DPOGS209038-PA	XP_034836027.1
OG0002905	DPOGS210751-PA	XP_034828635.1, XP_034828634.1
OG0002907	DPOGS207840-PA	XP_034831784.1
OG0002908	DPOGS209039-PA	XP_034836028.1
OG0002909	DPOGS212879-PA	XP_034833825.1
OG0002910	DPOGS208898-PA	XP_034829759.1
OG0002911	DPOGS212876-PA	XP_034833769.1
OG0002912	DPOGS203974-PA	XP_034839134.1
OG0002913	DPOGS214695-PA	XP_034830310.1
OG0002914	DPOGS203975-PA	XP_034839141.1, XP_034839140.1
OG0002915	DPOGS204254-PA	XP_034841454.1
OG0002916	DPOGS207239-PA	XP_034832932.1, XP_034832933.1
OG0002917	DPOGS212871-PA	XP_034834176.1
OG0002918	DPOGS208896-PA	XP_034829776.1, XP_034829775.1
OG0002919	DPOGS214694-PA	XP_034830305.1
OG0002920	DPOGS206943-PA	XP_034827693.1
OG0002921	DPOGS201025-PA	XP_034834601.1
OG0002922	DPOGS212870-PA	XP_034834087.1
OG0002923	DPOGS204292-PA	XP_034841288.1, XP_034841287.1, XP_034841286.1
OG0002924	DPOGS212817-PA	XP_034834002.1
OG0002925	DPOGS214129-PA	XP_034825622.1
OG0002926	DPOGS208893-PA	XP_034829768.1
OG0002927	DPOGS209891-PA	XP_034835061.1
OG0002928	DPOGS204884-PA, DPOGS211659-PA	XP_034831221.1
OG0002929	DPOGS211902-PA	XP_034825198.1
OG0002930	DPOGS213311-PA	XP_034830348.1
OG0002931	DPOGS215399-PA, DPOGS215397-PA	XP_034833567.1
OG0002932	DPOGS204882-PA	XP_034831238.1
OG0002933	DPOGS204885-PA	XP_034831225.1, XP_034831224.1, XP_034831226.1
OG0002934	DPOGS212820-PA	XP_034834173.1
OG0002935	DPOGS208945-PA	XP_034830041.1
OG0002936	DPOGS201017-PA	XP_034834888.1
OG0002937	DPOGS209885-PA	XP_034835476.1
OG0002938	DPOGS210693-PA	XP_034828865.1
OG0002939	DPOGS205766-PA	XP_034839728.1, XP_034824941.1
OG0002940	DPOGS207669-PA	XP_034827102.1, XP_034827047.1
OG0002941	DPOGS200993-PA	XP_034834886.1
OG0002942	DPOGS206996-PA	XP_034827514.1
OG0002943	DPOGS214264-PA	XP_034840043.1
OG0002944	DPOGS204267-PA	XP_034841152.1
OG0002945	DPOGS201468-PA	XP_034831593.1, XP_034831588.1
OG0002946	DPOGS202368-PA	XP_034826360.1
OG0002947	DPOGS201014-PA	XP_034834885.1
OG0002948	DPOGS212845-PA	XP_034833966.1
OG0002949	DPOGS204836-PA	XP_034831336.1
OG0002950	DPOGS207706-PA	XP_034831887.1
OG0002951	DPOGS214119-PA	XP_034825503.1
OG0002952	DPOGS215384-PA	XP_034833443.1
OG0002953	DPOGS214059-PA	XP_034833242.1
OG0002954	DPOGS210709-PA	XP_034828730.1
OG0002955	DPOGS200663-PA, DPOGS213624-PA	XP_034831037.1
OG0002956	DPOGS209988-PA	XP_034829405.1
OG0002957	DPOGS207856-PA	XP_034831906.1
OG0002958	DPOGS214275-PA	XP_034841421.1, XP_034841428.1
OG0002959	DPOGS204270-PA	XP_034841469.1
OG0002960	DPOGS202703-PA	XP_034833871.1
OG0002961	DPOGS204271-PA	XP_034841472.1, XP_034841471.1
OG0002962	DPOGS202690-PA	XP_034833724.1
OG0002963	DPOGS204277-PA	XP_034841462.1
OG0002964	DPOGS207703-PA	XP_034832380.1
OG0002965	DPOGS207665-PA	XP_034827017.1
OG0002966	DPOGS207653-PA, DPOGS207654-PA	XP_034827311.1
OG0002967	DPOGS214109-PA, DPOGS214110-PA	XP_034841379.1
OG0002968	DPOGS210735-PA	XP_034828525.1
OG0002969	DPOGS211400-PA	XP_034824842.1, XP_034824841.1
OG0002970	DPOGS212322-PA	XP_034831466.1, XP_034831464.1
OG0002971	DPOGS213961-PA	XP_034824125.1
OG0002972	DPOGS202799-PA	XP_034827204.1
OG0002973	DPOGS206924-PA	XP_034827612.1
OG0002974	DPOGS205514-PA, DPOGS207696-PA	XP_034837783.1
OG0002975	DPOGS203502-PA	XP_034833111.1
OG0002976	DPOGS205515-PA	XP_034837787.1
OG0002977	DPOGS205527-PA	XP_034837798.1
OG0002978	DPOGS211395-PA	XP_034824858.1, XP_034824860.1
OG0002979	DPOGS202816-PA	XP_034827205.1
OG0002980	DPOGS214286-PA	XP_034840262.1, XP_034840253.1
OG0002981	DPOGS202373-PA	XP_034825800.1, XP_034825799.1
OG0002982	DPOGS212577-PA	XP_034839570.1
OG0002983	DPOGS212398-PA, DPOGS212397-PA	XP_034831450.1
OG0002984	DPOGS215421-PA	XP_034833548.1
OG0002985	DPOGS212576-PA	XP_034839512.1
OG0002986	DPOGS212575-PA	XP_034839743.1
OG0002987	DPOGS214099-PA	XP_034826155.1
OG0002988	DPOGS212400-PA	XP_034831456.1
OG0002989	DPOGS214912-PA	XP_034826215.1
OG0002990	DPOGS200120-PA, DPOGS200119-PA	XP_034829607.1, XP_034829608.1
OG0002991	DPOGS201620-PA	XP_034839917.1, XP_034837721.1
OG0002992	DPOGS212330-PA	XP_034831461.1, XP_034831462.1, XP_034831463.1
OG0002993	DPOGS202886-PA	XP_034835449.1
OG0002994	DPOGS203490-PA	XP_034832946.1
OG0002995	DPOGS200871-PA	XP_034832491.1
OG0002996	DPOGS213946-PA	XP_034841378.1, XP_034841376.1, XP_034841377.1
OG0002997	DPOGS208718-PA	XP_034841372.1
OG0002998	DPOGS204563-PA	XP_034829642.1
OG0002999	DPOGS200181-PA	XP_034840801.1
OG0003000	DPOGS208719-PA	XP_034841420.1
