Orthogroup	Danaus_plexippus	Bicyclus_anynana
OG0001243	DPOGS207002-PA	Bany_01574-RA
OG0001244	DPOGS212324-PA	Bany_14165-RA
OG0001244	DPOGS212326-PA	Bany_14164-RA
OG0001245	DPOGS215414-PA	Bany_15358-RA
OG0001246	DPOGS207861-PA	Bany_09189-RA
OG0001247	DPOGS202362-PA	Bany_02426-RA
OG0001248	DPOGS210726-PA	Bany_11049-RA
OG0001249	DPOGS202880-PA	Bany_11804-RA
OG0001249	DPOGS202918-PA	Bany_11806-RA
OG0001250	DPOGS205830-PA	Bany_10423-RA
OG0001251	DPOGS200877-PA, DPOGS200876-PA, DPOGS200875-PA, DPOGS200874-PA	Bany_09202-RA
OG0001252	DPOGS215030-PA	Bany_14177-RA
OG0001253	DPOGS214288-PA	Bany_04087-RA
OG0001254	DPOGS202912-PA	Bany_11816-RA
OG0001255	DPOGS212571-PA	Bany_07729-RA
OG0001256	DPOGS202792-PA	Bany_06454-RA, Bany_06457-RA
OG0001257	DPOGS215277-PA	Bany_14868-RA, Bany_14876-RA
OG0001258	DPOGS206864-PA	Bany_01649-RA
OG0001258	DPOGS207078-PA	Bany_01650-RA
OG0001259	DPOGS210623-PA, DPOGS210622-PA	Bany_04973-RA
OG0001260	DPOGS207081-PA	Bany_01658-RA
OG0001261	DPOGS202780-PA, DPOGS202779-PA	Bany_06479-RA
OG0001262	DPOGS200725-PA	Bany_05764-RA
OG0001263	DPOGS215036-PA	Bany_08554-RA
OG0001263	DPOGS215037-PA	Bany_08555-RA
OG0001264	DPOGS211536-PA	Bany_02481-RA
OG0001265	DPOGS208675-PA	Bany_00779-RA, Bany_00780-RA
OG0001266	DPOGS211541-PA	Bany_02496-RA
OG0001267	DPOGS213326-PA, DPOGS213327-PA	Bany_02498-RA
OG0001268	DPOGS202181-PA, DPOGS208670-PA, DPOGS202183-PA, DPOGS208762-PA, DPOGS208761-PA, DPOGS208669-PA	Bany_00792-RA, Bany_00791-RA
OG0001269	DPOGS201547-PA	Bany_05044-RA
OG0001270	DPOGS202174-PA	Bany_00809-RA
OG0001271	DPOGS209079-PA	Bany_08592-RA
OG0001272	DPOGS211717-PA	Bany_02532-RA
OG0001273	DPOGS201544-PA	Bany_05060-RA, Bany_05061-RA
OG0001274	DPOGS202163-PA, DPOGS202164-PA	Bany_00827-RA
OG0001275	DPOGS211731-PA	Bany_02543-RA
OG0001275	DPOGS211730-PA	Bany_02541-RA
OG0001276	DPOGS201875-PA	Bany_04221-RA
OG0001277	DPOGS206826-PA	Bany_01763-RA, Bany_01762-RA
OG0001278	DPOGS205663-PA	Bany_05820-RA
OG0001279	DPOGS208384-PA	Bany_07857-RA, Bany_07860-RA, Bany_07856-RA
OG0001280	DPOGS207114-PA	Bany_01792-RA
OG0001281	DPOGS209060-PA	Bany_04258-RA
OG0001282	DPOGS206517-PA, DPOGS206518-PA	Bany_02592-RA
OG0001283	DPOGS212646-PA	Bany_02607-RA
OG0001283	DPOGS212645-PA	Bany_02605-RA
OG0001284	DPOGS212652-PA, DPOGS212650-PA, DPOGS212651-PA	Bany_02612-RA
OG0001285	DPOGS203298-PA	Bany_07903-RA
OG0001300	DPOGS203881-PA	Bany_14915-RA, Bany_15428-RA, Bany_07442-RA, Bany_15658-RA
OG0001301	DPOGS206161-PA	Bany_16296-RA, Bany_16027-RA
OG0001302	DPOGS207366-PA, DPOGS211500-PA	Bany_12443-RA, Bany_12442-RA
OG0001303	DPOGS210402-PA	Bany_13023-RA
OG0001303	DPOGS210001-PA	Bany_13310-RA
OG0001304	DPOGS210401-PA	Bany_13024-RA
OG0001305	DPOGS210111-PA	Bany_09904-RA
OG0001306	DPOGS212266-PA	Bany_15845-RA, Bany_13025-RA
OG0001307	DPOGS208299-PA, DPOGS201736-PA	Bany_10546-RA
OG0001308	DPOGS204988-PA	Bany_16941-RA
OG0001309	DPOGS214763-PA	Bany_09338-RA
OG0001310	DPOGS211532-PA	Bany_06897-RA
OG0001311	DPOGS206365-PA	Bany_08661-RA
OG0001312	DPOGS201954-PA	Bany_00930-RA
OG0001315	DPOGS216109-PA	Bany_16446-RA
OG0001316	DPOGS212487-PA	Bany_16948-RA
OG0001318	DPOGS210257-PA	Bany_17701-RA
OG0001319	DPOGS201225-PA	Bany_11839-RA
OG0001320	DPOGS210340-PA	Bany_13624-RA, Bany_13627-RA
OG0001321	DPOGS214431-PA	Bany_00948-RA
OG0001322	DPOGS214430-PA	Bany_00949-RA
OG0001323	DPOGS214988-PA	Bany_12469-RA
OG0001323	DPOGS214989-PA	Bany_12471-RA
OG0001324	DPOGS210396-PA	Bany_13035-RA
OG0001325	DPOGS206782-PA	Bany_07188-RA
OG0001326	DPOGS209137-PA	Bany_15474-RA
OG0001327	DPOGS204551-PA	Bany_02087-RA
OG0001327	DPOGS204550-PA	Bany_14913-RA
OG0001328	DPOGS204535-PA, DPOGS204536-PA	Bany_02086-RA, Bany_14914-RA
OG0001329	DPOGS210338-PA	Bany_13632-RA
OG0001330	DPOGS208217-PA	Bany_17712-RA, Bany_17713-RA
OG0001331	DPOGS205465-PA	Bany_13042-RA
OG0001332	DPOGS209285-PA	Bany_05199-RA, Bany_05230-RA
OG0001333	DPOGS216117-PA	Bany_16469-RA
OG0001333	DPOGS216116-PA	Bany_16467-RA
OG0001334	DPOGS213352-PA	Bany_01864-RA, Bany_01865-RA
OG0001335	DPOGS201173-PA	Bany_08685-RA
OG0001336	DPOGS210363-PA	Bany_13640-RA, Bany_13642-RA
OG0001337	DPOGS214421-PA	Bany_00961-RA
OG0001337	DPOGS214419-PA	Bany_00963-RA
OG0001338	DPOGS212528-PA, DPOGS212529-PA	Bany_06871-RA, Bany_08690-RA, Bany_12414-RA
OG0001339	DPOGS216104-PA	Bany_16481-RA, Bany_16480-RA
OG0001341	DPOGS215016-PA, DPOGS215020-PA, DPOGS215018-PA, DPOGS215017-PA, DPOGS214983-PA, DPOGS215019-PA	Bany_12502-RA
OG0001342	DPOGS213914-PA, DPOGS213913-PA	Bany_17432-RA, Bany_17434-RA
OG0001343	DPOGS207352-PA, DPOGS207353-PA	Bany_16981-RA
OG0001344	DPOGS214436-PA	Bany_00980-RA, Bany_00981-RA, Bany_00979-RA
OG0001345	DPOGS208799-PA	Bany_00033-RA
OG0001346	DPOGS210934-PA	Bany_03497-RA
OG0001347	DPOGS210325-PA	Bany_13669-RA
OG0001348	DPOGS208207-PA	Bany_17738-RA, Bany_17737-RA, Bany_17736-RA
OG0001349	DPOGS208209-PA	Bany_17739-RA
OG0001349	DPOGS208208-PA	Bany_17741-RA
OG0001350	DPOGS201689-PA	Bany_14934-RA, Bany_18050-RA
OG0001351	DPOGS200108-PA, DPOGS213918-PA, DPOGS213920-PA, DPOGS213909-PA, DPOGS213907-PA, DPOGS200110-PA, DPOGS200111-PA, DPOGS200112-PA, DPOGS200113-PA	Bany_17442-RA
OG0001352	DPOGS214751-PA	Bany_09361-RA
OG0001353	DPOGS214996-PA, DPOGS214994-PA	Bany_12536-RA
OG0001354	DPOGS214982-PA, DPOGS214981-PA	Bany_12542-RA
OG0001355	DPOGS214627-PA	Bany_09384-RA, Bany_09577-RA
OG0001356	DPOGS214334-PA	Bany_09393-RA
OG0001358	DPOGS208842-PA	Bany_04668-RA, Bany_00068-RA
OG0001359	DPOGS204783-PA	Bany_08792-RA, Bany_16514-RA, Bany_16513-RA
OG0001360	DPOGS211704-PA	Bany_01014-RA
OG0001361	DPOGS202673-PA	Bany_05249-RA
OG0001362	DPOGS209790-PA	Bany_11877-RA
OG0001363	DPOGS204522-PA	Bany_01925-RA, Bany_02058-RA
OG0001364	DPOGS206226-PA, DPOGS209125-PA	Bany_06611-RA
OG0001365	DPOGS209624-PA	Bany_02698-RA
OG0001366	DPOGS206793-PA	Bany_07238-RA
OG0001367	DPOGS215320-PA	Bany_00087-RA, Bany_00088-RA, Bany_00089-RA
OG0001368	DPOGS207144-PA	Bany_07239-RA
OG0001369	DPOGS210087-PA	Bany_09977-RA, Bany_09978-RA
OG0001370	DPOGS215543-PA	Bany_17764-RA, Bany_17763-RA
OG0001371	DPOGS209837-PA	Bany_11884-RA
OG0001372	DPOGS209490-PA	Bany_14367-RA, Bany_14369-RA, Bany_14368-RA
OG0001373	DPOGS208812-PA	Bany_07244-RA, Bany_00194-RA, Bany_00195-RA
OG0001374	DPOGS215715-PA	Bany_04420-RA
OG0001375	DPOGS215310-PA	Bany_00103-RA, Bany_00104-RA, Bany_00102-RA
OG0001377	DPOGS213330-PA	Bany_16536-RA, Bany_16539-RA
OG0001378	DPOGS208425-PA	Bany_09410-RA
OG0001378	DPOGS208424-PA	Bany_16923-RA
OG0001379	DPOGS215328-PA, DPOGS215329-PA	Bany_00118-RA, Bany_00121-RA
OG0001380	DPOGS206797-PA	Bany_07253-RA, Bany_07254-RA
OG0001381	DPOGS201582-PA	Bany_12607-RA
OG0001382	DPOGS209523-PA	Bany_14382-RA
OG0001383	DPOGS202665-PA	Bany_05273-RA
OG0001384	DPOGS208098-PA	Bany_16175-RA
OG0001385	DPOGS209826-PA	Bany_11903-RA, Bany_11904-RA
OG0001386	DPOGS201143-PA	Bany_08034-RA, Bany_08035-RA, Bany_13504-RA
OG0001387	DPOGS209575-PA	Bany_02730-RA
OG0001388	DPOGS201145-PA	Bany_08040-RA, Bany_08043-RA
OG0001389	DPOGS209802-PA	Bany_11911-RA, Bany_11910-RA
OG0001390	DPOGS209645-PA	Bany_02741-RA
OG0001391	DPOGS209457-PA	Bany_05952-RA
OG0001392	DPOGS215519-PA, DPOGS215520-PA	Bany_01991-RA
OG0001393	DPOGS209999-PA	Bany_10001-RA
OG0001394	DPOGS205271-PA	Bany_15594-RA, Bany_15593-RA, Bany_15590-RA
OG0001395	DPOGS204643-PA	Bany_16582-RA
OG0001396	DPOGS210198-PA	Bany_06657-RA
OG0001397	DPOGS206175-PA	Bany_16204-RA
OG0001398	DPOGS210282-PA	Bany_17821-RA
OG0001399	DPOGS200462-PA	Bany_01062-RA
OG0001400	DPOGS202271-PA	Bany_09461-RA
OG0001401	DPOGS204101-PA	Bany_10730-RA
OG0001402	DPOGS206334-PA	Bany_08782-RA
OG0001402	DPOGS202344-PA	Bany_09680-RA
OG0001404	DPOGS205297-PA	Bany_15609-RA, Bany_15608-RA, Bany_15607-RA, Bany_15610-RA
OG0001405	DPOGS207214-PA	Bany_17830-RA
OG0001405	DPOGS207215-PA	Bany_17829-RA
OG0001406	DPOGS214084-PA	Bany_08789-RA, Bany_08787-RA
OG0001407	DPOGS203179-PA	Bany_01081-RA
OG0001408	DPOGS203345-PA	Bany_16230-RA
OG0001409	DPOGS210798-PA	Bany_08087-RA
OG0001410	DPOGS202296-PA	Bany_09495-RA
OG0001411	DPOGS210868-PA	Bany_08092-RA, Bany_08088-RA, Bany_08090-RA
OG0001412	DPOGS216054-PA, DPOGS216053-PA	Bany_14447-RA
OG0001413	DPOGS206178-PA	Bany_06029-RA
OG0001414	DPOGS209347-PA	Bany_12716-RA
OG0001415	DPOGS210031-PA	Bany_10038-RA
OG0001416	DPOGS209280-PA	Bany_16264-RA
OG0001417	DPOGS207502-PA	Bany_11327-RA
OG0001418	DPOGS215753-PA	Bany_04505-RA
OG0001419	DPOGS215667-PA	Bany_04508-RA
OG0001420	DPOGS211138-PA	Bany_03630-RA
OG0001421	DPOGS207682-PA	Bany_17138-RA
OG0001422	DPOGS213776-PA	Bany_16625-RA, Bany_16624-RA
OG0001423	DPOGS210998-PA	Bany_10809-RA
OG0001424	DPOGS206808-PA	Bany_07330-RA
OG0001424	DPOGS206810-PA	Bany_07328-RA
OG0001426	DPOGS201787-PA	Bany_01140-RA
OG0001426	DPOGS212750-PA	Bany_01139-RA
OG0001427	DPOGS213661-PA	Bany_06074-RA
OG0001428	DPOGS206806-PA	Bany_07337-RA
OG0001429	DPOGS205186-PA	Bany_04801-RA, Bany_01635-RA, Bany_05379-RA
OG0001430	DPOGS205012-PA	Bany_17170-RA, Bany_17171-RA, Bany_17169-RA
OG0001431	DPOGS205581-PA	Bany_06788-RA, Bany_06787-RA
OG0001432	DPOGS200895-PA	Bany_07343-RA
OG0001433	DPOGS210303-PA, DPOGS210305-PA, DPOGS210304-PA	Bany_05525-RA, Bany_10066-RA, Bany_02393-RA
OG0001434	DPOGS207522-PA	Bany_07741-RA, Bany_11366-RA
OG0001435	DPOGS212134-PA	Bany_02865-RA
OG0001436	DPOGS205579-PA	Bany_06791-RA
OG0001437	DPOGS208500-PA	Bany_06103-RA
OG0001438	DPOGS205053-PA	Bany_02871-RA, Bany_03095-RA
OG0001439	DPOGS215897-PA	Bany_10073-RA
OG0001440	DPOGS214722-PA, DPOGS205744-PA	Bany_09546-RA
OG0001441	DPOGS203247-PA	Bany_02130-RA, Bany_02126-RA
OG0001442	DPOGS209766-PA	Bany_08840-RA
OG0001443	DPOGS215632-PA	Bany_04586-RA, Bany_04584-RA
OG0001445	DPOGS205248-PA	Bany_12843-RA, Bany_12842-RA
OG0001446	DPOGS213513-PA	Bany_13846-RA
OG0001447	DPOGS215917-PA	Bany_10109-RA
OG0001448	DPOGS208188-PA	Bany_17202-RA
OG0001449	DPOGS208563-PA	Bany_06152-RA
OG0001450	DPOGS210436-PA	Bany_11411-RA
OG0001451	DPOGS203245-PA	Bany_08175-RA
OG0001451	DPOGS203244-PA	Bany_08174-RA
OG0001452	DPOGS210452-PA	Bany_11425-RA, Bany_11426-RA
OG0001453	DPOGS205196-PA	Bany_12866-RA
OG0001453	DPOGS205243-PA	Bany_12869-RA
OG0001454	DPOGS208176-PA	Bany_17215-RA, Bany_17216-RA
OG0001455	DPOGS201770-PA	Bany_05425-RA
OG0001456	DPOGS213608-PA	Bany_13874-RA
OG0001457	DPOGS213107-PA	Bany_00311-RA
OG0001458	DPOGS213525-PA	Bany_13875-RA
OG0001459	DPOGS213526-PA	Bany_13878-RA
OG0001460	DPOGS201376-PA	Bany_07390-RA, Bany_07391-RA
OG0001461	DPOGS205015-PA	Bany_16408-RA
OG0001462	DPOGS208466-PA	Bany_06178-RA, Bany_06177-RA
OG0001463	DPOGS215482-PA	Bany_14515-RA
OG0001464	DPOGS213818-PA	Bany_02914-RA
OG0001465	DPOGS215465-PA	Bany_14518-RA
OG0001466	DPOGS215612-PA	Bany_04621-RA
OG0001467	DPOGS212481-PA	Bany_06840-RA
OG0001467	DPOGS212482-PA	Bany_06839-RA
OG0001468	DPOGS213245-PA	Bany_16673-RA
OG0001469	DPOGS215462-PA	Bany_14525-RA, Bany_14527-RA
OG0001470	DPOGS204888-PA	Bany_13288-RA, Bany_13287-RA, Bany_14106-RA, Bany_13289-RA
OG0001471	DPOGS211852-PA, DPOGS211853-PA	Bany_05451-RA
OG0001472	DPOGS208578-PA	Bany_06189-RA
OG0001473	DPOGS200659-PA	Bany_12929-RA
OG0001474	DPOGS212525-PA	Bany_06861-RA
OG0001475	DPOGS213255-PA	Bany_16686-RA, Bany_11063-RA
OG0001476	DPOGS212468-PA	Bany_06863-RA
OG0001477	DPOGS213258-PA	Bany_16690-RA
OG0001478	DPOGS215854-PA	Bany_10146-RA
OG0001479	DPOGS201760-PA	Bany_04651-RA
OG0001480	DPOGS200417-PA	Bany_14564-RA
OG0001481	DPOGS204175-PA	Bany_09610-RA
OG0001481	DPOGS204176-PA	Bany_09611-RA
OG0001482	DPOGS212226-PA	Bany_02196-RA
OG0001483	DPOGS204388-PA	Bany_00356-RA
OG0001484	DPOGS210014-PA	Bany_13320-RA
OG0001485	DPOGS200930-PA	Bany_10160-RA
OG0001486	DPOGS211581-PA	Bany_10894-RA
OG0001487	DPOGS205793-PA	Bany_06222-RA
OG0001488	DPOGS204799-PA	Bany_17992-RA
OG0001489	DPOGS212673-PA, DPOGS212674-PA	Bany_02222-RA, Bany_02223-RA
OG0001490	DPOGS214485-PA	Bany_17611-RA
OG0001491	DPOGS212357-PA	Bany_14248-RA
OG0001491	DPOGS206111-PA	Bany_02981-RA
OG0001492	DPOGS201401-PA	Bany_07480-RA
OG0001493	DPOGS212736-PA	Bany_01290-RA
OG0001494	DPOGS215506-PA	Bany_16726-RA
OG0001495	DPOGS212023-PA	Bany_17276-RA
OG0001496	DPOGS215111-PA	Bany_13017-RA, Bany_13019-RA, Bany_13016-RA
OG0001497	DPOGS206164-PA	Bany_16728-RA
OG0001498	DPOGS214789-PA	Bany_13964-RA
OG0001499	DPOGS214948-PA	Bany_09673-RA
OG0001500	DPOGS209693-PA	Bany_15155-RA, Bany_15156-RA
OG0001501	DPOGS201117-PA	Bany_02258-RA
OG0001502	DPOGS202732-PA, DPOGS202731-PA	Bany_08972-RA
OG0001503	DPOGS212719-PA	Bany_01310-RA
OG0001503	DPOGS212720-PA	Bany_01312-RA
OG0001504	DPOGS211669-PA	Bany_06947-RA
OG0001505	DPOGS203836-PA	Bany_04706-RA
OG0001506	DPOGS212885-PA, DPOGS212884-PA	Bany_09676-RA
OG0001507	DPOGS201159-PA, DPOGS212026-PA	Bany_17285-RA
OG0001508	DPOGS207979-PA	Bany_10219-RA
OG0001509	DPOGS203835-PA, DPOGS203834-PA	Bany_04711-RA
OG0001510	DPOGS206307-PA, DPOGS202969-PA	Bany_02264-RA
OG0001511	DPOGS203661-PA	Bany_04712-RA
OG0001512	DPOGS204340-PA	Bany_08280-RA
OG0001513	DPOGS206271-PA	Bany_11587-RA, Bany_18068-RA, Bany_18069-RA
OG0001514	DPOGS203214-PA	Bany_15766-RA
OG0001514	DPOGS203215-PA	Bany_15765-RA
OG0001515	DPOGS203668-PA	Bany_04730-RA, Bany_04731-RA
OG0001516	DPOGS207246-PA	Bany_13982-RA
OG0001517	DPOGS202241-PA	Bany_09683-RA
OG0001518	DPOGS215597-PA	Bany_10256-RA, Bany_10255-RA
OG0001519	DPOGS203159-PA	Bany_15768-RA, Bany_15769-RA
OG0001520	DPOGS206877-PA	Bany_01357-RA
OG0001521	DPOGS207051-PA	Bany_01359-RA, Bany_01360-RA, Bany_01361-RA
OG0001522	DPOGS215829-PA	Bany_03875-RA
OG0001523	DPOGS203675-PA	Bany_04744-RA
OG0001524	DPOGS202246-PA	Bany_09696-RA
OG0001525	DPOGS208993-PA	Bany_12133-RA
OG0001526	DPOGS215094-PA	Bany_15188-RA
OG0001527	DPOGS206424-PA	Bany_02299-RA
OG0001528	DPOGS211404-PA, DPOGS211405-PA, DPOGS211406-PA	Bany_10276-RA
OG0001529	DPOGS212041-PA	Bany_17306-RA
OG0001530	DPOGS203074-PA	Bany_00464-RA
OG0001531	DPOGS214470-PA	Bany_17673-RA
OG0001531	DPOGS214469-PA	Bany_17672-RA
OG0001532	DPOGS207046-PA	Bany_01383-RA
OG0001533	DPOGS203329-PA	Bany_07559-RA
OG0001534	DPOGS206688-PA	Bany_13404-RA, Bany_13405-RA
OG0001535	DPOGS203690-PA	Bany_04769-RA
OG0001536	DPOGS214061-PA	Bany_06303-RA
OG0001537	DPOGS203327-PA	Bany_07562-RA
OG0001538	DPOGS207594-PA	Bany_10289-RA
OG0001539	DPOGS204242-PA	Bany_00475-RA
OG0001540	DPOGS215990-PA	Bany_05577-RA, Bany_05575-RA
OG0001540	DPOGS204596-PA	Bany_05576-RA
OG0001541	DPOGS205348-PA	Bany_08330-RA
OG0001542	DPOGS206291-PA	Bany_18078-RA
OG0001543	DPOGS206900-PA	Bany_01407-RA
OG0001544	DPOGS205355-PA	Bany_08333-RA
OG0001546	DPOGS207307-PA	Bany_13991-RA
OG0001547	DPOGS214929-PA, DPOGS206294-PA, DPOGS206293-PA	Bany_18082-RA
OG0001548	DPOGS208870-PA	Bany_12151-RA
OG0001548	DPOGS208868-PA	Bany_12150-RA
OG0001549	DPOGS207560-PA	Bany_10314-RA
OG0001550	DPOGS203320-PA	Bany_07576-RA
OG0001551	DPOGS202692-PA	Bany_09895-RA, Bany_09741-RA
OG0001552	DPOGS204223-PA	Bany_00513-RA
OG0001553	DPOGS207030-PA	Bany_01425-RA
OG0001554	DPOGS214369-PA	Bany_11645-RA, Bany_11644-RA, Bany_11646-RA
OG0001555	DPOGS214205-PA	Bany_03932-RA
OG0001556	DPOGS214166-PA	Bany_03937-RA
OG0001557	DPOGS206445-PA	Bany_09035-RA
OG0001558	DPOGS214872-PA	Bany_17323-RA
OG0001559	DPOGS207795-PA	Bany_09045-RA
OG0001560	DPOGS207293-PA	Bany_14025-RA
OG0001561	DPOGS213021-PA	Bany_03134-RA, Bany_03130-RA
OG0001562	DPOGS207805-PA	Bany_09061-RA, Bany_09063-RA
OG0001563	DPOGS209728-PA	Bany_14724-RA
OG0001563	DPOGS209727-PA	Bany_14725-RA
OG0001564	DPOGS207428-PA	Bany_16825-RA, Bany_16824-RA
OG0001565	DPOGS208020-PA	Bany_15267-RA
OG0001566	DPOGS206937-PA	Bany_01499-RA
OG0001567	DPOGS210755-PA	Bany_10976-RA
OG0001568	DPOGS209533-PA	Bany_02367-RA
OG0001569	DPOGS207281-PA	Bany_14045-RA
OG0001570	DPOGS210676-PA	Bany_10982-RA, Bany_10983-RA
OG0001571	DPOGS200485-PA	Bany_06363-RA
OG0001572	DPOGS202452-PA	Bany_10350-RA
OG0001573	DPOGS205821-PA	Bany_16862-RA, Bany_16855-RA, Bany_16859-RA
OG0001574	DPOGS213040-PA	Bany_03167-RA
OG0001574	DPOGS213041-PA	Bany_03161-RA
OG0001575	DPOGS209032-PA	Bany_17373-RA
OG0001575	DPOGS209033-PA	Bany_17374-RA
OG0001576	DPOGS213439-PA	Bany_08396-RA
OG0001577	DPOGS208072-PA	Bany_00588-RA
OG0001578	DPOGS201524-PA	Bany_04862-RA, Bany_04863-RA
OG0001579	DPOGS208077-PA	Bany_00592-RA
OG0001580	DPOGS215401-PA	Bany_13494-RA, Bany_15332-RA
OG0001581	DPOGS204297-PA	Bany_00601-RA
OG0001582	DPOGS204296-PA	Bany_00603-RA
OG0001583	DPOGS211986-PA	Bany_07053-RA
OG0001584	DPOGS204253-PA, DPOGS204252-PA	Bany_00606-RA
OG0001585	DPOGS203978-PA	Bany_07683-RA
OG0001586	DPOGS205871-PA	Bany_07060-RA
OG0001587	DPOGS209893-PA	Bany_11738-RA
OG0001588	DPOGS204610-PA	Bany_15322-RA
OG0001589	DPOGS200985-PA	Bany_14778-RA
OG0001589	DPOGS201023-PA	Bany_14802-RA, Bany_14777-RA
OG0001590	DPOGS206982-PA, DPOGS206981-PA, DPOGS206983-PA	Bany_01542-RA, Bany_01543-RA
OG0001591	DPOGS200699-PA	Bany_13499-RA, Bany_13498-RA
OG0001592	DPOGS210690-PA	Bany_11001-RA
OG0001593	DPOGS201486-PA	Bany_04886-RA
OG0001594	DPOGS205768-PA, DPOGS205767-PA	Bany_10384-RA
OG0001595	DPOGS212822-PA	Bany_09842-RA
OG0001596	DPOGS204896-PA	Bany_14118-RA
OG0001597	DPOGS214120-PA	Bany_04042-RA
OG0001598	DPOGS213307-PA	Bany_08433-RA, Bany_08432-RA
OG0001599	DPOGS201935-PA	Bany_04907-RA
OG0001600	DPOGS207704-PA, DPOGS207705-PA	Bany_09167-RA
OG0001601	DPOGS208937-PA	Bany_12288-RA
OG0001602	DPOGS215410-PA	Bany_15348-RA
OG0001603	DPOGS214438-PA	Bany_09886-RA
OG0001604	DPOGS207008-PA	Bany_01593-RA
OG0001605	DPOGS207011-PA	Bany_01598-RA
OG0001607	DPOGS213958-PA	Bany_00672-RA
OG0001608	DPOGS212394-PA	Bany_14168-RA
OG0001609	DPOGS205524-PA	Bany_07118-RA
OG0001609	DPOGS205523-PA	Bany_07119-RA
OG0001610	DPOGS214095-PA	Bany_04086-RA
OG0001611	DPOGS206488-PA, DPOGS209809-PA	Bany_12335-RA, Bany_12338-RA, Bany_12337-RA
OG0001612	DPOGS200326-PA	Bany_08475-RA, Bany_08476-RA
OG0001613	DPOGS200299-PA	Bany_08480-RA
OG0001614	DPOGS201950-PA	Bany_07137-RA
OG0001615	DPOGS214913-PA	Bany_02442-RA, Bany_02441-RA
OG0001616	DPOGS215248-PA	Bany_14851-RA, Bany_14852-RA
OG0001617	DPOGS206486-PA	Bany_12348-RA
OG0001618	DPOGS205554-PA	Bany_12349-RA, Bany_12350-RA
OG0001619	DPOGS202785-PA	Bany_06447-RA
OG0001620	DPOGS211606-PA	Bany_13575-RA
OG0001621	DPOGS200840-PA	Bany_09245-RA
OG0001622	DPOGS215393-PA	Bany_15420-RA
OG0001623	DPOGS208747-PA	Bany_00750-RA
OG0001623	DPOGS208748-PA	Bany_00751-RA
OG0001624	DPOGS202775-PA	Bany_06487-RA
OG0001625	DPOGS202349-PA	Bany_11098-RA, Bany_11099-RA
OG0001626	DPOGS207635-PA	Bany_04133-RA
OG0001626	DPOGS207634-PA	Bany_04136-RA
OG0001627	DPOGS202774-PA	Bany_06493-RA, Bany_06543-RA, Bany_06492-RA, Bany_06491-RA
OG0001628	DPOGS202229-PA, DPOGS202230-PA	Bany_04988-RA
OG0001629	DPOGS202228-PA	Bany_04989-RA
OG0001629	DPOGS202227-PA	Bany_04990-RA, Bany_04991-RA
OG0001630	DPOGS215038-PA	Bany_08557-RA
OG0001631	DPOGS202192-PA	Bany_04997-RA
OG0001631	DPOGS202191-PA	Bany_04998-RA
OG0001632	DPOGS211535-PA	Bany_02480-RA
OG0001633	DPOGS208756-PA	Bany_00772-RA
OG0001634	DPOGS202764-PA	Bany_06516-RA
OG0001634	DPOGS202763-PA, DPOGS202765-PA	Bany_06515-RA
OG0001635	DPOGS207444-PA	Bany_09282-RA, Bany_09283-RA
OG0001636	DPOGS210165-PA	Bany_05025-RA
OG0001638	DPOGS206842-PA	Bany_01709-RA, Bany_01707-RA
OG0001639	DPOGS203025-PA	Bany_07801-RA
OG0001639	DPOGS203027-PA	Bany_07803-RA
OG0001640	DPOGS210227-PA	Bany_12410-RA, Bany_12409-RA
OG0001641	DPOGS207108-PA	Bany_01717-RA
OG0001642	DPOGS207111-PA	Bany_01723-RA
OG0001643	DPOGS202158-PA	Bany_00822-RA
OG0001644	DPOGS206053-PA	Bany_07851-RA
OG0001645	DPOGS211725-PA	Bany_02551-RA
OG0001647	DPOGS209357-PA	Bany_08624-RA
OG0001648	DPOGS214960-PA	Bany_02554-RA, Bany_02556-RA
OG0001649	DPOGS205630-PA	Bany_05819-RA, Bany_05818-RA
OG0001650	DPOGS201856-PA	Bany_04234-RA
OG0001651	DPOGS206836-PA	Bany_01791-RA, Bany_01790-RA, Bany_01789-RA
OG0001652	DPOGS206837-PA	Bany_01794-RA
OG0001653	DPOGS200142-PA	Bany_03430-RA, Bany_03429-RA
OG0001654	DPOGS201738-PA	Bany_05167-RA
OG0001654	DPOGS201737-PA	Bany_05166-RA, Bany_05168-RA
OG0001670	DPOGS203453-PA	Bany_01190-RA, Bany_18177-RA
OG0001671	DPOGS213233-PA	Bany_17862-RA, Bany_18175-RA
OG0001672	DPOGS204432-PA	Bany_10688-RA, Bany_18142-RA
OG0001673	DPOGS213433-PA	Bany_02162-RA, Bany_18164-RA
OG0001674	DPOGS210573-PA	Bany_18140-RA, Bany_06772-RA, Bany_06774-RA
OG0001675	DPOGS210002-PA	Bany_13022-RA, Bany_13312-RA
OG0001676	DPOGS207220-PA	Bany_17690-RA
OG0001677	DPOGS204981-PA	Bany_16928-RA
OG0001677	DPOGS204980-PA	Bany_14907-RA
OG0001678	DPOGS213161-PA	Bany_00003-RA
OG0001679	DPOGS206385-PA	Bany_04295-RA, Bany_04297-RA
OG0001680	DPOGS213192-PA	Bany_14262-RA, Bany_14263-RA
OG0001681	DPOGS211528-PA	Bany_12450-RA
OG0001682	DPOGS208030-PA	Bany_14890-RA
OG0001683	DPOGS208298-PA	Bany_10547-RA
OG0001684	DPOGS208225-PA	Bany_10548-RA
