Orthogroup	Danaus_plexippus	Vanessa_tameamea
OG0000736	DPOGS206783-PA	XP_026500788.1
OG0000736	DPOGS208479-PA	XP_026501492.1
OG0000738	DPOGS215128-PA	XP_026488804.1
OG0000740	DPOGS211997-PA	XP_026489379.1
OG0000741	DPOGS210820-PA	XP_026498976.1, XP_026498979.1, XP_026498978.1
OG0000742	DPOGS214434-PA	XP_026483331.1
OG0000743	DPOGS207356-PA	XP_026500239.1
OG0000743	DPOGS210954-PA	XP_026485587.1
OG0000745	DPOGS213340-PA	XP_026499986.1, XP_026499319.1, XP_026497226.1
OG0000746	DPOGS213398-PA	XP_026499992.1
OG0000747	DPOGS208269-PA	XP_026485412.1
OG0000748	DPOGS205112-PA	XP_026494850.1
OG0000749	DPOGS208832-PA	XP_026501090.1, XP_026499854.1
OG0000750	DPOGS214520-PA	XP_026496292.1
OG0000751	DPOGS204147-PA	XP_026494278.1
OG0000752	DPOGS215004-PA, DPOGS215005-PA	XP_026485281.1, XP_026485280.1
OG0000753	DPOGS210385-PA	XP_026487298.1, XP_026487277.1
OG0000754	DPOGS210094-PA	XP_026490078.1
OG0000754	DPOGS210095-PA	XP_026490097.1
OG0000755	DPOGS211688-PA, DPOGS210764-PA, DPOGS210771-PA, DPOGS210772-PA, DPOGS210765-PA	XP_026483467.1
OG0000756	DPOGS204655-PA	XP_026495706.1
OG0000756	DPOGS209513-PA, DPOGS209512-PA	XP_026495999.1
OG0000757	DPOGS206207-PA	XP_026498215.1
OG0000757	DPOGS200790-PA	XP_026498218.1
OG0000758	DPOGS214360-PA	XP_026495430.1
OG0000758	DPOGS214361-PA	XP_026495470.1
OG0000759	DPOGS201618-PA	XP_026500955.1
OG0000760	DPOGS209637-PA	XP_026489940.1
OG0000760	DPOGS209638-PA	XP_026489938.1
OG0000761	DPOGS210414-PA	XP_026494728.1, XP_026494720.1
OG0000763	DPOGS208101-PA, DPOGS200783-PA	XP_026500072.1
OG0000763	DPOGS208100-PA	XP_026499485.1
OG0000764	DPOGS208394-PA	XP_026494750.1, XP_026494600.1
OG0000765	DPOGS215331-PA	XP_026501145.1
OG0000765	DPOGS215336-PA	XP_026501144.1
OG0000766	DPOGS214896-PA, DPOGS210776-PA	XP_026486392.1
OG0000767	DPOGS202032-PA	XP_026491493.1
OG0000767	DPOGS202660-PA	XP_026491169.1
OG0000768	DPOGS215175-PA	XP_026500107.1
OG0000769	DPOGS215223-PA	XP_026500108.1
OG0000770	DPOGS209428-PA	XP_026497180.1
OG0000770	DPOGS213280-PA	XP_026501078.1, XP_026501077.1
OG0000771	DPOGS202919-PA	XP_026496493.1
OG0000772	DPOGS200090-PA	XP_026500891.1
OG0000772	DPOGS215733-PA	XP_026486582.1
OG0000773	DPOGS206336-PA	XP_026492241.1, XP_026492146.1
OG0000774	DPOGS214009-PA	XP_026490367.1
OG0000775	DPOGS214507-PA	XP_026493248.1
OG0000776	DPOGS215217-PA	XP_026500096.1, XP_026500136.1
OG0000777	DPOGS215683-PA	XP_026486633.1, XP_026486634.1, XP_026486632.1
OG0000778	DPOGS215497-PA	XP_026495890.1, XP_026495889.1, XP_026495892.1
OG0000779	DPOGS211280-PA	XP_026496774.1, XP_026498409.1
OG0000780	DPOGS211175-PA	XP_026487146.1
OG0000781	DPOGS213147-PA	XP_026484364.1
OG0000782	DPOGS202608-PA	XP_026496929.1, XP_026496928.1
OG0000783	DPOGS211447-PA, DPOGS211448-PA, DPOGS211446-PA	XP_026485197.1
OG0000784	DPOGS205225-PA	XP_026488616.1
OG0000785	DPOGS202524-PA	XP_026493107.1
OG0000785	DPOGS202523-PA	XP_026493108.1
OG0000787	DPOGS212730-PA	XP_026487925.1, XP_026487926.1
OG0000788	DPOGS212771-PA	XP_026488926.1
OG0000789	DPOGS213448-PA, DPOGS205379-PA	XP_026489402.1
OG0000790	DPOGS214621-PA	XP_026491000.1
OG0000791	DPOGS214660-PA	XP_026495524.1
OG0000792	DPOGS200206-PA	XP_026493018.1
OG0000792	DPOGS203917-PA	XP_026499549.1
OG0000793	DPOGS208560-PA	XP_026485323.1
OG0000794	DPOGS203173-PA	XP_026496204.1
OG0000795	DPOGS201678-PA	XP_026492364.1, XP_026492166.1
OG0000796	DPOGS213248-PA	XP_026491847.1
OG0000796	DPOGS213247-PA	XP_026491849.1
OG0000797	DPOGS203253-PA	XP_026488314.1, XP_026488330.1
OG0000798	DPOGS215484-PA	XP_026495744.1
OG0000799	DPOGS215859-PA	XP_026485729.1
OG0000800	DPOGS203095-PA	XP_026483351.1
OG0000800	DPOGS205970-PA	XP_026501264.1
OG0000801	DPOGS205971-PA	XP_026501261.1
OG0000803	DPOGS212015-PA	XP_026497442.1
OG0000803	DPOGS200940-PA	XP_026497476.1
OG0000804	DPOGS209265-PA	XP_026488229.1, XP_026488228.1, XP_026488226.1, XP_026488225.1
OG0000805	DPOGS200764-PA	XP_026493081.1
OG0000805	DPOGS204644-PA	XP_026493068.1
OG0000806	DPOGS201126-PA	XP_026494482.1
OG0000807	DPOGS214639-PA	XP_026489736.1
OG0000808	DPOGS203626-PA	XP_026483805.1
OG0000809	DPOGS203479-PA	XP_026490290.1, XP_026490291.1
OG0000810	DPOGS205257-PA, DPOGS204587-PA	XP_026487572.1
OG0000811	DPOGS203427-PA	XP_026492222.1, XP_026492257.1
OG0000812	DPOGS203737-PA	XP_026497230.1, XP_026493566.1
OG0000813	DPOGS214056-PA	XP_026485203.1
OG0000814	DPOGS200268-PA	XP_026495850.1, XP_026495869.1
OG0000816	DPOGS206412-PA	XP_026488547.1
OG0000817	DPOGS205648-PA	XP_026492741.1
OG0000818	DPOGS207544-PA, DPOGS200525-PA	XP_026497229.1, XP_026496553.1, XP_026498237.1
OG0000819	DPOGS202254-PA	XP_026494244.1, XP_026494178.1
OG0000820	DPOGS200570-PA	XP_026498302.1
OG0000821	DPOGS200881-PA, DPOGS206407-PA	XP_026488550.1
OG0000822	DPOGS207465-PA	XP_026491577.1
OG0000823	DPOGS204308-PA	XP_026484885.1
OG0000824	DPOGS201428-PA	XP_026497160.1
OG0000825	DPOGS209744-PA	XP_026495935.1, XP_026495934.1
OG0000826	DPOGS206674-PA	XP_026493870.1, XP_026493871.1, XP_026493868.1, XP_026493869.1
OG0000827	DPOGS206581-PA	XP_026492043.1
OG0000828	DPOGS208586-PA	XP_026489189.1
OG0000828	DPOGS208884-PA	XP_026496648.1
OG0000829	DPOGS207819-PA	XP_026499602.1
OG0000830	DPOGS208036-PA, DPOGS206419-PA	XP_026500064.1, XP_026500065.1
OG0000831	DPOGS212118-PA	XP_026495318.1
OG0000831	DPOGS209532-PA	XP_026497775.1
OG0000832	DPOGS209056-PA, DPOGS209059-PA	XP_026483205.1
OG0000833	DPOGS208075-PA, DPOGS208495-PA, DPOGS208076-PA	XP_026485159.1, XP_026485160.1
OG0000834	DPOGS204256-PA, DPOGS204258-PA	XP_026484820.1, XP_026484822.1, XP_026484824.1, XP_026484821.1
OG0000835	DPOGS211627-PA, DPOGS211626-PA	XP_026499166.1, XP_026499165.1
OG0000836	DPOGS212862-PA	XP_026486685.1
OG0000837	DPOGS202493-PA	XP_026483966.1, XP_026484142.1
OG0000838	DPOGS213305-PA	XP_026488424.1, XP_026488425.1, XP_026488423.1
OG0000839	DPOGS208939-PA	XP_026492774.1, XP_026492773.1, XP_026492772.1, XP_026492775.1
OG0000840	DPOGS201474-PA	XP_026494764.1, XP_026494765.1, XP_026494766.1
OG0000841	DPOGS213629-PA	XP_026499121.1, XP_026499120.1
OG0000842	DPOGS208927-PA	XP_026492746.1
OG0000843	DPOGS210299-PA, DPOGS210301-PA, DPOGS210300-PA	XP_026497801.1
OG0000844	DPOGS212385-PA	XP_026486534.1
OG0000845	DPOGS206961-PA	XP_026490731.1, XP_026490732.1
OG0000845	DPOGS206959-PA	XP_026490728.1
OG0000846	DPOGS211607-PA	XP_026490278.1, XP_026490276.1, XP_026490277.1
OG0000847	DPOGS208745-PA	XP_026485029.1
OG0000847	DPOGS208744-PA	XP_026484647.1
OG0000848	DPOGS210242-PA	XP_026489150.1
OG0000849	DPOGS201853-PA	XP_026498695.1
OG0000850	DPOGS213267-PA, DPOGS213266-PA	XP_026491186.1
OG0000851	DPOGS205370-PA	XP_026489428.1, XP_026489395.1, XP_026489427.1
OG0000852	DPOGS200589-PA	XP_026484868.1
OG0000852	DPOGS212960-PA	XP_026497887.1, XP_026499959.1
OG0000854	DPOGS202794-PA	XP_026489468.1
OG0000863	DPOGS208803-PA, DPOGS208806-PA, DPOGS208804-PA, DPOGS208805-PA	XP_026484828.1
OG0000864	DPOGS205725-PA, DPOGS210043-PA	XP_026490153.1, XP_026490155.1
OG0000865	DPOGS210288-PA	XP_026492450.1
OG0000866	DPOGS214699-PA	XP_026490971.1
OG0000867	DPOGS206641-PA, DPOGS206638-PA	XP_026493814.1
OG0000868	DPOGS200263-PA	XP_026488402.1
OG0000870	DPOGS208290-PA	XP_026485637.1, XP_026485638.1, XP_026485636.1
OG0000870	DPOGS208291-PA	XP_026485640.1
OG0000871	DPOGS214422-PA	XP_026483326.1
OG0000872	DPOGS216118-PA	XP_026492519.1
OG0000873	DPOGS210817-PA	XP_026499034.1
OG0000874	DPOGS210369-PA	XP_026487278.1
OG0000876	DPOGS206310-PA, DPOGS201390-PA	XP_026483151.1
OG0000878	DPOGS206791-PA	XP_026500472.1
OG0000881	DPOGS210653-PA	XP_026499415.1, XP_026496441.1, XP_026500953.1
OG0000883	DPOGS208750-PA	XP_026485121.1
OG0000884	DPOGS205039-PA	XP_026485206.1
OG0000885	DPOGS206403-PA	XP_026493703.1, XP_026487017.1
OG0000888	DPOGS201605-PA	XP_026486548.1
OG0000889	DPOGS216175-PA	XP_026490172.1
OG0000890	DPOGS202089-PA	XP_026484227.1
OG0000891	DPOGS212941-PA	XP_026494139.1
OG0000892	DPOGS203780-PA	XP_026497910.1
OG0000893	DPOGS201607-PA, DPOGS201606-PA	XP_026499518.1, XP_026499519.1
OG0000894	DPOGS216202-PA	XP_026486350.1, XP_026486364.1, XP_026486358.1
OG0000895	DPOGS209835-PA	XP_026484276.1
OG0000895	DPOGS209836-PA	XP_026484279.1
OG0000896	DPOGS213757-PA	XP_026490386.1, XP_026490387.1
OG0000897	DPOGS211299-PA	XP_026489744.1, XP_026489741.1, XP_026489742.1, XP_026489740.1
OG0000898	DPOGS211333-PA	XP_026489644.1
OG0000899	DPOGS200219-PA, DPOGS210195-PA	XP_026490655.1
OG0000900	DPOGS215296-PA	XP_026501092.1
OG0000901	DPOGS215176-PA	XP_026500083.1
OG0000902	DPOGS203551-PA, DPOGS204539-PA	XP_026497664.1
OG0000903	DPOGS202279-PA	XP_026494199.1
OG0000903	DPOGS202278-PA	XP_026494180.1
OG0000905	DPOGS201585-PA	XP_026499313.1, XP_026497227.1
OG0000905	DPOGS201586-PA	XP_026498755.1
OG0000906	DPOGS201312-PA	XP_026487189.1
OG0000906	DPOGS201313-PA	XP_026487177.1
OG0000907	DPOGS212607-PA, DPOGS212593-PA, DPOGS201059-PA	XP_026483184.1
OG0000908	DPOGS202557-PA	XP_026490432.1, XP_026490430.1
OG0000909	DPOGS211320-PA, DPOGS210131-PA	XP_026494263.1
OG0000910	DPOGS213780-PA	XP_026490352.1, XP_026490351.1
OG0000911	DPOGS212152-PA	XP_026495027.1, XP_026495028.1, XP_026495026.1
OG0000912	DPOGS204588-PA	XP_026493269.1
OG0000913	DPOGS206750-PA	XP_026490567.1
OG0000915	DPOGS212109-PA	XP_026495031.1, XP_026495030.1
OG0000916	DPOGS200515-PA	XP_026485224.1
OG0000918	DPOGS215762-PA	XP_026497896.1, XP_026497892.1
OG0000919	DPOGS211144-PA	XP_026487707.1, XP_026487523.1
OG0000920	DPOGS213295-PA	XP_026499098.1
OG0000921	DPOGS212511-PA	XP_026483739.1
OG0000922	DPOGS205162-PA	XP_026491327.1
OG0000923	DPOGS213769-PA	XP_026490325.1
OG0000924	DPOGS205590-PA	XP_026483828.1
OG0000926	DPOGS200889-PA	XP_026496366.1, XP_026496375.1
OG0000927	DPOGS209762-PA, DPOGS209763-PA	XP_026492249.1
OG0000928	DPOGS211291-PA	XP_026496880.1, XP_026496852.1
OG0000929	DPOGS211289-PA	XP_026496624.1, XP_026496623.1
OG0000930	DPOGS211285-PA	XP_026496992.1, XP_026496990.1, XP_026496989.1, XP_026496993.1
OG0000931	DPOGS216137-PA	XP_026491846.1
OG0000932	DPOGS201928-PA	XP_026494782.1
OG0000933	DPOGS215916-PA	XP_026485820.1, XP_026486200.1
OG0000934	DPOGS203637-PA	XP_026483870.1
OG0000935	DPOGS202489-PA, DPOGS214773-PA	XP_026488456.1
OG0000936	DPOGS210273-PA	XP_026492480.1, XP_026492476.1, XP_026492478.1, XP_026492477.1
OG0000937	DPOGS212956-PA	XP_026483089.1, XP_026483087.1, XP_026483090.1, XP_026483091.1, XP_026483088.1
OG0000938	DPOGS203206-PA, DPOGS203205-PA, DPOGS203204-PA	XP_026496369.1, XP_026496378.1
OG0000939	DPOGS203168-PA	XP_026496372.1
OG0000940	DPOGS213596-PA	XP_026499264.1, XP_026499265.1
OG0000941	DPOGS214612-PA	XP_026487080.1, XP_026489233.1, XP_026489234.1
OG0000942	DPOGS212477-PA, DPOGS212513-PA, DPOGS212476-PA	XP_026483706.1
OG0000943	DPOGS216147-PA	XP_026497591.1
OG0000944	DPOGS204379-PA, DPOGS204380-PA	XP_026484427.1
OG0000945	DPOGS206666-PA	XP_026493817.1
OG0000945	DPOGS202226-PA	XP_026492590.1
OG0000946	DPOGS216041-PA, DPOGS216040-PA	XP_026496020.1
OG0000947	DPOGS200587-PA	XP_026488632.1
OG0000948	DPOGS201743-PA	XP_026494736.1, XP_026494737.1
OG0000949	DPOGS201744-PA	XP_026494744.1, XP_026494743.1, XP_026494745.1
OG0000950	DPOGS209251-PA	XP_026488394.1
OG0000951	DPOGS209191-PA	XP_026496410.1
OG0000952	DPOGS204547-PA	XP_026499679.1
OG0000953	DPOGS213542-PA	XP_026499258.1, XP_026499257.1, XP_026499259.1
OG0000954	DPOGS204498-PA	XP_026484425.1, XP_026484426.1
OG0000955	DPOGS207958-PA	XP_026486361.1, XP_026486362.1
OG0000956	DPOGS210533-PA	XP_026494424.1
OG0000957	DPOGS214644-PA, DPOGS214643-PA	XP_026489677.1
OG0000958	DPOGS215100-PA	XP_026494146.1
OG0000959	DPOGS214481-PA	XP_026494071.1
OG0000960	DPOGS214043-PA	XP_026494024.1
OG0000961	DPOGS205809-PA	XP_026494738.1
OG0000962	DPOGS201120-PA	XP_026494459.1
OG0000963	DPOGS216027-PA	XP_026495740.1
OG0000964	DPOGS212717-PA	XP_026489059.1, XP_026489055.1
OG0000965	DPOGS200546-PA	XP_026494549.1, XP_026494547.1, XP_026494548.1, XP_026494545.1, XP_026494546.1
OG0000966	DPOGS212740-PA	XP_026489074.1, XP_026489073.1, XP_026489075.1
OG0000967	DPOGS201691-PA	XP_026494532.1
OG0000967	DPOGS201707-PA	XP_026494535.1
OG0000968	DPOGS201640-PA	XP_026484203.1, XP_026484204.1, XP_026484202.1
OG0000969	DPOGS201692-PA, DPOGS201693-PA	XP_026494540.1
OG0000970	DPOGS208999-PA	XP_026496871.1
OG0000971	DPOGS206005-PA	XP_026491250.1
OG0000972	DPOGS202337-PA	XP_026494316.1
OG0000973	DPOGS209316-PA	XP_026497223.1, XP_026496440.1, XP_026498146.1
OG0000974	DPOGS200265-PA, DPOGS200266-PA, DPOGS200264-PA, DPOGS200267-PA	XP_026488468.1
OG0000975	DPOGS206433-PA	XP_026492407.1, XP_026492406.1, XP_026492408.1
OG0000976	DPOGS200533-PA, DPOGS214245-PA, DPOGS204241-PA	XP_026497878.1
OG0000978	DPOGS211070-PA	XP_026484089.1
OG0000979	DPOGS206438-PA	XP_026492200.1
OG0000980	DPOGS206263-PA, DPOGS206262-PA	XP_026489597.1
OG0000981	DPOGS207038-PA	XP_026501272.1, XP_026501271.1
OG0000982	DPOGS214188-PA	XP_026487749.1, XP_026487751.1, XP_026487752.1, XP_026487750.1
OG0000983	DPOGS212254-PA	XP_026498606.1
OG0000984	DPOGS207110-PA	XP_026483304.1, XP_026487103.1
OG0000985	DPOGS212293-PA	XP_026498662.1, XP_026498664.1, XP_026498663.1
OG0000986	DPOGS209746-PA	XP_026495796.1
OG0000987	DPOGS200078-PA	XP_026500568.1, XP_026500567.1
OG0000988	DPOGS214167-PA	XP_026487738.1
OG0000988	DPOGS214168-PA	XP_026487736.1
OG0000989	DPOGS204050-PA	XP_026494356.1, XP_026494354.1, XP_026494353.1, XP_026494352.1, XP_026494358.1, XP_026494355.1
OG0000990	DPOGS212563-PA	XP_026497308.1
OG0000990	DPOGS207764-PA	XP_026499588.1
OG0000991	DPOGS212185-PA	XP_026498764.1
OG0000992	DPOGS207022-PA	XP_026489072.1
OG0000992	DPOGS206956-PA	XP_026488868.1
OG0000993	DPOGS214852-PA, DPOGS214853-PA	XP_026497379.1
OG0000994	DPOGS207425-PA, DPOGS207424-PA	XP_026498272.1
OG0000995	DPOGS207269-PA	XP_026486912.1
OG0000996	DPOGS215963-PA	XP_026491408.1
OG0000997	DPOGS207576-PA	XP_026486017.1, XP_026486016.1
OG0000998	DPOGS202904-PA	XP_026496472.1
OG0000999	DPOGS205824-PA	XP_026498251.1, XP_026498250.1, XP_026498249.1
OG0001000	DPOGS212269-PA	XP_026498583.1
OG0001000	DPOGS212270-PA	XP_026498588.1
OG0001001	DPOGS207844-PA, DPOGS207721-PA, DPOGS207843-PA, DPOGS207842-PA	XP_026499824.1, XP_026499825.1, XP_026499827.1
OG0001002	DPOGS206980-PA	XP_026489110.1
OG0001003	DPOGS202539-PA	XP_026483986.1
OG0001004	DPOGS214127-PA	XP_026487653.1, XP_026487652.1
OG0001005	DPOGS208921-PA	XP_026492829.1
OG0001006	DPOGS204902-PA	XP_026486913.1
OG0001006	DPOGS204901-PA	XP_026486821.1
OG0001007	DPOGS201001-PA	XP_026488007.1
OG0001008	DPOGS207655-PA	XP_026484221.1
OG0001008	DPOGS207656-PA	XP_026484240.1
OG0001009	DPOGS203573-PA	XP_026490305.1
OG0001010	DPOGS200297-PA	XP_026490883.1
OG0001011	DPOGS215243-PA	XP_026488031.1
OG0001011	DPOGS215242-PA	XP_026487988.1
OG0001013	DPOGS210620-PA	XP_026492598.1, XP_026492597.1
OG0001014	DPOGS205566-PA	XP_026489174.1
OG0001015	DPOGS203466-PA	XP_026501411.1
OG0001016	DPOGS205559-PA, DPOGS205558-PA	XP_026489175.1
OG0001017	DPOGS211829-PA	XP_026487494.1
OG0001018	DPOGS210251-PA, DPOGS210252-PA	XP_026489157.1
OG0001019	DPOGS211471-PA, DPOGS211470-PA	XP_026498327.1
OG0001020	DPOGS215043-PA	XP_026488129.1
OG0001021	DPOGS205690-PA	XP_026486493.1
OG0001022	DPOGS200046-PA, DPOGS212915-PA, DPOGS212914-PA	XP_026491877.1
OG0001023	DPOGS201891-PA	XP_026490451.1
OG0001023	DPOGS201893-PA	XP_026490452.1
OG0001024	DPOGS202411-PA	XP_026484320.1
OG0001024	DPOGS202161-PA	XP_026485047.1
OG0001025	DPOGS212984-PA, DPOGS211727-PA	XP_026491882.1
OG0001026	DPOGS209378-PA	XP_026483235.1
OG0001026	DPOGS209379-PA	XP_026486639.1
OG0001027	DPOGS214901-PA	XP_026485053.1
OG0001028	DPOGS210148-PA	XP_026501631.1
OG0001029	DPOGS201549-PA	XP_026488775.1
OG0001030	DPOGS211801-PA	XP_026488770.1, XP_026488797.1
OG0001031	DPOGS207387-PA	XP_026488779.1, XP_026495585.1
OG0001032	DPOGS201506-PA, DPOGS201508-PA	XP_026496610.1
OG0001033	DPOGS211517-PA	XP_026495647.1
OG0001034	DPOGS208347-PA	XP_026501778.1
OG0001035	DPOGS201137-PA	XP_026488090.1
OG0001036	DPOGS201907-PA, DPOGS201906-PA	XP_026490504.1, XP_026490459.1
OG0001037	DPOGS208838-PA	XP_026501177.1, XP_026501180.1, XP_026501182.1, XP_026501179.1, XP_026501178.1
OG0001042	DPOGS212521-PA	XP_026483670.1
OG0001043	DPOGS208040-PA, DPOGS208039-PA	XP_026493100.1
OG0001044	DPOGS202045-PA	XP_026491428.1
OG0001045	DPOGS203231-PA	XP_026496414.1
OG0001046	DPOGS210865-PA	XP_026499015.1
OG0001047	DPOGS208294-PA	XP_026485367.1
OG0001048	DPOGS215131-PA	XP_026492565.1, XP_026492569.1, XP_026492562.1, XP_026492566.1
OG0001049	DPOGS202395-PA, DPOGS214613-PA, DPOGS204904-PA	XP_026483110.1
OG0001050	DPOGS208218-PA, DPOGS208219-PA	XP_026499428.1
OG0001051	DPOGS215281-PA	XP_026493203.1
OG0001052	DPOGS206747-PA	XP_026490604.1, XP_026490577.1
OG0001053	DPOGS202946-PA, DPOGS202945-PA	XP_026487078.1
OG0001054	DPOGS201383-PA	XP_026497959.1, XP_026497951.1
OG0001055	DPOGS208791-PA	XP_026501117.1, XP_026501116.1, XP_026501118.1
OG0001056	DPOGS205719-PA	XP_026500031.1
OG0001057	DPOGS205040-PA	XP_026483127.1
OG0001059	DPOGS207347-PA	XP_026500173.1
OG0001060	DPOGS208203-PA	XP_026499433.1
OG0001061	DPOGS210821-PA	XP_026498995.1
OG0001062	DPOGS216101-PA	XP_026495784.1, XP_026493644.1, XP_026493794.1, XP_026493643.1, XP_026493795.1
OG0001063	DPOGS207326-PA	XP_026500124.1
OG0001064	DPOGS213164-PA	XP_026501024.1
OG0001065	DPOGS202137-PA	XP_026493056.1, XP_026493054.1
OG0001066	DPOGS211827-PA	XP_026483940.1, XP_026483939.1
OG0001067	DPOGS210647-PA, DPOGS210646-PA	XP_026494075.1, XP_026494074.1, XP_026494076.1, XP_026494080.1
OG0001068	DPOGS209597-PA	XP_026489984.1
OG0001069	DPOGS208787-PA	XP_026501233.1, XP_026501232.1
OG0001070	DPOGS210377-PA	XP_026487281.1
OG0001071	DPOGS214406-PA	XP_026483594.1
OG0001072	DPOGS202134-PA	XP_026493245.1
OG0001073	DPOGS211806-PA, DPOGS211805-PA	XP_026489282.1
OG0001074	DPOGS213652-PA	XP_026492928.1
OG0001075	DPOGS211239-PA	XP_026494187.1
OG0001076	DPOGS215027-PA	XP_026492878.1, XP_026492875.1, XP_026492869.1, XP_026492867.1, XP_026486434.1
OG0001077	DPOGS214976-PA	XP_026486438.1, XP_026492870.1, XP_026492868.1, XP_026492877.1, XP_026492876.1
OG0001078	DPOGS206801-PA	XP_026500439.1
OG0001079	DPOGS211823-PA	XP_026484060.1
OG0001080	DPOGS210310-PA	XP_026487222.1
OG0001080	DPOGS210311-PA	XP_026487226.1
OG0001081	DPOGS215707-PA	XP_026486854.1, XP_026485266.1
OG0001082	DPOGS215825-PA	XP_026485996.1
OG0001083	DPOGS205457-PA	XP_026492947.1, XP_026492948.1
OG0001084	DPOGS205126-PA, DPOGS205125-PA	XP_026483526.1
OG0001085	DPOGS201630-PA	XP_026498211.1
OG0001086	DPOGS209772-PA, DPOGS209773-PA, DPOGS209771-PA	XP_026500157.1
OG0001087	DPOGS215713-PA	XP_026498050.1
OG0001088	DPOGS201139-PA, DPOGS201138-PA	XP_026485267.1
OG0001089	DPOGS209582-PA	XP_026489917.1
OG0001089	DPOGS209581-PA	XP_026489915.1
OG0001090	DPOGS212968-PA	XP_026488866.1, XP_026488858.1, XP_026488850.1
OG0001091	DPOGS210921-PA	XP_026489294.1
OG0001092	DPOGS204831-PA	XP_026493543.1, XP_026493542.1, XP_026493545.1
OG0001093	DPOGS201158-PA	XP_026493626.1, XP_026493627.1
OG0001094	DPOGS203130-PA	XP_026493451.1
OG0001095	DPOGS209824-PA, DPOGS209825-PA	XP_026484288.1
OG0001096	DPOGS202083-PA, DPOGS206767-PA, DPOGS206766-PA	XP_026498724.1
OG0001097	DPOGS211507-PA	XP_026490709.1
OG0001097	DPOGS211506-PA	XP_026490717.1
OG0001098	DPOGS204668-PA	XP_026496027.1, XP_026496028.1
OG0001099	DPOGS215226-PA	XP_026500118.1, XP_026500116.1, XP_026500117.1, XP_026500119.1
OG0001101	DPOGS210192-PA	XP_026490575.1
OG0001102	DPOGS204158-PA	XP_026489636.1, XP_026489637.1
OG0001103	DPOGS210578-PA	XP_026498438.1
OG0001104	DPOGS203878-PA	XP_026490697.1
OG0001105	DPOGS209463-PA, DPOGS209461-PA	XP_026501711.1
OG0001106	DPOGS205036-PA	XP_026485679.1
OG0001107	DPOGS207062-PA	XP_026488918.1
OG0001108	DPOGS212311-PA	XP_026486417.1, XP_026486416.1
OG0001109	DPOGS206332-PA, DPOGS215124-PA	XP_026492290.1
OG0001110	DPOGS215276-PA	XP_026488028.1
OG0001111	DPOGS209816-PA	XP_026484260.1, XP_026484261.1, XP_026484259.1, XP_026484263.1
OG0001112	DPOGS203907-PA	XP_026499269.1
OG0001112	DPOGS200469-PA	XP_026483549.1
OG0001114	DPOGS206820-PA, DPOGS200017-PA	XP_026488582.1
OG0001116	DPOGS203543-PA	XP_026497668.1, XP_026497669.1, XP_026497671.1, XP_026497670.1
OG0001117	DPOGS205240-PA	XP_026489388.1, XP_026489399.1
OG0001118	DPOGS210036-PA	XP_026490099.1
OG0001119	DPOGS200349-PA	XP_026490933.1
OG0001120	DPOGS211323-PA, DPOGS211324-PA	XP_026494404.1
OG0001121	DPOGS213232-PA	XP_026492435.1
OG0001122	DPOGS200002-PA	XP_026500902.1
OG0001123	DPOGS211337-PA	XP_026494636.1
OG0001124	DPOGS211368-PA	XP_026494594.1
OG0001125	DPOGS211139-PA	XP_026487377.1
OG0001126	DPOGS213062-PA	XP_026484584.1
OG0001126	DPOGS213063-PA	XP_026485038.1
OG0001127	DPOGS215656-PA	XP_026497871.1
OG0001127	DPOGS215655-PA	XP_026497870.1
OG0001128	DPOGS204939-PA	XP_026492277.1
OG0001129	DPOGS208450-PA	XP_026495979.1, XP_026495978.1, XP_026495977.1
OG0001130	DPOGS200577-PA, DPOGS200578-PA	XP_026490228.1, XP_026490227.1
OG0001131	DPOGS205005-PA	XP_026497372.1
OG0001132	DPOGS203270-PA	XP_026485836.1, XP_026485835.1
OG0001134	DPOGS211153-PA	XP_026488363.1
OG0001135	DPOGS213478-PA	XP_026499328.1, XP_026499329.1
OG0001136	DPOGS208446-PA	XP_026495548.1, XP_026495549.1, XP_026495547.1
OG0001137	DPOGS212139-PA	XP_026495302.1, XP_026495303.1
OG0001138	DPOGS202511-PA, DPOGS204814-PA	XP_026493276.1, XP_026493430.1
OG0001139	DPOGS215886-PA	XP_026486182.1, XP_026486180.1, XP_026486181.1
OG0001140	DPOGS208589-PA	XP_026486148.1
OG0001141	DPOGS216127-PA	XP_026491830.1
OG0001142	DPOGS200261-PA	XP_026488303.1
OG0001143	DPOGS201951-PA	XP_026495357.1
OG0001144	DPOGS215884-PA	XP_026486183.1
OG0001145	DPOGS204689-PA	XP_026497409.1, XP_026497410.1, XP_026497407.1, XP_026497408.1, XP_026497406.1
OG0001146	DPOGS215364-PA	XP_026489273.1, XP_026489180.1
OG0001147	DPOGS205247-PA	XP_026489423.1
OG0001147	DPOGS205245-PA	XP_026489391.1
OG0001148	DPOGS209752-PA	XP_026492254.1
OG0001148	DPOGS209751-PA	XP_026492357.1
OG0001149	DPOGS212312-PA	XP_026489221.1
OG0001149	DPOGS212313-PA	XP_026489219.1
OG0001150	DPOGS215904-PA	XP_026485944.1
OG0001150	DPOGS215902-PA	XP_026485935.1
OG0001151	DPOGS215878-PA	XP_026485839.1, XP_026485920.1
OG0001152	DPOGS211882-PA	XP_026491523.1
OG0001153	DPOGS213497-PA	XP_026499405.1, XP_026499407.1
OG0001154	DPOGS214588-PA	XP_026499756.1, XP_026496833.1
