Orthogroup	Danaus_plexippus	Pararge_aegeria
OG0001229	DPOGS214343-PA	XP_039759516.1
OG0001229	DPOGS214342-PA	XP_039759517.1
OG0001230	DPOGS205861-PA	XP_039748397.1
OG0001231	DPOGS213440-PA	XP_039754571.1
OG0001232	DPOGS200976-PA	XP_039756239.1, XP_039756158.1
OG0001233	DPOGS205818-PA	XP_039747865.1
OG0001234	DPOGS214233-PA	XP_039763237.1, XP_039763229.1, XP_039763246.1
OG0001235	DPOGS211652-PA	XP_039755627.1
OG0001236	DPOGS211656-PA	XP_039755518.1
OG0001237	DPOGS204262-PA, DPOGS204263-PA, DPOGS204260-PA, DPOGS204261-PA	XP_039745522.1
OG0001238	DPOGS210302-PA	XP_039745650.1
OG0001239	DPOGS202370-PA, DPOGS202371-PA	XP_039756106.1
OG0001240	DPOGS201484-PA	XP_039761637.1, XP_039761645.1
OG0001241	DPOGS204268-PA	XP_039765932.1, XP_039765933.1, XP_039765931.1
OG0001242	DPOGS214271-PA	XP_039765023.1, XP_039764508.1
OG0001243	DPOGS207002-PA	XP_039752566.1, XP_039752568.1, XP_039752567.1, XP_039752565.1, XP_039752564.1
OG0001244	DPOGS212326-PA	XP_039755786.1
OG0001245	DPOGS215414-PA	XP_039758882.1, XP_039758790.1
OG0001246	DPOGS207861-PA	XP_039753023.1
OG0001247	DPOGS202362-PA	XP_039765291.1, XP_039765290.1
OG0001248	DPOGS210726-PA	XP_039750865.1
OG0001249	DPOGS202880-PA	XP_039759479.1, XP_039759480.1
OG0001249	DPOGS202918-PA	XP_039759279.1, XP_039759278.1
OG0001250	DPOGS205830-PA	XP_039748881.1, XP_039748880.1, XP_039748882.1, XP_039748879.1
OG0001251	DPOGS200877-PA, DPOGS200876-PA, DPOGS200875-PA, DPOGS200874-PA	XP_039753419.1
OG0001252	DPOGS215030-PA	XP_039760674.1, XP_039760672.1, XP_039760670.1, XP_039760673.1, XP_039760671.1
OG0001253	DPOGS214288-PA	XP_039765005.1, XP_039765007.1, XP_039765006.1
OG0001254	DPOGS202912-PA	XP_039759700.1
OG0001255	DPOGS212571-PA	XP_039764212.1, XP_039764210.1, XP_039764209.1, XP_039764125.1, XP_039764211.1
OG0001256	DPOGS202792-PA	XP_039751510.1
OG0001257	DPOGS215277-PA	XP_039756440.1, XP_039756441.1, XP_039756439.1
OG0001258	DPOGS206864-PA	XP_039751812.1
OG0001258	DPOGS207078-PA	XP_039752329.1
OG0001259	DPOGS210623-PA	XP_039755100.1
OG0001260	DPOGS207081-PA	XP_039752117.1
OG0001261	DPOGS202780-PA	XP_039751686.1
OG0001261	DPOGS202779-PA	XP_039751599.1
OG0001262	DPOGS200725-PA	XP_039745751.1, XP_039745753.1, XP_039745752.1
OG0001263	DPOGS215036-PA, DPOGS215037-PA	XP_039754448.1
OG0001264	DPOGS211536-PA	XP_039745121.1, XP_039745128.1
OG0001265	DPOGS208675-PA	XP_039765310.1
OG0001266	DPOGS211541-PA	XP_039758691.1
OG0001267	DPOGS213326-PA, DPOGS213327-PA	XP_039749889.1
OG0001269	DPOGS201547-PA	XP_039751731.1, XP_039751734.1
OG0001270	DPOGS202174-PA	XP_039765549.1
OG0001271	DPOGS209079-PA	XP_039753870.1
OG0001272	DPOGS211717-PA	XP_039748973.1, XP_039748965.1, XP_039748982.1, XP_039748956.1
OG0001273	DPOGS201544-PA	XP_039760790.1
OG0001274	DPOGS202163-PA, DPOGS202164-PA	XP_039765381.1, XP_039765382.1, XP_039765383.1
OG0001275	DPOGS211731-PA	XP_039749416.1
OG0001276	DPOGS201875-PA	XP_039764526.1
OG0001277	DPOGS206826-PA	XP_039752374.1
OG0001278	DPOGS205664-PA	XP_039746076.1
OG0001279	DPOGS208384-PA	XP_039763979.1, XP_039764123.1, XP_039763960.1
OG0001280	DPOGS207114-PA	XP_039752478.1, XP_039752480.1, XP_039752481.1, XP_039752479.1
OG0001281	DPOGS201568-PA	XP_039764883.1
OG0001281	DPOGS209060-PA	XP_039764521.1
OG0001282	DPOGS206517-PA	XP_039765967.1
OG0001282	DPOGS206518-PA	XP_039765952.1
OG0001283	DPOGS212646-PA	XP_039748416.1
OG0001284	DPOGS212652-PA, DPOGS212650-PA, DPOGS212651-PA	XP_039750030.1
OG0001285	DPOGS203298-PA	XP_039763845.1, XP_039763844.1
OG0001286	DPOGS200643-PA	XP_039755132.1
OG0001287	DPOGS208099-PA	XP_039763056.1, XP_039762837.1, XP_039764278.1, XP_039763058.1, XP_039764260.1, XP_039764251.1
OG0001289	DPOGS209402-PA, DPOGS210837-PA	XP_039754073.1, XP_039754182.1, XP_039754181.1, XP_039754180.1, XP_039753961.1, XP_039754072.1, XP_039753962.1, XP_039754183.1, XP_039754074.1, XP_039754075.1
OG0001290	DPOGS215086-PA, DPOGS207492-PA	XP_039755814.1, XP_039765281.1, XP_039762532.1, XP_039763642.1, XP_039763695.1, XP_039755212.1, XP_039763120.1
OG0001291	DPOGS202658-PA	XP_039745970.1, XP_039745971.1
OG0001293	DPOGS210634-PA	XP_039750857.1, XP_039750875.1
OG0001302	DPOGS207366-PA, DPOGS211500-PA	XP_039762312.1, XP_039762311.1
OG0001303	DPOGS210402-PA	XP_039757077.1
OG0001304	DPOGS210401-PA	XP_039756811.1
OG0001305	DPOGS210111-PA	XP_039748578.1, XP_039748577.1
OG0001306	DPOGS212266-PA	XP_039755005.1
OG0001307	DPOGS208299-PA, DPOGS201736-PA	XP_039750247.1, XP_039750248.1, XP_039750246.1
OG0001308	DPOGS204988-PA	XP_039760230.1, XP_039760231.1
OG0001309	DPOGS214763-PA	XP_039757523.1, XP_039757520.1, XP_039757525.1, XP_039757521.1, XP_039757519.1, XP_039757522.1
OG0001310	DPOGS211532-PA, DPOGS211531-PA	XP_039762097.1, XP_039762096.1
OG0001311	DPOGS206365-PA	XP_039753048.1
OG0001312	DPOGS201954-PA	XP_039752818.1, XP_039752819.1
OG0001315	DPOGS216109-PA	XP_039747968.1, XP_039747965.1, XP_039747967.1, XP_039747966.1
OG0001316	DPOGS212487-PA	XP_039760150.1
OG0001318	DPOGS210257-PA	XP_039760692.1
OG0001319	DPOGS201225-PA	XP_039749732.1, XP_039749729.1, XP_039749731.1
OG0001320	DPOGS210340-PA, DPOGS210341-PA	XP_039755284.1
OG0001321	DPOGS214431-PA	XP_039752455.1
OG0001322	DPOGS214430-PA	XP_039752091.1
OG0001323	DPOGS214989-PA	XP_039762404.1
OG0001324	DPOGS210396-PA	XP_039757034.1
OG0001325	DPOGS206782-PA	XP_039764004.1
OG0001326	DPOGS209137-PA	XP_039754919.1, XP_039755244.1
OG0001327	DPOGS204551-PA, DPOGS204550-PA	XP_039746704.1
OG0001328	DPOGS204535-PA, DPOGS204536-PA	XP_039752499.1
OG0001330	DPOGS208217-PA	XP_039760453.1
OG0001331	DPOGS205465-PA	XP_039756943.1
OG0001333	DPOGS216117-PA	XP_039748485.1
OG0001334	DPOGS213352-PA	XP_039749199.1
OG0001335	DPOGS201172-PA	XP_039752912.1
OG0001336	DPOGS210363-PA	XP_039755306.1
OG0001337	DPOGS214421-PA, DPOGS206521-PA, DPOGS214419-PA	XP_039751837.1
OG0001338	DPOGS212528-PA, DPOGS212529-PA	XP_039747851.1
OG0001339	DPOGS216104-PA	XP_039748053.1
OG0001341	DPOGS215016-PA, DPOGS215020-PA, DPOGS215018-PA, DPOGS215017-PA, DPOGS214983-PA, DPOGS215019-PA	XP_039762446.1
OG0001342	DPOGS213914-PA, DPOGS213913-PA	XP_039761208.1, XP_039761293.1
OG0001343	DPOGS207354-PA, DPOGS207355-PA	XP_039759743.1
OG0001344	DPOGS214436-PA	XP_039752802.1
OG0001345	DPOGS208799-PA	XP_039765421.1, XP_039765420.1, XP_039765419.1
OG0001346	DPOGS210934-PA	XP_039764683.1
OG0001347	DPOGS210325-PA	XP_039755741.1
OG0001348	DPOGS208207-PA	XP_039760638.1
OG0001349	DPOGS208209-PA	XP_039760519.1
OG0001350	DPOGS201689-PA	XP_039760580.1, XP_039760581.1
OG0001352	DPOGS214751-PA	XP_039758109.1, XP_039758111.1, XP_039758110.1, XP_039758108.1
OG0001353	DPOGS214996-PA, DPOGS214994-PA	XP_039762354.1, XP_039762353.1, XP_039762352.1
OG0001354	DPOGS214982-PA, DPOGS214981-PA	XP_039762402.1
OG0001355	DPOGS214627-PA	XP_039757908.1, XP_039758027.1
OG0001356	DPOGS214334-PA	XP_039759321.1
OG0001358	DPOGS208842-PA	XP_039765536.1
OG0001359	DPOGS204783-PA	XP_039753472.1
OG0001360	DPOGS211704-PA	XP_039752039.1, XP_039752041.1, XP_039752040.1
OG0001361	DPOGS202673-PA	XP_039746214.1, XP_039746097.1
OG0001362	DPOGS209789-PA, DPOGS209790-PA	XP_039749828.1
OG0001363	DPOGS204522-PA	XP_039746017.1
OG0001364	DPOGS206226-PA, DPOGS209125-PA	XP_039748200.1
OG0001365	DPOGS209624-PA	XP_039746915.1, XP_039746914.1
OG0001366	DPOGS206793-PA	XP_039763630.1, XP_039763628.1, XP_039763629.1
OG0001367	DPOGS215320-PA	XP_039745181.1
OG0001368	DPOGS207144-PA	XP_039763088.1, XP_039763625.1
OG0001369	DPOGS210087-PA	XP_039749141.1
OG0001370	DPOGS215543-PA	XP_039760702.1
OG0001371	DPOGS209837-PA	XP_039749891.1
OG0001372	DPOGS209490-PA	XP_039756711.1
OG0001373	DPOGS208812-PA	XP_039745437.1
OG0001374	DPOGS215715-PA	XP_039754894.1, XP_039754886.1, XP_039754879.1
OG0001375	DPOGS215310-PA	XP_039765349.1
OG0001377	DPOGS213330-PA	XP_039748165.1
OG0001378	DPOGS208425-PA	XP_039748265.1
OG0001379	DPOGS215328-PA, DPOGS215329-PA	XP_039745331.1, XP_039745330.1
OG0001380	DPOGS206797-PA	XP_039764219.1
OG0001381	DPOGS201582-PA	XP_039761973.1
OG0001382	DPOGS209523-PA	XP_039756130.1
OG0001383	DPOGS202665-PA	XP_039745946.1
OG0001384	DPOGS208098-PA	XP_039762783.1, XP_039764237.1, XP_039764269.1
OG0001385	DPOGS209826-PA	XP_039749675.1
OG0001386	DPOGS201143-PA	XP_039754451.1
OG0001387	DPOGS209575-PA	XP_039747348.1, XP_039747347.1
OG0001388	DPOGS201145-PA	XP_039754429.1
OG0001389	DPOGS209802-PA	XP_039749903.1, XP_039749902.1
OG0001390	DPOGS209645-PA	XP_039747415.1
OG0001391	DPOGS209457-PA	XP_039751294.1
OG0001392	DPOGS215519-PA, DPOGS215520-PA	XP_039747512.1
OG0001393	DPOGS209999-PA	XP_039749067.1
OG0001394	DPOGS205271-PA	XP_039754943.1
OG0001395	DPOGS204643-PA	XP_039748324.1
OG0001396	DPOGS210199-PA, DPOGS210197-PA	XP_039748191.1
OG0001397	DPOGS206175-PA	XP_039762864.1
OG0001398	DPOGS210282-PA	XP_039760531.1
OG0001399	DPOGS200462-PA	XP_039752126.1
OG0001399	DPOGS200458-PA	XP_039752009.1
OG0001400	DPOGS202271-PA	XP_039757805.1, XP_039757807.1, XP_039757808.1, XP_039757806.1
OG0001401	DPOGS204101-PA	XP_039750656.1
OG0001402	DPOGS206334-PA	XP_039753366.1, XP_039753367.1
OG0001402	DPOGS202344-PA	XP_039758144.1
OG0001404	DPOGS205297-PA	XP_039754612.1
OG0001405	DPOGS207214-PA	XP_039760744.1
OG0001406	DPOGS214084-PA	XP_039753546.1, XP_039753545.1
OG0001407	DPOGS203179-PA	XP_039752299.1
OG0001408	DPOGS203345-PA, DPOGS205256-PA	XP_039762587.1
OG0001409	DPOGS210798-PA	XP_039764119.1, XP_039754175.1
OG0001410	DPOGS202295-PA	XP_039757905.1
OG0001410	DPOGS202296-PA	XP_039758006.1
OG0001411	DPOGS210868-PA	XP_039753955.1
OG0001412	DPOGS216054-PA, DPOGS216053-PA	XP_039756667.1
OG0001413	DPOGS206178-PA	XP_039751578.1
OG0001414	DPOGS209347-PA	XP_039762438.1, XP_039762439.1
OG0001415	DPOGS210031-PA	XP_039748916.1, XP_039748913.1
OG0001416	DPOGS209280-PA	XP_039762472.1
OG0001417	DPOGS207502-PA	XP_039759248.1
OG0001418	DPOGS215753-PA	XP_039752660.1, XP_039752677.1, XP_039752651.1, XP_039752668.1
OG0001419	DPOGS215667-PA	XP_039760343.1, XP_039760355.1, XP_039760337.1, XP_039760348.1
OG0001420	DPOGS211138-PA	XP_039765082.1, XP_039765081.1
OG0001421	DPOGS201936-PA	XP_039759878.1
OG0001422	DPOGS213776-PA	XP_039748075.1
OG0001423	DPOGS210998-PA	XP_039750623.1
OG0001424	DPOGS206808-PA, DPOGS206810-PA	XP_039763105.1, XP_039763106.1
OG0001426	DPOGS201787-PA	XP_039751992.1
OG0001427	DPOGS213661-PA	XP_039751573.1, XP_039751570.1, XP_039751571.1, XP_039751572.1
OG0001428	DPOGS206806-PA	XP_039763658.1, XP_039763659.1, XP_039763657.1
OG0001429	DPOGS205186-PA	XP_039745803.1
OG0001430	DPOGS205012-PA	XP_039760340.1, XP_039760154.1
OG0001431	DPOGS205581-PA	XP_039747954.1, XP_039747953.1
OG0001432	DPOGS200895-PA	XP_039763710.1
OG0001433	DPOGS210303-PA, DPOGS210305-PA, DPOGS210304-PA	XP_039747168.1
OG0001434	DPOGS207522-PA	XP_039759142.1
OG0001435	DPOGS212134-PA	XP_039747067.1, XP_039747066.1
OG0001436	DPOGS205579-PA	XP_039747959.1
OG0001437	DPOGS208500-PA	XP_039751175.1, XP_039751176.1
OG0001438	DPOGS205053-PA	XP_039746690.1, XP_039747307.1
OG0001439	DPOGS215897-PA	XP_039748591.1
OG0001440	DPOGS214722-PA, DPOGS205744-PA	XP_039757669.1
OG0001441	DPOGS203247-PA	XP_039754472.1, XP_039754473.1
OG0001442	DPOGS209766-PA	XP_039753712.1
OG0001443	DPOGS215632-PA	XP_039759440.1
OG0001445	DPOGS205248-PA	XP_039762254.1, XP_039762235.1, XP_039762236.1
OG0001446	DPOGS213513-PA	XP_039755714.1
OG0001447	DPOGS215917-PA	XP_039748741.1
OG0001448	DPOGS208188-PA	XP_039759872.1, XP_039759873.1, XP_039759871.1
OG0001449	DPOGS208563-PA	XP_039751646.1
OG0001450	DPOGS210436-PA	XP_039759024.1
OG0001451	DPOGS203245-PA	XP_039754035.1
OG0001451	DPOGS203244-PA	XP_039754490.1
OG0001452	DPOGS210452-PA	XP_039759586.1
OG0001453	DPOGS205196-PA	XP_039762310.1
OG0001453	DPOGS205243-PA	XP_039761905.1
OG0001454	DPOGS208176-PA	XP_039759817.1, XP_039759818.1
OG0001455	DPOGS211951-PA, DPOGS201770-PA	XP_039745573.1
OG0001456	DPOGS213608-PA	XP_039755344.1
OG0001457	DPOGS213107-PA	XP_039765366.1
OG0001458	DPOGS213525-PA	XP_039755440.1, XP_039755441.1
OG0001459	DPOGS213526-PA	XP_039755540.1, XP_039755539.1
OG0001460	DPOGS201376-PA	XP_039764221.1, XP_039763384.1
OG0001461	DPOGS205015-PA	XP_039762603.1, XP_039762606.1, XP_039762605.1, XP_039762604.1
OG0001462	DPOGS208466-PA	XP_039751086.1
OG0001463	DPOGS215482-PA	XP_039756040.1
OG0001464	DPOGS213818-PA	XP_039746907.1, XP_039746906.1
OG0001465	DPOGS215465-PA	XP_039756056.1
OG0001466	DPOGS215612-PA	XP_039762168.1, XP_039762174.1
OG0001467	DPOGS212481-PA, DPOGS212482-PA	XP_039747645.1
OG0001468	DPOGS213245-PA	XP_039747779.1
OG0001469	DPOGS215462-PA	XP_039756746.1
OG0001470	DPOGS204888-PA	XP_039755908.1
OG0001471	DPOGS211853-PA	XP_039745928.1
OG0001472	DPOGS208578-PA	XP_039751368.1, XP_039751369.1, XP_039751367.1
OG0001473	DPOGS200659-PA	XP_039762035.1
OG0001474	DPOGS212525-PA	XP_039748159.1, XP_039748160.1, XP_039748158.1
OG0001475	DPOGS213255-PA	XP_039748208.1
OG0001476	DPOGS212468-PA	XP_039747643.1, XP_039747642.1
OG0001477	DPOGS213258-PA	XP_039747591.1
OG0001478	DPOGS215854-PA	XP_039749155.1
OG0001479	DPOGS201760-PA	XP_039752980.1, XP_039752971.1
OG0001480	DPOGS200417-PA	XP_039756470.1
OG0001481	DPOGS204175-PA, DPOGS204176-PA	XP_039757783.1
OG0001482	DPOGS212226-PA	XP_039750565.1
OG0001483	DPOGS204388-PA	XP_039745039.1
OG0001484	DPOGS210014-PA	XP_039756760.1
OG0001485	DPOGS200931-PA, DPOGS200930-PA	XP_039749054.1
OG0001486	DPOGS211581-PA	XP_039750280.1
OG0001487	DPOGS205793-PA	XP_039751182.1, XP_039751645.1
OG0001488	DPOGS204799-PA	XP_039760557.1, XP_039760554.1, XP_039760553.1, XP_039760552.1
OG0001489	DPOGS212673-PA, DPOGS212674-PA	XP_039746201.1, XP_039750312.1
OG0001490	DPOGS214485-PA	XP_039760957.1, XP_039760956.1
OG0001491	DPOGS212357-PA	XP_039755780.1
OG0001491	DPOGS206111-PA	XP_039746829.1
OG0001492	DPOGS201401-PA	XP_039763807.1, XP_039763806.1, XP_039763805.1
OG0001493	DPOGS212736-PA	XP_039752515.1, XP_039751976.1
OG0001494	DPOGS215506-PA	XP_039747924.1
OG0001495	DPOGS212023-PA	XP_039760300.1
OG0001496	DPOGS215111-PA	XP_039762038.1, XP_039762039.1
OG0001497	DPOGS206164-PA	XP_039747625.1
OG0001498	DPOGS214789-PA	XP_039755271.1
OG0001499	DPOGS214948-PA	XP_039757438.1
OG0001500	DPOGS209693-PA	XP_039758714.1
OG0001502	DPOGS202732-PA, DPOGS202731-PA	XP_039753113.1
OG0001503	DPOGS212719-PA, DPOGS212720-PA	XP_039752222.1
OG0001504	DPOGS211669-PA	XP_039747615.1
OG0001505	DPOGS203836-PA	XP_039757966.1, XP_039757980.1, XP_039757972.1
OG0001506	DPOGS212885-PA, DPOGS212884-PA	XP_039758152.1
OG0001507	DPOGS201159-PA, DPOGS212026-PA	XP_039759792.1, XP_039759793.1, XP_039759794.1
OG0001508	DPOGS207979-PA	XP_039749107.1, XP_039749108.1
OG0001509	DPOGS203835-PA, DPOGS203834-PA	XP_039757386.1
OG0001510	DPOGS206307-PA, DPOGS202969-PA	XP_039746645.1, XP_039755075.1, XP_039764233.1
OG0001511	DPOGS203661-PA	XP_039759240.1, XP_039759233.1
OG0001512	DPOGS204340-PA	XP_039754261.1
OG0001513	DPOGS206271-PA	XP_039760662.1
OG0001514	DPOGS203215-PA	XP_039755054.1
OG0001515	DPOGS203668-PA	XP_039754948.1
OG0001516	DPOGS207246-PA	XP_039755265.1, XP_039755264.1
OG0001517	DPOGS202241-PA	XP_039757452.1
OG0001518	DPOGS215597-PA	XP_039749225.1
OG0001519	DPOGS203159-PA	XP_039755028.1, XP_039755031.1, XP_039755029.1
OG0001520	DPOGS206877-PA	XP_039752217.1
OG0001521	DPOGS207051-PA	XP_039752572.1, XP_039751967.1, XP_039752372.1
OG0001522	DPOGS215829-PA	XP_039764189.1
OG0001523	DPOGS203675-PA	XP_039753871.1, XP_039753880.1
OG0001524	DPOGS202246-PA	XP_039757758.1
OG0001525	DPOGS208993-PA	XP_039749832.1
OG0001526	DPOGS215094-PA	XP_039758402.1, XP_039758403.1
OG0001527	DPOGS206424-PA	XP_039748701.1, XP_039749338.1
OG0001528	DPOGS211404-PA, DPOGS211405-PA, DPOGS211406-PA	XP_039749086.1
OG0001529	DPOGS212041-PA	XP_039759892.1, XP_039759891.1
OG0001531	DPOGS214470-PA, DPOGS214469-PA	XP_039761092.1
OG0001532	DPOGS207046-PA	XP_039752483.1, XP_039752484.1
OG0001533	DPOGS203329-PA	XP_039764069.1
OG0001534	DPOGS206688-PA	XP_039756920.1
OG0001535	DPOGS203690-PA	XP_039760193.1
OG0001536	DPOGS214061-PA	XP_039751482.1
OG0001537	DPOGS203327-PA	XP_039750272.1, XP_039763556.1
OG0001538	DPOGS207594-PA	XP_039748989.1
OG0001539	DPOGS204242-PA	XP_039765800.1
OG0001540	DPOGS215990-PA	XP_039745692.1
OG0001541	DPOGS205348-PA	XP_039754515.1
OG0001542	DPOGS206291-PA	XP_039760399.1, XP_039760594.1
OG0001543	DPOGS206900-PA	XP_039752123.1
OG0001544	DPOGS205355-PA	XP_039754257.1, XP_039754256.1, XP_039754258.1
OG0001546	DPOGS207307-PA	XP_039755564.1
OG0001547	DPOGS214929-PA, DPOGS206294-PA, DPOGS206293-PA	XP_039760657.1
OG0001548	DPOGS208870-PA	XP_039749487.1
OG0001549	DPOGS207560-PA	XP_039748777.1
OG0001550	DPOGS203320-PA	XP_039764135.1, XP_039764133.1, XP_039764132.1
OG0001551	DPOGS202692-PA	XP_039757810.1
OG0001552	DPOGS204223-PA	XP_039765681.1
OG0001553	DPOGS207030-PA	XP_039752172.1, XP_039752173.1
OG0001554	DPOGS214369-PA	XP_039759155.1
OG0001555	DPOGS214205-PA	XP_039764590.1, XP_039764589.1, XP_039764591.1
OG0001556	DPOGS214166-PA	XP_039765115.1, XP_039765114.1, XP_039765113.1
OG0001557	DPOGS206445-PA	XP_039752955.1
OG0001558	DPOGS214872-PA	XP_039759940.1, XP_039759941.1, XP_039759939.1, XP_039759942.1
OG0001559	DPOGS207795-PA	XP_039753039.1, XP_039753034.1
OG0001560	DPOGS207293-PA	XP_039755309.1
OG0001561	DPOGS213021-PA	XP_039746748.1, XP_039746747.1
OG0001562	DPOGS207805-PA	XP_039753735.1
OG0001563	DPOGS209728-PA, DPOGS209727-PA	XP_039756185.1
OG0001564	DPOGS207428-PA	XP_039748058.1
OG0001565	DPOGS208020-PA	XP_039758569.1
OG0001566	DPOGS206937-PA	XP_039752429.1, XP_039752426.1, XP_039752428.1
OG0001567	DPOGS210755-PA	XP_039750485.1, XP_039750483.1, XP_039750484.1
OG0001568	DPOGS209533-PA	XP_039757390.1
OG0001569	DPOGS207281-PA	XP_039755486.1
OG0001570	DPOGS210676-PA	XP_039750961.1, XP_039750960.1
OG0001571	DPOGS200485-PA	XP_039751365.1, XP_039751606.1
OG0001572	DPOGS202452-PA	XP_039748790.1, XP_039748788.1
OG0001573	DPOGS205821-PA	XP_039747538.1
OG0001574	DPOGS213040-PA, DPOGS213041-PA	XP_039746777.1
OG0001575	DPOGS209032-PA	XP_039759947.1
OG0001576	DPOGS213439-PA	XP_039754559.1
OG0001577	DPOGS208072-PA	XP_039765716.1
OG0001578	DPOGS201524-PA	XP_039755377.1
OG0001579	DPOGS208077-PA	XP_039765723.1, XP_039765722.1
OG0001580	DPOGS215402-PA, DPOGS215401-PA	XP_039758699.1
OG0001581	DPOGS204297-PA	XP_039765478.1
OG0001582	DPOGS204296-PA	XP_039765781.1
OG0001583	DPOGS211985-PA	XP_039761620.1
OG0001584	DPOGS204253-PA, DPOGS204252-PA	XP_039745361.1
OG0001585	DPOGS203978-PA	XP_039763348.1
OG0001586	DPOGS205871-PA	XP_039761614.1, XP_039761615.1, XP_039761616.1, XP_039761617.1
OG0001587	DPOGS209893-PA	XP_039758938.1, XP_039758939.1
OG0001588	DPOGS200023-PA	XP_039758799.1
OG0001589	DPOGS200985-PA	XP_039756425.1
OG0001589	DPOGS201023-PA	XP_039756354.1
OG0001590	DPOGS206982-PA, DPOGS206981-PA, DPOGS206983-PA	XP_039752580.1, XP_039752608.1
OG0001591	DPOGS200699-PA	XP_039757047.1
OG0001592	DPOGS210690-PA	XP_039750463.1
OG0001593	DPOGS201486-PA	XP_039752613.1
OG0001594	DPOGS205768-PA, DPOGS205767-PA	XP_039748597.1
OG0001595	DPOGS212822-PA	XP_039757987.1, XP_039757984.1, XP_039757985.1, XP_039757986.1
OG0001596	DPOGS204896-PA	XP_039755687.1, XP_039755684.1
OG0001597	DPOGS214120-PA, DPOGS214121-PA	XP_039765053.1
OG0001598	DPOGS213307-PA	XP_039754452.1
OG0001599	DPOGS201935-PA	XP_039761439.1
OG0001600	DPOGS207704-PA, DPOGS207705-PA	XP_039764307.1, XP_039763087.1, XP_039764328.1, XP_039752854.1
OG0001601	DPOGS208937-PA	XP_039749451.1, XP_039749452.1
OG0001602	DPOGS215410-PA	XP_039758235.1, XP_039758236.1
OG0001603	DPOGS214438-PA	XP_039752017.1
OG0001604	DPOGS207008-PA	XP_039752128.1, XP_039752130.1, XP_039752131.1
OG0001605	DPOGS207011-PA	XP_039751954.1, XP_039752195.1
OG0001607	DPOGS213958-PA	XP_039765861.1, XP_039765559.1
OG0001608	DPOGS212394-PA	XP_039755545.1
OG0001609	DPOGS205523-PA	XP_039761575.1
OG0001610	DPOGS214095-PA	XP_039764742.1, XP_039764741.1, XP_039764743.1
OG0001611	DPOGS206488-PA, DPOGS209809-PA	XP_039749959.1, XP_039749960.1
OG0001612	DPOGS200326-PA	XP_039754096.1
OG0001613	DPOGS200299-PA	XP_039754356.1
OG0001614	DPOGS201950-PA	XP_039761581.1
OG0001615	DPOGS214913-PA	XP_039748653.1
OG0001616	DPOGS215248-PA	XP_039756696.1
OG0001617	DPOGS206486-PA	XP_039749569.1
OG0001618	DPOGS205554-PA	XP_039749573.1, XP_039749572.1
OG0001619	DPOGS202785-PA	XP_039751498.1
OG0001620	DPOGS211606-PA	XP_039756794.1
OG0001621	DPOGS200840-PA	XP_039752948.1
OG0001622	DPOGS215393-PA	XP_039758579.1, XP_039758581.1
OG0001623	DPOGS208748-PA	XP_039745442.1
OG0001624	DPOGS202775-PA	XP_039751064.1
OG0001625	DPOGS202349-PA	XP_039750595.1
OG0001626	DPOGS207635-PA, DPOGS207634-PA	XP_039763113.1
OG0001627	DPOGS202774-PA	XP_039751062.1
OG0001628	DPOGS202229-PA, DPOGS202230-PA	XP_039755112.1
OG0001629	DPOGS202228-PA	XP_039755588.1
OG0001630	DPOGS215038-PA	XP_039753835.1, XP_039753836.1
OG0001631	DPOGS202191-PA	XP_039753824.1
OG0001632	DPOGS211535-PA	XP_039746478.1, XP_039746496.1, XP_039746487.1, XP_039746513.1, XP_039746505.1
OG0001633	DPOGS208756-PA	XP_039745126.1
OG0001633	DPOGS208679-PA	XP_039765306.1
OG0001634	DPOGS202763-PA, DPOGS202765-PA	XP_039751214.1
OG0001635	DPOGS207444-PA	XP_039753684.1
OG0001636	DPOGS210165-PA	XP_039757137.1
OG0001638	DPOGS206842-PA	XP_039751932.1
OG0001639	DPOGS203027-PA	XP_039764054.1
OG0001640	DPOGS210227-PA	XP_039749969.1, XP_039749970.1
OG0001641	DPOGS207108-PA	XP_039752595.1
OG0001642	DPOGS207111-PA	XP_039751879.1, XP_039751880.1
OG0001643	DPOGS202158-PA	XP_039745253.1, XP_039745252.1, XP_039745251.1, XP_039745254.1
OG0001644	DPOGS206053-PA	XP_039763781.1, XP_039763782.1, XP_039763783.1
OG0001645	DPOGS211725-PA	XP_039764940.1, XP_039764950.1, XP_039764928.1, XP_039764918.1
OG0001647	DPOGS209357-PA	XP_039753772.1
OG0001648	DPOGS214960-PA	XP_039752542.1
OG0001649	DPOGS205630-PA	XP_039745589.1
OG0001650	DPOGS201856-PA	XP_039765029.1
OG0001651	DPOGS206836-PA	XP_039751919.1
OG0001652	DPOGS206837-PA	XP_039764413.1, XP_039751865.1
OG0001653	DPOGS200142-PA	XP_039746980.1
OG0001654	DPOGS201737-PA	XP_039753908.1
OG0001656	DPOGS212670-PA	XP_039745395.1
OG0001657	DPOGS205273-PA, DPOGS212615-PA, DPOGS212614-PA	XP_039751356.1
OG0001659	DPOGS212315-PA	XP_039755619.1, XP_039755618.1
OG0001660	DPOGS206899-PA	XP_039751979.1, XP_039751978.1
OG0001670	DPOGS203453-PA	XP_039752328.1
OG0001671	DPOGS213233-PA	XP_039760873.1
OG0001672	DPOGS204432-PA	XP_039750874.1
OG0001673	DPOGS213433-PA	XP_039750977.1
