Orthogroup	Danaus_plexippus	Junonia_coenia
OG0001053	DPOGS202945-PA	JC_01622-RA, JC_01621-RA
OG0001054	DPOGS201383-PA	JC_01990-RA
OG0001055	DPOGS208791-PA	JC_00726-RA
OG0001056	DPOGS200896-PA	JC_01956-RA
OG0001056	DPOGS205719-PA	JC_07905-RA
OG0001057	DPOGS205040-PA	JC_16692-RA
OG0001058	DPOGS214396-PA	JC_16231-RA
OG0001058	DPOGS214397-PA	JC_16233-RA
OG0001059	DPOGS207347-PA	JC_13023-RA, JC_13022-RA, JC_13021-RA
OG0001060	DPOGS213265-PA	JC_15043-RA
OG0001060	DPOGS208203-PA	JC_15044-RA
OG0001061	DPOGS210821-PA	JC_03552-RA, JC_03551-RA
OG0001062	DPOGS216101-PA	JC_14071-RA
OG0001063	DPOGS208601-PA	JC_15712-RA
OG0001063	DPOGS207326-PA	JC_13010-RA
OG0001064	DPOGS213164-PA	JC_10499-RA
OG0001065	DPOGS202137-PA	JC_05663-RA, JC_05661-RA
OG0001066	DPOGS211827-PA	JC_15195-RA, JC_15197-RA
OG0001067	DPOGS210647-PA, DPOGS210646-PA	JC_16721-RA
OG0001068	DPOGS209597-PA	JC_03666-RA, JC_03665-RA
OG0001069	DPOGS208787-PA	JC_00735-RA
OG0001070	DPOGS210377-PA	JC_06773-RA
OG0001071	DPOGS214406-PA	JC_16156-RA
OG0001071	DPOGS211737-PA, DPOGS214407-PA	JC_16157-RA, JC_16155-RA
OG0001072	DPOGS202134-PA	JC_05668-RA, JC_05671-RA, JC_05670-RA
OG0001073	DPOGS211806-PA, DPOGS211805-PA	JC_08532-RA
OG0001073	DPOGS210925-PA	JC_07965-RA
OG0001074	DPOGS213652-PA	JC_15586-RA
OG0001075	DPOGS211239-PA	JC_12426-RA
OG0001075	DPOGS212640-PA, DPOGS211238-PA	JC_12429-RA
OG0001076	DPOGS215027-PA	JC_03083-RA
OG0001077	DPOGS214976-PA	JC_17069-RA, JC_17068-RA
OG0001078	DPOGS206801-PA	JC_02285-RA
OG0001079	DPOGS211823-PA	JC_15176-RA, JC_16563-RA, JC_15177-RA, JC_15175-RA
OG0001080	DPOGS210310-PA	JC_06801-RA
OG0001080	DPOGS210311-PA	JC_06800-RA
OG0001081	DPOGS215707-PA	JC_10315-RA, JC_01560-RA
OG0001082	DPOGS209589-PA	JC_03685-RA
OG0001082	DPOGS215825-PA	JC_04963-RA
OG0001082	DPOGS209590-PA	JC_03684-RA
OG0001083	DPOGS205457-PA	JC_11429-RA, JC_11430-RA
OG0001084	DPOGS205126-PA	JC_16259-RA
OG0001084	DPOGS205125-PA	JC_16257-RA
OG0001085	DPOGS206208-PA	JC_16624-RA
OG0001085	DPOGS201630-PA	JC_16623-RA, JC_16621-RA
OG0001086	DPOGS209772-PA, DPOGS209773-PA, DPOGS209771-PA	JC_12975-RA, JC_12974-RA, JC_12973-RA
OG0001087	DPOGS215713-PA	JC_01553-RA
OG0001088	DPOGS201139-PA, DPOGS201138-PA	JC_03630-RA, JC_03631-RA, JC_03632-RA, JC_03629-RA
OG0001089	DPOGS209582-PA	JC_03703-RA
OG0001090	DPOGS212968-PA	JC_06822-RA
OG0001091	DPOGS210921-PA	JC_07978-RA, JC_07977-RA, JC_07976-RA
OG0001092	DPOGS204831-PA	JC_06006-RA
OG0001092	DPOGS209578-PA	JC_03708-RA
OG0001094	DPOGS203130-PA	JC_05633-RA
OG0001094	DPOGS203129-PA	JC_05632-RA
OG0001095	DPOGS209824-PA, DPOGS209825-PA	JC_08721-RA
OG0001096	DPOGS202083-PA	JC_14825-RA
OG0001097	DPOGS211507-PA	JC_03942-RA
OG0001097	DPOGS211506-PA	JC_03941-RA
OG0001098	DPOGS204668-PA	JC_10872-RA, JC_10595-RA
OG0001099	DPOGS215226-PA	JC_12950-RA
OG0001101	DPOGS210192-PA	JC_16038-RA
OG0001102	DPOGS204158-PA	JC_12391-RA
OG0001103	DPOGS210578-PA	JC_06167-RA
OG0001104	DPOGS203877-PA	JC_17031-RA
OG0001104	DPOGS203878-PA	JC_17032-RA
OG0001105	DPOGS209463-PA	JC_09802-RA
OG0001105	DPOGS209461-PA	JC_09801-RA
OG0001106	DPOGS205036-PA	JC_16759-RA, JC_16761-RA, JC_16756-RA, JC_16760-RA, JC_16758-RA
OG0001107	DPOGS204658-PA	JC_10618-RA
OG0001107	DPOGS207062-PA	JC_11911-RA
OG0001108	DPOGS212311-PA	JC_16592-RA
OG0001109	DPOGS206332-PA	JC_07431-RA
OG0001109	DPOGS215124-PA	JC_07433-RA
OG0001110	DPOGS215276-PA	JC_11016-RA
OG0001111	DPOGS209816-PA	JC_08736-RA
OG0001112	DPOGS203907-PA	JC_01855-RA
OG0001112	DPOGS200469-PA	JC_16403-RA
OG0001114	DPOGS206820-PA, DPOGS200017-PA	JC_11578-RA, JC_11577-RA
OG0001116	DPOGS203543-PA	JC_14410-RA
OG0001117	DPOGS205240-PA	JC_16895-RA, JC_16896-RA
OG0001118	DPOGS210036-PA	JC_04397-RA
OG0001120	DPOGS211323-PA, DPOGS211324-PA	JC_12457-RA
OG0001121	DPOGS213232-PA	JC_14986-RA, JC_14987-RA
OG0001122	DPOGS200002-PA	JC_16464-RA
OG0001123	DPOGS211337-PA	JC_11357-RA
OG0001124	DPOGS211368-PA	JC_11352-RA, JC_11353-RA, JC_11356-RA
OG0001125	DPOGS211139-PA	JC_08066-RA
OG0001125	DPOGS211141-PA	JC_08070-RA
OG0001126	DPOGS213062-PA	JC_00659-RA
OG0001126	DPOGS213063-PA	JC_00658-RA
OG0001127	DPOGS215656-PA	JC_01444-RA
OG0001127	DPOGS215655-PA	JC_01445-RA
OG0001128	DPOGS204939-PA	JC_07470-RA
OG0001128	DPOGS204941-PA	JC_07471-RA
OG0001129	DPOGS208450-PA	JC_10713-RA
OG0001130	DPOGS200577-PA, DPOGS200578-PA	JC_15008-RA
OG0001131	DPOGS205005-PA	JC_13104-RA
OG0001132	DPOGS203271-PA	JC_04560-RA
OG0001132	DPOGS203270-PA	JC_04562-RA
OG0001134	DPOGS211153-PA	JC_08094-RA
OG0001134	DPOGS211154-PA	JC_08092-RA
OG0001135	DPOGS213478-PA	JC_14345-RA
OG0001136	DPOGS208446-PA	JC_10634-RA, JC_10633-RA
OG0001137	DPOGS212139-PA	JC_03823-RA, JC_03822-RA
OG0001139	DPOGS215886-PA	JC_04574-RA, JC_04573-RA, JC_04575-RA
OG0001140	DPOGS208589-PA	JC_15676-RA
OG0001141	DPOGS216127-PA	JC_13986-RA, JC_13984-RA
OG0001142	DPOGS200261-PA	JC_03318-RA, JC_03317-RA
OG0001143	DPOGS201951-PA	JC_03840-RA
OG0001144	DPOGS215884-PA	JC_04576-RA, JC_02778-RA
OG0001145	DPOGS204689-PA	JC_13088-RA
OG0001146	DPOGS215364-PA	JC_16950-RA, JC_16951-RA
OG0001147	DPOGS205245-PA	JC_17234-RA
OG0001148	DPOGS209752-PA	JC_07445-RA
OG0001149	DPOGS212313-PA	JC_07197-RA
OG0001150	DPOGS215902-PA	JC_04616-RA
OG0001151	DPOGS215878-PA	JC_04621-RA
OG0001152	DPOGS211882-PA	JC_02528-RA
OG0001153	DPOGS213497-PA	JC_14315-RA
OG0001154	DPOGS214588-PA	JC_12731-RA
OG0001156	DPOGS201370-PA	JC_01993-RA
OG0001157	DPOGS211742-PA	JC_14254-RA, JC_14253-RA
OG0001158	DPOGS204192-PA	JC_12723-RA, JC_12720-RA
OG0001160	DPOGS213416-PA	JC_14262-RA
OG0001160	DPOGS213419-PA	JC_14263-RA
OG0001161	DPOGS205016-PA	JC_16508-RA, JC_16507-RA, JC_16510-RA
OG0001162	DPOGS210461-PA	JC_10043-RA, JC_10039-RA
OG0001163	DPOGS213425-PA	JC_14269-RA
OG0001164	DPOGS212235-PA	JC_14272-RA
OG0001165	DPOGS211197-PA	JC_08201-RA
OG0001166	DPOGS211980-PA	JC_02598-RA
OG0001166	DPOGS211844-PA	JC_02595-RA
OG0001167	DPOGS215969-PA	JC_02601-RA
OG0001168	DPOGS204172-PA	JC_12310-RA
OG0001169	DPOGS212467-PA	JC_15889-RA, JC_15888-RA, JC_15891-RA
OG0001170	DPOGS211593-PA	JC_06446-RA, JC_06447-RA, JC_06449-RA
OG0001171	DPOGS205419-PA	JC_05982-RA, JC_05985-RA
OG0001172	DPOGS210784-PA	JC_13168-RA
OG0001172	DPOGS200959-PA	JC_13167-RA
OG0001173	DPOGS210021-PA	JC_14815-RA, JC_14814-RA
OG0001174	DPOGS210009-PA	JC_11457-RA
OG0001174	DPOGS215432-PA	JC_11456-RA
OG0001175	DPOGS200190-PA	JC_12324-RA, JC_12326-RA
OG0001176	DPOGS200935-PA	JC_04691-RA, JC_04690-RA
OG0001178	DPOGS206275-PA	JC_14797-RA
OG0001179	DPOGS202073-PA, DPOGS202072-PA	JC_08876-RA, JC_08875-RA
OG0001180	DPOGS204479-PA	JC_00530-RA, JC_17217-RA
OG0001181	DPOGS201106-PA	JC_14207-RA
OG0001182	DPOGS209558-PA	JC_05753-RA
OG0001183	DPOGS203761-PA	JC_05343-RA
OG0001184	DPOGS207379-PA	JC_10780-RA
OG0001184	DPOGS207378-PA	JC_10779-RA
OG0001185	DPOGS203332-PA	JC_02130-RA, JC_02129-RA
OG0001186	DPOGS203658-PA	JC_01172-RA, JC_01173-RA
OG0001187	DPOGS203755-PA, DPOGS214527-PA, DPOGS214526-PA	JC_05334-RA, JC_05336-RA, JC_05335-RA
OG0001188	DPOGS206168-PA	JC_07164-RA
OG0001189	DPOGS216078-PA	JC_10763-RA, JC_10764-RA
OG0001190	DPOGS209083-PA	JC_03002-RA, JC_03003-RA
OG0001191	DPOGS212725-PA	JC_12127-RA
OG0001191	DPOGS212726-PA	JC_12129-RA
OG0001192	DPOGS204418-PA, DPOGS204417-PA, DPOGS204419-PA, DPOGS204416-PA, DPOGS204415-PA	JC_00506-RA, JC_00505-RA
OG0001193	DPOGS203766-PA	JC_15774-RA
OG0001194	DPOGS212031-PA	JC_13215-RA
OG0001195	DPOGS206677-PA, DPOGS215085-PA	JC_13833-RA, JC_05933-RA
OG0001196	DPOGS205083-PA	JC_04059-RA
OG0001197	DPOGS203673-PA	JC_01213-RA
OG0001198	DPOGS200407-PA	JC_10841-RA
OG0001199	DPOGS200445-PA	JC_10844-RA, JC_10843-RA
OG0001200	DPOGS215076-PA	JC_05915-RA, JC_05916-RA
OG0001201	DPOGS203816-PA	JC_01228-RA
OG0001202	DPOGS206976-PA	JC_12032-RA, JC_12031-RA
OG0001203	DPOGS200527-PA, DPOGS200526-PA	JC_13823-RA
OG0001204	DPOGS201656-PA	JC_15313-RA, JC_15314-RA, JC_15315-RA
OG0001205	DPOGS207248-PA	JC_07143-RA
OG0001205	DPOGS207250-PA	JC_07141-RA
OG0001206	DPOGS206532-PA	JC_08309-RA
OG0001206	DPOGS206529-PA	JC_08310-RA
OG0001207	DPOGS205047-PA	JC_04108-RA
OG0001207	DPOGS205046-PA	JC_04109-RA
OG0001208	DPOGS207466-PA	JC_02712-RA
OG0001208	DPOGS212205-PA	JC_02715-RA
OG0001209	DPOGS203806-PA	JC_01256-RA, JC_01257-RA
OG0001210	DPOGS203610-PA	JC_03274-RA, JC_03273-RA
OG0001211	DPOGS202699-PA	JC_12285-RA
OG0001212	DPOGS206476-PA	JC_07543-RA, JC_07542-RA
OG0001213	DPOGS203617-PA	JC_03260-RA
OG0001213	DPOGS203616-PA	JC_03261-RA
OG0001214	DPOGS214841-PA	JC_13262-RA
OG0001215	DPOGS204080-PA	JC_14765-RA
OG0001215	DPOGS204077-PA, DPOGS204076-PA	JC_14764-RA
OG0001216	DPOGS207804-PA	JC_07681-RA
OG0001217	DPOGS212541-PA	JC_15241-RA, JC_15240-RA
OG0001219	DPOGS203067-PA	JC_00372-RA, JC_00371-RA
OG0001220	DPOGS206955-PA	JC_12012-RA
OG0001221	DPOGS206629-PA	JC_11262-RA
OG0001222	DPOGS212285-PA	JC_05225-RA
OG0001223	DPOGS203072-PA	JC_00378-RA, JC_00380-RA
OG0001224	DPOGS202910-PA	JC_10406-RA, JC_10407-RA
OG0001225	DPOGS202909-PA	JC_10404-RA, JC_10403-RA
OG0001226	DPOGS208656-PA	JC_00419-RA, JC_00413-RA
OG0001227	DPOGS207739-PA	JC_07717-RA, JC_07718-RA
OG0001228	DPOGS212803-PA	JC_12648-RA
OG0001228	DPOGS212808-PA	JC_12646-RA
OG0001229	DPOGS214343-PA	JC_10382-RA
OG0001229	DPOGS214342-PA	JC_10381-RA
OG0001230	DPOGS205861-PA	JC_13793-RA
OG0001230	DPOGS205860-PA	JC_13794-RA
OG0001231	DPOGS213440-PA	JC_03218-RA, JC_03219-RA
OG0001232	DPOGS200976-PA	JC_10953-RA, JC_10954-RA
OG0001233	DPOGS205817-PA	JC_13799-RA, JC_13798-RA
OG0001233	DPOGS205818-PA	JC_13797-RA
OG0001234	DPOGS214233-PA	JC_08403-RA
OG0001235	DPOGS211652-PA	JC_07013-RA, JC_07014-RA, JC_07012-RA
OG0001236	DPOGS211656-PA	JC_07022-RA, JC_07020-RA, JC_07021-RA, JC_07024-RA
OG0001237	DPOGS204262-PA	JC_00286-RA
OG0001237	DPOGS204263-PA, DPOGS204260-PA, DPOGS204261-PA	JC_00287-RA
OG0001238	DPOGS210302-PA	JC_13559-RA, JC_13558-RA, JC_13560-RA, JC_13561-RA
OG0001239	DPOGS202370-PA, DPOGS202371-PA	JC_13556-RA
OG0001239	DPOGS211483-PA, DPOGS202369-PA	JC_13555-RA
OG0001240	DPOGS201484-PA	JC_01075-RA, JC_01076-RA
OG0001241	DPOGS204268-PA	JC_00273-RA
OG0001242	DPOGS214271-PA	JC_08470-RA, JC_08469-RA, JC_08468-RA, JC_08467-RA
OG0001243	DPOGS207002-PA	JC_11759-RA
OG0001244	DPOGS212324-PA	JC_07208-RA
OG0001244	DPOGS212326-PA	JC_07207-RA
OG0001245	DPOGS215414-PA	JC_05840-RA
OG0001246	DPOGS207861-PA	JC_07792-RA, JC_07793-RA
OG0001247	DPOGS202362-PA	JC_13533-RA
OG0001248	DPOGS210726-PA	JC_06598-RA, JC_06602-RA, JC_06601-RA, JC_06600-RA, JC_06599-RA
OG0001249	DPOGS202880-PA	JC_10425-RA
OG0001250	DPOGS205830-PA	JC_04958-RA
OG0001251	DPOGS200875-PA, DPOGS200874-PA	JC_07803-RA
OG0001252	DPOGS215030-PA	JC_17076-RA
OG0001253	DPOGS214288-PA	JC_08491-RA, JC_08492-RA
OG0001254	DPOGS202912-PA	JC_10411-RA, JC_10413-RA, JC_10414-RA
OG0001255	DPOGS212571-PA	JC_01811-RA
OG0001256	DPOGS202792-PA	JC_09238-RA, JC_09237-RA, JC_09235-RA
OG0001257	DPOGS215277-PA	JC_11012-RA, JC_11013-RA
OG0001258	DPOGS206864-PA, DPOGS207078-PA	JC_11836-RA
OG0001259	DPOGS210623-PA	JC_00862-RA
OG0001260	DPOGS207081-PA	JC_11841-RA
OG0001261	DPOGS202780-PA	JC_09212-RA
OG0001261	DPOGS202779-PA	JC_09211-RA
OG0001262	DPOGS200725-PA	JC_02836-RA
OG0001263	DPOGS215036-PA	JC_03054-RA
OG0001263	DPOGS215037-PA	JC_03053-RA
OG0001264	DPOGS211536-PA	JC_13467-RA
OG0001265	DPOGS208675-PA	JC_00126-RA, JC_00125-RA, JC_00127-RA
OG0001266	DPOGS211541-PA	JC_13456-RA, JC_13455-RA
OG0001267	DPOGS213326-PA, DPOGS213327-PA	JC_13453-RA
OG0001268	DPOGS202181-PA, DPOGS208670-PA, DPOGS202183-PA, DPOGS208762-PA, DPOGS208761-PA, DPOGS208669-PA	JC_00119-RA, JC_00118-RA
OG0001269	DPOGS201547-PA	JC_00930-RA, JC_00931-RA
OG0001270	DPOGS202174-PA	JC_00104-RA, JC_00103-RA
OG0001271	DPOGS209079-PA	JC_03009-RA, JC_03013-RA, JC_03014-RA, JC_03012-RA
OG0001272	DPOGS211717-PA	JC_13421-RA
OG0001273	DPOGS201544-PA	JC_00953-RA
OG0001274	DPOGS202163-PA	JC_00087-RA
OG0001275	DPOGS211731-PA	JC_13407-RA
OG0001275	DPOGS211730-PA	JC_13409-RA
OG0001276	DPOGS201875-PA	JC_08593-RA, JC_08591-RA
OG0001277	DPOGS206826-PA	JC_11593-RA, JC_11596-RA
OG0001278	DPOGS205664-PA	JC_02783-RA
OG0001279	DPOGS208384-PA	JC_01683-RA
OG0001280	DPOGS207114-PA	JC_11623-RA
OG0001281	DPOGS201568-PA, DPOGS209060-PA	JC_08560-RA
OG0001282	DPOGS206517-PA, DPOGS206518-PA	JC_13356-RA
OG0001283	DPOGS212646-PA	JC_13349-RA
OG0001283	DPOGS212645-PA	JC_13350-RA
OG0001284	DPOGS212648-PA	JC_13347-RA
OG0001284	DPOGS212652-PA, DPOGS212650-PA, DPOGS212651-PA	JC_13348-RA
OG0001285	DPOGS203298-PA	JC_01769-RA
OG0001286	DPOGS200643-PA	JC_05147-RA
OG0001286	DPOGS214002-PA	JC_05148-RA, JC_05150-RA, JC_05149-RA
OG0001287	DPOGS208099-PA	JC_16638-RA, JC_16637-RA
OG0001289	DPOGS209402-PA, DPOGS210837-PA	JC_03576-RA
OG0001290	DPOGS215086-PA, DPOGS207492-PA	JC_08138-RA, JC_14081-RA, JC_02959-RA
OG0001291	DPOGS202658-PA	JC_02318-RA
OG0001292	DPOGS215880-PA, DPOGS215879-PA, DPOGS215881-PA, DPOGS215900-PA	JC_04605-RA, JC_04606-RA
OG0001293	DPOGS210634-PA	JC_06171-RA
OG0001300	DPOGS203881-PA	JC_03069-RA, JC_15146-RA, JC_13152-RA, JC_09938-RA, JC_15174-RA, JC_14087-RA, JC_03927-RA
OG0001301	DPOGS206161-PA	JC_16491-RA, JC_16492-RA, JC_16493-RA
OG0001302	DPOGS207366-PA, DPOGS211500-PA	JC_17054-RA
OG0001303	DPOGS210402-PA	JC_11476-RA
OG0001304	DPOGS210400-PA	JC_11478-RA
OG0001304	DPOGS210401-PA	JC_11477-RA
OG0001305	DPOGS210111-PA	JC_04416-RA
OG0001306	DPOGS212266-PA	JC_05230-RA, JC_05232-RA, JC_05231-RA
OG0001307	DPOGS208299-PA	JC_06337-RA
OG0001308	DPOGS204988-PA	JC_13129-RA
OG0001310	DPOGS211532-PA	JC_17044-RA
OG0001311	DPOGS206365-PA	JC_07353-RA
OG0001312	DPOGS201954-PA	JC_16174-RA, JC_16173-RA
OG0001315	DPOGS216109-PA	JC_14046-RA
OG0001316	DPOGS212487-PA	JC_13134-RA
OG0001318	DPOGS210257-PA	JC_14970-RA, JC_14971-RA
OG0001319	DPOGS201225-PA	JC_08668-RA
OG0001320	DPOGS210340-PA	JC_06696-RA
OG0001321	DPOGS214431-PA	JC_16214-RA, JC_16215-RA
OG0001322	DPOGS214430-PA	JC_16216-RA
OG0001323	DPOGS214988-PA	JC_17178-RA
OG0001324	DPOGS210396-PA	JC_11487-RA
OG0001325	DPOGS206782-PA	JC_01899-RA
OG0001326	DPOGS209137-PA	JC_05575-RA, JC_05577-RA, JC_05576-RA
OG0001327	DPOGS204551-PA	JC_14357-RA
OG0001327	DPOGS204550-PA	JC_14356-RA
OG0001328	DPOGS204534-PA	JC_14358-RA
OG0001329	DPOGS210338-PA	JC_06700-RA, JC_06701-RA
OG0001330	DPOGS208217-PA	JC_15053-RA, JC_15054-RA
OG0001331	DPOGS205465-PA	JC_11496-RA, JC_11497-RA
OG0001332	DPOGS209286-PA	JC_02405-RA
OG0001332	DPOGS209285-PA	JC_02364-RA
OG0001333	DPOGS216117-PA	JC_14052-RA
OG0001334	DPOGS213352-PA	JC_14615-RA, JC_14614-RA
OG0001335	DPOGS201173-PA	JC_07327-RA
OG0001335	DPOGS201172-PA	JC_07325-RA
OG0001337	DPOGS214421-PA	JC_16227-RA
OG0001338	DPOGS212528-PA, DPOGS212529-PA	JC_15892-RA
OG0001339	DPOGS216104-PA	JC_14061-RA, JC_14059-RA
OG0001341	DPOGS215016-PA, DPOGS215020-PA, DPOGS215018-PA, DPOGS215017-PA, DPOGS214983-PA, DPOGS215019-PA	JC_17161-RA
OG0001342	DPOGS213914-PA, DPOGS213913-PA	JC_15547-RA
OG0001343	DPOGS207354-PA, DPOGS207355-PA, DPOGS207352-PA, DPOGS207353-PA	JC_13012-RA
OG0001344	DPOGS214436-PA	JC_16198-RA, JC_16197-RA
OG0001345	DPOGS208799-PA	JC_00712-RA
OG0001346	DPOGS210934-PA	JC_07946-RA, JC_07944-RA
OG0001347	DPOGS210325-PA	JC_06764-RA, JC_06765-RA
OG0001348	DPOGS208207-PA	JC_15034-RA, JC_15035-RA
OG0001349	DPOGS208209-PA	JC_15032-RA
OG0001349	DPOGS208208-PA	JC_15033-RA
OG0001350	DPOGS201689-PA	JC_14670-RA
OG0001352	DPOGS214751-PA	JC_12799-RA
OG0001353	DPOGS214996-PA, DPOGS214994-PA	JC_17095-RA
OG0001354	DPOGS214982-PA, DPOGS214981-PA	JC_17103-RA
OG0001355	DPOGS214627-PA	JC_12726-RA, JC_12728-RA, JC_12730-RA, JC_12729-RA
OG0001356	DPOGS214334-PA	JC_10364-RA, JC_10365-RA
OG0001358	DPOGS208842-PA	JC_00761-RA, JC_00760-RA
OG0001359	DPOGS204783-PA	JC_14111-RA
OG0001360	DPOGS211704-PA	JC_16243-RA, JC_16261-RA
OG0001361	DPOGS202673-PA	JC_02346-RA
OG0001362	DPOGS209789-PA	JC_08689-RA
OG0001363	DPOGS204522-PA	JC_14381-RA
OG0001364	DPOGS206226-PA, DPOGS209125-PA	JC_15992-RA, JC_15991-RA
OG0001365	DPOGS209624-PA	JC_03687-RA, JC_03688-RA
OG0001366	DPOGS206793-PA	JC_02257-RA
OG0001367	DPOGS215320-PA	JC_00777-RA, JC_00780-RA, JC_00778-RA
OG0001368	DPOGS207144-PA	JC_02255-RA, JC_02254-RA, JC_02256-RA
OG0001369	DPOGS210087-PA	JC_04492-RA, JC_04494-RA
OG0001370	DPOGS215543-PA	JC_14880-RA
OG0001371	DPOGS209837-PA	JC_08697-RA, JC_08696-RA
OG0001372	DPOGS209490-PA	JC_10569-RA, JC_10571-RA, JC_10570-RA
OG0001373	DPOGS208812-PA	JC_00698-RA
OG0001374	DPOGS215715-PA	JC_01549-RA
OG0001375	DPOGS215310-PA	JC_00793-RA
OG0001377	DPOGS213330-PA	JC_14129-RA
OG0001378	DPOGS208425-PA	JC_13847-RA
OG0001379	DPOGS215328-PA, DPOGS215329-PA	JC_17199-RA, JC_17198-RA
OG0001380	DPOGS206797-PA	JC_02303-RA
OG0001381	DPOGS201591-PA	JC_17138-RA, JC_17139-RA
OG0001381	DPOGS201582-PA	JC_17136-RA
OG0001382	DPOGS208422-PA	JC_10584-RA
OG0001382	DPOGS209523-PA	JC_10585-RA
OG0001383	DPOGS202665-PA	JC_02328-RA, JC_02329-RA
OG0001384	DPOGS208098-PA	JC_16640-RA
OG0001385	DPOGS209826-PA	JC_08717-RA, JC_08718-RA
OG0001386	DPOGS201143-PA	JC_03599-RA, JC_03598-RA
OG0001387	DPOGS209575-PA	JC_03712-RA
OG0001388	DPOGS201145-PA	JC_03594-RA, JC_03593-RA
OG0001389	DPOGS209802-PA	JC_08724-RA, JC_08723-RA
OG0001390	DPOGS209645-PA	JC_03722-RA
OG0001391	DPOGS209457-PA	JC_09793-RA, JC_09791-RA, JC_09792-RA
OG0001392	DPOGS215519-PA, DPOGS215520-PA	JC_14465-RA
OG0001393	DPOGS209999-PA	JC_04924-RA, JC_04527-RA, JC_04523-RA
OG0001394	DPOGS205271-PA	JC_05471-RA, JC_05475-RA
OG0001395	DPOGS204643-PA	JC_14161-RA, JC_17246-RA, JC_14160-RA
OG0001396	DPOGS210199-PA, DPOGS210197-PA	JC_16042-RA
OG0001397	DPOGS206175-PA	JC_16762-RA
OG0001397	DPOGS209431-PA	JC_17225-RA
OG0001398	DPOGS210282-PA	JC_14897-RA
OG0001399	DPOGS200462-PA	JC_16304-RA
OG0001399	DPOGS200458-PA	JC_16303-RA
OG0001400	DPOGS202271-PA	JC_12524-RA
OG0001401	DPOGS204101-PA	JC_06187-RA
OG0001402	DPOGS202344-PA	JC_12244-RA
OG0001405	DPOGS207214-PA	JC_14838-RA
OG0001406	DPOGS214084-PA	JC_07508-RA, JC_07509-RA
OG0001407	DPOGS203179-PA	JC_16366-RA, JC_16365-RA, JC_16364-RA
OG0001408	DPOGS205256-PA	JC_16671-RA
OG0001409	DPOGS210798-PA	JC_03509-RA
OG0001410	DPOGS202295-PA	JC_12483-RA
OG0001411	DPOGS210868-PA	JC_03507-RA
OG0001412	DPOGS216054-PA	JC_10722-RA
OG0001412	DPOGS216053-PA	JC_10721-RA
OG0001413	DPOGS206178-PA	JC_09659-RA
OG0001414	DPOGS209348-PA	JC_17083-RA
OG0001415	DPOGS210031-PA	JC_04383-RA
OG0001416	DPOGS209280-PA	JC_16472-RA, JC_16469-RA, JC_16470-RA
OG0001417	DPOGS207502-PA	JC_10152-RA, JC_10153-RA
OG0001418	DPOGS215753-PA	JC_01476-RA
OG0001419	DPOGS215667-PA	JC_01471-RA
OG0001420	DPOGS211138-PA	JC_08062-RA
OG0001421	DPOGS201936-PA	JC_12853-RA
OG0001422	DPOGS213776-PA	JC_14008-RA
OG0001423	DPOGS210998-PA	JC_06382-RA
OG0001424	DPOGS206808-PA	JC_02249-RA
OG0001424	DPOGS206810-PA	JC_02251-RA
OG0001426	DPOGS201787-PA, DPOGS212750-PA	JC_12134-RA
OG0001427	DPOGS213661-PA	JC_09592-RA, JC_09591-RA, JC_09590-RA
OG0001428	DPOGS206806-PA	JC_02244-RA
OG0001429	DPOGS205186-PA	JC_02508-RA
OG0001430	DPOGS205012-PA	JC_13093-RA
OG0001431	DPOGS205581-PA	JC_15950-RA
OG0001432	DPOGS200895-PA	JC_01948-RA, JC_01949-RA
OG0001433	DPOGS210303-PA, DPOGS210305-PA, DPOGS210304-PA	JC_13570-RA, JC_13562-RA
OG0001434	DPOGS207522-PA	JC_10120-RA
OG0001435	DPOGS212134-PA	JC_03834-RA
OG0001436	DPOGS205580-PA	JC_15947-RA
OG0001436	DPOGS205579-PA	JC_15948-RA
OG0001437	DPOGS208500-PA	JC_09566-RA
OG0001438	DPOGS205053-PA	JC_04097-RA, JC_04095-RA, JC_04098-RA, JC_04099-RA
OG0001439	DPOGS215897-PA	JC_04581-RA
OG0001440	DPOGS205744-PA	JC_12763-RA
OG0001441	DPOGS203247-PA	JC_03432-RA
OG0001442	DPOGS209766-PA	JC_07446-RA
OG0001443	DPOGS215632-PA	JC_01375-RA, JC_01386-RA
OG0001445	DPOGS205248-PA	JC_16997-RA
OG0001446	DPOGS213513-PA	JC_06972-RA, JC_06973-RA
OG0001447	DPOGS215917-PA	JC_04628-RA
OG0001448	DPOGS208188-PA	JC_13061-RA
OG0001449	DPOGS208563-PA	JC_09535-RA
OG0001450	DPOGS210436-PA	JC_10074-RA
OG0001451	DPOGS203245-PA, DPOGS203244-PA	JC_03436-RA
OG0001452	DPOGS210452-PA	JC_10059-RA, JC_10058-RA
OG0001453	DPOGS205243-PA	JC_16904-RA
OG0001454	DPOGS208176-PA	JC_13046-RA
OG0001455	DPOGS201770-PA	JC_02552-RA
OG0001456	DPOGS213608-PA	JC_06950-RA, JC_06949-RA, JC_06948-RA
OG0001457	DPOGS213107-PA	JC_00602-RA
OG0001458	DPOGS213525-PA	JC_06947-RA
OG0001459	DPOGS213526-PA	JC_06944-RA
OG0001460	DPOGS201376-PA	JC_02010-RA
OG0001461	DPOGS205015-PA	JC_16506-RA, JC_16505-RA, JC_16504-RA
OG0001462	DPOGS208466-PA	JC_09519-RA
