Orthogroup	Danaus_plexippus	Vanessa_cardui
OG0000847	DPOGS208745-PA	Vcard_DToL02562-RA
OG0000847	DPOGS208744-PA	Vcard_DToL02560-RA
OG0000848	DPOGS210242-PA	Vcard_DToL07632-RA
OG0000849	DPOGS201853-PA	Vcard_DToL05517-RA
OG0000851	DPOGS205370-PA	Vcard_DToL18123-RA, Vcard_DToL18124-RA
OG0000854	DPOGS202795-PA	Vcard_DToL06987-RA
OG0000864	DPOGS205725-PA, DPOGS210043-PA	Vcard_DToL04864-RA, Vcard_DToL04865-RA
OG0000865	DPOGS210289-PA	Vcard_DToL15977-RA
OG0000866	DPOGS214699-PA	Vcard_DToL14935-RA, Vcard_DToL14934-RA
OG0000867	DPOGS206641-PA	Vcard_DToL11104-RA
OG0000867	DPOGS206638-PA	Vcard_DToL11102-RA
OG0000868	DPOGS200263-PA	Vcard_DToL04361-RA, Vcard_DToL04363-RA
OG0000870	DPOGS208291-PA	Vcard_DToL10626-RA
OG0000871	DPOGS214422-PA	Vcard_DToL18328-RA, Vcard_DToL18327-RA
OG0000873	DPOGS210817-PA	Vcard_DToL04043-RA, Vcard_DToL04037-RA
OG0000874	DPOGS210368-PA	Vcard_DToL12452-RA
OG0000874	DPOGS210369-PA	Vcard_DToL12450-RA, Vcard_DToL12451-RA
OG0000875	DPOGS204747-PA, DPOGS204748-PA	Vcard_DToL03351-RA
OG0000876	DPOGS206310-PA, DPOGS201390-PA	Vcard_DToL18654-RA
OG0000878	DPOGS206791-PA	Vcard_DToL00061-RA, Vcard_DToL00062-RA
OG0000881	DPOGS210653-PA	Vcard_DToL18732-RA
OG0000883	DPOGS208750-PA	Vcard_DToL02576-RA
OG0000884	DPOGS205039-PA	Vcard_DToL18752-RA
OG0000884	DPOGS205038-PA	Vcard_DToL18749-RA
OG0000885	DPOGS206403-PA	Vcard_DToL01257-RA, Vcard_DToL00866-RA
OG0000888	DPOGS201605-PA	Vcard_DToL17761-RA, Vcard_DToL17766-RA
OG0000889	DPOGS216175-PA	Vcard_DToL16658-RA, Vcard_DToL16657-RA
OG0000891	DPOGS212941-PA	Vcard_DToL12395-RA
OG0000892	DPOGS203780-PA	Vcard_DToL01130-RA, Vcard_DToL01129-RA
OG0000893	DPOGS201607-PA, DPOGS201606-PA	Vcard_DToL17855-RA
OG0000894	DPOGS216202-PA	Vcard_DToL16889-RA
OG0000895	DPOGS209835-PA	Vcard_DToL07117-RA
OG0000895	DPOGS209836-PA	Vcard_DToL07118-RA
OG0000896	DPOGS213757-PA	Vcard_DToL14017-RA
OG0000897	DPOGS211299-PA	Vcard_DToL14679-RA
OG0000898	DPOGS211333-PA	Vcard_DToL14688-RA, Vcard_DToL14685-RA
OG0000899	DPOGS200219-PA	Vcard_DToL17688-RA
OG0000899	DPOGS210195-PA	Vcard_DToL17689-RA
OG0000900	DPOGS215296-PA	Vcard_DToL01746-RA, Vcard_DToL01748-RA
OG0000901	DPOGS215176-PA	Vcard_DToL15129-RA
OG0000901	DPOGS215177-PA	Vcard_DToL15132-RA
OG0000902	DPOGS203551-PA, DPOGS204539-PA	Vcard_DToL16584-RA
OG0000902	DPOGS203553-PA, DPOGS203552-PA	Vcard_DToL16585-RA
OG0000903	DPOGS202279-PA	Vcard_DToL14575-RA
OG0000903	DPOGS202278-PA	Vcard_DToL14574-RA
OG0000904	DPOGS202308-PA	Vcard_DToL14580-RA
OG0000904	DPOGS214593-PA	Vcard_DToL14847-RA
OG0000905	DPOGS212786-PA, DPOGS201586-PA	Vcard_DToL17874-RA
OG0000906	DPOGS201312-PA	Vcard_DToL06210-RA, Vcard_DToL06211-RA
OG0000906	DPOGS201313-PA	Vcard_DToL06208-RA
OG0000907	DPOGS212607-PA	Vcard_DToL06454-RA
OG0000907	DPOGS201059-PA	Vcard_DToL06453-RA
OG0000908	DPOGS202558-PA	Vcard_DToL16533-RA
OG0000908	DPOGS202557-PA	Vcard_DToL16532-RA
OG0000909	DPOGS211320-PA	Vcard_DToL14609-RA
OG0000909	DPOGS210131-PA	Vcard_DToL14611-RA
OG0000910	DPOGS213780-PA	Vcard_DToL14029-RA
OG0000911	DPOGS212152-PA	Vcard_DToL08886-RA
OG0000912	DPOGS201074-PA	Vcard_DToL09848-RA
OG0000913	DPOGS202261-PA	Vcard_DToL14539-RA
OG0000913	DPOGS206750-PA	Vcard_DToL17652-RA
OG0000915	DPOGS212109-PA	Vcard_DToL08881-RA, Vcard_DToL08880-RA
OG0000916	DPOGS200515-PA	Vcard_DToL18572-RA
OG0000918	DPOGS215762-PA	Vcard_DToL01036-RA, Vcard_DToL01033-RA
OG0000919	DPOGS211144-PA	Vcard_DToL06133-RA, Vcard_DToL06132-RA
OG0000920	DPOGS202870-PA	Vcard_DToL12340-RA
OG0000920	DPOGS213295-PA	Vcard_DToL12339-RA
OG0000921	DPOGS212511-PA	Vcard_DToL17469-RA, Vcard_DToL17470-RA
OG0000922	DPOGS205162-PA	Vcard_DToL03498-RA
OG0000923	DPOGS213769-PA	Vcard_DToL14004-RA
OG0000924	DPOGS205590-PA	Vcard_DToL17564-RA
OG0000924	DPOGS205582-PA	Vcard_DToL17563-RA
OG0000926	DPOGS200889-PA	Vcard_DToL00343-RA
OG0000927	DPOGS209762-PA	Vcard_DToL15346-RA, Vcard_DToL09544-RA
OG0000928	DPOGS211291-PA	Vcard_DToL07241-RA, Vcard_DToL07242-RA
OG0000929	DPOGS211289-PA	Vcard_DToL07246-RA, Vcard_DToL07248-RA
OG0000930	DPOGS211285-PA	Vcard_DToL07253-RA
OG0000931	DPOGS216137-PA	Vcard_DToL13973-RA, Vcard_DToL13975-RA
OG0000932	DPOGS201928-PA	Vcard_DToL01478-RA
OG0000933	DPOGS215916-PA	Vcard_DToL05138-RA, Vcard_DToL04968-RA
OG0000934	DPOGS203637-PA	Vcard_DToL17546-RA
OG0000935	DPOGS202489-PA, DPOGS214773-PA	Vcard_DToL04503-RA
OG0000936	DPOGS210273-PA	Vcard_DToL15999-RA
OG0000938	DPOGS203206-PA, DPOGS203205-PA, DPOGS203204-PA	Vcard_DToL03219-RA, Vcard_DToL03220-RA
OG0000939	DPOGS203168-PA	Vcard_DToL03222-RA, Vcard_DToL03223-RA
OG0000940	DPOGS213596-PA	Vcard_DToL12252-RA
OG0000940	DPOGS213597-PA	Vcard_DToL12251-RA
OG0000941	DPOGS214612-PA	Vcard_DToL18611-RA
OG0000942	DPOGS212477-PA, DPOGS212513-PA, DPOGS212476-PA	Vcard_DToL17476-RA
OG0000943	DPOGS216147-PA	Vcard_DToL15173-RA
OG0000944	DPOGS204379-PA, DPOGS204380-PA	Vcard_DToL02057-RA
OG0000945	DPOGS206666-PA	Vcard_DToL11108-RA
OG0000945	DPOGS202226-PA	Vcard_DToL01665-RA
OG0000946	DPOGS216041-PA, DPOGS216040-PA	Vcard_DToL12823-RA
OG0000947	DPOGS200587-PA	Vcard_DToL18094-RA
OG0000947	DPOGS200586-PA	Vcard_DToL18091-RA
OG0000948	DPOGS201743-PA	Vcard_DToL01501-RA, Vcard_DToL01503-RA
OG0000949	DPOGS201744-PA	Vcard_DToL01505-RA
OG0000950	DPOGS209251-PA	Vcard_DToL04263-RA, Vcard_DToL04261-RA
OG0000951	DPOGS209191-PA	Vcard_DToL03249-RA, Vcard_DToL03246-RA, Vcard_DToL03247-RA
OG0000952	DPOGS204547-PA	Vcard_DToL09370-RA, Vcard_DToL09377-RA, Vcard_DToL09376-RA
OG0000953	DPOGS213542-PA	Vcard_DToL12282-RA
OG0000954	DPOGS204498-PA	Vcard_DToL02084-RA
OG0000955	DPOGS207958-PA	Vcard_DToL05045-RA
OG0000956	DPOGS210533-PA	Vcard_DToL16335-RA
OG0000957	DPOGS214644-PA	Vcard_DToL14773-RA
OG0000957	DPOGS214643-PA	Vcard_DToL14770-RA
OG0000958	DPOGS215100-PA	Vcard_DToL18204-RA
OG0000959	DPOGS214481-PA	Vcard_DToL17014-RA
OG0000960	DPOGS214043-PA	Vcard_DToL10973-RA
OG0000960	DPOGS214044-PA	Vcard_DToL10974-RA, Vcard_DToL10975-RA
OG0000961	DPOGS205809-PA	Vcard_DToL06673-RA, Vcard_DToL06672-RA, Vcard_DToL06674-RA, Vcard_DToL06675-RA
OG0000963	DPOGS216027-PA	Vcard_DToL12795-RA
OG0000964	DPOGS212717-PA	Vcard_DToL07838-RA
OG0000965	DPOGS200546-PA	Vcard_DToL16255-RA
OG0000966	DPOGS212740-PA	Vcard_DToL07851-RA
OG0000967	DPOGS201691-PA	Vcard_DToL16237-RA
OG0000968	DPOGS201640-PA	Vcard_DToL17309-RA
OG0000969	DPOGS201692-PA, DPOGS201693-PA	Vcard_DToL16235-RA
OG0000970	DPOGS208999-PA	Vcard_DToL07349-RA
OG0000971	DPOGS206005-PA	Vcard_DToL13199-RA, Vcard_DToL13200-RA
OG0000972	DPOGS202337-PA	Vcard_DToL14497-RA
OG0000973	DPOGS209316-PA	Vcard_DToL15508-RA, Vcard_DToL15509-RA, Vcard_DToL15511-RA
OG0000974	DPOGS200265-PA, DPOGS200266-PA, DPOGS200264-PA, DPOGS200267-PA	Vcard_DToL04364-RA
OG0000975	DPOGS206433-PA	Vcard_DToL09463-RA
OG0000978	DPOGS211070-PA	Vcard_DToL17289-RA, Vcard_DToL17282-RA
OG0000979	DPOGS206438-PA	Vcard_DToL09468-RA
OG0000980	DPOGS206263-PA, DPOGS206262-PA	Vcard_DToL16208-RA
OG0000981	DPOGS207038-PA	Vcard_DToL07983-RA, Vcard_DToL07982-RA, Vcard_DToL07981-RA
OG0000982	DPOGS214188-PA	Vcard_DToL05839-RA, Vcard_DToL05840-RA
OG0000983	DPOGS212254-PA	Vcard_DToL02989-RA, Vcard_DToL02988-RA
OG0000984	DPOGS207110-PA	Vcard_DToL08053-RA, Vcard_DToL08054-RA
OG0000985	DPOGS212293-PA	Vcard_DToL02991-RA
OG0000986	DPOGS212574-PA	Vcard_DToL00598-RA
OG0000986	DPOGS209746-PA	Vcard_DToL12663-RA
OG0000987	DPOGS212568-PA	Vcard_DToL00459-RA
OG0000987	DPOGS200078-PA	Vcard_DToL00461-RA
OG0000988	DPOGS214167-PA	Vcard_DToL05808-RA
OG0000988	DPOGS214168-PA	Vcard_DToL05809-RA
OG0000989	DPOGS204050-PA	Vcard_DToL14421-RA
OG0000990	DPOGS207764-PA	Vcard_DToL09318-RA
OG0000991	DPOGS212185-PA	Vcard_DToL16172-RA, Vcard_DToL16173-RA
OG0000992	DPOGS207022-PA	Vcard_DToL07782-RA
OG0000993	DPOGS214852-PA	Vcard_DToL15424-RA
OG0000994	DPOGS207425-PA	Vcard_DToL14254-RA
OG0000994	DPOGS207424-PA	Vcard_DToL14256-RA
OG0000995	DPOGS207269-PA	Vcard_DToL12035-RA
OG0000996	DPOGS215963-PA	Vcard_DToL03984-RA, Vcard_DToL03983-RA, Vcard_DToL03982-RA, Vcard_DToL03980-RA
OG0000997	DPOGS207576-PA	Vcard_DToL05428-RA, Vcard_DToL05429-RA
OG0000998	DPOGS202905-PA	Vcard_DToL13749-RA
OG0000998	DPOGS202904-PA	Vcard_DToL13747-RA, Vcard_DToL13748-RA
OG0000999	DPOGS205824-PA	Vcard_DToL14275-RA
OG0001000	DPOGS212269-PA	Vcard_DToL03022-RA
OG0001000	DPOGS212270-PA	Vcard_DToL03024-RA
OG0001001	DPOGS207843-PA, DPOGS207842-PA	Vcard_DToL09234-RA
OG0001003	DPOGS202539-PA	Vcard_DToL17206-RA
OG0001004	DPOGS214127-PA	Vcard_DToL05705-RA, Vcard_DToL05706-RA
OG0001005	DPOGS208921-PA	Vcard_DToL07512-RA
OG0001006	DPOGS204902-PA, DPOGS204901-PA	Vcard_DToL12095-RA
OG0001007	DPOGS201001-PA	Vcard_DToL12540-RA
OG0001008	DPOGS207655-PA	Vcard_DToL06654-RA
OG0001008	DPOGS207656-PA	Vcard_DToL06653-RA
OG0001009	DPOGS203573-PA	Vcard_DToL10865-RA
OG0001010	DPOGS200297-PA	Vcard_DToL04584-RA
OG0001011	DPOGS215243-PA	Vcard_DToL12520-RA
OG0001012	DPOGS209932-PA	Vcard_DToL05274-RA
OG0001013	DPOGS210620-PA	Vcard_DToL01696-RA
OG0001014	DPOGS205566-PA	Vcard_DToL07594-RA
OG0001014	DPOGS205567-PA	Vcard_DToL07593-RA
OG0001015	DPOGS203466-PA	Vcard_DToL08130-RA, Vcard_DToL08129-RA
OG0001016	DPOGS205559-PA	Vcard_DToL07596-RA
OG0001016	DPOGS205558-PA	Vcard_DToL07595-RA
OG0001017	DPOGS211829-PA, DPOGS211830-PA, DPOGS207632-PA	Vcard_DToL05602-RA
OG0001018	DPOGS210251-PA, DPOGS210252-PA	Vcard_DToL07609-RA
OG0001020	DPOGS215043-PA	Vcard_DToL04677-RA, Vcard_DToL04678-RA
OG0001021	DPOGS205690-PA	Vcard_DToL09073-RA
OG0001022	DPOGS200046-PA, DPOGS212915-PA	Vcard_DToL15801-RA
OG0001023	DPOGS201891-PA	Vcard_DToL05483-RA
OG0001023	DPOGS201893-PA	Vcard_DToL05481-RA
OG0001024	DPOGS202411-PA	Vcard_DToL02640-RA
OG0001024	DPOGS202161-PA	Vcard_DToL02639-RA
OG0001025	DPOGS212984-PA, DPOGS211727-PA	Vcard_DToL15824-RA
OG0001026	DPOGS209378-PA	Vcard_DToL04726-RA
OG0001028	DPOGS210148-PA	Vcard_DToL08417-RA
OG0001029	DPOGS201549-PA	Vcard_DToL05571-RA, Vcard_DToL05570-RA
OG0001030	DPOGS211801-PA	Vcard_DToL05579-RA, Vcard_DToL05581-RA
OG0001031	DPOGS207387-PA	Vcard_DToL05591-RA, Vcard_DToL12778-RA
OG0001032	DPOGS201506-PA	Vcard_DToL01399-RA
OG0001032	DPOGS201508-PA	Vcard_DToL01397-RA
OG0001033	DPOGS211517-PA	Vcard_DToL15010-RA, Vcard_DToL15433-RA
OG0001036	DPOGS201907-PA, DPOGS201906-PA	Vcard_DToL05461-RA
OG0001037	DPOGS208838-PA	Vcard_DToL01822-RA
OG0001042	DPOGS212521-PA	Vcard_DToL17488-RA
OG0001042	DPOGS212522-PA	Vcard_DToL17489-RA
OG0001043	DPOGS208040-PA	Vcard_DToL09971-RA
OG0001044	DPOGS202045-PA	Vcard_DToL03452-RA
OG0001044	DPOGS204989-PA	Vcard_DToL15293-RA
OG0001045	DPOGS203232-PA	Vcard_DToL03292-RA
OG0001046	DPOGS210865-PA	Vcard_DToL04003-RA, Vcard_DToL04004-RA
OG0001047	DPOGS208294-PA	Vcard_DToL10622-RA, Vcard_DToL10621-RA, Vcard_DToL10623-RA
OG0001048	DPOGS215131-PA	Vcard_DToL18622-RA
OG0001049	DPOGS202395-PA, DPOGS214613-PA, DPOGS204904-PA	Vcard_DToL18691-RA
OG0001050	DPOGS208219-PA	Vcard_DToL15889-RA
OG0001051	DPOGS215281-PA	Vcard_DToL10008-RA
OG0001052	DPOGS206747-PA	Vcard_DToL17645-RA, Vcard_DToL17646-RA
OG0001053	DPOGS202946-PA	Vcard_DToL00821-RA
OG0001054	DPOGS201383-PA	Vcard_DToL00322-RA
OG0001055	DPOGS208791-PA	Vcard_DToL01860-RA
OG0001056	DPOGS205719-PA	Vcard_DToL09064-RA
OG0001057	DPOGS205040-PA	Vcard_DToL18704-RA
OG0001059	DPOGS207347-PA	Vcard_DToL15156-RA
OG0001060	DPOGS208203-PA	Vcard_DToL15906-RA
OG0001061	DPOGS210821-PA	Vcard_DToL04054-RA, Vcard_DToL04052-RA
OG0001062	DPOGS216101-PA	Vcard_DToL14084-RA
OG0001063	DPOGS208601-PA	Vcard_DToL16995-RA
OG0001063	DPOGS207326-PA	Vcard_DToL15144-RA
OG0001064	DPOGS211303-PA	Vcard_DToL14632-RA
OG0001064	DPOGS213164-PA	Vcard_DToL13086-RA
OG0001065	DPOGS202137-PA	Vcard_DToL09996-RA, Vcard_DToL09998-RA
OG0001066	DPOGS211827-PA	Vcard_DToL17380-RA, Vcard_DToL17381-RA
OG0001067	DPOGS210647-PA, DPOGS210646-PA	Vcard_DToL18731-RA
OG0001068	DPOGS209597-PA	Vcard_DToL09036-RA
OG0001069	DPOGS208787-PA	Vcard_DToL01848-RA, Vcard_DToL01847-RA
OG0001070	DPOGS210377-PA	Vcard_DToL12429-RA
OG0001071	DPOGS214406-PA	Vcard_DToL18517-RA, Vcard_DToL18519-RA
OG0001072	DPOGS202134-PA	Vcard_DToL09987-RA, Vcard_DToL09988-RA
OG0001073	DPOGS211806-PA, DPOGS211805-PA	Vcard_DToL06262-RA
OG0001074	DPOGS213652-PA	Vcard_DToL16842-RA
OG0001075	DPOGS211239-PA	Vcard_DToL14653-RA
OG0001075	DPOGS212640-PA, DPOGS211238-PA	Vcard_DToL14651-RA
OG0001076	DPOGS215027-PA	Vcard_DToL17845-RA, Vcard_DToL17844-RA
OG0001078	DPOGS206801-PA	Vcard_DToL00037-RA
OG0001079	DPOGS211823-PA	Vcard_DToL17394-RA
OG0001081	DPOGS215707-PA	Vcard_DToL13660-RA, Vcard_DToL00872-RA
OG0001083	DPOGS205457-PA	Vcard_DToL11277-RA
OG0001084	DPOGS205126-PA	Vcard_DToL18451-RA
OG0001085	DPOGS206208-PA	Vcard_DToL18806-RA
OG0001085	DPOGS201630-PA	Vcard_DToL18808-RA
OG0001086	DPOGS209772-PA, DPOGS209773-PA, DPOGS209771-PA	Vcard_DToL15097-RA
OG0001087	DPOGS215713-PA	Vcard_DToL00885-RA
OG0001088	DPOGS201139-PA, DPOGS201138-PA	Vcard_DToL04118-RA
OG0001089	DPOGS209581-PA	Vcard_DToL09001-RA
OG0001090	DPOGS212968-PA	Vcard_DToL12382-RA
OG0001091	DPOGS210921-PA	Vcard_DToL06248-RA, Vcard_DToL06246-RA
OG0001092	DPOGS204831-PA, DPOGS209578-PA	Vcard_DToL08992-RA
OG0001093	DPOGS201158-PA	Vcard_DToL04111-RA
OG0001094	DPOGS203129-PA	Vcard_DToL10019-RA
OG0001095	DPOGS209824-PA, DPOGS209825-PA	Vcard_DToL07092-RA, Vcard_DToL08043-RA
OG0001096	DPOGS202083-PA, DPOGS206767-PA, DPOGS206766-PA	Vcard_DToL16124-RA
OG0001097	DPOGS211507-PA	Vcard_DToL17919-RA
OG0001098	DPOGS204668-PA	Vcard_DToL12985-RA
OG0001099	DPOGS215226-PA	Vcard_DToL15120-RA, Vcard_DToL15119-RA
OG0001102	DPOGS204158-PA	Vcard_DToL14702-RA
OG0001103	DPOGS210578-PA	Vcard_DToL10762-RA
OG0001104	DPOGS203877-PA	Vcard_DToL17931-RA, Vcard_DToL15371-RA
OG0001104	DPOGS203878-PA	Vcard_DToL17933-RA
OG0001105	DPOGS209463-PA	Vcard_DToL06429-RA
OG0001105	DPOGS209461-PA	Vcard_DToL06428-RA
OG0001106	DPOGS205036-PA	Vcard_DToL18758-RA
OG0001107	DPOGS204658-PA	Vcard_DToL12966-RA
OG0001107	DPOGS207062-PA	Vcard_DToL07890-RA
OG0001108	DPOGS212311-PA	Vcard_DToL18829-RA, Vcard_DToL18830-RA
OG0001109	DPOGS206332-PA	Vcard_DToL09599-RA
OG0001110	DPOGS215276-PA	Vcard_DToL12523-RA
OG0001111	DPOGS209816-PA	Vcard_DToL07075-RA
OG0001112	DPOGS203907-PA	Vcard_DToL00556-RA
OG0001112	DPOGS200469-PA	Vcard_DToL18308-RA
OG0001113	DPOGS207491-PA	Vcard_DToL16535-RA
OG0001114	DPOGS206820-PA, DPOGS200017-PA	Vcard_DToL08265-RA
OG0001116	DPOGS203543-PA	Vcard_DToL16553-RA
OG0001117	DPOGS205240-PA	Vcard_DToL18161-RA, Vcard_DToL18160-RA
OG0001118	DPOGS210036-PA	Vcard_DToL04887-RA, Vcard_DToL04886-RA
OG0001119	DPOGS200349-PA	Vcard_DToL04612-RA
OG0001120	DPOGS211323-PA, DPOGS211324-PA	Vcard_DToL14620-RA
OG0001121	DPOGS213232-PA	Vcard_DToL15968-RA, Vcard_DToL15967-RA
OG0001122	DPOGS200002-PA	Vcard_DToL18562-RA
OG0001123	DPOGS211336-PA	Vcard_DToL11204-RA
OG0001123	DPOGS211337-PA	Vcard_DToL11203-RA
OG0001124	DPOGS211368-PA	Vcard_DToL11201-RA
OG0001125	DPOGS211141-PA	Vcard_DToL06139-RA
OG0001126	DPOGS213062-PA	Vcard_DToL01948-RA
OG0001127	DPOGS215656-PA	Vcard_DToL01027-RA
OG0001127	DPOGS215655-PA	Vcard_DToL01028-RA
OG0001128	DPOGS204941-PA	Vcard_DToL09564-RA, Vcard_DToL09559-RA
OG0001129	DPOGS208450-PA	Vcard_DToL12861-RA
OG0001130	DPOGS200577-PA, DPOGS200578-PA	Vcard_DToL15943-RA
OG0001131	DPOGS205005-PA	Vcard_DToL15259-RA
OG0001132	DPOGS203271-PA	Vcard_DToL04923-RA
OG0001132	DPOGS203270-PA	Vcard_DToL04926-RA
OG0001134	DPOGS211153-PA	Vcard_DToL06107-RA
OG0001134	DPOGS211154-PA	Vcard_DToL06108-RA
OG0001135	DPOGS213478-PA	Vcard_DToL16469-RA
OG0001137	DPOGS212139-PA	Vcard_DToL08858-RA, Vcard_DToL08859-RA
OG0001139	DPOGS215886-PA	Vcard_DToL04940-RA
OG0001140	DPOGS208589-PA	Vcard_DToL16959-RA
OG0001141	DPOGS216127-PA	Vcard_DToL13995-RA, Vcard_DToL13994-RA
OG0001142	DPOGS200261-PA	Vcard_DToL04354-RA
OG0001143	DPOGS212130-PA	Vcard_DToL08840-RA
OG0001143	DPOGS201951-PA	Vcard_DToL08839-RA
OG0001144	DPOGS215884-PA	Vcard_DToL04942-RA
OG0001145	DPOGS204689-PA	Vcard_DToL15238-RA
OG0001146	DPOGS215364-PA	Vcard_DToL18103-RA, Vcard_DToL18101-RA, Vcard_DToL18104-RA
OG0001147	DPOGS205245-PA	Vcard_DToL18147-RA
OG0001148	DPOGS209751-PA	Vcard_DToL09533-RA
OG0001149	DPOGS212312-PA	Vcard_DToL11923-RA
OG0001150	DPOGS215904-PA	Vcard_DToL04956-RA
OG0001150	DPOGS215902-PA	Vcard_DToL04955-RA
OG0001151	DPOGS215878-PA	Vcard_DToL04964-RA
OG0001152	DPOGS211882-PA	Vcard_DToL03523-RA
OG0001153	DPOGS213497-PA	Vcard_DToL16428-RA
OG0001154	DPOGS214588-PA	Vcard_DToL14841-RA
OG0001156	DPOGS201370-PA	Vcard_DToL00319-RA
OG0001157	DPOGS211742-PA	Vcard_DToL16411-RA, Vcard_DToL16412-RA, Vcard_DToL16413-RA
OG0001158	DPOGS204192-PA	Vcard_DToL14834-RA, Vcard_DToL14833-RA, Vcard_DToL14832-RA
OG0001161	DPOGS205016-PA	Vcard_DToL18600-RA, Vcard_DToL18601-RA
OG0001162	DPOGS210461-PA	Vcard_DToL13333-RA, Vcard_DToL13329-RA
OG0001163	DPOGS213425-PA	Vcard_DToL16395-RA
OG0001164	DPOGS212236-PA	Vcard_DToL16392-RA
OG0001165	DPOGS211197-PA	Vcard_DToL06007-RA
OG0001166	DPOGS211980-PA	Vcard_DToL03612-RA
OG0001166	DPOGS211844-PA	Vcard_DToL03607-RA
OG0001167	DPOGS215969-PA	Vcard_DToL03614-RA
OG0001168	DPOGS204172-PA	Vcard_DToL14813-RA
OG0001169	DPOGS212467-PA	Vcard_DToL17499-RA, Vcard_DToL17501-RA
OG0001170	DPOGS211593-PA	Vcard_DToL10497-RA, Vcard_DToL10496-RA
OG0001171	DPOGS205419-PA	Vcard_DToL09858-RA, Vcard_DToL09859-RA
OG0001172	DPOGS210784-PA	Vcard_DToL15334-RA
OG0001172	DPOGS200959-PA	Vcard_DToL15330-RA
OG0001173	DPOGS210021-PA	Vcard_DToL16136-RA, Vcard_DToL16137-RA
OG0001174	DPOGS210009-PA	Vcard_DToL11289-RA
OG0001174	DPOGS215432-PA	Vcard_DToL11288-RA
OG0001175	DPOGS200190-PA	Vcard_DToL14796-RA, Vcard_DToL14793-RA
OG0001176	DPOGS200935-PA	Vcard_DToL05038-RA
OG0001177	DPOGS211224-PA	Vcard_DToL05956-RA
OG0001178	DPOGS206275-PA	Vcard_DToL16156-RA, Vcard_DToL16157-RA
OG0001179	DPOGS202073-PA, DPOGS202072-PA	Vcard_DToL07308-RA
OG0001180	DPOGS204479-PA	Vcard_DToL02129-RA, Vcard_DToL02130-RA
OG0001181	DPOGS201106-PA	Vcard_DToL16327-RA
OG0001182	DPOGS209558-PA	Vcard_DToL10139-RA
OG0001183	DPOGS203761-PA	Vcard_DToL02875-RA
OG0001184	DPOGS207378-PA	Vcard_DToL12793-RA
OG0001184	DPOGS207380-PA	Vcard_DToL12792-RA
OG0001185	DPOGS203332-PA	Vcard_DToL00410-RA, Vcard_DToL00411-RA, Vcard_DToL00412-RA
OG0001186	DPOGS203658-PA	Vcard_DToL01569-RA, Vcard_DToL01568-RA
OG0001188	DPOGS206168-PA	Vcard_DToL11966-RA
OG0001189	DPOGS216078-PA	Vcard_DToL12802-RA
OG0001190	DPOGS209083-PA	Vcard_DToL04711-RA
OG0001191	DPOGS212725-PA, DPOGS212726-PA	Vcard_DToL07856-RA
OG0001192	DPOGS204418-PA, DPOGS204417-PA, DPOGS204419-PA, DPOGS204416-PA, DPOGS204415-PA	Vcard_DToL02165-RA
OG0001193	DPOGS203766-PA	Vcard_DToL17076-RA, Vcard_DToL17075-RA, Vcard_DToL17074-RA
OG0001194	DPOGS212031-PA	Vcard_DToL15377-RA
OG0001194	DPOGS212030-PA	Vcard_DToL15376-RA
OG0001195	DPOGS206677-PA	Vcard_DToL11061-RA
OG0001196	DPOGS205083-PA	Vcard_DToL08632-RA
OG0001197	DPOGS203673-PA	Vcard_DToL01614-RA
OG0001198	DPOGS200407-PA	Vcard_DToL12721-RA
OG0001199	DPOGS200445-PA	Vcard_DToL12716-RA, Vcard_DToL12718-RA, Vcard_DToL12715-RA
OG0001200	DPOGS215076-PA	Vcard_DToL09806-RA, Vcard_DToL09808-RA
OG0001201	DPOGS203816-PA	Vcard_DToL01282-RA
OG0001202	DPOGS206976-PA	Vcard_DToL07801-RA
OG0001203	DPOGS200527-PA	Vcard_DToL14211-RA
OG0001203	DPOGS200526-PA	Vcard_DToL14212-RA
OG0001204	DPOGS201656-PA	Vcard_DToL17301-RA, Vcard_DToL17302-RA
OG0001205	DPOGS207248-PA	Vcard_DToL11990-RA
OG0001205	DPOGS207250-PA	Vcard_DToL11991-RA
OG0001206	DPOGS206532-PA	Vcard_DToL05849-RA
OG0001206	DPOGS206529-PA	Vcard_DToL05848-RA
OG0001207	DPOGS205047-PA	Vcard_DToL08580-RA
OG0001207	DPOGS205046-PA	Vcard_DToL08579-RA
OG0001208	DPOGS207466-PA	Vcard_DToL03727-RA
OG0001208	DPOGS212205-PA	Vcard_DToL03726-RA
OG0001209	DPOGS203806-PA	Vcard_DToL01249-RA, Vcard_DToL01248-RA
OG0001210	DPOGS203610-PA	Vcard_DToL04398-RA
OG0001211	DPOGS202699-PA	Vcard_DToL14431-RA, Vcard_DToL14432-RA
OG0001212	DPOGS206476-PA	Vcard_DToL09489-RA
OG0001213	DPOGS203617-PA	Vcard_DToL04415-RA
OG0001213	DPOGS203616-PA	Vcard_DToL04413-RA
OG0001214	DPOGS214841-PA	Vcard_DToL15415-RA, Vcard_DToL15414-RA
OG0001215	DPOGS204080-PA	Vcard_DToL16181-RA
OG0001216	DPOGS207804-PA	Vcard_DToL09315-RA
OG0001217	DPOGS212541-PA	Vcard_DToL17326-RA, Vcard_DToL17327-RA
OG0001219	DPOGS203067-PA	Vcard_DToL02308-RA
OG0001220	DPOGS206955-PA	Vcard_DToL07784-RA
OG0001221	DPOGS206629-PA	Vcard_DToL11086-RA
