Orthogroup	Danaus_plexippus	Heliconius_melpomene_melpomene
OG0001227	DPOGS207739-PA	HMEL007389g1.t1
OG0001228	DPOGS212803-PA, DPOGS212808-PA	HMEL008168g1.t1
OG0001229	DPOGS214343-PA	HMEL004617g1.t1
OG0001230	DPOGS205860-PA	HMEL009971g1.t1, HMEL009969g1.t1
OG0001231	DPOGS213440-PA	HMEL007767g1.t1
OG0001232	DPOGS200976-PA	HMEL021525g1.t1
OG0001233	DPOGS205817-PA	HMEL032083g1.t1
OG0001235	DPOGS211652-PA	HMEL037594g1.t1
OG0001236	DPOGS211656-PA	HMEL006300g1.t1
OG0001237	DPOGS204262-PA	HMEL015193g1.t1
OG0001238	DPOGS210302-PA	HMEL017165g1.t1
OG0001239	DPOGS202370-PA, DPOGS202371-PA, DPOGS211483-PA, DPOGS202369-PA	HMEL030640g1.t1
OG0001240	DPOGS201484-PA	HMEL015940g1.t1
OG0001241	DPOGS204268-PA	HMEL035848g1.t1, HMEL015203g1.t1
OG0001242	DPOGS214271-PA	HMEL011401g1.t1
OG0001243	DPOGS207002-PA	HMEL008671g1.t1
OG0001244	DPOGS212326-PA	HMEL037718g1.t1
OG0001245	DPOGS215414-PA	HMEL017434g1.t1, HMEL017435g1.t1
OG0001246	DPOGS207861-PA	HMEL008434g1.t1
OG0001247	DPOGS202362-PA	HMEL030630g1.t1
OG0001248	DPOGS210726-PA	HMEL006430g1.t1
OG0001249	DPOGS202880-PA	HMEL014583g1.t1
OG0001250	DPOGS205830-PA	HMEL017389g1.t1
OG0001251	DPOGS200877-PA, DPOGS200876-PA	HMEL011480g1.t1
OG0001252	DPOGS215030-PA	HMEL008098g1.t1
OG0001253	DPOGS214288-PA	HMEL033069g1.t1
OG0001254	DPOGS202912-PA	HMEL022040g1.t1
OG0001255	DPOGS212571-PA	HMEL016623g1.t1
OG0001257	DPOGS215277-PA	HMEL012721g1.t1
OG0001258	DPOGS206864-PA	HMEL014046g1.t1
OG0001259	DPOGS210623-PA, DPOGS210622-PA	HMEL030952g1.t1
OG0001260	DPOGS207081-PA	HMEL014052g1.t1
OG0001261	DPOGS202780-PA	HMEL009298g1.t1
OG0001262	DPOGS200725-PA	HMEL008961g1.t1
OG0001263	DPOGS215036-PA	HMEL000006-RA
OG0001263	DPOGS215037-PA	HMEL000004-RA
OG0001264	DPOGS211536-PA	HMEL003125g1.t1
OG0001265	DPOGS208675-PA	HMEL004177g1.t1
OG0001266	DPOGS211541-PA	HMEL022606-RA
OG0001267	DPOGS213326-PA, DPOGS213327-PA	HMEL031716g1.t1, HMEL033291g1.t1, HMEL007379g1.t1
OG0001268	DPOGS202181-PA, DPOGS208670-PA, DPOGS202183-PA, DPOGS208762-PA, DPOGS208761-PA, DPOGS208669-PA	HMEL031006g1.t1, HMEL013431g1.t1
OG0001269	DPOGS201547-PA	HMEL006982g1.t1
OG0001270	DPOGS202174-PA	HMEL010884g1.t1
OG0001271	DPOGS209079-PA	HMEL032664g1.t1, HMEL032666g1.t1
OG0001272	DPOGS211717-PA	HMEL030599g1.t1
OG0001273	DPOGS201544-PA	HMEL009056g1.t1, HMEL009058g1.t1
OG0001274	DPOGS202163-PA, DPOGS202164-PA	HMEL031001g1.t1
OG0001275	DPOGS211731-PA	HMEL017342g1.t1
OG0001275	DPOGS211730-PA	HMEL030598g1.t1
OG0001276	DPOGS201875-PA	HMEL033131g1.t1, HMEL012847g1.t1
OG0001277	DPOGS206826-PA	HMEL010274g1.t1, HMEL009593g1.t1
OG0001278	DPOGS205664-PA, DPOGS205663-PA	HMEL007099g1.t1
OG0001279	DPOGS208384-PA	HMEL016479g1.t1, HMEL008795g1.t1
OG0001280	DPOGS207114-PA	HMEL013260g1.t1
OG0001281	DPOGS201568-PA, DPOGS209060-PA	HMEL033115g1.t1
OG0001282	DPOGS206518-PA	HMEL013658g1.t1
OG0001283	DPOGS212646-PA	HMEL030577g1.t1
OG0001284	DPOGS212652-PA, DPOGS212650-PA, DPOGS212651-PA	HMEL013626g1.t1
OG0001285	DPOGS203298-PA	HMEL006372g1.t1
OG0001286	DPOGS200643-PA	HMEL034214g1.t1
OG0001287	DPOGS208099-PA	HMEL037279g1.t1
OG0001288	DPOGS205258-PA	HMEL034621g1.t1
OG0001288	DPOGS205825-PA	HMEL030932g1.t1
OG0001291	DPOGS202658-PA	HMEL002231g1.t1
OG0001292	DPOGS215880-PA, DPOGS215879-PA, DPOGS215881-PA, DPOGS215900-PA	HMEL002316g1.t1, HMEL031860g1.t1, HMEL021936g1.t1
OG0001293	DPOGS210634-PA	HMEL036239g1.t1, HMEL036240g1.t1, HMEL036238g1.t1, HMEL036242g1.t1
OG0001301	DPOGS206161-PA	HMEL037207g1.t1, HMEL010746g1.t1
OG0001302	DPOGS207366-PA, DPOGS211500-PA	HMEL034092g1.t1
OG0001303	DPOGS210402-PA	HMEL006753g1.t1
OG0001303	DPOGS210001-PA	HMEL022133g1.t1
OG0001304	DPOGS210401-PA	HMEL006754g1.t1
OG0001305	DPOGS210111-PA	HMEL031807g1.t1, HMEL005061g1.t1
OG0001306	DPOGS212266-PA	HMEL014928g1.t1
OG0001307	DPOGS208299-PA, DPOGS201736-PA	HMEL021108g1.t1
OG0001308	DPOGS204988-PA	HMEL009501g1.t1
OG0001309	DPOGS214763-PA	HMEL020285g1.t1
OG0001310	DPOGS211532-PA, DPOGS211531-PA	HMEL008123g1.t1
OG0001311	DPOGS206365-PA	HMEL017127g1.t1
OG0001312	DPOGS201954-PA	HMEL035396g1.t1
OG0001315	DPOGS216109-PA	HMEL002195g1.t1
OG0001316	DPOGS212487-PA	HMEL013537g1.t1
OG0001318	DPOGS210257-PA	HMEL016976g1.t1
OG0001319	DPOGS201225-PA	HMEL012154g1.t1
OG0001320	DPOGS210340-PA, DPOGS210341-PA	HMEL037453g1.t1
OG0001321	DPOGS214431-PA	HMEL012791g1.t1, HMEL008224g1.t1, HMEL035401g1.t1
OG0001322	DPOGS214430-PA	HMEL012792g1.t1, HMEL002147g1.t1, HMEL008225g1.t1
OG0001323	DPOGS214989-PA	HMEL034033g1.t1
OG0001324	DPOGS210396-PA	HMEL013004g1.t1
OG0001325	DPOGS206782-PA	HMEL007717g1.t1
OG0001326	DPOGS209137-PA	HMEL014787g1.t1
OG0001327	DPOGS204551-PA	HMEL016574g1.t1
OG0001328	DPOGS204535-PA, DPOGS204536-PA, DPOGS204534-PA	HMEL031400g1.t1
OG0001329	DPOGS210338-PA	HMEL007255g1.t1
OG0001331	DPOGS205465-PA	HMEL012998g1.t1
OG0001332	DPOGS209286-PA	HMEL034004g1.t1
OG0001332	DPOGS209285-PA	HMEL002937g1.t1
OG0001333	DPOGS216117-PA	HMEL032244g1.t1
OG0001333	DPOGS216116-PA	HMEL022262g1.t1, HMEL032243g1.t1
OG0001335	DPOGS201173-PA	HMEL004741g1.t1
OG0001335	DPOGS201172-PA	HMEL004743g1.t1
OG0001336	DPOGS210363-PA	HMEL013828g1.t1, HMEL037460g1.t1
OG0001337	DPOGS206521-PA, DPOGS214419-PA	HMEL035404g1.t1
OG0001338	DPOGS212528-PA, DPOGS212529-PA	HMEL009345g1.t1
OG0001339	DPOGS216104-PA	HMEL007407g1.t1
OG0001341	DPOGS215016-PA, DPOGS215020-PA, DPOGS215018-PA, DPOGS215017-PA, DPOGS214983-PA, DPOGS215019-PA	HMEL010160g1.t1
OG0001342	DPOGS213914-PA, DPOGS213913-PA	HMEL015559g1.t1
OG0001343	DPOGS207352-PA, DPOGS207353-PA	HMEL008858g1.t1
OG0001344	DPOGS214436-PA	HMEL035408g1.t1
OG0001345	DPOGS208799-PA	HMEL005557g1.t1
OG0001346	DPOGS210934-PA	HMEL003956g1.t1
OG0001347	DPOGS210325-PA	HMEL008905g1.t1
OG0001348	DPOGS208207-PA	HMEL002359g1.t1
OG0001349	DPOGS208209-PA, DPOGS208208-PA	HMEL002358g1.t1
OG0001350	DPOGS201689-PA	HMEL016880g1.t1
OG0001351	DPOGS200108-PA, DPOGS213918-PA, DPOGS213920-PA, DPOGS213909-PA, DPOGS213907-PA, DPOGS200110-PA, DPOGS200111-PA, DPOGS200112-PA, DPOGS200113-PA	HMEL015549g1.t1
OG0001352	DPOGS214751-PA	HMEL037839g1.t1
OG0001353	DPOGS214996-PA, DPOGS214994-PA	HMEL014831g1.t1
OG0001354	DPOGS214982-PA, DPOGS214981-PA	HMEL014819g1.t1
OG0001355	DPOGS214627-PA	HMEL037893g1.t1
OG0001356	DPOGS214334-PA	HMEL032358g1.t1
OG0001358	DPOGS208842-PA	HMEL015426g1.t1
OG0001359	DPOGS204783-PA	HMEL002590g1.t1, HMEL017678g1.t1
OG0001360	DPOGS211704-PA	HMEL035367g1.t1
OG0001361	DPOGS202673-PA	HMEL005612g1.t1, HMEL005611g1.t1
OG0001362	DPOGS209789-PA	HMEL009004g1.t1
OG0001363	DPOGS204522-PA	HMEL008726g1.t1
OG0001364	DPOGS206226-PA, DPOGS209125-PA	HMEL007653g1.t1, HMEL016062g1.t1
OG0001365	DPOGS209624-PA	HMEL017017g1.t1
OG0001366	DPOGS206793-PA	HMEL012190g1.t1
OG0001368	DPOGS207144-PA	HMEL012191g1.t1
OG0001369	DPOGS210087-PA	HMEL011789g1.t1
OG0001370	DPOGS215543-PA	HMEL011628g1.t1, HMEL011625g1.t1
OG0001371	DPOGS209837-PA	HMEL008408g1.t1, HMEL008410g1.t1
OG0001372	DPOGS209490-PA	HMEL016273g1.t1
OG0001373	DPOGS208812-PA	HMEL015084g1.t1, HMEL031223g1.t1
OG0001374	DPOGS215715-PA	HMEL009642g1.t1
OG0001375	DPOGS215310-PA	HMEL031254g1.t1, HMEL008282g1.t1
OG0001377	DPOGS213330-PA	HMEL011336g1.t1, HMEL034081g1.t1, HMEL010557g1.t1
OG0001378	DPOGS208425-PA	HMEL032110g1.t1
OG0001379	DPOGS215328-PA, DPOGS215329-PA	HMEL010016g1.t1
OG0001380	DPOGS206797-PA	HMEL025047g1.t1
OG0001381	DPOGS201582-PA	HMEL010148g1.t1
OG0001382	DPOGS209523-PA	HMEL016262g1.t1
OG0001383	DPOGS202665-PA	HMEL033959g1.t1
OG0001384	DPOGS208098-PA	HMEL016082g1.t1
OG0001385	DPOGS209826-PA	HMEL008986g1.t1
OG0001386	DPOGS201143-PA	HMEL032932g1.t1, HMEL010446g1.t1
OG0001387	DPOGS209575-PA	HMEL017044g1.t1
OG0001388	DPOGS201145-PA	HMEL032929g1.t1, HMEL032930g1.t1
OG0001389	DPOGS209802-PA	HMEL008991g1.t1
OG0001391	DPOGS209457-PA	HMEL034938g1.t1, HMEL034936g1.t1
OG0001392	DPOGS215519-PA, DPOGS215520-PA	HMEL009623g1.t1
OG0001393	DPOGS209999-PA	HMEL006999g1.t1
OG0001394	DPOGS205271-PA	HMEL016218g1.t1, HMEL034371g1.t1
OG0001395	DPOGS204643-PA	HMEL032288g1.t1, HMEL032287g1.t1
OG0001396	DPOGS210199-PA, DPOGS210197-PA	HMEL009522g1.t1
OG0001397	DPOGS206175-PA, DPOGS209431-PA	HMEL003408g1.t1
OG0001398	DPOGS210282-PA	HMEL003515g1.t1, HMEL022565g1.t1
OG0001399	DPOGS200462-PA	HMEL014564g1.t1
OG0001400	DPOGS202271-PA	HMEL007642g1.t1
OG0001401	DPOGS204101-PA	HMEL012924g1.t1
OG0001402	DPOGS206334-PA	HMEL002720g1.t1
OG0001402	DPOGS202344-PA	HMEL038074g1.t1
OG0001404	DPOGS205297-PA	HMEL016225g1.t1, HMEL016224g1.t1
OG0001405	DPOGS207214-PA	HMEL034631g1.t1
OG0001405	DPOGS207215-PA	HMEL006183g1.t1
OG0001406	DPOGS214084-PA	HMEL002726g1.t1
OG0001407	DPOGS203179-PA	HMEL021313g1.t1
OG0001408	DPOGS205256-PA	HMEL022657g1.t1
OG0001409	DPOGS210798-PA	HMEL014177g1.t1, HMEL032874g1.t1
OG0001410	DPOGS202295-PA	HMEL037963g1.t1
OG0001410	DPOGS202296-PA	HMEL005584g1.t1
OG0001411	DPOGS210868-PA	HMEL032872g1.t1
OG0001412	DPOGS216054-PA, DPOGS216053-PA	HMEL015054g1.t1
OG0001413	DPOGS206178-PA	HMEL034885g1.t1, HMEL005064g1.t1, HMEL008596g1.t1
OG0001414	DPOGS209348-PA	HMEL013249g1.t1
OG0001415	DPOGS210031-PA	HMEL031826g1.t1
OG0001416	DPOGS209280-PA	HMEL037194g1.t1, HMEL037192g1.t1
OG0001417	DPOGS207502-PA	HMEL032477g1.t1
OG0001418	DPOGS215753-PA	HMEL014142g1.t1
OG0001419	DPOGS215667-PA	HMEL030737g1.t1
OG0001420	DPOGS211138-PA	HMEL017215g1.t1
OG0001421	DPOGS201936-PA	HMEL014898g1.t1
OG0001422	DPOGS213776-PA	HMEL020501g1.t1, HMEL032224g1.t1, HMEL032225g1.t1
OG0001423	DPOGS210998-PA	HMEL025049-RA
OG0001424	DPOGS206810-PA	HMEL012199g1.t1
OG0001426	DPOGS212750-PA	HMEL033252g1.t1
OG0001427	DPOGS213661-PA	HMEL034838g1.t1
OG0001428	DPOGS206806-PA	HMEL010553g1.t1
OG0001429	DPOGS205186-PA	HMEL021822g1.t1, HMEL033899g1.t1
OG0001430	DPOGS205012-PA	HMEL014632g1.t1
OG0001432	DPOGS200895-PA	HMEL012734g1.t1, HMEL012221g1.t1
OG0001433	DPOGS210303-PA, DPOGS210305-PA, DPOGS210304-PA	HMEL017163-RA
OG0001434	DPOGS207522-PA	HMEL032488g1.t1
OG0001435	DPOGS212134-PA	HMEL003817g1.t1, HMEL004985g1.t1
OG0001436	DPOGS205579-PA	HMEL037395g1.t1
OG0001437	DPOGS208500-PA	HMEL008753g1.t1
OG0001438	DPOGS205053-PA	HMEL035164g1.t1
OG0001439	DPOGS215897-PA	HMEL005738g1.t1
OG0001440	DPOGS214722-PA	HMEL008593g1.t1
OG0001441	DPOGS203247-PA	HMEL008703g1.t1
OG0001442	DPOGS209766-PA	HMEL011914g1.t1
OG0001443	DPOGS215632-PA	HMEL008542g1.t1
OG0001445	DPOGS205248-PA	HMEL013447g1.t1
OG0001446	DPOGS213513-PA	HMEL017847g1.t1
OG0001447	DPOGS215917-PA	HMEL005406g1.t1
OG0001448	DPOGS208188-PA	HMEL015712g1.t1
OG0001449	DPOGS208563-PA	HMEL005769g1.t1, HMEL003260g1.t1
OG0001450	DPOGS210436-PA	HMEL032514g1.t1
OG0001451	DPOGS203245-PA	HMEL008707g1.t1
OG0001452	DPOGS210452-PA	HMEL032521g1.t1
OG0001453	DPOGS205196-PA, DPOGS205243-PA	HMEL034143g1.t1
OG0001454	DPOGS208176-PA	HMEL010049g1.t1, HMEL006651g1.t1
OG0001455	DPOGS211951-PA	HMEL033872g1.t1
OG0001456	DPOGS213608-PA	HMEL013679g1.t1
OG0001457	DPOGS213107-PA	HMEL006548g1.t1
OG0001458	DPOGS213525-PA	HMEL013678g1.t1, HMEL022148g1.t1
OG0001459	DPOGS213526-PA	HMEL037574g1.t1
OG0001460	DPOGS201376-PA	HMEL002157g1.t1
OG0001461	DPOGS205015-PA	HMEL008842g1.t1
OG0001462	DPOGS208466-PA	HMEL004290g1.t1
OG0001463	DPOGS215482-PA	HMEL003422g1.t1
OG0001464	DPOGS213818-PA	HMEL012285g1.t1
OG0001465	DPOGS215465-PA	HMEL003427g1.t1
OG0001466	DPOGS215612-PA	HMEL030790g1.t1
OG0001467	DPOGS212481-PA, DPOGS212482-PA	HMEL037412g1.t1
OG0001468	DPOGS213245-PA	HMEL032190g1.t1
OG0001469	DPOGS215462-PA	HMEL008349g1.t1
OG0001470	DPOGS204888-PA	HMEL009954g1.t1, HMEL005591g1.t1
OG0001471	DPOGS211852-PA	HMEL033860g1.t1
OG0001472	DPOGS208578-PA	HMEL008055g1.t1
OG0001473	DPOGS200659-PA	HMEL004569g1.t1
OG0001474	DPOGS212525-PA	HMEL009339g1.t1
OG0001475	DPOGS213255-PA	HMEL003053g1.t1
OG0001476	DPOGS212468-PA	HMEL009340g1.t1
OG0001477	DPOGS213258-PA	HMEL032186g1.t1, HMEL012582g1.t1, HMEL032185g1.t1
OG0001478	DPOGS215854-PA	HMEL031891g1.t1, HMEL031892g1.t1
OG0001479	DPOGS201760-PA	HMEL006707g1.t1
OG0001480	DPOGS200417-PA	HMEL036724g1.t1
OG0001480	DPOGS200418-PA	HMEL036723g1.t1
OG0001481	DPOGS204175-PA	HMEL037917g1.t1
OG0001481	DPOGS204176-PA	HMEL037918g1.t1
OG0001482	DPOGS212226-PA	HMEL007963g1.t1
OG0001483	DPOGS204388-PA	HMEL031152g1.t1
OG0001484	DPOGS210014-PA	HMEL009872g1.t1
OG0001485	DPOGS200930-PA	HMEL002517g1.t1
OG0001486	DPOGS211581-PA	HMEL036085g1.t1
OG0001487	DPOGS205793-PA	HMEL012051g1.t1
OG0001488	DPOGS204799-PA	HMEL013180g1.t1
OG0001489	DPOGS212673-PA, DPOGS212674-PA	HMEL007510g1.t1
OG0001490	DPOGS214485-PA	HMEL034496g1.t1
OG0001491	DPOGS212357-PA	HMEL005299g1.t1
OG0001491	DPOGS206111-PA	HMEL014064g1.t1
OG0001492	DPOGS201401-PA	HMEL012851g1.t1
OG0001493	DPOGS212736-PA	HMEL031450g1.t1
OG0001494	DPOGS215506-PA	HMEL032144g1.t1
OG0001495	DPOGS212023-PA	HMEL013609g1.t1
OG0001496	DPOGS215111-PA	HMEL014221g1.t1
OG0001497	DPOGS206164-PA	HMEL011823g1.t1
OG0001498	DPOGS214789-PA	HMEL037702g1.t1
OG0001499	DPOGS214948-PA	HMEL038091g1.t1
OG0001500	DPOGS209693-PA	HMEL022328g1.t1, HMEL016306g1.t1
OG0001501	DPOGS201117-PA	HMEL017983g1.t1
OG0001501	DPOGS201113-PA	HMEL017985g1.t1
OG0001502	DPOGS202731-PA	HMEL012673g1.t1
OG0001503	DPOGS212719-PA	HMEL008312g1.t1
OG0001504	DPOGS211669-PA	HMEL013747g1.t1
OG0001504	DPOGS211670-PA	HMEL037448g1.t1
OG0001505	DPOGS203836-PA	HMEL006947g1.t1
OG0001506	DPOGS212885-PA	HMEL038105g1.t1
OG0001506	DPOGS212884-PA	HMEL021832g1.t1
OG0001507	DPOGS201159-PA	HMEL012974g1.t1
OG0001508	DPOGS207979-PA	HMEL007006g1.t1
OG0001509	DPOGS203835-PA, DPOGS203834-PA	HMEL006950g1.t1
OG0001511	DPOGS203661-PA	HMEL006952g1.t1
OG0001512	DPOGS204340-PA	HMEL005396g1.t1
OG0001513	DPOGS206271-PA	HMEL016898g1.t1
OG0001514	DPOGS203214-PA	HMEL006490g1.t1
OG0001514	DPOGS203215-PA	HMEL006491g1.t1
OG0001515	DPOGS203668-PA	HMEL013345g1.t1
OG0001516	DPOGS207246-PA	HMEL016503g1.t1
OG0001517	DPOGS202240-PA	HMEL021872g1.t1
OG0001518	DPOGS215597-PA	HMEL016921g1.t1
OG0001519	DPOGS203159-PA	HMEL010966g1.t1
OG0001520	DPOGS206877-PA	HMEL010501g1.t1
OG0001521	DPOGS207051-PA	HMEL010499g1.t1
OG0001522	DPOGS215829-PA	HMEL011639g1.t1
OG0001523	DPOGS203675-PA	HMEL030831g1.t1
OG0001524	DPOGS202247-PA	HMEL020873g1.t1
OG0001524	DPOGS202246-PA	HMEL038009g1.t1
OG0001525	DPOGS208993-PA	HMEL037020g1.t1, HMEL037021g1.t1, HMEL037019g1.t1
OG0001526	DPOGS215094-PA	HMEL005553-RA
OG0001527	DPOGS206423-PA	HMEL018081g1.t1
OG0001528	DPOGS211404-PA	HMEL009102g1.t1
OG0001528	DPOGS211405-PA	HMEL021756g1.t1
OG0001528	DPOGS211406-PA	HMEL032000g1.t1
OG0001529	DPOGS212041-PA	HMEL018069g1.t1
OG0001530	DPOGS208634-PA	HMEL011731g1.t1
OG0001531	DPOGS214470-PA, DPOGS214469-PA	HMEL034512g1.t1
OG0001532	DPOGS207046-PA	HMEL006869g1.t1
OG0001533	DPOGS203329-PA	HMEL005226g1.t1, HMEL035035g1.t1, HMEL036595g1.t1, HMEL031211g1.t1, HMEL007277g1.t1
OG0001534	DPOGS206688-PA	HMEL008843g1.t1, HMEL006579g1.t1
OG0001535	DPOGS203690-PA	HMEL013314g1.t1
OG0001536	DPOGS214061-PA	HMEL008272g1.t1
OG0001537	DPOGS203327-PA	HMEL037456g1.t1, HMEL007281g1.t1
OG0001538	DPOGS207594-PA	HMEL031995g1.t1
OG0001539	DPOGS204242-PA	HMEL015171g1.t1
OG0001540	DPOGS215990-PA, DPOGS204596-PA	HMEL016677g1.t1
OG0001541	DPOGS205346-PA, DPOGS205347-PA	HMEL006152g1.t1
OG0001542	DPOGS206291-PA	HMEL013122g1.t1
OG0001543	DPOGS206900-PA	HMEL006852g1.t1
OG0001544	DPOGS205355-PA	HMEL004553g1.t1
OG0001546	DPOGS207307-PA	HMEL037654g1.t1, HMEL026005g1.t1
OG0001547	DPOGS214929-PA, DPOGS206294-PA, DPOGS206293-PA	HMEL013125g1.t1
OG0001548	DPOGS208870-PA, DPOGS208868-PA	HMEL017106g1.t1
OG0001549	DPOGS207560-PA	HMEL017139g1.t1, HMEL017140g1.t1
OG0001550	DPOGS203320-PA	HMEL008814g1.t1
OG0001551	DPOGS202692-PA	HMEL004996g1.t1
OG0001552	DPOGS204223-PA	HMEL015141g1.t1
OG0001553	DPOGS207030-PA	HMEL009421g1.t1
OG0001554	DPOGS214369-PA	HMEL005016g1.t1
OG0001555	DPOGS214205-PA	HMEL006816g1.t1
OG0001556	DPOGS214166-PA	HMEL006808g1.t1
OG0001557	DPOGS206445-PA	HMEL031578g1.t1
OG0001558	DPOGS214872-PA	HMEL007616g1.t1
OG0001559	DPOGS207795-PA	HMEL017564g1.t1
OG0001560	DPOGS207293-PA, DPOGS207291-PA	HMEL037679g1.t1
OG0001561	DPOGS213021-PA	HMEL012293g1.t1
OG0001562	DPOGS207805-PA	HMEL011949g1.t1
OG0001563	DPOGS209728-PA	HMEL011363g1.t1
OG0001564	DPOGS207428-PA	HMEL007504g1.t1, HMEL005447g1.t1
OG0001565	DPOGS208020-PA	HMEL008155g1.t1, HMEL035719g1.t1, HMEL031255g1.t1, HMEL017808g1.t1
OG0001566	DPOGS206937-PA	HMEL015459g1.t1
OG0001567	DPOGS210755-PA	HMEL014556g1.t1
OG0001568	DPOGS209533-PA	HMEL006080g1.t1
OG0001569	DPOGS207281-PA	HMEL020641g1.t1, HMEL015765g1.t1
OG0001570	DPOGS210676-PA	HMEL004837g1.t1, HMEL036038g1.t1
OG0001571	DPOGS200485-PA	HMEL034777g1.t1
OG0001572	DPOGS202452-PA	HMEL031983g1.t1
OG0001573	DPOGS205821-PA	HMEL032085g1.t1
OG0001574	DPOGS213040-PA	HMEL007698g1.t1
OG0001575	DPOGS209032-PA	HMEL004647g1.t1
OG0001575	DPOGS209033-PA	HMEL038217g1.t1
OG0001576	DPOGS213439-PA	HMEL002079g1.t1, HMEL009852g1.t1, HMEL032738g1.t1
OG0001577	DPOGS208072-PA	HMEL031107g1.t1
OG0001578	DPOGS201524-PA	HMEL030889g1.t1
OG0001579	DPOGS208077-PA	HMEL003344-RA
OG0001580	DPOGS215402-PA	HMEL009715g1.t1
OG0001581	DPOGS204297-PA	HMEL015180g1.t1
OG0001582	DPOGS204296-PA	HMEL031064g1.t1
OG0001583	DPOGS211986-PA	HMEL030054g1.t1
OG0001583	DPOGS211985-PA	HMEL014990g1.t1
OG0001584	DPOGS204253-PA	HMEL015185g1.t1
OG0001585	DPOGS203978-PA	HMEL012101g1.t1
OG0001586	DPOGS205871-PA	HMEL014998g1.t1
OG0001587	DPOGS209893-PA	HMEL006750g1.t1, HMEL006749g1.t1
OG0001588	DPOGS204610-PA	HMEL036327g1.t1
OG0001588	DPOGS200023-PA	HMEL003677g1.t1
OG0001589	DPOGS200985-PA	HMEL036820g1.t1
OG0001590	DPOGS206982-PA, DPOGS206981-PA, DPOGS206983-PA	HMEL002125g1.t1
OG0001591	DPOGS200699-PA	HMEL002752g1.t1, HMEL017468g1.t1
OG0001592	DPOGS210690-PA	HMEL036027g1.t1
OG0001593	DPOGS201486-PA	HMEL015947g1.t1
OG0001594	DPOGS205768-PA	HMEL007749g1.t1
OG0001595	DPOGS212822-PA	HMEL010115g1.t1
OG0001596	DPOGS204896-PA	HMEL037603g1.t1, HMEL037602g1.t1
OG0001597	DPOGS214121-PA	HMEL011387g1.t1
OG0001598	DPOGS213307-PA	HMEL009428g1.t1
OG0001599	DPOGS201935-PA	HMEL015929g1.t1, HMEL035874g1.t1, HMEL037288g1.t1, HMEL035634g1.t1, HMEL030834g1.t1, HMEL021207g1.t1
OG0001600	DPOGS207704-PA, DPOGS207705-PA	HMEL003438g1.t1
OG0001601	DPOGS208937-PA	HMEL004766g1.t1
OG0001602	DPOGS215410-PA	HMEL017425g1.t1
OG0001603	DPOGS214438-PA	HMEL010618g1.t1
OG0001604	DPOGS207008-PA	HMEL014373g1.t1
OG0001605	DPOGS207011-PA	HMEL015465g1.t1, HMEL033343g1.t1
OG0001607	DPOGS213958-PA	HMEL015290g1.t1
OG0001608	DPOGS212394-PA	HMEL037712g1.t1
OG0001609	DPOGS205524-PA, DPOGS205523-PA	HMEL030026g1.t1
OG0001611	DPOGS206488-PA, DPOGS209809-PA	HMEL015997g1.t1
OG0001612	DPOGS200326-PA	HMEL000061g1.t1
OG0001613	DPOGS200299-PA	HMEL032689g1.t1, HMEL000056g1.t1
OG0001614	DPOGS201950-PA	HMEL003784g1.t1
OG0001615	DPOGS214913-PA	HMEL010621g1.t1
OG0001616	DPOGS215248-PA	HMEL020101g1.t1, HMEL036871g1.t1
OG0001617	DPOGS206486-PA	HMEL037119g1.t1
OG0001618	DPOGS205554-PA	HMEL037120g1.t1
OG0001619	DPOGS202785-PA	HMEL003013g1.t1, HMEL006294g1.t1, HMEL016620g1.t1
OG0001620	DPOGS211606-PA	HMEL014313g1.t1
OG0001621	DPOGS200840-PA	HMEL003531g1.t1
OG0001622	DPOGS215393-PA	HMEL036356g1.t1
OG0001623	DPOGS208748-PA	HMEL015222g1.t1
OG0001624	DPOGS202775-PA	HMEL002679-RA
OG0001625	DPOGS202349-PA	HMEL035985g1.t1, HMEL035986g1.t1
OG0001626	DPOGS207635-PA	HMEL006157g1.t1
OG0001627	DPOGS202774-PA	HMEL002683g1.t1
OG0001628	DPOGS202229-PA, DPOGS202230-PA	HMEL009179g1.t1
OG0001629	DPOGS202228-PA, DPOGS202227-PA	HMEL009180g1.t1
OG0001630	DPOGS215038-PA	HMEL002017g1.t1, HMEL032674g1.t1
OG0001631	DPOGS202191-PA	HMEL009186g1.t1
OG0001632	DPOGS211535-PA	HMEL003126g1.t1
OG0001634	DPOGS202763-PA, DPOGS202765-PA	HMEL002697g1.t1
OG0001635	DPOGS207444-PA	HMEL012324g1.t1, HMEL014796g1.t1
OG0001636	DPOGS208325-PA	HMEL009211g1.t1
OG0001638	DPOGS206842-PA	HMEL013281g1.t1, HMEL033388g1.t1
OG0001639	DPOGS203024-PA	HMEL011045-RA
OG0001640	DPOGS210227-PA	HMEL037155g1.t1
OG0001641	DPOGS207108-PA	HMEL013273g1.t1
OG0001641	DPOGS206838-PA	HMEL033395g1.t1
OG0001642	DPOGS207111-PA	HMEL013264g1.t1
OG0001643	DPOGS202158-PA	HMEL031002g1.t1
OG0001644	DPOGS206053-PA	HMEL017948g1.t1
OG0001645	DPOGS211725-PA	HMEL017359g1.t1
OG0001647	DPOGS209357-PA	HMEL013105g1.t1
OG0001648	DPOGS214960-PA	HMEL030593g1.t1, HMEL030591g1.t1
OG0001649	DPOGS205630-PA	HMEL007097g1.t1
OG0001650	DPOGS201856-PA	HMEL033123g1.t1
