Orthogroup	Danaus_plexippus	Heliconius_erato_lativitta
OG0001139	DPOGS215886-PA	HEL_013262-RA
OG0001140	DPOGS208589-PA	HEL_004637-RA
OG0001141	DPOGS216127-PA	HEL_000394-RA, HEL_000391-RA
OG0001143	DPOGS201951-PA	HEL_009138-RA, HEL_009142-RA, HEL_009140-RA, HEL_009143-RA
OG0001144	DPOGS215884-PA	HEL_013265-RA, HEL_013266-RA
OG0001145	DPOGS204689-PA	HEL_001966-RA, HEL_001967-RA
OG0001146	DPOGS215364-PA	HEL_013691-RA, HEL_013689-RA
OG0001148	DPOGS209752-PA	HEL_010707-RA
OG0001149	DPOGS212312-PA	HEL_009788-RA
OG0001149	DPOGS212313-PA	HEL_009787-RA
OG0001151	DPOGS215878-PA	HEL_013302-RA
OG0001152	DPOGS211882-PA	HEL_008813-RA, HEL_008816-RA, HEL_008818-RA, HEL_008814-RA, HEL_008817-RA
OG0001153	DPOGS213497-PA	HEL_004902-RA, HEL_004903-RA, HEL_004901-RA
OG0001154	DPOGS214588-PA	HEL_005164-RA, HEL_005163-RA, HEL_005162-RA
OG0001156	DPOGS201370-PA	HEL_009651-RA
OG0001157	DPOGS211742-PA	HEL_004889-RA
OG0001158	DPOGS204192-PA	HEL_005169-RA, HEL_005168-RA, HEL_005171-RA
OG0001160	DPOGS213416-PA	HEL_004881-RA
OG0001160	DPOGS213419-PA	HEL_004880-RA
OG0001161	DPOGS205016-PA	HEL_012972-RA, HEL_012973-RA
OG0001162	DPOGS210461-PA	HEL_006549-RA, HEL_006551-RA
OG0001163	DPOGS213423-PA	HEL_004869-RA
OG0001163	DPOGS213425-PA	HEL_004871-RA
OG0001164	DPOGS212235-PA	HEL_004862-RA
OG0001164	DPOGS212236-PA	HEL_004863-RA
OG0001165	DPOGS211197-PA	HEL_002444-RA
OG0001167	DPOGS215969-PA	HEL_008746-RA
OG0001168	DPOGS204172-PA	HEL_005185-RA
OG0001169	DPOGS212467-PA	HEL_000614-RA
OG0001170	DPOGS211593-PA	HEL_004285-RA, HEL_004283-RA, HEL_004284-RA
OG0001171	DPOGS205419-PA	HEL_011553-RA, HEL_011550-RA
OG0001172	DPOGS210784-PA	HEL_001857-RA
OG0001172	DPOGS200959-PA	HEL_001859-RA
OG0001173	DPOGS210021-PA	HEL_011862-RA
OG0001174	DPOGS210009-PA	HEL_008988-RA
OG0001175	DPOGS200190-PA	HEL_005213-RA, HEL_005212-RA
OG0001176	DPOGS200935-PA	HEL_010875-RA
OG0001177	DPOGS211224-PA	HEL_002491-RA, HEL_002490-RA
OG0001178	DPOGS206275-PA	HEL_011881-RA, HEL_011878-RA
OG0001179	DPOGS202073-PA, DPOGS202072-PA	HEL_006145-RA, HEL_006146-RA
OG0001180	DPOGS204479-PA	HEL_001518-RA
OG0001181	DPOGS201106-PA	HEL_004787-RA, HEL_004786-RA
OG0001182	DPOGS209558-PA	HEL_007267-RA, HEL_007274-RA
OG0001183	DPOGS203761-PA	HEL_005594-RA
OG0001185	DPOGS203332-PA	HEL_010457-RA, HEL_010458-RA, HEL_010459-RA
OG0001186	DPOGS203658-PA	HEL_002863-RA, HEL_002861-RA, HEL_002860-RA
OG0001187	DPOGS203755-PA, DPOGS214527-PA, DPOGS214526-PA	HEL_005585-RA, HEL_005586-RA
OG0001188	DPOGS206168-PA	HEL_001123-RA
OG0001189	DPOGS216078-PA	HEL_005849-RA
OG0001190	DPOGS209083-PA	HEL_012846-RA, HEL_012850-RA
OG0001191	DPOGS212725-PA	HEL_014206-RA, HEL_014207-RA
OG0001191	DPOGS212726-PA	HEL_014208-RA
OG0001192	DPOGS204418-PA, DPOGS204417-PA, DPOGS204419-PA, DPOGS204416-PA, DPOGS204415-PA	HEL_001497-RA
OG0001193	DPOGS203766-PA	HEL_004742-RA, HEL_004741-RA, HEL_004740-RA
OG0001194	DPOGS212031-PA	HEL_001820-RA
OG0001194	DPOGS212030-PA	HEL_001821-RA
OG0001197	DPOGS203673-PA	HEL_002825-RA
OG0001198	DPOGS200407-PA	HEL_012729-RA, HEL_012726-RA, HEL_012730-RA, HEL_012727-RA
OG0001199	DPOGS200445-PA	HEL_012734-RA
OG0001200	DPOGS215076-PA	HEL_014008-RA
OG0001201	DPOGS203816-PA	HEL_002804-RA
OG0001203	DPOGS200526-PA	HEL_000288-RA
OG0001204	DPOGS201656-PA	HEL_012855-RA, HEL_005990-RA, HEL_005989-RA
OG0001205	DPOGS207248-PA	HEL_001075-RA
OG0001206	DPOGS206532-PA	HEL_003002-RA
OG0001206	DPOGS206529-PA	HEL_003003-RA
OG0001208	DPOGS207466-PA	HEL_004566-RA
OG0001209	DPOGS203806-PA	HEL_002775-RA
OG0001210	DPOGS203610-PA	HEL_007441-RA, HEL_007442-RA, HEL_007440-RA
OG0001211	DPOGS202699-PA	HEL_003811-RA, HEL_003810-RA, HEL_003809-RA, HEL_003812-RA, HEL_003808-RA
OG0001212	DPOGS206476-PA	HEL_010742-RA
OG0001213	DPOGS203616-PA	HEL_007426-RA
OG0001214	DPOGS214841-PA	HEL_012349-RA, HEL_012350-RA, HEL_012351-RA
OG0001215	DPOGS204080-PA	HEL_009503-RA
OG0001216	DPOGS207804-PA	HEL_012170-RA, HEL_012171-RA
OG0001217	DPOGS212541-PA	HEL_002171-RA, HEL_002173-RA, HEL_002175-RA
OG0001219	DPOGS203067-PA	HEL_001381-RA
OG0001220	DPOGS206955-PA	HEL_013333-RA
OG0001221	DPOGS206629-PA	HEL_012259-RA
OG0001222	DPOGS212285-PA	HEL_005495-RA
OG0001223	DPOGS203072-PA	HEL_001389-RA
OG0001224	DPOGS202910-PA	HEL_008155-RA, HEL_008153-RA, HEL_008156-RA
OG0001225	DPOGS202909-PA	HEL_008157-RA, HEL_008158-RA
OG0001226	DPOGS208656-PA	HEL_001421-RA, HEL_001422-RA
OG0001227	DPOGS207739-PA	HEL_012217-RA, HEL_012216-RA, HEL_012215-RA, HEL_012218-RA
OG0001228	DPOGS212808-PA	HEL_003866-RA
OG0001229	DPOGS214343-PA	HEL_008175-RA
OG0001230	DPOGS205861-PA	HEL_000223-RA
OG0001231	DPOGS213440-PA	HEL_007390-RA, HEL_007391-RA
OG0001232	DPOGS200976-PA	HEL_013599-RA
OG0001233	DPOGS205817-PA	HEL_000217-RA
OG0001233	DPOGS205818-PA	HEL_000218-RA
OG0001234	DPOGS214233-PA	HEL_003081-RA
OG0001235	DPOGS211652-PA	HEL_000961-RA, HEL_000962-RA
OG0001236	DPOGS211656-PA	HEL_000963-RA, HEL_000964-RA
OG0001237	DPOGS204262-PA	HEL_001310-RA
OG0001238	DPOGS210302-PA	HEL_014428-RA, HEL_014429-RA
OG0001239	DPOGS202370-PA, DPOGS202371-PA, DPOGS211483-PA, DPOGS202369-PA	HEL_014426-RA
OG0001240	DPOGS201484-PA	HEL_006802-RA
OG0001241	DPOGS204268-PA	HEL_001294-RA
OG0001242	DPOGS214271-PA	HEL_003146-RA
OG0001243	DPOGS207002-PA	HEL_013371-RA
OG0001244	DPOGS212324-PA	HEL_009772-RA
OG0001244	DPOGS212326-PA	HEL_009773-RA
OG0001245	DPOGS215414-PA	HEL_007207-RA
OG0001246	DPOGS207861-PA	HEL_012621-RA, HEL_012622-RA
OG0001247	DPOGS202362-PA	HEL_012944-RA
OG0001248	DPOGS210726-PA	HEL_012866-RA
OG0001249	DPOGS202880-PA	HEL_008135-RA
OG0001250	DPOGS205830-PA	HEL_000109-RA
OG0001251	DPOGS200877-PA, DPOGS200876-PA	HEL_012634-RA
OG0001252	DPOGS215030-PA	HEL_004080-RA
OG0001253	DPOGS214288-PA	HEL_003170-RA, HEL_003171-RA
OG0001254	DPOGS202912-PA	HEL_008147-RA
OG0001255	DPOGS212571-PA	HEL_007063-RA
OG0001256	DPOGS202792-PA	HEL_006218-RA, HEL_006220-RA, HEL_006221-RA
OG0001257	DPOGS215277-PA	HEL_012026-RA
OG0001259	DPOGS210623-PA	HEL_006637-RA, HEL_006636-RA
OG0001259	DPOGS210622-PA	HEL_006635-RA
OG0001260	DPOGS207081-PA	HEL_008307-RA, HEL_008312-RA
OG0001261	DPOGS202780-PA, DPOGS202779-PA	HEL_006245-RA
OG0001262	DPOGS200725-PA	HEL_004433-RA
OG0001263	DPOGS215036-PA	HEL_011431-RA
OG0001263	DPOGS215037-PA	HEL_011430-RA
OG0001264	DPOGS211536-PA	HEL_008539-RA, HEL_008538-RA
OG0001265	DPOGS208675-PA	HEL_001176-RA, HEL_001175-RA, HEL_001177-RA
OG0001266	DPOGS211541-PA	HEL_008529-RA, HEL_008524-RA
OG0001267	DPOGS213328-PA	HEL_008522-RA
OG0001267	DPOGS213326-PA, DPOGS213327-PA	HEL_008521-RA
OG0001268	DPOGS202181-PA, DPOGS208670-PA, DPOGS202183-PA, DPOGS208762-PA, DPOGS208761-PA, DPOGS208669-PA	HEL_001169-RA
OG0001270	DPOGS202174-PA	HEL_001155-RA
OG0001270	DPOGS202175-PA	HEL_001156-RA
OG0001271	DPOGS209079-PA	HEL_012856-RA
OG0001272	DPOGS211717-PA	HEL_008497-RA
OG0001273	DPOGS201544-PA	HEL_006707-RA, HEL_006709-RA, HEL_006708-RA
OG0001274	DPOGS202163-PA	HEL_001137-RA
OG0001274	DPOGS202164-PA	HEL_001139-RA
OG0001275	DPOGS211731-PA	HEL_008495-RA
OG0001276	DPOGS201875-PA	HEL_003292-RA, HEL_003290-RA, HEL_003291-RA
OG0001277	DPOGS206826-PA	HEL_008404-RA, HEL_008403-RA
OG0001278	DPOGS205663-PA	HEL_004484-RA
OG0001279	DPOGS208384-PA	HEL_007148-RA
OG0001280	DPOGS207114-PA	HEL_008374-RA
OG0001281	DPOGS201568-PA	HEL_003256-RA
OG0001282	DPOGS206517-PA	HEL_008456-RA
OG0001282	DPOGS206518-PA	HEL_008454-RA
OG0001283	DPOGS212646-PA	HEL_008441-RA
OG0001283	DPOGS212645-PA	HEL_008442-RA
OG0001284	DPOGS212652-PA, DPOGS212650-PA, DPOGS212651-PA	HEL_008436-RA
OG0001285	DPOGS203298-PA	HEL_007098-RA
OG0001287	DPOGS208099-PA	HEL_011720-RA
OG0001291	DPOGS202658-PA	HEL_003947-RA
OG0001293	DPOGS210634-PA	HEL_011086-RA, HEL_011087-RA, HEL_011085-RA
OG0001301	DPOGS206161-PA	HEL_013953-RA, HEL_013954-RA
OG0001302	DPOGS207366-PA, DPOGS211500-PA	HEL_004162-RA
OG0001303	DPOGS210402-PA	HEL_008966-RA
OG0001303	DPOGS210001-PA	HEL_008967-RA
OG0001304	DPOGS210400-PA	HEL_008964-RA
OG0001304	DPOGS210401-PA	HEL_008965-RA
OG0001305	DPOGS210111-PA	HEL_007645-RA, HEL_007651-RA
OG0001306	DPOGS212266-PA	HEL_005499-RA, HEL_005500-RA
OG0001307	DPOGS208299-PA, DPOGS201736-PA	HEL_011012-RA
OG0001308	DPOGS204988-PA	HEL_001894-RA
OG0001309	DPOGS214763-PA	HEL_005068-RA
OG0001310	DPOGS211532-PA, DPOGS211531-PA	HEL_004103-RA
OG0001311	DPOGS206365-PA	HEL_003491-RA, HEL_003490-RA, HEL_003489-RA, HEL_003492-RA
OG0001312	DPOGS201954-PA	HEL_012703-RA, HEL_012702-RA
OG0001315	DPOGS216109-PA	HEL_000449-RA
OG0001316	DPOGS212487-PA	HEL_001887-RA, HEL_001888-RA, HEL_001880-RA
OG0001318	DPOGS210257-PA	HEL_009306-RA, HEL_009304-RA
OG0001319	DPOGS201225-PA	HEL_007743-RA
OG0001320	DPOGS210340-PA	HEL_000697-RA
OG0001320	DPOGS210341-PA	HEL_000694-RA, HEL_000695-RA
OG0001321	DPOGS214431-PA	HEL_012693-RA, HEL_012694-RA
OG0001322	DPOGS214430-PA	HEL_012695-RA
OG0001323	DPOGS214988-PA	HEL_004046-RA
OG0001323	DPOGS214989-PA	HEL_004047-RA
OG0001324	DPOGS210396-PA	HEL_008953-RA, HEL_008952-RA
OG0001325	DPOGS206782-PA	HEL_009694-RA, HEL_009693-RA
OG0001326	DPOGS209137-PA	HEL_005337-RA
OG0001327	DPOGS204550-PA	HEL_005020-RA
OG0001328	DPOGS204534-PA	HEL_005019-RA
OG0001329	DPOGS210338-PA	HEL_000703-RA, HEL_000702-RA, HEL_000701-RA, HEL_000700-RA, HEL_000704-RA, HEL_000705-RA
OG0001330	DPOGS208217-PA	HEL_009211-RA, HEL_009213-RA, HEL_010028-RA
OG0001331	DPOGS205465-PA	HEL_008949-RA
OG0001332	DPOGS209286-PA	HEL_004010-RA
OG0001333	DPOGS216117-PA	HEL_000452-RA
OG0001334	DPOGS213352-PA	HEL_003394-RA, HEL_003393-RA, HEL_003395-RA, HEL_003392-RA
OG0001335	DPOGS201172-PA	HEL_003461-RA
OG0001336	DPOGS210363-PA	HEL_000714-RA, HEL_000713-RA
OG0001337	DPOGS206521-PA	HEL_012667-RA
OG0001337	DPOGS214419-PA	HEL_012673-RA
OG0001338	DPOGS212528-PA, DPOGS212529-PA	HEL_000615-RA
OG0001339	DPOGS216104-PA	HEL_000457-RA
OG0001341	DPOGS215016-PA, DPOGS215020-PA, DPOGS215018-PA, DPOGS215017-PA, DPOGS214983-PA, DPOGS215019-PA	HEL_004031-RA
OG0001342	DPOGS213914-PA, DPOGS213913-PA	HEL_005390-RA
OG0001343	DPOGS207354-PA, DPOGS207355-PA	HEL_002045-RA
OG0001344	DPOGS214436-PA	HEL_012656-RA, HEL_012655-RA
OG0001345	DPOGS208799-PA	HEL_001710-RA
OG0001346	DPOGS210934-PA	HEL_002250-RA
OG0001347	DPOGS210325-PA	HEL_000739-RA
OG0001348	DPOGS208207-PA	HEL_009232-RA, HEL_009234-RA
OG0001349	DPOGS208208-PA	HEL_009236-RA
OG0001350	DPOGS201689-PA	HEL_009559-RA
OG0001351	DPOGS200108-PA, DPOGS213918-PA, DPOGS213920-PA, DPOGS213909-PA, DPOGS213907-PA, DPOGS200110-PA, DPOGS200111-PA, DPOGS200112-PA, DPOGS200113-PA	HEL_005400-RA, HEL_005399-RA
OG0001352	DPOGS214751-PA	HEL_005091-RA
OG0001353	DPOGS214996-PA, DPOGS214994-PA	HEL_004056-RA
OG0001354	DPOGS214982-PA, DPOGS214981-PA	HEL_004067-RA
OG0001356	DPOGS214334-PA	HEL_008191-RA, HEL_008190-RA
OG0001358	DPOGS208842-PA	HEL_001749-RA
OG0001359	DPOGS204783-PA	HEL_003563-RA, HEL_000471-RA
OG0001360	DPOGS211704-PA	HEL_013893-RA
OG0001362	DPOGS209789-PA	HEL_007781-RA
OG0001363	DPOGS204522-PA	HEL_004995-RA
OG0001364	DPOGS206226-PA, DPOGS209125-PA	HEL_011253-RA
OG0001365	DPOGS209624-PA	HEL_010520-RA, HEL_010521-RA
OG0001366	DPOGS206793-PA	HEL_009662-RA
OG0001367	DPOGS215320-PA	HEL_001762-RA
OG0001368	DPOGS207144-PA	HEL_009663-RA
OG0001369	DPOGS210087-PA	HEL_007577-RA, HEL_007576-RA
OG0001370	DPOGS215543-PA	HEL_013517-RA, HEL_013518-RA
OG0001371	DPOGS209837-PA	HEL_007769-RA
OG0001372	DPOGS209490-PA	HEL_005679-RA
OG0001373	DPOGS208812-PA	HEL_001700-RA, HEL_001699-RA
OG0001374	DPOGS215715-PA	HEL_012428-RA
OG0001375	DPOGS215310-PA	HEL_001767-RA
OG0001377	DPOGS213330-PA	HEL_000488-RA, HEL_000489-RA
OG0001378	DPOGS208424-PA	HEL_000293-RA
OG0001379	DPOGS215328-PA, DPOGS215329-PA	HEL_001788-RA
OG0001380	DPOGS206797-PA	HEL_013229-RA
OG0001381	DPOGS201582-PA	HEL_004022-RA
OG0001382	DPOGS208422-PA	HEL_005692-RA
OG0001382	DPOGS209523-PA	HEL_005691-RA
OG0001383	DPOGS202665-PA	HEL_003956-RA, HEL_003957-RA
OG0001384	DPOGS208098-PA	HEL_011721-RA, HEL_011722-RA
OG0001385	DPOGS209826-PA	HEL_007797-RA
OG0001386	DPOGS201143-PA	HEL_010273-RA
OG0001387	DPOGS209575-PA	HEL_010554-RA
OG0001388	DPOGS201145-PA	HEL_010270-RA
OG0001389	DPOGS209802-PA	HEL_007793-RA
OG0001392	DPOGS215519-PA, DPOGS215520-PA	HEL_005065-RA
OG0001393	DPOGS209999-PA	HEL_007565-RA
OG0001394	DPOGS205271-PA	HEL_010851-RA
OG0001395	DPOGS204643-PA	HEL_000511-RA
OG0001396	DPOGS210199-PA, DPOGS210197-PA	HEL_011296-RA
OG0001397	DPOGS209431-PA	HEL_011684-RA
OG0001398	DPOGS210282-PA	HEL_013498-RA, HEL_013497-RA
OG0001399	DPOGS200462-PA	HEL_010123-RA
OG0001400	DPOGS202271-PA	HEL_003675-RA
OG0001401	DPOGS204101-PA	HEL_011100-RA, HEL_011101-RA, HEL_011103-RA, HEL_011102-RA, HEL_011104-RA
OG0001402	DPOGS206334-PA	HEL_003556-RA
OG0001404	DPOGS205297-PA	HEL_010843-RA, HEL_010844-RA
OG0001405	DPOGS207214-PA, DPOGS207215-PA	HEL_011844-RA
OG0001406	DPOGS214084-PA	HEL_003561-RA
OG0001407	DPOGS203179-PA	HEL_010105-RA, HEL_010104-RA
OG0001408	DPOGS203345-PA, DPOGS205256-PA	HEL_011792-RA
OG0001409	DPOGS210798-PA	HEL_009453-RA, HEL_009455-RA, HEL_009452-RA
OG0001410	DPOGS202295-PA	HEL_013861-RA
OG0001410	DPOGS202296-PA	HEL_013860-RA
OG0001411	DPOGS210868-PA	HEL_009451-RA
OG0001412	DPOGS216054-PA, DPOGS216053-PA	HEL_005806-RA
OG0001413	DPOGS206178-PA	HEL_008075-RA
OG0001414	DPOGS209348-PA	HEL_004135-RA
OG0001415	DPOGS210031-PA	HEL_007699-RA, HEL_007698-RA, HEL_007697-RA
OG0001416	DPOGS209280-PA	HEL_013938-RA
OG0001417	DPOGS207502-PA	HEL_006437-RA, HEL_006435-RA, HEL_006872-RA
OG0001418	DPOGS215753-PA	HEL_002561-RA
OG0001419	DPOGS215667-PA	HEL_002565-RA
OG0001420	DPOGS211138-PA	HEL_002339-RA
OG0001421	DPOGS207682-PA	HEL_014378-RA
OG0001423	DPOGS210998-PA	HEL_004339-RA, HEL_004338-RA, HEL_004340-RA, HEL_004343-RA, HEL_004341-RA
OG0001426	DPOGS201787-PA	HEL_014220-RA
OG0001426	DPOGS212750-PA	HEL_014219-RA
OG0001428	DPOGS206806-PA	HEL_009669-RA
OG0001429	DPOGS205186-PA	HEL_008843-RA, HEL_008842-RA
OG0001430	DPOGS205012-PA	HEL_001956-RA
OG0001432	DPOGS200895-PA	HEL_012088-RA, HEL_012089-RA
OG0001434	DPOGS207522-PA	HEL_006475-RA, HEL_006473-RA, HEL_006470-RA
OG0001435	DPOGS212134-PA	HEL_009131-RA, HEL_009130-RA
OG0001436	DPOGS205580-PA	HEL_000551-RA
OG0001436	DPOGS205579-PA	HEL_000552-RA
OG0001437	DPOGS208500-PA	HEL_008018-RA, HEL_008019-RA, HEL_008017-RA
OG0001439	DPOGS215897-PA	HEL_013272-RA, HEL_013276-RA
OG0001440	DPOGS205744-PA	HEL_005120-RA
OG0001441	DPOGS203247-PA	HEL_009383-RA
OG0001442	DPOGS209766-PA	HEL_010705-RA, HEL_010706-RA
OG0001443	DPOGS215632-PA	HEL_002631-RA
OG0001446	DPOGS213513-PA	HEL_000927-RA, HEL_000928-RA, HEL_000926-RA, HEL_000925-RA
OG0001447	DPOGS215917-PA	HEL_013306-RA
OG0001448	DPOGS208188-PA	HEL_001994-RA, HEL_001993-RA
OG0001449	DPOGS208563-PA	HEL_007933-RA
OG0001450	DPOGS210436-PA	HEL_006516-RA
OG0001452	DPOGS210452-PA	HEL_006522-RA, HEL_006527-RA
OG0001454	DPOGS208176-PA	HEL_002007-RA
OG0001455	DPOGS211951-PA	HEL_008788-RA
OG0001455	DPOGS201770-PA	HEL_008787-RA
OG0001456	DPOGS213608-PA	HEL_000905-RA, HEL_000903-RA, HEL_000902-RA
OG0001457	DPOGS213107-PA	HEL_001601-RA, HEL_001600-RA
OG0001458	DPOGS213525-PA	HEL_000900-RA, HEL_000901-RA
OG0001459	DPOGS213526-PA	HEL_000898-RA, HEL_000896-RA
OG0001460	DPOGS201376-PA	HEL_009642-RA
OG0001461	DPOGS205015-PA	HEL_013738-RA
OG0001462	DPOGS208466-PA	HEL_007914-RA, HEL_007913-RA, HEL_007915-RA
OG0001463	DPOGS215482-PA	HEL_005764-RA, HEL_005765-RA
OG0001464	DPOGS213818-PA	HEL_009186-RA
OG0001465	DPOGS215465-PA	HEL_005756-RA, HEL_005757-RA, HEL_005761-RA
OG0001466	DPOGS215612-PA	HEL_002675-RA
OG0001468	DPOGS213245-PA	HEL_000365-RA, HEL_000366-RA, HEL_000368-RA, HEL_000364-RA
OG0001469	DPOGS215462-PA	HEL_005747-RA
OG0001470	DPOGS204888-PA	HEL_000985-RA
OG0001471	DPOGS211852-PA	HEL_008765-RA
OG0001472	DPOGS208578-PA	HEL_007903-RA
OG0001473	DPOGS200659-PA	HEL_013682-RA, HEL_013681-RA
OG0001474	DPOGS212525-PA	HEL_000610-RA
OG0001475	DPOGS213255-PA	HEL_000353-RA
OG0001476	DPOGS212468-PA	HEL_000611-RA
OG0001477	DPOGS213258-PA	HEL_000348-RA, HEL_000349-RA, HEL_000350-RA, HEL_000352-RA, HEL_000351-RA
OG0001478	DPOGS215854-PA	HEL_014444-RA, HEL_014445-RA
OG0001479	DPOGS201760-PA	HEL_002904-RA
OG0001480	DPOGS200417-PA	HEL_012715-RA
OG0001480	DPOGS200418-PA	HEL_012716-RA
OG0001481	DPOGS204176-PA	HEL_005200-RA
OG0001482	DPOGS212226-PA	HEL_004846-RA, HEL_004845-RA
OG0001483	DPOGS204388-PA	HEL_001571-RA, HEL_001572-RA
OG0001484	DPOGS210014-PA	HEL_008975-RA, HEL_008973-RA, HEL_008974-RA, HEL_008978-RA
OG0001485	DPOGS200931-PA, DPOGS200930-PA	HEL_010869-RA
OG0001486	DPOGS211581-PA	HEL_004269-RA, HEL_004271-RA, HEL_004270-RA
OG0001487	DPOGS205793-PA	HEL_007877-RA
OG0001488	DPOGS204799-PA	HEL_011876-RA
OG0001489	DPOGS212673-PA, DPOGS212674-PA	HEL_004823-RA
OG0001490	DPOGS214485-PA	HEL_004677-RA
OG0001491	DPOGS212357-PA	HEL_014607-RA
OG0001492	DPOGS201401-PA	HEL_007176-RA
OG0001494	DPOGS215506-PA	HEL_000321-RA, HEL_000322-RA
OG0001495	DPOGS212023-PA	HEL_001834-RA, HEL_001833-RA
OG0001496	DPOGS215111-PA	HEL_013662-RA
OG0001497	DPOGS206164-PA	HEL_000326-RA, HEL_000324-RA, HEL_000325-RA, HEL_000323-RA
OG0001498	DPOGS214789-PA	HEL_001126-RA
OG0001498	DPOGS206173-PA	HEL_001125-RA
OG0001499	DPOGS214948-PA	HEL_003765-RA, HEL_003767-RA, HEL_003763-RA
OG0001500	DPOGS209693-PA	HEL_011583-RA
OG0001501	DPOGS201113-PA	HEL_004755-RA
OG0001502	DPOGS202732-PA, DPOGS202731-PA	HEL_010783-RA
OG0001503	DPOGS212719-PA	HEL_009875-RA
OG0001504	DPOGS211669-PA	HEL_000684-RA
OG0001504	DPOGS211670-PA	HEL_000683-RA
OG0001505	DPOGS203836-PA	HEL_002856-RA
OG0001506	DPOGS212885-PA	HEL_003756-RA
OG0001507	DPOGS201159-PA	HEL_001828-RA
OG0001509	DPOGS203835-PA, DPOGS203834-PA	HEL_002854-RA
OG0001511	DPOGS203661-PA	HEL_002851-RA, HEL_002853-RA
OG0001512	DPOGS204340-PA	HEL_007499-RA
OG0001513	DPOGS206271-PA	HEL_009536-RA, HEL_009535-RA
OG0001514	DPOGS203214-PA	HEL_005562-RA
OG0001515	DPOGS203668-PA	HEL_002832-RA
OG0001516	DPOGS207246-PA	HEL_001066-RA, HEL_001069-RA
OG0001517	DPOGS202240-PA	HEL_003741-RA
OG0001517	DPOGS202241-PA	HEL_003740-RA
OG0001518	DPOGS215597-PA	HEL_010961-RA
OG0001519	DPOGS203159-PA	HEL_005558-RA
OG0001520	DPOGS206877-PA	HEL_009957-RA, HEL_009956-RA
OG0001522	DPOGS215829-PA	HEL_002982-RA
OG0001523	DPOGS203675-PA	HEL_002812-RA
OG0001524	DPOGS202246-PA	HEL_003722-RA, HEL_001151-RA, HEL_003723-RA
OG0001526	DPOGS215094-PA	HEL_014016-RA
OG0001527	DPOGS206424-PA	HEL_006945-RA
OG0001529	DPOGS212041-PA	HEL_001817-RA
OG0001530	DPOGS208634-PA	HEL_001393-RA
OG0001531	DPOGS214470-PA	HEL_004710-RA
OG0001531	DPOGS214469-PA	HEL_004711-RA
OG0001532	DPOGS207046-PA	HEL_009972-RA
OG0001533	DPOGS203329-PA	HEL_010465-RA
OG0001534	DPOGS206688-PA	HEL_013741-RA, HEL_013740-RA
OG0001535	DPOGS203690-PA	HEL_002783-RA, HEL_002787-RA, HEL_002785-RA, HEL_002784-RA, HEL_002782-RA
OG0001536	DPOGS214061-PA	HEL_006279-RA, HEL_006282-RA, HEL_006278-RA, HEL_006280-RA, HEL_006283-RA
OG0001537	DPOGS203327-PA	HEL_010467-RA
OG0001538	DPOGS207594-PA	HEL_000055-RA
OG0001539	DPOGS204242-PA	HEL_001339-RA, HEL_001336-RA, HEL_001338-RA, HEL_001337-RA, HEL_001335-RA
OG0001540	DPOGS204596-PA	HEL_004582-RA
OG0001541	DPOGS205348-PA	HEL_007451-RA
OG0001541	DPOGS205346-PA, DPOGS205347-PA	HEL_007452-RA
OG0001542	DPOGS206291-PA	HEL_009523-RA
OG0001543	DPOGS206901-PA	HEL_009993-RA
OG0001543	DPOGS206900-PA	HEL_009994-RA
OG0001544	DPOGS205355-PA	HEL_007449-RA
OG0001546	DPOGS207307-PA	HEL_001077-RA, HEL_001078-RA, HEL_001076-RA
OG0001547	DPOGS214929-PA	HEL_009519-RA
OG0001547	DPOGS206294-PA, DPOGS206293-PA	HEL_009520-RA
OG0001548	DPOGS208870-PA	HEL_006084-RA
OG0001548	DPOGS208868-PA	HEL_006083-RA
OG0001549	DPOGS207560-PA	HEL_000033-RA, HEL_000032-RA
OG0001550	DPOGS203320-PA	HEL_014472-RA
OG0001551	DPOGS202692-PA	HEL_003799-RA, HEL_003800-RA, HEL_003796-RA
OG0001552	DPOGS204223-PA	HEL_001374-RA, HEL_001371-RA
OG0001553	DPOGS207030-PA	HEL_010008-RA, HEL_010007-RA
OG0001554	DPOGS214369-PA	HEL_008204-RA
OG0001555	DPOGS214205-PA	HEL_003034-RA
OG0001556	DPOGS214166-PA	HEL_003040-RA
OG0001557	DPOGS206445-PA	HEL_010741-RA
OG0001558	DPOGS214872-PA	HEL_012354-RA
OG0001559	DPOGS207795-PA	HEL_012154-RA
OG0001562	DPOGS207805-PA	HEL_012174-RA
OG0001563	DPOGS209728-PA	HEL_013654-RA
OG0001563	DPOGS209727-PA	HEL_013655-RA
OG0001564	DPOGS207428-PA	HEL_000258-RA, HEL_000259-RA
OG0001565	DPOGS208020-PA	HEL_013183-RA
OG0001567	DPOGS210755-PA	HEL_012394-RA
OG0001568	DPOGS209533-PA	HEL_006859-RA
OG0001568	DPOGS209534-PA	HEL_006860-RA, HEL_006861-RA
OG0001569	DPOGS207281-PA	HEL_001039-RA
OG0001570	DPOGS210676-PA	HEL_012389-RA
OG0001571	DPOGS200485-PA	HEL_006334-RA, HEL_006335-RA, HEL_006338-RA, HEL_006340-RA, HEL_006339-RA, HEL_006336-RA
OG0001572	DPOGS202452-PA	HEL_000003-RA
OG0001573	DPOGS205821-PA	HEL_000226-RA
OG0001575	DPOGS209033-PA	HEL_013470-RA
